GEN.1.1	Sa kauna-unahan, gingtuga it Dios kag langit ag duta. 
ACT.9.1	Myentras nagwawali si Felipe sa mga banwa pa-Cesareya, rako gihapon kag hanrom ni Saulo nak pahirapan ag pangmatyon kag mga nagsusunor sa Ginoong Hesus. Nagpagto pa sida sa Pinaka-mataas nak Saserdote 
ACT.9.2	ag sida ay naghagar it mga permiso agor pagtuan pa kag mga sinagoga sa syudad it Damasco sa Sirya. Gingtuman nida kali pramas kung inggwa sida it makita ruto nak mga nagsusunor riling Bag-ong Rayan it Kaluwasan nak ingtudlo ni Hesus, maging kayake man o kabade, sinra ay ida arakpon ag aray-on pabalik sa Herusalem nak nakagapos.
ACT.9.3	Tong mayungotey sida sa Damasco, gulpi yang sida nak nalibon it hadag nak kasiga-siga halin sa langit. 
ACT.9.4	Natumba sida ag nakarungog it Boses nak nagsisiling, “Saulo, Saulo, asing imo Ako ingpapahirapan?”
ACT.9.5	Ag sida ay nagsabat, “Gino-o, sin-o Ikaw?”
ACT.9.5	Nagsabat kag Boses, “Ako si Hesus, nak imo ingpapahirapan. 
ACT.9.6	Bangon raha ag magpagto sa syudad kung hariin isiling sa imo kag imo dapat himuon.”
ACT.9.7	Pagkatabo it kali, kag ida mga kaibahan papagto sa Damasco ay naparuyog ag waya nakalihok. Inggwa ra sinra it narunggan nak Boses pero waya ninra nakita kag nagbibisaya. 
ACT.9.8	Nagbangon si Saulo, pero tong ida ingmukyat kag ida mga mata, indi sida makakita, kada ging-agkay sida it ida mga kaibahan papagto sa Damasco. 
ACT.9.9	Sa suyor it tatlong adlaw waya sida it nakikita, ag waya sida gikaon ag giinom.
ACT.9.10	Ngasing, ruto sa Damasco ay inggwa it usang manugsunor ni Hesus nak kag ngayan ay si Ananias. Nagbisaya kag Gino-o sa ida parayan sa usang pangitaon nak nagsisiling, “Ananias!”
ACT.9.10	Nagsabat si Ananias, “Hali ako, Gino-o.”
ACT.9.11	Nagsiling kag Gino-o sa ida, “Tinrog, ag magpagto sa karsada nak gingtatawag nak Tadlong. Ruto sa bayay ni Judas, pangutana kung inggwa ruto it usang kayake nak taga-Tarso nak kag ngayan ay Saulo. Ginghuhuyat ka nida dahil sa ida pagpangamuyo, 
ACT.9.12	ay nakita nida kag usang tawo nak kag ngayan ay Ananias, nak nagsuyor sa bayay ag ingpatong kag ida damot sa ida agor sida ay makakita liwat.”
ACT.9.13	Pero nagsabat si Ananias, “Gino-o, karamo kag ako narunggan nahanungor riling tawo, tungor sa subrang kayainan nak ida ginghuman laban sa Imo sinakupan sa Herusalem. 
ACT.9.14	Ag ngasing nagpaali sida sa Damasco nak raya kag permiso halin sa mga Punong Saserdote agor rakpon kag tanan nak nag-aayaba sa Imo pangayan.”
ACT.9.15	Pero nagsiling kag Gino-o sa ida, “Pagtu-e yang, dahil pinili Nako sida agor parayan sa ida ay makilaya kag Ako pangayan it mga buko Hudyo,
ACT.9.16	Dahil Ako ipakita sa ida kung pauno't rako kag kahirapan nak ida atagman dahil sa Ako pangayan.”
ACT.9.17	Kada, nagpanawey si Ananias, ag pag-abot nida ruto sa bayay ni Judas nagsuyor sida ag ingpatong kag ida damot kang Saulo, ag nagsiling:
ACT.9.17	“Hali nakong Saulo, kag Gino-o, nak imaw si Hesus nak nagpakita sa imo ruto sa rayan papali sa Damasco, ay imaw kag nagsugo sa ako nak palian ikaw, pramas ikaw ay makakita liwat, ag pramas mapun-an ikaw it Ispirito Santo.”
ACT.9.18	Ag sa nak raan ay inggwa it nahuyog halin sa mga mata ni Saulo nak pay mga himbis, ag sida ay nakakita liwat. Nagtinrog sida ag nagpabawtismo. 
ACT.9.19	Pagkatapos, nagkaoney sida ag nagkusog-kusog kag ida pamatyag.
ACT.9.19	Sa suyor it pilang adlaw naging kaibahan ni Saulo kag mga manugsunor ni Hesus sa Damasco. 
ACT.9.20	Ag nagpagto sida sa mga sinagoga ag sa nak raan ingbantala nida nak si Hesus kag Anak it Dios. 
ACT.9.21	Kag tanan nak nakarungog sa ida ay nagkatingaya ag nagsiling, “Buko baga kali katong tawo nak nagpapanggulo sa mga nag-aayaba sa pangayan ni Hesus ruto sa Herusalem? Di baga sida ay nagpali pramas guluhon ra sinra, rakpon ag gapuson bag-o ray-on sinra sa atubangan it mga Punong Saserdote ruto sa Herusalem.”
ACT.9.22	Pero lalong pinanghugtan ni Saulo kag ida pagpangwalihan, ag naguluhan kag isip it mga lahi it Hudyo sa Damasco, dahil talagang kapapati kag ida pagpamatuor nak si Hesus kag ingpromisang Kristo.
ACT.9.23	Nagligar kag maramong mga adlaw, ag nagplano kag mga Hudyo nak matyon si Saulo. 
ACT.9.24	Pero kali ay nakaabot sa ida. Adlaw ag gab-i ay gingbabantayan ninra kag mga pwertahan it syudad agor sa ida pagliwas ay amatyon sida. 
ACT.9.25	Kada usang gab-i, ingsuyor si Saulo sa usang bukot it mga manugsunor ni Hesus ag inot-inot nak ingpaubos sa liwas it pader it syudad.
ACT.9.26	Pagkatapos, nagbalik si Saulo sa Herusalem. Pag-abot nida ruto, ingpurbahan nida nak mag-iba sa mga manugsunor ni Hesus, pero sinra ay nahadlok sa ida dahil indi sinra makapati nak ngasing sida'y manugsunorey ra. 
ACT.9.27	Masunor, ingnuntan sida ni Bernabe ruto sa mga apostoles ag ging-uma sa inra kung pauno nagpakita ag nagbisaya kag Gino-o sa ida ruto sa rayan papagto sa Damasco. Ingsiling ra nida nak pagkatapos it kina, ay ingwali ni Saulo kag pangayan ni Hesus nak waya't kahadlok.
ACT.9.28	Kada sida ay gingbaton ninra. Ag tuna it kato sida ay naging kaibahaney ninra sa Herusalem nak masupog nak nagwawali sa pangayan it Gino-o. 
ACT.9.29	Nagbisaya ra si Saulo sa mga lahi it Hudyo nak tubong Gresya, pero inding gador sinra maraya, kada inra ingplano nak sida ay matyon. 
ACT.9.30	Tong naayaman kali it mga hali sa Gino-o, inghator ninra si Saulo paubos sa syudad it Cesareya ag sida ay inra gingpasakay papauli sa banwa it Tarso sa Cilisya.
ACT.9.31	Ngani, kag mga nagtutu-o kang Kristo nak nagtitipon sa tanang mga lugar it Hudeya, Galileya ag Samarya ay nagkainggwa it katimunungan. Kada sa inra pagpangabuhi nak inggwa't kahadlok sa Gino-o, sinra ay ingpakusog it Ispirito Santo ag nagtibay kag inra pagtu-o.
ACT.9.32	Ngasing, naglibot si Pedro pramas bisitahon kag mga sinakupan ni Kristo, hastang nakaabot sida ruto sa banwa it Lida. 
ACT.9.33	Ruto ay inggwa sida it nakita nak usang kayake nak kag ngayan ay Eneas. Kag ida kabikang yawas ay minatay, ag sida ay wayong tuigey nak inding gador makabayo-bayo. 
ACT.9.34	Nagsiling si Pedro sa ida, “Eneas, ingpaadoy ikaw ni Hesu-Kristo. Tinrog, ag yukuton kinang imo higraan.” Ag sa nak raan, nagtinrog sida.
ACT.9.35	Pagkakita sa ida it tanang mga nag-iinistar sa Lida ag sa lugar ra it Saron, sinra ay nagtu-o sa Gino-o.
ACT.9.36	Tong mga panahon nak kato, inggwa ra sa banwa it Jope it usang kabade nak manugsunor ni Hesus nak kag ngayan ay Tabita, nak sa bisayang Griyego ay Dorcas (kag gustong bisayahon it kali ay kag hadop nak usá). Sida ay mabinuligon sa mga tawo ag maluluy-on sa mga mahirap. 
ACT.9.37	Nagkasakit sida ag namatay. Ag pagka-patigayon sa ida yawas sa usang kwarto sa ibabaw it ida bayay, sida ay inra gingramayan. 
ACT.9.38	Nakaabot sa mga manugsunor ni Hesus sa Jope nak si Pedro ay ruto sa Lida, dahil kag banwa it Lida ay mayungot yang sa banwa it Jope. Ag nagsugo sinra it ruhang kayake agor pagtuan ag pangabayon sida nak magnunot nak raan sa inra sa Jope.
ACT.9.39	Nagnunot ngani si Pedro sa inra sa Jope, ag pag-abot nida ruto, gingpasaka sida sa ibabaw kung hariin gingraramayan si Tabita. Maramong nagtitibaw nak mga balong kabade kag nagtitinrog sa tupar nida, ag ingpakita ninra kang Pedro kag mga baro ag mga alimungmong nak ginghuman ni Tabita tong buhi pa kali.
ACT.9.40	Gingpaliwas anay ni Pedro sinrang tanan bag-o nagyuhor sida ag nagpangamuyo. Pagkatapos ay nagtinrog sida ag nag-atubang sa minatay ag nagsiling, “Tabita, bangon!”
ACT.9.40	Nagmukyat kali, ag pagkakita kang Pedro ay nagbangon ag nag-ingkor. 
ACT.9.41	Ginghuytan ni Pedro kag ida damot ag ingbuligan sida nak magtinrog. Ging-ayaba nida kag sinakupan ni Kristo ruto ag imaw ra katong mga balo, ag ingpaatubang sa inra kag nabuhing si Tabita. 
ACT.9.42	Nabantog kali sa bug-os nak Jope, ag dahil rili karamo kag nagtu-o sa Gino-o. 
ACT.9.43	Nagrugay si Pedro sa Jope. Nagdayon sida sa bayay ni Simon nak usang manugpauga it anit it hadop.
ACT.10.1	Inggwa it usang tawo sa syudad it Cesareya nak kag ngayan ay si Cornelio. Sida ay Kapitan it usang grupo it mga sundalo nak gingtatawag ninra nak Cohorte it Italyano. 
ACT.10.2	Sida ay relihiyuso ag inggwa't kahadlok sa Dios, imaw ra kag ida bug-os nak panimayay. Sida ay maatag sa mga naghahagar it bulig sa ida, ag mapinangamuyuon sa Dios.
ACT.10.3	Usang hapon, bandang mga alas tres nak oras it inra inugpangamuyo, nagkainggwa sida it usang pangitaon nak usang anghel it Dios kag nagsuyor ag nagsiling sa ida, “Cornelio.” 
ACT.10.4	Dahil sa kahadlok pumakayaga sida rili it waya't pisok-pisok, ag napasiling sida, “Gino-o, ni-o po kag imo kinahangyan?”
ACT.10.4	Nagsabat kag anghel sa ida, “Kag imo mga pangamuyo ag kag imo pagbulig ay nakaabot sa Dios ag nagpaparumrom sa Dios tungor sa imo. 
ACT.10.5	Kada ngasing ay magsugo ka it tawo papagto sa banwa it Jope agor sapuyon kag usang tawo nak kag ngayan ay Simon nak gingtatawag rang Pedro. 
ACT.10.6	Sida ay nagdadayon sa bayay ni Simon nak manugpauga it anit it hadop. Kag bayay it kali ay sa habig it baybay.”
ACT.10.7	Pagkawagit it anghel, gingtawag nida kag ruha sa ida mga suguon ag imaw ra kag usang sundalo nak inggwa't kahadlok sa Dios, nak usa sa mga sundalo nak nagsiserbisyo sa ida pangsariling kinahangyan. 
ACT.10.8	Ag pagkauma ni Cornelio it kaling natabo, sinra ay ida gingsugo papagto sa Jope.
ACT.10.9	Tong masunor nak adlaw, habang asa rayan pa katong mga gingsugo ni Kapitan Cornelio papagto sa banwa it Jope, si Pedro ray ra ay nagsaka sa pahuwayan sa ibabaw it bayay agor magpangamuyo. Maalas dosey it kato,
ACT.10.10	ag abang gutomey sida ag gustoy nidang magkaon. Habang ginghahanra pa kag pagkaon ay padayon sidang nagpangamuyo, ag pay nagpananamgo sida it bati. 
ACT.10.11	Nakita nida nak naabrihan kag langit ag inggwa't nagpapaubos nak tuyar sa usang marakong tamong nak pay inghahawiran sa kada kanto ag inot-inot nak ingpapaubos. 
ACT.10.12	Asa suyor it kina kag mga yabot-yabot nak mga hadop nak nagpapanaw ag nagkakamang sa duta, ag imaw ra kag mga yabot-yabot nak pispis. 
ACT.10.13	Ag inggwa sida it narunggan nak Boses nak nagsisiling, “Pedro, tinrog raha. Baoy it aihawon ag kumaon.”
ACT.10.14	Pero nagsabat si Pedro, “Indi ako Gino-o, dahil waya pang gador ako nakakakaon it mga hadop nak gingbabawal ag buko malimpyo.”
ACT.10.15	Ag narunggan ray nida kag Boses nak nagsiling, “Aya giisipa nak ni-o mang madupit nak inghumang malimpyoy it Dios ay madupit pa gihapon.”
ACT.10.16	Tatlong beses kali nak natabo bag-o ingbatakey pa-langit katong tamong.
ACT.10.17	Habang nalilibugan pa it isip si Pedro kung ni-o kag gustong bisayahon it kinang pangitaon, ay nag-abot katong mga suguon ni Kapitan Cornelio. Sa inra kapapangutana ay nakita ra ninra kag bayay ni Simon. Ag ngasing sinra'y nakatinrog sa liwas it pwertahan 
ACT.10.18	ag nagpangutana kung ruto matuor gidadayon kag usang tawo nak kag ngayan ay Simon nak gingtatawag rang Pedro.
ACT.10.19	Habang naghahanap sinra sa ida ay nag-iisip pa gihapon si Pedro tungor rahang pangitaon. Nagsiling kag Ispirito it Dios sa ida, “Muyati, inggwa't tatlong kayake nak naghahanap sa imo. 
ACT.10.20	Tinrog ag pumilhig, ag aya gipangruha-ruha sa pagnunot sa inra dahil Ako kag nagsugo sa inra.”
ACT.10.21	Kada, nagpilhig ngani si Pedro ag ida ging-atubang katong mga tawo ag nagsiling, “Ako kag inro inghahanap. Asing nagpaali kamo?”
ACT.10.22	Nagsabat sinra, “Kami ay mga suguon ni Cornelio nak usang Kapitan it mga sundalo it Roma. Sida ay maadong tawo ag inggwa't kahadlok sa Dios, ag gingtatahor it tanang mga lahi it Hudyo. Gingsugo sida it usang balaan nak anghel nak ipasapoy ikaw, agor papagtuon sa ida bayay pramas magrungog sa imo ibisaya.” 
ACT.10.23	Gingpasuyor sinra ni Pedro sa bayay ag ruto gipakatuyuga tong gab-ing kato.
ACT.10.23	Pagkaaga, nagginaney sinra kanunot si Pedro, ag nagnunot ra sa inra kag pilang mga hali sa Gino-o nak taga-Jope. 
ACT.10.24	Tong masunor nak adlaw, nag-abot sinra sa syudad it Cesareya kung hariin naghuhuyat sa inra si Kapitan Cornelio nak natiponey kag ida mga hali ag mga amigo.
ACT.10.25	Pagsuyor ni Pedro, gingsapoy-sapoy sida ni Cornelio ag nagyuhor sida it rapat kag uyo sa sayog bilang pagpaubos sa ida. 
ACT.10.26	Pero gingbangon sida ni Pedro ag nagsiling, “Tinrog, dahil tawo ra ako tuyar sa imo.”
ACT.10.27	Habang nagsusuyor sa bayay sigi kag inra inistoryahan, ag tong rutoy sinra, nakita ni Pedro nak maramong mga tawo sa suyor. 
ACT.10.28	Nagsiling sida sa inra, “Kamo mismo ay nakakaayam nak abang bawal para sa usang lahi it Hudyo nak mag-iba sa buko Hudyo o magpamasyar sa inra bayay. Pero ingpaayam sa ako it Dios nak buko tama nak mag-isip ako nak madupit gihapon ag buko malimpyo kag aber sin-o mang tawo. 
ACT.10.29	Kada, tong gingpasapoy ako ni Kapitan Cornelio nagnunot ako nak waya't reklamo. Kada ngasing, umaan sa ako kung asing ingpasapoy ako ninro.”
ACT.10.30	Ag nagsiling si Kapitan Cornelio:
ACT.10.30	“Ap-at nak adlawey kag nakarayan, pareho ngasing ay mga bandang alas tres it hapon ra it kato, ag dahil oras kato it inugpangamuyo ay nagpapangamuyo ako rili sa ako bayay. It yang pakita sa ako kag usang kayake nak nakatinrog sa ako atubangan nak kag bisti ay kasilaw-silaw. 
ACT.10.31	Nagsiling sida sa ako, ‘Cornelio, gingrungog it Dios kag imo pangamuyo ag kag imo pagbulig ay ida gingrurumrom. 
ACT.10.32	Kada ngasing, magsugo ka it tawo sa Jope ag ipahanap si Simon nak ingtatawag rang Pedro. Sida ay nagdadayon sa bayay ni Simon nak manugpauga it anit it hadop sa habig it baybay.’
ACT.10.33	“Ngani, gingpasapoy ka nako nak raan, ag salamat sa imo maadong kabubut-on ag ikaw ay nagpaali ra. Ag ngasing ngani ay hali kaming tanan sa atubangan it Dios agor magpanimati sa tanang Ida sugo nak isiling nimo sa amo.”
ACT.10.34	Ag nagtuna si Pedro it pagwali sa inra:
ACT.10.34	“Ngasing, naayamaney nak gador nako nak kag Dios ay waya't pinilian. 
ACT.10.35	Kundi ingbabaton Nida kag aber si-o mang tawo, taga-riin man nak nasyon sida basta inggwa't kahadlok sa Ida ag naghihimo it matarong kumporme sa kabubut-on it Dios. 
ACT.10.36	Naayamaney ninro kag mga bisaya nak gingparaya it Dios sa mga Israelinhon, nak nagbabantala it Maadong Balita nahanungor sa katimunungan parayan kang Hesu-Kristo nak imaw kag Gino-o it tanang tawo.
ACT.10.37	“Imaw kali kag mga bisaya nak ingpalapnag sa bug-os nak lugar it Hudeya, magtuna sa Galileya, tong magwali si Juan nak Manugbawtismo nak kag tawo ay kinahangyan nak maghinuysoy ag magpabawtismo. 
ACT.10.38	Ingbantala namo kung pauno pinili it Dios si Hesus nak taga-Nazaret sa pagparaya sa Ida it Ispirito Santo ag sa pagta-o sa Ida it gahom, kung pauno Sida nagpanglibutan sa paghimo it maado ag nagpaado sa tanang ingpapahirapan ni Satanas, dahil kag Dios ay kaibahan Nida.
ACT.10.39	“Kami ay testigo sa tanang Ida ginghuman sa mga kalugaran it mga lahi it Hudyo ag sa syudad it Herusalem. Gingmatay ninra Sida parayan sa paglansang sa krus nak kahoy. 
ACT.10.40	Pero tong pangtatlong adlaw, ingbanhaw Sida it Dios ag ingpakita Sida sa amo, 
ACT.10.41	buko sa tanang tawo, kundi sa amo yang nak tong una pa ay piniliey it Dios bilang mga testigo. Kami ay mga kaibahan Nida nak nagkaon ag nag-inom pagkabanhaw Nida.
ACT.10.42	“Ag Sida kag nagsugo sa amo nak magwali sa mga tawo ag magpamatuor nak imaw Sida kag pinili it Dios nak maghusgar sa mga buhi ag aber sa mga minatay. 
ACT.10.43	Sida kag gingpapatungran it tanang mga propeta it katong una sa inra pagsiling nak kag tanan nak magtu-o sa Ida ay apatawaron kag mga sala parayan sa Ida pangayan.”
ACT.10.44	Habang nagbibisaya pa ngani si Pedro ay napasa-inrang tanan nak nagpapanimati kag Ispirito Santo. 
ACT.10.45	Katong mga nagnunot kang Pedro nak mga kalahing Hudyo
ACT.10.46	Ayam ninra kali dahil narurunggan ninra nak sinra ay nagbibisaya it mga linggwahe nak waya ninra dating natun-e ag inra ingdadayaw kag Dios.
ACT.10.46	Kada, nagsiling si Pedro, 
ACT.10.47	“Pauno nato ngasing mababawalan nak mabawtismuhan kaling mga tawo, kumo gingpun-an ra sinra it Ispirito Santo nak tuyar sa ato.” 
ACT.10.48	Kada ingsugo nida nak bawtismuhan sinra sa pangayan ni Hesu-Kristo. Pagkatapos it kali, inghawiran anay ninra si Pedro it pilang adlaw.
ACT.11.1	Ngasing, nakaabot sa mga apostoles ag sa mga hali sa Gino-o ruto sa Hudeya nak kag mga buko Hudyo ay nagbaton ra sa mga bisaya it Dios. 
ACT.11.2	Kada tong nagtukar ray sina Pedro sa Herusalem sida ay ingsura it mga lahi it Hudyong nagtutu-o nak nagpapati nak kag mga nagtutu-o kang Kristo ay kinahangyan kuno nak magpatuli. 
ACT.11.3	Nagsiling sinra, “Asing ikaw nak usang lahi it Hudyo ay nagpagto sa bayay it mga buko Hudyo nak buko tuli ag nagkaon pa ikaw nak kaibahan ninra?”
ACT.11.4	Ngani, ging-usa-usa ni Pedro kag tanan nak natabo tuna sa primero, kung pauno ingtuytuyan sida it Dios para sa mga buko Hudyo:
ACT.11.5	“Usang adlaw, katong rahagto ako sa banwa it Jope, habang ako ay nagpapangamuyo pay nagpananamgo ako it bati. Nakita nako nak nagpapaubos kag pay usang marakong tamong nak pay inghahawiran sa kada kanto, ag inot-inot nak ingpapaubos halin sa langit, ag kali ay tumugpa sa ako atubangan. 
ACT.11.6	Tong ako kina ingmuyatan it maado, nakita nako raha kag mga maanar ag mga maila nak hadop. Inggwa it mga nagpapanaw ag mga nagkakamang ag mga pispis. 
ACT.11.7	Ag narunggan nako kag usang Boses nak nagsiling, ‘Pedro, tinrog raha. Baoy it aihawon ag kumaon.’
ACT.11.8	“Pero nagsabat ako, ‘Indi ako Gino-o, dahil waya pang gador nasusudle kag ako yuba it mga karne nak gingbabawal ag buko malimpyo.’
ACT.11.9	“Pero nagsabat ray kag Boses nak halin sa langit, ‘Aya giisipa nak ni-o mang madupit nak inghumang malimpyoy it Dios ay madupit pa gihapon.’ 
ACT.11.10	Tatlong beses kali nak natabo bag-o ingbatakey pa-langit katong tamong.
ACT.11.11	“Ag tong oras nak kato ay inggwa't nag-abot nak tatlong kayake sa bayay nak ako gingdadayunan. Sinra ay ingsugo nak sapuyon ako. Ag sinra ay mga buko Hudyo nak halin sa syudad it Cesareya. 
ACT.11.12	Gingsiling sa ako it Ispirito it Dios nak indi ako magpangruha-ruha sa pagnunot sa inra aber buko sinra Hudyo. Kada nagnunot ra ako sa inra papagto sa bayay it nagpasapoy sa ako. Ag ingnuntan ako it an-om nak mga hali nato sa pagtu-o halin sa Jope. 
ACT.11.13	Pagkasuyor namo sa ida bayay nag-uma sida sa amo nak inggwa it nagpakita sa ida nak usang anghel nak nagtitinrog sa ida bayay, ag nagsiling, ‘Magsugo ka it pilang tawo sa banwa it Jope agor sapuyon kag usang tawo nak kag ngayan ay Simon nak ingtatawag rang Pedro. 
ACT.11.14	Mapaabot sida sa inro it mensahe nak imaw kag parayan agor ikaw ay maluwas, pati kag imo bug-os nak panimayay.’
ACT.11.15	“Nagtutuna pa yang ako it pagbisaya ay napasa-inrang tananey kag Ispirito Santo tuyar ra it pagpasa-ato tong una. 
ACT.11.16	Imaw katong narumruman nako kag mga bisaya it Gino-o tong nagsiling Sida nak, ‘Nagbawtismo si Juan sa tubi, pero kamo ay abawtismuhan ra Nako it Ispirito Santo.’ 
ACT.11.17	Kung sinra ra ay gingtaw-an it regalo it Dios nak imaw kag Ispirito Santo, pareho ra sa Ida ingregalo sa ato tong kita ay nagtu-o sa Ginoong Hesu-Kristo, sin-o ako nak mapiga sa Dios?”
ACT.11.18	Pagkarungog ninra it kali, napahipos sinra. Ag nagdayaw sinra sa Dios ag nagsiling, “Pati yaki sa mga buko ato kalahi ay inata-o ra it Dios kag oportunidad nak maghinuysoy agor makaagom it kabuhi nak waya't katapusan.”
ACT.11.19	Myentras kaling tanan ay natatabo, katong ibang mga hali ra sa Gino-o nak nagpangkinalat dahil sa pagpahirap nak nagtuna sa pagkamatay ni Esteban, sinra ay nakaabot sa mga lugar it Penisya, sa Isla it Cipre, ag sa syudad it Antiokya sa Sirya. Ag nagpadayon sinra sa pagpang-uma-uma it mga bisaya tungor kang Kristo, ugaling ay sa mga lahi it Hudyo yang.
ACT.11.20	Pero inggwa it pila sa inra nak mga taga-Cipre ag mga taga-Cirene sa Libya, nak pag-abot ninra sa Antiokya ay nagbisaya ra sinra sa mga Griyego ag nagwali tungor sa Ginoong Hesus. 
ACT.11.21	Kag gahom it Gino-o ay hina sa inra, kada karuramo kag nagtu-o ag nagsunor sa Gino-o.
ACT.11.22	Nakaabot sa mga nagtutu-o nak nagtitipon sa pagdayaw sa Dios sa Herusalem nak maramong buko Hudyo kag nagtutu-o ruto sa syudad it Antiokya. Kada gingsugo ninra si Bernabe nak magpagto sa syudad it Antiokya sa Sirya.
ACT.11.23	Pag-abot nida ruto, nakita nida kung pauno it rako kag pagpakamaado it Dios sa inra. Sida ay nasadyahan ag ida inglaygayan sinrang tanan nak magpadayon nak matutom ag magpaninrugan sa Gino-o. 
ACT.11.24	Si Bernabe ay maadong tawo ag puno it pagtu-o ag gahom it Ispirito Santo, kada maramo pang tawo kag ida naraya sa Gino-o.
ACT.11.25	Ngani, nagpagto si Bernabe sa banwa it Tarso sa Cilisya agor hanapon si Saulo. 
ACT.11.26	Pagkakita nida kang Saulo, kali ay ida gingnunot pabalik sa syudad it Antiokya. Sa suyor it usang tuig naging kaibahan sinra it mga nagtutu-o kang Kristo nak nagtitipon sa pagdayaw ruto ag nagtudlo sinra sa maramong tawo. Ruto sa Antiokya unang ingtawag kag mga manugsunor ni Hesus nak mga Kristyano.
ACT.11.27	Tong mga adlaw rang kato ay inggwa ra it mga propeta nak nag-abot sa mga nagtutu-o sa Antiokya halin sa Herusalem. Sinra ay mga nagtutu-o ra ruto. 
ACT.11.28	Kag ngayan it usa sa inra ay si Agabo. Sida ay nagtinrog sa inra tunga, ag sa irayom it gahom it Ispirito it Dios ay nagta-o sida it paandam nak magkakainggwa it subrang tigkagutom sa bug-os nak kalibutan. Ag kali ay natupar matuor sa kapanahunan it Cesar nak si Claudio. 
ACT.11.29	Tong natabo kali, nagkausa kag mga manugsunor ni Hesus sa Antiokya nak kada usa sa inra ay mata-o it bulig kumporme sa inra masasarangan para sa mga hali sa Gino-o nak nag-iistar sa Hudeya, dahil sa subrang tigkagutom. 
ACT.11.30	Ngani, imaw kali kag inra inghimo. Nagparaya sinra it inra bulig sa mga pinuno it mga nagtutu-o parayan kana Bernabe ag Saulo.
ACT.12.1	It kag mga panahon rang kato, gingparakop ag gingpahirapan kag ibang mga nagtutu-o kang Kristo sa Herusalem ni Haring Herodes Agripa.
ACT.12.2	Ag si Santiago nak maguyáng ni Juan ay ida gingpapugutan. 
ACT.12.3	Pagkakita nida nak kali ay namut-an it mga pinuno it mga Hudyo, ingparakop nak raan nida si Pedro. Natabo kali sa inra unang adlaw it usang dominggo para sa Pista it Tinapay nak Waya't Pangpaalsa.
ACT.12.4	Pagkaparakop nida kang Pedro, ida kali ingpapriso ag gingpabantayan sa ap-at nak grupo nak tig-ap-at nak sundalo nak nagsusubli-sublian sa pagbantay.
ACT.12.5	Kada, si Pedro ay gingpriso anay. Habang asa prisuhan pa si Pedro, kag mga nagtutu-o ay nagtitipon ag nagpapangamuyo sa Dios para sa ida it hugot sa inra tagipusuon.
ACT.12.6	It kag gab-ing kato bag-o mapaliwas ni Haring Herodes Agripa si Pedro pramas husgaran, sida ay nagkakatuyog sa tunga it ruhang sundalo ag kag ida magkanyudong mga damot ay nakakadina sa inra. Puyra pa sa ruhang sundalong kali ay inggwa pa it mga nagbabantay sa pwertahan it prisuhan. 
ACT.12.7	Habang nagkakatuyog sinra, inggwa't usang anghel it Gino-o nak nagyuaw yang ruto ag naghadag sa kwarto. Gingkablit it kali sa kilir si Pedro ag gingpukaw bag-o nagsiling, “Tulina, bangon.” Ag imaw katong nagtangkas kag mga kadina sa ida mga damot.
ACT.12.8	Nagsiling ray kag anghel, “Suksukan kinang imo pangbugkos sa hawak ag magsandalyas.” Ag nagtuman ngani si Pedro. Siling pa't anghel, “Alimungmong ag magsunor sa ako.” 
ACT.12.9	Ag nagsunor ngani sida sa anghel paliwas sa selda, pero waya nida naaayami nak kag mga ginghuhuman it anghel ay talagang matuor, dahil kabi nida ay pangitaon yang kato ag sida ay nagpapananamgo. 
ACT.12.10	Pagkalampas ninra sa una ag sa pangruhang bantay, nakaabot sinra sa di tyakor nak saysayon nak pwertahan paliwas sa prisuhan pasuyor sa syudad. Kali ay nag-abri yang it ida, ag nagliwas sinra bag-o nagpanaw hastang sa kanto it karsada ruto. Pagkatapos nawagitey kag anghel.
ACT.12.11	Imaw katong namalayan ni Pedro nak matuor yaking sida'y asa liwasey, ag napasiling sida, “Siguradong kag Gino-o kag nagsugo sa Ida anghel agor librihon ako sa mga damot ni Haring Herodes, ag sa tanang ingpapaabot it mga pinuno it mga Hudyo nak matatabo sa ako.”
ACT.12.12	Tong ida'y kali maisip, nagdiretso sida sa bayay ni Maria nak nanay ni Juan nak ingtatawag rang Markos. Ruto ay nagtitipon kag maramong manugsunor ni Kristo nak nagpapangamuyo.
ACT.12.13	Pagkatok ni Pedro sa maisot nak tyakor sa pwertahan it bayay ni Maria, kag nagsuor sa tyakor ay kag dalagitang kabulig nak kag ngayan ay Roda, agor muyatan kung sin-o kag nagkakatok. 
ACT.12.14	Nabusisan nak raan nida si Pedro, ag sa ida subrang kasadya waya nida naabrihe kag pwertahan, kundi ay naparayagan sida pabalik sa suyor ag nag-uma sa mga tawo ruto nak si Pedro ay asa pwertahan.
ACT.12.15	Siling ninra sa ida, “Nagbubuangey ka ara!” Pero ingpilit nak gador nak talagang ruto si Pedro, kada siling ray ninra, “Sabali ara nak anghel nida kato!”
ACT.12.16	Habang nagsusuay-suayan pa sinra, si Pedro ay padayon sa pagpanuktok sa pwertahan. Ag tong inra'y kali abrihan, nakita matuor ninra nak si Pedro yaki talaga, ag lalo sinrang napakatingaya.
