GEN.1.1	Дар ибтидо Худо замину осмонро офарид. 
LUK.16.22	Вақте ки Лаъзор мурд, фариштагон ӯро ба осмон бурда, ба паҳлӯи Иброҳим шинонданд. Марди сарватманд низ мурд ва ӯро гӯронданд. 
LUK.16.23	Ҳангоме ки ӯ дар дӯзах азоб мекашид, ба боло нигоҳ кард ва аз дур Иброҳимро дид, ки Лаъзор дар паҳлӯяш менишаст. 
LUK.16.24	Он сарватманд фарёд зада гуфт: „Эй аҷдодам Иброҳим! Ба ман раҳм кунед ва Лаъзорро бифиристед, то нӯги ангушташро ба об тар карда, забонамро камтар нам кунад. Ман дар ин оташ азоб мекашам“. 
LUK.16.25	Вале Иброҳим чунин ҷавоб дод: „Ба хотир ор, писар, ту дар вақти зинда буданат аллакай ҳама чизи хубро ба даст оварда будӣ, вале насиби Лаъзор фақат чизи бад дид. Ҳоло бошад, дили вай дар ин ҷо тасаллӣ меёбаду ту азоб мекашӣ. 
LUK.16.26	Илова бар ин, байни мову шумо чунон ҷарии бетаге вуҷуд дорад, ки агар касе аз ин тараф ба пеши шумо гузаштан хоҳад ҳам, наметавонад. Ҳамчунин аз он ҷо касе пеши мо гузашта наметавонад“. 
LUK.16.27	Марди сарватманд гуфт: „Пас, эй аҷдод, аз шумо илтимос мекунам, ки Лаъзорро ба хонаи падари ман фиристед. 
LUK.16.28	Охир ман панҷ бародар дорам. Бигзор онҳоро таъкид кунад, то онҳо ҳам ба ин ҷойи азоб наафтанд“. 
LUK.16.29	Иброҳим ба ӯ гуфт: „Онҳо навиштаҳои Мӯсо ва дигар пайғамбаронро доранд. Бигзор ба суханони онҳо гӯш диҳанд“. 
LUK.16.30	Аммо мард гуфт: „Не, аҷдодам Иброҳим! Танҳо агар яке аз мурдагон назди онҳо биёяд, тавба хоҳанд кард“. 
LUK.16.31	Иброҳим ҷавоб дод: „Модоме ки онҳо ба суханони Мӯсою пайғамбарон гӯш намедиҳанд, ба ҳеҷ кас, ҳатто ба мурдае, ки зинда шудааст, низ бовар нахоҳанд кард“».
LUK.17.1	Ба шогирдонаш бошад, Исо чунин гуфт: «Албатта васвасаҳои зиёд пайдо мешаванд, вале вой бар ҳоли он касе, ки ба воситаи вай васвасаҳо ба миён меоянд. 
LUK.17.2	Агар бар гардани вай санги осиёбро овехта, ӯро ба баҳр мепартофтанд, барояш беҳтар аз он мебуд, ки ӯ яке аз пайравони хурдтаринро ба васвасаи гуноҳ андозад.
LUK.17.3	Пас, эҳтиёт бошед! Агар бародаратон бар шумо гуноҳе бикунад, ӯро таъкид кунед ва агар тавба карда, аз гуноҳ даст кашад, ӯро бубахшед. 
LUK.17.4	Агар рӯзе ҳафт бор гуноҳ кунад ва ҳафт маротиба „Тавба кардам“ гӯяд, бояд ӯро бубахшед».
LUK.17.5	Вакилон ба Худованд гуфтанд: «Имони моро зиёдтар бикун». 
LUK.17.6	Худованд гуфт: «Агар имонатон донаи хардал барин бошад, шумо ба ин дарахти тут „Решакан шаву ба баҳр шинонда шав“ гуфта метавонед ва вай ба шумо итоат мекунад.
LUK.17.7	Фарз кардем, ки яке аз шумо хизматгоре дореду вай ба шудгори замин ва ё ба чӯпонӣ машғул аст. Магар вақти аз киштзор баргаштанаш шумо ба вай мегӯед, ки зуд омада назди дастархон бишинад? 
LUK.17.8	Магар ба ӯ чунин намегӯед: „Хӯроки шомро тайёр кун ва то вақте ки ман мехӯраму менӯшам, миёнатро маҳкам баста, ба ман хизмат кун. Баъдтар худат мехӯрӣ ва менӯшӣ?“ 
LUK.17.9	Охир, шумо ба хизматгоратон барои иҷро кардани фармонҳоятон ташаккур намегӯед-ку? 
LUK.17.10	Пас, шумо низ, баъд аз он ки фармонҳои ба шумо додашударо иҷро мекунед, бигӯед: „Мо танҳо хизматгори ночиз ҳастему вазифаи худро иҷро кардем“».
LUK.17.11	Исо ба сӯи Ерусалим равона шуд. Вай қад-қади сарҳаде, ки байни Сомарияву Ҷалил буд, роҳ мерафт. 
LUK.17.12	Боре, вақте ки Ӯ ба деҳае медаромад, бо даҳ одамони махав рӯ ба рӯ шуд. Онҳо каме дур истода 
LUK.17.13	дод мезаданд: «Эй Исо, хоҷа, ба мо раҳм кунед!» 
LUK.17.14	Исо онҳоро дида, гуфт: «Бираведу худро ба рӯҳониён нишон диҳед». Онҳо рафтанд ва дар аснои роҳ пок шуданд. 
LUK.17.15	Яке аз онҳо чун дид, ки шифо ёфтааст, бо овози баланд Худоро ситоиш намуда, баргашт 
LUK.17.16	ва худро пеши пойҳои Исо партофта, ба Ӯ миннатдорӣ баён кард. Ӯ марди сомарӣ буд. 
LUK.17.17	Исо пурсид: «Магар даҳ нафар пок нашудаанд? Нӯҳ нафари дигар куҷоянд? 
LUK.17.18	Пас, наход ғайр аз ин марди бегона ягон нафаре аз онҳо барнагашт, ки Худоро ҳамду сано хонад?» 
LUK.17.19	Баъд ба он мард гуфт: «Бархезу бирав, туро имонат шифо дод».
LUK.17.20	Фарисиён аз Исо пурсиданд, ки кай подшоҳии Худо фаро мерасад? Ӯ ба онҳо ҷавоб дод: «Аз рӯи нишонаҳои намоён омадани подшоҳии Худоро муайян кардан имконнопазир аст. 
LUK.17.21	Касе ба шумо намегӯяд: „Нигоҳ кунед, вай дар ин ҷост“ ва ё „Вай дар он ҷост!“ Охир, подшоҳии Худо аллакай дар байни шумо вуҷуд дорад».
LUK.17.22	Вале ба шогирдонаш гуфт: «Вақте мерасад, ки ба дидани Фарзанди Инсон зор мешавед, вале Ӯро намебинед. 
LUK.17.23	Ба шумо мегӯянд: „Вай дар он ҷост!“ ё „Вай дар ин ҷост!“ Аз ҷоятон ҷаста, аз қафояшон надавед. 
LUK.17.24	Зеро Фарзанди Инсон дар рӯзи омаданаш монанди барқе, ки дурахшида осмонро аз як сӯ то сӯи дигар нурпошӣ мекунад, пайдо мешавад. 
LUK.17.25	Вале аввал Ӯ бояд азоби бисёре кашида, аз тарафи насли ин замон рад карда шавад. 
LUK.17.26	Чи тавре ки дар замони Нӯҳ пайғамбар буд, пеш аз омадани Фарзанди Инсон низ ҳамон тавр мешавад. 
LUK.17.27	Зеро то рӯзи ба киштӣ даромадани Нӯҳ одамон мехӯрданд, менӯшиданд, зан мегирифтанд ва ба шавҳар мебаромаданд, вале баъд тӯфон бархоста, ҳамаро несту нобуд кард. 
LUK.17.28	Ҳамчунин монанди замони Лут хоҳад буд, ки одамон мехӯрданду менӯшиданд, мехариданду мефурӯхтанд, мекоштанду иморат месохтанд. 
LUK.17.29	Вале рӯзе, ки Лут аз шаҳри Садӯм баромад, ба рӯи замин оташу сулфур борида, ҳамаро нест кард. 
LUK.17.30	Рӯзе, ки Фарзанди Инсон зоҳир мегардад, низ ҳамон тавр хоҳад буд. 
LUK.17.31	Агар касе он вақт дар болои бом бошаду чизу чорааш даруни хона, барои гирифтани онҳо поён нафарояд ва ҳар кӣ дар саҳро бошад, ба хонааш барнагардад. 
LUK.17.32	Зани Лутро ба хотир оваред. 
LUK.17.33	Ҳар кӣ ҷони худро эмин нигоҳ доштанӣ аст, онро аз даст медиҳад ва ҳар кӣ ҷони худро фидо кунад, онро эмин нигоҳ хоҳад дошт. 
LUK.17.34	Ба шумо мегӯям, ки дар он шаб аз ду нафаре, ки дар як ҷойгаҳ хобанд, якеаш гирифта мешаваду дигараш мемонад. 
LUK.17.35+LUK.17.36	 Аз ду зане, ки дар як осиёб гандум орд мекунанд, якеаш гирифта мешаваду дигараш мемонад».
LUK.17.37	Он гоҳ шогирдонаш аз Ӯ пурсиданд: «Эй Худованд, ин дар куҷо ба амал меояд?» Ӯ ба онҳо ҷавоб дод: «Ҳар ҷо ки ҷасади мурдае бошад, паррандаҳои лошахӯр дар он ҷо гирд меоянд».
LUK.18.1	Баъд Исо ба онҳо масалеро нақл кард, то бидонанд, ки бояд ҳамеша дуо бигӯянд ва ҳеҷ вақт рӯҳафтода нагарданд.
LUK.18.2	Ӯ гуфт: «Дар як шаҳр қозие буд, ки на тарсе аз Худо дошту на шарме аз мардум. 
LUK.18.3	Дар он шаҳр бевазане низ буд, ки ҳамеша ба назди ӯ омада мегуфт: „Маро муҳофизат кунед, то бар душманам маълум гардад, ки ман ҳақ ҳастам“. 
LUK.18.4	Қозӣ муддати дуру дароз талаби ӯро рад мекард, вале дар охир худ ба худ гуфт: „Гарчанде ман на тарсе аз Худо дораму на шарме аз мардум, 
LUK.18.5	вале, азбаски ин бевазан маро ба ҳолам намегузорад, ӯро ҳимоя мекунам, то ҳар гоҳ омада, маро безор накунад“». 
LUK.18.6	Сипас Худованд пурсид: «Шумо шунидед, ки ин қозии беадолат чӣ мегӯяд? 
LUK.18.7	Наход Худо интихобкардагони худро, ки шабу рӯз ба даргоҳаш зорию тавалло мекунанд, муҳофизат накунад? Магар Ӯ дер мекунад? 
LUK.18.8	Ба шумо мегӯям, ки Худо онҳоро зуд муҳофизат мекунад. Вале оё Фарзанди Инсон вақти омаданаш дар рӯи замин имонро ёфта метавонад?»
LUK.18.9	Баъд Исо ба онҳое, ки дар беайб будани худ шубҳае надошта, аз дигарон ҳазар мекарданд, чунин масалеро нақл кард:
LUK.18.10	«Ду кас барои дуогӯйӣ ба Хонаи Худо даромаданд. Яке фарисӣ буду дигаре андозгир. 
LUK.18.11	Фарисӣ рост истода, дар дилаш чунин дуо мегуфт: „Худоё! Туро шукр мегӯям, ки мисли одамони дигар қаллобу золим нестам, алоқаи беникоҳ намекунам ва ҳам монанди ин андозгир нестам. 
LUK.18.12	Ман ҳар ҳафта ду бор рӯза мегирам ва аз ҳар даромаде, ки дорам, ҳиссаи даҳумашро месупорам“. 
LUK.18.13	Вале андозгир дуртар истода, ҳатто ҷуръат намекард, ки сарашро боло карда, ба осмон нигарад. Вай танҳо бар сандуқи синааш мушт зада мегуфт: „Худоё! Ба мани гунаҳкор раҳм кун!“ 
LUK.18.14	Ба шумо мегӯям, ки на фарисӣ, балки ҳамин андозгир сафед шуда, ба хонааш баргашт. Зеро ҳар кӣ худро калон гирад, паст мешавад ва, баръакс, ҳар касе, ки худро хоксор гирад, сарбаланд мешавад».
LUK.18.15	Ба назди Исо кӯдакони хурдсолро оварданд, то ки Ӯ бар сари онҳо даст гузорад. Вале шогирдон инро дида, мардумро сарзаниш карданд. 
LUK.18.16	Исо кӯдаконро ба наздаш ҷеғ зада гуфт: «Монед, ки кӯдакон назди Ман оянд, пеши роҳи онҳоро нагиред, зеро Худо дар ҳаёти онҳое подшоҳӣ мекунад, ки мисли ин кӯдакон ҳастанд. 
LUK.18.17	Ба ростӣ ба шумо мегӯям, ҳар кӣ подшоҳии Худоро мисли кӯдак қабул накунад, ба он дохил намешавад».
LUK.18.18	Яке аз ҷумлаи сардорон аз Исо пурсид: «Эй устоди нек! Чӣ кор бояд бикунам, ки ҳаёти абадӣ насибам гардад?» 
LUK.18.19	Исо аз ӯ пурсид: «Чаро Маро нек мегӯйӣ? Ҳеҷ кас ба ғайр аз Худои ягона нек нест. 
LUK.18.20	Ту фармоишҳоро медонӣ: алоқаи беникоҳ накун, одамкушӣ накун, дуздӣ накун, шаҳодати бардурӯғ надеҳ, падару модаратро ҳурмату эҳтиром намо». 
LUK.18.21	Вай ба Исо ҷавоб дод: «Ман аз айёми ҷавониам ҳамаи ин фармоишҳоро риоя мекунам». 
LUK.18.22	Исо инро шунида гуфт: «Ба ту фақат як чиз намерасад. Ҳар он чизеро, ки дорӣ, фурӯхта, ба бечорагон бидеҳ. Он гоҳ соҳиби мукофоти осмонӣ мегардӣ. Баъд омада, Маро пайравӣ намо». 
LUK.18.23	Вале он мард инро шунида бисёр ғамгин шуд, чунки хеле бой буд. 
LUK.18.24	Исо ба вай нигоҳ карда гуфт: «Ба подшоҳии Худо дохил шудани одамони бой чӣ душвор аст. 
LUK.18.25	Аз сӯрохи сӯзан гузаштани шутур осонтар аз он, ки шахси бой ба подшоҳии Худо дохил шавад».
LUK.18.26	Онҳое, ки Ӯро мешуниданд, пурсиданд: «Пас кӣ наҷот ёфта метавонад?» 
LUK.18.27	Исо ҷавоб дод: «Ҳар чизе, ки барои одамон ғайриимкон бошад, барои Худо имконпазир аст».
LUK.18.28	Он гоҳ Петрус гуфт: «Ана, мо аз баҳри хонаҳои худ баромада, Шуморо пайравӣ кардем». 
LUK.18.29	Исо гуфт: «Ба ростӣ ба шумо мегӯям, ҳар кӣ ба хотири подшоҳии Худо аз баҳри хона, зан, бародарон, падару модар ва фарзандонаш гузарад, 
LUK.18.30	дар ин дунё ҳамаи инро чанд маротиба зиёдтар ба даст меораду дар он дунё ҳаёти абадӣ насибаш мегардад».
LUK.18.31	Исо он дувоздаҳ нафарро як сӯ бурда, ба онҳо гуфт: «Ана, мо ба Ерусалим рафта истодаем. Дар он ҷо ҳар чизе ки пайғамбарон дар бораи Фарзанди Инсон навиштаанд, ба амал хоҳад омад. 
LUK.18.32	Ӯро ба дасти беимонон месупоранд. Онҳо Ӯро масхара ва ҳақорат карда, туфборон 
LUK.18.33	ва қамчинкорӣ намуда ба қатл мерасонанд, вале Ӯ дар рӯзи сеюм аз нав зинда хоҳад шуд».
LUK.18.34	Лекин шогирдон аз ин гуфтаҳо чизеро нафаҳмиданд. Маънои суханони Исо аз онҳо пӯшида монд ва онҳо намефаҳмиданд, ки Ӯ дар бораи чӣ сухан меронад.
LUK.18.35	Вақте ки Исо ба Ериҳӯ наздик мешуд, нобиноеро дид, ки дар канори роҳ нишаста садақа мепурсид. 
LUK.18.36	Чун нобино шунид, ки аз наздаш мардуми зиёде мегузаранд, пурсид: «Худаш чӣ гап?» 
LUK.18.37	Ба вай гуфтанд, ки аз он ҷо Исои Носирӣ гузашта истодааст. 
LUK.18.38	Он нобино дод зада гуфт: «Эй Исои насли Довуд, ба ман раҳм кунед». 
LUK.18.39	Онҳое, ки пешопеш равона буданд, ӯро сарзаниш карда мегуфтанд, ки хомӯш шавад. Аммо ӯ торафт баландтар дод зада мегуфт: «Эй насли Довуд, ба ман раҳм кунед». 
LUK.18.40	Исо аз роҳаш бозистода фармуд, ки он нобиноро ба наздаш биёранд. Вақте ки ӯ наздик омад, Исо аз вай пурсид: 
LUK.18.41	«Ту чӣ мехоҳӣ? Бароят чӣ кор кунам?» Вай ҷавоб дод: «Худовандо! Мехоҳам бино шавам». 
LUK.18.42	Исо гуфт: «Бино шав! Имонат туро шифо дод». 
LUK.18.43	Вай ҳамон замон бино шуд ва Худоро ситоишкунон аз паси Исо равона гашт. Тамоми мардум инро дида, Худоро ҳамду сано мехонданд.
LUK.19.1	Исо ба Ериҳӯ ворид шуда, аз он ҷо мегузашт. 
LUK.19.2	Дар он шаҳр Заккай ном марди сарватманде буд, ки вазифаи сардори андозгиронро ба ӯҳда дошт. 
LUK.19.3	Вай мехост бубинад, ки Исо кист. Вале, азбаски мардум зиёд буду Заккай қади паст дошт, Ӯро дида натавонист. 
LUK.19.4	Бинобар ин ӯ давида пеш гузашту ба болои дарахти анҷир баромад, то ки Исоро ҳангоми аз он ҷо гузаштанаш бубинад. 
LUK.19.5	Исо ба он ҷо наздик шудан замон ба Заккай нигоҳ карда гуфт: «Заккай! Зудтар поён фаро! Ман бояд имрӯз дар хонаи ту бимонам». 
LUK.19.6	Вай зуд поён фаромада, бо хурсандӣ Исоро меҳмондорӣ кард. 
LUK.19.7	Инро дида, ҳама норозигии худро баён намуда мегуфтанд: «Ӯ дар хонаи марди гунаҳкор меҳмон шудааст». 
LUK.19.8	Аммо Заккай рост истода ба Худованд гуфт: «Ана, Худованд, ман нисфи бойигариамро ба бечорагон медиҳам ва агар аз касе бо фиреб пул ситонда бошам, чор баробар зиёдтар бармегардонам». 
LUK.19.9	Исо гуфт: «Имрӯз ба ин хона наҷот омад, чунки Заккай ҳам аз насли Иброҳим аст. 
LUK.19.10	Зеро Фарзанди Инсон барои он омадааст, ки гумроҳшударо кофта ёбаду наҷот диҳад».
LUK.19.11	Азбаски Исо аллакай дар наздикии Ерусалим буду шунавандагони Ӯ гумон доштанд, ки подшоҳии Худо ба зудӣ фаро мерасад, Вай масал гуфтанро давом дод:
LUK.19.12	«Як шахси олимартаба ба кишвари дурдаст сафар дошт, то ҳуқуқи ба тахти подшоҳӣ нишастанашро тасдиқ намуда, баргардад. 
LUK.19.13	Пеш аз рафтан вай даҳ нафар хизматгоронашро ба наздаш ҷеғ зада, ба ҳар кадомаш як тангаи тилло доду гуфт: „Дар вақти набудани ман ин тангаҳоро ба муомилот дароред“. 
LUK.19.14	Аммо ҳамшаҳриҳояш, ки ба вай нафрат доштанд, аз паси вай сафиронашонро фиристоданд, то рафта чунин бигӯянд: „Мо намехоҳем, ки вай бар мо подшоҳӣ кунад“. 
LUK.19.15	Вақте ки ӯ тахти подшоҳиро соҳиб шуда баргашт, фармон дод, то ҳамон хизматгоронеро, ки ба онҳо пул дода буд, ба наздаш ҷеғ зананд. Вай мехост бифаҳмад, ки ҳар яке аз онҳо чӣ қадар фоида ба даст овардааст? 
LUK.19.16	Аввалинаш омада, гуфт: „Хоҷаам, як тангаи тиллои шумо даҳ танга фоида овард“. 
LUK.19.17	Подшоҳ ба вай гуфт: „Офарин, хизматгори некам. Азбаски дар иҷрои вазифаи андаке вафодориатро нишон додӣ, туро ба даҳ шаҳр ҳоким таъин мекунам“. 
LUK.19.18	Дуюмин омада, гуфт: „Хоҷаам, як тангаи тиллои шумо панҷ танга фоида овард“. 
LUK.19.19	Подшоҳ ба вай гуфт: „Туро низ ба панҷ шаҳр ҳоким таъин мекунам“. 
LUK.19.20	Сеюмин омада, гуфт: „Хоҷаам, ана ин ҳамон тангаи тиллои шумо. Ман онро ба рӯймолчае печонда, нигоҳ доштам, 
LUK.19.21	чунки аз шумо метарсидам. Охир шумо одами сахтгир ҳастед. Аз он ҷое, ки нагузоштаед, мегиред ва он чизеро, ки накоштаед, дарав мекунед“. 
LUK.19.22	Подшоҳ ба вай гуфт: „Ту хизматгори бад будаӣ! Аз рӯи он чизе ки гуфтӣ, ба ту ҳукм мебарорам! Охир ту медонистӣ, ки ман одами сахтгир ҳастам, аз он ҷое, ки нагузоштаам, мегирам ва он чизеро, ки накоштаам, дарав мекунам. 
LUK.19.23	Пас, чаро пули маро ба муомилот нагузоштӣ, то ки вақти баргаштанам онро бо фоидааш бигирам?“ 
LUK.19.24	Баъд ба онҳое, ки дар наздаш буданд, фармон дод: „Аз дасташ тангаи тиллоро гирифта, ба хизматгоре диҳед, ки даҳ танга дорад“. 
LUK.19.25	Онҳо гуфтанд: „Хоҷаам, охир вай аллакай даҳ тангаи тилло дорад!“ 
LUK.19.26	„Ман ба шумо мегӯям, ба ҳар касе, ки чизе дорад, боз ҳам зиёд дода мешавад. Лекин аз касе, ки ҳеҷ чиз надорад, ҳатто он чизи андаке, ки дорад, гирифта мешавад.
LUK.19.27	Ҳоло бошад, он душманонамро, ки намехостанд бар онҳо подшоҳӣ кунам, ба ин ҷо биёреду дар пеши назарам ба қатл расонед“».
LUK.19.28	Исо ин масалро нақл карда, роҳашро давом дод ва ба сӯи Ерусалим раҳсипор гашт.
LUK.19.29	Вақте ки онҳо ба деҳаҳои Байт-Фоҷӣ ва Байт-Ҳинӣ, ки дар доманаи теппаи Зайтун воқеъ гаштаанд, наздик шуданд, Исо ду шогирдашро фиристоданӣ шуда, 
LUK.19.30	ба онҳо гуфт: «Ба қишлоқи дарпешистода биравед ва, ҳамин ки вориди он гаштед, харкурраи бастаеро мебинед, ки то ҳол касе ба он савор нашудааст. Бандашро кушода, онро ба ин ҷо биёред. 
LUK.19.31	Агар касе аз шумо пурсад, ки барои чӣ бандашро мекушоед, гӯед, ки вай ба Худованд даркор шуд».
LUK.19.32	Шогирдони фиристодашуда рафтанд ва, ҳамон тавре ки Ӯ ба онҳо гуфта буд, дарёфтанд. 
LUK.19.33	Вақте ки онҳо банди харкурраро мекушоданд, соҳибонаш аз онҳо пурсиданд: «Чаро банди харкурраро мекушоед?» 
LUK.19.34	Онҳо ҷавоб доданд: «Вай ба Худованд лозим аст». 
LUK.19.35	Пас онҳо харкурраро ба назди Исо оварда, ба болояш ҷомаҳои худро партофтанду Исоро ба он савор карданд.
LUK.19.36	Исо савора мерафту мардум ҷомаҳояшонро дар сари роҳи Вай пойандоз мекарданд. 
LUK.19.37	Вақте Исо ба роҳе наздик шуд, ки он аз болои теппаи Зайтун ба поён мебурд, тамоми гурӯҳи шогирдонаш барои ҳамаи мӯъҷизаҳое, ки дида буданд, шодикунон бо овози баланд Худоро ҳамду сано хонда 
LUK.19.38	мегуфтанд:
LUK.19.38	«Баракат ёбад шоҳе,
LUK.19.38	ки аз номи Худованд меояд!
LUK.19.38	Сулҳ дар осмон
LUK.19.38	ва шӯҳрату ҷалол ба Худо дар осмон!»
LUK.19.39	Баъзе фарисиён аз байни мардум ба Исо гуфтанд: «Эй устод, шогирдонатро ором кун!» 
LUK.19.40	Вай ҷавоб дод: «Бовар кунед, агар онҳо хомӯш шаванд, сангҳо дод мезананд».
LUK.19.41	Вақте ки онҳо наздиктар омаданд, Исо шаҳрро дида, дилаш ба ҳоли он сӯхта гиря карду гуфт: 
LUK.19.42	«Оҳ, кошки ақаллан ҳамин рӯз роҳеро, ки туро ба осоиштагӣ мебарад, медидӣ! Вале ҳоло он роҳ аз чашмони ту ниҳон аст. 
LUK.19.43+LUK.19.44	 Аз барои он ки ту ба наздат омадани Худовандро нафаҳмидӣ, ба сарат рӯзҳои сахт хоҳанд омад. Душманонат туро бо хоктӯдаҳо иҳота карда, муҳосира хоҳанд намуд. Онҳо аз ҳар тараф фишор оварда, туву сокинонатро ба хок яксон хоҳанд кард ва аз ту санг бар санге нахоҳад монд».
LUK.19.45	Исо ба ҳавлии Хонаи Худо даромада, ба пеш кардани савдогарон даромад. 
LUK.19.46	Вай ба онҳо гуфт: «Дар навиштаҷот гуфтаҳои Худо омадаанд, ки „Хонаи Ман ҷойи дуогӯйӣ мешавад“. Шумо бошед, онро ба паноҳгоҳи дуздон табдил додаед!»
LUK.19.47	Ӯ ҳар рӯз дар ҳавлии Хонаи Худо мардумро таълим медод. Сардорони рӯҳонӣ, шариатдонон ва раисони халқи Исроил бошанд, дар фикри куштани Ӯ буданд. 
LUK.19.48	Вале илоҷи ин корро ёфта наметавонистанд, чунки тамоми мардум беист ва бодиққат ба ҳар як сухани Ӯ гӯш медоданд.
LUK.20.1	Рӯзе, вақте ки Исо дар ҳавлии Хонаи Худо мардумро таълим дода, хабари хушро эълон мекард, ба наздаш сардорони рӯҳонӣ, шариатдонон ва пирони қавм омада 
LUK.20.2	пурсиданд: «Ба мо бигӯй, Ту бо кадом ҳуқуқ ин корро мекунӣ? Кӣ ба Ту чунин ҳуқуқро додааст?» 
LUK.20.3	Исо дар ҷавоб гуфт: «Ман ҳам ба шумо як савол медиҳам ва шумо ба Ман ҷавоб диҳед, ки 
LUK.20.4	ба Яҳё кӣ ҳуқуқ дода буд, ки одамонро таъмид диҳад: Худо ё инсон?» 
LUK.20.5	Онҳо бо ҳам муҳокима намуда, мегуфтанд: «Агар „Худо“ гӯем, Вай аз мо мепурсад: „Чаро ба Яҳё бовар накардед?“ 
LUK.20.6	Агар „одамон“ гӯем, мардум моро сангсор мекунанд. Охир одамон боварии комил доранд, ки Яҳё пайғамбар буд». 
LUK.20.7	Онҳо ҷавоб доданд, ки намедонанд. 
LUK.20.8	«Пас, Ман ҳам ба шумо намегӯям, ки бо кадом ҳуқуқ ин корро мекунам», — гуфт Исо.
LUK.20.9	Баъд Исо ба халқ нақл кардани чунин масалро сар кард: «Шахсе токзоре бунёд карда, онро ба иҷоракорон ба иҷора дод ва худаш ба муддати дуру дароз ба кишвари дигар сафар кард. 
LUK.20.10	Чун вақти ҳосилғундорӣ расид, ӯ хизматгореро ба назди иҷоракорон фиристод, то ҳаққи худро аз он токзор бигирад. Вале иҷоракорон ӯро латукӯб карда, бо дасти холӣ баргардонданд. 
LUK.20.11	Он вақт ӯ хизматгори дигарашро фиристод. Вале онҳо ӯро ҳам зада, шарманда карданду бо дасти холӣ баргардонданд. 
LUK.20.12	Ӯ боз хизматгори сеюмашро фиристод. Вайро низ маҷрӯҳ намуда, берун партофтанд. 
LUK.20.13	Он гоҳ соҳиби токзор гуфт: „Чӣ бояд бикунам? Писари азизамро мефиристам, шояд ӯро эҳтиром кунанд“. 
LUK.20.14	Вале иҷоракорон писари ӯро дида, ба якдигар гуфтанд: „Вай меросхӯр аст! Биёед, ӯро мекушем ва токзор аз они мо мешавад!“ 
LUK.20.15	Ва ӯро аз токзор берун бароварда куштанд.
LUK.20.15	Ба фикри шумо соҳиби токзор бо онҳо чӣ хел рафтор мекунад? 
LUK.20.16	Вай баргашта, он иҷоракоронро мекушаду токзорро ба дигарон медиҳад».
LUK.20.16	Онҳое, ки Исоро мешуниданд, гуфтанд: «Худо нигоҳ дорад!» 
LUK.20.17	Ӯ ба онҳо нигоҳ карда гуфт: «Пас ин калимаҳои навиштаҷот чӣ маъно доранд:
LUK.20.17	„Он сангеро, ки бинокорон нодаркор ҳисоб карда, як сӯ партофтанд,
LUK.20.17	санги асосии таҳкурсии бино гардид“.
LUK.20.18	Ҳар кӣ ба болои он санг ғалтад, шикаста майда-майда мешавад ва агар ин санг ба болои касе афтад, вайро маҷақ мекунад».
LUK.20.19	Шариатдонону сардорони рӯҳонӣ фаҳмиданд, ки ин масал бар зидди онҳо равона шуда буд ва хостанд ҳамон замон Исоро дастгир кунанд, вале аз мардум метарсиданд. 
LUK.20.20	Онҳо якчанд нафарро барои аз пайи Исо поидан фиристоданд, то ки худро ростқавл нишон дода, Ӯро бо сухан ба дом афтонанду барои ҳукм шудан ба дасти ҳокими румӣ супоранд.
LUK.20.21	Онҳо аз Исо пурсиданд: «Устод! Мо медонем, ки суханону таълимоти Шумо аз рӯи ҳақиқат аст. Медонем, ки нисбати ҳеҷ кас рӯйбинӣ надоред ва роҳҳои Худоро аз рӯи ҳақиқат таълим медиҳед. 
LUK.20.22	Бигӯед, оё раво аст, ки мо ба императори Рум андозу хироҷ супорем ё не?» 
LUK.20.23	Ӯ аз макри онҳо пай бурда, ба онҳо гуфт: 
LUK.20.24	«Ба Ман динореро нишон диҳед. Дар он акс ва номи кӣ аст?» «Император», — ҷавоб доданд онҳо. 
LUK.20.25	Исо ба онҳо гуфт: «Пас, он чӣ аз они император аст, бояд ба император баргардонда шавад ва он чӣ аз они Худост, ба Худо».
LUK.20.26	Онҳо натавонистанд Исоро пеши мардум бо сухан ба дом афтонанд ва аз ҷавоби Ӯ ба ҳайрат афтода, хомӯш шуданд.
LUK.20.27	Чанд нафар аз саддуқиён (онҳо аз нав зиндашавиро инкор мекарданд) ба пеши Исо омаданду 
LUK.20.28	ба Вай чунин савол доданд: «Устод, Мӯсо дар қонун ба мо навиштааст, ки агар бародари касе фарзанд наёфта бимирад, бигзор вай зани ӯро ба никоҳи худ дарорад ва фарзандони ба дунё омадаро ҳамчун насли бародари марҳумаш бидонад.
LUK.20.29	Инак, ҳафт бародар буданд. Бародари калонӣ зан гирифту фарзанде ба дунё наоварда мурд. 
LUK.20.30+LUK.20.31	 Бародари дуюм, сеюм ва ҳамин тавр ҳамаи ҳафт бародарон ӯро ба занӣ мегирифтанд, вале ҳеҷ яке аз онҳо фарзанде ба дунё наоварда мурданд. 
LUK.20.32	Оқибат зан ҳам аз дунё чашм пӯшид. 
LUK.20.33	Пас, рӯзе, ки мурдаҳо аз нав зинда мешаванд, вай зани кадоме аз онҳо мешавад? Охир ҳамаи ҳафт бародарон ӯро ба занӣ гирифта буданд!»
LUK.20.34	Исо ҷавоб дод: «Одамони ин олам зан мегиранд ва ба шавҳар мебароянд. 
