MAT.1.1	Dja nau nkoch yao u che Brah Yêsu Krist
JHN.20.20	Jêh Brah Yêsu lah kơt nây, Păng nhhơ đŏng ti Păng nơm, ndrel ma pŭng dak Păng ăn ma mpôl oh mon say. Mpôl oh mon say Kôranh Yêsu, khân păng răm rhơn hô ngăn. 
JHN.20.21	Brah Yêsu lah tay ma khân păng: “Ăn nau đăp mpăn ma khân may! Gâp đă khân may hăn ta ntŭk êng êng, kơt ma Bơ̆ lĕ đă Gâp hăn dja đŏng.”
JHN.20.22	Jêh Păng ngơi kơt nây, Păng khôm jât khân păng, n'ho ma lah: “Sŏ hŏm Brah Huêng Ueh i kloh ueh!
JHN.20.23	Lah khân may yô̆ ma bu mâu hôm kơp nau tih khân păng, Kôranh Brah yô̆ ma khân păng đŏng. Yơn ma lah khân may mâu yô̆ hôm kơp nau tih bu, nau tih khân păng hôm e kơt ơm.”
JHN.20.24	Nôk Brah Yêsu nhhơ săk ma mpôl oh mon, Thômas bu kuăl Điđim đŏng mâu geh ôh gŭ ta nây, păng jêng oh mon ta mpôl 12 nuyh kôranh oh mon nây đŏng. 
JHN.20.25	Mpôl oh mon aƀă mbơh nkoch ma păng: “Hên lĕ say Kôranh bân.” Yơn ma Thômas ơh: “Lah gâp ê hŏ say têl ntŭk bu pŏng đek gôl ta ti Păng, lah gâp ê hŏ lŏk ôh ma lau ti ta ntŭk bu pŏng ti Păng nây, ndrel ma lah gâp ê hŏ pah ôh ta têl ntŭk bu ntŏp Păng ta pŭng dak Păng nây, gâp mâu iăt ôh.”
JHN.20.26	Pham nar bơh kơi nây, mpôl oh mon gŭ rƀŭn tay ta trôm jay, nôk nây geh Thômas gŭ ndrel ta nây đŏng. Bol lah khân păng ntâl mpông dŭt nâp, Brah Yêsu hôm lăp dâk ta n'gul khân păng, lah ma khân păng: “Ăn nau đăp mpăn ma khân may!” 
JHN.20.27	Jêh ri Brah Yêsu lah ma Thômas: “Lŏng may uănh ti Gâp, lŏk lau ti may nây ta ti Gâp dja hŏm, jêh ri pah ti may nây ta pŭng dak Gâp dja đŏng. Iăt hŏm! Lơi hôm rlăch ôh!”
JHN.20.28	Thômas lah: “Ơ, May Kôranh gâp, May Brah gâp ngăn!” 
JHN.20.29	Brah Yêsu lah ma păng: “Ơ Thômas! Dâng may nsing ma Gâp, yorlah may lĕ say Gâp, yơn ma geh nau ueh ngăn ma bu moh nsing mâu ôh say.”
JHN.20.30	Brah Yêsu jan nau khlay ŏk jât ăn ma mpôl oh mon Păng say, yơn ma mâu geh ôh nchih ta samƀŭt dja.
JHN.20.31	Ndơ i geh nchih ta samƀŭt dja gay ma ŭch ăn khân ay may rŏ, n'ho ma iăt Brah Yêsu jêng Brah Krist i Kon Kôranh Brah ngăn, jêh ri ŭch ăn khân ay may nsing, gay ma khân ay may geh nau rêh n'ho ro yor ma Păng.
JHN.21.1	Bơh kơi nây Brah Yêsu nhhơ tay săk Păng nơm ăn mpôl oh mon Păng say jât ta meng dak nglao kuŏng Galilê
JHN.21.2	Geh Simôn i bu kuăl Pêtrôs đŏng, Thômas i bu kuăl Điđim đŏng, Nathanel tă bơh ƀon Kana bri Galilê, kon Sêƀêđê bar hê, ndrel ma oh mon Brah Yêsu bar hê êng jât gŭ ndrel ta nây.
JHN.21.3	Simôn i bu kuăl Pêtrôs đŏng lah ma khân păng: “Gâp hăn joi ka.” Khân păng ơh: “Hên hăn đŏng.” Jêh ri khân păng dâk hăn, hao ncho ta kalơ duk. Măng nây khân păng mâu ôh geh ka. 
JHN.21.4	Tât lôh nar a ôi, Brah Yêsu dâk kêng meng dak nây, yơn ma mpôl oh mon mâu ôh gĭt năl Păng.
JHN.21.5	Brah Yêsu lah ma khân păng: “Ơ oh mon! Khân may geh ka đŏng bơh?” Khân păng ơh: “Mâu geh ôh.” 
JHN.21.6	Brah Yêsu lah ma khân păng: “Khân may seng bơh ma duk nây, geh ka ro!” Jêh ri khân păng seng, geh ka dŭt ŏk, uih jal mâu dơi ôh.
JHN.21.7	Geh du huê oh mon i Brah Yêsu de rŏng nây lah ma Pêtrôs: “I nây Kôranh bân!” Tât ma Simôn i bu kuăl Pêtrôs đŏng tăng lah i nây Kôranh khân păng, păng nsoh bok ao ro, yorlah păng nơh gŭ săk kuh, jêh ri nsăt a dak su.
JHN.21.8	Yơn ma oh mon aƀă nây, khân păng vah duk hăn jât meng, uih ka ŏk i nây, yorlah mâu ir ngai ôh ma meng, klăp lah 200 hăt dơm. 
JHN.21.9	Tât mpôl oh mon hao a kơh ti, khân păng say ŭnh rnga, say ka, ndrel ma say geh nŭmpăng nđông kalơ ŭnh rnga nây đŏng. 
JHN.21.10	Brah Yêsu lah ma khân păng: “Ndjôt leo ta dja ƀă ka khân mre mhe geh i nây.” 
JHN.21.11	Jêh ri Simôn i bu kuăl Pêtrôs đŏng hăn uih jal leo a kơh dja, geh ka ŏk ngăn, ka kuŏng kuŏng geh 153 mlŏm, bol lah geh ka ŏk kơt nây kađôi, jal khân păng mâu hêk đŏng. 
JHN.21.12	Brah Yêsu lah ma khân păng: “Hăn ta dja leo băl sông hŏm.” Dâng lĕ mpôl oh mon i nây, mâu geh du huê bănh ôp Păng: “Bu moh May?” Yơn ma dâng lĕ khân păng lĕ gĭt lah Păng i Kôranh khân păng. 
JHN.21.13	Brah Yêsu hăn dăch kêng khân păng, jêh ri Păng sŏ nŭmpăng, ndrel ma ka ăn ma khân păng sa.
JHN.21.14	Ntop ma nây lĕ geh pe tơ̆ Brah Yêsu nhhơ săk Păng nơm ăn ma mpôl oh mon Păng say, ntơm bơh Păng lĕ dâk rêh.
JHN.21.15	Tât lĕ jêh khân păng sông sa nây, Brah Yêsu lah ma Simôn i bu kuăl Pêtrôs đŏng: “Ơ Simôn kon Yôhan
JHN.21.16	Brah Yêsu ôp tay păng du tơ̆ jât: “Ơ Simôn kon Yôhan! Ah May rŏng đŏng ma Gâp bơh?” Pêtrôs ơh: “Ơ Kôranh, May lĕ gĭt jêh nau gâp rŏng ma May.” Brah Yêsu lah ma păng: “Ăn may uănh phung i nsing ma Gâp tâm ban ma nơm chiăp uănh phung be biăp păng nơm.” 
JHN.21.17	Brah Yêsu ôp tay păng lôch pe tơ̆: “Ơ Simôn kon Yôhan! Ah may rŏng đŏng ma Gâp bơh?” Pêtrôs geh nau rngot ngăn, yorlah Brah Yêsu ôp păng lĕ geh pe tơ̆: “Ah may rŏng đŏng ma Gâp bơh?” Pêtrôs ơh ma Brah Yêsu: “Ơ Kôranh, May lĕ gĭt dâng lĕ rngôch ndơ, May lĕ gĭt jêh nau gâp rŏng ma May.” Brah Yêsu lah ma păng: “Ăn may uănh phung i nsing ma Gâp tâm ban ma nơm chiăp uănh phung be biăp păng nơm ăn geh mpa sa.
JHN.21.18	Gâp lah n'hêl nanê̆ ngăn ma may, nôk may hôm ndăm, may nsoh êng kho ao
JHN.21.19	Brah Yêsu ngơi kơt nây, Păng ŭch mbơh a mơm khât Pêtrôs, gay ma ăn Kôranh Brah geh nau chrêk lơp
JHN.21.20	Pêtrôs n'gâl jât kơi, say du huê oh mon Brah Yêsu de rŏng i nây tâng groi khân păng bơh kơi. Oh mon i nây gŭ n'gâl măt jât Brah Yêsu, dôl măng khân păng gŭ nhêt sông, nđâp ma ôp Brah Yêsu nơh: “Ơ Kôranh, bu moh leo bu hăn nhŭp may?”
JHN.21.21	Tât Pêtrôs say păng, Pêtrôs ôp Brah Yêsu: “Ơ Kôranh, lah ndri bunuyh i nây, moh ƀă nau geh ma păng?” 
JHN.21.22	Brah Yêsu ơh: “Lah Gâp ŭch rong păng hôm rêh tât nar Gâp plơ̆ văch, kŏ mâu geh nau khlay ma may đŏng, hô̆ may tâng groi Gâp hŏm!” 
JHN.21.23	Jêh ri ntơm bơh nôk nây, bu tăng nkoch đơn ta phung nsing ma Brah Yêsu lah oh mon i nây mâu geh khât ôh. Yơn ma Brah Yêsu mâu geh ôh lah ma Pêtrôs oh mon i nây mâu khât, Păng lah: “Lah Gâp ŭch rong păng hôm rêh tât nar Gâp plơ̆ văch, kŏ mâu geh nau khlay ma may đŏng.”
JHN.21.24	Oh mon i Brah Yêsu de rŏng nây, mbơh nkoch dâng lĕ nau khlay i dja jêng nau ngăn, ndrel ma nchih nau i nây đŏng. Bân gĭt, nau păng mbơh nkoch i nây jêng nau ngăn.
JHN.21.25	Hôm e geh ŏk jât nau Brah Yêsu lĕ geh jan, yơn ma lah bu nchih dâng lĕ nau Păng lĕ jan i nây, ta neh ntu dja yŏng ma geh ntŭk ma dơ samƀŭt bu nchih.
ACT.1.1	Dăn kôh mbah lah ueh ma Thêôphil
ACT.1.2	n'ho ma tât nar Kôranh Brah sŏ n'hao Păng ta trôk ta ntŭk Păng nơm ta kalơ. Jêh dâk rêh ê lor Păng hao ta nây, Păng ntĭnh nau ma mpôl kôranh oh mon i Păng nơm lĕ jêh kơih nơh, Păng ntĭnh khân păng tâng Brah Huêng Ueh i kloh ueh mbơh ma Păng.
ACT.1.3	Lôch jêh Păng dơn nau jêr jŏt n'ho ma khât nây, geh 40 năng 40 nar Păng nhhơ săk Păng nơm ăn ma mpôl kôranh oh mon say ŏk ngăn, gay ma ăn khân păng gĭt n'hêl lah Păng lĕ dâk rêh ngăn, Păng jan ŏk ntil ndơ đŏng. Nôk nây Păng nkre ma mbơh nkoch nau Kôranh Brah mât uănh đŏng. 
ACT.1.4	Geh du tơ̆ dôl Brah Yêsu gŭ sông sa ndrel mpôl kôranh oh mon, Păng lah: “Lơi hŏ ôh du lôh bơh ƀon Yêrusalem. Gâp lĕ jêh mbơh ma khân may, Bơ̆ Gâp lĕ ton njŭn Brah Huêng Ueh lăp gŭ ta khân may. Kŏp ta dja hŏ, tât nau ton i nây truyh ngăn. 
ACT.1.5	Yôhan-Ƀaptem vay jan ƀăptem yŭk bu ma dak, yơn ma hôm đê̆ nar jât năp tay Kôranh Brah ŭch ăn Brah Huêng Ueh gŭ ta săk khân may. Ndơ i nây tâm ban ma khân may yŭk ma Brah Huêng Ueh đŏng.”
ACT.1.6	Jêh ri mpôl kôranh oh mon tâm rƀŭn băl ta yôk tơm Ôlive, khân păng ôp Brah Yêsu: “Hơi Kôranh, aƀaơ dja ƀah May jêng Kađăch bri dak Israel?” 
ACT.1.7	Păng ơh: “Ta rnôk mong nar nây mâu ôh ăn khân may gĭt, Bơ̆ Gâp nơm dơm jan ndơ i nây nôk Păng nơm ŭch. 
ACT.1.8	Yơn ma geh du nau Gâp ŭch ăn khân may gĭt: Tât Brah Huêng Ueh i kloh ueh jŭr gŭ ta săk khân may, khân may geh nau brah. Jêh ri nau khlay i khân may lĕ say lĕ tăng Gâp ntŭm nti Gâp jan nơh, khân may jan tơm mbơh nkoch ta ƀon Yêrusalem dja, ta ƀon êng ta bri Yuđa, ta bri Samari, jêh ri n'ho ma lam neh ntu dja.”
ACT.1.9	Jêh Brah Yêsu ngơi nau nây, dôl mpôl kôranh oh mon hôm uănh Păng, Kôranh Brah sŏ n'hao Păng ta kalơ trôk, jêh ri geh tŭk nking lơi Păng, bu mâu hôm ôh say Păng.
ACT.1.10	Dôl khân păng hôm uănh n'gơr rơk hơk Brah Yêsu hao kalơ trôk ntŭk Kôranh Brah nây, dô ma say bar hê nsoh kho ao nglang dâk ndrel khân păng ta nây, bar hê khân păng i nây tông păr, 
ACT.1.11	jêh ri khân păng lah: “Hơi mpôl bri Galilê! Moh ndơ n'gơr uănh khân mre jât lơ trôk ri? Kôranh Yêsu nây lĕ Kôranh Brah sŏ bơh khân may n'hao kalơ trôk, Păng mâu ôh plơ̆ sât tay ta dja aƀaơ dja, yơn ma geh du nar Păng mra plơ̆ tay tâm ban ma khân may say Păng hao kalơ trôk nây nơh đŏng.”
ACT.1.12	Jêh ri mpôl kôranh oh mon plơ̆ sât bơh yôk nây, sât jât ƀon Yêrusalem. Yôk i nây bu rnha lah yôk tơm Ôlive, ngai bơh yôk nây đah Yêrusalem klăp lah du kilômet
ACT.1.13	Tât ta ƀon nây, khân păng lăp ta jay khân păng gŭ, jêh ri hao ta jrô kalơ ri. Ta nây geh Pêtrôs, geh Yôhan, geh Yakơ, geh Ŏndrê, geh Philip, geh Thômas, geh Ƀartôlômê, geh Mathay, geh Yakơ i kon Alphai, geh Simôn i bu kuăl lah ‘Bunuyh gơyh’, ndrel ma Yuđas i kon Yakôp a êng jât.
ACT.1.14	Lĕ mpôl nây tâm di du ntôr nau gay ma gŭ mbơh sơm ndrel nâng. Ta nây geh đŏng mpôl bu ur aƀă êng i vay tâng Brah Yêsu, jêh ri geh Mari i mê̆ Brah Yêsu, ndrel ma i oh oh bu klô Păng đŏng.
ACT.1.15	Nôk nar nây geh bunuyh i nsing ma Brah Yêsu gŭ rƀŭn klăp lah geh 120 nuyh. Jêh ri Pêtrôs dâk ta nklang n'gul khân păng ri, păng lah kơt nđa: 
ACT.1.16+ACT.1.17	“Hơi oh nô, Brah Huêng Ueh i kloh ueh lĕ mbơh jêh ma kađăch Đavid kăl e nơh, păng nkoch lor ma du huê bunuyh, bunuyh i nây Yuđas jêng du huê ta mpôl bân, jêng bunuyh jan kar ndrel bân đŏng, tih ma Yuđas nây leo bu hăn nhŭp Brah Yêsu chrao. Lĕ nau dja jêng di ngăn đah nau Đavid lĕ geh nchih ta samƀŭt Nau Kôranh Brah Ngơi.
ACT.1.18	Khân may lĕ gĭt jêh ndơ dja, prăk i Yuđas geh tă bơh nkhôm jan ndơ djơh nây nơh, bu sŏ prăk i nây rvăt du lôk neh mir, jêh ri păng chôt nkŭp, n'ho ma prih ndŭl lôh proch rbŏm.
ACT.1.19	Nau dja lĕ bunuyh ta ƀon Yêrusalem tăng lư dadê, n'ho ma bu kuăl ntŭk nây tâng nau ngơi khân păng nơm lah: ‘Hakhêlđamas’, rblang nau i nây lah: ‘Mir mham’. 
ACT.1.20	Ta samƀŭt Nau Kôranh Brah Ngơi ta samƀŭt Nau Mprơ Ơm lĕ nchih lah:
ACT.1.20	‘Ăn ntŭk păng gŭ nây jêng ntŭk rngot njăp,
ACT.1.20	Mâu ôh geh bunuyh gŭ’
ACT.1.20	Jêh ri geh nchih đŏng
ACT.1.20	‘Ăn geh du huê bunuyh ntrŏ nau jan kar păng’
ACT.1.21	Kơt ndri ăn bân sŏ du huê bunuyh ma ntrŏ păng. Iăt ma bunuyh i nây i lĕ gŭ ndrel bân ƀaƀơ, dôl Kôranh Yêsu leo trong ma bân,
ACT.1.22	ntơm bơh Yôhan-Ƀaptem jan ƀăptem yŭk Păng ma dak, n'ho ma tât Kôranh Brah sŏ Păng lôh bơh bân gŭ ntŭk Kôranh Brah nơm. Ndri ăn bân kơih du huê bunuyh gay ma jan tơm nkoch ndrel bân ma nau khlay Kôranh Yêsu dâk rêh.” 
ACT.1.23	Jêh ri khân păng ŭch sŏ bar hê oh mon, du huê ri rnha Yôsep, bu vay kuăl păng Ƀarsaƀas, mâu lah kuăl Yustus đŏng, i du huê jât rnha Mathês. 
ACT.1.24	Jêh ri khân păng leo băl mbơh sơm kơt nđa: “Hơi Kôranh! May gĭt nuih n'hâm dâng lĕ bunuyh, lah ndri dăn May mbơh ma hên, ah tă May ŭch kơih ta bar hê khân păng dja, 
ACT.1.25	gay ma jan kar jêng kôranh oh mon ntrŏ Yuđas, yorlah Yuđas lĕ ntlơi nau kar dja lĕ khât hăn gŭ a ntŭk păng nơm ri.” 
ACT.1.26	Jêh ri khân păng nhŭp ndơ nchroh nây di ta plăng Mathês, sŏ păng gŭ ndrel 11 kôranh oh mon nây.
ACT.2.1	Tât nar nhêt ƀŭn 50 nar phung Israel
ACT.2.2	Du ndŏm ta nây, dô ma tăng nteh n'găr tă bơh kalơ trôk, tâm ban ma sial khôm mprat dŭt hô ta trôm jay khân păng gŭ rƀŭn ri. 
ACT.2.3	Dôl nây mpôl kôranh oh mon say tâm ban ma mpiăt ŭnh hit, jêh ri mpiăt ŭnh i nây tâm nkhah gŭ ta ăp bôk khân păng du huê du huê ri. 
ACT.2.4	Brah Huêng Ueh i kloh ueh gŭ ta săk mpôl kôranh oh mon du huê du huê nây ngăn, ăn khân păng dơi mbơh ngơi nau ngơi êng êng, jêng nau ngơi i khân păng mâu ôh vay blao ngơi a lor nơh.
ACT.2.5	Nôk nây geh mpôl Israel jêng mpôl i iăt nau Kôranh Brah ŏk ngăn ta Yêrusalem, gay ma nhêt ƀŭn 50 nar i nây. Khân păng tă bơh ăp n'gor bri lam neh ntu dja. 
ACT.2.6	Khân păng i nây nchuăt ran uănh ta ri dadê, yor ma tăng nteh sial i nây. Tât ta nây khân păng say mpôl kôranh oh mon du huê du huê blao nau ngơi bu, jêng nau ngơi di ma mpôl êng êng khân păng nơm. Khân păng say kơt nây ndrŏt nhhih dadê ngăn. 
ACT.2.7	Khân păng mâu vât ôh, khân păng tâm lah: “Lĕ mpôl i ngơi nây, ơm mâu di lah mpôl bri Galilê hiah? Mpôl i nây mâu ôh blao ngơi ma bri êng.
ACT.2.8	Lah ndri mơm dâng bân tăng khân păng blao ngơi dâng lĕ nau ngơi bri bân? 
ACT.2.9	Phung bân ta dja geh bunuyh tă bơh bri Phathus, bri Mêđi, bri Êlăm, jêh ri geh aƀă tă bơh bri Mêsôpôtamia, bri Yuđa, bri Kapađôkia, bri Pŭntus, bri Asi, 
ACT.2.10	ndrel ma bri Prikia, bri Pamphilia, bri Êsip, bri Liƀi i dăch ma ƀon kuŏng Kiren, jêh ri geh đŏng bunuyh i tă bơh ƀon kuŏng Rôm hăn khŏl ta dja. 
ACT.2.11	Ta mpôl i nây geh mpôl Israel, geh mpôl bu êng i mhe lăp jêng phung Israel geh koh ntô, yor ma nsing ma Kôranh Brah đŏng, geh bunuyh tă bơh gôl dak Kret, ndrel ma bunuyh tă bơh bri Arăp. Bân tăng khân păng mbơh nkoch nau khlay Kôranh Brah dŭt nau ngăn tâng nau ngơi bân nơm du huê du huê ngăn.” 
ACT.2.12	Lĕ mpôl i nây mâu vât hô ngăn, mâu hôm ôh blao mân đŏng, khân păng tâm ôp ndrăng khân păng nơm: “Moh nau khlay i nây hiah?” 
ACT.2.13	Yơn ma geh bunuyh aƀă mưch lah: “Mpôl i nây nhŭl ndrănh dơm.”
ACT.2.14	Jêh ri Pêtrôs dâk ndrel 11 mpôl kôranh oh mon nây, păng ngơi dăng ma phung bunuyh ŏk nây: “Hơi oh nô kônh va phung Israel, ndrel ma oh nô kônh va dâng lĕ i gŭ ta ƀon Yêrusalem dja, dăn iăt hŏm nau gâp gay ma gĭt n'hêl nau dja, 
ACT.2.15	yorlah dâng lĕ khân păng dja mâu geh ôh nhŭl ndrănh kơt nau khân may mân nây, aƀaơ dja nchô ma mong sân ôi dơm! 
ACT.2.16	Nau dja jêng di ngăn đah nau Yôel i bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh, păng lĕ nchih lah:
ACT.2.17	‘Kôranh Brah lah: ‘Nar n'glĕ dŭt jât năp tay
ACT.2.17	Gâp nkhŭt Brah Huêng Ueh Gâp ăn gŭ ta dâng lĕ bunuyh.
ACT.2.17	Jêh ri huêng Gâp ăn kon bu ur bu klô khân may ntơyh nau ngơi Gâp, ndrel ma nkoch lor.
ACT.2.17	Mpôl drôh ndăm khân may gĭt say n'hêl ma măt ndơ i Gâp ăn say,
ACT.2.17	Jêh ri mpôl bu bŭnh bu ranh khân may gĭt say ndơ tă bơh Gâp ta nau mbơi.
ACT.2.18	Bol lah dâk bu ur dâk bu klô i nsing ma Gâp,
ACT.2.18	Gâp hôm nkhŭt Brah Huêng Ueh Gâp ăn gŭ ta khân păng đŏng ta nôk nây,
ACT.2.18	Jêh ri khân păng ntơyh nau ngơi Gâp, ndrel ma nkoch lor.
ACT.2.19	Gâp nhhơ nau khlay i bu mâu vay say ta kalơ trôk,
ACT.2.19	Ndrel ma nau mbên êng êng ta neh ntu dja,
ACT.2.19	Geh mham, geh ŭnh hit, ndrel ma geh nhhuk ŭnh.
ACT.2.20	Nar plăch rlơ̆ jêng ngo,
ACT.2.20	Khay jêng chăng tâm ban ma mham
ACT.2.20	Ê lor ma tât nar Kôranh Brah, jêng nar chrêk lơp dŭt kuŏng i nar Gâp phat dôih dâng lĕ bunuyh.
ACT.2.21	Ê lor ma nar i nây bu moh i kuăl vơl Kôranh Brah gay ma rklaih săk păng nơm, bunuyh i nây geh klaih ro’’
ACT.2.22	Hơi oh nô phung Israel, ăn khân ay may iăt hŏm nau dja, Kôranh Yêsu i tă bơh ƀon Nasaret nây, lĕ Kôranh Brah nhhơ ăn ma khân ay may Păng tă bơh Kôranh Brah ngăn. Kôranh Brah ăn Păng dơi jan ndơ kuŏng, jan ndơ nau ngăn, ndrel ma nau mbên êng êng jât ta phung khân ay may. Khân ay may lĕ gĭt jêh ma ndơ i nây,
ACT.2.23	tih ma khân ay may nhŭp njŭn Păng ăn a ti phung i mâu iăt nau Kôranh Brah, gay ma nkhât pŏng Ôbăl ta si tâm rkăng. Yơn ma Kôranh Brah lĕ gĭt lor ndơ i nây, n'ho ma ŭch geh kơt nây đŏng.
ACT.2.24	Jêh ri Kôranh Brah ăn Păng dâk rêh, rklaih Păng bơh nau jêr jŏt ta nau khât. Nau khât mâu ôh dơi kŏn Păng.
ACT.2.25	Kăl e nơh kađăch Đavid lĕ ngơi lah ndơ i nây ma Kôranh Yêsu, păng lah:
ACT.2.25	‘Gâp lĕ gĭt jêh Kôranh Brah gŭ dăch ma Gâp ƀaƀơ,
ACT.2.25	Păng gŭ bơh ma ti Gâp gay ma kơl Gâp, kơt ndri dâng Gâp mâu ôh klach rvê ma dâng lĕ ntil ndơ.
ACT.2.26	Nuih n'hâm Gâp n'ho ma răm maak, bŏr mbung Gâp ngơi rnê ma Păng,
ACT.2.26	Săk jăn Gâp gŭ ta nau rnơm đŏng,
ACT.2.27	Yorlah May mâu ôh ăn huêng Gâp khan nkre ta bri phan ntŭk bunuyh khât.
ACT.2.27	Ơ Kôranh Brah, Gâp i bunuyh kloh ueh, May mâu đŏng ăn săk jăn Gâp ôm.
ACT.2.28	May nhhơ ăn Gâp gĭt năl trong hăn tât ta nau rêh n'ho ro,
ACT.2.28	May ăn Gâp gŭ ueh răm maak, yor May gŭ ndrel Gâp’
ACT.2.29	Hơi oh nô! Gâp mbơh ăn ma khân ay may gĭt n'hêl, kađăch Đavid nây i che bân kăl e nơh păng lĕ khât jêh, bu tŏp păng ta môch, jêh ri i môch păng hôm e ta ƀon dja tât aƀaơ dja đŏng. 
ACT.2.30	Ndri dâng bân gĭt n'hêl Đavid mâu ôh ngơi ma săk păng nơm ta trong i nây, yơn ma păng nơh jêng bunuyh ntơyh nau ngơi Kôranh Brah. Kơt ndri dâng păng gĭt Kôranh Brah ton ma păng, ăn geh du huê Bunuyh ta rnoi deh păng hao jêng Kađăch, jêng Brah Krist i nơm rklaih i Kôranh Brah de njuăl đŏng. 
ACT.2.31	Yorlah lĕ kađăch Đavid say nau i nây lor ndơ i Kôranh Brah ŭch jan, dâng păng ngơi ma Brah Krist dâk rêh lah:
ACT.2.31	‘Huêng Păng mâu ôh khan nkre ta bri phan ntŭk bunuyh khât,
ACT.2.31	Săk jăn Păng mâu ôm đŏng’.
ACT.2.32	Kôranh Yêsu i nây Kôranh Brah rdŏk ăn Păng dâk rêh, lĕ hên dja lĕ say Păng dadê.
ACT.2.33	Kôranh Brah n'hao Kôranh Yêsu ăn jêng kôranh mât uănh ndrel Păng bơh ma Păng nơm. Kôranh Yêsu dơn Brah Huêng Ueh i kloh ueh tă bơh i Bơ̆, tâng nau Păng lĕ ton, jêh ri Kôranh Yêsu nkhŭt Brah Huêng Ueh ăn gŭ ta dâng lĕ phung hên. Ndơ i nây jêng ndơ i khân ay may say khân ay may tăng ta dja.
ACT.2.34	Kađăch Đavid mâu geh ôh hao kalơ trôk ta ntŭk Kôranh Brah, păng lah ma Brah Krist kơt nđa:
ACT.2.34	‘Kôranh Brah mbơh ma Kôranh gâp lah:
ACT.2.34	‘Ăn May Kôranh mât uănh ndrel Gâp, gŭ bơh ma ti Gâp dja
ACT.2.35	N'ho ma tât Gâp nhŭp kât phung rlăng May, ăn mre ma rkơl jŏng ƀŏt’’
ACT.2.36	Lah ndri dâng lĕ phung ƀon lan Israel ăn gĭt nau dja n'hêl nanê̆ ngăn, yorlah Kôranh Yêsu i khân mre nkhât lơi Păng ta si tâm rkăng nơh, lĕ Kôranh Brah de ăn Păng jêng Kôranh mât uănh, ndrel ma jêng Brah Krist đŏng.”
ACT.2.37	Tât ma khân păng tăng nau i nây, ta nuih n'hâm khân păng ri nŭm bu ntrôl ngăn, jêh ri ôp Pêtrôs, ndrel ma mpôl kôranh oh mon: “Hơi oh nô! Lah ndri hên dja mơm jan hă, gay ma Kôranh Brah yô̆ nđach nau tih hên?”
ACT.2.38	Pêtrôs ơh ma khân păng: “Ăn khân ay may rgâl hŏm nuih n'hâm djơh, jêh ri yŭk ƀăptem ma dak ta rnha Kôranh Yêsu Krist, ndri dâng Kôranh Brah yô̆ nđach mâu hôm kơp nau tih khân ay may, jêh ri Kôranh Brah ăn Brah Huêng Ueh i kloh ueh gŭ ta khân ay may.
ACT.2.39	Kôranh Brah lĕ ton kơt nđa, Păng ton ăn ma khân ay may, ăn ma kon ma sau khân ay may, ndrel ma dâng lĕ bunuyh i gŭ ngai ngai đŏng, dah ŏk bunuyh i Kôranh Brah kuăl ma nsing Păng nơm, Păng i bân yơk mbah nây.” 
ACT.2.40	Jêh ri Pêtrôs rblang mbơh nkoch nau ŏk jât, păng ntrôl khân păng lah: “Ăn khân ay may klaih du lôh tă bơh bunuyh djơh mhĭk ta rnôk dja hŏm, gay ma lơi ôh ăn Kôranh Brah tê̆ dôih khân ay may ndrel khân păng.” 
ACT.2.41	Kơt ndri bunuyh i iăt nau păng ngơi nây, khân păng nkre ma dơn nau ƀăptem yŭk ma dak ro, geh klăp lah 3000 nuyh, bunuyh i mhe sât nsing.
ACT.2.42	Lĕ phung i nây nsrôyh iăt nau mpôl kôranh oh mon nti, khân păng gŭ tâm rnglăp băl jêng oh nô, gŭ sông sa
ACT.2.43	Dâng lĕ bunuyh ta Yêrusalem geh klach nsŏr dadê, yor ma say nau dơi mpôl kôranh oh mon jan nây lĕ nau ngăn ŏk đŏng, ndrel ma nau mbên êng êng khân păng jan ŏk jât.
ACT.2.44	Dâng lĕ bunuyh i nsing ma Kôranh Yêsu, khân păng tâm di du ntôr nau dơm. Khân păng sŏ lĕ drăp ndơ khân păng geh, rgum ăn ndrel dadê. 
ACT.2.45	Khân păng tăch drăp ndơ khân păng geh, sŏ prăk tâm pă băl moh ndơ băl khân păng mâu tŏng. 
ACT.2.46	Ăp nar khân păng tâm di du ntôr nau nsrôyh mbơh sơm ta jŏng gung nhih jan brah. Dôl gŭ ta jay khân păng gŭ nhêt sa nkah kloh ueh, n'ho ma sông sa ndrel, khân păng maak ngăn, ndrel ma geh nuih n'hâm lŏng đŏng. 
ACT.2.47	Khân păng leo băl mprơ rnê ma Kôranh Brah. Dâng lĕ phung ƀon lan gĭt khân păng jêng bunuyh ueh. Kôranh Yêsu
ACT.3.1	Geh du nar ta mong pe kêng măng i di mong bu vay hăn mbơh sơm nây, Pêtrôs ndrel Yôhan hăn ta jŏng gung nhih jan brah, gay ma mbơh sơm đŏng.
ACT.3.2	Ta bôk mpông n'gar jŏng gung nhih jan brah ri, ta mpông nây bu rnha lah ‘Mpông ueh’, ta nây geh du huê bunuyh rven. Păng rven ntơm bơh oh bê ngăn, ăp nar bu tung păng ăn gŭ ta ntŭk nây, gay ma kŏp dăn ndơ bu i hăn ta jŏng gung nhih jan brah ma Kôranh Brah nây. 
