MAT.1.1	Yesu Krɩstʋ weyi ɛ-cɔzɔ lɛ Daaviidi nɛ ɛ́lɛ́ cɔzɔ lɛ Abraham yɔ, ɛ-cɔzɔnaa hɩla yɔ:
ACT.16.17	Pɛlɛ ɛnʋ, ɛna-ɖʋ ḿbʋ́ lɛ, ɛtɩŋɩɣ-ɖʋ nɛ ɛmakɩ kubusi se: «Ɛyáa panɛ pɛkɛ Ɛsɔ Caabiyuu tʋmlaɖaa, posusuu-mɩ ñʋʋ yabʋ tɔm.» 
ACT.16.18	Ɛmakaɣ kubusi ḿbʋ́ kɩyakɩŋ sakɩyɛ. Pʋkɔma pɩɖɛɛ Pɔɔlɩ lɛ, ɛpɩsɩnɩ pɛlɛ ɛnʋ ɛ-yɔɔ nɛ eholini eleeu weyi ɛwɛ ɛ-wayɩ yɔ se: «Yesu Krɩstʋ ɖoŋ taa lɛ, meheyiɣ-ŋ se ŋse pɛlɛ ɛnʋ ɛ-wayɩ!» Kpaagbaa ḿbʋ́ lɛ, eleeu ɛnʋ ese. 
ACT.16.19	Pɛlɛ ɛnʋ ɛ-caanaa nawa se ɛɛtasɩɣ-wɛ liidiye cazʋʋ lɛ, pakpa Pɔɔlɩ nɛ ɛ-taabalʋ Silaasɩ nɛ pɔhɔm-wɛ nɛ powoni ɛyáa samaɣ ɖikpeɣliye, tɛtʋ ñʋndɩnaa cɔlɔ. 
ACT.16.20	Patanɩ-wɛ Room ñʋndɩnaa cɔlɔ lɛ, peheyi-wɛ se: «Ɛyáa panɛ, pɛwɛɛ nɛ pɛwɛɛkɩɣ ɖɛ-tɛtʋ. Pɛkɛ Yuda ñɩma 
ACT.16.21	nɛ pawɩlɩɣ-ɖʋ sɔnzɩ nzɩ́ pɩtaha ɖa Room ñɩma nʋmɔʋ se ɖitisi yaa ɖɩla yɔ.» 
ACT.16.22	Peeɖe ɛyáa samaɣ kʋyɩ pɔ-yɔɔ ɖɔɖɔ nɛ ñʋndɩnaa ha nɔɔ se pacɩyɩ pɔ-yɔɔ wondu nɛ piyele polu-wɛ agbazɛɛ. 
ACT.16.23	Pɛtɛm-wɛ luu siŋŋ lɛ, powoni-wɛ paɖʋ salaka nɛ peheyi weyi ɛɖaŋɩɣ kɔ-nɔnɔɔ yɔ se ɛɖaŋ-wɛ camɩyɛ kpam. 
ACT.16.24	Pʋ-yɔɔ ɛ́lɛ́ kpaɣ-wɛ nɛ ɛsʋnɩ ɖooo pɩ-taa kuduyuu taa nɛ ɛka pa-naŋgbanzɩ ɖaŋ pɔŋ taa. 
ACT.16.25	Pɩkɛdɩ ɖoó hɛkʋ taa lɛ, Pɔɔlɩ nɛ Silaasɩ pɛsɛɣ Ɛsɔ nɛ pasaŋ-ɩ nɛ hendu nɛ salaka tɩnaa lɛlaa welesiɣ. 
ACT.16.26	Pɩkɛdaa lɛ, tɛtʋ tɩñamsɩ siŋŋ nɛ pɩkpɛndɩnɩ salaka kuduyuu nɛ kʋ-nɔnɔsɩ tɩŋa tɩtʋlɩ yem nɛ yoŋgbasɩ nzɩ́ paaɖɩ salaka tɩnaa tɩŋa yɔ sɩtɩcɛbʋ. 
ACT.16.27	Peeɖe kɔ-yɔɔ ɖaŋɩyʋ fema nɛ ɛnaɣ kɔ-nɔnɔsɩ tɩŋa tʋlɩ yem haaa. Pʋ-yɔɔ ɛlɩzɩ ɛ-sɩɣa se ɛtɛzɩɣ ɛ-tɩ kʋʋ nɛ ɛhɛzɩ. Mbʋ́ pʋyɔɔ yɔ, ɛmaɣzaɣ se paa pɩɩla ɛzɩma yɔ, salaka tɩnaa tɩŋa lɩwa pese. 
ACT.16.28	Ɛlɛ́, Pɔɔlɩ ma kubuka leɣ leɣ se: «Đatɩŋa ɖɩwɛɛ yooo, taakʋ ña-tɩ!» 
ACT.16.29	Peeɖe ɖaŋɩyʋ ɛnʋ ɛtɔm se pɔkɔnɩ-ɩ miŋ. Pɔkɔnɩ-ɩ lɛ, ɛtɩsʋʋ ɖooo pɩ-taa ɖenɖe ɛɖɩɣ Pɔɔlɩ nɛ Silaasɩ yɔ nɛ eluŋ pɛ-tɛɛ. Sɔɔndʋ kakpa-ɩ nɛ ɛ-nandʋ paɣ́. 
ACT.16.30	Ɛlɛ́, ɛlɩzɩ-wɛ nɛ awayɩ nɛ ɛpɔzɩ-wɛ se: «Caawaa! Ɛbɛ pʋwɛɛ se mala nɛ mehiɣ ñʋʋ yabʋ?» 
ACT.16.31	Paba cosi-i se: «Wɛnɩ lidaʋ Kɩpaɣlʋ Yesu yɔɔ nɛ ɛya ña-ñʋʋ nɛ pɩkpɛndɩnɩ ñɔ-hɔʋ taa ñɩma.» 
ACT.16.32	Peeɖe ɛkpaɣ-wɛ nɛ ɖoó ana nɛ ewoni ɛ-tɛ nɛ peheyi ɛ nɛ ɛ-hɔʋ taa ñɩma tɩŋa Kɩpaɣlʋ tɔm. 
ACT.16.33	Pɛtɛm-wɛ heyuu lɛ, ɛñalɩ pa-kɩcɩkpɩŋ taa. Pʋwayɩ lɛ, Pɔɔlɩ nɛ Silaasɩ pala ɛ nɛ ɛ-ñɩma ḿbá patɩŋa lɩm sɔʋ sɔnzɩ. 
ACT.16.34	Ɛlɛ́, ewoni-wɛ e-kuduyuu tɛɛ nɛ ɛha-wɛ tɔɔnaɣ nɛ pɔtɔɔ nɛ ɛ nɛ ɛ-hɔʋ taa ñɩma tɩŋa payɩ pa-taa hʋlʋmɩ pɩtɩɩfɛyɩ, mbʋ́ pʋyɔɔ yɔ, pɛwɛnɩ lidaʋ Ɛsɔ yɔɔ. 
ACT.16.35	Tɛʋ fema lɛ, Room ñʋndɩnaa tiyi karɩsɩ nasɩyɩ se siwolo siheyi salaka yɔɔ ɖaŋɩyʋ ɛnʋ se ɛlɩzɩ Pɔɔlɩ nɛ Silaasɩ salaka taa. 
ACT.16.36	Peeɖe ɛkʋyɩ hɛɛɛ nɛ ewolo eheyi Pɔɔlɩ se: «Ñʋndɩnaa tiyaa nɛ peheyi-m se malɩzɩ-mɩ salaka taa. Pʋ-yɔɔ lɛ, ɩlɩɩ ikpemni laŋhɛzɩyɛ.» 
ACT.16.37	Ɛlɛ́, pɩtamaɣ Pɔɔlɩ nɛ eheyi karɩsɩ ńzɩ́ se: «Mɩ-ñʋndɩnaa yeba nɛ pamabɩ-ɖʋ ɛyáa tɩŋa hɛkʋ taa nɛ patahʋʋ ɖɔ-tɔm natʋyʋ kaʋ nɛ powoni-ɖʋ paɖʋ salaka. Ŋgʋ́ ɖa ɖɔɖɔ ɖɩkɛ Room ñɩma
ACT.16.38	Paba pɩsaa peheyi-wɛ se Pɔɔlɩ nɛ Silaasɩ pɛkɛ Room ñɩma ɖɔɖɔ lɛ, sɔɔndʋ kpa-wɛ. 
ACT.16.39	Peeɖe pakʋyɩ pa-maɣmaɣ nɛ powolo pɛhɛzɩ pa-laŋa nɛ palɩzɩ-wɛ salaka taa nɛ petendi-wɛ se pakʋyɩ tɛtʋ ńdʋ́ tɩ-taa. 
ACT.16.40	Pɔɔlɩ nɛ Silaasɩ palɩ salaka taa peeɖe lɛ, powolo Liidii tɛ. Peeɖe pana taabalaa nɛ peyele pɩla paba hʋnʋm. Pʋwayɩ lɛ, pɛɖɛɛ.
ACT.17.1	Pɔɔlɩ nɛ Silaasɩ pakʋyɩ Liidii tɛ lɛ, patɩŋnɩ Amfipolii nɛ Apolooni pɛ-tɛtʋ taa nɛ pɔkɔɔ patalɩ Tesalooniki ñɩndʋ taa. Yuda ñɩma Ɛsɔ ɖɩsɛyɛ naɖɩyɛ kɛwɛ peeɖe. 
ACT.17.2	Patalaa nɛ pɩtalɩ kɩyakʋ kɩhɛzʋʋ lɛ, Pɔɔlɩ wolo Ɛsɔ ɖɩsɛyɛ taa ɛzɩ ɛtɩɩlakʋʋ yɔ. Peeɖe ɛ nɛ Yuda ñɩma palabɩ lɩmaɣza Ɛsɔtɔm Takayaɣ taa tɔm yɔɔ kɩyakɩŋ kɩhɛzɩŋ naadozo. 
ACT.17.3	Ɛlɩzɩ-wɛ tɩ-tɔbʋʋ nɛ ɛtɩŋnɩ tɩ-yɔɔ nɛ eheyi-wɛ se Weyi Ɛsɔ Lɩzaa Yɔ, pɩɩwɛ ḿbʋ́ se ɛtɔɔ kʋñɔŋ siŋŋ nɛ ɛkɔɔ ɛsɩ nɛ efe nɛ ɛlɩɩnɩ sɩɖaa taa. Eheyi-wɛ se Yesu weyi ɛkɛdɩɣ-wɛ ɛ-tɔm yɔ, ɛnʋ lɛ Weyi Ɛsɔ Lɩzaa Yɔ. 
ACT.17.4	Ɛyáa ḿbá, pa-taa lɛlaa tisi tɔm ńdʋ́ nɛ patɩŋ Pɔɔlɩ nɛ Silaasɩ pa-wayɩ nɛ pɩkpɛndɩnɩ Grɛɛkɩ ñɩma sakɩyɛ mbá pañaŋaɣ Ɛsɔ yɔ nɛ abila naayɛ. 
ACT.17.5	Peeɖe Yuda ñɩma labɩ ɛsɩsɛmɩyɛ nɛ pekpeɣli añɔndɔmwaa nabɛyɛ nɛ pa nɛ wɛ peyele ɛyáa kpeɣli Tesalooniki tɛtʋ ńdʋ́ tɩ-taa nɛ peseɣti-wɛ. Halɩ paaku ɖama nɛ powolo abalʋ weyi payaɣ se Yaasɔɔ yɔ ɛ-tɛ nɛ pañɩnɩɣ Pɔɔlɩ nɛ Silaasɩ se pakpa-wɛ nɛ pahʋʋnɩ-wɛ tɔm samaɣ ɛsɩndaa. 
ACT.17.6	Ɛyáa ḿbá powoba lɛ, patana-wɛ. Peeɖe pakpa Yaasɔɔ nɛ pɛkpɛndɩnɩ taabalaa nabɛyɛ nɛ pɔhɔm-wɛ nɛ powoni tɛtʋ ñʋndɩnaa cɔlɔ nɛ poholuu se: «Ɛyáa panɛ, pɛwɛɛkɩɣ kedeŋa kpeekpe, lɛɛlɛɛyɔ, patalɩ ɖɛ-tɛ cɩnɛ 
ACT.17.7	nɛ Yaasɔɔ mʋ-wɛ nɛ pɛwɛɛ ɛ-tɛ! Pa-taa nɔɔyʋ ɛɛɖɔŋ mbʋ́ Room wiyaʋ sɔsɔ ɖʋwa yɔ pʋ-yɔɔ, pɔyɔɔdʋʋ se nɔɔyʋ wɛɛ ɖɔɖɔ, ɛkɛ wiyaʋ sɔsɔ, ɛnʋ lɛ Yesu.» 
ACT.17.8	Tɔm ńdʋ́, tɩɩcɛyɩ ñʋndɩnaa ḿbá nɛ ɛyáa samaɣ siŋŋ. 
ACT.17.9	Ɛlɛ́, pɛpɛlɩ Yaasɔɔ nɛ ɛ-taabalaa kɩmɩyɛ nɛ pɛhɛyɩ-ɖɩ nɛ pʋcɔ peyebi-wɛ.
ACT.17.10	Đoo tɩyuwa lɛ, taabalaa heyi Pɔɔlɩ nɛ Silaasɩ se pɛɖɛɛ Beree tɛtʋ taa. Patalaa lɛ, powolo Yuda ñɩma Ɛsɔ ɖɩsɛyɛ taa. 
ACT.17.11	Peeɖe Yuda ñɩma lɩmaɣza kɛwɛ ɖeu nɛ pɩkɩlɩ Tesalooniki ñɩma, mbʋ́ pʋyɔɔ yɔ, paatisi Ɛsɔtɔm nɛ pa-laŋɩyɛ tɩŋa pilim. Paa ɖooye pañɩnaɣ Ɛsɔtɔm Takayaɣ taa se pana se tɔm ndʋ́ Pɔɔlɩ yɔɔdʋʋ yɔ, tɩkɛ toovenim na. 
ACT.17.12	Pa-taa ɛyáa sakɩyɛ kɛwɛnɩ lidaʋ Yesu yɔɔ, pɩkpɛndɩnɩ Grɛɛkɩ ñɩma: abila nɛ abalaa sakɩyɛ, nɛ petisi se tɩkɛ toovenim. 
ACT.17.13	Yuda ñɩma mbá pɛwɛ Tesalooniki yɔ, panɩwa se Pɔɔlɩ wɛɛ nɛ esusuu Ɛsɔtɔm Beree ḿbʋ́ lɛ, pakʋyɩ powolo peeɖe nɛ peseɣtiɣ ɛyáa nɛ peliɣtiɣ pa-lɩmaɣza. 
ACT.17.14	Pʋ-yɔɔ taabalaa heyi Pɔɔlɩ se ɛɖɛɛ teŋgu hɔɔlʋʋ taa kpaagbaa. Ɛlɛ́, Silaasɩ nɛ Timootee paba ñacaɣ peeɖe. 
ACT.17.15	Ɛɖɛɣaɣ lɛ, nabɛyɛ sɩɩ-ɩ nɛ patanɩ-ɩ Atɛɛnɩ tɛtʋ taa. Papɩsaɣ lɛ, eheyi-wɛ se patalaa lɛ, peheyi Silaasɩ nɛ Timootee se pakʋyɩ kpaka nɛ patɩŋ ɛ-wayɩ.
ACT.17.16	Pɔɔlɩ kaawɛ Atɛɛnɩ nɛ ɛɖaŋ Silaasɩ nɛ Timootee lɛ, ɛna se agɔlɩma coka ɖeke suni tɩ-taa. Pʋ-yɔɔ pɩwɩzɩ-ɩ 
ACT.17.17	nɛ ɛtɛzɩ ɖɛʋ ewolo Yuda ñɩma Ɛsɔ ɖɩsɛyɛ taa nɛ ɛ nɛ Yuda ñɩma nɛ mbá pɛtɛkɛ Yuda ñɩma nɛ pañaŋ Ɛsɔ yɔ, palakɩ lɩmaɣza Yesu tɔm yɔɔ. Paa ɖooye, ewokaɣ ɛyáa samaɣ ɖikpeɣliye nɛ ɛ nɛ mbá pɛwɛ peeɖe yɔ pɔyɔɔdʋʋ. 
ACT.17.18	Peeɖe lɔŋsɩnɖaa mbá pɛkɛ Epikuri nɛ Sitoyiisi pa-aŋgba taa ñɩma yɔ, powobi Pɔɔlɩ cɔlɔ nɛ pa nɛ ɩ pɔyɔɔdʋʋ nɛ pa-taa lɛlaa tɔŋ se: «Abalʋ kɔkɔɖɛ yaɖʋ ɛnɛ, se we ɛyɔɔdʋʋ yee?» Lɛlaa ñanɩ ɛyɔɔdaɣ Yesu sɩm nɛ e-fem pɔ-tɔm ḿbʋ́ lɛ, paba ñɔtɔŋ se: «Paa pɩɩla ɛzɩma, agɔlɩma kɩfana tɔm ɛyɔɔdʋʋ.» 
ACT.17.19	Pʋ-yɔɔ pakpaɣ-ɩ powoni ɛyáa samaɣ ɖikpeɣliye ɖenɖe payaɣ se Areyoopajɩ yɔ nɛ pɔpɔzɩ-ɩ se: «Tɔm kɩfatʋ ndʋ́ ŋwɩlɩɣ ɛyáa ɛzʋnɔ yɔ, tʋtʋ lɛ ndʋ́ kpem? 
ACT.17.20	Mbʋ́ pʋyɔɔ yɔ, tɔm ndʋ́ ŋheyiɣ-ɖʋ yɔ, ɖɩtanɩdɩ-tʋ kaʋ, pʋ-yɔɔ ɖɩcaɣ se ɖɩnɩɩ tɩ-tɔbʋʋ.» 
ACT.17.21	Toovenim lɛ, Atɛɛnɩ ñɩma tɩŋa payɩ nɛ agɔmaa mbá pɛwɛ peeɖe yɔ, pa-tʋmɩyɛ lɛ se tɛʋ efema lɛ, pɛwɛɛ tɔm taa tazʋʋ nɛ tɩ-susuu yɔɔ.
ACT.17.22	Ḿbʋ́ hanɩ Pɔɔlɩ waɖɛ nɛ ewolo ɛsɩŋ Areyoopajɩ hɛkʋ taa nɛ eheyi-wɛ se: «Atɛɛnɩ ñɩma mɩ! Manawa se ɩkɛ agɔlɩma tɛɛ luŋiyaa siŋŋ. 
ACT.17.23	Mbʋ́ pʋyɔɔ yɔ, mɔncɔwaɣ mɩ-tɛtʋ taa lɛ, mana agɔlɩma wena a-tɛɛ iluŋaɣ yɔ a-coka. Halɩ mana ɖoli nɔɔyʋ cokiye naɖɩyɛ, pama ɖɩ-yɔɔ se: ‹Ɛgɔlɩmɩyɛ nɖɩ́ ɖɩtasɩm-ɖɩ yɔ ɖi-cokiye yɔ.› Tɔɔ! Pʋwɛ ɖeu. Ɛlɛ́, mbʋ́ iluŋuu pɩ-tɛɛ nɛ ɩtasɩm-pʋ yɔ, pʋ-tɔm ma Pɔɔlɩ mɔnkɔm-mɩ heyuu: ḿbʋ́ lɛ 
ACT.17.24	Ɛsɔ. Ɛnʋ labɩnɩ kedeŋa kpeekpe nɛ mbʋ́ pɩtɩŋa pʋwɛ kɔ-yɔɔ yɔ, ɛnʋ lɛ Kɩpaɣlʋ ɛsɔdaa nɛ tataa. Ɛɛcakɩ coka wena ɛyáa manɩ pe-nesi yɔ a-tɛɛ. 
ACT.17.25	Ɛfɛyɩ kɛtɛɖaɣ taa nɛ pʋpɔzʋʋ se ɛyáa ɛlabɩ-ɩ pʋyʋ. Mbʋ́ pʋyɔɔ yɔ, ɛnʋ hanɩ patɩŋa payɩ wezuu nɛ mbʋ́ pɩtɩŋa pʋwɛ kedeŋa yɔɔ yɔ. 
ACT.17.26	Ɛtɩŋnɩ ɛyʋ kʋɖʋm weyi ɛlayɩ labʋ yɔ ɛ-yɔɔ nɛ ɛla ɛyáa kpeekpe kedeŋa yɔɔ. Ɛɖʋ-wɛ alɩwaatʋ ndɩ ndɩ nɛ ɛtayɩ-wɛ ajɛya. 
ACT.17.27	Ɛlabɩ ḿbʋ́ se ɛyáa ɛñɩnɩ-ɩ kpeɣu taa kpeɣu taa nɛ pʋtɔmaɣ yɔ, pana-ɩ. Ŋgʋ́, Ɛsɔ toposini ɖa-taa nɔɔyʋ. 
ACT.17.28	Mbʋ́ pʋyɔɔ yɔ, ɛ-yɔɔ ɖɩwɛ wezuu nɛ ɖɩlakɩ pɩtɩŋa. Ḿbʋ́ ɖɔɖɔ mɩ-tɛ hendu teyaa nabɛyɛ kɔyɔɔdaa. Pɔyɔɔdaa se: ‹Đa ɖɔɖɔ ɖɩkɛ e-liɖe taa ñɩma.›
ACT.17.29	Yee ḿbʋ́ pɩfɛyɩ se ɖɩmaɣzɩ se papɩzɩɣ pakpaɣ-ɩ nɛ pɛkɛdɩnɩ sɩʋ kpelaɣ ŋgá ɛyáa maɣzaa nɛ polubini sika yaa liidiye yaa pɩyɛ nɛ pacanɩ-kɛ yɔ. 
ACT.17.30	Ɛsɔ ɛɛtasɩɣ kpaɣʋ mbʋ́ ɛyáa kalabɩ ɖooo lɔŋ nɛ patatɩlɩ yɔ nɛ ɛlabɩnɩ tʋmɩyɛ. Ɛlɛ́, lɛɛlɛɛyɔ eheyiɣ patɩŋa payɩ paa le se pɛlɛɣzɩ wɛtʋ. 
ACT.17.31	Mbʋ́ pʋyɔɔ yɔ, ɛtɛm ɖʋʋ kɩyakʋ ŋgʋ́ ɛkɔŋ hʋnaʋ kedeŋa kpeekpe yɔɔ ɛyáa nɛ toovenim yɔ. Ɛyʋ weyi ɛlɩzaa yɔ, ɛ-yɔɔ ɛtɩŋɩɣna nɛ ɛhʋʋnɩ-wɛ tɔm. Mbʋ́ ɛwɩlɩnɩ paa weyi se ɛkɔŋ-pʋ labʋ yɔ lɛ se efezi-i nɛ sɩɖaa taa.»
ACT.17.32	Mbá pɛwɛ peeɖe yɔ, panɩ Pɔɔlɩ yɔɔdaɣ sɩɖaa fem tɔm ḿbʋ́ lɛ, pa-taa lɛlaa woŋ-i nɛ lɛlaa ñɔtɔŋ se: «Wiɖiyi lɛ, ŋŋtasɩ kɔm nɛ ŋheyi-ɖʋ-tʋ.»
ACT.17.33	Peeɖe ɛkʋyɩ pɛ-hɛkʋ taa nɛ ɛɖɛɛ. 
ACT.17.34	Paa ḿbʋ́ yɔ, nabɛyɛ kanɩnɩ-ɩ nɛ petisi ɛ-tɔm nɛ pɛwɛnɩ lidaʋ Krɩstʋ yɔɔ. Pa-taa yɔ: Denisi weyi ɛkɛ Areyoopajɩ tɔm hʋyaa taa lɛlʋ yɔ nɛ halʋ weyi payaɣ se Damaari yɔ nɛ lɛlaa ɖɔɖɔ.
ACT.18.1	Pʋwayɩ lɛ, Pɔɔlɩ kʋyɩ Atɛɛnɩ nɛ ewolo Kɔrɛntɩ tɛtʋ taa. 
ACT.18.2	Peeɖe ɛkatɩ Yuda tʋ nɔɔyʋ, palʋlɩ-ɩ Pɔntɩ egeetiye taa. Payaɣ-ɩ se Akilaasɩ. Ɛ nɛ ɛ-halʋ Prisiili patalʋʋ peeɖe yɔ, piteleɖida. Itaalii ɛjaɖɛ taa palɩnaa, mbʋ́ pʋyɔɔ yɔ, Room wiyaʋ sɔsɔ weyi payaɣ se Kloodi yɔ ɛɛha nɔɔ se pataatasɩ naʋ Yuda tʋ nɔɔyʋ Room tɛtʋ taa. Pɔɔlɩ na-wɛ ḿbʋ́ lɛ, ewolo pɔ-cɔlɔ 
ACT.18.3	nɛ ɛ nɛ wɛ pɛwɛɛ nɛ palakɩ tʋmɩyɛ. Mbʋ́ pʋyɔɔ yɔ, paakɛ kɩɖanɖɩŋ laɖaa ɖɔɖɔ ɛzɩ ɛnʋ yɔ. 
ACT.18.4	Paa kɩyakʋ kɩhɛzʋʋ ŋgʋ́ lɛ, Pɔɔlɩ wokaɣ Yuda ñɩma Ɛsɔ ɖɩsɛyɛ taa nɛ ɛ nɛ wɛ nɛ Grɛɛkɩ ñɩma palakɩ lɩmaɣza Yesu tɔm yɔɔ nɛ ɛñɩnɩɣ se petisi-tʋ.
ACT.18.5	Silaasɩ nɛ ɛ-taabalʋ Timootee pɔkɔm palɩɩnɩ Masedonii nɛ patalɩ Pɔɔlɩ cɔlɔ Kɔrɛntɩ lɛ, pɩha-ɩ waɖɛ nɛ esusuu Laŋhɛzɩyɛ Tɔm alɩwaatʋ kpeekpe nɛ eheyiɣ Yuda ñɩma ḿbá se Yesu lɛ Weyi Ɛsɔ Lɩzaa Yɔ. 
ACT.18.6	Ɛlɛ́, paba ñakʋyʋʋ ɛ-yɔɔ nɛ patʋʋ-ɩ. Pʋ-yɔɔ ekpizi-wɛ e-wondu yɔɔ mʋzʋʋ nɛ pɩwɩlɩ se ɛkɔɔlɩ-wɛ nɛ eyebi-wɛ nɛ pa-sʋʋtʋ nɛ eheyi-wɛ se: «Yee ɩkɔm ile yɔ, ɩtɩlɩ ɖeu se mɩ-maɣmaɣ mɩ-cɔlɔ pɩlɩnaa, pɩtatasɩ kɛʋ ma-ñɩndʋ. Pɩkpaɣʋnɩ lɛɛlɛɛyɔ yɔ, mɛnkɛɣnɩ mbá pɛtɛkɛ Yuda ñɩma yɔ pɔ-yɔɔ.»
ACT.18.7	Peeɖe ɛkʋyɩ pɔ-cɔlɔ nɛ ewolo abalʋ weyi payaɣ se Tiitiyuusi Yustuusi yɔ ɛ-tɛ. Pɩɩñɔtɩnɩ Yuda ñɩma Ɛsɔ ɖɩsɛyɛ kpam, abalʋ ɛnʋ eluŋaɣ Ɛsɔ tɛɛ. 
ACT.18.8	Krispuusi weyi ɛkɛ Ɛsɔ ɖɩsɛyɛ taa ñʋʋdʋ yɔ, ɛɛwɛnɩ lidaʋ Kɩpaɣlʋ yɔɔ nɛ pɩkpɛndɩnɩ ɛ-ñɩma tɩŋa payɩ. Kɔrɛntɩ ñɩma sakɩyɛ mbá pewelesaɣ Pɔɔlɩ tɔm yɔ, paawɛnɩ ɖɔɖɔ lidaʋ Kɩpaɣlʋ yɔɔ nɛ palabɩ-wɛ lɩm sɔʋ sɔnzɩ.
ACT.18.9	Đoo naayɛ taa lɛ, Kɩpaɣlʋ heyi Pɔɔlɩ ɖoziye taa se: «Taasɔɔndɩ, wɛɛ ŋyɔɔdʋʋ, taasu. 
ACT.18.10	Mbʋ́ pʋyɔɔ yɔ, ma-maɣmaɣ mɛwɛ ñɔ-cɔlɔ. Nɔɔyʋ ɛɛpɩzɩɣ ɛkpa-ŋ nɛ ɛlabɩ-ŋ kɩdɛkɛdɩm nabʋyʋ. Mbá pɔkɔŋ kɛʋ ma-ñɩma yɔ, pɔɖɔ tɛtʋ tʋnɛ tɩ-taa.» 
ACT.18.11	Ḿbʋ́ labɩna nɛ Pɔɔlɩ caɣ Kɔrɛntɩ peeɖe pɩnaɣ nɛ hɔɔlʋʋ nɛ ɛwɩlɩɣ ɛyáa Ɛsɔtɔm.
ACT.18.12	Alɩwaatʋ ndʋ́ Room tʋ weyi payaɣ se Galiyɔɔ yɔ ɛtɔɔ kewiyaɣ Akayɩ egeetiye taa yɔ, tɩ-taa Yuda ñɩma tam nɔɔ nɛ pakʋyɩ Pɔɔlɩ yɔɔ nɛ pakpa-ɩ se powokini-i tɔm ɖɩhʋyɛ. 
ACT.18.13	Patanɩ-ɩ lɛ, pɔtɔ se: «Abalʋ ɛnɛ, ɛwɩlɩɣ ɛyáa se poluŋ Ɛsɔ tɛɛ luŋuu mbʋ́ yɔ, pɩtɛkɛ ḿbʋ́ paɖʋ paɣtʋ taa.» 
ACT.18.14	Pɔɔlɩ caɣaɣ se ekuli ɛ-nɔɔ lɛ, Galiyɔɔ maɣmaɣ cosi-wɛ se: «Yuda ñɩma mɩ! Yee ɛzaɣ́tʋ yaa kɩwɛɛkɩm sɔsɔm nabʋyʋ ɛɛlaba yɔ, pʋbʋ, maaɖɔkɩ mɔ-hɔyɛ nɛ mewelesini-mɩ ɛzɩ pʋmʋnaʋ yɔ. 
ACT.18.15	Ɛlɛ́, ɖenɖe pɩkɛnɩ tɔm hɔm yem tɔm pee nɛ hɩla nɛ mɩ-maɣmaɣ mɩ-paɣtʋ pɔ-yɔɔ yɔ, mɩ-cɔlɔ lɛ. Maahʋʋ pɩtɛ tɔm ńdʋ́!» 
ACT.18.16	Eheyi-wɛ ḿbʋ́ lɛ, ɛɖɔɔnɩ-wɛ tɔm ɖɩhʋyɛ. 
ACT.18.17	Peeɖe patɩŋa pakpa pɛ-Ɛsɔ ɖɩsɛyɛ taa ñʋʋdʋ Sɔstɛɛnɩ tɔm ɖɩhʋyɛ peeɖe nɛ papazɩ-ɩ mabʋ. Ɛlɛ́, piteheyi wiyaʋ Galiyɔɔ natʋyʋ.
ACT.18.18	Pɔɔlɩ katasɩ caɣʋ Kɔrɛntɩ peeɖe alɩwaatʋ sakɩyɛ. Pʋwayɩ lɛ, ɛkʋyɩ taabalaa cɔlɔ nɛ ɛ nɛ Prisiili nɛ ɛ-walʋ Akilaasɩ pasʋʋ mɛlɛ se powoki Siirii ɛjaɖɛ taa. Pʋcɔ pɛɖɛɛ lɛ, Pɔɔlɩ kahʋm ɛ-ñʋʋ Sankree, mbʋ́ eɖuuni Ɛsɔ se ɛlakɩ yɔ pʋ-yɔɔ. 
ACT.18.19	Pɔkɔm patalɩ Efɛɛzɩ tɛtʋ taa lɛ, Pɔɔlɩ yebi-wɛ nɛ ewolo Yuda ñɩma cɔlɔ pɛ-Ɛsɔ ɖɩsɛyɛ taa nɛ ɛ nɛ wɛ palakɩ lɩmaɣza Yesu tɔm yɔɔ. 
ACT.18.20	Peeɖe paba tendi-i se ɛtasɩ caɣʋ pɔ-cɔlɔ. Ɛlɛ́, ekizi. 
ACT.18.21	Ɛkʋyɩ pɔ-cɔlɔ se ɛɖɛɣ lɛ, eheyi-wɛ se: «Yee Ɛsɔ etisaa yɔ, manpɩsɩɣ mɩ-cɔlɔ.» Ɛtɛm-wɛ heyuu ḿbʋ́ lɛ, ɛsʋʋ mɛlɛ peeɖe nɛ ɛɖɛɛ. 
ACT.18.22	Ɛkɔm ɛtalɩ Sezaaree nɛ etii lɛ, ɛkpaɣ nʋmɔʋ nɛ ewolo Yeruusalɛm nɛ ɛsɛɛ Krɩstʋ ŋgbɛyɛ taa ñɩma. Pʋwayɩ lɛ, ewolo Antɩyɔɔsɩ. 
ACT.18.23	Ɛcaɣ peeɖe alɩwaatʋ cabɩ lɛ, ɛkʋyɩ ɛtɩŋnɩ Galaasii nɛ Frijii pa-ageeta taa nɛ eyele nɛ a-taa Krɩstʋ wayɩ tɩŋɩyaa tɩŋa kpa ɖoŋ pe-lidaʋ wɛnaʋ taa.
