GEN.1.1	Kerrngehkenh duninjh God bolkmarnbom rowk, kaddum dja kurorre. 
LUK.9.37	Wanjh malaywi bu birriwarddekoluy wanjh birrimirndewern duninjh birridabkeng Jesus. 
LUK.9.38	Kaluk kunmekbe nakudji bininj nawu kumekbe birrimirnderri wanjh kayhmeng, yimeng, “Ngudda nawu kanbukkabukkan, djawahdjawan bu yinan ngardduk beywurd, dja nungka wanjh nadjalkudji duninjh wurdyaw ngardduk, 
LUK.9.39	dja namalngwarre kabihmang dja kunu kadjalwohkayhme, wanjh namalngwarre kabimarnbun kakukbarlbarlme, kaluk kahnunjdjabun. Nahni namalngwarre kamdurndeng munguyh, dja wanjh kawernhwarrewon dja karrowen! 
LUK.9.40	Dja ngaye ngabendjaldjawani bininj nawu ngudda ke yibenhbukkabukkan, ngadjareni bedda birribebkemeninj namekbe namalngwarre, dja wanjh birridulkarreyawarreni birribarabom.”
LUK.9.41	Wanjh Jesus yimeng, “Ngudda nawu bolkkime ngurrimimbi, nawu minj ngurriwoybukwon God, dja mak ngurridjaldjare kunwarre, kaluk baleh kayime karridjarrkni, dja baleh kayime madbun ngudberre bu yimankek ngurriwoybukwon?” Wanjh bimarneyimeng nawu kornkumo, “Mah. Yimka nawu beywurd ke kondah.” 
LUK.9.42	Bu wurdyaw bu balhrey, namekbe namalngwarre biwohkukburriweng dja bimarnbom kukbarlbarlmeng. Wanjh Jesus birruy namekbe namarnde, wanjh bimarnbom wurdyaw, dja birrurndiweng kore kornkumo. 
LUK.9.43	Wanjh birriwern rowk birrikangebarrhmeng bu birrinang God nuye kunmakkaykenh duninjh.
LUK.9.43	Dja bu birribalhmayahmi rowk nuye bu yehyeng nawu nungka kurduhkurduyimi, wanjh nungka benmarneyimeng bininj nuye nawu benhbukkabukkani, yimeng, 
LUK.9.44	“Ngurriwernhbekka manih manu kunwok bu marneyime bolkkime, ngurridahkendo kukodjkulu, dja ngaye nawu Bininj Duninjh ngokko darnkih ngandikukweykan kore bininj.” 
LUK.9.45	Wanjh kuhni bu Jesus benmarneyimeng, bedda minj birrimenmayi dja mak manu kunwok benmarnewarlkkayindi ba minj birriwernhburrkburrkbekkayi, dja mak birrikeleni bu birridjawayi kuhni kunwokkah wernhmulewayi.
LUK.9.46	Kaluk Jesus nuye benbukkabukkani, wanjh bedda birridangwerreni birridjawarreni bu nangale kore bedda kaluk kabenmarnekukdokme nawu birribuyika bedberre. 
LUK.9.47	Wanjh bu nungan Jesus burrbom bedman bedberre bu birriburrbuhburrbuni kukange bedberre, wanjh nungka bimey nakudji wurdyaw, wanjh binameng kore nungka nuye kungurrird. 
LUK.9.48	Wanjh benmarneyimeng, “Nangale nawu kabikimang nahni wurdyaw kore kunngey ngayekah, wanjh kunu ngaye ngankimang, dja nangale nawu ngaye ngankimang, wanjh kabikimang warridj nawu ngaye nganmunkeweng. Kaluk bininj nawu nadjalyahwurd dja nawu kamre yerre ngudberre, nungka wanjh namekbe nanu nawu ngunbalmarnekukdokme ngudberre.”
LUK.9.49	John wokdolkkang, yimeng, “Ngudda nawu kanmarnewohrnan ngadberre, ngad ngarrinang nakudji bininj nawu ngunhngeybuni dja benhbebkeyi namarnde, dja ngad ngarringurdkemeninj bu minj nungka dorrengh ngundidjarrkmunkekadjung.” 
LUK.9.50	Wanjh Jesus bimarneyimeng, “Yuwn ngurringurdke, dja bininj nawu minj ngunyiwirrihme bu ngurrihkurduyime, wanjh yiman rerrih nungka ngunbidyikarrme.”
LUK.9.51	Kaluk bu darnkih kumhrey nuye Jesus God kabiwayhke kabikan kaddum heaven, nungka Jesus njilngbekkarrinj bu kunmekbe djahdjalley kore Jerusalem. 
LUK.9.52	Wanjh nungka benmunkeweng yikahwi bininj kabirriyingkihdokme nawu birrimarnekani kunwok. Bedda birriwam birribebmeng kore kubolkyahwurd, kaluk kunred bedberre bininj nawu Samariahbeh, kumekbe birribebmeng birriyingkihmarnebolkmarnbuyi. 
LUK.9.53	Dja bininj nawu birrihni kumekbe kunred wanjh bedda minj birrikimayi Jesus, dja birriburrbom nungka Jesus njilngbekkarrinj rengehrey Jerusalem. 
LUK.9.54	Wanjh James dja John nawu nuye Jesus benbenehbukkabukkani, bu bedda benenang kunmekbe birriyimeng, wanjh beneyimeng, “Ngudda nawu Yiwohrnan Rowk, ngudda yidjare ngad ngarrimarnekayhme kunak kamkolung kaddumbeh kabenkukkinje rowk?” 
LUK.9.55	Dja Jesus balborledmeng benbeneduy.
LUK.9.56	Wanjh kunmekbe birribaldjalley kore kunredbuyika kubolkyahwurd.
LUK.9.57	Bu birribalhrey kore manbolh, kaluk nakudji bininj biwohmarneyimeng Jesus, “Ngaye munkekadjung ngudda bu baleh yarrkka yire.” 
LUK.9.58	Dja Jesus bimarneyimeng, “Nawu dalkken kakarrme kudjorlok kore kayo, dja nawu mayhmayh kawelyi warridj red kakarrme red, dja ngaye nawu Bininj Duninjh minj ngabolkkarrme ngayeman ngardduk bu ngakodjkeyo.”
LUK.9.59	Dja Jesus bimarneyimeng nabuyika bininj, “Kanmunkekadju.” Dja nungka yimeng, “Nawu Yiwohrnan, kanmunkewemen werrk ba ngare ngakukdudjeng kornkumo ngardduk.” 
LUK.9.60	Wanjh Jesus bimarneyimeng, “Yibawo, dja nawu yiman bedman birridowerrinj rerrih, bedda wanjh bindikukdudjimen nawu bindimarnedoweng. Dja nguddanu, yidjallay, yibenbengdayhke bininj bu God Kawohrnan rowk.”
LUK.9.61	Kaluk bininj nabuyikawali yimeng, “Ngaye wanjh munkekadjung ngudda, ngudda nawu Yiwohrnan, dja kanmunkewemen werrk, ngabenwoknan nawu kured kabirrihni.” 
LUK.9.62	Jesus bimarneyimeng, “Bininj nawu bidkurrmerrinj kore kundulk dedjdjingmey kabolkkarung mandjad, dja munguyh kahborledme kahbolknan rerre, wanjh nakka minj namak bu yimankek kahdurrkmirri kore God Kawohrnan rowk.”
LUK.10.1	Kaluk wanjh Jesus nawu Kawohrnan Rowk bendjarrngbom seventy bininj, wanjh benmunkeweng, birriyingkihdokmi nuye kore kuredbubuyika kaluk kubolkkihkimuk, dja mak kubolkbubuyika rowk kore nunganwali darnkih kabebme. Wanjh bu benmunkeweng bedman bokenh, dja mak bedman bokenh, birribebbehrey. 
LUK.10.2	Dja benmarneyimeng, “Yiman manme manbu djolengminj wanjh manwern duninjh, dja nawu kabirrimoyhmang wanjh birrimirndeyahwurd. Wanjh ngurridjaldjawa nawu nuye kabbal bu kabenmunkewe birriwern kabirrimarnemoyhmang manmekbe manbu yiman mandjoleng manme. 
LUK.10.3	Mah. Ngurriray. Dja kandibekka, marneyime ngudberre, ngaye munkewe ngudberre, yiman ngurrikukyime lamb nawu mayh kelebuk, ngurrire kore bininj birribang nawu yiman dalkken. 
LUK.10.4	Yuwn ngurrikanahkan nawu kunwarddekenh ngurrikukdahkendong, dja yuwn mak ngurrikan baladji, dja yuwn ngurrikan nabuyika nawu ngurridengedjongburrenkenh. Dja mak yuwn nangale ngurriwohnarren birribuyika bu ngurrihre manbolh.
LUK.10.5	Bu yarrkka ngurringimen kunrurrk, ngurriyimen werrk, ‘Ngadjare God ngunwon ngudberre kunmodmikenh nuye!’ 
LUK.10.6	Dja bu kumekbe kani bininj nawu kadjare God nuye kunmodmikenh, wanjh kunu kunmodmikenh nawu ngurriyidjawan God wanjh kabiwon, dja bu bininj minj kadjare God nuye kunmodmikenh, wanjh kunu ngunmarnedurndeng ngudberre kunmodmikenh nawu ngurridjareni nuye.
LUK.10.7	Dja mak kore kunrurrkkudji ngurridjalnin ngurringun ngurribongun manbu bedda ngundiwon, dja nangale nawu kahdurrkmirri wanjh nanu kamak kabirrikarremulewan. Yuwn ngurriwohrewohre ngurriyo kunrurrkbubuyika. 
LUK.10.8	Bu yarrkka ngurribebme kore kunred kubolkkimuk dja bu ngundikimang, wanjh ngurringun manbu ngundimarnekurrme. 
LUK.10.9	Dja ngurrbenmarnbu nawu kumekbe kabirrihni nawu kabirridowen, dja ngurrbenmarneyime, ‘Wanjh ngokko darnkih kumwam bu God ngunmarnewohrnan ngudberre.’
LUK.10.10	Dja bu yarrkka ngurribebme kore kunred kubolkkimuk, kore bininj minj ngundikimang, wanjh kunu ngurribebmen kore manbolh kore kumekbe kunred dja ngurriyimen, 
LUK.10.11	‘Kundjulng konhda kuredbeh manbu kandengebelbmeng ngadberre, wanjh ngad ngarridengeborndurren ngarridjulngwe rowk, kunu bimulewan ngudberre bu kunwarre ngurrihdjalburrbun. Kunu bonj, wanjh kuhni ngurriburrbu, ngokko darnkih kumwam bu God Kawohrnan rowk.’”
LUK.10.12	Dja Jesus yimeng bedberre nawu benmunkeweyi, “Ngayime ngudberre, kaluk bu kamre God ngundjadme bininj, wanjh nawu kabirrihni kumekbe kunred, bedda wanjh wernkih kabirridjakbekkan, dja nawu birrihni kore kabolkngeyyo Sodom, bedda wanjh yiman walakkih kabirridjakbekkan.”
LUK.10.13	Dja mak Jesus yimeng, “Aba! Ngudda bininj nawu ngurrihni kabolkngeyyo Chorazin, dja ngudda mak nawu ngurrihni kabolkngeyyo Bethsaida, wanjh kunrayek duninjh kamyimerran ngudberre! Bu kunmekbekenh kunu ngudda wanjh ngurrinang bu ngaye ngakurduyimeng kundulkarre dorrengh. Dja bu bininj nawu birrihni kabenebolkngeyyo Tyre dja Sidon, bu kunmekbe yimankek ngakurduyimeninj bedberre, wanjh ngokko birribawoyi kunwarre birriborledmeninj kore God, dja birriniwirrinj kunmadj birridjongbuyindiwirrinj nawu kunyemekenh, dja warridj birribarurrimeninj kunyirrke dorrengh! 
LUK.10.14	Kaluk bu kamre God ngundjadmekenh bininj rowk, wanjh ngudda nawu ngurrihni kore Chorazin dja Bethsaida, ngudda wernkih ngurridjakbekkan, dja bedda nawu birrihni kore Tyre dja Sidon, bedda wanjh yiman walakkih kabirridjakbekkan.”
LUK.10.15	“Dja ngudda nawu ngurrihni kore kabolkngeyyo Capernaum, yimankek ngudda ngurriyime God ngunkukenwon ngunkan heaven? Dja wanjh burrkyak, ngudda wanjh ngunkukburriwe ngudberre ngunyemikan ngurrire kanjdji duninjh kore kubolkwarre
LUK.10.16	Dja mak Jesus yimeng bedberre nawu benmunkeweyi, yimeng, “Bininj nawu ngunwokmarrkmang ngudberre, wanjh ngaye nganwokmarrkmang. Dja bininj nawu ngundjalwarnyak, wanjh ngaye warridj nganwarnyak. Dja ngaleng bininj nawu nganwarnyak ngaye, wanjh kunu kabidjalwarnyak nahni nawu ngaye nganmunkeweng.”
LUK.10.17	Kaluk bu nawu birrimekbe seventy bininj nawu Jesus benmunkeweng, kaluk bu birrihrey wanjh birrimdurndi, wanjh birrikuniwarnmakni, birriyimeng, “Ngudda nawu Yiwohrnan, bu ngudda ngundihngeybuni, wanjh namarnde warridj kandiwokmarrkmangi!” 
LUK.10.18	Wanjh Jesus benmarneyimeng, “Namarnde Duninjh nawu mak kangeyyo Satan, nungka wanjh ngaye ngahnani bu mankang kaddumbeh yiman rerrih namarrkon bu kahmayhke. 
LUK.10.19	Dja ngaye marnbom ngudberre ba ngurrikarrme kundulkarre ngardduk ba ngurrimelme nabang nayin dja mak marla, dja mak ngurriwe kundulkarre nuye nawu ngunwidnan ngudberre, dja minj njale kunwarre ngunmarneyime ngudberre ngurridjakbekkan. 
LUK.10.20	Dja kunu bonj, yuwn bu kunmekbekenh ngurriwarnmakmen, bu nawu namalngwarre rowk ngundiwokmarrkmang. Dja ngaleng ngurridjalwarnmaknin bu ngurringeybimbuyindi kore Heaven.”
LUK.10.21	Wanjh kunmekbe rerrih Namalngmakkaykenh bikangemarnbom Jesus wernhkangemarrmarrminj, dja yimeng, “Ngabba, ngudda nawu Yiwohrnan rowk kore kaddum heaven dja mak kondah kurorre, ngaye burluburlume ngudda bu kuhni yibenmarnewarlkkang bedberre nawu kabirriwernhburrbun dja mak birrimayaliwern, dja yibenbukkabukkang bininj nawu yiman wurdyaw rerrih. Yoh Ngabba, dja kuhni wanjh yingan ke yinjilngni kore yidjareni.”
LUK.10.22	Dja mak kunih Jesus benmarneyimeng nawu seventy bininj, yimeng bedberre, “Yehyeng rowk wanjh Ngabbard nganwong, dja minj bininj kabirriburrbun bu nangale nawu Beywurd, nadjalkudji Kornkumo kabiburrbun bu nangale Beywurd, dja minj bininj kabirriburrbun bu nangale Kornkumo, nadjalkudji nawu Beywurd kabiburrbun bu nungka nangale, dja warridj bininj nawu Beywurd kadjare kabenbukkan, wanjh bedda warridj kabirriburrbun bu nungka nangale nawu Kornkumo.” 
LUK.10.23+LUK.10.24	Wanjh Jesus benmarneborledmeng bedberre nawu bininj nuye nawu benhbukkabukkani bu bedman birrihni birridjalkudjihkudji, dja yimeng, “Dja ngayime ngudberre, bu birriwern nawu korroko birriwokmulewani God, dja mak king nawu korroko birriwohrnawohrnani, bedda wanjh birridjareni birrinayi nawu ngudda bolkkime ngurrihnan, dja minj bedda birrinayi. Dja warridj birridjareni birribekkayi nawu ngudda bolkkime ngurrihbekkan, dja minj bedda birribekkayi. Wanjh ngurrinjilngmak nguddanu nawu ngurrihnan.”
LUK.10.25	Kaluk nakudji bininj nawu wernhburrbuni mankarre, wanjh dolkkang bidjawam Jesus bimayalirohrokmeng, yimeng, “Ngudda nawu kanhbukkabukkan ngadberre, kaluk baleh ngaye ngakurduyime ba kakarremarnbuyindan bu ngaye ngarrarrkid kore God munguyh munguyh?” 
LUK.10.26	Jesus biwokmey, yimeng, “Kaluk njale kawokbimdi kore mankarre, kaluk baleh ngudda yibekkan kakarreyime?” 
LUK.10.27	Wanjh namekbe bininj biwokmey yimeng, “Kuhni wanjh kawokbimdi, ‘Nawu God ke nawu Kawohrnan rowk, yimarnedjarenin kunkange dorrengh, kunnjilng dorrengh kunngudj dorrengh, dja kunmayali dorrengh.’ Dja mak kayime, ‘Yibenmarnedjarenin birribuyika bininj nawu ngurridarnhni, yibennahna dorrengh, yiman bu yingan yimarnedjaremerren yinahnarren dorrengh.’ ” [Deuteronomy 6:5; Leviticus 19:18] 
LUK.10.28	Jesus bimarneyimeng, “Ngudda wanjh mandjad kanmarneyimeng, bu kunmekbe yikurduyime wanjh kunukka yirrarrkid.”
LUK.10.29	Dja namekbe bininj djareni Jesus bu kabiyime nungka kunmakkenh bidjawam, wanjh kunu biyawoyhdjawam, yimeng, “Dja kaluk nangale nawu ngudda yiyime birribuyika bininj nawu ngarridarnhni?”
LUK.10.30	Wanjh Jesus biwokmey, bimarneyolyolmeng yimeng, “Nakudji bininj rengehrey, kaluk Jerusalem bolkbawong dja rengehrey kore kunred Jericho, wanjh bu balhrey birrimarnebebmeng bininj nawu kabirrihdjirdmang kabirribun dorrengh. Bedda wanjh birrikukyerrkkeng, dja birribom birrikukmarladjwong, wanjh birribawong namekbe nawu birrikukmarladjwong duninjh, kuyindowimeninj.
LUK.10.31	Wanjh nakudji nawu priest kumhrey mungu manmekbe manbolh, dja bu nungka binang wanjh bibaldjalkukyurrhkeng djarrehkah. 
LUK.10.32	Wanjh yiman kunmekbe rerrih yimeng nabuyika nawu Levi bikebmawahmeng. Wanjh bu nungka bebmeng kore namekbe bininj kukyoy, bu binang wanjh nunganwali bibaldjalkukyurrhkeng djarrehkah.
LUK.10.33	Dja kaluk nakudji bininj nawu nakang Samariabeh, nungka mak kumekbe djahdjalley, wanjh nungka bebmeng darnkih kore namekbe bininj kukyoy. Wanjh bu binang nungka bikongibom. 
LUK.10.34	Wanjh darnhwam kore nungka yoy, dja bimokdjirridjbom kunkalkkid olive oil dja mak wine, dja bimokdukkang. Wanjh biwayhkeng bibarnnameng kore nungka nuye mayh donkey, bimornekani, dja bimkang kore kunrurrk kore bininj kabirriwohyo, dja kumekbe binahnani. 
LUK.10.35	Kaluk bu malaywi, wanjh nungka bebkeng kunwardde nadjalkimukkenh, wanjh biwong nawu wohrnani kunmekbe kunrurrk, dja yimeng, ‘Yinahna nahni bininj, dja bu ngudda warridj yimarnekarremulewan njale, wanjh ngaye kaluk won bu ngamdurndeng.’”
LUK.10.36	Wanjh bu Jesus bimarneyolyolmeng rowk, wanjh bidjawam namekbe bininj nawu birohrokmeng, yimeng, “Nawu birridanjbik bininj ngabenmarneyolyolmeng nawu birrihrey, kaluk baleh nanu ngudda yiyime bimarneyimerranj yiman nabuyika nawu bimarnedarnhni bininj nawu birribom?” 
LUK.10.37	Wanjh nungka biwokmey, yimeng, “Namekbe wanjh nawu bikongibom bibidyikarrmeng.” Wanjh Jesus bimarneyimeng, “Yiray wanjh, dja yiman kunmekbe rerrih yikurduyimen.”
LUK.10.38	Wanjh bu Jesus dorrengh birribalhrey wanjh birribebmeng kore kubolkyahwurd rurrkmirnderri, wanjh ngalkudji daluk ngalbu ngeyyoy Martha, ngaleng wanjh Jesus bikimey, nungka ngimeng kore ngalengngarre kunrurrk. 
LUK.10.39	Wanjh ngalbu Martha benedanginj ngeyyoy Mary, ngaleng wanjh yerrkang ni kore kurrenge nuye Jesus nawu Kawohrnan Rowk, bihbekkani bu nungka wokdihwokdi. 
LUK.10.40	Dja ngalbu Martha ngalengman kunwern durrkmirri bihbengwernwoni, wanjh Martha kunu wam kore Jesus bimarneyimeng, “Ngudda nawu Yiwohrnan ngadberre, ngudda minj kankongibun bu ngaye nganedanginj nganbawong ngaye ngakudjihkudji ngahdurrkmirri? Yimarneyimen nganbidyikarrme.”
LUK.10.41	Dja Jesus nawu Kawohrnan Rowk biwokmey, yimeng, “Martha, Martha, ngudda kunwern yihburrbun ngunhbengwernwon wanjh yihnjilngdukkarren. 
LUK.10.42	Yuwn bu kunwern yihburrbun, dja kundjalkudji yiburrbu nawu kunmak ke. Mary wanjh djarrngbom nawu kunwernhmak, dja minj nangale kabiyimang.”
LUK.11.1	Kaluk bu Jesus ni kore kubolkkudji, dingihdi yiwarrudj. Wanjh bu yakwong, kaluk nakudji nawu bininj nuye nawu benhbukkabukkani wanjh bimarneyimeng, “Ngudda nawu Yiwohrnan ngadberre, baleh ngarriyime bu ngarridi yiwarrudj, kanbukkabukka ngadberre yiman John benbukkabukkani yiwarrudj nawu bininj nuye.” 
LUK.11.2	Wanjh Jesus benmarneyimeng, “Bu ngurridi yiwarrudj wanjh ngurriyimen, ‘Ngabba, kab ngarriwarlahkenh rowk nawu ngundihngeybekkan, ngundimarnekelenin dja yuwn ngundihngeyborrkbun. Kab ngudda ke bu Yiwohrnan rowk kubolkwarlahkenh rowk kamarnbuyindan, kumray. 
LUK.11.3	Kab bu kunbarnangarrabubuyika, ngudda kanwo ngadberre manme bu kunmekbe kunbarnangarrakenh. 
LUK.11.4	Kab ngudda yibularrbu kunwarre ngadberre nawu ngarrihyimi. Dja ngadkunu ngarrihbularrbun kunwarre bedberre birribuyika bininj nawu kandihmarneyime. Dja yuwn kankan ngadberre kore Namarnde kandjurrkkan ngadberre.’”
LUK.11.5	Dja Jesus benmarneyimeng, “Yimankek bu nakudji nawu ngurrihmirnderri kabikarrme nawu benedabbolk, kaluk bu kabimarnebebme kumununburrk kabimarneyime, ‘Ngarrdabbolk, kanwo manlod danjbik buriddi, dja ngaye kaluk won ngudda. 
LUK.11.6	Dja nakudji nabuyika nawu nganedabbolk kumdolkkang kubolkbuyikabeh djalwohbebmeng wanjh kare, dja minj njale ngakarrme ba ngawon.’” 
LUK.11.7	Dja Jesus bendjawam, “Dja yiddok namekbe nawu kahni kururrk wanjh kabiwokmang nawu kabiloddjanwohme bu kayime, ‘Aba! Yuwn kanlorrke, dja ngokko ngarridangbalhmiyindi, dja wurdwurd ngardduk dja ngaye ngarrihdjarrkyo, wanjh kakarrewarre, minj ngarrolkkan mak won.’?” 
LUK.11.8	Wanjh Jesus yimeng, “Ngayime ngudberre, madjamku namekbe minj karrolkkan kabiwon bu nungka benedabbolk, dja bu kebbabi kabihdjawan munguyh, wanjh kunmekbekenh kunu nungka karrolkkan kabiwon rowk nawu kadjare.
LUK.11.9	Dja ngayime ngudberre, ngurridjawa dja ngunwon ngudberre, ngurriyawa dja ngurringalke, ngurridongohdo dja karrangmarrhmire ngudberre. 
LUK.11.10	Dja birriwern rowk nawu kabirridjawan wanjh kabirrimang, dja nawu kabirriyawan wanjh kabirringalke, dja nawu kabirridongohdong wanjh kabenmarnedangmarrhmire.
LUK.11.11	Dja ngudda nawu ngurrikokornkumo, kaluk bu beywurd ngundjawan djenj, wanjh minj yiwon nabang nayin, 
LUK.11.12	dja bu ngundjawan wirlarrk, wanjh minj yiwon marla. 
LUK.11.13	Dja wanjh ngudda nawu ngurriwarre bininj, bu ngurriburrbun ngurrbenwon wurdwurd ngudberre namakmak, wanjh nawu Kornkumo nawu kaddum kahni heaven, nungka wanjh kawernhburrbun kabenwon Namalngmakkaykenh bedberre nawu kabirridjawan.”
LUK.11.14	Kaluk rerrikah bu Jesus bibebkeyi namarnde nawu bimarnbuni bininj wokyakni. Dja bu namekbe namarnde bebmeng bibawong bininj, wanjh nahni bininj dedjingmey wokdi. Dja nawu birrimirndewern bininj birrimayahmeng. 
LUK.11.15	Kaluk yikahwi birriyimeng, “Bu nungka kabenhbebke nawu namarnde wanjh Beelzebul kabirrulkarrewon, nawu nungan Beelzebul kabenmarnewohrnan nawu namarndemarnde.” 
LUK.11.16	Dja mak birribuyika bininj birridjurrkkang birridjareni nungka benmarnekurduyimeninj kunbuyika heavenbeh bu benbukkayi ba mulewarrimeninj bu nungka Christ nawu God benberrebbom.
LUK.11.17	Dja nungka Jesus burrbuni bu bedda baleh bedman birrihburrbuni kanjdjiwi, wanjh kunu nungka benmarneyimeng, “Bu bininj nawu kabirrihni kubolkwarlah bedberre kabirridurren dja yiman kabirriyarlarrmerren, wanjh kunu kawarremen king bedberre dja nuye kunbolk. Dja karohrok kore bininj nawu kabirrihni kunredkudji kabirriyidnarren dja wanjh kabirriyarlarrmerren, wanjh bonj, bedberre namud kayakayakmen rowk. 
LUK.11.18	Mah, wanjh djawan bu nawu Satan nuye namarndemarnde kore nungka kabenmarnewohrnan yiman rerrih kabirriyarlarrmerren, wanjh baleh kayime bu nungka yimankek kabenmarnewohrnan munguyh? Kuhni ngayime ngudberre bu ngudda ngurriyimeng, ngaye ngabenbebke namarnde bu nungka Beelzebul nganhdulkarrewon. 
LUK.11.19	Dja kunbuyika djawan, bu kuhni yimankek ngabenbebke namarnde bu nungka Beelzebul nganhdulkarrewon, dja nangale kabenhdulkarrewon nawu ngudda ngudberre bininj nawu kabindihbebke namarnde? Kunmekbekenh kunu wanjh bedda ngundidjadme ngudberre. 
LUK.11.20	Dja bu ngaye God nuye kunbid ngandulkarrewon ba ngabenbebke namarnde, wanjh kunu ngurriburrbun bu ngunmarnebebmeng ngudberre kore God Kawohrnan rowk.
LUK.11.21	Wanjh bu bininj nawu ngudjmak nawu kakarrme yehyeng kabenbunkenh dja kabenngurdkekenh, bu nungka karurrknahnan nungan nuye kunrurrk, wanjh yehyeng rowk nawu nuye wanjh kamak rowk, minj nangale kadjirdmang. 
LUK.11.22	Dja kaluk bu nakudji nawu nawernhngudjmak kabimarnebebme, wanjh kabibun kabiyurrhke, nungka kakarrme. Wanjh kabikukyerrkke nawu yiman wirlmurrng nungka kukbarrkbuyindi, nawu nungka burrbuni yimankek kamakni, dja mak yehyeng nawu nungka mangihmangi bu benbuni birribuyika, wanjh namekbe nawu nawernhngudjmak kabiyimang rowk kabenwon nungka nuye bininj.” 
LUK.11.23	Mak Jesus yimeng, “Dja bininj nawu minj nganbidyikarrme bu ngahdurrkmirri, namekbe wanjh yiman rerrih nganyiwirrihme. Dja nawu minj nganedjarrkmirndemornname ngardduk, namekbe wanjh kabenyarlarrke.”
LUK.11.24	Dja mak Jesus yimeng, “Bu namalngwarre kabebme kabibawon bininj, wanjh kahdjalle kore kukkuyak kabolkyawan kangudjngehmekenh, wanjh bu minj kabolkngalke, nungan kamarneyimerren, ‘Ngaye ngarrurndeng kore bininj nawu yiman kunred ngardduk nawu ngambebmengbeh.’ 
LUK.11.25	Dja bu kamre kabinan namekbe bininj yiman nawu kunrurrk, bu birribolkbirrhmeng birribolkmarnbom rerrih, 
LUK.11.26	wanjh nungka kare kabenkimang seven nawu namalngwarrewarre nawu birriwernhwarre duninjh, dja kabirridjarrkngimen, kumekbe kabirrihni, wanjh kunu kunwernhwarre duninjh kabimarneyimerran namekbe bininj bu yerreyerre, dja bu kerrngehkenh wanjh walakkihni.”
LUK.11.27	Bu kuhni yimi Jesus, kaluk ngalkudji daluk kore kumekbe kumirnde wanjh kayhmeng bimarneyimeng, “Ngalnjilngmak ngalbu ngunmerlemkenhkani dja mak ngundjikkawoni.” 
LUK.11.28	Dja nungka Jesus biwokmey yimeng, “Kunu bonj, dja kabirriwernhnjilngmak nawu kabirribekkan God nuye kunwok dja kabirriwokmarrkmang.”
LUK.11.29	Wanjh bu bininj birrimirndewernmerreni, Jesus dedjdjingmey yimeng, “Bininj nawu bolkkime kabirrimimbi wanjh kunwarre kabirridjalburrbun. Kaluk kabirridjare kunbuyika God kakurduyime bu kabenbukkan kabenmarnemulewan bu ngaye Christ nawu God benberrebbom. Dja bonj! Minj njale God kabenbukkan kabenmarnemulewan bedberre. Kabendjalbukkan nawu yiman Jonah benbukkang birribuyika bininj bu korroko. 
LUK.11.30	Ngurriburrbun bu njale God bimarnekurduyimeng Jonah, ba bu benbukkang benmarnemulewam bininj nawu Ninevah birrihni, wanjh yiman kunmekbe rerrih kaluk ngaye nawu Bininj Duninjh, God wanjh nganmarnekurduyime ngaye ba bu kabenbukkan kabenmarnemulewan nawu bolkkime kabirrimimbi. 
LUK.11.31	Dja kunbuyika mak ngaye marneyime. Daluk ngalbu queen wohrnani kore walem, kaluk ngaleng warridj kambebme bu God ngundjadme bininj rowk, dja yiman ngaleng kabenwarrewan nawu bolkkime kabirrimimbi, bu ngaleng korroko kumwam kumdolkkang djarrehbeh dja bimayalibekkang nawu Solomon. Dja ngayime ngudberre, bolkkime ngaye ngahdi dja ngayurrhke nawu Solomon.
LUK.11.32	Dja bininj mak nawu Ninevah birrihni, bedda warridj kabirribebme bu God ngundjadme bininj rowk, dja yiman kabenwarrwan nawu bolkkime kabirrimimbi. Kaluk bedda wanjh birribekkang Jonah benmarneyolyolmeng, wanjh birriwohbawong kunwarre bedberre dja birriborledmeng kore God. Dja ngayime ngudberre, bolkkime ngaye ngahdi dja ngayurrhke nawu Jonah.”
LUK.11.33	Dja mak Jesus yimeng, “Minj nangale nawu kawurlhke lamp kaluk kawolkkan, minj mak kabarrkbun djabbirlana. Burrkyak. Bininj nawu kawurlhke lamp wanjh kabarnname kaddum, ba bininj nawu kabirringimerren wanjh kabenmarnebolkwolkan. 
LUK.11.34	Nawu kunmim ngudberre wanjh yiman lamp rerrih ngunkukwolkan baybaywi, dja bu yimimmak, wanjh yikukwolkayindi rowk, dja bu yimimwarre, wanjh yiman kunburrk ke kakakdi rowk. 
LUK.11.35	Wanjh wardi yinahnarrimen, marndi nawu yimankek ngunkukwolkayi wanjh yiman kunkak rerrih. 
LUK.11.36	Dja bu yikukwolkayindi rowk dja minj baleh ngudda yiman yiwohkukkakdi, wanjh kunu yikukwolkayindi rowk yiman rerrih bu lamp kahrung ngunmarnebolkwolkan.”
LUK.11.37	Bu Jesus yakwong bu wokdihwokdi bedberre, nakudji Pharisee wanjh bikimey kabenedjarrkngun. Wanjh Jesus ngimeng kururrk, yerrkang, neyhneykendi kangunkenh. 
LUK.11.38	Wanjh namekbe nawu Pharisee mayahmeng bu binang Jesus minj biddjirridjburrimeninj werrk bu mankarre yoy bedberre. 
