MAT.1.1	Ie sab naam Jiesoe Kriest ke baap-daada log ke hai. Oe Daawied aur Aabraaham ke aulaad hai.
ACT.18.21	Aur djab oe djaai lagal, tab bolies: „Djab Parmeswar maangie, tab ham toelogke lage phien se lautke aabe.” Tab oe djahaadj se Efese sahar se tjal gail. 
ACT.18.22	Tab djab oe Sesaarea sahar me pahoetjal, tab oe hoewa ke iesaai samaadj log se bhet karies. Tab oe Antiokia sahar Sieria des me gail. 
ACT.18.23	Aur koetjh dien hoewa rahieke oe phieno tjal gail Gaalaatsia aur Friegia diehaat me hoewa ke sab bieswaasie ke hiemmat dewe khaatien.
ACT.18.24	Tab oe same par Efese sahar me ek Aapolos naam ke aadmie aail. Oe ek Israel aadmie raha aur Aaleksaandria sahar ke raha. Oe Parmeswar ke sab liekhal baat me bahoet parhal raha. 
ACT.18.25	Oe Prabhoe Jiesoe ke rasta ke biese me bhie siekhle raha aur phor-phorke okare biese me batiaat aur siekhaawat raha. Bakie oe khaalie Johaanas dopoe kare waala ke dopoe ke biese me djaanat raha. 
ACT.18.26	Oe aadmie Efese ke partjaar ke ghar me be-dar se partjaar kare lagal. Tab djab Presela aur Aakwela okar partjaar soenies, tab oesab oke bolaaike aapan ghare legail aur Parmeswar ke rasta ke biese me auro barhia se samdjhaais.
ACT.18.27	Tab djab Aapolos sallaah karies Aakhaaja diehaat Griek des me djaai ke, tab Efese ke bieswaasie bhaai log maangat raha oke sahaaita kare. Ohie se oesab Aakhaaja ke bieswaasie log khaatien ekgo tjietthie pathaais kie oesabke tjaahie Aapolos ke barhia se sewa kare ke. Tab djab oe hoewa par pahoetjal, tab Parmeswar ke bhalaai dwaara oe sab bieswaasie khaat kaamiel raha. 
ACT.18.28	Oe Parmeswar ke baat parhke kholke dekhaais kie Israel log ke sotj-bietjaar na thiek hai aur kie Jiesoe Parmeswar ke Kriest hai.
ACT.19.1	Djab Aapolos Korente sahar me raha, tab Paulas Aasia des ke habara djaaike Efese sahar me pahoetjal. Hoewa par oe ekaat bieswaasie log se bhet karies. 
ACT.19.2	Tab baate baat me Paulas oesabse poetjhies: „Djab toelog bieswaas kare lagale, tab toelogke oeppar Pawietr Aatma aail hai kie na?” Tab oesab bolies: „Hamlog Pawietr Aatma ke biese me kabhie na soenlie hai.” 
ACT.19.3	Tab oe poetjhies: „Tab kaise dopoe bhaile hai?” Oesab bolies: „Johaanas dopoe kare waala ke rakam se.” 
ACT.19.4	Tab oe bolies: „Johaanas manai log ke dopoe karat raha djab oesab aapan paap pastaaike maangat raha ek naawa djiewan soeroe kare. Oe djaatie se bolies kie: ‘Hamare baad koi aaiga aur toelogke tjaahie okare me bieswaas kare ke.’ Oe Jiesoe ke biese me batiaat raha.”
ACT.19.5	Tab djab oesab ie baat soenies, tab apane ke Prabhoe Jiesoe ke naam me dopoe karwaais. 
ACT.19.6+ACT.19.7	Oesab lagbhag baara mardaana raha. Tab djab Paulas oelog par haath rakhies, tab Pawietr Aatma oesabke oeppar aail. Bas oesab okar dwaara doesar doesar bhaasa me Parmeswar ke sanesa bataawe lagal.
ACT.19.8	Paulas tien mahienna talak Efese sahar ke Israel ke partjaar ke ghar me be-dar se samdjhaawat raha kie Parmeswar maange hai iensaan ke djiewan me raadj tjalaawe. Oe dher baat se kausies karies hoewa ke manai ke man badalwaawe ke aisan djiewan bietaawe ke. 
ACT.19.9	Bakie koetjh aadmie thethar raha. Oelog sab koi ke aage Prabhoe ke rasta ke biese me eksoer kharaab baat bolat raha. Bas Paulas aapan tjela leike partjaar ke ghar me se tjal gail. Ohie dien se oe rodj Tieranas ke skoel me khoes khabar ke biese me batiaat raha.
ACT.19.10	Oe doei baries aisane hoewa par partjaar karat raha. Ie rakam se sab Aasia des ke, Israel ke aur bhie Griek des ke manai log soenies kie Prabhoe kaun baat djanaais hai. 
ACT.19.11	Aur Parmeswar Paulas dwaara bahoet atjambho kaam karwaais. 
ACT.19.12	Manai log Paulas ke pattie aur dhotie bemarian ke paas ledjaaike oelogke oeppar rakhies. Tab oesab attjha hoi gail aur bhoet log tjal gail.
ACT.19.13+ACT.19.14	Efese sahar me ek Israel djaat ke agwa ke barkwa raha. Okar naam Skewa raha. Oke saat betwan raha. Oesab sagaro ghoemke bhoet niekaarat raha. Tab ek rodj oesab hiemmat dharke gail aur bolies: „Ham tore me se bhoet niekaasiela Jiesoe ke naam se djaun ke biese me Paulas partjaar kare hai.” 
ACT.19.15	Bakie bhoet bolies: „Ham Jiesoe ke djaaniela, aur Paulas ke bhie, bakie toelog ke baate?”
ACT.19.16	Bas aadmie djaun par bhoet raha, oe oesabke maarke aapan bas me lei leis. Oke etana taagat raha kie oelogke biena kapra se aur khoenaawal dehie se bhaage ke paral. 
ACT.19.17	Aur sab hoewa ke Israel aur Griek manai log djaan gail kie ka bhail hai. Oesab ghabaraai gail aur apane me Jiesoe Kriest ke naam ke biese me batiaai lagal kie oe ketana maahaan hai.
ACT.19.18	Tab bieswaasie logan me se dher djane aapan paap pastaaike aail bataawe oelog kaun kharaab kaam karies hai. 
ACT.19.19	Koetjh manai odjhaai karies raha. Oelog aapan odjha ke poestak laaike sab koi ke aage djaraai deis. Djab oesab poestak ke daam djories, tab patjaas hadjaar tjaanie ke paisa bhail. 
ACT.19.20	Tab auro manai Prabhoe ke sanesa soenies aur oelogke bieswaas barhe lagal.
ACT.19.21	Tab djab ie sab tjiedj biet gail, tab Paulas sallaah karies Maasadonia aur Aakhaaja diehaat dharke Jeroesaalem sahar djaai ke. Oe bolies: „Djab ham koetjh dien khaatien hoewa par gailie hai, tab ham maangiela Roma sahar dekhe.” 
ACT.19.22	Tab oe aapan saathie me se Tiemotias aur Eraastas ke Maasadonia pathaais. Bakie oe apane koetjh tem khaatien Aasia des me rahie gail.
ACT.19.23	Tab ohie tem par Efese me Prabhoe Jiesoe ke rasta ke biese me ek barka haltjal-matj oethal. 
ACT.19.24	Hoewa par ek Demetrias naam ke aadmie raha. Oe dher Artemes dewie ke mahal tjhota roep me banaaike betjat raha. Aur ie kaam dwaara oe aur okar saamiel waalan bahoet paisa kamaat raha.
ACT.19.25	Ek dien oe sab barkwan aur kamkartan ke ekattha bolaaike bolies kie: „Bhaai logan, toelog djaane hai kie ie kaam se hamlog bahoet paisa kamaaila. 
ACT.19.26	Ab Paulas bole hai kie: ‘Manai ke haathe se banaawal bhagwaan sattja bhagwaan na hai.’ Toelog apane dekhle aur soenle hai kie ie rakam se oe na khaalie Efese me, bakie Aasia des bhar me dher manai ke sotj-bietjaar badale hai. 
ACT.19.27	Djab oe aise partjaar karte rahie, tab na khaalie hamlogke kaam patjharie, bakie bhie Artemes dewie ke mahal ke koi na taakie. Aasia aur doenia bhar ke manai Artemes dewie ke ab talak ieddjat kare hai, bakie ab oesab oke bhoelaai djaai.”
ACT.19.28	Tab djab djoetal manai log ie baat soenies, tab bahoet goessaail aur tjiellaai lagal kie: „Efese sahar ke Artemes dewie bahoet maahaan hai!”
ACT.19.29	Bas sahar bhar ke manai oesabke tjiellaahat soenke ghabaraai gail aur sab ek djhoend hoike oe djagaha par phaat paral djaaha Efese ke manai log hardam sabha lagaawat raha. Oesab Paulas ke doei saathie Gaajas aur Aarestaarkas ke ghietjke legail. Oe doeno Maasadonia diehaat ke raha. 
ACT.19.30	Tab djab Paulas maangat raha djhoend ke bietj me djaai, tab okar tjela log oke rokies. 
ACT.19.31	Ekaatgo Aasia des ke barkwan bhie Paulas ke sanghatian raha. Ohoelog oke mienaahie karies.
ACT.19.32	Etane me djhoend waalan bahoet halla kare lagal. Sab koi ohie me tjiellaai aur dher log na djaanat raha kie oesab kaahe ke djoetal hai. 
ACT.19.33	Tab hoewa ke Israel log ek Aaleksaandar naam ke aadmie ke aapan gawaahia banaaike manai ke djhoend me se aage pathaais. Oe sankiaais kie oe maange hai koetjh bole. 
ACT.19.34	Bakie djab manai log tjienhies kie oe ek Israel ke aadmie hai, tab oelog ek moeh hoike doei ghanta talak ekke baat tjiellaaike bolies: „Efese sahar ke Artemes dewie bahoet maahaan hai!”
ACT.19.35	Tab sahar ke mantrie oesabke moeh band karwaai deis. Oe bolies: „Bhaai log, soen! Ke na djaane hai kie Efese ke djanta log ke oeppar Artemes ke mahal saupal hai, aur bhie okar moertie djaun baadar me se gieral hai. Hamlogke tjaahie oke dekh-bhaal kare ke. 
ACT.19.36	Ie baat koi na nahakaar sake hai! Ohie se toelogke na tjaahie etana tjiellaai ke aur biena sotj-bietjaar se koetjh kare ke. 
ACT.19.37	Toelog ie mardaana log ke hia laile hai, bakie iesab mahal me se koetjh na tjorie karies aur hamlogke dewie ke bedjatie bhie na karies hai. 
ACT.19.38	Djab Demetrias aur okar saathie log koi ke biese me maange hai orhan dewe, tab oesabke tjaahie djadj kie to laat ke paas djaai ke. 
ACT.19.39	Aur djab toelog aur koetjh maangat hoihe, tab djaatie ke sabha me kaanoen se faisala howe ke tjaahie. 
ACT.19.40	Hoi sakie kie hamlogke aadj ke hartaal ke biese me kasoer mieliega. Hamlog aapan barkwan se na bataai sakab kaahe ke hamlog ekattha bhailie hai.”
ACT.19.41	Ie sab baat se oe djaatie log ke ghare pathaai deis.
ACT.20.1	Hartaal ke baad Paulas sab Efese sahar ke bieswaasie ke bolwaais aur oesabke hiemmat deis. Tab oe oesabke tjhorke Maasadonia diehaat gail. 
ACT.20.2	Oe djaite me hoewa ke bieswaasie log ke dher baat batiaaike tieha deis. Aisane oe Griek des me pahoetjal. 
ACT.20.3	Hoewa par oe tien mahienna raha. Tab oe tajaar karies djahaadj se Sieria des djaai ke. Bakie djab oe soenies kie hoewa ke Israel log maange hai oke maar dhaare, tab oe sallaah karies Griek des se phieno Maasadonia diehaat dharke Aasia djaai ke.
ACT.20.4	Beria sahar ke Sopaatar djaun Peras ke beta raha, Tesaalonieka sahar ke Aarestaarkas aur Sekandas, aur Derbe sahar ke Gaajas aur Tiemotias, aur Aasia des ke Tiekiekas aur Trofiemas Fielepie sahar talak okar sanghe gail. 
ACT.20.5	Oelog hoewa se Troas sahar gail raha aur hoewa par hamlogke agorat raha. 
ACT.20.6	Tab djab Paasan ke tiewhaar biet gail, tab hamlog Fielepie se djahaadj par bhie Troas gailie. Tab paatj rodj baad hamlog hoewa par pahoetjlie aur ek hapta talak oelogke sanghe rahielie.
ACT.20.7	Djab hamlog hapta ke pahiela dien par ekattha bhailie rahielie bret toere Jiesoe ke maut jaad kare khaatien, tab Paulas hoewa ke bieswaasie log khaatien partjaar kare lagal. Oe maangat raha ekwa dien hoewa se tjal djaai, ohie se oe bietj raat talak batiaat raha. 
ACT.20.8	Hamlog ek oeppar ke kamra me baithal rahielie aur hoewa par dher tel ke tjieraag barat raha. 
ACT.20.9	Khierkie ke lankie par ek Oitiekas naam ke naudjawaan baithal raha. Oke bahoet onghaai lagal raha. Tab djab Paulas eksoer batiaat raha, tab oe aapan onghaai na samhaar paais aur oeppar se nietje gier paral. Aur djab oesab oke oethaais tab dekhies kie oe maral hai.
ACT.20.10	Tab Paulas nietje gail aur oke dapkaais. Tab oe samaadj waalan se bolies: „Na row! Oe djieje hai!” 
ACT.20.11	Tab oe phieno oeppar gail aur sabke sanghe bret toerke bhodjan karies, aur oe phien partjaar kare lagal djab lek andjor na bhail. Tab oe hoewa se tjal gail. 
ACT.20.12	Bieswaasie log naudjawaan ke okar ghare legail aur bahoet tieha paais.
ACT.20.13	Paulas sallaah karies raha Troas se paidar Asas sahar djaai ke. Tab hoewa se oe hamlogke sanghe aur aage djaat. Ohie se hamlog oke tjhorke djahaadj se gailie. 
ACT.20.14	Tab djaise oe Asas me pahoetjal, oisane oe hamlogke lage aail. Tab hamlog oke djahaadj me leike Mietielene sahar gailie. 
ACT.20.15	Djab biehaan bhail tab hamlog gailie Kios des ke kienaare talak. Aur djab phien saber bhail, tab oepaar gailie Saamos des ke alang. Tab tiesara dien par hamlog Efese sahar paas hoi gailie aur Mielete sahar me pahoetjlie.
ACT.20.16	Paulas ke tem na raha Efese me oetare ke. Oe na maangat raha dher dien Aasia me rahe, bakie oe maangat raha Penkstar ke tiewhaar se pahiele Jeroesaalem me pahoetje. 
ACT.20.17	Ohie se oe Mielete sahar se kauno se Efese ke iesaai samaadj ke barkwan ke bolwaais. 
ACT.20.18	Tab djab oesab pahoetjal, tab oe bolies: „Toelog djaane hai kie ham ie diehaat me aaike pahiela dien se khaalie Prabhoe khaatien aapan djiewan bietailie hai. 
ACT.20.19	Ham tjhota banke aapan kaam karat rahielie. Israel log dher dafe maangat raha hamaar djaan lewe aur hamme bahoet doekh oethaawe ke paral.
ACT.20.20	Tabbo ham toelogke aage aur bhie ghare ghar Prabhoe ke khoes khabar soenailie aur siekhailie. Ham koetjh na tjhiepailie djaun me toelogke faida mielat. 
ACT.20.21	Ham Israel ke aur Griek des ke manai se ketana bollie rahielie kie oelogke tjaahie aapan paap pastaaike hamlogke Prabhoe Jiesoe me bieswaas kare ke aur Parmeswar ke rasta par tjale ke. 
ACT.20.22	Aur dekh, ab Pawietr Aatma maange hai kie ham djaroer se djaroer Jeroesaalem djaai. Ham na djaaniela kaun tjiedj hamme hoewa agore hai. 
ACT.20.23	Ham khaalie djaaniela kie oe hamke ie sahar se oe sahar djanaawe hai kie hamme djahal djaai ke aur doekh sahe ke parie.
ACT.20.24	Bakie ham aapan djiewan ke tanko na sotjiela. Prabhoe Jiesoe hamme bolies hai sagaro khoes khabar soenaawe ke kie Parmeswar ke bhalaai ketana barka hai. Aur ham khaalie maangiela ie kaam poera kare. 
ACT.20.25	Ham toelogke bietj me bhie ghare ghar djaaike Parmeswar ke raadj ke biese me partjaar karlie hai. Bakie ab ham djaaniela kie toelog hamme phieno na dekhiehe. 
ACT.20.26	Ohie se ham toelogke djanaaila kie djab koi sada ke lieje Parmeswar se alag hoi djaai, tab hamaar kasoer na hai. 
ACT.20.27	Har ek tjiedj djaun Parmeswar aapan barka gjaan aur bietjaar me sallaah karies hai iensaan khaatien kare ke, ham ie baat phor-phorke batailie hai. 
ACT.20.28	Ohie se toelog apane ke aur iesaai samaadj ke khiaal kariehe. Pawietr Aatma oesabke toelogke oeppar saupies hai. Oesabke thiek se dekh-bhaal kariehe, djaise rakh waalan aapan bhera ke. Parmeswar oesabke apane khaatien aapan Beta ke khoen dwaara algiaais hai.
ACT.20.29	Ham djaaniela kie djab ham hia se tjal djaab, tab kharaab aadmie log toelogke samaadj me bhiettar aaiga iesaai ke bieswaas biegaare khaatien. 
ACT.20.30	Aur toelogke bietj me se bhie koetjh aadmie djhoeth baat partjaar kariega bieswaasie log ke aapan alang lewe khaatien. 
ACT.20.31	Ohie se batjaaike rahiehe aur khiaal kariehe kie tien baries talak ham raat aur dien toelog me se har ek ke aasoe bahaaike samdjhailie hai.
ACT.20.32	Ab ham toelogke Prabhoe ke aur okar bhalaai ke oeppar saupiela. Toelog okar khaatien alag karal baate, aur oke saktie hai toelogke bieswaas barhaawe ke aur toelogke aapan biesaal tjiedj dewe ke djaun oe waada karies hai.
ACT.20.33	Ham koi se tjaanie, sona, kie to kapra na manglie hai. 
ACT.20.34	Toelog djaane hai kie ham apane se kamaaike khailie aur bhie aapan saathie log ke baat deilie hai. 
ACT.20.35	Aisane toelog dekhle hai kie hamlogke tjaahie kaske kaam kare ke oelogke sahaaita kare khaatien dje ke kamtaai hai, aur bhie Prabhoe Jiesoe ke baat khiaal kare ke. Oe bolies hai kie: ‘Koetjh dewe se hamlogke auro soekh mielie koetjh paawe se.’ ”
ACT.20.36	Tab djab oe ie sab baat bol tjoekal, tab Paulas gaathie par gierke sab barkwan ke sanghe Parmeswar se praatna karies. 
ACT.20.37	Bas oelog bahoet rowe lagal aur Paulas ke gale lagaaike tjoemma deis. 
ACT.20.38	Oe bolies raha kie: „Toelog ab hamme phien se na dekhiehe.” Ohie se oesabke bahoet sotj raha. Tab oesab okar sanghe djahaadj talak gail.
ACT.21.1	Tab hamlog oedaasie se Efese ke iesaai samaadj ke barkwan se biedaai leike djahaadj se Kos des gailie. Tab biehaan hoike hamlog Rodos des pahoetjlie aur ekare baad Pataara sahar me. 
ACT.21.2	Tab hoewa par hamlog ekgo djahaadj pailie djaun Feniesia des djaat aur hamlog ohie me tjal gailie. 
ACT.21.3	Tab djab Siepras des dekhaai lagal, tab oke paas hoike hamlog gailie Sieria des. Tab hamlog Tieras sahar me pahoetjlie aur hoewa par djahaadj me se sauda oetaaral gail.
ACT.21.4	Hoewa par hamlog koetjh Jiesoe ke tjela log ke pailie, aur ek hapta oelogke hia rahielie. Oelog Paulas se bataais kie: „Paulas, soen. Pawietr Aatma hamlogke dekhaais hai kie Jeroesaalem me toke moesiebat hoiga. Ohie se hamlog sotjiela kie bestar rahat djab toe hoewa na djaite.” 
ACT.21.5	Bakie tabbo djab hamlogke tem don hoi gail raha, tab hamlog Paulas sanghe djahaadj lage gail Jeroesaalem djaai ke. Aur sab bieswaasie bhaai log aapan aurat larkan sanghe hamlogke djahaadj talak pahoetjaais. Tab samoendar ke kienaare hamlog sab koi gaathie par gierlie praatna kare khaatien. 
ACT.21.6	Tab hamlog oesabse biedaai leike djahaadj se tjal gailie aur oelog laut gail.
ACT.21.7	Tab hamlog Tieras sahar se Patolamais sahar me pahoetjlie aur hoewa ke bieswaasie bhaai-bahien log se bhet karlie aur ek rodj oesabke sanghe rahielie.
ACT.21.8	Tab djab biehaan bhail, tab hamlog hoewa se Sesaarea sahar gailie aur khoes khabar soenaawe waala Fielepas ke ghare pahoetjlie. Okar hia hamlog rahielie. Oe saatgo dekh-bhaal kare waalan me se ekgo raha, aur oe pahiele Jeroesaalem ke iesaai samaadj me tjoenal gail raha garieb wiedhwa logan ke dekh-bhaal kare khaatien. 
ACT.21.9	Oke tjaargo koewaare bietia raha aur oesab Pawietr Aatma dwaara Parmeswar ke sanes bataawat raha.
ACT.21.10	Tab djab hamlog Fielepas hia koetjh dien rahielie, tab Joedea diehaat se ekgo bieswaasie aadmie Aagaabas naam ke aail. Oe bhie ekgo Prabhoe ke sanesia raha. 
ACT.21.11	Tab oe aaike Paulas ke tjamotie leike aapan haath gor baanh leis aur bolies: „Pawietr Aatma bole hai kie djekar ie tjamotie hai, oke Israel log Jeroesaalem me aisane baanhke doesar djaat log ke haath me saup deiga.”
ACT.21.12	Tab djab hamlog ie baat soenlie, tab hamlog aur hoewa ke bieswaasie log Paulas se bienaai karlie Jeroesaalem na djaai ke. 
ACT.21.13	Bakie oe bolies: „Toelog kaahe ke aas gieraaike hamaar diel oedaasie kare hai? Ham tajaar baatie Jeroesaalem me na khaalie baanhal djaai ke, bakie bhie Prabhoe Jiesoe khaatien mare ke.” 
ACT.21.14	Tab djab oe hamlogke baat na maanies, tab hamlog tjhor deilie aur bollie: „Djaun Prabhoe maangie, ohie hoi.”
ACT.21.15	Djab hamlogke tem biet gail, tab hamlog aur Paulas tajaar karlie Jeroesaalem djaai ke. 
ACT.21.16	Aur ekaatgo Sesaarea ke bieswaasie log hamlogke sanghe gail. Jeroesaalem me oesab hamlogke ekgo Manaason naam ke iesaai ke ghare legail. Oe Siepras des ke raha aur oe Jiesoe ke pahiela tjela log me se ekgo raha. Okar hia hamlog koetjh dien khaatien rahielie.
ACT.21.17	Djab hamlog Jeroesaalem me pahoetjlie, tab hoewa ke bieswaasie log hamlogke bahoet prem se bhiettar leis. 
ACT.21.18	Biehaan bhaile Paulas hamlogke sanghe Jaakobas ke ghare gail. Sab iesaai samaadj ke barkwan hoewa bhie raha. 
ACT.21.19	Tab Paulas oesabse bhet karke phor-phorke bataawe lagal kie Parmeswar okar dwaara doesar djaatie log khaatien kaun kaam karies hai.
ACT.21.20	Tab oelog ie baat soenke Parmeswar ke aadar kare lagal. Aur oesab Paulas se bolies kie: „Bhaai, dekh. Israel ke djaatie me ke hadjaaran iesaai hoi gail hai. Oesab Prabhoe Jiesoe me bieswaas kare hai, aur oesab bhie Mosas ke kaanoen ke sab baat maane hai. 
ACT.21.21	Oelog soenies hai kie toe sab par-des ke Israel log ke siekhaawe hai Mosas ke kaanoen tjhor dewe ke, aapan betwan ke hakiekat na kare ke, aur Israel ke nem kaam me na lewe ke. Hamlog djaaniela kie toe aisane na siekhaile hai. 
ACT.21.22	Ab hamlog ka karabe? Mosas ke kaanoen par tjale waalan djaan paai kie toe hia aile baate. 
ACT.21.23	Soen, tjaargo bhaktie aadmie aail hai. Oesab waada karies hai koetjh tem khaatien Parmeswar ke aage bhaktie rahe ke. 
ACT.21.24	Oesabke ledja aur apane ke oelogke saath safa karwaihe, aur bhie paisa bharke oesabke baar katwaai deihe. Tab sab koi na khaalie djaan djaaiga kie oe baat tore biese me djhoeth baat hai, bakie oelog dekhiega kie toe Mosas ke kaanoen par tjale hai.”
ACT.21.25	Oesab bhie bolies kie: „Hamlog sallaah karlie kie doesar djaat ke bieswaasie log ke djaroerie na hai Mosas ke kaanoen ke hoekoem se rahe ke. Aur hamlog ek tjietthie me liekh deilie hai kie oesabke na tjaahie khaana khaai ke djaun naklie bhagwaan ke tjaharaawal gail hai. Aur bhie na khoen aur gos djaun me khoen hai. Aur oesabke na tjaahie tjhatjhoendaraipan kare ke.”
ACT.21.26	Biehaan bhaile Paulas oesabke leike gail safa karwaawe. Tab ekare baad oesab Parmeswar ke mahal lage gail aur aapan naam liekhwaais djanaawe khaatien safa rahe ke aakhrie dien kab rahiega aur kaun taariek ke baliedaan karwaawe ke tjaahie.
ACT.21.27	Bakie djab satwa dien nagtjaail, tab koetjh Aasia des ke Israel log Paulas ke Parmeswar ke mahal ke angana me dekhies. Bas oesab haltjal matjaawe lagal aur oke pakarke tjiellaai lagal. 
ACT.21.28	„Bhaai log, batjaaw! Ie aadmie sagaro sab koi ke aage aapan siektjha se hamlogke djaat, kaanoen aur Parmeswar ke mahal ke kharaab kare hai! Ab oe doesar djaat log ke ie pawietr djagaha me ledjaaike barbaad kar deis hai!”
ACT.21.29	Oesab oke par-des Efese sahar ke Trofiemas ke sanghe Jeroesaalem me dekhies raha. Ohie se oelog sotjies kie oe oke Parmeswar ke mahal ke angana me legail hai. 
ACT.21.30	Tab sahar bhar oedhoem karies aur sab aalam ek lage djoet gail. Bas oesab Paulas ke pakarke bahare ghietjies aur toerante kamaarie band kar deis. 
ACT.21.31	Tab djab oesab maangat raha oke maar dhaare, tab Roma ke soerdjaatie ke barkwa soenies kie sahar bhar me haltjal matjal hai. 
ACT.21.32	Bas oe aapan soerdjaatie aur oesabke barkwan ke leike toerante gail dekhe. Djaise djhoend log oesabke dekhies, taise roek gail Paulas ke maare ke.
ACT.21.33	Tab soerdjaatie ke barkwa Paulas lage gail aur oke doei ketie se banhwaais aur khodjie karies kie oe kaun aadmie hai aur kaun kharaabie karies hai. 
ACT.21.34	Bakie sab koi tjiellaai lagal, aur etana halla raha kie barkwa na djaan paais ka bhail hai. Ohie se oe hoekoem deis Paulas ke soerdjaatie ke thaana me ledjaaike. 
ACT.21.35	Bakie thaana ke sierhie lage manai log etana thelat raha kie soerdjaatie ke Paulas ke oethaawe ke paral. 
ACT.21.36	Djhoend to okar paatjhe tjalal aur tjiellaaike bolies: „Oke maar dhaar!”
ACT.21.37	Tab djab soerdjaatie oke thaana me ledjaat raha, tab oe barkwa se bolies: „Ham tose koetjh poetjh sakiela?” Tab barkwa poetjhies: „Toe Griek ke bhaasa batia hai? 
ACT.21.38	Ka, toe Egypte des ke aadmie na baate djaun koetjh dien pahiele haltjal matjaais raha aur tjaar hadjaar djaanmarwan sanghe maidaan me tjal gail raha?” 
ACT.21.39	Tab oe bolies: „Na, ham Israel ke aadmie baatie. Ham Sieliesia des Taarsas me rahiela. Sab koi oe sahar ke biese me djaane hai.” Oe bolies: „Toe hamme hoekoem dei sake hai djhoend log se koetjh bataawe ke?” 
ACT.21.40	Tab djab barkwa oke hoekoem deis, tab Paulas sierhie par thara bhail aur djhoend ke haathe se sankiaaike saaniet karies. Sab djaatie tjoeppaai gail aur soene lagal. Tab Paulas Israel ke bhaasa me oesabse bataawe lagal.
ACT.22.1	Oe bolies: „Bhaai-bahien aur baap log, soeno ab ham apane ke kaise batjaabe.” 
ACT.22.2	Tab djab oesab soenies kie oe Israel ke bhaasa me batia hai, tab oelog ekdam se tjoeppaai gail.
ACT.22.3	Tab oe bolies: „Ham ek Israel ke aadmie baatie. Ham Sieliesia des Taarsas sahar me paida bhailie aur ie sahar me posailie. Ham Gaamaaliejel ke ekgo tjela baatie. Oe hamme phor-phorke siekhaais hai kaise hamlogke baap-daada log ke kaanoen par tjale ke tjaahie. Ham apane djaan me Parmeswar khaatien bahoet kausies karat rahielie djaise toelogan bhie kare hai. 
ACT.22.4	Ham to aurat aur mardaana log ke maut talak satailie djaun Prabhoe Jiesoe ke rasta par tjalat raha. Ham oelogke baanhke djahal me dharwailie rahielie. 
ACT.22.5	Sab se barka agwa aur bhie Israel ke barkwan gawaahie dei sake hai kie ham oelogke hoekoem se ie kaam karat rahielie. Oesab to hamme tjietthie deis raha Daamaskas sahar ke Israel ke bhaai log khaatien. Ese ham hoewa ke iesaai log ke baanhke Jeroesaalem me ledjaai sakat rahielie oelogke sadja dewe khaatien.
ACT.22.6	Bas ek biesaal tjiedj bhail. Djab ham Daamaskas sahar nagtjailie, tab dien doepahare etana djotie kaske oeppar se tjamke lagal kie bahoet andjor hoi gail. 
ACT.22.7	Tab ham nietje gier gailie aur ek aawaadj soenlie. Koi hamse bolies kie: ‘Saul, Saul! Toe kaahe ke hamme sataawe hai?’ 
ACT.22.8	Tab ham bollie: ‘Prabhoe, toe ke baate?’ Tab oe bolies: ‘Ham Naasaaret sahar ke Jiesoe baatie aur toe hamme sataawe hai.’ 
ACT.22.9	Hamaar saathie log djotie dekhies, bakie aawaadj na soenies. 
ACT.22.10	Tab ham bollie: ‘Prabhoe, hamke ka kare ke tjaahie?’ Tab oe bolies kie: ‘Thara how aur Daamaskas me dja. Hoewa par koi tose bataaiga kie toke kaun tjiedj kare ke parie.’
ACT.22.11	Bakie oe tjatak tjamkal djotie se ham andha hoi gailie rahielie. Ohie se hamaar saathie log hamaar haath pakarke hamke Daamaskas me legail. 
ACT.22.12	Tab ekgo Aanaaniaas naam ke aadmie hamare lage aail. Oe Parmeswar ke kaanoen ke rasta par tjalat raha. Aur sab Daamaskas sahar ke Israel log okar bahoet maan djaan karat raha. 
ACT.22.13	Oe aaike bolies: ‘Saul bhaai, taak!’ Ham toerante dekhe lagalie aur oke taklie.
ACT.22.14	Oe bolies: ‘Hamlogke baap-daada log ke Parmeswar toke tjoenies raha djanaawe ke kie oe ka maange hai, aur bhie toke aapan sattja Waala Jiesoe ke dekhaawe ke aur okar aawaadj soene ke. 
ACT.22.15	Toke tjaahie okare biese me gawaahie dewe ke aur sab koi se bataawe ke toe ka dekhle aur soenle hai. 
ACT.22.16	Ab kaahe ke agore hai? Oethke dja aur Jiesoe ke naam bolaaike apane ke dopoe karwaaw aur aapan kharaab tjalaawa niekaswaaw.’ Tab ham apane ke dopoe karwailie.
ACT.22.17	Tab djab ham koetjh dien baad Jeroesaalem me lautke gailie aur Parmeswar ke mahal ke angana me oke poedjat rahielie, tab ham djaise ek sapana me koetjh dekhlie. 
ACT.22.18	Prabhoe phieno hamme dekhaail aur bolies: ‘Haalie se Jeroesaalem se tjal dja. Djab toe hia ke manai log se hamare biese me bataihe, tab oesab na maangie soene.’ 
ACT.22.19	Bakie ham bollie: ‘Prabhoe, oesab to thiek se djaane hai kie ham tor bieswaasie log ke pakarwaaike aur partjaar ke ghar me ledjaaike pietwailie aur djahal me band kar dewat rahielie. 
ACT.22.20	Aur djab tor gawaahia Stefaanas ke khoen bahaawal gail, tab ham hoewa bhie rahielie. Ie hamaar kahana raha aur ham okar djaanmarwan ke kapra ke rakhaawat rahielie. Oesab djaroer hamaar baat soeniega.’ 
