MAT.1.1	Nönca tlapoale de tiebiebetcöhua de Jesucristo, öque iloac iconie David, hua iconie Abraham.
ROM.8.10	Cache tlö Cristo nemoa ipa nemoyulo, nemoyulo neme ipampa nenyecteque nencate, mös que nemocuierpo meques ipampa tlajtlacule. 
ROM.8.11	Hua tlö inu Espíritu de yejuatzi öque tieyulebitiluc Jesús de intzölö mimejque, tlö yejuatzi nemoa ipa nemoyulo, pos yejuatzi öque tieyulebitiluc Cristo de intzölö mimejque nuyejque queyulebitisque nemocuierpo tli meque, por tieEspíritu tli nemoa ipa nemoyulo.
ROM.8.12	Ejqueu noso, nocnihua, amo tecpea obligación para ma tenemecö san quiene queneque tonacayo, cache ma tenemecö san quiene quenequihua Espíritu. 
ROM.8.13	Pues tlö tenemesque san quiene queneque tonacayo, temejmequesque. Cache tlö por tieEspíritu tecmectea itlachihual de tonacayo, tenemesque. 
ROM.8.14	Porque innochtie tli quenyecönalo tieEspíritu Deus, yejuanu cate tiepelhua Deus. 
ROM.8.15	Pues Deus amo nemiechmacaque sente espíritu tli nemiechchihualtea nenyesque nenesclavos para ocsajpa nemomajtisque. Cache cuale onemiechmacaque tieEspíritu öque nemiechchihualtea para nenyesque nentiepelhua de Deus. Pues por yejuatzi Espíritu tequejtoa: “
ROM.8.16	Pues nuyejque sie yejuatzi Espíritu tiechelfilo ipa toyulo que tecate tetiepelhua Deus. 
ROM.8.17	Hua tlö tetiepelhua Deus tecate, quejtusneque que tohuöxcatisque de inu sösantle de toTajtzi. Tejua ca tiehua Cristo tohuöxcatisque sösantle de Deus, tlö quejtus tecsufrirusque tiecoco tietunie tiehua yejuatzi, para que ejqueu tiehua yejuatzi tecpeasque pörte ipa tlaniextelestle.
ROM.8.18	Pues necpensöroa que noche tli tecsufriroa ipa ini nönca tiempo abele tecnenebelisque ca inu tlaniextelestle tli moniextis topa. 
ROM.8.19	Pues noche tlöltecpactle hua noche lo que tli Deus oquechejchijque möchixtecate ca meyac cuejcuesebelestle para ma toniexticö ca tlaniextelestle tejua tli tecate tetiepelhua de Deus. 
ROM.8.20	Pues noche tlöltecpactle omotlöle ipa niempolebelestle. Inu amo omochi porque oquenec yaja tlöltecpactle, tlöcamo porque yejuatzi Deus ejqueu oquenejque hua ejqueu oquechijque. Pero tlöltecpactle möchea 
ROM.8.21	que nuyejque möquisas de imöc inu palönelestle. Hua entunses quepeas libertad ejqueu quiename tejua tli tecate tetiepelhua Deus tecpeasque libertad cuöc tecselisque tlaniextelestle. 
ROM.8.22	Pues tecmate que noche tlöltecpactle quiename yelsesebe hua tena hua hasta öxö quesufrirojteca. 
ROM.8.23	Hua amo sa yaja tlöltecpactle, tlöcamo hasta tejua nuyejque. Tetiepextecate tieEspíritu de Deus öque tiechmacalo tepetzi de lo que tli sötiepa tecselisque, hua tiechgarantizörfilo que tecselisque noche niecaju sösantle. Tejua nuyejque teyelsesejtecate ipa toyulo hua tecmöchixtecate para inu tiempo cuöc nieses que tecate tetiepelhua de Deus. Quejtusneque que tecmöchixtecate para cuöc tocuierpo möquisas de ipa niempolebelestle. 
ROM.8.24	Pues por tomöcheales otomöquextisque. Pero cuöc ye niese lo que tli öque quechixteca, ayecmo quenesesitöroa tlamöchealestle. Pos tli öque quejta, ¿tli para oc quemöcheas? 
ROM.8.25	Pero tejua tecmöchea tli ayemo tequejta, hua ca paciencia tecmöchixtecate.
ROM.8.26	Hua ejqueu nuyejque yejuatzi Espíritu tiechpaliebilo por que amo techejchecacteque tecate. Pues amo tecmate quiene tetlajtlanesque quiename conbenierebe. Cache sie yejuatzi Espíritu netlajtlötlajtilo por tejua, ca yelsesebelestle tli abele tequejtusque ca tlajtule tli quejtusneque. 
ROM.8.27	Cache Deus, öque quetlatiemolilo toyulo, yejuatzi quematihua tli quepensöruro Espíritu. Pues san quiene ca tietlanequeles Deus, ejqueu tlajtlanihua Espíritu para ca tejua tli teyecteque.
ROM.8.28	Hua tejua tetietlasojtla Deus, hua yejuatzi otiechnutzque ejqueu quiename oqueplaneörojque. Por inu tecmajmate que noche sösantle quisas cuale para toproviecho de tejua. 
ROM.8.29	Pues quiejquech antes oquemixomatque, pues yejuanu mismos oquentzontejque para ma yecö san quiene ca iloac tieConietzi. Ejqueu ma yejuatzi tieConietzi ma iloa mayur intzölö meyactie icnijte. 
ROM.8.30	Hua innochtie tli oquentzontejque, yejuanu mismos oquennutzque. Hua innochtie tli oquennutzque, yejuanu mismos oquenselejque quiename yecteque. Hua innochtie tli oquenselejque quiename yecteque, yejuanu mismos oquenmacaque para quepeasque tietlaniexteles.
ROM.8.31	Pos ¿tli tequejtusque ca noche inu? Tlö Deus iloac por topörte, ¿öquenu iyes encuntra de tejua? Pos nionöque. 
ROM.8.32	Pues Deus nimpor tieConietzi amo tiechnegörfejque, cache otieantrecöruruc para ma mecoa por topampa tonochtie. Entunses cache ca meyac arrasu tiechmacasque noche ocseque sösantle ca tiehua tieConietzi. 
ROM.8.33	Entunses, ¿öquenu cuale tiechtieyelfis tejua tli Deus tiechixpejpenque? Pues abele öque, porque yejuatzi Deus iloac öque tiechselilo quiename teyecteque. 
ROM.8.34	Entunses ¿öquenu cuale tiechcuntenörus? Pues nionöque. Pues Cristo iloac öque omecoac, cache nuyejque oyulebihuac, hua nuyejque iloac ca tiemöyecmö de Deus, hua nuyejque netlajtlötlajtiluteca por topampa tejua. 
ROM.8.35	Entunses ¿öquenu cuale tiechnencuaxelus de ipa tietlasojteles Cristo? ¿Beles tequepachule? ¿Noso tiecoco? ¿Noso tepotztocalestle? ¿Noso teosebelestle? ¿Noso xipetzebelestle? ¿Noso tiemajmajtelestle? ¿Noso inespödas de toenemigos? 
ROM.8.36	Pues tecsufrirusque noche ini nönca sösantle. Pos iyes quiename tlajcuelulpanca:
ROM.8.36	Mopampantzinco temejmectecate noche semelfetl;
ROM.8.36	tiechpextecate quiename tecalnielojte para tiechmectisque.
ROM.8.37	Pero ipa noche ini nönca sösantle tetlaxexicoa, hua turavea cache cuale tequisa, por medio de yejuatzi öque tiechtlasojtlalo. 
ROM.8.38	Pues neca seguro que nimpor mequelestle, nimpor nemelestle, nimpor öngeles, nimpor tlötlajtoönejme, nimpor tli onca, nimpor tli huölös, nimpor checöhualesme, 
ROM.8.39	nimpor tli tlacpajca, nimpor tli bejcatlanca, nimpor niontle tli Deus oquechejchijque, abele tiechnencuaxelus de ipa tietlasojteles Deus, tli tietechca toTlöcatzintle Cristo Jesús.
ROM.9.1	Nequejtojteca tlin melöhuac porque neca tieca Cristo. Amo nistlacatlajtoa. Noyulo nuyejque ica testigo tieca Espíritu Sönto. 
ROM.9.2	Lalebes niechtlöocoltea hua seme niechyulcocoa. 
ROM.9.3	Hasta necnequesquiöne ma niechtlabejbicalticö Deus, hua ma nonencuaxelo de Cristo, tlö inu cuale quenpaliebisquea nocnihua, tli cate de nogiente. 
ROM.9.4	Netlajtlajtojteca de joriojte noso israelitas. Pues yejua Deus oquenmacaque deriecho para yesque tiepelhua, hua yejua oquejtaque tietlaniexteles, hua Deus oquechijque tieacuierdos ca yejua, hua quenmacaque inu ley. Hua yejua tejtequeteya de tieteochihuaya Deus, hua Deus oquenmacaque promiesas. 
ROM.9.5	Hua inu tötajte quiename Abraham, hua Isaac, hua Jacob, yejua oyejyeya intötajua israelitas. Hua nuyejque Cristo tlöcatihuac de israelita. Yejuatzi Cristo iloac Deus öque tlamandöruro ipa noche sösantle, öque quepealo yectieniebelestle nochepa. Amén. Ejqueu icaca.
ROM.9.6	Cache amo nequejtojteca que sa omonienchejchi tietlajtultzi Deus. Pues amo innochtie tli otlöcatque ipa puieblo de Israel cate israelitas de melöhuac. 
ROM.9.7	Nimpor amo innochtie tli cate de ixenöchpelhua Abraham, cate ipelhua de melöhuac. Cache Deus oquejtojque que: “Itech Isaac tecpeas moxenöchpelhua”. 
ROM.9.8	Quejtusneque que inu ipelhua Abraham tli otlöcatque quiename tlajtlöcate noche pelantzetzi, yejua amo cate tiepelhua de Deus. Pero niecate tli otlöcatque por tiepromiesa de Deus, yejua quenpoalo quiename ipelhua Abraham. 
ROM.9.9	Pues ejqueu oqueprometierojque Deus: “Ipa sie xebetl naja nehuölös, hua quepeas Sara sente iconie”. 
ROM.9.10	Hua amo sa inu, cache nuyejque Rebeca omoutztlöle por sie tlöcatl, que yaja Isaac öque ica totöta de tejua tli tejoriojte. 
ROM.9.11	Hua ayemo tlajtlöcateya pelantzetzi, nimpor ayemo quechihuaya tlin cuale nimpor tlin amo cuale, cuöc Deus quixpejpenque sente de yejua. Ejqueu cuale tequejta que Deus quedesediruro öquenu quixpejpenasque, hua quixpejpenalo, amo por lo que tli quechihua yaja, tlöcamo por que yejuatzi quenequihua quenutzasque. 
ROM.9.12	Por inu oquelfejque Rebeca ejqueyi: “Moconie tli cachtojyebes quetequepanus tli sötiepajyebes”. 
ROM.9.13	Pos nuyejque tlajcuelulpanca:
ROM.9.13	Yaja Jacob onectlasojtlac,
ROM.9.13	cache Esaú onectlajyelejtac.
ROM.9.14	¿Tli noso tequejtusque? ¿Beles tequejtusque que Deus oquechijque lo que tli amo yectec cuöc ejqueu quemixpejpenque? Abele ejqueu iyes. 
ROM.9.15	Cache cuale icaca quiename Deus quelfilo Moisés:
ROM.9.15	Necpilis icnuejtelestle de öque naja necneque necpilis icnuejtelestle,
ROM.9.15	hua niechtlöocoltis öque necneque ma niechtlöocolte.
ROM.9.16	Entunses amo dependierebe de öquenu queneque, nimpor de öquenu cache cuale momeröhua, cache dependierebe de Deus, öque tiechpililo icnuejtelestle. 
ROM.9.17	Pues teotlajtule quelfea Faraón: “Para ini nönca otemetztlöle, para nectieyejtetis motech noche nochecöhuales, hua para que notucöyu ma mopoa ipa noche tlöltecpactle”. 
ROM.9.18	Entunses tequejta que cuöc Deus quenequihua quicnuejtasque canajyeca, pues quicnuejtalo, hua cuöc quenequihua queyultepitzusque canajyeca, queyultepitzulo.
ROM.9.19	Beles teniechelfis: “¿Tlica, noso, tiechtlajtlacultilo? Pues mös amo tecnequesquiöne pero tecpea que tecchihuasque tietlanequeles”. 
ROM.9.20	Cache naja temetztlajtlanes: “¿Öquenu taja, para ejqueu tetiecuajnömeques Deus?” Sente xoctle abele quelfea öque oquechejchi: “¿Tlica oteniechchejchi ejqueyi?” 
ROM.9.21	Noso ¿beles tequejtus que inu casfielajtiero amo quepea deriecho para quechihuas de sie tapalcatl sente xoctle para tlin cuale hua ocsente para ma quetietiemacö tlasole ijtec? 
ROM.9.22	Pues ejqueu nuyejque Deus quepealo deriecho para quechihuasque tli quenequihua. Pues yejuatzi oquenejque quetieyejtetisque tiecualöneles hua nuyejque oquenejque ma machea de tiechecöhuales. Hua por inu oquenxicojque ca meyac paciencia inu giente tli cate quiename xocme de tlabiele, tli tlachejchijme para tlaxexetunelestle. 
ROM.9.23	Hua ejqueu nuyejque oquenejque quetieyejtetisque tietlaniexteles inca xocme de icnuejtelestle, tli yejuatzi oquenchejchijque para ma quepeacö de tietlaniexteles. 
ROM.9.24	Ini nöncate xocme tecate tejua, öque tiechnutzque yejuatzi. Hua amo sa tiechnutzque tli tejoriojte, tlöcamo nuyejque meyactie de tejua amo cate joriojte. 
ROM.9.25	Pues ipa inu libro de Oseas quejtulo ejqueyi:
ROM.9.25	Nequennutzas yejua tli amo nopuieblo, para ma yecö nopuieblo;
ROM.9.25	hua inu nación tli amo tlasojtlale, nejcuitis notlasojtlale.
ROM.9.26	Hua mochihuas que ipa inu locör cöne onequemelfe: “Nemejua amo nencate nennopuieblo”,
ROM.9.26	ompa miero mocuitisque tiepelhua de Deus öque nemoateca.
ROM.9.27	Nuyejque Isaías quejtoa de inu puieblo de Israel: “Mös uyesquiöya meyactie ipelhua Israel quiename xöle de itienco lamör, pero momöquextisque sa quiesquete de yejua. 
ROM.9.28	Pos Tlöcatzintle quecumplirusque tietlajtultzi ipan tlöltecpactle. Quetlamisque, hua sa nima quesencöhuasque”. 
ROM.9.29	Hua nuyejque oquejto Isaías quiene mochihuasquea:
ROM.9.29	Tlö Tlöcatzintle 
ROM.9.29	tetlamesquiöya quiename inu ciudad de Sodoma,
ROM.9.29	hua tocöhuasquiöya quiename Gomorra.
ROM.9.30	¿Tli tequejtusque noso? Pues que inu giente tli amo joriojte, mös amo quetiemoöya yectelestle, yejua oquepexque inu yectelestle tli yebitz por öque ineltoqueles. 
ROM.9.31	Cache giente de Israel, que quetocaya inu ley para ma quepeacö yectelestle, yejua abele quecumplirojque inu ley. 
ROM.9.32	¿Tli ipampa abele oquepexque inu yectelestle? Ipampa amo quetiemoöya ca neltoquelestle, tlöcamo quepensöroöya que cuale quepeasquea inu yectelestle por intlachihual. Ejqueu omoteputlamejque ica tietetu de teputlamelestle. 
ROM.9.33	Pos tlajcuelulpanca:
ROM.9.33	Xequejtacö. Naja nectlölis ipa Sión sente tietetu tli ica moteputlamesque,
ROM.9.33	hua tietebiebentzi tli quenchihualtis ma betzecö.
ROM.9.33	Hua öque moneltocas ca yaja ayec mopejpinöjtis.
ROM.10.1	Nocnihua, melöhuac necneque ca noche noyulo, hua notlajtlötlajtea Deus por nogiente de Israel, para ma momöquexticö. 
ROM.10.2	Pues naja nequejta que yejua lalebes tietiemoa Deus, cache amo cajasojcömate cuale. 
ROM.10.3	Pues yejua amo quemateya de inu yectelestle tli Deus quetiemacalo, hua quenejneque mochihuasque yecteque sa yejua mismo. Hua amo mosujetöroa para queselisque inu yectelestle tli Deus quetiemacalo. 
ROM.10.4	Pos ye omocumpliro inu ley cuöc hualiloac Cristo. Ejqueu cuale iyes yectec noche tlöcatl tli moneltoca.
ROM.10.5	Pues Moisés quejcueloa que tlö sente tlöcatl quechihuas inu sösantle yectec tli quemarcöroa inu ley, ejqueu quepeas nemelestle. 
ROM.10.6	Cache cuöc mojtoa de inu yectelestle tli yebitz por neltoquelestle, quejtoa ejqueyi:
ROM.10.6	Amo xequejto ipa moyulo: “¿Öque cuale tlejcus elfecac?”
ROM.10.6	(Pos amo nesesitörebe öque tlejcus elfecac para öque tietemobis Cristo, pos ye ohualtemoac.)
ROM.10.7	Nimpor amo xequejto: “¿Öquenu cuale temus cöne tlatecoyöbelespa?”
ROM.10.7	(Pos amo nesesitörebe öque temus para tiehualecas Cristo de intzölö mimejque, pos ye ohualnecuepaluto de ompa.) 
ROM.10.8	Cache ¿tli quejtoa? Pues quejtoa ejqueyi:
ROM.10.8	Motlanca tlajtule,
ROM.10.8	ipa mocamac hua ipa moyulo.
ROM.10.8	Hua inu tlajtule icaca yaja tlajtule de neltoquelestle de tli tejua tetlanunutza: 
ROM.10.9	Que tlö tetietieniehuas ca mocamac que Jesús iloac Tlöcatzintle, hua tomoneltocas ca moyulo que Deus otieyulebitiluc de intzölö mimejque, tomomöquextis. 
ROM.10.10	Pues ca öque iyulo moneltoca para iyes yectec, hua ca icamac öque tietieniehua para momöquextis. 
ROM.10.11	Pues quejtoa teotlajtule: “Öquenu beletes moneltocas tiecatzinco ayec mopejpinöjtis”. 
ROM.10.12	Pues amo onca diferiencia entre joreyo hua tli amo joreyo. Pues sie yejuatzi iloac Tlöcatzintle de tonochtie, hua rico iloac para tiechpaliebisque tonochtie quiejquech tetietzajtzelea. 
ROM.10.13	Pues: “Tlö canajyeca tietzajtzelis por tietucöyutzi Tlöcatzintle, yaja momöquextis”.
ROM.10.14	¿Quiene, noso, tietzajtzelisque por tietucöyutzi tlö amo moneltoca? Hua ¿quiene moneltocasque tieca tlö ayec quecajque de yejuatzi? Hua ¿quiene quecaquesque tlö amo onca öque quennunutzas? 
ROM.10.15	Hua ¿quiene tlanunutzasque tlö amo öque quentitlane? Pues ejqueu tlajcuelulpanca: “Lalebes cuöcualtzi cuöc hualase niecate tli tlanunutzasque de cuale tlamachestelestle de tlin cuale”.
ROM.10.16	Pero amo innochtie oquechibelejque cöso de inu cuale tlamachestelestle. Pos Isaías quejtoa: “Tlöcatzintle, ¿öquenu omoneltocac ca totlanunutzales?” 
ROM.10.17	Ejqueu noso tequejta que toneltoqueles yebitz por totlacaqueles, cuöc tejcaque que tlajtlanunutztecate de tietlajtultzi Cristo. 
ROM.10.18	Pero netlajtlane: ¿quie beles amo oquecajque inu giente de pa nieca tiempo? Pos quiema oquecajque. Pues ejqueu quejtoa:
ROM.10.18	Ipa noche tlöltecpactle ye omosu intlajtul de yejua,
ROM.10.18	hua hasta cöne tlame tlöltecpactle oaseto intlajtulhua.
ROM.10.19	Pero ocsajpa netlajtlane: ¿quie beles inu israelitas amo ocasojcömatque ini nönca? Pues quiema ocasojcömatque. Hua por inu quejtoa Moisés ejqueyi:
ROM.10.19	Naja nemiechchihualtis xechajchöhuatecö ca giente tli amo de nopuieblo,
ROM.10.19	hua nemiechchihualtis xecualönecö por medio de giente tli amo quemajmate.
ROM.10.20	Hua sötiepa Isaías matrevieroa para quejtus:
ROM.10.20	Oniechniextejque giente tli amo niechtiemoöya;
ROM.10.20	Ononiexte inca giente tli amo noca tlajtlaneya.
ROM.10.21	Cache de inu puieblo de Israel quejtulo ejqueyi: “Noche semelfetl nemösujtaya ca sente puieblo tli tlaixnömequene hua amo tlaneltocane. Necnequeya nequennöhuajteques, pero amo oquenejque”.
ROM.11.1	Bieno pues, ¿beles quejtusneque que Deus intiero quetlabielcöjque tiepuieblo? Amo ejqueu ica. Pues naja nuyejque necaca neisraelita, de ixenöchpelhua Abraham, de inu tribu noso grupo de Benjamín. 
ROM.11.2	Deus amo quetlabielcöjque tiepuieblo, tli oquemixomatque antes que otlajtlöcatene. Xequelnömequecö quiene quejtoa teotlajtule de Elías. Pues yaja otlajtlajto tieca Deus cuntra Israel, hua oquejto: 
ROM.11.3	“Tlöcatzintle, noche motlayulepantejtzetzihua ye oquenmejmectejque, hua moajtöltzetzihua ye oquenxexetotzque. Hua sö naja ye onocö sa nosiel, hua quenejneque niechmectisque”. 
ROM.11.4	Cache ¿tli oquenönquelejque Deus? “Ye nequenmalfe para naja checume mil tlöca que amo motlancuöquetzque ixtla nieca ixniehualo de Baal”. 
ROM.11.5	Ejqueu mismo, ipa ini nöncate tunalte omocöjque seque tli cate tlaixpejpenque por tiefavur Deus. 
ROM.11.6	Hua tlö omixpejpenque por tiefavur Deus, entunses quejtusneque que amo ica por tlachihualestle. Porque tlö ejqueu oyene por tlachihualestle, ayecmo monesesitörusquea tiefavur de Deus.
ROM.11.7	Bieno pues, inu yectelestle tli quetiemoöya inu israelitas, inu amo oqueniextejque. Pero niecate tli quemixpejpenque Deus ye oqueselejque yectelestle, hua inu ocseque omoyultepitzojque. 
ROM.11.8	Ica quiename tlajcuelulpanca:
ROM.11.8	Deus oquenchihualtejque ma ayecmo quemachele inyulo
ROM.11.8	hua ma abele tlacheacö inca imixtelolojua,
ROM.11.8	hua ma abele tlacaquecö inca innacashua.
ROM.11.8	Hua ejqueu cate hasta öxö.
ROM.11.9	Hua David quejtoa:
ROM.11.9	Inu sösantle cuale tli quepejpea ma mochihuacö quiename trömpa, hua quieme tarröya,
ROM.11.9	para que por medio de inu sösantle queselisque intlaxtlöbil de intlajtlacul.
ROM.11.10	Hua imixtelolojua ma yecö ipa tlanextecume para majcamo tlacheacö,
ROM.11.10	hua seme xequenmochihualtele ma mopiechojtenemecö hua ma tlamömajtenemecö.
ROM.11.11	Netlajtlane noso: ¿quie beles moteputlamejque para ma betzecö hua ma ayecmo majcoquecö? Majcamo ejqueu iye. Cache cuale, por que yejua joriojte ombetzque ipa tlajtlacule ohuöla nemöquextelestle para ocseque giente, para que yejua joriojte ma chöhuatecö. 
ROM.11.12	Pues por que yejua obetzque giente de noche tlöltecpactle oquepexque inu ricojyutl que yaja nemöquextelestle. Ejqueu inporubejyo de yejua omochihuaco ricojyutl para ocseque giente. Entunses cache ca meyac arrasu cuöc yejua ocsajpa moricojtisque, cache lalebes iyes cuale para ocseque giente.
ROM.11.13	Pues nemiechnunutzteca nemejua tli amo nenjoriojte nencate. Naja neca netlateotitlantle para ca nemejua tli amo nenjoriojte. Hua necchamöhua noteque. 
ROM.11.14	Pues necneque ejqueu nequenchihualtis ma chöhuatecö joriojte, abier tlö cana ejqueu cuale nequenmöquextis seque de yejua. Pues yejua cate nogiente. 
ROM.11.15	Pues cuöc Deus oquentlabielcöjque joriojte, omochi para ma mosietelicö ca Deus giente de noche tlöltecpactle. ¿Tli noso mochihuas cuöc Deus ocsajpa quenselisque? Pues mochihuas yulebelestle de mimejque. 
ROM.11.16	Hua tlö inu primiero pörte de sente textle omoxelo para Deus, pues ejqueu icaca noche. Noso tlö inelhuayo de sente cuabetl icaca cuale, entunses nuyejque ica cuale imömöyo. Ejqueu omoxelojque para Deus inu tötajte de israelitas, hua por inu nuyejque ejqueu cate innochtie israelitas.
ROM.11.17	Pero ica quieme tlö cana seque imömöyo opojpostejque de inu cuabetl tli querepresentöroa inu nación de Israel. Hua taja tli amo tejoreyo teca teimömöyo de ocsente cuabetl de munte. Hua itech inu belaja cuabetl de olivo otomotzecuto intzölö imömöyo. Hua ejqueu tecpea pörte de inu iöyo bielec tli quisa de itech inelhuayo cuabetl. 
ROM.11.18	Amo xomochajchamöhua cuntra de tli belejua imömöyo cuabetl. Cache tlö tomochajchamöhuas, xequelnömeque que amo taja tequescaltejteca inu nelhuayutl, tlöcamo yaja nelhuayutl metzescaltejteca taja. 
ROM.11.19	Pero beles tequejtus: “Imömöyo cuabetl opojpostejque para que naja ipa ilocör netzecojtas”. 
ROM.11.20	Pues cuale; ipampa amo omoneltocaque, yaja ica opojpostejque. Cache taja cuale tecaca ipampa tomoneltocateca. Amo xomochamöhua tlöcamo xecpea mabelestle. 
ROM.11.21	Tlö quejtus Deus amo tietlöocoltejque tli belejua imömöyo cuabetl, nuyejque taja amo tetietlöocoltis. 
ROM.11.22	Xomomaca cuienta, noso, quiene Deus quepealo tlasojtelestle, pero nuyejque checöhuac tietlachihual. Ca sie löro tiechecöhuac tlachihual niese inca niecate tli obetzque. Cache ca ocsie löro tietlasojteles ica para ca taja, tlö quejtus tecsequirojtas tomoquitzquejtas de itech tietlasojteles. Hua tlö amo, nuyejque taja metztequesque. 
ROM.11.23	Hua nuyejque yejua, tlö cana ocsajpa moneltocasque, pues ocsajpa motzecusque itech inu cuabetl, pues Deus quepealo checöhualestle para ocsajpa quentzecusque. 
ROM.11.24	Pos taja sa tecaca sente tetlatectle de itech sente cuabetl de munte, hua otomotzecuto itech tlin cuale cuabetl de olivo cöne amo tetlöcat. Entunses cache ca meyac arrasu tli belejua otlöcatque itech tli belaja cuabetl de olivo, yejua ocsajpa motzecusque, porque de ompa tlatqueme.
ROM.11.25	Pues necneque, nocnihua, ma xecmatecö ini nönca secrieto, para majcamo xomobieyemajtacö: que inu yultepitzabelestle omochi inca meyactie de Israel. Pero solamiente iyes hasta senamo moneltocasque inu meyactie giente tli amo joriojte. 
ROM.11.26	Hua entunses noche inu giente de Israel momöquextisque. Iyes quiename tlajcuelulpanca:
ROM.11.26	Hualiloas de Sión öque tlamöquextisque
ROM.11.26	hua quejcuenisque inu tlajtlacule de Jacob.
ROM.11.27	Yaja ini icaca noacuierdo tli necchihuas ca yejua,
ROM.11.27	de que nequejcuenis intlajtlacul.
ROM.11.28	Pues por ipampa inu cuale tlamachestelestle, inu joriojte cate quiename enemigos de Deus. Hua ejqueu nenquepea locör nemejua tli amo nenjoriojte. Pero Deus turavea quentlasojtlalo ipampa quemixpejpenque intötajua. 
ROM.11.29	Pues cuöc Deus quetiemacalo canajyetla noso quenutzalo canajyeca, ayec neyulcuepalo. 
ROM.11.30	Pues nemejua nuyejque ca ye niepa amo nentieneltocaque Deus. Cache öxö Deus ye nemiechicnuejtaque ipampa inu joriojte amo tieneltocaque. 
ROM.11.31	Ejqueu nuyejque joriojte öxö amo moneltoca, para que ejqueu, san quiene ca Deus onemiechicnuejtaque nemejua, nuyejque ma quemicnuejtacö yejua. 
ROM.11.32	Pues Deus innochtie oquencöjque para amo tieneltocaque, para que ejqueu quemicnuejtasque innochtie.
ROM.11.33	¡Lalebes ca bieye hua rico lalebes tiemachesteles hua tietlamateles de Deus! ¡Lalebes amo masojcömate quiene yejuatzi questloculo, hua abele öque quixnenebelea tieojfe! 
ROM.11.34	Pues:
ROM.11.34	¿Öquenu ocasojcömat tiepensamiento Tlöcatzintle?
ROM.11.34	Noso ¿öquenu tietlajtulmacac?
ROM.11.35	Noso ¿öquenu cachto otiemacac canajyetla,
ROM.11.35	para sötiepa Deus quetlaxtlöhuasque?
ROM.11.36	Pues de yejuatzi, hua por yejuatzi, hua para yejuatzi, icaca noche sösantle. Yejuatzi ma quepeacö yectieniebelestle nochepa. Amén. Ma ejqueu iye.
ROM.12.1	Öxö, noso, nocnihua, lalebes nemiechtlötlajtea ipampa tieicnuejteles de Deus, xectiemöcticö nemocuierpo ca Deus quiename sente bentle tli yulejteca, tli yectec, hua tli tlacualejtale. Ejqueu nentietequepanusque Deus ca mabesutelestle quiename moneque. 
ROM.12.2	Hua ayecmo xenemecö san quiene ca neme tlöltecpactlöca, cache xomoyancuelicö ipa nemopensamientos, para ejqueu nenquenenebelisque cötlaja tietlanequelestzi Deus, tli cuale hua yectec hua tlacualejtale.
ROM.12.3	Nequejtoa noso por tiefavur tli niechmacaque Deus, öque beletes tli icaca nemotzölö majcamo mobieyenenebele cache de lo que tli conbenierebe. Cache cuale ma queyecpensöro cuale de yaja mismo hua ma monenebele, hua ejqueu ma quejta quiejquech neltoquelestle oquetocöro de inu tli Deus quexiexelfilo cara sesen tlöcatl. 
ROM.12.4	Pues tecpea meyac pörtes ipa tocuierpo, cache amo noche pörtes sasie tequetl quepea. 
ROM.12.5	Ejqueu temeyactie tecate ipa sa sie cuierpo tieca Cristo. Hua tonochtie tecate pörtes de inu cuierpo, hua tosietelea sente ca ocsente. 
ROM.12.6	Hua tecpea ocsesen tequetl cara sesen tlöcatl san quiene ca Deus por tiefavur oquetiemacaque ocsesen beletelestle para cara sente de tejua. Tlö tecselejque favur para teyesque tetlayulepantejque, ma tetlayulepanticö según toneltoqueles. 
ROM.12.7	Hua tlö tiechtocöroa 
ROM.12.8	Tlö öque quetocöroa para tietlajtulmacas, ma tietlajtulmaca. Tlö öque tlaxiexeloa ma quechihua sin quetiemus canajyetla para yaja mismo. Tlö öque tlayecöna, ma queyectlachile. Tlö öque quechihua tlin cuale inca ocseque, ma quechihua ca meyac pöquelestle.
ROM.12.9	Nemotlasojteles ma iye de melöhuac. Xectlajyelejtacö tlin amo cuale, hua xecnequecö lalebes lo que tlin cuale. 
ROM.12.10	Xomotlasojtlacö entre nemejua ca tlasojtelestle quiename nenicnijte. Amo xectratörucö de nenchecuaquisasque, cache xomoyectieniehuacö entre nemejua. 
ROM.12.11	Xetequetecö ca meyac gönas hua amo xeyecö nentlajtlatzejque, cache ipa nemoyulo xecnequecö lalebes nentietequepanusque Tlöcatzintle. 
ROM.12.12	Xepajpöquecö por inu nemöchealestle tli tecpejpea. Xecxicojtacö cuöc nenquesufrirojtecate. Seme xomotlajtlötlajtejtacö. 
ROM.12.13	Xequenpaliebicö yecteque ipa tli quenpoloa. Lalebes xecnequecö nenquencalutisque tli comentlajpaloa.
ROM.12.14	Xequenbediseyumacacö tli nemiechtepotztoca. Xequenbediseyumacacö hua amo xequentlabejbicalticö. 
ROM.12.15	Xepajpöquecö ca quiejquech quepejpea pöquelestle; xechojchucacö ca quiejquech chojchuca. 
ROM.12.16	Nemonochtie ma xecnequecö tlin cuale para nemocnihua. Amo xectiemucö para nenyesque nenimportöntes. Amo xecdespresiörucö lo que tli sensiyo ica. Amo xomobieyenenebelicö quieme nentlajmatque. 
