MAT.1.1	Tüfa Jesucristo tañi kuyfike tuwün pu che em, David em ka Abraam em tañi pu yomel ürke:
ACT.11.19	Dew rupan langümngelu ta Esteban, amuley ñi kintungen ñi püresungeael tati pu feyentuleyelu, feymew kiñekentu lefmawi engün ta Fenisia, Chipre ka Antiokia. Fey üyew kimelpufi engün ti pu judiu müten tati werken dungu, welu ti kakelu che kimelpulafi engün. 
ACT.11.20	Welu kiñeke feyentuleyelu tuwlu Chipre ka Sirene puwingün ta Antiokia waria mew, fey llituy ñi kimeltuafiel tati pu judiu tuwünngenolu kafey. Kimelfingün Jesus tati Ñidol ñi we kimelün dungu. 
ACT.11.21	Fey Ñidol tañi pepiluwün müley kisu engün mew, femngechi pütrün che elyetuyngün tañi kuyfike wesake wimtun dungu, fey feyentuyngün ta Ñidol Jesus mew.
ACT.11.22	Tati feyentulechi trokiñche Jerusalen mew, allkülu engün tüfachi dungu, werküfi engün ta Bernabe ñi amuael ta Antiokia waria mew. 
ACT.11.23	Puwlu ta Bernabe, ngüneduampuy Ngünechen ñi fürenechelen, fey rumeñma ayüwpuy. Fey ngülampufi kom ti feyentulelu newen piwke mew fente küme ñi inayafiel ta Ñidol Jesus. 
ACT.11.24	Bernabe rume küme piwke wentrungey ti Lif Küme Püllü am ngünenierkeetew ka nierkey fentren mupiltun. Femngechi pütrün che wiñorakiduamtuy ta Ñidol Jesus mew.
ACT.11.25	Kom rupalu tüfachi dungu, Bernabe amuy ta Tarso waria mew, yemeafilu ta Sawlu. 
ACT.11.26	Fey pepufilu, küpaltufi ta Antiokia. Feymew mülepuyngu tati trokiñ feyentulelu engün mew. Kiñe tripantu kimeltumekepufi fentren che. Antiokia mew ürke wünelu mew “tati inakefilu Cristo” pingey tañi üytungen tati pu disipulo.
ACT.11.27	Feychi mew, kiñeke pelon wentru tuwlu ta Jerusalen, amuy engün ta Antiokia. 
ACT.11.28	Kiñeke tüfa engün, Agabo pingelu, witratripay fey ñi ngünenieetew tati Lif Küme Püllü, fey kimeli ñi müleael kiñe fütra filla antüngen kom trokiñke mapu mew. (Fey fente küme felerpuy, feychi mew Klawdio emperadorkülelu Roma waria mew.)
ACT.11.29	Feymew tati feyentuleyelu kiñewi engün ñi kelluafiel chemkün mew Judea mülechi pu feyentulechi che, tunten ñi pepi wülael kake kiñeke engün. 
ACT.11.30	Femngechi femlu engün, Bernabe ka Sawlu yey tañi trapümelchi chemkün engün, fey yelelngey tati longkolelu ti pu feyentulelu mew
ACT.12.1	Feymew tati longko ülmen Erode eluwi ñi fill wesalkamekeafiel kiñeke tati pu feyentuleyechi trokiñche. 
ACT.12.2	Fey werküy ñi langümngeael kuchillu mew ta Santiaw, Juan tañi peñi. 
ACT.12.3	Fey Erode kimlu ta tüfachi dungu mew tañi tutefiel tati pu judiu, ka femngechi püresufalfi ta Pedro. Fey tüfachi dungu rupay feychi mülelu ti kawiñ antü tañi ingekemum ta lefawrangenochi kofke.
ACT.12.4	Fey Erode rupan püresufalfilu ta Pedro, ka werküy ñi tukungeael ta karsel mew. Tüfey mew llüwatunieeyew meli trokiñ soltaw. Melikeley tati pu soltaw kiñeke trokiñ mew. Rakiduamkülefuy ñi ramtukadunguafiel tati pu judiu ñi adkiñ mew dew rupale tati Paskua pingechi kawiñ antü.
ACT.12.5	Feymew Pedro mülerkey karsel mew, fente küme llüwatuniengey, welu tati feyentulechi trokiñche rume ngillatuley Ngünechen mew.
ACT.12.6	Feychi pun mew Pedro dew püresulelu, umawkülerkey epu soltaw mew. Trarintukuley epu kadena mew, fey kakelu ti pu soltaw llüwatulerkey ti wülngiñ karsel mew. Fey dew wünle, Erode pengelürkeafetew ti trokiñche mew, 
ACT.12.7	welu petu ñi wünnon, pewfaluwrumey Ñidol Jesus tañi werken püllü, fey tati karsel mew kom alofürkey. Tati werken püllü lengkülengkütufi ta Pedro kadi püle, fey trepelfi, ka feypifi:
ACT.12.7	—¡Pürüm witrapürange!
ACT.12.7	Feymew müten, tati kadena kisutu llangkünagi Pedro tañi kuwü mew, 
ACT.12.8	fey tati werken püllü feypifi ta Pedro:
ACT.12.8	—Tukunge tami okota.
ACT.12.8	Femngechi femi ta Pedro, fey ti werken püllü ka feypifi:
ACT.12.8	—Tukunge tami makuñ ka inaen.
ACT.12.9	Feymew Pedro tripay, inaniefi tati werken püllü, fey ñi kimnon tañi rüfngen kam ñi rüfngenon tañi petu rupaelchi dungu mew. Kisu petu pewmalu trokiwküley. 
ACT.12.10	Welu rumeyngu wüne llüwatulechi soltaw mew, ka rumey engu tati kangelu llüwatulelu mew, fey puwlu engu tati pañillwe wülngiñ mew, rüpü püle adkülelu, fey tati wülngiñ kisu nülay. Tripapayngu, fey kiñe kuadra alü tripa ti karsel mew, tati werken püllü kisukünutufi ta Pedro.
ACT.12.11	Fey wüla küme ngüneduami ta Pedro, fey rakiduami: “Fewla kimün ta Ñidol Jesus ñi werkün tañi werken püllü tañi montuletew ta Erode mew ka kom tañi chumafetew mew tati pu judiu.”
ACT.12.12	Kom ngüneduamfilu tüfachi dungu, Pedro amuy Maria tañi ruka mew (Juan, tati Marku pingelu, tañi ñuke) chew trawüluwküley pütrün che tañi ngillatuael. 
ACT.12.13	Mütrümtukupuy ti rüpü adkülechi wülngiñ mew, fey kiñe üllchadomo, Rode pingelu, tripay ñi adkintuael tañi ineyngen. 
ACT.12.14	Fey Rode kimüñmafilu ñi dungun ta Pedro, fey fente ñi ayüwün nülalafi rume ta wülngiñ, fey lefkülen konputuy pu ruka tañi kimelael Pedro tañi mülepatun ta wülngiñ mew.
ACT.12.15	Fey feypingey:
ACT.12.15	—¡Wedwedküleymi am!
ACT.12.15	Welu Rode feypi tañi rüf feyngen. Fey kisu engün feypi.
ACT.12.15	—¡Pedro no tati! ¿Kisu ñi werken püllü peno?
ACT.12.16	Fey Pedro kay amuley ñi mütrümtukumeken wülngiñ mew. Fey nülafilu engün ti wülngiñ, fey pefilu engün, rume afmatuleweyngün.
ACT.12.17	Welu Pedro kafkütudungufi ka nengümelfi ñi kuwü tañi dungunoael engün, fey nütramelfi chumngechi ñi entutuetew ta Ñidol karsel mew. Fey ka feypi:
ACT.12.17	—Feypiafimün ta Santiaw tüfachi dungu ka kom ti pu che feyentulelu.
ACT.12.17	Fey tripatuy ka amutuy kañpüle.
ACT.12.18	Fey dew wünlu, tati pu soltaw wedwedingün ñi kintuafiel fill püle, kimnolu engün am ñi chumngechi ñi tripatun ta Pedro ti karsel mew. 
ACT.12.19	Feymew Erode werküy tañi kintungeael ta Pedro, welu pengenolu am, werküy ñi langümngeael ti pu soltaw llüwatuniekefulu ta Pedro. Fey femlu, Erode tripay Judea mapu mew, fey amuy ñi müleputuael ta Sesarea mapu mew.
ACT.12.20	Erode rumeñma lladkütuniefi kom tati pu che müleyelu ta Tiro ka Sidon waria mew, welu tüfachi che kom kiñewi tañi dungumeafiel ta Erode mew. Ti pu Tiro ka Sidon waria che wenikawi engün tati longko ülmen Erode ñi kiñe küdawelkeetewchi wentru, Blasto pingelu. Fey Blasto mew feypifali engün tati longko ülmen Erode tañi kümelkawtuael, tati pu che Tiro ka Sidon waria mew am ngillakefulu fill iyael ka chemkün engün Erode tañi trokiñ mapu mew.
ACT.12.21	Feymew kiñe antü Erode mütrümfalfi ti pu che tuwlu Tiro ka Sidon waria mew, fey Erode tukutuwküley tañi ülmen takuwün mew, anüpuy ñi tribunal mew, fey wewpipuy. 
ACT.12.22	Feymew tati pu che llituy engün tañi wirarael: “¡Tüfa tati wewpipelu re che no, kiñe ngünechen tatey!” 
ACT.12.23	Feymew ka müten, Ñidol tañi werken püllü kutranelfi ta Erode, tañi püramyenofiel mew ta Ngünechen, fey lalu, pirufemi. 
ACT.12.24	Fey Ngünechen tañi dungu kom püle amuley ñi kimeltungen.
ACT.12.25	Fey Bernabe engu Sawlu dewmalu tañi küdaw, tripatuyngu ta Jerusalen, feymew amuyngu ta Antiokia, fey yeniefi engu ta Juan, kiñeke mew Marku pingekey ñi üytungen.
ACT.13.1	Tati trokiñche feyentulelu mülelu Antiokia mew mülenkepirkey pelon wentru ka kimeltufe. Bernabe engu, Simon (tati kurü che pingekelu), Lusio mülelu ta Sirene, Manaen (Erode engu ta kiñentrür tremlu, tati longkolekelu Galilea mapu mew) ka Sawlu. 
ACT.13.2	Kiñe antü, petu trawüluwkülelu engün tañi püramyeafiel ta Ñidol ka ayunaley
ACT.13.3	Feymew rupan ngillatulu engün ka rupan ayunalu, fampuwülelngey engu kuwü, fey chalikünungey engu ñi tripayael kañpüle fey ñi kimeltuchemeael.
ACT.13.4	Bernabe engu Sawlu werküeyew tati Lif Küme Püllü, fey amuyngu tati ina lafken mülechi waria Selewsia. Tüfey mew pürapuy engu kiñe farku mew, amualu engu ta Chipre pingechi wapi mew. 
ACT.13.5	Epe puwkülelu ta Salamina waria ñi ayliñ mew, llituy tañi kimelün engu Ngünechen tañi werken dungu, tati sinagoga mew ñi nieel tati pu judiu. Külangen amuley Juan engün tati Marku pikeel, fey Juan ta kelluyawürkey.
ACT.13.6	Kom püle miyawi engün tati fütra wapi mew, fey puwi engün ta Pafos waria mew. Feymew pepufi engün kiñe kalku judiu tuwünngelu Barjesus pingelu, ka rume koylangerkey, “Ngünechen ta ‘famngechi dunguaymi’ pienew” pikerkey. 
ACT.13.7	Fey tüfachi kalku mülekerkey tati gobernador engu Sergio Pawlu pingelu, rume kim wentrungerkey. Fey tüfachi gobernador mütrümfalürkefi ta Bernabe engu Sawlu. Küpa allküturkey Ngünechen tañi werken dungu, 
ACT.13.8	welu tati kalku, griegudungun mew Elima pikeel, katrütudungufi tati gobernador tañi feyentunoael. 
ACT.13.9	Feymew Sawlu, ka Pablo pingelu, ngünenieetew tati Lif Küme Püllü leliniewefi, 
ACT.13.10	fey feypifi:
ACT.13.10	—¡Koylatufe, wesañmangelu ka weküfü ka müten ta eymi, kayñetukefilu kom kümeke dungu! ¿Chem mew anta fentekünulaymi tami kakünuñmayafiel Ñidol Ngünechen tañi nor küme dungu? 
ACT.13.11	Tüfa ta Ñidol Ngünechen kutrankayaeymew: pelowelayaymi, fentreñma pewetulayafimi ta antü ñi pelon.
ACT.13.11	Feymew ka müten Elima trawmay, fey dumiñmafemi, fey ayükerkey iney rume ñi küñatuaetew kuwü mew, trawmaletulu am. 
ACT.13.12	Fey ti gobernador pefilu ñi trawman ta Elima, feyentuy ka afmatuley ñi kimeltungen ta Ñidol Jesus mew.
ACT.13.13	Fey Pablo ka ñi pu kompañ Pafos ñi ayliñ mew püray engün kiñe farku mew, fey amuyngün ta Perge waria mew, Panfilia ñi trokiñ mapu mew. Welu Juan kisuelkünutufi ta Pablo engu Bernabe, fey wiñotuy ta Jerusalen. 
ACT.13.14	Tripalu Perge, fey puwi engu ta Antiokia, pichi alü tripalelu ta Pisidia trokiñ mapu mew. Feychi ürkütun antü mew,
ACT.13.15	Rupan chillkatufilu engün ti lifru nielu tati ley dungu ka tati pu pelon wentru ñi wirielchi dungu, ti pu longkolelu tati sinagoga mew feypifalfi ta Pablo engu Bernabe:
ACT.13.15	—Epu peñi, nielmu dungu tamu feypiael tamu yafülafiel ta pu che, tüfa ta feypiaymu müten.
ACT.13.16	Feymew Pablo witrapüray, ka nengümelfi ñi kuwü ñi feypiafiel tañi ñüküfküleael tati pu che, fey feypi:
ACT.13.16	—Allkütumün eymün, pu israelche, ka eymün, pu kake tripanche yamniefilu ta Ngünechen. 
ACT.13.17	Israel trokiñche tañi Ngünechen dullinturkefi taiñ fütakeche em. Kisu engün mew tripay kiñe fütra trokiñche feychi ta petu kake tripanche reke felelu engün ta Egipto mew. Fey wüla, Ngünechen tañi pepiluwün mew, nentupatuy kisu ñi trokiñche tüyechi mapu mew. 
ACT.13.18	Meli mari tripantu tati uwe mapu mew Ngünechen ñi ngenoafeluwün mew duamkünuñmalafi ñi yafkan engün. 
ACT.13.19	Ngünechen apümfi regle fütrake trokiñche mülelu tati trokiñ mapu Kanaan mew, tañi eluafiel feychi mapu taiñ fütakeche em. 
ACT.13.20	Kom tüfachi dungu feley ta kiñe meli pataka kechu mari tripantu.
ACT.13.20	“Fey wüla elelfi kiñeke longko kueskülealu ñi kimeltunieaetew engün, fey fentepuy ñi mülen engün Samuel mew. 
ACT.13.21	Feymew kisu engün feypi ñi elelngeael kiñe longko ülmen tañi ngünenieaetew engün, fey Ngünechen, elfi meli mari tripantu ta Saul ñi longko ülmenküleael, Sis tañi fotüm, Benjamin tañi tribu mew tripalu. 
ACT.13.22	Fey wüla nentutueyew Ngünechen ñi longko ülmenngewenoael ta Saul, feymew longko ülmenkünungetuy ta David, fey feypi ta kisu mew: ‘Penien ta David mew Isay tañi fotüm,
ACT.13.23	Fey tüfa lle ta tripalu kiñe ta David ñi tuwünche mew, fey tüfa ta Jesus Ngünechen tañi werküel ñi montulafiel ta pu israelche, femngechi tañi wüne tukulpakünuel. 
ACT.13.24	Fey petu tañi küpanon ta Jesus, Juan kimelelfi ti werken dungu tati Israel trokiñche. Feypifi tañi wiñorakiduamtuael ta Ngünechen mew ka tañi fawtisangeael engün. 
ACT.13.25	Fey fülpalu dewma tañi fentepuael Juan tañi mongen, Juan feypi: ‘Iñche no tati eymün tamün rakiduamküleel mew, welu iñche mew inalepay kiñe doy fütra pepiluwünngelu, fey iñche tañi yamniefiel mew nentupüroñmalayafuiñ rume tañi koriwen okota.’
ACT.13.26	“Eymün pu peñi ka lamngen, Abraam tañi pu yomelche, ka eymün pu kake tripanche feyentulelu ta Ngünechen mew: fey tüfachi werken montuluwün dungu fey ta kom iñchiñngealu. 
ACT.13.27	Rüf dungu mew chumngechi ñi wiriel Chillka mew ti pu pelon wentru tati chillkatukeel ti ürkütun antü mew itrokom felefuy. Ngüneduamfimün tati pu che mülelu ta Jerusalen ka ti pu awtoridad kimlafingün ñi ineyngen ta Jesus, ka pilay ñi llowafiel, fey langümfingün ta kürus mew. 
ACT.13.28	Tunte kisu nielafuy kiñe yafkan no rume tañi langümngeafel, feypifingün ta Pilato tañi langümafiel kürus mew. 
ACT.13.29	Fey rupan femlu engün kom tañi feypilen ta Wirin Chillka Jesus mew, fey nagümngetuy ta kürus mew, fey rüngalngey. 
ACT.13.30	Welu ta Ngünechen wiñomongeltueyew rangi pu la mew. 
ACT.13.31	Fey kiñe mufü rupalechi antü mew pewfaluwtuy ta Jesus ñi pu disipulu mew tüfa engün tati tripalu ta Galilea trokiñ mapu mew ñi küpayael ta Jerusalen. Fey tüfachi pu disipulu ta peeyew ñi mongeletun, fey nütramyenietufi engün ta Jesus ta kom pu che mew.
ACT.13.32	“Femngechi tati iñchiñ petu nütrameluwiyiñ ta tüfachi küme dungu: Ngünechen tañi wüne feypikünufiel taiñ fütakeche em, 
ACT.13.33	wiñomongeltufilu ta Jesus kom mupiy ti dungu, iñchiñ am kisu engün taiñ tuwünche. Fey iñchiñ llowfiyiñ tüfachi montun Jesus mew iñchiñ am ti kuyfi fütakeche em ñi yomelche chumngechi ñi feypilen tati epu konchi salmo mew:
ACT.13.33	‘Eymi ta iñche tañi fotüm.
ACT.13.33	Iñche ta yalleyu fachantü.’
ACT.13.34	Ngünechen dew feypikünufuy tañi wiñomongeltuafiel rangi ti pu la ka tañi funanoael Jesus tañi kuerpu, feypilerkey ta Wirin Chillka mew:
ACT.13.34	‘Kom mupituan tati nor dungu
ACT.13.34	ka ñi tukulpakünulelfielchi dungu ta David.’
ACT.13.35	Feymew ka feypiley tati Salmo lifru mew:
ACT.13.35	‘Elulayafi tañi funayael tañi kuerpu
ACT.13.35	ñi poyekeetewchi lif mongen kona.’
ACT.13.36	“Fewla may, feyngey, ta David tañi poyefiel tañi kuyfike che em, Ngünechen ta femaymi ñi pietew mew, ‘welu ta kisu larpuy chew ñi rüngalkülemum tañi chaw rüngalngey ta kisu’,
ACT.13.37	Welu tüyechi Jesus Ngünechen tañi wiñomongeltuel, fey ñi kuerpu funalay.
ACT.13.38	“Fey fewla feypiwayiñ, pu peñi ka lamngen, eymün müley tamün kimael Jesus mew ñi mülen wiñoduamangetun ta kom yafkan mew. 
ACT.13.39	Fey Moyse ñi ley dungu mew am iney rume wiñoduamangekenolu ñi yafkan mew, welu tati feyentulu Jesus mew niewetulay ta yafkan. 
ACT.13.40	Kuñiwtukuymün may tamün apümkangeael ta eymün ñi feypilen mew kom tüfachi dungu tañi chillkantukukünuel tati pu pelon wentru:
ACT.13.41	‘Allkütumün pu illamchefe, ka afmatulewemün, ka afnagtumün.
ACT.13.41	Iñche ta feman kiñe dungu eymün tamün mongen mew,
ACT.13.41	tüfeychi dungu eymün ta feyentulayafimün, iney rume ta nütramelelmünmew.’ ”
ACT.13.42	Fey Pablo ka Bernabe petu tripapatulu engu tati pu judiu ñi sinagoga mew, tati pu judiu tuwünngenolu llellipuyngün ti kangelu ürkütun antü mew ñi nütramelngeael engün ka feychi dungu. 
ACT.13.43	Dew rupan trawüluwlu engün tati sinagoga mew, pütrün pu judiu, fey ti kakelu ka femngechi konkülelu ti pu judiu ñi wimtun dungu mew, inaeyew. Fey kisu engu ngülamfi ti pu che tañi rumel newentuleael, femngechi tañi mütrümetew engün Ngünechen tañi piwkeyeetew mew.
ACT.13.44	Fey ka akulu ti kangelu ürkütun antü, epe kom tati waria che trawüluwi tañi allkütuael engün Ñidol Ngünechen tañi werken dungu. 
ACT.13.45	Feymew tati pu judiu pelu rume fentren che, rumeñma ütriri engün. Eluwi ñi fillpiafiel ta Pablo ka lukatukafi engün. 
ACT.13.46	Feymew Pablo ka Bernabe, llowdunguy engu rume newen piwke mew:
ACT.13.46	—Iñchiw ta feley tayu dunguael wünelu mew Ngünechen ñi dungu eymün mew, fey eymün tamün judiungen. Dew llowlafimün ka duamlafimün tati rumel mongen, fey fewla feypiwayiñ taiñ kimelmeafiel tati pu judiu tuwünngenochi pu che. 
ACT.13.47	Femngechi werküeyumew ta Ñidol Ngünechen feypilen mew:
ACT.13.47	‘Kiñe küde reke ta niewiyiñ kom tati pu lof mapu mew,
ACT.13.47	tamün yeafiel iñche tañi wülelchi montuluwün dungu,
ACT.13.47	tuntepu ñi mülen ta mapu.’
ACT.13.48	Allkülu engün tüfachi dungu, tati pu judiu tuwünngenolu ayüwi, fey feypi engün ñi rume ayüfalün Ñidol Ngünechen tañi dungu. Feyentuyey engün kom tüfey ñi dulliel ta Ngünechen, fey tañi llowael ta rumel mongen.
ACT.13.49	Feymew wewpingey Ñidol Jesus tañi dungu kom tiyechi lof mapu mew. 
ACT.13.50	Welu tati pu judiu dungufi kiñeke kümeke piwkengechi pu domo ka yamfalke domo, ka tati longkoleyechi pu wentru waria mew, fey ngüchalfi engün tañi kiñewael ñi wemüafiel ta Pablo engu Bernabe, femngechi tañi wemünentuafiel ti trokiñ mapu mew, kañpüle ñi amutuael engu. 
ACT.13.51	Feymew kisu engu mütrowi ti trufür ñi nieel tañi okota mew, fey femngechi pengeli engu ñi wesaduamtufiel kom tiyechi pu che, fey amuyngu ta Ikonio waria mew. 
ACT.13.52	Welu tati pu che feyentuyelu, rume ayüwküley engün ka ngünenieeyew ti Lif Küme Püllü.
ACT.14.1	Ikonio mew Pablo engu Bernabe kiñentrür konpuy tati pu judiu tañi sinagoga mew chumngechi wimtuley engu, fey kimeltupuyngu, feymew rume fentren che feyentuy, fentren judiu ka judiu tuwünngenolu. 
ACT.14.2	Welu tati feyentuyenochi pu judiu ngüchalniefi ñi dungukonael ti pu judiu tuwünngenolu femngechi tañi wesaduamtungeael tati pu feyentulechi pu che. 
ACT.14.3	Fey tüfachi dungu mew, tati pu apostol mülewenagi engün rume fentreñma Ñidol mew maneluwküley engün, fey küme kimeltuchey engün. Nütramyekefi engün Ngünechen tañi rume piwkeyechenngen, fey Ñidol Ngünechen ta rume kellunieeyew engün tañi femael afmanngechi dungu. Kisu engün tañi femkeelchi afmatufal dungu mupilerpuy kisu tañi nütramyekeelchi dungu. 
ACT.14.4	Welu tati pu trokiñche wichu püntülkawi engün, kiñekentu ingkaniefi tati pu judiu, kakelu kay ingkaniefi tati pu apostol. 
ACT.14.5	Feymew, tati pu judiu ka ti pu judiu tuwünngenolu kiñewi engün tati pu soltaw engün tañi wimakayafiel ka tañi ütrüftukayafiel kura mew. 
ACT.14.6	Welu Pablo engu Bernabe kimlu tüfachi dungu, lefmawi engu, fey amuy Likaonia trokiñ mapu mew, Listra waria mew ka Derbe waria ka fülküleyechi lof mapu mew. 
ACT.14.7	Ka tüfey mew ka kimelpuy engu tati küme dungu.
ACT.14.8	Listra waria mew mülerkey kiñe wentru pepi trekakenolu. Chumkawnorume trekakerkelay, küntrongey choyüngelu müten. Fey tüfachi wentru anülerkey, 
ACT.14.9	allkütuley tañi nütramkameken ta Pablo, fey Pablo ngüneduameyew ka kimeyew tañi rume feyentulen tañi tremoltuael. 
ACT.14.10	Feymew Pablo feypifi ti wentru newentu dungun mew:
ACT.14.10	—¡Witrapürange ka küme witrakünuwnge tami namun mew!
ACT.14.10	Fey tati wentru witrapüray kiñe ringkün mew, fey eluwi ñi trekayael. 
ACT.14.11	Pengelu ñi femün ta Pablo, wiraryey engün tati pu che likaoniadungun mew (fey Pablo kimlay ñi chem pimeken engün):
ACT.14.11	—¡Pu ngünechen wentrukünuwpay iñchiñ mew!
ACT.14.12	Bernabe ta Seus ngünechen pifi engün, Pablo kay Ermes ngünechen pifi engün kisu am dungukerkelu. 
ACT.14.13	Seus tañi saserdote niey tañi ngillatuwe ruka ellakon waria, fey küpalürkey toro adelkalelu itrofill rayen mew. Ti saserdote ka ti pu che ayüfuy tañi langümelafiel ti pu toro, femngechi tañi püramyeafiel tati epu apostol. 
ACT.14.14	Welu Pablo engu Bernabe ngüneduamlu, wikürkay ñi takuwün engu ka konpuy wirarkülen rangi che:
ACT.14.15	—Pu weni, ¿chem mew anta femngechi femimün? Iñchiw ta ka femngechi wentru, eymün reke. Iñchiw ta küpaleluwiyiñ rume küme dungu femngechi tamün elkünutuafiel ti wesake dungu, chem mew no rume ta kümenolu, ka tamün wiñotuael ta mongelechi Ngünechen mew, tati dewmalu ta wenu mapu, ka nag mapu, ka lafken ka kom tati mülelu tüfa engün mew. 
ACT.14.16	Tunte kuyfi mew ta Ngünechen elukünufuy ta che kisuke tañi inayael tañi rüpü, 
ACT.14.17	welu chumkawnorume elkünulay ñi pengelael ti kümeke dungu ñi femken, kisu tati werkülkeeymünmew ta mawün ka küme ngelkaketranün ka elukeeymünmew tamün duamtuelchi iyael, femngechi tamün ayüwküleam.
ACT.14.18	Fey feypingelu engün kom tüfachi dungu, ngellu katrütungey ñi langümnoafiel tati pu toro femngechi ta püramyelafingün ti langümelchi kulliñ mew tati epu apostol.
ACT.14.19	Feymew akuyey kiñeke judiu tuwlu Antiokia ka Ikonio, fey ka wesa rakiduamelpatufi tati pu che. Feymew ütrüftukangey kura mew ta Pablo, fey langümfilu trokiwi engün ka wingüdentukünufi engün wekuntu waria. 
ACT.14.20	Welu tati pu feyentuleyelu trawüluwlu Pablo tañi inafül, kisu witrapüratuy, fey ka konputuy tati waria mew. Fey kangelu antü mew, amuy Derbe waria Bernabe engu.
ACT.14.21	Rupan kimelpulu engu tati küme dungu ta Derbe waria mew, pütrün che feyentuy, fey wiñotuy engu ta Listra, Ikonio ka Antiokia waria mew Pisidia trokiñ mapu mülelu. 
ACT.14.22	Fey tüfachi lelfün püle ngülamkiyawülfi tañi newentuleael engün tañi feyentun mew. Feypingey engün ñi felerken ñi müleael kutrankawün taiñ puwael ta Ngünechen ñi mülewe mew. 
ACT.14.23	Kake kiñeke tati trokiñ pu feyentulelu mew dullingey wünenke wentru longkolealu, fey rupan ayunalu ka ngillatulu engün, chalintukufi engün Ñidol Jesus mew, tañi feyentumum engün.
ACT.14.24	Fey rupalu engu Pisidia trokiñ mapu mew, puwi engu Panfilia trokiñ mapu mew. 
ACT.14.25	Nütramkapuy engu tati küme dungu Perge waria mew, feymew ka amuy engu ta Atalia ñi ayliñ mew. 
ACT.14.26	Feymew konpuy engu farku mew ñi amutuael ta Antiokia, Siria trokiñ mapu mülelu. Tüfeychi waria mew mülechi pu peñi ka lamngen chalintukurkeeyew Ngünechen ñi piwkeyechen mew feychi tripayalu ñi wewpimeael ti werken dungu. Fey fewla puwturkey engün ka feychi trokiñ feyentulechi pu che mew. 
ACT.14.27	Fey wiñotulu engu ta Antiokia, ka llowtueyew ti trokiñ feyentulechi che. Feymew Pablo engu Bernabe trapümfi ti feyentulechi che tañi nütramelafiel ti dungu tañi femel ta Ngünechen kisu engu mew, ka chumngechi ta Ñidol ñi fürenefiel tati pu judiu tuwünngenolu tañi ka femngechi feyentuael engün. 
ACT.14.28	Feymew Pablo ka Bernabe rume fentreñma mülewenagi engu Antiokia waria mew tati pu feyentulelu engün.
ACT.15.1	Feychi mew, kiñeke tati tuwyelu Judea amuy ta Antiokia, fey eluwpuy engün tañi kimeltuafiel tati feyentulechi pu che tañi pepi montunoael engün, eluwnole tañi sirkunsidangeael, Moyse tañi elkünurpuelchi wirin dungu. 
ACT.15.2	Feymew Pablo engu Bernabe fütra lelikadungufi tati pu judiu ñi femngechi kimeltun mew. Feymew wüla dullifi engün Pablo ka Bernabe ka kiñeke ti kakelu ñi amuael Jerusalen fey ñi nütramelpuafiel tüfachi dungu tati pu apostol ka tati pu fütakeche longkolelu tati feyentulechi trokiñche mew mülelu ta Jerusalen waria mew.
ACT.15.3	Tati werküelchi pu che Antiokia mülechi feyentulechi trokiñche mew, tüfachi pu peñi rumerpulu engün Fenisia ka Samaria tañi trokiñ mapu mew, nütramyeniey engün femngechi ñi elkünutun tañi kuyfike feyentun tati pu judiu tuwünngenolu femngechi tañi inayafiel Ngünechen tañi dungu. Fey kom ti pu peñi ka lamngen rume ayüwi engün feychi dungu mew.
ACT.15.4	Feymew Pablo engu Bernabe puwlu ta Jerusalen, lloweyew tati feyentulechi trokiñche, ka tati pu apostol ka ti putrem fütakeche, fey nütramelpufi kom chumngechi ñi femün ta Ngünechen tati pu judiu tuwünngenolu mew. 
ACT.15.5	Welu kiñeke feyentuleyechi pu farisew witrapüray ka feypi engün:
ACT.15.5	—Feley tañi sirkunsidangeael tati feyentulechi pu judiu tuwünngenolu, ka ñi werküngeael ñi mupituafiel Moyse tañi ley dungu.
ACT.15.6	Feymew trawüluwi tati pu apostol ka tati fütakeche ñi ngüneduamafiel ta tüfachi dungu. 
ACT.15.7	Rupan fentreñma nütramkawlu engün, Pedro witrapüray fey feypieyew:
ACT.15.7	—Pu peñi, eymün ta kimnieymün kuyfi mew ta dullintuenew ta Ngünechen eymün tamün rangiñ mew ñi kimelael tati ayüwünngechi montun dungu tati pu judiu tuwünngenolu mew, ñi feyentuael kay ta kisu engün. 
ACT.15.8	Ngünechen am, kom kimniefilu ta rakiduam, pengeli tañi duamyefiel. Elufi tañi Lif Küme Püllü ta kisu engün, chumngechi elueiñmew ta iñchiñ. 
ACT.15.9	Ngünechen ta doyümnielafi iney no rume, iñchiñ no rume, ka kisu engün no rume, welu may ka femngechi tati pu judiu tuwünngenolu liftuñmangey tañi piwke tañi feyentun mew engün. 
ACT.15.10	Fey tüfa fentekünumün tamün notukamekeafiel ta Ngünechen. Kimeltumekefimün tati pu feyentuleyelu tati pepilfalnochi dungu iñchiñ no rume ka taiñ kuyfike che em no rume tañi pepi femnoel. 
ACT.15.11	Welu iñchiñ tati pu judiu, feyentuleiñ taiñ montun re taiñ füreneetew mew müten ta Ñidol Jesus, fey tati pu judiu tuwünngenolu ka femngechi montuy engün re tañi feyentun mew müten.
ACT.15.12	Kom ti trawüluwkülechi pu che ñüküfkülen allkütuy engün Bernabe engu Pablo ñi nütram, chumngechi ñi pengelün ta Ngünechen ti afmanngechi pepiluwün kisu engu mew, miyawlu engu tati pu judiu tuwünngenolu mew. 
