MAT.1.1	Na‘e tupu ‘a Sīsū Kalaisi mei he hako ‘o e Tu‘i ko Tēvitá, mei he hako ‘o ‘Ēpalahamé. 
JHN.10.21	Kae pehē ‘e he ni‘ihi ia, “He ‘e lava fēfē ke lea pehē ha taha kuo ma‘u ‘e ha tēvolo? ‘E ‘ikai lava ‘e ha taha pehē ia ‘o ‘ai ha taha ke sio.”
JHN.10.22	Ko e lolotonga ia ‘a e Kātoanga Fakamanatu ‘o hono Huufi e Temipalé. Pea ko e fa‘ahi ta‘u momokó ia. 
JHN.10.23	Pea lolotonga e fou atu ‘a Sīsū he ‘aho ‘e taha he fa‘ahi Temipale na‘e ui ko e “Fakafaletolo ‘o Solomoné,” 
JHN.10.24	kuo haha‘o mai ha kakai tokolahi. Pea nau ‘eke ange, “‘Ai ange ke mahino pe ko e Mīsaiá koe pe ‘ikai. Me‘a ní te ke tuku ke mau veiveiua ai pē?” 
JHN.10.25	Pea pehē ange ‘e Sīsū, “Na‘á ku ‘osi tala atu pē. Ka na‘e ‘ikai te mou fie tui mai kiate au. Ko e ngaahi ngāue ‘oku ou fai ‘i hono fakamafai‘i au ‘e he‘eku Tamaí, ko e ngaahi fakamo‘oni ia kiate au. 
JHN.10.26	Ka ‘oku ‘ikai te mou tui mai kiate au. He ‘oku ‘ikai ko ‘eku fanga sipi kimoutolu.
JHN.10.27	Ko ‘eku fanga sipí, ‘oku nau ‘ilo hoku le‘ó, peá u ‘ilo ‘e au kinautolu. ‘Oku nau muimui kinautolu ‘iate au. 
JHN.10.28	‘Oku ou ‘oange ma‘anautolu e mo‘ui ta‘engatá. He‘ikai te nau mate ‘o ta‘engata. ‘E ‘ikai faifai angé pea lava ‘e ha taha ‘o hamusi kinautolu meiate au. 
JHN.10.29	Ko ‘eku Tamaí, ko ia na‘á ne tuku mai kinautolu ma‘akú. Pea ‘oku mafai lahi ange ‘eku Tamaí ‘i ha toe taha. ‘E ‘ikai malava ke hamusi kinautolu meiate au ‘e ha taha. 
JHN.10.30	Ko e Tamaí mo au, ‘okú ma taha.”
JHN.10.31	Pea toe tufi maka mai leva e kakaí ke tolo ‘aki ‘a Sīsū. 
JHN.10.32	Kae tala ange ‘e Sīsū kiate kinautolu, “Ko ‘eku me‘a pē na‘e faí ko e ngaahi me’a lelei na‘e tuku mai ‘e he Tamaí ke u fai, pea mou sio tonu ai. Ko e fē leva e lelei ‘oku ‘ai ke mou tolo ai aú?”
JHN.10.33	Pea nau pehē ange, “‘Oku ‘ikai ko ‘emau teu tolo koé ko ha lelei na‘á ke fai. Ko ‘emau teu tolo koé koe‘uhí ko ho‘o fai koví. Ko ha tangata pē koe, ka kuó ke lau ko e ‘Otuá koe.”
JHN.10.34	Pea pehē ange ‘e Sīsū, “‘Ikai koā kuo tohi he Folofolá, ‘Ko e ngaahi ‘otua kimoutolu’? 
JHN.10.35	Ko e Folofolá ‘oku mo‘oni ma‘u ai pē. Pea ‘oku ui ai ‘e he ‘Otuá ‘a e kakai na‘á ne tō folofola ki aí ko e ngaahi ‘otua. 
JHN.10.36	Ko e hā leva ‘oku mou tukuaki‘i ai ko e tangata faikovi au koe‘uhí ko ‘eku lau ko e Foha au ‘o e ‘Otuá. He ko e Tamaí, foki, na‘á ne fili aú, peá ne toe fekau ke u ha‘u ki māmaní. 
JHN.10.37	Kapau ko e ngaahi me‘a ‘oku ou faí ‘oku ‘ikai ke fai ‘e he‘eku Tamaí, pea ‘oua te mou tui mai kiate au. 
JHN.10.38	Pea kapau leva ko e ngaahi me‘a ‘oku ou faí, ‘oku fai pē ia ‘e he‘eku Tamaí, pea mou tui ā ki he‘eku ngaahi me‘a ‘oku faí, neongo ho‘omou ta‘e tui mai kiate aú. Pea te mou toki ‘ilo pau ‘a e taha ‘a e Tamaí mo aú, peá u taha au mo e Tamaí.”
JHN.10.39	Pea toe feinga e kakaí ke puke fakamālohi‘i ‘a Sīsū. Kae toe moulu atu ‘a Sīsū ia meiate kinautolu, 
JHN.10.40	‘o ne ‘alu ki he kauvai ‘o e Vaitafe ko Soataní ki he feitu‘u na‘e fai papitaiso ai ‘a Sione ki mu‘a atú. Pea lolotonga e kei ‘i ai ‘a Sīsuú, 
JHN.10.41	kuo holo mai ha kakai tokolahi kiate ia. Pea nau toe felāuaki ai, “Na‘e ‘ikai ke faimana ‘a Sione. Ka ko ‘ene fakamatala kotoa ‘o kau kia Sīsuú, ko e mo‘oni ia.” 
JHN.10.42	Pea na‘e tui ai kia Sīsū ha tokolahi he kakai ko iá.
JHN.11.1	Na‘e ‘i ai e tangata ko Lāsalosi he kolo ko Pētani, ko e kolo na‘e nofo ai hono ongo tuofāfine ko Mele mo Mā‘ata. 
JHN.11.2	Ko Mele ia na‘á ne tākai lolo kakala ‘a e ‘Eikí mo holo ‘aki hono lou‘ulú ‘a hono va‘é. Na‘e puke ‘a Lāsalosi. 
JHN.11.3	Pea ko hono ongo tuofāfine ko ení, na‘á na pōpoaki kia Sīsū ‘o fakahā ange, “‘Eiki, ko ho kaume‘á eni, ‘a Lāsalosi, ‘oku puke.”
JHN.11.4	Pea a‘u mai e pōpoakí kia Sīsuú pea pehē ‘e Sīsū, “Ko e puke ko eni ‘o Lāsalosí, ‘e ‘ikai te ne mate ai. Ka ‘e fakalāngilangi‘i ai e ‘Otuá pea mo hono Fohá.”
JHN.11.5	Na‘e ‘ofa ‘a Sīsū ‘ia Mā‘ata, mo hono tokouá, pea mo Lāsalosi. 
JHN.11.6	Kae toe nofo atu pē ia he feitu‘u na‘á ne ‘i aí ‘i ha toe ‘aho ‘e ua. 
JHN.11.7	Peá ne toki pehē ange ki he‘ene kau akó, “Tau foki ā ki Siutea.”
JHN.11.8	Pea pehē ange ‘e he‘ene kau akó, “Ko e toki ‘osi eni, Tangata‘eiki, ‘a e feinga ‘a e kakai he feitu‘u ko iá ke tolomaka‘i koe! Ko e hā hono ‘uhinga ho‘o toe fie ‘alu ki aí?” 
JHN.11.9	Pea pehē ange ‘e Sīsū, “‘Ikai ‘oku houa ‘e hongofulu mā ua ‘a e ‘ahó? Ko ho‘o ‘alu holo he ‘ahó, ‘oku māmangia ho halá he la‘aá, pea he‘ikai te ke tūkia. 
JHN.11.10	Ka ko ho‘o ‘alu holo he po‘ulí, te ke tūkia. He ‘oku ‘ikai ke māmangia ho halá he po‘ulí.” 
JHN.11.11	Pea toe pehē ange ‘e Sīsū ki he‘ene kau akó, “Ko hotau kaume‘a ko Lāsalosí ‘oku mohe. Ko ‘eku ‘alu eni ‘o fafangu.” 
JHN.11.12	Pea nau pehē ange, “Kapau ā ‘oku mohe, ‘Eiki, pea ‘e toe sai pē hono puké ‘ona ia.” 
JHN.11.13	Ko e ‘uhinga ‘a Sīsuú, kuo mate ‘a Lāsalosi. Kae pehē ‘e he kau akó ia ‘oku mohe pē. 
JHN.11.14	Pea toe ‘ai mahino ange ‘e Sīsū kiate kinautolu, “Ko Lāsalosí kuo mate! 
JHN.11.15	Ka ‘oku fiefia hoku lotó ‘i he‘ene ‘i Siuteá ka u ‘i heni aú. He ‘e hoko ia ko ha me‘a ke mou tui ai kiate au. Tau ō ā ki ai.”
JHN.11.16	Pea pehē ange ‘e Tōmasi (‘a ē na‘e ui ko Māhangá) ki he kau ako ko eé, “Tau ō ai ā ‘o mate fakataha mo ia.”
JHN.11.17	Na‘e a‘u atu ‘a Sīsū ki Pētaní, tā ko e ‘aho ia ‘e fā hono ‘osi tanu ‘o Lāsalosí.
JHN.11.18	Ko e vāmama‘o ‘o Pētani mo Selusalemá, ko e kilomita nai ‘e tolu. 
JHN.11.19	Pea kuo holo mai ha kakai Siu tokolahi ko e fie kaungāmamahi fakataha mo Mele mo Mā‘ata ‘i he mālōlō hona tuonga‘ané.
JHN.11.20	Pea ko e fanongo pē ‘a Mā‘ata kuo a‘u mai ‘a Sīsuú, na‘á ne fakafe‘iloaki atu leva ki ai. Kae nofo pē ‘a Mele ‘i fale. 
JHN.11.21	Pea lea ange ‘a Mā‘ata kia Sīsū, “‘Eiki, kapau na‘á ke ‘i heni, na‘e ‘ikai ke mālōlo hoku tuonga‘ané! 
JHN.11.22	Ka neongo ia, ‘oku ou ‘ilo ‘e au ‘e fai ‘e he ‘Otuá ha me‘a pē te ke kole ki ai.”
JHN.11.23	Pea pehē ange ‘e Sīsū, “Ko ho tuonga‘ané ‘e toe tu‘u!” 
JHN.11.24	Pea tali atu ‘e Mā‘ata, “‘Oku mahino pē kiate au ‘e toe tu‘u hoku tuonga‘ané he ‘aho fakamuí.”
JHN.11.25	Pea toki lea ange ‘a Sīsū ki ai, “Ko au ‘a e toe tu‘ú mo e mo‘uí. Ko kinautolu kotoa pē te nau tui kiate aú te nau mo‘ui, neongo kuo nau mate. 
JHN.11.26	‘E ‘ikai mate ‘o ta‘e ngata ha taha ‘e tui kiate au ka te ne mo‘ui pē. ‘Okú ke tui ki ai?”
JHN.11.27	Pea pehē ange ‘e Mele, “‘Io, ‘Eiki! ‘Oku ou tui ko e Kalaisí koe, ko e ‘Alo ‘o e ‘Otuá, ko e toko taha kuo pau ke ha‘u ki māmani”
JHN.11.28	Pea hili e tali ko ia ‘a Mā‘ata kia Sīsuú, pea ‘alu ‘a Mā‘ata ‘o fafana ange kia Mele, “Kuo a‘u mai e Tangata‘eikí, pea ‘okú ne ‘eke koe.” 
JHN.11.29	Ko e fanongo pē ‘a Mele kuo a‘u mai ‘a Sīsuú, pea tu‘u leva ia ‘o fakatovave atu ki ai. 
JHN.11.30	Na‘e kei ‘i tu‘a kolo ‘a Sīsū ‘i he feitu‘u na‘á na fe‘iloaki ai mo Mā‘atá. 
JHN.11.31	Pea ko e kakai na‘a nau nofo‘aki me‘a fakataha mo Melé, na‘a nau fakatokanga‘i ‘ene fakavavevave atu mei falé, pea nau muimui atu mo kinautolu, koe‘uhí ko ‘enau ‘amanaki ‘oku ‘alu ia ke tēngihia he fonualotó. 
JHN.11.32	Kae ‘alu ‘a Mele ia ki he feitu‘u na‘e ‘i ai ‘a Sīsuú.
JHN.11.32	Pea ko ‘ene a‘u atu pē ‘a Mele kia Sīsuú, peá ne tū‘ulutui atu ki hono va‘é mo ne pehē, “‘Eiki, ka ne ke ‘i heni, na‘e ‘ikai mate hoku tuonga‘ané.”
JHN.11.33	Pea vakai atu ‘a Sīsū ki he tangi mamahi ‘a Mele mo e kakai na‘e muimui mai ‘iate iá, na‘á ne faingata‘a‘ia lahi ‘aupito ai. 
JHN.11.34	Peá ne ‘eke ange kiate kinautolu, “Ko e fē e feitu‘u kuo mou telio ai iá?”
JHN.11.34	Pea nau tala ange, “‘Eiki, ha‘u ke tau ō ki ai.” 
JHN.11.35	Pea tangi ‘a Sīsū. 
JHN.11.36	Pea pehē ‘e he kakaí, “Sio ki he lahi ‘ene ‘ofa ‘ia Lāsalosí.”
JHN.11.37	Kae pehē ‘e he ni‘ihi ia, “‘Ikai na‘á ne faka‘ā ‘a e kuí? Ko e hā na‘e ‘ikai ke ne ta‘ofi ai e mate ‘a Lāsalosí?”
JHN.11.38	Na‘e kei fu‘u loto mamahi pē ‘a Sīsū, peá ne ‘alu ki he fonualotó.
JHN.11.38	Ko e fonualotó ko ha ‘ana na‘e tāpuni‘i ‘aki ha fu‘u maka. 
JHN.11.39	Pea ko ‘ene a‘u atu pē ‘a Sīsū ki he ‘aná peá ne fekau e kakaí ke nau to‘o atu e maká. Kae tala ange ‘e Mā‘ata ia, “‘Eiki, ‘e ‘i ai hano anga, he ko e ‘aho foki eni ‘e fā.”
JHN.11.40	Pea pehē ange ‘e Sīsū, “‘Ikai na‘á ku tala atu te ke mamata ki he ngeia ‘o e ‘Otuá ‘o kapau te ke tui kiate au?” 
JHN.11.41	Pea nau to‘o leva e maká. Pea toki hanga hake ‘a Sīsū ki langi ‘o ne pehē ‘e ia, “Fakafeta‘i, ‘e Tamai, ho‘o tali ‘eku lotú. 
JHN.11.42	‘Okú ke tali ma‘u pē ‘eku ngaahi lotú. Ka ‘oku tu‘unga ‘eku lotu ko ení kae fei mo tui e kakaí ni ko koe na‘á ke fekau ke u ha‘ú.” 
JHN.11.43	Pea ‘osi e lotu ‘a Sīsuú peá ne kalanga le’o-lahi atu, “‘E Lāsalosi, ha‘u kitu‘a.” 
JHN.11.44	Pea hū leva ‘a Lāsalosi kitu‘a ‘oku kei lalava tupenu hono nimá mo hono va‘é, pea kei pūlou hono fofongá.
JHN.11.44	Pea lea ange ‘a Sīsū ki he kakaí, “Vete hono ngaahi lalavá pea tuku ange ke ‘alu.”
JHN.11.45	Ko e tokolahi he kakai Siu ne kaungā mamahi mo Melé, na‘a nau sio tonu he me‘a na‘e fai ‘e Sīsuú, pea nau tui ai pē kiate ia. 
JHN.11.46	Kae ō e ni‘ihi ki he kau Fālesí ‘o fakahā ange kiate kinautolu ‘a e me‘a na‘e fai ‘e Sīsuú. 
JHN.11.47	Pea ui ‘e he kau Fālesí mo e kau taula‘eiki pulé ha fono ‘a e Fakataha Lahi e kakai Siú, ‘o nau fehu‘i ai, “Ko e hā leva ha‘atau me‘a ‘e faí? He ‘oku fu‘u lahi e faimana ‘a e tangatá ni. 
JHN.11.48	Kapau ‘e ‘ikai ke fei mo ta‘ofi ia, pea ‘e ‘osi kotoa e kakaí he tui ki ai. Pea ‘e omi ‘a e kau Lomá ‘o faka‘auha hotau Temipalé mo hotau fonuá.”
JHN.11.49	Pea lea ai e toko taha ko Kaiafasi hono hingoá. Ko ia na‘e Taula‘eiki Lahi he ta‘u ko iá. Peá ne pehē ‘e ia, “Ko kimoutolú, ‘oku ‘ikai ke mou ‘ilo ha me‘a. 
JHN.11.50	Kuo te‘eki koā ke hū ki homou ‘atamaí ‘oku sai ange ke mate ha toko taha ma‘á e kakaí ‘i hano faka‘auha kotoa hotau fonuá?” 
JHN.11.51	Ko hono mo‘oní, na‘e ‘ikai ko ‘ene leá ‘iate ia pē. He ko e Taula‘eiki Lahi ia he ta‘u ko iá. Pea ko ‘ene sinaki tala ia ‘a e pau ke pekia ‘a Sīsū ma‘á e kakai Siú. 
JHN.11.52	Ka na‘e ‘ikai ke pekia pē ‘a Sīsū ma‘á e kakai Siú, kae pehē pē ki he fānau kotoa ‘a e ‘Otuá, ‘a ia kuo movete ‘i māmaní. 
JHN.11.53	Pea talu pē mei ai mo e fa‘ufa‘u ‘a e kau taki ‘o e kakai Siú ke fakapoongi ‘a Sīsū. 
JHN.11.54	Pea na‘e ‘ikai ke toe fononga tau‘atāina holo ‘a Sīsū ‘i Siutea. Ka na‘á ne ‘alu ki ‘Ifalemi, ko e kolo ia ‘oku ofi atu ki he toafá, ‘o ne nofo ai mo ‘ene kau akó. 
JHN.11.55	Lolotonga iá ‘oku teu e Kātoanga Pāsova. Pea kuo ō hake ‘a e tokolahi ki Selusalema mei ‘uta ke kau he ngaahi ouau fakama’a na‘e fai ‘aki e teuteu ki he kātoanga ko iá. 
JHN.11.56	Na‘a nau kumi holo ‘a Sīsū. Pea lolotonga ‘enau kei haha‘o he Temipalé, na‘a nau fe‘ekenaki, “Me‘a ní ‘e ha‘u ‘o kau he kātoangá? Ko e hā ha‘amou lau?” 
JHN.11.57	He kuo fekau ‘e he kau taula‘eiki pulé mo e kau Fālesí, ka faifai pea ‘ilo e feitu‘u ‘oku nofo ai ‘a Sīsuú, pea fakahā ange kiate kinautolu, ka nau puke ‘o fakahū pilīsone.
JHN.12.1	Na‘e toe pē e ‘aho ‘e ono ki he Kātoanga Pāsová, kuo toe foki ‘a Sīsū ki Pētani. Ko e kolo ia ‘o Lāsalosí, ‘a e toko taha na‘e fokotu‘u ‘e Sīsū mei he maté. 
JHN.12.2	Kuo teuteu ha me‘atokoni ma‘a Sīsū. Pea ko Mā‘ata, na‘e nofo atu ke tauhi e me‘a tokoní. Pea na‘e kau mo Lāsalosi he fa‘ahinga na‘e ma‘u me‘atokoni mo Sīsuú. 
JHN.12.3	Pea to‘o mai ‘e Mele ha hina lolo mahu‘inga ‘aupito, ko e lolo na‘ati, ‘o ne takai ‘aki ‘a e va‘e ‘o Sīsuú, peá ne toki holoholo ‘aki ia hono lou‘ulú. Kae ‘alaha e loló he falé kotoa. 
JHN.12.4	Pea lea hake ha toko taha he kau ako ‘a Sīsuú, ko Siutasi ‘Isikāliote, ‘a e tangata na‘e ‘amanaki ke ne lavaki‘i ‘a Sīsuú, 
JHN.12.5	“Ko e lolo ko ení na‘e totonu ke fakatau atu ke ma‘u ha pa‘anga ‘e tolungeau ke tufa ma‘á e kakai masivá.” 
JHN.12.6	Na‘e ‘ikai ke ‘ofa mo‘oni ‘a Siutasi ki he kakai masivá. Ka ko ‘ene lau peheé he ko e tama kaiha‘a ia. Ko ia na‘á ne tauhi ‘enau kato pa‘angá, peá ne fa‘a to‘o pē ‘e ia ‘enau pa‘angá. 
JHN.12.7	Kae pehē ange ‘e Sīsū ki ai, “Tuku ai pē ‘a Mele ia! He ko e lolo ko ení, kuó ne tauhi mai ki he ‘aho ‘e tanu ai aú. 
JHN.12.8	Pea ko e kakai masivá, te mou nofo ma‘u pē mo kinautolu, ka he‘ikai te mou nofo ma‘u ai pē mo au.”
JHN.12.9	Na‘e fanongo e tokolahi ‘oku ‘i Pētani ‘a Sīsū, pea nau ō hake ki ai.
JHN.12.9	Na‘a nau fie sio kia Lāsalosi, koe‘uhí ko hono fokotu‘u ia ‘e Sīsū mei he maté. 
JHN.12.10	Pea alēlea leva ‘a e kau faifekau pulé ke tāmate‘i mo Lāsalosi. 
JHN.12.11	He kuo tafoki ha kakai Siu tokolahi meiate kinautolu ‘o tui kia Sīsū.
JHN.12.12	Ko e ‘aho hono hokó kuo ‘i Selusalema ha kakai tokolahi ko ‘enau omi ki he Kātoanga Pāsová. Pea ko ‘enau fanongo pē he ha‘u ‘a Sīsū ki Selusalemá, 
JHN.12.13	pea nau tutu‘u mai ha ngaahi va‘a paame ‘o ō atu mo ia ke talitali ‘a Sīsū. Pea nau kalakalanga,
JHN.12.13	“Fakafeta‘i ki he ‘Otuá!
JHN.12.13	Tauange ke tāpuaki‘i e toko taha ‘oku hā‘ele mai he huafa ‘o e ‘Eikí!
JHN.12.13	Tauange ke tāpuaki‘i e Tu‘i ‘Isilelí!”
JHN.12.14	Pea taki mai ‘e Sīsū ha ‘asi, peá ne heka ai, ‘o hangē pē ko e lau ‘a e Folofolá,
JHN.12.15	“‘Oua ‘e manavahē, hako ‘o Saione!
JHN.12.15	He ko homou Tu‘í eni, ‘oku hā‘ele mai,
JHN.12.15	Pea ‘okú ne heka he ‘asi.”
JHN.12.16	Ko e me‘a ko ení, na‘e ‘ikai ke mahino leva ki he kau akó. Kae hili hono fakalāngilangi‘i ‘o Sīsuú, pea nau toki manatu‘i e me‘a na‘e hokó. Pea tā ‘oku tatau pē mo e me‘a na‘e tomu‘a fakahā he Folofolá. 
JHN.12.17+JHN.12.18	Na‘e ‘aukau mai ha kakai tokolahi ke fakafe‘iloaki kia Sīsū. He na‘a nau sio tonu he‘ene fekau ‘a Lāsalosi ke hū mai mei he fonualotó. Pea kuo nau talanoa taha ai pē ‘ia Sīsū pea mo e mana ko iá. 
JHN.12.19	Kae pehē ‘e he kau Fālesí, “Sio ange ā! ‘E ‘ikai ha‘atau me‘a ‘e lava. Kuo ‘osi ‘a māmani he kau mo iá.”
JHN.12.20	Na‘e ‘i ai mo ha kau Kalisi na‘e ō hake ki Selusalema ‘o lotu he Kātoangá. 
JHN.12.21	Pea nau omi kia Filipe, ko e tangata mei Petesaita ‘i Kāleli, ‘o kole ange, “Kātaki, matāpule, ‘oku mau fie fe‘iloaki mo Sīsū.”
JHN.12.22	Pea ‘alu ‘a Filipe ‘o fakahoko ange kia ‘Anitelū. Peá na toki ō kinaua ‘o fakahoko ange kia Sīsū.
JHN.12.23	Pea pehē ange ‘e Sīsū kiate kinaua, “Kuo hokosia mai eni ke fakakakato e lāngilangi e Foha e Tangatá. 
JHN.12.24	Ko e mo‘oni eni ‘oku ou tala atú, ka ‘ikai tō ha fo‘i uite ki he kelekelé ‘o mate, pea ‘e kei nofo ai pē ko e fo‘i uite ‘e taha. Ka ‘o ka mate, pea ‘e toki fakafua ‘o lahi. 
JHN.12.25	Ko kinautolu te nau ‘ofa pē he‘enau mo‘uí, ‘e faka‘auha ‘enau mo‘uí. Pea ko kinautolu te nau lī‘aki ‘enau mo‘ui he maama ko ení, ‘e ‘oange ma‘anautolu e mo‘ui ta‘e ngatá. 
JHN.12.26	Ko kinautolu ‘oku nau fie fai ‘eku ngāué, kuo pau ke nau muimui ‘iate au. Ko ‘eku kau ngāué, kuo pau ke nau kau fakataha mo au ‘i ha feitu‘u pē te u ‘i ai. Pea ka ai leva ha taha te ne fai ‘eku ngāué, pea ‘e fakalāngilangi‘i ia ‘e he Tamaí. 
JHN.12.27	Ka ko eni ‘oku mafasia hoku lotó. Ka ko e ha ha‘aku toe lau ‘e fai? He‘ikai te u kole ki he Tamaí ke ne haofaki‘i au mei he houa ko ení. He ko ‘eku ha‘u ki māmaní ka u a‘u ki he houa ko ení. 
JHN.12.28	Ko ia ai, ‘e Tamai, fakalāngilangi‘i ā ho huafá.”
JHN.12.28	Pea ongo mai ha le‘o mei he langí, “Kuó u ‘osi fakalāngilangi‘i, pea te u toe fakalāngilangi‘i pē.”
JHN.12.29	Na‘e fanongo ki he le‘ó ‘a e kakai na‘e ‘i aí. Pea fakakaukau e ni‘ihi ‘iate kinautolu ko e ‘u‘ulu pē ‘a e maná. Pea pehē ‘e he ni‘ihi ia ko ha ‘āngelo ‘oku lea kia Sīsū.
JHN.12.30	Kae tala ange ‘e Sīsū kiate kinautolu, “Na‘e ‘ikai ko e ongo mai e le‘ó koe‘uhi ko au, ka koe‘uhí ko kimoutolu. 
JHN.12.31	Ko eni kuo fai e fakamāu‘i ‘o māmaní, pea ko e pule ‘o māmaní kuo ‘osi kamata hono kapusí. 
JHN.12.32	Ka hiki hake au ki ‘olunga, pea te u toki tohoaki mai e kakai kotoa pē kiate au.” 
JHN.12.33	Ko e lau eni ‘a Sīsū ki he anga ‘o e mate‘anga ‘e iku ia ki aí.
JHN.12.34	Pea pehē mai ‘e he kakaí, “Ko e hā ‘okú ke pehē ai ‘e hiki ki ‘olunga ‘a e Foha e Tangatá? He ko e lau ‘a e Folofolá, ko e Mīsaiá ‘e mo‘ui ai pē ‘o ta‘e ngata. He ko hai koā e Foha e Tangatá?”
JHN.12.35	Pea tali ‘e Sīsū, “‘E ‘ikai toe fuoloa ‘a e nofo e māmá mo kimoutolú. Mou fononga he māmá ‘i he‘ene kei faingamālié, ke ‘oua na‘a fakafokifā pē kuo mou taufā he po‘ulí. 
JHN.12.36	Tui ki he māmá he‘ene kei nofo mo kimoutolú, ka mou hoko ko e kakai ‘o e māmá.”
JHN.12.37	Na‘e lahi e ngaahi mana ‘a Sīsū na‘e fai he lotolotonga ‘o e kakaí. Ka na‘e ‘ikai ke nau tui ki ai, 
JHN.12.38	‘o mo‘oni ai e lau ‘a e palōfita ko ‘Aiseá,
JHN.12.38	“‘Eiki, ko hai kuo tui
JHN.12.38	ki he me‘a na‘a mau fanongonongó?
JHN.12.38	Ko hai kuó ne mamata
JHN.12.38	ki ho ivi māfimafí?”
JHN.12.39	Pea ko e ta‘e tui ‘a e kakaí, ke mo‘oni mo e lau ko eni ‘e taha ‘a ‘Aisea,
JHN.12.40	“Kuo ‘ai ‘e he ‘Eikí
JHN.12.40	ke kui e mata ‘o e kakaí.
JHN.12.40	Kuó ne ‘ai ke nau ongongata‘a.
JHN.12.40	Pea ko ‘ene fai peheé
JHN.12.40	ke ‘oua ‘e sio honau matá,
JHN.12.40	pe ‘e hū ha me‘a ki honau ‘atamaí,
JHN.12.40	telia na‘a nau hanga ki he ‘Eikí,
JHN.12.40	pea mo‘ui ai.”
JHN.12.41	Ko e lea pehē ‘a ‘Aiseá he na‘á ne mamata ki he lāngilangi ‘o Sīsuú, pea ko ‘ene lau ia ki ai. 
JHN.12.42	Ko hono mo‘oní, ne tui kia Sīsū ha tokolahi he kau taki ‘o e kakai Siú. Ka na‘e ‘ikai ke nau lava ‘o fakahā ki ha taha. He kuo ‘osi tapui ‘e he kau Fālesí ‘a e toe fetu‘utaki mo ha taha ‘oku tui kia Sīsū. 
JHN.12.43	Na‘e mahu‘inga ange ki he kau taki ko iá ‘a e loto lelei mai kiate kinautolu ‘a e kakaí ‘i he finangalo lelei mai ‘a e ‘Otuá.
JHN.12.44	Na‘e kalanga le‘o-lahi ‘a Sīsū, ‘o ne pehē, “Ko e tui kiate aú, ko e tui ai pē ia ki he toko taha na‘á ne fekau ke u ha‘ú. 
JHN.12.45	Ko e sio kiate aú, ko e sio ai pē ia ki he toko taha na‘á ne fekau ke u ha‘ú. 
JHN.12.46	Ko ‘eku ha‘u ki māmaní ko e maama. ‘E ‘ikai nofo ai pē he fakapo‘ulí ha taha ‘e tui kiate au.
JHN.12.47	‘Oku ‘ikai ko au te u fakamāu‘i ‘a kinautolu ‘oku nau faka‘ikai‘i ‘eku ngaahi fakahinohinó. Na‘e ‘ikai te u ha‘u ke fakamāu‘i ‘a māmani. Na‘á ku ha‘ú ke fakahaofi ‘a māmani. 
JHN.12.48	Ka ko kinautolu te nau faka‘ikai‘i au pea mo ‘eku ngaahi fakahinohinó, ‘e fakamāu‘i kinautolu ‘i he ‘aho fakamuí ‘aki pē ‘eku ngaahi fakahinohino ko iá. 
JHN.12.49	‘Oku ‘ikai ko ‘eku lea pē eni ‘iate au. He ‘oku ou lea‘aki ‘e au e ngaahi me‘a kuo fekau ‘e he‘eku Tamaí ke u lea‘akí. 
JHN.12.50	‘Oku ou ‘ilo‘i ‘oku ma‘u e mo‘ui ta‘e ngatá ‘i he‘ene ngaahi fekaú. Pea ko hono ‘uhinga ia ‘oku ou lea‘aki ai pē ‘a e ngaahi me‘a kuó ne fakahā mai kiate aú.”
JHN.13.1	Na‘e teu e Kātoanga Pāsová, pea na‘e ‘ilo ‘e Sīsū kuo hoko mai e houa ke ne mavahe ai mei māmani ‘o foki ki he Tamaí. Na‘e talu pē mei mu‘a mo e ‘ofa ‘a Sīsū he fa‘ahinga na‘e kau mo ia ‘i māmaní. Peá ne ‘ofa ai pē ‘iate kinautolu ‘o a‘u ki he ngata‘angá.
JHN.13.2	Na‘e te‘eki ke kamata e ma‘u me‘atokoni ‘a Sīsū mo ‘ene kau akó, kuo ‘osi fakahū ‘e he tēvoló ki he ‘atamai ‘o Siutasí, ‘a e foha ‘o ‘Isikālioté, ke ne lavaki‘i ‘a Sīsū.
JHN.13.3	Na‘e ‘ilo pē ‘e Sīsū ko e ‘Otuá na‘e ha‘u mei aí, pea ko e ‘Otuá pē ‘e foki ki aí. Peá ne toe ‘ilo foki kuo foaki mo‘óna ‘e he Tamaí ‘a e mafai ki he me‘a kotoa pē. 
JHN.13.4	Pea lolotonga ‘enau kei ma‘u me‘atokoní, kuo tu‘u ‘a Sīsū ki ‘olunga ‘o to‘o hono pulupulú, peá ne ha‘i ha taueli ‘i hono kongalotó, 
JHN.13.5	peá ne toki ‘omi ha vai ‘o kamata fufulu e va‘e ‘o ‘ene kau akó mo holo mātu‘u ‘aki e tauelí. 
JHN.13.6	Peá ne a‘u atu kia Saimone Pitá, pea pehē ange ‘e Pita, “‘Eiki, ko e hā e me‘a ‘oku ‘ai ai ke ke fufulu hoku va‘é?”
JHN.13.7	Pea pehē ange ‘e Sīsū, “‘E ‘ikai mahino leva kiate koe ‘eku me‘a ‘oku faí. Ka ‘e toki mahino atu ‘amui.”
JHN.13.8	“He‘ikai pē te ke teitei fufulu ‘e koe hoku va‘é.” Ko Pita ange ia kia Sīsū.
