MAT.1.1	Ene pitiiŋ to Yesu Krisi puughu tooni. Yesu, i siŋ to kinik David, ve David i siŋ to Abaram. 
ACT.5.6	Ra geegeu paghpaaghu siriv tilam gha tizun Ananias paata pa uuli, ve tibaado tila titavia.
ACT.5.7	Tileep malau rig (irau aua tol ma vene), ra Ananias azaawa Sapira aana iloŋ ilam. Eemon gabua tau ivot pa Ananias na, i iwataghi mako. 
ACT.5.8	I iloŋ ila, ve Petrus ighasoni ighe: “Aiyo, usaav ghazooŋa payau. Taan tau yamru azuwam agholia na, atuya tauta ene?”
ACT.5.8	I iyol aliiŋa ighe: “Vee, atuya tauta ena mon.”
ACT.5.9	Tauvene Petrus isaav pani muul ighe: “Mindai ta yamru azuwam alup lolomim ve aghe atoov Maaron Avuvu? Ulooŋ. Yes tau tila titavia azuwam na, tauta ŋgarig gha timuul tilam tiyozyooz ataman aavo we. Ve yo paam, pale tibaad ghom uvot ula.”
ACT.5.10	Rekia mon ve livaa aana, itap izi Petrus aaghe puughu gha imaat kusia. Geegeu paghpaaghu tau titavia Ananias na, tiloŋ tilam, ve tighita Sapira paam imaat gha ighengheen. Tauvene tisuru izaa, gha tibaado tila titavia izi azaawa ziige. 
ACT.5.11	Gabua tana ivot le roiŋ tiina igham tamtamon tisov tau tileep ila lupuuŋ to Krisi na. Ve yes mon mako. Tamtamon tisov tau tilooŋ yesuru varuzi na tiroi paam.
ACT.5.12	Saawe tana, Maaron igham gabua ŋgeretazi katini tivotvot ila yes mbaŋooŋa nimazi. Leso imin ilaal pa tamtamon, ve tighur ila. Ve yes tau tighur ila to Yesu na, lolozi eemon, ve monmon tiluplup zi ila ruum to lepoogh tau Solomon irao ila Rumei Tiina ziige na. 
ACT.5.13	Tamtamon tipaak zi sorok mako. Pa tiroi. Eemon eval tiina titandagh pazi, ve tipapait varuzi. 
ACT.5.14	Saawe tana, tamtamon paghpaaghu katini tighur ila. Tauta timin Tiina toit Yesu le, ve tiŋgaltarezai yes tau muŋganazi na, le timin eval le eval kat. Yes zitamoot ve zilivaa paam. 
ACT.5.15	Gabua ŋgeretazi tau yes mbaŋooŋa tighamgham zi na, vaaru ilaan irau nugh nugh. Tauvene monmon tamtamon tibadbaad moroghooŋa toozi tilala, ve tighurghur zi ila eez ziige, ve tisasaŋan. Siriv tigheen izala boor, ve siriv tigheen izala moogh. Pasaa, tinumeer tighe saawe tau Petrus ilaagh iŋarui zi ilam, ve ighe yavyaava rigta izala pavozi, ene aat igham zi tinizi poia. 
ACT.5.16	Nugh siriv tau tigheen tigharau Yerusalem na, paam. Tighamgham moroghooŋa toozi tomania tamtamon toozi siriv tau avuvu sasaghati tivaghamun zi na, tilala Yerusalem, ve tiŋaŋarui yes mbaŋooŋa. Ve yes mbaŋooŋa tiuul zi gha tisov tinizi poia. 
ACT.5.17	Daaba to watooŋrau, tomania zeetŋa Sadusi tau tipakpaako na, tighita uraat to yes mbaŋooŋa ilaan toman tapiri, le ireu lolozi ve atezi yavyav kat. 
ACT.5.18	Tauvene tila tikis zi, ve tizeev zi tiloŋ tila ruum to yavyavuuŋ. 
ACT.5.19	Eemon mboŋ tana, aŋela ee to Maaron ivot toozi, ve ikaak ataman to ruum to yavyavuuŋ, ve igham zi tivot tila pa muuri. 
ACT.5.20	Ra isaav pazi ighe: “Yam ala ayooz ila Rumei Tiina naagho, ve avotia lepoogh paaghu tane ŋgara isov pa tamtamon, leso tighazooŋ pani.” 
ACT.5.21	Tauvene nughizau, ra titaghon aŋela aliiŋa, ve tiloŋ tila sirsiir to Rumei Tiina loolo, ve tipaburigin uraat toozi to tipaghazoŋai tamtamon pa Maaron aliiŋa.
ACT.5.21	Saawe eemon tana, daaba to watooŋrau tomania zeetŋa siriv tipoi yes pooza to Israel tilam tilup zi, ve timbaaŋ uraata toozi siriv tila ruum to yavyavuuŋ, leso tigham yes mbaŋooŋa tilam. 
ACT.5.22	Eemon tiloŋ tila ruum to yavyavuuŋ, ve tiil zi le mako. Tauvene timuul tila to yes pooza, ve tipaes pazi tighe: 
ACT.5.23	“Alooŋ. Saawe tau nila peria ruum to yavyavuuŋ, nighita ataman tisov tipoon zi le tuŋia kat. Ve yes tau tiŋginŋgin ataman na, tiyozyooz. Eemon nikaak ataman ve niloŋ nila, le nirur pa ruum loolo ŋginaaŋa. Tamtamon eta ileep mako.” 
ACT.5.24	Daaba to yes uraata tau tiŋginŋgin Rumei Tiina na tomania daaba to watooŋrau tilooŋ paesiiŋ tane le ŋgar toozi ivaghamgham ve tighe: “Wai, ighe tauvene, saa paam pale ivot?”
ACT.5.25	Malau mako ve ŋeer ite aana ilam, ve ipaes pazi ighe: “Ou, yam alepleep? Zeran tau azeev zi tiloŋ tila ruum to yavyavuuŋ na, tiyozyooz ila Rumei Tiina naagho, ve tipapaduduuŋ tamtamon we!” 
ACT.5.26	Daaba to yes uraata tau tiŋginŋgin Rumei Tiina na ilooŋ saveeŋ tane, ve iburig gha iyau tamtamon tooni, ve tila tighe tikis zi muul. Eemon saawe tau tivot toozi, tigham saghatin zi mako. Tikis zi poi. Pasaa, tiroi pa eval tiina tawe pale tiburig ve tirav zi pa maet.
ACT.5.27	Tauvene tikis yes mbaŋooŋa, ve tigham zi timuul tila, ve tipayooz zi ila lupuuŋ tiina tana naghozi. Ra daaba to watooŋrau iyaon zi ighe: 
ACT.5.28	“Awaat ŋeer tawe eeza irao! Yam taliŋamim mako? Yei niŋgalsekin gham ariaaŋ wa: Apaduduuŋ tamtamon pa Maaron aliiŋa ila ŋeer tawe eeza sov. Eemon yam asasavia vaaru le tamtamon tisov to Yerusalem tiwataghi wa. Mindai, yam aghe asuk payei pa mateegh tooni?” 
ACT.5.29	Petrus yesŋa mbaŋooŋa siriv tiyol aliiŋa tighe: “Yei irau nitaghon sorokin saveeŋ to tamtamon eta to taan mako. Saveeŋ tau iduduuŋ pa Maaron ŋgar tooni, o nitaghoni. 
ACT.5.30	Alooŋ. Yesu tau yam aravu izala ai pambarooŋ gha imaat na, Maaron to timbuunŋa ipaburigini pa mateegh wa. 
ACT.5.31	Ve ighamu izala pa sambam, ve ighuru ileep ila i tauu niima tapir. Tauta ipaghazoŋaini ighe i eeza tiina. Taama Maaron ighuru imin Daaba pait, ve i Uleeŋa toit. I irau igham iit Israela tatoor ŋgar toit ila pa Maaron, ve ireu sosor toit isov ilale. 
ACT.5.32	Gabua isov tau ivot pani na, yei nighita pa matamai. Tauta nipariaaŋ saveeŋa, leso tamtamon tighur ila tooni. Ve yei mon mako. Avuvu Patabuyaaŋ tau Maaron igham pa tamtamon tisov tau titaghon ŋgar tooni na, i paam ipariaaŋ Yesu saveeŋ tooni.” 
ACT.5.33	Yes tau tileep ila lupuuŋ tawe, tilooŋ saveeŋ tane, le ipas atezi ve tighe tirav zi timaat pataghaaŋ. 
ACT.5.34	Eemon ŋeer tutuuŋa ee ileep ila lupuuŋ tana loolo, eeza Gamaliel. I paduduŋaaŋ ee to tutuuŋ, ve tamtamon tisov titandagh pani. I iburig iyooz, ve isaav pazi ighe: “Ai, agham zeran tane tivot tila muuri o.” 
ACT.5.35	Tauvene tigham yes mbaŋooŋa tivot tila muuri le isov, ra Gamaliel isaav pa yes tau tileep ila lupuuŋ na ighe: “Yam tamtamon to Israel, alooŋ. Agham gabua eta pa zeran tawe rekia sov. Aleep ve agham ŋgar poi. 
ACT.5.36	Matamim iŋgal ŋgar tau muuŋ ivot pa Teudas na. I iburig, ve ipakur tauu ighe i ŋeer ariaaŋa ee. Ve iyau le tamtamon ndiŋndiŋ paaŋ (400) gha titaghoni. Eemon saawe tau tiravu imaat, ziŋeera tisov tighawaar, ve anooŋa eta ivot mako. 
ACT.5.37	Murei pa tane, saawe tau gavman to Rom tigham tamtamon ezazi, Yudas to Galilaia aana iburig, ve ipazaagh tamtamon gha titaghoni tighe tiziir gavman to Rom. Eemon i paam, tiravu imaat, ve ziŋeera tisov tighawaar. 
ACT.5.38	Tauvene aazne, yau naghe nauul ŋgar tsiam. Zeran tawe, agham gabua eta pazi sov. Apul zi tileep. Pa takankaan pa ŋgar ve uraat toozi puughu. Isaav ighe ivot ila tauzi ŋgar toozi, ene aat ighur anooŋa eta mako. 
ACT.5.39	Eemon isaav ighe Maaron imin puughu pani, ve yam atoova to atatan zi, ene aat arao mako. Tauvene ayamaan gham. Pa aat aparav tomania Maaron.” 
ACT.5.40	Gamaliel saveeŋ tooni igham zi atezi izi rig. Tauvene tipoi yes mbaŋooŋa tiloŋ tilam muul, ve tilosiir zi, ve tiŋgalsekin zi ariaaŋ tighe tivotia saveeŋ pa tamtamon ila Yesu eeza muul sov. Ra tipul zi tila. 
ACT.5.41	Yes mbaŋooŋa tipul lupuuŋ tiina tana, ve tila toman lolozi poia kat ve tintinizi. Pasaa, Maaron ighit zi ighe yes popoiazi irau to tibaad pataŋani ve mayaŋa pa Krisi eeza. 
ACT.5.42	Mataaz ta naol ne, yes mbaŋooŋa tipaghazoŋai tamtamon pa Maaron aliiŋa ila Rumei Tiina naagho, ve ila ruum aavo aavo paam. Ve tivovotia Yesu vaaru pa tamtamon tighe i Mesia. Uraat toozi tawe, tipuli mako.
ACT.6.1	Saawe tana, yes tau titaghon Yesu na tivot timin eval. Eemon pataŋani ee ivot ila sosozi. Yes Yuda tau tisavsaav Grika aliŋazi na, tiyau avozi pa zetazŋa tau tisavsaav ila saveeŋ Hibru na tighe: Mataaz ta naol ne, saawe tau tirei uleeŋ siriv pa yes mbolaaŋa, matazi iŋgal yes Grika zinaara toozi kat mako. 
ACT.6.2	Tauvene yes mbaŋooŋa saŋavul ve ru tipoi tamtamon tisov tau titaghon Yesu na tilam tilup zi, ve tisaav pazi tighe: “Yam toŋvetaz, aghita. Isaav ighe yei mbaŋooŋa nigham uraat pa reiŋ aniiŋ ve nipul uraat to votiaaŋ Maaron aliiŋa, ene iduduuŋ mako. 
ACT.6.3	Tauvene yam atiir taumim, ve aghur lemim tamtamon liim ve ru tau varuzi tomania ŋgar toozi popoia, ve ŋgar to Avuvu Patabuyaaŋ ivon ila lolozi. Leso nipul uraat to reiŋ aniiŋ ila nimazi. 
ACT.6.4	Ve yei aat nileep duduuŋ ila suŋuuŋ mon, ve uraat to paduduŋaaŋ tamtamon pa Maaron aliiŋa.”
ACT.6.5	Eval tiina tilooŋ saveeŋ toozi tane, ve tisov tiyok pani. Tauvene tighur Stepanus (i ghuruuŋ ila tooni iyaryaaŋ kat, ve ŋgar to Avuvu Patabuyaaŋ ivon ila loolo), ve Pilip gha Prokorus, Nikanor, Timon, Parmenas, ve Nikolas to nugh Antiok. Nikolas tane, i Yuda tauu mako. Eemon itoor ŋgar tooni ila pa Maaron, ve itaghon yes Yuda pa suŋuuŋ toozi. 
ACT.6.6	Tigham zeran liim ve ru tawe tilam tiyooz ila yes mbaŋooŋa naghozi, ra mbaŋooŋa tighur nimazi izala pavozi, ve tighason Maaron to ipalot zi, ve tighur zi pa uraat. 
ACT.6.7	Saawe tana, Maaron saveeŋ tooni ilaan toman tapiri irau nugh nugh. Tauvene Yesu ziŋeera tivot timin eval le eval kat izi Yerusalem. Ve yes zeran to watooŋrau tauvene paam. Tamtamon toozi katini titoor ŋgar toozi, ve tighur ila to Krisi ve titaghon eez tooni. 
ACT.6.8	Stepanus, i ŋeer ee tau Maaron tapiri ve poia tooni ipavoni kat. Tauvene i ighamgham gabua ŋgeretazi tintiina tivotvot ila tamtamon sosozi. Gabua tawe timin ilaal pani tighe Maaron ileep tomania pa uraat tooni. 
ACT.6.9	Yuda siriv, muuŋ timin besooŋa sorok. Eemon tipas zi pa uraat toozi, ve ŋgarig timin besooŋa pa tamtamon muul mako. Tiŋgin tauzi. Yes tipaburigin lupuuŋ ee, ve tiwaat eeza tighe ‘Lupuuŋ to yes tau timin besooŋa muul mako.’ Lupuuŋ tawe tamtamona siriv tiburig, ve yesŋa Stepanus tivazorai zi pa savsaveeŋ. Zeran tawe, siriv to nugh Sairini, siriv to Aleksandria, siriv to taan sirivu to Silisia, ve siriv to taan sirivu to Asia. 
ACT.6.10	Eemon yes tirau Stepanus mako. Pasaa, i le ŋgar tiina, ve Avuvu Patabuyaaŋ ipapalot saveeŋ tooni. 
ACT.6.11	Tauvene tiil eez pani, ve tipazaagh tamtamon siriv gha tiŋgal saveeŋ pani tighe: “Yei nilooŋ ŋeer tane isik saveeŋ veleghiiŋ pa Mose ve Maaron.” 
ACT.6.12	Tisaav tauvene, le tipazaagh eval tiina to yes Yuda, tomania ŋginiiŋa toozi ve yes ŋgara to tutuuŋ. Tauvene tiburig tila tikis Stepanus, ve tigherevu iloŋ ila lupuuŋ to yes daaba to yes Yuda, ve tipayooze ila naghozi. 
ACT.6.13	Ra tiyau zeran karomŋa siriv tilam, gha tipayooz zi ila lupuuŋ tawe naghozi paam, ve yes karomŋa tawe tiŋgal saveeŋ pa Stepanus tighe: “Ŋeer tane, saawe isov, isasavia saveeŋ veleghiiŋ iŋarui rumei patabuyaaŋ to Maaron ve tutuuŋ to Mose. 
ACT.6.14	Yei nilooŋa ighe Yesu to Nasaret pale ireu Rumei Tiina tane izi. Ve tutuuŋ tau Mose igham pait ve tataghoni ta muuŋ ve ilam ne paam, i pale itoora.” 
ACT.6.15	Yes tau tileep ila lupuuŋ tana tilooŋ saveeŋ tane, le tisov tidaad matazi pa Stepanus, ve tighita naagho isul imin aŋela.
ACT.7.1	Ra daaba to watooŋrau ighason Stepanus ighe: “Laak, saveeŋ tau tisavia ne, ene onoon?”
ACT.7.2	Stepanus iyol aliiŋa ighe: 
ACT.7.3	ve isaav pani ighe:
ACT.7.4	“Tauvene Abaram ipul Mesopotamia tau taan to yes Kaldia na, ve ila ivot nugh Aran, ve ighur niia to lepoogh ta sewe. Taama Tera imaat, ve murei ra, Maaron ipaburigin Abaram muul gha ilaagh ilam ivot taan tau aazne iit talepleep pani ne. 
ACT.7.5	Maaron igham taan rigta imin Abaram le motot ne mako. Eemon saawe tau Abaram le naatu eta soone, Maaron imbu saveeŋ tomania ighe i pale igham taan tane pani ve paaghu tooni tau pale tivot murei na paam. Leso imin lezi motot. 
ACT.7.6	Ve Maaron ipaghazoŋai Abaram pa gabua siriv tau pale ivot murei na ighe:
ACT.7.8	“Ra Maaron isaav pa Abaram ighe ŋgar to ravuuŋ zitamoot warozi pale imin ilaal pa saveeŋ mbuaaŋ to yesuru. Tauvene saawe tau Abaram azaawa ipoop Isak, ve mbooŋi imin liim ve tol, ra taama irav waaro. Murei ra, Isak yesuru azaawa tipoop Yakop, ve Yakop tomania azauŋa tipoop natuzŋa saŋavul ve ru tau iit Israela tavot ila toozi na. 
ACT.7.9	“Yakop natŋa tighita tamazi loolo pa tazizi Yosep kat, le ireu lolozi. Tauta tigholia ila to tamtamon siriv, ve anazi tighamu ila Isip, ve imin besooŋa sorok izi ta sewe. Eemon Maaron ileep tomania, 
ACT.7.10	ve igham mulini pa pataŋani tooni naol isov. Saawe tau tigham Yosep ila iyooz ila kinik to Isip naagho, Maaron igham kinik loolo pani, ve ighilaalo ighe i le ŋgar tiina. Tauta ighuru to igham pooz pa ruum tooni tomania gabua tooni naol isov, ve taan dodoli to Isip paam. 
ACT.7.11	“Malau mako ve pitool tiina ivot irau taan isov to Isip ve Kanaan, ve igham zi tileep saghat kat. Iit Israela timbuunŋa paam, tiil lezi aniiŋ le mako. 
ACT.7.12	Eemon saawe tau Yakop ilooŋ tighe aniiŋ wit ighengheen izi Isip, i imbaaŋ natŋa tila tighol lezi aniiŋ, ve timuul tilam pa tamazi. Ene laghooŋ tau tighamu imin maata. 
ACT.7.13	Tilepleep le aniiŋ toozi isov, ra tizila Isip muul imin pai ru. Saawe tana, Yosep ivotia tauu pa tooghŋa ve taazi. Ve kinik to Isip paam ilooŋ tighe, Yosep ziiri waaro tooni siriv ta tilam tilepleep. 
ACT.7.14	Ra Yosep imbaaŋ ila pa taama Yakop ighe yesŋa tamtamon tooni tisov tiyauyau, ve tizilam tooni. Tamtamon tau tiburig gha tizila Isip na, yes irau tamoot tol saŋavul ve liim (75). 
ACT.7.15	Tauvene Yakop tomania tamtamon tooni tizila Isip, ve yesŋa natŋa tisov timataar izi ta sewe. 
ACT.7.16	Eemon titavi zi izi Isip mako. Tigham patazi, ve timuul tila pa nugh Sekem, ra tighur zi tiloŋ tila maet puura to Amor natŋa tau Abaram igholi pa maet silva siriv na. 
ACT.7.17	“Saveeŋ tau Maaron imbua tomania Abaram na, saawe ilam igharau pa anooŋa ivot. Ve saawe tana, timbuunŋa tau tileep izi Isip na, timasa timin eval le eval kat. 
ACT.7.18	Ra kinik paaghu aana igham pooz pa Isip. Kinik tawe ilooŋ Yosep vaaru pa uraat tooni rigta mako. 
ACT.7.19	I ivatombanoi timbuunŋa, ve igham saghatin zi kat. Ve isaav ariaaŋ pazi ighe natuzŋa paghpaaghu tau ŋgarig gha tipoop zi na, yes aat tipul zi tileplez. Leso timatmaat. 
ACT.7.20	“Saawe tana, Mose tiina ipoopa. Maaron ighita i paghuuna kat ve loolo pani. Tiina gha taama tigham payamyam pani izi ruum toozi irau kaiyo tol, 
ACT.7.21	le ŋeer marani imin olman rig ve irau tiŋgooza muul mako. Ra tighamu tila ve tipuli izi yaa Nil ziige. Eemon kinik natliva ilaagh ila le ighita. Tauta ighamu imin le, ve iŋgini imin i tauu naatu. 
ACT.7.22	Mose itum le imin olman, ve tipaghazoŋaini pa ŋgar naol isov to yes Isipa. I ŋeer ariaaŋa ee. Ve saveeŋ tooni paam, toman tapiri.
ACT.7.23	“I ilepleep le ndaman tooni irau tamoot ru (40), ra loolo ipaburigini ighe ila igig yes Israela tau siŋ tooni na. 
ACT.7.24	Eemon saawe tau ila ivot toozi, i ighita Isip ee igham saghatin ŋeer ee to Israel. Tauvene ilaan ila ivool to ŋeer tawe, ve irav Isip tamazi tawe gha imaat imin yatuuŋ sosor tooni. 
ACT.7.25	Mose maata iŋgal ighe tamtamon tooni Israel aat tighilaal tighe Maaron ighuru to igham mulin zi pa pataŋani toozi. Eemon ŋgar toozi ivot pa gabua tana soone.
ACT.7.26	“Mboŋ le nughizau, ra Mose imuul ila le ighita Israela ru anazi tiparav. Tauvene itoova to irav motin malmal ve ilup zi. Ve isaav pazi ighe: ‘Wai, yamru toŋvetaz! Avaghamun gham pasaa?’
ACT.7.27	“Eemon ŋeer tau ipaburigin malmal na, iburig gha isipiir Mose ighau, ve isaav pani ighe: ‘Ai, yo sei ighur ghom ighe umin ŋginiiŋ payei, ta ughe ugharaat saveeŋ tsiei? 
ACT.7.28	Mindai, yo ughe urav ghau namaat imin Isip tamazi tau noor uravu imaat na?’ 
ACT.7.29	Mose ilooŋ saveeŋ tane, ve iburig gha ighau ila ivot taan sirivu to yes Midiana. I ileep imin loom ta sewe le ivai, ve yesuru azaawa tipoop natuzŋa zitamoot ru.
ACT.7.30	“Ndaman tamoot ru (40) paam ilam ila, ra aŋela ee ila ivot tooni izi nugh ŋginaaŋa tau igheen igharau loloz Sinai na. Ivot pani imin yav tau ighanghan izala ai marani ee.
ACT.7.31	Mose maata ila ighita gabua tana, le irur ve igham ŋgar naol. Tauvene ila igharau ai tawe ighe ighit poghania. Eemon ilooŋ Ŋeer Tiina aliiŋa ivot ila yav tawe ighe:
ACT.7.32	Mose ilooŋ saveeŋ tane, le irur ve iŋgooz naagho. Pasaa, iroi pa ghitooŋ Maaron.
ACT.7.33	“Maaron isaav pani muul ighe:
ACT.7.35	“Aghita. Mose tau muuŋ tizori ve tighe: ‘Ai, sei ighur ghom umin ŋginiiŋ to ugabiiz ghei ve ugharaat saveeŋ tsiei?’ Ŋeer eemon tana, ta Maaron imbaaŋ aŋela ila ivot tooni imin yav tau ighan izala ai marani na. Ve ighuru to iŋgin yes Israela, ve ipas zi tivot pa pataŋani toozi. 
ACT.7.36	Ve i ta igherev zi gha tipul taan to yes Isipa, ve igham gabua ŋgeretazi tintiina imin ilaal pazi izi Isip, Te Siŋsiŋai, ve izi nugh ŋginaaŋa paam irau ndaman tamoot ru (40). 
ACT.7.37	Mose tane, tauta isaav pa yes Israela ighe:
ACT.7.38	“Mose tomania eval tiina to Israel, ta timin lupuuŋ to Maaron izi nugh ŋginaaŋa. I ta isavsaav tomania aŋela izi loloz Sinai, ve igham saveeŋ maata yaryaare ila to Maaron, ve ipaesia pa timbuunŋa. Saveeŋ tawe, tauta iit Israela takiskisi gha ilam aazne. 
ACT.7.39	“Eemon timbuunŋa tighur murizi pani ve lolozi pa loŋaaŋ saveeŋ tooni mako. Ve tipasawal muul ila pa lepoogh toozi tau muuŋ tileep izi Isip na. 
ACT.7.40	Tauvene tiburig ve tisaav pa Aron tighe:
ACT.7.41	“Tauta tigharaat maaron karom ee tau taghita imin makau naatu, ve tigham watooŋrau pani. Tauvene gabua tau tauzi tigharaata pa nimazi, yes tipaiti toman tintinizi. 
ACT.7.42	Tauvene murei, Maaron ighur muuri pazi, ve ipul zi titaghon tauzi ŋgar toozi. Tauta tibees pa gabua tau tigheen ila sambam saamba imin aaz, kaiyo, ve pitum siriv. Saveeŋa igheen ila rau to yes propet. Ighe:
ACT.7.44	“Saawe tau timbuunŋa tilaghlaagh izi nugh ŋginaaŋa, yes tilaghlaagh tomania balbaal patabuyaaŋ. Balbaal tawe, saveeŋ mbuaaŋ toozi tomania Maaron igheen iloŋ ila. 
ACT.7.45	Timbuunŋa tilaagh tomania balbaal tana ila ila le tighuru ivool to paaghu toozi. Ra anazi tilaagh tomania tila tila le tivot taan Kanaan. Saawe tana, Maaron ireu yes nugh nugh tau tileep izi Kanaan na tighawaar, ve Yosua igham yes Israela tiloŋ tilam tigham taan tane imin lezi. Balbaal patabuyaaŋ tana ighengheen le saawe to kinik David. 
ACT.7.46	David, Maaron loolo pani kat. Tauvene i ighason Maaron ighe iyok pani, o irau Maaron to Yakop le rumei duduuŋ. Leso imin niia to lepoogh. 
ACT.7.47	Eemon David irau rumei eta mako. Naatu Solomon ta irau rumei. 
ACT.7.48	“Ve Maaron Tiina Tau Iliiv Zimaronŋa Tisov na, i ileep iloŋ ila rumei eta tau tamtamon tirao pa nimazi ne mako. Pasaa, propet ee ivotia Maaron aliiŋa ighe: 
ACT.7.51	Ra Stepanus isaav pa yes tau tipayooze pa savsaveeŋ na ighe: “Yam zeran to zoraaŋ saveeŋ. Ŋgar tsiam iyaryaaŋ kat imin yes tau tiwatagh Maaron mako! Ŋgar saghati tau igheen ila lolomim na, Maaron irav motini soone. Ve taliŋamim ivool kat. Saawe isov, yam azorzoor Avuvu Patabuyaaŋ ŋgar tooni, imin muuŋ timbumimŋa tighamghamu. 
ACT.7.52	Aghita. Muuŋ, timbumimŋa tipul propet eta ileep? Mako. Saawe isov, tighamgham saghatin zi. Ve yes tau muuŋ tivotia Maaron aliiŋa tighe i pale imbaaŋ Mesia ilam na, timbumimŋa tirav zi tisov timataar. Ve saawe tau ŋeer duduuŋa tawe tauu ilam, yam ataghon ŋgar raraate. Azi gha aghuru ila koiŋa nimazi, ve tiravu imaat. 
ACT.7.53	Onoon, tutuuŋ to Maaron tau aŋela timin eez pani gha izilam na, yam aghamu wa. Eemon ataghoni mako.” 
ACT.7.54	Tilooŋ Stepanus saveeŋ tooni tawe, le atezi yavyav kat, ve tiŋaaŋ maripazi pani tighe le tiravu imaat. 
ACT.7.55	Eemon Stepanus, Avuvu Patabuyaaŋ ipavon katini, ve maata izala pa sambam le ighita Maaron mbonari, ve ighita Yesu iyozyooz ila Taama Maaron niima tapir. 
ACT.7.56	Tauvene isaav pazi ighe: “Alooŋ. Yau naghita sambam ikaak, ve Tamtamon Naatu iyozyooz ila Maaron niima tapir!” 
ACT.7.57	Tilooŋ saveeŋ ziiri rig tane, le bobaaŋ tomania siriiŋ tiina izaa, ve tipoon taliŋazi, ve tilaan tiŋarui Stepanus tila, 
ACT.7.58	gha tighamu, ve tisasaara ivot ila nugh tiina ziige, ra tiburig gha tiravu pa maet. Yes tau tipariaaŋ saveeŋ tighe Stepanus igham sosor na, tizuzuum nonoghiiŋa toozi to ŋgoaaŋ izi, ve tila tighur zi ila ŋeer paaghu ee aaghe puughu, eeza Saul. 
ACT.7.59	Tiravrav Stepanus pa maet, ve i isuŋ ighe: “O Tiina Yesu, ugham anunug.” 
ACT.7.60	Ra aaghe daaba izi taan, ve isaav aliiŋa tiina ighe: “O Tiina, sosor tau tigham payau ne, uyatu sov. Ureua pazi.” Isaav tauvene, ve itap izi gha imaat. 
ACT.8.1	Saawe tau tirav Stepanus imaat, Saul ileep ve iyok pa ŋgar tau tighamu na.
ACT.8.1	Saawe tana ve ila, yes Yuda tiburig gha tighur pataŋani tiina kat iŋarui lupuuŋ to Krisi tau tileep izi Yerusalem na. Tigham saghatin zi kat. Tauvene tisov tighawaar mbiriis irau taan sirivu to Yudea ve Samaria. Ve yes mbaŋooŋa mon ta tileep izi Yerusalem. 
ACT.8.2	Saawe tau Stepanus imaat, tamtamon siriv tau matazi iŋgalŋgal Maaron na tigham paata ve titavia toman taŋiiz tiina. 
ACT.8.3	Eemon Saul ighe ivaghamunia lupuuŋ to Krisi ve ipasov zi kat. Tauvene ilaghlaagh taghon ruum aavo aavo, ve isasaar Krisi tamtamon tooni, ve ighurghur zi tiloŋ tila ruum to yavyavuuŋ. Yes zitamoot ve zilivaa paam. 
ACT.8.4	Yes tau tiparghaughau na, tilaagh irau nugh naol. Ve nugh sindei tau tila tileep pani, ene tivotia vaaru poia pazi. 
ACT.8.5	Tauta Pilip paam, izila nugh tiina ee to Samaria, ve ivotia Krisi vaaru izi ta sewe. 
ACT.8.6	Eval tiina tilooŋ saveeŋ tooni, ve tighita gabua ŋgeretazi tau i ighamgham zi imin ilaal pazi na, le tisov tighur taliŋazi poi pa saveeŋ tooni. 
ACT.8.7	Pasaa, avuvu sasaghati tiyakyak, ve tighaughau pa tamtamon katini. Ve narapeŋa katini tinizi poia. 
ACT.8.8	Tauvene tamtamon to nugh tawe tintinizi ve lolozi poia kat.
ACT.8.9	Nugh tawe, mur tamazi ee ilepleep, eeza Simon. Muuŋ ve ilam, i ipapait tauu eeza ighe i ŋeer tiina ee. Eval tiina to Samaria tighita mur tooni anooŋa le tirur pani ve avozi ikaak. 
ACT.8.10	Tauvene tamtamon tisov lolozi pa loŋaaŋ saveeŋ tooni. Yes tau ezazi tintiina, ve yes tau lezi ezazi mako na paam. Ve tisavsaav tighe: “Wai, ŋeer tane, tapiri tiina kat imin Maaron tauu.” 
ACT.8.11	Pasaa, mur tau monmon ighamghamu na, tamtamon tighita le ŋgar toozi imbool. Tauta tighurghur taliŋazi pa saveeŋ tooni irau saawe. 
ACT.8.12	Eemon saawe tau Pilip ivotia vaaru poia pa pooz to Maaron ve ipaghazoŋai zi pa Yesu Krisi, tamtamon katini tighur ila ve tigham yaa. Yes zitamoot ve zilivaa paam. 
ACT.8.13	Simon paam, ighur ila ve igham yaa. Saawe tana ve ila, i ipakpaak Pilip, ve ighita gabua ŋgeretazi tintiina tau Pilip ighamgham zi na. Gabua tana itotoi ighe Maaron ileep tomania pa uraat tooni. Tauvene Simon ighit zi le aavo ikaak.
ACT.8.14	Yes mbaŋooŋa tau tilepleep Yerusalem na, tilooŋ yes Samaria varuzi tighe tigham Maaron saveeŋ tooni gha tighur ila wa. Tauvene timbaaŋ Petrus yesuru Yoan tizila, leso tighit zi. 
ACT.8.15	Yesuru tila tivot toozi, ve tighason Maaron to irei Avuvu Patabuyaaŋ pa yes to Samaria tau ŋgarig gha tighur ila na. 
ACT.8.16	Pasaa, tamtamon toozi eta igham Avuvu Patabuyaaŋ soone. Yes tigham yaa mon ila Tiina toit Yesu eeza. 
ACT.8.17	Tauvene Petrus yesuru Yoan tighur nimazi izala pavozi to tipalot zi, ve tigham Avuvu Patabuyaaŋ. 
