MAT.1.1	Nene pitiiŋ to Yesu Krisi pughu toni. Yesu, ye siŋ to kinik David, ve David, ye siŋ to Abaraam. 
JHN.9.1	Yesu ilaagh ila le ighita ŋgeu eez to mata pisi. Ye, tina ipoopa tovene. 
JHN.9.2	Taghoniiŋa toni tighita ŋgeu tonowen, ve tighason Yesu tighaze: “Patoŋaaŋ, pughu vena to ŋgeu tonene tina ipoopa mata pisi? Ye tau sosor toni, ma tama yesuru tina sosor todi?” 
JHN.9.3	Yesu ipamuul ghasoniiŋ todi ighaze: “Ŋgeu tonene igham sosor maau, ve tama yesuru tina paam tigham sosor maau. Pataŋani tonene ivot pani, leso Maaron iuuli ve ipatooŋ tapiri ve uraat toni ivot ighazooŋ. 
JHN.9.4	Aazne, nene sawa to ndag ve taneep ila ghazooŋa. Tovenen iit irau tagham uraat to Tamaŋ Maaron to imbaaŋ ghou nanim. Pasa, sawa to ndoroom, nene inim igharau wa. Sawa tonenen ighaze ivot, nene irau tamtoghon eta igham uraat muul maau. 
JHN.9.5	Sawa to nanepneep izi taan, you taug to nanim ghazooŋa pa tamtoghon to taan.” 
JHN.9.6	Yesu isavia saveeŋ tonene le isob, ghoro ikor taan ris ila nima ve iŋazub ila, ve itoora ve ikumi ila ŋgeu tonenen mata. 
JHN.9.7	Ghoro isaav pani ighaze: “Ula ya naliu Siloam, ve umen matam.” (Ya tonowen iza, pughu tovene: ‘Mbaŋooŋ.’) Tovenen ŋgeu tonenen itaghon Yesu aliŋa, ve ila imen mata. Sawa to ipul ya tonowen ve imuul inim, mata poia ve ighita ndug.
JHN.9.8	Ndita pida to ruum todi igharau, ve tamtoghon to muuŋ tighita ŋgeu tonenen isuŋsuŋ tamtoghon pa le mbeb, yes tighita ŋgeu tonenen, le ruŋadi iza pani tighaze: “Wai, ŋgeu mata pisi to muuŋ inepneep ve isuŋsuŋ tamtoghon pa le mbeb, tau tonene?”
JHN.9.9	Pida tighaze: “Vee! Ye tau tonene.” Ve pida tighaze: “Maau. Nene avaat ŋgeu ite paam to yesuru naghodi raraate.”
JHN.9.9	Ve ŋgeu tonenen inok saveeŋ ighaze: “Maau. You taug tonene!”
JHN.9.10	Tovenen tighasoni tighaze: “Wai, vena to matam poia ve ughita ndug?”
JHN.9.11	Ye ipamuul aliŋadi ighaze: “Ŋgeu to iza Yesu, ye itoor taan toman ŋazuba ve ikumi ila matag, ghoro isaav payou ighaze “Ula ya naliu Siloam, ve umen matam.” Tovenen nataghon aliŋa ve nala namen matag, ve rikia moghon matag poia ve naghita ndug.”
JHN.9.12	Tovenen tighasoni muul tighaze: “Ŋgeu tonowen, tau sine?”
JHN.9.12	Ye isaav padi ighaze: “Ii, you nakankaan pani.”
JHN.9.13	Ghoro tigham ŋgeu tonenen ve tila to ndiran tutuuŋa pida. 
JHN.9.14	Pasa, sawa to Yesu igharaat mata, nene umbom patabuaŋ. 
JHN.9.15	Tovenen ndiran tutuuŋa tonowen anadi tighason ŋgeu tonenen tighaze: “Sa ivot payom, to matam poia ne?”
JHN.9.15	Ye isaav padi ighaze: “Ŋgeu to iza Yesu, ye itoor taan toman ŋazuba, ve ikumi ila matag, ghoro nala nameni. Tauto aazne, matag poia ve naghita ndug.”
JHN.9.16	Ndiran tutuuŋa tonenen tilooŋ saveeŋ toni tonene, ve tamtoghon todi pida tisaav tighaze: “Iit tawatag: Ŋgeu tonowen, Maaron imbaaŋa inim maau. Pasa, ye itaghon tutuuŋ to umbom patabuaŋ maau.”
JHN.9.16	Ve pida tighaze: “Maau. Ye ighamgham mbeb gharatooŋadi katindi to tipatooŋa tighaze Maaron ineep tomani pa uraat toni. Ighaze ye tamtoghon samia, nene irau igham mbeb tovene maau.” Tauto tivalag taudi.
JHN.9.17	Tovenen tighason ŋgeu to Yesu igharaat mata ne muul tighaze: “Laak, yom to ye igharaat matam, ugham ŋgar pani vena?”
JHN.9.17	Ye ipamuul aliŋadi ighaze: “Ye avaat propet eez to Maaron.”
JHN.9.18	Onoon, ŋgeu tonenen, tina ipoopa mata pisi, ve Yesu igharaat mata. Eemoghon ndiran tutuuŋa tonenen tighur ila maau. Tovenen tipoi tama yesuru tina tinim paam, 
JHN.9.19	ve tighason di tighaze: “Laak, natumim to yamru aghaze apoopa mata pisi ne, tau tonene? Pughu vena to aazne mata poia ve ighita ndug?”
JHN.9.20	Tama ve tina tipamuul aliŋadi tighaze: “Ŋgeu tonene, yeru niwatagi. Nene natumai. Ve niwatag nighaze nipoopa mata pisi. 
JHN.9.21	Eemoghon ataam to aazne mata poia, ve sei to igharaat mata, nene nikankaan pani. Ye pain maau. Ye olman. Aghasoni, ghoro tau ipaes payam.”
JHN.9.22	Yesuru tisaav tovene pasa, timatughez pa daba to yes Yuda. Pasa, yes timbua saveeŋ wa: Ighaze tamtoghon eta isaav tovene: ye ighur ila to Yesu ighaze ye Mesia, nene pale tizuruni pa lupuuŋ todi, ve ila ineep pumuri. [Irau ilup toman di pa suŋuuŋ ma uraat todi pida muul maau.] 
JHN.9.23	Tauto tama ve tina tisaav padi tighaze: “Ye pain maau. Ye olman. Taumim aghasoni.”
JHN.9.24	Tovenen tipoi ŋgeu tonenen imuul inim, ve tisaav ariaŋa pani tighaze: “Yom irau upait Maaron iza, ve usavia saveeŋ onoon payei ila ye mata. Yei niwatag: Yesu tonowen, ye ŋgeu to ghamuuŋ sosor!”
JHN.9.25	Ŋgeu tonenen ipamuul aliŋadi ighaze: “Ye ŋgeu to ghamuuŋ sosor, ma ŋgeu poia, nene you nawatagi maau. Ve mbeb ee moghon to you nawatagi, nene vene: Muuŋ, matag pisi. Ve aazne, matag poia ve naghita ndug.”
JHN.9.26	Tovenen tighasoni muul tighaze: “Ye igham vena payom? Igharaat matam vena?”
JHN.9.27	Ye ipamuul aliŋadi ighaze: “Saveeŋ, tauto nasavia payam wa. Eemoghon yam alooŋ ghou maau. Pughu vena to anoknok ghasoniiŋ ghou pa mbeb tonene? Yam paam aghaze le anim taghoniiŋa toni?”
JHN.9.28	Tilooŋ aliŋa tonene, le igham di atedi yabyab kat. Tovenen tipiyaav saveeŋ velegiiŋ pani tighaze: “Yom to ŋgeu tonowen taghoniiŋa toni. Eemoghon yei, ghoro nitaghon ŋgar to Mose. 
JHN.9.29	Pasa, yei niwatag: Mose ivotia saveeŋ to ilooŋa ila Maaron tau avo. Eemoghon ŋgeu tonowen, yei nikankaan pani toman uraat toni. Ineep sine to inim?”
JHN.9.30	Ŋgeu to muuŋ mata pisi, ipamuul aliŋadi ighaze: “Wai, nalooŋ saveeŋ tiam le ruŋag iza pani! Ŋgeu tonowen igharaat matag, ve yam aghaze akankaan pani: Ineep sine to inim? 
JHN.9.31	Iit tawatag: Yes to tighamgham sosor, Maaron ilooŋ di maau. Ye iloŋlooŋ yes to matadi iŋgalŋgali, ve titaghon aliŋa. 
JHN.9.32	Sawa to Maaron ighur sambam ve taan tivot, ve inim imuul aazne, iit talooŋ ŋgeu eta varu pa gharatooŋ tamtoghon to tina ipoopa mata pisi ne maau. Aazne moghon, ghoro mbeb tovene ivot. 
JHN.9.33	Ighaze Maaron imbaaŋ ŋgeu tonowen maau, ye irau igham mbeb gharatooŋa eta tovene maau.” 
JHN.9.34	Saveeŋ toni tonene ireu lolodi kat. Tovenen tipiyaav saveeŋ pani tighaze: “Ai, yom tonene, sawa to tinam ipoop ghom ve inim aazne, unepneep ilooŋ ila ŋgar samia lolo. Ve yom ughaze upatoot ghei pa Maaron aliŋa?” Tisaav pani tovene, ghoro tizuruni ighau.
JHN.9.35	Yesu ilooŋ ŋgeu tonenen varu tighaze yes Yuda tizuruni ighau. Tovenen ila indeeŋa, ve ighasoni ighaze: “Vena? Yom ughur ila to Tamtoghon Natu, ma maau?”
JHN.9.36	Ŋgeu tonenen ipamuul aliŋa ighaze: “Tiina, Tamtoghon Natu tonowen, sei kat? Usavia payou, leso naghur ila toni.”
JHN.9.37	Yesu isaav pani ighaze: “Yom ughita wa. Taug to ituru tasavsaav ne.” 
JHN.9.38	Ŋgeu tonenen isaav pa Yesu ighaze: “Tiina, you naghur ilat tiom.” Ghoro iput aghe pani ve ipakuri.
JHN.9.39	Yesu isaav muul ighaze: “You nazi nanim taan pa navalag tamtoghon. Yes to tighilaal tighaze matadi pisi ve tikankaan pa Maaron ŋgar toni, nene pale matadi pakia ve tighazooŋ pani. Ve yes to tinumeer sorok tighaze matadi poia ve tighazooŋ pa Maaron ŋgar toni, nene pale matadi ipis, ve ndoroom ikau di le tisami kat.” 
JHN.9.40	Yesu isavsaav, ve ndiran tutuuŋa pida to tiyondyood tigharaui, tilooŋa. Tovenen tighasoni tighaze: “Vena, yom ughaze yei tonene matamai pisi?”
JHN.9.41	Yesu ipamuul aliŋadi: “Ighaze matamim pisi ve akankaan pa Maaron ŋgar toni, nene pale lemim sosor maau. Eemoghon yam aghaze matamim pakia ve aghazooŋ pa Maaron ŋgar toni. Tauto aazne, anepneep toman sosor tiam sone.” 
JHN.10.1	Yesu isaav muul ighaze: “Onoon kat, you nasaav payam: Tamtoghon to ighaze ilooŋ ila sirsiir to sipsip, ye irau itaghon ataam, ve ilooŋ ila. Ve ighaze tamtoghon eta itaghon ataam maau, ve imalaaŋ pa sirsiir ve ilooŋ ila, nene ye yubyub ve ŋgeu to ighaze iwaghamun sipsip. 
JHN.10.2	Eemoghon ŋgeu to itaghon ataam to sirsiir, ve ilooŋ ila, nene ye ŋginiiŋ tau to sipsip. 
JHN.10.3	Tovenen ŋginiiŋa to ataam to sirsiir pale ikaak ataam pani, ve ye ilooŋ ila. Yes sipsip toni tighilaal aliŋa. Tovenen ye ipoipoi eŋaeŋa izadi, ve ighereb di tivot tila. 
JHN.10.4	Ighaze iyou di tisob tivot tila pumuri, ye pale imuuŋ padi, ve tikeet taghoni, ve yesŋa tilaagh tila. Pasa, tighilaal aliŋa. 
JHN.10.5	Eemoghon ighaze ŋgeu ite paam ipoi di, nene irau titaghoni maau. Pale tighau pani. Pasa, tighilaal aliŋa maau.”
JHN.10.6	Yesu isavia saveeŋ palelaaŋ tonene padi, eemoghon yes to tiloŋlooŋ saveeŋ toni, tighilaal pughu maau.
JHN.10.7	Tovenen ye isaav padi muul ighaze: “Onoon kat, you nasaav payam. Ataam to sirsiir to sipsip tivotvot ve tiloŋlooŋ pani, nene you taug. 
JHN.10.8	Tamtoghon tisob to timuuŋ payou ve tinim, yes yubyubŋa, ve ndiran to tiwaghamun sipsip. 
JHN.10.9	You taug to ataam to sirsiir. Tovenen ighaze tamtoghon eta iŋarua ghou inim, ve ilooŋ ila sirsiir lolo, nene pale you nagham mulini ve ineep pooi. Ve ye pale ivotvot ve iloŋlooŋ, leso igham a aniiŋ popoia. 
JHN.10.10	Ŋgeu yubyub, ye inim pa iwaghamun sipsip moghon. Ye iyubyub di, ireureu di, ve irabrab di timatmaat. Eemoghon you nanim pa nagham sipsip tiou tineep poia le poia kat.
JHN.10.11	“You taug to ŋginiiŋa poia to sipsip. Pasa, ŋginiiŋa poia, ye ipul tau kat pa sipsip toni. 
JHN.10.12+JHN.10.13	Eemoghon ŋgeu to iŋgin sipsip to tamtoghon ite, ye ŋginiiŋ tau to sipsip maau. Ighamgham uraat pa le atia moghon. Tovenen ye pale ighur lolo pa sipsip kat maau. Pasa, ye sipsip tama maau. Ighaze ighita ŋgavuun sagsag eta inim, nene pale ipul sipsip tineep, ve ighau. Tovenen ŋgavuun sagsag pale ighan di, ve ireu di timbiriis.
JHN.10.14+JHN.10.15	“You taug to ŋginiiŋ poia to sipsip. You nawatag sipsip tiou, ve yes tiwatag ghou, inimale you nawatag Tamaŋ Maaron, ve ye iwatag ghou. Ve you pale napul taug namaat pa sipsip tiou. Leso nagham mulin di ve tineep pooi. 
JHN.10.16	Eemoghon you leg sipsip pida paam. 
JHN.10.17	“Tamaŋ Maaron lolo payou kat. Pasa, you pale napul taug namaat. Leso namundig pa mateeŋ ve naneep matag iyaryaar muul. 
JHN.10.18	Tamtoghon eta to taan irau irab ghou namaat sorok ne maau. Nayokia taug, ghoro tirab ghou namaat. Pasa, you tapirig irau nayokia taug namaat, ve tapirig irau namundig matag iyaryaar muul, itaghon saveeŋ to Tamaŋ isavia payou.”
JHN.10.19	Yes Yuda tilooŋ saveeŋ toni tonene, le tivalag di muul. 
JHN.10.20	Tauto todi katindi tighaze: “Ŋgeu tonene, talooŋ saveeŋ toni pasa? Ye avuvu samia izeeva, tauto ŋgar toni iwaghamgham.” 
JHN.10.21	Eemoghon tamtoghon pida tisaav tighaze: “Ŋgeu to ighaze avuvu samia izeeva, nene irau isavia saveeŋ tovene maau. Ve aghita. Avuvu samia eta irau igharaat tamtoghon mata pisi ve ighita ndug? Maau.” 
JHN.10.22	Tinepneep le sawa to lupuuŋ tiina ite to yes Yuda ivot. Nene lupuuŋ to matadi iŋgal sawa to tigharaat mulin Rumai Tiina, ve tighuri inim Maaron le. Sawa to lupuuŋ tonowen, nene sawa to ndug yauŋa. 
JHN.10.23	Yesu ilaghlaagh ila ruum to nepooŋ to Solomon ireii ila Rumai Tiina dige ne lolo, 
JHN.10.24	ve daba pida to yes Yuda tila tiluvuti, ve tisaav pani tighaze: “Yei nikaria saŋaniiŋ ghom wa. Pale ŋeez o uvotia taum? Ighaze onoon yom Mesia, ghoro usaav ghazooŋa payei!”
JHN.10.25+JHN.10.26	Yesu ipamuul aliŋadi ighaze: “You nasaav payam wa. Eemoghon yam aghur ila saveeŋ tiou maau. Uraat naol to naghamgham di ila Tamaŋ iza, nene tipariaaŋ saveeŋ tiou. Eemoghon yam sipsip tiou maau, tauto aghur inim tiou maau. 
JHN.10.27	Sipsip tiou, nene yes to tiloŋlooŋ aliŋag. You nawatag di tisob, ve yes titaghon ghou. 
JHN.10.28	You nagham ledi nepooŋ poia to iseŋseeŋga taghoni gha ila. Tovenen yes irau timaat ve tilaledi ne maau. Pale tineep le alok. Ve tamtoghon eta irau isad di ila nimag maau. 
JHN.10.29	Pasa, Tamaŋ to ighur di tinim leg ne, tapiri ilib pa mbeb tisob. Tovenen tamtoghon eta irau isad di ila ye nima ne maau. 
JHN.10.30	You ve Tamaŋ, yeru ee moghon.” 
JHN.10.31	Yes Yuda tilooŋ saveeŋ toni tonene, ve timundig tigham yaam, ve tighaze tirabi imaat pataghaaŋ. 
JHN.10.32	Tovenen Yesu ighason di ighaze: “You nagham uraat popoia naol ila matamim itaghon ŋgar to Tamaŋ. Sa uraat isosor, to aghaze arab ghou pa yaam?”
JHN.10.33	Yes tipamuul aliŋa tighaze: “Yei nighaze nirab ghom umaat pa uraat popoia to ugham di ne maau. Nighaze nirab ghom umaat pasa, yom tamtoghon sorok to taan. Eemoghon upakur taum ughaze yamru Maaron raratemim. Tovenen yom uveleg Maaron ve uwaghamun iza.” 
JHN.10.34+JHN.10.35	Yesu isaav padi muul ighaze: “Yam awatag maau? Saveeŋ waaro eez to ineep ila tutuuŋ tiam isaav tovene: Maaron isaav pa daba pida ighaze: ‘You nasaav payam: yam ndimaronŋa.’ Daba tonowen, yes tamtoghon to taan. Eemoghon Maaron aliŋa to iŋarua di, nene iwaat di ighaze yes ndimaronŋa. Ve iit tawatag: Maaron aliŋa to timbooda wa, nene irau toraaŋi maau. Ineep tovene. 
JHN.10.36	Eemoghon you, Tamaŋ Maaron ighur ghou pa nagham uraat patabuaŋ tonene, ve imbaaŋ ghou nazi nanim taan. Tovenen ighaze nawaat taug naghaze you Maaron Natu, pughu vena to aghaze you naveleg Maaron ve nawaghamun iza? 
JHN.10.37	Ighaze you nagham Tamaŋ uraat toni maau, yam aghur inim tiou malep. 
JHN.10.38	Eemoghon ighaze naghamgham uraat toni, yam irau aghur inim tiou. Tovenen ighaze saveeŋ tiou igham gham aghur ila maau, aghita uraat to naghamgham di ne, ve aghur ila. Leso ŋgar tiam ivot, ve aghilaal aghaze: You naneep ila to Tamaŋ, ve Tamaŋ ineep inim tiou.” 
JHN.10.39	Yes Yuda tilooŋ saveeŋ toni tonene, ve titoova pa tikisi muul. Eemoghon ye ighau padi ila.
JHN.10.40	Ilaagh ila imbut ya Yordan, ve ila ivot muul ndug to muuŋ Yoan ineep pani ve irurughuuz tamtoghon. Yesu inepneep tonowe, 
JHN.10.41	ve ival tiina tila tivot toni, ve tiwasavon di tighaze: “Yoan igham mbeb gharatooŋa eta maau. Eemoghon saveeŋ isob to ye isavia pa ŋgeu tonene, nene onoon moghon.” 
JHN.10.42	Tovenen tamtoghon katindi to tinepneep tonowe, tighur ila toni.
JHN.11.1+JHN.11.2	Ŋgeu eez to ineep izi ndug Betania, moroghooŋ tiina ighami. Iza Lasarus. Ndilivu ru tinepneep izi ndug tonowen paam. Eez iza Marta, ve ite iza Maria. Maria tonene, tauto muuŋ iliŋ ŋgoreeŋ vuzi poia iza ila Yesu aghe, ve imusi pa daba raua. 
JHN.11.3	Sawa to Lasarus imorooŋ, ndilivu ru tonowen timbaaŋ ila pa Yesu tighaze: “Tiina, livumai Lasarus to yom ineep toni kat, ye imorooŋ le isami kat.”
JHN.11.4	Yesu ilooŋ paesiiŋ tonene, ve isaav ighaze: “Moroghooŋ tonowen ivot pa igham Lasarus imaat ne maau. Pale inim ataam pa Maaron ipatooŋ tapiri ve poia toni. Leso tamtoghon tipait iza ve tipait Natu iza paam.” 
JHN.11.5	Yesu lolo pa Marta yesuru taziliva Maria ve livudi Lasarus kat. 
JHN.11.6	Eemoghon sawa to ilooŋ tighaze Lasarus imorooŋ, ye rikia imundig ipul ndug to inepneep pani ne maau. Inepneep tonowe le mboŋ ru paam. 
JHN.11.7	Ghoro isaav pa taghoniiŋa toni ighaze: “Yo, tamundig ve tamuul tala pa Yudea.”
JHN.11.8	Taghoniiŋa toni tilooŋ saveeŋ tonene, ve tisaav pani tighaze: “Wai, Patoŋaaŋ, ŋgaramus yes Yuda to ndug tonowen tighaze tirab ghom pa yaam ve umaat. Pughu vena to aazne ughaze umuul ula tonowe?” 
JHN.11.9	Yesu isaav padi ighaze: “Vena, tamtoghon eta irau ipasul sawa to ndag ila inim tuku? Maau. Ghagharaar ila le rabrab izi, nene ndag dodoli to tagham uraat. 
JHN.11.10	Eemoghon ighaze tamtoghon eta ilaagh ila ndoroom lolo, nene pale itut aghe ve itap. Pasa, ghazooŋa ineep toni maau.” 
JHN.11.11	Yesu isaav tovene, ve iseeŋ aliŋa ighaze: “Itaad Lasarus igheen wa. Tovenen you irau nala, leso navaaŋa imundig muul.” 
JHN.11.12	Taghoniiŋa toni tisaav pani tighaze: “Tiina, ighaze Lasarus igheen pooi, ye avaat mata pakia wa.”
JHN.11.13	Yesu iwatag: Lasarus imaat wa. Eemoghon isavia saveeŋ palelaaŋ, tauto taghoniiŋa toni tikankaan pa saveeŋ toni pughu, ve tighaze pa Lasarus igheen moghon. 
JHN.11.14+JHN.11.15	Tovenen Yesu isaav ghazooŋa padi ighaze: “Lazarus ineep maau. Imaat wa. Onoon, you naneep tomani maau, ve imaat. Eemoghon lolog poia. Pasa, mbeb to pale ivot, nene pale iuul gham, ve ipariaaŋ ghurla tiam. Yo, amundig ve tala taghita.”
JHN.11.16	Tomas, to iza ite Didimus, ye isaav pa ndita ighaze: “Tambaŋa. Amundig ve itiŋa tala. Leso iit tasob tamaat raraate toman tiina toit.”
JHN.11.17	Yesu toman taghoniiŋa toni tilaagh tila tigharau ndug Betania, ve tilooŋ tighaze Lasarus paatu ineep ila naal lolo irau mboŋ paaŋ wa. 
JHN.11.18	Ndug Betania, nene ineep igharau ndug tiina Yerusalem, irau kilomita tol ma venen. 
JHN.11.19	Tovenen yes Yuda katindi tinim tineep toman Marta ve Maria pa moŋiiŋ todi leso tirab atedi.
JHN.11.20	Sawa to Marta ilooŋ tighaze Yesu inim igharau ndug Betania, ye imundig ila ighaze ighita. Eemoghon Maria, ye ineep izi ruum. 
JHN.11.21	Marta ila ivot to Yesu, ve isaav pani ighaze: “O Tiina, inimale yom uneep sualen, tone livug imaat maau. 
JHN.11.22	Eemoghon you nawatag: Aazne, sa mbeb to ighaze yom ughason Maaron pani, ye pale ilooŋ ghom ve igham payom.”
JHN.11.23	Yesu isaav pani ighaze: “Livum pale imundig muul.”
JHN.11.24	Marta ipamuul aliŋa ighaze: “You nawatag. Sawa to Mboŋ Muri, Maaron ighaze ipamundigin yes mateeŋa, nene pale livug imundig paam.” 
JHN.11.25	Yesu isaav pani muul ighaze: “Ulooŋ. You taug to nanim pughu pa mundigiiŋ to yes mateeŋa ve nepooŋ to tamtoghon tineep matadi iyaryaar. Ighaze tamtoghon eta ighur inim tiou ve imaat, nene mateeŋ irau ikisi maau. Ye pale imundig muul, ve ineep mata iyaryaar le alok. 
JHN.11.26	Tamtoghon tisob to tighur inim tiou ve tigham nepooŋ poia ila to Maaron, yes irau timaat ve tilaledi ne maau. Pale tineep matadi iyaryaar le alok. Yom ughur ila saveeŋ tiou tonene, ma maau?”
JHN.11.27	Marta ipamuul aliŋa ighaze: “Vee. Tiina, you naghur ila kat naghaze yom Mesia. Yom Maaron Natu. Ye imbaaŋ ghom tauto uzi unum taan.” 
JHN.11.28	Marta yesuru Yesu tisavsaav le isob, ghoro Marta imuul ila ruum, ve ikamuun pa taziliva Maria ighaze: “Ulooŋ. Patoŋaaŋ toit inim ivot wa. Ve ye ighaze yom ula ughita.” 
JHN.11.29	Maria ilooŋ saveeŋ tonene, ve rikia moghon imundig ila ighaze ighita Yesu. 
JHN.11.30	Sawa tonenen, Yesu inim peria paanu sone. Inepneep izi paanu dige to papazogi Marta ila ivot toni ne. 
JHN.11.31	Yuda pida yesŋa Maria tinepneep ila ruum lolo pa tirab ate. Tighita Maria imundig, ipul ruum ve ila, ve tighaze pa ye ila pa naal to Lasarus, leso itaŋ pani. Tovenen titaghoni tila.
JHN.11.32	Maria ila ivot to Yesu, ve iput aghe izi Yesu aghe pughu, ve isaav pani ighaze: “O Tiina, inimale yom unepneep sualen, tone livug irau imaat maau.” 
JHN.11.33	Yesu ighita Maria yesŋa Yuda pida to tinim tomani titaŋtaŋ, le lolo ipataŋan kat. 
JHN.11.34	Ye ighason di ighaze: “Yam aghur Lasarus paatu izi sine?”
JHN.11.34	Yes tipamuul aliŋa tighaze: “Tiina, unum tala ve ughita.”
JHN.11.35	Ghoro Yesu itaŋ.
JHN.11.36	Tovenen Yuda pida to yesŋa tiyondyood, tisaav tighaze: “Aghita. Ye avaat lolo pa Lasarus kat.”
JHN.11.37	Eemoghon tamtoghon todi pida tiwasavon di tighaze: “Ŋgeu tonene igharaat ŋgeu eez to mata pisi. Pughu vena to iuul Lasarus maau? Inimale iuuli, tone Lasarus irau imaat maau.”
JHN.11.38	Yesu lolo ipataŋan kat pa mateeŋ to Lasarus. Tovenen ilaagh ŋarua yaam saambu to Lasarus paatu ineep pani. Saambu tonowen, tigharaata inim naal, ve tigham yaam tiina eez, ve tipoon avo wa. 
JHN.11.39	Yesu ila ivot naal avo, ve isaav padi ighaze: “Apatambulin yaam ighau pa naal avo.”
JHN.11.39	Mateeŋ tonowen livu Marta isaav pa Yesu ighaze: “Wai Tiina, ugham vene malep. Yei nighuri igheen tonowe mboŋi paaŋ wa. Takaaka, pale vuzi.”
JHN.11.40	Yesu isaav pani ighaze: “Marta, matam iŋgal saveeŋ tiou, ma maau? You nasaav payom wa. Ighaze ughur ila, nene pale ughita Maaron ipatooŋ tapiri ve poia toni ivot ighazooŋ.” 
JHN.11.41	Tovenen tipatambulin yaam tiina ighau pa naal avo, ve Yesu mata izala pa sambam, ve isaav ighaze: “O Tamaŋ, you lolog poia payom pasa, suŋuuŋ tiou, yom ulooŋa wa. 
JHN.11.42	You nawatag: Sawa isob, yom uloŋlooŋ suŋuuŋ tiou. Eemoghon you nagham ŋgar pa ival tiina to yeiŋa niyondyood ne, naghaze le yes tighur ila tighaze: Yom taum umbaaŋ ghou to nanim. Tauto nasavia saveeŋ tonene.”
JHN.11.43	Ye isavia saveeŋ tonene le isob, ghoro imboob aliŋa tiina ighaze: “Lasarus, uvot unum!” 
JHN.11.44	Rikia moghon Lasarus imundig, ve ivot. Eemoghon uli pida pida to tikaukaui pani, tinepneep ila tini sone. Tovenen ye ivot ila pumuri, ghoro Yesu isaav padi ighaze: “Apool uli pida pida tonowen tighau pa nagho, nima, ve aghe. Leso ilaagh pooi.”
JHN.11.45	Yes Yuda to tinim tineep toman Maria, tighita mbeb gharatooŋa to Yesu ighami, le katindi tighur ila toni. 
JHN.11.46	Eemoghon tamtoghon todi pida tila to ndiran tutuuŋa, ve tipaesia mbeb tonenen varu padi. 
JHN.11.47	Tovenen daba to watooŋrau ve ndiran tutuuŋa tila tilup di toman pooza pida to yes Yuda, ve tiwasavon di tighaze: “Ŋgeu tonowen ighamgham mbeb gharatooŋadi katindi to tipatooŋa tighaze Maaron ineep tomani pa uraat toni. Pale tagham vena? 
JHN.11.48	Ighaze tapuli ve ighamgham tovene, nene pale tamtoghon tisob tighur ila toni ve titaghoni. Ghoro yes Roma tinim, ve tireu mbirisan Rumai Tiina toit, ve tiwarewon ghiit paam, le irau tauud taŋgin ndug toit muul maau.”
JHN.11.49	Tilup di ve tinepneep, ve tamtoghon todi eez, iza Kaiapas, ye daba to watooŋrau pa ndaman tonenen, imundig ve isaav padi ighaze: “Yam tonene, lemim ŋgar maau! 
JHN.11.50	Agham vena to awaghamgham tovene? Yam aghilaal maau? Poia pa ŋgeu ee moghon igham ival tiina inadi, ve imaat padi. Pa vene, iit Yuda tasob tamatmaat.” 
JHN.11.51	Saveeŋ tonene, Kaiapas isavia sorok itaghon tau ŋgar toni maau. Maaron igham pooz pani, tauto isavia. Pasa, ndaman tonenen, Kaiapas, ye daba to watooŋrau. Tauto ivotia Maaron aliŋa padi, ve ighaze Yesu pale igham yes Yuda inadi ve imaat padi. 
JHN.11.52	Eemoghon Yesu imaat pa yes Yuda moghon maau. Ye imaat pa Maaron ndinatu tisob to tineep irau ndug ndug. Leso ilup di tinim lupuuŋ ee moghon. 
JHN.11.53	Tovenen sawa tonenen ve ila, daba to yes Yuda tikalkaal ataam pa tirab Yesu imaat. 
JHN.11.54	Tauto ye ilaagh ghazooŋa ila yes Yuda matadi muul maau. Ye ipul di, ve ila pa ndug Epraim to ineep ndug balim dige, ve yesŋa taghoniiŋa toni tinepneep izi tonowe.
JHN.11.55	Tinepneep le sawa to lupuuŋ tiina to yes Yuda to tiwaata tighaze Pasova, nene inim igharau. Tovenen ival tiina to ndug ndug tizazala pa Yerusalem. Tighaze tigharaat taudi ve tiŋgalaaŋ ila Maaron mata le isob, ghoro lupuuŋ tiina tonowen ivot. 
JHN.11.56	Tamtoghon tinepneep ila sirsiir to Rumai Tiina lolo, ve matadi inesnes pa Yesu, ve tiwasavon di tighaze: “Ou, agham ŋgar vena? Ŋgeu tonowen pale inim pa lupuuŋ tiina tonene, ma maau?” 
JHN.11.57	Sawa tonenen, yes daba to watooŋrau toman ndiran tutuuŋa tisaav ariaŋa pa ival tiina tovene: Ighaze tamtoghon eta iwatag ndug to Yesu ineep pani, ye irau rikia moghon ve ipaes padi. Leso tila tikisi.
JHN.12.1	Mboŋi liim ve eez inepneep sone, ghoro uraat to Pasova ivot. Sawa tonenen, Yesu ila ivot Lazarus ndug toni Betania. Lasarus, ye ŋgeu to imaat ve Yesu ipamundigini pa mateeŋ. 
JHN.12.2	Yesu toman taghoniiŋa toni tinepneep tonowe, ve ndita pida to ndug tonowen tigham ghanghaniiŋ pani. Marta igham uraat pa gharatooŋ adi aniiŋ, ve Lasarus ineep toman di pa ghanghaniiŋ tonenen paam. 
JHN.12.3	Tovenen yes tighanghan, ve Maria igham ŋgoreeŋ to vuzi poia ve atia tiina kat inim, ve iliŋi izala Yesu aghe. Ghoro imusi pa daba raua. Ŋgoreeŋ tonowen vuzi ivot le ikau ruum lolo. 
