GEN.1.1	Ni fíĉilum fafu, Aláemit nátut fatiya ni ettam.
ROM.3.1	Gafaŋ gay baje ñer éni Asúif, ter nafa yay baje enogen búhut ? 
ROM.3.2	Ení Asúif nafa yo hum éjalojalo ni waf waw ᵽe. Waf útiar wo uomme búoh bugo Esúif yay Aláemit asen me Gurim gagu gola. 
ROM.3.3	Ñer bu ? Mánoman guce ni bugo gúinenut, gáinenutil gújue ᵽiaŋ guĉil min Aláemit ahabo ekan wo nalob me ? 
ROM.3.4	Múk ! Ukanal n’uinumolal gaa búoh Aláemit an ala maagen om, ban arafuhow ánoan abija nam. Maagen mamu, Bahiĉer babu bulobe mal Aláemit buoh :
ROM.3.4	« Mbi maĉole mujugi ni gurimi,
ROM.3.4	ban an ájuut aceŋ bataliŋeri
ROM.3.5	Bare íni me gaĉolutolal gukane min gaĉol gagu gal Aláemit gufaŋ n’gujugi, wa ᵽan ulobal to ? Aláemit ᵽiaŋ aĉolut o bategerolal ni bitiña-fiiñol ? (Nilolob ti arafuhow nah’alob me.) 
ROM.3.6	Hani ! Kan mo me, bu ñer Aláemit ajae me etaliŋ mof mamu ?
ROM.3.7	Bare íni me jibijom ᵽan jiĉil min maagen Aláemit mufaŋ ni mujugi, wa uĉile naroŋ n’etaliŋom ti atila ? 
ROM.3.8	Iní me mo, wa uĉile mat’uogal ñer : « Ukanal maarat min mbi múŋarul maaro » ? Mamu ubija guce gúmeñeoli mee n’ebij gutególi búoh wóli mo julobe. Bugan ti bugaubugu guᵽiloᵽilo eyab gúteh !
ROM.3.9	Wa mul ? Wolal Esúif nufaŋalfaŋ bugagu ? A-a, ufaŋutalil. Nigitenulgiten iban gaa búoh wolal ᵽe, Esúif ni galet me Esúif, wolal ubugi ni fujoh faa gatil gagu, 
ROM.3.10	ti Bahiĉer babu bulob yo me buoh :
ROM.3.10	« Bajut an aĉole, mele an anur.
ROM.3.11	Bajut an ajage, bajut an aliᵽe Aláemit.
ROM.3.12	Bugan bugagu ᵽe bugan bugom galimbe,
ROM.3.12	gúbahobaho ᵽooil.
ROM.3.12	Bajut an ni bugo akane maaro, mele an anur
ROM.3.13	Ugundahil únini ti guyah gápegulipegul,
ROM.3.13	gúrerumil gurim gal ebut bugan bare nihi gulob,
ROM.3.13	bíniw bal enuhunjaŋ gubaje n’utumil
ROM.3.14	utab ni mátalie bare simmeŋene utumil
ROM.3.15	Guolil gujanjañ bi eke éyu físim.
ROM.3.16	Tánotan to gúgale, n’guhat búsolil gahajen ni mataño.
ROM.3.17	Bulago babu bájaenume me mbaa gásumay guffasut bo
ROM.3.18	Gákanum Aláemit gulet ni bugo
ROM.3.19	Ban nuffasale búoh waf waw ᵽe wo gúboñ gagu gulob maa gulobwolob bugan bugagu gaamme ni guñen gúboñ gagu. Mamu butum bánoban ᵽan bipegi, ban bugan bugagu ᵽe ᵽan gujogi ti utila bújoŋor Aláemit. 
ROM.3.20	Yo eĉil me, mati baj an aŋare sembeol min akan wo gúboñ gagu gulob me iki ᵽilo min Aláemit ajogol an aĉole bújoŋorol ; gúboñ gagu, go, egitenolal waamme gatil bare.
ROM.3.21	Maer Aláemit nagitenolalgiten bu nakaneolal me núnial bugan gaĉole bújoŋorol, ban dáuru ᵽe let ni búkanum baa gúboñ gagu. Bahiĉer babu baa gúboñ gagu ni bal uboñer waw biᵽie m’bigiten yo buhato : 
ROM.3.22	Aláemit najojoh bugan bugagu ᵽe gáinen me ni Yésu Kirista bugan gaĉole bújoŋorol. Nakanmokan bi ni ánoan áinene ni o. Maagen mamu, bugan bugagu gúbuliorut : 
ROM.3.23	bugo ᵽe gutitil, ban ni gúbbur fugabil faa gasal gagu go Aláemit amaŋen me asenil. 
ROM.3.24	Bare Aláemit náreundeum ejogolal bugan gaĉole bújoŋorol, dó ᵽe mala min Yésu Kirista aᵽagenolal me no nasen me buroŋol bi búallor utilolal. 
ROM.3.25+ROM.3.26	Aĉila Yésu Aláemit aᵽi me naĉob bi éni bísimen babu baalen me bitiña-fiiñol, tima físimol fáyui me ni fúŋarul gaboket util waw waa bugan bugagu gáinen me ni o. Mamu, Aláemit nagitene búoh o naĉoĉol. Maagen naanaŋ namutemuten bireg akanut ni gaᵽin util waw waa bugan bugagu ; maer nagitene ñer maĉoleol min aĉolen nímoro ánoan áinene ni Yésu.
ROM.3.27	Wa ñer ᵽan uĉil nusaloroal ? Bajut ! Wa uĉile bajut ? Ter bakanerolal bo ᵽan biĉilolal núnial bugan gaĉole bújoŋor gúboñ gagu ? A-a, bare til gáinen gagu gololal ni Kirista, go gujae yo eĉil. 
ROM.3.28	Nújuale uogal maagen mamu : Aláemit najogolaljoh bugan gaĉole bújoŋorol mala gáinenolal ni Yésu, let mala búoh nukanalekan wo gúboñ gagu gulob me. 
ROM.3.29	Min ᵽiaŋ Aláemit o ala Esúif yay bare nam ? Alet may ala galet me Esúif ? Ey, o may ala galet me Esúif. 
ROM.3.30	Maagen mamu, Aláemit anur abaje, ajae me eĉolen gáruri me búhut ni gáruruti me búhut ni gáinenil. 
ROM.3.31	Ban ñer uŋaral gáinen gagu min unemenal gúboñ gagu ? Hani ! Ban til uŋaral go min usenal gúboñ gagu hámma yaa maagen.
ROM.4.1	Ulobal ᵽaa mala ᵽayolal afan Aburaham ! Wa nuffasale ni o ? Ni buroŋol bal arafuhow, bakanerol wa buŋallol ? 
ROM.4.2	Eno Aburaham Aláemit najogenoljoh an aĉole mala bakanerol, kan nájuene asaloro. Hani ! Bakanerol biĉilutol min áju asaloro bújoŋor Aláemit. 
ROM.4.3	Maagen Bahiĉer babu buoge : « Aburaham nabaje gafium n’Aláemit, ban go guĉile min Aláemit ajogol an aĉole
ROM.4.4	Leti an aroke nah’ayayab bacam ? Ban bacam baubu bujoguti ti waf újier, bacam bom bal ejenol. 
ROM.4.5	Bare no an akanut burok bánoban bi ésum n’Aláemit, mbiban náinen búoh Aláemit nah’abokeboket an akane gatil, Aláemit til ᵽan ajogol an aĉole mala gáinenol. 
ROM.4.6	Mo may 
ROM.4.7	« Gásumay gúni ni bugan bugagu bugo Aláemit áᵽuren me gahajenil ni gúboñ gagu,
ROM.4.7	bugo naboket me utilil !
ROM.4.8	Gásumay gúni ni an ahu o Ataw akanut me gatilol ni gaᵽin
ROM.4.9	Gásumay gaugu go ter bi ni gáruri me búhut bareil, ter may bi n’úhulaaw ró ? Maagen nuogale gáinen gagu go Aburaham abaj me n’Aláemit, go guĉile min Aláemit ajogol an aĉole. 
ROM.4.10	Ñer nay najogol me an aĉole ? O bárureri búhut aban ter o m’bárureruti ? O m’bárureruti búhut, áhula aamene. 
ROM.4.11	Búsol babu nanone búhut ; búhut babu biĉila bo buomme fúffasum faa maĉole mo nayabe ni gáinenol no naroŋen me ni fúhulaet. Mamu Aburaham ánie ᵽaaya ala bugan bugagu ᵽe gáinen me n’Aláemit bugo m’báruruti búhut, min mbi Aláemit ajogil may bugan gaĉole. 
ROM.4.12	Ban aĉila aamme ᵽoᵽ ᵽaaya ala gatey me búhut, gátijut to me n’etey búhut yauyu, bare n’gulagen gáinen gagu gaa ᵽayolal Aburaham go nabajen me no naamen me áhula.
ROM.4.13	Aláemit naaseh ᵽan ajis Aburaham ni gabulakenol mof mamu ᵽe. Nalobol mee let mala gákanumol gúboñ gagu, bare mala maĉoleol bújoŋor aĉila Aláemit mo gáinenol guŋallol me. 
ROM.4.14	Eno uyaba-bijis bugagu gákanumil gúboñ gagu go guĉilil n’guyab bo, kan wo Aláemit alob me ekan ubbañut ubaj nafa, ban gáinen ni wo gáinen gom garakel. 
ROM.4.15	Let mo, bare til gúboñ gagu guĉile Aláemit min fiiñol fitiñ bugan bugagu ; ban to bajut gúboñ, mati ᵽoᵽ baj to gahajen ni gúboñ.
ROM.4.16	Mamu bijis babu bo Aláemit alob me mala esen bo, gáinen gagu ni o guĉil bo. Bijis babu biĉila bínini gáji bi ni gabulaken Aburaham ᵽe, let bi ni bugagu gaamme ni guñen gúboñ gagu bareil, bare bi ni bugan bugagu ᵽe gáinen me ti Aburaham áinen me. Aĉila aamme ᵽayolal wolal ᵽe, 
ROM.4.17	ti Aláemit alob me ni Bahiĉer babu aah : « Nikanikan úni ᵽaaya afan ala súsuh sammemmeŋ
ROM.4.18	Hani min Aburaham áfanum mee, bare nabaj gáinen to gafium gánogan gújuut me gúni ; náinen wo Aláemit alobol me no naah me : « Gabugori maa ᵽan gummeŋ me iki re
ROM.4.19	Allélenut hani jatiito ni gáinenol ; mánoman nabaje maageima símit ekeme, bare akait bo eluj min sembeol sibao me, alujut ᵽoᵽ búoh far aarol Saara fubaobao. 
ROM.4.20	Abajut gatehumor gánogan hani jatiito ni wo Aláemit alobol me esen, bare til gáinenol n’gufaŋ n’gubaje sembe min afaŋ nasalene Aláemit. 
ROM.4.21	Ŋannoolŋanno ca gaa búoh Aláemit wo nalob me, nabaje may sembe sasu sal ekan wo. 
ROM.4.22	Dáuru diĉil me min « Aláemit ajogol an aĉole bújoŋorol
ROM.4.23	Ban let o bare aĉile min Bahiĉer babu buoh Aláemit maumu najogol, 
ROM.4.24	bare ᵽoᵽ wolal bugo najoh me bugan gaĉole, mala min úinenal me ni aĉila ailen me Ataolal Yésu ni gaĉet me. 
ROM.4.25	Aĉila Yésu Aláemit ásimenol mal utilolal, mbiban nailenol ni gaĉet me bi ekanolal núnial bugan gaĉole bújoŋorol.
ROM.5.1	Nemme ñer Aláemit najogolaljoh bugan gaĉole bújoŋorol mala gáinenolal ni o, maer gásumay gúni n’etulolal ni o, ni búkanum bal Ataolal Yésu Kirista. 
ROM.5.2	Aĉila Yésu aĉile min ubajal gáji gagu gal Aláemit go nuomal maa ni go liŋ ma, dó ᵽe mala gáinen gagu gololal. Ban, waĉilolal me núsumaetal, wo uomme gafium gagu gal enogen ni gasal gagu gal Aláemit. 
ROM.5.3	Ni faŋ mul, núsumaetale hani wolal ni sílam, mata nuffasale búoh sílam nihi síŋarul emuten, 
ROM.5.4	emuten neh’etajen buaken, ban buaken bo nihi búŋarul gafium. 
ROM.5.5	Gafium gagu ndi gusuenolal, mata Aláemit nammeŋene uinumolal gábboliol ni búkanum baa Biinum Banabe bo nasenolal me.
ROM.5.6	Maagen mamu, no nubajenutal me sembe sal eᵽagenoro, Kirista naĉele mololal jaamme utila tinah talu to Aláemit akiĉ me. 
ROM.5.7	Ban táñitañi ejuh an amaŋe aĉet mal an aĉole ; ace ñice ᵽan amaŋ min aĉet bi ni akana-maaro. 
ROM.5.8	Bare Aláemit nagitenolalgiten bu nábboliolal me iki re : nakakan Kirista min aĉet mololal no nuroŋenal me n’éni utila. 
ROM.5.9	Ñer maer nemme físim Yésu fukanolal núnial bugan gaĉole bújoŋor Aláemit, mati ñer fukanolal nuᵽagal may bitiña-fiiñol ? 
ROM.5.10	Maagen mamu, íni me no nuomenal me ulatora Aláemit, eĉet Añolol ekanolal núsumal ni o, ñer til maer, no núsumal me ni o, buroŋol buñumut me eᵽagenolal ? 
ROM.5.11	Ni faŋ mul, wolal ubuge jásumaete maa n’Aláemit, dó ᵽe ni búkanum bal Ataolal Yésu Kirista, aĉilolal me jama nubajal gaunor gaugu n’Aláemit.
ROM.5.12	Bakaner an anur aamme Adam, bo biĉile min gatil gúnonul ni mof, ban gatil go guŋallo eĉet. Mbiban, nemme bugan bugagu ᵽe gutile, yo eĉil me may eĉet yay negoril bugo ᵽooil. 
ROM.5.13	Kan gatil guᵽiene n’gúni ni mof balama Aláemit agiten 
ROM.5.14	Hani mo, kábiriŋ Adam bi ni Móis, eĉet yay egitengiten bugan bugagu sembe sasu sala yo, hani min bugo ᵽe gutilut me gatil ti gal Adam no naĉuĉ me báfirener Aláemit.
ROM.5.14	Ban Adam búnogor buomene bal an ahu aaten me ájoul. 
ROM.5.15	Bare gájalo gagu gaa gatil Adam gújuut guligori ni gaa gáji gagu go Kirista asenolal me. Maagen, gatil an anur guŋallo eĉet bugan bugagu ᵽe ; bare músum Aláemit mufaŋe ni mubaje hámma, mata gáji gagu go nasen me bugan gammeŋe, gajoumulo me ni an anur ahu Yésu Kirista, gáji gaugu go gufaŋe ᵽe. 
ROM.5.16	Ban wo gáji gaugu gal Aláemit gukane me unogorut ni wo gatil an anur ahu, aamme Adam, gukan me : bataliŋ babu bo gatil an anur biinnulo me, ni gúteh gagu gaa bitiña-fiiñ Aláemit búuñene ; bare gáji gagu go Kirista asen me, go gukane bugan bugagu n’gúni bugan gaĉole, hani min gukane me util wammeŋe. 
ROM.5.17	Maagen eĉet yay egitene sembe yo ni gatil an anur ; bare ni an anur, aamme Yésu Kirista, nuyabale wafaŋe fúf : bugan bugagu ᵽe gayab me gáji Aláemit gammeŋ mee, najogil bugan gaĉole. Ᵽan guhek eĉet yay min guroŋ ti úvi, dó ᵽe mala Yésu Kirista.
ROM.5.18	Mamu, gatil gagu gal an anur aamme Adam, go guĉile min bugan bugagu ᵽe gulo ni bataliŋ ; manur mamu may bakaner babu báari mee bal an anur aamme Yésu Kirista, bo bukan me bugan bugagu ᵽe n’gúju gúni bugan gaĉole, min ᵽoᵽ gubaj buroŋ bábaerit. 
ROM.5.19	Bugan gammeŋe guloe ni gatil mala elat éttun firim Aláemit yo an anur alale ; manur mamu may, bugan gammeŋe gubbañeni gúni bugan gaĉole bújoŋor Aláemit mala gákanum gagu go an anur ákanumol me.
ROM.5.20	Ban gúboñ gagu guĉilo, no til util waw ufaŋ me n’ummeŋe ; bare to util waw ufaŋ me n’ummeŋe, gáji gagu to gufaŋ me may n’gújaloe. 
ROM.5.21	Mamu, ti gatil gagu gugiten me sembe go sal eĉet, mo may gáji Aláemit gugiten me sembe go sal ekanolal núnial bugan gaĉole, tima nubajal buroŋ bábaerit ni búkanum bal Ataolal Yésu Kirista.
ROM.6.1	Ᵽan ñer uogal bu ? Mbi ᵽiaŋ nuh’utilal únial ró me min gáji Aláemit gufaŋ n’gújaloe ? 
ROM.6.2	Hani ! Wolal jáni me ti bugan gaĉeĉet bújoŋor gatil gagu, bu nújuale uroŋal ni go ? 
ROM.6.3	Jújumorjumor ᵽiaŋ búoh wolal ᵽe jábatisei me bi egiten gajogor gagu gololal ni Yésu Kirista, nuĉelorale ni o ? 
ROM.6.4	Min úbatiseali me, nogonogor nan nuĉelalĉet min ufogali manur ni o, min mbi Aláemit Ᵽaaya, ti nailen me Kirista ni gaĉet me ni bájalool, akanolal nuroŋal wolal may buroŋ buvugul.
ROM.6.5	Maagen mamu, íni me maer wolal ni Kirista an anur nuomale min uĉeloral me ni o, ᵽan únial may an anur n’eiloor yay ni o ni gaĉet me. 
ROM.6.6	Nuffasale búoh gániolal gaa bítinar gubbaŋibaŋ n’ekurua manur ni o, tima gáni gaugu gaamme gaa gatil n’gubao, min jamb’ubbañal únial umigel bugaa gatil. 
ROM.6.7	Maagen mamu, an aĉele ni Kirista aban, o náᵽure ni fujoh fafu faa gatil gagu. 
ROM.6.8	Nemme nuĉelalĉet manur ni Kirista, núinenale búoh ᵽan ᵽoᵽ uroŋal manur ni o. 
ROM.6.9	Ban nuffasale búoh Kirista nailoe ni gaĉet me ban mat’abbañ aĉet ; eĉet yay ebbañut éjuol wáfowaf. 
ROM.6.10	Naĉele, ban mala éᵽuren gatil gagu náĉelume ñanur ban ño bare ; maer umu m’buroŋ, ban narondoŋ bi mala Aláemit. 
ROM.6.11	Mamu ñer, buru faŋaul jujogoro ti bugan gaĉeĉet bújoŋor gatil gagu, ban ᵽoᵽ jujogoro ti bugan garondoŋ bi n’Aláemit, dó ᵽe ni gajogor gagu golul ni Yésu Kirista.
ROM.6.12	Jambi ñer gatil gagu guĉil sinilul saĉele me, ban jambi may júttun gamaŋ so gaarat me. 
ROM.6.13	Jambi jibbañ jisen sinilul gatil gagu min síni mitiguma mal ekan waf waĉolut ; bare til jisenoro buru faŋaul Aláemit ti bugan garondoŋ gáᵽullo n’eĉet, jisenol sinilul bi ekan waf waĉole. 
ROM.6.14	Maagen buru jilet ni guñen gaa gúboñ gagu, bare til ni gáji Aláemit jom ; yo eĉil me gatil gagu mati gubbañ gubaj sembe ni buru.
ROM.6.15	Ñer bu ? Ter min ulelal me ni guñen gúboñ gagu, bare til ni gáji gagu, ᵽan ᵽiaŋ utilal ? Tuᵽ ! 
ROM.6.16	Jiffasut búoh junogen me ni fimigelet fal an bi ekan wo namaŋ me, buru umigel jom bugal an ahumu o jíkanum mee ? Yaamme búoh, ter umigel jom bugaa gatil gájaenume me bi n’eĉet, ter umigel bugaa gákanum Aláemit min ajogolal bugan gaĉole. 
ROM.6.17	Usalal Aláemit ! Buru jaamen me no umigel bugaa gatil gagu, maer jíkanume ni uinumul ᵽoowo baligener babu bo guligenul me. 
ROM.6.18	Jiᵽagulo ni gatil gagu, maer buru umigel bugaa maĉole jom. 
ROM.6.19	Nilobeul maa ti arafuhow alobe me, min mbi júju jujoh ŋanno. No, jikanorokanoro umigel bugaa buroŋ bakurut, nihi jikan galego nánonan. Manur mamu, juote jíni maer umigel bugaa maĉole mamu, min mbi júju juroŋ buroŋ banabe.
ROM.6.20	No juomen me umigel bugaa gatil, utumul ulelen bo n’ekan maĉole mamu. 
ROM.6.21	Wa jibajen to ? Waf hum wo jusue mala wo jama, ban búuñenum wo bo buomme eĉet yay. 
ROM.6.22	Bare maer júᵽullo ni gatil gagu jíni umigel bugal Aláemit. Wo jibaj to me, wo uomme éni bugan ganabe, ban búuñenum babu bo buomme buroŋ babu bábaerit me. 
ROM.6.23	Maagen mamu, bacam babu baa gatil, bo buomme eĉet yay ; bare gáji gagu go Aláemit asenolal me, go guomme buroŋ babu bábaerit me ni búkanum baa Yésu Kirista aamme Ataolal.
ROM.7.1	Gutiom, wo nijaeul me elob níinene jiffas wo jiban, mata jiffase gúboñ gagu : gáboñ gubabaj sembe ni an nánonan no naam ni buroŋ. 
ROM.7.2	Mamu anaare áyaboe gáboñ gagu guhogolhoh n’áinol nánonan no áine ahu aam ni buroŋ ; bare eno áinol naĉele, náᵽure ni gáboñ gaugu. 
ROM.7.3	Eno nábahobaho áni aar ánaine ace áinol m’buroŋ, ᵽan gujogol an akane gatil gaa búyabo ; bare eno áine ahu naĉeĉet, náᵽure ni gáboñ gaugu : abbañ me áyabo n’ace áine, mat’abaj ñer gatil gaa búyabo.
ROM.7.4	Gutiom, manur mamu may, buru bugan gaĉeĉet jom manur ni Kirista bújoŋor gúboñ gagu. Maer gajogor gavugul jibaje, gaamme ni Kirista ailo me ni gaĉet me, tima nújual ukanal waf wásume Aláemit. 
ROM.7.5	Maagen mamu, no nuomenal me ni buroŋ babu bal ekan wo gániolal gal arafuhow gumaŋ me, gúboñ gagu n’guinnul ni sinilolal bakaner babu baarat me bájaenume me bi n’eĉet. 
ROM.7.6	Bare maer núᵽurale ni fujoh fafu faa gúboñ gagu, mata núnialni ti bugan gaĉeĉet bújoŋor go. Kan ñer nújuale urokal bi n’Aláemit : let ti no, no nuomenal me ni fujoh fafu faa gúboñ gagu gaa 
ROM.7.7	Ᵽan ñer uogal bu ? Gúboñ gagu gatil ᵽiaŋ gom ? Hani ! Bare ni gúboñ gagu níffasum me gatil. Maagen mamu, mat’iffasen gaija ínien me gúboñ gagu guogut : « Jamb’ubaj gaija bi ni waf apali
ROM.7.8	Gatil gagu gubabaj bulago bo gúboñ gagu gúji go bi ebuh n’ínje bakaner babu ᵽe baa gaija. Maagen mamu, bajenut me gúboñ, gatil waf waĉele wom. 
ROM.7.9	No, no gúboñ gagu gubajenut me, nirondoŋ ; bare no gúboñ gagu guĉilo me, gatil gagu n’gúbbañul guroŋ, 
ROM.7.10	min ínje íbbañul iĉet. Mamu, gúboñ gagu gaaten me gújaenumom mbaa buroŋ, go til gújaenumom me mbal eĉet. 
ROM.7.11	Maagen gatil gagu gubabaj bulago bo gúboñ gagu gúji go n’gubutom, ban ni gúboñ gaugu, gatil gagu gumugumom me.
ROM.7.12	Nuffasale búoh gúboñ gagu faŋago go gunanab, gurim gagu gal Aláemit gunanab, n’guĉol ban n’gúari. 
ROM.7.13	Min ᵽiaŋ waf wauwu wáari mee ubbannobañ úni gáĉelum bi n’ínje ? Hani ! Gatil gagu go til gujae me eĉilom niĉet. Gugitengiten sembe gáni go ᵽooso : waf waw wáari me guŋare min gúŋarul eĉelom. Ban maumu, ni bakaner baa gúboñ gagu, gatil gagu gubbanno me gufaŋ n’gubaje sembe.
ROM.7.14	Maagen mamu, nuffasale búoh gúboñ gagu ni Biinum babu bal Aláemit gujoumulo. Bare ínje arafuhow nem, amigel ala gatil gagu. 
ROM.7.15	Maagen mamu, ijogut wo nikane me : wo nimaŋ me, ikanérit wo, bare wo nimaŋut me, wo til nikane me. 
ROM.7.16	Eno maarat mamu mo nikane me imaŋut mo, dáuru digitengiten búoh niruhenduhen gaa búoh gúboñ gagu gúariari. 
ROM.7.17	Kan ñer let ínje ikane waf wauwu, bare gatil gagu gaamme n’ínje. 
ROM.7.18	Maagen, niffase búoh min íni me arafuhow, maaro milet n’ínje. Nibaje gamaŋ gagu gal ekan maaro mamu, bare ibajut gáju gagu gal ekan mo : 
ROM.7.19	ikanérit maaro mamu mo nimaŋ me, bare til maarat mamu mo nimaŋut me, mo nikane me. 
ROM.7.20	Eno maarat mamu mo nikane me imaŋut mo, dáuru ñer digitengiten búoh let ínje ikane waf wauwu, bare gatil gagu gaamme n’ínje.
ROM.7.21	Niffase ñer waf wauwe : ínje amaŋ me ekan maaro, maarat bare níjue ikan. 
ROM.7.22	Ni biinumom ᵽoobo, gúboñ gagu gal Aláemit gúsumomsum nár. 
ROM.7.23	Bare nijuge ni gániom gal arafuhow gáboñ gace gaam n’etigen gagu go gaᵽinorom gubaj me. Gáboñ gaugu gukanomkan níni amigel ala gatil gagu gaamme n’ínje. 
ROM.7.24	Injé arafuhow nijumo ! Ay ᵽan aᵽagenom me ni gáni gauge gaamom maa n’éjaenum bi n’eĉet yay ? 
ROM.7.25	Aláemit asaleni ni gajow gaa Yésu Kirista aamme Ataolal !
ROM.7.25	Mamu ñer, ni biinumom, ínje amigel ala gúboñ Aláemit nem, ban ni gániom gal arafuhow, ínje amigel ala gatil nem.
ROM.8.1	Maer ñer bitiña-fiiñ Aláemit mati buya ni bugan bugagu gaamme ni Yésu Kirista. 
ROM.8.2	Maagen mamu, Biinum
ROM.8.3	Gúboñ 
ROM.8.4	Dó ᵽe min mbi maĉole mamu mo gúboñ gagu guroren me mukano ni wolal, wolal jaroŋ me ti Biinum Banabe bumaŋ me, bare let ti gániolal gal arafuhow gumaŋ me.
ROM.8.5	Maagen, bugan bugagu garoŋe me ti gániil gal arafuhow gumaŋ me, gaᵽinoril ᵽe ni waf waw waa gáni gaugu guyae, bare bugagu garoŋe me ti Biinum Banabe bumaŋ me, bugo til gaᵽinoril ᵽe ni waf waw waa Biinum Banabe guyae. 
ROM.8.6	Ban eno gaᵽinor an guyae ni waf waw waa gániol, gaᵽinor gaugu ᵽan gújaenumol mbal eĉet ; bare eno guyae ni waf waw waa Biinum Banabe, ᵽan gújaenumol mbaa buroŋ ni gásumay. 
ROM.8.7	Maagen an ahu o gaᵽinorol guya me ni waf waw waa gániol, o alator Aláemit nam, min ákanumerit me wo gúboñ Aláemit gulob me, ban ájuut ákanum go hani jatiito. 
ROM.8.8	Yo eĉil me bugan bugagu gaamme ni fimigelet faa gániil gal arafuhow gújuut gúsum Aláemit.
ROM.8.9	Buru, nemme Biinum Aláemit ubu ni buru, jilet ni fimigelet faufu, bare til ni faa Biinum Banabe jom. An ayabut me Biinum babu baa Kirista, o alet ola. 
ROM.8.10	Bare íni me Kirista umu ni buru, hani sinilul ᵽan siĉet mala gatil gagu, Biinum babu baamme ni buru ᵽan bukanul n’juroŋ, mata bukanulkan n’jíni bugan gaĉole bújoŋor Aláemit. 
ROM.8.11	Ban, íni me Biinum babu bal An ahu ailen me Yésu ni gaĉet me ubu ni buru, An ahumu, ti nailen me Kirista ni gaĉet me, ᵽan may asen sinilul saĉele me buroŋ, ni búkanum baa Biinumol baamme ni buru.
ROM.8.12	Mamu ñer, gutiom, nubajale waf wo nuotale ukanal ; uotutal uroŋal ti gániolal gal arafuhow gumaŋ me. 
ROM.8.13	Juroŋ me ti gániul gal arafuhow gumaŋ me, ᵽan jiĉet ; bare íni me ni búkanum baa sembe saa Biinum Banabe jumuge bakanerul baarat me bal arafuhow, ᵽan juroŋ. 
ROM.8.14	Maagen mamu, bugan bugagu gahat me Biinum Aláemit min bíĉibbenil, bugo, guñol Aláemit gom. 
ROM.8.15	Biinum babu bo Aláemit asenul me bukanutul n’jíni umigel min mbi juroŋ ni gáholi, bare til bukanulkan n’jíni guñol Aláemit ; bo bukanolal nuh’uŋanal uogal : « Abba
ROM.8.16	Biinum Banabe faŋabo bigitengiten uinumolal búoh wolal guñol Aláemit nuomale. 
ROM.8.17	Ban, min uomal me guñol Aláemit, kan may ufumaol nuomale : nubajale gafum n’Aláemit manur ni Kirista. Iní me maagen ᵽan úlamal ti aĉila álam me, mo may ᵽan únial me ni gasalol manur ni o.
ROM.8.18	Níineyinen búoh sílamolal saa jama an ájuut aligor so ni gasal gagu go Aláemit ajaolal me egiten. 
ROM.8.19	Báuwener babu ubu n’enah ni sommen ró no Aláemit ajae me éᵽunnul gasal gagu gaa guñolol agiten. 
ROM.8.20	Báuwener babu bulolo ni bulago babu baa gahajen. Dáuru let mata búoh bo faŋabo bumaŋ yo, bare Aláemit abet bo ni bulago baubu. Bare roŋe n’ebaj gafium bi ni bo : 
ROM.8.21	gafium gaugu go guomme mbi funah fice báuwener babu m’buᵽah ni fimigelet faufu faa gahajen, ban m’bubaj fugab ni gasal gagu go guñol Aláemit gunage me.
ROM.8.22	Nuffasale maagen mamu búoh bi funah faa jama, báuwener babu ᵽoobo ubu n’éil ban ni búlam ti anaare aam ni gapegor ; 
ROM.8.23	bare mati ní bo bare : wolal jabaj me ᵽan Biinum Banabe baamme fugab fítiar fal úji Aláemit, núilaleil ᵽoᵽ ñáraruolal wolal n’enah funah fafu fo Aláemit ajae me egiten búoh wolal guñolol nuomale, ban naᵽagenolal bándor ni fimigelet fafu. 
ROM.8.24	Kábiriŋ no Aláemit aᵽagenolal me, wolal ubugi nubaŋale gafiumolal ni gaᵽah gaugu gaa bándor. Ban ujugal me waf waw wo nufiumal me ni wo, mati bañ ní gafium : wo nujugal me, nújuale ᵽiaŋ uroŋal n’efium wo ? 
ROM.8.25	Bare ufiumal me ni wo nujugerutal me, ᵽan ñer unagal wo ni gaaken dó.
ROM.8.26	Mo may, Biinum Banabe burambenolalramben mala gabajutolal sembe : uffasutal hani wa nuotale úcinal wolal ni galaw. Biinum Banabe faŋabo bulaelaw mololal ni báiler bo an mát’áju agiten ; 
ROM.8.27	ban Aláemit o náh’álingen me waamme n’uinum bugan bugagu, o naffase wo Biinum Banabe bulae me : bulaelaw ti Aláemit amaŋ me bi mala buganol.
ROM.8.28	Nuffasale ᵽoᵽ búoh waf waw ᵽe úuñewuñen n’esen gásumay bugan bugagu gamaŋ me Aláemit ; bugan bugaubugi, Aláemit navogilvoh ti nakiĉ yo me. 
ROM.8.29	Bugo naᵽi me naĉob, nakiĉilkiĉ min mbi gúni ti Añolol, min mbi Añolol ahumu áni añil átiar ni gutiay gammeŋe. 
ROM.8.30	Ban bugo nakiĉ me, navogilvoh may ; bugo navoh me, nakanilkan n’gúni bugan gaĉole bújoŋorol ; ban, bugo nakan me n’gúni bugan gaĉole, nakanil may n’gunamo ni gasal gagu gola.
ROM.8.31	Wa ᵽan utajenal ugitenal ñer ni elob yauyu ? Iní me Aláemit umu búsololal, ay ájue alalolal ? 
ROM.8.32	Aĉila atiut me Añolol faŋaol, bare til nabelol n’eĉet mololal wolal ᵽe, bu nájue mat’asenolal may waf waw ᵽe ni o, dó ᵽe mala músumol ? 
