MAT.1.1	Gëtabu ga mwango wamwa Yesu Kiristo, mwana wamwa Daudi, mwana wamwa Iburahamu. 
ACT.27.2	Guyanatëa mweeri amwa Adiramito, unë arë ë muhënjo gwenda u minji në umpeompeo a irambo ra Asia. Sese gugaandya muhënjo girambo, Arisitariko muntu wa u Makedonia ufuma uTesalonike agakhuvëa nasee mung'ë a muhënjo uruu. 
ACT.27.3	Fadiu ayo gugafika uSidoni. Yulio agamutenda Faulo ija, na agamurekea mweeso ende uvaona anyambuya vakwe na ende uhanga mantu në arë uyasëghëte. 
ACT.27.4	Ufuma haafo guganatëa meeri gugakëërëa uKupuro, ng'ë nëëmukhatëkhatë a irambo, gusoko mpefo arë yukunka hiya na sese. 
ACT.27.5	Na naarë sese gwatambuka guuvaru wa irambo ra uKilikia nane Famfulia, sese gugafika faka u Mira, muji në wëmukhatë a Lukia. 
ACT.27.6	Haafo müküü në munyui wa asikai agahanga meeri ëmwedu a uAlekisanderia naarë injë Italia, na agagunatëya sese. 
ACT.27.7	Gugenenda muhënjo witu mpoampoa gwa matiku maingë, na gugafika gwa makhasëko guuvaru wa uNido, na mwino nkungu ëgagughëëya sese ufwaghëëra na muhënjo, gugaenda uKirete guuvaru wa uSalimone. 
ACT.27.8	Gugakëëra u mpeompeo a irambo gwa makhasëko, gugafika gitumbë nërëutaanwa Bandari
ACT.27.9	Mwino itungo ririfu arë rayaghaa, na muhënjo arë wajaa wina holota gusoko itungo ra ufunga arë rakëa, Faulo agavafa anyamuh'enjo usëyi urui, 
ACT.27.10	uguhanya, “Aküü, naona mwino muhënjo winjë utendeka wina uruëki nanë ukhafëki wingë, tiese gwa mëëgho gutufu nanë meeri, ëgweeso noo na gwa uduvi witu.” 
ACT.27.11	Ëgweeso müküü wa asikai në munyui agaghëmba gëtwë ino kunë mufotya meeri nanë mughonjo wa meeri ukëa mwino Faulo wahanyiye. 
ACT.27.12	Na gusoko bandari* arë itinoneye gikhaa itungo ra mpefo, antu vaingë vëgaona vija vëheghe haafo, vafwaghëëre na muhënjo nëyudahëkëka vafike faka uFoinike, bandari* në a uKirete, nëëkengee mpeo a gukuma në a ukiya nanë mpeo a utaghana në a ukiya, gusoko vadahe gikhaa haafo itungo ra mpefo.
ACT.27.13	Nanë aarë mpefo nëëfumie utaghama ëgaandya ukunka mpoampoa, veeso vëgaghema mwino vahangaa ndolyo awe. Veeso vëgaheya igwe ra usimëya meeri vëgaenda vinjë uKirete, fifë na u mpeo a irambo. 
ACT.27.14	Ëgweeso itungo rikufëi nkungu në nküü ino, nëëgwëtaanwa gukuma në a ukiya, ëgaandya ukunka ufuma u ng'ë në nkaku. 
ACT.27.15	Nanë aarë meeri akwatwa na uremwa gihoma na nkungu, gugamërekea na gugatowa kunë meeri asëë injë. 
ACT.27.16	Na gugakëa fang'ë gikëngëyo ga gatumbë në ganyui nëgëmukhatëkhatë a irambo rina rayo Kauda, gudahe urëeta ifango rasëë ra masua ëgweeso gwa ukhasëki üküü. 
ACT.27.17	Veeso vëgamëuta masua unto a meeri na vëgamëtungëëra na maghavaa. Uvii, vëgaoghofa vataje veeso vaje uhoofea girundo ra mahanganga nërëutaanwa Siriti, veeso vëgasimia igwe ra uëmëchëya meeri na vëgamëreka meeri ëambamywe na nkungu. 
ACT.27.18	Mwino sese arë gukhuwa gwa nguu a nkungu, fadiu ayo veeso vëgaandya ujughuta mëëgho unji. 
ACT.27.19	Na itiku ra gatatu veeso gwa mëkhono ao vëgajughuta maife a meeri. 
ACT.27.20	Nanë aarë mbesa yuva mba njota itinagighea gwa matiku maingë, nkungu nküü ëgafwaghëëra ukunka ino, nkumbu ya utyoeka igaguhirëa.
ACT.27.21	Mwino veeso vinalia malëwa gwa itungo ririfu, Faulo agaëmëka usonge mukhatë ao na agahanya, “Aghosya, nyenye arë mufenjiwa muntegheeye nene, na naamutiufenjiwa uandya muhënjo ufuma uKirete na uhanga nkhomee ëyëë nanë ukhafëki urui. 
ACT.27.22	Itungwee nene ngumuromba mukhamie nkhoo. Gusoko gutie mukhatë anyu nyenye nëukuya, ëgweeso meeri gutufu ëuruëka tukutuku. 
ACT.27.23	Gusoko utiku urui wa reo waëmëkaa fifë nanee malaëka wa Muungu në nene në wakwe na nene ngumukuryaa, 
ACT.27.24	na mweeso agahanya, ‘Utaoghafee, Faulo inoneye veve wëmëke usonge amwa Kaisari; na raava, Muungu wagufee veve vasaa voong'e në mwë muhënjo umwe navee.’ 
ACT.27.25	Uvii khamii nkhoo, aghosya, gusoko nëkweti uhuvëi kunë Muungu mwino ëutendeka viuyi mwino arë mweeso wankhanëe. 
ACT.27.26	Ëgweeso sese gwinje uhunuwa gunto a itumbë rëngëja nërëmukhatëkhatë a irambo.”
ACT.27.27	Naarë utiku wa itiku ra ikumi na gane rafika, mwino sese arë gumanchiywe girambo ra Adiriano, gënya utiku wa mukhatë atendi mwëëmo va u meeri vëgaghema anju urë gwahumbea ung'ë në nkaku. 
ACT.27.28	Uvii veeso vëgafiima gëjota ga majë ga girambo vëgahanga mita makumi ane; gukufëi vëgaghumëa kangë gëfimo na vëgahanga mita makumi atatu. 
ACT.27.29	Na gwa goghoofa mwino fangëja meeri injë utua ng'ongo ya mung'ë a majë, veeso vëgasimia magwe ane a uëmëchëya meeri unyuma a meeri, na vegaromba uche urë. 
ACT.27.30	Na mwino atendi mwëëmo va u meeri arë vëufenja utëja, na vegaghumëa masua girambo, gwa gitendya mwino vegaghumëa igwe ra umëmechëya meeri, 
ACT.27.31	Faulo agamukhanëa müküü në munyui wa asikai nanë asikai, “Nëmbesa antu avai vadëa usagha mung'ë a meeri, nyenye mutiudaha utyoeka.” 
ACT.27.32	Uvii asikai vëgatëna maghaava a masua, na vëgamëreka nyeeso ende.
ACT.27.33	Mwino arë gwahumbea ucha, Faulo agavanena veeso voong'e ulya malëwa, uguhanya “Reo në itiku ra ikumi na gane në nyenye mwafwaghëëra udëa ulya gëntu mbanduvë. 
ACT.27.34	Gwa uvii nene ngumunena nyenye mulye malëwa; ërëi rinjë umufa nyenye nguu, gusoko gutie ujëë mpa rumwe nëuguyaghaa ufuma gitwe ra umwedu mukhatë anyu.” 
ACT.27.35	Nanë aarë mweeso warighëëtya uyi, agahoa mukaate, na gwa ufunya asi kunë Muungu usonge ao voongë agauaghania na agaandya ulya. 
ACT.27.36	Uvii veeso voong'e vëgakhamia nkhoo na vëgalya malëwa veeso aghonjo. 
ACT.27.37	(Sese soong'e arë gwë antu maghana avëë na mutandatu mung'ë a meeri.) 
ACT.27.38	Nanë aarë veeso valya vikuta, vëgakefia urito wa meeri, gwa ughumëa ngano mung'ë a irambo.
ACT.27.39	Në naarë wacha, atendi mwëëmo va u meeri vënamanyaa ng'ë asëë, ëgweeso veeso vëgaona ikungughu itambëëmwe na mahangahanga, unë veeso vëgaramwua nëmbesa yudahëka vëmëtoe meeri vende umëhaghamëya u mpeo a irambo. 
ACT.27.40	Uvii veeso vëgaghumëa magwe a umëmëchëya meeri vëgareka mung'ë a irambo, na itungo ërëëro ërëëro vëganyonyoa maghaava në atungie ifoteo; uvii vëgahumbua unto mwenda në urifu wa ukënaëëya nkungu na vëgaghooka u mpeo a irambo. 
ACT.27.41	Vëgafika kunë mëomo ëvëë a marambo ëtuanëye. Ëgweeso meeri ëgatua irundo ra mahangahanga na vëgaghumëa intu në irito fang'ë. Songe a meeri ëgahoofea na ëgaremwa utunguya, na nyuma a meeri ëgatamuka mafëgha gwa utuwa na nguu ya mafefe a nkungu. 
ACT.27.42	Na asikai vasaa arë vina mufango wa uvauragha atungwa, muntu nanë umwedu ataje ambame na utëja. 
ACT.27.43	Ëgweeso müküü në munyui wa asikai, gwa ufenja umutyoa Faulo, agavaraghëëya veeso vatatende mwino arë mufango wao urë. Mweeso agavaraghëëya vasaa nëvadahëte uambama vighumëe tanju aghonjo vakengee ung'ë në nkaku, 
ACT.27.44	na vangëja nënaa vasaghaa, vangëja vëganatëa u mafango na vange vëganatëa u mafëgha a meeri. Na uvii antu voong'e vëgatyoeka vëgafika u mpeo a irambo gwa majëghana.
ACT.28.1	Narë sese gwatyoeka, uvii sese gugamanya mwino itumbë rasee nënaa rë mukhatëkhatë a irambo arë rëutaanwa Malita. 
ACT.28.2	Na anyang'ë va ung'ë asëë vëgaguraghëëra sese gëhëë gëkuu, gusoko veeso vëgagufembeya moto na vëgagughenyifa sese song'e, gusoko mbua ëgaandya ukhua na arë mpefo. 
ACT.28.3	Faulo agahangwëya gëringa ga nkwë na agagëghumëa u moto, njokha ëgafuma unji a gëringa gusoko a mututu wa moto na ëgamutunga Faulo u mukhono. 
ACT.28.4	Naarë aghonjo va ung'ë asëë vaona njokha asëë ëning'ënie u mukhono wakwe, veeso vëgagikhanëa mu muntu na muuyakwe, “Gutie ntenga muntu uyi urë wauraghie muntu. Nambesa mweeso wafonie ufuma u hotota agirambo, tutë ëtiumurekea mweeso aduve.” 
ACT.28.5	Mbesa uvii, mweeso, agamëfaghwëëra njokha u moto na ainavarywa mpa gunyui. 
ACT.28.6	Veeso vëgarindëa, vëughema mwino mweeso uguimba mba ugwa fang'ë gënyahaafo na ukuya. Ëgweeso naarë vaindëa gwa itungo ririfu na vëgaona gutie intu në ivë nëramuhangaa, veeso vëgafeura masëgho ao na vëgahanya mwino mweeso arë muungu.
ACT.28.7	Na fifë na itumbë rasëë arë gwina mëghunda a mutemi wa itumbë rasëë, në rëmukhatëkhatë a irambo, rina rakwe Fubulio. Muntu uyi agagughenyifa sese na agagutendea gëhe gëkuu gwa matiku atatu. 
ACT.28.8	Ëgadwëëra mwino ihe wamwa Fubulio arë uree uwaire na ugufanja saghami. Na Faulo againgëa mung'ë a nyumba na agaromba, na agaëka mëkhono akwe unto akwe na agafora. 
ACT.28.9	Nanë aarë ërëë ratendeka, antu vangëja në va gitumbë rasëë unë arë vakweti arue noo vëgaja na vëgaforiwa. 
ACT.28.10	Veeso vëgagufa sese zawadi nyingë. Nanë aarë sese gwauka, veeso vëgaëka unto a meeri mu gëntu në sese arë gugësëghëte.
ACT.28.11	Naarë meeri ëtatu akëa sese gugauka na meeri a Alekisanda, në arë ikhaire gitumbe rasëë itungo ra mpefo. Na gëmanyëko ga meeri arëë Aruna va Mafaha. 
ACT.28.12	Gugafika u muji wa uSirakusa, sese gugagikha haafo matiku atatu. 
ACT.28.13	Ufuma haafo gugafimuka na gugafika uRegio. Na nënaa rakëa itiku rëmwedu nkungu a utaghama ëgakunka, na itiku ra gavëë sese gugafika uPuteoli. 
ACT.28.14	Haafo gugahanga ahuvëi, na vëgagughenyifa sese na gugagikhaa itambëëmwe na veeso gwa matiku mufungatë. Na vii sese gugafika uRumi. 
ACT.28.15	Na ahuvëi va kuuko, naarë veeso vagutegheeya sese, vëgaja ugusëngëëya sese faka uSoko ra Apio, na uMëgakhawa a Etatu Aghenyi utang'ana ginao. Naarë Faulo wavaona veeso agamurumba Muungu na agahanga nguu. 
ACT.28.16	Nanë aarë sese gwafika u muji wa uRumi, Faulo agayanjëywa gikhaa mweeso iyenedu, itambëëmwe na musikai umwedu wa umughoja.
ACT.28.17	Naarë matiku atatu akëa Faulo agavaëtana itambëëmwe atongeeri va Ayahudi; nanë aarë veeso vihangwëya, mweeso agavakhanëa, “Aruna ane, nambesa nene ntinatendaa gëntu nëgëhiya na antu mba ntende ya vatata vitu, kë nene ngakwatwa nëtungiwe ufuma uYerusalemu na ngaëkwa u mëkhono a aRumi. 
ACT.28.18	Naarë veeso vambuënkëya nene, vëgafenja untungwëra nene, gusoko na gutie soko a umburagha gusoko a isauri rane ërëi. 
ACT.28.19	Ëgweeso naarë Ayahudi vahita nene nëtungwërwe, nene nëgaumëëywa uromba nende utegheeywa na Kaisari, nambesa arë ntikweti intu ra usitaaka ndughu ane. 
ACT.28.20	Gwa uvii gusoko ëyëë nene narombaa gutang'ane ginanyu na urighëëtya itambëëmwe nanee, vii në gusoko a ighonje ra Isiraeli uvii nene nëtungiwe itambëëmwe na mëkhua ëyëë.” 
ACT.28.21	Na veeso vëgamukhanëa, “Sese gwinahangaa keeti ufuma u Yuda nëigughokee vee, na gutie munyandughu mba umwe nëwajie hafai ueta sayu nëmbë nëëgughokee veve. 
ACT.28.22	Ëgweeso sese gwina nkumbu utegheeya ufuma kunë veve mwino masëgho ako arë; gusoko gwa uhonga na ikhakho ërëi sese gumanyie mwino ng'andë yoong'e antu vëurërighëtya ivë.”
ACT.28.23	Naarë veeso vaëka itiku ra utaana ina Faulo, vëgaja kunë mweeso fana në arë ugikhaa, iburi riküü ra antu. Na ufuma diu faka mpëndë agavadonëa daaji mantu, uguvasudangëa sayu nëëghokee utemi wa Muungu. Mweeso agaëghëëya uvafema veeso vayanje sayu nëëmughokee Yesu uguvaraghëëra ufuma seria amwa Musa nanë ufuma anyagëdaghu. 
ACT.28.24	Na vangëja vëgarumëya asaa naarë mweeso ugurighëëtya, kunu vangëja vinahuvëa. 
ACT.28.25	Uvii, mwino veeso vëgadëa giyanjëya mukhatë ao aghonjo, veeso vëgauka vëgaenda kunë vinjë, naarë Faulo warighëëtya ukhani rumwedu, “Mwahu Mweru ainahutya nëuguhanya kunë vatata vanyu ukëërëa munyagëdaghu Isaya:
ACT.28.26	‘Endi gwa antu avai, na uhanya,
ACT.28.26	Nyenye mwinjë utegheeya tutë ëgweeso
ACT.28.26	mutiumanya kamwe,
ACT.28.26	na nyenye mwinjë urarava tutë ëgweeso
ACT.28.26	mutiona kamwe.
ACT.28.27	Gusoko nkhoo ya antu avai yatendëkie mputu,
ACT.28.27	na matwë ao maito gwa utegheeya,
ACT.28.27	na miho ao akunëkiwe,
ACT.28.27	mbesa veeso vëtaje uona gwa miho ao,
ACT.28.27	na vataje utegheeya gwa matwë ao,
ACT.28.27	na vataje umanya gwa nkhoo yawe,
ACT.28.27	vafëtuke kunë nene na uvaforya veeso.’
ACT.28.28	Uvii nëëmanyëke kunë nyenye mwino utyoi urui wa Muungu watuwe gwa antu va ndughu ingëja nëti Ayahudi. Veeso vinjë utegheeya.” [ 
ACT.28.29	Faulo naarë wadaha urighëëtya uyi, Ayahudi vëgatunguya, kunu vëgikünguma gwa ukhai veeso gwa veeso.]
ACT.28.30	Na mweeso agagikhaa kuuko mëakha ëvëë oong'e gwa girëfeya hela ya nyumba mweeso mughonjo. Mweeso agavaghenyifa voong'e unë vajie kunë mweeso, 
ACT.28.31	ugutanantya utemi wa Muungu nanë usëya sayu nëëmugokee Yesu Kiristo gwa daaji na uhaghaaro.
ROM.1.1	Faulo, mutumwa wa Yesu Kiristo, waëtaniwe atendeke mutumami, nëwahwaniywe gusoko a Sayu Njija a Muungu. 
ROM.1.2	Muungu mweeso waraghanie ufuma khae ukëërëa anyagëdaghu vakwe mu maandëko në meru. 
ROM.1.3	Sayu Njija nëëmughokee Mwanakwe, unë arë ufafo ufuma kunë Daudi gwa uhanga na mwëërë. 
ROM.1.4	Mweeso agahwaniwa Mwana wa Muungu mung'ë a udaho gwa uhonga na Mwahu wa weru gwa ufetyo wakwe ufuma gwa kuyi, Yesu Kiristo Müküü witu. 
ROM.1.5	Gwa ukëërëa kunë mweeso sese gwaghenyifie mboto nanë utumumami gwa gweeta ikuryo ra uhuvëi ra uhuvëi gusoko a rina rakwe mukhatë a ndughu yoong'e. 
ROM.1.6	Gwa ukhuvëywa aghonjo unë mwaëtaniwa mutendeke antu vamwa Yesu Kiristo.
ROM.1.7	Uvii, ngumwandëkëa nyenye nyoong'e në mwëkuuko uRumi, ayanjwi va Muungu, nëmwataaniwe mutende antu vakwe: Mboto nanë majëghana ufuma kunë Muungu Tata witu nanë Müküü Yesu Kiristo ëtendeke kunë nyenye.
ROM.1.8	Mwandyo wa oong'e, ngumurumba Muungu wanë gwa njëa amwa Yesu Kiristo gusoko anyu nyoong'e, gusoko uhuvëi wanyu utegheeyeekie urëmi woong'e. 
ROM.1.9	Gusoko Muungu në masudanga wane, unë nene ngumwitumëkëa itambëëmwe munkhoo ane mung'ë a Sayu Njija a Mwanakwe, uvii nene faka ntinarekaa umutaana nyenye mung'ë a marombi ane. 
ROM.1.10	Nene nguromba mwino gwa mafenji a Muungu nene itungwee mwitungo ra umpeo nëdahe uja kunë nyenye. 
ROM.1.11	Gusoko nëhuunukiwe ino umwona gwa mafenji a Muungu nëdahe umufa gëfewa ga munkhoo ga umukhomia, 
ROM.1.12	gwa uvii, guje gëkhomia, gwa uhuvëi wa muu muntu, uhuvëi wanyu unkhomie nene, nanë wanë umukhomie nyee.
ROM.1.13	Aunaanë, ngufenja mumanye mwino mëhënjo mingë nafenjie uja umusoya (ëgweeso faka itungwee nagëëywe), gusoko a uhanga ntënange mukhatë anyu na mukhatë a antu va Ndughu ingëja. 
ROM.1.14	Nene nëonyenywe kunë Ayunani nanë kunë asenji, na kunë anya mahaa nanë kunë afutu. 
ROM.1.15	Uvii nëna nkumbu utanantya Sayu Njija kunë nyeenoo në mwë uRumi.
ROM.1.16	Gusoko ësëë nene ntina mënyaa gwa Sayu Njija: unë nguu ya Muungu gwa utyoi gwa muu muntu nëwina uhuvëi, gwa Muyahudi tanju kangënoo gwa Muyunani. 
ROM.1.17	Gusoko mukhatë ayo weru nanë tutë a Muungu wakunukuwe gwa njëa a uhuvëi gwa uhuvëi, mwino yiandëkiwe, “Wasuu në gwa njëa a uhuvëi unë mweru na wë mututë wasuu uguduva.”
ROM.1.18	Gusoko ikuwo ra Muungu rakunukuwe ufuma girunde hiya na voong'e nëvëtiumukuryaa Muungu nanë uvaya wa antu unë gwa uvoya wawe vëumëkunëkëa tutë. 
ROM.1.19	Gusoko oong'e nëëgudaha umanyëka nëëmughookee Muungu ëë daaji kunë veeso, gusoko Muungu wayakunukue. 
ROM.1.20	Udua fana Muungu watundie urëmi udaho wakwe wa khae na khae nëutigoonekaa, uu nguu na urungu wakwe wa khae oong'e, wamanyëkie daaji gwa mantu në atundiwe. Gwa uvii, vëtina njëa mbanduvë a ginegha. 
ROM.1.21	Gusoko, nënaavamumanya Muungu vëgadëa umukurya mwino mweeso unë Muungu mbesa umurumba, ëgweeso vëgayaghaa mu mëbëëduko awe në ti atutë, na nkhoo yawe niina ufutu ëgatendeka kiti. 
ROM.1.22	Vëgitendaa mwino vina ihaa ngwë afuu. 
ROM.1.23	Na veeso vëukhanëkëya üküü wa Muungu nëatiukuyaa gusoko a sanamu
ROM.1.24	Gwa uvii Muungu agavareka munkumbu ya nkhoo yawe, vëuwuhonga uvë, nanë gëtendea mantu a mënyaa tutë mëërë awe. 
ROM.1.25	Gusoko vëgakhanëkëya tutë nëëmughookëe Muungu gwa weegheeghe na vëgakurya na utumamëa ntundo hiya na Matunda, wasuu nëunoneye ukutwa khae na khae! Amina.
ROM.1.26	Gusoko ëyëë Muungu agavareka vëhonge nkumbu nëtiyaikuryo. Akhema awe vëgakhanëkëëya ntendo nëinoneye na ntundo a mëërë awe gwa ësëë nëyitinoneye mu ntundo. 
ROM.1.27	Aghosya noo vii uvii, vëgareka uhonga ntendo ya ntundo a mughosya na mukhema vëgihuunukwa veeso gwa veeso. Aghosya vëgitendea mantu a mënyaa veeso gwa veeso vëgahanga munkhoo yawe asaa nënaaëvagwëëre mu uyaghoo wawe.
ROM.1.28	Na gusoko antu vëgahita umumanya Muungu mu mahaa awe, Muungu agavareka vëhonge mahaa awe a futu, vëyatende nëëtivanoneye. 
ROM.1.29	Veeso arë vijuwe itambëëmwe na mantu oong'e a uvë, uvayo, uhunukwi, uvaya. Vijue wiru wuraghi, wikhuvi, wegheeghe, nkhoo nëmbë, veeso në ateti antu, 
ROM.1.30	atendereyi nanë vëmuhwëte Muungu. Antu në vëtina untu, anya gëdida, anya gitenda, anya utunda në mavë nanë vëtiakuriye afafi vawe. 
ROM.1.31	Veeso afutu, vëtina uhuvëi, vëtina nkhoo në njija nanë antu nëvëtikeere antu. 
ROM.1.32	Mbesa vëmanyie ino maragheeyo a tutë wa Muungu, mwino anya uyatenda asaa ivanoneye ikuya, veeso vëtëuyatenda asaa gutufu, ëgweeso vëgiyanjëyaa na vasaa nëvëuyatendaa.
ROM.2.1	Uvii utiudaha ginegha, vee mwaamuntu, veve mba wëë wurë nëugumuramuëya ungëja, gusoko gwa umuramuëya ugiramuëya veve mughonjo soko veve, muramui, uguyatendaa mantu ayaayo. 
ROM.2.2	Gumanyie mwino uramui wa Muungu gwa vasaa nëvëutendaa mantu asaa unë uramuë wa tutë. 
ROM.2.3	Vee mwaamuntu nëuguvaramuëya vasaa nëvëutendaa mantu mwino asaa në veve noo uguyatendaa, wurë, uguwinegha uramui wa Muungu na? 
ROM.2.4	Mba ruvëë utiuwukeera uja wakwe në uküü na ughimëëyi wakwe? Utimanyiena mwino ufoo wa Muungu wina riana ra ugutongeera veve mu ufei? 
ROM.2.5	Ëgweeso ukaku nanë gëdida ga nkhoo ako ugërundëërëya uramui në ukharë kunë veve mughonjo gwa itiku ra ikuwo ra Muungu na uramuë wakwe wa tutë në ujie ukunukuwa. 
ROM.2.6	Gwa uvii ujie umurëfa muu muntu uhonga na ntendo yakwe: 
ROM.2.7	Vasaa në gwa ughimëëyi vëutendaa në maja na uwufenja weru nanë ikuryo ra Muungu nanë udëaukuya, uguvafa ufanga wa khae na khae. 
ROM.2.8	Ëgweeso vasaa nëvëtiumëhongaa tutë ëgweeso vëuhongaa uvë gujeutendeka gwina ikuwo ra Muungu ra uramui. 
ROM.2.9	Guutendeka gwina makhasëko na siida gwa muu muntu nëugutendaa ubë. Muyahudi mwandyo na Muyunani noo. 
ROM.2.10	Ëgweeso üküü, ikuryo nanë majeghana ëtendeke kunë mu muntu nanëugutendaa në maja, Muyahudi mwandyo na Muyunani noo. 
ROM.2.11	Gusoko Muungu atina ubaghui.
ROM.2.12	Vasaa voong'e nëvatendie mahutye gwa udëa umëkwata Seria vasaa noo vëjohira gwa udëa umekwata Seria. Na vasaa voong'e nëvatendie mahutye gwa umëmanya seria, vëjieuramuëywa gwa seria. 
ROM.2.13	Muntu atiutendwaa ayanjëke usonge a Muungu gwa utëgheeya Seria, ëgweeso gwa utenda mwino Seria eguhanyaa. 
ROM.2.14	Në antu va ndugu ëngëja në vëtina Seria, ëgweeso nëvatenda mwino Seria ëguhanyaa vatendekaa Seria veeso aghonjo, mbesa vëtikweti Seria. 
ROM.2.15	Vëuraghëëra mwino asaa në Seria ëguhanyaa ëtendwe ëandëkiwe munkhoo yawe, dhamiri yawe noo igusudangëa, na masëgho awe agifëngafënga ëguvasitakaa veeso na uvarëkea. 
ROM.2.16	Uvii itiku rasëë Muungu ujie uyaramua mantu a gëmpihë a anantu gwa uhonga Sayu Njija nëngumëtanantyaa, gwa njëa amwa Yesu Kiristo.
ROM.2.17	Ëgweeso nësa veve mughonjo ugitaanaa Muyahudi, umëhuvëëre Seria na ugitendaa wëë wa Muungu, 
ROM.2.18	na gwa njëa a Seria umanyie mafenji a Muungu na udahite uhwaania intu në ija, gusoko ugusëywaa mu Seria, 
ROM.2.19	na nësa veve umanyië tutë mwino veve umutongeeri wa afoku, weru wa vasaa nëvë mukiti, 
ROM.2.20	musëyi wa afutu, musëyi wa ang'ënya në anyuughuu, munya gikhwa wasuu nëwina mahaa na tutë mu Seria, 
ROM.2.21	uvii veve nëuguvasëyaa vangëja, wurë utiudaha gisëya veve mughonjona? Veve nëugutanantyaa muntu ataivee, vee mughonjo ugivaa? 
ROM.2.22	Veve nëuguhanyaa mwino muntu atalehadee, veve mughonjo ugulehada? Veve nëuhwëëte sanamu ya arungu, uguyafumpa mahekalu? 
ROM.2.23	Veve nëugikumajuaa mu Seria, utiumukuryaa Muungu gwa udëa umëkwatëëra Seria? 
ROM.2.24	Mwino chuu yiandëkiwe, “Rina ra Muungu rëuraghanëëywaa vivë mu Ndughu ingë gusoko anyu.”
ROM.2.25	Utowa ngovi gwina riana ino në mbesa muhongie mwino Seria ëguhanyaa, ëgweeso nëmwadëa umëkwatëëra Seria, ngovi anyu atendekaa mwino mwinatowaa ngovi. 
ROM.2.26	Uvii nësa wasuu nëinatowaa ngovi uyakwatëëre maraghëëyo a Seria, wurë, gwa udëa utowa ngovi gwa wasuu gutiuvariwa mwino chuu watowe ngovina? 
ROM.2.27	Uvii vasaa në gwa mëërë awe vinatowaa ngovi ëgweeso vëmëkwatëëre Seria vëumuramuëya nyenye në mwina rëandëko na mwatowe ngovi ëgweesogwayo mutimekwatëëre Seria. 
ROM.2.28	Gusoko wasuu ti Muyahudi në Muyahudi gwa gunjë gutufu, na ëgweeso ngovi ti ësëë në agunjë gutufu mu mwëërë. 
ROM.2.29	Muyahudi wa tutë në wasuu Muyahudi mung'ë a nkhoo. Ngovi a tutë unë a munkhoo. Ërëë në intu ra Nkhoo, na ti intu ra maandëko. Ikuryo rakwe rëtiufumaa gwa anantu ëgweeso rëufumaa kunë Muungu.
ROM.3.1	Uvii, Muyahudi wahangie ntuni nanguu? Mba utowa ngovi, gwina saokëhë? 
ROM.3.2	Gunoneye ino gwa muu njëa. Mwandyo Ayahudi vënoneye vafewe maraghëëyo a Muungu. 
ROM.3.3	Uu ntuni, uvii, nësa mukhatë awe vinahuvëaa? Wurë, intu rasëë rëuheya uhuvëi wa Muunguna? 
ROM.3.4	Gutie mbanduvë! Mureki Muungu atende tutë na muu muntu atendeke mweegheeghe, mwino yiandekiwe,
ROM.3.4	“Vee Muungu, fana ugurighëtya,
ROM.3.4	nkhani yako unë ya tutë,
ROM.3.4	nanë fana uramwui,
ROM.3.4	veve uguhumaa.”
ROM.3.5	Ëgweeso, mbesa uvë witu uguraghëëra mwino Muungu ugutenda gwa tutë, guuhanya ntuni? Guudaha uhanya Muungu atiutendaa fana tutë itungo nëgwagwëwa na ikuwo rakwe? (Ngurighëtya gëuntu.) 
ROM.3.6	Ti uvii mba nduvë! Gwa uvii Muungu naa ugudahawurë uwuramuëya urëmi? 
ROM.3.7	Ëgweeso nësa gwa weegheeghe wanë tutë a Muungu ëfikie gu uküü wakwe, sokokë në ëkëë nguramuëywa mwino nëmunya mahutye? 
ROM.3.8	Sokokë udëa utenda në mabë soko ësëë uja uje? Mwino antu vangë vëugurighëtyaa see mwino gwasëiye uvii. Uramuëywa kunë veeso unë gunoneye.
ROM.3.9	Uvii uu ntunihe? See Ayahudi gwëë aja nanguuna? Ti uvii mbanduvë! Gusoko nahanyiye antu voong'e, itambëëmwe na Ayahudi nanë Ayunani voong'e vëë fang'ë anguu ya mahutye, 
ROM.3.10	mwino yiandëkiwe:
ROM.3.10	“Gutie mba umwedu në wina tutë,
ROM.3.10	gutie, gutie mbanduvë,
ROM.3.11	Gutie muntu neumanyie,
ROM.3.11	mbesa nëugumufenjaa Muungu.
ROM.3.12	Voong'e vëhutaanëe,
ROM.3.12	voong'e vina ihondo
ROM.3.12	gutie nëugutendaa në maja,
ROM.3.12	gutie mba umwedu.”
ROM.3.13	“Mumiro wawe uu në mbëlëlo
ROM.3.13	në ëmwaarye, vëutumëaa
ROM.3.13	ndëmë yawe gweegheegha,”
ROM.3.13	“Ululu wa nyama wëumeomo awe.”
ROM.3.14	“Moomo wawe wijue maraghano
ROM.3.14	në mavë nanë ululu.”
ROM.3.15	“Mëghuu awe ëmankie uhunua saghami,
ROM.3.16	munjëa yawe gwina uruvanga
ROM.3.16	nanë makhasëko,
ROM.3.17	Mbesa njëa a majëghana vëtimemanyie.”
ROM.3.18	“Umükürya Muungu gutifo
ROM.3.18	mu miho awe.”
ROM.3.19	Itungwee gumanyie mwino Seria mwino ëguhanyaa, ëguvahanyaa vasaa në vë fang'ë a Seria, uvii vëtiudaha uhanga gikwatëëya intu mbanduve, na urëmi woong'e wëë muuramui wa Muungu. 
