GEN.1.1	Uru-uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.
JHN.8.42	Hèia, aku Yesus na, “Ladhe Ama Lamatua tareꞌa-reꞌa jꞌajꞌi Ama miu, tatu miu sue Jaꞌa. Te Jaꞌa mai nèti Nèngu, nèti èèna ka Jaꞌa ka neꞌe ne. Jaꞌa mai ne madhutu boe dadꞌèi Jaꞌa mesa ku. Te ngaa Jaꞌa mai, lula Nèngu ka dhu pua Jaꞌa. 
JHN.8.43	Nga tao ka miu dhane mere boe lii padhai Jaꞌa? Ele boe, lula miu mema moꞌo boe nanene!
JHN.8.44	Miu se, ca ropa dènge dhèu aae nidhu. Te miu dꞌèi madhutu dadꞌèi na! Karèi nèti uru jꞌara ka, nèngu dꞌèi dhoka pamadhe dhèu. Nèngu labꞌa jꞌara dhu lèke, lula na tule eele jꞌara aaꞌi-aaꞌi dhu lèke! Ladhe na kapodꞌe-kabèli, mema sasabꞌa na kèna. Te nèngu ne, tuka kapodꞌe-kabèli, aa baki nèti leko-monya! 
JHN.8.45	Jaꞌa neꞌe ka dhu lole jꞌara dhu lèke. Te ngaa miu parcaya boe Jaꞌa. 
JHN.8.46	Pangee sèku! Nèti miu se, cee ka dhu bisa padꞌelo bukti, peka na, Jaꞌa ne adꞌu-ue sasala? Malaa, nga! Ladhe Jaꞌa peka lèke, nga tao ka miu moꞌo boe lèka Jaꞌa?
JHN.8.47	Dhèu dhu jꞌajꞌi nèti Ama Lamatua nanene Lii Holo-Nori Na. Te ngaa miu se jꞌajꞌi boe nèti Ama Lamatua, nèti èèna ka miu moꞌo boe nanene Jaꞌa.”
JHN.8.48	Ama-ama dhèu Yahudi bꞌala, peka na, “Lii padhai jiꞌi lèke tareꞌa-reꞌa. Te jiꞌi dhu peka le, na, Èu ne, dhèu Yahudi boe, te ngaa dhèu Samaria. Èu ne nidhu tao!”
JHN.8.49	Hèia Yesus dhaa, aku Nèngu na, “Jaꞌa nidhu tao boe. Jaꞌa pakabꞌua Ama Ku ètu sorga, te ngaa miu moꞌo boe pakabꞌua Jaꞌa. 
JHN.8.50	Jaꞌa padedha boe iisi ho padꞌelo kolo-karisi Jaꞌa. Te ngaa abhu Èci dhu neo padꞌelo dadedha Jaꞌa. Hudꞌi laa Nèngu ka dhu pamaꞌète, na, lii padhai Jaꞌa ne lèke, do aadꞌo.
JHN.8.51	Lii Holo-Nori Jaꞌa, lèke tareꞌa. De dhèu dhu nanene aa tao madhutu Lii Holo-Nori Jaꞌa, madhe boe.”
JHN.8.52	Ropa tadèngi rare lii ne, hèia ama-ama dhèu Yahudi se peka dènge Ne, aku rèngu na, “Limuri ne jiꞌi ngeꞌa le Èu dhèu hujꞌu, lula nidhu tao le Èu. Te Abraham, madhe. Dhèu rèti lii padhai Ama Lamatua uru-uru sèra, madhe le kahèi. Te ngaa aku Èu, na, ‘dhèu dhu nanene dènge madhutu Lii Holo-Nori Jaꞌa, madhe boe.’ Mema Èu ne tareꞌa-reꞌa hujꞌu le! 
JHN.8.53	Do, Èu ne pangee, na, Èu ne kapai risi nèti Abraham dhu madhe le? Do, Èu kapai risi nèti dhèu-dhèu rèti lii padhai Ama Lamatua dhu madhe sèra? Èu ngee, na, Èu ne, cee?”
JHN.8.54	Hèia Yesus dhaa, peka na, “Ladhe Jaꞌa ka dhu padedha iisi, dhèu roꞌo boe sèmi rare. Madhutu iia-iia, na, Jaꞌa boe ka dhu dedꞌe padedha-dedha iisi, te ngaa dhu dedꞌe Jaꞌa padedha-dedha nuka Ama Ku. Nèngu neꞌe ka dhu miu mangaku, na, Nèngu jꞌajꞌi Ama Lamatua miu. 
JHN.8.55	Te ngaa miu tadhe boe Ne. Dhu tadhe mèu ka Jaꞌa ne. Ladhe Jaꞌa peka na Jaꞌa tadhe boe Ne, Jaꞌa leko-monya, sama sèmi miu. Te ngaa Jaꞌa tadhe mèu Ne, aa Jaꞌa tao madhutu Lii Holo-Nori Na kahèi. 
JHN.8.56	Dꞌara baki miu Abraham karejꞌe titu kèna, lodꞌo na tatae neo nèdhi mamai Jaꞌa. Nèngu mema nèdhi le, ka na karejꞌe-karae.”
JHN.8.57	Ama-ama dhèu Yahudi se bꞌala Ne, aku rèngu na, “Umur Èu dhae dꞌai mèka lèmi nguru tèu sa hèi! Te ngaa Èu peka na, mèdhi le Abraham. Tareꞌa, do?”
JHN.8.58	Hèia Yesus dhaa, peka na, “Tareꞌa! Te dhae rara iisi mèka Abraham, Jaꞌa dhu mema-mema le.”
JHN.8.59	Ka dhèu se rare hadhu ho neo pèci Ne, lula Na tao iisi sama sèmi Ama Lamatua. Te ngaa Yesus kako mau-mau kalua nèti madha Èmu Kapua Manèngi-Mangajꞌi.
JHN.9.1	Hèia Yesus si kako taruu. Ka Na ladhe nèdhi dhèu bèdhu ca dhèu, dhu bèdhu karèi nèti ina na nara iisi nèngu. 
JHN.9.2	Hèia ana-ana madhutu Na karèi, aku rèngu na, “Ama Mese! Cee ka tao sasala, ka dhèu ne bèdhu? Nèti nèngu mesa na, do, nèti ina-ama na?”
JHN.9.3	Ka Yesus dhaa, peka na, “Dhèu bèdhu ne tao boe sala. Aa ina-ama na aadꞌo kahèi. Rara iisi na sèmi neꞌe, ho hudꞌi laa dhèu aaꞌi-aaꞌi ra ladhe rèdhi tatao Ama Lamatua dhu beꞌa mi dedha nèngu. 
JHN.9.4	Ama Lamatua ka dhu pua Jaꞌa. De èdhi hudꞌi tenge jꞌara, sèna ka pakako sasabꞌa Na, lodꞌo saraa era. Te ladhe maroga mai, dhèu bisa heka sabꞌa. 
JHN.9.5	Ropa Jaꞌa ètu rai-haha ne era, Jaꞌa nuka sèmi saraa dhu dꞌelo hia mi dhèu aaꞌi-aaꞌi.”
JHN.9.6	Ropa Yesus padhai lii nare, ka Na paruꞌe ilu mi rai. Hèia Na madhèdi pasaboti, ho pakihu rai ne jꞌajꞌi kabheca. Ka Na lame musi madha dhèu ne dènge kabheca deo na. 
JHN.9.7	Hèia Na peka, na, “Lamu asa kolam Siloam, sèna ka riu rèhu èu.” (Ètu dꞌara lii Ibrani, 
JHN.9.8	Hèia rae lesa dènge dhèu dhu rèdhi ne, dhu tema manèngi ngaa-ngaa nèti dhèu, ra pakarèi èci dènge èci, peka na, “Dhèu neꞌe ne, dhèu bèdhu dhu tema madhèdi ho kanata ai manèngi ngaa-ngaa nèti dhèu, sina ma?”
JHN.9.9	Dhèu cahagꞌe dhaa, peka na, “Oo! Nèngu ka!”
JHN.9.9	Dhèu cahagꞌe hari, peka na, “Aadꞌo! Nèngu ne, rèhu na oe sèmi dhèu èèna!”
JHN.9.9	Te ngaa dhèu ne dhaa, aku nèngu na, “Aadꞌo! Jaꞌa èèna ka, neꞌe ne! Dhu uru èèna bèdhu!”
JHN.9.10	Ka dhèu se karèi ne, peka na, “Tasamia ka èu bisa ladhe mèdhi?”
JHN.9.11	Hèia na peka, aku nèngu na, “Sèmi neꞌe! Dhèu dhu ngara Yesus èèna, pakihu kabheca ka lame mi musi madha jaꞌa. Ka Na pua jaꞌa, aku Nèngu na, ‘Lamu asa kolam Siloam, ho riu rèhu èu ètu nèi.’ Hèia jaꞌa tao madhutu sèmi èèna. Nèti èèna ka, jaꞌa bisa ladhe kèdhi le!”
JHN.9.12	Èle ka dhèu se karèi ne, peka na, “Dhèu èèna, ètu mia?”
JHN.9.12	Ka na dhaa, “Keꞌa boe, mia laꞌe!”
JHN.9.13+JHN.9.14	Lodꞌo èèna, ropa Yesus pakihu rai jꞌajꞌi kabheca, ka puri-paꞌèle dhèu bèdhu ho bisa ladhe nèdhi èèna, lèke dènge lodꞌo aꞌae sasabꞌa dhèu Yahudi. Ka lere rèti dhèu dhu uru èèna bèdhu, asa madha dhèu-dhèu partei agama Parisi. 
JHN.9.15	Ka dhèu Parisi se karèi ne, “Èu lolo ku laa! Tasamia ka èu bisa ladhe mèdhi?”
JHN.9.15	Dhèu ne dhaa, peka na, “Sèmi neꞌe. Dhèu èèna tao kabheca mi musi madha jaꞌa. Ka laku riu rèhu. Hèia limuri ne, jaꞌa bisa kèdhi le.”
JHN.9.16	Ka abhu dhèu Parisi cahagꞌe, peka na, “Dhèu dhu puri-paꞌèle èu èèna, mai boe nèti Ama Lamatua. Jiꞌi ngeꞌa, lula Nèngu sisu atora nèti lodꞌo aꞌae sasabꞌa.”
JHN.9.16	Aa abhu cahagꞌe hari, peka na, “Tasamia ka dhèu dhu adꞌu-ue sasala bisa tao tadha-tadha malaa sèmi sèra?” Ka rèngu patao-palaha èci dènge èci toke ra pahagꞌa.
JHN.9.17	Hèia ra karèi hari dhèu dhu uru èèna bèdhu, aku rèngu na, “Madhutu aꞌabhu èu, Dhèu dhu puri-pabeꞌa musi madha èu ne, Dhèu sèmi ngaa sa?”
JHN.9.17	Dhèu ne bꞌala, peka na, “Madhutu aꞌabhu jaꞌa, Dhèu èèna ca dhèu nèti dhèu rèti lii padhai Ama Lamatua.”
JHN.9.18	Te ngaa ama-ama dhèu Yahudi se roꞌo boe lèka, na, dhèu ne uru èèna bèdhu, ka limuri ne bisa nèdhi le. Hèia ra pua dhèu lasi paroa ina-ama na mai. 
JHN.9.19	Ropa ina-ama na mai dꞌai madha si, hèia ama-ama se karèi, aku rèngu na, “Dhèu ne, ana miu, do? Tareꞌa, do aadꞌo, nèngu ne dhu bèdhu mema karèi nèti mera iisi ne? Tasamia ka limuri ne nèngu bisa ladhe nèdhi?”
JHN.9.20	Ka ina-ama dhèu ne dhaa, peka na, “Nèngu ne, mema ana jiꞌi. Aa na bèdhu karèi nèti ngara iisi ne. 
JHN.9.21	Te ngaa jiꞌi ngeꞌa boe, na pake ngaa ka musi madha na bisa nèdhi sèmi neꞌe. Cee ka dhu puri-paꞌèle musi madha na, jiꞌi ngeꞌa boe kahèi. Nèngu kapai le, de karèi ne, te nèngu bisa lolo unu na!” 
JHN.9.22	Dua ra padhai lii sèmi èèna, lula rèngu madhaꞌu dènge ama-ama dhèu Yahudi. Lula reꞌa, na, ama-ama dhèu Yahudi se dhu rare le lii èci, peka na, “Ladhe abhu dhèu mangaku, na, Yesus ne, nuka Kristus, na, babège eele dhèu sèra nèti dꞌara èmu sabajꞌa èdhi dhèu Yahudi.” 
JHN.9.23	Nèti èèna ka, ina-ama dhèu ne dhaa, peka na, “Nèngu kapai le. De karèi ne.”
JHN.9.24	Hèia ra paroa hari dhèu dhu uru èèna bèdhu. Ka ra karèi ne, “Sèmi neꞌe! Èu hudꞌi peka ku mola-mola ètu madha Ama Lamatua, sèna ka jꞌaga paie kolongara Na. Te jiꞌi ngeꞌa, na, Yesus ne, dhèu bhelu-katubꞌa.”
JHN.9.25	Ka dhèu ne dhaa, peka na, “Ama si baku nasa! Te jaꞌa keꞌa boe, na, Nèngu èèna, dhèu bhelu, do aadꞌo. Dhu jaꞌa keꞌa mola-mola, nuka, uru èèna jaꞌa bèdhu, te ngaa limuri ne jaꞌa bisa kèdhi.”
JHN.9.26	Hèia ra karèi ne, aku rèngu na, “Te Na tao èu tasamia? Tasamia Na bhoke musi madha èu?”
JHN.9.27	Dhèu ne dhaa, na, “Eee! Te deo na jaꞌa lole le, te ngaa miu moꞌo boe nanene. Tasamia ka miu neo jaꞌa lolo hari? Ele boe ama si neo jꞌajꞌi ana madhutu Na, do?”
JHN.9.28	Ka ra padhai pa-aape ne, hèia ra peka, “Hudꞌi laa èu ka jꞌajꞌi ana madhutu Na! Te jiꞌi se, ana madhutu Musa. 
JHN.9.29	Jiꞌi ngeꞌa Ama Lamatua ka dhu padhai lii dènge Musa. Te ngaa ngeꞌa boe Dhèu èèna bhodho nèti roꞌa mia.”
JHN.9.30	Ka dhèu dhu uru èèna bèdhu na, dhaa, “Jaꞌa malaa, nga! Miu meꞌa boe Nèngu mai nèti mia. Aa te ngaa Nèngu ka dhu bhoke pamèu musi madha jaꞌa, ka jaꞌa bisa kèdhi. 
JHN.9.31	Èdhi aaꞌi-aaꞌi ti teꞌa, na, Ama Lamatua parluu boe nanene lii dhèu bhelu, si? Te ngaa Ama Lamatua nanene dhèu dꞌara mola, dhu mamuri madhutu dadꞌèi Na.
JHN.9.32	Karèi nèti Ama Lamatua pajꞌajꞌi liru dènge rai-haha toke dꞌai sange neꞌe, abhu mèka lii lolo èci sa hèi, lula-nèti dhèu dhu puri-pabeꞌa dhèu bèdhu karèi rara iisi ne, ho nèngu bisa nèdhi. 
JHN.9.33	De ladhe Yesus mai boe nèti Ama Lamatua, tatu Nèngu bisa boe tao ngaa-ngaa, sina ma?”
JHN.9.34	Hèia ra bꞌala, aku rèngu na, “Wee! Èu ne, dhèu bhelu karèi ina mu nara iisi èu! Èu ngee, na, èu bisa ajꞌa hari jiꞌi, do?” Ka ra babège eele dhèu ne nèti èmu sabajꞌa rèngu.
JHN.9.35	Ropa Yesus tadèngi rèngu babège eele dhèu dhu uru èèna bèdhu nèti èmu sabajꞌa ra, hèia Na laꞌe tenge dhèu ne, toke abhu. Ka Na peka, “Tasamia! Èu parcaya Dhèu Rai-haha tareꞌa-reꞌa ne, do?”
JHN.9.36	Ka dhèu ne karèi hari Ne, aku nèngu na, “Ama, te Nèngu èèna cee? Peka ku laa, sèna ka jaꞌa bisa parcaya Ne.”
JHN.9.37	Hèia Yesus peka, na, “Èu paraga le dènge Ne. Nèngu èèna, nuka Jaꞌa ne, dhu padhai lii dènge èu ne.”
JHN.9.38	Ka dhèu ne dhaa, aku nèngu na, “Ama, jaꞌa parcaya!” Hèia na patitu kètu urutuu pahaha iisi mi Yesus.
JHN.9.39	Hèia Yesus lii dènge ne, aku Nèngu na, “Mamai Jaꞌa asa rai-haha ne, sèna ka padꞌelo sasala-sasigo dhèu, ho dhèu bèdhu bisa ladhe rèdhi, aa dhèu dhu rèdhi bisa jꞌajꞌi bèdhu.”
JHN.9.40	Ètu era èèna abhu dhèu Parisi pèri-pèri, dhu tadèngi lii padhai Yesus. Hèia ra karèi Ne, aku rèngu na, “Tasamia! Jiꞌi se bèdhu boe, sina ma?”
JHN.9.41	Yesus bꞌala, peka na, “Sèmi neꞌe. Ladhe musi madha miu bèdhu, abhu boe dhu pasala miu. Te ngaa lula miu peka, na, miu bisa mèdhi, nèti èèna ka miu pasae sasala miu era.”
JHN.10.1	Yesus padhai lii pake lii pakasame, peka na, “Dhu Jaꞌa peka dènge miu ne, lèke tareꞌa. Abhu kahibꞌi-kalèbho dènge oka ra. Ladhe dhèu maso boe re hèbꞌa oka, te ngaa caꞌe re kolo oka, na, teꞌa le, nèngu ne, dhèu manaꞌu.
JHN.10.2	Te ngaa ladhe maso re hèbꞌa oka, nuka dhèu madhenga dhu piara kahibꞌi-kalèbho sèra. 
JHN.10.3	Dhèu jꞌaga hèbꞌa oka, tadhe dhèu madhenga kahibꞌi-kalèbho, hèia na bhoke babèdho hia nèngu. Kahibꞌi-kalèbho se tadhe lii dhèu madhenga badha kahèi. Ka ropa dhèu madhenga ne paroa ngara ra èci-èci, kahibꞌi-kalèbho se madhutu ne asa liꞌu. 
JHN.10.4	Ladhe dhèu madhenga ne neo nèti si asa mia, nèngu kako uuru. Kahibꞌi-kalèbho se madhutu ne re limuri, lula ra tadhe lii na. 
JHN.10.5	Ladhe abhu dhèu dhu kahibꞌi-kalèbho tadhe boe, na, rèngu madhutu boe ne. Te ngaa ra rai pakajꞌèu, lula rèngu tadhe boe lii dhèu leo.”
JHN.10.6	Masi ka Yesus lole lii pakasame ne hia dhèu seꞌe, te ngaa reꞌa boe sasoa na.
JHN.10.7	Ka Yesus peka tabha hari dènge dhèu sèra, aku Nèngu na, “Dhu Jaꞌa lole dènge miu ne, lèke tareꞌa. Jaꞌa ne nuka sèmi hèbꞌa oka kahibꞌi-kalèbho. 
JHN.10.8	Dhèu aaꞌi-aaꞌi dhu mai uuru nèti Jaꞌa, rèngu sama sèmi dhèu manaꞌu. Masi ka rèngu loe boe paroa, te ngaa kahibꞌi-kalèbho se nanene boe lii rèngu. 
JHN.10.9	Aa Jaꞌa ne èci èèna ka dènge hèbꞌa oka èèna. Ladhe abhu dhèu neo maso re Jaꞌa, Ama Lamatua neo patabuli ne nèti koasa sasala-sasigo na. Èèna sama sèmi nèngu laꞌe asa era Ama Lamatua, maso re Jaꞌa dhu jꞌajꞌi hèbꞌa oka. Aa dhèu dhu maso re Jaꞌa, nèngu neo asa mia èèna ka, ngaa-ngaa tao boe, dènge abhu naꞌa-ninu dhu beꞌa.
JHN.10.10	Dhèu manaꞌu reꞌa dhoka tao maruru di, te rèngu mai ho manaꞌu, pamadhe dhèu, aa paꞌele iie mamuri dhèu. Te ngaa Jaꞌa kèti mamuri dhu hua iia titu kèna, te mamai Jaꞌa ne, sèna ka dhèu bisa mamuri mera-milu, aa unu mamuri dhu lèke.
JHN.10.11	Jaꞌa kahèi nuka sèmi dhèu madhenga badha dhu beꞌa. Te dhèu madhenga dhu beꞌa, sadia saraka ngiꞌu na toke madhe, sèna ka kahibꞌi-kalèbho na bisa mamuri. 
JHN.10.12	Te ngaa dhèu sabꞌa dhu lamatua boe nèti kahibꞌi-kalèbho sèra, ropa nèdhi busa hui mai, na rai pakajꞌèu, tèke eele kahibꞌi-kalèbho se. Hèia busa hui ne kadhi nare kahibꞌi-kalèbho, ka rèngu cahagꞌe rai pacebꞌa. 
JHN.10.13	Dhèu sabꞌa èèna rai, lula nèngu dhoka sabꞌa tenge doi di. Na pusi-pahae boe jꞌaga paie-iie kahibꞌi-kalèbho sèra.
JHN.10.14	Lèke tareꞌa! Jaꞌa ne nuka sèmi dhèu madhenga badha dhu beꞌa. Jaꞌa tadhe hua iia kahibꞌi-kalèbho Jaꞌa sèra. Aa rèngu tadhe Jaꞌa kahèi. 
JHN.10.15	Èèna, èci èèna ka dènge Ama Ku ètu sorga tadhe Jaꞌa, aa Jaꞌa tadhe Nèngu kahèi. Jaꞌa sadia kore le ho soro iisi Jaꞌa toke madhe, sèna ka kahibꞌi-kalèbho Jaꞌa bisa mamuri.
JHN.10.16	Abhu kahibꞌi-kalèbho Jaꞌa dhu leo era, dhu dhae kaboko kore mèka sèna ka paꞌèci dènge kahibꞌi-kalèbho ètu seꞌe se. Jaꞌa hudꞌi eo paꞌoru kore si mi ca era kahèi. Ropa rèngu tadèngi lii Jaꞌa, rèngu tadhe dènge. Hèia ra mai paꞌèci, sèna ka jꞌajꞌi mi ca kaboko dhu dènge dhèu madhenga èci.
JHN.10.17	Nèti èèna ka, Ama Ku ètu sorga sue Jaꞌa. Te Jaꞌa dhu sadia le soro iisi Jaꞌa toke madhe, sèna ka Jaꞌa bisa mamuri hari. 
JHN.10.18	Abhu boe ca dhèu sa dhu laka-seti Jaꞌa ho madhe, te ngaa Jaꞌa mesa ku soro iisi laꞌa toke madhe. Jaꞌa dènge hak ho soro ngiꞌu Jaꞌa, aa dènge hak kahèi sèna ka kore hari. Paredha ne, dhu Jaꞌa sèmi kore le nèti Ama Ku ètu sorga.”
JHN.10.19	Lula dhèu se tadèngi lii padhai Yesus sèmi èèna, ka dhèu Yahudi se pabꞌala hari isi-aanga ra. 
JHN.10.20	Abhu dhèu ae nèti rèngu dhu peka na, “Dhèu ne, hujꞌu! Aa nidhu tao Ne! Nga tao ka miu dꞌèi nanene Ne?”
JHN.10.21	Te ngaa abhu cahagꞌe peka na, “Neꞌe ne nèti boe lii padhai dhèu hujꞌu, sina ma? Lii padhai sèmi seꞌe se, kalua boe nèti dꞌara hèbꞌa nidhu! Aa nidhu sèra bisa boe kahèi puri-paꞌèle musi madha dhèu bèdhu, si?”
JHN.10.22	Lodꞌo èèna, dhèu Yahudi neo tao kalela agama rèngu. Lodꞌo beꞌa ne, lèke dènge hèru pacuhi. Pesta ne, pasanèdꞌe dhèu Yahudi lodꞌo dhu dhèu leo mai pakajꞌalu Èmu Kapua Manèngi-Mangajꞌi Ama Lamatua ètu kota Yerusalem, ka ra pamèu ne sèna ka ringi hari ca tèka.
JHN.10.23	Yesus kako palème ètu madha Èmu Kapua Manèngi-Mangajꞌi ne, ètu era dhu ra pangare na, ‘Paleo Dhèu Aae Soleman’. 
JHN.10.24	Hèia ama-ama dhèu Yahudi mai lingu rare Ne, ka ra peka, “Eeh! Jiꞌi se mate toke dꞌai pèri lodꞌo hari, ho ngeꞌa? Ladhe Èu ne, nuka Kristus, na, peka mola-mola.”
JHN.10.25	Yesus bꞌala, aku Nèngu na, “Jaꞌa dhu peka mema le, te ngaa miu moꞌo boe lèka. Aa te ngaa jꞌara-jꞌara dhu Jaꞌa tao, aaꞌi-aaꞌi madhutu paredha Ama Ku di. Jꞌara seꞌe se ka dhu padꞌelo, na, Jaꞌa ne, cee. 
JHN.10.26	Te ngaa miu moꞌo boe lèka Jaꞌa, lula miu se kahibꞌi-kalèbho Jaꞌa boe. 
JHN.10.27	Te kahibꞌi-kalèbho Jaꞌa dhu tareꞌa sèra, tadhe lii Jaꞌa. Rèngu madhutu Jaꞌa, aa Jaꞌa tadhe rèngu kahèi. 
JHN.10.28	Jaꞌa hia si mamuri dhu lèke dhu maꞌète boe, aa rèngu cèri eele boe nèti Ama Lamatua kahèi. Abhu boe ca dhèu sa dhu bisa parame rare si nèti Jaꞌa. 
JHN.10.29	Ama Ku ètu sorga ka dhu pangèdꞌu rèngu mi Jaꞌa. Nèngu èra risi aaꞌi mèu-mèu. Nèti èèna ka, abhu boe ca dhèu sa hèi, dhu bisa parame rare si nèti Nèngu. 
JHN.10.30	Te Ama Ku dènge Jaꞌa ne, èci.”
JHN.10.31	Ropa tadèngi rare, hèia ama-ama dhèu Yahudi se rare hari hadhu, neo pèci pamadhe Yesus. 
JHN.10.32	Ka Yesus padhai lii, aku Nèngu na, “Jaꞌa padꞌelo le jꞌara dhu beꞌa ae-ae nèti Ama Ku. Miu pake jꞌara beꞌa mia, ho neo pèci pamadhe Jaꞌa?”
JHN.10.33	Hèia dhèu se dhaa, peka na, “Jiꞌi pèci boe èu lula èu tao jꞌara beꞌa. Te ngaa jiꞌi huku èu dènge jꞌara pèci pake hadhu, lula èu pahahe Ama Lamatua. Te èu dhoka dhèu rai-haha di, te ngaa tao iisi mu nuka sèmi Ama Lamatua! Seli-kolane, nga!”
JHN.10.34	Ka Yesus bꞌala, peka na, “Tasamia? Ètu dꞌara Atora agama dhu miu mèdꞌu, dhu suri na, ‘Jaꞌa peka mema, na, miu ama-ama se, dewa’.
JHN.10.35	Èdhi teꞌa le, na, aaꞌi-aaꞌi dhu suri ètu dꞌara Sasuri Mola-Mèci Ama Lamatua, lèke, aa bisa boe core eele. Ama Lamatua mesa Na dhu peka le dhèu sèra, na, rèngu se, ‘dewa’. 
JHN.10.36	De tasamia ka miu bisa peka, na, Jaꞌa ne pahahe Ama Lamatua lula Jaꞌa peka, na, Jaꞌa ne Ana Ama Lamatua? Maso boe asa dꞌara kahadhu, si! Te Ama ètu sorga ka dhu pajꞌujꞌu Jaꞌa aa pua Jaꞌa mai asa rai-haha ne. 
JHN.10.37	Sèmi neꞌe. Ladhe Jaꞌa pakako boe sasabꞌa-laꞌa Ama Ku, na, miu baku parcaya Jaꞌa. 
JHN.10.38	Te ngaa Jaꞌa pakako taruu sasabꞌa Ama Ku. De masi ka miu lèka boe Jaꞌa, te ngaa miu hudꞌi sèmi mere ku tadha malaa dhu Jaꞌa tao. Dènge sèmi èèna, miu bisa meꞌa kahèi, na, Ama Ku dhu paꞌèki dènge Jaꞌa. Aa Jaꞌa paꞌèki dènge Nèngu kahèi.”
JHN.10.39	Ka dhèu se sèku kèpe Ne hari, te ngaa Na tabhèli eele nèti kacui-aai rèngu.
JHN.10.40	Hèia Yesus laꞌe hari asa cabèka loko Yarden, ètu era dhu uru èèna Yohanis sarani dhèu. Ka Na pea taha ètu nèi.
JHN.10.41	Dhèu ae mai tenge Ne. Hèia ra peka, aku rèngu na, “Yohanis tao nèdhi boe tadha malaa. Te ngaa aaꞌi-aaꞌi dhu nèngu lole lula-nèti Yesus ne, lèke tareꞌa-reꞌa!” 
JHN.10.42	Ka dhèu ae ètu nèi parcaya Yesus.
JHN.11.1+JHN.11.2	Abhu dhèu èci, ngara na Lasarus. Nèngu pea ètu rae Betania, sama-sama dènge aꞌa na bhèni dhèu dua, Maria dènge Marta. (Maria neꞌe, ka dhu pakose haga Lamatua Yesus dènge èi hèu mèngi, ka pamèu pake rèu kètu na.) Ca lodꞌo, ka Lasarus pèdꞌa aae.
JHN.11.3	Ka ana hèni na dhèu dua se paꞌadhu lii moa hia Yesus, aku rèngu na, “Lasarus, angalai Ama èèna, pèdꞌa aae.”
JHN.11.4	Ropa Yesus tadèngi lii moa ne, hèia Na lii, aku Nèngu na, “Èi papèdꞌa ne nèti boe mamadhe. Ama Lamatua neo pake jꞌara neꞌe ho padꞌelo dadedha Na. Sèna ka dhèu aaꞌi-aaꞌi dedꞌe padedha-dedha Jaꞌa, nuka Ana Ama Lamatua ne.”
JHN.11.5	Yesus sue Marta, Maria, dènge ari ra Lasarus. 
JHN.11.6	Lodꞌo Na tadèngi, na, Lasarus dhu pèdꞌa, Yesus pea dua lodꞌo era ètu cabèka loko Yarden. 
JHN.11.7	Ka Na peka dènge ana madhutu Na sèra, aku Nèngu na, “Mai lati hari asa era pea Lasarus ètu propensi Yudea.”
JHN.11.8	Te ngaa ana madhutu Na pabꞌala, peka na, “Ama Mese. Lai-lai ne, ama-ama dhèu Yahudi sèra neo pèci pamadhe Ama ètu nèi. Te ngaa Ama neo lamu hari asa nèi?”
JHN.11.9	Ka Yesus dhaa, na, “Baku madhaꞌu! Bèli-bèli, nèti lodꞌo rea toke lodꞌo cèna, canguru dua jam, si? Ladhe kako ètu dꞌara saraa, dhèu kadhunu boe. Te saraa pasaraa rai-haha ho dhèu bisa ladhe rèdhi dènge beꞌa. 
JHN.11.10	Te ngaa ladhe dhèu kako ètu dꞌara maroga, na kadhunu pahari-pahari, te dènge boe saraa.”
JHN.11.11	Yesus padhai lii èle, ka Na peka, “Angalai èdhi Lasarus bhèjꞌi le. Te ngaa pe Jaꞌa laku parèi ne.”
JHN.11.12	Hèia ana madhutu Na peka, na, “Ama, ladhe nèngu bhèjꞌi di, sasoa na, èèna na nèngu èle nèti papèdꞌa, si?”
JHN.11.13	Ra peka sèmi èèna, lula rèngu ngee, na, Yesus padhai lii lula-nèti bhèjꞌi dhu biasa di. Aa te ngaa, Yesus lole lula-nèti mamadhe Lasarus. 
JHN.11.14	Hèia Yesus peka mola-mola dènge ra, aku Nèngu na, “Sèmi neꞌe. Lasarus madhe le. 
JHN.11.15	Aa te ngaa Jaꞌa karejꞌe lula Jaꞌa aadꞌo ètu nèi lodꞌo dhu na madhe mèka, sèna ka miu baku susa. Te, ngaa dhu jꞌajꞌi neꞌe, èèna ka dhu tao miu bisa parcaya Jaꞌa. Mai lati ka!”
JHN.11.16	Hèia Tomas, dhu dhèu paroa, na, “ana kembar,” peka dènge ana madhutu dhu leo sèra, aku nèngu na, “Mai ka! Beꞌa risi aaꞌi-aaꞌi ti lati, sèna ka madhe palere-lere dènge Ne.”
JHN.11.17+JHN.11.18+JHN.11.19	Ka Yesus si lasi asa rae Betania.
JHN.11.17+JHN.11.18+JHN.11.19	Rae ne, kajꞌèu nèti Yerusalem tèlu kilometer di. Ka dhèu Yahudi nèti nèi, ae ka dhu mai beke, sèna ka paꞌèra dꞌara Marta dènge Maria.
JHN.11.17+JHN.11.18+JHN.11.19	Ropa Yesus si dꞌai nèi, heka reꞌa, na, dhèu padhane le Lasarus èpa lodꞌo kèna.
JHN.11.20	Ka lodꞌo Marta tadèngi, na, Yesus mai le, hèia laꞌe paraga dènge Yesus. Te ngaa Maria mate ètu èmu. 
