GEN.1.1	Kafa viuḡuwai Guyau abama keta fwayafwaya i fufunisiya. 
MRK.9.29	Eketa i iyavisiya i bwaduwa, “Naki kawanunukuḡa nenei kana fata nofe kanunusima goyosi tana nukakisiya.”
MRK.9.30	Yeisu tomuniyeina nukusi noko kabaḡanama si teweiya eketa si vaonota Ganiniyei. Yeisu muka nuwanuwana tamo aitevana ina sanamanei tanake namai, 
MRK.9.31	be vitana nuwanuwana simo yana tova matanubwayouna ita viya be kana tomuniyeina nenesiyai ita visawavenisiya. I iyavisiya i bwaduwa, “Namoḡa Natuna sina viwaifufuniya keta nifanifaina nimasiyai sina teniya keta sina nuvimatiya, eatu kuyadayada tonusi muninei mateyai ina misini-savaviniya.” 
MRK.9.32	Nofemaise i nusifufuwisiya eatu muka nuwatasi ita mayesiya, si matuta eketa yana bwadunama fasinei muka sita nutonikuyekuyei.
MRK.9.33	Si kikinomana menana Kafenaumi nenei keta numa tamokaḡa sinenei si kanasuna eyo Yeisu i nutoninuvenuvisiya i bwaduwa, “Avamasi ketai kwa vikanusifusifufuwei?”
MRK.9.36	Gwadimonamona i viya kasi kawasasai i vimisiniiya eyo i nutaviya eketa i iyavisiya i bwaduwa, 
MRK.9.37	“Taki aitevana tamo nofe gwadimonamonanama maise ina katuviya kaku wavai, nao ina katuvikuwa. Yota aitevana ina katuvikuwa nao muka Iyauḡa ita katukatuvaiku eatu yota kaku tovininita i katukatuviya.”
MRK.9.38	Yoni Yeisu i iyaviya i bwaduwa, “Tovisawavenena, namoḡa ka kitiya kanunu goyosi i nunukakisiya ka wavai. Atu tanake o muka kata sabu, na fasinei ka iyaviya be ina onoviya.”
MRK.9.39	Atu Yeisu i bwaduwa, “Muka kwana sawatanai uḡuna muka kana fata be tamo aitevana kaku wavai iba fifiwanina ina savivinei eatu kakimokimokima tu yota iba goyosi ina bwaduweisi fasikuwai. 
MRK.9.40	Taki aitevana muka ina vinifaineita nao tana kata sabu. 
MRK.9.41	A iyaiyavimiya venemokena, taki aitevana ukowa ina venimiya uḡuna kwami kaku tomuniyeina, nao naki maisemoka fatana ina nisaiya.”
MRK.9.42	I tenesaviya i bwaduwa, “Nofe fiyagenagenasima kaku tovitumaḡana, eatu taki aitevana go'yona nenei ina weifekusiya, nao Guyau vimatadawana nakatamokena ina veniya. Muka maise gabana nakasina kayonei sina nusifwiya yo gibowai sina vigamomoniya. 
MRK.9.43	Taki nimau go'yona nenei ina teniwa, nao ku dabateweyei. Kana nufota be nima fafaniuḡa nenei kuna kanasuna yawasivaḡata nenei muniyai yo nimau nuwesi nukusi kuna kanasuna kikanakanata muka yana kweunuvanuva kana kabaḡai.
MRK.9.45	Taki kaeu go'yona nenei ina teniwa, nao ku dabateweyei. Kana nufota be kae fafaniuḡa nenei kuna kanasuna yawasivaḡata nenei muniyai yo kaeu nuwesi nukusi sina tewesobuwiwa kabaḡanama nenei.
MRK.9.47	Taki matau go'yona nenei ina teniwa, nao ku mwamwateweyei. Kana nufota be mata fafana tamokaḡa nenei kuna kanasuna Guyau yana kafa visime nenei muniyai yo matau nuwesi nukusi sina tewesobuwiwa kabaḡanama nenei. 
MRK.9.48	Noko kabaḡanama nenei, ‘Mwatamwata muka simo yasi matenuvanuva namoḡa si kanikanisiya, yota kai kanakanata muka yana kafa kweu.’
MRK.9.49	Kaku tomuniyeina matatafusi dauna sina nisaisiya kikanakanata maise, eatu mwavinana o Guyau ina givieyaeisiya.
MRK.10.1	Yeisu kabaḡa noko i teweiya eatu i niya kawakawana Yudiya nenei eketa i tamana ukowa Yonidani fafaninei. Sabuveka si nemi-savavinisiya nenei eketa naki kana iduwa maise i vibutuwa nenesiyai i gisawakedana.
MRK.10.2	Fanasi tunisi nuwanuwasi be Yeisu sina anuvanuviya na fasinei si nemiya nenei eketa si nutoninuvenuveiya si bwaduwa, “Namaise, yata visime namoḡa i sawateweiya be kawana ina visobuwiya o muka?”
MRK.10.3	Eketa i nufata i bwaduwa, “Atu Mosese visime i venimiya o namaise i bwadu?”
MRK.10.5	Atu Yeisu i nufata keta i iyavisiya i bwaduwa, “Katekatemi yasi gua fasinei Mosese visime nofe i viginiwiya fasimiyai. 
MRK.10.6	Eatu kwana tukuya kafa viuḡuwai tovanama Guyau i kifufunavauvauwa, ‘Namoḡa keta gumayogu i fufunisiya.’ 
MRK.10.7	‘Na fasinei namoḡa amana keta ayona ina teweisiya eatu kawana nukusi sina saviya tamo nenei, 
MRK.10.8	eketa kasi nuwa sina vitamokaḡa.’ Eketa muka nuwesi eatu naki tamokaḡa. 
MRK.10.9	Na fasinei keta avana Guyau i viketosaviya muka tamo aitevana ina nutakai.”
MRK.10.10	Tovanama si makavinisiya numai, Yeisu kana tomuniyeina si nutoninuvenuve-savaviniya nofe ibanama fasinei. 
MRK.10.11	Eketa i iyavisiya i bwaduwa, “Taki namoḡa kawana ina visobuwiya eatu tamo gumayogu ina vikawaniya nao naki i kudowa kawana nenei. 
MRK.10.12	Maise yota taki gumayogu kawana ina visobuwiya, eatu tamo namoḡa ina vikawaniya nao naki i kudowa.”
MRK.10.13	Tunisi namoḡa fiyagenagena si nemiisiya Yeisu nenei ebe nimana ina dawana nenesiyai. Eatu kana tomuniyeina fiyagenagena amamasi keta ayoayosi si dageisiya ebe muka Yeisu sina visinatamatamanei. 
MRK.10.14	Tovanama Yeisu i kitiya avana i kikikinomana, i nuwagoyowa eketa i iyavisiya i bwaduwa, “Fiyagenagena kwana gionovisiya sina nemiya nenekuwai. Muka kwana sawatanaisi. Uḡuna Guyau yana kafa visime o tasike aviyaonana maisemoka fiyagenagena nofe. 
MRK.10.15	A iyaiyavimiya venemokena, taki aitevana Guyau yana kafa visime muka tamo ina katuvai maise gwadimonamona, muka kana fata ina kanasuna Guyau yana kafa visime nenei.” 
MRK.10.16	Fiyagenagena i nutavisiya kavaunei eketa nimana i dawana debabousiyai, eketa i sawanuwagabubuwisiya. 
MRK.10.17	Yeisu i noḡokawawa keta yana ketai i niniya, eatu namoḡa tamokaḡa i dibwana i niya kaetutuna i viketogunisiya eketa i nutoninuvenuveiya i bwaduwa, “Tovisawavenena dewadewau, aviyavana ana fufuniya be yawasivaḡata ana nisaḡai?”
MRK.10.18	Eketa Yeisu i iyaviya i bwaduwa, “Ava uḡuna yo ku visawa-dewadewaiku? Naki Guyauḡa kana kisimokena dewadewana. 
MRK.10.19	Kwaḡa naki ku sanamaniya Guyau yana visime. ‘Muka kuna nuvimate, muka kuna kudo, muka kuna gikuma, muka kuna meyanono tamo aitevana nenei, muka yasi nogonogomokeyai kuna nonoisi, yota amau keta ayou kuna vifotuwisiya.’”
MRK.10.20	Eatu namoḡanama i bwaduwa, “Tovisawavenena, kabegokuwai kana nivaniva kimoki visimesima matatafuna a muniye-koḡoisiya.”
MRK.10.21	Yeisu i kitanuwagabubuwiya keta i iyaviya i bwaduwa, “Iba tamokaḡamoka yawane muka kuta fufuniya. Kuna makaviniwa ya nogonogo matatafuna kuna vikimwaneisiya eyo gabanina goyogoyo kuna venisiya, eketa Guyau kaikaiwabu abamai ina veniwa. Eyo kuna nemiya kuna muniikuwa.”
MRK.10.22	Namoḡanama o kaikaiwabuna eketa tovanama nofemaise bwadubwadunama i nowaniya, tafakaina i kanawenonowa eketa i misiniya na nuwatadaunina i niya.
MRK.10.23	Yeisu i kitadadana eketa kana tomuniyeina i iyavisiya i bwaduwa, “Aviyaonana kaikaiwabusi nao yasi kanasuna Guyau yana kafa visime nenei daunamokena.”
MRK.10.24	Yana bwadunama fasinei kana tomuniyeina si mayaḡa eketa i iyave-savaviniya i bwaduwa, “Natunatuku, Guyau yana kafa visime kana kanasuna daunamokena. 
MRK.10.25	Yomuyomu nakasina kameni o muka kana fata aima matana ina kanasunei. Naki maisemoka namoḡa kaikaiwabuna o muka kana fata Guyau yana kafa visime ina kanasunei.”
MRK.10.26	Kawasi i yaowa keta tututausiḡa nenesiyai si vikanunutoniya si bwaduwa, “Taki nanemaise nao aitevana gifafafana ina nisaḡai?”
MRK.10.27	Yeisu i toneisiya keta i bwaduwa, “Namoḡa muka kasi fata be tututausi sina gifafafaneisi. Naki Guyauḡa kana fata, uḡuna iba matatafuna Guyau nenei meyameyanina.”
MRK.10.28	Eketa Fita i iyaviya i bwaduwa, “Ku nowaniya, atu kima namaise? Yama nogonogo matatafuna naki ka venuteweisiya munikiyai eatu ka munimuniiwa.”
MRK.10.29	Yeisu i bwaduwa, “A iyaiyavimiya venemokena, taki aitevana yana numa be unaunana, nounouna, ayona, amana, natunatuna eketa yana baguna ina venuteweisiya eatu ina muniikuwa be biga dewadewana ina yauniya fasikuwai, 
MRK.10.30	nao fatana nakasina Guyau ina vifofwiya 100 na kana vifofo keta ina veniya nofe tovanama. Yana numa be unaunana keta nounouna yota ayoayona be natunatuna eketa yana baguna ina nisaisiya keta yota namoḡa sina givikuvavaniya, eatu tova i nenemiya nenei yawasivaḡata ina nisaiya. 
MRK.10.31	Atu yagwanisi aviyaonana nofe tova si viviketanuna nao sina vimunifota keta yagwanisi nofe tova si vivimunifota nao sina viketanuna.”
MRK.10.32	Yeisu ke'ta i nuniya eketa kana tomuniyeina nukusi si vanevaneya Yenusanema, kana tomuniyeina o si wagavana yota namoḡa tunisi si munimuniiya o si matuta. Yana tonowana kasi 12 i katuvisiya eketa i vibutuwa i nusifufuwisiya iba matatafuna yawane ina kikinomana nenei fasinei. 
MRK.10.33	Yeisu i bwaduwa, “Kwa nowaniya, nofe naki ta niniya Yenusanema eketa nokomai tamo aitevana Namoḡa Natuna ina katuteweiya tovibwanaose nakanakasisi eketa visime kana tovisawavenena nenesiyai. Sina sawavimatiya eketa Kani Kwauna nimasiyai sina teniya. 
MRK.10.34	Sina sawaviniiya yota sina nufunataniya. Sina nafanafasiya eketa sina nuvimatiya. Atu kuyadayada tonusi muninei mateyai ina misini-savaviniya.”
MRK.10.35	Tamo tova nenei Sebedi natunatuna Yemesa keta Yoni si nemiya Yeisu nenei eketa si bwaduwa, “Tovisawavenena, aviyavana kata vikokoniwa nuwanuwaki kuta fufuniya fasikiyai.”
MRK.10.36	Eketa i nutoninuvenuveisiya i bwaduwa, “Avana nuwanuwami ata fufuniya fasimiyai?”
MRK.10.37	Eketa si bwaduwa, “Tovanama ka kwabudoga na kana kaiwabu nenei kuna nuvitoḡa kuta sawateweikiya be nukusi tata nuvitoḡa. Tamo kikikataiweu eatu tamo o kikimawaweu.”
MRK.10.39	Si iyaviya si bwaduwa, “Kama fata.”
MRK.10.39	Eketa i iyavisiya i bwaduwa, “Owanama ana yuwiiya nenei kwana yuwa, yota sina givibutibutikuwa maisemoka yota sina givibutibutimiya. 
MRK.10.40	Eatu muka kaku sawateweyeina ebe ana gibokeisi aviyaonana kukikikataiku o kukikimawaku sina nuvitoḡa. Guyau noko kivisima i gidewidewisiya aviyaonana naki i gibokisiya fasisiyai.”
MRK.10.41	Tovanama tonowana kasi 10 si nowaniya Yemesa eketa Yoni yasi vikokona Yeisu nenei si kayokuḡa nenesiyai. 
MRK.10.42	Yeisu yana tonowana matatafusi i wenevakukusisiya eketa i iyavisiya i bwaduwa, “Kwami naki kwa sanamaniya. Aviyaonana Kani Kwauna kasi tovisime nuwanuwasi be yasi namonamoḡa sina vivisimeisiya, keta yota yasi namoḡa nakanakasisi visime daudaunisi nenesiyai si viviketanunisiya. 
MRK.10.43	Atu kwami o muka noko ketaketanama nenei kwana fufuna. Taki aitevana tamo sinemiyai nuwanuwana ina vikainakata, nao ina vitovikaetoḡa fasimiyai. 
MRK.10.44	Taki sinemiyai aitevana tamo nuwanuwana ina viketanuna, nao tanake ina vitovikaetoḡa matatafumi fasimiyai. 
MRK.10.45	Maisemoka Namoḡa Natuna muka ita nemai ebe namoḡa sina vikaetoei, eatu i nemiya be namoḡa ina vikaetoisiya eketa tauna yana nuwanuwai yawasina ina kaveneniya be namoḡa yagwanisi ina tutuvisobusiya.”
MRK.10.46	Yeisu kana tomuniyeina nukusi si kikinomana Yeniko eketa tovanama noko menaninama si teweiya, namoḡa sagisagigi si muniisiya. Namoḡa tomatagoyo kana wava Batimiyosi, Timiyosi natuna, ke'ta kafakainei i nuvitoḡa atu gabana fasinei i vivikokona. 
MRK.10.47	Tovanama i nowaniya namoḡa si bwaduwa Yeisu tene Nasaneti i niniya eketa i bwauwa i bwaduwa, “Yeisu, Deivida natuna, kuta kitasineganiganiikuwa.”
MRK.10.48	Namoḡa yagwanisi si dageiya keta si iyaviya be ina kanoviya.
MRK.10.48	Eatu i tenegwaeiya kayona nakasinei i bwaubwauwa, “Yeisu, Deivida natuna, kuta kitasineganiganiikuwa.”
MRK.10.49	Yeisu i nigwana eketa i bwaduwa, “Kwa iyavei be i nemai nofemai.”
MRK.10.49	Eketa tomatagoyo si weniya si bwaduwa, “Katekateu i vatu be ku otowamisini! Yeisu i weneweniwa.” 
MRK.10.50	Batimiyosi kana kwame i nukasibibiiya eatu i venuotowamisiniya eketa i nemiya Yeisu nenei.
MRK.10.51	Yeisu i iyaviya i bwaduwa, “Ava ya nuwanuwa ata fufuniya fasiweu?”
MRK.10.51	Eketa tomatagoyo i nufata i bwaduwa, “Tovisawavenena, nuwanuwaku ana toneya.”
MRK.10.52	Yeisu i iyaviya i bwaduwa, “Ku nai, ya vitumaḡana i givibwiniwa.” Muka mwanenena atu matana si kabwasasa eketa i vibutuwa Yeisu i muniiya ketai.
MRK.11.1	Tovanama Yeisu kana tomuniyeina nukusi Yenusanema si vevenukitekitiya, si nemiya menana Betifegi keta Bedani nenesiyai koya Onive nenei. Yeisu kana tomuniyeina nasi nuwa i visimeisiya keta si venuviketanuna. 
MRK.11.2	I iyavisiya i bwaduwa, “Kwana niya menana kutafakaita. Tovanama kwana kikikinomana nokomai, kwana nisaiya doniki mwanavauna si nusikwaniya muka tamo aitevana ita toḡa-nuvanuvai. Kwana giyauya eketa kwana nemiiya. 
MRK.11.3	Taki aitevana ina bwaduwa, ‘Ava uḡuna kwa gigiyauya?’ Nao kwana iyaviya kwana bwaduwa, ‘Tuveka nuwanuwana fasinei, eyo ina venuviyewiya nofemai.’”
MRK.11.4	Tonowana kasi nuwa si kanasuna menana sinenei, eketa doniki mwanavauna si kitiya ketai i misimisiniya nunusikwanina numa kana ketakawana niniunei. Tovanama si gigiyauya, 
MRK.11.5	namoḡa tunisi niniunei si misimisiniya si nutoninuvenuveisiya si bwaduwa, “Ava fasinei yo doniki mwanavauna kwa gigiyauya?” 
MRK.11.6	Eatu namoḡa nenesiyai si nufata naki maisemoka Yeisu i iyavisiya, na uḡuna si sawateweisiya. 
MRK.11.7	Tovanama doniki mwanavauna si nemiiya Yeisu nenei, kasi kwame si tewevanevaneina doniki kwaunei eketa i toḡatakutakunisiya.
MRK.11.8	Namoḡa yagwanisi kasi kwame ketai si kiyavena eatu tunisi o kai naḡanisi na dadasi si nuonota eketa si kiyavena. 
MRK.11.9	Eketa namoḡa si viketanuna kunauna yota muni si fotiya, si vibutuwa si bwaubwauwa,
MRK.11.11	Yeisu i kanasuna Yenusanema eketa i niya Numa Kodukodu nenei. Iba matatafuna i dadaniya eatu naki i vinavinavimoka, na fasinei yana tonowana kasi 12 nukusi si kikinomana eketa si niya Bedani.
MRK.11.12	Kuyadayada venuwanei Yeisu kana tomuniyeina nukusi tovanama Bedani si teweiya, Yeisu vitanona i kanasiya. 
MRK.11.13	Kedawanauwai kai nugweda i vidada i kitiya eketa i niya vitana tamo uwana ina nisaiya, eatu kainama o muka kana tutuya ebe ina viuwa na fasinei dadanaḡa i kitiya. 
MRK.11.14	Eketa Yeisu kai i iyaviya i bwaduwa, “Mukamokena tamo aitevana uwau nenei ina ka-savavinei.” Eketa bwadunama kana tomuniyeina si nowaniya.
MRK.11.15	Tovanama si nemiya Yenusanema, Yeisu i kanasuna Numa Kodukodu kumenanina kana wasiketai keta tovikimwane i nukwavikwavina si kikinomana. Gabana kana todawanatamatamaneina yasi sonama yota bunebune kasi tovikimwane yasi kafa nunuvitoḡa i nubwatabwatavina, 
MRK.11.16	eketa i viketofotisiya be muka tamo aitevana aviyavana tamo ina kanasunei ina vaonota Numa Kodukodu kumenanina kana wasiketai. 
MRK.11.17	Eketa i gisawakedanisiya i bwaduwa, “Kwa sanamaniya Guyau fonakituna i bwaduwa,
MRK.11.18	Tovibwanaose nakanakasisi eketa visime kana tovisawavenena nofe bwadunama si nowaniya. Eketa ketaketa si nuwasa ebe sina nuvimatiya. Si matutiya uḡuna yana gisawakedana nenei sabuveka si mayaḡa.
MRK.11.19	Tovanama i vivinavinaviya, Yeisu kana tomuniyeina nukusi Yenusanema si teweiya.
MRK.11.20	Nuwabuniyai si makamakavinisiya eatu si kitiya kai nugweda kikwanakwanaminei tu i vaneya dadanei naki i teweyayaniya. 
MRK.11.21	Fita Yeisu yana bwadu i tukuya eketa i iyaviya i bwaduwa, “Tovisawavenena, ku kitai! Kaima ku ituya naki i teweyayaniya!”
MRK.11.22	Yeisu i iyavisiya i bwaduwa, “Guyau kwa vitumaḡanei. 
MRK.11.23	A iyaiyavimiya venemokena, taki aitevana tamo nofe koya ina iyaviya, ‘Ku sinanakasiu be ku tewesobuweu gibowai,’ eketa muka katekatenei ina vinuwana eatu ina vitumaḡaniya avana i bwaduwiya naki maisemoka ina kikinomana, nao Guyau ina fufuniya fasinei. 
MRK.11.24	Na uḡuna a iyaiyavimiya, taki aviyavana tamo fasinei kwana kawakawanunukuwa eketa kwana vitumaḡaniya vitana naki kwa nisaiya, nao ina venimiya. 
MRK.11.25	Tovanama kwana kawakawanunukuwa, nauna aitevana yana fufunagoyo nenemiyai kwana vinuwateweiya eyo muniyai, amami abamai yami go'yona yota ina vinuwateweina.”
MRK.11.27	Yeisu kana tomuniyeina nukusi si makavina-savavinisiya Yenusanema eketa tovanama i wanewaneba Numa Kodukodu kumenanina kana wasiketai, tovibwanaose nakanakasisi keta visime kana tovisawavenena yota tokawakawa si nemiya nenei, 
MRK.11.28	eketa si nutoninuvenuveiya si bwaduwa, “Aitevana ya visime i veneu yo nofemaise ku savivinei? Namai ya visime ku vai?”
MRK.11.29	Yeisu i iyavisiya i bwaduwa, “Nutoninuvenuveyeina tamokaḡa ana venimiya ebe taki kwana fatiya maise, nao ana iyavimiya avi visime nenei nofe ibasima a savisavivineisi. 
MRK.11.30	Kwa iyaveiku, Yoni namai yana visime i vai yo i givibutabuta, abamei o namoḡa nenesiyai?”
MRK.11.31	Tututausiḡa si vikanunutoniya si bwaduwa, “Taki tana bwaduwa, ‘Abamei,’ nao ina bwaduwa, ‘Ava fasinei yo Yoni muka kwata vitumaḡanei?’ 
MRK.11.32	Yota muka kata fata be tana bwadu, ‘Namoḡa nenesiyai.’” Sabuveka si matutisiya uḡuna namoḡa si sanamaniya vitana Yoni o Guyau yana tomatakawa. 
MRK.11.33	Eketa si nufata Yeisu nenei si bwaduwa, “Muka kata sanamanei.”
MRK.11.33	Eketa i iyavisiya i bwaduwa, “Muka yota ana iyaveimi avi visime nenei nofe ibasima a savisavivineisi.”
MRK.12.2	Oyuna kana tovai kaetoḡa tamokaḡa i visimeiya i niya tobagunasima nenesiyai be kana tuku ina viya. 
MRK.12.3	Eatu tobagunasima kaetoḡa si tabiya eketa si munuya eyo si viyewiya makaekaena. 
MRK.12.4	Kaetoḡa kana vinuwa i teweye-savaviniya nenesiyai, eatu debabounei si munuya eketa si givisinemumuya. 
MRK.12.5	Tonibaguna kaetoḡa kana vitonu i visimeiya eatu si nuvimatiya. Yota yagwanisi i teweisiya atu tamokaḡa fufuninama si fufuniya, tunisi si munusiya atu tunisi o si nuvimatisiya.
MRK.12.6	Naki tamokaḡamoka i tufowa o tauna natukatekatena. Tovanama i visimeiya tobagunasima nenesiyai, nuwasinenei i bwaduwa, ‘Nofe o natuku eketa sina vifotuwiya.’
MRK.12.7	Tobagunasima tututausi si vikanunutoniya si bwaduwa, ‘Ake, tonibaguna natuna i nenemiya. Kwa dibwana, ta nuvimatei ebe yana baguna tana vitoniwagiya.’
MRK.12.8	Gwadinama si givikaviniya si nuvimatiya eyo genefi baguna nenei si tewekikinomaniya.”
MRK.12.9	Eketa Yeisu i nutoninuvenuveisiya i bwaduwa, “Namaise yami vinuwadadana? Tonibaguna ava ina fufuniya nenesiyai? A iyaiyavimiya, ina nemiya eketa ina nuvimatisiya. Eatu bagunanama ina tenetamaniya tamo yota tobaguna nimasiyai. 
MRK.12.10	Guyau fonakituna i bwaduwa,
MRK.12.12	Diu toviketanuneina si sanamanemokiya Yeisu fasisiyai i nusifufuwa na fasinei ketaketa si nuwasa be sita givikaviniya, eatu sabuveka si matutisiya eketa si kitamokiya i fakwa atu si kafiyauyauna.
MRK.12.13	Munifotai, Diu toviketanuneina tunisi Fanasi eketa Enoda kana tomuniyeina si visimeisiya Yeisu nenei vitana sina tonisebiya be tamo aviyavana ina bwaduwe-goyowiya. 
MRK.12.14	Si nemiya nenei eketa si bwaduwa, “Tovisawavenena, ka sanamaniya kwaḡa namoḡa venemokena. Muka tamo aitevana yana nusuyai kuta ninai yota Guyau yana ketaketa venemokena nenei ku vivisawavenena. Yamasi ku iyaveiki, takesi kata nufata Sisa nenei o muka?”
MRK.12.15	Yeisu naki i sanamanemokiya vitana si aanuvanuva be sina nonuya na fasinei i iyavisiya i bwaduwa, “Ava fasinei kwa aanuvanuva be kwana vikonaiku? Yamasi tamo gabana kwa nemiyei be a kitai.” 
MRK.12.16	Tovanama si nemiiya nenei i iyavisiya i bwaduwa, “Aitevana mayamayauna eketa kana wava nofe gabana nenei?”
MRK.12.16	Si bwaduwa, “Sisa.” 
MRK.12.17	Eketa i iyavisiya i bwaduwa, “Make nao Sisa yana nogonogo kwa venei, eatu aviyavana Guyau fasinei nao Guyau kwa venei.”
MRK.12.17	Yana nusifufu nenei si mayaḡa.
MRK.12.19	“Tovisawavenena, Guyau yana visime Mosese nofemaise i viginiwiya fasikiyai. Taki namoḡa kawana ina matemakanoviya eatu muka tamo natunatuna, nao kwafunina kana tufunuwa ina vikawaniya. Eketa tovanama ina vinatuna, nao tomate natunatuna. 
MRK.12.20	Tova tamokaḡa namoḡa tufudenideni kasi 7 nenesiyai, kotokikinuna i vikawana eketa muka tamo natunatuna eatu i mateya. 
MRK.12.21	Eketa gwadiyei yota nekwafunanama i vikawaniya eketa muka tamo natunatuna eatu i mateya. Yota taisi kotokinenena i vikawaniya eketa muka tamo natunatuna eatu i mateya. 
MRK.12.22	Tufudenidenisi kasi 7 nekwafuna si vikawaniya. Eatu muka tamo natunatusi atu si mateya. Munifotamokeyai nekwafunanama i mateya. 
MRK.12.23	Kasi 7 nekwafunanama si vikawaniya eketa misini-savavineina kana tovai, aitevana o kawana venemokena?”
MRK.12.24	Yeisu i nufata i bwaduwa, “Kwa sinatamaniya uḡuna muka kwata sanamanei Guyau fonakituna keta yota muka kwata sanamanei Guyau yana fiwana. 
MRK.12.25	Tovanama mateyai sina misini-savavinisiya, muka sina vikawana atu sina fakwa naki maise Guyau kana kaetoḡa abamai.
MRK.12.27	Eketa tanake o yawayawasisi yasi Guyau atu muka matematesi.
MRK.12.30	Eketa Tuveka ya Guyau kuna nuwagabubuwiya katekateu matatafunei, yawasiu matatafunei be ya nuwanuwa matatafunei yota ya fiwana matatafunei.’ 
MRK.12.31	Eyota visime kana vinuwa nao, ‘Unafafaniu kuna nuwagabubuwiya maise tauḡu ka nuwagabubu.’ Nofe nuwesi o nakatamataisi yo muniyai visime yagwanina.”
MRK.12.33	Yata Guyau tana nuwagabubuwiya katekateta matatafunei yota yata nuwanuwa matatafunei be yota yata fiwana matatafunei. Eketa unafafanita tana nuwagabubuwiya maise tututauta kata nuwagabubu. Nofe visime nuwesi kasi muniyeina o nakatamokena muniyai yo yata vibwanaose keta yomuyomu kasi gumatatafu Guyau nenei.”
MRK.12.34	Tovanama Yeisu i kitiya namoḡa i nusifufuwa na yana nuwatasanamana, i iyaviya i bwaduwa, “Kwaḡa o muka ka kedawanau Guyau yana kafa visime nenei.” Noko muninei muka tamo aitevana ita katevatu be tamo nutoninuvenuveyeina Yeisu ita venei.
MRK.12.35	Yeisu i gigisawakedana Numa Kodukodu kumenanina kana wasiketai eatu i bwaduwa, “Namaise yo visime kana tovisawavenena si bwadubwadu vitana Togifafafana Gigibokeinana o Deivida natuna? 
MRK.12.36	Kanunu Tafutafuna Deivida i viketiiya keta nofemaise i bwaduwa,
MRK.12.37	Deivida tauna o Togifafafana Gigibokeinana nenei i visawatuveka eketa namaise yo nenei yota ita visawanatuna?” Yana nusifufuwai sabuveka nuwatasi i oviya.
MRK.12.38	Yeisu yana gisawakedana nenei yota i bwaduwa, “Matami ina kanakasiya visime kana tovisawavenena nenesiyai. Yasi waneba nenesiyai, nuwanuwasi nuya dewabausi sina kotokotonisiya. Nuwanuwasi sabu namoḡa vifotuwai sina venuvenuyofiyofisiya kabaḡa kafa vivitamaneina nenesiyai. 
MRK.12.39	Yota nuwanuwasi kivi dewadewasiḡa numa kafa yokoyoko sinesiyai, maise yota ka kana tovai nuwanuwasi kawakawa kasi kivi nenesiyai sina nunuvitoḡa. 
MRK.12.40	Yasi kawanunuku o nubwanubwayousi ebe namoḡa sina davisiya, eatu tasike namoisima o vivinekwafukwafuna yasi numa kasi nogonogo si kakanema. Guyau ina vimatadawanisiya nakatamokena.”
MRK.12.41	Numa Kodukodu kumenanina kana wasiketai Yeisu kavenenakaoḡo kana koni kutafakainai i fakwasiotoḡa eatu sabu i vivinanusiya yasi gabana si kikivitotoḡa. Namoḡa yagwanisi kaikaiwabusi yasi gabana nakanakasisi si dawana. 
MRK.12.42	Eatu negoyogoyo nekwafuna si nemiya keta gabana nuwesi musumususi si totoisiya.
MRK.12.43	Eketa kana tomuniyeina i wenisiya si nemiya keta i iyavisiya i bwaduwa, “A iyaiyavimiya venemokena, negoyogoyo nekwafuna o yasi kavenenakaoḡo nakatamataina muniyai yo namoḡa matatafusi. 
MRK.12.44	Uḡuna namoḡa kaikaiwabusi o yasi gabana matatafumokena i fakwa atu kasiminaḡa si teniya yasi kavenenakaoḡo fasinei, eatu noko negoyogoyomoka o yasi kinofe tausi kasi ovivita fasinei, matatafumokena si nubutuya.”
MRK.13.1	Tovanama Yeisu Numa Kodukodu sinenei i kikinomana, kana tomuniyeina tamokaḡa i iyaviya i bwaduwa, “Tovisawavenena, numa nofe dewabausi ku kitaisi keta yota gabana kitagoyosi nenesiyai si kiyona.”
MRK.13.2	Eketa Yeisu i bwaduwa, “Numasima nofe kitagoyosi ku kitikitisiya o yawane matatafusi sina yakwena-koḡoisiya. Muka tamo gabana ina tufo naki matatafuna sina tewesobuwe-koḡoiya.”
MRK.13.3	Yeisu koya Onive nenei i nuvitoiya eketa i kitatamana Numa Kodukodu kuweyaina. Tovanama nenei, Fita, Yemesa, Yoni eketa Anideneya tasikeḡa si nemiya si nutoninuvenuveiya si bwaduwa, 
MRK.13.4	“Yamasi kuta iyavikiya, nofe ibasima ku iyaiyavikiya o avi tovai sina kikinomana. Avi kiyakiyaya nenei kana sanamanei vitana nofe ibasima o kabegomokena sina kikinomana?” 
MRK.13.5	Eketa Yeisu i iyavisiya i bwaduwa, “Matami ina fekuwa ebe muka tamo aitevana ina nonoimi. 
MRK.13.6	Yawane namoḡa yagwanisi sina nemiya eketa kaku wavai sina bwaduwa, ‘Make iyau togifafafanamokeku.’ Nofe nenei yawane namoḡa yagwanisi sina nonusiya. 
MRK.13.7	Muka kwana kate-kuvavana taki aviya bigana kwana nowaniya ketamwakufwai o kedawanauwai. Nofe ibasima o sina mikikikinomana eatu nai o muka vitana tova kana kafa nusafu. 
