MAT.1.1	Abraham poho ne Dabid koro poho Yesu Kiristo ekashi shinrit ikiri anuye kambi.
JHN.19.35	Orowa, nukan nisa guru anak ne paweteshu ki nisa ruwe ne, orowa, nei guru ki paweshu-i anak ne son no ambe ne: shinuma son no ambe ye-hi shinuma eraman, echi utara ne yakka eishokoro kuni gusu ne na. 
JHN.19.36	Inambe gusu ne yakun,—Tap okaibe hetuku ikkewehe anak ne,—Shinuma koro shine pone ne yakka shomo kaye kusu ne, ari an Kamui nuyere itak auweoma kuni gusu an ap ne. 
JHN.19.37	Orowa, shui Kamui nuyere moshima no an itak ene ye-hi:—Aotke guru orun nei utara ingara kusu ne na.
JHN.19.38	Tap orushpe okaketa Yudea un utara koishitoma gusu arorokishne no Yesu koikara guru ne Arimatea un Yosep anak ne Yesu koro kaisei koro wa oman kuni Pirato ekoramkon nisa ruwe ne: orowa, Pirato ramuoshma nisa ruwe ne. Tambe gusu, shinuma ek wa nei kaisei uk. 
JHN.19.39	Samata, hoshiki anchikara ta Yesu orota ek Nikodemos ne yakka motsuyaku newa rokwai ukopoyegep ukotamge ashikne hotne shine 
JHN.19.40	ikkin koro wa ek nisa ruwe ne. Tambe gusu, nei utara anak ne Yesu koro kaisei uk wa Yudea un utara iwak buri nei no pirika hura ushbe tura senkaki otta kokarakari nisa ruwe ne. 
JHN.19.41	Yesu akungi kokikkik ushiketa toi an ruwe ne; orowa, nei toi otta naa shomo ainu aande ashiri tushiri an. 
JHN.19.42	Yudea un utara Etokooiki buri an gusu nei ushiketa Yesu ande nisa ruwe ne (nei tushiri ehange no an ruwe ne gusu ne na).
JHN.20.1	Orowa, Mawari atpake an toho ta, naa shirikunne an ita, Makdarene un Maria anak ne tushiri otta ek, awa, nei tushiri wano shuma auk wa an shiri nukara. 
JHN.20.2	Tambe gusu, shinuma hoyupu hine Simon Petros newa moshima an Yesu omap koikara guru otta ek wa orota ene itak-hi:—Nei utara anak ne tushiri orowa no Utarapa uk, awa, neita Shinuma ande ya chi erampeutek ruwe ne, sekoro itak. 
JHN.20.3	Tambe gusu, Petros newa nei moshima an koikara guru soyumba wa tushiri orun paye. 
JHN.20.4	Aige, nei tun anak ne ukotura hoyuppa nisa ruwe ne; awa, nei moshima an koikara guru anak ne Petros kasu no nitan wa hoshiki no tushiri otta ek ruwe ne; 
JHN.20.5	orowa, hotku wa tushiri orun ingara wa nei senkaki amip aande wa an shiri nukara; yakka, ahun shomoki ruwe ne. 
JHN.20.6	Orowa, Simon Petros ne yakka shinuma noshpa wa ek hine tushiri orota ahun; awa, nei aande wa an senkaki amip hemhem nukara, 
JHN.20.7	samata, ani Yesu koro sapa akokarakari senkaki hemhem, nei senkaki amip tura shomo ne, niki akara wa moshima an ushiketa shinep ne po aande wa an shiri nukan nisa ruwe ne. 
JHN.20.8	Tata otta hoshiki no ek nei moshima an koikara guru ne yakka ahun, aige, nukara, orowa, eishokon nisa ruwe ne. 
JHN.20.9	Rai orowa no Shinuma hetopo-shiknu kusu ne ap shiri an Kamui nuyere kambi naa nei utara erampeutek ruwe ne gusu ne na. 
JHN.20.10	Tambe gusu, koikara utara anak ne yaikota koro uni orun shui paye nisa ruwe ne.
JHN.20.11	Koroka, Maria anak ne chish koro soita tushiri samaketa ash wa an ruwe ne: awa, chish shiri an koro hotku wa tushiri orun ingan nisa ruwe ne; 
JHN.20.12	aige, retara amip mi wa okai tu Kamui hauturumbe nukara, Yesu kon netobake aande ushiketa, shinep nei sapaha an ushike shinep nei chikiri an ushiketa a wa an ruwe ne. 
JHN.20.13	Nei utara shinuma otta ene itak-hi:—Shiwentep, hemanda gusu e chish ruwe he an? Orota shinuma ene itak-hi:—Nen ka Ku goro Utarapa koro wa paye wa isama, neita Shinuma ande ushike Ku erampeutek ruwe ne gusu ne na, ari itak. 
JHN.20.14	Shinuma nei no ye okere chiki oshmake orun hosari hine Yesu ash korʼan shiri nukara, awa, Yesu ne sekoro erampeutek. 
JHN.20.15	Orota Yesu ene itakhi:—Shiwentep, nep gusu e chish ruwe he an? Inan guru e hunara ruwe? ari itak. Nei guru anak ne toi kara guru ne kuni shinuma yainu koro, orota ene itak-hi:—Nishpa, te wano Aokai anak ne Shinuma ani wa oman yak anak ne, neita aande ushike en nure wa en kore, orowa Kuani Shinuma ani wa oman kusu ne na, ari itak. 
JHN.20.16	Orota, “Maria,” ani Yesu itak. Orowa, nei shiwentep yai-hosari wa Hebrai un itak ani Rabboni, ari itak; tan itak ikkewehe anak ne Epakashnu guru ani an itak ikkewehe ne ruwe ne. 
JHN.20.17	Orota Yesu ene itak-hi:—Iteki En tomooshma yan; naa shomo Michi otta Ku rikin nisa ruwe ne gusu ne na: koroka, Ku iriwak otta arapa wa, orota, Kuani anak ne Ku goro Michi newa echi koro Michi, Ku goro Kamui newa echi koro Kamui otta Ku rikin ruwe ne, ani an itak ani ye yan, ari itak. 
JHN.20.18	Makdarene un Maria ek wa Shinuma koro koikara utara otta ene itak-hi:—Utarapa Ku nukan nisa, orowa, tap okaibe Shinuma orowa no a en nure an na, ari itak.
JHN.20.19	Orowa, nei toho ta, Mawari atpake an toho ta anak, shiri-onuman an koro, Yudea un utara koishitoma wa okai gusu, koikara utara okai ushiketa an apa-ushta ashi wa an, awa, nei ita Yesu ek hine utara tumugeta ash wa,—Echi utara otta itomo anro, ani ye. 
JHN.20.20	Orowa, tap ye okere chiki koro teke hemhem, ut hemhem nei utara otta nukare nisa ruwe ne na. Awa, koikara utara Utarapa nukara chiki, yaikopuntek nisa ruwe ne. 
JHN.20.21	Orowa, shui nei utara otta Yesu ene itak-hi:—Echi otta itomo anro; Michi anak ne En omande korachi, Kuani echi payere ash ruwe ne, sekoro itak. 
JHN.20.22	Tap ambe ye okere chiki nei utara kashiketa heise ki wa orota ene itak-hi:— 
JHN.20.23	Ashkanne Ramat echi uk yan: nen ne yakka koro katpak echi tusare yakun, atusare ruwe ne, orowa, nen ne yakka koro katpak echi ande yakun, aande ruwe ne kusu ne na, sekoro itak.
JHN.20.24	Koroka, nei tun ikashima wa niu tumuge un Didimos ani areikore Tomas anak ne, Yesu ek ita, nei utara tura no an shomoki nisa ruwe ne. 
JHN.20.25	Awa, moshima okai koikara utara anak ne:—Utarapa chi nukara ash nisa, ani an itak ani shinuma otta ye. Koroka, nei utara otta shinuma ene itak-hi:—Shinuma koro teke otta okai kungi kochi ku nukara, orowa, nei kungi kochi otta ku ashikipet ku omare, samata, koro ut otta ku teke ku omare shomoki yakun, ku eishokoro shomoki kusu ne na, ani itak.
JHN.20.26	Orowa, tupesan rereko okaketa shui koikara utara anak ne chisei ta okai, awa, Tomas nei utara tura no an nisa ruwe ne. Aige, apa-ushte ashi wa an, awa, Yesu ek wa utara tumugeta ash, aige, ene itak-hi:— 
JHN.20.27	Echi otta itomo anro, ani itak. Orowa, Tomas otta Shinuma ene itak-hi:—Eteun e koro ashikipet turi wa Ku teke ingara; e koro teke turi wa Ku ut otta omare yan; orowa, iteki eishokor-i sak no an, eishokoro yan, ani itak. 
JHN.20.28	Tomas ese wa Shinuma orota ene itak-hi:— 
JHN.20.29	Ku goro Utarapa, Ku goro Kamui. Orota Yesu ene itak-hi:—Eani En nukan nisa ruwe ne gusu eishokon nisa ruwe ne, awa, nukara shomoki no eishokon nisa utara anak ne anunuke ne ruwe ne, ani itak.
JHN.20.30	Tambe gusu, tan kambi-sosh kashiketa chieshinnuye shomoki poron no moshima okai shirosh Yesu anak ne koikara utara tek-samata kan nisa; 
JHN.20.31	koroka, teda anuye wa an okaibe anak ne, Yesu anak Kiristo ne, Kamui Poho ne, sekoro echi utara eishokoro kuni gusu chieshinnuye wa an; orowa, echi eishokoro wa Shinuma reihei ani inotu echi koro kuni gusu ne na.
JHN.21.1	Tap okaketa Yesu anak ne Tiberias ani aye atui samta shui koikara utara otta yainukare nisa ruwe ne; awa, tap korachi yainukare. 
JHN.21.2	Simon Petros hemhem, Didimos ani aye Tomas hemhem, Gariraya moshiri ta Kana kotan un Natanaeru hemhem, Zebedee koro poho utara hemhem, naa moshima okai tu koikara utara hemhem shineanda okai nisa ruwe ne. 
JHN.21.3	Nei utara otta,—Kuani anak ne chep koiki gusu Ku arapa, ari Simon Petros ye ruwe ne. Chi utara ne yakka e tura no ariki ash na, ani shinuma orota nei utara ye. Orowa, nei utara paye wa chip orun ahup; awa, nei anchikarata eomken nisa ruwe ne. 
JHN.21.4	Koroka, tane peken-nisat koro, Yesu atuisam kata ash ruwe ne: aige, Yesu ne sekoro koikara utara erampeutek ruwe ne. 
JHN.21.5	Tambe gusu, nei utara otta Yesu ene itak-hi:—Poho utara, nep ka aep echi koro ya? Shomo, ani an itak ani nei utara ese nisa ruwe ne. 
JHN.21.6	Orota Shinuma ene itak-hi:—Chip oshimon samta ya eyapkiri yan, yak anak ne chep auk kusu ne, ari itak. Tambe gusu, ya eyapkiri, aige, tane chep inne ne gusu ya etaye eaikap ruwe ne. 
JHN.21.7	Tambe gusu, nei Yesu omap koikara guru anak ne,—Utarapa ne, ari an itak ani Petros otta ye. Orowa, Utarapa ne sekoro Simon Petros nu chiki koro amip kut koro wa (shinuma atusa ne wa gusu), 
JHN.21.8	atui otta yai osura—, koroka, nei moshima an koikara guru anak ne pon chip o hine otta chep okai ya etaye wa ek (atui-sam ehangeko no an shomoki, go jikken nepkoro pakno kattiuma ruwe ne). 
JHN.21.9	Aine, yap wa ya ta sap chiki paspas abe anukara, orowa, nei kaskiketa chep an, samata, pantak an ruwe ne. 
JHN.21.10	Nei utara orota Yesu ene itak-hi:—Tane echi koiki chep koro wa ek yan, ari itak. 
JHN.21.11	Tambe gusu, Simon Petros anak ne chip ahun wa ya ta nei ya etaye, poro chep ani ya eshik ruwe ne; rep pish ikashima wan e tupesan hotnep okai ruwe ne: nei pakno inne chep okai yakka ya pereke shomoki nisa ruwe ne na. 
JHN.21.12	Nei utara otta Yesu ene itak-hi:—Echi araki wa ibe yan, ari itak. Orowa, Shinuma anak ne Utarapa ne sekoro koikara utara eraman gusu,—Aokai nen ne ruwe he an? ani nu eashkai guru isam ruwe ne. 
JHN.21.13	Orowa, Yesu ek wa nei pantak uk hine utara otta kore, chep ne yakka shem korachi. 
JHN.21.14	Tambe anak ne Yesu rai orowa no hetopo-a-shiknure okake re shui ne koro koikara utara otta ayainukare ushi ne ruwe ne na.
JHN.21.15	Nei utara ibe okere chiki Petros otta Yesu ene itakhi:—Yoannes poho Simon tap okaibe kasu no aokai En omap ya? ari itak. Orota, Ruwe un, Utarapa, Kuani E omap ash shiri Aokai eraman, ruwe ne, sekoro ye. Orota,—Ku pon hitsuji ibere yan, ari Shinuma itak nisa ruwe ne. 
JHN.21.16	Kanna, tu otutanu shui orota,—Yoannes poho Simon, aokai En omap ya? ari itak. Orota shinuma ene itak-hi:—Ruwe un, Utarapa, Kuani E omap ash shiri Aokai eraman ruwe ne, ari itak. Orota,—Ku hitsuji reshpa yan, ari Yesu itak. 
JHN.21.17	Re otutanu shui orota,—Yoannes poho Simon, aokai En omap ya? ari itak. Re shuine aokai En omap ya? ani an itak ani orota ye gusu, Petros anak ne oknatara ruwe ne. Awa, orota ene itak-hi:—Utarapa, Aokai anak ne nep ne yakka E eraman; Kuani E omap ash shiri Aokai eraman ruwe ne, ani itak. Orota, Ku hitsuji ibere yan, ani an itak ani Yesu itak. 
JHN.21.18	Son no, son no, e otta Ku ye:—Aokai upen ita anak ne yaikutkoro wa e rengaine neita ne yakka apkash nisa ruwe ne: koroka, e onne koro anak tekehe e turi hine moshima guru e kutkoro wa e oman rusui shomoki ushike orun e tura kusu ne na, ari itak. 
JHN.21.19	Shinuma tap ambe ye katu anak ne, Petros nekon a rai ambe ani Kamui nupek te kusu ne ya epeka no ye nisa ruwe ne. Orowa, Shinuma tambe ye okere chiki, orota,—En osh ek, ani itak. 
JHN.21.20	Petros hosari wa Yesu omap koikara guru osh ek shiri nukara; nei guru anak ne onuman ibehe ki rapoketa Shinuma koro kotparata ekopash wa,—Utarapa, E ekoshi guru nen ne ruwe he an, sekoro ye gunʼne. 
JHN.21.21	Tambe gusu, Petros nei guru nukara, aige, Yesu otta ene itak-hi:—Utarapa, tan guru gusu nekon a ambe ikichi ruwe? sekoro itak. 
JHN.21.22	Orota, Yesu ene itak-hi:—Shinuma Ku ek pakno an sekoro Kuani ramuoshma yakun, e otta nep an a? Eani En osh ek yan, sekoro itak. 
JHN.21.23	Tambe gusu, nei koikara guru rai shomoki kusu ne sekorʼan orushpe utara tumuge orun ashipi-raspare wa an ruwe ne: koroka, shinuma rai shomoki kusu ne, ani an itak ani Yesu ye shomoki nisa ruwe ne; koroka,—Shinuma Ku ek pakno an sekoro Kuani ramuoshma yakun, e otta nep an a? ani an itak ani Shinuma ye nisa ruwe ne.
JHN.21.24	Tan okaibe gusu paweteshu hemhem ki, tan okaibe nuye hemhem ki guru anak ne nei koikara guru ne ruwe ne; orowa, nei guru ki paweteshu-i anak ne son no ambe ne sekoro echi eraman ruwe ne.
JHN.21.25	Orowa, naa moshima Yesu iki poron no okaibe an, nei okaibe obitta pishno pishno anuye an chiki, moshiri yaikota ne yakka nei nuye kambi-sosh koro eaikap kuni Ku ramu ruwe ne.
ACT.1.1	Teopirus, eeshiri Kambi-sosh ku heashire, awa, nei kambi kata Yesu anak ne koro numge Apostoro utara otta Ashkanne Ramat ani eikashpaotte yara okaketa, 
ACT.1.2	Shinuma arikinde toho pakno kara hemhem ki epakashnu hemhem ki heashire obitta no okaibe gusu ku nuye nisa ruwe ne: 
ACT.1.3	Shinuma ayairamshitnere okaketa inne no okai shirosh ani shiknu wa an wa nei utara otta yainukare ne yakka ki hine tu hotne rereko uturuta nei utara otta anukara wa, Kamui moshiri gusu an orushpe nure nisa ruwe ne: 
ACT.1.4	aige, nei utara tura no uwekarapa wa an ita Yerusarem kotan orowa no shomo paye kuni ne, koroka, En orowa no echi nu a Michihi kara aeitakamkire ambe ehuye wa okai yan ani ikashpaotte ki nisa ruwe ne: 
ACT.1.5	inambe gusu ne yakun, Yoannes anak ne son no poka wakka ani baptisma kore; koroka, echi utara anak ne naa pon no okake an koro Ashkanne Ramat ani baptisma akore na.
ACT.1.6	Tambe gusu nei utara uwekarapa wa okai ita, Shinuma otta nu wa ene itak-hi:—Utarapa, Aokai tane an pakita Israeru un utara otta moshiri hoshipire ruwe he an? 
ACT.1.7	Orota Shinuma ene itak-hi:—Michi anak ne yaikota koro mondum rengaine esanniyo pakihi hemhem paha hemhem aeramande kuni-hi anak ne shomo echi akore na. 
ACT.1.8	Koroka, Ashkanne Ramat echi kashiketa an chiki, kiroro echi akore kusu ne: orowa, echi utara anak ne Yerusarem kotan otta hene, Yudea moshirʼebitta hene, Samaria moshirʼotta hene, moshiripa pakno moshirigesh pakno hene, En gusu paweteshu ki utara echi ne kusu ne, sekoro itak. 
ACT.1.9	Orowa, nei okaibe Shinuma ye okere chiki, utara ingara korʼan rapoketa, Shinuma arikinde nisa ruwe ne; awa, nei utara shiksam wano nishkuru Shinuma uk nisa ruwe ne. 
ACT.1.10	Orowa, Shinuma rikin uturuta, nei utara kando orun kashioingara rapoketa, ingarʼan, retara amip rai tu ainu nei samakegeta roshki wa okai awa, itak omare ene oka-hi:— 
ACT.1.11	Gariraya un echi utara, nep gusu echi roshki kane kando orun ingan ruwe he an? echi orowa no kando otta auk tan Yesu kando orun oman ambe echi nukara okere korachi, nei no Shinuma ek kusu ne na, sekoro itak.
ACT.1.12	Orowa nei utara anak ne Kanran-ush ari aye nupuri orowa no Yerusarem kotan orun hekomba nisa ruwe ne; nei nupuri anak ne Yerusarem kotan ehange, Kamui toho ta paye-hi pakno an ushike ne ruwe ne. 
ACT.1.13	Orowa ahup an chiki, otta okai shiri rikta an tumbu orun rikin nisa ruwe ne; nei ita Petros hemhem Yoannes hemhem Yakob hemhem Andreas hemhem okai, Piripos newa Tomas, Bartoromaios newa Mattaios, Arupeus koro Yakob, Zerotes ne Simon, orowa, Yakob koro Youdas okai ruwe ne. 
ACT.1.14	Tan utara obitta shineikinne shiwentep utara tura, samata, Yesu koro habo Maria newa Shinuma koro akihi utara tura ramma-kane inonno-itak shiriki okai korʼan nisa ruwe ne na.
ACT.1.15	Orowa, nei toho ta Petros anak ne iriwak utara tumugeta ash wa ene itak-hi (nei ita inne utara uwekarapa wa okai, iwan hotne niu pakno ehange ruwe ne):— 
ACT.1.16	Iriwak utara, Yesu kishima utara otta ru epakashnu Youdas gusu etokota Ashkanne Ramat Dabid paroho ani ye Kamui kambi auweomare ambe anak ne nekon a ka hetuku kunip ne ruwe ne. 
ACT.1.17	Inambe gusu ne yakun, nei guru anak un tura aepishki wa tan yaishieiwangere-hi otta iki kuni ikip akore nisa ruwe ne. 
ACT.1.18	(Tan guru anak ne wenbe pummaha ani shine toi hok; orowa, ehoroka hachiri wa onnaige tuye pereke, orowa, koro kan kan obitta soyoshma nisa ruwe ne. 
ACT.1.19	Orowa, tan orushpe Yerusarem kotan ta oshiroma wa okai utara obitta nu; nei utara koro itak ani nei toi Akerudama ari an itak ani aporose pakno aeramanbe ne: nei itak ibehe anak ne “kem-ush” toi ari an ibehe ne ruwe ne). 
ACT.1.20	Inambe gusu ne yakun, Iyobaichish oma kambi kata ene chieshinnuye wa an:—
ACT.1.20	Nei guru kot chisei mun konchi kore
ACT.1.20	Orowa, nei chisei ta nen ne yakka iteki oshiroma kuni ne kara yan.
ACT.1.20	Shui,
ACT.1.20	Shinuma koro kuni ushike oya guru shikkashimare yan, sekorʼambe anuye wa an ruwe ne gusu ne na.
ACT.1.21	Tambe gusu, Yoannes kore baptisma wano heashi wa Shinuma un orowa no arikinde pakno ramma Utarapa ne Yesu un tumugeta soyun shiri hemhem ki ahun shiri hemhem ki rapoketa un tura 
ACT.1.22	no an teda okai utara otta shinen anak ne Shinuma hetepo-a-shiknure ambe gusu un tura paweteshu ki kuni kusu ne na, sekoro itak. 
ACT.1.23	Orowa, nei utara tun atte, shinen anak ne Yosep ari areikore Barsabbas Yustus ne, shinen auak Mattias ne ruwe ne na. 
ACT.1.24	Orowa, nei utara inonno-itak ki wa ene itak-hi:—Aokai, Utarapa, obitta no okai utara koro keutum eraman Kamui E ne ruwe ne; koro ushike orun oman kuni ne orowa no ohaita Youdas kon nisa tap otta yaishieiwangere kunip newa 
ACT.1.25	Apostoro ki kuni ambe ukouina gusu tan tun otta Aokai numgep inambe ne ya sekoro un eramande wa un kore, ani itak, 
ACT.1.26	orowa, nei guru gusu ukokonchi etaye; awa, Mattias epeka nisa ruwe ne: orowa, shinuma anak ne nei shinen ikashima wa niu ne Apostoro tura aipishki nisa ruwe ne na.
ACT.2.1	Orowa, Pentekoste toho tane auweomare shiri an ita anak ne, nei utara obitta shineanda uwekarapa wa okai. 
ACT.2.2	Awa, ekushkonna kando orowa no poro rera pash humi humkosanu hine, otta nei utara rok wa okai chisei upshoro etushnatki nisa ruwe ne. 
ACT.2.3	Aige, ausaraye wa okai abe-o nepkoro parumbe nei utara otta anukara, awa, pishno okai nei utara kata rok nisa ruwe ne. 
ACT.2.4	Orowa nei utara Ashkanne Ramat ani aeshik, aige, nei Ramat yere korachi, oya moshirʼun itak ani itak heashire nisa ruwe ne.
ACT.2.5	Nei ita kando choropoketa obitta no okai moshiri uirup wano araki aainukoro Yudea un utara Yerusarem kotan ta oshiroma nisa ruwe ne. 
ACT.2.6	Awa, tan humi anu chiki, inne utara uwekarapa, orowa, okai utara anak ne pishno pishno yaikota koro kotan un itak ani nei utara ye hawe nu gusu, sambe-a-kokuruse nisa ruwe ne. 
ACT.2.7	Aige, utara obitta oyamokte wa enushkari hine ene hawe oka-hi:—Ingarʼan, tap ye utara anak ne obitta Gariraya un utara shomo ne ya? 
ACT.2.8	Yakun, nekon a chi utara anak pishno pishno otta shiko nroshirʼun itak anu ya? 
ACT.2.9	Partos un utara hene, Medea un utara hene, Eram un utara hene, samata, Mesopotamia, Yudea, 
ACT.2.10	Kapadokia, Ponto, Asia, Eurugia, Ramfuria, Echipt newa Kurene samaketa an Ribua kotan un utara hene, orowa, Roma otta reushi utara, Yudea un utara newa Yudea un epakashi koikara kuni akara utara hene, 
ACT.2.11	Kurete un utara newa Arabia un utara hene, chikoro kotan un itak ani nei utara anak ne Kamui kiroro ki ikip ye-hi chi nu ruwe ne, sekoro itak. 
ACT.2.12	Orowa, nei utara obitta oyamokte wa keutum chiutumashbare, aige;—Tap okaibe ikkewehe nekon a ambe ne ya? ari an itak ani 
ACT.2.13	utashpa ye nisa ruwe ne. Koroka, moshima okai utara anak ne eoya-itak wa ene hawe oka-hi:—Nei utara ashiri tonoto aeshik no okai ruwe ne na, ari itak nisa.
ACT.2.14	Koroka, Petros anak ne nei shinen ikashima wa niu tura no ash wa hawe sange hine orota ene itak-hi:—Yudea un nishpa utara, shui, Yerusarem kotan ta ne yakka oshiroma utara uwesamamba tambe uonnere yan, tap ku ye itak inu wa en kore yan. 
ACT.2.15	Echi yainu-hi nei no tan utara anak ne ihoshki utara shomo ne ruwe ne; ouse tokap re ikinne an pakihi ne ruwe ne gusu ne na; 
ACT.2.16	koroka, tambe anak ne uweingara guru ne Yoeru paroho chiitakte hawe ne:—
ACT.2.17	Kamui ene itak-hi:—Okese an toho ta,
ACT.2.17	Kuani anak ne obitta no okai kam kata Ku Ramat Ku ohetu kusu ne:
ACT.2.17	Aige, echi koro okkai poho newa matne poho uweingara ki,
ACT.2.17	Echi koro okkaibo utara anak ne anukarape nukara,
ACT.2.17	Echi koro ekashi utara wendarap nukara kusu ne:
ACT.2.18	Ruwe nu, nei toho ta, ku goro usshiune okkai usshiune matne utara kata
ACT.2.18	Ku Ramat Ku ohetu kusu ne; aine, nei utara uweingara ki kusu ne na.
ACT.2.19	Orowa, rikta an kando ta aeiyokunnure ambe kene,
ACT.2.19	Rata an moshiri kata hene shirosh Ku nukare kusu ne;
ACT.2.19	Kem newa abe newa shupuya pa ne ruwe ne:
ACT.2.20	Aige, Utarapa koro toho,
ACT.2.20	Nei poro newa ashitoma toho ek etokota,
ACT.2.20	Tokap chup anak ne kunne ne kuni aitasare,
ACT.2.20	Orowa, kunne chup anak ne kem ne kuni aitasare kusu ne:
ACT.2.21	Orowa, inan guru ne yakka Utarapa reihei konishuk gurʼanak ne kashi-a-obiuki kusu ne na.
ACT.2.22	Israeru un echi utara tap an itak nu wa ikore yan: Echi utara yaikota echi eraman korachi, ari Kamui anak ne echi tumugeta iki ari Kamui sonnere kiroro an ikip newa iyokunnurep newa shiroshi newa kara Nazaret un Yesu anak ne; 
ACT.2.23	Shinuma, Kamui etoko wano an eraman irenga newa aesanniyo esanniyop an gusu aekoshi okere chiki, echi utara anak ne ikashpaotte otereke utara koro teke ani, utasa chikuni otta kungi kokikkik 
ACT.2.24	wa raigere nisa ruwe ne: Kamui anak ne rai gusu an nuwapbe pita chiki Shinuma hetopo-shiknure nisa: inambe gusu ne yakun, nei ambe ani Shinuma ashikkashima eaikapbe ne ruwe ne. 
ACT.2.25	Shinuma gusu Dabid ene itak-hi:—
ACT.2.25	Ramma ku shik-samata Utarapa ku nukan nisa;
ACT.2.25	Shinuma ku shimon-tek samata an gusu shomo a en moimoigere kusu ne:
ACT.2.26	Tambe gusu ku sambe yainuchattek, orowa, ku parumbe nupetne nisa;
ACT.2.26	Orosama, ku kam anak ne chipachipa wa oshiroma kusu ne na.
ACT.2.27	Inambe gusu ne yakun, Aokai anak ne Hedes oshiketa ku ramat ande shomoki,
ACT.2.27	Shui, e koro Ashkanne Guru iteki munin kuni ne e kara kusu ne gusu ne na.
ACT.2.28	Ishu oma ru Aokai en eramande nisa;
ACT.2.28	Orowa, Aokai an gusu yainuchattek-hi ani e en shikte kusu ne na.
ACT.2.29	Iriwak utara, akoro keushut ne Dabid gusu rametokkon no ku ye yak pirika, shinuma rai wa iyurui orota aomare nisa, aige, tanto pakno shinuma gusu an ashni an na. 
ACT.2.30	Shinuma anak ne uweingara guru ne wa gusu, orosama, koro araset kata rok kuni guru shinuma etumam noshke wa hetuku kusu ne ari an ambe ani Kamui shiyuppa no itak wa uitaknu nisa ruwe ne sekoro eraman gusu; 
ACT.2.31	shinuma tap okaibe etoko wano eraman wa Kiristo hetopo-shiknu-hi epeka no ye; Shinuma Hedes oshiketa shomo aande nisa, koro kara shomo munin nisa ruwe ne na. 
ACT.2.32	Kamui anak ne tan Yesu hetopo-shiknure nisa, nei ambe gusu paweteshu ki utara chi ne ruwe ne. 
ACT.2.33	Shinuma anak ne Kamui shimon-tek samata arikta ande wa an gusu, orowa, Michi orowa aeitakamkire okere Ashkanne Ramat akore gusu, tap echi nukara hemhem ki inu hemhem ki ambe ohetu nisa ruwe ne.
ACT.2.34	Inambe gusu ne yakun, Dabid anak ne kando orun rikin shomoki: koroka yaikota yaiotta ene itak-hi:—
ACT.2.34	Utarapa anak ne ku goro Utarapa otta ene itak-hi:—E epokba utara ani e chikiri andep ne ku kara pakno,
ACT.2.35	Ku shimon-tek samata a yau, ari itak.
ACT.2.36	Israeru ikiri un utara obitta utura ashi shomoki no tambe uonnere yan, Kamui anak ne, tan echi utara utasa chikuni otta raige Yesu ani Utarapa newa Kiristo ne kan nisa ruwe ne na.
ACT.2.37	Aige, nei utara anakne tap an itak nu chiki, koro sarabe aotke-otke wa Petros newa moshima okai Apostoro utara otta,—Iriwak utara, nekon 
ACT.2.38	a chi ki yak pirika ya?— ari itak. Orota Petros ene itak-hi:—Yaikokatpak yan, orowa, koro katpak atusare gusu pishno pishno Yesu Kiristo kon reihei otta baptisma uina yan; yak anak ne Ashkanne Ramat ari an korarabe akore kusu ne na. 
ACT.2.39	Inambe gusu ne yakun, nei aeitakamkire ambe anak ne echi koro sanikiri gusu hemhem, otta konishuk chikoro Utarapa ne Kamui koro utara gusu, ehangeko no an ushiketa okai utara gusu hemhem an ambe ne ruwe ne, sekoro itak. 
ACT.2.40	Orowa, inne moshima okai itak ani shinuma paweteshu ki wa onishnishi hine ene itak-hi:—Tan oheuge ainu ikiri orowa no yaikota yaiohaitare yan. 
ACT.2.41	Tata otta shinuma ye itak uina utara anak ne baptisma akore nisa: aige, nei toho ta shinuma utara otta san sen nin ne utara tura no akopishki nisa ruwe ne. 
ACT.2.42	Awa, nei utara ramma-kane Apostoro epakashi koro hine tura no ukopoye, aine, nei pan meshpa hemhem ki nei inonno-itak hera hem ki shiriki okai nisa ruwe ne na.
ACT.2.43	Orowa, nei utara pishno pishno ishitoma, awa, Apostoro utara ani inne iyokunnurep newa shirosh aki nisa. 
ACT.2.44	Orowa, obitta no okai eishokoro utara anak ne ukotura no okai wa nep ne yakka utura ouse no koro; 
ACT.2.45	aige, ikoro newa korobe newa eiyok wa nen ne yakka aeishiramne-hi an nei no obitta no okai utara gusu eimek nisa ruwe ne. 
ACT.2.46	Orowa, to pishno shine ikinne ramma keutum atte wa Kamui kora kenru ta okai hene ki, koro uni ta pan meshpa hene ki, aine, oheuge sak no an keutura koro wa yainuchattek no aep ibe hene ki, 
ACT.2.47	Kamui ramye hene ki, obitta no okai utara gusu irenga koro bene ki wa okai nisa ruwe ne na. Aige, Utarapa anak ne kashiaobiuki shiri okai utara kesto range ko-are nisa ruwe ne.
ACT.3.1	Orowa, inonno-itak ki kuni pakihi ta, ku ji pakihi ta, Petros newa Yoannes anak ne Kamui kora kenru orun hemeshpa korʼan. 
ACT.3.2	Awa, koro habo honi wa san orowa no hera ruwe ne a an ainu anak ne aani wa, Kamui kora kenru ta ahup utara otta eungeraitep koramkoro kuni ne, nei kenru koro Chitomtep ari an itak ani aporose apa-ushta samaketa ahotkere wa an nisa ruwe ne; 
ACT.3.3	nei guru anak ne tane Kamui kora kenru ta ahup korʼan shiri Petros newa Yoannes nukara chiki, eungeraitep koramkon ruwe ne. 
