GEN.1.1	Idi 
1CH.28.3	Ngem ti Dios kinunana caniac, 
1CH.28.4	Nupay casta ni Jehova, a Dios ti Israel, pinilinac iti amin a balay ni amac nga agari iti Israel iti 
1CH.28.6	Ket kinunana caniac, Ni anacmo a 
1CH.28.7	Ket pasingkedacto ti pagarianna iti agnanayon, no sitatalinaed a mangaramid cadagiti bilbilinco ken cadagiti ipaannurotco, a cas itoy nga aldaw.
1CH.28.8	Ita ngarud, iti imatang ti amin nga Israel, a gimong ni Jehova, ken iti pannacangngeg ti Diostayo, sungputenyo ken birukenyo amin a bilbilin ni Jehova a Diosyo; tapno matagicuayo daytoy naimbag a daga, ken isu ti maibatiyo a maysa a tawid nga agnanayon cadagiti annacyo a sumaruno cadacayo.
1CH.28.9	Ket sica, Salomon nga anacco, 
1CH.28.10	Agannadca ita: ta pinilinaca ni Jehova a mangbangon iti maysa a balay a maipaay iti santuario: pumigsaca, ket isu ti aramidem.
1CH.28.11	Sa ni David 
1CH.28.12	Ken ti pacawadan ti amin nga adda idi iti espirituna, maipaay cadagiti paraangan ti balay ni Jehova, ken maipaay cadagiti amin a 
1CH.28.13	Casta met ti maipaay cadagiti 
1CH.28.14	Iti balitoc a tinimbeng a maipaay cadagiti 
1CH.28.15	Iti tinimbeng met a maipaay cadagiti 
1CH.28.16	Ken iti balitoc a tinimbeng a maipaay cadagiti lamesaan ti tinapay ti pamarang, a maipaay iti tunggal lamesaan; ken pirac a maipaay cadagiti lamesaan a pirac;
1CH.28.17	Ken dagiti 
1CH.28.18	Ket ti maipaay iti 
1CH.28.19	Amin daytoy, 
1CH.28.20	Ket ni David kinunana ken Salomon nga anacna, Pumigsaca ket tumuredca, ket isu ti aramidem: dica agbuteng, dica maupay ta ni Jehova a Dios, a Diosco met laeng, 
1CH.28.21	Ket, adtoy, adda dagiti pannacadasdasig dagiti papadi ken Levitas, a maipaay iti panagannong ti balay ti Dios: ket addadanto kenca iti amin a kita ti aramid ti tunggal natulnog a lalaki 
1CH.29.1	Ket ni ari David kinunana iti amin a gimong, Ni anacco a Salomon, isu a maymaysa a pinili ti Dios, 
1CH.29.2	Iti amin a cabaelac nagsaganaac a maipaay iti balay ti Diosco iti balitoc a maipaay cadagiti 
1CH.29.3	Maysa pay, agsipud ta insaadco ti ragragsacco iti balay ti Diosco, idinto ta addaanac ti gameng a cucuac met laeng a balitoc ken pirac, isu intedco iti balay ti Diosco, sabali laeng ti insaganac a maipaay iti nasantoan a balay,
1CH.29.4	A 
1CH.29.5	Iti balitoc a maipaay cadagiti 
1CH.29.7	Ket intedda a maipaay iti panagservi ti balay ti Dios ti balitoc lima a ribu a talento ken sangalacsa a 
1CH.29.8	Ket isuda agraman dagiti nacasaracan cadagiti 
1CH.29.9	Idi a casta nagrag-o dagiti umili, ta nagidatonda iti sibubulos a nakemda, agsipud ta 
1CH.29.10	Gapuna a ni David binenditona ni Jehova iti sango ti amin a gimong; ket ni David kinunana, 
1CH.29.11	Cucuam, O Jehova, ti 
1CH.29.13	Ita ngarud, Diosmi, agyamancami kenca, ken agdayawcami iti nagloriana a naganmo.
1CH.29.14	Ngem asinoac, ken ania ti ilic, tapno cabaelanmi coma ti mangidaton iti sibubulos a cas iti daytoy a kita? ta naggapu amin a banbanag kenca, ket iti cucuan ti itdenmi kenca.
1CH.29.16	O Jehova a Diosmi, amin daytoy a kinawadwad nga insaganami a tapno ibangonandaca iti maysa a balay a maipaay iti nasantoan a naganmo naggapu ita imam, ket cucuam amin.
1CH.29.17	Ammoc met, Diosco, a 
1CH.29.18	O Jehova, a Dios ni Abraham, ni Isaac, ken ni Israel, nga ammami, salimetmetam daytoy iti agnanayon iti 
1CH.29.19	Ket iccam ni anacco a Salomon iti maysa a 
1CH.29.20	Ket ni David kinunana iti amin a gimong, Ita benditoenyo ni Jehova a Diosyo. Ket 
1CH.29.21	Ket nagsacrificarda cadagiti sacrificios ken Jehova, ken nagidatagda ken Jehova cadagiti datdaton mapuuran iti bigat calpasan daydi nga aldaw, a sangaribu met laeng a vacvaca a lallaki, sangaribu a carcarnero, ken sangaribu a corcordero, agraman cadagiti 
1CH.29.22	Ket nanganda ken imminumda iti sango ni Jehova idi nga aldaw a binuyog ti dackel a ragsac. Ket pinagarida ni Salomon nga anac ni David iti 
1CH.29.23	Idin ni Salomon timmugaw iti trono ni Jehova a cas ari iti saad ni David nga amana, ket nagrang-ay; ket amin nga Israel nagtulnogda kencuana.
1CH.29.24	Ket amin a pangpangoloen, ken dagiti lallaki a mamaingel, ken amin met dagiti annac a lallaki ni ari David inrucbabda ti bagbagida ken ari Salomon.
1CH.29.25	Ket ni Jehova intan-ocna ni Salomon iti casta unay iti imatang ti amin nga Israel, ket 
1CH.29.26	Ngarud ni David nga anac ni Jesse nagari iti amin nga Israel.
1CH.29.27	Ket ti tiempo ti pinagarina iti Israel 
1CH.29.28	Ket isu natay iti maysa a naimbag a kinalacay, a napno cadagiti al-aldaw, kinacbacnang, ken dayaw: ket nagari iti saadna ni anacna a Salomon.
1CH.29.29	Dagiti ar-aramid ni ari David, immuna man ken naudi, adtoy, naisuratda iti historia ni 
1CH.29.30	Agraman amin a pagarianna ken pannacabalinna, 
2CH.1.1	Ket ni Salomon nga 
2CH.1.2	Ket ni Salomon nagsao iti amin nga Israel, cadagiti 
2CH.1.3	Iti casta ni Salomon, ken iti amin a gimong a naicuyog kencuana, napanda iti 
2CH.1.4	Ngem ti 
2CH.1.5	Maysa pay ti 
2CH.1.6	Ket ni Salomon simmang-at sadiay iti sango ni Jehova agingga iti altar a ginambangan, nga adda idi idiay tolda ti gimong, ket 
2CH.1.8	Ket ni Salomon kinunana iti Dios, Sica imparangarangmo ti dackel a kinamanangngaasim ken David nga amac, ket pinagarinac iti saadna.
2CH.1.9	Ita, O Jehova a Dios, pasingkedam coma ti carim ken David nga amac; ta pinagarinac iti maysa nga umili a cas iti tapoc ti daga iti caaduda.
2CH.1.10	Itdem caniac ita ti kinasirib ken pannacaammo, tapno macaruarac ken macastrecac iti sango daytoy nga umili; ta siasino ti macabalin nga agocom itoy nga ilim, a casta unay ti cadackelna?
2CH.1.11	Ket ti Dios kinunana ken Salomon, Agsipud ta daytoy adda ita pusom, ket sica saanmo a dinawat ti kinabacnang, sanicua wenno dayaw, wenno ti biag dagidiay a gumura kenca, saanmo pay met a dinawat ti atiddug a panagbiag; no di ket kiniddawmo ti kinasirib ken pannacaammo a maipaay kenca, tapno mabalinmo ti agocom iti ilic, a cadacuada pinagarica:
2CH.1.12	Kinasirib ken pannacaammo mayawatda kenca; ken itdecto kenca ti kinabacnang, sanicua, ken dayaw, a cas 
2CH.1.13	Iti casta ni Salomon napan nanipud iti 
2CH.1.15	Ket ti ari inaramidna a ti pirac ken balitoc idiay Jerusalem cas la cadagiti batbato, ket dagiti cantingen isu inaramidna a cas la cadagiti caycayo a sicomoro nga adda iti daga a nababa, iti kinaruayda.
2CH.1.16	Ket dagiti cabcabayo nga adda idi ken Salomon naigapuda sadi Egipto; ket dagiti pagbaniagaen ti ari isuda ti nangawat cadacuada iti pinangen, tunggal pangen iti maysa a pateg.
2CH.1.17	Ket insang-atda ket inruarda sadi Egipto ti maysa a lugan a gapu iti innem a gasut 
2CH.2.1	Ket ni Salomon pinanggepna a bangonen ti maysa a balay a maipaay iti nagan ni Jehova, ken maysa a balay a maipaay iti pagarianna.
2CH.2.4	Adtoy, dandani bangonec ti maysa a balay a maipaay iti nagan ni Jehova a Diosco, tapno ipaayco kencuana, ken tapno puurac iti saclangna ti incienso dagiti nabanglo a recrecado, ken maipaay iti 
2CH.2.5	Ket ti balay a bangonec dackel; ta dackel ti Diosmi iti ngatoen dagiti amin a didios.
2CH.2.7	Gapuna ita ibaonmo caniac ti maysa a lalaki a nalaing nga agtrabajo iti balitoc, ken iti pirac, ken iti gambang, ken iti landoc, ken iti purpura, ken carmesi, ken azul, ket ammona no casano ti panagkitikit 
2CH.2.8	Casta met nga ipaw-itmo caniac dagiti caycayo cantingen, parparwa, ken 
2CH.2.9	Tapno mangisaganada met laeng a maipaay caniac iti taricayo a nawadwad; ta ti balay a dandani bangonec dackelto ken nacascasdaaw.
2CH.2.10	Ket, 
2CH.2.11	Idin ni Huram nga ari ti Tiro nagsubalit iti surat ket imbaonna ken Salomon, 
2CH.2.12	Ni Huram kinunana pay, Bendito ni Jehova a Dios ti Israel, a nangaramid ti langit ken daga, isu a nangted ken David nga ari iti maysa nga anac a masirib, nga addaan kinasaririt ken pannacaawat, a mangbangon coma ti balay a maipaay ken Jehova, ken maysa a balay a maipaay iti pagarianna.
2CH.2.13	Ket itan imbaonco ti maysa a lalaki a nalaing nga agaramid, nga addaan pannacaawat, a naggapu ken Huram nga amac,
2CH.2.14	Nga annac a lalaki ti maysa a babai cadagiti annac ni Dan; ket ti amana maysa a lalaki 
2CH.2.15	Gapuna ita ti trigo ken cebada, ti lana ken ti arac, a sinao caniac 
2CH.2.16	Ket pucanenminto ti cayo idiay Libano, iti caadu a cas adda a pacasapulam; ket iyegminto kenca, a maiyunoy iti baybay agingga iti 
2CH.2.17	Ket ni Salomon binilangna amin a gangannaet nga adda idi iti daga ti Israel a mayannurot iti panagbilang, isu a pinagbilang ni 
2CH.2.18	Ket tinudinganna ti pitopulo a ribu cadacuada a mangimet cadagiti aw-awiten ken walopulo a ribu nga agtagtaga idiay, ket tallo a ribu ket innem a gasut nga agay-aywan a mangisaad cadagiti tattao iti trabajo.
2CH.3.1	Idin nangrugi ni 
2CH.3.2	Ket isu inrugina ti mangbangon iti maicadua 
2CH.3.3	Ket dagitoy dagiti cimiento nga incabil ni 
2CH.3.4	Ket ti balcon nga adda idi iti 
2CH.3.5	Ket ti dacdackel a 
2CH.3.6	Ket inarcosanna ti balay cadagiti napateg a batbato a maipaay iti sayaatna: ket ti balitoc, balitoc a naggapu iti Parvaim.
2CH.3.7	Kinalupcupanna met ti balay, dagiti dadackel a caycayona, dagiti dapian, ken dagiti didingna, ken dagiti ruangan, iti balitoc; ket inkitikitna dagiti kerubin cadagiti diding.
2CH.3.8	Ket inaramidna ti 
2CH.3.9	Ket ti timbeng dagiti lansa limapulo a siclo a balitoc. Ket kinalupcupanna dagiti nangatngato a 
2CH.3.10	Ket iti casasantoan a balay inaramidna dagiti 
2CH.3.11	Ket dagiti payac dagiti kerubin duapulo a sico ti caatiddugda ti payac ti maysa a kerubin lima a sico, a dimteng iti diding ti balay; ket ti sabali a payac 
2CH.3.12	Ket ti payac ti sabali a kerubin lima a sico, a dimteng iti diding ti balay; ket ti sabali a payac lima a sico 
2CH.3.13	Dagiti paypayac dagitoy a kerkerubin nagucradda iti duapulo a sico: ket nagtacder dagiti sacsacada, ket dagiti rupada simmangoda idi iti balay.
2CH.3.14	Ket inaramidna ti bengbeng nga asul ken purpura, ken carmesi, ken nalapat a lienzo, ket nagaramid cadagiti kerkerubin iti 
2CH.3.15	Casta met nga inaramidna iti sango ti balay dagiti 
2CH.3.16	Ket inaramidna dagiti calangcang iti oraculo, ket incabilna ida cadagiti toctoc dagiti monmon; ket inaramidna ti sangagasut a granadas, ket incabilna ida cadagiti calangcang.
2CH.3.17	Ket isu pinatacderna dagiti monmon iti sango ti templo, maysa iti macanawan, ti sabali iti macatigid; ket ginaladanna ti nagan ti dayta iti macanawan iti Jakin, ket ti nagan iti dayta iti macatigid iti Boaz.
2CH.4.3	Ket iti sirocna adda ti caasping dagiti vacvaca, a nailawlaw iti aglicmut, iti sangapulo a sico, a paglawlawan ti baybay iti aglicmut. Dagiti sinan-vaca dua caintarda, a naisucog idi a ti baybay nasucog.
2CH.4.4	Isu nagbatay cadagiti sangapulo ket dua a sinan-vaca, dagiti tallo simmangoda iti amianan, ket dagiti tallo simmangoda iti laud, ket dagiti tallo simmangoda iti abagatan, ket dagiti tallo simmangoda iti daya; ket ti baybay naisaad iti rabawda, ket amin a paspasetda a camaudi addada iti uneg.
2CH.4.5	Ket sangadangan ti capuscolna; ket ti ngarabna naaramid a cas iti ngarab ti maysa a tagayan, a cas sabong ti maysa a lirio: no punoen laonenna idi ti tallo ribu a bat.
2CH.4.9	Casta met inaramidna ti paraangan dagiti papadi, ken ti dackel a paraangan, ken dagiti ruruangan a maipaay iti paraangan, ket kinalupcupanna dagiti ruanganda iti gambang.
2CH.4.10	Ket insaadna ti baybay iti akincanawan a bangir 
2CH.4.12	Dagiti dua a monmon, 
2CH.4.13	Ken dagiti uppat a gasut a granada a maipaay cadagiti dua nga aramid nga iniket; dua cabatog a granada maipaay iti tunggal aramid nga iniket, a pangabbong cadagiti dua a malocong dagiti paratoc nga adda idi iti rabaw dagiti monmon.
2CH.4.14	Inaramidna met dagiti batay, ket dagiti bacca inaramidna iti rabaw dagiti batay;
2CH.4.15	Maysa a baybay ken sangapulo ket dua a sinan-vaca iti sirocna.
2CH.4.16	Dagiti banga met ken dagiti soplad, ken dagiti pagadaw iti lasag, ken amin nga al-alicamenna, inaramid ni Huram nga amana a gapu ken ari Salomon, a maipaay iti balay ni Jehova iti nasileng a gambang.
2CH.4.17	Iti tanap ti Jordan ti nagpasucugan cadacuada ti ari, iti daga a pila iti nagbaetan ti Socot ken 
2CH.4.18	Castoy ti panangaramid ni 
2CH.4.19	Ket ni Salomon inaramidna amin dagiti al-alicamen nga addada idi iti balay ti Dios, ti balitoc nga altar met, ken dagiti lamesaan a yan idi ti tinapay ti pamarang;
2CH.4.20	Ken dagiti candelero agraman pagsilawanda, a sigagangat a mayannurot iti alagaden iti sango ti oraculo, a pulpulos a balitoc;
2CH.4.21	Ken dagiti sabsabong, ken dagiti pagpagsilawan, ken dagiti sipsipit a balitoc, ket dagita balitoc a nasudi unay;
2CH.4.22	Ken dagiti pangarsang, ken dagiti bacca, ken dagiti cuchara, ken dagiti pagiccan ti apuy, a pulpulos a balitoc. Ket no maipapan ti pagsercan iti balay, dagiti naun-uneg a ruangan a maipaay iti casasantoan a disso, ken dagiti ruangan ti balay, 
2CH.5.1	Iti casta amin nga aramid a ni Salomon inaramidna a maipaay iti balay ni Jehova nalpas. Ket ni Salomon inserrecna dagiti banbanag a ni David nga amana indatonna idi, ti met laeng pirac, ken ti balitoc, ken amin nga al-alicamen, ket incabilna ida cadagiti paggamengan ti balay ti Dios.
2CH.5.3	Ket amin dagiti lallaki ti Israel nakiragupda iti ari idi fiesta, a naisaad iti maicapito a bulan.
2CH.5.4	Ket amin dagiti lallacay ti Israel napanda: 
2CH.5.5	Ket isuda insang-atda ti lacasa ni Jehova, ken ti tolda ti gimong, ken amin dagiti nasantoan nga aruaten nga adda idi iti tabernaculo; dagitoy insang-at dagiti papadi a 
2CH.5.6	Ket ni ari Salomon ken amin a gimong ti Israel a nakiragup kencuana, caduana ida iti sango ti lacasa, a nagidatdaton cadagiti carcarnero ken vacvaca, a saan a nabilang ken napocpoc gapu iti kinaruayda.
2CH.5.7	Ket dagiti papadi impastrecda ti lacasa ti tulag ni Jehova iti saadna, iti uneg ti oraculo ti balay, iti casasantoan a disso, iti baba dagiti payac dagiti kerubin.
2CH.5.8	Ta dagiti kerubin inyucradda dagiti payacda iti ngato ti saad ti lacasa, ket dagiti kerubin lininonganda ti ngato ti lacasa ken dagiti pagassiwanna.
2CH.5.9	Ket dagiti pagassiwan atiddugda unay a dagiti murdong dagiti pagassiwan makita manipud iti lacasa iti 
2CH.5.10	Awan ti nagyan iti lacasa no di-laeng dagiti dua a tapi a bato nga incabil 
2CH.5.11	Ket naaramid idi a dagiti papadi rimmuarda iti nasantoan a disso (ta amin dagiti papadi a sisasaclang idi pinasantificarda dagiti bagbagida, 
2CH.5.12	Casta met dagiti Levitas a cumacanta idi, 
2CH.5.13	Naaramid idi a dagiti agtortororot ken cumacanta nagmaymaysada, tapno sangsangcatimecda a mangngeg iti panagdayaw ken panagyaman ken Jehova; ket idi impigsada ti timecda a buyugen dagiti tortororot, ken piangpiang, ken ar-arwaten ti musica, ket nagdayawda ken Jehova, 
2CH.6.1	Idi a casta nagsao ni Salomon, 
2CH.6.2	Ngem siac imputaranca iti maysa a balay a pagnaedam, ken maysa a disso tapno pagnaedam iti agnanayon.
2CH.6.3	Ket ti ari intaliawna ti rupana ket binendicionanna ti amin a gimong ti Israel: ket ti amin a gimong ti Israel timmacder.
2CH.6.4	Ket isu kinunana, Bendito ni Jehova, a Dios ti Israel, isu a nagsao iti ngiwatna ken David nga amac, ket cadagiti imana tinungpalna a kinunana,
2CH.6.5	Nanipud iti aldaw a panangaonco iti ilic iti daga nga Egipto, diac nagpili ti ili cadagiti capcaputotan ti Israel a mangputar iti maysa a balay, a pagyanan coma ti naganco; diac met pinili ti uray siasinoman a tao tapno isu ti pangoloen ti ilic nga Israel:
2CH.6.7	Ket adda idi iti puso ni David nga amac ti panamutar iti maysa a balay a maipaay iti nagan ni Jehova, a Dios ti Israel.
2CH.6.8	Ngem ni Jehova kinunana ken David nga amac, Agsipud ta adda iti pusom ti panamutar iti maysa a balay a maipaay iti naganco, sica naimbag ti inaramidmo nga adda iti pusom:
2CH.6.9	Nupay casta sica saanmonto a putaren ti balay; ngem ti anacmo a rumuarto cadagita lomom, isu putarennanto ti balay a maipaay iti naganco.
2CH.6.10	Ket ni Jehova pinasingkedanna ti saona a sinaona; ta siac binangonnac iti saad ni David nga amac, ket agtugawac iti trono ti Israel, a cas incari ni Jehova, ket pinutarco ti balay a maipaay iti nagan ni Jehova, a Dios ti Israel.
2CH.6.11	Ket idiay insaadco ti lacasa, a yan ti tulag ni Jehova, nga isu inaramidna cadagiti annac ti Israel.
2CH.6.12	Ket isu nagtacder iti sango ti altar ni Jehova iti sango ti amin a gimong ti Israel, ket inyunnatna dagiti imana.
2CH.6.13	(Ta ni Salomon inaramidna ti maysa a 
2CH.6.14	Ket kinunana, O Jehova, a Dios ti Israel, awan ti Dios a cas kenca, uray iti langit, uray iti daga; a salimetmetanna ti tulag ken ti kinamanangngaasi cadagiti ad-adipenmo, a magna iti sangom iti amin a pusoda;
2CH.6.15	A sinalimetmetam ken adipenmo a ni David nga amac ti incarim kencuana: wen, sica insaom iti ngiwatmo, ken tinungpalmo iti imam, a cas itoy nga aldaw.
2CH.6.16	Ita ngarud, O Jehova, a Dios ti Israel, salimetmetam ken adipenmo a David nga amac ti incarim kencuana, a kinunam, Saanto nga agcurang kenca ti maysa a lalaki iti imatangco nga agtugaw iti trono ti Israel, no la ket ta dagiti annacmo aluadanda ti dalanda, a magnada iti lintegco a cas pannagnam iti sangoc.
2CH.6.17	Ita ngarud, O Jehova a Dios ti Israel, ipalubosmo a ti saom mapasingkedan coma, isu nga insaom ken adipenmo a David.
2CH.6.18	Ngem, agpayso aya a ti Dios makipagnaedto cadagiti tattao iti daga? Adtoy, dagiti langit ken ti langit dagiti langlangit saandaca a malaon; dinto ngarud ad-adda daytoy a balay a pinutarco!
2CH.6.19	Nupay casta sica patgam coma ti cararag ti adipenmo, ken ti kiddawenna, O Jehova a Diosco, nga ipangagmo ti asug ken ti cararag a ti adipenmo icararagna iti sangom;
2CH.6.20	A dagiti matam silulucatda coma a sumango itoy a balay iti rabii ken iti aldaw, a sumango met laeng iti disso nga isu ti nagcunaam nga icabilmonto ti naganmo idiay; a mangipangag iti cararag a ti adipenmo icararagnanto a sumango iti 
2CH.6.21	Ken ipangagmo ti ar-araraw ti adipenmo, ken ti ilim nga Israel, no isuda agcararagda a sumango ditoy a disso: wen, sica denggem manipud iti pagnaedam, nga manipud met laeng iti langit; ket intono mangngegmo, pacawanem.
2CH.6.22	No maysa a tao agbasol iti maicaniwas iti caarrobana, ket maysa a sapata ti maisaad kencuana a pamagsapata kencuana, ket isu umay 
2CH.6.23	Iti casta denggem manipud langit, ket aramidem, ket ocomem dagiti ad-adipenmo, a dusaem ti nadangkes, a yegmo ti dalanna iti olona met laeng; ken justificarem ti nasingpet, nga isu ti gungunaam a cas ti kinalintegna.
2CH.6.24	No ti ilim nga Israel macabil iti sango ti cabusor, ta isuda nagbasolda iti maicaniwas kenca, no isuda agsublida kenca, ket ipudnoda ti naganmo, ket agcararagda ken agpacaasida iti sangom ditoy a balay;
2CH.6.25	Sica denggem ngarud manipud langit, ket pacawanem ti basol ti ilim nga Israel, ket ipanmo manen ida iti daga a sica intedmo cadacuada ken cadagiti ammada.
2CH.6.27	Sica denggem ngarud manipud langit, ket pacawanem ti basol dagiti ad-adipenmo, ken ti ilim nga Israel, intono sica isurom cadacuada ti naimbag a dalan a rebbengda a pagnaan; ket agbaonca ti tudo iti dagam, isu nga intedmo iti ilim a pannacatawidna.
2CH.6.28	No addanto bisin iti daga, no addanto angol, no addanto kebbet, wenno buot, dudon, wenno arabas; no dagiti cabusorda lacubenda ida iti daga dagiti il-ilida; aniaman a pannaplit, wenno aniaman a sakit nga adda;
2CH.6.29	Aniaman a cararag ken aniaman a panagpacaasi nga aramiden ti siasinoman a tao, wenno ti amin nga ilim nga Israel, nga ammoento ti tunggal tao ti saplitna met laeng, ken ti ladingitna met laeng, ket yunnatna dagiti imana a sumango iti daytoy a balay:
2CH.6.30	Sica denggem ngarud manipud langit a pagnaedam, ket mamacawanca, ket isupapacmo iti tumunggal tao ti mayanatup iti amin a dalanna, a ti pusona sica pagaammom (ta sica, sica laeng, ti macaammo cadagiti puspuso dagiti annac dagiti tattao);
2CH.6.31	Tapno isuda agamangada kenca, a magna cadagiti dalanmo, bayat ti panagbiagda iti daga isu nga intedmo cadagiti ammami.
2CH.6.32	Casta met iti maipanggep iti gangannaet, 
2CH.6.33	Denggem ngarud manipud langit, a manipud met laeng iti pagnaedam, ket aramidem ti mayannurot iti amin a dawaten kenca ti gangannaet; tapno amin dagiti umili iti daga maammoanda iti naganmo, tapno agamangada kenca, a cas ti ilim nga Israel; ken tapno isuda maammoanda a daytoy a balay a pinutarco isu ti magaladan iti naganmo.
2CH.6.34	No ti ilim rumuar iti paggugubatan a maibusor cadagiti cabusorda, iti uray sadino a pangibaonam cadacuada, ket isuda cumararagda kenca a sumango iti ili a pinilim, ken sumango iti balay a pinutarco a maipaay iti naganmo;
2CH.6.35	Sica denggem ngarud manipud langit ti cararagda ken ti ararawda, ket saranayem ti calinteganda.
2CH.6.36	No isuda agbasolda iti maicaniwas kenca (ta awan ti tao a di macabasol), ket sica agungetca cadacuada, ket yawatmo ida iti cabusor, tapno ipanda ida a kinayawan iti maysa a daga, adayu man wenno asideg;
2CH.6.37	Nupay casta no isuda met laeng agpanunutda idiay daga a pacaipananda a cayaw, ket sumiasida, ket umararawda kenca idiay daga a nacacayawanda a cunada, Dacami nagbasolcami, nagaramidcami a sidadangkes, ket dacami nagaramidcami iti kinadakes;
2CH.6.38	No isuda agsublida kenca iti amin a pusoda ken iti amin a cararuada idiay daga a nacacayawanda, iti disso a nangipananda cadacuada a nacayawan, ket cumararagda kenca a sumangoda iti dagada, isu nga intedmo cadagiti ammada, ken ti ili a sica pinilim, ken iti balay a pinutarco a maipaay iti naganmo:
2CH.6.39	Sica denggem ngarud ti cararagda ken dagiti ararawda manipud langit, manipud met laeng iti pagnaedam, ket saranayem ti calinteganda, ket pacawanem ti ilim isu a nagbasol iti maicaniwas kenca.
2CH.6.40	Ita, O Diosco, gumawawaac kenca, silulucatda coma dagiti matamken dagiti lapayagmo a siimdeng coma iti cararag a maaramid iti daytoy a disso.
2CH.6.42	O Jehova Dios, 
2CH.7.1	Ket idi ni Salomon 
2CH.7.2	Ket dagiti papadi saanda a nacastrec iti balay ni Jehova, agsipud ta ti dayag ni Jehova pinunnona ti balay ni Jehova.
2CH.7.3	Ket amin nga annac ti Israel kimmitada, idi bimmaba ti apuy, ket ti dayag ni Jehova adda iti balay; ket inrucnoyda dagiti ruprupada agingga iti baba iti rabaw ti pagpayatan a nabaldosaan, ket nagrucbabda, ket nagyamanda ken Jehova, 
2CH.7.5	Ket ni ari Salomon nangidatag iti daton a duapulo ket dua a ribu a vacvaca, ken sangagasut ket duapulo a ribu a carcarnero. Iti casta ti ari ken ti amin nga umili inconsagrarda ti balay ti Dios.
2CH.7.6	Ket dagiti papadi nagtacderda a mayannurot cadagiti saadda; dagiti Levitas met a siiiggem cadagiti arwaten ti musica ni Jehova, nga inaramid idi ni David a pagyaman ken Jehova (ta ti kinamanangngaasina 
2CH.7.7	Maysa pay ni Salomon sinantificarna ti tengnga ti paraangan nga adda idi iti sango ti balay ni Jehova; ta sadiay indatagna dagiti datdaton a mapuuran, ken ti taba dagiti datdaton ti cappia, ta ti altar a gambang nga inaramid idi ni Salomon saanna a nalaon ti daton a mapuuran, ken ti daton a macan, ken ti taba.
2CH.7.8	Iti casta ni Salomon rinambacanna ti fiesta idi a tiempo bayat iti pito nga aldaw, ket amin nga Israel caduana, maysa a dackel unay a gimong manipud iti pagsercan ti Hamat 
2CH.7.9	Ket iti maicawalo nga aldaw inaramidda ti nadaeg a gimong 
2CH.7.10	Ket iti maicaduapulo ket tallo nga aldaw ti maicapito a bulan imbaonna ti umili a 
2CH.7.12	Ket ni Jehova nagparang ken Salomon iti rabii, ket kinunana kencuana, Siac nangngegco ti cararagmo, 
2CH.7.13	No punitac dagiti langlangit tapno awan ti tudo, wenno bilinec dagiti dudon a mangalun-un iti daga, wenno ibaonco ti angol iti nagtengngaan ti ilic;
2CH.7.14	No dagiti tattaoc, a nagaladanda iti naganco, agpacumbabada, ket agcararagda, ket sapulenda ti rupac, ken sumiasida cadagiti nadangkes a dalanda; 
2CH.7.15	Ita dagiti matac silulucatda, ken dagiti lapayagco siimdengda iti cararag a maaramid itoy disso.
2CH.7.16	Ta ita pinilic ken sinantificarco daytoy a balay, tapno ti naganco adda coma idiay iti agnanayon; ket agnanayon nga addanto dagiti matac ken ti pusoc sadiay.
2CH.7.17	Ket no maipapan kenca, no magnaca iti sangoc a cas iti pannagna ni David nga amam, ket aramidem cas mayalubog iti amin nga imbilinco kenca, ket salimetmetam dagiti ipaalagad ken ipaannurotco;
2CH.7.18	Patibkerecto ngarud ti trono ti pagariam, cas mayalubog iti tulagco ken David nga amam, a kinunac, 
2CH.7.19	Ngem ket di no sumiasicayo, ket baybay-anyo dagiti ipaalagadco ken bilbilinco nga incabilco iti sangoyo, ket incayo agservi cadagiti didiosen a sabali, ket agrucbabcayo cadacuada;
2CH.7.21	Ket daytoy a balay a casta unay a nagdaeg, tunggal maysa a lumabas kencuana masdaawto, ket cunaennanto, Apayapay nga inaramid ni Jehova ti castoy iti dagana, ken iti daytoy a balay?
2CH.7.22	Ket sumungbatdanto, Agsipud ta binay-anda ni Jehova a Dios dagiti ammada, a nangaon cadacuada iti daga ti Egipto, ket nangalada cadagiti sabsabali a didiosen, ket nagrucbabanda ida ket nagservianda ida: gapuna nga isu inyegna cadacuada amin daytoy a dakes.
2CH.8.1	Ket naaramid idi 
2CH.8.2	A dagiti il-ili nga inted idi ni Huram ken Salomon, 
2CH.8.3	Ket ni Salomon napan idiay Amath-soba, ket pinarucmana.
2CH.8.4	Ket binangonna ti Tadmor idiay let-ang, ken amin dagiti il-ili a pagidulinan a binangonna idiay Hamat.
2CH.8.5	Casta met a binangonna ti Bet-oron nga akinngato, 
2CH.8.6	Ken Baalat, ken amin nga il-ili a pagidulinan nga adda idi ken Salomon, ken amin nga il-ili a maipaay cadagiti lugluganna, ken dagiti il-ili a maipaay cadagiti lallakina nga agcabayo, ken amin a tinarigagayan ni Salomon a bangonen a maipaay iti ragsacna idiay Jerusalem, ken idiay Libano, ken iti amin a daga ti pagarianna.
2CH.8.7	Ket no maipapan cadagiti amin a tattao a nabaybay-an cadagiti Heteos, Amorreos, ken Ferezeos, ken Heveos, ken Jebuseos, a saanda idi a taga Israel;
2CH.8.8	Cadagiti annacda a natda idi calpasanda iti daga; isuda a saan nga inibus idi dagiti annac ti Israel, cadacuada ti namangonan ni Salomon iti maysa a pannacapulong 
