MAT.1.1	Libru yaꞌa kakuneꞌe xixitna Jesucristu. Xixitna‑ia n‑kuu David. Xixitna David n‑kuu Abraham. 
ROM.15.4	Davaꞌa nga tnuꞌu Ianyuux yodotnuni xa daa nga n‑xe kodotnuni xa na kaꞌu ñayiu, te kutuꞌa vaꞌa‑i xa yodotnuni. Xaxeꞌe xa ka tuꞌa vaꞌa‑ro xa yodotnuni jan ndɨkɨu ndɨñuu xñu ini‑ro xa nanitaꞌu‑ro, te ña tuu nax ku ini‑ro hora ndaꞌu yaꞌa‑ro. Tnuꞌu yodotnuni jan kida xa kukaꞌnu anu‑ro. 
ROM.15.5	Kida Ianyuux xa dani ñu ini‑ro xa ndixi Cristu Jesús, te xndetu kanu ini‑ro. Dɨuni kida‑ia xa kukaꞌnu anu‑ro. Mee‑ia na kada xa ɨnuu na kani ini koio‑n na xani ini Cristu Jesús 
ROM.15.6	na kuaꞌa ɨnuu kani ini koio‑n hora najuen tnuꞌu koio‑n Taa‑ro Ianyuux. Kuu‑ia Taa Jesucristu, Ia kuu Xtoꞌo‑ro.
ROM.15.7	Nani kuvaꞌa anu Cristu nuu koio‑n, dani io xa ku kuvaꞌa anu‑n nuu dava ka ñayiu kukanu ini‑ia xee veꞌe‑n. Ndukaꞌnu Ianyuux hora na kada koio‑n xijan. Tna ini‑ia xijan. 
ROM.15.8	Daa io xa kada koio‑n chi n‑xinokuechi Cristu nuu ñayiu Israel xa na jɨn tnaꞌa xa n‑jaꞌan Ianyuux nuu uxi uu daꞌya yɨɨ Israel, chi xa daa nga n‑jaꞌan Ianyuux xa kada‑ia ɨɨn xa kada‑ia daꞌya dana‑s. 
ROM.15.9	N‑xetnaꞌa xa n‑jaꞌan‑ia xa kada‑ia xa na kuaꞌa ndadakaꞌnu ñayiu ñatu ka kuu ñayiu Israel‑ia. Ka ndadakaꞌnu‑i‑ia xaxeꞌe xa kundaꞌu ini‑ia‑i. Duꞌa yodotnuni xa n‑jaꞌan ɨɨn se n‑jaꞌan nuu Ianyuux:
ROM.15.9	Juñaꞌa‑da nuu ñayiu ñatu kuu ñayiu Israel xa kuu‑n Ianyuux.
ROM.15.9	Nakuetu‑da nuu‑n.
ROM.15.9	Kata‑da Salmos.
ROM.15.10	Dɨuni yodotnuni xa n‑jaꞌan ɨnka se n‑jaꞌan:
ROM.15.10	Ndixi, ñayiu ñatu ka kuu ñayiu Israel, io xa kuvete koio‑n xiꞌin ñayiu ka kuu daꞌya Ianyuux.
ROM.15.11	Duꞌa yodotnuni ɨnka ntuku nuu yodotnuni:
ROM.15.11	Io xa najuen tnuꞌu ndixi, xa ka kuu‑n ñayiu ñatu ka kuu ñayiu Israel Ianyuux.
ROM.15.11	Na nakuetu ntdaa ñuu ñuñayiu nuu‑ia.
ROM.15.12	Te dɨuni n‑chidotnuni se n‑xo nani Isaías:
ROM.15.12	Ɨɨn se kuu daꞌya dana Isaí taxnuni,
ROM.15.12	chi n‑taxnuni xixitna‑s.
ROM.15.12	Taxnuni‑s nuu ñayiu ñatu ka kuu ñayiu Israel.
ROM.15.12	Kukanu ini ñaꞌa ñayiu xa kada‑s xa n‑jaꞌan Ianyuux xa kada‑s.
ROM.15.13	Ianyuux, kuu‑ia Ia kida xa ñatu xe tnɨɨ ini‑ro xa yaꞌa xa xñu ini‑ro xa yaꞌa. Na kada‑ia xa kuvete koio‑n xaxeꞌe xa kukanu ini‑n‑ia, te dɨuni na kada‑ia xa maxku kune ini ka‑n xaxeꞌe kuechi n‑ka kida‑n chi ndumani‑ia xiꞌin‑n xaxeꞌe xa kukanu ini‑n‑ia. Nux daa na xee kuu, kada Espíritu‑ia xa ma natu ini‑n xa kukanu ini‑n‑ia, ni ma jɨn tnɨɨ anu‑n xa kukanu ini ka‑n‑ia.
ROM.15.14	Xini‑da xa ka kaꞌu‑n tnuꞌu Ianyuux yodotnuni, te vaꞌa ka tuꞌa‑n. Dɨuni xini‑da xa vaꞌa ka dakuaꞌa tnaꞌa‑n. Xaxeꞌe xijan xini‑da xa xandaa xakuiti yo unu vaꞌa‑n. 
ROM.15.15	Xa nadajaꞌan ñaꞌa ntuku‑da xa kada‑n xa n‑jaꞌan‑da ya, n‑chidotnuni‑da ntdaa tnuꞌu yaꞌa. N‑kuyɨɨ‑da xa n‑chidotnuni‑da xaꞌa. Nadajaꞌan ñaꞌa‑da xijan xaxeꞌe xa n‑tetutniu ñaꞌa Ianyuux 
ROM.15.16	xa dakuaꞌa‑da ñayiu ñatu kuu daꞌya dana Israel. Mudu yaꞌa xinokuechi‑da nuu Cristu Jesús. Jaꞌan‑da nuu ñayiu nax io xa kada‑i xa nanitaꞌu‑i. Kuenda kɨu dutu kuu‑da, te kuenda kɨu ɨɨn xa n‑ka doko dutu nuu altar te nakueka Ianyuux ka kuu ñayiu dakuaꞌa‑da. Ɨɨn xa tna ini Ianyuux ka nduu‑i chi n‑kida Espíritu‑ia xa n‑ka nduu‑i ñayiu ii. 
ROM.15.17	Xaxeꞌe xa kunduu‑da xiꞌin Cristu Jesús, najuen tnuꞌu‑da mee‑da hora kakuneꞌe‑da ñayiu ndeka Ianyuux. Ndeka‑ia‑i xaxeꞌe xa dakuaꞌa‑da‑i. 
ROM.15.18+ROM.15.19	Ñadu mee ni‑da n‑kida xa n‑kida‑da chi Cristu n‑kida xa n‑ndaku‑da xa n‑kida‑da xijan. N‑kida‑ia xa ndaku‑da xa jaꞌan‑da xa n‑jaꞌan Ianyuux nuu ñayiu. Dɨuni n‑chindee ñaꞌa‑ia xa n‑kida‑da xavaꞌa, te n‑ka xo ndeꞌa ñayiu. N‑kida Espíritu Ianyuux xa tɨtnɨ vuelta n‑kida‑da milagru. Xaxeꞌe ntdaa xijan jandixa ñayiu ñatu ka kuu daꞌya dana Israel Ianyuux. N‑jaꞌan‑da nuu ñayiu Jerusalén xiꞌin ntaka ñuu n‑ka nadukunduu Jerusalén xa na kukanu ini‑i Cristu na kuaꞌa nanitaꞌu‑i. Nde Jerusalén xiꞌin nde nuu nani Iliria n‑jaꞌan‑da xijan. N‑kida‑da ntdaa tniu n‑taxi Ianyuux. 
ROM.15.20	N‑xeꞌen‑da nuu ñayo n‑xo xini jundu kuu Cristu. Xijan ñu ini‑da xa kada‑da chi ñatu n‑kuu anu‑da xa jɨꞌɨn‑da nuu xá n‑ka kixeꞌe ɨnka ñayiu xa jaꞌan‑i xijan. 
ROM.15.21	Nakaxtnaꞌa xaꞌa xiꞌin xa yodotnuni. Duꞌa yodotnuni:
ROM.15.21	Ñayiu ta jini ka xa n‑kida‑s, jini‑i xijan vitna.
ROM.15.21	Ñayiu ta teku ka xa n‑kida‑s, teku‑i xijan.
ROM.15.21	Te jini koio‑i nax kuu xijan.
ROM.15.22	Xaxeꞌe xaꞌa ña kuu xa xe kotoniꞌni ñaꞌa‑da, 
ROM.15.23	ko vitna ñatuka tniu n‑taxi Ianyuux io yaꞌa xa kada‑da. Xá n‑kuu kuia daa nga kuu anu‑da xa xe kotoniꞌni ñaꞌa‑da. 
ROM.15.24	Jɨꞌɨn‑da España, te ichi dian kotoniꞌni ñaꞌa‑da. Hora na xee‑da xa kutuu‑ro, yo kudɨ ini‑da. Jun ini‑da xa janu ichi ñaꞌa koio‑n xa jɨꞌɨn‑da España. 
ROM.15.25	Kiꞌna ka jɨꞌɨn ntuku‑da Jerusalén xa dakexio‑da xa ndoñuꞌu ñayiu n‑kida Ianyuux xa n‑ka nduu ii‑i xtuu ijan. Ijan dada xee‑da dian 
ROM.15.26	chi xndaxio anu dava ñayiu Macedonia xiꞌin Acaya xa juñaꞌa nga‑i xa ka ndoñuꞌu ñayiu Jerusalén n‑kida‑ia xa n‑ka nduu‑i ñayiu ii. 
ROM.15.27	Io anu ñayiu Macedonia xiꞌin ñayiu Acaya xa daa kada‑i. Io xa daa kada‑i ñayiu Jerusalén xaxeꞌe xa ñayiu Israel ka kukanu ini Jesucristu n‑kida xa n‑ka teku ñayiu Acaya tnuꞌu‑ia. Kidayɨka‑i xa juñaꞌa koio nga‑i tvini xa chindee‑i ñayiu Jerusalén. 
ROM.15.28	Na yaꞌa xa dakexio ndɨꞌɨ‑da tvini n‑ka taxi ñayiu Acaya xiꞌin Macedonia yɨndaꞌa‑da, te ngondita‑da xa xee‑da dian. Ijan dada yaꞌa‑da xa jɨꞌɨn‑da España. 
ROM.15.29	Xa naꞌa‑da xa xandaa xakuiti juini Cristu xa xee‑da dian.
ROM.15.30	Xijan taꞌu‑da nuu‑n xa na kajan taꞌu koio‑n xiꞌin nde yɨkɨ nde tuchi‑n nuu Ianyuux xa na chindee ñaꞌa‑ia daña. Nani xko xijan taꞌu‑da nuu‑i, dani xijan taꞌu koio‑n nuu‑ia. N‑kida Jesucristu, Ia kuu Xtoꞌo‑ro, xa taꞌu tniu‑da nuu‑n xa kajan taꞌu‑n nuu Ianyuux xa na chindee ñaꞌa‑ia. Xaxeꞌe xa n‑kida Espíritu Ianyuux xa xemani ñaꞌa‑n, kajan taꞌu‑n nuu‑ia xa na chindee ñaꞌa‑ia. 
ROM.15.31	Kajan taꞌu koio‑n xa na kaku‑da nuu ñayiu ña ka kukanu ini Jesucristu xndaxio Judea. Dɨuni kajan taꞌu koio‑n xa na xe ini koio ñayiu n‑kida Ianyuux xa n‑ka nduu‑i ñayiu ii xndaxio Jerusalén xa juñaꞌa‑da. 
ROM.15.32	Dɨuni kajan taꞌu koio‑n xa na kudɨ ini‑ro hora na xee‑da dian te ndetatu‑da nux na kachi Ianyuux. 
ROM.15.33	Na kunduu koio‑n xiꞌin Ianyuux. N‑ndumani‑ia xiꞌin‑ro. Amén.
ROM.16.1	Juini‑da xa ku ku ini vaꞌa koio‑n nuu Febe, ɨɨn ña kukanu ini Jesucristu hora na xee‑ña dian. Ñuu Cencrea netniu‑ña xa xinokuechi‑ña nuu ñayiu ka kukanu ini Jesucristu. 
ROM.16.2	Juini‑da xa ku ku ini vaꞌa koio‑n nuu‑ña ná ka ku ini vaꞌa‑ro nuu ntdaa ñayiu n‑kida Ianyuux xa n‑ka nduu‑i ñayiu ii. Juñaꞌa koio‑n xa na ndoñuꞌu‑ña, chi yo kueꞌe ñayiu n‑kuu chindee‑ña vaxi; nde daña xko chindee‑ña.
ROM.16.3	Yo ndajan tnuꞌu‑da Priscila xiꞌin Áquila, ñayiu ka kida xiꞌin‑da tniu Cristu Jesús. 
ROM.16.4	Diko nga xa kuú koio‑ña xaxeꞌe‑da. Na kutaꞌu‑da. Ñadu mee ni‑da kuu ñayiu jaꞌan xa n‑kutaꞌu‑da xa n‑ka kida ñaꞌa‑ña xavaꞌa chi dɨuni ka jaꞌan ñayiu ka kukanu ini Jesucristu ñatu ka kuu daꞌya dana Israel xa n‑kutaꞌu‑i xa daa n‑ka kida‑ña‑i. 
ROM.16.5	Dɨuni ndajan tnuꞌu‑da ñayiu ka kukanu ini Cristu Jesús ka nataka veꞌe‑ña xa ndadakaꞌnu‑i‑ia. Dɨuni ndajan tnuꞌu‑da Epeneto, se mani xiꞌin‑da. Dɨu‑s kuu se Asia n‑kukanu ini Cristu Jesús kiꞌna nuu. 
ROM.16.6	Dɨuni ndajan tnuꞌu‑da María. Yo vichi n‑kidatniu‑ña xaxeꞌe‑n. 
ROM.16.7	Ndajan tnuꞌu‑da Andrónico xiꞌin Junias. Ñayiu ñuu‑da ka kuu‑s nduu‑s. N‑ka yɨndiꞌu‑s kɨu n‑yɨndiꞌu‑da. Ndandɨꞌɨ‑s nduu‑s nuu se n‑tundaꞌa Cristu Jesús xa dakuaꞌa koio‑s ñayiu. Kiꞌna ka se yaꞌa n‑ka kixeꞌe xa kukanu ini‑s Cristu dada daña. 
ROM.16.8	Ndajan tnuꞌu‑da Ampliato, se mani xiꞌin‑da xaxeꞌe Cristu tuku. 
ROM.16.9	Ndajan tnuꞌu‑da Urbano. N‑ka kida‑da tniu Cristu xiꞌin‑s. Ndajan tnuꞌu‑da Estaquis, se mani xiꞌin‑da tuku. 
ROM.16.10	Ndajan tnuꞌu‑da Apeles. Ndaꞌu n‑yaꞌa‑s xaxeꞌe Cristu, ko kukanu ini naꞌi‑s‑ia. Ndajan tnuꞌu‑da ñayiu xtuu kaꞌnu xiꞌin Aristóbulo. 
ROM.16.11	Ndajan tnuꞌu‑da Herodión, tnaꞌa‑da kuu‑s. Ndajan tnuꞌu‑da ñayiu kuu familia Narciso ka kukanu ini Cristu, Ia kuu Xtoꞌo‑ro. 
ROM.16.12	Ndajan tnuꞌu‑da Trifena xiꞌin Trifosa. Yo vichi n‑ka kidatniu‑ña xaxeꞌe Cristu, Ia kuu Xtoꞌo‑ro. Ndajan tnuꞌu‑da Pérsida. Dɨuni mani‑da xiꞌin‑ña. Dani mee‑ña, yo vichi n‑kidatniu‑ña xaxeꞌe Cristu, Ia kuu Xtoꞌo‑ro. 
ROM.16.13	Ndajan tnuꞌu‑da Rufo, se n‑kaxi ñaꞌa Cristu, Ia kuu Xtoꞌo‑ro, xa ku kuu‑s daꞌya‑ia tuku. Dɨuni ndajan tnuꞌu‑da dɨꞌɨ‑s. Kuenda kɨu dɨꞌɨ‑da kuu‑ña. 
ROM.16.14	Ndajan tnuꞌu‑da Asíncrito, Flegonte, Hermes, Patrobas, Hermas xiꞌin familia‑s ɨɨn ɨɨn‑s xa ka kuu‑i ñayiu ka kukanu ini Cristu. 
ROM.16.15	Ndajan tnuꞌu‑da Filólogo, Julia, Nereo xiꞌin kuꞌa‑s xiꞌin Olimpas xiꞌin familia‑s ɨɨn ɨɨn‑s xa ka kuu‑i ñayiu ka kukanu ini Cristu. N‑kida Ianyuux xa n‑ka nduu‑i ñayiu ii. 
ROM.16.16	Juñaꞌa tnaꞌa‑n xanyuux, te teyuꞌu tnaꞌa‑n ná ka kida dava ka ñayiu ka kukanu ini Cristu. Ndajan tnuꞌu ñaꞌa dava ka ñayiu ka kukanu ini Cristu xtuu yaꞌa.
ROM.16.17	Taꞌu tniu‑da nuu‑n xa koo koio‑n cuedado nuu ñayiu ka kida xa ma ɨnuu ka kani ini koio‑n. Daka niꞌno ñaꞌa‑i xa maxku jandixa ka‑n ntaka xa n‑jaꞌan Cristu. Xa ka xini‑n xa xandaa kuu xa n‑jaꞌan‑ia. Maxku kandeka tnaꞌa ka‑n xiꞌin ñayiu ijan. 
ROM.16.18	Hora dakuaꞌa‑i ñayiu, ñadu nuu Cristu, Ia kuu Xtoꞌo‑ro ka xinokuechi‑i chi xa kuu ini mee‑i ka kida‑i. Ka jaꞌan‑i xa ka kukajan ini mee‑i xa kada‑i. Ka dandaꞌu‑i ñayiu lilu chi yo vii jaꞌan‑i, te ka xani ini ñayiu jan xa vaꞌa ka tuꞌa‑i. 
ROM.16.19	Kueꞌe ñayiu kueꞌe ñuu n‑ka teku xa vaꞌa jandixa‑n Cristu. Xaxeꞌe xijan kudɨ ini‑da. Jun ini‑n xa kaan‑n xa kada‑n mee ni xavaꞌa, ñadu xa daa xaloko ka ku kada koio‑n. 
ROM.16.20	Na kada Ianyuux, Ia kida xa xtuu mani ñayiu xa na ndaku‑n nuu Kuiꞌna nuu xaku tiempo. Na chindee chituu ñaꞌa Jesús, Ia kuu Xtoꞌo‑ro.
ROM.16.21	Ndajan tnuꞌu ñaꞌa Timoteo, se kida xiꞌin‑da tniu Cristu. Dɨuni ka ndajan tnuꞌu ñaꞌa se nani Lucio xiꞌin se nani Jasón xiꞌin se nani Sosípater. Dɨuni tnaꞌa‑da ka kuu‑s.
ROM.16.22	Daña Tercio, se chidotnuni tnuꞌu Spalu, dɨuni ndajan tnuꞌu ñaꞌa‑da chi ntdaa‑ro ka kukanu ini Cristu, Ia taxnuni nuu‑ro.
ROM.16.23+ROM.16.24	Dɨuni ndajan tnuꞌu ñaꞌa se nani Gayo xiꞌin dava ka ñayiu ka kukanu ini Cristu. N‑xeka ñaꞌa Gayo daña nukee nuveꞌe‑s. Ndajan tnuꞌu ñaꞌa se nani Erasto, se yɨndaꞌa tvini ñuu yaꞌa. Dɨuni ndajan tnuꞌu ñaꞌa se nani Cuarto.
ROM.16.25	Kida Ianyuux xa kutnuni ka ini‑n juaꞌan xa n‑xe kodotnuni ya. Yodotnuni xa io xa kukanu ini ñayiu Jesucristu na kuaꞌa nanitaꞌu‑i. Xaꞌa kuu xa ka jaꞌan‑da nuu‑n xiꞌin dava ka ñayiu. Kachitnuꞌu ñaꞌa‑da xa n‑datuu Ianyuux vitna. Nde na ta nkavatuu ka ñuñayiu, xa daa nga naꞌa‑ia xijan. 
ROM.16.26	Ñayo ñayiu n‑ka xini xijan xakiꞌna. N‑taꞌu tniu Ianyuux xa n‑ka chidotnuni se n‑ka jaꞌan nuu ñayiu xa n‑jaꞌan‑ia xa xijan yaꞌa xa na kuaꞌa na jini‑n ntdaa‑n xijan vitna na kuaꞌa kukanu ini‑n Cristu, te jandixa‑n Ianyuux. Xaꞌa kuu xa n‑kachitnuꞌu ñaꞌa Ianyuux. 
ROM.16.27	Na najuen tnuꞌu‑ro Ianyuux. Mee dii‑ia tuꞌa ka. Ñayo xee‑ia. Na chindee ñaꞌa Jesucristu xa na ku ndadakaꞌnu‑ro Ianyuux nɨkava nɨkuita. ¡Amén!
1CO.1.1	Mee‑da kuu Spalu. N‑kida Ianyuux xa n‑jaꞌan ñaꞌa Jesucristu mee‑da xa ku kuu‑da ɨɨn se n‑tundaꞌa‑ia. Carta yaꞌa kidavaꞌa‑da xiꞌin ñani‑ro Sóstenes. 
1CO.1.2	Kidavaꞌa‑da nuu mee‑n ka kuu ñayiu ka jandixa Ianyuux ñuu nani Corinto. Xaxeꞌe xa ka kunduu‑n xiꞌin Cristu Jesús, te n‑kida Ianyuux xa ka kuu‑n ñayiu dɨɨn nuu mee‑ia. Xá n‑jaꞌan ñaꞌa‑ia mee‑n xa ku kuu koio‑n ñayiu ka kida xa juini mee‑ia. Ntdaa ñuu ñuñayiu n‑jaꞌan‑ia ñayiu xa jandixa koio‑i Xtoꞌo‑ro Jesucristu. Xtoꞌo mee‑i kuu‑ia, te Xtoꞌo mee‑ro kuu‑ia. 
1CO.1.3	Na taxi Taa‑ro Ianyuux xiꞌin Xtoꞌo‑ro Jesucristu xamani‑ia nuu‑n, te na kada‑ia xa kutuu vaꞌa koio‑n.
1CO.1.4	Ntdaa kɨu xiaꞌan‑da xa n‑kutaꞌu‑da nuu Ianyuux, xaxeꞌe mee‑n. Hora n‑ka jandixa‑n Cristu Jesús, te n‑taxi Ianyuux xamani‑ia nuu‑n, te xaxeꞌe xijan xiaꞌan‑da xa n‑kutaꞌu‑da nuu mee‑ia. 
1CO.1.5	Xaxeꞌe Cristu Jesús, kuu ná kuu xa n‑ka nduu‑n ñayiu kuika. Xá n‑ka tnɨɨ‑n xakuika Ianyuux. Kida‑ia xa ka xian tnuꞌu‑n tnuꞌu‑ia nuu ɨnka ñayiu, te kida‑ia xa ka kutnuni ini‑n tnuꞌu‑ia. 
1CO.1.6	N‑jaꞌan ndaa‑da xaxeꞌe Cristu nuu mee‑n, te n‑ka xeka vaꞌa‑n tnuꞌu‑da. 
1CO.1.7	Ña ka ndoñuꞌu ka‑n ni ɨɨn, chi xa n‑ka tnɨɨ‑n ntdaa xa n‑taxi Ianyuux. Diko ni xndetu‑n nakɨu ndixi Xtoꞌo‑ro Jesucristu, xa dandeꞌa ñaꞌa‑ia mee‑ia nuu mee‑n. 
1CO.1.8	Kada‑ia xa kundee ini koio ka‑n, xa jandixa naꞌi ka‑n‑ia nde na ndixi‑ia, xa maxku dakuido datau‑n anu‑n kɨu ndadandaa Xtoꞌo‑ro Jesucristu ntdaa xa io. 
1CO.1.9	N‑jaꞌan ñaꞌa Ianyuux mee‑n, xa kunduu koio‑n xiꞌin Daꞌya Yɨɨ‑ia. Daꞌya Yɨɨ‑ia kuu Xtoꞌo‑ro Jesucristu. Ka kuaꞌa‑n xa koo koio‑n confianza nuu Ianyuux, xa daxinokava‑ia ntdaa xa n‑kixeꞌe‑ia.
1CO.1.10	Ñani‑da kuꞌa‑da, ka jaꞌan mee‑n xa ka jandixa‑n Xtoꞌo‑ro Jesucristu. Xijan kuu xa, xijan‑da nuu‑n xa ɨɨn nuu jaꞌan koio‑n, ntdaa‑n. Maxku jantnaꞌa tnuꞌu‑n, kutuu mani koio‑n, ɨɨn‑n xiꞌin ɨnka‑n. Na koo xa ɨɨn nuu kani ini koio‑n, ntdaa‑n. 
1CO.1.11	Ñani‑da kuꞌa‑da, duꞌa jaꞌan‑da, xaxeꞌe xa n‑ka kachitnuñaꞌa ñayiu veꞌe Cloé xa ka jantnaꞌa tnuꞌu‑n. 
1CO.1.12	Jaꞌan‑da xa ka jantnaꞌa tnuꞌu‑n chi jaꞌan ɨɨn‑n: “Kunduu mee‑r xiꞌin Spalu”, te jaꞌan ɨnka‑n: “Kunduu mee‑r xiꞌin Apolos.” Te ɨnka‑n jaꞌan: “Ko kunduu mee‑r xiꞌin Spedru”, te ɨnka‑n: “Kunduu mee‑r xiꞌin Cristu.” 
1CO.1.13	Kuu ná kuu xa n‑ka dakexio nuu tnaꞌa‑n Cristu. ¿N‑xitakaa Spalu nuu curuxi xaxeꞌe‑n a? ¿N‑ka xendute‑n xa kunduu koio‑n xiꞌin Spalu a? Ñaꞌa. 
1CO.1.14	Xiaꞌan‑da xa n‑kutaꞌu‑da nuu Ianyuux xa mee‑da, ña n‑dajuendute ñaꞌa‑da ni ɨɨn‑n. Diko ni se nani Crispo xiꞌin se nani Gayo n‑dajuendute‑da. 
1CO.1.15	Xijan kuu xa, ñayo‑n kuaꞌa xa jaꞌan‑n xa n‑ka xendute‑n xa kunduu‑n xiꞌin mee‑da. 
1CO.1.16	Te dɨuni n‑dajuendute‑da ñayiu veꞌe Estéfanas. Ña najaꞌan‑da nux n‑dajuendute ka‑da ɨnka ñayiu. 
1CO.1.17	Ña n‑tundaꞌa ñaꞌa Cristu mee‑da xa dajuendute‑da ñayiu, n‑tundaꞌa ñaꞌa‑ia xa juña tnuꞌu‑da tnuꞌu vaꞌa‑ia ñayiu. Ña n‑tundaꞌa ñaꞌa‑ia, xa jaꞌan‑da tnuꞌu ɨɨn nuu xiꞌin tnuꞌu ka xani ini ñayiu. N‑tundaꞌa ñaꞌa‑ia, xa juña tnuꞌu‑da ñayiu xa n‑xiꞌí Cristu nuu curuxi, xa ma kuú koio ñayiu xiꞌin kuechi‑i.
1CO.1.18	Nuu ñayiu jɨꞌɨn koio andea, xa kakuneꞌe‑da curuxi Cristu, kuu ná kuu xa jaꞌan‑da tnuꞌu lilu. Ko mee‑ro, ñayiu dakaku ñaꞌa Ianyuux xa ma jɨꞌɨn‑ro andea, xa kakuneꞌe‑da curuxi Cristu, kuu xa jaꞌan‑da xa xá n‑kida Ianyuux xa ma kuú‑ro xiꞌin kuechi‑ro. 
1CO.1.19	Nani jaꞌan tnuꞌu Ianyuux, dani kuu:
1CO.1.19	Danaa‑r tnuꞌu se ka jaꞌan xa ka tuꞌa vaꞌa‑s.
1CO.1.19	Daxio‑r tnuꞌu se ka xani ini xa vaꞌa ka kutnuni ini‑s.
1CO.1.20	¿Nde io se xani ini xa kutnuni ini‑s? ¿Nde io se tuꞌa vaꞌa? ¿Nde io se vaꞌa jaꞌan tnuꞌu ka xani ini ñayiu ñuñayiu? Xá n‑kida Ianyuux xa tnuꞌu lilu kuu ntdaa xa ka jaꞌan‑s. 
1CO.1.21	Vaꞌa naꞌa Ianyuux xa ñatu xiniñuꞌu xa ka xani ini ñayiu, xa jini koio ñayiu Ianyuux. N‑tna ini Ianyuux xa tundaꞌa ñaꞌa‑ia mee‑da, xa juña tnuꞌu koio‑da tnuꞌu mee‑ia nuu ñayiu. Juini tnuꞌu mee‑da kaa ná kaa tnuꞌu lilu nuu mee‑i, ko xiꞌin tnuꞌu jan, dakaku Ianyuux ñayiu ka jandixa mee‑ia, xa ma kuú koio‑i xiꞌin kuechi‑i.
1CO.1.22	Se Israel, ka juini‑s xa jini‑s milagru. Se ña ka kuu ñayiu Israel, se ka jaꞌan tnuꞌu griegu, xnduku‑s se vaꞌa jaꞌan xa ka xani ini ñayiu ñuñayiu. 
1CO.1.23	Ko mee‑da, kachitnuꞌu koio‑da Cristu, Ia n‑xitakaa. Ñayiu Israel, ka kiti ini‑i xaxeꞌe tnuꞌu‑da. Ná kuu ɨɨn toto kaꞌnu katuu ichi, xa jɨn kɨꞌɨ‑i te ndua ndeyu‑i, kuu tnuꞌu mee‑da. Nuu ñayiu ña ka kuu ñayiu Israel, tnuꞌu mee‑da kuu ná kuu tnuꞌu lilu. 
1CO.1.24	Ko ñayiu n‑jaꞌan Ianyuux xa kunduu‑i xiꞌin mee‑ia, ka kutnuni ini‑i tnuꞌu jaꞌan‑da. Juini ka kuu‑i ñayiu Israel, a ñayiu ña ka kuu ñayiu Israel, ko ka kutnuni ini‑i xa n‑xiꞌí Cristu xaxeꞌe mee‑i. Ka kutnuni ini‑i xa duꞌa n‑dakaku Ianyuux mee‑i, xa ma kuú‑i xiꞌin kuechi‑i. Ka kutnuni ini‑i xa vaꞌa naꞌa‑ia te vaꞌa taxnuni‑ia nuu‑i. 
1CO.1.25	Xa n‑kida Ianyuux, kaa ná kaa xa lilu nuu ñayiu ñuñayiu, ko yo vaꞌa ka xa n‑kida mee‑ia dada ntdaa xa ka xani ini mee‑i. Nuu mee‑i, kaa Ianyuux ná kaa Ia ña ndaku, ko yo ndaku ka mee‑ia dada mee‑i. 
1CO.1.26	Ñani‑da, najaꞌan koio jundu kuu‑n. Se tuꞌa vaꞌa xa xani ini ñayiu ñuñayiu ña ka kuu‑n. Ni se taxnuni nuu ñayiu ña ka kuu‑n, ni se kuika ña ka kuu‑n. Ko n‑jaꞌan ñaꞌa Ianyuux mee‑n, xa kunduu koio mee‑n xiꞌin mee‑ia. 
1CO.1.27	N‑kaxí‑ia se kaa ná kaa se lilu nuu ñayiu ñuñayiu, xa kada‑ia xa kujanuu koio se ñuñayiu nuu mee‑ia. Ka xani ini‑s xa se tuꞌa vaꞌa ka kuu‑s, ko kujanuu koio ka mee‑s nuu Ianyuux. N‑kaxí‑ia se kaa ná kaa se ña ndaku nuu ñayiu ñuñayiu, xa kada‑ia xa kujanuu koio se ñuñayiu nuu mee‑ia. Se taxnuni nuu ñayiu ñuñayiu ka kuu‑s, ko kujanuu koio‑s nuu Ianyuux. 
1CO.1.28	N‑kaxí‑ia ñayiu kundaꞌu kukee, xiꞌin ñayiu ñatu xiniñuꞌu. Nde ñayiu ña tuu nax kuu, n‑kaxí‑ia. N‑kaxí‑ia mee‑i, xa kada‑ia xa se ka taxnuni nuu ñayiu ñuñayiu maxku yaꞌu ka ni ɨɨn. 
1CO.1.29	Duꞌa n‑kida‑ia, xa ni ɨɨn ñayiu ma kuaꞌa xa najuen tnuꞌu‑i mee‑i nuu mee‑ia. 
1CO.1.30	N‑kida‑ia xa kunduu koio mee‑n xiꞌin Cristu Jesús. N‑kida Jesucristu xa nduu‑ro ñayiu ka xini Ianyuux. Xaxeꞌe xa xini Jesucristu Ianyuux, kida‑ia xa xini mee‑ro Ianyuux. Xaxeꞌe Jesucristu, n‑taxkanu ini ñaꞌa Ianyuux mee‑ro. N‑kida Jesucristu xa kuu‑ro ñayiu dɨɨn nuu Ianyuux, te n‑kida‑ia xa juini‑ro xa kada‑ro xa juini Ianyuux. N‑chiyaꞌu Jesucristu kuechi‑ro, te n‑kida‑ia xa xtuu libre‑ro. 
1CO.1.31	Xijan kuu xa, na koo ná jaꞌan tnuꞌu Ianyuux: “Ni ɨɨn ñayiu ma kuaꞌa xa jaꞌan vaꞌa‑i xaxeꞌe mee‑i. Na jaꞌan vaꞌa koio ñayiu xaxeꞌe Xtoꞌo‑ro Jesucristu.”
