LUK.1.1	O danah naŕi Tiofilus, danah kuŕum la os ag tatam keŕ keŕ ig gamnigwa beko atan qeri né ene yeg. 
LUK.7.50	Yesus as qe amegwa anan, “Na dasil ot meŕe mé qewa buliko wirém! Na aska ot kenawa ih eit,” eko anan.
LUK.8.1	Qe dimba nagur os dessi ge, Yesus taunwa am kappa ole weiyelle Tiwurdi Né Kena kusuko anan. “Tiwur danahas nusgur dilag king delle gumardigri sén uŕiyé.” Nug Bégur 12 qe am as os ole aŕié ateg. 
LUK.8.2	As qe tatam Yesus koulli nou feŕlagwari geŕaran am waŕe ole deppeg sew pasaoreg. Os ge wénih Maria taun Makdalari. Tatam Yesus koulli nou 7 qere féŕuwari geŕaran. 
LUK.8.3	Am Yoana, nug gému Kusa ge Herod loug qeri kuakri kuri danah. Susana am as la kuŕum os ole ateg. As qe ag asilag kekewa Yesus bégur ole kehnareg.
LUK.8.4	Danahas kuŕumnah taun lalawari uŕiyessi Yesus dowa qagleg. Qagulweg ge, Yesus né tonak os amlagwa anan. 
LUK.8.5	“Danah os atko dara ke saŕeg touŕan. Nug touŕelle atewew ge, ke saŕeg os ihwa tolweg. Tolwessi neweg ge danah tapareg am kunum é diareksi lareg. 
LUK.8.6	Am ke saŕeg os ge wan qarqar olewa tolweg. Tolweksi qaŕa beg, gam wan qe le ole kawa, géri ke qaŕa wagam kawa ole meiŕeg. 
LUK.8.7	Am ke saŕeg os ge meŕ qoum ole gamlagwa tolweg, géri aŕié béksi meŕ qoum ole ke qaŕa tonarweg meiŕeg. 
LUK.8.8	Gam ke saŕeg os ge wan kenawa tolweg. Ag béksi mou kuŕumnah nieg. Mou ge 100 eŕdak qere.” Yesus qere anko ge uŕuko anan, “Danah oun os doug né duakri ole dew pe, né ene doko koutorar.” 
LUK.8.9	Yesus nug bégur né tonak qe diguri koŕmoreg. 
LUK.8.10	Géri nug anan, “Tiwurdi Kingdomri duak qe algu lariak daré, gam gei nug sew ag duak lugmak qe dosi. Gam, danahas lala qe duak lugmak qe da né tonakwa anarina. Qeri Né yak qe mou bérig. ‘Ag aminsi gam ospi peweg. Am né qe dosi gam digu ge olag ospi mourew,’ ” eko anan.
LUK.8.11	Yesus anaran, “Né tonak ene digu ge ere, ke saŕeg ge Tiwurdi Né. 
LUK.8.12	Ke saŕeg os ge ihwa tolasi, qe ge danah né dosi gam dimba nou memeg doko né qe olagwari o. Keŕdi nug qere sew ag olag meŕe pi mew ge, hipunin asilag noh ospi éŕurweg. 
LUK.8.13	Am ke saŕeg os wan qarqar olewa tolweg ge, danah né qe dueksi uksi olag gamag ase. Gam ag ke qaŕa diŕi wan kunuk pi no sillah. Qeri ag olag meŕe mak sén kutuk ih de, gam qepiak uŕiyewew ge, ag tolasi. 
LUK.8.14	Am ke saŕeg os meŕ qoum ole gamlagwa tolasi qe sillah ge, danah né dossi gam ag sén kuŕum asilag kug kowol kowolri dahmési, ag wan ewa kehlag ole am o gamag asakwa dalagri, dahmak qe Tiwurdi Né tone. Qeri ag olag meŕe mak mou ole kawa. 
LUK.8.15	Am ke saŕeg wan kirag olewa tolwe qe sillah ge, danah olag kena am dahmak mangu ole Tiwurdi Né dueksi gagrag oŕwessi, am ag olag meŕe mak gagrag dewew mou kuŕum nisi.”
LUK.8.16	Yesus buliko né marian. “Danah os lam kamutko wawa pi tone am qaŕqaŕ kallowa pi me. Kawa, nug karan eisew nie. Qeri danah lo owa nuksi ge, sarmeŕ qe pelag. 
LUK.8.17	Keŕ keŕ lugmak dasi ge, dimba Tiwur ambo mérig. Am keŕ keŕ tonak ge, dimba qe ole ambo mew dolag. 
LUK.8.18	Qeri dosi koutores. Danah are nug né doko oŕwe ge, Tiwur sew nug o mourew geisah naŕi qere murdig. Gam danah are nug né pi duelle ‘da duina,’ eko ane ge, nug nagur os due qe Tiwur buliko kaŕurdig,” eko anan.
LUK.8.19	Sén qewa Yesus anig am kamgur ole pelagri uŕiyeg. Gam danah kuŕumnah qagleg, qeri ag nug gumdeksi unaka wanakri olele kawa. 
LUK.8.20	Danah os Yesus anoran, “Na anin am kampar ole peirlagri dimdim ewa aséw dasi.” 
LUK.8.21	Yesus buliko anaran, “Da anil am kamlar ge danahas Tiwurdi Né dueksi am dimlamursi ole qe,” eko anan.
LUK.8.22	Deŕ os Yesus bégur dilag anan. “Doweg, ig le koŕe kawa séku leis uwa atet.” Qere anew ge, kuh oswa olessi téksi ateg. 
LUK.8.23	Kuhwa atessi ge, Yesus usameg new nian. Niewew ge, ulas gagrag le koŕe kawawa bew, le koŕ koŕ naŕi qeko kuhwa noko ambew kug naŕi owa deg. 
LUK.8.24	Yesus bégur gumdessi wanessi qaqressi aneg. “Danah naŕi, Danah naŕi, ig torinigri sétu.” Géri Yesus asko ulas koŕkoŕ uhŕi naŕi ole gaŕa matew tores. Torwes ge, le ameg mousko nian. 
LUK.8.25	Yesus bégur dilag anan, “O meŕe mak asilag arewa de?” Gam ag faŕessi dahmak kuŕum uksi agéagé aneg. “Danah ene oun? Nug ulas le ole gagrag anatew, né nusig dimlamdap,” éksi aneg.
LUK.8.26	Yesus bégur ole kuhwa ateksi Gerasa waneg. Atu qe Galili le koŕe kawa nie qe séku leis de. 
LUK.8.27	Yesus kuh minko pitiyewew, danah os féŕuwa koulli nou ole taun os owari nug Yesus gumurko duan. Sén welah nug lamen ospi tagré am louw ospi daré, nug matmatwa ih niré. 
LUK.8.28+LUK.8.29	Sén kuŕum koulli nou danah qe pi paŕwurdé. Danah kuŕum nusig sansan amneksi koutordéw, am nug sen darér olewa qagdéw. Gam nug sen darér ole qe tatŕardé. Koulli nou souorew awen danah kawawa atté. Danah qe Yesus peko ge, qalko uŕwelle unaka fégwa wanwa qere tolwan. Tolwew peko ge, Yesus koulli nou danah qe paŕwurdigri gagrag anoran. Qeri nug fag gogwa uŕuko anan, “Yesus, na Tiwur Karannah Bega. Na keŕdi dagrowa uŕiyam? Da gurak aw miŕwen.” 
LUK.8.30	Yesus koŕmoran, “Na wénim oun?” Eko anew am nug anan, “Ameg naŕi.” Keŕdi koulli nou kuŕum nug féŕuwa nog. 
LUK.8.31	Koulli nou qe qagleksi uŕweksi Yesus bulibuli koŕmoreg. “Na ig aw geŕigwe moŕ aminweg atko kutuk mewa nuhut.” 
LUK.8.32	Fo kuŕum qouku nagur os qewa ke lessi deg. Qeri koulli nou qe ag Yesus dowa qagleksi uŕwessi aneg. “Na ig minigwe fo uni feŕlagwa wanet.” 
LUK.8.33	Am Yesus anew koulli nou ag danah qe mundeksi fo feŕlagwa waneg. Fo qe gueksi waneksi béwa tolweksi le koŕe kawa qewa nuksi le léksi mouseg. 
LUK.8.34	Fo gumarak danah ag kowol qe peksi kum atessi taunwa am kaw lalawa ole mariweg tualan. 
LUK.8.35	Géri danahas ag keŕ ban qe pelagri taun paŕweksi ateg. Ateksi Yesus dowa waneksi ge, danah koulli nou paŕwureksi ateg qe, dahmak qaorew am lamen tako Yesus nohwa ninapiŕko dewew pessi faŕeg. 
LUK.8.36	Danah os keke qe amlagwa peg ole ge, ag danahas la danah koulli nou ole dewew Yesus areg sew kena man qeri mariweg dueg. 
LUK.8.37	Géri danahas kunum Gerasa atu qewari Yesus minarko attigri sinanah anoreg. Keŕdi ag olag nouninah faŕan. Géri Yesus buliko attigri kuhwa olko tan. 
LUK.8.38	Danah koulli nou paŕwureg ole qe Yesus nuqurko anan, “Da na ole atnit,” eko anan. Gam Yesus anew buliko atewew ge anoran. 
LUK.8.39	“Na bulika kawanwa atka, Tiwur keke kunum nasip san qe mariwe dues.” Géri danah qe taun kunumba atko danahas amlagwa Yesus keke kunum san qe kusuko marian.
LUK.8.40	Yesus buliko le koŕe kawa séku leis atew ge, danahas kunum nug felqoreg. Keŕdi ag kunum nug ameg méksi deg. 
LUK.8.41	Sén qewa danah os wénih Yairus nug Yesus gumurko wanan. Nug Yuda dilag binag mak lo osri kuri danah. Nug Yesus nohwa gatewa yako gagrag nuquran. “Na da ole loulwa atnit olele te?” eko koŕmoran. 
LUK.8.42	Keŕdi nug nir as usihnah ole am nug makaŕ nusig 12 keke qere qe mousdig malwak nian. Géri Yesus wanko atewew ge, danahas ameg naŕi duksi nug omorweg ateg. 
LUK.8.43	Am as usih os nug makaŕ 12 qere as dilag waŕe qe ole daré. Am nug kéhu kunum dokta agop malwan. Gam danah ounté os sew waŕe nusig ospi pasaoran. 
LUK.8.44	As qe Yesus dimugwa doko, Yesusri lamen noh oŕwew ole waŕe nusig usihri kawa man. 
LUK.8.45	Yesus koŕman, “Oun da uŕwilé?” Eko anew, kunum aneg. “Ig kawa, ig kawa.” Éksi anweg Pita anan, “Danah naŕi, danahas ameg naŕi na omiressi qataoréw dasi.” 
LUK.8.46	Gam Yesus anan, “Ounte da uŕwilé. Keŕdi da gagragsak dasil os paŕwilko atew dahmorém.” 
LUK.8.47	As qe duan ge, nug lugumdigri olele kawa. Géri nug sahŕelle Yesus nohwa doko wanwa duk noko, danahas kunum nolagwa nug keŕdi Yesus dowa eweg man qe kopatko amegwa anan. “Waŕe dasil ge usihri sew pasaoré.” 
LUK.8.48	Yesus as qe anoran, “Nir dasil, na dasil ot meŕe mé qewa na féŕun sew kena mé. Na aska ot kena ih dewew eit.” 
LUK.8.49	Yesus né marielle dewew, Yuda dilag binag mak lori kuri danah Yairus qe lougwari meŕ danah os uŕiyan. Uŕiko ge, Yairus anoran, “Na aŕen ge iŕil mousé. Na duak marak danah aw kug morwen.” 
LUK.8.50	Gam sén Yesus qe doko ge, Yairus amegwa anan, “Na aw faŕwen. Na dasil ot meŕe mew, geisah aŕen séwi kena mérig.” 
LUK.8.51	Yesus nug Yairus lougwa atko ge, nug danah la os minarew nug ole lo owa pi nog. Gam Yesus nug, Pita, Yon, Yems, am nir as qe memeg anig ole ag ih owa nog. 
LUK.8.52	Danahas kunum nir as qeri masieppeg ge, Yesus amlagwa anan. “Ag aw masiweg. Nir qe pi mousé, nug usnie,” eko anan. 
LUK.8.53	Anew ge, ag dueg nir qe iŕil mousan, qeri ag nug imdeg. 
LUK.8.54	Gam Yesus lo owa noko nir qe ewegwa oŕako qalko anan, “Nir dasil, na as.” 
LUK.8.55	Anko malwew, nir qeri koulli buliko féŕuwa uŕiyew foumak oko usihri asan. Yesus amlagwa anan, “Ag ke os morweg lar.” 
LUK.8.56	Nir qe memeg anig ole dorlas new ole faŕes. Gam Yesus gagrag anatan. “A ounté os aw keke eneri amegwa anwes,” eko anan.
LUK.9.1	Yesus Bégur 12 qe uŕwarew dog. Doweg ge, nug koulli nou kunum geŕarlagri am waŕe kowol kowol ole kusqarlagri gagragsak am kuakri wittak ole maran. 
LUK.9.2	Am nug Né Kena “Tiwur king delle danahas nusgur gumardigri” qe kusulagri am waŕe danah seweg pasaorlagri ole anew ateg. 
LUK.9.3	Yesus amlagwa anan, “Ag weiyakri sénwa kité os aw oweg. Ag durqak sokét, baram, ke, qarég am siot aŕit os aw oweg. 
LUK.9.4	Ag lo arewa diarweg nuksi pe, ag qewa ih dessi ole taun qe mineksi ates. 
LUK.9.5	Gam danahas ag fel pi qaressi diareksi loulagwa pi atweg pe, ag taun qe mineksi atessi ge félagwari usuŕ qeqlessi ates. Ag kowol qe peksi ge, kowol nou asilag qe olag mourdig.” 
LUK.9.6	Géri Yesus Bégur ateksi kaw kunumba weiyessi, Né Kena kuswessi am waŕe danah atu kunumbari seweg pasaoŕeg.
LUK.9.7	Herod Antipas nug Galili dilag king. Nug Yesus Bégur ole kuak seg qeri né doko katat qan. Keŕdi danah os ge aneg, “Le Luarak danah Yon buliko siran.” 
LUK.9.8	Am os ge aneg, “Elaisa gumarko duan.” Am la os aneg, “Profet
LUK.9.9	Géri Herod anan, “Da anwi Yon fag iŕil kotŕeg. Gam danah qe ounnah nusig kuak am kowol ole mariweg duina?” eko anan. Géri nug Yesus perigri dahman.
LUK.9.10	Yesusri aposel
LUK.9.11	Gam danahas dueksi ge, nug dimlamdeksi ateg. Ag nugnéwa atweg ge, nug felqarelle Tiwur king delle danahas nusgur gumardigri né qe kuswew dueg. Am danah os waŕe ole qe sew pasaoŕeg. 
LUK.9.12	Kem noko tueh manew ge, Bégur 12 qe duksi Yesus amegwa aneg. “Na danahas anwe atares. Ag kaw naŕi am kaw nounu unaka dassi qewa ateksi niak awen am ke lakri os ole maries. Awen ig datu ole ene ge danah kawa,” éksi aneg. 
LUK.9.13	Anweg ge, Yesus buliko anaran, “Ag agégé ke mares.” Gam Bégur 12 qe aneg, “Ig ke kuŕum ole kawa, beret tanig ole am kaké aŕit ole ih de. Ig atektu danahas ene kunum dilag ke daren te méktu marnig?” 
LUK.9.14	(5,000 danah keke qere qewa deg.) Yesus nug bégur amlagwa anan, “Ag danahas amlagwa anweg, qaglak ameg 50, 50 qere qagleksi des.” 
LUK.9.15	Yesus nug anan sillah, bégur né nusig dimlamdeksi anweg danahas kunum ninapiŕessi deg. 
LUK.9.16	Yesus beret tanig ole am kaké aŕit qe ole oko saw karan amnelle kena sam elle keri unuqoran. Malako ge, temelle bégur danahas agop panilagri maran. 
LUK.9.17	Géri danahas kunum ke léksi olag oŕwew ge, ke big big minareg qe Yesus Bégur diareksi kaleg 12 qere yanareg.
LUK.9.18	Deŕ os Yesus bégur ole dessi am nug nugé kepaŕko unuqorewew, am bégur gumdeksi doweg koŕmaran. “Danahas dasil ge oun éksi ansi?” 
LUK.9.19	Nug bégur aneg, “Os ge Le Luarak danah Yon éksi ansi. Am os ge Elaisa éksi anirsi. Am la os ge profet os algunah mousan qe buliko siran éksi ansi.” 
LUK.9.20	Anweg ge, Yesus bégur koŕmaran, “Gam ag ge dasil oun éksi ansi?” Pita anan, “Na Tiwurdi Kristus
LUK.9.21	Géri né qe danah os amegwa anwegri Yesus bégur gun qaran.
LUK.9.22	Am Yesus amlagwa anan, “Meŕenah, danah Bega geisah gurak kuŕum morlag. Kuri danah am pris dilag anqak danah ole am Mosesri Ŕo duak danah ole geisah nug dimoreksi, am qeweg mousdig. Gam deŕ kiamba ge buliko sirdig.” 
LUK.9.23	Anko ge, buliko danahas kunum anaran, “Danah os da dimlamiŕdigri dew ge, nug nugégé nusig sak am o mourak ole qe dimorko, am ker mawanak nusig deŕ dorog mouko ge da dimlamŕar.
LUK.9.24	Danah os nug nugégé nusig sak am o mourak ole dimlamurko ge, nug foumak ospi ow. Gam danah os nug da dimlamŕelle mousko ge, foumak oko sansan darig. 
LUK.9.25	Am danah nug wan kénih ole delle mousew ge, keke qe ospinah kéhnurweg. 
LUK.9.26	Am danah os dasil am né dasildi uŕa new pe, sén Danah Bega nug nusig kamsahlak gun olewa am Memegriwa am Tiwurdi doup gun dilagwa uŕirig ge, danah qeri uŕa nérig. 
LUK.9.27	Da ag amlagwa meŕenah anina. Danah os ewa aséw dasi ge, geisah ag pi mousak, Tiwur king delle danahas nusgur gumarewew pelag,” eko anan.
LUK.9.28	Yesus né qe anko malwew, deŕ 8 keke qere atew ge, nug unuqurdigri Pita, Yon am Yems ole diarew qoukuwa teg. 
LUK.9.29	Nug unuqorelle dewew ge, nug kitŕu ge buliko sonŕewew am nug féŕu bala qe ole ampiŕ sillah sonŕan. 
LUK.9.30	Usihri danah aŕit Moses Elaisa ole kamsahlak gun olewa dowes nug ole né marieg. 
LUK.9.31	Yesus nug wagam kawa Tiwurdi Né dimlamurko olele morko Yerusalem mousdigri danah aŕit qe ole marieg. 
LUK.9.32	Pita leikuŕ aŕit qe ole amlag kug morew nilag seg. Gam sén amlag fou mew ge, danah aŕit qe am Yesus ole aseksi kamsahlak gun ole qe owa deppeg piareg. 
LUK.9.33	Danah aŕit qe Yesus mundeksa ateppes, Pita Yesus amegwa anan. “Danah naŕi, ig ewa dalom ge kena. Ig laklak kiam os sénig, os nasip am os Mosesri, am os Elaisari.” (Pita nug o pi mourak né qe anan.) 
LUK.9.34	Nug né qe anewew ge, fur os doko tonarew owa dessi olag faŕan. 
LUK.9.35	Tiwur fur owa anan, “Ene nir dasilnah. Da nug algu toqurin. Ag nug fag duessi dimlamdes.” 
LUK.9.36	Tiwur né qe anko malwew ge, ag Yesus nugé dewew peg. Am bégur ag sén qe keke peg qeri né ospi marieg, asilag dahmakwa ih dian.
LUK.9.37	Deŕ qe dimba ge, Yesus am bégur kiam qe ole qoukuwari noppeg, danahas ameg naŕi uŕiyeksi Yesus ihwa peg. 
LUK.9.38	Am danah os danahas ameg naŕi qe olagwa uŕwan, “Duak marak danah, na da nal ene peripri nuqrina. Da nir danah usihnah enan ih. 
LUK.9.39	Koulli nou os nir qe owa now ge, gelelle ole usihri atko kauŕko kawqelle sihŕu newew nie. Koulli nou qe nir ofeŕ ospi paŕwe, am féŕu sew nounah me. 
LUK.9.40	Da na begpar koulli nou ene geŕurlagri nuqarin, gam ag sakri olele kawa.” 
LUK.9.41	Géri Yesus anan, “Danahas geiri, ag olag meŕe mak ole kawa am olag ge mangu kawa. Sén gane da ag ole dettu olag meŕe mérigri amlag méril?” elle ge anan, “Nir nasip oka ere do,” eko anan. 
LUK.9.42	Nir nag qe Yesus gumurko dowew ge, koulli nou qe touŕew atko wanwa qeko kawqelle nian. Géri Yesus koulli nou qe nir qe paŕorigri gaŕa morko geŕdan. Geŕurko nir qe sew kena mew ge, buliko memeg moran. 
LUK.9.43	Géri danahas kunum Tiwurdi gagragsak qe peksi dorlag nan. Danahas qe Yesus keŕ keŕ kunum san qe peksi dorlag new seppeg, nug bégur anaran. 
LUK.9.44	“Né andil seina, ene dossi koutores! Danah os Danah Bega kegeŕ ewlagwa mérig,” eko anan. 
LUK.9.45	Gam bégur ag né qe olag pi mouran. Tiwur sew né digu qe larian, qeri ag olag ospi mouran. Am ag Yesus né qeri koŕmorakri faŕeg.
LUK.9.46	Yesus bégur ag koŕlagwa ih oun nug naŕi asilag qeri kareg. 
LUK.9.47	Yesus dahmak asilag qe doko ge, nir nag os oko doko nug dianwa man. 
LUK.9.48	Meko ge, nug amlagwa anan. “Oun os nug da wénilwa nir nag ene sillah oko dahmore ge, nug da dahmiŕe. Keŕdi nug dasil o meŕe me qeri qere se. Am oun nug da wiŕe ge, nug Tiwur da anew uŕiyin qe o. Géri oun ag kallolagwa de qe, nug naŕi.” 
LUK.9.49	Yon anan, “Danah naŕi, ig danah os na wénimba koulli nou geŕarew pektu anurhut minan. Keŕdi nug ig ole pi weitu.” 
LUK.9.50	Gam Yesus anaran, “Ag nug aw dagorweg. Oun nug ag kegeŕ pi mare ge, nug ag leilag,” eko anan.
LUK.9.51	Yesus wan minko saw kappa attigri sén durmurew ge, Yesus o kunum morko ole Yerusalem attigri atan. 
LUK.9.52	Am nug danah os meŕarew anqeksi kaw os Samaria qewa keke dalagri am ke lelagri qe kunum bawarlagri ateg. 
LUK.9.53	Gam danah kaw qewari ag dueg ge nug Yerusalem attigri atan qeri Yesus uksi loulagwa atakri mineg. 
LUK.9.54	Yesus békuŕ Yems Yon ole, a né qe dueksa anes. “Naŕinah, na ot niew pe, i kew saw karandi anhuŕ aŕelle neko danah uni aŕardig!” eksa anes. 
LUK.9.55	Gam Yesus buliko aŕit qe gaŕa matan. 
LUK.9.56	Qe dimba ge, Yesus bégur ole kaw lawa ateg.
LUK.9.57	Ag ihwa ateksi ge, danah os Yesusri anan, “Na arewa attip ge, da na dimlamirwi ole atnit.” 
LUK.9.58	Yesus danah qe koŕewa oko anan, “Qé déguŕ ag wan oŕewa nisi am é ag teŕlag ole. Gam Danah Bega nug ge niakri lo ole kawa.” 
LUK.9.59	Nug danah la os amegwa anan, “Na doka da dimlamiŕ,” eko anan. Gam danah qe anan, “Naŕinah, na minwe tatam ge da atko mem mousan suhumko am dimlamirdil,” eko anan. 
LUK.9.60	Yesus danah qe amegwa anan, “Danah mousak qe minwe agé agé mousak leilgar qe suhmares. Gam na atka Tiwurdi Kingdomri
LUK.9.61	Am danah la os Yesusri anan, “Naŕinah, da na dimlamirdil. Gam tatam na minwe da louw atwi ke séktu léktu ewlag oŕako am na dimlamirdil.” 
LUK.9.62	Gam Yesus danah qe anoran, “Danah palangis digumeko toŕelle am sansan nug buliko dimugwa amne ole qe, nug Tiwurdi Kingdom owa kekuakri olele kawa,” eko anan.
LUK.10.1	Dimba ge, Naŕinah nug Bégur 12 qe am danah la os ole kepŕarko 72 danah qere anew awen are nug attigri ole qe kunumba aŕit aŕit nug noh uksi anqeksi ateg. 
LUK.10.2	Nug ere eko anaran, “Ke lep kuŕum nie, gam ke lep qe tuqakri kuak danah kuŕum kawa. Qeri ag dar memegri unuqorweg nug sew kekuak danah la os ateksi dar nusigwa ke lep tuqlag. 
LUK.10.3	Ag ates! Da séwi ag sipsip nagur sillah qé déguŕ olagwa atsi. 
LUK.10.4	Ag asilag qarég yanakri sogot am keke yanakri baram aw oweg, am félag gaŕa la os ole aw diarweg. Am ag ihagwa danahas piareksi ge, aw félag yeksi né marweg. 
LUK.10.5	Ag danah os diarko lougwa now ge, ere tatam anares, ‘Tiwur o maror ag ole dalag.’ 
LUK.10.6	Am lo qe memeg o kenawa diarew pe, Tiwurdi kena sak lo qewa darig. Gam pi diarew pe, Tiwurdi kena sak lo qewa pi dew buliko agrowa durig. 
LUK.10.7	Ag lo qewa ih deppeg keŕ marlag ge, lessi des. Keŕdi kekuak danah nug kekuak nusig qe noh urig olele. Ag lo oswari am oswa aw weiweg. 
LUK.10.8	Ag taun oswa noweg, felqareksi diareksi am keŕ ke bawresi marlag ge, ag les. 
LUK.10.9	Waŕe danah os taun qewa dalag ge, ag seweg waŕe pasaorar. Am ag Tiwurdi Kingdom
LUK.10.10	Gam ag taun oswa noweg fel pi qarweg ge, taun qeri ihwa aseksi dessi anes. 
LUK.10.11	‘Ig fénigwa usuŕ asilag taunwari de, qe ag pelagri qeqalhut ne. Gam ag dahméksi koutores: Tiwur danahas nusgur dilag king delle gumardigri sén unaka de.’ 
LUK.10.12	Da ag amlagwa anina, Tiwurdi uhŕibak deŕwa geisah Tiwur Sodom kaw kug moran qe eŕdak ag kug naŕi pelag. 
LUK.10.13	Korasin am Betsaida ole ag olag duak! Ag geisah kug naŕi pelag. Keŕdi da mirakel os agnéwa sein qe Tair Saidon ole selem ben, ag algu olag bulilo. Ag asilag hipunin qeri nouni dueksi neko aqarew am usuŕ luessi dessi olag bulilo. 
LUK.10.14	Gam Tiwurdi uhŕibak deŕwa Tair Saidon ole kug olas qe eŕdak ge ag olag. 
LUK.10.15	Am Kapernaum, ag te os Tiwur ag binlag karan sumdig? Kawa. Ag ole Tiwur touŕarew nuksi paral melag,” eko anan. 
LUK.10.16	Am Yesus buliko anaran, “Oun os nug asilag né dorig ge, nug dasil né due. Am oun os nug ag dimardig ge, nug da dimiŕe. Gam danah da dimiŕe ge, nug Tiwur anew da uŕiyin qe dimore,” eko anan.
LUK.10.17	72 danah qe bulieksi uŕiyeksi olag gamag asakwa aneg. “Naŕinah, ig na wénimba anektu, koulli nou geŕarhut né dueksi ateg.” 
LUK.10.18	Géri Yesus koŕlagwa oko anaran, “Da Satan saw karandi ampiŕ sillah usihri tolwewew pégin. 
LUK.10.19	Ag dues. Da ag mat am kappiép ole qaŕlagwa tapeksi oŕollarlagri gagragsak marin. Am kegeŕ asilagri gagragsak kunum qe seweg kéwsi kawa mérigri gagragsak marin. Qeri ag kité ospi sarew nou meweg. 
LUK.10.20	Gam koulli nou ag koŕlag dimlamdeg qeri ag aw olag gamag asew. Ag Tiwur saw kappa iŕil wenlag yan qeri olag gamag asar.” 
LUK.10.21	Sén qewa Koulli Gun nug sew Yesus o gamag asew anan, “Mem, na wan saw oleri Naŕinah. Da binam sumina. Keŕdi na keke ene duak danah dowegri sewe larian, gam danah nir nounu sillah ge ismaren. Meŕenah, Mem na ere séripri ot nian ole qe sen. 
LUK.10.22	Mem gagragsak am keke kunum ole da ewelwa man. Tiwur Bega ge oun qe ounté ospi due, gam Mem ih due. Am Mem ge oun qe ounté ospi due, gam Bega ge due. Am danah are da kepŕarko ismarin qe ag ole Mem dossi.” 
LUK.10.23	Géri Yesus buliko bégur ih dolagri anan, “Danah keke ag pesi ole qe pesi, qe ag olag gamag asdig. 
LUK.10.24	Da ere anarina keŕdi ge, algu profet am king kuŕum ole keke ag gei pesi ole qe pelagri seg, gam ag pi peg. Am né ag gei dossi ole qe dolagri seg, gam ag ospi dueg,” eko anan.
LUK.10.25	Deŕ os Ŕo duak danah os asko Yesus sew perigri seko koŕmoran. “Duak marak danah, da areg seko ge foumak sansan diakri uril?” 
LUK.10.26	Géri Yesus koŕewa oko anan, “Mosesri Ŕo yakwa keŕ eko ane? Na dona ge areg?” 
LUK.10.27	Géri danah qe anan, “Ŕo ane: Naŕinah nasip Tiwurdi ot mousew, ot kunum ole, kitton ole, gagragsak nasip kunum ole am dahmak nasip kunum ole Tiwur mor. Am na nagégé nasip ot mouse qe sillah liapri ole qere ot mousar.” 
LUK.10.28	Géri Yesus danah qe koŕewa oko anan, “Na meŕe anam. Na qere seka ge, foumak owe Tiwur ole sansan dalas,” eko anan. 
LUK.10.29	Gam danah qe nug da mangu elle qeri Yesus koŕmoran. “Am oun ge da lial?” eko koŕmoran. 
LUK.10.30	Am Yesus amegwa anan, “Danah os Yerusalemri noko Yeriko atewew, yawsen danah ihwa oŕweksi féŕu balla nusig kunum uŕdeksi keke nusig kunum kaŕdeksi, mouŕaweg ameg taŕiew niewew ateg. 
LUK.10.31	Niewew ge, pris
LUK.10.32	Qe sillah, Liwai
LUK.10.33	Gam Samaria danah os ih unari uŕiko danah qe nianwa doko qere peko ge, o duan. 
LUK.10.34	O dow ge, nug danah qe gumurko wanko isiwa goŕen am wain ole gogŕew now isi witan. Malako ge, danah qe sumew donki nusigwa tew oko ŕo lo oswa atko qewa meko guman. 
LUK.10.35	Kuagŕew ge, qarég silwa aŕit ipko ŕo lo gumak danah qe morko anan. ‘Na danah ene dahmoreppe da buliko uŕiko ge na qarég gane tourdip qe noh méril,’ eko anan.” 
LUK.10.36	Am Yesus Ŕo duak danah qe koŕmoran, “Danah kiam ene na dona ge danah are ge yawsen danah mouŕweg ole qe lia?” eko koŕmoran. 
LUK.10.37	Koŕmorew ge, nug koŕewa oko anan, “Danah o dow kéhnuran ole qe.” Géri Yesus danah qe anoran, “Na ole atka qere ih se,” eko anoran.
LUK.10.38	Yesus bégur ole Yerusalem atlagri atessi kaw oswa waneg. Yesus kaw qewari as os wénih Mata qe lougwa atew, Mata felqoran. 
LUK.10.39	Nug mageg os wénih Maria, qe Naŕinah fégwa delle né marian qe duelle dian. 
LUK.10.40	Gam Mata ge ke bawrakri sik nou qan. Géri nug doko Yesusri anan, “Naŕinah, da magel ene minŕew kekuak dagé seina, qe na areg dona? Na anwe nug ole da kéhniŕar,” eko anan. 
LUK.10.41	Gam Naŕinah anoran, “O Mata, na keke kuŕumrinah ot sik qew ot nou me. 
LUK.10.42	Gam keke usihri qe na kutuk. Qeri Maria nug keke kenanah kepaŕko se. Am ounté os nug keke kepré qe pi kaŕdew,” eko anoran.
LUK.11.1	Deŕ os Yesus awen oswa unuqoran. Sén nug unuqorko malwew ge, nug bega os anoran. “Naŕinah, Le Luarak danah Yon bégur unuqorakri ismaran sillah, ig ole ismig.” 
LUK.11.2	Géri Yesus anaran, “Sén ag unuqoressi ge, ere anes: ‘Ig Mémnig, na wéhnim gun ole karan sumnig. Na uŕika king denna danahas gumardip. 
LUK.11.3	Na ig deŕ dorog ke mig. 
LUK.11.4	Ig ole oun nouni sige qe kusqektu dohut dounig katie qe sillah, hipunin isanig kusuqka mig. Am ig aw paŕwigwe qepiakwa tolahut.’ ” 
LUK.11.5	Am Yesus bégur dilag anan. “Olagwa usih os tuqan tugamag lia lougwa atko qaqurko koŕmurdig. ‘Lal, beret kiam os miŕdip olele te? 
