MAT.1.1	Ewana Yesu Kerisonu sirorari sina. Dana Deiwidinu sisia amara. Dana Eibaramunu sisia amara.
ACT.21.26	Weitaro Foroma naui. Etei mui kowaro Foroini i amara fo (4) dera dubu suro uruama anitate kakara uroeta ogoma urotate dera dubu su ubarero i fuyo oeta uwarabai amuta. I fuyo oeta uwarama emanu kakara kowa ido tutubari uiro kowa seweni (7) me sibiro emanu fuyo egi odifitaro efitae iba emabai amo fata.
ACT.21.27+ACT.21.28	I kakara kowa seweni (7) me sibie uiro moana Eisia orofa Ju uwarama Foro dera dubu su ubarero etate eme faiyawerebai ane Foroba wawei sina weita. I uwarama Foro budari utate eno weita, Isaraero uwara ya durua uawe weita. Ewa amarama yaini Mosesinu tarawatuini dera dubu suba siosa sina wasuro eme faiyawerema nautaita weita. Dana Guriki uwara dera dubu su ubarero woure odiba yanu kakara su ma siosa ui weita. 
ACT.21.29	Auboko Foroini Efesa amara Torofimasi Jerusaremu natofo suro inarebitaro etate iba Foroma i Guriki amara yanu dera dubu su ubarero woure odi we imuta iba eno weitaro i Jerusaremu su uwara nesia nautate ubusi uyata. 
ACT.21.30	Ubusi uyatate Forobai fatate agero muneda dera dubu su ubareroma wawaro ma youre anita. Wawaro anitaro i dera dubu su kasimu sau garari uta. 
ACT.21.31+ACT.21.32	I uwarama Foro ma uifitae urebitana moana uwarama dera ami yawoeta amarabai fare weitaro nauite danu ami kafiteni uwaraini dawaini sau anita. Iro ane fatana i uwarama i dera ami yawoeta amara etate Foro urebita ido ekoita.
ACT.21.33	Ami yawoeta dera amarama fare Foro budari uite weiro seni sadeima Foronu age uwane tarita. Ami yawoeta dera amarama wei, ewa amara ane usinu weite dawa abo amara wei? 
ACT.21.34	Weiro moana uwarama mui wawei sina weitaro moana uwarama aika wawei sina weita. Emanu weroroka derawereba yawoeta dera amarama we imui, ane waita we imuite weiro ami uwarama Foro woure emanu suro ane oita. 
ACT.21.35+ACT.21.36	I su adibai fataro i Jerusaremu su uwara ubusi derawere uyatate weita, i amara ma uia weitaba ami uwarama Foro woure eriro oita.
ACT.21.37	Oitate su ubarero woure amufitae utaro Foroma ami dera yawoeta amaraba wei, aba sina wemau aba me wei? Dera ami yawoeta amarama neno kirifu uteda wei, a Guriki sina iwata utasu wei? 
ACT.21.38	Weite wei, ana etei Ijifi amara aba me? Etei amarama mui odoro uraneta uwara fo tausani (4000) munite emaini gaemanini uranite eme ibawa orofaro woure ani wei. 
ACT.21.39	Weiro Foroma wei, nana i amara me. Nana Ju amara. Nana Sirisia orofa Tarasu su amara. Tarasu suna derawere wei. Enoba ewa uwaraba sina wemane watane wei. 
ACT.21.40	Eno weiro dera ami yawoeta amarama wei, anu sina wiaro naufita wei. Weiro Foroma adiro amo inarite age ramamiba weroroka ekoita.
ACT.22.1	Weroroka muma utate ekoitaro Foroma Ju uwaranu sinaroma wei, babamutu kaka nabue nanu moko sina nauawe wei. 
ACT.22.2	Weiro emanu ba sina nautate weroro mu utaro wei. 
ACT.22.3	Nana Ju amara. Nanu bayama na Sirisia orofa Tarasu suro muniro ibebitara wei. Gameiriama na yanu abuamutunu tarawatu we mawetu utebiba Godinu tarawatu imuegou utebitara. Yana awona Godinu tarawatu imuegou utaita i ari imuegou utebitara wei. 
ACT.22.4	Boderewere Godinu sina naueta uwara ma siosa uete emanu uieta daba doberete emeini awetaboini nesia dibura su ubarero woure fare ode. 
ACT.22.5	Eno ueba i dera fuyo ode sina weta amaraini danu kanisoro uwara nesia iwata utaita wei. I kanisoro uwarama emanu imueta owawa oitate yanu ba Ju uwarabo woumane naba mata. Mataro Damasikosi suro i Godinu sina naueta uwara budari umate Jerusaremu suro woure amaro fanisi mafitae ane wei.
ACT.22.6+ACT.22.7	Foro eno weite wei dabaro anete Damasikosi su famane anena ario derawere ureroma tararite na wokuku uiro sakairo ureiero sina tararite wei, Soro, aneba Naba ba me utasu wei? 
ACT.22.8	Weina nana we, A anaiyade wero wei, Nana Yesu Nasareta Amara. Naba ba me utasu wei. 
ACT.22.9	Naini nanu uwara i ario esirogo nanu uwarana i ario etate i sina nautawa uta. 
ACT.22.10	Dana naba weiro nana we, Dera Waria Amara, ane umau wero wei, uyate Damasikosi suro aniaro mui amarama aba mamau gaukara sina webiro naufasu wei. 
ACT.22.11	Weiro uyarero arioma diti basugari uiba nanu naiyemutuma nanu agero muneda Damasikosi suro woure anita, Foroma eno wei.
ACT.22.12+ACT.22.13	Iro ane farero mui tarawatu yawoegou ueta amara, Ananaiasima nabai fari. I Ju uwara nesina Ananaiasiba weita, dana kobere amara webita. I amarama nabai farite wei, kaka Soro diti ea wei. Eno weiro daido i amara ere wei. 
ACT.22.14+ACT.22.15+ACT.22.16	Ananaiasima naba wei, yanu abuamutunu Godima a mune odi. Godinu imueta iwata ufate Danu rorowarauini roatarau Amara efate Danu Amaranu sina Danu bebeturoma naufae iba odi weite wei, uwara nesiabai anibate Godinu sina webasu wei. Anu nauetaini ereta nesia emabai webasu weite wei, aneba yaubinu? Uyaro a babataito umaro anu neno neno ueta Yesubai we ma boroearo maitufisu wei. Ananaiasima naba eno weiya Foroma wei.
ACT.22.17+ACT.22.18	Foroma weite wei, duburo owerete Jerusaremu suro farete dera dubu su ubarero amuete guriguri ue. Guriguri uete tubetube erero Yesu Kerisoma tubetuberoma wei, ewa uwarana emabai Nanu sina da naufitaitaba sau Jerusaremu su ekodiate ania wei. 
ACT.22.19	Weiro we, Dera Waria Amara, uwara nesiana nanu ema Ju uwaranu dubu su ubarero amuetaini Godinu sina naueta uwara mune dibura ane oetaini nanu uraneta sina ema nesia iwata utaita. 
ACT.22.20	Sitiwani Anu sina weta amara utaro danu onono itariro na ere. Emanu Sitiwani ureta ina nanu unu ido. I urebita uwaranu dei barueta nana yawoe we. 
ACT.22.21	Wero wei, daba yafawere i Ju me aika uwarabai siaia umaro ania weiya wei.
ACT.22.22+ACT.22.23	Foro i aika uwarabai eno webina i guruguru ubita uwara nautate nono weita, danu yabai ibetana aramawere uaro uifi weitate emanu wadia ma buruburu uteda konua mutate urero sata. 
ACT.22.24	Eno utaba ami yawoeta dera amarama weiro Foro ami uwaranu su ubarero woure ane oita. Woure ane oitaro dera yawoeta amarama i uwaranu weroroka iwata ufie wei, isu muawete uawero ba sina webiro nauma wei. 
ACT.22.25	Weiro buri age nama uwane taritaro Foroma ami kafiteniba wei, nana Romani amara, yana na koto utawa uitaba anu uretana kobererau aba siosawere, Romani uwaranu tarawatuba, Foroma wei. 
ACT.22.26	Eno weiro kafiteni i ufie utebi ekodite ami yawoeta dera amarabai ane farite wei, a ane utasu wei? Etei amarana Romani amara wei. 
ACT.22.27+ACT.22.28	Weiro dera yawoeta amara uyarite Forobai ane farite wei, ana Romani amara aba me weina aiwiade weiro wei, nanu ba orofa ekodete Romani orofa oi derawere oiya uete Romani amara sirete ibine wei. Weiro Foroma wei, nanu babana Romani amaraba nana Romani amara wei. 
ACT.22.29	Eno weiba i Foro uwane tarieta uwarama ekoitaro ami dera yawoeta amara iyari. Dana weiba danu ami uwarama Foro uwane taritaro Foroma na Romani amara weiba iba iya uyari.
ACT.22.30	Etei mui kowaro dera yawoeta amarama i uwaranu wawei weta iwata ufie uite weiro Foro ma uregari uta. Ami dera yawoeta amarama i fuyo oeta uwaraini i kanisoro uwara nesia yua weiro dawabai fataro Foro ma uregari utate woure i uwarabai oitaro emanu iboro inari.
ACT.23.1	Foroma i kanisoro uwara eregou uteda wei, kaka nabue nanu sina nauawe wei. Boderewereroma awona nanu ueta sinetana kobererau, Godima erasuro nana iyarawa utatane wei. Nanu ueta sinetana kobererau wei. 
ACT.23.2	Weiro i dera fuyo ode sina weta amara, Ananaiasima, i inaibita uwaraba wei, danu bebeturo uawe wei. 
ACT.23.3	Eno weiro ido utaro Foroma wei, Godima a moko ufisu wei. A imueta sadei bobo amara iba anu wasu i ba utawa me sara utasu. Uteda Mosesinu tarawatuma na koto uteda wenuro na uritaba tarawatu ma siosa usinu wei. 
ACT.23.4	Weiro i inaibita uwarama weita, aneba Godinu dera fuyo ode sina weta amaraba siosa sina wasu weita? 
ACT.23.5	Weitaro Foroma wei, ari, kaka nabue, dana Godinu dera fuyo ode sina weta amara na iwata meba iba wene wei. Godinu bukaroma eno wasu, yanu uwaranu yawoeta amaraba siosa sina da wiawe wasu Foroma wei.
ACT.23.6	Foroma i kanisoro uwara ereda we imui, moana uwarana Sadusi waita uwara, moana uwarana Ferosi waita uwara, we imuite wei, kaka nabue nanu sina nauawe wei, nana Ferosi amara. Nanu abuamutuna Ferosi uwara. Na uietaroma uyareta imutataneba yana na koto utaita wei. 
ACT.23.7	I Sadusi uwaraini Ferosi uwaranu imuetana demurai me. Emanu imuetana aika maika. 
ACT.23.8	(I Sadusi uwaranu imuetana eno, uietaroma uyareta mui daba me, aneru me, imumu me, eno we imutebita. Nono Ferosi uwarama i imueta nesia rarogonu imuegou utebita.) 
ACT.23.9	Enoba yare yaranebita. I Ferosi tarawatu tisa uwarama uyatate weita, ewa amarana kobere amara dawabai siosa me. Aneruma dawaba sina wasuro wasu aba me, ya iwata me weita. 
ACT.23.10	Eno weitaro derawere yaranebitate Foronu enabiraro inare enabiraro inare utate agero mune ma yourebita. Enoma enoma utebitaba dera ami yawoeta amara iyareda we imui, i amara abanaro ma saragari ufitaita we imuite weiro ami uwarama sau fatate i yaraneta uwarama ma beratate Foro emanu ami suro woure ane oita.
ACT.23.11	Dumu siniro Yesuma Forobai fare inarite wei, iya da uyate buna ua wei. Auboko Jerusaremu su uwarabai Nanu sina wei, enanari Romani uwarabai Nanu sina webasu wei.
ACT.23.12	Wau uriro moana Ju uwarama we bou utate eno weita, ietaini ogo da ifete Foro ma uifeisina ogoini ieta ido ifeisi weita. 
ACT.23.13+ACT.23.14	Uwara foti (40) eno utate i fuyo ode sina weta uwaraini emanu baeta uwarabai anitate weita, ieta da ifete Foro ma uifetema ido ifeisi, we bou utaisi weita. 
ACT.23.15	Eno utaisiba yana wiawero dera ami yawoeta amarama Foro yabai woure afiro Foroba sina webitae irufitaro Foro afiro ma uifeisi weita.
ACT.23.16	Foro danu teworero amara i Ju uwaranu we bou ueta sina nauite ami uwaranu suro Forobai anite i sina wei. 
ACT.23.17	Weiro Foroma nauite mui kafiteni amaraba wei, ewa amarama dera ami yawoeta amaraba sina webisuba yawoeta amarabai woure ania wei. 
ACT.23.18	Weiro mune yawoeta amarabai woure ane odite wei, ewa amarama aba sina webisu wei. I dibura amara, Foroma naba wenu ewa amarama ami yawoeta amaraba sina webisuba woure ania wenuba iba abai woure fanea wei. 
ACT.23.19	Weiro i dera yawoeta amarama i amaranu agero mune aika odite wei, ane webasu wei? 
ACT.23.20	Weiro i amarama wei, i Ju uwarama imueta daba demurai uita wei. Waidumu aba eno webitaita, Foro kanisoro uwarabai siaia uaro afiro mui sina webeisi webitaita wei. 
ACT.23.21	Emanu sinana meo sinaba iba da naua wei, uwara foti (40) feare yaubifitaro Foro fafiro ma uifitaita wei. Anu sina naufitae awona ue bou utaita wei. 
ACT.23.22	Weiro dera ami yawoeta amarama nauite wei, ewa sina mui amarabai da webaro weite siaia uiro i amara ido owere ani.
ACT.23.23+ACT.23.24	Dera ami yawoeta amarama mui kafiteni amara sadei yua weiro fata. Dawabai fataro wei, burima aneta ami uwara tu aderedi (200), osi egiro yaure aneta ami uwara seweniti (70), wari bobo ami uwara tu aderedi (200) ue bou uawate dumu abanaro Foro muawete Sesaria suro Firiki, gaemani dera yawoeta amarabai anegou uawe wei. Foroba mui osi egi mawaro yaufite anibi wei. 
ACT.23.25	Weite owawa eno yanai, na Korodiasi Risiama a kobere yawoeta amara Firikiba ario watane. 
ACT.23.26	Nanu sina kikiratu naua. 
ACT.23.27	Ewa siaia utatane amara, I Ju uwarama budari utate ma uifitae utaro nana farete i amara ma darete dana Romani amara iwata ue. 
ACT.23.28	Nanu ununa aneba wawei sina weita iwata umane uete Ju kanisoro uwarabai i amara woure ane ode. 
ACT.23.29	Woure ane odero i Ju uwarama emanu dubu su tarawatuba wawei sina weita. Yanu tarawatuba wawei sina wiawa utaba iba diburaro aneba ibifisu o aneba uifisu, ina ba me. 
ACT.23.30	I Ju uwarama ewa amara ma uifitaita weitaro mui amakanuma nabai wenuro nauneba iba abai sau siaia utatane. I wawei weta uwara duburo fafitate abai dawaba wawei sina webitaita. Nanu sina ido me sininu. 
ACT.23.31	Dera ami yawoeta amarama eno yanaite danu kafitenibai owawa mairo muta. Mutate dumu abanaro Foro mutate anita. Ane Atifatasi suro fatate aita. 
ACT.23.32+ACT.23.33	Wai uriro i burima aneta ami uwara ido owetate emanu suro ataro i osiro yaure anita uwarama Foro woure anita. Ane Sesaria suro fatate i dera gaemani yawoeta amaraba owawaini Foro mata. 
ACT.23.34+ACT.23.35	I yawoeta amarama owawa yawite Foroba wei, anu orofa aboro wei? Weiro Foroma wei, nanu orofana Sirisia weiro nauite wei, ido i wawei weta uwarama fafitaitana anu sina naumau wei. Danu uwaraba weiro Foro mutate Erodinu dera gaemani su ubarero woure oitate kasimu garari utate yawota.
ACT.24.1	I kowa fai (5) me siniro dera fuyo ode sina weta amara, Ananaiasini baeta uwaraini mui koto sina weta amara Tetarasini Foro koto ufitae fata. I gaemani dera yawoeta amarabai fata. 
ACT.24.2	Fataro yawoeta amarama weiro Tetarasima danu sina wawei webie uteda uyarite wei, Firiki, a kobere amara. Anu yawoetana kobererauba yanu ueta sineta ibetana kobererau wei. Ana kobere tarawatu yabai odinuba awona kobererau ibinisi wei. 
ACT.24.3	Anu yawoeta kobererauba tenikiu derawere waisi wei. 
ACT.24.4	A arama uosoba yanu sina kikiratu wemaro naua wei. 
ACT.24.5	Ewa amara Foro dana ba me. Dana i orofa atata Ju uwaranu imueta ma siosa utasu wei. Dana i Nasareta waita uwaranu mui dera amara. 
ACT.24.6+ACT.24.7+ACT.24.8	Dana yanu dera dubu su ma siosa ufie aniba iba i amara budari usi wei. Weite wei, yanu wawei sinana ba. Yanu ununa dawa yanu tarawatuma koto ufene usina i ami dera yawoeta amarama farite i amara bunawere yabairoma ma dare munite ani. Eno uite nono Raisusima eno wei, dawaba wawei weta uwara abai afene weiba iba farisi wei. I amara wenauearo webiro nauate yanu wawei sinana ba iwata ufasu wei. 
ACT.24.9	Eno weina i Ju uwara nesia enanari weita.
ACT.24.10	I gaemani dera yawoeta amarama Foronu sina naufie age fisu uiro Foroma uyarite wei, ana ewa orofa uwara oya faiyawere yawotebiba nanu neno kobererau umate nanu imueta sina moko wemau Foroma wei. 
ACT.24.11	Kowa tuero (12) me sini, i buribi dera dubu suro anete guriguri ue wei. I kowa iwata utasu wei. 
ACT.24.12+ACT.24.13	I kowaro Ju uwaranu dera dubu suro o dubu su suro o natofo suro na uranawa yaranawa, emanu imueta ma siosa utawa rairo aneba na koto utaita wei? Emanu abai naba wawei waita sinana ba me wei. 
ACT.24.14	Nanu mui sina eno, etei amaranu mui wenu sina ina ba. I uwaranu meo waita dabana na imutatane wei. Yanu babamutunu Godibai guriguri utatane wei. I tarawatunu sina nesia na imutatane. I we bou ueta uwaranu sina nesia imutatane wei. 
ACT.24.15	Godima uwara nesia, kobere uwaraini siosa uwaraini uietaroma ma uyafisu wei. I inaibinita uwaraini naini i yawoegou utaisi wei. 
ACT.24.16	Godinu uwarabai na siosa utawa uegou utataneba neno kobererau ue ibine wei.
ACT.24.17	Moana oya mui orofaro ibebe iroma nanu uwarabai fuyo odimane fare wei. 
ACT.24.18	Farete Mosesinu kakara ueta uete dera dubu su ubarero amue wei. Amuero nabai eme me, weroroka wiawa ue wei. 
ACT.24.19	Eno utebitarana moana Eisia orofa Ju uwarama na eta wei. I uwarama na etate budari utaba aneba na muta inu ubi fare anu iboro nabai wawei wiawa utaita wei. 
ACT.24.20	Bodere kanisoro uwaranu iboro inarero nanu siosa uetade ewa uwarama ane eta wei? 
ACT.24.21	Nanu sina demurairatu eno we, uietaroma uyareta na imutataneba iba awona na koto utaita we, Foroma wei.
ACT.24.22+ACT.24.23	Firiki dawa i naueta uwaranu imueta iwataba i Ju uwaraba wei, awona koto kodiawe wei. Eno weite Foroba wei, ami dera yawoeta amara Risia fafisuna aba ane umate wemau weite danu kafiteniba wei, Foro dibura suro odiaro danu domayamutu fafitate ane mafitae ufitaitana mafitaita wei.
ACT.24.24+ACT.24.25	Duburo Firikima weiro Foroma Firikini danu Ju aweta danu ifuna Durisira emabai fari. Fare emaba sina bunawere wei, Yesu Keriso imuawate emebai kobererau uawate yanu unu torowa da uawaro Godima duburo fafite koto ufisu wei. Eno weiro Firikima iya uyarite wei, aniaro nanu odimau kowaro wemaro fafasu wei. 
ACT.24.26	Firiki danu imuetana eno, Foroma Firiki dawaba oi mafisua we imuteda iba Foro webiro woroworo dawabai farebiro sina sina webisi. Firikini Foro eno utebisi. 
ACT.24.27	Oya sadei me siniro Fosia Fesama Firikinu kabesi muni. Firikima i Ju uwara garo uite wei, Foro dibura suro ibifisu wei.
ACT.25.1	Fesama fariro kowa rarogonu me siniro Fesama Sesaria suroma Jerusaremu suro mani. 
ACT.25.2+ACT.25.3	Iro mane fariro i dera fuyo ode sina weta uwaraini dera Ju uwaraini dawabai fatate Foroba sina wawei weitate nui weita, Foro siaia uaro Jerusaremu suro fafi weita. Emanu ununa feare yaubebe Foro ma uifitae iba eno weita. 
ACT.25.4+ACT.25.5	Eno weitaro Fesama wei, Foro Sesaria suro yaubinu wei. Na iro tanimaro yanu dera uwaraini iro tarafitate danu siosa ueta sina wawei webitaita wei.
ACT.25.6	Fesama Jerusaremu suro ibebe kowa eita (8) me siniro ekodite Sesaria suro tarani. Wai uriro Fesama danu koto koruro anite danu yaureta deiro yaurite wei, aniawete Foro woure arawe weiro ane woutate fata. 
ACT.25.7	Foro ido fariro i Sesaria suro tarata Ju uwarama Foro ode kara utate sina faiyawere wawei weitarogo emanu sina ba meba Fesa emanu sina nautawa ui. 
ACT.25.8	Ju uwarama weitaro Foroma moko sina eno wei, i Ju uwaranu tarawatuini dera dubu suini gaemani dera yawoeta amara Sisaba siosa utawa utebitara wei. 
ACT.25.9	Fesama i Ju uwara garo uite Foroba wei, Jerusaremu suro manibero aba sina wawei nabai webitaita. Eno ufasua aba me wei? 
ACT.25.10	Weina Foroma me weite wei, awona Sisanu kotoro inaibine, ina kobererau wei. I Ju uwaraba siosa utawa uero a iwata utasu wei. 
ACT.25.11	Na siosa uteda uieta kerere umarona uimane na iyarawa uietaba kerere mena da uimau wei. Emanu agero na da odia wei. Nanu unu dera amara Sisabai animau deina ido wei. 
ACT.25.12	Fesaini danu kanisoro uwaraini sina we matatate Fesama Foroba wei, Sisabai anibae wenuba Sisabai anibasu wei.
ACT.25.13	Moana kowa me siniro Kini Agirifaini danu aweta Benisini Sesaria suro fatate Fesa ario weita. 
ACT.25.14	Sesaria suro kowa faiyawere ibebitaba Fesama Foronu dibura sina emaba eno wei, Firikima mui amara, Foro, dibura suro odiro ibebe ibebe awona dibura suro me yaubinu wei. 
ACT.25.15	Na Jerusaremu suro ane farena, i Ju uwarama i amaraba nabai wawei weitate i amara uaro uifi weita. 
ACT.25.16	Weitaba we, yanu Romani uetana eno, dibura uwaraini wawei weta uwaraini sina sina we matafitaita, mena dibura oeta amara wawei weta uwaranu agero me sara da odifeisi we wei.
ACT.25.17	Weite wei, i Ju uwarama i amara koto ufitae fata. Fataro ido wai uriro nana wero i uwaraini Foroini koto ufitae nabai are fata. 
ACT.25.18	Fatate emanu wawei sina weitana Foronu siosa ueta sina wiawa emanu aika weita. 
ACT.25.19	Emanu dera dubu su siboro ueta sina wawei weita. Eno weita, Yesu Dawa me sini weitaro Foroma wei, Yesu uitawa Dawa me ibinu wei. 
ACT.25.20	Eno weitaba ane umau na iwata meba, Foroba we, Jerusaremu suro anibero iro wawei webitaita. Eno ufasu aba me? 
ACT.25.21	Wena Foroma me weite wei, nanu ununa Sisabai animau wei. Eno weiba wero owetate dibura suro woure oita. Duburo Sisabai siaia umaro anibisu wei. 
ACT.25.22	Fesama eno weiro Agirifama wei, i amaranu sina naumane watane wei. Weina Fesama wei, waidumu naufasu wei.
ACT.25.23	Wai uriro Agirifaini Benisini werei werei utaro emanu dera ami uwaraini i koto su ubarero amuta. Amutaro Fesama weiro ane Foro woure fata. 
ACT.25.24	Fesama yare wei, Kini Agirifa, ya uwara nesia ewa amara eawe wei. I Ju uwara nesia Jerusaremu su uwaraini ewa su uwaraini ewa amaraba sina nabai wawei weitate eno weita, i amara uaro uifi weita. 
ACT.25.25	Weitaro dawabai kerere meba aneba uifisu? Daba aika Sisabai animau weiba dawa siaia umau wei. 
ACT.25.26	Siaia uteda owawa anene yanamate nanu dera amarabai siaia umau wei? Na dawa wawei weta sina mena wiawero Foro naufite webiro naufe wei. Kini Agirifa danu sina nauate wiaro enanari owawa ue odimau wei. 
ACT.25.27	Wawei weta daba meba na unutawa dawa Sisabai me sara siaia ueta wei.
ACT.26.1	Agirifama Foroba wei, anu ikiki wiaro naufe wei. Foroma uyarite age sanite ramameda danu moko sina eno webi. 
ACT.26.2	I Ju uwarama naba wawei webitaba awona abai nanu moko sina wemane yaru uteda nenorau une wei. 
ACT.26.3	Ana i Ju uwaranu baeta uraneta yaraneta nesia iwata uegou utasuba nanu sina nauegou ua wei.
ACT.26.4	Nanu suini Jerusaremu suro ibebitaraba i Ju uwarama nanu ueta sineta kikiraturoma iwata utaita wei. 
ACT.26.5	I Ferosi uwaranu kimu imueta na munegou utebitara. Ina i uwara iwata utaitaba eno aba webitaita aba me wei? 
ACT.26.6+ACT.26.7	Godima yanu abuamutuba eme uietaroma uyareta we bou ui. I we bou ueta na imutatanero i Ju uwara nesia ainewaure guriguri uteda imuegou utaita wei. Eno utaitate nono na iba koto utaita wei. 
ACT.26.8	Godima uieta uwara uietaroma ma uyarasuro aneba imuteda kirifu utaita wei?
ACT.26.9	Bodere nanu imuetana eno, Yesunu buribi aneta uwaraba ba mewere umau, ina kobererau na eno we imue. Eno we imuete enanari utebitara wei. 
ACT.26.10+ACT.26.11	I fuyo ode sina weta uwarama weitaro nana Godinu sina naueta uwara Jerusaremu dibura suro mune ode. I uwarama Godinu sina naueta uwara ma uifitae weitaro nana aiwia, ma uiawe weya wei. Nana ubusi derawere uyarete Godinu sina naueta uwara Godiba siosa sina webitae uete emaba siosawere ue. Jerusaremu suroma aika su su aboro aboro eno utebitara wei. 
ACT.26.12	Iba i fuyo ode sina weta uwarama naba owawa matate ane ua weitaro na Damasikosi suro ane.
ACT.26.13	Foroma nono wei, na anebitarana kowa otoro ario derawere, kowana danu ario kikiratu. Kini nanu sina naua, i ario derawere ureroma tararite naini nanu uruama aneta uwaraini wokuku ui. 
ACT.26.14	Eno uiba ya nesia sakairo dowasina Ju uwaranu sinaroma mui sina weiro naue. I sina eno wei, Soro, aneba Naba ba me utasu weita wei, ana Godini uranasuba oferi wourasu wei. 
ACT.26.15+ACT.26.16	Weina a anaiyade wero Yesuma wei, Nana Yesu. Naba ba me utasu weite naba wei, uyaro a siaia uma wei. Abai fanete Nanu sina weta amara odine. Nanu gaukara amara odineba siaia umaro anibate i orofa atata uwaraba anu awona eretaini duburo ereta webaro naufitaita wei. 
ACT.26.17+ACT.26.18	A durua umaro aba siosa ueta Ju uwaraini aika uwaraini da ufitaita. I uwarabai anibate nanu sina webaro emanu ditima efitate dumu daba ekodifitate Godibai anibitaita wei. Eno ufitaro Godima emanu neno neno ueta mubite imutawa ufite ema Nanu naueta uwarabai odifisu Yesuma Naba wei, Foroma i sina eno wei.
ACT.26.19+ACT.26.20	Foroma eno weite wei, Kini Agirifa, i ure tubetube ereta erete enanari ue. I Damasikosi su uwarabai ko we. Nono Jerusaremu uwaraba wete nono duburo i Judia uwaraini aika uwarabai ane eno we, yanu neno neno kodiawete Godibai aniawe we. Godibai aniboitaba siosa ueta kodiawete kobere ueta torowa uawe we. 
ACT.26.21	Eno weba i Ju uwara na dera dubu suro budari utate na ma uifitae uta wei. 
ACT.26.22	Godima na durua utasuba awona ewado inaibeda yabai dera uwaraini otowa uwarabai Godinu sina watane. Mosesini i we bou ueta uwarama weitaro enanari watane wei. 
ACT.26.23	I uwarama weita, I Mesaia oferi derawere woufite Dawa ko uietaroma uyafite Ju uwaraini aika uwarabai ario derawere odifisu wei. 
ACT.26.24	Foroma danu moko sina eno weiro Fesama derawere wei, Foro, ana gogore usinu. Sikuru derawere utebiba gogore usinu wei. 
ACT.26.25	Weiro Foroma wei, O kobere amara Fesa, nana gogore me wei. Na ba sina watane wei. 
ACT.26.26	Nanu watane sina Kini Agirifa a iwata utasu. I ueta nesia dumuro utawa uite arioro uiba a iwata utasu wei. 
ACT.26.27	Kini Agirifa, i we bou ueta uwaranu sina imutasu aba me weite wei, a imutasuna na iwata wei. 
ACT.26.28	Weiro Agirifama wei, anu ununa nana nanu naueta Yesubai sau odimau wei. 
ACT.26.29	Foroma wei, sau odifasu aba kekerama odifasu ina ido. Nanu ununa aini ewa nautaita uwaraini nesia yanu naueta Yesubai odifoita wei. Na ari siboita, nanu dibura budari uetana me, nono ba naueta uwara siboita wei. 
ACT.26.30+ACT.26.31	Foroma eno weiro Kini Agirifaini Fesaini Benisini emanu uwara nesia uyatate wawaro anitate emanu torowa weita, etei amarabai kerere me, uieta kerere me, dibura kerere me weita. 
ACT.26.32	Weitaro Agirifama Fesaba wei, dana Sisabai animau da webirona awona dawa dibura ekodifite wawaro anibie wei.
ACT.27.1	Yanu Itaria orofaro aneta ue bou utate Foroini moana dibura uwaraini mui ami kafiteniba mata. I kafiteninu ifuna Juriasi. Dana Sisa Agasitasi waita danu ami amara. 
ACT.27.2	I amaraini boutiro amusi. I boutina Adamitiuma suroma fari. Nono owefite Eisia orofa su suro mubie ani. I boutiro yaini mui amaraini danu ifuna Aritikasi, dana Masadonia orofa Tesoronaika su amara, dawaini i boutiro amusite anisi. 
ACT.27.3	Wai uriro anebe Saidoni su fasi. Juriasima danu imueta derawere Forobai odiro Foroma boutiroma itarite suro ani. Danu domayamutubai yadama ani. 
ACT.27.4	Ane farite iroma owere ariro nono boutiro anisi. Oyau derawere fariba Saifurasi mutumutu dubenaro anisi. 
ACT.27.5	Anebe anebe ane enea abanaro fasi. Iroma anebe Sirisiaini Famufiria su serigari usite amusite Risia orofa Maira su ido fasi. 
ACT.27.6	I ami kafitenima mui Itariaro aneta bouti dobere ane atanite ya nesia woure i Arekisana suroma fari boutiro odi.
ACT.27.7	Maira su ekoisite anisi. Oyau derawere fariba moana kowaro kekerama anebe anebe Sinadasi su serigari usi. Oyau derawere farite yanu aneta daba garari uiba Kuriti mutumutu iboro Saramone su baworo fare anisi. 
ACT.27.8	Yanu anetana kimuwereba kekerama anisi. Kekerama anebe i kobere Dera Boutinu ibeta orofaro fasi. Rasia suna i orofabai.
ACT.27.9+ACT.27.10	Yanu aneta kowa kekerama anebe sau ane farawa usiba yanu mui aneta dabana aramawere. I Godima Isaraero uwara Ijifiroma woure aneta ogaro me siniba iba bouti kowana me. Kowa serigari uiba Foroma wei, yawe, nanu imuetana eno, anibeisina yanu boutini egoini arama ufitaro moana uwara ofe arama ufiro uifitaita wei. 
ACT.27.11	Eno weiro ami kafiteni amarama nautawa uite i bouti yawoeta uwaranu sina naui. 
ACT.27.12	Oyauini obi kowa fariba yanu bouti ibeta orofa ba meba mui Kuriti mutumutu bouti ibeta orofa, Finiki su mubete iro ibifene weita.
ACT.27.13	Kiki oyau farite kobererau uiro we imuta, yanu aneta kowa farinu we imutate emanu bouti anika ma youtaro Kuriti magua gigirari anisi. 
ACT.27.14	Anebisiro oyabibi derawere farite enea abanaro bouti woure ani. 
ACT.27.15	Bouti ma owefitae utana enanari utawa uiba ekoitaro oyabibima bouti ure ma berairo ani. 
