GEN.1.2	Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu no ani. Na Onyankopɔn honhom butu
NEH.4.12	Na ɛbaa sɛ, Yudafoɔ a wɔtete wɔn ho no firi nkuro no nyinaa mu bɛka kyerɛɛ yɛn bɛyɛ mprɛdu sɛ: Wɔrepam yɛn ho apam bɔne. 
NEH.4.13	Ɛnna mede nnipa sisii aseɛ aseɛ hɔnom, ɔfasuo no akyi, deɛ ɛhɔ deda hɔ no, na mede ɔman no sisii sɛdeɛ wɔn mmusua teɛ, wɔkurakura wɔn nkrantɛ ne wɔn mpea ne wɔn tadua. 
NEH.4.14	 Na mekɔhwɛe, na mesɔree, na mesee mmakoma ne mpanimfoɔ ne ɔman no nkaeɛ sɛ: Monnsuro wɔn, AWURADE kɛseɛ a ne ho yɛ hu no mmom na monkae no, na monko mma mo nuanom ne mo mmammarima ne mo mmammaa ne mo yerenom ne mo afie.
NEH.4.16	Na ɛfiri da no, me mmeranteɛ fa fraa mu yɛɛ adwuma, na wɔn mu fa nso kurakuraa mpea ne akyɛm ne tadua wɔn amiadeɛ mu, na asafohene no gyinaa Yuda fie nyinaa akyi. 
NEH.4.17	Wɔn a wɔtotoo ɔfasuo no ne wɔn a wɔsoso nnesoa ne wɔn a wɔsoasoaa wɔn no, wɔde nsa baako reyɛ adwuma, na wɔde baako kura akodeɛ mu. 
NEH.4.18	Na wɔn a wɔtoɔ no nyinaa bobɔ wɔn nkrantɛ wɔ wɔn asene na na wɔde retoɔ. Na ntotorobɛntohyɛnfoɔ wɔ me nkyɛn. 
NEH.4.19	Na mesee mmapɔmma ne mpanimfoɔ ne ɔman no nkaeɛ sɛ: Adwuma no dɔɔso, na emu trɛ na yɛn nso yɛapaepae yɛn mu ɔfasuo no so, onipa ne ne yɔnko ntam ware. 
NEH.4.20	Enti baabiara a mobɛte totorobɛnto nka no, ɛhɔ na mommoa mo ano mmɛhyia yɛn nkyɛn, yɛn Nyankopɔn bɛko ama yɛn.
NEH.4.21	Saa na yɛyɛɛ adwuma. Na wɔn mu fa kurakuraa mpea firi adekyeeɛ kɔsi sɛ nsoromma pue. 
NEH.4.22	Nso berɛ no ara mu no, mesee ɔman no sɛ: Onipa biara ne ne somfo nna Yerusalem, na wɔnyɛ yɛn awɛmfoɔ anadwo ne adwumayɛfoɔ awia. 
NEH.4.23	Na me ne me nuanom ne m’asomfoɔ ne awɛmfoɔ a wɔdi m’akyire no, yɛanyiyi yɛn ntadeɛ, obiara kura n’akodeɛ wɔ ne nsa nifa mu.
NEH.5.1	Na ɔman no ne wɔn yerenom nteamu kɛseɛ sɔre tiaa wɔn nuanom Yudafoɔ no, 
NEH.5.2	na ebinom wɔ hɔ a wɔkaa sɛ: Yɛne yɛn mmammarima ne yɛn mmammaa no, yɛdɔɔso, na momma yɛnkɔpɛ aduane nni na yɛnnya nkwa. 
NEH.5.3	Na ebinom nso se: Yɛde yɛn mfuo ne yɛn bobe nturo ne yɛn afie resisi nwowa apɛ ɛkɔm ano aduane. 
NEH.5.4	Na ebinom wɔ hɔ a wɔkaa sɛ: Yɛafɛm sika de ayi ɔhene toɔ, yɛn mfuo ne yɛn bobe nturo no ho. 
NEH.5.5	Na afei yɛn honam te sɛ yɛn nuanom honam, yɛn mma te sɛ wɔn mma, na hwɛ, yɛn deɛ, yɛrebrɛ yɛn mmammarima ne yɛn mmammaa ase de wɔn ayeyɛ nkoa, na yɛn mmammaa mu binom wɔ hɔ a wɔanya abrɛ wɔn ase saa, na ahoɔden biara nni yɛn nsam, na yɛn mfuo ne yɛn bobe nturo yɛ afoforɔ dea.
NEH.5.6	Na metee wɔn nteamu ne nsɛm yi no, me bo fuu pa ara. 
NEH.5.7	 Na me ne me ho tuu agyina, na me ne mmapɔmma ne mpanimfoɔ no hamee, na mesee wɔn sɛ: Mfɛntom na mogyegye mo nuanom hɔ! Na mebɔɔ wɔn so dwa kɛseɛ, 
NEH.5.8	na mesee wɔn sɛ: Yɛn deɛ, yɛagye yɛn nuanom Yudafoɔ a wɔtontɔnee wɔn maa amanaman no, sɛdeɛ ɛwɔ yɛn nsam no, na mo nso, mobɛtontɔn mo nuanom, na wɔntontɔn wɔn ho mma yɛn anaa? Na wɔyeyɛɛ komm, na na wɔnhunu asɛm a wɔde bɛbua. 
NEH.5.9	Na mekaa sɛ: Asɛm a moredie yi nyɛ, ɛnyɛ yɛn Nyankopɔn no suro mu na ɛsɛ sɛ monanteɛ, amanaman a wɔyɛ yɛn atamfoɔ no nsopa no nti? 
NEH.5.10	Na me nso, me nuanom ne m’asomfoɔ, yɛafɛm wɔn sika ne aduane, momma yɛmfa ka yi nkyɛ. 
NEH.5.11	Ɛnnɛ ara monnane wɔn mfuo ne wɔn bobe nturo ne wɔn ngo nnua ne wɔn afie mma wɔn, ne sika ne aduane ne nsa ne ngo no ha mu abupɛn a mogyee no wɔn hɔ yɛɛ mfɛntom no. 
NEH.5.12	Ɛnna wɔse: Yɛbɛdane ama, na yɛrenhwehwɛ wɔn hɔ biribiara. Yɛbɛyɛ saa, sɛdeɛ woaka no. Na mefrɛɛ asɔfoɔ no mebae, na memaa wɔkekaa ntam sɛ wɔbɛyɛ no sɛdeɛ asɛm yi teɛ. 
NEH.5.13	Meporeporee me kokom nso na mekaa sɛ: Sei ara na Onyankopɔn bɛporepore onipa biara a ɔmma asɛm yi ntim no afiri ne fie ne n’adwuma mu, na sei ara na wɔbɛporepore no na wayɛ onipahunu. Na badwa no nyinaa kaa sɛ: Amen. Na wɔyii AWURADE ayɛ. Na ɔman no dii asɛm yi so.
NEH.5.14	Nso ɛfiri da a wɔde me yɛɛ Yuda asase so amrado no, ɛfiri Ɔhene Artasasta afe a ɛtɔ so aduonu kɔsi afe a ɛtɔ so aduasa mmienu soɔ no, mfeɛ dummienu, me ne me nuanom anni amrado aduane. 
NEH.5.15	Na akane amradofoɔ a wɔdii m’anim no yɛɛ ɔman no so adesoa, na wɔgyegyee wɔn hɔ aduane ne nsa, ɛsono dwetɛ nnwetɛbena aduanan nso. Wɔn asomfoɔ nso homm ɔman no so. Na me deɛ, Nyankopɔn ho suro nti, manyɛ saa. 
NEH.5.16	Na ɔfasuo yi ho adwuma no nso, mesɔɔ mu, na yɛannye asase biara mpo, na m’asomfoɔ nyinaa ano bɛboae wɔ adwuma no ho. 
NEH.5.17	Na Yudafoɔ ne mpanimfoɔ no mu ɔha aduonum ne wɔn a wɔfifiri yɛn ho amanaman mu ba yɛn nkyɛn no didii me pono so. 
NEH.5.18	Na deɛ wɔnoa da koro nie: Nantwinini baako ne nnwan a wɔadɔ nsia, na ntakraboa na wɔsiesie ma me, na dadu mu prɛko, nsa ahodoɔ bebree bu so. Nanso yei mu no, mammisa amrado aduane, ɛfiri sɛ na ɔsom no yɛ duru wɔ ɔman no so. 
NEH.5.19	 Ao, Me Nyankopɔn, mesrɛ wo, kae ma me yiedie wɔ deɛ ɔman yi nti meyɛeɛ no nyinaa ho.
NEH.6.1	Na Sanbalat, Tobia, Arabni Gesem ne yɛn atamfoɔ nkaeɛ no tee sɛ mato ɔfasuo no na tokuro biara nni mu bio no, (nanso berɛ no mu na mensisii apono no, kuro apono no ano), 
NEH.6.2	Sanbalat ne Gesem soma maa wɔbaa me nkyɛn sɛ: Bra ma yɛnhyia wɔ nkuraa a ɛwɔ Ono Asasetatraa no mu. Na wɔn deɛ, bɔne na wɔredwene no me ho. 
NEH.6.3	Na mesomaa abɔfoɔ maa wɔkɔɔ wɔn nkyɛn sɛ: Adwuma kɛseɛ na mereyɛ yi, na merentumi mensiane memma. Ɛdeɛn nti na adwuma no nna hɔ na mennya no hɔ nsiane mmra mo nkyɛn? 
NEH.6.4	Na wɔsoma maa wɔbaa me nkyɛn saa ara mprɛnnan, na mebuaa wɔn saa ara. 
NEH.6.5	Ɛnna Sanbalat somaa ne somfoɔ maa no baa me nkyɛn deɛ ɛtɔ so nnum, na nwoma a ano da hɔ kura ne nsam. 
NEH.6.6	 Wɔatwerɛ no emu sɛ: Wɔkeka no amanaman mu, na Gasmu ka sɛ wo ne Yudafoɔ redwene atuateɛ, ɛno nti na woreto ɔfasuo no yi, na wo nso worepɛ ɔhene adi, sɛdeɛ nsɛm yi teɛ no. 
NEH.6.7	Nanso woahyehyɛ adiyifoɔ a wɔbɛpae wo ho asɛm wɔ Yerusalem sɛ: Ɔhene bi wɔ Yuda. Na afei ɔhene aso bɛte no sɛdeɛ nsɛm yi teɛ. Na afei bra na yɛnhyia ntu agyina. 
NEH.6.8	Ɛnna mesoma maa wɔkɔɔ ne nkyɛn sɛ: Wɔnyɛɛ biribi sɛ nsɛm a woreka yi, na ɛyɛ bɔtirimuka. 
NEH.6.9	Na wɔn nyinaa, ehu nko ara na na wɔyi yɛn sɛ: Wɔn nsam bɛgo afiri adwuma no ho, na wɔanyɛ. Na afei, Onyankopɔn hyɛ me nsam den.
NEH.6.10	Na mekɔɔ Mehetabel ba Delaia ba Semaia fie, na ɔno deɛ, na wato ne ho pono mu. Na ɔkaa sɛ: Ma yɛnhyia Nyankopɔn fie asɔredan no mu, na yɛntoto asɔredan no apono mu, ɛfiri sɛ wɔreba abɛku wo. Anadwo na wɔbɛba abɛku woɔ. 
NEH.6.11	Na mese: Ɔbarima a ɔte sɛ me bɛdwane anaa? Na hwan na ɔte sɛ me a ɔbɛhyɛne asɔredan no mu na wanya nkwa? Merenkɔ. 
NEH.6.12	Na mekarii, na hwɛ, ɛnyɛ Onyankopɔn na ɔsomaa no, na nkɔm a ɔhyɛ tiaa me yi, na Tobia ne Sanbalat na abɔ no paa. 
NEH.6.13	 Deɛ enti a wɔbɔɔ no paa ne sɛ, mensuro na menyɛ saa, na menyɛ bɔne, na wɔanya dimmɔne bi abɔ de asopa me. 
NEH.6.14	 Me Nyankopɔn, kae Tobia ne Sanbalat sɛdeɛ wɔn nnwuma yi teɛ, ne Odiyifoɔ baa Noadia nso ne adiyifoɔ no a anka wɔrepɛ ayi me hu no.
NEH.6.15	Na wɔde nna aduonum mmienu na wɔwiee ɔfasuo no bosome Elul
NEH.6.16	Na yɛn atamfoɔ nyinaa teeɛ no, amanaman a wɔwowɔ yɛn ho no suroe, na wɔtɔɔ sini wɔn ani so sɛ, na wɔhunuu sɛ yɛn Nyankopɔn nkyɛn na wɔfiri bɛyɛɛ adwuma yi. 
NEH.6.17	Nso nna no mu no, Yuda mmapɔmma no mu pii manee Tobia nwoma, na Tobia nso deɛ baa wɔn nkyɛn, 
NEH.6.18	na Yuda mu nnipa pii asuae akyerɛ no, ɛfiri sɛ Arah ba Sekania ase ne no, na ne ba Yohanan aware Berekia ba Mesulam babaa. 
NEH.6.19	Nso wɔbɛkaa ne nnwuma pa wɔ m’anim, na wɔkɔkaa me nsɛm nso kyerɛɛ no. Na nwoma no deɛ, Tobia de manee sɛ ɔde rebɛyi me hu.
NEH.7.1	Na ɛbaa sɛ wɔtoo afasuo no, na mesii apono no, wɔhyehyɛɛ apono ano ahwɛfoɔ ne nnwontofoɔ ne Lewifoɔ. 
NEH.7.2	Na mede Yerusalem hyɛɛ me nua Hanani ne Hanania, aban no mu safohene no nsa, ɛfiri sɛ, na ɔyɛ ɔbarima nokwafoɔ a ɔsuro Onyankopɔn sene nnipa bebree, 
NEH.7.3	na mesee wɔn sɛ: Mommma wɔnnhini Yerusalem apono gye sɛ owia mu ayɛ den ansa. Na wɔda so gyina hɔ no wɔnkeka apono no ntoto mu, na montoto akyire. Na momfa Yerusalemfoɔ awɛmfoɔ nsisi hɔ, onipa biara nnyina ne wɛn so, ne fie ntentensoɔ. 
NEH.7.4	Na na kuro no mu bae tɛtrɛtɛɛ na ɛso, na nnipa a wɔwɔ mu no sua, na adan no nso, na wɔnsisii.
NEH.7.5	Na me Nyankopɔn de hyɛɛ me tirim mu sɛ memmoa mmapɔmma ne mpanimfoɔ ne ɔman no ano na wɔnkan wɔn, wɔn mmusua so. Na mehunuu wɔn a wɔforo baa kane no ho mmusua nkaneeɛ nwoma, na mehunuu sɛ wɔatwerɛ mu sɛ:
NEH.7.7	Wɔne Serubabel, Yesua, Nehemia, Asaria, Raamia, Nahamani, Mordekai, Bilsan, Misperet, Bigwai, Nehum, Baana na ɛbaeɛ.
NEH.7.7	Israel man mu mmarima dodoɔ nie: 
NEH.7.8	Paros mma: Mpennu ɔha aduɔson mmienu. 
NEH.7.9	Sefatia mma: Ahasa aduɔson mmienu. 
NEH.7.10	Arah mma: Ahansia aduonum mmienu. 
NEH.7.11	Pahat-Moab mma: Yesua ne Yoab mma deɛ: Mpennu ahanwɔtwe ne dunwɔtwe. 
NEH.7.12	Elam mma: Apem ahanu aduonum nnan. 
NEH.7.13	Satu mma: Ahanwɔtwe aduanan nnum. 
NEH.7.14	Sakai mma: Ahanson aduosia. 
NEH.7.15	Binui mma: Ahansia aduanan nwɔtwe. 
NEH.7.16	Bebai mma: Ahansia aduonu nwɔtwe. 
NEH.7.17	Asgad mma: Mpennu ahasa aduonu mmienu. 
NEH.7.18	Adonikam mma: Ahansia aduosia nson. 
NEH.7.19	Bigwai mma: Mpennu aduosia nson. 
NEH.7.20	Adin mma: Ahansia aduonum nnum. 
NEH.7.21	Ater mma: Hesekia deɛ, aduɔkron nwɔtwe. 
NEH.7.22	Hasum mma: Ahasa aduonu nwɔtwe. 
NEH.7.23	Besai mma: Ahasa aduonu nnan. 
NEH.7.24	Harif mma: Ɔha ne dummienu. 
NEH.7.25	Gibeon mma: Aduɔkron nnum. 
NEH.7.26	Betlehem ne Netofa mmarima: Ɔha aduɔwɔtwe nwɔtwe. 
NEH.7.27	Anatot mmarima: Ɔha aduonu nwɔtwe. 
NEH.7.28	Bet-asmawet mmarima: Aduanan mmienu. 
NEH.7.29	Kiriat-yearim, Kefira ne Beerot mmarima: Ahanson aduanan mmiɛnsa. 
NEH.7.30	Rama ne Geba mmarima: Ahansia aduonu baako. 
NEH.7.31	Mikmas mmarima, ɔha aduonu mmienu. 
NEH.7.32	Betel ne Ai mmarima, ɔha aduonu mmiɛnsa. 
NEH.7.33	Nebo baako no mmarima: Aduonum mmienu. 
NEH.7.34	Elam baako no mma: Apem ahanu aduonum nnan. 
NEH.7.35	Harim mma: Ahasa aduonu. 
NEH.7.36	Yeriko mma: Ahasa aduanan nnum. 
NEH.7.37	Lod, Hadid ne Ono mma: Ahanson aduonu baako. 
NEH.7.38	Senaa mma: Mpensa ahankron aduasa.
NEH.7.39	Asɔfoɔ no: Yedaia mma, Yesua fie deɛ: Ahankron aduɔson mmiɛnsa. 
NEH.7.40	Imer mma: Apem aduonum mmienu. 
NEH.7.41	Pasur mma: Apem ahannu aduanan nson. 
NEH.7.42	Harim mma: Apem ne dunson.
NEH.7.43	Lewifoɔ: Yesua mma: Kadmiel deɛ, Hodewa mma deɛ: Aduɔson nnan. 
NEH.7.44	Nnwontofoɔ: Asaf mma: Ɔha aduanan nwɔtwe. 
NEH.7.45	Apono ano ahwɛfoɔ: Salum mma, Ater mma, Talmon mma, Akub mma, Hatita mma, Sobai mma: Ɔha aduasa nwɔtwe.
NEH.7.46	Nsɔfokwaa: Siha mma, Hasufa mma, Tabaot mma, 
NEH.7.47	Keros mma, Sia mma, Padon mma, 
NEH.7.48	Lebana mma, Hagaba mma, Salmai mma, 
NEH.7.49	Hanan mma, Gidel mma, Gahar mma, 
NEH.7.50	Reaia mma, Resin mma, Nekoda mma, 
NEH.7.51	Gasam mma, Usa mma, Pasea mma, 
NEH.7.52	Besai mma, Meunim mma, Nefusesim mma, 
NEH.7.53	Bakbuk mma, Hakufa mma, Harhur mma, 
NEH.7.54	Baslit mma, Mehida mma, Harsa mma, 
NEH.7.55	Barkos mma, Sisera mma, Tema mma, 
NEH.7.56	Nesia mma, Hatifa mma.
NEH.7.57	Salomo nkoa mma: Sotai mma, Soferet mma, Perida mma, 
NEH.7.58	Yala mma, Darkon mma, Gidel mma, 
NEH.7.59	Sefatia mma, Hatil mma, Pokeret-hasebaim mma, Amon mma.
NEH.7.60	Nsɔfokwaa ne Salomo nkoa mma no nyinaa: Ahasa aduɔkron mmienu.
NEH.7.61	Na yeinom ne wɔn a wɔfiri Tel-mela, Tel-harsa, Kerub, Adon, Imer foro baeɛ, na wɔantumi ankyerɛ wɔn mpanimfie ne wɔn ase sɛ Israel mu na wɔfire. 
NEH.7.62	Delaia mma, Tobia mma, Nekoda mma: Ahansia aduanan mmienu. 
NEH.7.63	Na asɔfoɔ mu: Habaia mma, Hakos mma, Barsilai (a ɔwaree Gileadni Barsilai mmammaa mu bi, na wɔde wɔn din too ne mma), 
NEH.7.64	yeinom hwehwɛɛ wɔn mmusua atwerɛ, na wɔanhunu. Na wɔbuu wɔn sɛ wɔn ho nteɛ nti, wɔyii wɔn firii asɔfodie mu. 
NEH.7.65	Na amrado no ka kyerɛɛ wɔn sɛ wɔnnni akronkronneɛ mu adekronkron no bi kɔsi sɛ ɔsɔfoɔ bi de Urim ne Tumim bɛkyerɛ.
NEH.7.66	Badwa mu no nyinaa ano si mpem aduanan mmienu ne ahasa aduosia, 
NEH.7.67	ɛsono wɔn nkoa ne wɔn mfenaa, wɔn nso wɔyɛ mpemnson ahasa aduasa nson. Na wɔwɔ nnwontofoɔ mmarima ne mmaa ahanu aduanan nnum. 
NEH.7.68	Wɔn apɔnkɔ yɛ ahanson aduasa nsia, wɔn mfunumupɔnkɔ, ahanu aduanan nnum. 
NEH.7.69	Yoma: Ahanan aduasa nnum. Mfunumu: Mpemnsia ahanson aduonu.
NEH.7.71	Na agyanom atitire no mu binom maa adwuma no ho akoradeɛ sika nsuruboaa mpemaduonu ne dwetɛ mmɛnaa mpennu ahanu. 
NEH.7.72	Deɛ ɔman no nkaeɛ no maeɛ ne sika nsuruboaa mpemaduonu ne dwetɛ mmɛnaa mpennu ne asɔfotadeɛ aduosia nson.
NEH.7.73	Na asɔfoɔ ne Lewifoɔ ne apono ano ahwɛfoɔ ne nnwontofoɔ no ne ɔman no mu bi ne nsɔfokwaa no ne Israel nyinaa tenatenaa wɔn nkuro mu.
NEH.8.2	 Na Ɔsɔfoɔ Esra de mmara no baa badwa a mmarima ne mmaa ne obiara a ɔbɛtumi atie ate aseɛ no wɔ mu no anim, bosome a ɛtɔ so nson no da a ɛdi kan. 
NEH.8.3	Na ɔkenkanee wɔ mpraeɛ a ɛwɔ nsuo pono anim no so firi anɔpa kɔsii awigyina, mmarima ne mmaa ne wɔn a wɔbɛtumi ate aseɛ no anim. Na ɔman no nyinaa yɛɛ aso tiee mmara nwoma no mu nsɛm no. 
NEH.8.4	Na Ɔtwerɛfoɔ Esra gyinaa ɛsɛ a wɔde dua ayɛ a ɛkorɔn, a asɛm no nti wɔyɛeɛ no so. Na Matitia, Sema, Anaia, Uria, Hilkia ne Maaseia gyinagyina ne nkyɛn, ne nifa so, na ne benkum nso Pedaia, Misael, Malkia, Hasum, Hasbadana, Sakaria ne Mesulam. 
NEH.8.5	Na Esra buee nwoma no mu ɔman no nyinaa anim, na ɔboro ɔman no nyinaa so. Na ɔbuee mu no, ɔman no nyinaa sɔre gyinagyinae. 
NEH.8.6	Na Esra hyiraa AWURADE, Onyankopɔn kɛseɛ no. Na ɔman no nyinaa gyee so sɛ: Amen, Amen! Na wɔmemaa wɔn nsa so; na wɔkoto sɔree AWURADE de wɔn anim butubutuu fam. 
NEH.8.7	Na Yesua ne Bani ne Serebia, Yamin, Akub, Sabetai, Hodia, Maaseia, Kelita, Asaria, Yosabad, Hanan, Pelaia ne Lewifoɔ no maa ɔman no hunuu mmara no mu. Na ɔman no gyinagyinaa wɔn agyinaeɛ. 
NEH.8.8	Na wɔkenkann Nyankopɔn mmara nwoma no kofee, na wɔkyerɛɛ aseɛ maa wɔtee ne kenkan no ase.
NEH.8.10	Na ɔka kyerɛɛ wɔn sɛ: Monkɔ nkɔdi sradenam na monnom nnɔkɔnnɔkɔwadeɛ, na momfa ebi nkɔma wɔn a wɔnsiesiee ebi mmaa wɔn no, na ɛnnɛ da yi yɛ kronkron ma yɛn AWURADE. Na mommma mo werɛ nnho mo ho, na AWURADE anigyeɛ ne mo ahoɔden. 
NEH.8.11	Na Lewifoɔ no maa ɔman no nyinaa yɛɛ komm sɛ: Monyɛ dinn, na ɛnnɛ da yi yɛ kronkron, na mommma mo werɛ nnho mo ho. 
NEH.8.12	Ɛnna ɔman no nyinaa kɔ kɔdidiiɛ na wɔnomeeɛ, na wɔde bi kyekyɛe, na wɔnyaa anigyeɛ kɛseɛ pa ara, ɛfiri sɛ wɔtee nsɛm a wɔka kyerɛɛ wɔn no ase.
NEH.8.13	Na ɛda a ɛtɔ so mmienu no, ɔman no nyinaa mu agyanom atitire ne asɔfoɔ ne Lewifoɔ no boaboaa wɔn ano bɛhyiaa wɔ Ɔtwerɛfoɔ Esra nkyɛn, sɛ wɔrebɛsua mmara nsɛm no. 
NEH.8.14	 Na wɔhunuu sɛ wɔatwerɛ no mmara a AWURADE nam Mose so hyɛeɛ no mu, sɛ Israelfoɔ no ntena asese mu bosome a ɛtɔ so nson mu afahyɛ no mu 
NEH.8.15	ne sɛ wɔmma wɔnte na wɔmpae nkyini wɔn nkuro nyinaa mu ne Yerusalem sɛ: Momfiri adi nkɔ mmepɔ so nkɔfa ngodua mman ne kranku mman ne ohwannua mman ne berɛ ne nnua kusukusuu mman, na momfa mmɛbobɔ asese sɛdeɛ wɔatwerɛ no. 
NEH.8.16	 Ɛnna ɔman no firii adi kɔfa baeɛ, na wɔbobɔɔ asese fae, obiara wɔ ne dan atifi ne n’adihɔ, ne Nyankopɔn fie abannwa so, ne Nsuo Pono no ho mpraeɛ so ne Efraim Pono no ho mpraeɛ so. 
NEH.8.17	Na wɔn a wɔsane firii nnommumfa mu baeɛ no badwa no nyinaa bobɔɔ asese, na wɔtenatenaa asese no mu. Na na Israelfoɔ nyɛɛ saa da firi Nun ba Yosua berɛ so de bɛsi da no. Na ɛyɛɛ anigyeɛ kɛseɛ pa ara. 
NEH.8.18	Nso wɔkenkann Nyankopɔn mmara nwoma no mu daa, firii da a ɛdi kan no so ara de bɛsii da a ɛdi akyire no so. Na wɔdii nnapɔnna nnanson, na ɛda a ɛtɔ so nwɔtwe no, wɔyɛɛ afahyɛ nhyiamu, sɛdeɛ ne yɛbea teɛ no.
NEH.9.1	Na bosome yi
NEH.9.2	Na Israelfoɔ no tee wɔn ho firii ananafoɔ mma nyinaa ho, na wɔgyinaa hɔ kekaa wɔn bɔne ne wɔn agyanom amumuyɛ no. 
NEH.9.3	Na wɔsɔre gyinagyinaa wɔn gyinabea, na wɔkenkann AWURADE wɔn Nyankopɔn mmara nwoma no mu adekyeeɛ mu nkyɛmu nnan mu baako, na nkyɛmu nnan mu baako nso wɔde kaa wɔn bɔne, na wɔkotoo AWURADE wɔn Nyankopɔn. 
NEH.9.4	Na Yesua, Bani, Kadmiel, Sebania, Buni, Serebia, Bani ne Kenani sɔre gyinagyinaa Lewifoɔ simpie no so, na wɔde nne kɛseɛ teaa mu frɛɛ AWURADE wɔn Nyankopɔn. 
NEH.9.5	Na Lewifoɔ no, Yesua, Kadmiel, Bani, Hasabneia, Serebia, Hodia, Sebania ne Petahia kaa sɛ: Monsɔre nhyira AWURADE mo Nyankopɔn mfiri daa nkɔsi daa; na wɔnhyira w’animuonyam din a woama so atra nhyira ne ayeyie nyinaa soɔ no.
NEH.9.6	Na Esra kaa sɛ:
NEH.9.7	 Wone AWURADE, Onyankopɔn a wofaa Abram na woyii no firii Ur a ɛwɔ Kaldea, na wotoo no din Abraham no. 
NEH.9.8	 Na wohunuu n’akoma sɛ ɛyɛ nokorɛ wɔ w’anim, na wo ne no pamm sɛ wɔde Kanaanfoɔ, Hetifoɔ, Amorifoɔ, Perisifoɔ, Yebusifoɔ ne Girgasifoɔ asase bɛma n’asefoɔ. Na woama wo nsɛm no atim, ɛfiri sɛ woyɛ ɔteneneeni.
NEH.9.10	Na woyɛɛ nsɛnkyerɛnneɛ ne anwanwadeɛ, Farao ne ne nkoa nyinaa ne n’asase sofoɔ nyinaa so, na wohunuu sɛ wɔadi yɛn agyanom so ahantansɛm; na wogyee din sɛdeɛ ɛteɛ nnɛ yi. 
NEH.9.11	 Na ɛpo no nso, wopaee mu wɔn anim, maa wɔfaa ɛpo no mu, asase pɛsɛɛ so, na wɔn a wɔtii wɔn no deɛ, wotoo wɔn guu abunu no mu, sɛdeɛ wɔto ɔboɔ twene nsuo a emu dɔ mu. 
NEH.9.12	 Na wode mununkum dum kyerɛɛ wɔn kwan awia, ne ogya dum nso anadwo, sɛ ɛnhyerɛn mma wɔn, ɔkwan a wɔnam soɔ no so. 
NEH.9.13	 Nso wosiane baa Sinai bepɔ so, na wofiri soro ne wɔn kasae, na womaa wɔn tenenee atemmudeɛ ne nokorɛ mmara, ahyɛdeɛ ne mmara nsɛm a ɛyɛ. 
NEH.9.14	Na womaa wɔhunuu wo home da kronkron no, na wonam w’akoa Mose so hyɛɛ wɔn mmara nsɛm ne ahyɛdeɛ ne mmara. 
NEH.9.15	 Na wode ɔsoro aduane maa wɔn de kumm wɔn kɔm, na woyii nsuo firii ɔbotan mu maa wɔn de kumm wɔn sukɔm, na woka kyerɛɛ wɔn sɛ wɔmmra mmɛdi asase a wokaa wɔn ntam sɛ wode bɛma wɔn no so.
NEH.9.17	 Na wɔampɛ sɛ wɔtie, na wɔankae w’anwanwadeɛ a woyɛɛ no wɔn mu no, na wɔsensenee wɔn kɔn, na wɔsii wɔn so panin sɛ wɔresane akɔ Misraim wɔn anyadie no mu, wɔn atuateɛ no mu. Na wone fakyɛ Nyankopɔn, ɔdomfoɔ ne mmɔborɔhunufoɔ, woyɛ abufuo mu nyaa, na w’adɔeɛ dɔɔso, na woannya wɔn. 
NEH.9.18	 Mpo wɔyɛɛ nantwie ba a wɔaguo kaa sɛ: Yei ne wo nyame a ɔkɔyii wo firii Misraim baeɛ no. Na wɔyɛɛ akyiwadeɛ kɛseɛ no, 
NEH.9.19	wo deɛ, wo mmɔborɔhunu bebree nti woannya wɔn ɛserɛ no so, mununkum dum no amfiri wɔn so awia, sɛ ɛbɛkyerɛ wɔn kwan, ne ogya dum no nso anadwo, sɛ ɛbɛdɛre ama wɔn akyerɛ wɔn kwan a wɔmfa soɔ. 
NEH.9.20	 Na wode wo Honhom pa no nso maa sɛ ɔnkyerɛ wɔn nyansa, na wo mana nso woamma no ampa wɔn ano, na nsuo nso womaa wɔn de kumm wɔn sukɔm. 
NEH.9.21	 Na wohwɛɛ wɔn mfirinhyia aduanan ɛserɛ no so: Anhia wɔn, wɔn ntadeɛ ansunsuane, na wɔn nan anhonhon. 
NEH.9.22	 Na wode ahennie ne amanaman maa wɔn, na wokyekyɛɛ wɔn mu ntonto so, na wɔfaa Sihon asase, Hesbonhene asase, ne Basanhene Og asase no. 
NEH.9.23	Na womaa wɔn mma dɔɔso sɛ ɔsoro nsoromma, na wode wɔn baa asase a woka kyerɛɛ wɔn agyanom sɛ wɔbɛba abɛdi soɔ no so. 
NEH.9.24	 Na wɔn mma no baa so bɛdii asase no so, na wobrɛɛ asase no sofoɔ, Kanaanfoɔ no, ase wɔ wɔn anim, na wode wɔn hyɛɛ wɔn nsa, ne wɔn ahemfo ne asase no so amanaman, sɛ wɔnyɛ wɔn sɛdeɛ wɔpɛ. 
NEH.9.25	 Na wɔgyegyee nkuro a ɛyɛ den ne asase a adɔ sradeɛ, na wɔnyaa afie a nnepa ayeyɛ no amaama, nsubura a wɔbɔreeɛ, bobe nturo ne ngo nturo ne nnua a wɔdie bebree. Na wɔdii, na wɔmee, na wɔyeyɛɛ akɛseɛ, na wɔn bo tɔɔ wɔn yam, wo papa kɛseɛ no mu.
