GEN.1.1	Aum Aunfank muak Gott Himmel un Ieed. 
JER.25.37	to nuscht jeworden es,
JER.25.37	derch däm 
JER.25.38	Aus een Leiw ut siene Heel, es hee nu rutjekomen,
JER.25.38	un äa Launt es nu eene Wiltnis von sien growet Schwieet,
JER.25.38	un derch sienen grooten Oaja. 
JER.26.1	Boolt no däm, daut Jojakim, Josia sien Sän, de Kjennich en Juda wort, wort Jeremia daut kloa, waut de 
JER.26.2	De 
JER.26.3	Veleicht wudden de Menschen aula toop horchen, un sikj von äaren schlajchten Wajch kjieren, un hee wudd kjennen daut vedoawen, woont hee em Senn haud, trigjhoolen. Hee haud em Senn, daut hee an bestrofen wudd fa daut schlajchte, waut see jedonen hauden. 
JER.26.4	Dit es waut ekj an sajen sull: Dit es waut de 
JER.26.5	Horcht no daut waut de Profeeten, dee mie deenen, sajen. Ekj hab dee emma wada no junt jeschekjt, wan jie uk nich no dee jehorcht haben. 
JER.26.6	Wan jie daut nich doonen, woa ekj met disen Tempel krakjt soo doonen aus met Silo, un woa dise Staut to een Fluchwuat moaken fa aul de Velkja oppe Ieed. 
JER.26.7	Un de Priesta un de Profeeten un daut gaunze Volkj hieeden Jeremia dise Wieed en däm 
JER.26.8	Aus Jeremia doa aules jesajcht haud, waut de 
JER.26.9	Wuarom sajchst du em 
JER.26.10	Dan aus de Rejierungsmana von Juda hieeden, waut doa väajinkj, kjeemen see von däm Kjennich sien Hus, un jinjen nopp em 
JER.26.11	Un de Priesta un Profeeten säden to de Rejierungsmana un daut gaunze Volkj: Dis Maun haft dän Doot vedeent. Hee haft jäajen dise Staut jeprofezeit, soo aus jie daut aula selfst jehieet haben. 
JER.26.12	Oba Jeremia säd to aul de Rejierungsmana un daut gaunze Volkj: De 
JER.26.13	Nu es daut opp to junt, daut jie bäta haundlen un doonen, un daut jehorchen, waut de 
JER.26.14	Oba ekj wäa mie hia nich. Doot met mie soo aus junt daut goot un rajcht schient. 
JER.26.15	Oba lot junt dit jesajcht sennen, wan jie mie doot moaken, dan sent jie un dise Staut un dee, dee hia wonen, schuldich eenen oschuldjen Mensch doot jemoakt to haben. Wiels daut es opp iernst soo, daut de 
JER.26.16	Dan säden de Rejierungsmana un daut gaunze Volkj to de Priesta un Profeeten: Dis Maun haft nich dän Doot vedeent. Hee haft en dän Nomen von dän 
JER.26.17	Un een poa Mana von de aundre Städa, dee goot aunjeseenen wieren, stunden opp un säden to dee, dee doa toopjekomen wieren: 
JER.26.18	En dee Tiet aus Hiskia de Kjennich en Juda wia, kjeem de Profeet Micha, von Moreschet, un säd en Juda to daut gaunze Volkj: “Dit es waut de 
JER.26.19	Leeten Hiskia un aul de Menschen en Juda don werkjlich dän Profeet doot moaken? Ferchten dee sikj nich fa dän 
JER.26.20	Doa wia to dee Tiet uk noch eena, dee en däm 
JER.26.21	Un aus de Kjennich Jojakim, un de väaschte von de Armee, un de Rejierungsmana hieeden, waut Uria säd, wullen see am loten doot moaken. Aus Uria daut enwort, enjst hee sikj un hee muak sikj utem Launt un rand no Ägipten. 
JER.26.22	Oba de Kjennich Jojakim schekjt Elnatan, Achbor sien Sän, un aundre met am no Ägipten, 
JER.26.23	daut see Uria trigj brochten. Un de Kjennich Jojakim leet Uria met daut Schwieet doot moaken, un see schmeeten sienen Kjarpa en daut Grauf, wua see daut jeweenelje Volkj begrowden.
JER.26.24	Oba Ahikam, Schafan sien Sän, holp Jeremia soo daut daut Volkj am nich doot moaken kunn. 
JER.27.1	Boolt no däm daut Zedekia, Josia sien Sän, en Juda wia Kjennich jeworden, kjrieech Jeremia dise Norecht vom 
JER.27.2	Hee sull sikj een Säl un Joch moaken un daut opp siene Schulren droagen. 
JER.27.3	Un dan sull hee eene Norecht no däm Kjennich von Edom, däm Kjennich von Moab, däm Kjennich von de Amonita, däm Kjennich von Tierus un däm Kjennich von Sidon schekjen, met de Mana waut von dee Städa no Jerusalem jekomen wieren, no Zedekia, däm Kjennich en Juda. 
JER.27.4	Dise Mana sullen jieda äaren Kjennich sajen: Dit es waut de 
JER.27.5	Met groote Krauft un een Oarm, dee nich meed woat, hab ekj de Ieed, un de Menschen un Tieren, dee oppe Ieed sent, jemoakt. Un ekj äwajäw dee krakjt no däm, wäm ekj well. 
JER.27.6	En dise Tiet hab ekj aul dise Lenda däm Kjennich von Babel, Nebukadnezar, dee mie deent, enne Macht jejäft. Un ekj hab uk de Tieren von oppe Stap fa am hanjestalt. 
JER.27.7	Aule Velkja sellen am un sienen Sän un sienen Grootsän deenen, bat de Tiet fa äa Launt ut rant. Dan woaren see stoakje Velkja un groote Kjennichs deenen motten.
JER.27.8	Un wan wua een Volkj ooda Kjennichrikj sikj nich woat Nebukadnezar, däm Kjennich von Babel, hanjäwen, un nich woat daut Jenekj unja daut Joch von däm Kjennich von Babel jäwen, dan woa ekj daut Volkj met daut Schwieet un Hungaschnoot un Krankheiten besieekjen, sajcht de 
JER.27.9	Jie sellen nich no june Profeeten un Woasaja, june Menschen, dee Dreem ooda aundre Tieekjen utlajen, un june Hakjsenmeistasch horchen, wan dee sajen, daut jie nich woaren von däm Kjennich von Babel enjenomen woaren. 
JER.27.10	Dee profezeien waut nich soo es, un wan jie no dee horchen, woa jie wiet von jun Launt wajch jebrocht woaren. Ekj woa junt veschmieten, un jie woaren omkomen. 
JER.27.11	Oba daut Volkj, woont sikj daut Jenekj unja daut Joch von däm babelonischen Kjennich schekjen lat, un däm äwa sikj rejieren lat, daut woa ekj en äa ieejnet Launt bliewen loten, daut see daut beoabeiden un bewonen, sajcht de 
JER.27.12	Un ekj jinkj un säd Zedekia, däm Kjennich von Juda, aul dit waut de 
JER.27.13	Wuarom woaren du un dien Volkj von daut Schwieet un Hungaschnoot un Krankheiten stoawen? Oba daut es waut de 
JER.27.14	Un horcht nich no de Profeeten, dee to junt sajen: Jie woaren junt nich brucken to dän Kjennich von Babel schekjen. Waut dee sajen, es nich soo. 
JER.27.15	Ekj hab dee nich jeschekjt, sajcht de 
JER.27.16	Un ekj säd to de Priesta un daut gaunze Volkj, dit es waut de 
JER.27.17	un jie sullen nich no dee horchen. Jie sullen junt to däm Kjennich von Babel schekjen, un dan woa jie läwen. Dise Staut brukt nich eene Wiltnis woaren. 
JER.27.18	Wan see werkjlich Profeeten sent un een Wuat vom 
JER.27.19	De 
JER.27.20	Aus Nebukadnezar, de Kjennich von Babel, dän Kjennich von Juda, Jojachin, Jojakim sien Sän, von Jerusalem no Babel wajchfieed, met aul de aundre Rejierungsmana en Juda un Jerusalem, haud hee nich aul dee wieetvolle Sachen ut däm Tempel met jenomen. 
JER.27.21	De 
JER.27.22	De 
JER.28.1	Un en daut selwje Joa, daut 5. Joa daut Zedekia Kjennich en Juda wia, enne 5. Moonat, räd Hananja, Assur sien Sän, een Profeet von Gibeon emol to Jeremia em 
JER.28.2	daut de 
JER.28.3	Daut woat nich twee Joa dieren, bat ekj aul de Sachen von däm 
JER.28.4	Un ekj woa uk Jojachin, Jojakim sien Sän, dän Kjennich von Juda, un aul de aundre veschlapte von Juda, dee no Babel jegonen sent, trigjbrinjen no dise Städ, sajcht de 
JER.28.5	Un doa ver de Priesta un daut gaunze Volkj, waut en däm 
JER.28.6	Mucht daut soo sennen. Wan de 
JER.28.7	Oba horch, no waut ekj to die un aul dise Menschen to sajen hab. 
JER.28.8	De Profeeten, dee lang trigj, ver miene Tiet un ver diene Tiet, en ons Launt wieren, dee haben jäajen väle Lenda un wäajen groote Kjennichrikjs von Kjrich un Schoden un schlemme Krankheiten jeprofezeit. 
JER.28.9	Oba wan een Profeet säd, daut goodet komen wudd, dan weet eena ieescht, wan daut soo utkjemt, auf de Profeet vom 
JER.28.10	Dan neem de Profeet Hananja daut Joch von däm Profeet Jeremia siene Schulren, un bruak daut twei. 
JER.28.11	Un Hananja säd ver aul de Menschen: De 
JER.28.12	Nich lang no däm, daut de Profeet Hananja daut Joch von opp dän Profeet Jeremia siene Schulren tweijebroaken haud, kjrieech Jeremia dise Norecht von däm 
JER.28.13	Hee sull no Hananja gonen un am sajen: Du hast daut heltana Joch tweijebroaken, sajcht de 
JER.28.14	Dit es waut de 
JER.28.15	Un de Profeet Jeremia säd to däm Profeet Hananja: Horch emol, Hananja. De 
JER.28.16	Un doawäajen sajcht de 
JER.28.17	Un Hananja storf en de säwende Moonat von daut selwje Joa.
JER.29.1	Dit es een Breef, dän de Profeet Jeremia von Jerusalem no de Leidasch von daut äwaje vom Volkj schekjt, de Priesta un Profeeten un aul dee vom Volkj, dee Nebukadnezar von Jerusalem no Babel wajchjenomen haud. 
JER.29.2	Dit wia no däm, daut de Kjennich Jojachin un de Kjennichsmutta, de jeschnädne Deena un Leidasch von Juda un Jerusalem, un uk de Mana von Jerusalem, waut daut buen un mieren vestunden, von Jerusalem veschlapt wieren. 
JER.29.3	Jeremia schekjt dän Breef no Babel met Elasa, Schafan sien Sän, un Gemarja, Hilkija sien Sän, aus Zedekia, de Kjennich von Juda, an no Nebukadnezar, däm Kjennich von Babel schekjt. Jeremia schreef an:
JER.29.4	De 
JER.29.5	But junt Hiesa un trakjt doa nenn; plaunt Goades un ät von daut waut jie trakjen. 
JER.29.6	Befriet junt, un habt Famieljes. Besorcht Frues fa june Säns, un jäft june Dajchta, daut dee sikj befrieen, soo daut dee Kjinja haben woaren. Vemieet junt, daut jie doa nich weinja woaren. 
JER.29.7	Vesieekjt de Staut to halpen, wua ekj junt hanjeschlapt hab. Bät daut de 
JER.29.8	Dit es waut de 
JER.29.9	Waut dee junt en mienen Nomen profezeien, es nich de Woarheit, un ekj hab dee nich jeschekjt, sajcht de 
JER.29.10	Oba waut de 
JER.29.11	Ekj hab daut goot äwajedocht, sajcht de 
JER.29.12	Dan woa jie mie aunbäden, un jie woaren komen un mie froagen, un ekj woa no junt horchen. 
JER.29.13	Jie woaren met een eenkjanjet Hoat hinjaraun no mie sennen, un jie woaren mie finjen. 
JER.29.14	Un jie woaren nich vejäfs no mie sieekjen, sajcht de 
JER.29.15	Jie sajen daut de 
JER.29.16	Horcht emol waut de 
JER.29.17	Dit es waut de 
JER.29.18	Ekj woa dee met daut Schwieet un Hungaschnoot un Krankheiten vejoagen, soo daut aule Kjennichrikjs oppe Ieed daut schudren woat, wäajen dän Fluch un daut grausome, waut an trafen woat. De Lied, en aul de Lenda, mank woone see wonen un vespreet sent, woaren an veachten un vespotten. 
JER.29.19	Dit woat komen, wiels see nich jehuarsom wieren to daut waut ekj säd, sajcht de 
JER.29.20	Un horcht waut de 
JER.29.21	Dit es waut de 
JER.29.22	Un dee äare Nomes woaren aus een Fluchwuat jebrukt woaren von aul dee, dee ut Juda no Babel wajchjefieet sent. See woaren sajen: Mucht de 
JER.29.23	wiels see Schaund dreewen met äare Nobasch äare Frues, un uk en mienen Nomen soont säden, waut ekj an nich jesajcht haud, un waut nich soo wia. Ekj weet om dit om, un sie de Zeij doavon, sajcht de 
JER.29.24	Un to Schemaja von Nehelam saust du sajen: 
JER.29.25	De 
JER.29.26	De 
JER.29.27	Wuarom hast du Jeremia von Anatot, dee doa to junt profezeit, nich soo bestroft? 
JER.29.28	Hee haft ons hia en Babel eenen Breef jeschekjt, un weeten loten, daut wie noch lang sellen hia bliewen. Wie sellen Hiesa buen un en dee wonen; wie sellen Goades aunplaunten un von dee äten. 
JER.29.29	De Priesta Zefanja laus Jeremia dän Breef väa. 
JER.29.30	Un dan wort Jeremia daut wada groot, waut hee fa däm 
JER.29.31	Hee sull eenen Breef schriewen aun aul dee, dee wajchjefieet wieren un an sajen: Dit es waut de 
JER.29.32	nu sajcht de 
JER.30.1	Dit es eene Norecht, dee Jeremia von däm 
JER.30.2	Dit es waut de 
JER.30.3	Doa woat eene Tiet komen, sajcht de 
JER.30.4	Dit es waut de 
JER.30.5	Dit es waut de 
JER.30.5	Wie hieren wäm ut Angst schrieen;
JER.30.5	de Lied sent en Forcht un haben nich Fräd.
JER.30.6	Unjasieekjt emol neiw,
JER.30.6	auf een Maun kaun een Kjint to Welt brinjen.
JER.30.6	Ooda wuarom hoolen jane Mana äare Henj oppe Hoften
JER.30.6	aus Frues dee en Weedoag sent?
JER.30.6	Un wuarom sent äare Jesechta
JER.30.6	aula soo blaus?
JER.30.7	Daut es een schlemma Dach,
JER.30.7	soona aus nich ea jewast es,
JER.30.7	eene furchtboare Tiet fa Jakob,
JER.30.7	doch hee woat doa rut jeholpen woaren. 
JER.30.8	Wan dee Dach kjemt, sajcht de 
JER.30.9	oba see woaren däm 
JER.30.10	Un nu, Jakob, mien Kjnajcht,
JER.30.10	hab nich angst, sajcht de 
JER.30.10	Israel, sie nich mea doljeschloagen.
JER.30.10	Horch emol, ekj woa die raden
JER.30.10	von de Lenda, waut soo wiet auf sent,
JER.30.10	un diene Nokomen von doa,
JER.30.10	wua see faustjenomen sent.
JER.30.10	Jakob woat trigjkomen
JER.30.10	en Fräd un Jeborjenheit,
JER.30.10	un kjeena woat an enjsten. 
JER.30.11	Ekj woa met die sennen,
JER.30.11	sajcht de 
JER.30.11	Ekj woa een Enj moaken met de Lenda,
JER.30.11	en woone ekj die vestreit haud;
JER.30.11	oba met die woa ekj nich een Enj moaken.
JER.30.11	Ekj woa die strofen aus rajcht es,
JER.30.11	un woa die nich onbelieet loten. 
JER.30.12	Dit es waut de 
JER.30.12	Diene Wunden woaren nich veheelen,
JER.30.12	dien Schoden woat nich wajchgonen. 
JER.30.13	Kjeena steit die bie, daut du kaust Help kjrieen;
JER.30.13	doa es kjeen Rot, kjeen Heelmeddel, fa die.
JER.30.14	Dee woone du goot wieescht,
JER.30.14	haben die aula vejäten,
JER.30.14	un froagen nich no die.
JER.30.14	Ekj hab die onen Schomp aunjejräpen
JER.30.14	un jeschloagen aus een Fient daut wudd,
JER.30.14	wäajen aules, waut du schuldich best,
JER.30.14	un aul de Sinden, dee du jedonen hast.
JER.30.15	Wuarom hielst du äwa diene Wunden,
JER.30.15	un daut de Schoden nich heelen woat?
JER.30.15	Ekj hab dit jedonen,
JER.30.15	wäajen aules, waut du schuldich best,
JER.30.15	un aul de Sinden, dee du jedonen hast.
JER.30.16	Oba doch woaren dee,
JER.30.16	waut die vefreeten, vefräten woaren,
JER.30.16	dee, dee die fientlich wieren, faustjenomen un wajchjefieet woaren,
JER.30.16	dee, dee die bestoolen, bestolen woaren,
JER.30.16	un dee, dee die beplindaden, beplindat woaren. 
JER.30.17	Ekj woa die jesunt moaken,
JER.30.17	un diene Wunden heelen, sajcht de 
JER.30.17	Wiels see die, “De vestade”, nanden,
JER.30.17	un, “Zion, om dee kjeena waut romjeft”, 
JER.30.18	sajcht de 
JER.30.18	Ekj woa mien Volkj wada en äa Launt oppbuen,
JER.30.18	un woa an en äa Tus jenstich sennen;
JER.30.18	de Staut woat wada opp sienen Boajch jebut woaren,
JER.30.18	un de dikje Mia, soo aus sikj daut jehieet.
JER.30.19	Daut woat to hieren sennen,
JER.30.19	woo dankboa un loosjeloten dee sent;
JER.30.19	ekj woa an toonämen loten, un nich weinja woaren;
JER.30.19	ekj woa an aunjeseenen moaken, un nich veacht.
JER.30.20	Doa woaren junge Mana sennen aus ieeschtemma,
JER.30.20	see woaren opp eenen fausten Grunt ver mie stonen;
JER.30.20	ekj woa aul dee bestrofen, dee an daut schwoa moaken.
JER.30.21	Äa Leida woat eena von äare sennen,
JER.30.21	dee waut an rejieet, woat von äa Volkj sennen.
JER.30.21	Ekj woa am dicht aun mie brinjen,
JER.30.21	soo daut hee no mie komen woat.
JER.30.21	Ooda wäa wudd sikj noch hanjäwen,
JER.30.21	daut hee sikj no mie kjieren woat?
JER.30.21	sajcht de 
JER.30.22	Un jie woaren mien Volkj sennen,
JER.30.22	un ekj woa jun Gott sennen. 
JER.30.23	Paust opp, de 
JER.30.23	eenen dollen Kjrieselstorm;
JER.30.23	daut woat de beese plazlich
JER.30.23	oppem Kopp komen. 
JER.30.24	De 
JER.30.24	bat hee derchfieet un foadich moakt,
JER.30.24	daut waut hee em Senn haft.
JER.30.24	Dee Tiet woat komen,
JER.30.24	dan woa jie dit kloa vestonen.
JER.31.1	Un wan dee Tiet kjemt, sajcht de 
JER.31.1	dan woa ekj de Gott fa aule Famieljes en Israel sennen,
JER.31.1	un see woaren mien Volkj sennen. 
JER.31.2	Dit es waut de 
JER.31.2	De Menschen, dee vom Kjrich wajchranden,
JER.31.2	haben enne Wiltnis Jnod jefungen;
JER.31.2	nu woat Israel sikj utreiwen kjennen.
JER.31.3	Aul lang häa, haft de 
JER.31.3	Ekj sie die noch emma goot jewast,
JER.31.3	doawäajen kroag ekj die met truhoatje Leew.
JER.31.4	Ekj woa die noch wada oppbuen,
JER.31.4	soo daut du stoakj woascht sennen,
JER.31.4	du miene scheene Israel.
JER.31.4	Du woascht wada diene Instrumenten nämen,
JER.31.4	un met de Lostje daunzen gonen.
JER.31.5	Du woascht oppe Boaj von Samaria
JER.31.5	wada Wiengoades plaunten;
JER.31.5	Goades woaren aunjeplaunt woaren,
JER.31.5	un jie woaren de Frucht to äten kjrieen.
JER.31.6	De Tiet kjemt, dan woaren de Wajchta
JER.31.6	oppe Boaj en Efraim wada roopen:
JER.31.6	Komt, well wie no Zion gonen,
JER.31.6	no däm 
JER.31.7	Dit es waut de 
JER.31.7	Sinjt met Freid fa Jakob;
JER.31.7	roopt däm väaschten von de Velkja too.
JER.31.7	Schriet un loft un sajcht:
JER.31.7	De 
JER.31.7	dee waut von Israel äwajebläwen sent.
JER.31.8	Horcht, ekj woa an vom Nuaden häabrinjen,
JER.31.8	un von aulawäajen oppe Ieed toopsaumlen;
JER.31.8	de blinje un de lome,
JER.31.8	dee waut schwanga sent un dee en Weeen,
JER.31.8	eene groote Vesaumlunk woat trigjkomen. 
JER.31.9	Dee woaren oppem Trigjwajch hielen,
JER.31.9	un ekj woa an treesten un leiden.
JER.31.9	Ekj woa an no Wotastreem wiesen,
JER.31.9	un opp eenen jleien Wajch fieren,
JER.31.9	daut see sikj nich vestaupen.
JER.31.9	Ekj sie je Israel sien Voda,
JER.31.9	un Efraim es mien ieeschtjebuarna Sän. 
JER.31.10	Horcht no waut de 
JER.31.10	un lot daut bat aum Mäa bekaunt woaren:
JER.31.10	Dee, wäa Israel vestreit haft,
JER.31.10	woat ar wada toopsaumlen;
JER.31.10	hee woat fa ar oppkomen,
JER.31.10	aus een Hoad fa siene Häad. 
JER.31.11	De 
JER.31.11	un raden von dee, dee stoakja sent aus hee.
JER.31.12	See woaren opp däm Zion Boajch toopkomen,
JER.31.12	un met Freid sinjen fa daut Jeträajd un Wien un Eelj,
JER.31.12	un junge Schop un Kjalwa, waut de 
JER.31.12	See woaren Läwen haben
JER.31.12	aus een jewessada Goaden,
JER.31.12	un nich mea beduat sennen. 
JER.31.13	Dan woaren de Mejales met Freid daunzen,
JER.31.13	un de junge un oole Mana sikj met an freien.
JER.31.13	Wua see truarich wieren, woa ekj an froo moaken,
JER.31.13	wua see bedrekjt wieren,
JER.31.13	woa ekj treesten un an jlekjlich moaken.
JER.31.14	Ekj woa de Priesta tofräd stalen
JER.31.14	met väl Opfagowen;
JER.31.14	mien Volkj woat voll opp haben
JER.31.14	von daut, waut ekj an jäw,
JER.31.14	sajcht de 
JER.31.15	Dit es waut de 
JER.31.15	Eena kaun hieren, daut en Rama
JER.31.15	jekloacht un bettalich jehielt woat;
JER.31.15	Rahel hielt äwa äare Kjinja,
JER.31.15	un lat sikj nich treesten,
JER.31.15	wiels dee wajch sent. 
JER.31.16	Oba de 
JER.31.16	Hia opp met hielen,
JER.31.16	un wesch die nich mea Tronen.
JER.31.16	Diene Oabeit, waut du jedonen hast,
JER.31.16	haft sikj jeloont, sajcht de 
JER.31.16	Diene Menschen woaren trigj komen,
JER.31.16	von en däm Fient sien Launt.
JER.31.17	Jie kjennen opp väl goodet räakjnen,
JER.31.17	sajcht de 
JER.31.17	June Kjinja woaren trigj no äa Launt komen.
JER.31.18	Ekj hab goot jehieet, woo Efraim kloagd:
JER.31.18	“Du best sea strenj met ons jewast,
JER.31.18	un ekj hab de Lia aunjenomen.
JER.31.18	Du hast mie enjebroaken toom trakjen,
JER.31.18	soo aus eena een Hoklinkj bandich moakt.
JER.31.18	Nemm mie trigj, un lot mie trigjkomen,
JER.31.18	wiels du best de 
JER.31.19	No däm, daut ekj mie trigj dreid,
JER.31.19	hab ekj mie jeschämt;
JER.31.19	no däm, daut ekj vestunt,
JER.31.19	schluach ekj mie aun de Lenjen.
JER.31.19	Ekj schämd mie un feeld mie jeschloagen,
JER.31.19	wiels ekj de Schaund druach,
JER.31.19	von don aus ekj junk wia.”
JER.31.20	Es Efraim nich mien scheena Sän,
JER.31.20	un mien Kjint, daut ekj goot sie?
JER.31.20	Wan ekj die uk jeschullen hab,
JER.31.20	best du mie sea väl wieet;
JER.31.20	mie trakjt daut deep von bennen,
JER.31.20	un ekj bliew bedocht om die,
JER.31.20	sajcht de 
JER.31.21	Stal die Wajchwiesa opp, un sat Tieekjen aum Wajch.
JER.31.21	Denkj die daut äwa, woonen Wajch du jegonen best.
JER.31.21	Komm trigj, du scheenste Israel,
JER.31.21	komm trigj no dise diene Städa.
JER.31.22	Woo lang woascht du rombeislen,
JER.31.22	miene onjehuarsome Dochta?
JER.31.22	De 
JER.31.22	Eene Fru stalt sikj rom eenen Maun.
JER.31.23	Dit es waut de 
JER.31.23	“Mucht de 
JER.31.23	du heilja Boajch.
JER.31.23	Dit es wua jerajcht sennen tus es.” 
JER.31.24	Un Juda un de Städa von Juda woaren doa wonen, met de Akabuares un dee waut met Schop romgonen. 
JER.31.25	Ekj woa dee, dee aum veschorren sent, to drinkjen jäwen, un dee, dee aum veschmachten sent, tofräd stalen. 
JER.31.26	Un aus ekj wada aun miene Loag docht, freid ekj mie to waut ekj jeseenen haud.
JER.31.27	Horcht emol, sajcht de 
JER.31.28	Un krakjt soo aus ekj no an oppjepaust hab, un an hab utjeräten un doljeräten, un an hab vedoawen un Schoden un Onheil jebrocht, soo woa ekj no an oppaussen, un an oppbuen un enplaunten, sajcht de 
JER.31.29	Wan dee Tiet kjemt, woaren see nich mea sajen:
JER.31.29	“De Elren haben suare Wiendruwen jejäten,
JER.31.29	nu sent de Kjinja äare Tänen struf”, 
JER.31.30	wiels dan woat jieda eena fa siene ieejne Schult stoawen, un dee, wäa suare Wiendruwen at, woat selfst struwe Tänen haben.
JER.31.31	De 
JER.31.32	Daut woat nich soo sennen aus de Bunt wia, dän ekj met äare Elren muak, aus ekj an bie de Haunt neem un ut Ägipten rut leid. Wan ekj doch to an wia, soo aus een Maun to siene Fru es, hilden see dän Bunt nich, sajcht de 
JER.31.33	Dän nieen Bunt dän ekj met de Israeliten moaken woa, wan de Tiet ieescht kjemt, es disa: Ekj woa mien Jesaz en an nenn jäwen, un an daut opp daut Hoat schriewen. Un ekj woa äa Gott sennen, un see woaren mien Volkj sennen. 
JER.31.34	Un doa woat nich een jiedra sienen Noba un sienen Brooda belieren un sajen: “Du sust dän 
JER.31.35	De 
JER.31.35	Ekj jäw junt de Sonn, daut see äwadach schient,
JER.31.35	un de Mon un de Stierns no de Rieej enne Nacht;
JER.31.35	ekj sie deejanja, dee daut Mäa opprieet, soo daut et ruscht.
JER.31.35	Mien Nomen es, de 
JER.31.36	Wan dise Ordnungen opphieeden,
JER.31.36	soo aus dee ver mie stonen, sajcht de 
JER.31.36	dan wudd Israel opp emma opphieren
JER.31.36	ver mie een Volkj to sennen. 
JER.31.37	Dit es waut de 
JER.31.37	Krakjt soo aus de Himmel nich to mäten es
JER.31.37	un de latsta Grunt enne Ieed nich notosieekjen es,
JER.31.37	soo woa ekj daut Volkj von Israeliten,
JER.31.37	fa aules waut see jedonen haben
JER.31.37	nich veschmieten.
JER.31.38	De 
JER.31.39	Von doa woat de Jrens jlikj bat däm Gareb Boajch gonen, un dan bat Goa. 
JER.31.40	Daut gaunze Tol, wua de Doodes begroft sent, un wua de Ausch hanjefieet woat, un aul de Stapen, gaunz bat aum Kidron Riefa, un bat de Akj met daut Pieets Puat nom Oosten, woat fa däm 
JER.32.1	Jeremia haud eene Erfoarunk met däm 
JER.32.2	Kjennich von Babel wia, un hee haud don siene Armee rom Jerusalem jestalt. Jeremia, de Profeet, wia faustjenomen, un opp däm Hoff von de Wajchta, bie däm Kjennich von Juda sien Hus, enjestopt. 
JER.32.3	Zedekia, de Kjennich von Juda, haud am faustjenomen, wiels am wia daut too groff, daut Jeremia jesajcht haud: Dit es waut de 
JER.32.4	Un Zedekia, de Kjennich von Juda, woat nich von de Chaldäa wajchkomen. Hee woat onbedinjt en däm babelonischen Kjennich siene Macht jejäft woaren, un hee woat selfst ver am komen motten, un selfst am to seenen kjrieen. 
JER.32.5	De babelonischa Kjennich woat Zedekia no Babel nämen, un doa woat hee bliewen bat ekj met am veräakjnen woa, sajcht de 
JER.32.6	En dee Tiet, daut hee doa dan faustjenomen wia, säd de 
JER.32.7	Horch emol. Hanamel, dien Onkel Schalum sien Sän, woat no die komen, un die froagen am sienen Aka en Anatot auftokjeepen, wiels du best de ieeschta enne Famielje, waut dän traft to kjeepen, daut dee onsa blift. 
JER.32.8	Un don kjeem Hanamel, mien Onkel sien Sän, no mie opp däm Hoff von de Wajchta, wua ekj faust wia, krakjt soo aus de 
JER.32.8	Dan wort mie daut kloa daut dise Erfoarunk vom 
JER.32.9	Un soo koft ekj mie en Anatot dän Aka von Hanamel, mienen Onkel sien Sän. Ekj wuach am daut Jelt auf, un jeef am daut. Daut kjeem ut no 17 Selwastekja. 
JER.32.10	Ekj schreef eenen Vetrach opp un stampeld dän, un haud Zeijen doafäa. Un ekj wuach daut Selwa auf, opp eene Wichtschol. 
JER.32.11	Un ekj neem dän jestampelden Zadel met de Bedinjungen von dän Haundel, un de onjestampelde Kopie, 
JER.32.12	un doa ver Hanamel, mien Onkel sienen Sän, de Zeijen un de aundre Mana von Juda, dee doa em Hoff von de Wajchta, wua ekj faust wia, wieren, jeef ekj Baruch dee beid. Baruch wia Nerija sien Sän. Sien Grootvoda wia Machseja. 
JER.32.13	Un soo, daut dee daut aula hieeden, säd ekj to Baruch: 
JER.32.14	De 
JER.32.15	Wiels de 
JER.32.16	Aus ekj Baruch, Nerija sien Sän, dän Vetrach jejäft haud, bäd ekj to däm 
JER.32.17	 Gott, du hast de Himmel un de Ieed jemoakt met diene groote Krauft un dien Oarm, dee nich meed woat, un doa es nuscht waut die too schwoa es. 
JER.32.18	Du hast truhoatje Leew fa väle dusende, un hast oba uk de Schult von de Elren loten opp de Kjinja komen. Du best de groota un stoakja Gott, un dien Nomen es de 
JER.32.19	Dien Rot es groosoatich, un du hast Krauft, daut to doonen waut du west. Diene Uagen sent op, daut du aules sitst, waut de Menschen doonen, un aulem doano veräakjenst, aus dee jeläft un jedonen haben. 
JER.32.20	Du jeefst Tieekjen un deetst Wunda en Ägipten, un wieda en Israel bat däm vondoagschen Dach; un du hast die eenen Nomen jemoakt, en Israel un mank de Velkja, dee bat däm vondoagschen Dach aunerkjant es. 
JER.32.21	Du hast dien Volkj Israel met Tieekjen un Wunda, un met eene majchtje Krauft un een Oarm, dee nich meed woat, ut Ägipten jebrocht. De Menschen grulden sikj sea. 
JER.32.22	Du jeefst an dit Launt, wua Malkj un Honnich ranen, soo aus du äare Elren daut vesproaken hautst, daut du an daut secha jäwen wurscht. 
JER.32.23	Oba aus see doa nenn trocken un doa wonden, wieren see onjehuarsom to daut, waut du sätst, un see hilden sikj nich aun dien Jesaz. Aul daut, waut du an oppjejäft hautst, daut see daut hoolen sullen, haben see nich jedonen, un doawäajen hast du uk aul dit Onheil loten opp an komen. 
