GEN.1.1	Du ujuni Naşibaţi apaş baţi na mboş.
LUK.5.22	Kë Yeŧu ammeeŋ ŋşal ŋi baka, aşë ji na baka : « We ukaaŋ kë ŋşal ŋaŋ ŋawo ţi an ba ? 
LUK.5.23	We uyojnuŋ ba : pji na ñaaŋ : “Ipekadu yi nu ipëni” këme “Naţiin ipoş” ? 
LUK.5.24	Natenan, nabaaŋ ame kë 
LUK.5.24	Wi wi aşaaŋ aji na ñiinţ naţakmaan : « Djaku : Naţiin, ijej kajiiñ ki nu, iţiiş katohu ! »
LUK.5.25	Ţi dko mënţ, kë ñiinţ anaţa ţi kadun ki bañaaŋ, ajej kajiiñ ki apiinţnuŋ aţiiş katohul aşë beeb Naşibaţi.
LUK.5.26	Bammaaruŋ iko mënţ bañoŋar fuţ. Bawo ţi pbeeb Naşibaţi akuţ awo na palënk aşë ji : « Ŋwin nţa iko iñoŋarënaan. »
LUK.5.27	Wi uko waŋ uţëpuŋ, kë Yeŧu apën, aşë win ñiinţ aloŋ 
LUK.5.28	kë ñiinţ anaţa aduk iko bŧi, aţaş Yeŧu.
LUK.5.29	Wi wi aşaaŋ adu Yeŧu pyoban du katohul aşë do ufeŧtu uweek pa a. Bañaaŋ baŧum bawo ţi pde na baka : bakobraar daaşa, na bañaaŋ baloŋ kak. 
LUK.5.30	 na 
LUK.5.31	Kë Yeŧu aşë ŧeem baka aji : « Mënţ bañaaŋ banwooŋ bajeb banumiiŋ nakuraar, bamaakal banumi'uluŋ. 
LUK.5.32	Mëmbi bi pdu bañaaŋ banşaluŋ aji bawo baŧool, dbi bi pdu bandinanuŋ aji bawo bado buţaan, bahilna bawut pjuban, baţëlëş ŋbida. »
LUK.5.34	Kë Yeŧu aşë ŧeem baka aji : « Ţi unuur wi bniim, ñaaŋ ahilan kado bayaanţ bambiiŋ bniim bayiman wal wi naniim ahumuŋ da i ? 
LUK.5.35	Kë wal uşë bi, wi naniim akjejaniiŋ. Baluŋ kayiman ţi ŋnuur mënţ. »
LUK.5.36	Yeŧu akak ahoñ na baka aji : « Ñaaŋ aanji kib kamişa kahalu kabamna kamişa kaţaf, woli ñaaŋ ado haŋ kamişa kahalu kaji kaŧoka, kë dko dambamnuŋ daanji daya na kaţaf ! 
LUK.5.37	Nin ñaaŋ aloŋ aanji ţu poot phalu ţi ŋbuuli ŋţaf. Poot phalu puŋ pafom ŋbuuli, poot patula ţi mboş, ŋbuuli ŋaŧoka. 
LUK.5.38	Kë ñaaŋ aşë wo kaţu poot phalu ţi ŋbuuli ŋhalu. 
LUK.5.39	Nin ñaaŋ aloŋ andaanuŋ poot pţaf aanji ŋal phalu. Baji baji : “Pţaf paliluŋ apel.”
LUK.6.1	Ţi unuur uloŋ wi pnoorfën wi bayuday, Yeŧu awo ţi pmuur ŋţeeh ŋi ŋdeey, kë baţaşarul başë wuur ŋa afoñël ţi iñen, adoh. 
LUK.6.2	 baloŋ kë başë ji na baka : « We ukaaŋ kë nakdo uko wi Bgah baneenanuŋ pdo ţi 
LUK.6.3	Kë Yeŧu aşë ŧeem baka aji : « Naanleyiir uko wi 
LUK.6.4	Aya aneej du katoh ki Naşibaţi
LUK.6.5	Wi wi Yeŧu aşaaŋ aji na baka : « 
LUK.6.6	Ţi unuur uloŋ kak wi pnoorfën wi bayuday, kë Yeŧu aşë ya du 
LUK.6.7	 na 
LUK.6.8	Kë Yeŧu aşë me ŋşal ŋi baka. Aji na ñiinţ anţakmuŋ : « Naţiin ibi ţi kadun ki bañaaŋ. » Kë ñiinţ anaţa abi anaţ da.
LUK.6.9	Kë Yeŧu aşë ji na baka : « Dheparan, we wi Bgah badinanuŋ ñaaŋ ado ţi unuur wi pnoorfën ba ? Bnuura këme buţaan ? Pbuuran ñaaŋ këme pŧoka ? » 
LUK.6.10	Wi wi aşaaŋ aten baka bŧi afooyan aşë ji na ñiinţ : « Taran kañen. » Kë ado haŋ, kë kañen kabi jeb jeb. 
LUK.6.11	Kë başë deebaţ maakan alaţar katen uko wi bahiini kado Yeŧu.
LUK.6.12	Yeŧu aya ţi ŋnuur mënţan pñehan Naşibaţi du pnkuŋ, afër ţi pñehan.
LUK.6.13	Wi unuur ujinţuŋ, kë aşë du baţaşarul. Adat ţi baka bañaaŋ iñeen na batëb, aţu katim ki 
LUK.6.14	Bawooŋ : Ŧimoŋ i aţuuŋ katim ki Piyeer, Andre aţa Ŧimoŋ, 
LUK.6.15	Maci, Tooma, Yakob abuk Alfe, Ŧimoŋ andu'aniiŋ Nagutar uŧaak, 
LUK.6.16	 i Yakob, na Yudaŧ Iŧkariyot ambiiŋ adek Yeŧu kafeţ.
LUK.6.17	Wi wi Yeŧu aşaaŋ awala na baka, aşë naţ ţi dko dbad. Baţaşarul baŧum, aţu na pnŧuk pi bañaaŋ banwoonuŋ ŋfëţ bŧi ŋi 
LUK.6.18	Babi pŧiinka kabot kajeb mmaak mi baka. Biki ŋnŧaayi ŋakyewlënuŋ kak bajebi. 
LUK.6.19	Kë bañaaŋ bŧi başë do na pban Yeŧu, ţiki mnhina mloŋ mampënna ţi a, ajeban bañaaŋ bŧi.
LUK.6.20	Kë Yeŧu aşë kat këş aten baţaşarul aşë ji :
LUK.6.20	« Nanuurandëni an nanwaaŋuŋ,
LUK.6.20	ţiki 
LUK.6.21	Nanuurandëni an nanwooŋ na ubon hënkuŋ,
LUK.6.21	naluŋ kade kayok.
LUK.6.21	Nanuurandëni, an nanwooŋ ţi ŋwooni hënkuŋ,
LUK.6.21	naluŋ kado kaji.
LUK.6.22	Nanuurandëni, woli bañaaŋ başooran,
LUK.6.22	adookan, akaran,
LUK.6.22	aŧok katim ki nan aji nafëpaa ţiki nafiyaar 
LUK.6.23	Nalilaan unuur mënţ, nawo ţi mnŧaŋ, baluk bi nan baluŋ kadëm du baţi. Kë hënk di di bateem baka babiiŋ ado na 
LUK.6.24	Kë an bayok naşë wuţan,
LUK.6.24	nadobi yeenk baluk bi nan !
LUK.6.25	Nawuţani, an nanyokuŋ hënkuŋ,
LUK.6.25	naluŋ kawo na ubon.
LUK.6.25	Nawuţani, an nankjiiŋ hënkuŋ,
LUK.6.25	naluŋ kawo na puum kabot kawooni.
LUK.6.26	Nawuţani, woli bañaaŋ bŧi baţup bnuura ţi an !
LUK.6.26	Kë hënk di di bateem baka babiiŋ ado na baŧaaki banjakuŋ aji bawo baţupar Naşibaţi. »
LUK.6.27	« Kë nşë ţupan, an nanknŧinknuŋ : Naŋalan başooradan, nado kado bampokanaŋ bnuura. 
LUK.6.28	Nañehandëran bankfëpanaŋ Naşibaţi awul baka bnuura, nañehaan Naşibaţi pa bankţupuŋ buţaan ţi an. 
LUK.6.29	Woli ñaaŋ akobu ţi kajeem kaloŋ, kdek kak kundu. Woli ñaaŋ aŧehu bayeti, wutana ajej kak kamişa. 
LUK.6.30	Woli ñaaŋ añehanu, ţenana, woli ajej uko wi nu, wutan kahepara wa. 
LUK.6.31	Uko wi naŋaluŋ bañaaŋ badolan, nadoon wa kak pa baka.
LUK.6.32	« Woli naŋal banŋalanaŋ ţañ, ubeeb uhoŋ wi wi nakaaŋ ba ? Bado buţaan badoo ji baŋal banŋaluŋ baka. 
LUK.6.33	Woli nado bnuura bankdolanaŋ bnuura ţañ, ubeeb uhoŋ wi wi nakaaŋ ba ? Bado buţaan badoo ji bado haŋ. 
LUK.6.34	Woli naţeeţan banhilanuŋ kalukan, ubeeb uhoŋ wi wi nakyoonkuŋ ba ? Bado buţaan badoo ji baţeeţan kak baŧënţ baka, kayoonk baluk banliŋuŋ na wi baţeeţanuŋ. 
LUK.6.35	Kë naşë wo i kaţëp ţëp kaŋal başooradan, nadoon kado bnuura, kaţeeţan, kawut kahaţ balukan. Naluŋ kayeenk baluk bweek, kaşë kawo babuk Naşibaţi 
LUK.6.36	« Nadoon kañaga maakan, jibi Aşinan ajaaŋ ñagi'an maakan. 
LUK.6.37	Nawutan katen buţaan bi baŧënţan, başë baluŋ bawut pten bi nan. Nawutan kaji aŧënţan aduknaanaa, başë bawo baankluŋ kaji naduknaanaa. Namiiran baŧënţan, başë baluŋ bamiiran. 
LUK.6.38	Naţenan, başë baluŋ baţenan. Baluŋ kawulan unŧumuŋ adoo apel umbooţu wi nan, ŋdeey ŋaluŋ kaŧum kadoo katula, baluŋ kaniiban na kaniibi ki najaaŋ naniibna ! »
LUK.6.39	Yeŧu akak ahoñ na baka aji : « Hum di di nakuul ahinanuŋ kaţoŋ nakuul aŧënţul ba ? A-a, baya kajot bukal batëb bŧi ţi bhër. 
LUK.6.40	Nin najuk aloŋ aanhinan kapel najukan i nul, kë najuk anjukuŋ ame, aşë luŋ kawo ji najukan i nul.
LUK.6.41	« Iba ya we ppënan katëmal kanwooŋ ţi pkëş pi aŧënţu, aşë duk pmul panwooŋ ţi pi nu ? We ukaaŋ ba ? 
LUK.6.42	Hum di di ihinanuŋ kaji na aŧënţu, “ayiţ naan, biin mpënanu katëmal ţi pkëş,” aşë wo iinwin pmul panwooŋ ţi pi nu ? Iwi naŧaaki, duni ipënan pmul panwooŋ ţi pkëş pi nu ! Woli ipënan pa kbaa hil kawin bnuura, kapënan katëmal kanwooŋ ţi pkëş pi aŧënţu ! »
LUK.6.43	« Bko bjeb baanhil kabuk mnko mnwuţaan, kë bko bmaakal baanhil pbuk mnko mnuura. 
LUK.6.44	Baji bayikrënaan bko ţi mnko mi ba. Ñaaŋ aanhinan kamar pjaak ţi byuw, kë ñaaŋ aanhil kak kamar mbut ţi bţëmpël. » 
LUK.6.45	Ñaaŋ anwooŋ nanuura, aji jejna bnuura mënţ du kaţëbul, kanŧumi na iko inuura, anwuţuŋ aji jejna buţaan bi nul du kaţëbul, kanŧumi na iko iwuţaan. Aa, uko unŧumuŋ ţi kaţëb ki ñaaŋ, ujaaŋ upënna ţuŋ mntumul.
LUK.6.46	« Naji nadu'ën kaji “Ajugun, Ajugun,” kaşë wo naanji nado uko wi njakuŋ. We ukaaŋ ba ? 
LUK.6.47	Woli ñaaŋ abi ţi nji, aŧiink uţup wi naan, aţaş wa, ddiimanan jibi anaamuŋ : 
LUK.6.48	Anaam ji ñaaŋ anniwuŋ katoh. Ajip adiilën, aşë paf katoh ţi mnlaak. Woli uşubal uweek ubii, kë meel mampaari, maanji mahilan ka pşinţ, ţiki, katoh kaniw bnuura aliinŧ. 
LUK.6.49	Kë anşaaŋ aŧiink uţup wi naan aşë wo aandi pdo uko wi njakuŋ, anaam na ñaaŋ anniwuŋ katoh ţi mboş aşë wo aanjip adiilan. Woli meel mampaari, katoh kajot ţi dko mënţ, kaŧoka bŧi. »
LUK.7.1	Wi Yeŧu aţiiniiŋ na bañaaŋ bankŧiinkuluŋ aba, aşë neej ţi ubeeka wi Kapernawum. 
LUK.7.2	Naweek aloŋ i bangoli iñeen-week awo da, aka nalemparul aloŋ, i aŋaluŋ maakan kë amaaki adoo ñogan pkeţ. 
LUK.7.3	Wi aŧiinkuŋ kë bakţiiniyaan uko wi Yeŧu, kë aşë yil bantohi 
LUK.7.4	Wi babiiŋ ţi Yeŧu, aşë kooţa bnuura aji na a : « Ñiinţ i awo i iţënka, 
LUK.7.5	ţiki aŋal pntaali pi nun. Ul aniwuŋ un 
LUK.7.6	Kë Yeŧu agakandër na baka, wi bakyaaŋ pñog katoh kë naweek i bangoli aşë yil banohul baloŋ baya baji na a : « Ajugun, kţo kanooran uleefu, dpoţ ibi ineej ţi katoh naan. 
LUK.7.7	Uko waŋ ukaaŋ kë mëññoom abi te du iwi ; işale ţup uţup uloolan ţañ nalempar naan abi jeb jeb. 
LUK.7.8	Nji kak dka anşihnuŋ abot awo na bangoli biki nşihuŋ, woli dji na aloŋ ţi baka : “Yaani,” aya, undu “Biini,” abi, nalempar naan “Dolan uko wi,” Ado wa. » 
LUK.7.9	Wi Yeŧu aŧiinkuŋ uţup waŋ aşë maţ naweek i bangoli maakan, awugşa wal mënţ aten bañaaŋ baŧum bankţaşuluŋ aşë ji na baka : « Dţupan, ţi 
LUK.7.10	Wi bayili bakakuŋ katoh, baţënk nalempar nangoli naweek kë ajebi.
LUK.7.11	Wi uko waŋ uţëpuŋ, kë Yeŧu aşë ŧool pya ubeeka uloŋ wi bajaaŋ bado Nayin, baţaşarul na bañaaŋ baŧum kë bakyaanţ na a. 
LUK.7.12	Wi Yeŧu akneejanuŋ ubeeka, ayit na umoy wi nduba aloŋ i ñaaţ nayoţ aloŋ akahaŋ ţañ. Pnŧuk pweek pi bañaaŋ pañooţana. 
LUK.7.13	Wi Yeŧu Ajugun awinuŋ ñaaţ uŋ aşë ñagi'a aji na a : « Yompan. » 
LUK.7.14	Aya aban kajiiñ ki bapafuŋ puum, bamëbanuŋ ka kë banaţi ; kë aşë ji : « Ndub, iwi i nji kaţiiniyaanuŋ, naţiin ! » 
LUK.7.15	Nduba ankeţuŋ kë aheŧ aţo aşë jun pţup na bañaaŋ. Kë Yeŧu akakana anin. 
LUK.7.16	Bañaaŋ bŧi balënk adiwşa, abot adëman Naşibaţi aji : « 
LUK.7.17	Uko wi Yeŧu waŋ umeeţana ţi 
LUK.7.18	Baţaşar 
LUK.7.19	ayil baka du Ajugun baya bahepara : « Iwooŋ anwooŋ i pbi, këme ŋwo biki kayoonk aloŋ kak ? » 
LUK.7.20	Wi biinţ mënţan babanuŋ ţi Yeŧu aşë ji na a : « Yowan Nabatŧaar ayilun ţi iwi, ŋheparu me iwooŋ anwooŋ i pbi, këme ŋwo biki kayoonk aloŋ kak ? »
LUK.7.21	Wal mënţ Yeŧu ajeban bañaaŋ baŧum bammaakuŋ, apënan bañaaŋ baŧum ŋnŧaayi abot ado bakuul kë bakwin. 
LUK.7.22	Kë Yeŧu aşë ŧeem bayili aji : « Nayaan nakakalëş Yowan uko wi nakwinuŋ akuţ aŧiink hënk : bakuul bakak awin, banţakmuŋ bapoş, bammaakuŋ bdoo bajebi kë bandënëmuŋ bakŧiink, bankeţuŋ banaţa ţi pkeţ, 
LUK.7.23	Anwooŋ aampok pfiyaarën anuurandëni. »
LUK.7.24	Wi bañaaŋ biki Yowan ayiluŋ bayaaŋ, kë Yeŧu aşë wo ţi pţiiniyaan uko wi Yowan na bañaaŋ baŧum bukuŋ aji : « We wi wi nayaaŋ pten du 
LUK.7.25	Kë we wi wi naşaaŋ aya pten ba ? Ñiinţ anñëgiiŋ a i ? Bankaaŋ iko inuura abot ade umundu bawo du itoh yi başih. 
LUK.7.26	Kë we wi nayaaŋ pten ba ? 
LUK.7.27	Ul i i upiiŧuŋ aji :
LUK.7.28	« Dţupan : Ţi bañaaŋ bambukiiŋ ţi kayiŋ ki baaţ, nin aloŋ aampel pel Yowan ; kë ñaaŋ anwoonuŋ nampoţi du 
LUK.7.29	Bañaaŋ bŧi adoo ţu na 
LUK.7.30	 na 
LUK.7.31	Yeŧu akak aji na baka : « We wi wi mbaaŋ anaamnţën na bañaaŋ biki kawuuŋ ki nţa ki ? Banaam na we ? 
LUK.7.32	Bawo ji bapoţ banţooŋ du ufeeru, aşë ţëlşër aji :
LUK.7.32	“Ŋŧeeni,
LUK.7.32	kë naankii !
LUK.7.32	Ŋyeeh iyeeh yi pjooţan
LUK.7.32	kë naanwoonii !”
LUK.7.33	« Aa, Yowan Nabatŧaar abi, aankde pde, aankdaan poot, kë naji : “Awo na unŧaayi !” 
LUK.7.34	 kë abii, ade abot adaan poot, kë naji : “Awo nafeer, nakuj, awo nanoh bakobraar daaşa na bado buţaan !” 
LUK.7.35	Kë bankţaşuŋ uţup unŧuŋa wi Naşibaţi başë yikrën kë uwo uŧool. »
LUK.7.36	Unuur uloŋ, 
LUK.7.37	Ñaaţ aloŋ kë aşë wo ţi ubeeka mënţ, anwooŋ nado buţaan. Wi ameeŋ kë Yeŧu abi pyoban du uko nafariŧay aşë ţij ukëra ujuŋ ulil pţëkëñ ţi pţukar pmpoţi pi babomanuŋ na ufuuş ufaaŧal. 
LUK.7.38	Abi aţo ţi kafeţ ki Yeŧu, ţi ihoţul
LUK.7.39	Wi nafariŧay anduuŋ Yeŧu pyoban awinuŋ uko waŋ aşë ji ţi uşal : « Woli ñiinţ i awo lah 
LUK.7.40	Kë Yeŧu aşë ţiini wal mënţ na nafariŧay aji na a : « Ŧimoŋ, dka uko uloŋ wi nŋaluŋ kaţupu » kë aŧeema aji na a : « Naweek ţupan. »
LUK.7.41	Kë Yeŧu aşë ji : « Biinţ batëb baloŋ babi ţeeţ itaka du najula, aloŋ kë aţeeţ baluk bi ŋnuur iñeen week ŋyaaş kañeen, undu kë ayeenk bi ŋnuur iñeen-kañeen 
LUK.7.42	Jibi bawooŋ baanhilan pluk, kë najula awutar baka bukal batëb bŧi itaka yi baţeeţuŋ. In akŋalnuluŋ maakan ţi batëb bukuŋ ba ? » 
LUK.7.43	Kë Ŧimoŋ aŧeem aji : « Dşal aji i awutaruŋ itaka iŧum a. » Kë Yeŧu ajaka : « Ifaŋi. »
LUK.7.44	Wi wi aşaaŋ awugşa aŧaaŋ na ñaaţ aşë ji na Ŧimoŋ : « Iwin ñaaţ i ? Dneej ţi katohu, kë iinñowën ihoţ ; ul kë aşë ñowën ihoţ na mnkuul mi nul abot awent ya na uwel wi nul. 
LUK.7.45	Iimmookën wi mbiiŋ, kë ul aşë bi kabootën boot ihoţ wi mbiinuŋ. 
LUK.7.46	Iinţu'ën ukëra ţi bkow ; ul, kë aşë kërën ihoţ na ukëra ujuŋ ulil pţëkëñ. 
LUK.7.47	Ukaaŋ kë njaku, ipekadu yi nul inŧumuŋ ipën ţi a, ţiki adiiman uŋal uweek. Kë ñaaŋ i bamiiruŋ uko umpoţi aji ka uŋal umpoţi pa ammiiruluŋ. » 
LUK.7.48	Wi wi Yeŧu aşaaŋ aji na ñaaţ : « Ipekadu yi nu ipëni. » 
LUK.7.49	Kë banwooŋ na a ţi umeeşa başë şal aji : « Ñiinţ i awo ahoŋ ba, adoo aji pënan ipekadu ? » 
LUK.7.50	Kë Yeŧu aşë ji na ñaaţ uŋ : « Pfiyaar pi nu pabuuranu ; yaan bnuura. »
LUK.8.1	Wi uko waŋ uţëpuŋ, kë Yeŧu aşë wo ţi pñaay na ŋbeeka na ŋntanka, ajukan abot aţup 
LUK.8.2	aţu na baaţ baloŋ biki bapënanuŋ ŋnŧaayi na mmaak : 
LUK.8.3	Yowana ahar Huŧa namali i 
LUK.8.4	Jibi pnŧuk pi bañaaŋ payituŋ, kë bañaaŋ bakwoona ŋbeeka bŧi abi ţi Yeŧu, kë aşë hoñ na baka aji : 
LUK.8.5	« Najaar apën pgur ŋdeey. Wi akguruŋ, ŋdeey ŋloŋ kë ŋaya ajot du bgah ; apoşana, kë ŋkaŧ ŋade ŋa bŧi. 
LUK.8.6	Ŋloŋ kë ŋajot ţi mnlaak, wi ŋanaţiiŋ, awaaŋ meel akay. 
LUK.8.7	Ŋloŋ kë ŋajot ţi pŧoof pi iyiw, kë wi ŋanaţiiŋ na iyiw, kë ifiiklën ŋa. 
LUK.8.8	Ŋloŋ kë ŋaya ajot ţi mboş mnuura, anaţa, awul ŋdeey ŋŧum maakan. » Wi ajakuŋ haŋ aşë huuran aji : « Ankaaŋ ibaţ iŧiinki, aŧiinkan ! »
LUK.8.9	Baţaşar Yeŧu bahepara uko wi uhoñ waŋ ujaki. 
LUK.8.10	Kë aŧeem baka aji : « An, baţenan kë name iko injoonanuŋ yi 
LUK.8.11	« Uko wi uhoñ ujakuŋ wii wi : Ŋdeey ŋawooŋ Uţup wi Naşibaţi. 
LUK.8.12	Bañaaŋ baloŋ bawo ji bgah, bi Uţup ujotuŋ, wi banŧiinkuŋ wa, kë Unŧaayi Uweek uşë bi, apënan wa ţi ŋhaaş ŋi baka aţi bafiyaar bakuţ babuur. 
LUK.8.13	Baloŋ bawo ji dko di mnlaak di Uţup ujotuŋ, baji bayeenk wa na mnlilan woli baŧiink wa ; kë başë wo baanka intaañ, baji bafiyaar btiişu, woli ujeenki baji bawutan. 
LUK.8.14	Kë baloŋ bawo ji dko di iyiw, bawooŋ banŧiinkuŋ Uţup aşë ya, kë manţaaf, pyok panjaaŋ pafooyan bkow na kalilare ki umundu kë ifiiklën baka kë baandëmi. 
LUK.8.15	Kë banwooŋ mboş mnuura bajaaŋ baŧiink Uţup wi Naşibaţi na uhaaş unuura uŧool kamëban wa kabot kabuk ŋdeey ţi kamiir ki baka.
LUK.8.16	« Nin aloŋ aanji ŧehan unkaniya kaşë fëţ wa na kakana, këme kaţu wa du kalişa uţeeh, aji ţu wa du bko duuţ, bankmbiiŋ bahilna bawin bjeehi bi wa. 
LUK.8.17	Uko ummeniiŋ nţa uluŋ kameeţana, kë uko unhankaniiŋ uluŋ kapën ţi bdig. 
LUK.8.18	Naţaafaraan keeri ţi uŧiink wi nan, ankaaŋ baluŋ kawula kak kapelan ; kë anwaaŋuŋ, badoo yeenk yeenk uko wi aşaluŋ aji akaa. »
LUK.8.19	Anin Yeŧu na baţa'ul babi du dko di awooŋ aşë wo baanhinan añoga ţiki bañaaŋ baŧumi. 
LUK.8.20	Kë başë do kë baţupa aji : « Naan na baţa'u buk bukuŋ du bdig, baŋal pwinu. » 
LUK.8.21	Kë Yeŧu aşë ŧeem aji : « Bankŧiinkuŋ Uţup wi Naşibaţi akuţ ado uko wi uheparuŋ bawooŋ ni na baţa naan. »
LUK.8.22	Yeŧu apaya unuur uloŋ ţi bţeem na baţaşarul aşë ji na baka : « Nawulën ŋya bdëk umbaŋ wundu. » Kë baya alow. 
LUK.8.23	Wi bakmuuruŋ, kë Yeŧu aşë ŋoyënţ. Kë ukëk uşë mara mara anaţa ţi bdëk. Meel manneej ţi bţeem kë badoo kak i pjiir. 
LUK.8.24	Wi wi baţaşar Yeŧu başaaŋ añoga, ahuma, ahuuran aji : « Naweek, Naweek, ŋkeţi, wi nun ubaa. » Yeŧu aten wal mënţ aşë ŋoman na uyook na meel mankşinţaruŋ. Kë iţañani, dko kë dayompandëri. 
LUK.8.25	Wi wi aşaaŋ aji na baka : « Pfiyaar pi nan pawo ţuŋ ba ? » Balënk akuţ añoŋar aşë ţupar aji : « Ñaaŋ i, awo ahoŋ andooŋ aşook uyook na meel kë ŋado ji ŋaŧiinka ? »
LUK.8.26	Baya añog uŧaak wi Bagenaŧereŋ unŧaaŋuŋ na wi 
LUK.8.27	Wi Yeŧu atapaŋ tap kahoţ ţi mboş, kë ñiinţ aloŋ i ubeeka mënţ i ŋnŧaayi ŋaneejuŋ aşë bi ayit na a. Ujon wi awooŋ aankak awoh imişa, kë aankak afër ţi itoh, aji bi wo wo du pnguran. 
LUK.8.28	Wi awinuŋ Yeŧu aşë fuŧ idiim ajot ţi ihoţ yi nul ahuuran maakan aji : « Inumiyaan we ba Yeŧu, Abuk Naşibaţi 
LUK.8.29	Yeŧu alëbar wal mënţ na unŧaayi upën ţi ñiinţ uŋ. Ŋyaaş ŋŧum, unŧaayi uji uneej ţi a, baji batana tan na mnkorentu këme bakiina kiin, kë aşë ji marana maran iko yi batannuluŋ, unŧaayi uşë ya na a du 
LUK.8.30	Kë Yeŧu aşë hepara aji : « Katimu kawo hum ? » Kë aji : « Pntuni » ţiki ŋnŧaayi ŋŧum ŋaneej ţi a. 
LUK.8.31	Kë ŋaşë kooţa awut kawat ŋa du infernu.
LUK.8.32	Kë batani bweek bi ŋnkuma başë wo ţi pşuñ du pnkuŋ duuţ. Wi wi ŋnŧaayi ŋakooţuŋ Yeŧu adinan ŋa ŋaneej ţi ŋnkuma. Kë adinani. 
LUK.8.33	Kë ŋnŧaayi ŋapën ţi ñiinţ, aneej ţi ŋnkuma, batani buŋ kë bawura wura ajot du bdëk ayoora.
LUK.8.34	Wi bayafan bajug batani bawinuŋ uko unţëpuŋ aşë jiŋ na pti, wi bayaaŋ aşë kakalëş uko mënţ ţi ubeeka na ŋfëţ. 
LUK.8.35	Wi wi bañaaŋ başaaŋ abi pten uko unţëpuŋ, abi añog ţi Yeŧu aşë win ñiinţ i ŋnŧaayi ŋapënuŋ ţi uleef kë aţo ţi ihoţ yi Yeŧu. Awohara hënkuŋ akak ñaaŋ, kë bañaaŋ başë lënk. 
LUK.8.36	Banwinuŋ uko unţëpuŋ bŧi bakakalëş bandukiiŋ jibi ñiinţ aneejiiŋ ŋnŧaayi ajebi. 
LUK.8.37	Bañaaŋ bŧi du uŧaak wi Bagenaŧereŋ balënk adiwşa wal mënţ, ukaaŋ kë baji na Yeŧu « Yaani, lowun ! » kë Yeŧu aşë paya ţi bţeem kaya na bgahul.
LUK.8.38	Wi wi ñiinţ i ŋnŧaayi ŋadukuŋ aşaaŋ aji na a : « Dkooţu kooţ wutaan mbi na iwi. » Kë Yeŧu aşë dooka aji na a : 
LUK.8.39	« Kakan katohu ! Iya ikakalëş uko wi Naşibaţi adoluŋ bŧi pa iwi. » Kë ñiinţ ayaa, aşë ţup ţi ubeeka bŧi uko wi Yeŧu adoluŋ pa a.
LUK.8.40	Pnŧuk pi bañaaŋ pawo ţi pyoonk Yeŧu du bdëk umbaŋ wuŋ. Wi abanuŋ, kë başë bi bŧi pkita. 
LUK.8.41	Kë ñiinţ aloŋ anwooŋ katim ki Jayiruŧ aşë bi da. Awo naweek i 
LUK.8.42	Abukul ñaaţ aloolan ţañ i akaaŋ i ŋşubal iñeen na ŋtëb amaak añogan pkeţ.
LUK.8.42	Wi Yeŧu akyaaŋ ţi bgah, bañaaŋ baŧum adoo wuuk wuukana. 
LUK.8.43	Kë ñaaţ aloŋ aşë wo da, awo na pmaak pi ptula pñaak ŋşubal iñeen na ŋtëb hënkuŋ [aŧok bka bi nul bŧi ţi pñaay na bapiinţan] kë nin ñaaŋ aanhinan ajebana. 
LUK.8.44	Ñaaţ mënţ abi añog ţi kafeţ ki Yeŧu aşë ban kambiint ki kamişa ki nul, ţi dko mënţ kë pñaak pabi ţañan ţañan ptula. 
LUK.8.45	Kë Yeŧu aşë ji : « Ñaaŋ aloŋ abanën, in ula ? » Wi bañaaŋ bŧi bapokuŋ kë Ŧimoŋ Piyeer aşë ji na a : « Naweek, bañaaŋ bafooyu, awuuk wuukanu di. » 
LUK.8.46	Kë Yeŧu aşë ji na a : « Ñaaŋ aloŋ abanën, dŧiink mnhina mloŋ kë mampën ţi nji. »
LUK.8.47	Wi ñaaţ awinuŋ kë amobanaa aşë bi ajot ţi ihoţ yi Yeŧu, alënk akat kat. Akakalëş Yeŧu ţi kadun ki bañaaŋ bŧi uko unkayi kë abana, abot aţup jibi ajebi ţi dko mënţ. 
LUK.8.48	Kë Yeŧu aşë jaka : « Ñaaţu, pfiyaar pi nu pajebanu. Yaan na bnuura. »
LUK.8.49	Ahum kaţiini, kë aloŋ aşë woona uko naweek i katoh kañehanaani aji na a : « Kţo kanooran Najukan, abuku aneem hënkuŋ. » 
LUK.8.50	Kë Yeŧu aŧiinka, aşë ŧeem aji : « Klënk nin, fiyaarën ţañ, anaţa. » 
LUK.8.51	Wi babanuŋ du uko naweek i katoh kañehanaani, aandinan nin aloŋ aneej na a bë mënţ Ŧimoŋ Piyeer, 
LUK.8.52	Bañaaŋ bŧi bawooni abot aţëga. Kë Yeŧu aşë ji : « Nayompan, aankeţi aŋoyënţ ŋoyënţ. » 
LUK.8.53	Kë bañaaŋ başë ŋuubana, ţiki bame kë akeţi. 
LUK.8.54	Kë Yeŧu aşë mëban poonu ţi kañen aji na a : « Poon, naţiin » 
LUK.8.55	kë uhaaş uşë kak ţi napoţ, kë anaţa ţi dko mënţ. Wi wi Yeŧu aşaaŋ aji na baka bawula pde ade. 
LUK.8.56	Bajug poonu bañoŋar bnuura, kë aşë ji na baka bawut kaţup nin aloŋ uko unţëpuŋ.
LUK.9.1	Yeŧu adu 
LUK.9.2	Wi wi aşaaŋ ayil baka baya baţup uko wi 
