MAT.1.1	Ибрагимнен тувган Дауттынъ улы Иса Масихтинъ асылы-тукымы сосындай эди: 
JAS.2.20	Сен билмеге суьесинъме, мыйсыз аьдем, иманнынъ ислери болмаса, пайдасыз экенин?
JAS.2.21	Ислерининъ сонъына коьре тувылма атамыз Ибрагимнинъ акланувы? Ол оьзининъ улы Исхакты курман этилуьвши ерге аькелген.
JAS.2.22	Коьресинъме, онынъ иманы ман ислери айырылувсыз байланыслы болды, эм онынъ иманы ислери мен тамамлыгына етисти.
JAS.2.23	Соьйтип: «Ибрагим Аллага ынанды, Алла да ынанганын туврашылыкка санады», – деген Кие Язув толтырылды эм Ибрагимге «Раббийдинъ йолдасы» деген ат берилди.
JAS.2.24	Коьресизбе, Алла аьдемди тек иманы уьшин болмай, а эткен ислерине коьре аклайды.
JAS.2.25	Соьйтип, шахарга тасаланып кирген исраилшилерди конакка алып, баска йол ман шыгарып ярдамласкан каьхпе Рахав да эткен сол исине коьре акланмадыма?
JAS.2.26	Аьдем шаркы рухсыз оьлидей, иман да эткен иси болмаса оьли болады.
JAS.3.1	Кардашларым, аранъыздан коьплер (иман ямагатында) окытувшы болмага каьрлемесинлер, неге десе билесиз, бизге, окытувшыларга, баскалардан катырак оьким шыгарылаяк.
JAS.3.2	Баьримиз де коьп янъылыс этемиз. Ким соьзи мен янъылыс этпейди, сол тамамлыкка еткен, оьзин аьр яктан тыйып билген аьдем.
JAS.3.3	Биз атты оьзимизге тынълавлы этер уьшин, ога авызлыкты саламыз. Соьйтип онынъ буьтин шаркын юргистемиз.
JAS.3.4	Яде, мысалыга, кемелерди алып карасак: кайдай уьйкен болсалар да, кайдай куьшли ел эссе де, кемеди юргистуьвши оны бир кишкей алаты ман кайда бурмага суьйсе, сонда аькетеди.
JAS.3.5	Сога усайды аьдемнинъ тили де: ол – кишкей муьше, ама коьп мактанады. Каратага, орманда уллы оьртен кишкей бир йылтыннан басланады да!
JAS.3.6	Тил де – сол ок йылтын. Баска муьшелеримиздинъ арасында туратаган бир яманлык дуныясы. Ол шаркымызды савлай кирлейди, оьзи яханем отыннан тутанып, яшавымыздынъ баьри юрисин куьйдиреди.
JAS.3.7	Аьр туьрли кийик айванды, кусты, йылысатаганды, денъиз айванды аьдем ырувы уьйретип бойсындырады эм де бойсындырды,
JAS.3.8	тек тилди эш бирев де бойсындырып болалмайды. Тил – кепке сыйынмаган, оьлим аькелуьвши увга толган яман зат.
JAS.3.9	Тил мен Атамыз Раббийди мактаймыз эм бу тил мен Аллага усап яратылган аьдемлерди наьлетлеймиз.
JAS.3.10	Бир ок авыздан мактав эм наьлетлев шыгадылар! Кардашларым, бу зат болмага тийисли тувыл.
JAS.3.11	Бир ок булактан таьтли эм ашы сув калай агып шыкпага болады экен?
JAS.3.12	Ынжыр теректе – зейтун, юзим сабагында – ынжыр оьспеге боларма? Соьйтип те тузлы булактан таьтли сув агып болмас.
JAS.3.13	Аранъыздан кайсынъыз акыллы эм анъламлысыз? Сол аьдем ислерин акылдан келетаган юваслык пан эткенин аьруьв яшавы ман коьрсетсин.
JAS.3.14	Эгер юрегинъизде куьншиликтинъ увын эм менменсинуьвди юргистетаган болсанъыз, сонда мактанманъыз эм, акыйкатты ясыраяк болып, оьтирик айтпанъыз.
JAS.3.15	Сондай «акыллылык» еннеттен келмейди, ама ерден, аьдемнинъ яныннан, кара йинлерден басланады.
JAS.3.16	Кайда куьншилик эм менменсинуьв болса, сол ерде нызамсызлык эм аьр туьрли яман ис те болар.
JAS.3.17	Еннеттен келген акыллылык, бас деп, таза, оннан сонъ тынышлыкты суьйген, юмсак, бойсынувшы, рагимликке эм хайырлы ислерге толы, тек айырувшы эм экиюзли болмайды.
JAS.3.18	Ким тынышлыкты туьзеди, сол тынышлык пан шашкан урлыкларыннан туврашылыктынъ емисин орады.
JAS.4.1	Эрис-суьрислеринъиз кайдан ды? Сол шаркынъыздынъ муьшелеринде согысатаган куьсевлеринъизден тувылма экен?
JAS.4.2	Сиз бир зат куьсейсиз, ама оны алалмайсыз, соьйтип, аьдем оьлтиресиз, куьнлейсиз, кенем де уьмитинъизге еталмайсыз, соннан эрис-суьрисинъиз. Излеген затынъызды алмайсыз, неге десе сиз (Алладан) тилемейсиз.
JAS.4.3	Тилесенъиз де бир зат алмайсыз, неге десе оны ийгиликке тувыл, тек куьсевлеринъизге кулланмага тилейсиз.
JAS.4.4	Аллага туьз болмаганлар
JAS.4.5	Яде Алла бизде яшаткан рухын тап куьнлегенге дейим суьеди деген Кие Язув сизге бос коьринеме?
JAS.4.6	Алла бизге оннан да уьйкен шапагат коьрсетеди. Соны уьшин Кие Язув:
JAS.4.6	«Алла коькиреклилерге карсы,
JAS.4.6	А сабырларга шапагатын коьрсетеди», – деп айтады.
JAS.4.7	Соннан себеп Аллага бойсынынъыз, ибилиске карсылыгынъызды коьрсетинъиз, сол заманда ибилис сизден кашар.
JAS.4.8	Аллага ювык болынъыз, эм Ол сага ювыклар. Куьналылар, колларынъызды ювынъыз, эм сиз, экиакыллы болганлар, юреклеринъизди тазаланъыз.
JAS.4.9	Мыдах болынъыз, кайгырынъыз, оькирип йыланъыз. Куьлкинъиз йылавга айлансын, а суьйинишинъиз – кайгыга.
JAS.4.10	Алладынъ алдында сабырланынъыз, эм Ол сизди коьтерер.
JAS.4.11	Кардашлар, бир биринъиздинъ акында яман айтпанъыз. Ким оьзининъ кардашын яманлайды яде шуьшлейди, сол Таурат Йорыгын да яманлап шуьшлейди. А эгер дейим сен Тауратты шуьшлей болсанъ, оны толтырмайсынъ, ога оькимши боласынъ.
JAS.4.12	Ама кимди куткармага, а кимди шуьшине еткермеге керегин белгилейтаган тек Бирев бар. Ол (Алла) – Йорыкты Шыгарувшы эм Оькимши. А сен, оьзинънинъ ювыгынъа оьким шыгаргандай, ким болгансынъ?
JAS.4.13	Энди тагы да сосы зат акында ойланъыз. Сиз: «Буьгуьн яде эртен биз биршемекей шахарга бараякпыз, йыл узагы онда сатув-алув ман каьр шегеекпиз», – дейсиз.
JAS.4.14	Оьзинъиз эртенъги куьн сизге не аькелеегин билмейсиз. Суьйткенде, яшавынъыз не ди? Биразга коьринип, сонъ йок болган бувга усайсыз.
JAS.4.15	Сизге баскаша соьйлемеге керек эди: «Раббий онъын берсе, яшаякпыз эм муны-муны этеекпиз».
JAS.4.16	Сиз болсанъыз мактанып коькирексийсиз. Сондай мактанувлардынъ баьриси де яманлык.
JAS.4.17	Суьйткенде, ким ийгиликти кайтип этпеге керегин биле турып, этпесе, сога – куьна.
JAS.5.1	Энди сизинъ акынъызда, байлар. Йыланъыз, басынъызга келеек баьлелер уьшин оькирип йыланъыз!
JAS.5.2	Байлыгынъыз ширип калган, кийиминъиз де куье мен едилген,
JAS.5.3	Алтынынъыз эм куьмисинъиз де тотласкан. Сол тот сизге карсы шаат болаяк эм, оттай, шаркынъызды куьйдиреек. Сиз бу ахыр куьнлерге байлык йыйгансыз.
JAS.5.4	Кырларынъызда аслык йыйган куллыкшыларынъыздан сиз тыйган кыйын ак оьш алмага шакырады. Аслык орувшылардынъ давыслары Куьдиретли Раббийдинъ кулагына еткенлер.
JAS.5.5	Сиз ер уьстинде яшаган заманынъызда байлыкка эм куьсевлерге берилдинъиз. Соьйтип сойылаяк куьнинъизге оьзинъизди беслединъиз!
JAS.5.6	Сиз туврашыларга оьким шыгарып, оларды оьлтиресиз. Олар сизге карсы шыкпайдылар.
JAS.5.7	Кардашларым, тоьзимлик пен Раббийдинъ келуьвин сакланъыз. Карашынъыз ердинъ баалы емисин саклап турган эгиншиге. Ол, эрте эм кеш явган ямгырларды тоьзимлик пен саклайды.
JAS.5.8	Сиз де солай тоьзимли эм даянышлы болынъыз. Раббийдинъ келееги энди ювык.
JAS.5.9	Шуьшленмес уьшин, кардашлар, бир биринъиз акында шагынманъыз; каранъыз, Оькимши капы алдында!
JAS.5.10	Сизге Раббийдинъ аты ман соьйлеген пайхамбарлардынъ азап шеккенде коьрсеткен тоьзимлиги дайым да коьрим болсын.
JAS.5.11	Эсинъизде тургыстынъыз, шыдамлыларды бактылы деп санаймыз. Аюптынъ шыдамлыгы акында эситкенсиз. Сонъында Раббий ога калай эткенин де билесиз. Неге десе Раббий бек юмсак юрекли эм рагимликке толы.
JAS.5.12	Энъ де маьнелиси, кардашларым, не коьк пен, не ер мен, не баска зат пан ант этпенъиз; «аьше» дегенинъиз уьшини мен де «аьше» болсын, «йок» дегенинъиз де туврасы ман «йок» дегенди билдирсин. Сол заманда сизге оьким шыгарылмас.
JAS.5.13	Аранъыздан ким болса да бирев азап шеге болса, дува этсин; суьйине болса, зикирлер шалсын.
JAS.5.14	Авырган болса, иман ямагатынынъ тамадаларын шакыртып, Раббийдинъ аты ман, оьзининъ уьстине зейтун майын яктырып, дува эттирсин.
JAS.5.15	Иман ман этилген дува авырганды сав этер. Раббий онынъ савлыгын туьзетер. Куьна эткен болса, куьнасы кеширилер.
JAS.5.16	Солай этип, савартылув уьшин куьналарынъыз акында бир биринъизге ашылынъыз эм бир биринъиз уьшин дува этинъиз. Туврашыл аьдемнинъ дувасы бек куьшли эм коьп зат эталады.
JAS.5.17	Ильяс та, биздей, бир аьдем эди. Ама ол, ямгыр болмасын деп, яныплы дува эткенде, уьш йыл эм алты ай кыралда ямгыр эш явмады.
JAS.5.18	Янъыдан дува эткенде, коьктен ямгырлар явдылар, ер де оьзининъ емислерин оьстирди.
JAS.5.19	Кардашларым, эгер биревинъиз акыйкатлыктан тайса, ким болса да бирев ога кайтпага ярдам этсе,
JAS.5.20	куьналыды терис йолдан шыгарган аьдем онынъ янын оьлимнен куткараягын, Аллага онынъ коьплеген куьналарын кеширтеегин билсин.
1PE.1.1	Масих Исадынъ элшиси Петерден, Понтка, Галатияга, Каппадокияга, Асия элине эм Битунияга шашыраган эм сол эллерде келетен болып яшайтаган аьдемлерге салам!
1PE.1.2	Атамыз Алла, сизди эртеден билип, сайлаган. Сиз, Иса Масихке тынълап, Онынъ тоьгилген каны ман тазаланар уьшин Рухтынъ куьши мен оьзинъизди Ога багыслагансыз. Сизде шапагат эм тынышлык коьбирек болсын.
1PE.1.3	Раббийимиз Иса Масихтинъ Алласына эм Атасына шуькир болсын! Ол Оьзининъ уллы рагимлиги мен Иса Масихти оьлилерден тирилтип, бизди янъыдан тувдырып, бизге тири уьмитти берди.
1PE.1.4	Ол бу затты, сизинъ уьшин коьклерде сакланатаган ширимейтаган, бузылмайтаган, солымайтаган асабалыкты аларсыз деп, этти.
1PE.1.5	Заманнынъ сонъында ашылмага аьзир болып туратаган куткарылув уьшин Алла сизди иманынъыз аркалы Оьз куьдирети мен саклап турады.
1PE.1.6	Сога коьре соьле кыска вакытта туьрли сынавлардан азапланмага керек болсанъыз да куткарылаягынъызга куванынъыз.
1PE.1.7	Солай сыналган иманынъыз, Иса Масих келгенде, сизге мактав, оьрмет эм данък аькелер. Ондай иман алтыннан да баа, неге десе алтын от пан сыналатаган болса да бара-тура йокка шыгады.
1PE.1.8+1PE.1.9	Сиз Масихти суьесиз эм, соьлеге дейим де коьрмегенлей, Ога иман этесиз эм иманынъыздынъ мырадына, янынъыздынъ куткарылувына етип, айтып болмаслык уллы мактавлы суьйиниш пен куванасынъыз.
1PE.1.10	Сизге коьрсетилеек шапагат акында эртеден йораган пайхамбарлар бу куткарылув акында мукаят тергеп, сорап шыкканлар.
1PE.1.11	Масихтинъ Рухы Масихтинъ шегеек азаплары эм Ога сонъында келеек данъкы акында эртеден айтканда, пайхамбарлар Онынъ кимди эм кайсы заманды коьрсететаганын билмеге каьрлегенлер.
1PE.1.12	Энди сизге билдирилген затлар ман олардынъ, оьзлерине болмай, сизге куллык эткенлери ашылды. Сол затларды коьклерден йиберилген Кие Рухтынъ куьши мен сизге Ийги Хабарды еткергенлер билдирдилер. Маьлеклер де сол затларды анъламага талпынадылар.
1PE.1.13	Сол себепли, акылынъызды куллык этпеге аьзирлеп, сак турынъыз. Иса Масих келгенде, сизге коьрсетилеек шапагатка толы сенимли болып турынъыз.
1PE.1.14	Сиз тынълавлы балалардай болынъыз, Аллады билмеген заманынъыздагы яман куьсевлеринъизге иерменъиз.
1PE.1.15	Керисинше, сизди шакырган Алла киедей, сиз де кие болынъыз: эткен баьри затынъызда Ога багысланынъыз,
1PE.1.16	неге десе: «Мага багысланынъыз
1PE.1.17	Эгер сиз аьр кимге эткен ислерине коьре тийисли оьким этуьвши Аллага, Атамыз деп, айтатаган болсанъыз, бу дуныяда Ога аьр дайым оьрмет берип яшанъыз.
1PE.1.18	Сиз аталарынъыздан калган бос яшав йолынъыздан, алтындай яде куьмистей, тез кешуьвли байлык пан болмай,
1PE.1.19	минсиз эм таза козыга усаган Масихтинъ асыл каны ман сатылып алынгансынъыз.
1PE.1.20	Ол аьле дуныя туьзилеектен алдын белгиленген эм тек сосы сонъгы заманда сизинъ уьшин келген.
1PE.1.21	Масих аркалы Оны оьлилерден тирилткен эм Оны данъклаткан Аллага сенесинъиз, солай болганда иманынъыз да, уьмитинъиз де – Аллада.
1PE.1.22	Акыйкатка тынълавлы болганынъыз бан оьзинъизди тазаладынъыз эм соьле, экиюзли болмай, кардашларынъызды суьймеге боласыз. Соьйтип те бир биринъизди ак юректен, яныплы суьйинъиз.
1PE.1.23	Сиз оьлеек урлыктан болмай, оьлимсиз урлыктан, Алладынъ тири эм оьмирлерде тураяк соьзиннен янъыдан тувгансынъыз.
1PE.1.24	Неге десе «аьр бир инсан – коьгоьлендей эм инсаннынъ данъкы – кийик шешекейиндей. Коьгоьлен курыса, шешекейи куйылады,
1PE.1.25	Тек Раббий соьзи оьмирликте яшайды». А ол соьз – сизге билдирилген Ийги Хабар.
1PE.2.1	Соьйтип, сиз аьр туьрли яман ниетти, ялганды, экиюзликти, куьншиликти эм яла ягувды койынъыз.
1PE.2.2	Янъы тувган саьбийдей, таза суьтке усаган Алла Соьзине ымтылынъыз. Оны ман сиз, оьсип, куткарылувга етерсиз.
1PE.2.3	Неге десе сиз Раббийдинъ ийгилигининъ даьмин тарткансыз.
1PE.2.4	Сиз Раббийге – аьдемлер таслап, ама Алла сайлап алган асыл, тири таска – келгенде,
1PE.2.5	оьзинъиз де, Алладынъ рухы яшайтаган уьйин курар уьшин кулланган тири таслардай, болдынъыз. Соьйтип Иса Масих аркалы Аллады разы эткен курманлыкларды – рухынъыздынъ курманлыкларын
1PE.2.6	Неге десе Кие Язувда: «Мине, Мен сайлап алган асыл тасты – уьй муьйисиндеги бас тасын – Сионда салаятырман. Ога ким сенсе, сонынъ уьмити уьзилмес», – деп айтылган.
1PE.2.7	Соьйтип, бу тас сизге – Ога сенгенлерге – асыл тас; ама ынанмайтаганларга Ол, «уьй курувшылар яравсыз деп таслаган тасы, муьйистинъ негизин салган тасы», «суьринуьв тасы эм йыгылув каясы» болды.
1PE.2.8	Олар Алла соьзине тынъламаганлары уьшин таска суьринедилер; оларга алдыдан солай йоралган.
1PE.2.9	А сиз – Алла сайлаган ырувсыз, Патшанъыз Алладынъ дин куллыкшыларысыз, Ога багысланган миллетсиз, Ога байыр халксыз. Каранъалыктан Оьзининъ аьжейип ярыклыгына Шакырганнынъ мактавлы ислерин билдирер уьшин Алла сизди сайлаган.
1PE.2.10	Бир заманларда халк деп саналмаган эдинъиз, а энди Алладынъ халкы болдынъыз, бир заманларда Алла сизди языксынмаган эди, а энди языксынады.
1PE.2.11	Суьйикли кардашларым! Сизден ялбарып тилеймен, (бу дуныяда) ят аьдемлердей эм йолавшылардай, инсан кылыгынъыздынъ янынъызга карсылык беретаган яман куьсевлериннен эрекке тайынъыз.
1PE.2.12	Имансызлар арасында яшавынъызды намыслы тутынъыз; сол заман, олар сизди кыянатшыларсыз деп шуьшлеселер де, хайырлы ислеринъизди коьрип, Алла оларга ювыкласкан куьнде Оны данъклаяклар.
1PE.2.13	Аьдемлер туьзген аьр туьрли оькиметке Раббий уьшин бойсынувлы болынъыз. Баьрисине де басшылык этетаган императорга,
1PE.2.14	кыянатшыга оьким этер эм хайырлы ислерди этетаганды мактар уьшин, ол йиберген тоьрелерге бойсынынъыз.
1PE.2.15	Неге десе сондай Алладынъ ыхтыяры: сиз, хайырлы ислерди эте турып, акылсыз надан аьдемлердинъ авызларын тыймага керексиз.
1PE.2.16	Сиз, эркин аьдемлердей, эркинлигинъизди яманлыктынъ ябувы этпей, Алладынъ кулындай, яшанъыз.
1PE.2.17	Баьрисине де тийислише оьрмет этинъиз, иман кардашларынъызды суьйинъиз, Алладан коркынъыз, императорды сыйланъыз.
1PE.2.18	Куллар, оьз иелеринъизге толы оьрмет пен бойсынувлы болынъыз. Эм тек танъ эм сабыр болганларына тувыл, а суслыларына да.
1PE.2.19	Эгер бирев, Аллады аьр дайым эсинде тургыстып, шуьшсиз азапланувларга тоьзсе, сол Алладынъ разылыгын табар.
1PE.2.20	Эгер сизди куьна эткенинъиз уьшин соксалар эм сол затка шыдасанъыз, ога не мактав бар? Ама, хайырлы ислер эткенде азапланувга шыдасанъыз, сонда Алладынъ разылыгын табарсыз.
1PE.2.21	Сиз мине сонынъ уьшин шакырылгансынъыз, неге десе Масих те, Оьзининъ ызыннан бармага сизге уьлги калдырып, сиз уьшин азапланган.
1PE.2.22	«Ол эш бир куьналы зат этпеген эм соьзлеринде эш бир ялганлык болмаган», – деп язылган.
1PE.2.23	Ол корланганда, корлав соьзлер мен явапламаган; азаплана турып, Ол эш биревге де коркыныш тувдырмаган, ама исин аьдил оьким Этуьвшиге аманатлаган.
1PE.2.24	Бизди куьналарымыздан куткарып, туврашыл этип яшатар уьшин Ол куьналарымызды Оьзининъ тени мен дарагашка коьтерди. Онынъ яралары ман сиз де савартылдынъыз.
1PE.2.25	Сиз адасып юрген койлардай эдинъиз, ама энди янларынъыздынъ Басшысына
1PE.3.1+1PE.3.2	Соьйтип те сиз, хатынлар, оьз эрлеринъизге бойсынынъыз. Соны ман эрлеринъиздинъ арасында Алла соьзине ынанмаганлар оьрметли таза яшавынъызды коьрселер, сиз бир соьз де айтпаганлай, оларды тек бир турмысынъыз бан иманга туьсиреексинъиз.
1PE.3.3	Сизинъ ярасыклыгынъыз оьрилген шашларга, тагылган алтынга, ярасык кийимге таянган тыскы аьруьвлик болмасын.
1PE.3.4	Ол юрек туьбиндеги тыныш эм ювас янынъыздынъ йок болмаяк ярасыклыгы сизинъ аьруьвлигинъиз болсын. Алла муны бек баалы деп санайды.
1PE.3.5	Озган заманларда Аллага уьмит эткен, Ога багысланган хатынлар да, оьз эрлерине бойсынып, оьзлерин солай ярасыклаганлар.
1PE.3.6	Сара Ибрагимге тынълап, ога «Бийим» деп соьйлеген. Эгер дейим хайырлы ислерди этип, коркыстувларга берилмейтаган болсанъыз, сиз – Сарадынъ кызларысынъыз.
1PE.3.7	Соьйтип, эрлер, сиз де сезгир болып, хатынларынъызга карап яшанъыз. Шаркы ман сизден карувсыз болганларын эслеп, оларды оьрметленъиз, неге десе олар – яшав берекетининъ ортак асабалары. Эгер солай этсенъиз, дуваларынъызга эш бир зат та орав этпес.
1PE.3.8	Сонъына калганда баьринъиз де бир ойда турынъыз, бир биринъизге эс этинъиз, бир биринъизди кардаштай суьйинъиз, юмсак юрекли эм сабыр кылыклы болынъыз.
1PE.3.9	Яманлыкка яманлык пан, корланувга корлав ман тувыл, керисинше, разылык пан явап беринъиз, неге десе Алла сизди шакырганда Оьз разылыгын таптыраягына соьз берген.
1PE.3.10	(Кие Язувда айтылганша):
1PE.3.10	«Яшавга суьйинип,
1PE.3.10	Ийги куьнлер коьрмеге излеген
1PE.3.10	Тилин яманлыктан,
1PE.3.10	Авызын оьтириктен тыйсын.
1PE.3.11	Яманлыктан тайып, ийгилик этсин,
1PE.3.11	Тынышлык излеп, тынышлыкка ымтылсын.
1PE.3.12	Неге десе Раббий туврашыл аьдемлерге коьз салады,
1PE.3.12	Олардынъ дуваларына кулак асады,
1PE.3.12	Яманлык этуьвшилерге карсы турады».
1PE.3.13	Ийгилик этип шалысатаган болсанъыз, ким сизге яманлык этер?
1PE.3.14	Туврашылык уьшин азап шексенъиз де наьсиплисинъиз. Биревдинъ де коркыстувлары сизди уьркитпесинлер, тынышсызландырмасынлар.
1PE.3.15	Тек Масихти, Раббийимиз деп, юреклеринъизде сыйланъыз эм аьр дайым да сизден уьмитинъиздинъ маьнесин сорайтагаганларга явап бермеге аьзир болынъыз.
1PE.3.16	Ама юваслык эм оьрмет пен явап беринъиз. Юзинъиз таза болып турсын. Сол заманда Масихке берилген акыйкат турмысынъызды каралайтаганлар сизди шуьшлеген затларыннан уялаяклар.
1PE.3.17	Эгер Алладынъ ыхтыяры болса, яманлык уьшин кыйналувдан эсе ийгилик уьшин азапланув коьпке яхшы.
1PE.3.18	Масих, шуьшсиз болса да, куьналарымызды тазалап бизди Алладынъ алдына аькетеек болып, шуьшимиз уьшин азап шекти. Онынъ тени оьлимге берилди, ама Ол рухы ман тирилди.
1PE.3.19	Масих рухы аркалы мунынъ хабарын рухлары (ахыретте) тутнакта болган аьдемлерге де еткерген эди.
1PE.3.20	Бурынгы заманларда, Нух пайхамбар кемесин ясайтаган куьнлерде Алладынъ тоьзимлик пен саклавына карамай, сондайлар тынълавлы болмаганлар. Сол кемеде бек аз аьдемнинъ, туьзин айтсак, сегиз аьдемнинъ янлары сувлар арасыннан оьтип кутылдылар.
1PE.3.21	Бу – сизинъ сувда шомылдырылып тазаланувынъыздынъ баслапкы белгиси. Сув ман тазаланувынъыз – тенинъиздинъ кирден тазаланувы болмай, таза ниет пен яшамага Аллага ваьде беруьвинъиз болады эм Иса Масихтинъ тирилуьви аркалы энди де сизди куткарады.
1PE.3.22	Масих, коькке алынганнан сонъ, Алладынъ онъ янында турады. Ога маьлеклер де, аькимлер де, куьдиретлер де бойсынадылар.
1PE.4.1	Солай этип, Масих тени мен азап шеккенине коьре, сиз де сол ой ман беркимеге керексиз. Неге десе тени мен азап шеккен аьдем куьна этуьвди кояды.
1PE.4.2	Ол бу дуныядагы яшавынынъ калган куьнлерин баска аьдемлердинъ куьсеген затларына берилмей, Алла ыхтыяры бойынша яшайды.
1PE.4.3	Ынанмайтаганлардынъ суьйген затларын этип, аьдепсизликке, яман куьсевлерге, эсирикке, тийиссиз ойнаклавга, ишкишиликке эм, (Алладынъ) йорыкларын танымай, бутларга табынып яшаганынъызды койынъыз.
1PE.4.4	Энди олар ман бирге сондай тыювсыз каьхпеликке тез косылмаганынъызга сейирсинип, сизди яманлайдылар.
1PE.4.5	Олар тирилерге эм оьлилерге оьким шыгармага аьзир болган (Алладынъ) алдында явап бермеге керек болаяклар.
1PE.4.6	Оьлгенлер баска аьдемлердей тенлери мен оькимге берилселер де Алладынъ ыхтыяры аркалы рухлары ман яшар уьшин, Ийги Хабар оларга да билдирилди.
1PE.4.7	Аьр бир заттынъ ахыры ювыклайды. Сонынъ уьшин туьз акыллы, тилек-дува кылар уьшин уявлы болынъыз.
1PE.4.8	Энъ де кереклиси – бир биринъизди суьйип яныплы болынъиз. Неге десе суьйим коьп куьналарды курытады.
1PE.4.9	Бир биринъизге ынжынмай конакбайлык коьрсетинъиз,
1PE.4.10	Аьр ким де Алладан алган кайсы савгасын да, Алладынъ коьп туьрли шапагатын хайырга кулланган уьй юргистуьвшидей баскаларга кызмет кылып, куллансын.
1PE.4.11	Биринъиз (ямагатка) соьз айтканда, Алладынъ соьзиндей, айтсын; биринъиз кызмет кылганда, Алладынъ берген карувы ман кылсын. Соьйтип, Алла аьр затта да Иса Масих аркалы данъклансын. Оьмирлерге Ога данък эм куьдирет! Амин.
1PE.4.12	Азизлерим, сизди сынар уьшин йиберилген азап отына, сизге аькис ис болып йиберилгендей, сейирсинменъиз.
1PE.4.13	Керисинше, Масихтинъ азаплары ман боьлиспеге амалынъыз болганына суьйининъиз. Сол заманда, Онынъ данъкы ашылган вакытта, суьйинишинъиздинъ сонъы болмаяк.
1PE.4.14	Эгер дейим Масих уьшин сизге яман соьйлеселер, сиз наьсиплисинъиз, неге десе Алладынъ данъклы Рухы уьстинъизде.
1PE.4.15	Тек биревинъиз де аьдем оьлтирген, уры, бир баска кыянатшы, яде баскалардынъ ислерине карысувшы болып азапка туьспесин.
1PE.4.16	Ким болса да бирев масихши
1PE.4.17	Неге десе оьким басланмага заман келди эм ол Алладынъ аьелиннен басланаяк. Эгер биринши болып оьким бизге кесилеек болса, Алладынъ Ийги Хабарына бойсынмаганлардынъ ахыры кайдай болаяк?
1PE.4.18	(Язылгандай): «Эгер туврашылдынъ куткарылувы кыйын болса,
1PE.4.18	Алласыз эм куьналы ман не болар?»
1PE.4.19	Соннан себеп, Алла ыхтыяры ман азап шегетаганлар, хайырлы ислерди этип, янларын сенимли Яратувшыга аманатласынлар.
1PE.5.1	Мен оьзим – ямагат тамадасы, Масих азапларынынъ шааты эм Ол келгенде, ашылаяк данъктынъ катнасувшысы бола турып, аранъыздагы сакаманлардан ялбарып тилеймен:
1PE.5.2	Алла сизге тапшырган «кой суьруьвин» (иманлыларды) туьзетип, йол коьрсетинъиз. Муны оьзинъизди зорлангандай коьрмей, Алла излегендей суьйип этинъиз; оьзинъизге пайда излемей, юрек буйырыгы ман,
1PE.5.3	сизинъ каравынъызга тапшырылганларга аькимлик этпей, «суьруьвинъизге» уьлги болынъыз.
1PE.5.4	Суьруьвдинъ энъ уьйкен Басшысы келген заманда, сиз эш солымас данъклы тажын табарсыз.
1PE.5.5	Яслар, сиз де тамадаларга бойсынынъыз; баьринъиз де бир биринъизге сабыр кылыклы болып турынъыз, неге десе (язылган): «Алла оьктемлерге карсы турады, а ювасларга шапагатын коьрсетеди».
1PE.5.6	Соьйтип, Алладынъ куьдиретли колына бойсынып, бир биринъиз бен сабыр кылыклы ювас болынъыз.
1PE.5.7	Баьри кайгынъызды Аллага аманатланъыз, неге десе Ол сизинъ уьшин кайгырады.
1PE.5.8	Эсинъизди йоймай, уяв турынъыз, неге десе душпанынъыз ибилис, биревди ютпага оькирип излеген арсландай, юреди.
1PE.5.9	Дуныядынъ аьр еринде иман кардашларынъыз сондай азаплар шегетаганын билип, иманынъызга берк болып, ибилиске карсы турынъыз.
1PE.5.10	Оьзининъ дайымлык данъкына сизди Масих аркалы шакырган, аьр туьрли шапагаттынъ булагы Алла, бир кыска заманнынъ ишинде шеккен азапларынъыздан сонъ, сизди Оьзи беркитеек, куьшлендиреек, негизлендиреек.
1PE.5.11	Ога дайымлык данък эм куьдирет! Амин.
1PE.5.12	Сосы хатты мен сенимлиге санаган кардашым Силастынъ ярдамы ман сизге кыскаша яздым. Бу – Алладынъ акыйкат шапагаты деп шаатлык этемен. Сол шапагатка сенип турынъыз.
1PE.5.13	Бабылдагы сиздей болып сайланган (иман ямагаты) эм улым Марк сизге салам йибередилер.
1PE.5.14	Бир биринъизди оьбуьв мен саламланъыз. Масихке байыр болганлардынъ баьрисине тынышлык. Амин.
2PE.1.1	Иса Масихтинъ кулы эм элшиси Шимон Петерден, биз бен бирдей болып, Алламыз эм Куткарувшымыз Иса Масихтинъ туврашылыгы ман асыл иманды алганларга:
2PE.1.2	Аллады эм Раббийимиз Исады билуьвинъиз бен сизде шапагат эм тынышлык коьп болсын.
2PE.1.3	Оьз данъкы эм ийгилиги мен бизди Оьзине шакырган Алладынъ куьдиретиннен Оны билуьвимиз аркалы бизге яшамага эм Алла йолында бармага керегиннен аьр не зат та савгага берилген.
2PE.1.4	Онынъ данъкы эм ийгилиги мен бизге энъ уллы эм каьдирли ант соьзлери берилди. Сиз сол соьзлер аркалы бу дуныяды куьсевлер мен бийлеген бузыклыктан тайдырылып Алладынь талаплаган табиатына косылгансыз.
2PE.1.5	Сол себепли сиз, баьри куьшинъизди салып, алган иманынъызда ийгиликти коьрсетинъиз: ийгиликте – билимди;
