MAT.1.1	Yesu Kristo enye Abraham kple Fia David ƒe dzidzimevi, eƒe dzidzime lae nye esi.
ACT.20.36	Esi Paulo wu eƒe nuƒoa nu la, edze klo hedo gbe ɖa kpli wo. 
ACT.20.37	Le esia megbe la, wokpla asi kɔ nɛ hedo hedenyui nɛ kple avi, 
ACT.20.38	vevietɔ le esime wògblɔ na wo be womegale ye kpɔ ge akpɔ o la ta. Ale wokplɔe ɖo ɖa va se ɖe tɔdziʋua me ke.
ACT.21.1	Esi míeklã Efeso hanunɔlawo vɔ la míedze mɔ tẽ va ɖo Kos. Le ŋkeke evea gbe la, míeva ɖo Rode eye tso afi ma míeyi Patara. 
ACT.21.2	Le Patara la, míeɖo tɔdziʋu aɖe si nɔ Foenike si le Siria nutoa me yim. 
ACT.21.3	Míeto Kipro ƒukpo la ŋu le miame lɔƒo eye míeva ɖi go ɖe Tiro ʋudzeƒea le Siria. Ʋua ɖe agba le afi sia. 
ACT.21.4	Míawo hã míeɖi tsa yi dua me eye míedi xɔsetɔ siwo le afi ma la henɔ wo gbɔ kwasiɖa ɖeka. Gbɔgbɔ Kɔkɔe la ƒo nu to hame sia dzi ale wogbe na Paulo be megayi Yerusalem o. 
ACT.21.5	Ke esi míaƒe ɣeyiɣi de la míedzo eye míeyi miaƒe mɔzɔzɔ dzi. Hame blibo la, nusrɔ̃lawo kple wo srɔ̃wo kpakple wo viwo siaa va ɖo mi ɖa va se ɖe keke futa, afi si míedo gbe ɖa le. 
ACT.21.6	Míedo hedenyui na wo, ge ɖe tɔdziʋua me eye woawo hã trɔ yi aƒeme.
ACT.21.7	Tso Tiro míeva tɔ ɖe Pitolemia eye míenɔ afi ma hã ŋkeke ɖeka hesrã hame si le afi ma kpɔ. 
ACT.21.8	Tso afi ma míeyi Kaisarea eye míedze nyanyuigblɔla Filipo si nye hadzikpɔla gbãtɔ adreawo dometɔ ɖeka la gbɔ. 
ACT.21.9	Vinyɔnuvi ene siwo dometɔ aɖeke meɖe srɔ̃ haɖe o la nɔ esi. Mawu na nyagblɔɖi ƒe ŋusẽ wo dometɔ ɖe sia ɖe.
ACT.21.10	Míenɔ afi sia ŋkeke geɖewo eye le ɣeyiɣi sia me la, nyagblɔɖila aɖe si woyɔna be Agabu la tso Yudea nutome va kpɔ mí ɖa le Filipo gbɔ. 
ACT.21.11	Agabu tsɔ Paulo ƒe alidziblaka eye wòbla eya ŋutɔ ƒe asiwo kple afɔwo hegblɔ be, “Gbɔgbɔ Kɔkɔe la be, ‘Alea tututue Yudatɔwo awɔ ame si tɔe nye alidziblanu sia la le Yerusalem, eye woatsɔe ade asi na Romatɔwo.’ ” 
ACT.21.12	Esi míese nya sia la, mí Paulo ŋumewo kple dua me kristotɔwo katã, míeɖe kuku na Paulo be megayi Yerusalem la o.
ACT.21.13	Ke Paulo ɖo eŋu na mí be, “Midzudzɔ avifafa elabena miele dzi gbãm nam. Mele klalo be manɔ gaxɔ me le Yerusalem eye gawu la maku le nye Aƒetɔ Yesu ta.” 
ACT.21.14	Esi míekpɔe be Paulo ɖoe kplikpaa be yeayi Yerusalem la, míeɖe asi le nya la ŋu eye míetsɔe de asi na Mawu be wòawɔ eƒe lɔlɔ̃nu.
ACT.21.15	Le esia megbe la, míeƒo ƒu míaƒe agbawo eye míedze Yerusalem mɔ dzi. 
ACT.21.16	Nusrɔ̃la aɖewo tso Kaisarea kplɔ mí ɖo, eye míeva ɖo Yerusalem la, míedze xɔsetɔwo dometɔ ɖeka si ŋkɔe nye Mnason ame si nye xɔsetɔ xoxoawo dometɔ ɖeka si tso Kipro la ƒe aƒeme.
ACT.21.17	Esi míeɖo Yerusalem la Kristotɔ siwo le dua me la xɔ mí nyuie ŋutɔ.
ACT.21.18	Ke ŋkeke evea gbe la Paulo kplɔ mí ɖe asi eye míeyi ɖado gbe na Yakobo kple hamemegã bubuawo le Yerusalem ha la me. 
ACT.21.19	Esi míelɔ̃ gbe vɔ la, Paulo gblɔ ale si Mawu wɔ dɔ le Trɔ̃subɔlawo domee to eya Paulo ƒe dɔwɔwɔ me la na wo.
ACT.21.20	Hamemegãwo katã kpɔ dzidzɔ, kafu Mawu ke wogblɔ na Paulo be, “Yudatɔ geɖewo hã zu kristotɔwo gake woƒe ɖoɖoe nye be ele be Yudatɔ xɔsetɔ ɖe sia ɖe nagawɔ ɖe Yudatɔwo ƒe kɔnuwo dzi pɛpɛpɛ. 
ACT.21.21	Yudatɔ Kristotɔ siwo le Yerusalem afii la see be wò la, ètsi tre ɖe Mose ƒe sededewo kple mí Yudatɔwo ƒe kɔnuwo ŋu eye gawu la ègblɔ be, mele be woatso aʋa na wo viwo o. 
ACT.21.22	Ke fifia ɖe, ale ke míele nya sia lé gee? Godoo la woasee be èva ɖo dua me.
ACT.21.23	“Nu si míedi be nàwɔe nye si ame ene aɖewo le mía dome siwo le dzadzram ɖo be yewoalũ ta aɖe adzɔgbe le sea nu, 
ACT.21.24	eya ta míadi be wò hã nàkplɔ wo ɖo ayi gbedoxɔa me eye nàlũ ta. Hekpe ɖe esia ŋu la, nàxe fe ɖe ame ene siawo ƒe kɔnuwɔwɔ hã ta. Ne èwɔ esia la ekema ame sia ame adze sii be nya siwo yewose le ŋuwò la mele eme nenema o.
ACT.21.25	“Ke le Trɔ̃subɔla siwo trɔ zu kristotɔwo gome la, ame aɖeke mele gbɔgblɔm be woawo hã nawɔ ɖe Yudatɔwo ƒe kɔnuwo dzi o, negbe nu siwo míeŋlɔ ɖo ɖe wo xoxo be, woadzudzɔ nu siwo wotsɔ sa vɔe na trɔ̃wo la kple lã tsiʋumewo ɖuɖu eye womegawɔ matre o.”
ACT.21.26	Paulo lɔ̃ ɖe woƒe nya sia dzi eye wòdze ameawo yome woyi ɖawɔ kɔnuawo pɛpɛpɛ le gbedoxɔ la me, ale wòɖee fia ame sia ame be yele vɔsa wɔ ge le ŋkeke adrea gbe.
ACT.21.27	Ke esi wòsusɔ vie ŋkeke adrea nade la, Yudatɔ aɖewo tso Terki va Yerusalem eye wokpɔ Petro le gbedoxɔa me. Enumake wode ʋunyanya amewo me ɖe eŋu eye wolé Paulo henɔ ɣli dom ɖe eŋu be, 
ACT.21.28	“Israelviwo, mixɔ na mí loo! Ame siae tsi tre ɖe Yudatɔwo ŋu eye wònɔ gbɔgblɔm na amewo be womegawɔ ɖe Yudatɔwo ƒe sewo dzi o. Gawu la, edo vlo míaƒe gbedoxɔ la hã eye wòkplɔ Trɔ̃subɔlawo yi míaƒe gbedoxɔ mee be yeaɖi gbɔ̃ gbedoxɔ la. 
ACT.21.29	Wogblɔ esia elabena wokpɔ Paulo wònɔ zɔzɔm kple Trofimo si nye Trɔ̃subɔla aɖe tso Efeso le Terki la, le ablɔ dzi eya ta wosusu be Paulo kplɔe yi gbedoxɔa mee.”
ACT.21.30	Zitɔtɔ gã aɖe dzɔ le dua me le nya sia ta eye wolé Paulo, hee do goe le gbedoxɔa me hedo ʋɔa. 
ACT.21.31	Esi wobe yewoawui ko la, ame aɖe yi ɖagblɔ na Roma srafowo ƒe amegã be ʋunyaʋunya gã aɖe le edzi yim le Yerusalem dua me. 
ACT.21.32	Asrafomegã la ɖe eƒe asrafo aɖewo ɖo ɖa be woayi aɖatsi ʋunyaʋunya la nu. Esi amehawo kpɔ asrafoawo gbɔna ko la wodzudzɔ Paulo ƒoƒo. 
ACT.21.33	Asrafoawo ƒe amegã la na wolé Paulo eye woblae sesĩe kple gakɔsɔkɔsɔ. Azɔ etrɔ ɖe ameha la gbɔ eye wòbia wo ame si Paulo nye kple nu vɔ̃ si wòwɔ. 
ACT.21.34	Ame aɖeke mete ŋu na ŋuɖoɖo gobi aɖeke o elabena ame sia ame nɔ ɣli dom nɔ nya si dze eŋu la gblɔm. Le esia ta asrafowo ƒe amegã la ɖe gbe be woakplɔ Paulo yi ɖe asrafowo ƒe nɔƒee. 
ACT.21.35	Esi wova afi ma henɔ atrakpuiawo liam la ameha la galũ ɖe wo dzi kple adã. Esia na be asrafoawo kɔ Paulo ɖe abɔta be woƒe asi nagakae o. 
ACT.21.36	Ke hã ameawo nɔ ɣli dom le wo yome sesĩe be, “Miwui! Miwui!”
ACT.21.37	Esi wova ɖo gaxɔa ƒe mɔnu la, Paulo gblɔ na asrafoawo ƒe amegã le Helagbe me be, “Amegã, magblɔ nya aɖe na wò.” Ewɔ nuku na asrafoa ŋutɔ be Paulo gblɔ Helagbe ale wòbiae be, “Ɖe nèse Helagbea? 
ACT.21.38	Alo menye wòe nye Egiptetɔ ma si de zitɔtɔ amewo me abe ƒe ɖeka alo eve aɖewoe nye esi va yi ene eye nèkplɔ gbevuviwo abe akpe ene sɔŋ ene woyi ɖabe ɖe gbegbe aɖe oa?”
ACT.21.39	Paulo ɖo eŋu be, “Ao, nye la Yudatɔ menye tso Tarso le Kilikia nutome. Du sia nye du xɔŋkɔ aɖe. Meɖe kuku na wò ɖe mɔ nam maƒo nu na ameha la.”
ACT.21.40	Asrafowo ƒe amegã la lɔ̃ ɖe Paulo ƒe biabia la dzi ale Paulo tsi tre ɖe atrakpuia dzi hekɔ asi dzi na ameha la eye ɖoɖoe gã aɖe zi enumake. Azɔ eƒo nu na wo le Hebrigbe me be:
ACT.22.1	“Fofonyewo kple nɔvinyewo, to kukuɖeɖe me miɖo tom ne maɖe ɖokuinye nu ne miase.” 
ACT.22.2	Esi ameawo se be enɔ Hebrigbe gblɔm la, wogazi ɖoɖoe ɖe edzi wu tsã. 
ACT.22.3	Paulo yi edzi be, “Yuda vidzidzi ŋutɔŋutɔe menye tso Tarso le Kililkia nutome. Ke Yerusalem afi siae mede suku le, eye nye nufialae nye Gamaliel, ame si hem be mawɔ ɖe Yudatɔwo ƒe sewo kple kɔnuwo dzi pɛpɛpɛ abe ale si dze ene. Enye nye didi vevi ɣemaɣi be made bubu Mawu ŋu le nu sia nu si mawɔ la me abe ale si miawo hã miele ewɔm fifia ene. 
ACT.22.4	Meti kristotɔwo yome. Mewɔ funyafunya wo, wu wo, lé ŋutsuwo kple nyɔnuwo siaa de gaxɔ me. 
ACT.22.5	Yudatɔwo ƒe Osɔfogã alo Dumemegã ɖe sia ɖe ate ŋu aɖi ɖase na mi le nya siawo ŋu, elabe mexɔ agbalẽ tɔxɛ tso wo gbɔ le Yerusalem si na ŋusẽm be mayi Yudatɔwo ƒe amegãwo gbɔ le Damasko eye woakpe ɖe ŋunye be malé Kristotɔ siwo katã le dua me la, akplɔ wo va Yerusalem be woahe to na wo.”
ACT.22.6	“Ke esime wòsusɔ vie maɖo Damasko dua me, le ŋdɔ ga wuieve me lɔƒo la, keklẽ gã aɖe tso dziƒo klẽ ƒo xlãm. 
ACT.22.7	Ale medze anyi. Enumake mese ame aɖe ƒe gbe be, ‘Saul, Saul, nu ka tae nèle yonyeme tim ale mahã?’
ACT.22.8	“Mebia be, ‘Meɖe kuku, wò ame kae le nu ƒom nam?’ Gbea ɖo eŋu be, ‘Nyee nye Yesu, Nazaretitɔ, ame si yome tim nèle.’ 
ACT.22.9	Ame siwo nɔ ŋunye la se nuƒoa pɛpɛpɛ gake womese nu si wògblɔ la gɔmee o.
ACT.22.10	“Meyi edzi gabiae be, ‘Aƒetɔ nu ka mawɔ?’
ACT.22.10	“Aƒetɔ la gblɔ nam be, ‘Tso nàyi Damasko dua me eye ame aɖe agblɔ nu siwo wɔ ge nèle le ƒe siwo gbɔna me la na wo.’
ACT.22.11	“Ke esi metso le anyigba la mede dzesii be nyemegate ŋu nɔ nu kpɔm o le kekeli gã ma ta; eya ta ame siwo le ŋunye la, lém ɖɔɖɔɖɔ hekplɔm yi Damasko. 
ACT.22.12	Le afi ma la, ŋutsu aɖe si ƒe ŋkɔe nye Anania la va gbɔnye. Anania nye Yudatɔ, ame si mefena kple Yudatɔwo ƒe sewo o, ale Yudatɔ siwo katã le Damasko la tsɔ bubu tɔxɛ nɛ. 
ACT.22.13	Ame sia va tsi tre ɖe gbɔnye eye wògblɔ nam be, ‘Nɔvinye Saul, ʋu ŋku nàkpɔ nu!’ Enumake nye ŋkuwo ʋu eye megakpɔ nu.
ACT.22.14	“Anania yi edzi gblɔ nam be, ‘Mía tɔgbuiwo ƒe Mawu la tia wò be nànya nu si nye eƒe lɔlɔ̃nu, ase eƒe gbe eye nàkpɔ Dzɔdzɔetɔ la, ase eƒe nuƒo hã. 
ACT.22.15	Hekpe ɖe esia ŋu la ele be nàtsɔ eƒe nyanyui la ayi xexeame ƒe afi sia afi eye nàgblɔ nu siwo nèkpɔ kple nu siwo nèse la hã fia amewo. 
ACT.22.16	Azɔ ɣeyiɣigbegblẽ aɖeke megali o. Ɖe ko woade mawutsi ta na wò, aklɔ wò nu vɔ̃wo ɖa le Aƒetɔ la ƒe ŋkɔ me.’
ACT.22.17	“Metrɔ va Yerusalem eye gbe ɖeka esi menɔ gbe dom ɖa le gbedoxɔ la me la, mekpɔ ŋutega aɖe 
ACT.22.18	eye Mawu gblɔ nam be, ‘Wɔ kaba nàdzo le Yerusalem elabena ne ègblɔ nye nya na amewo la womaxɔe se o.’
ACT.22.19	“Ke meɖo eŋu be, ‘O, Aƒetɔ, ame siawo nya nyuie be ame siwo katã xɔ wò ŋkɔ dzi se la, meléa wo tso ƒuƒoƒe yi ƒuƒoƒe, ƒoa wo eye medea wo gaxɔ me. 
ACT.22.20	Gawu la esime wonɔ wò dɔla Stefano wum la, nye ŋutɔ meda asi ɖe edzi. Menɔ afi ma eye mexɔ ame siwo nɔ ewum la ƒe awuwo lé ɖe asi na wo esime wonɔ kpe ƒumii.’
ACT.22.21	“Gake Mawu gblɔ nam be madzo le dua me godoo elabena yeaɖom ɖe kekeke Trɔ̃subɔlawo gbɔ be magblɔ nya na wo.”
ACT.22.22	Esi wògblɔ nya sia ko la, ameha la ganyra kple ɣli bobobo be, “Mikplɔ ame ma ƒomevi dzoe! Miyi ɖawui! Medze be wòanɔ agbe o!” 
ACT.22.23	Ale woda woƒe awuwo ɖe ya me eye wolɔ ke hlẽ ɖe yame dzikutɔe.
ACT.22.24	Ale asrafowo ƒe amegã ɖe gbe be woakplɔ Paulo yi xɔa mee, aƒoe kple atam va se ɖe esime wòato nyateƒe be, yenya nu si tututu ta ameha la do dziku ɖe ye ŋu nenema ɖo.
ACT.22.25	Esime wonɔ Paulo blam be yewoaƒoe la, ebia asrafoawo ƒe nunɔla aɖe si nɔ tsitre ɖe egbɔ be, “Ele se nu be miaƒo Romatɔ le esime womedrɔ̃ ʋɔnui oa?”
ACT.22.26	Asrafo sia yi eƒe amegã gbɔ enumake ɖagblɔ nɛ be, “Amegã, nu kae nye esia nèbe yeawɔ? Mènya be ame sia la Romatɔ wònye hafi nèbe woaƒoe oa?”
ACT.22.27	Asrafowo ƒe amegã la ɖe abla va Paulo gbɔ hebiae be, “Ŋutsu, Romatɔe nènye vavã?”
ACT.22.27	Paulo ɖo eŋu be, “Ẽ, Romatɔe menye.”
ACT.22.28	Asrafowo ƒe amegã la hã gagblɔ nɛ be, “Nye hã Romatɔe menye gake ga home gbogbo aɖee mena hafi te ŋu zui.”
ACT.22.28	Ke Paulo gblɔ nɛ be, “Nye ya Roma vidzidzie menye.”
ACT.22.29	Nya sia na be vɔvɔ̃ ɖo asrafowo ƒe amegã la le esi wòɖe gbe be woaƒo Paulo ta. Asrafo siwo nɔ dzadzram ɖo ɖe eƒoƒo ŋu la katã bu le afi ma enumake esi wose be Romatɔe wònye.
ACT.22.30	Le ŋkeke evea gbe la, asrafowo ƒe amegã la ɖe Paulo le gaxɔ me eye wòyɔ Osɔfogãwo kple Yudatɔwo ƒe amegãwo ƒo fui. Azɔ ekplɔ Paulo va wo ŋkume be yease nu si tututue le tɔtɔ sia hem vɛ la gɔme.
ACT.23.1	Paulo lĩ ŋku ɖe takpekpea dzi gãa eye wòƒo nu gblɔ be, “Nɔviwo, nye dzitsinya ka ɖe edzi nam, be nye agbenɔnɔ dzea Mawu ŋu ɣesiaɣi.”
ACT.23.2	Esi wòɖe nu le nya sia me tete ko la, Osɔfogã Anania ɖe gbe be ame siwo le Paulo gbɔ lɔƒo la naƒo nugbɔ nɛ. Ale woƒoe nɛ.
ACT.23.3	Paulo gblɔ nɛ be, “Mawu aƒo wò hã, wò ame si le abe gli si wosi akalo na ene. Ènɔ zi dzi be nadrɔ̃ ʋɔnum ɖe se la nu, ke wò ŋutɔ nèda sea dzi, ɖe gbe be woaƒo alɔgbɔ nam!”
ACT.23.4	Ame siwo nɔ tsitre ɖe Paulo gbɔ la do ɣli ɖe eta be, “Mɔ kae nèkpɔ ne nànɔ Mawu ƒe Osɔfogã la dzum alea?”
ACT.23.5	Paulo ɖo eŋu be, “Tɔnye medzɔ o, nɔviwo, nyemenya be eyae nye Osɔfogã la o, elabena mawunya gblɔe be, ‘Mègagblɔ nya vɔ̃ aɖeke ɖe wò kplɔlawo ŋu o.’ ”
ACT.23.6	Enumake susu aɖe va tame na Paulo. Ekpɔe dze sii be takpekpea me valawo ƒe akpa aɖe nye Zadukitɔwo eye ɖe hã nye Farisitɔwo. Eya ta edo ɣli gblɔ bena, “Nɔvinyewo, Farisitɔ menye abe tɔgbuinyewo ke ene, eye nu si ta wohem va ʋɔnui egbe lae nye be nye hã mexɔe se abe miawo ke ene be ame siwo ku la agafɔ tso ku me.” 
ACT.23.7	Esi wògblɔ esia ko la ʋiʋli ge ɖe Farisitɔwo kple Zadukitɔwo dome eye takpekpea ma ɖe akpa eve, 
ACT.23.8	elabena Zadikitɔwo gblɔna be tsitretsitsi tso ame kukuwo dome meli o, eye mawudɔlawo kple gbɔgbɔwo meli o, ke Faristɔwo xɔ nu siawo dzi se be woli.
ACT.23.9	Nu sia he tɔtɔ gã aɖe vɛ eye Yudatɔwo ƒe agbalẽfiala aɖewo tsi tre hedo ɣli be yewomekpɔ be naneke gblẽ le Paulo ŋu o, ke boŋ ɖewohĩ mawudɔla alo gbɔgbɔ aɖee ƒo nu nɛ le Damasko mɔ dzi.
ACT.23.10	Howɔwɔa va de dzi blibo eye ameawo nɔ Paulo hem tso afii yi afi. Mlɔeba la, asrafoawo ƒe amegã ɖe gbe na eƒe asrafowo be woakplɔ Paulo adzoe sesẽtɔe le wo gbɔ ne menye nenema o la woava vuvui, ale wokplɔe gayi ɖe gaxɔa mee le asrafowo ƒe nɔƒe.
ACT.23.11	Le zã me la, Aƒetɔ la va Paulo gbɔ va gblɔ nɛ be, “Paulo, dzi megaɖe le ƒowò o, elabena abe ale si nèɖi ɖase le ŋunye le Yerusalem ene la, nenema kee nèle ɖase ɖi ge le ŋunye le Roma hã.”
ACT.23.12	Esi ŋu ke la Yudatɔ aɖewo ƒo ƒu eye woka atam na wo ɖokuiwo be ne yewomewu Paulo o kpaa, yewomaɖu nu alo ano tsi o. 
ACT.23.13	Ŋutsu siwo ɖo vɔ̃ sia la sɔ gbɔ wu ame blaene. 
ACT.23.14	Woyi Osɔfogãwo kple dumemegãwo gbɔ hegblɔ woƒe ɖoɖoa na wo. 
ACT.23.15	Wogblɔ na wo be, “Migawɔ abe ɖe miedi be yewoagabia gbe Paulo ene ale be miabia asrafowo ƒe amegã ne wòakplɔe va takpekpe gã la mee abe nyitsɔ ene. Míawo la míabe ɖe mɔa dzi eye ne wokplɔ Paulo gbɔnea la, míadzo adze edzi awui.”
ACT.23.16	Ke Paulo ƒe nyruiyɔvi aɖe se woƒe ɖoɖo sia ale wòɖe abla yi ɖagblɔe na Paulo.
ACT.23.17	Paulo yɔ asrafowo dometɔ ɖeka eye wòbia tso esi be wòakplɔ ɖekakpuia yi asrafoawo ƒe amegã gbɔe elabe nya aɖe le esi wòdi be yeagblɔ nɛ. 
ACT.23.18	Asrafoa kplɔ ɖekakpuia yii abe ale si Paulo gblɔ nɛ ene.
ACT.23.19	Asrafomegã la kplɔ ɖekakpui la ɖe kpɔe hebia gbee be, “Nye kae nèdi be yeagblɔ nam?”
ACT.23.20	Paulo ƒe nyruiyɔvi la gblɔ nɛ be, “Etsɔ la, Yudatɔwo aɖo ame ɖe gbɔwò be nàkplɔ Paulo va yewoƒe takpekpe gã la ŋkumee kple susu be yewoagabia gbee. 
ACT.23.21	Gake mègawɔe o, elabena Yudatɔ blaene aɣla wo ɖokuiwo ɖe mɔa dzi be ne Paulo va yina la, yewoalée awu. Woka atam na wo ɖokuiwo be ne Paulo meku o la, yewomaɖu nu alo ano tsi hã o, eya ta wobe ɖe mɔa dzi fifi laa hã xoxo.”
ACT.23.22	Asrafowo ƒe amegã la gblɔ na ɖekakpuia be, “Mègana ame aɖeke nanya be èva gblɔ nya sia nam o.” Emegbe la edzo.
ACT.23.23	Enumake asrafomegã la yɔ etevi eve eye wògblɔ na wo be, “Midzra ɖo miadze Kaesarea mɔ dzi egbe zã ga asieke me. 
ACT.23.24	Miƒo asrafo tutsɔla alafa eve, akplɔtsɔla alafa eve kple sɔdola blaadre nu ƒu, eye midi sɔ na Paulo wòado ale be miakpɔe ayi ɖade asi na Gɔvinagã Felike dedie.”
ACT.23.25	Eŋlɔ agbalẽ kpe ɖe eŋu ale. 
ACT.23.26	Klaudio Lisia Na Bubutɔ, Gɔvinagã Felike Xɔ gbedoname nyui sia.
ACT.23.27	Gbe ɖeka la Yudatɔwo lé ŋutsu sia eye wonɔ eƒom be yewoawui, ke esi mesee be Romatɔ wònye la, meɖo asrafowo ɖa woyi ɖaxɔe le wo si. 
ACT.23.28	Emegbe la mekplɔe yi Yudatɔwo ƒe takpekpe gã la me be mase nu si tututu wòwɔ tae wolée ɖo. 
ACT.23.29	Le woƒe nyamedzodzrowo me la, mekpɔe be menye nya gobi aɖekee wotsɔ ɖe eŋu o, ke boŋ nya siwo ku ɖe Yudatɔwo ƒe xɔse kple kɔnuwo ŋu la koe, eye medze be woawui alo adee gaxɔ me kura gɔ̃ hã ɖe nya siawo ƒomevi ta o. 
ACT.23.30	Ke, le esime mesee be Yudatɔwo ganɔ ɖoɖo wɔm le bebeme be yewoawui ta la, meɖoe be makplɔe ɖo ɖe wò eye magblɔ na eƒe futɔwo hã be woava gbɔwò ne nàdrɔ̃ nya la na wo.
ACT.23.31	Ale, le zã ma me la asrafoawo kplɔ Paulo yi va ɖo Antipatre. 
ACT.23.32	Esi ŋu ke la wotsɔe de asi na sɔdzisrafoawo be woakplɔe ayi Kaisarea, ke afɔzɔlawo ya gatrɔ va woƒe nɔƒe. 
ACT.23.33	Esi wova ɖo Kaisarea la, wotsɔ Paulo de asi na Gɔvinagã la eye wotsɔ agbalẽ si Lisia ŋlɔ de wo si la hã nɛ. 
ACT.23.34	Esi Mɔmefiagã la xlẽ agbalẽa vɔ la, ebia Paulo du si me tɔ wònye, eye Paulo ɖo eŋu be, “Metso Kilikia.”
ACT.23.35	Azɔ Gɔvinagã la gblɔ nɛ be, “Maɖo to wò nyawo katã nenye be nuwòtsolawo va ɖo.” Ale wòɖe gbe be woaɖatui ɖe gaxɔ me le fia Herodes ƒe fiasã me.
ACT.24.1	Le ŋkeke etɔ̃a gbe la, Osɔfogã Anania kple eŋumewo yi Kaisarea be yewoatsɔ nya ɖe Paulo ŋu. Ame siwo nɔ Anania ŋu woe nye Yudatɔwo ƒe kplɔla aɖewo kple senyala Tertulo. 
ACT.24.2	Esi mɔmefia la bia gbe wo la, Tertulo ƒo nu ɖe wo nu gblɔ be,
ACT.24.2	“Amegã bubutɔ Felike, le wò kpɔkplɔ nyui la te la, mí Yudatɔwo míekpɔ tomefafa kple bubu eye amewo megakpɔa mí abe nu tsɛ aɖewo ko ene o. 
ACT.24.3	Míele akpe manyagblɔ aɖe dam na wò tso míaƒe dzime ke le esia ta. 
ACT.24.4	Nyemedi be magblẽ ɣeyiɣi na wò boo o eya ta mayi nye nya dzi agblɔe kpuie ko. 
ACT.24.5	Ame si wokplɔ va gbɔwòe la, ame vɔ̃ɖi aɖe ŋutɔe wònye. Eƒe dɔ koe nye be wòanɔ ʋunyaʋunya dem Yudatɔwo dome le xexeame katã godoo be woatsi tre ɖe Roma dziɖuɖua ŋu anɔ woƒe sewo kple kɔnuwo dzi dam. Eya koe nye habɔbɔ si woyɔna be Nazaretitɔwo la ƒe kplɔla ɖeka.
ACT.24.6	“Nu si gavlo wu lae nye be, edi be yeado vlo míaƒe gbedoxɔ la hafi míeva do ɖe edzi helée. 
ACT.24.7	Ɖe míebe míawɔ fui abe ale si dze ene hafi asrafowo ƒe amegã, Lisia, va xɔe le mía si sesẽtɔe ale be woadrɔ̃ ʋɔnui le Roma se la nu. 
ACT.24.8	Ne wò ŋutɔ èse eƒe numegbe ko la, ekema míaƒe nya me akɔ na wò.”
ACT.24.9	Yudatɔ mamlɛawo xɔ ɖe Tertulo ƒe nyawo dzi be wole eme tututu abe ale si wògblɔe ene.
ACT.24.10	Azɔ eɖo Paulo hã dzi be wòaɖe eɖokui nu. Mɔmefiagã la wɔ asi nɛ be wòatso aƒo nu.
ACT.24.10	Paulo ɖe eɖokui nu gblɔ be, “Amegã bubutɔ, menya be menye egbee nèle Yudatɔwo ƒe nyawo drɔ̃m o. Le esia ta dzideƒo le asinye be maɖe ɖokuinye nu le gbɔwò. 
ACT.24.11	Anɔ abe ŋkeke wuieve koe nye esi ene, meva ɖo Yerusalem be mawɔ subɔsubɔdɔ le gbedoxɔ me. 
ACT.24.12	Ame siwo le nunye tsom le mekpɔm menɔ nya hem kple ame aɖeke le gbedoxɔme alo de zitɔtɔ ameha aɖewo dome le ƒuƒoƒe aɖeke alo le dua ƒe akpa aɖeke o. 
ACT.24.13	Le nya si wotsɔ ɖe nufiafia la hã me la, womate ŋu aɖee afia be enye nyateƒe o.
ACT.24.14	“Ke hã la, melɔ̃ ɖe edzi be mesubɔa mía fofowo ƒe Mawu la abe ame si le mɔ la dzi ene, esi amewo yɔna be kɔmama. Mexɔ nu sia nu si sɔ kple se la kple nu siwo woŋlɔ de nyagblɔdigbalẽawo me la dzi se. 
ACT.24.15	Mexɔe se hã abe ame siawo ke ene be nu vɔ̃ wɔlawo kple ame dzɔdzɔewo siaa afɔ tso ku me. 
ACT.24.16	Eye le esia ta la, medze agbagba wɔa nye ŋusẽ katã ŋutidɔ be nye agbenɔnɔ nadze Mawu kple amegbetɔwo ŋu.”
ACT.24.17	Paulo yi eƒe nuƒoa dzi be, “Menɔ gbedzi ƒe geɖe eye metro va Yerusalem, hetsɔ ga ɖe asi be mava kpe ɖe Yudatɔwo ŋu eye masa vɔ na Mawu hã. 
ACT.24.18	Nye futɔ siawo va ke ɖe ŋunye le gbedoxɔa me, melũ ta pɛpɛpɛ abe ale si wòle seawo nu ene, eye menɔ nye nunana ƒe vɔsa wɔm. Ʋunyaʋunya aɖeke menɔ afi ma kura o. 
ACT.24.19	Ke dzɔgbevɔ̃etɔe la, Yudatɔ aɖewo, ame siwo tso Terki, ame siwo wòle be woanɔ afi sia hafi hã nɔ afi ma ɣemaɣi. 
ACT.24.20	Bia ame siawo le afi sia fifia ŋutɔ se be esi wokplɔm yi Yudatɔwo ƒe takpekpe gã la me ɖe vodada kae wokpɔ le ŋunye mahã. Nu si megblɔ si ɖewohĩ 
ACT.24.21	medze be magblɔ hafi o koe enye be ‘Nu si ta wokplɔm va mia dome le takpekpe gã sia mee nye be mexɔe se be ame siwo katã ku la agafɔ ɖe tsitre tso ku me!’ ”
ACT.24.22	Felike nyae nyuie be kristotɔwo mewɔa ʋunyaʋunya o. Le esia ta egblɔ na Yudatɔwo be woalala va se ɖe esime asrafowo ƒe amegã, Lisia, nava hafi yeatso nya la me. 
ACT.24.23	Ede se be woakplɔ Paulo ayi gaxɔa me gake woakpɔ edzi nyuie. Woaɖe mɔ faa be exɔlɔ̃wo nava kpɔe ɖa eye woate ŋu atsɔ nunanawo vɛ nɛ faa, be eƒe dzi nadze eme.
