GEN.1.1	Le gɔmedzedzea me Mawu wɔ dziƒo kple anyigba. 
ISA.27.3	Nye Yehowa manye eŋu dzɔla, eye made tsii ɣesiaɣi, be naneke magawɔe o; madzɔ eŋu zã kple keli. 
ISA.27.4	Dzi mele kuyem o; ne makpɔ aŋɔkawo kple ŋuwò la, maho aʋa ɖe wo ŋu atɔ dzo wo katã; 
ISA.27.5	negbe ɖeko woava sim atso, eye woawɔ ŋutifafa kplim hafi, ŋutifafa ko woawɔ kplim hafi! 
ISA.27.6	Le ŋkeke, siwo gbɔna me la, Yakob ato ke, Israel adze, eye wòaƒo se, eye eƒe kutsetse ayɔ xexeame taŋ.
ISA.27.7	Ɖe wòƒo Israel, abe alesi wòƒo eƒolawo enea? Alo ɖe wòwui, abe alesi wowu ewulawo enea? 
ISA.27.8	Esi nènyã wo ɖa la, mèhe to na wo wòtso eme o; etsɔ wò ya ʋuɖuʋudu kplɔ wo ɖae le gbesigbe ɣedzeƒeya ƒo. 
ISA.27.9	Eyata alea ko woawɔ hafi atsɔ Yakob ƒe vodadawo akee, eye esia katã anye eƒe nuvowo ɖeɖeɖa ƒe kutsetse: be wòƒo vɔsamlekpui ƒe kpewo katã abe akalokpe gbagbã ene, eye Asera kple ɣelegbawo maganɔ anyi o. 
ISA.27.10	Elabena du sesẽ la tsi akogo, amenɔƒe ɖi aƒedo, eye wogblẽe ɖi abe gbegbe ene. Nyiviwo aɖu gbe le afima, woa-tsyo akɔ anyi ɖe afima, eye woaɖu eƒe alɔwo. 
ISA.27.11	Ne woƒe alɔwo ƒu la, woaŋe wo, nyɔnuwo ava ade dzo wo me; elabena dukɔ manyanu wonye. Eyata wo wɔla makpɔ nublanui na wo o, eye wo mèla mave wo nu o. 
ISA.27.12	Eye ava me le ɣemaɣi be, Yehowa atsa ali aƒo luwo tso tɔsisi la nu vaseɖe Egipte-tɔʋu la nu, eye woata mi ɖekaɖeka, mi Israel-viwo. 
ISA.27.13	Eye woava me be, woaku kpẽ gã la, eye amesiwo bu ɖe Asur-nyigba dzi kple amesiwo wonyã de gbe ɖe Egipte-nyigba dzi la, ava ado gbe ɖa le Yehowa ŋku me le to kokoe la dzi le Yerusalem.
ISA.28.1	Baba na Efrayim-hamulawo ƒe dàdafiakuku kple eƒe atsyɔ̃ ƒe seƒoƒo dzeani yɔyrɔ, si le weinmulawo ƒe bali wɔnu ta me! 
ISA.28.2	Kpɔ ɖa, nu sesẽ kako atso Aƒetɔ ta gbɔ ava abe dzikpe ƒe dzadza kple ahom gblẽnu ene; aƒoe aƒu anyi kple ŋusẽ, abe tsiɖɔɖɔ sesẽ ƒe gbagba ɖe anyi ene. 
ISA.28.3	Woafanya Efrayim-hamulawo ƒe dàdafiakuku kple alo; 
ISA.28.4	eye woava me na eƒe atsyɔ̃ ƒe seƒoƒo dzeani yɔyrɔ, si le bali wɔnu ta me la, abe gbotsetse, si ɖi, hafi dzomeŋɔli ɖo, esi, ne amea ɖe kpɔe la, mekpɔa ɖoa asi me hafi wòminɛ o la ene. 
ISA.28.5	Le ɣemaɣi la Yehowa Zebaot anye atsyɔ̃kuku kple ŋgoblanu dzeani na eƒe dukɔ susɔea; 
ISA.28.6	anye ʋɔnudɔdrɔ̃gbɔgbɔ na amesi le ʋɔnudɔdrɔ̃ nu kple ŋusẽ na amesiwo gbugbɔ aʋa ɖo ɖe agbo nu.
ISA.28.7	Ke wein le ya mum amesiawo hã, eye aha muame na wole yiyim sagãsagã. Aha muame le ya mum nunɔla kple nyagblɔɖila, wein toto ta me na wo, eye aha muame na wole yiyim sagãsagã; wole ya mum le nyagblɔɖi gbɔ, eye wole yiyim sagãsagã le afiatsotso gbɔ. 
ISA.28.8	Elabena xeɖeɖe ya kplɔ̃wo katã dzi fũ, ale be teƒea ɖeke megali o. 
ISA.28.9	Ameka wòafia sidzedzee, eye ameka wòaɖe nya gome na? Ɖevi, si dzudzɔ notsi, kple ɖevi, si ɖi le noea? 
ISA.28.10	Se ɖe se dzi, se ɖe se dzi, ɖoɖo ɖe ɖoɖo dzi, ɖoɖo ɖe ɖoɖo dzi, afi ʋee, game ʋee. 
ISA.28.11	Eyata atsa miyi, si kɔkɔna, kple aɖe tutɔ aƒo nu kple dukɔ sia! 
ISA.28.12	Egblɔ na wo be: Dzudzɔ enye si, mina dzudzɔ amesiwo ŋu ɖeɖi te, eye gbɔɖeme enye si! Ke wogbe toɖoɖo. 
ISA.28.13	Eyata Yehowa ƒe nya ava me ɖe wo ŋu be. Se ɖe se dzi, se ɖe se dzi, ɖoɖo ɖe ɖoɖo dzi, ɖoɖo ɖe ɖoɖo dzi, afi ʋee, game ʋee, ne woazɔ ahate gbugbɔɖemegbee adze anyi, eye woagbã gudugudu, mɔ̃ aɖe wo, eye asi atu wo. 
ISA.28.14	Eyata mi fewuɖulawo, dukɔ sia, si le Yerusalem la ƒe dziɖulawo, mise Yehowa ƒe gbe: 
ISA.28.15	Elabena miegblɔ be: Míebla nu kple ku, eye mie ɖu dzo kple tsieƒe. Atam, si le nyènyem le yiyim la, mava mía gbɔ o, elabena míetsɔ aʋatso wɔ míaƒe sitsoƒee, eye míebe de alakpa gbɔ.
ISA.28.16	Eyata ale Aƒetɔ Yehowa gblɔ esi: Kpɔ ɖa, meɖo kpea ɖe anyi ɖe Zion, kpe, si wodo kpɔ, dzògoekpe xɔasi, si li ke zã. Amesi xɔe se la, masi o. 
ISA.28.17	Matsɔ ʋɔnudɔdrɔ̃ awɔ dzidzekae, eye dzɔdzɔenyenye anye nudanu; dzikpe atsrɔ̃ aʋatsositsoƒe la, eye tsi akplɔ bebeƒe la adzoe; 
ISA.28.18	woagblẽ mia kple ku ƒe nubabla la me, eye mía kple tsieƒe ƒe dzoɖuɖu la mali ke o. Atam, si le nyenyem le yiyim la, agba mi gudugudu. 
ISA.28.19	Ne eva le yiyim la, eƒe asi axe mi kã, elabena ava yi ŋdi sia ŋdi, le ŋkeke kple zã me, eye ŋɔdzi ɖeɖe sɔŋ aɖe nya gome na mi. 
ISA.28.20	Elabena aba ana kpute, be afɔdadra mana anyi o, eye avɔ makeke, be woaxatsa ame ɖokui ɖe eme o. 
ISA.28.21	Elabena Yehowa akɔ eɖokui ɖe dzi abe le Perazim-to la gbɔ ene, eye wòanyrã abe le Gibeon-bali me ene, ne woawo eƒe do, do tutɔ enye eƒe do la, ne woawo eƒe nuwɔwɔ, nuku enye eƒe nuwɔwɔ. 
ISA.28.22	Eyata miganɔ fewu ɖum, ne miaƒe babla nadzi goŋgoŋ o; elabena wotsrɔ̃ kple tameɖoɖo kplikpaa mese tso Aƒetɔ, Yehowa Zebaot gbɔ ɖe anyigba blibo la ŋu.
ISA.28.23	Miƒu to anyi, ne miase nye gbe, miɖo ŋku anyi, ne miase nye nuƒoƒo. 
ISA.28.24	Ɖe agbleŋlɔla nɔa nuŋɔŋlɔ dzi atraɖi, ne wòaƒã nua? De wòdzraa anyigba ɖo hedzobonɛ atraɖia? 
ISA.28.25	Alo ne edzobo eme la, ɖe mewua sikɔni kple adrike ɖi, eƒãa lu ɖe agbaka nu kple ƒo ɖe enɔƒe kpakple bli ɖe boliƒo dzi oa? 
ISA.28.26	Eƒe Mawu fia mɔnui ɖe kɔnu la nu, eye wòfiã nui. 
ISA.28.27	Elabena menye luƒotasiaɖam wotsɔna ƒoa sikɔni o, eye womemlia tasiaɖamfɔ toa adrike dzi o, ke boŋ kpo wotsɔna ƒoa sikɔni, eye ati wotsɔna ƒoa adrike. 
ISA.28.28	Ɖe wogbãa lu, si woƒoa aboloe la nyanyanyaa? Womeƒonɛ atraɖi o, wohea tasiaɖamfɔ kple sɔwo toa edzii, ke womegbãnɛ nyanyanya o. 
ISA.28.29	Esia hã tso Yehowa Zebaot gbɔ. Eƒe adaŋudede enye nuku, eye eƒe nunya lolo.
ISA.29.1	Baba na Ariel, Ariel-du, si me Dawid ƒu asaɖa anyi ɖo! Ne míekpe ƒe ɖe ƒe ŋu, eye ŋkeke nyui wo tre va kpe la, 
ISA.29.2	ekema maxaxa Ariel ɖo, konyifafa kple nuxaxa ayɔe, eye woazu Ariel vavã nam. 
ISA.29.3	Maƒu asaɖa anyi ɖe ŋuwò godoo, mana aʋakɔwo namimi wò ɖo, eye maɖe ne ɖe ŋuwò. 
ISA.29.4	Aƒo nu tso anyigba tu me ke, eye wò nuƒoƒo aɖi tso ke me; wò gbe anɔ abe ŋɔli to ene tso anyigba me, eye wò nuƒoƒo aɖi huhuhu tso ke me. 
ISA.29.5	Ke wo ketɔ gbogboawo azu abe kewɔ memee ene, eye ŋutasẽla geɖegeɖeawo azu abe tsro, si ʋu ya ene; ava me zi ɖeka kpoyi. 
ISA.29.6	Yehowa Zebaot atsɔ dziɖegbe kple anyigbaʋuʋu, gbeɖiɖi sesi, ya kple ahom kpakple dzoƒaɖe binu ahe to na wò. 
ISA.29.7	Eye dukɔwo ƒe amehawo katã, siwo ho aʋa ɖe Ariel ŋu, kple amesiwo katã tso ɖe eya kple eƒe mɔ̃ sesẽ la ŋu, eye woxaxae ɖo la, anɔ abe drɔ̃ekuku kple zã me ŋutega ene. 
ISA.29.8	Alesi dɔwuitɔ kua drɔ̃e be, yele nu ɖum, ke ne enyɔ la, dɔa nu melana ne o, eye alesi tsikɔwuitɔ kua drɔ̃e be, yele tsi nom, ke ne enyo la, nu tea eŋu, eye eƒe veme ƒuna la, nenemae dukɔ, siwo katã ho aʋa ɖe Zion-toa ŋu la ƒe amehawo anɔ.
ISA.29.9	Miɖo asi nu, eye miaƒe nu Hetsi te, mitre ŋku, eye mizu ŋkuagbãtɔwo! Womu aha, ke menye wein ye wɔe o, wole ya mum, ke menye aha muame ye wɔe o. 
ISA.29.10	Elabena Yehowa trɔ alɔ̃dɔdɔ sesẽ ƒe gbɔgbɔ kɔ ɖe mia dzi, etre miaƒe ŋkuwò, siwo nye nyagblɔɖilawo, eye wotsyɔ nu miaƒe tawo, siwo nye nunɔlawo. 
ISA.29.11	Ale ŋutegawo katã anɔ na mi, abe agbalẽ, si nu wotre la me nya ene, esi ne wotsɔe na agbalẽnyala gblɔ be: Xlẽe la, aɖo ŋu be: Nyemate ŋui o, elabena wotre enu 
ISA.29.12	Eye ne wotsɔ agbalẽ la na ame manyagbalẽ gblɔ be: Xlẽe la, aɖo ŋu be: Nyemenya agbalẽ o. 
ISA.29.13	Eyata ale Aƒetɔ la gblɔ esi: Esi dukɔ sia te va kple woƒe nu, eye wotsɔ woƒe nuyiwo de bubu ŋunye, ke woƒe dzi le adzɔge tso gbɔnye, eye woƒe vɔvɔ̃ nam nye amegbetɔwo ƒe ɖoɖo, siwo wosrɔ̃ ko la, 
ISA.29.14	eyata kpɔ ɖa, megaɖe nukunu afia ɖe dzi ɖe dukɔ sia ŋu, nukunuwo ƒe nukunu wòanye, nunya abu ɖe woƒe nunyalawo, eye gɔmesese asi abe ɖe woƒe nugɔmeselawo. 
ISA.29.15	Baba na amesiwo nɔa bebem le Yehowa ŋku me, woɣlaa woƒe adaŋudede, eye wowɔa woƒe nu le vivi me henɔa gbɔgblɔm be: Ameka le mía kpɔm, eye ameka dze si mí? 
ISA.29.16	Oo, mieflu mia ɖokui! Ɖe tsu le abe zemela ene, ne nuwɔwɔ nagblɔ na ewɔla be: Menye wòe wɔm o, eye numeme nagblɔ na emela be: Mele ɖeke nyɔm oa?
ISA.29.17	De mekpɔtɔ vie ko, ne Libanon nazu atibɔ, eye woabu atibɔ de avewo me oa? 
ISA.29.18	Le ɣemaɣi la tokunɔwo ase agbalẽ sia me nyawo, eye ŋkuagbãtɔwo ƒe, ŋkuwo akpɔ nu tso blukɔ kple viviti me. 
ISA.29.19	Hiãtɔwo akpɔ dzidzɔ de Yehowa ŋu agakpɔe ɖe dzi, eye ame dahewo le amegbetɔwo dome atso aseye de Israel ƒe kɔkɔetɔ la ŋu. 
ISA.29.20	Elabena ŋutasẽlawo nu tso, fewuɖulawo nu yi, eye wotsrɔ̃ amesiwo katã bua nu madzɔmadzɔ ŋuti, 
ISA.29.21	amesiwo tsɔa nya blea amewo dea nuvɔ̃ me le ʋɔnudɔdrɔ̃ me, wotrea mɔ̃ na nyadrɔ̃la le ʋɔnu, eye wotsɔa alakpadada ƒua ame dzɔdzɔe anyi. 
ISA.29.22	Eyata ale Yehowa, amesi ɖe Abraham la, gblɔ na Yakob ƒe aƒe la enye si. Ŋu magakpe Yakob azɔ o, eye eƒe mo magatsi dã azɔ o. 
ISA.29.23	Ne viawo kpɔ nye asinudɔwɔwɔwo le wo dome la, woakɔ nye ŋkɔ ŋu, woakɔ Yakob ƒe kɔkɔetɔ la ŋu, eye woava Israel ƒe Mawu la; 
ISA.29.24	tamedadatɔwo ase nu gɔme, eye tosẽlawo asrɔ̃ nunya.
ISA.30.1	Yehowa be, baba na vi sẽtowo, amesiwo de adaŋu nye manɔmee, eye wobla nu nye gbɔgbɔ manɔmee, ne woali kɔ nuvɔ̃ de nuvɔ̃ dzi! 
ISA.30.2	Amesiwo mebia nye nu me gbe se, hafi yi Egipte, be wòasi Farao ƒe ŋusẽ atso, eye woabe ɖe Egipte ƒe vɔvɔli te o. 
ISA.30.3	Farao ƒe ŋusẽ azu ŋukpe na wo, eye bebe ɖe Egipte ƒe vɔvɔli te azu dzu na wo. 
ISA.30.4	Elabena ne eƒe amegãwo va Zoan, eye eƒe ame dɔdɔwo ɖe keke Xanes ke hã, 
ISA.30.5	wo katã woaflu wo ɖokui ɖe dukɔ, si mele ɖeke me o, mate ŋu axɔ na wo o, eye menye viɖea ɖeke na wo o, ke boŋ ŋukpe kple vlododo ko la ŋuti.
ISA.30.6	Nya ɖe dziehe-nyigba ƒe lãwo ŋu. Le hiã kple xaxa ƒe anyigba dzi, afisi dzatanɔ kple dzatatsu dona tsona, afisi ƒli kple da toaʋala le la, afima wotsɔa woƒe nuwo ɖoa tedziwo ƒe mẽdome kple woƒe kesinɔnuwo ɖoa kposɔwo ƒe kpo dzi tsonɛ yia dukɔ, si mele viɖea ɖeke me o la gbɔ. 
ISA.30.7	Egipte ƒe xɔname mele nemi me hã o, eyata meyɔe be, enye numeɖila, si ŋu nanekewɔwɔ mele o.
ISA.30.8	Eyata yi naŋlɔe ɖe nuŋlɔkpe dzi le wo gbɔ, eye naŋlɔe ɖe agbalẽ me, ne wòanɔ anyi anye ɖase tegbee le ŋkeke, siwo gbɔna la me. 
ISA.30.9	Elabena dukɔ sẽto, vi dalakpa, vi, siwo gbe Yehowa ƒe nufiamewo sese la, wonye; 
ISA.30.10	amesiwo gblɔ na nukpɔlawo be: Migakpɔ nu o, eye wogblɔ na nyagblɔɖilawo be: Migagblɔ nya, si le eteƒe la, ɖi na mí o, ke boŋ migblɔ nya ŋɔnɔewo na mi, eye migblɔ alakpanyawo ɖi! 
ISA.30.11	Mite ɖa le mɔ la dzi midze le toƒe la, eye mina Israel ƒe kɔkɔetɔ la nabu le mía ŋku me! 
ISA.30.12	Eyata ale Israel ƒe kɔkɔetɔ la gblɔ esi: Esi miedo vlo nya sia, eye mieɖo ŋu ɖe ŋutasesẽ kple ayedzedze ŋu heziɔ ɖe eŋu la, 
ISA.30.13	miaƒe vodada sia azu abe gli dzeabi, si le mumũm hetre azã le gli kɔkɔa ɖe ŋu la ene, esi ƒe mũɣi aɖo zi ɖeka kpoyi. 
ISA.30.14	Eye woagbã wo, abe alesi zemela ƒe ze gbãna gudugudu, ale be sonu gaglɛa ɖeke menɔa gbagbã la me, si woatsɔ aɖe dzo le adokpo me, alo woatsɔ aɖu tsii le vudo me o la ene. 
ISA.30.15	Elabena ale Aƒetɔ Yehowa, Israel ƒe kɔkɔetɔ la, gblɔ esi: Tametɔtrɔ kple anyinɔnɔ kpoo woatsɔ axɔ na mi, eye miaƒe ŋusẽ le ɖoɖoezizi kple ŋuɖoɖo ɖe eŋu me, ke mielɔ̃ o 
ISA.30.16	hegblɔ bena: Kpao, ke boŋ míanɔ sɔwo dzi asi, eye míado sɔ ɖiduwo. Eyata miasi, eye mia yometilawo ado sɔ ɖiduwo. 
ISA.30.17	Mia dometɔ akpe ɖeka asi le ame ɖeka kolia ƒe bublu nu, eye mi katã miasi le ame atɔ ƒe bublu nu, vaseɖe esime miasusɔ abe aflagati le to ta me kple aflaga le togbɛ dzi ene.
ISA.30.18	Eyata Yehowa le lalam, be yeave mia nu, eyata wotso, be yeakpɔ nublanui na mi; elabena ʋɔnudɔdrɔ̃ ƒe Mawu enye Yehowa. Woayra amesiwo katã kpɔa esinu! 
ISA.30.19	Zion-dukɔ, si le Yerusalem, meganɔ avifafa dzi o, elabena ave nuwò vavã le wò aƒadodo ta; ne enya see ko la, atɔ na wò. 
ISA.30.20	Aƒetɔ la ana abolo mi le hiã me kple tsi mi le xaxa me, eye miaƒe nufialawo magabe azɔ o, ke boŋ míakpɔ miaƒe nufialawo kple ŋku, 
ISA.30.21	eye miaƒe to ase nya sia le mia megbe bena: Mɔ la enye si, mito edzi! nenye ɖusi me alo mia me miebe, yewoato. 
ISA.30.22	Miado gu klosalo, siwo wofa ɖe miaƒe aklama kpakpawo ŋu, kple sika, si le miaƒe legbawo ŋu; miaɖe wo ɖa abe ŋunyɔnu ene ahagblɔ ɖe wo ŋu bena Mido! 
ISA.30.23	Ana tsi nadza ɖe nuku, siwo nèƒã ɖe agble me la dzi, nuɖuɖu, tsi tso wò agble me nukuwo me la, avivi, eye woada ami; le ɣemaɣi la wò lãwo aɖu gbe le lãnyiƒe kekewo; 
ISA.30.24	eye nyitsuwo kple tedzi, siwo ŋlɔa agble la, aɖu bli tsakatsaka, si me dze le, eye wotsɔ sofi kple gaflo gã dzoboe. 
ISA.30.25	Eye wòava me le amewugbe gã, si xɔ tsralawo amũ la be, toʋuwo anɔ tsi tsam le to kɔkɔwo katã kple togbɛ kɔkɔwo katã ta me. 
ISA.30.26	Gbesigbe Yehowa bia eƒe dukɔ ƒe kakaƒe, eye wòda gbe ƒe eƒe abi, si wòxɔ ŋu la, ɣleti ƒe keklẽ anɔ abe ɣe tɔ ene, eye ɣe ƒe keklẽ adzi ɖe dzi zi gbɔ zi adre abe keklẽ le ŋkeke adre me ene.
ISA.30.27	Kpɔ ɖa, Yehowa ƒe ŋkɔ tso adzɔge gbɔna, eƒe dɔmedzoe le bibim, eye wòde dzi kɔtɔɔ; eƒe nuyiwo dzi yɔ fũ kple dziku, eƒe aɖe le abe dzo binu ene; 
ISA.30.28	eye eƒe gbɔgbɔ le abe tɔɖɔɖɔ, si me woase ve le ene, ne wòanyè dukɔwo, vaseɖe esime woatsrɔ̃ avɔ, eye woade numega dukɔwo ƒe nu me, si akplɔ wo atrae. 
ISA.30.29	Miadzi ha abe le ŋkekenyuieɖuɣi ƒe zã me ene, eye miaƒe dzi akpa dzidzɔ abe amesiwo le dze kum le mɔ zɔm heyina ɖe Yehowa ƒe to la, ɖe Israel ƒe agakpe la gbɔ ene. 
ISA.30.30	Eye Yehowa ana woase eƒe gãnyenye ƒe gbe, eye woakpɔ eƒe alɔ ƒe ɖiɖiɖeanyi le ɖɔmedzoe ƒe bublu, dzo binu ƒe aɖe, ahom, tsidzadza gãwo kple dzikpewo me. 
ISA.30.31	Elabena Yehowa ƒe gbe aɖe dzi le Asur ƒo, nenye be, etsɔ ati ƒoe. 
ISA.30.32	Zi geɖe alesi eƒe toheti, si wòɖo ɖe eŋu la, dze edzii la, zi geɖe ma ke asiʋuiwo kple kasaŋkuwo anɔ ɖiɖimi, eye woawo aʋa kplii anɔ alɔnyènye dzi ɖaa. 
ISA.30.33	Elabena wodzra dzotɔƒe ɖo ɖi xoxo, fiawo hãe wodzrae ɖo ɖi na, eye wògoglo hekeke; dzo kple nake li kpaŋkpaŋ hekpe ɖe eƒe nakekɔwo ŋu; Yehowa ƒe gbagba enye aŋɔtoʋu, si ato dzoe.
ISA.31.1	Baba na amesiwo yi Egipte, be woaxɔ na yewo, woɖo dzi ɖe sɔwo ŋu, eye woɖo ŋu ɖe tasiaɖam sɔgbɔwo kple sɔdola geɖewo ŋu; ke womelé ŋku ɖe Israel ƒe kɔkɔetɔ la ŋu o, eye wo mebia Yehowa ta se o! 
ISA.31.2	Ke nunyala eya hã nye, eye wòahe dzɔgbevɔ̃e ve, magbe eƒe nya o, ke boŋ atso ɖe ame vɔ̃ɖiwo ƒe aƒe kple nu tovo wɔlawo ƒe xɔname ŋu. 
ISA.31.3	Ke Egiptetɔwo la, amegbetɔwo wonye, menye Mawu o; woƒe sɔwo la, ŋutilã wonye, menye gbɔgbɔ o; eye ne Yehowa do eƒe asi ɖa la, ke aɖe le xɔnametɔ la te, eye amesi wòle xɔxɔm na la, adze anyi, eye woa kple eve la siaa nu ayi. 
ISA.31.4	Elabena ale Yehowa gblɔ nam enye si: Alesi dzata kple dzatavi nɔa gbe tem ɖe nuléle ŋu, eye ne woyɔ lãkplɔviwo ɖe eŋu kpaŋkpaŋ hã, woƒe ɣli meɖea dzi le eƒo o, eye meɖoa to woƒe howɔwɔ o la, nenema Yehowa Zebaot aɖi ɖe anyi, ne woawo aʋa le Zion-to la kple eƒe togbɛ la dzi. 
ISA.31.5	Alesi xevi ɖoa agbae la, nenema Yehowa adzɔ Yerusalem ŋu, adzo eŋu, eye wòaxɔ nɛ, akpa eta, eye wòaɖee. 
ISA.31.6	Mi Israel-viwo, migatrɔ ɖe amesi yome mietrɔ le la ŋu! 
ISA.31.7	Elabena le ɣemaɣi la wo dome amesiame anyɔ ŋu eƒe klosalolegba kple sikalegba, siwo eƒe asiwò wo na eɖokui hena nuvɔ̃wɔwɔ la. 
ISA.31.8	Asur atsi yi nu, ke menye ŋutsu ƒe yi nu o, eye yi aɖui, ke menye amegbetɔ ƒe yi o; asi le yi nu, eye eƒe ɖekakpuiwo azu yakadɔwɔlawo; 
ISA.31.9	eƒe agakpe ate ɖa le vɔvɔ̃ ta, eye aflaga ana dzidzi naƒo eƒe amegãwo; Yehowa, amesi ƒe dzo le Zion, eye eƒe mlekpui le Yerusalem lae gblɔe.
ISA.32.1	Kpɔ ɖa, fia aɖu fia ɖe dzɔdzɔenyenye nu, eye amegãwo aɖu dzi ɖe ʋɔnudɔdrɔ̃ nu. 
ISA.32.2	Amesiame anɔ abe sitsoƒe tso ya nu, bebeƒe tso tsidzadza nu, tɔʋu le gbegbe kple agakpe gã nyadri ƒe vɔvɔli le kuɖiɖinyigba dzi ene. 
ISA.32.3	Nukpɔlawo ƒe ŋku maganyẽ atre o, eye nuselawo aƒu to anyi. 
ISA.32.4	Ame mabutamewo ƒe dzi adze si nunya, eye kɔkɔlawo ƒe aɖe aƒo nu eme nakɔ. 
ISA.32.5	Womagayo bometsilawo be bubumewo azɔ o, eye womagayɔ ayetɔwo be ŋkutatɔwo o. 
ISA.32.6	Elabena bometsila gblɔa bometsinya, eƒe dzi hea dzɔgbevɔ̃e va aƒee, ne wòawɔ nu tovo ahagblɔ nya trama ɖe Yehowa ŋu, wòana dɔwuitɔwo natsi domeɣi, eye nunono nahiã tsikɔwuitɔwo. 
ISA.32.7	Ayetɔ ɖoa ta me vɔ̃ɖi, edea adaŋu vɔ̃ be, yeatsɔ alakpanya agblẽ hiãtɔwoe, nenye be, ame dahe la to nya dzɔdzɔe hã. 
ISA.32.8	Ke tamesusu vavãwo li na bubumewo, eye nu vavãwo dzi wolina ɖo.
ISA.32.9	Mi nyɔnu, siwo li bɔkɔɔ, mitso, ne miase nye gbe! Mi nyɔnuvi, siwo le ablɔɖe me, miƒu to anyi ɖe nye nyawo ŋu. 
ISA.32.10	Ne ƒe kple edzi ŋkekewo va yi la, mi ablɔɖewo miadzo nyanyanya, elabena weintsetsexaɣi nu yi, eye kutsetsegbeɣi megbɔna o. 
ISA.32.11	Mi amesiwo li bɔkɔɔ, dzidzi neƒo mi; mi ablɔɖewo, midzo nyanyanya! Miɖe ava ɖi, miɖe amama, eye misa akpanya ɖe ali! 
ISA.32.12	Woƒo akɔta le agble nyowo kple weinka tsekuwo ta. 
ISA.32.13	Aŋɔkawo kple ŋuwo mie ɖe nye dukɔ la ƒe anyigba dzi kple du sevivi la ƒe dzidzɔxɔwo katã me. 
ISA.32.14	Elabena fiasãwo zu xɔdo, eye du, si me zi na la, zu gbegbe, togbɛ kple gbetakpɔxɔ zu agado, wòzu gbetedziwo ƒe adzrɔɖiƒe kple gbeɖuƒe na lãhawo, 
ISA.32.15	vaseɖe esime woatrɔ gbɔgbɔ akɔ ɖe mia dzi tso dzi me, eye gbegbe nazu atibɔ, eye wòabu atibɔwo ɖe avewo dome. 
ISA.32.16	Nu dzɔdzɔe wɔwɔ anɔ gbegbe, eye dzɔdzɔenyenye anɔ atibɔwo me; 
ISA.32.17	dzɔdzɔenyenye ƒe dɔwɔwɔ anye ŋutifafa, eye dzɔdzɔenyenye ƒe viɖe anye gbɔdzɔe kple dziɖeɖi tegbee. 
ISA.32.18	Eye nye dukɔ anɔ ŋutifafa teƒe kple dziɖeɖi teƒewo kpakple ablɔɖe gbɔɖemeƒewo. 
ISA.32.19	Ke ne dzikpewo dza la, ave la amũ, eye du la aɖo agu. 
ISA.32.20	Woayra mi, amesiwo ƒã nu ɖe tɔwo to sɔŋ, mi amesiwo ɖe ka nyiwo kple tedziwo wole yiyim.
ISA.33.1	Baba na wò nugblẽla, si womegblẽna o, wò adzoblasu, si womedaa adzoe o! Ne èwu nugbegblẽ nu la, woagblẽ wò hã, eye ne eda adzo vɔ la, woada adzo wò hã! 
ISA.33.2	Yehowa, ve mía nu, asiwònu kpɔm míele! Nye míaƒe alɔ ŋdi sia ŋdi kple míaƒe xɔname le hiãɣi! 
ISA.33.3	Dukɔwo si le gbeɖeɖe nu, eye anyigba dzi dukɔwo ka hlẽ le wò tsitretsitsi nu. 
ISA.33.4	Eye woaƒo miaƒe nuhahawo nu ƒu, abe alesi woƒoa ʋetsuviwo nu ƒu ene, eye woaƒu du ɖe wo ŋu, abe alesi abɔ fia kpoe ene. 
ISA.33.5	Yehowa ɖo kpo, elabena ele dzi me, eye wotsɔ: nu dzɔdzɔe wɔwɔ kple dzɔdzɔenyenye yɔ Zion taŋ; 
ISA.33.6	eye dziɖeɖi, xɔname geɖe, nunya kple sidzedze anɔ wò ŋkekewo me; Yehowa-vɔvɔ̃ anye wò kesinɔnu. 
ISA.33.7	Kpɔ ɖa, kalẽtɔwo le avi fam le xexe, eye du nyui xɔlawo le avi fam hehehe. 
ISA.33.8	Ametoƒe zu gbegbe, amea ɖeke megale mɔ dzi tom o. Etu nubabla la, eɖi gbɔ duwo, eye amegbetɔ menye naneke le eŋku me o. 
ISA.33.9	Anyigba le nu xam wòte eŋu, ŋu kpe Libanon, eƒe lãme gbã, Saron zu abe gbegbe ene, eye Basan kple Karmel lu xe. 
ISA.33.10	Yehowa be: Azɔ matso, azɔ matsi tre, azɔ matso ɖe afa dzi. 
ISA.33.11	Miefɔ gbe ƒuƒu ƒe fu, eye ahɔ̃liti takpoe miadzi; miaƒe gbɔgbɔ enye dzo, si afia mi. 
ISA.33.12	Woamè dukɔwo abe akalo ene, eye woatɔ dzo wo abe aŋɔka ene.
ISA.33.13	Mi didiƒewo, mise nusi mewɔ, mi kpuiƒewo, midze si nye kalẽwɔwɔ! 
ISA.33.14	Dzidzi ƒo nuvɔ̃wɔlawo le Zion, ame vɔ̃ɖiwo ƒe lãme ble fu: Mía dometɔ ka anɔ dzo binu gbɔ, eye mia dometɔ ka anɔ dzoxɔxɔ mava gbɔ? 
