MAT.1.1	Ña'a kùu sivi ma ndian kūu ñivi Jesucristu, ra kūu ñivi ma racha'nu David, chi'in racha'nu Abraham. 
JHN.12.26	Ta tu ìyo ma ndian kùuni ja'a tiñu nui, na tandikun na chatai, vati ma nuu ni koi, ikan ni koo ma ra jà'a tiñu nui ndia. Ta tu ìyo nda yo ja'a tiñu nui, nda ma Tatái ni tiñu'u ra na ndia.
JHN.12.27	’¡Ya'a nduva'a nàkanini̱! ¿Ta nayi ìyo yi ña ka'in?, kùuni ndo. ¿A ìyo yi ña ka'in chi'in Ndioo: “Tatá na jakaku̱n yu'u nuu ma tundo'o ni nde'i”?, kùuni ndo. Na küu ka'in takan, ti kuenda ikan vàchi̱, ―kàti ra.
JHN.12.28	Takan kūu tajan ma Jesuu te'en nāka'an ra chi'in Ndioo:
JHN.12.28	―Yo'o Tatá, na tiñu'u̱n ta na jaka'nu̱n ma siviun ―kàti ra.
JHN.12.28	Tajan te'en nāka'an ma tati yu'u Ndioo ma iti' andivi:
JHN.12.28	―Cha jāka'nui ma sivi̱, ta cha tīñu'i yi, va ni ja'a ndikoi yi ―kàti yi. 
JHN.12.29	Ta ma ñivi ka'ìin ma ikan ña chīni ma ña kūu, ta ka'an na ti, tacha kùu ma ña chīnu, ta ìyo inga na ña, te'en kà'an na:
JHN.12.29	―Iin tati ña jà'a tiñu nuu Ndioo kùu yi ña kā'an ra chi'in ra ―kàti na.
JHN.12.30	Tajan te'en nāka'an ra chi'in na:
JHN.12.30	―Na yöve cha'a' yu'u kùu yi ña chīni ndo ma tati ikan kā'an ma Ndioo chi'i̱n, vati cha'a' maa ndo kùu yi. 
JHN.12.31	Vitin va cha kēta ma tiempu ña ni jakutuni Ndioo kuati ma ñivi, ta juuni ma vitin kùu yi ña ni tavani'i Ndioo ma ñá' chà'nda tiñu nuu ñu'u' ñuñivi i'ya. 
JHN.12.32	Vati ora ni jandeta ma ñivi yu'u ma nuu ñu'u' i'ya, ni ja'i ña na kua'a' ñivi chaa na nuu koi.
JHN.12.33	Chi'in tu'un i'ya kūuni Jesuu ka'an ra naja kua ni kuvi ra. 
JHN.12.34	Tajan te'en nāka'an na chi'in ra:
JHN.12.34	―Ndyu'u chīni ndi ña kà'an yi nuu ma tutu Ndioo ña ma Cristu ni koo ra indeeni. ¿Ta chïto naja kā'un ña ma ra Se'e Ñivi tāchi Ndioo ìyo yi ña kuvi ra? ¿Nda ra kùu ma ra Se'e Ñivi tuva takan? ―kàti na.
JHN.12.35	Tajan Jesuu te'en nāka'an ra chi'in na:
JHN.12.35	―Ni koo ga ma ñu'ú ña jàtuun nuu ndo ma ñuñivi i'ya, va tia tiempunia. Yakan va na nanduku ndo naja kua koo va'a ndo ora juuni ìyo ga ma ña jandondichin nuu ndo. Koto jäna'ini ndo ma ora ni ndonaa. Vati taku ma ndian chàkunuu ma nuu naa, na töve chìto na nda iti' kuà'an na. 
JHN.12.36	Yakan va na chinuni ndo tu'un kà'an ma ra kùu tava kùu ma ñu'ú ña jàndondichin nuu ndo, ta kuu ndo takua kùu ma ra se'e ra ―kàti Jesuu.
JHN.12.36	Ta ora chīnu kā'an ra ma tu'un i'ya, tajan kēe ndio ra kuà'an ra, ta chūndii xe'e ra nuu na.
JHN.12.37	Ta vaji ya'aga kua'a' ma ndatu ka'nu jā'a ma Jesuu ña nànde'e ma ndian judíu, va töve nī chinuni na yi. 
JHN.12.38	Takan ìyo yi ña kuu, ikan na chinu ma tu'un kà'an ma ra kā'an chi'in tu'un yu'u Ndioo, ra chūnani Isaía, vati rakan te'en kā'an ra:
JHN.12.38	Yo'o Racha'nu, ¿yo kùu ma ndian cha chìnuni ma tu'un kà'an yo?
JHN.12.38	Ta, ¿Yo nuu jā'a ma Ndioo ma ndatu ra?
JHN.12.38	kàti ra.
JHN.12.39	Takan kūu yi ña töve nī kuuni na chinuni na, va juuni tāa tuku ma Isaía ra kà'an chi'in tu'un yu'u Ndioo te'en ndia:
JHN.12.40	Jāndokuaá ra ma ñivi ta jāndava ra ma anima na,
JHN.12.40	ikan na küu kutunini na ma ña jà'a ra,
JHN.12.40	ta küu nde'e na,
JHN.12.40	ti töve nī kuuni na chikoni'i na chi'in Ndioo
JHN.12.40	ta ki'vi na iti' ra
JHN.12.40	kuenda ña na kuu janda'a ra na ndia,
JHN.12.40	kāti tutu tāa Isaía.
JHN.12.41	Takan kā'an ma Isaía vati ndē'e ra ña ya'a ka'nu kùu ma Cristu, ta cha'a' ña kā'an ra cha'a' ra kùu yi ndia.
JHN.12.42	Ta ndicha va'a ña kua'a' ma ndian judíu kīcha'a na chìnuni na ña kà'an Jesuu, ta nda uvi uni ma ndian kuxini nuu ma ndian judíu, kīcha'a chìnuni na ndia. Uvaa ña na töve kà'an na yi nuu tùvi ñivi, ti ndasii na nde'e na ma ndra fariseu, koto tavani'i ndra na endeeni tichi ma veñu'u na. 
JHN.12.43	Takan jā'a na vati chàta'ani ga na ña tiñu'u ñivi na chi'in tu'un kà'an na, takua ma ña kà'an Ndioo.
JHN.12.44	Takan kūu tajan te'en nāka'an ni'i ndio Jesuu chi'in na:
JHN.12.44	―Taku ma ndian chìnuni ña kà'in, kùuni yi ka'an yi ña na töve uvaa ña kà'an yu'uni chinuni na vati juuni chinuni na ña kà'an ma Tatái, ra tāchi yu'u ndia. 
JHN.12.45	Ta ma ndian ndè'e yu'u, juuni ndè'e na ma ra tāchi yu'u ndia. 
JHN.12.46	Vati yu'u kùi tava kùu ma ñu'ú ña jàtuun nuu ndo, ta yu'u kīchai ma ñuñivi i'ya kuenda ma ndian chìnuni ña kà'in, ikan na töve kindoo na ma nuu naa. 
JHN.12.47	Ta tu ìyo ma ndian chìni ma ña kà'in ta töve jàchi'in na yi, na yöve yu'u kùu ma ra ni tisokuati na, vati yu'u vàchi̱ kuenda ña jàkakúi ma ñivi, ta yöve kuenda ña tìsokuati̱ na. 
JHN.12.48	Ta ma ndian töve kùuni nde'e yu'u, ta töve jàchi'in na ma ña kà'in, cha ìyo ma ña ni tisokuati na, ta ma tu'un ikan te'en kà'an yi: juuni ma tu'un kà'in nuu na ña ni tisokuati yi na ma kivi nuu ndi'inia, yakan kùu yi. 
JHN.12.49	Vati yu'u töve kà'in yi kuenda juuni mai, ti kà'in yi naja kua kùuni ma Tatái, ra tāchi yu'u ña jà'i. Ta naja kua kùuni ra ña jana'i ndia. 
JHN.12.50	Vati yu'u chìtoi ti ma tiñu ña tāchi ma Tatái yu'u ña na ka'in, ni ja'a yi ña na koo ndo endeeni. Va ma ña kà'in, kà'in yi ma takua kātitu'un ma Tatái ―kàti Jesuu.
JHN.13.1	Antea ña kuta'an ma viko Pakua, Jesuu cha chìto ra ña cha chāa ma ora ña ni ndakoo ra ma ñuñivi i'ya, ta ku'un ndiko ra nuu ìyo ma Tatá ra. Vati ma Jesuu ndisaa tiempu ya'a kùuni ra nde'e ra ma ndian chìnuni ma ña kà'an ra ña ìyo ma ñuñivi i'ya. Ta takan kùuni ra nde'e ra na, nda ma kivi nuu ndi'inia. 
JHN.13.2	Ta ma kui'na cha kī'vián' ma tichi anima ma Judá Iscariote, ra se'e ra nàni Simón, ña ni xikoña'a cha'a' Jesuu ora ka'ìin ndra kuxini ndra chi'in Jesuu. 
JHN.13.3	Va ma Jesuu cha chìto ra ña cha chà'a ma Ndioo tiñu nuu ra ña na ka'nda ra tiñu nuu ma ñivi, vati ma Ndioo tāchi ra, ta nuu Ndioo ìyo yi ña chaa ndiko ra ndia. 
JHN.13.4	Yakan va Jesuu ndēta ra ma nuu nàndi ra kuxini ra nuu mesa, ta tāva ra ma ja'ma isukun ra, ta kī'in ra inga ja'ma ta chū'ni ra yi toko ra. 
JHN.13.5	Tajan Jesuu tāan ra takuii tichi iin tako'o ta kīcha'a ndio ra nàkata ra cha'a ma ndra jàkua'a chi'in ra. Ta ora chīnu, tajan kīcha'a ndio ra jànatii ra cha'a ndra chi'in ma ja'ma ña ndìkun toko ra. 
JHN.13.6	Ta ora chaa ra nuu nàndi ma Simón Petu', ra'ya te'en nāka'an ra chi'in ra:
JHN.13.6	―Yo'o Racha'nu, ¿ta naja yo'o ni nakataun cha'i? ―kàti ra.
JHN.13.7	Tajan Jesuu te'en nāka'an ra:
JHN.13.7	―Ma ña jà'i takä'an kutuniniun yi, nda tiá iti' nuu tajan ni kutuniniun yi ―kàti Jesuu.
JHN.13.8	Ta Petu' te'en nāka'an ra:
JHN.13.8	―Nï'iin cha'a' na töve ku'vai ña nakataun cha'i ―kàti ra.
JHN.13.8	Ta ma Jesuu te'en nāka'an ra:
JHN.13.8	―Tu töve ku'vaun ña na nakatai ñu̱n, na küu koun kakunuu̱n chi'i̱n ―kàti Jesuu.
JHN.13.9	Ta Simón Petu' te'en nāka'an ra:
JHN.13.9	―Yo'o Racha'nu, na töve kùuni̱ ña na nakataun uvaa ma cha'ani, vati juuni kùuni̱ ña na nakataun ma nda'i chi'in xini̱ ndia ―kàti ra.
JHN.13.10	Ta Jesuu te'en nāka'an ra:
JHN.13.10	―Taku ma ra já chīti, na tüva ìyo yi ña kuti ndiko ra inga cha'a', vati ìyo yi ña ndoo cha'a ni ra. Ta ndyo'o cha ndōo ndo vaji na yöve ndisaa ndo kàa takan ―kàti Jesuu.
JHN.13.11	Takan kā'an ra ti cha chìto ra nda ra kùu ma ra ni xikoña'a cha'a ra, yakan va kà'an ra ña, na yöve ndisaa ndo cha ndōo ndo.
JHN.13.12	Ta ora chīnu nākata Jesuu cha'a ndra, ta chāku'un ndiko ra ma ja'ma ña isukun ra, ta chūnandi ndiko ra yu'u mesa chi'in ndra, ta te'en nāka'an ra:
JHN.13.12	―¿A kùtunini ndo ma ña jà'i chi'in ndo? ―kàti Jesuu―. 
JHN.13.13	Ndyo'o kà'an ndo ña kùi matru, ta Racha'nu, ta ña ndicha kùu ma ña kà'an ndo, ti takan kùi. 
JHN.13.14	Va tu yu'u ña kùi matru, ta Racha'nu, ta nākatai cha'a ndo. Juuni takan ìyo yi ña ja'a ndo chi'in ma ndian kùu ta'an ndo ndia. 
JHN.13.15	Yu'u cha jāna'i naja kua ìyo yi ña ja'a ndo, ta takan kùuni̱ ña nakata ndo ma cha'a ta'an ndo ma takua jā'i chi'in ndo. 
JHN.13.16	Ndicha va'a ña kà'in chi'in ndo, ña ma ra jà'a tiñu nuu ma ra kùu chito'o ra, töve ka'nuga ra kua ma ra kùu chito'o ra. Ta ma ra kēe kuà'an iin tiñu, töve ka'nuga ra kua ma ra tāchi ra ndia. 
JHN.13.17	Tu kutuni ndo ma ña kà'in chi'in ndo, ta kicha'a ndo ja'a ndo yi, ya'aga siini ni kuuni ndo tuva takan.
JHN.13.18	’Na töve kà'in ma tu'un i'ya cha'a' ndisaa ndyo'o ndra kāchi̱n, vati cha chìto mai nda ra kùu ma ra kà'in cha'a'. Takan kùu yi ikan na chinu ma ña kà'an yi nuu ma tutu Ndioo, ta te'en kà'an yi: “Ma ra nàndi chàchi chi'i̱n, ni xikoña'a ra cha'i.” 
JHN.13.19	Takan kà'in yi chi'in ndo vitini, ikan ma ora kuta'an ña ni kuu takan, chinuni ndo ti yu'u kùu ra takani ìyo. 
JHN.13.20	Ndicha va'a ña kà'in chi'in ndo, ña ma ndian kì'in kuenda ma ra tàchi̱, nda yu'u kì'in na kuenda ndia. Ta ma ndian kì'in kuenda yu'u, juuni kì'in na kuenda ma ra tāchi yu'u ndia ―kàti ra.
JHN.13.21	Ta ora chīnu kā'an Jesuu takan, ta nduva'a nda'vi kūuni ra, ta te'en nāka'an kachin ra chi'in ndra:
JHN.13.21	―Ndicha va'a ña kà'in chi'in ndo, ti iin ndo ni xikoña'a ndo cha'i ―kàti ra chi'in ma ndra jàkua'a chi'in ra.
JHN.13.22	Tajan ma ndra jàkua'a chi'in ra kīcha'a ndra kànde'e nuu ta'an ndra, ti töve chìto kachin ndra nda ra kùu ma ra kà'an Jesuu cha'a'. 
JHN.13.23	Tajan iin ra tañu ndra ña ya'aga kùuni ra nde'e ra, nàndi ra chàchi ra xiin Jesuu ma nuu ka'ìin ndra kuxini ndra. 
JHN.13.24	Nuu rakan jānda'a ndio ma Simón Petu' ña na ndakatu'un ra nuu Jesuu, ña nda ra kùu ma ra kà'an ra cha'a'. 
JHN.13.25	Yakan va chājayatin ra ra tiá xiin Jesuu, ta kīcha'a ra chìkatu'un ra te'en nuu ra:
JHN.13.25	―Yo'o Racha'nu, ¿nda ra kùu ma ra kà'un? ―kàti ra.
JHN.13.26	Tajan ma Jesuu te'en nāka'an ra:
JHN.13.26	―Ni jatii̱ ita'vi ma paan, ta nuu ma ra ni ku'vai yi, rakan kùu ra.
JHN.13.26	Ta ora chīnu kā'an ma Jesuu takan, tajan jātii ndio ra ita'vi ma paan, ta chā'a ra yi nuu ma Juda Iscariote, ra se'e Simón. 
JHN.13.27	Ta juuni ma ora chāchi ma Juda ma paan ikan, ma ora ikani kī'vi ma kui'na tichi anima ra. Tajan ma Jesuu te'en nāka'an ra chi'in ra:
JHN.13.27	―Ma ña ni ja'un, na ja'un yi numini ―kàti Jesuu.
JHN.13.28	Va nï'iin ma ndra nàndi chi'in Jesuu ña ka'ìin kuxini chi'in ra ma yu'u mesa, nī kutunini ndra naja kà'an Jesuu takan chi'in ra. 
JHN.13.29	Va tava ma Juda kùu ma ra ndiso tiñu cha'a' ma xu'un', yakan va ìyo ma ndra chānini ña Jesuu kà'an ra ña na jata ma Juda iin nakuyi kuenda ma viko, ta inga ma ndra chānini ña kūuni ra ka'an ra ña na ku'va ra xu'un' nuu ma ndian nda'vi. Takan kūuni ndra. 
JHN.13.30	Takan kūu ta ora cha yā'a chāchi ma Juda ma paan ikan, tajan kēe ndio ra kuà'an ra, va cha kuaa kùu yi.
JHN.13.31	Ta ora cha kēe ndio ma Juda kuà'an ra, tajan te'en nāka'an ma Jesuu:
JHN.13.31	―Vitin ndicha kuii va nde'o ña ya'aga ka'nu kùu ma ra Se'e Ñivi tāchi Ndioo, ta nda ma Ndioo cha ndē'o ña iin ra ka'nu kùu ra, jà'a ña jàna'i ña na takani kùu ra. 
JHN.13.32	Ta tu yu'u ma ra Se'e Ñivi tāchi Ndioo jàna'a ra naja kua ka'nu kùu ma Racha'nu Ndioo, nda ma Ndioo juuni ni jana'a ra naja kua takani ka'nu kùu ma ra Se'e ra chi'in juuni maa', ta ni ja'a ra yi numini.
JHN.13.33	’Ndyo'o se'yu, na tüva ni koi kua'a' tiempu chi'in ndo, ti ma nuu kuà'in, ndyo'o na küu ku'un ndo, vati tava cha kā'in chi'in ma ndian judíu juuni kua ikan kà'in chi'in ndo ndia. Ta juuni na küu ku'un ndo ma nuu kuà'in ndia. 
JHN.13.34	Yu'u ni ku'vai ma tu'un chaa i'ya nuu ndo ma naja kua ìyo yi ña ja'a ndo, ta te'en kà'an yi: Na kuuni ndo nde'e ndo ta'an ndo. Ta takua kùuni yu'u nde'i ndo ìyo yi ña kuuni ndo nde'e ndo ta'an ndo. 
JHN.13.35	Ta tu ndicha ña kuuni ndo nde'e ndo ta'an ndo, tandi'i ma ñivi ìyo ñuñivi, ni ku'va na kuenda ña ndyo'o kùu ndo ma ndian jàkua'a chi'i̱n.
JHN.13.36	Takan kūu tajan Simón Petu', te'en kīcha'a chìkatu'un ra nuu ma Jesuu:
JHN.13.36	―Yo'o Racha'nu, ¿ndanu kuà'un? ―kàti ra.
JHN.13.36	Ta Jesuu te'en nāka'an ra:
JHN.13.36	―Ma nuu kuà'in, na küu ku'u̱n vitin, va nuu ni ku'u̱n kùu yi tiá iti' nuu ―kàti Jesuu.
JHN.13.37	Tajan ma Petu' te'en nāka'an ra chi'in ra:
JHN.13.37	―Yo'o Racha'nu, ¿ta naja küu ku'in chataun ma nuu kuà'un vitin? ¡Yu'u ìyoni ku'in chi'un, vaji na kuvi̱ cha'un! ―kàti ra.
JHN.13.38	Ta Jesuu te'en nāka'an ra chi'in ra:
JHN.13.38	―¿A ndichaun ña ìyoniun ku'u̱n chi'i̱n vaji na kuviun cha'i? Ndicha va'a ña kà'in chi'un ña antea ña nda'yu ma lo'o, uni cha'a' ni ka'un ña töve nàkotoun yu'u ―kàti Jesuu.
JHN.14.1	’Na töve nuva jà'a ndo ña nda'vi kūuni ndo. Na chinuni ndo ma ña kà'an Ndioo, ta na chinuni ndo ma ña kà'in ndia. 
JHN.14.2	Ma nuu ìyo ve'e ma Tatái, ìyo kua'a' ma nuu koo yo, vati tu töve yi, cha kātitu'in nuu ndo niku. Ta takan kùu yi ña ni kujandova'i ma nuu koo ndo. 
JHN.14.3	Ta ora cha kuà'an ndioi ña kuàjandova'i ma nuu koo ndo, ni kichi ndikoi inga cha'a', ta ni ku'un ndo chi'i̱n, ikan indukuni koo ndo chi'i̱n ma nuu ni koi. 
JHN.14.4	Ta ndyo'o cha chìto ndo ndanu kùu ma nuu kuà'in, ta chìto ndo ma iti' kuà'in ndia ―kàti Jesuu.
JHN.14.5	Tajan ma ra nàni Tomá te'en chīkatu'un ra nuu Jesuu:
JHN.14.5	―Yo'o Racha'nu, töve chìto ndi ma nuu kuà'un, ta, ¿chïto naja kà'un ña cha chìto ndi ma iti' kuà'un?
JHN.14.6	Tajan Jesuu te'en nāka'an ra chi'in ra:
JHN.14.6	―Yu'u kùu ma iti' ndaa, chi'in ma iti' ndicha, ta ma ña chà'a nuu koo ndìto yo. Ta uvaa chi'in yu'uni, kùu chaa yo nuu ìyo ma Racha'nu Tatái. 
JHN.14.7	Tu ndyo'o cha nākoto ndo yu'u, kùuni yi ka'an yi ña juuni cha nàkoto ndo ma Tatái, ta vitin cha nàkoto ndo ra, vati cha ndè'e ndo ra.
JHN.14.8	Tajan ma Lipe te'en nāka'an ra chi'in Jesuu:
JHN.14.8	―Yo'o Racha'nu, na ku'vaun ña na nde'e ndi ma Racha'nu, ra kùu Tatáun, ta chi'in yakan, cha kùu kìndoo va'ani ndi ―kàti ra.
JHN.14.9	Tajan ma Jesuu te'en nāka'an ra:
JHN.14.9	―Yo'o Lipe, cha kua'a' tiempu kùu yi ña ìyoi chi'in ndo, ¿a takä'an nakoto va'un yu'u ña kà'un takan? Ma ndian ndè'e yu'u, juuni ndè'e na Tatái. Ta, ¿naja chìkaun ña na ku'vai nde'e ndo ma Tatái tuva takan? 
JHN.14.10	¿A töve chìnuniun ña yu'u ìyoi chi'in ma Tatái, ta rakan ìyo ra chi'i̱n? Ma tu'un ña kàtitu'in nuu ndo, yöve tu'un ña jàndakuu maani̱ kùu yi, ti ma Tatái, ra ìyo chi'i̱n, kùu ra ña jà'a ra ma ña ndè'e ndo nui. 
JHN.14.11	Na chinuni ndo ña yu'u ìyoi chi'in ma Tatái, ta ma Tatái ìyo ra chi'i̱n ndia. Ta tu töve chìnuni ndo ña takan kùu yi, na chinuni ndo ji tu ma tiñu ka'nu ña ndè'e ndo ña jà'i. 
JHN.14.12	Ndicha va'a ña kà'in chi'in ndo ti ma ndian chìnuni ma tu'in, indukuni ni ja'a na ma tiñu ka'nu, tava jà'i yi. Ta ni ja'a na inga tiñu ka'nuga cha'a' ña ni ku'in nuu ìyo ma Tatái. 
JHN.14.13	Ta ndisaa ma ña chìkan ndo chi'in sivi̱, ni ku'vai yi nuu ndo, ikan yu'u ra kùu Se'e ra, ni jana'i naja kua ya'a ka'nu kùu ma Tatái nuu ndo. 
JHN.14.14	Yakan va tu chìkan ndo iin nakuyi chi'in sivi̱, ni ja'i yi.
JHN.14.15	’Tu ndyo'o kùuni ndo nde'e ndo yu'u, na jachi'in ndo ndisaa ma tu'un ña kàtitu'in nuu ndo. 
JHN.14.16	Ta yu'u ni ndakain nuu ma Tatái ña na tachi ra inga ma ra tìndee ndo, ta rakan, na jamani ra ndo, ta ni koo ra chi'in ndo endeeni. 
JHN.14.17	Ta ra'ya kùu ma Tati Ií Ndioo, ra jàna'a ma ña ndaa cha'a' ma Ndioo. Ta ma ndian ìyo ma ñuñivi i'ya, ña töve chà'a na ña kì'vi ra tichi anima na. Na küu jà'a na yi, ti töve ndè'e na ra, ta töve nàkoto na ra ndia. Va ndyo'o nàkoto ndo ra, ti ìyo ra chi'in ndo, ta ni koo ra chi'in ndo endeeni.
JHN.14.18	Ta na töve ni ndakoo ma'ii̱n ndo, ti ni chikoni'i ndikoi koi chi'in ndo. 
JHN.14.19	Ta tichi tia kivinia, ma ndian töve chìnuni na tüva ni nde'e na yu'u; va ndyo'o ni nde'e ndo yu'u, ti cha'a' ña ìyo nditoi kùu yi ña ni koo ndito ndo endeeni. 
JHN.14.20	Ma kivi ikan, ndyo'o ni ku'va ndo kuenda, ña yu'u ìyoi chi'in ma Tatái, ta ndyo'o ìyo ndo chi'i̱n, ta yu'u chi'in ndo. 
JHN.14.21	Ta ma ndian chìni ma ña kà'in, ta jàchi'in na yi, ndiakan jàna'a na ña ndicha va'a ña kùuni na nde'e na yu'u. Ta ma Tatái nduva'a kuii ni kuuni ra nde'e ra ma ndian kùuni nde'e yu'u, ta yu'u nduva'a kuii ni kuuni̱ nde'i na, ta ni jana'i yu'u nuu na.
JHN.14.22	Ta ma Juda (na yöve ra nàni Iscariote), te'en kīcha'a ra chìkatu'un ra nuu Jesuu:
JHN.14.22	―¿Ta naja chani jana'un ñu̱n nuu ndyu'u, ta töve ni jana'un ñu̱n nuu ma ñivi ìyo ñuñivi? ―kàti ra.
JHN.14.23	Tajan Jesuu te'en nāka'an ra chi'in ra:
JHN.14.23	―Ma ndian kùuni nde'e yu'u, jàchi'in na ma ña kà'in, ta ma Tatái ni kuuni ra nde'e ra na ndia. Tajan yu'u chi'in Tatái ni kichi koo ndio ndi chi'in na. 
JHN.14.24	Ta ma ndian töve kùuni nde'e yu'u, töve jàchi'in na ma ña kà'in. Ta ma tu'un ña chìni ndo, yöve tu'un ña jàndakuu maani̱ kùu yi, ti tu'un ma Tatái, ra tāchi yu'u kùu yi.
JHN.14.25	’Tandi'i ma tu'un ña kà'in chi'in ndo, kà'in yi juuni yanga ìyoi chi'in ndo. 
JHN.14.26	Va ma Tati Ií Ndioo, ña ni tachi ma Tatái chi'in sivi̱, kuenda ña tìndee ra ndo, ta jàndomani ra ndo, ni jana'a ra tandi'i nakuyi nuu ndo, ta tandi'i ma tu'un ña kā'in chi'in ndo niku, rakan ni jakuku'uni ra yi ndo.
JHN.14.27	’Ni ku'in, va ni ndakoi ndo ña na koo taxiin ndo. Ta ma ña chà'i nuu ndo ña na koo taxiin ndo, töve indukuni kùu yi, tava kùu ma ña chà'a ma ndian ìyo ñuñivi. Yakan va na näkanini ndo, ta na yü'vi ndo. 
JHN.14.28	Cha chīni ndo ña kà'in, ña ni ku'in, ta ni kichi ndikoi koi chi'in ndo. Tu ndicha ña kùuni ndo nde'e ndo yu'u, nduva'a sii ni kuuni ndo ma ora chīto ndo niku, ña kà'in ña ni ku'in nuu ìyo ma ra kùu Tatái, vati rakan ka'nuga ra kua yu'u. 
JHN.14.29	Antea ña kùu takan, cha kàtitu'un kuei nuu ndo, ikan ma ora ni kuta'an ña ni kuu ma ña kà'in: na chinuni ndo. 
JHN.14.30	Na küuga ka'an kuà'i chi'in ndo, ti cha vàchi ma ñá' chà'nda tiñu nuu ñu'u' ñuñivi i'ya, vaji töve ìyo nï'iin ndatu ña kùu ja'án' chi'i̱n. 
JHN.14.31	Takan ìyo yi ña kùu yi, ikan na ku'va ma ñivi ñuñivi kuenda ña yu'u kùuni̱ nde'i ma Tatái, ta jà'i ma tiñu ña tāchi ra yu'u ña jà'i. ¡Na ko'o vitin! ―kàti Jesuu.
JHN.15.1	Takan kūu tajan Jesuu te'en nāka'an ndiko ra:
JHN.15.1	―Yu'u kùi takua kùu ma yoku'u uva ndicha, ta ma Tatái kùu ra takua kùu ma ra jàkuenda ma yoku'u ikan. 
JHN.15.2	Ta tu ìyo iin soko ma yoku'u ña töve chà'a ma uva, chà'nda ra yi endeeni. Va tu chà'a yi ma uva, vii ga chà'nda ra soko yi, ikan na ku'va yi tiaga vu. 
JHN.15.3	Ta ndyo'o, cha'a' ña chìnuni ndo ma ña kà'in, cha ndākuu ndo ndian vii takua ma soko yoku'u chaa ikan. 
JHN.15.4	Yakan va na induku koo ndo chi'i̱n, takua induku ìyoi chi'in ndo. Vati ma soko ma yoku'u uva, na küu ku'va maa yi ma uva, tuva töve tàtuu yi chata ma yoku'u. Ta indukuni, ndyo'o na küu ja'a ndo ma tiñu va'a, tuva töve induku chàkunuu ndo chi'i̱n.
JHN.15.5	’Yu'u kùu ma yoku'u uva, ta ndyo'o kùu ndo takua kùu ma soko run. Ta ma ndian induku ìyo chi'i̱n, ta induku ìyoi chi'in na; kùu ja'a na kua'a' ma tiñu va'a, vati tu töve ìyoi chi'in ndo, nï'iin nakuyi küu ja'a ndo. 
JHN.15.6	Ma ndian töve induku ìyo chi'i̱n, ni jakuitai na ma nuu ni natii na, ta ikan ni kayu na takua tà'an ma soko yutun ití. 
JHN.15.7	Ta tu ndyo'o induku ìyo ndo chi'i̱n, ta jàchi'in ndo ma ña jàna'i nuu ndo, ta töve nàani ndo, kùu ndakan ndo ma ña kùuni maa ndo, ta ni'i ndo yi. 
JHN.15.8	Kuenda ma Tatái, ya'aga ka'nu kùu yi, tuva chìto ra ña ndyo'o iin locho ndo takua ka'ìin kua'a' chiti uva ma yoku'u vu. Tu jà'a ndo takan, ndicha kuii ña ni chaa ndo kùu ndo ndian jàkua'a chi'i̱n. 
JHN.15.9	Yu'u ya'aga kùuni̱ nde'i ndo, indukuni takua kùuni ma Tatái nde'e ra yu'u. Yakan va koto jäña ndo ña jà'a ndo yi, ti kùuni̱ nde'i ndo. 
JHN.15.10	Tu jàchi'in ndo ma tu'un ña kùuni̱ ja'a ndo, töve ni jañai ña kùuni̱ nde'i ndo, ti yu'u takua jàchi'i̱n ma tu'un kà'an ma Tatái. Yakan va töve jàña ra ña kùuni ra nde'e ra yu'u.
JHN.15.11	’Takan kà'in chi'in ndo, ikan na ku'vai ña sii ìyo nui ña na koo yi chi'in ndo. Ta takan na kindoo ndo ña nduva'a kuii sii kuuni ndo. 
JHN.15.12	Ma tu'un ña kùuni̱ ja'a ndo, te'en kà'an yi: na kuuni ndo nde'e ndo ma ta'an ndo, tava kùuni yu'u nde'i ndo. 
JHN.15.13	Ma ña ka'nuga ña jà'a yo kùu yi ña ku'va yo ma kuñu yo ña kuvi yo cha'a' ma ndian meru yo. 
JHN.15.14	Ndyo'o kùu ndo ndian merui, tuva jà'a ndo ma tiñu tāchi̱ nuu ndo. 
JHN.15.15	Tüva ni ka'in ña kùu ndo musui, ti ma ndian kùu musu, na töve chìto na nda ña kùu ma ña jà'a ma chito'o na. Kà'in chi'in ndo ña kùu ndo ma ndian amigui, vati chà'i ña koto kachin ndo tandi'i ma ña jāna'a ma Tatái nui. 
JHN.15.16	Ta na yöve ndyo'o kùu ndo ña kāchin ndo yu'u, ti yu'u kùu ma ra kāchi̱n ndo, ta chā'i ma tiñu ndo ña na kùu ndo tatuin, ta jà'a ndo kua'a' ma tiñu va'a. Ta endee ni koo yi, ikan ndisaa ma ña ni ndakan ndo nuu ma Tatái chi'in sivi̱, ni ni'i ndo yi. 
JHN.15.17	Ña'a kùu ma tu'un ña tāchi̱ nuu ndo: na kuuni ndo nde'e ndo ma ta'an ndo.
JHN.15.18	’Tuva ma ñivi ìyo ñuñivi xaani na ndè'e na ndo, na koto ndo ña ji'na yu'u kùu ma ra kīcha'a na xàani na kua maa ndo. 
