GEN.1.1	Pamugaan, Allah manjadiakan langit wan bumi. 
RUT.3.7	Imbah Boas tuntung makan lawan nginum, inya marasa puas lawan himung banar. Inya bajalan ka ujung timbunan jalai, lalu ai inya guring di situ. Bahihinipan Rut datang manyingkai salimput intangan batis Boas. Hanyar inya barabah parak batisnya 
RUT.3.8	Tangah malam bakakajutan Boas tabangun. Pas handak babalik, takajut sidin manjanaki ada saikung bibinian guring parak batisnya.
RUT.3.9	“Siapa ikam?” ujar Si Boas batakun.
RUT.3.9	“Ulun Rut, Tuan ai, Pian tu tamasuk kula kami nang parak nang musti maharagu kami” ujar si Rut manyahut.
RUT.3.10	“Mudahan Allah mambarkahi ikam, ding ai. Dahulu kulihat ikam ni baik banar, kasih wan bakti banar lawan mintuha ikam. Hari ini, aku lihat ikam labih baik lagi. Sualnya ikam kawa haja bacari laki nang anum. Sugihkah, kadakah? Tagal ikam hakun haja lawan aku. 
RUT.3.11	Lantaran itu, ding ai, kada usah takutan. Samuaan nang ikam minta tu cagar kukabulakan lantaran samuaan urang di kota ini tahu bahwa ikam bakalakuan baik. 
RUT.3.12	Sabujurnya dasar Aku nang musti maharagu ikam lantaran aku tamasuk kula ikam nang parak. Tagal masih ada lagi urang lain nang musti batanggung jawab atas kahidupan ikam lawan inya tamasuk kula ikam nang taparak pada aku. 
RUT.3.13	Malam ini, ikam bagana haja di sini dulu. Isuk baisukan aku cagar manakunakan apakah inya hakun malaksanaakan tanggung jawab itu lawan ikam atawa kada. Amun inya hakun, biar inya haja nang maharagu. Tagal amun inya kada hakun, maka aku bajanji demi Allah nang hidup aku cagar maharagu ikam. Wayah ini guring ja disini sampai baisukan” ujar Boas baucap lawan Rut.
RUT.3.14	Maka guring ai pulang Rut parak batis Boas. Sungsung banar, Rut sudah bangun sakira kada dilihat urang sabab ujar Boas, “Kada baik dilihat urang amun babinian datang ka wadah pairikan.” 
RUT.3.15	“Pacul kakamban ikam lalu hampar disini” ujar Boas lawan Rut.
RUT.3.15	Maka Rut mamacul kakambannya lawan mahamparakannya. Boas maluruk kadalam kakamban itu jalai sabalik lalu diandaknya kaatas bahu Rut. Imbah itu, Boas tulak ka kuta.
RUT.3.16	“Nang kaya apa jar, nak?” ujar Naomi batakun lawan Rut imbah Rut bulik ka wadah Naomi.
RUT.3.16	Maka Rut mangisahakan samuaan nang dilakuakan Boas lawan inya. 
RUT.3.17	“Sidin manyangui ulun jalai sabalik sabab ujarnya ulun kada dibariakan bulik ka wadah mintuha amun kada disangui napa-napa” ujar Rut baucap lawan Naomi.
RUT.3.18	“Kita hadangi haja, nak ai, nang kaya apa kaputingannya kaina. Sidin kada cagar badiam amun kada tuntung parkaranya hari ini jua” ujar Naomi manyahut.
RUT.4.1	Tulakai Boas ka wadah bamusawarah di garbang kota. Wayah sidin duduk disana, urang nang disambat sidin kula Elemeleh nang taparak tu lalu di situ. Boas mangiaunya, “Dangsanak ku kasini pang satumat, ayu kita dudukan disini nah.” Lalu duduk ai urang tu. 
RUT.4.2	Imbah itu Boas mambawai sapuluh ikung bubuhan tatuha adat kuta itu. Dudukan bubuhannya barataan disitu.
RUT.4.3	“Naomi sudah bulik matan Moab. Wayahini inya handak manjual tanah ampun aruah Elimeleh, kula kita. 
RUT.4.4	Pangrasaku, aku musti mahabari ikam manganai hal itu. Amun ikam hakun manukar tanah Elimeleh tu, bapadah ja wayahini tampulu ada bubuhan tatuha adat dudukan disini. Amun kada, bapadah ja jua sabab kita badua haja nang bahak manukarnya. Ikam nang panambayan. Imbah itu, hanyar aku” ujar Boas baucap lawan dangsanaknya tu.
RUT.4.4	“Ya aku nang manukarnya” ujar urang itu manyahuti Boas.
RUT.4.5	“Ayu ha amun nang kaya itu. Tagal amun ikam manukar tanah itu matan Naomi maka ikam musti jua maambil bini, si Rut, urang Moab tu, balu aruah Mahlon sabab tanah itu musti tatap manjadi ampun juriat nang maninggal itu” ujar Boas baucap.
RUT.4.6	“Amun kaya itu, aku kada kawa. Kulapas haja hakku sabagai urang panambaian nang musti manukar tanah itu gasan ikam. Kadada gunanya aku manukar sabab tanah itu tantu kada pacangan jadi ampun juriatku” ujar urang itu manyahut.
RUT.4.7	Pada jaman itu, di banua Israel, urang nang bajual atawa urang nang manukar, salah saikungnya mamacul wan manjulung sabalah sandalnya lawan pihak nang satunya gasan tanda jadi.
RUT.4.8	“Ikam haja gin nang manukarinya” ujar urang tu baucap lawan Boas sambil mamacul sandalnya sabalah lalu dijulungnya lawan Boas.
RUT.4.9	“Hari ini, bubuhan ikam samuaan saksinya bahwa aku nang manukari matan Naomi samunyaan ampun aruah Elimeleh lawan anak anaknya yaitu Killion lawan Mahlon. 
RUT.4.10	Imbah itu, aku jua maambil Rut, babinian Moab, balu aruah Mahlon tu jadi biniku. Jadi tanah tu cagar tatap manjadi ampun kaluarga urang nang sudah maninggal tu. Ngaran aruah tu gin cagar tatap diingat urang diantara sanak kaluarganya lawan dikotanya. Ingatakan dangsanak-dangsanak lah, hari ini bubuhan ikam samuaan saksinya” ujar Boas baucap lawan bubuhan tatuha adat wan samuaan urang lain nang ada disitu.
RUT.4.11	“Inggih, kami saksinya. Mudahan Allah manjadiakan bini ikam tu nang kaya Rahil wan Lia
RUT.4.12	Mudahan Allah mambariꞌi ikam anak-anak matan bibinian anum tu nang kaya juriat Peres nang diranakakan Tamar gasan Yahuda” ujar bubuhan tatuha adat baucap lawan urang lain nang ada disitu.
RUT.4.13	Maka Rut diambil Boas jadi bininya. Imbah bubuhannya bakumpul laki bini, Allah mambarkahi Rut sampai inya batianan lalu maranakakan saikung anak lalakian. 
RUT.4.14	“Subahanallah. Inya sudah mambariꞌi cucu lalakian pada hari ini gasan maharagu ikam. Mudahan inya tu manjadi urang nang badahi di Israel 
RUT.4.15	Minantu ikam tu sayang banar lawan ikam. Inya labih bamanfaat daripada banyak baisi anak lalakian. Wayah ini, inya mambariꞌi jua cucu lalakian lawan ikam nang cagar manyigari jiwa ikam lawan maharagu ikam wayah ikam tuha” ujar bubuhan bibinan kampung baucap lawan Naomi.
RUT.4.16	Naomi maambil anak tu. Disayangi wan diharagunya. 
RUT.4.17	Bubuhan bibinian nang baparakan rumah lawan Naomi mangaraninya Obed.
RUT.4.17	“Saikung lalakian sudah diranakakan gasan Naomi” ujar bubuhannya tadi.
RUT.4.17	Obed abahnya Isai. Isai abahnya Nabi Daud.
RUT.4.18+RUT.4.19+RUT.4.20+RUT.4.21+RUT.4.22	Ini pang padatuan Nabi Daud bamula matan Peres. Panambaian, Peres abahnya Hezron, Hezron abahnya Ram, Ram abahnya Aminadab, Aminadab abahnya Nathson, Nathson abahnya Salmon, Salmon abahnya Boas, Boas abahnya Obed, Obed abahnya Isai, wan Isai abahnya Nabi Daud.
PSA.1.1	Babahagia urang nang kada manggawi napa nang dipadahi ulih urang jahat.
PSA.1.1	Inya kada maumpati kalakuan urang nang badusa.
PSA.1.1	Inya kada bakawal lawan urang nang mahahulut Allah.
PSA.1.2	Tagal urang nang bujur ini katuju maasi parintah Allah.
PSA.1.2	Inya mambaca wan mamikirakannya jua saban hari, siang wan malam.
PSA.1.3	Inya bahasil tarus
PSA.1.3	nang kaya puhun puhun buah di pinggir sungai babuah wayah musimnya,
PSA.1.3	daun-daunnya gin kada suah layu.
PSA.1.4	Tagal urang nang jahat kada nang kaya nitu!
PSA.1.4	Inya kada baguna nang kaya sekam nang ditiup angin.
PSA.1.5	Maka urang nang jahat cagaran dihukum Allah,
PSA.1.5	wan jua cagaran dijauhakan matan umat Allah.
PSA.1.6	Sualnya urang nang taat dibimbing wan dilindungi Allah,
PSA.1.6	tagal urang nang jahat cagaran dibinasaakan ulih Allah.
JON.1.1	Suatu hari, ALLAH mandatangi Yunus, anak Amitai. 
JON.1.2	“Lakasi, ikam tulak ka kuta Niniwe, kuta nang ganal tu. Padahakan lawan bubuhannya Aku cagar mahukum bubuhannya sualnya Aku sudah mangatahui dusa-dusanya nang saling banyakan” ujar ALLAH bapadah lawan Yunus.
JON.1.3	Sakalinya Yunus kada hakun tulak ka kuta Niniwe, malahan inya handak tulak baampah ka arah nang balawanan, ka kuta Tarsis gasan malapasakan tugas nang dibariꞌi ALLAH tadi. Inya tulak ka palabuhan Yopa wan malihat sabuah parahu layar nang baloteng nang handak tulak ka kuta Tarsis. Imbah tambang dibayarinya, inya umpat ka kuta Tarsis.
JON.1.4	Tagal, di tangah lautan, ALLAH mandatangakan angin ribut nang ganal banar. Lalu datanglah galombang laut nang ganal banar, mahantam parahu layar tu sampai parak tinggalam. 
JON.1.5	Bubuhan anak buah parahu layar tu katakutanan wan bahimat baduꞌa minta tulung lawan diwa diwanya saurang. Lalu isi nang ada di parahu layar tu dibuangi ulih bubuhannya ka laut gasan mahampulakan parahu layar tu sakira kada tinggalam. Padahal Yunus sudah turun ka dalam loteng parahu layar nang paling bawah wan barabah, lalu taguring janak banar.
JON.1.6	Imbah itu, turun ai juragan mandapati Yunus nang lagi guring janak tu, lalu ai digaraknya.
JON.1.6	“Umailah ikam nih nyamannya, nang kaya ini kaadaannya, kawa haja ikam guring! Ayu, lajui badiri, baduꞌa lawan diwa ikam, kalu ai diwa ikam kawa manulungi gasan manyalamatakan kita barataan sakira kita kada matian” ujar juragan baucap lawan Yunus.
JON.1.7	Yunus lawan juragan naikan ka loteng atas.
JON.1.7	“Nah, ayu kita bacabut undian sakira kita tahu siapa nang basalah, sampai kita kana musibah nang kaya ini” ujar bubuhan anak buah parahu layar bapandir papadaannya.
JON.1.7	Lalu, diadaakannya cabutan undian tadi. Yunus nang kana.
JON.1.8	“Padahakan ja lawan kami, lantaran siapa kita ditimpa musibah nang ini? Apa gawian ikam? Ikam orang mana, bangsa mana?” ujar bubuhan anak parahu layar manakuni Yunus.
JON.1.9	“Aku ni orang Ibrani. Aku manyambah ALLAH, nang di surga, nang maulah tanah lawan lautan nang ganal” ujar Yunus manyahut.
JON.1.10	Bubuhannya sudah tahu bahwa inya handak manjauhi ALLAH. Itu sudah dipadahakan Yunus lawan bubuhannya.
JON.1.10	“Napa nang sudah ikam gawi nih sampai laut sasain bahamuk?” 
JON.1.11	“Kami apakan ikam sakira angin ribut ini kada bahamuk lagi?” ujar bubuhannya batakun lawan Yunus sambil batambah katakutanan lantaran angin ribut sasain bahamuk.
JON.1.12	“Timbai ja aku ka laut; musti angin ribut ni baranai. Aku tahu aku ni panyababnya angin ribut ni nang manimpa bubuhan ikam” ujar Yunus manyahut.
JON.1.13	Tapi bubuhan anak buah parahu layar tatap haja mangayuh parahunya sakira kawa ka pinggir pantai. Tagal bubuhannya kada bahasil; angin sasain bahamuk. 
JON.1.14	Lantaran itu, bubuhannya baduꞌa bahimat lawan ALLAH, Tuhan nang disambah ulih Yunus.
JON.1.14	“Ya ALLAH, Tuhan kami, kami handak manimbai urang ini ka laut. Sabujurannya, urang ini kadada maulah dusa lawan kami. Lantaran itu, kami mamohon lawan Pian, janganlah mambinasaakan kami bila kami manimbai urang ini ka laut. Samunyaan nang ini sudah tajadi lantaran kahandak Pian” ujar bubuhannya sambil baduꞌa.
JON.1.15	Imbah itu, bubuhannya maangkat wan manimbai Yunus ka laut. Wayah itu jua, angin ribut tu baranai. 
JON.1.16	Pas wayah itu, bubuhannya takutan banar lawan ALLAH. Imbah itu, bubuhannya mambariakan sasajian lawan ALLAH wan bajanji macam-macam lawan ALLAH.
JON.1.17	ALLAH mandatangakan saikung iwak nang ganal gasan managuk Yunus. Yunus baada di dalam parut iwak nang ganal tu salawas talu hari talu malam.
JON.2.1	Dalam parut iwak tu, Yunus baduꞌa lawan ALLAH, Tuhannya. 
JON.2.2	Ujarnya,
JON.2.2	“Ya ALLAH, dalam kangalihan, ulun baduꞌa lawan Pian,
JON.2.2	lalu Pian mangabulakan duꞌa ulun.
JON.2.2	Matan kangalihan ulun
JON.2.2	parmintaan ulun Pian kabulakan.
JON.2.3	Ka laut nang paling dalam,
JON.2.3	Pian timbai sampai ka dasar lautan.
JON.2.3	Ulun dihanyutakan banyu nang daras,
JON.2.3	galombang nang dikirim Pian mahampas ulun.
JON.2.4	Di dalam hati, ulun bapikir, ‘Ulun sudah disuruh bajauh matan hadapan Pian.’
JON.2.4	Tagal ulun cagar kawa lagi malihat Bait Allah nang suci.
JON.2.5	Banyu laut naik sampai ka muntung ulun,
JON.2.5	lautan luas managuk awak ulun,
JON.2.5	kumpai laut malilit kapala ulun.
JON.2.6	Ulun tinggalam di banyu laut nang paling bawah
JON.2.6	di dasar gunung gunung;
JON.2.6	pangrasa ulun lawangnya takunci salawasan di balakang ulun.
JON.2.6	Lalu ulun dinaikakan Pian matan dasar laut, Ya ALLAH, ya Tuhan ulun!
JON.2.7	Pas ulun lapah kauyuhan,
JON.2.7	ulun kaganangan lawan Pian,
JON.2.7	ulun minta tolong lawan Pian.
JON.2.7	Maka sampai ai parmintaan ulun lawan Pian
JON.2.7	ka dalam Bait Pian nang suci.
JON.2.8	Bubuhan panyambah berhala nang sia-sia
JON.2.8	manolak rahmat Allah, nang mangasihi bubuhannya lawan setia.
JON.2.9	Tagal ulun ni pang nang handak maucapakan syukur lawan Pian
JON.2.9	wan handak malaksanaꞌakan korban lawan Pian.
JON.2.9	Sagala janji ulun lawan Pian, handak ulun laksanaꞌakan.
JON.2.9	Pian jua nang manyalamatakan.”
JON.2.10	Lalu ALLAH manyuruh iwak tu maluak Yunus ka darat. Lalu diluakakannya ai Yunus tu.
JON.3.1+JON.3.2	“Lakasi ikam tulak ka kuta Niwiwe, kuta nang ganal tu. Padahakan lawan bubuhan Niwiwe pasan nang Kubariakan lawan ikam” ujar ALLAH manyuruh Yunus gasan kadua kalinya.
JON.3.3	Lalu Yunus maasi parintah ALLAH, tulak ai inya ka kuta Niniwe. Niniwe tamasuk kuta nang ganal banar. Talau hari lawasnya amun bajalan batis di dalam kuta nitu. 
JON.3.4	Imbah masuk ka kuta nitu, lalu bajalan batis saharian, hanyar di situ inya manyampaiakan pasan Allah.
JON.3.4	“Ampat puluh hari lagi kuta ini lawan warga sakampungannya pacangan dibinasaakan,” ujar Yunus sambil bakuciak lawan urang banyak nang ada di situ.
JON.3.5	Lalu saluruh rakyat nang ada di kuta Niniwe tu parcaya lawan pasan Allah tu. Bubuhannya mamutusakan gasan puasa. Bubuhannya sabarataan, baik urang nang tuha maupun urang nang anum, mamuruk baju karung nang diulah matan karung baras gasan manunjukakan bahwa bubuhannya manyasali dosa-dosanya. 
JON.3.6	Imbah itu, pesan nang itu tadangar ulih raja kuta Niniwe. Sidin turun matan singgasananya. Dipaculnya jubah karajaannya, dipuruknya kain karung, lalu baduduk di atas habu gasan manunjukakan bahwa sidin manyasali dosa-dosanya. 
JON.3.7	Raja lawan manteri-manterinya mambari pangumuman nang ini lawan rakyat Niniwe:
JON.3.7	“Samunyaan panduduk wan binatang inguan musti puasa. Jangan ada nang makan atawa nginum. 
JON.3.8	Kain karung musti dipuruk ulih samunyaan bubuhan panduduk. Binatang binatang gin musti ditukupi lawan kain karung. Samunyaan urang musti maminta bujur-bujur lawan Allah sagan mangubah niat-Nya. Samunyaan urang musti batobat lantaran kalakuan nang jahat wan manyakiti urang lain. 
JON.3.9	Amun kita baubah, mudahan Allah kada sarik wan kada jadi mambinasaꞌakan kita barataan” ujar Raja dan manteri-manterinya manyuruh rakyat tadi.
JON.3.10	Pas Allah malihat bahwa bubuhannya sudah batobat matan kalakuan nang jahat, maka Allah marasa maras banar wan Inya maubah niat-Nya mambinasaakan bubuhan kuta Niwiwi nang itu.
JON.4.1	Wayah Yunus mangatahui hal itu, maka sidin pusang wan sarik banar
JON.4.2+JON.4.3	“Ya ALLAH, ulun sudah baucap sabalum tulak mulai rumah ulun bahwa Pian cagar babuat nang kaya ini! Makanya ulun tulak bajauh ka kuta Tarsis, maninggalakan Pian lantaran ulun tahu bahwa Pian maha panyayang wan maha pangasih, wan salalu siap maubah rancana hukuman Pian lantaran sifat Pian nang sabar! Wayahini, ya ALLAH ya Tuhan ulun, maraha ulun mati sabab labih bagus ulun mati katimbang ulun hidup” ujar Yunus sambil baduꞌa.
JON.4.4	“Ikam kadada alasan sarik kaya itu” ujar ALLAH manyahut.
JON.4.5	Imbah itu, Yunus kaluar maninggalakan kuta Niniwe baampah ka subalah timur. Inya maulah sabuah lampau, lalu duduk banaung di dalamnya sambil mahadangi nang apa pacangan tajadi di kuta Niwiwe.
JON.4.6	Lalu, ALLAH manumbuhakan tanaman nang malancar gasan mambari naungan lawan Yunus sakira inya marasa nyaman wan tahibur hatinya. Yunus katuju banar lawan tanaman itu. 
JON.4.7	Tagal imbah waktu subuh, Allah maulah saikung cacing mangorek tanaman itu, sampai jadi layu. 
JON.4.8	Imbah matahari cungul, Allah mandatangakan angin nang panas banar nang batiup matan timur. Hari panas manggantang nang maulah kapala Yunus ngalu, sampai parak siup. Inya baharap lakas mati.
JON.4.8	“Baiknya ulun mati katimbang ulun hidup” ujar Yunas sambil bamamay.
JON.4.9	“Ikam kada patut sarik manganai tanaman itu” ujar Allah manyahut.
JON.4.9	“Ulun patut sarik sampai mati” ujar Yunus batambah pulang.
JON.4.10	“Ikam marista banar lantaran kahilangan tanaman itu. Tapi ikam kada manamanmnya wan kada ikam jua nang manumbuhakannya. Tanaman ini tumbuhnya hanya samalaman haja wan isuknya sudah kadada. 
JON.4.11	Mustinya Aku nang labih marista mamikirakan kuta Niniwe nang ganal tu. Sualnya salain banyak banar binatang-binatangnya, panduduknya gin labih saratus dua puluh ribu orang, nang kada bisa mambedaakan mana nang baik wan mana nang jahat!” ujar Allah manjalasakan ka Yunus.
LUK.2.8	Wayah malam di antangan kuta Betlehem, bubuhan panjaga inguan parahatan manjaga binatang inguannya di padang. 
LUK.2.9	Bakakajutan ada malaikat nang badiri parak bubuhannya. Lalu cahaya Allah manyinari bubuhannya tadi, lalu ai bubuhannya takutan banar. 
LUK.2.10	“Jangan takutan” ujar malaikat. “Aku mambawa habar baik gasan bubuhan ikam. Habar nang ini cagar mahimungakan samunyaan urang. 
LUK.2.11	Hari ini di kuta Raja Daud, hanyar diranakakan Al Masih, Junjungan nang datang gasan manyalamatakan bubuhan ikam. 
LUK.2.12	Ini nah cirinya: bubuhan ikam cagaran mandapati saikung anak halus nang disalimputi lawan tapih. Anak halus tu dirabahakan di wadah makanan binatang inguan.” 
LUK.2.13	Bakujutan kumpulan malaikat lain batampai wan bakumpulan wan malaikat nang panambaian tu. Bubuhannya bamula mamuji Allah. 
LUK.2.14	“Allah hu akbar! Mara ha samunyaan malaikat mamuji Allah. Wan di bumi mara ha manusia nang dibarkahi Allah manarima damai sajahtera.”
LUK.2.15	Imbah malaikat malaikat mainggalakan bubuhannya wan babulik ka surga, bubuhan panjaga inguan bapandir antara bubuhannya, “Ayu kita tulakan ka Betlehem. Nyaman kita malihat saurang paristiwa-paristiwa nang dihabarakan Allah tadi.” 
LUK.2.16	Badadas ai bubuhannya tulakan ka situ. Sakalinya badapat jua bubuhannya lawan Siti Maryam, wan Yusup wan anak halus tu nang dirabahakan di wadah makanan binatang inguan. 
LUK.2.17	Imbah malihat anak halus tu, bubuhan panjaga inguan mahabarakan napa nang diucapakan malaikat-malaikat tadi manganai anak halus tu. 
LUK.2.18	Samunyaan urang hiran mandangar habar bubuhan panjaga inguan tu. 
LUK.2.19	Tagal Siti Maryam manyambunyiakan samunyaan parkara nitu dalam hatinya wan mamikirakannya. 
LUK.2.20	“Syukur Al Hamdulilah” ujar bubuhan panjaga inguan mamuji Allah sambil bulikan. “Samunyaan nang hanyar kita lihat wan hanyar kita dangar pas banar lawan napa nang dipadahakan malaikat tadi” ujarnya pulang.
LUK.2.21	Ganap dalapan hari, Anak nang itu disunat lalu dingarani Isa. Ngaran nang itu dipadahakan malaikat sabalum Siti Maryam batianan.
LUK.2.22	Pas wayahnya adat pambarasihan manurut hukum nang disampaiakan ulih Nabi Musa, Yusup lawan Siti Maryam mambawa Anak nitu ka Bait Allah di Yarusalem gasan didoaꞌakan. 
LUK.2.23	Sualnya di dalam hukum Allah nang disampaiakan ulih Nabi Musa tatulis nang kaya ini, “Satiap anak lalakian nang panambaian harus disarahakan ka Allah.”
LUK.2.24	Allah jua mawajipakan amun anak panambaian lalakian, kuitannya musti mamparsambahakan kurban nang kaya ditantuakan hukum Allah, sapasang burung darakuku atawa dua ikung anak burung dara. Maka handak ai kuitan Isa malakuakan nang kaya itu jua.
LUK.2.25	Wayah itu di kuta Yarusalem, ada saikung lalakian nang takwa wan saleh. Ngarannya Simiun. Sidin lagi mahadangi datangnya Al Masih nang dijanjiakan Allah gasan manyalamatakan bubuhan Israil. Sidin dipimpin ulih Ruh Allah. 
LUK.2.26	Sidin dipadahi Ruh Allah bahwa sidin kada cagar mati sabalum malihat Al Masih. 
LUK.2.27	Lantaran dipimpin Ruh Allah, sidin baampah ka Bait Allah. Kabalujuran wayah itu, Yusup wan siti Maryam mambawa Isa ka situ jua gasan mangurbanakan burung lawan mandoaꞌakan Isa nang kaya diwajibakan Kitab Suci Taurat. 
LUK.2.28	Pas Simiun malihat Anak halus nang itu, dihimpunya ai sambil mamuji Allah.
LUK.2.29	“Ya Allah” ujar Simiun badoa, “Janji pian gasan ulun sudah dikabulakan.
LUK.2.29	Maraha ulun maninggal dalam kaadaan damai sajahtra.
LUK.2.30	Sualnya ulun ni sudah malihat utusan Pian
LUK.2.30	nang cagar manyalamatakan manusia.
LUK.2.31	Anak nang ini Pian pilih
LUK.2.31	gasan samunyaan urang.
LUK.2.32	Inya tu nang kaya cahaya gasan manarangi samunyaan suku bangsa.
LUK.2.32	Lawan pulang inya cagaran mandatangakan kahormatan gasan umat Pian, bangsa Israel.”
LUK.4.16	Lalu Nabi Isa sampai ka kuta Nazaret, banua Sidin diganalakan. Wayah hari Sabat (hari istarahat wan sambahyang gasan juriat Nabi Ibrahim), nang kaya biasanya, Sidin masuk ka rumah ibadat. Lalu Sidin badiri gasan mambacaakan Kitab Suci. 
LUK.4.17	Imbah itu, Sidin dijulungi sabuah gulungan Kitab Suci, surah Nabi Yasaya. Dibuka Sidin ai, lalu tadapat bagian nang handak dibacaakan manganai Al Masih. Di situ tatulis: 
LUK.4.18	“Ruh Allah marasuki Aku sualnya Allah mamilih wan mautus Aku gasan mahabarakan ka urang-urang susah amun Allah cagaran manulungi bubuhannya. Allah mautus Aku gasan mahabari amun urang nang takurung cagaran dibibasakan, urang nang picak cagaran malihat, urang nang tatindas cagaran dibibasakan. 
LUK.4.19	Allah mautus Aku gasan mahabarakan amun Inya cagaran manyalamatakan manusia” ujar Nabi Isa mambacaakan surah tadi. 
LUK.4.20	Gulungan Kitab Suci tadi digulung pulang wan dibulikakan ka patugas di situ. Imbah itu, duduk ai Nabi Isa gasan mangajar urang-urang nang ada di situ. Samunyaan urang di situ maitihi Sidin. 
LUK.4.21	“Hari ini, napa nang bubuhan ikam hanyar dangar tadi sudah bamula tajadi” ujar Nabi Isa bamula mangajar.
LUK.4.31	Lalu Nabi Isa tulak ka Kapernaum, sabuah kuta di banua Galilea. Nang kaya biasa, pada hari Sabat, Sidin mangajar urang di rumah-rumah ibadat di situ. 
LUK.4.32	Kagum banar urang banyak tu mandangarakan ajaran Nabi Isa. Sualnya Sidin tu bapander bapangaruh. 
LUK.4.33	Di rumah ibadat nang itu ada saikung lalakian nang kasarungan roh jahat. Inya manceleng-celeng sambil bakuciak-kuciak. 
LUK.4.34	“Ui! Nabi Isa, urang matan kampung Nasaret! Tulung pang kami jangan diganggu! Pian handak mambinasakan kami kah? Aku tahu ai Pian tu. Pian tu utusan nang suci matan Allah.” 
LUK.4.35	“Bahinip ja! Bajauh matan urang ini!” ujar Nabi Isa manyuruh bajauh ruh jahat tadi. Lalu, ruh jahat tadi mahampas urang tadi dihadapan urang banyak. Imbah itu, kaluaran ai roh roh jahat tadi tagal urang tadi kada disakitinya. 
LUK.4.36	Samunyaan urang hiran wan baucap ka urang lain, “Hibatnya lah pandiran Sidin tu. Bapangaruh wan bakuasa. Wayah Sidin manyuruh ruh ruh jahat tu bajauh, langsung maasi ai ruh ruh jahat tu lawan pandiran sidin!” 
LUK.4.37	Maka habar manganai kuasa Nabi Isa dihabarakan ka samunyaan palosok di banua nitu.
LUK.6.20	Wayah itu, Nabi Isa manjanaki bubuhan pangikut Sidin, lalu baucap,
LUK.6.20	“Bahimunglah bubuhan ikam nang susah
LUK.6.21	Bahimunglah bubuhan ikam nang lapar, karna bubuhan ikam cagar dikanyangakan.
LUK.6.22	Amun bubuhan ikam dimuari, ditolak, dihina, wan difitnah lantaran bubuhan ikam maumpati Aku, nang datang matan surga, 
LUK.6.23	bahimunglah wan basuka haja wayah itu. Sualnya pahala gasan bubuhan ikam ganal di surga. Bubuhan nabi bahari gin diulah nang kaya itu jua. Lantaran itu, bubuhannya dapat pahala matan Allah. 
LUK.6.24	Cilakalah bubuhan ikam nang sugih, sualnya ikam sudah marasaakan nang nyaman nyamannya haja wayah ini. Kaina tinggal nang cilakanya haja. 
LUK.6.25	Cilakalah bubuhan ikam nang wayah ini kakanyangan, kaina ikam cagar kalaparan. Cilakalah bubuhan ikam nang wayah ini tatawa. Kaina ikam cagar basadih wan manangis. 
LUK.6.26	Cilakalah bubuhan ikam amun diambung urang tarus. Urang urang bahari nang bapiragah jadi nabi gin diambung jua. Imbah itu bubuhannya dihukum Allah. 
LUK.6.27	Tapi kupadahilah, sayangi samunyaan urang tamasuk musuh musuh bubuhan ikam. Babuat baik lah lawan nang muar wan bubuhan ikam. 
LUK.6.28	Barkahilah urang nang manyumpahi bubuhan ikam. Doaakan nang baik baik gasan samunyaan urang tamasuk nang manjahati bubuhan ikam. 
LUK.6.29	Amun urang malapau pipi ikam gasan manyupani ikam, bariakan jua pipi nang subalahnya pulang. Amun jubah bubuhan ikam diambil, biarakan ja inya maambil baju ikam jua. 
LUK.6.30	Bariꞌi urang nang maminta lawan bubuhan ikam! Jangan minta bulikakan ampun bubuhan ikam nang sudah diambil urang. 
LUK.6.31	Bubuhan ikam handak urang lain malakuakan napa ka bubuhan ikam? Nah, lakuakan ja nang kaya itu jua ka urang lain. 
LUK.6.32	Satiap urang musti ada nang sayang wan inya dan nang kada sayang wan inya. Amun bubuhan ikam bapilih hanya sayang wan urang nang sayang wan bubuhan ikam haja, kada bapahala! Urang urang badusa gin sayang jua wan urang nang sayang wan bubuhannya. 
LUK.6.33	Amun bubuhan ikam babuat baik cuma wan urang nang babuat baik wan ikam, kada bapahala jua. Urang badusa gin babuat baik jua wan urang nang babuat baik wan bubuhannya. 
LUK.6.34	Amun bubuhan ikam mainjami cuma ka urang nang kawa mambulikakannya haja, kada bapahala jua. Urang badusa gin mainjami ka urang nang kaya itu jua. 
LUK.6.35	Tapi jangan nang kaya itu lah! Sayangi musuh musuh bubuhan ikam. Babuat baik lah wan bubuhannya. Injami ja bubuhannya. Kada usah baharap dibulikakan. Ganal pahala bubuhan ikam kaina. Amun bubuhan ikam balaku nang kaya itu tadi, itu pang mambuktiakan amun bubuhan ikam sudah balaku nang kaya Nang Di Atas. Sualnya Nang Di Atas baik jua wan samunyaan urang tamasuk nang jahat wan nang kada manyukuri pambarian-Nya. 
LUK.6.36	Abah bubuhan ikam nang di atas katuju manulung urang. Maka bubuhan ikam harus katuju manulung urang jua nang kaya Abah nang di atas. 
LUK.6.37	Jangan maniwas urang, nyaman bubuhan ikam kada ditiwas jua! Jangan mahakimi urang, nyaman bubuhan ikam kada dihakimi jua! Ampuni ja! Kaina ikam gin diampuni jua. 
