MAT.1.1	Uriro uvas ma garip ma eap am Iesu Karisito. Iesu irie a gar ang Devit ga Abraham.
ACT.13.26	“Are ratmat ga mimi papap tuam ganam, mimi inamaniap onim na gar ang Abraham, ga mimi teip la tale onim Israel la mime mipto ties ang Morowa ga lotuming me ai, mimi ganam le miptang! Iro urio ties la asagaong Morowa iruo migana ga muo meba ina bulagiang, iruo ait la muo bui ga bupta ra. 
ACT.13.27	Pa teip onim Ierusalem ga teip maiam mila meke la tale ameit irio migana ga tale arakimeng Iesu irie aga. Mirie la mime ovas ties maiong unulip na Babam ula puaru ma mirier lap o aganuliap, pa tale omeit maset muana o uriro ties. Are ratmat ga maiabua Iesu na ties ga avuremeng o ties meba aving. A nat iruo tavuk, mirie kan la ovuomeng ties maiong unulip ga iario mulinim. 
ACT.13.28	Tale kan omaiop kirinim ba la okosarong Iesu, puoieng meba menamung ga aving. Pa amarikmeng maranit primia Pilato ga keula meba menamung Iesu ga aving. 
ACT.13.29	Are ratmat ga asopmeng iro maiogun ga uvara. Ga tubiat la avikmeng iro maiogun ga meinia me lourup ga mela memua na una. Met iriro tavuk, betmeng migat mirier tiesiap ganam maiam unulip la mamirmeng aime Iesu tinan. 
ACT.13.30	Pa ina gat imua Morowa na una ga inim. 
ACT.13.31	Tie, tubiat papot ma lap la tevaikong Iesu mai inamaniap la menum tinan ga irie na provins Galili ga mela toma Ierusalem. Are ratmat ga titot la man baismeng gat o ties a Iesu me buun Israelip. 
ACT.13.32	Ii gat la ovaiking ties o mida tinan la okosarong Morowa me maun eap buam. 
ACT.13.33	Ga imua Iesu na una meba opuoang urio ties o mida la ovaikong ara me buun gar ma eap maiam onim tinan. Uro ties la tiesong Morowa aime Iesu, umirmeng na lama narain Sam na Babam ula puaru gare ro,
ACT.13.33	“‘Nunuo Poi ruang. Titot la bettung gare Ira nuang.’ 
ACT.13.34	“Tie, Morowa la ina imua Iesu na una meba tale isam ba neip a. Karuk kan! Met iriro, umirmeng na Babam Ula Puaru gare ro,
ACT.13.34	“‘Eba akosartang tavuk ila mumuri ira mi ga eva, eba talang ugiginara miun, gare tinan la okosartung ties o mida me aun Devit.’ 
ACT.13.34	Leba tale are ba rie, tie tala kan midaong Morowa meba tale aving migana ba.
ACT.13.35	“Are ratmat ga iro non ties maime neip a Iesu la tala kan isam, umirmeng na non Sam gare ro,
ACT.13.35	“‘Neip a migana ila babai o ubi la tala kan nuairam agarit na una meba isam ba.’ 
ACT.13.36	“Ira irio Devit, na tara la man inim ka, ouluan ties ang Morowa ga uario ubi o unuleap bo teip ga magaulap am. Ga tubiat irie la uvara ga maiabuam neip a na una kaunat gare neip maiam eap am, ga isam neip a. 
ACT.13.37	Pa iriro Iesu, irie la ina imua Morowa na una, neip a la tale kan isam. 
ACT.13.38	Are ratmat ga mimi papap tuam, paramo ties me miun gare ro, “Leba migana ba la naganong ira iruo migana Iesu, eva, eba oduratang Morowa urie kirinim ang. Are ratmat ga titot la asagaong Morowa iruo ait ga muo mi. 
ACT.13.39	Miptang, maimai ang Moses la tale puoieng meba oduratieng kirinim ming, meba mimi ba teip mila puvuvum na irap a Morowa. Karuk migat. Pa leba naganming ira irio migana Iesu, eva eba oduratang Morowa kirinim ming gano, ga eba mievang teip mila puvuvum. 
ACT.13.40+ACT.13.41	Umirong non unuli na Babam ula puaru gare ro,
ACT.13.40+ACT.13.41	“‘Mimi inamaniap la mime oguek ties, miptang! Titot la eba akosartang non ara paga ga eba
ACT.13.40+ACT.13.41	betang kabirana mi. Ga leba agimaang migana ba iruo paga la akosartung ga mialava a irio paga, tie agatming ka irio paga la are ties o kakarabunim. Are ratmat ga eba agimaming tubiat ga turupmiaba ga mila na iou.’ 
ACT.13.40+ACT.13.41	“Are ratmat ga temamalienming maset meba tale betang iriro paga ira mi.” 
ACT.13.42	Urie, Paulo ga Banabas la teliara ga liura me lavie na luguan o usingnualap, ga lemelo gare ro, “O urian non la o sabat, eba ina gat mumang ga baismang o urie ties meba ina mepaptang.” 
ACT.13.43	Ga na tara la no nebola, man lemeuluan papot ma Iudaiap ga teip la tale onim Israel la ameuluan tavuk o lotu maiang Iudaiap. Non ma la mirie Iudaiap pa non ma la tale Iudaiap, mirie la man lemeuluan. Paulo ga Banabas la man paseiliong ga mirie ga mangangasliong dalap ma meba maiaring maranit ubonuvarap ang Morowa.
ACT.13.44	Urie, na tara la betieng la o sabat, namurit wik tubiat na taun Antiok, karagat it mirie teip ga magaulap ganam onim na urie pianam la mumaio nebolameng meba meptang ties ang Ila Kani. 
ACT.13.45	Pa tara la agimameng Iudaiap iriro gar ila kani ma teip ga magaulap, kiram dalap ma maset. Ga man oguekmeng ties ang Paulo ga man opukemeng. 
ACT.13.46	Pa Paulo ga Banabas la tale kan lirau maime, pa tiesliong maranit me ira ma gare ro, “Lake la baising o ties ang Morowa me miun Iudaiap, pa oguekming urio ties, gare mimi kan la tiesming, ‘Tale napang meba parang ninimiap la iot atatan makin.’ Are ratmat ga miptang, titot eba gat tale baising o ties me miun. Pa ebat baising o ties ang Morowa me maun non garip la tale onim Israel. 
ACT.13.47	Memani, tiesong Ila Kani aime migana ang o ubi gare ro,
ACT.13.47	“‘Eba nokosartang ga eba betnang gare ba lalabie maiang mirier kantrip, ga eba maganalie teip ga magaulap onim na mirier napup ganam o kimanam, ga eba ina malagirang.’” 
ACT.13.48	Tie, tiesliong are ro ga teip ga magaulap la tale mirie onim Iudaia la mepto urio ties ga temeba maset me ties ang Ila Kakani ga ovienmeng bonim a. Ga mirier teip ga magaulap ganam la maiteong Morowa meba omela ninimiap ula iot maset atatan makin, miruo teip ga magaulap la naganmeng iro ties ang Ila Kakani. 
ACT.13.49	Ga baismeng o ties ang Morowa ga ila tomat na mirier napup na irio distrik. 
ACT.13.50	Pa Iudaiap la man mimuam dalap ma teip mila uke na uro pianam ga magaulap la memanim bop mila kakanim la mime ameuluan tavuk o lotu. Are ratmat ga miruo teip ga magaulap la man akirarameng Paulo ga Banabas ga lekalameng na urio distrik. 
ACT.13.51	Urie, teliara ga abalila kanauri o kimanam na kibap lie na irap ma teip ga magaulap meba meira mirie kan la memaning sik me irio tavuk maiang. Ga oliolai urie taun Antiok ga lila na taun Aikoniam. 
ACT.13.52	Pa Muranama Ila Babai la dakong ira ma teip ga magaulap onim na provins Pisidia la naganmeng ira Iesu, ga temeba kan maset.
ACT.14.1	Urie, Paulo ga Banabas la lila betliong ga liobu na luguan o usingnualap maiang Iudaiap onim Aikoniam gare tie la lime okosar. Ga baisliong maranit o ties ang Ila Kani. Are ratmat ga papot ma teip ga magaulap onim Iudaia ga Grik la naganmeng maranit ira Ila Kani. 
ACT.14.2	Pa non Iudaiap la oguekmeng ties ang Ila Kakani ga man mavuremeng dalap ma non teip ga magaulap la tale onim Israel meba nekaromela ga ekelesiap. 
ACT.14.3	Pa met iriro muana, Apostolopien la lionama a tara ila laklage na taun Aikoniam ga tale lirau ume nekaronulap maiong. Karuk. Mamaranin la man baisliong o ties o ubonuvarap ang Ila Kakani. Ga Ila Kakani la ualo kukunim ang kan liun, ga puoliong meba makosarliong non ara non ara kagup ga pagap o turupnuabap ga masingliala o ubonuvarap ang Ila Kakani urie la migat o. 
ACT.14.4	Are ratmat ga teip ga magaulap onim na urie taun la netaratmeng me na narain garipien. Mirie la narit dalap ma ga Iudaiap pa mirie la narit dalap ma ga Apostolopien. 
ACT.14.5	Pa non garip la tale onim Israel ga non Iudaiap ga teip mila uke la temaiara ga namo lekirarameng Apostolopien. Ga namo levuremeng ma tadasip ga menamungan, ga living.
ACT.14.6	Pa lipto ties maiong la namo lekirarameng. Are ratmat ga igoliong me na taun Listra ga na taun Debi na provins Likonia. Ga lila gat mana mirie pialap ganam la maiot tapmat kagarat li litiro pialapien. 
ACT.14.7	Ga baisliong o bais ula muru ang Iesu me mai teip ga magaulap. 
ACT.14.8	Pa na taun Listra, non migana la unama, kibapien a la kiran, na tara la avarangeieng naga ang. Are ratmat ga tale kan ume dus o unum, pa umet unama tie. 
ACT.14.9	Pa o non la papot ma teip ga magaulap la nebolameng, ga baisong Paulo me mai. Tie, iruo migana la kiran kibapien a, la man unama tie ga man upto ties ang Paulo. Pa maranit ui Paulo ga agimaong iruo migana la naganong ira Iesu, are ratmat ga puoong meba lemuriraang Iesu kibapien a. 
ACT.14.10	Are ratmat ga tiesong Paulo maranit, ugama, “Tenara ga puvut dusnang lie kibapien nuo!” Tie, iruo migana la tekoong ga teuara ga unum.
ACT.14.11	Urie, irio paga la akosarong Paulo ga papot ma teip ga magaulap la agimameng ga kukupmeng maranit o ties onim lakuan maiong Likoniap ga tiesmeng gare ro, “Teivuo, morowap la betmeng gare migana ga mumaio lourup ga maionama kabirana buo.” 
ACT.14.12	Pa teip ga magaulap la agatmeng Banabas la nepuoong gare muranama a natauan morowa maiang are ratmat ga meiva Sus. Pa agatmeng Paulo la nepuoong gare natauan migana o bais, are ratmat ga meiva Hemis.
ACT.14.13+ACT.14.14	Urie, luguan ila kani o lotu ang morowa o kakarabunim Sus, irie la dusong lavie o urie taun. Ga miridai la ume uale bo luguan ila kani o lotu, irie ga inamaniap na urio pianam la mela maiaviam bulmakaup ga guriep mila mumurum ga mumaio kagarat a tabuna o urie taun. Memani, iruo unuli ga mirie inamaniap la namo Paulo ga Banabas la lirie morowapien. Are ratmat ga nameng meba menamum bulamakaup meba meburungan bo kit ga okosarmeng kamniap me liun. Pa Apostolopien, Banabas ga Paulo, la liptam non inamaniap la man mamelo non inamaniap la namo eba okosarmeng kamniap me liun. Are ratmat ga turupliaba migat, ga kikisliong migat meba meivangan o uriro bonim a morowa. Are ratmat ga akosarliong tavuk maiang Iudaiap ga magiritliong burap liam. Ga ibirliong ga lila kabirana ma teip ga magaulap ga dusliong ga kupliong maranit. 
ACT.14.15	Ligama, “O mimi teip ga magaulap, memani ga okosarming gare rie? Ii la teipien it gare mimi! Muiot meba ovaiking bais ula muru ang Morowa me miun meba mialam ibup mi ira ma miruo morowap ganam o kakarabunim, ga terigiming me ai Morowa migat. Memani, iriet namurit Morowa la ame ninimiap la iot maset atatan makin ga okosarong panbinim ga kimanam ga pirom ga mirie pagap ganam la maiot mana. 
ACT.14.16	Eva, tinan la uairam garip ma teip ga magaulap ga mameuluan tavukup maiam na nunamap maiong. Migat tinan la uairam ga okosarmeng gare tie. 
ACT.14.17	Pa tale kan teuri Morowa. Karuk. Man tevaikong mai inamaniap meba ameira irie la unama busit, ga ume makosar tavukup mila mumurum ira mi. Ume uala afarat na panbinim ga ume makosar parakiap meba piram ba na tara maiang. Met iriro tavuk, ume ualam papot ma paparakiap miun ga mavurarong dalap mi o tenubap.” 
ACT.14.18	Paulo ga Banabas la tiesliong gare ro, pa teip ga magaulap la mitara mamaranim la namo maialang kamniap me liun. Are ratmat ga man tiesliong maranit maime, tie tubiat meairo urie agat maiong ga tale gat namo maialang kamniap liun.
ACT.14.19	Urie, na tara la lionama ka na taun Listra, non Iudaiap onim na taun Antiok na provins Pisidia ga non Iudaiap onim na taun Aikoniam, la mumaio betmeng na taun Listra. Ga mavuremeng dalap ma papot ma inamaniap onim na urie pianam meba nekaromela ga Paulo ga Banabas. Tie, na tara la agimameng Paulo, avuremeng ma tadasip ga menamua, ga ulum ga ut lourup. Are ratmat ga agatmeng namo ga uvara ra, urie merana me lavie na taun ga maiaira tie ga mela. 
ACT.14.20	Pa na tara la mumaio dusmeng ekelesiap ga akurmeng, teuara Paulo ga dusong ga mena me na urie pianam ga mela durimeng tie. Tie, kalup parabira Paulo ga Banabas la oliolai taun Listra ga lila na taun Debi.
ACT.14.21	Urie, na taun Debi baisliong Apostolopien o bais ula muru ga papot ma teip ga magaulap la naganmeng ira Iesu. Ga tubiat ina terigiliong me na taun Listra ga taun Aikoniam ga na taun Antiok na provins Pisidia. 
ACT.14.22	Na tara la lila na miruo pialap, man mangangasliong dalap ma ekelesiap ga tiesliong gare ro, “Papot ma giginanimup la eba betmeng ira buo ga eba buavim miruo giginanimup ganam, pa tubiat eba ina bulagiang Morowa ga ualeng bubuo na inamon ang. Are ratmat ga dusming maranit iro nagan ira Iesu.” 
ACT.14.23	Ga mana lotup na miruo pialap ganam narit narit, Apostolopien la liabua kaguma ira ma teip mila uke. Are ratmat ga na tara la fenmeng me parak ga okosarmeng marik me ai Ila Kani liabuam na kilalap a Ila Kakani meba mangangasang miruo teip mila uke ga eba ualeng mabuo.
ACT.14.24	Tie, lila kabirana o provins Pisidia, ga lila betliong na provins Pamfilia. 
ACT.14.25	Ga na urie provins, baisliong o ties ang Morowa mai teip ga magaulap na taun Pega. Ga tubiat lila na taun Atelia. 
ACT.14.26	Pa na urie taun, osauliong sip, ga iavian sip ga lila, ga lila, liva labinim na provins Siria, na taun Selusia. Urie, oliolai sip ga oliuluan alang ga linum me toruan nakap ga lila betliong na taun Antiok na provins Siria. Tinan ekelesiap onim na urio taun Antiok la maiabuan liruo teipien o ubi na kilalap a Morowa ga lesagameng meba okosarliong ubi ang. Okosarliong ara urio ubi, tie titot inar terigiliong me na urie pianam.
ACT.14.27	Urie, terigiliong ara ga mamarikliong ekelesiap ga nebolameng. Ga malilo ma mirier ubiap la makosarong Morowa na kilalap lie ga are mani ga unavam Morowa dalap ma teip ga magaulap la tale onim Israel, ga naganmeng ira Iesu. 
ACT.14.28	Ga man lionama ka ga miruo ekelesiap onim na taun Antiok, muio puoieng ira ma papot ma lap.
ACT.15.1	Na irio tara, non inamaniap onim na provins Iudaia la mumaio betmeng na taun Antiok na provins Siria. Ga man masingmaiala ekelesiap la gare ro, “Maimai ang Moses urie la busingiala a tavuk o kasau. Pa leba tale omiuluo urio maimai ga tale mikasaumeng, eva tale puoong Morowa meba ina milagiang.” 
ACT.15.2	Urie, giginam dalap a Paulo ga Banabas me urio usingnualap maiong, ga tiesliong o danunumiap ga mirie meba ovuvutliling ties. Are ratmat ga ekelesiap onim na taun Antiok la nebolameng ga avuvuomeng Paulo ga Banabas meba mela na taun Ierusalem ga mamarikliong Apostolop ga teip mila uke o urio ties o danunumiap. Tiesmeng are ratmat ga maiabua Paulo ga Banabas ga non inamaniap gat. 
ACT.15.3	Ekelesiap onim na taun Antiok la masagameng miruo teip ga mela. Mela kabirana o provins Fenisia ga Samaria na alang la ila Ierusalem. Pa mangangasliong dalap ma ga mamelo gare ro, “Papot ma inamaniap la tale onim Israel la marigimeng dalap ma me ai Ila Kakani, ga naganmeng ira a.” Tie, mepto ekelesiap uriro ties ga tevurusmeng migat. 
ACT.15.4	Urie, mela ga betmeng na taun Ierusalem. Ga malagimeng maset ekelesiap onim Ierusalem ga Apostolop ga teip mila uke ga akosarmeng tavuk ila muri ira ma. Ga tubiat Paulo ga Banabas la malilo ma mirier ubiap la makosarong Morowa na kilalap lie. 
ACT.15.5	Pa non ekelesiap a gar maiang Parasaiop la temaiara ga tiesmeng maranit gare ro, “Leba non ba migana la tale onim Israel pa naganong ira Iesu, tie mumuru le akasaumeng ga mauluan maimaiap ganam am Moses.”
ACT.15.6	Ga liruo narain agaripien la liot kabirana ma ekelesiap, are ratmat ga Apostolop ga teip mila uke la nebolameng ga man ovuvutmaiara uriro giginanim. 
ACT.15.7	Man mavaikmeng papot ma agarip ga papot ma tiesiap, pa karuk kan ma namurit dalap la betong ira ma. Are ratmat ga teuara Petro ga dusong ga maulo gare ro, “O mimi papap tuam, tinan la tovuvuoong Morowa kabirana mi ga ualo ubi toun. Ga tuptuaro ubi o uruo bais ula muru me maun non teip ga magaulap la tale onim Israel gare Konilias ga numeilup am, meba meptang urio ties ga naganmeng ira Iesu. 
ACT.15.8	Pa Morowa la ume ogima agat maiong ga uala Muranama Ila Babai maun, aret tinan la uala Muranama buun. Are ratmat ga pasinguala Morowa la naong maime gat. 
ACT.15.9	Me iriro tavuk ang, bira bubuo ga mirie la tale non ara na irap a Morowa. Karuk. Ume bubouvara bubuo teip mila kiram ga namo oduratang kirinim buong meba bubabaim ba na irap a. Aret tie, leba non migana la tale onim Israel, pa naganong ira Iesu, tie eba oduratang kirinim ang ga babai ba na irap a. 
ACT.15.10	Pa iruo tavuk o unuluap o maimai gano ang Moses, urie la mitara gigino, gare tadas ila kani. Pa tinan eap buam la namo mimerang meba maiaving urio giginanim ula kanu, pa tale puomeng meba maiaving. Tie, memani ga titot la miga miabung urio giginanim ula kanu nakap bo barap ma ekelesiap la tale onim Israel ga mamilo meba maiaving? Ana iruo tavuk atabo miga mimerang Morowa, a? 
ACT.15.11	Buat okosarbuong gare tie. Karuk migat! Obit, urio ubonuvarap it ang Iesu Karisito la ina bulagiieng bubuo gar onim Iudaia. Ga uriot ubonuvarap la ime malagi teip ga magaulap gat la tale onim Israel.” Tiesong Petro gare ro.
ACT.15.12	Tie, miruo inamaniap la tale kan pakmeng nanamup ma, tara la mepta Banabas ga Paulo. Ga malilo a Morowa la makosarong kagup onim na panbinim ga pagap o turupnuabap kabirana ma non garip la tale onim Israel. 
ACT.15.13	Tie, na tara la oitliamu ra ties liong, tie ina bun tiesong Iemes, irie papa ila kapi ang Ila Kani Iesu, tiesong gare ro, “O mimi papap tuam, miptang ties tung. 
ACT.15.14	Petro la miulo ra are mani ga ina malagiong Morowa non garip la tale onim Israel na natauan tara ga makosarmeng meba betmeng gare gar ang migat. 
ACT.15.15	Pa ties gat maiong unulip onim tinan la nepuoieng it gare ties ang Simon. Umirmeng na Babam ula puaru gare ro,
ACT.15.16	“‘Ila Kakani la tiesong gare ro, “Tubiat, eba ina oidangtang urio inamon ang Devit la kiro ra. Eba mavuvuttaling napup maiam pagap ganam la kiribasmeng ara, ga eba teraling uriro inamon ga eba ina dusieng maset. 
ACT.15.17	Eba okosartang gare ro ga eba man tomaioping inamaniap onim Israel la makalameng ga inamaniap gat la tale onim Israel ga eba betmeng inamaniap tuam.’ 
ACT.15.18	“Migat, ira ma miriro midaiap la makosarong Ila Kani, tiralo kan la tiesong Morowa ma miriro pagap.’ 
ACT.15.19	Aret tie ga eba miralava o agat tung: Buat buabu giginanim mabuo miriro ekelesiap la tale onim Israel. Karuk. 
ACT.15.20	Pa mumuru le omirbuong babam ba me maun ga mabulava gare ro, ‘Buat miom ma pagap la akosarmeng teip lavang ma memai morowap o kakarabunim, memani miriro la papalim na irap a Morowa. Ga buat akosarming tavuk o sadak. Ga buat miom nganeip la meburiam kakongup ma ga mevara. Ga buat miom olabuap ma nganeip.’ Omirbuong urio ties me maun. 
ACT.15.21	Memani, tiralo kan ga puoieng titot, ame non teip la mime osingmaiala maimai ang Moses na mirier pialap ganam. Ga ma mirier lap o sabat la mime ovas ties ang tapma na luguan o usingnualap maiang Iudaiap. Are ratmat ga omeit ara maset.” Tiesong Iemes gare ro.
ACT.15.22	Tie, Apostolop ga teip mila uke ga ekelesiap ganam onim Ierusalem la meburio ties meba levuvuomeng narain ba teipien kabirana ma ga lesagameng me Antiok ga Paulo ga Banabas. Are ratmat ga maiabua kaguma ira Iudaias, non bonim a Basabas. Ga maiabua gat kaguma ira Sailas. Liruo teipien la teipien lila like maime ekelesiap. 
ACT.15.23	Ga omirmeng non babam ga maialo maun mirie teip la namo mela na taun Antiok Tiesieng uriro babam gare ro,
ACT.15.23	“Pava Apostolop ga teip mila uke la osagapang ‘la ula muru’ me miun papap pam la tale onim Israel: Ekelesiap onim Antiok ga ekelesiap onim na non napup na provins Siria, ga ekelesiap onim na provins Silisia gat. 
ACT.15.24	Papto non ties gare ro, Tinan non teip onim na gar pang la mela mi ga tiesmeng ma non tiesiap. Pa miruo tiesiap la makirarameng dalap mi, ga mimiop papot ma giginanimup na agarip mim. Pa tale kan masagapang ga mela mi. Karuk. Mirie kan la mela ga okosarmeng gare tie. 
ACT.15.25	Are ratmat ga namurit dalap pa ga paburio ties me iruo paga ga pabua kaguma ira lie narain papapien pangan ga lesagapang me tie mi Banabas ga Paulo la mitara pame na maset lime. 
ACT.15.26	Eva, lime ubi maranit meba ovienmeng teip ga magaulap ganam bonim a Iesu Karisito Ila Kakani buang. Are ratmat ga lekirarameng ga kagarat meba living. Pa tale lime lirau me karorap. Karuk. Busit la lime bais o bais ula muru a Iesu. 
ACT.15.27	Are ratmat ga eba asaga pang Iudaias ga Sailas ga eba muliong mi, ga eba angangasliong muana o uriro babam na nanamup lie ga eba mira maset. 
ACT.15.28	Tie, Muranama Ila Babai la unama ga pava ga paburio ties meba tale palang giginanim ula kanu miun. Karuk. 
ACT.15.29	Pa buat miom nganeip la akosarmeg teip lavang me mai morowap o kakarabunim, iriro tavuk la papali na irap a Morowa. Ga buat miom olabuop ma nganeip. Ga buat miom nganeip la meburiam kakongup ma ga mevara. Ga buat makosarming non ara non ara tavukup o sadak. Leba tale makosarming miriro tavukup gare tiro, tie eba mionang maset na irap a Morowa.”
ACT.15.30	Urie, ekelesiap onim Ierusalem la masagameng mirio nagala ma teip ga mela betmeng na taun Antiok na provins Siria. Ga mamarikmeng ekelesiap meba nebolameng ga mirie, urie maialo urio babam maun. 
ACT.15.31	Ga teip ga magaulap la ovasmeng ga temeba la maiaro urio ties ula muru meba mangangasieng dalap ma. 
ACT.15.32	Iudas ga Sailas la lirie unulipien. Are ratmat ga man baisliong ma papot ma tiesiap me maun ekelesiap ga man mangangasliong dalap ma. 
ACT.15.33+ACT.15.34	Tie, lionama a tara ila laklage kirat, ga tubiat ekelesiap onim Antiok la legiginarameng o ties a malina ga lesagameng ga ina terigiliong me mai inamaniap onim Ierusalem. Pa oigorula Sailas agat ang ga tale ula ga mirie. 
ACT.15.35	Pa Paulo ga Banabas la lionama Antiok. Ga man ubiliong ga papot ma teip o ubi. Ga iat man masingliala teip ga magaulap ga baisliong o bais ula mumuru a Ila Kakani Iesu Karisito.
ACT.15.36	Urie, aipmeng ara non lap, tie teuara Paulo ga aulo Banabas gare ro, “Ina terigibing me na mirie pialap tinan la bila mana ga man baisbing o ties ang Ila Kakani, ga magimabing papap ga loup bim na miriro pialap meba mabira titot nunamap maiong la are mani.” 
ACT.15.37	Tie, aulo ra Paulo Banabas, are ratmat ga namo alagiang Banabas Ioanes Marko meba lila ga irie. 
ACT.15.38	Iro migana Ioanes, irie la leulai na provins Pamfilia ga ina terigiong me Ierusalem. Ga tale ituamu ubi ga litie. Are ratmat ga tale kan teuba Paulo meba alagiliong ga lila ga irie. Karuk. 
ACT.15.39	Pa nevureliong o ties kirat ga neunliala. Are ratmat ga Banabas la alagiong Marko, ga lila todang na taun Selusia ga tegoliong bo non obinam ga lila na ailan Saipras. Ga man mangangasliong ekelesiap. 
ACT.15.40	Pa Paulo la alagiong Sailas. Ga na tara la namo lila, ekelesiap onim Antiok la marikmeng me ai Morowa meba leboaving ga lesagameng ga lila. 
ACT.15.41	Ga linum mana papot pialap na provins Siria ga na provins Silisia, ga man mangangasliong dalap ma ekelesiap onim na mirier pialap ganam.
ACT.16.1	Urie, Paulo ga Sailas la lila betliong na taun Debi ga na taun Listra. Pa tie Listra non ekelesia ila migana la unama, bonim a Timoti. Naga ang la urie onim Iudaia ga urie gat la ekelesia ieng. Pa mamo ang Timoti, la irie onim Grik. 
ACT.16.2	Pa ekelesiap onim Listara ga onim Aikoniam la mime ties gare ro, “Timoti la irie ekelesia ila mumuri.” 
ACT.16.3	Paulo la upto urio gas a Timoti ga naong aime meba ala ga irie. Pa Iudaiap onim na irie nap la ameit mamo ang Timoti irie onim Grik ga tale kan akasauong poi ang. Pa Paulo la tale naong me Iudaiap meba kiram ba dalap ma lime ga maialam ibup ma iro bais ula muru. Are ratmat ga alagiong Paulo Timoti ga akasauong. Tie, tubiat ula bat Timoti ga Paulo ga Sailas. 
ACT.16.4	Mela betmeng na papot ma pialap mila kanim ga maialo ties maun ekelesiap. Uriro ties la meburio tinan ga Apostolop ga teip mila meke onim Ierusalem, meba omeuluan. 
ACT.16.5	Are ratmat ga nagan maiong ekelesiap la mamaranu ira Ila Kakani. Ga ma mirier lap ganam papot ma teip ga magaulap gat la man mepto ties ang Iesu, aret tie ga uvas ma ekalesiap la man iaba me nakap ma mirie lap.
ACT.16.6	Urie, Paulo ga Sailas ga Timoti la namo mela baismeng mai teip ga magaulap onim na provins Esia. Pa Muranama Ila Babai la mabunakong. Are ratmat ga menum ga mela na provins Frisia ga provins Galesia. 
ACT.16.7	Ga mela todang na taralap o provins Misia. Ga namo mela na provins Bitinia. Pa Muranama a Iesu la tale uairam meba mela na irie nap. 
ACT.16.8	Are ratmat ga ina menum ga mela na provins Misia ga mela betmeng na taun Troas.
ACT.16.9	Ga na tara la maionama tie, urie arubu agimaong Paulo non paga na kikiritniap. Agimaong non migana onim Masedonia la dusong ga amarikong Paulo ga ugama, “Paulo, orupnaba pirom ga munang na provins Masedonia ga paganalie!” 
ACT.16.10	Agimaong ara Paulo iruo paga ga paulo a. Tie, kakalait oisinpang sip ba ga pala na provins Masedonia. Memani, pira Morowa la pamarikong meba pala baispang o bais ula mumuru ang Iesu me maun inamaniap onim na provins Masedonia.
ACT.16.11	Urie, tegopang bo non sip ga okabanpang taun Troas ga pala arakin a ailan Samotreas ga duripang tie. Tie, kalup parabira, ina paiap sip ga pala betpang na taun Neapolis. 
ACT.16.12	Tie, opolai urie pianam ga panum ga pala betpang na taun Filipai. Uriro pianam la urie taun ula kanu na provins Masedonia. Tinan, masagaong gavaman non teip onim Rom ga mime umaiale ubuo uriro pianam. Ga ponama una urio pianam, muio puoieng ira ma non lap. 
ACT.16.13	Na la o sabat, pala peura na tabuna o kudat o urio taun ga pala todang na taralap o pirom meba apoping nap la mime marik Iudaiap me ai Morowa. Pala na irie nap ga magimapang non magaulap la nebolameng ga man maionama. Tie, ponama ga tiespang ga mirie. 
ACT.16.14	Pa kabirana ma mirio magaulap, non magabun la ionama, bonim o Lidia. Uriro magabun, urie la onim na taun Taiataira, pa muio ga ionama na pianam Filipai ga ime okosar butamat ieng o usaga ma burap mila taktogim. Ime ipto ties ang Morowa ga lotuieng me ai. Tie, na tara la baisong Paulo o bais ula muru ang Ila Kakani, unavam Ila Kakani dalap o ga oira muana o uriro ties ang Paulo. 
ACT.16.15	Are ratmat ga Lidia ga numeilup iam la naganmeng migat iro bais ula muru ang Ila Kakani, are ratmat ga omela nuvietiap. Tie, pailo Lidia gare ro, “Leba agatming turuo la nagantung migat ira Ila Kakani, tie mumiong ga mionang na luguan tuang.” Tiesieng ga mamaranu ira pa meba opouluo ties ieng, are ratmat ga pala ponama na luguan iang.
ACT.16.16	Urie, o non la la panum ga pala na pianam o marik la mime marik Iudaiap ira Morowa, ga obolapang non magabun na alang. Urio la magabun o ubi maiong non teip ga ame non muranama la ut una, ga ime mavaik pagap la eba betmeng tubiat. Are ratmat ga teip mila uke iam urio magabun la mime mamela papot ma kakepup iro ubi la ime okosar urio magabun. 
ACT.16.17	Tie, pagimaieng urio magabun ga man paiuluan la man panum. Ga man marikieng gare ro, “Miruo teip la mirie teip o ubi am Morowa nakap migat, ga mime mimelo a Morowa la orangaong alang meba ina milagiang.” 
ACT.16.18	Ime ties urio magabun gare ro ma papot ma lap. Tie, giginam dalap a Paulo migat aime tavuk iang, ga terigiong ga aulo iruo muranama ila kire gare ro, “Na bonim a Iesu Karisito ga iro kukunim ang norulo, onolaing urio magabun ga nala!” Tiesong gare ro, tie talet kagat ga oulai muranama ila kire urio magabun.
ACT.16.19	Urie, teip mila uke iam urio magabun la ogimameng alang maiong o unulap ma kakepup la karuk ara ume. Are ratmat ga umaiat a Paulo ga Sailas ga meranan me mai teip mila uke na pianam o nebola meba maiabungan na ties. 
ACT.16.20	Ga lelagimeng ga maialan maun iasip la umaiale ubuo ties na uriro pianam ga mamelo gare ro, “Liruo teipien onim Iudaia la man makosarliong kirinimup ira ma inamaniap na pianam buong ula kanu. 
