GEN.1.1	Nemetva seilva owai, mani mani lohvnamoa, wo Sesoava sism vena ovm petham manam manam. 
JHN.7.32	Varisinindva hilwilvna, ona, indhanamba os eishomnav Yesusmba, noindava manimani himba temba vevnamba. Wo doa vena, sembayang andranindna kuwul eva Varisinind, himba wolanga vivna tempelduvna polisimba, kevralm Yesusmba. 
JHN.7.33	Wo Yesus unna, kava si yemba ambo wonasambaihavav, kava si henga gavav araindam. 
JHN.7.34	Yimba si kamba aslaluwuvav, wo heva os yimba si kamba nunglivavmoa. Wo yimba ambvramoa domba, diva kava avrava.
JHN.7.35	Wo Yutanindva hevmba os eishungu vevna, henahalm hevpa galm ov, wo noinda pivva si hemba asahlihavav? Si himba gavmi Griknindna kotaram, dom ten pivna owal eungu vinvm di? Si himba numhowolalm gavmi Griknindm dom? 
JHN.7.36	Wo hev oi, pivva si aslalvra, wo heva os pivva si nunglivavmoa. Wo hev vei, os oi, yimba ambvramoa, diva kava avrava. Wo es hevpa memba osva oi?
JHN.7.37	Muhuvhoavna nomba tih mendekliva doa eunillam. Doa Yesusva phonamba, hev mindnam vevandnam unna, yemba mongova snallava pehava venatava, heoa nooa prora kaindam. 
JHN.7.38	Indhanariniva kamba keknamba undnahonamba lohmanatava, pomba nonapopolva avpa, si ongovra hena undrini. Os novol velohv tombaimorava. 
JHN.7.39	Yesusva ishovna Sesoasongolm. Mendah Sesoasongolva prunnamoa, manara, Yesusva mendah phonamoa hevna pusambakambara. Wo os sewonamba himba nomba undnahonamba lovahthamnavrava Yesusmba, si lundthoavra hemba Sesoasongolnana.
JHN.7.40	Indhanamba nom hillinamba, ten Yesus ishovnam. Wo mongnind opulvona, hona indhanariniva tanam nomba moashulnindrini lohv, temba Sesoava wolaihapralmba onamba. 
JHN.7.41	Wo mongnind opulvona, heta Kristusva, wo henga he unam, Kristusva si provavmoa Galiliriniva. 
JHN.7.42	Doaramini tombaimorava os novol velohv, Kristusva si provav Devittindirini. Wo doaramini tombaimoa vena, os ona, Kristusva si provav Betlehemrini, no kembellini, ten Devit anam.
JHN.7.43	Wo doa nomba indhanamba nengavnangva vruwul vevna, epowalwolalm evevna Yesusindam. 
JHN.7.44	Monglava himba kevralm vivna Yesusmba, wo heva os an eva ata hemba englava piata, kevralmba?
JHN.7.45	Wo no tempelduvna polisiva henga anganamba, di nongalpulvoa sembayang andranindna kuwulm eva Varisinindm. Wo no kuwul osihinna, manara yimba Yesusmba waiambmba owai viv? 
JHN.7.46	Wo no tempelduvna polisi unna, himba ishovnamba manam manam mendeklinonoa, sna moamba an eva ishov? 
JHN.7.47	Wo Varisinind opulvona, eva Yesusva yemba ambo daswoteita. 
JHN.7.48	Wo es hevpa kava kuwulva, Varisinindva, kava hemba undnahonam keknam amnavma? owainonoa. 
JHN.7.49	Wo heva os nomba indhanamba, himba temba levrapivolmba owai vivpa lohohmomba, Yesusmangas lovahmanav keknamba. Manara, Sesoava doa ona, himba si indkokla vilovav.
JHN.7.50	Wo Nikotemusva di doara noi kuwul owalhovra patha-wulvahvna. Himba no indhanarini, nemetva himba gana nonglalmba Yesusmba sinimba. 
JHN.7.51	Wo hev unna, si pinamba lohohmorava nisva lesvhoawol vinvramoa, indhanana moamba osva hillimnivavmoa boasnamba. Pivva lelnamba henamba lesvhueivavmoa, heva verava, pioa boasna velokusethivra, mani himba vena? 
JHN.7.52	Wo hev noi indkumbi opulvona, wo eva yimba Galilirinima, osta Yesus ten? Beswonam yeoa numha vro pevmoa doaraminim tombaimom. Yimba ata levrapivongovav, osva owaita, mongova moashulnindriniva provavmoa Galiliriniva. 
JHN.7.53	Wo doa nomba indkumbiva os deuvramba bukethungu vena.
JHN.8.1	Wo heva os Yesusva gana oliv denwit oloram. 
JHN.8.2	Wo venamba, olingil lihapiavnamba, himba henga gavnamba, siha tempelduvra. Indkumbiva indhanamba provna heindamba, wo himba ovhoanamba, numhowol vevna hemba. 
JHN.8.3	Wo vena, nonoanind lohohmona eva Varisinind, he dom ungevlirinim mongom tlatrinim pulsaivna, os hemba nunglinamba, tendom pelkomo vevna himba. Kleiha wulanganamba, indkumbi di novlomos wulavnam, di hulvundthue.
JHN.8.4	Wo hev umnina Yesusm, guru, hona ungevlirinimba kevriva, nonamba mongo tendorini olohlohvna, hevna tlaliva owai. 
JHN.8.5	Wo Mosesna lohohmomba os ona, pivva miklewol vivra ungevlimba honna, nomba temba osva himba vivrava. Wo ye kam wohtrava, kava ata es vivav?
JHN.8.6	Himba ambo osihminivna honamba, osm verava, ora os Yesusva ov, wo himba no moana waiishuvav wetatmorava hemba. Wo heva os Yesusva mulumbdandna lohvhoanamba, novol vewol vawovna pethasra hevna englapundna. 
JHN.8.7	Himba di mendah sah ovralvohvna Yesusmba. Wo Yesusva phonamba, lohvhoa, wo hev unna, huiva mongova yimba waiolvohvma besalva? Wo henoi ora, ka men besalva indhanariniva lohv, henoisna honoa mioa pipiamnara hona ungevlirinimoa. 
JHN.8.8	Wo Yesusva henga ovhoanamba, pethasra novol vewol vawovna.
JHN.8.9	Nomba indhanamba moamba Yesusnamba hillinamba, wo himba indakonda vovoha vevna nominiva. Seilmba mundkolalsna miva vovoha vevna, wo osoa ambo noi hev indkumbi. Yesusva di waiana no ungevlirinimba hevho. Himba di lohvna Yesusna novlomossis. 
JHN.8.10	Wo Yesusva henga phonamba, osahmana hemba, indkumbiva indhanamba nomba es hevpa, doa gapiaima? Mongova heriniva yemba ishomnima, osva yimba sahonam vevna? 
JHN.8.11	Wo no ungevlirini ophona, owai, mongova kamba ishomnimoa, osva yimba sahonamba vena. Wo Yesus omnana, eva kava owai, yemba osva ishomnavavmoa. Wo doa yeoa gao, os aembu, sahonamba manam yimba vevra hengava.
JHN.8.12	Sismba Yesusva ishunvna indhanamba henga. Hev unna, ka woklava hona pethanindnamba. Himba nomba kamba pethamnavrava, henomba si sikulmonamba avramoa, himba si avra ambarangas, beswonam nonapopol avm. 
JHN.8.13	Wo heva os Varisinind umnina Yesusmba, yimba pevmba ishovpa, ye mongawa indhana ambo ishov, osva manimani honamba memba tanam. Kava nomba ningvmoa, yimba temba ishovpa.
JHN.8.14	Wo Yesus ophona, lehra kava ishovna honamba kavm, heva os tanam. Kava kavpa nonora lohv, osva kava nomini prona. Wo eva kava kavpa nonora lohvta, osva dom no kembellam si kava gavav hengava. Yimba tit viv, osva kava hinimini prona, wo hem si kava gavav. 
JHN.8.15	Yimba indhanamba lesvhoawol viv pethanindna wevsana ambo. Heva os kava kavhova ishomnavmoa mongomba, osmba yimba sahonamba vena. 
JHN.8.16	Wo heva os kava mongomba lesvhoatava, kana moamba tanam lohvra, manara, eva mani kavhova ishov. Ara noi ten kam wolaihapranam, he kamba waivev.
JHN.8.17	Yena pevna lohohmomba osva unna, nonamba sambla indhanamba novna enonglalva mongawamomba evevravpa, wo yimba uvra, lehra ohov. 
JHN.8.18	Kava eva kamomba ishov, heva os ara, ten kam wolaihapranam, hev kamomba ishov, mongawamoa evevrav.
JHN.8.19	Wo hev osihminina, hi arapevpa yenamba? Yesus ophona, yimba mendah tit verumbtv kamba, kam eva aram. Wo heva os yimba kamba lihatava, wo eva yimba osva lihavavta aramba kanamba. 
JHN.8.20	Yesusva honamba ishunvna, di hev ten numhowol vevnam tempelmera. Wo himba di lohvhoa vevna, nolhra tempelna di ten sungulvnam. Wo heva os owai, an eva englava piata, hemba kevralmba. Noinda hevnamba nambainonoava mendah provnamoa.
JHN.8.21	Henga Yesusva unna indhanamba, kava si sandhalangavav yemba. Yimba si kamba aslalvav, wo heva os yemba si dalvra pevna indkoklanahonam. Yimba domba ambvavmoa, kava domba gavavpa. 
JHN.8.22	Wo Yutanindva uvna, es hevato, Yesus heva hevm si wulkleihavmi? Memba osva, esalm himba oi, yimba domba ambvavmoa, domba kava gavavpa. 
JHN.8.23	Wo Yesus unna, yimba hona indhanamba honamini. Wo heva os kava senamini. Yimba hona petharini, heva os kava hona pethariniva owai.
JHN.8.24	Wo kava yemba os ishunv, yemba si dalvav pevna indkoklanahonam. Tanam yemba si dalvra pevna indkoklanahonam, yimba undnahonamba almba owai vivrava, osva kavpa memba kava.
JHN.8.25	Wo hev umnina, wo an eva yimba? Yesus ophona, kava henoi, ten kav ishunnam yem seilm. 
JHN.8.26	Kava esvema wetatmomba ieinv yenamba, heva os owai. Manara, kava ishunv indhanamba nomangas, ten kav hellevnam henonamini, henoi ten kam wolaihapranam. Wo himba tanamangas wohishov.
JHN.8.27	Indhanamba beswonamba levrapivolvnamoa nomba, osva ovna, Yesusva ishunv kamba aralmom. 
JHN.8.28	Wo hev unna, yimba si wukleihivav arana ombolmba. Wo yimba nonam si nunglivav, osva kava he lohvna. Yimba si nunglivav, osva honamba manimani memba kava vevnamba, kavna nengavnangnamba owai. Yimba si liheivav, osva kava ishov nomangas, ten ara ishomnanam kam. 
JHN.8.29	Wo himba nomba temba kamba wolaihapranamba, himba kamba nihra vrev. Kava elsusva vev nongas, osm noinda he und lothovra. Wo noinda osva himba kamba nombolvhoavmoa. 
JHN.8.30	Honamba osva Yesusva ona ishunna, indhanamba mindnam hemba undnahonam lovahthamnavna.
JHN.8.31	Wo Yesusva ishunvna nom Yutanindm, he noi ten lovahthamnavnam hem, unna, yimba osangasva wohengivrava kana moamba, yimba osva wohavra kavtindinonowolm. 
JHN.8.32	Wo yimba si os levrapivolvav moanonoamba. Wo no moara si yemba beswonamba vewol vevra windewonamba. 
JHN.8.33	Wo Yutanind opulvona, kava memba Aprahamna towandal av. Kava doava anamoa doarava ombandhana andranindilmba. Wo esalm yimba memba osva oi, yimba si windewonam avra?
JHN.8.34	Wo Yesus henga ophona, kava yemba ishunv tanam. Indkumbiva himba nomba temba avpa hevna indkoklanahonamba, himba nomba temba av indkoklana andranindilm. 
JHN.8.35	Ombandhana andranindriniva eukwonamba deuvrava eivvmoa hevtindimongova, heva os ombolva hevtindina yunalm. 
JHN.8.36	Wo noinda osva Sesoana ombolva yemba kilumbshuawol vetava pevna indkoklanaminiva, wo osva yimba si avav windewonamangas.
JHN.8.37	Kava nonora lohv, yimba Aprahamna towandal av. Wo heva os yimba kamba helvakomandhalm viv, noinda kanamba moamba siheinvmoa yena undrava. 
JHN.8.38	Kava ishunv yemba, nom ten ara kavna kam nov wolaihamnanam. Wo heva os yimba viwul vevna nongas, ten pevna arapev pevm ishunvnam.
JHN.8.39	Wo hev opulvona, simbemba kanamba luhunna Apraham. Wo Yesus unna, yimba tanamba Aprahamtindiva atava, yimba ata manimani vivta, nomba temba Aprahamba vevnamba, noinda himba Sesoam tanamba lohmanavna keknamba undnahonamba. 
JHN.8.40	Kava no indhanarini, kava tanam yemba ishunv, nomba kava hellenamba Sesoanaminiva. Wo heva os owai, yimba kamba helvakomandhalm viv. Heva os owai, Aprahamba osva vevnamoa. 
JHN.8.41	Wo manimani memba yimba vivpa, yimba os viwul viv, ten pevna arapev vevnam.
JHN.8.41	Wo heva os Yutanind opulvona, kava snamba avmoa, timingrinimsnamba. Sesoa aralva kanamba einv. Hengas aramba luhunv kanamba. 
JHN.8.42	Wo Yesus unna, owai, Sesoava aralva luhuntava tanamba yenamba, eva yimba ata kamba und vivta. Manara, kava prona Sesoanamini, veiva, men hui av kava daipotava. Kava pronamoa kavna undnamba, Sesoa wolaihaprana kamba. 
JHN.8.43	Yimba beswonamba levrapivolvmoa nomba moamba, temba kava ishovpa, manara, yimba avmoa kana moanamba.
JHN.8.44	Yenamba arapevpa luhunna Setan. Wo yimba hena av, wo yimba ningv nomangas velmba, he nom nengvm. Himba doaramini wohlohna, indhanamba helvakomo velmba. Himba ovunna, beswonamba almba, manara, sna undva heindava lohvnamoa. Himba nomba moakokomomba ishunvpa, wo himba hevpa snal noi moakokomoa, hev ten ishovm. Wo himba hevm moakokomona aral vilov. 
JHN.8.45	Wo heva os kava ishov tanam. Wo osva yimba noinda kana moamba kek vithivmoa. 
JHN.8.46	Wo yimba mongova osva nonglavma, kava sahonam vevna, a? Kava tanamba ishov, wo noinda manara eva yimba kamba amnamba owai venavna undnahonamba, a? 
JHN.8.47	Himba nomba Sesoanamba, wo himba nomba Sesoana moamba hellev, kek vethav. Wo heva os yimba hellevmoa, nomba temba Sesoava ishovpa, manara, yimba avmoa Sesoanamba.
JHN.8.48	Wo Yutanind opulvona louwolm, kava os uv, yimba Samarianindrini lohv. Kava os uv, tihsongova doa yena nihmerava sihana, wo henoi yemba wuhho ovrav. Wo es hevpa tanamma, a? 
JHN.8.49	Wo Yesus ophona, tihsongova mongova avmoa kana nihmerava. Kava kavna arana nihilmangas okolomana vev, wo heva os yimba kamba pethambrora opelpetha uvmona vev louwolm.
JHN.8.50	Heva os kava eva nengvmoata, andra velmba, kavna nihilmba noindamba popeng vrelmba. Manara, ten mongo lohv, henoi nengv, kana nihilmba wivelm. Wo hev kamba lesvhoav, osva ora kava indhanarini windel lohv. 
JHN.8.51	Kava ishunv yemba tanam. Himba nomba kana moamba engvrava, hem nomba si dahavramoa.
JHN.8.52	Wo Yutanind umnina Yesusm, daipota doa kava levrapiei, osva tihsongova av yena nihmerava. Doa vena, Apraham dahana, moashulnindm dalna. Wo heva os yimba os oi, himba nomba kana moamba engivrava, si hem nomba dalvramoa. 
JHN.8.53	Wo yimba os nengvma, ka mendekliva, ka wohkuvhoav Aprahamba, a? Wo doa vena, Apraham dahana, eva moashulnindm dalpiana, wo yimba an hevpa eva, a?
JHN.8.54	Wo Yesus ophona, kava kavmba okolatava, nomba okolalva kanamba kava ombam ambo opelthavra. Heva os mongo kana nihilmba wivev, Sesoa aral, hona indhanariniangas, temba yimba olvohvpa, memba kana Sesoangas. 
JHN.8.55	Wo heva os yimba beswonamba liheivmoa hemba. Kava kavpa lihav hemba. Wo kava osva otava, kava tit venav hemba, wo osva kava moam kokovav, os ye ten uvm. Heva os kava kavpa lihav hemba, wo kava wohengv, nomba himba temba ishovpa. 
JHN.8.56	Pinamba simbemba Aprahamba indk vethana, osra himba si nonglavav kana nambaimba. Himba doa kanamba nambaimba nonglana, wo himba doa indk vethana.
JHN.8.57	Wo Yutanind umnina, a es yimba ov? Owai, yimba henanam eva ata nonglata Aprahamba, yimba mendah, 50pelarava tahonmba yenamba lohvnamoa? 
JHN.8.58	Yesus ophona, kava ishunv yemba tanam, Aprahamba avalva sism lengna, kava doara doa avna. Manara kava kavpa men.
JHN.8.59	Nonamba Yesusva honamba ona ishona, indhanamba honmba ovravna, heindam dom pipi veihemb velm, una, himba hevmba opusvundthovna, os ovna, kava Sesoa lohv. Heva os Yesusva nominiva koho lohvhoanamba, wo os himba pholahangana no tempelliniva.
JHN.9.1	Yesusva monam ona gana, nongla indhanarinim novtitmungilm, nom aval doara ten ambo snal lengnam. 
JHN.9.2	Hevtindi noi 12pelara osihminina, an indkoklava venamba, hona indhanariniva noinda novtitnahonamba lengna, hev venami, a aralaval evenami?
JHN.9.3	Yesus opla vrinna, hona indhanarinina aral avalna indkoklarava owai, himba novtit venamoa. Hona indhanariniva, avalva novtitmungil wohlengna, osm ata Sesoana keknasowolva honinda, osm si indkumbiva nunglutithoavra heinda. 
JHN.9.4	Hillu, mendah upsil lohv, pioa nihnapehna vrivei hena nona andramoa, himba temba kamba wolaihapranamba. Noinda doa simba murapeta ihprakav, wo an eva andra vevra sinimba? 
JHN.9.5	Kava huiva avrava petharava mendahva, ka upsilva hona pethariniva luhunv yemba.
JHN.9.6	Honamba doa Yesusva ishopianamba, doa hev muemb topholothonamba, pethambrowolm nona weisvre. Wo venamba, nona novm sanbas vrowolmana no indhanarinina. 
JHN.9.7	Wo hev omnana no indhanarinim, garava, Siloam tovalpra pora daloho. Wo no indhanariniva os gana, poramba daloholmba. Wo himba poriniva hengava provnamba, himba doa beswonam henga nov vilprovna. Nomba pomba osm alvna, Doa Wolaihangav.
JHN.9.8	Monglava indhanamba nunglivnamba hona indhanarinimba, temba doarava kekamnakrava wulongo lohvnamba. He eva no indhanarinina owal una, nunglu, es hevpa no indhanarinima, ten kekamnakra wulongolohvnam? 
JHN.9.9	Mongla opulvona, hevta hev noi. Wo heva os mongla uvna, owai, himba nomba owai. Heva os himba snalta eva lohv. Wo venamba, no indhanarini hev onam, kava menta. 
JHN.9.10	Wo hev umnina, es yimba vei? Manana vei yimba pevna novmba?
JHN.9.11	Hev unna, indhanarini henamba nihilva os alv, Yesus, petha weis vreiva, kana novm nona sanbas vrowoli. Wo kamba omna, garava, Siloam tovalpra di daloho. Wo kava gaiva, di dalohkai, wo kava os henga beswonam wohnovvei. 
JHN.9.12	Wo hev sah ovrivna, wo no indhanariniva es vei? Wo no indhanarini unna, kava eva tit venavta.
JHN.9.13	Wo indhanamba nomba vinamba, os waianginna Varisinindinamba, hem nomba temba Yesusva hemba sishona vrenamba. 
JHN.9.14	No nambainamba, Yesusva temba pethava weisvrenamba, wo hena novm nona pevhoawolmana nona, nonam vena, Yutanindnamba vah iaevul okomba luhunvna nonamba. 
JHN.9.15	Wo doa Varisinindva sah ovruwul vevna no indhanarinimba, umnina, es yemba venai pevna novmba? Hev unna, himba pethambrona sanbas vrowoli kana novmba. Wo kava pora dalohoiva, os kava novpa pevhoawolei hengava.
JHN.9.16	Monglava Varisinindva os eishovna, hona indhanariniva osva nenglohvmoa, ov, memba vah iaevul okomba owai, wo noinda pivva liheiv osva himba pronamoa Sesoanaminiva. Mongla uvna, heva os indhanariniva indhanarinikoklava atava, osva mendekliandrava vevramoa, memba honamba himba vevpa. Wo noinda osva mongawamomba owalmongova eukvrivnamoa owai. 
JHN.9.17	Wo henga osihminina no indhanarinim, es yimba nengmanav no indhanarinimba, yena novmba himba temba pevhoawoliva? Wo no indhanarini unna, himba mongo moashulnindrini.
JHN.9.18	Wo heva os owai, Yutanindna kuwulva nomba moamba hillinamoa, osva ona, lehra ov, himba doara novtit vevna, wo heva os himba doa henga beswonam novvev. Wo doa himba vinamba, indhanam monglam wolanga vina, no novtitmungilna aralavalm onhalvunilm. 
JHN.9.19	Wo hev sahinna, es hevpa memba yena ombol luhunvma? Yimba es ohov, hemba ambo doara snal novtitmungil lingnama? Wo es hevpa eva himba novvev daipotava hengava?
JHN.9.20	Aralaval uhunna, kava enonglav, osva memba kana ombol luhunv, wo kav vei, elihav, osva hemba doara snal lingna novtitmungil. 
JHN.9.21	Wo heva os kava tit evev, es himba hengava novpa vev. Kava tit evev, an dihi henamba novpa pevhoawoli. Osihminu hevm. Himba mani eusilma, hev ata yemba ishunvav. 
JHN.9.22	Honamba moamba aral avalva noinda ihishovna, himba pem evinvna Yutanindna kuwulnapenam. Manara, kuwulva doara doa osva ningna, himba nomba osva otava, Yesusva Kristus, hem nomba ata os wolaihapulvovav sembayangduvriniva. 
JHN.9.23	Noinda aralavalva sna moamba osva ihishovna, himba mani eusilma, osihminu hevm.
JHN.9.24	Wo henga Yutanindna kuwulva umnina, nom ten novtitnahonam aval lengnam. Hev umnina, yeoa okolavm Sesoamoa, wo os kamba ishunu tanamolnam. Kava os ningv, no indhanariniva indhanarinikokla. 
JHN.9.25	Hev unna, kava eva tit venavta, osva ora himba indhanarinikokla lohv. Wo heva os mana vemamba kava nonora. Kava seilmba avna novtitna, wo daipotava doa kava novvev.
JHN.9.26	Wo no Yutanindna kuwul umnina, mani venei himba yemba? Es venei himba yemba, hengamba novvelmba beswonamba? 
JHN.9.27	Hev ophona, kava doa doara yemba ishuni osva. Wo heva os owai, yimba hillimoa kamba. Manaram yimba hengava hevpa hellelmba uv honamba? Wo es hevpa yimba lovahalm uvma hetindilm? 
JHN.9.28	Wo moalusna di alalkoho esvema hemba, umnina, yimba hetindirini, kava memba Mosestindi av. 
JHN.9.29	Kava nonora lovahv, osva Sesoa ishomnana Mosesmba, wo heva os kava owaimomolmba levrapivolvmoa no indhanarinimba, osva himba hinimini prona.
JHN.9.30	Wo hev ophona, memba ambo yimba sahonam eishov titnam. Yimba tit viv, osva himba hinimini prona, wo heva os himba pevhoawoli kanamba novpa. 
JHN.9.31	Pivva indkumbiva nonora av, osva Sesoava helwolvmoa indhanakoklamba. Heva os Sesoava helwolv, nom ten vev, sembayang viniv, eva engivm hevm. 
JHN.9.32	Monglava doarava sna moamba ishumnivnamoa, hillinamoa, indhanariniva nov velmba, snamba temba doarava avalva lengnamba snamba. 
JHN.9.33	Wo hona indhanariniva Sesoanaminiva lohmba owai vetava, ata himba vevtamoa mana vemava snamba.
JHN.9.34	Wo hev louwolm umnina, yemba avapevpa lengna indkoklanahonam. Wo es hevpa yimba ambo kam numhowolalm ovma? Wo hev opulvona, wohpholahangao, manam hengava yimba sihavav homba.
JHN.9.35	Yesusva hellena, osva himba doa engvawul vei hemba nominiva. Wo doa Yesusva hemba silelnamba, omnana, es hevpa yimba keknam undnahonam lohmanavma arana ombolmba? 
JHN.9.36	Hev omnana, mendekli, an ombolva aranamba? Ishomno kam, wo osva kava hemba keknamba undnahonamba lohmanavra. 
JHN.9.37	Yesus omnana hemba, yimba doara doa nonglana hemba. Arana ombolva, men yemba moamba waiishov daipota. 
JHN.9.38	Hev omnana, tanam, kava keknam undnahonam lohv. Wo hev mulumbdandna lohvhoamnanamba, okolavna Yesusm.
JHN.9.39	Yesus omnana, kava sihapra vena hona petharamba, osm pethanindmba lesvhoawolalmba. Kava prona, osm novtitmungilva henga beswonam novpa vivra, wo himba nomba memba beswonamba nov vivpa, himba henga novtitmungil avra. 
JHN.9.40	Monglava Varisinindva di doara lovahvna murapeta Yesusinda. Nonamba himba nomba osva ona hillina, hev umnina, yimba kamba os unima, yimba novtitmungil eva avta a? 
JHN.9.41	Yesus unna, yimba osva utava, kava indhanakokla av, osrava si Sesoava yemba unvavmoa, osm yimba indkokla vina doa. Heva os daipotava yimba os uv, kava wuvol indhana av, novviv beswonam, wo noinda osva Sesoava si yemba os unvav, yimba indkokla vina doa.
JHN.10.1	Yesusva os ona, tanam kava ishunv yemba, indhanariniva vongavavmoa tuvsharava sipsipna ninvhoramba, heva os himba vongavav mongnashara indanam, sna indhanariniva temba yukovnindrini. 
JHN.10.2	Himba nomba diva tuvsharava sihavrava, temba himba nomba sipsipna kekalvhonindrini. 
JHN.10.3	Wo indhanariniva nomba tuvpa kekalvho vrowovrava, hemba velaihamnavra tuvpa. Wo sipsippa hillimnivra moalamangmba no kekalvhonindrininamba. Himba wonewol vevra hevna sipsipmba, nihilm indakondakonda sevelunvra, wo os himba deisumbi lohmana vevra hemba.
JHN.10.4	Wo himba os wonphovrava, os wonlohmana vevra. Wo hev ku mi wulluhunvrava, os deisumbi lohmana vevra. Himba engingivra, manara, himba hillimniv kekalvhonindrinina moalamangmba. 
JHN.10.5	Wo heva os himba mongomba indhanarinimba patvmonavavmoa. Himba pilialowolavav henaminiva, noinda himba hillimnivmoa hena moalamangmba. 
JHN.10.6	Yesusva honi ishunna moamba indhanamba, wo heva os himba levrapivolnamoa honamba moamba temurava.
JHN.10.7	Wo henga Yesusva unna, kava ishunv yemba tanam. Ka tuvmsna sipsipnamba luhunv, ninvhomba. 
JHN.10.8	Indkumbiva indhanamba temba miva doarava prowonamba, vevna, yukovnind, eva allambawonda. Wo sipsippa hilwilvnamoa hemba. 
JHN.10.9	Ka tuvpa. Indhanariniva himba nomba kaindava sihavrava, hemba si lopshavav. Himba si beswonam vevra, sihavra, phovra, innemba silelalmba. 
JHN.10.10	Yukovnindriniva prov, vev, yukov velm, eva indkokla vewolalm. Heva os kava prov, daswolalm undm, eva osm wohlundthoara undnangas.
JHN.10.11	Kava besal kekalvhonindrini. Besal kekalvhonindriniva hevmba wirehunv, daheinilm sipsipm. 
JHN.10.12	Andranindrinimba, nomba temba diva dambroh velvohvpa, sipsip andrarava, temba indanapetam no kekalvhonindrinirava, hemba temba dahwol vevpa. Wo nomba andranindriniva nonglatava allambawondamba, osva ora, ten prov, himba dandwonam wohgavav, bumbrislahangavav sipsipmba di. Wo doa allambawondava os kelvhueindava, engalungu vevra, wo os sipsippa bukithengu vevra. 
JHN.10.13	Indhanariniva dandwonam wohgana, noinda himba di andranindrini ambo. Himba undnahonamba andra vevnamoa, sipsipmba kekalvho vewolalmba.
JHN.10.14+JHN.10.15	Kava besal sipsipna kekalvhonindrini. Kava lihawol vev kavna sipsipmba, os ten ara kam lihavm. Wo eva kana sipsippa kamba kavmba liheivavta. Kava kavmba wirehunv, daheinilm kavna sipsipm. 
JHN.10.16	Wo kanamba monglava sipsippa lovahv, heva os hona pueilmerava owai huiva. Wo kaoa hemoa wonproita eva. Himba si eva hillivrata kana moalamangmba, wo osva si lohvav, mongal sipsiptindiva, mongal kekalvhonindrini.
JHN.10.17	Aramba mindnam kamba und vev, noinda kava kavmba wirehunv, dahalm. Kava kavm wirehunv, dahalm, osm kava si hengava beswonam kavna nihnamba avav. 
JHN.10.18	An eva kamba si helvakomandhavav? Kava yunalm kavmba wohwirehunv moahui. Kamba an eva ovomnavav owai, wo eva kava hengava kavna nihnamba avrava, an eva kamba ovomnavav? Honamba memba, aramba kamba os omnana velmba.
JHN.10.19	Henga Yutanindva owai, owalmongova mongawamomba eukvrivnamoa, noinda hona moa, snal Yesus ten ishovnam. 
JHN.10.20	Indkumbiva himba os uvna, tihsongova doa sihamnana nihmera, wo noinda hemba daielmba ovomnav. Manara hilliv yimba hemba. 
JHN.10.21	Heva os mongla uvna, indhanariniva nomba temba daiva venavpa tihsongonamba, osva ishovmoa sna moamba. Wo es hevpa tihsongova pevhoawol vinvrama novtitmungilna novmba?
JHN.10.22	Wo doa innetihva mendekli phunvna Yerusalemrava. Nom seilminim henga nengvhueinam, lehalm deuvm, os memba Sesoana tempelduvnonoa. Memba nonam vivna, namvuvi hulvui iavnam. 
JHN.10.23	Yesusva di lohmana vevna tempelmera Solomonna plasangsis. 
JHN.10.24	Wo Yutanindva hemba kusomnanamba, hev umnina, eva mani om yimba phonama, kamba wera vewolalmba pevindava. Yimba tanamba Kristusva lohtava, wo eva os ishunuta musera kamoa.
JHN.10.25	Yesus ophona, kava ishunna yemba doa doara, wo heva os yimba kek vithinamoa. Osva kava memba mendekliandrava vevpa arana nihilla. Wo noi mendekliandra kamba museramba holvonethav, osva kava men. 
JHN.10.26	Wo heva os yimba owai, mendah tit viv, manara noinda yimba kana sipsippa owai. 
JHN.10.27	Kanamba sipsippa aong velvohv kana moalamangmba. Kava lihawol vev hemba, wo himba kamba wohengpetv. 
JHN.10.28	Kava daswolv undva, yunalm nonapopolm wohalm, wo hemba si dalvramoa. Wo mongova indhanariniva hemba yukov vevavmoa kana englariniva. 
JHN.10.29	Ara kana kamba holvorombraohna sipsipmba. Himba manana manana mendekli woheinv, wo an eva mongova yukov vevav kanamba sipsippa kana arana englariniva. 
JHN.10.30	Kava araiva mongawundna mongal ahav.
JHN.10.31	Wo henga Yutanind hon di ovre, Yesusm nonam miklelm. 
JHN.10.32	Wo heva os Yesus unna, kava doa vewol vena mendekliandrava besal aranaminiva. Wo heninda yimba kamba miklelmba viv?
JHN.10.33	Wo Yutanind opulvona, kava miklelmba vivmoa yemba, noindava memba besal andrava yimba venamba. Heva os ten pev ishomnavna sahonam Sesoam. Yimba ambo mongo indhanarininonoa, wo heva os yimba os oi, kava lohohra, os Sesoa ten avm.
JHN.10.34	Wo henga Yesus ophona, ten novol veluhunv pevna lohohmora, osva Sesoava os ona, yimba Sesoamsna av. 
JHN.10.35	Honamba tombaimomba hemba os nengsmoa ov, yimba Sesoamsna av, indhanamba, henom Sesoava hevna moamba ishunna. Wo no tombaimomba gekalava ishovmoa.
JHN.10.36	Kava memba noi, Sesoa kamba pusvundthoana hevelm, wo wolaihaprana petharam. Wo manara yimba osva uvna, kava sahonam ishomnavna Sesoamba, noinda kava osva oi, kava Sesoana ombol? 
JHN.10.37	Kava nomba owai vetava, temba aramba vevpa, wo osva manam yimba kamba keknamba amnavra undnahonamba. 
