MAT.1.1	Kristus Yesus, Zen teipsïn zini Daud Bak mo Auyan-tane.
JHN.4.45	Hwëna kim asa golëyaïng gweka, Galileak de zini man ki sap neirink. Zen hen mes Yerusalemk yakla yala Paskanak ang tak, hen dekam zëno owas syal gwibinni kïtak kara nul gwek, zep ki neirink.
JHN.4.46	Yesus ki zep asa golëlwanda halka– Galilea mo ëna Kana san dep, men zëwe Zëna nonol ho tanganna anggur ho hap li yul sonekake. Langna Galileak de aha ëna Kapernaumk zao hen ki zini gwëꞌanka– teipsïn zini Herodes mo taha trï so gweblan nik. Hwëna zëno tanena sang-sang nik gwëꞌanka. 
JHN.4.47	Zen kim salka, “Yesus Yerusalem mo lang nakon mes hata zala,” dekam zep song gwebla zaka, zao zep abe ta zaka, “Em wëhë asa mas gweblaꞌanka? Kapernaum sun nen ingnen– ano tane tolsa eka dawem ta. Zen tïn hïp tol alp gwesïꞌïra.”
JHN.4.48	Ki zep hwëna ding gulbluka, “Em awe de zini, karek tanganna. Em owas-owassa de syal gwibir-zimdin srëmkam bëjen em ëtaïblïn.”
JHN.4.49	Hwëna man gubluka, “Haen, Bian! Em de hla tan srëmkam ano tanena sa tol tïlï!”
JHN.4.50	Ki zep hwëna ding gulbluka, “Emki song gwen. Eno tanena sa ngaya gwera.”
JHN.4.50	Zini in man Yesus mo ola insa taïblïbirki, ki zep hëndep gwë halka. 
JHN.4.51	Ora san kim nama tineꞌanka, dekam zep zëre hon de babu gwen zi niban golëtoweka. Zao zep nenblazak, “Eno tanena mes dawem gweka!”
JHN.4.52	Ki zep takensibiridaka, “Bawalkam dawem gweka?”
JHN.4.52	Ki zep ding nulblik, “Ir, yakla nwena aha-en, dekam ewenna tap gweblak.” 
JHN.4.53	Bi zem dekam zep enlala gweka, “O hare yakla nwena dekam am Yesus asa gubluka, ‘Eno tanena sa ngaya gwera.’” Zëna hëndep zëre mo golak dena kïtak dekam zep Yesussu daïblïblak. 
JHN.4.54	Zep in kim kirekam tane tola insa dawem taka, Zen dekam zep Yerusalem mo lang nakon de Galileak hata gwe zankam de owas syal gwibir-zimdinni dan nëblak. 
JHN.5.1	Aha yaklakam, ki zep Yesus Yerusalem san dep asa golësek gweka– Yahudi zi mo aha yakla yalak dep. 
JHN.5.2	Ë yala Yerusalemsa in kasokam de kolkam orep mes ki wale dak, hen zëno aha lïlïkïnnï man bose nosok “Domba zaho hap de Lïlïkïn.” Tïl hannak zao ki aïlï ho yawala, zëno gol kluk-klukna aha-ere taha-tap enkam. Ibrani olkam aïlï hona insa man bose dak “Betesda”kam. 
JHN.5.3	Zëwe zi sang-sangna tra nik ëglang-glang gwe-gwek– sap nwe haïna, lekna, hen taha-tana teisya ine gwen srëm wenya. [Zen man zë ëkara gwe-gwek– aïlï hona insa dekon ngëp-ngep gwennak hla tan hap. 
JHN.5.4	Sap menkam-en menkam-enkam Alap mo dam taha nakore zini man jowe ine gwe zaka, dekam zep hona insa ngëp-ngep ta gweka. Ngëp-ngep gwenkam, dekam men nara honak de talhenkam nonol gwenna, zen dekam de sang-sang nakon dawem gwen– sap banakare sang-sang mae nakon.] 
JHN.5.5	Zao hen ki zini, zen 38 tahun enkam sang-sang naban gwë gweka. 
JHN.5.6	Yesus kim tumnak zini insa hla ta zaka, zen man tame taka, “An mes holo tangankam sang-sang gweka,” ki zep takensïblïka, “Em wëhë dawem gwen hap dwam gweꞌara?”
JHN.5.7	Ki zep ding gulbluka, “Bian, ëe banakan de dawem gwen hap? Asa de mas gweblan hap de zini san ki? Zep hona an de ngëp-ngep gwenkam, ëe kimë nama song gwen hap sap akasïk gwenan, dekam zep hwëna aha zi talhenkam ënonol gwe-gwenan.”
JHN.5.8	Yesus ki zep gubluka, “Dekam luwe, hëndep ki ere mo ni ta gwen srë-srena insa gol san dep gul ine kïnï.” 
JHN.5.9	Hëndep dekam zep zini in dawem gweka, ki zep srë-srena insa gul ine kïnïka.
JHN.5.9	Yaklana in dekam Yesus zini insa dawem taka, dekam Hari Sabat– Yahudi zi mo syal tan srëm yaklakam. 
JHN.5.10	Hwëna Yahudi zi mo mam-mamna kim zini insa hla da sonek, ki zep zë nen soneblak, “Nëno mae mo ol jalse gwennak, Hari Sabatkam srë-srena bëjen gwirenhan.”
JHN.5.11	Hwëna man ding gulzimki, “Zini men zen asa dawem tala, zen man asa gublula, ‘Ere mo srë-srena insa em gol san dep gwirenhan.’”
JHN.5.12	Dekam zep dakensïblïk, “Zen nara zi ki emsa kirekam gublula?”
JHN.5.13	Hwëna zini in hom anakan tame taka, “Zini bosena Yesus asa dawem tala,” sap Yesus zi beyanak iwe aya gwe ine halka.
JHN.5.14	Yesus ki zep zini insa etan Alap mo gol teksonnak zertoweꞌanka, zao zep gubluka, “Emki sane gwen: Emsa mesë dawem tak, hwëna kareksa de gol gwenna emki baes gwen. E-baes gwe srëm gweꞌanka, ki hwëna sërkam de karek tangan wenyaka esa goltowera.”
JHN.5.15	Kirekam kim salblaka, zini in dekam zep Yahudi zi mo mam-mam wenyaka gubiridaka, “Zini in zen asa dawem taka, zen bosena Yesus.” 
JHN.5.16	Zen dekam zep Yahudi zi mo mam-mamna Yesussu de sïl-sïl tanna kon neisïblï hanaꞌak, sap Zen Hari Sabatkam zisi dawem ta gwibiꞌinka.
JHN.5.17	Hwëna Yesus ki zep gubiridaka, “Ano Bianna hom syala golzausuk gwenda. Ëe hen zebë kirekam syal gwe tine gwenan.” 
JHN.5.18	Yahudi zi mo mam-mamna dekam tangan zep Yesussu de tan hap ola aha-en nuk– mae hap: Sap zëno mae mo dam gulsunkum, Zen Hari Sabat en hap denaka hom gulmun gweka. Zen hwëna Alapsa hen “Ano Bian”kam gu gweblaka. Dekam hwëna zëno ola man nwe-mase gwe-gwek, “Ëe Alap han ki en.”
JHN.5.19	Yesus ki zep Yahudi mo mam-mam wenya insa gubiridaka, “Ëe eiwa denakaë emsa gubiridaꞌan: Ëe bëjënë ëre en mo enlalakam ba maesa syal gwibin. Hwëna mensaë ëre mo Biansa anakan kara ta gwenan, ‘Bian kirekam syal gwe-gwenda,’ Ëe hen zebë kire enkam syal gwe-gwenan. Men kirekam Bian syal gwe-gwenda, Ëe hen desan zebë ang gwe-gwenan. 
JHN.5.20	Sap ano Bianna man sërkam Asa kwasang gwe-gweblanda, zep mensa Zëna syal gwe-gwibirida, tïngan zep abe hap goltrë gweblanda. Hen Zen sa etan sërkam de owassa dikim ebe mae hap syal gwe-gwibir-zimdin hip denaka abe hap gol gweblala, hëndep owasna in esa lenggwanbirida gwer. 
JHN.5.21	Men kirekam ano Bian juwen zisi ngaya ta gwibirida, abe hap hen mes kire hap de sosonna golblaka– Ëe de hen kirekam ngaya ta gwibin hip, men desa Aena dwam gwibiridaꞌanke. 
JHN.5.22	Hen ano Bian Zëna angkam bëjen zisi klis gun. Sap Zen mes klis gun hup dena kïtak abe hap golblaka. 
JHN.5.23	Zen mae hap kirekam abe hap golblaka: Dekam de tïngare zi Asa blikip gwesïk gweblan hap– san de men kiye, ëre mo Bian Zënaka de blikip gwesïblïnna. Zep zini men zen Asa blikip gwesïblïn srëmna, zen hen hom ano Bianna blikip neisïk gweblanan– men zen Asa zer sonekaye.
JHN.5.24	“Ëe eiwa denakaë emsa gubiridaꞌan: Zini men zen ano ol san ang ta gweꞌak, hen ano Bian, men Zen Asa zer soneka, Desa daïblïblaꞌak, zen ki mes hëndep de gwën hap dena nulin. Kire zisi bëjen aumwa hap de klis gunnuk karek tabin. Sap zen mes tïn hïp de orana hli dak– dekam de ëngaya gwen hap de ora san ang tan hapye. 
JHN.5.25	Ëe eiwa denakaë emsa gubiridaꞌan: Yaklanak sa hatal hen angkam man kirekam lwaꞌan, dekam men zen juwen zi mo kim lowehe gwenan, zen sa Alap mo Tanena ano kwang guludan ola ësal gwer, hen men zen de Asa ang nëblaꞌak, zen zen sa ëngaya gwer. 
JHN.5.26	Sap ngaya gwen hap de ausuna Bian onak, hwëna Zen mes Tane zem abe hap golblaka– dekam de Abon onakon ëngaya gwe-gwen hap denaye. 
JHN.5.27	Hen Zen mes zisi dikim klis gul gwen hap de sosonna abe hap golblaka, sap Ëe an Zen– ngatan zi mo lang nakore Zi Tanganna.
JHN.5.28	“Ano tawa tabinni ansa bahem tenggwanbin. Sap yaklanak sa hatal, dekam tïngan men zen juwek ngatan zi mo lang nakore Zi Tanganna ano kwang guludahan hap de olsa sa ësane gweser. 
JHN.5.29	Zen dekam sa zënaka de kang gulne gwen nakon luk tal. Men zen dawemna nol gwek, desa asa ëngaya gwen hap tagal gulsul. Men zen karekna nol gwek, desa karek tabin hip asa tagal gulsul. 
JHN.5.30	Ëe bëjënë A-en ba maesa syal gwibin. Ëe de zisi klis gunkum, dekam Ëe ama Bian mo Asa de gublun en san ang gwe-gwenan. Ano zisi de klis gunnu bëjen li tabin, sap Ëe homë ëre mo dwam gwibin sin ang gwe-gwenan, hwëna men Zen Asa zer sonekake, zëre mo dwam gwibin en sanë ang gwe-gwenan.
JHN.5.31	“Ëe de anakan gubiridankam, ‘Ëe an Zen– mensa em kara ë gweblananye,’ hwëna aha zi de ano olsa trïlsen srëmkam, dekam molye Asa laïblïblak. 
JHN.5.32	Hwëna ano olsa de trïlsen hap de Zini ki. Zen ëre mo Bian. Hen ëe tawana: Zëno Asa de trï tasen hap de ola eiwa tanganna. 
JHN.5.33	Em ema zini baptis ta gwibin zini Yohanis osan dep lup ul sonek, hen zen dekam zep eiwakam abe hap dena damnak kira gweka. 
JHN.5.34	Auhu-kama zi de Asa trï tasen srëmkam hen sap. Hwëna en dikim lamkam ëngaya gwen habë ki emsa enlala sobiridal. 
JHN.5.35	Yohanis mo gwënna lampu makan lwa gwek– san de lampu de okama kawesïnnïk awe zïl inenna kiye. Nonol lone sennak em ema sap zëno ngatanna insa isrip-sri eibik. 
JHN.5.36	Zep Yohanis hen man Asa trï ta seka, hwëna diki dawem tanganna, emki ano owas syal gwe-gwibinsi taïblï gwibin. Bian Zen zep abe hap owas-owassa dikim syal gwe-gwibin hip de sosonna golblaka– em ekakim Asa anakan laïblïblak, ‘An eiwa Bian Alap zer soneka.’ 
JHN.5.37	Ëre mo Bianna men Zen Asa zer soneka, Zen man hen Asa trï ta seꞌara. Hwëna em hom tangane zëno ol toranna ësane gwek, hen home zëno nwe-masena hla lablak. 
JHN.5.38	Alap mo ola man eno mae mo enhonak jawe guk hana gwenan, sap em home zëre mo zer sonen Zini Asa laïblïblaꞌan.
JHN.5.39	“Em sap Alap mo ol ale gunnu kie karatda ul gwenan, dekam zebe sap anakan ëenlala gwe-gwenan, ‘Ëe asa dekon hëndep de gwën hap de orana dam lasïl.’ Hwëna ol ale gunnu in, zen sap abe hap dena– Asa dikim tame tan hap! 
JHN.5.40	Hwëna em ema baes ta gwenan– Asa de ëngaya gwen hap dena kip abe tan hapye. Ëe ki amaka ebe mae hap golzimꞌin.
JHN.5.41	“Ëe zi dikim ano bosesa mam gulblun hap homë awe hatazak. 
JHN.5.42	Sap Ëe mesë emsa tame tabik. Eno mae mo enhonak hom– Alapsa de ensa lwablan hap denaye. 
JHN.5.43	Ëe ëre mo Bian mo bosekamë hatazak, hwëna em home asa dokwak laꞌan. Hwëna auhu-kama zi de zëre en mo bosekam hata zankam, desa en ema dokwak la gwibirin. 
JHN.5.44	Em ema ësam gwesïk gwenan– hwë-hwëkam de enaka bose naka anakan teip gulsuk gwizimdinni, ‘Em zini dawemna.’ Hwëna em home ëalp gwe-gwenan– Aha-ere Zini Alap dikim emsa sam gwesibiridan hapye. Kirekam de zini em an banakan dep?– Asa de taïblïblan naye.
JHN.5.45	“Bahem Asa kïl tïn, ‘Zen sa Bi zikhip ano mae mo karekna goltrëblala.’ Hwëna eno mae mo kareksa de Bian hap goltrëblan hap de zini, zen Musa Bak– mensa ena kïl lïꞌan, ‘Alap de klis gunnuk zen zen sa asa golëzauk sonera.’ 
JHN.5.46	Em de eiwakam Musa mo olsa taïblïbinkim, ki emaka hen Asa laïblïblaꞌan, sap zen hen abe hap denaka ale gulku.
JHN.5.47	Hwëna em ema baes ta gwenan– Musa mo ola insa de taïblïbin hipye. Zep kire zini banakan dep?– ano olsa de hen taïblïbin niye!”
JHN.6.1	Aha yaklakam, Yesus ki zep Ho Gutuna Galilea san asa bulkum golëblan kïnïka. Ho gutuna in mo aha bosena Tiberias. 
JHN.6.2	Hwëna zi beyana dekam zep tanakam bul lë ta gwen san dep hles dyablak, sap zen mes zëno owas-owas syal gwibinni hla nul gwek– zi sang-sangna kim dawem ta gwibirkike. 
JHN.6.3	Zao zep Yesus kwatap teknak asa golësesek gwe seka, ki zep zë asa golëteinikinꞌinka. 
JHN.6.4	Dekam Yahudi zi mo yakla yala Paskanak dep man golek de gweꞌak.
JHN.6.5	Yesus kim men-san an-sankam zi beyam-byana insa kara tabirida ine guk gweꞌanka, dekam zep Pilipussu takensïblïka, “Endawe esa tembanena lop lal?– dekam de zi beyam-byana ansa sul sonen hapye.” 
JHN.6.6	Zen mae hap kirekam Pilipussu takensïblïka– dekam de anakan akasïblïn hap, “Zen banakan wëhë Asa ding gulbluꞌanka?” Hwëna Yesus Zëna mes sap hamal hap anakan enlala gweka, “Ëe kirekam de owassa asa syal gwibir-zim.”
JHN.6.7	Pilipus dekam zep ding gulbluka, “Nëno mae mo te-ala de mam tangankam lwaꞌanam, dekam de tembanesa kap tankam, dekam molya hen su kul soneꞌanam– sap betek maekam de golëtembane tan hapye.” 
JHN.6.8	Hwëna ki zep ëre mae mo wal bosena, Petrus mo osona Andreas Bak Yesussu gubluka, 
JHN.6.9	“Awe ki walas tola. Zëno rotina sap ki– aha-ere taha-tap enkam, hen hogwena dan. Hwëna zen tol waba hap. An zini tra tangan nakake.” 
JHN.6.10	Ki zep Yesus asa gubiridaka, “Teinikirin hip enbiridak.” Langna in so naban. Zao zep ki teinikink. Zi enna kim naïtbik, beyana san ha lima ribu enkam mes yap– we wal walassa de aïtbin srëmkam. 
JHN.6.11	Yesus ki zep rotina insa lop ta ineka, deban zep dawemsa Alap hap golblaka, ki zep hwëna zi beyana in hap dikim kae gwebla-zimdin hip asa gubiridaka. Hogwe darena insa hen kirekam. Kim dwenblanda gweꞌak, hëndep man tangan ëïtrï gwek.
JHN.6.12	Kim tïngan ëïtrï gwek, ki zep asa gubiridaka, “Dekam mosrona tagam lasïk. Betek en maekam bap zen zalta dep ërlwa kïnïn.” 
JHN.6.13	Sap rotina dan en hen zini tra tanganna, hwëna mosrona kimë tagam lasïk, yuna dua-blas enkam zep ësuwek.
JHN.6.14	Zi beyana in kim owasna insa hla nuk, ki zep ëguk, “An Zenke– Alap mo olsa de ayang gul gwen hap de zer sonen zini, mensa nen kara ë gweblananye.” 
JHN.6.15	Yesus kim tame gulku, “Zen angkam man Asa de tik-tik tan hap ëalp gweꞌan– dekam de zëbon mae onak teipsïn hïp,” dekam zep kon kwatap-tek kwatap-tek san dep zë-en ahulsuk halka.
JHN.6.16	Kim kam-en gweꞌak, ki zep ëe zëre hon de ang ta gwen wenya bul syap san tine gwek, 
JHN.6.17	ki zebë kon hëndep Kapernaum sun dep etan lwan dahak. Zao zep hëndep Yesus mo hatazan srëmnak asa kawesibiridak. 
JHN.6.18	Hwëna dekam zep asesena mamkam taïꞌïnka. Ho gutuna in dekam zep mamkam ngëp-ngep gweka. 
JHN.6.19	Ëe mesë dekam hoskam bulu insa ata ul song gweꞌak– langana san ha lima ahaksa enam kilometer enkam, hwëna ki zebë Yesussu hla la guk. Ho gutu tahan san song gweꞌan zaka, hëndep asa golek de tabiꞌin zaka. Ki zebë sërkam ëaïrïꞌak.
JHN.6.20	Hwëna ki zep asa gubirida kïnzïka, “Bahem ëaïrïn! Ëe an Ëe.” 
JHN.6.21	Dekam zebë bulu in kon aha-ere enlala naban eirink. Hwëna hëndep dekam zep bulu in owas hap Kapernaumk hatak.
JHN.6.22	Kaꞌankam, zi beyana in zen ho gutu men eihyanak lowehek dekam zep dam nulsuk, “Bulu ir aha-enke, hen Yesus hom am zëwe ang gwera– zëre hon de ang ta gwen wenya kim bulu inkam sek gwerye. Yesussu man-am hli dal.” 
JHN.6.23	Hwëna ahakore bulu, ëna Tiberias korena, dekam zep yaïng gwezak– langna men zëwe ir Yesus golëtembane tan nakon dawemsa Alap hap rotina in hap golblakake. 
JHN.6.24	Kim dam nulsuk, “Yesus hen zëre hon de ang ta gwen wenya hom awe lowe heꞌan,” dekam zep bulu inkam Kapernaum sun dep sek gwek– zao de Yesussu tëblan hap.
JHN.6.25	Zi beyana in kim Yesussu hla danak, zao zep dakensïblïk, “Guru, em bawalkame awe hatala?”
JHN.6.26	Ki zep ding gulzimki, “Eiwa denakaë emsa gubiridaꞌan: Em tembane en habe asa lëblaꞌan, sap ir rotikame ëïtrï gwek. Eno mae mo anakare enlalana hom, ‘Zëre mo owas-owas syal gwibin nikonë anakan dam lasïꞌïn, “Zen an Zen– mensaë kara ë gweblananye.”’ 
JHN.6.27	Bahem angkam en dep de tembane hap syal ta gwen, sap zen ëbatrenkam. Diki hëndep de ëlwa gwen hap de tembane hap emki syal ta gwen. Ëe, ngatan zi mo lang nakore Zi Tanganna, Ëe amaka kirekam de tembanena insa ebe mae hap golzimꞌin. Sap abe hap dena mes tangan dam gwesïk: Alap kire hap Asa zer soneka.”
JHN.6.28	Dekam zep dakensïblïk, “Ki hwëna ëe banakan asa syal tal?– Alap dikim asa sam gwesibiridan hap, hen dekam de hëndep de tembanena insa gul irin hipye.”
JHN.6.29	Yesus ki zep ding gulzimki, “Syala in, a desa mo Alap ebe mae hap dwam gwibir-zimꞌira: Asa em anakan taïblïblan, ‘An Zen– nësa de ngaya tabin hip de Zini, mensa Bian zer sone zakaye.’”
JHN.6.30	Dekam zep ding nulblik, “Ki banakare owassa esa abe mae hap goltreizimdi? Desa de hlaunkum amaka emsa laïblïblaꞌan. Banakarekam esa ap syal gwibir-zimdi? 
JHN.6.31	Musa kim sasa langnak golëgwë gweka, zen owaskam nëno mae mo auyan-aza hap tembanena bosena ‘manna’sa gol gwizimki. Men kirekam Alap mo olak lwak,
JHN.6.31	‘Zen ngatan zi mo lang nakore tembanesa gol gwizimki.’”
JHN.6.32	Ki zep ding gulzimki, “Eiwa denakaë emsa gubiridaꞌan: Musa Bak ngatan zi mo lang nakore tembane tangansa hom gol gwizimki. Diki ano Bian, Zen angkam ngatan zi mo lang nakore tembane tangansa ebe mae hap golzimꞌira. 
JHN.6.33	Sap Alap onakore tembane tanganna, zen diki Ëe an Zen tangan. Sap Ëe ngatan zi mo lang nakonë ati gwezak– dekam de ëngaya gwen hap denaka okamanak de zini ebe mae hap golzimdin hip.”
JHN.6.34	Ki zep nenblak, “Bian, tembanena in desa ap golzim tine gwe.”
JHN.6.35	Ki zep ding gulzimki, “Ëe an Zen– ëngaya gwen hap de tembane naye. Zini men zen Abon yaïng gwe-gweꞌanzak molya etan ëusak gwe-gwek, hen men zen de Asa daïblï gweblaꞌak zen molya etan ëho-hole gwe-gwek. 
JHN.6.36	Hwëna men kirekamë emsa gubirida gwek, em sap ema Asa hla la gwenan, hwëna home Asa laïblïblaꞌan. 
JHN.6.37	Tïngare zini mensa Bian abe hap lup gulbluꞌara, zen sa Abon yaïng gwe-gwezal. Men zen Abon yaïng gwe-gweꞌanzak, Ëe molyë desa lup gulin srëm gwe-gwek. 
JHN.6.38	Sap Ëe ëre mo dwam gwibin sin de syal gwen hap homë ngatan zi mo lang nakon hatazak. Hwëna diki Bian mo dwam gwibin en san dikim syal gwen habë hatazak. 
JHN.6.39	Bian men Zen asa zer soneka, zëno abe hap de dwam gwibir-blinna an zen: Men desa Zëna abe hap lup gulbluka, Ëe babë desa aha-en mae syauk sun dep de ora san de gwë hannak kara ta sonen. Hwëna diki aumwa hap de yaklanak asa kïtak tïn nïkon ngaya tabir. 
JHN.6.40	Zen zep tïngan men zen de Tane zem Asa hla da gweꞌak hen daïblï gweblaꞌak, zen zen– hëndep de lowehen hap de wenyaye. Zen desa asa aumwa hap de yaklanak ngaya tabir. Ano Bian mo dwam gwibinni zen kirekam.”
JHN.6.41	Yahudi zi mo mam-mamna men zen hen zi beyana iwe ang ta zak, zen dekam zep donsuk gweblaꞌak– insa anakan gubiridakake, “Ëe an Zen– ngatan zi mo lang nakore tembane naye.” 
JHN.6.42	Man ëgu gweꞌak, “Yesus an dwan Yusup Bak Swe mo tane sake. An-bi zemka ëe kië tawa eizimk. Zen ba hap anakan gu gweꞌara?– ‘Ëe ngatan zi mo lang nakonë ati gwezak.’”
JHN.6.43	Dekam zep gubiridaka, “Asa de tonsublunna in olzausuk. 
JHN.6.44	Sap zini bëjen Abon totoresa hatazan– ëre mo Bian de zon tazan srëmkamye. Aumwa hap de yaklanak Ëe asa desa en ngaya tabir. 
JHN.6.45	Sap Alap mo ol ayang gul gwen zini man ale nuk,
JHN.6.45	‘Alap sa tïngare zini tawa tabiri.’
JHN.6.45	Zen zep tïngan men zen Zëbon onak ësane gwe-gwenan hen dekon ëtawa gwe-gweꞌak, zen zen sa Abon yaïng gwe-gwezal.
JHN.6.46	“Hwëna ano ola in bahem tim gun, ‘Zini Biansa nwekam hla tankam.’ Diki Ëe an Zen aha-en– nwekam de hla ta gwen hap de Zini, Zëna men Desa zer sonekaye. 
JHN.6.47	Eiwa denakaë emsa gubiridaꞌan: Men zen de Asa daïblïblaꞌak, zen mes hëndep de ëngaya gwen hap dena nulin.
JHN.6.48	“Ëe an Zen– ëngaya gwen hap de tembane naye. 
JHN.6.49	Eno mae mo auyan-azana ki tembane bosena mannana sasa langnak dwenblanda gwek. Zen sap man desa dwenblanda gwek, hwëna dekam nama juwe gwek. 
JHN.6.50	Hwëna awe ki gwëꞌara– eiwakam de ngatan zi mo lang nakore tembane tangan naye. Desae olgwenbiꞌik, dekam molye juwe gwek. 
JHN.6.51	Ëe an Zen– ëngaya gwen hap de tembanena in, ngatan zi mo lang nakon de ati gwezan Zi niye. Men zen de tembanena ansa dwenblaꞌak, zen zen sa hëndep denaban ëngaya gwer. Tembanena in, an zen: Ano timni– men desaë okamanak de zisi dikim ngaya tabin hip sosok guꞌukye.”
JHN.6.52	Yesussu kim kirekam nasalblak, dekam zep zën ëol tetek gweꞌak– mae hap, “Zini in banakan sa zëre mo timni nëp golzimdi?– nen de twinbin hipye.”
JHN.6.53	Etan ki zep gubiridaka, “Eiwa denakaë emsa gubiridaꞌan: Eme ngatan zi mo lang nakore Zi Tanganna ano kalaka otdebir srëm gweꞌak, hen ano tim nika olgwenbir srëm gweꞌak, ki ngaya gwen hap dena hom ebon mae onakye. 
JHN.6.54	Zi de ano tim nika twinbinni hen ano kalsa otdebinni, ki zëbon onak ki lwaꞌan– ëngaya gwen hap denaye. Hen desa asa ngaya gwen hap luwen tabirzir– aumwa hap de yaklanakye. 
JHN.6.55	Sap ano timni zen eiwakam de tembane tangan. Hen ano kala zen eiwakam de hona zen– dekam de ëngaya gwen hap denaye. 
JHN.6.56	Men nara ano tim nika twinbinni hen ano kalaka otdebinni, zen aban zeraha-en gweꞌara, hen Ëe dekam ama deban zeraha-en gwëꞌan.
JHN.6.57	“Ano Bian, Zen ngaya gwen hap de ausuna Zen. Zen Asa zer soneka, hen Ëe Zëbon onakonë ngaya gweꞌan. Zen in zep hen kirekam, zini men zen de ano tim nika dwinbiꞌik, zen sa Abon onakon ëngaya gwer. 
JHN.6.58	Zen in zep, ngatan zi mo lang nakore tembanena, zen auyan-aza mo twenblanda gwen tembane makan hom. Desa kim sap dwenblanda gwek, zen hwëna nama juwe gwek. Hwëna ngatan zi mo lang nakore tembane tangansa de twenblanna, dekam hëndep denaban esa lowehe gwer.”
JHN.6.59	Zen Kapernaumk de but srëm golak kirekam tawa tabirki. 
JHN.6.60	Zi beyana in zen nërtro nasen gweꞌak kim kirekam de tawa tabinnik sane dak, beya nik zep ëguk, “Ola an gwa-gwa tanganna. Bëjen dam gulsun.”
JHN.6.61	Yesus hwëna man kïtak ano mae mo enlalana insa hla tazimki, ki zep asa kïtak gubiridaka, “Em ema yap ano ola insa husus eibir. 
JHN.6.62	Ki banakan esa ëenlala gwer?– em de Asa gulk sun de sewe sennak anakan kara ta sonenkam, ‘Ngatan zi mo lang nakore Zi Tanganna hare man-am angkam sewe seꞌara– men zao nonol gwë gwekake, desan dep.’ Ki dekam banakan esa Asa enlala ëblal? 
JHN.6.63	Alap mo Enhona, Zen Zen zi hip ëngaya gwen hap dena gol gwizimnira. Zi mo sosonna, zen waba hap. Ola insa emsa gubiridal, zen Alap mo Enho nakorena hen emsa dikim ngaya tabin hip dena. 
JHN.6.64	Hwëna Ëe tawana: Em ahakon home Asa laïblïblaꞌan.” Yesus kirekam gubiridaka, sap Zen nonol lonesen nakon mes ki tawa gwibiridaka, “Zini an zen sa Asa daïblïblal. An zen sa Asa daïblïbla srëm gwer.” Hen Zen mes aha zini insa tawa gwe gubluka, “An zen sa Asa zergulu.” 
JHN.6.65	Yesus dekam zep etan mas gulzimki, “Zen in zebë hen emsa gubiridak, ‘Zini bëjen Abon hatazan– Bian de gublun srëmkamye.’”
JHN.6.66	Dekam zi beyana in zen nërtro nasen gweꞌak, beya nik zep hli dak. Hom etan ang nëblak. 
JHN.6.67	Yesus dekam zep dua-blaskam de ang ta gwen wenya asa takensibiridaka, “Em san ha hen ema Asa de hli tan hap ëdwam gweꞌan?”
JHN.6.68	Simon insa hen nen gweblak “Petrus”kum ki zep ding gulbluka, “Ëe etan nara hon dep de sek gwen hap? Sap hëndep de ëngaya gwen hap de ola, zen Ebon en am lwaꞌan. 
JHN.6.69	Hen ëe mesë Emsa anakan laïblïblak, ‘An Zen tangan– Alap mo zer sonen Zi Lalak naye.’”
JHN.6.70	Yesus ki zep kïtak ap ding gulzimki, “Aenë sap emsa dua-blaskam dam tasibik, hwëna ebon mae onakon ahana zen dowal mo bi gweblanna.” 
JHN.6.71	Yesus mensa enlala gweblaka, zen ëna Kariot walya Simon Bak mo tanena Yudassa. Zen sap dua-blaskam de zini ano mae mo ahana, hwëna zen ki hëndep Yesussu zerguku.
JHN.7.1	Zao kim hya gwesïk, Yesus ki zep asa Galilea mo langnak de ë-ë san ziamjanbir song gweka. Zen hom Yerusalem mo langnak de ë-ë san dekam asa ziamjanbirki, sap Yahudi mo mam-mamna dekam man tan hap orasa dëblaꞌak. 
JHN.7.2	Dekam Yahudi mo yakla yalak dep man golek de gweꞌak– men dekam kluk-kluk golak lowehe gwenanke. 
JHN.7.3	Zep oso wal zem yasik tan ola anakan nenblak, “Em ba habe awe gwëꞌara? Yerusalem mo lang san em song gwen– zao deka ere hon de ang ta gwen wenya in eno owas syal gwibinni insa kara nul gwek. 
JHN.7.4	Eme anakan enaka enlala gweblaꞌanam, ‘Dikire kïtak asa tawa nëblak,’ ki bahem awe en aningkim syal gwe-gwen. Em in dekam de teipsïn hïbe syal gweꞌara, ki emki enaka tïngare zi hip zertrei gwizimdin.” 
JHN.7.5	Zen sap oso wal zem, hwëna zen hom anakan daïblïblak, “An Zen– nësa de ngaya tabin hip de Zi niye.” In zep kirekam yasik dak.
JHN.7.6	Hwëna man ding gulzimki, “Angkam abe hap de yaklanak hom zauꞌun– mensa Bian abe hap dam tasïblïkaye, Ëe dikim desan song gwen hapye. Hwëna em totoresa sap esa sek gwe-gwer. 
JHN.7.7	Auhu-kama enlala zini zen molya emsa husus neibiridak. Hwëna Asa en man husus në gweblanan, sap Ëe ama gubirida gwenan, ‘Em in kareksae ol gwenan.’ 
JHN.7.8	Amki e-en Yerusalem san yakla yala iwe dep zahe gwek. Ëe homë zaheꞌan, sap ano kire hap de yaklanak angkam hom zauꞌun.” 
JHN.7.9	Zep Zëna hom ang gweka. Zen man Galileak gwëka.
