MAT.1.1	O lil cai sicavel catar țîrdel‐pe o Iisus Hristos, o ciao le Davidosco, o ciao le Avraamosco. 
MAT.13.4	Hai pala sar semănilas, ăc partea and‐ăl cuchea peline pașa o drom hai avile ăl ciriclea hai hale‐le. 
MAT.13.5	Aver peline pă thaneste baralo, cai nas‐le phuî but hai sigo încliste avri, că nas‐le phuî mai andră; 
MAT.13.6	Hai cana înclisto o cham, pălisaile tatimastar, că nas‐len rădăcina, hai șuchile. 
MAT.13.7	Aver peline mașcar ăl canre, ta ăl canre barile hai tasarde‐le. 
MAT.13.8	Aver peline and‐ăl phuîate laci hai dine rodo: Ech ăc șăl, aver șouardeș, aver treanda. 
MAT.13.9	Saves si can așunimasche, te așunel. 
MAT.13.10	Hai ăl ucenicea avile pașa Leste, hai phende‐Lesche: Sostar des lenghe duma and‐ăl pildea? 
MAT.13.11	Ta Ou, boldindos, phendea‐lenghe: Codolatar că tumenghe sas dino te pringianen ăl buchea ăl garade le thagarimasche and‐o cero, ta col‐avrenghe nas dino. 
MAT.13.12	Coles cai si‐les mai del‐pe lesche, ta si te avel‐les opral, ta coles cai nai‐les, lela lesche vi so si les. 
MAT.13.13	Codolatar dav‐lenghe duma and‐ăl pildea, că on, dichindos, ni dichen, hai, așunindos, ni așunen, nici ni hachiaren. 
MAT.13.14	Hai lența maladiol so phendea o prooroco o Isaia, cai phenel: «Așunena tumare canența, ta nai te hachiaren, hai dichena tumare iachența, ta nai te dichen». 
MAT.13.15	Că o ilo cadal manușăngo thulilo, hai le canența așunen phares hai lenghe iacha phandadile, te na aresel te dichen le iachența, te na așunen le canența, hai le ilesa te na hachiaren, hai te bolden‐pes, hai Me te sastearav‐len. 
MAT.13.16	Ta mișto si tumare iachendar că dichen, hai tumare canendar că așunen. 
MAT.13.17	Ceaces phenau‐tumenghe, că but proorocea hai manuș ceace camline te dichen ăl buche cai dichen‐le tume, ta ni dichle‐le, hai te așunen cai așunen‐le tume, ta ni așunde‐le. 
MAT.13.18	Tume, acana, așunen e pilda le semănătoreschi: 
MAT.13.19	Catar orsao cai așunel dimos duma le thagarimasche hai ni hachiardea‐les, avel o nasulimos hai lel so sas semănime andă lesco ilo; cadaia si e sămînța cai peli pașa o drom. 
MAT.13.20	Codoia cai peli pașa‐c thana baralo si coua cai așunel o dimos duma, hai sigo lel‐les hai placiol‐les. 
MAT.13.21	Ta nai‐les rădăcina andă leste, hai închiarel gi‐cana avel ăc nasulimos pă leste or ăc nașimos anda‐i duma, atunci ciudel‐pe. 
MAT.13.22	Coia cai peli mașcar ăl canre si coua cai așunel e duma, ta că daral cadal lumea hai o tharimos le barvalimasco tasearel e duma hai ni aresel te avel rodo. 
MAT.13.23	Ta e sămînța cai sas ciutini and‐e phuî laci si coua cai așunel e duma hai hachiarel‐la, hai anel rodo, ech cherel ăc șal, aver șouardeș, aver treanda. 
MAT.13.24	Aver pilda ciutea‐la lenghe anglal, hai phendea: Cadea si o thagarimos and‐o cero sar echesa manuș cai semănisardea sămînța laci andă po bar. 
MAT.13.25	Ta cana ăl manuș sovenas, avilo o dușmano lesco, hai ciutea e neghina mașcar o ghiu hai ghelo. 
MAT.13.26	Hai cana cherdili e sulum hai dinea rodo, atunci sicadili e neghina. 
MAT.13.27	Cana avile ăl slugi cai o rast le cheresco, phendea‐lenghe: Raia, ni semănisardean tu sămînța laci andă chi bar? Catar avile e neghina? 
MAT.13.28	Ta ou boldea‐lenghe: Ăc dușmano manuș cherdea cadea. Ăl slugi phende‐lesche: Cames te gias hai te țîrdas‐la avri and‐o ghiu? 
MAT.13.29	Ta ou phendea‐lenghe: Na, cana sar țîrdena e neghina, te na țîrdena‐la sa vi o ghiu. 
MAT.13.30	Muchen te barion and‐ăc than vi o ghiu vi e neghina, gi c‐o chidimos le ghivesco, atunci phenaua le manușănghe cai chidena o ghiu: Încalaven mai anglal e neghina, phanden‐la dreza te thabaras‐la, hai o ghiu chiden‐les and‐ăl hambarea mîră. 
MAT.13.31	Aver pilda ciutea angla lende: O thagarimos and‐o cero meal ăc cucheasa muștareschi, cai lea‐la o manuș hai semănisardea‐la and‐o bar, 
MAT.13.32	Cadai si e mai țîcni anda sauără cuchea, ta cana barili si mai bari anda sauără hamata hai cherdol rucno, ta aven ăl ciriclea opral ta beșăn andă late. 
MAT.13.33	Aver pilda phendea‐lenghe: Cadea meal o thagarimos and‐o cero le aluatosa, cai can lea‐les ăc guivli, garavel‐le andă trin phirea aro, gi cana dospisailo sea. 
MAT.13.34	Sea cadla o Iisus phendeas le manușănghe and‐ăl pildea, hai bi‐pildengo ni delas‐langhe duma chanci, 
MAT.13.35	Caște maladiol so sas phendo catar o prooroco cai phenel: «Deschearaua and‐ăl pilde Muro mui, phenaua so si garado dă‐cana si cherdi e lumea». 
MAT.13.36	Pala codoia muchlea le bute manușăn, hai avilo and‐o cher, hai Lesche ucenicea pașîndos Lestar, phende: Cher‐ame te hachiaras e pilda le neghinasa anda‐i bar. 
MAT.13.37	Ou boldea, hai phendea: Coua savo semănil e sămînța e laci si o Ciao le Manușăsco. 
MAT.13.38	E bar si e lumea; e sămînța e laci si ăl ciave anda o thagarimos; e neghina si ăl ciave le nasulimasche. 
MAT.13.39	O dușmano cai semănisardeas si o beng; o chidimos le ghiveșco si cana terminil‐pe le manușănța, hai cola cai chiden o ghiu si ăl îngerea. 
MAT.13.40	Hai, pala so alol‐pe e neghina hai thabol and‐e iag, cadea si te avel i cana terminila‐pe le manușănța pala cadala ghesa. 
MAT.13.41	Bicearela o Ciao le Manușăsco Pesche îngeren, chidena anda Lesco thagarimos sea le dilimata hai codolen so cheren o nasulimos, 
MAT.13.42	Hai ciudena‐len and‐o cuptori le iagaco; othe avel roimos hai bare ducha. 
MAT.13.43	Atunci cola ăl orta luminina sar o cham and‐o thagarimos tumare Dadesco. Saves si‐les can, te așunel. 
MAT.13.44	Sa cadea meal o thagarimos and‐o cero ăc comoarasa garadi and‐ăl bar, cai cana arachlea‐la ăc manuș, garadea‐la, hai cadichi dă but placioiala latar, că ghelo ta bichindea dea co sas‐les hai chindea codoi bar. 
MAT.13.45	Hai pale o thagarimos and‐o cero meal ăc manușăsa cai rodel mărgăritarea lace. 
MAT.13.46	Hai cana arachlea ech cai si cuci, ghelo, ta bichindea sea so sas‐les hai chindea‐la. 
MAT.13.47	Sa cadea meal o thagarimos and‐o cero ăc năvodosa cai si ciudino and‐o pai hai astearel sauără feluri macesche. 
MAT.13.48	Hai cana pherdilo, țîrden‐les ăl macearia, hai beșîndos alon anda phirea ăl mace lace, hai save nai lace ciuden‐le avri. 
MAT.13.49	Cadea si te avel cana terminila‐pe le manușănța: înclena ăl îngerea hai încalena le nasulen and‐o mașcar le manușăngo orta. 
MAT.13.50	Hai ciudena‐le and‐o cuptori le iagaco; othe si te avel roimos hai bare ducha. 
MAT.13.51	Hachiarden tume sea cadala? On phende‐Lesche: Va, Raia. 
MAT.13.52	Hai Ou phendea‐lenghe: Codolasche, orsao sicado anda o thagarimos and‐o cero meal ăc gospodaresa, cai încalel anda pe barvalimos buchea neve hai phurane. 
MAT.13.53	Hai pala so phendea o Iisus cadal pildea, telearda othar. 
MAT.13.54	Hai avindos andă pio them, sicavelas‐len and‐e sinagogoa, cadea că acenas mirime hai phenenas: Cathar si‐Les cadichi goghi hai zuralimos? 
MAT.13.55	Nai Cadaua o ciao colesco cai cherela udara? Leschi dei ni buciol‐pe Maria, hai Lesche phral: o Iacovo, o Iosifo o Simono hai o Iuda? 
MAT.13.56	Hai Lesche pheia nai sea mașcar amende? Atunci, cathar si‐Les sea cadala? 
MAT.13.57	Hai poticninas‐pe andă Leste. Ta o Iisus phendea‐lenghe: Nai prooroco biciuto sama numa andă pio them hai andă pio cher. 
MAT.13.58	Hai ni cerdea othe but minuni, că codloa ni pachinanas.
MAT.14.1	Andă codol ghesa, așundea o cîrmuitoro o Irod anda o anau le Iisusosco cai phendilo anda Leste. 
MAT.14.2	Hai phendea pe slujenghe: Cadaua si o Ioano o Bolitori; ou uștilo anda‐l mule, hai codolasche cherdon minuni lesa. 
MAT.14.3	O Irodo, cana astardea le Ioanos, phanglea‐les hai ciutea‐les and‐o phandaimos, anda‐i Irodiada, e giuvli le Filiposchi, lesco phral. 
MAT.14.4	O Ioano phendeas‐lesche: Nai mișto te avel tuche dă romni. 
MAT.14.5	Hai ou camindos te mundarel‐les, ta daralas catar ăl but manușa, că on phenenas că si prooroco. 
MAT.14.6	Ta sar înghiarelas pio ghes cana cherdilo, e cei le Irodiachi cheldeas andă lengo mașcar hai le Irodos placioial‐les. 
MAT.14.7	Hai phanglilo sovleasa că dela la so oi camela. 
MAT.14.8	Ta oi, ciutini catar pi dei, phendea: De‐man, cathe and‐ăc ciaro, o șăro le Ioanosco o Bolitori. 
MAT.14.9	O thagar mîhnosailo, ta, că phanglilo sovleasa and‐ăl manuș cai as othe che sinia, poruncisardea te anelles. 
MAT.14.10	Hai dinea drom hai cindea o șăro le Ioanosco, and‐o phandaimos. 
MAT.14.11	Lesco șăro sas andino and‐ăc ciaro hai dino che cei, hai oi înghiardea‐les că pi dei. 
MAT.14.12	Hai, avindos lesche ucenice, lile lesco corpo hai prahosarde‐les hai ghele ta phende le Iisusosche. 
MAT.14.13	Cana așundea o Iisus, teleardea othar corcoro, le corabiasa, and‐ăc than mulano, ta, cana așunde, but manușa avile pala Leste, telal, and‐ăl foruri. 
MAT.14.14	Cana înclisto, dichlea manuș but, hai cherdea‐Pesche mila lendar hai sasteardea lenghe nasvalen. 
MAT.14.15	Ta cana cherdili e reat, ăl ucenice avile pala Leste hai phende‐Lesche: O than si mulano, o ghes nachlo; much hai de drom le manușănghe te gian and‐ăl gaua, te chinen hamos. 
MAT.14.16	O Iisus boldea‐lenghe: Ni trăbul te gian; den‐le tume te han. 
MAT.14.17	Ta on phende‐Lesche: Nai amen cathe numa pangi marne hai dui mace. 
MAT.14.18	Hai Ou phendea: Anen‐le Mande cathe. 
MAT.14.19	Hai poruncindos te cion‐pe ăl manuș tele p‐e ciar, lilea ăl pangi marne hai ăl dui mace, ciutea‐Pe iacha opre, dinea duma mișto, phaglea ăl marne hai dinea că Pe ucenicenghe, hai ăl ucenice că codol but manușa. 
MAT.14.20	Hai hale sea hai ceailile ta mai lile pala lende prușuca, deșudui tîrne pherde. 
MAT.14.21	Codola cai hale sas sar c‐ăl pangi mii murș, afer anda‐l giuvlea hai ăl ciauăra. 
MAT.14.22	Pala codoia, o Iisus ciutea Pe ucenicen te ușten and‐e corabia hai te nachen angla Leste, părdal o pai, gi cana Ou dela o drom codol bute manușănghe. 
MAT.14.23	Pala so dinea o drom le manușănghe, uștilo opre p‐o plai, te rughil‐Pe corcoro. Peli e reat hai Ou sas corcoro othe. 
MAT.14.24	E corabia sas acana cam dur catar e phuî, sas bare valurea, hai barval marelas angla lende. 
MAT.14.25	Hai che straja le ștarenghi anda‐i reat avilo lende o Iisus, phirindos p‐o pai. 
MAT.14.26	Dichindos‐Les phirindos p‐o pai, Lesche ucenicea daraile, hai phende că si năluca, hai daratar astarde te den mui. 
MAT.14.27	Ta Ou sigo dea duma lența, phenindos: Îndrăznin, Me sem; na daran! 
MAT.14.28	Ta o Petro, boldindos‐Lesche, phendea: Devla, cana Tu san, poruncisar‐manghe te avau Tute p‐o pai. 
MAT.14.29	Ou phendea‐lesche: Au. Hai o Petro dinea‐pe tele anda‐i corabia, hai phirdea p‐o pai hai ghelo c‐o Iisus. 
MAT.14.30	Ta dichindos e barval, darailo, hai astardea te tasiol and‐o pai, ta dinea mui, hai phendea: Raia, hastrama! 
MAT.14.31	O Iisus dinea‐les vast, astardea‐les hai phendea: Ţîra tu cai pachias, anda soste îndoisailean? 
MAT.14.32	Uștindos and‐e corabia, acili e barval. 
MAT.14.33	Hai cola anda‐i corabia dine‐Lesche cocea, hai phende: Ceacimasa Tu san o Ciao le Devlesco. 
MAT.14.34	Hai nachindos închealtar, avile p‐o than le Ghenezaretosco. 
MAT.14.35	Hai pringiande‐Les ăl manuș othar dine drom andă sauără them ta ande sauără nasvalen. 
MAT.14.36	Hai rughinas‐Les numa te machen‐pe catar Lesche poghea; hai sea cai machenas‐pe Lestar sastionas.
MAT.15.1	Atunci avile catar o Ierusalimo, c‐o Iisus, ăl fariseia hai ăl sicadine, hai phende: 
MAT.15.2	Sostar Che ucenicea ușteaven e datina le phurengo? On ni thoven‐pe p‐ăl vast cana han marno. 
MAT.15.3	Ta Ou boldea, hai phendea‐lenghe: Ta sostar vi tume ușteaven e porunca le Devleschi, anda tumari datina? 
MAT.15.4	Că o Del phendea: Cinstisar che dades hai che da, hai sao dela armaia pe dades or pe da, te terminil merimasa. 
MAT.15.5	Ta tume phenen: Codoua sao phenela pe dadesche, or pe da che: Sosa daștiuas te ajutiv‐tu si o daro le Devlesco, 
MAT.15.6	Codoua ni cinstil pe dades or pe da; hai dinen rigate so phenel o Del anda tumari datina. 
MAT.15.7	Cior garade, mișto proorocisardea o Isaia anda tumende, cana phendea: 
MAT.15.8	«Cadal manuș cinstin‐Man le mosa, ta lengo ilo si dur Mandar. 
MAT.15.9	Hai si chanci că on cinstin‐Man, sichindos sicavimata so si porunci manușănghe». 
MAT.15.10	Hai dindos mui Peste le manușăn but, phendea‐lenghe: Așunen hai hachiaren: 
MAT.15.11	Na so ciol o manuș and‐o mui macril‐les hai so înclel anda o mui le manușăsco, codoia macril‐les. 
MAT.15.12	Atunci pașîle Leste Lesche ucenice, hai phende: Gianes c‐ăl fariseia, cana așunde so phendean, pedechisaile dă chio dimos duma, hai holeaile? 
MAT.15.13	Hai Ou boldea hai phendea: Orso răsado cai nas ciutino cathar Muro Dad opral, avel țîrdino anda‐i phuî. 
MAT.15.14	Muchen‐len; si manuș coră cai înghiaren avre corăn; hai cana ăc coro înghiarel avre corăs, el dui peren and‐ăc than hanado. 
MAT.15.15	Ta o Petro astardea hai phendea: Cher‐amen te hachiaras cadai pilda. 
MAT.15.16	Ou phendea: Acana i tume sen bi‐hachiarde? 
MAT.15.17	Ni hachiaren că sea so gial and‐o mui gial and‐o păr hai pala codoia des‐les avri? 
MAT.15.18	Hai cola so încalaves and‐o mui aven anda o ilo, hai codola macrin le manușăs. 
MAT.15.19	Anda o ilo înclen: ăl gîndurea ăl nasul, ăl mundarimata, ăl traimata avre giuvleasa, ăl buchea lajeaveste, ăl ciorimata, ăl phenimata ăl hohamne, ăl hule. 
MAT.15.20	Cadala si cai macrin le manușăs, ta te has le vastența bithode ni macril le manușăs. 
MAT.15.21	Înclindos othar o Iisus teleardea and‐ăl thana le Tirosche hai le Sidonosche. 
MAT.15.22	Hai eta c‐ăc giuvli Canaaneanca anda codol thana înclindos mui, hai phenelas: Aven‐Tu mila mandar, Devla, Ciao le Davidosco! Mîri cei nasul si chinuime catar ăc beng. 
MAT.15.23	Ou ni dea duma lasa chanci: Pașîndos, Lesche ucenice rughisarde‐Les, hai phende: Much‐la, că eta del mui pala amende. 
MAT.15.24	Ou boldea hai phendea: Nai sem dino drom numa c‐ăl bacrea ăl hasardea and‐o cher le Israelosco. 
MAT.15.25	Ta oi, avindos Leste, dinea cocea, hai phendea: Devla, na muchma. 
MAT.15.26	Ta Ou boldea hai phendea: Nai mișto te les o marno le ciauărănghe hai te ciudes‐les c‐ăl giuchel. 
MAT.15.27	Ta oi phendea: Cadea si, Devla, ta i ăl giuchel han and‐ăl prușuca cai pheren catar e sinia lenghe stăpînenghi. 
MAT.15.28	Atunci, boldindos, o Iisus phendea‐lache: Giuvlie, baro si chio pachiamos; cherdol‐pe tuche sar tu cames, hai sastil lachi cei andă codou ceaso. 
MAT.15.29	Hai nachindos o Iisus othar, avilo pașa o pai le Galileaco, uștilo p‐o plai, hai beșlo othe. 
MAT.15.30	Hai but manuș avile Leste, mașcar lende sas banghe, coră, aver ni denas duma, bi‐vastengo, but hai but ciute‐le cai Lesche pîrne, hai Ou sasteardea‐le. 
MAT.15.31	Codol but manuș mirinas‐pe dichindos colen cai ni dine duma acana denas duma, colen bi‐vastengo sastearde, ăl banghe phirenas, ăl coră dichenas, hai slăvinas le Devles le Israelosco. 
MAT.15.32	O Iisus, dindos mui Peste Pe ucenicen, phendea: Mila si Manghe catar cadal but manuș, că eta si trin ghesa dă cana ajuchearen pașa Mande hai nai so te han; te dau lenghe drom bocailo ni camau, caște na peren tele chinimastar. 
MAT.15.33	Hai ăl ucenicea phende‐Lesche: Cathar te avel‐ame, and‐ăl thana mulane, cadichi marne, te ceailiaras cadichi manuș? 
MAT.15.34	Hai o Iisus pușlea‐le: Cabor marne si tumen? Hai on phende: Efta hai țîra maciora. 
MAT.15.35	Poruncisardea le bute manușănghe te beșăn tele pe phuî. 
MAT.15.36	Lilea ăl efta marne hai codol mace, hai naisarindos, phaglea hai dinea că Pe ucenice, hai Lesche ucenicea le manușăn. 
MAT.15.37	Hai hale sea ta ceailile hai lile efta tîrne pherde sosa acilo h‐ăl prușuca. 
MAT.15.38	Hai codola cai hale ghindolaspe c‐ăl ștar mii murș, afer anda‐l ciauără hai ăl giuvlea. 
MAT.15.39	Pala cadaia dinea o drom codol manușănghe, uștilo and‐ăc corabia hai ghelo and‐ăl thana Magdala.
MAT.16.1	Pașîndos ăl fariseia hai ăl saducheia te ispitin‐Les mangle Lesche, te sicavel ăc nișan opral and‐o cero. 
MAT.16.2	Ta Ou boldea hai phendea‐lenghe: Cana cherdol reat, phenen: Tehara si te avel ghes lacio, că o cero si lolo. 
MAT.16.3	Hai dătehara phenen: Aghes si te avel bari barval, că o cero si lolo-mîhnome. Sen cior garade, o ceri gianen te judechin, ta ăl nișan cai si te aven ni daștin. 
MAT.16.4	Neamo vicleano hai mahrime manghel ăc nișan, ta ni dela‐pe les aver nișan, numa o nișan le Ionasco. Hai muchlindos‐les, teleardea. 
MAT.16.5	Lesche ucenicea avindos părdal o pai, bistarde te len marne. 
MAT.16.6	Hai o Iisus phendea‐lenghe: Len goghi te garadion catar o aluato le fariseengo hai le saducheengo. 
MAT.16.7	Hai on gîndinas‐pe andă peste hai phenenas: Cadaia că ni lileam marno. 
MAT.16.8	Ta o Iisus, cai pringianelas so gîndin, phendea: So godisaren andă tumende, cadea țîra pachiamos, si tumen că ni lilen marno? 
MAT.16.9	Sa ni hachiaren, hai nici ni aven tumenghe goghi catar c‐ăl pangi marne, c‐ăl pangi mii manuș, hai cabor tîrne lilen? 
MAT.16.10	Nici ăl efta marnendar ăl ștar mii manușa hai cabor tîrne lilen? 
MAT.16.11	Sar ta ni hachiaren că na and‐o marno phendem tumenghe? Hai te garadion catar o aluato le fariseengo hai le saducheengo. 
MAT.16.12	Atunci hachiarde că ni phendea‐lenghe te garadion catar o aluato le marnesco, numa catar o sicaimos la fariseengo hai le saducheengo. 
MAT.16.13	Hai avindos o Iisus and‐ăl thana e Cezareea le Filiposchi, pușlea Pe ucenicen cadea:
MAT.16.13	Con phenen ăl manuș că sem Me, o Ciao le Manușăsco? 
MAT.16.14	Hai on bolde‐Les: Niște manuș phenen o Ioano o Bolitori, aver o Ilia, aver o Ieremia or ech and‐ăl proorocea. 
MAT.16.15	Hai Ou phendea‐lenghe: Ta tume con phenen că sem? 
MAT.16.16	Boldindos, o Simon Petro phendea: Tu san o Hristoso, o Ciao le Devlesco o giungado. 
MAT.16.17	O Iisus boldea hai phendea: Mișto tutar Simone, ciao le Ionasco, că na o corpo hai o rat cherde te gianes cadai buchi, numa Muro Dad cai si opre and‐o cero. 
MAT.16.18	Hai Me phenau tuche că tu san o Petro, hai pă cadaua bar vazdaua Mîrî Cangheri hai ăl udara le iadosche ni biruina‐la. 
MAT.16.19	Tut daua‐tu ăl chei le thagarimasche and‐o cero, hai orso phandesa pe phuî avela phanglo i and‐o cero, hai orso deschearesa pe phuî avela descheardo i and‐o cero. 
MAT.16.20	Atunci poruncisardea Pe ucenicenghe te na phenen canicasche că Ou si o Hristoso. 
MAT.16.21	Dă othar astardea o Iisus te sicavel Pe ucenicenghe că Ou trăbuil te gial c‐o Ierusalimo, te pătimil but catar ăl phure hai ăl rașaia hai ăl sicadine hai te avel mundardo, hai c‐ăl trin ghesa te giuvindol. 
MAT.16.22	Ta o Petro lea‐Les and‐ăc rig hai astardea te mustrol‐Les, phenindos‐Lesche: Avel‐tu mila Tutar, te na areses te cheren‐Tuche cadea. 
MAT.16.23	Hai Ou boldea hai phendea le Petrosche: Nach pala Mîră, zeia bengana. Tu san Manghe ăc pedeca, tu ni gîndis c‐ăl buchea le Devlesche, numa c‐ăl buchea le manușănghe. 
MAT.16.24	Atunci o Iisus phendea Pe ucenicenghe: Cana camel da coniva te avel pala Mande, te ciudel‐pe pestar, te lel pio trușul hai te avel pala Mande. 
MAT.16.25	Că sao camela te hastral pio ghi, hasarela‐le, hai sao hasarela pio ghi anda Mande, va lela‐le parpale. 
MAT.16.26	Că so si and‐ăc manuș te lel sauără lume hai te hasarel pesco ghi? Or so delas o manuș and‐o than pesco ghi? 
MAT.16.27	Că o Ciao le Manușăsco si te avel and‐o barimos Lesche Dadesco, Lesche îngerența; atunci pochinela fie saves pala so cherdea. 
MAT.16.28	Ceaces phenau‐tumenghe: Si manuș cai beșăn acana cathe cai nai te dichen o merimos, gi cai ni dichena le Ciaves le Manușăsco avindos andă Pio thagarimos.
MAT.17.1	Hai pala șou ghesa, o Iisus lilea pesa le Petros, le Iacovos hai le Ioanos, lesche phrales, hai înghiardea‐le p‐ăc plai baro, and‐ăc rig. 
MAT.17.2	Hai Ou parubdilo c‐o mui, angla lende, hai cadea luminilas sar o cham, hai Lesco hureaimos cherdilo parno sar e lumina. 
MAT.17.3	Hai eta că o Moisea hai o Ilia sicadile che lenghe, hai dine duma Lesa. 
MAT.17.4	Ta o Petro phendea le Iisusosche: Devla, mișto si te avas ame cathe; cana cames si te cherau trin coverci: Tuche ech, le Moiseasche ech, hai le Ilias ech. 
MAT.17.5	Sar ou delas duma, eta c‐ăc noro luminime uceardea‐len hai ăc dimos duma așundilo anda o noro: «Cadaua si Muro Ciao camno Cai Muro ghi camlea‐Les; cadea Lestar te ascultin». 
MAT.17.6	Așunindos, Lesche ucenice pele le mosa ch‐e phuî hai daraile zurales. 
MAT.17.7	Hai o Iisus pașîndos lendar, nachlo pașa lende hai phendea: Ușten hai na daran. 
MAT.17.8	Hai, vazdindos on pe iacha, ni mai dichle canicas, numa le Iisusos corcoro. 
MAT.17.9	Sar hulistonas pa o plai, o Iisus poruncisardea hai phendea: Te na phenen canicasche so dichlen, gi cana o Ciao le Manușăsco uștela and‐ăl mule. 
MAT.17.10	Ta Lesche ucenice pușle‐Les: Sostar phenen ăl sicadine că mai anglal trăbul te avel o Ilia? 
MAT.17.11	Hai Ou boldea hai phendea: O Ilia ceaces si te avel hai ciola sea că lengo than. 
MAT.17.12	Ta Me phenau‐tumenghe că o Ilia i avilo, ta on ni pringiande‐les, hai cherde lesa so camne: Cadea i o Ciao le Manușăsco si te pătimil lendar. 
MAT.17.13	Atunci hachiarde ăl ucenice că o Iisus dinea‐lenghe duma anda o Ioano o Bolitori. 
MAT.17.14	Hai giandos on caring ăl but manuș, pașîlo Leste ăc manuș hai pelo andă cociande angla Leste, 
MAT.17.15	Hai phenel: Devla, avel‐Tu mila catar muro ciao că si‐les nasvalimos ceauărăngo, pătimil but, că butivar perel and‐e iag hai butivar and‐o pai. 
MAT.17.16	Hai andem‐les că Che ucenice ta naștisaile te sastearen‐les. 
MAT.17.17	O Iisus boldea hai phendea: Oh, neamo cai ni pachial hai teleardea p‐o nasulimos, gi cana si te avau tumența? Gi cana suferiva tume? Anen‐les Mande cathe. 
MAT.17.18	Hai o Iisus certosardea le benghes hai înclisto avri anda leste hai o ciao sastilo. 
MAT.17.19	Lesche ucenice pașîle Lestar hai pușle le Iisus and‐ăc rig: Sostar ame ni daștisaileam te încalavas le benghes? 
MAT.17.20	Hai o Iisus phendea‐lenghe: Anda tumaro țîra pachiamos. Că ceaces phenau‐tumenghe: Cana avela tumen pachiamos cabor ăc cuchin muștareschi, phenena c‐ăl plaiesche: Muchisao cathar închealtar, hai si te muchil‐pe; hai chanci nai te avel cai tume te na cheren. 
MAT.17.21	Ta cadau neamo benghengo ni înclel avri numa rughimasa hai postosa. 
MAT.17.22	Dă sar phirelas and‐e Galilea, o Iisus phendea‐lenghe: O Ciao le Manușăsco si te avel dino and‐ăl vast le manușănghe. 
MAT.17.23	Hai mundarena‐Les, ta c‐ăl trin ghesa giuvindola. Ta on mîhnisaile zurales! 
MAT.17.24	Avindos on and‐o Capernaumo, pașîle catar o Petro cola cai chiden ăl love anda o Templo, hai phende‐lesche: Tumaro sicaitori ni pochinel anda o Templo? 
MAT.17.25	Pochinel, phendea ou. Ta sar întrisailo andră and‐o cher, o Iisus lea mai anglal hai pușlea‐les: Tu sar pachias, Simone? Ăl thagara pă‐i phuî cathar len biro? Catar pe ciave or catar ăl streinea? 
MAT.17.26	Ou phendea‐Lesche: Catar ăl streinea. O Iisus phendeas: Atunci ăl ciave ni trăbul te den biro. 
MAT.17.27	Ta te na cheras te peren and‐o bezeh, gia tu c‐o pai baro, ciu e undița hai o macio cai avela mai anglal, le‐les, deschear lesco mui hai othe arachesa ăc lovo argintosco. Le‐les hai de‐les lenghe anda Mande hai anda tute.
MAT.18.1	Andă codou ceaso pașîle ăl ucenice pașa o Iisus, hai phende: Sao si mai baro and‐o thagarimos le cerosco? 
MAT.18.2	Hai anindos Peste ech ciaoro, ciutea‐les andă lengo mașcar, 
MAT.18.3	Hai phendea: Ceaces phenau‐tumenghe: Te na boldena‐tume hai ni avena sar ăl ciaoră, nai te gian and‐o thagarimos le cerosco. 
MAT.18.4	Sao cherdola‐pe sar o țîcno smerime, codoua si o mai baro and‐o thagarimos le cerosco. 
MAT.18.5	Hai sao lela ăc țîcnorăs cadalestar andă muro anau, Man lel‐Man. 
MAT.18.6	Ta sao cherela te‐împedechil‐pe eches anda cadal țîcne cai pachial anda Mande, mai mișto sas te phanden pesche che cor ech bar ajeavesco, hai te chidel‐pe te tasiol and‐ăc pai. 
MAT.18.7	Nasul si te avel colendar cai pedechin‐pe. O pedechimos trăbul te avel, ta prea nasul si te avel anda cola cai anen o pedechimos. 
MAT.18.8	Hai cana chio vast or chio pîrno cherel‐tu te pedechis‐tu, cin‐le hai ciude‐les tutar, si mai mișto te gias and‐o traio bi ăc vastesco or bipîrnesco bango, dă sar te avel‐tut ăl vast hai ăl pîrne, hai te aves ciudino and‐e gheena le iagachi. 
MAT.18.9	Hai cana chi iach cherel te împedechis‐tut, incalave‐la hai ciude‐la tutar, că mai mișto si te gias and‐o traio ech iachasa, dă sar te avel tut dui iacha, hai te aves ciudino and‐e gheena le iagachi. 
MAT.18.10	Dichen te na dichen prasome da eches cadal țîcnoră, că phenau‐tumenghe: Că lenghe îngerea, and‐o cero, sa dichen Mîră Dades, cai si opre and‐o cero. 
MAT.18.11	O Ciao le Manușăsco avilo te rodel hai te astravel colen cai sas hasarde. 
MAT.18.12	So fal‐tume? Te avel ăc manușăs ăc șăl bacrea, hai ech anda lende hasaol, ni muchel ou p‐o plai colen îniadeșa hai înia bacrea, hai giala te rodel cola eche hasardi? 
MAT.18.13	Hai cana arachela‐la, ceaces phenau‐tumenghe că bucuril‐pe latar mai but dă sar cola îniadeșa hai înia cai ni hasaile. 
MAT.18.14	Sa cadea tumaro Dad cai si opre anda o cero ni camel te hasaol nici ăc țîcnoro anda cadal ciaoră. 
MAT.18.15	Te rimol‐tuche chio phral, gia leste, mustrosar‐les mașcar tute hai ou corcoro. Hai te ascultila‐tut, lean tute che phrales. 
MAT.18.16	Ta te na ascultila‐tut, le tusa ech or dui manuș, că anda o mui dongo or trinengo marturea te avel ceacio so phendol. 
