MAT.1.1	Abraham po aso, Dabhit po agijing, anang so Jisu Khristo asar-lar alekha alo bangpo lo.
1CO.1.13	Khristo yok chiphat det no ma? Pol poyok nali phan kros long kitar ma? Lale Pol po amen pensi nali baptist kachiplang ma? 
1CO.1.14	Nali nemen pensi baptist chiplango puke, kaita thanenot, 
1CO.1.15	lasi ne, Krispas po aro Gaiyas po aparke nali sitem kai yok ta baptist otete yong apot, Arnam yok kardom pido. 
1CO.1.16	Aro (ne Stiphen po ahem bang yokta baptist otelo, la aparke prekyok baptist otete yong ngot, ne chithan un-eh yong.) 
1CO.1.17	Piyok pu tene baptist ka-ote yok kalek, kime-alamthe kapahar aphan si Khristo netolo; manta Khristo kros alamthe akijol chiplange mene pusi, munusi kachimangkai agiyan pen ke kapahar yok netolte yong.
1CO.1.18	Piyok pu tene labang kros alamthe kiprel asohel aphan ke pasotonga, manta kijoktang adeng ili ke, aro iliyok Arnam khanangpo pensi jokngo. 
1CO.1.19	Piyok pu tene lo long wido, “Ne agiyan kido abangyok agiyan po panghoye, aro akireset po akire akijol ote ye.” 
1CO.1.20	Agiyan kido po daklong do? Kanong paklang po ke daklong do? Labang owe po kithan thek dak long do? Arnam ke pirthepe agiyan sotonga ingholhe yong ma? 
1CO.1.21	Piyok pu tene Arnam agiyan long, pirthepe agiyan pen Arnam yok chinine yongot, kapahar kasotonga parasi kikrol hel yok pajok yok Arnam nengsamo. 
1CO.1.22	Piyok pu tene Jihudi hel ke asin lang man, aro Grik hel ke agiyan bisarman, 
1CO.1.23	manta ili ke Khristo yok kros long kitar alamthe si pahar do, Jihudi hel aphan ke patukungo, aro Bang-ajat aphanke sotonga lo, 
1CO.1.24	manta Jihudi lale Grik padonang, kataram tang hel aphan ke Arnam apharan do aro Arnam khanang agiyan peno. 
1CO.1.25	Piyok pu tene Arnam kasotonga ke arleng yokta agiyan do chot, aro Arnam ki-un-eh ke arleng yokta ajakong dochot. 
1CO.1.26	Ei korte aro ingjir hel, nali bithang Arnam kataram alam chiron lang, a-ok ateng ke agiyan, ajakong dokeng, aro kithe-kiding arleng ako-ong ingjong. 
1CO.1.27	Manta Arnam agiyan chot abangyok kapatharak aphansi, pirthepe sotonga abangyok arwalo; aro ajakong dokeng abang yok kapatharak yok, Arnam bharasot ki-un-eh abangyok arwalo; 
1CO.1.28	lasi Arnam pirthepe long akibek ajat yoksi aro katharak abangyok arwalo, layong ta kalek, abithangyok kachipangwe phrot helyok, aro pirthepe long kanangne apot yok paprel aphan arwal lo, 
1CO.1.29	lasi Arnam amahang semsemsi munusi majit aborai do un-eh ye, 
1CO.1.30	Jisu Khristo long, anangsi ili long kiwang len jiuli, ingho Arnam para ili phan agiyan chokngo, aro dhorom kangthir, aro pangthiro, aro kijok tang pahlong pilo, 
1CO.1.31	latengsi, lo long wisi pudo, “Inghone bakpo kaborai aneng do, pu tene anang Hemphu long aborai chipado.”
1CO.2.1	Ei korte aro ingjir hel, konam ne nalidung yok kidam, ne damsi Arnam neng-hong alamhel akarsit agiyan alamthe pen ke paharhe yong. 
1CO.2.2	Piyok pu tene ne khanang pachip wensi, nali sitem kido amun prek alamthe than thekthe yong, manta Jisu Khristo yok kros along taro kipu alamthe detsi pahardo. 
1CO.2.3	Aro ne sitem than un-eh ye natsi aro kaphere, aro la-an klem si kido hlong. 
1CO.2.4	Ne kithan aro ne kapahar alamthe arleng agiyan pen kalek, manta Jiuli pen aporman paklangsi aro apharan pensi kipahar, 
1CO.2.5	lasi nali kikrol ke munusi agiyan penke kalek manta Arnam apharan pensi kido.
1CO.2.6	Yongta ili thek-re tang arleng hel asitem agiyan alamthe thanman; lake, labang owe po, lale labang awelong kiprel adeng kilangpon phu-phang hel agiyan pen ke kalek. 
1CO.2.7	Manta hali Arnam, akarsit aro kabutisit acho alam owehel along aporong parasi ili jortang kipi pon aphan honjok wensi kibi alamthesi than do. 
1CO.2.8	Labang agiyan alam, bangpo owepo kilangpon phu-phang hel kaita labang abhu hlong un-eh yongot; piyok pu tene, kitheknang tene, anali jortang kithe Hemphu yok kros long tartelo hoi. 
1CO.2.9	Manta labang alam lo long kiwi do, “Mek pen jipe thekthe yongot, ano pen jibak arjuje yongot, aro arleng angthin long jibak hlong dunde yongot, Arnam ke anangyok nengdok kido abang aphan la ahuwit honjok ngo”— 
1CO.2.10	labang alam Ajiuli pensi ili ngo pachiklango; piyok pu tene Jiuli ke ahuwit parnuk si, torol pon unman. 
1CO.2.11	Piyok pu tene arleng aneng alam, arlengpo long kido ajiupo aparke, arleng hel asitem ingho chithan une? Labadisi Arnam alamthe ta Arnam-Ajiuli aparke, prek kaita chithan un-eh. 
1CO.2.12	Arnam ke jinso si haliyok jibak pilo, mehel kithan un yok, ili pirthepe ajiu hlonghlesi, Arnam para kiwang ajiuli hlongo. 
1CO.2.13	Aro hali lamehel alamthe, arleng agiyan pen kapachirli lamthepen hali thanthesi, Ajiuli kapachirli lamthe pensi, ajiuli alamthe pharlepsi ajiuli pen kido-kithak abangyok thanpon man. 
1CO.2.14	Ingho a-ok aneng arleng ke Arnam ajiuli abor-eh alam hlonghle, piyok pu tene anali phan labangke sotonga, aro anali acho abhu pahlong un-eh, piyok pu tene ajiuli atengsi bangpo mar pharli ponman. 
1CO.2.15	Ingho ajiulipen kidopo ke ahuwit yok pharli phrot unman, aro anali labang kithanpo alam ihut ta turki dunde. 
1CO.2.16	Piyok pu tene, lo long kipu badi, “Hemphu yok pachirli ayok, anang nengke ingho abhu hlongdun une? Manta ili Khristo aneng do.
1CO.3.1	Ei korte aro ingjirhel, ajiuli kido arlengyok kipu badi ne naliyok lam than un-eh, manta nali a-ok pen arleng helyok kipu badi, Khristo yok kikrol oso helyok kipu badisi nali than hlong do. 
1CO.3.2	Ne naliyok an kangtang ke pachoche si, chulangsi nali kipajun; piyok pu tene la-amun ke nali kicho un-eh kido. Minon hok ta chihonjok un-eh lang, 
1CO.3.3	Piyok pu tene nali minon hok ta a-ok anengsi dojong dolang. Piyok pu tene nali sitem nenglong mek kachiso aro ahul dolong do, aro lasi nali ke a-ok arleng, aro pirthepe arleng badi kengkam chijorje yong ma? 
1CO.3.4	Piyok pu tene inghone bak ke, “Ne ke Pol po arleng,” aro ihut ke pu man, “Ne ke Apolos po arleng,” chipu si nali pirthepe arleng badi kalek yong ma? 
1CO.3.5	Laparake Apolos po ke inghote? Aro Pol po ke ingho te? Murkiya si, inghoyok Hemphu abangten yok kipek atengsi kikrol pilo. 
1CO.3.6	Ne ke elo, Apolos po ke lang wang dungo, manta Arnam si pathe-padingo. 
1CO.3.7	Lasi ki-eh arleng po ta khanang kalek, lang wang kidung po ta khanang tikilo lata kalek, manta kapathe ke Arnam si khanang pathe-padingo. 
1CO.3.8	Ki-eh arleng ihut aro ihut po ke lang wang kidung arleng, la bang-hini aron ta isidet, aro abangten ta anali katiki badisi adat hlonge. 
1CO.3.9	Piyok pu tene ilike Arnam amurkiya, inansi tikido; nali bithang ke Arnam abithar, aro Arnam ke hem kikempo. 
1CO.3.10	Arnam kajinso neyok pilo, lateng si hem kikem thekchot po badisi, ne bhitipo pangningo, aro labang athak bangke kemdun phak ngo. Abang ten pot badi kem ponman bangpo abangten ta meso pachilang pen nange. 
1CO.3.11	Piyok pu tene ihut ke jibak ke abhiti pangningo, labang aparke kamprek abhiti kaita jat pangning un-eh; labang abhiti ke Jisu Khristo. 
1CO.3.12	Minon ke bangpo abhitipo athaksi, ser, rupa, akimechot arlong manik, lale thengpe, phalang, nara, pensi inghone bak kemman, tene abangten katiki asal chiklang detne— 
1CO.3.13	abangten katiki asal pot badilo chiklang detne, piyok pu tene la Arni ke paklang detne, piyok pu tene la arnike melong chiklange; aro abangten katiki asal pot badi lo, me longsi bangpo aporman paklange. 
1CO.3.14	Labang abhiti athak kikem inghone bak katiki asalpo ri-len, tene kikem adat hlonge. 
1CO.3.15	Kikem asal katiki hel sek det, tene anang prel le; kikem arlengpo joknge, manta anang bithang melong para kijok badisi joknge. 
1CO.3.16	Nali si Arnam ahem, aro Arnam-Ajiuli nalipen doman, labangpo nali thekthe yong ma? 
1CO.3.17	Inghone bak ke Arnam ahempo pangho, tene Arnam anangyok ta panghoye. Piyok pu tene Arnam ahempo kangthir, aro nali si labang ahempo. 
1CO.3.18	Nali abithang yok chichobel lek. Nali sitem inghone bak ke, labang owepo alamthe pen agiyan kidopo pusi chironman, tene anang agiyan kihlong ayok sotonga chiplangot. 
1CO.3.19	Piyok pu tene labang pirthepe agiyan ke, Arnam aphan ke sotonga. Piyok pu tene lo long wido, “Anang pirthepe agiyan hel anali kasotonga pensi nep unman.” 
1CO.3.20	aro puphak do, “Hemphu ke agiyan kido arleng aneng angthin hel, anali kachingje hel akijol pusi than det un.” 
1CO.3.21	Lasi munusi phu-phang anat aborai doyek. Piyok pu tene ahuwit abihini nali phansi. 
1CO.3.22	Lake Pol po, Apolos po, Pitor po lale pirthepe, lale nali jiubong, lale kithi-kijang lale minon jong, lale monphel yok—ahuwit nali phansi, 
1CO.3.23	aro nali Khristo long do, aro Khristo ke Arnam along do.
1CO.4.1	Haliyok arleng hel Khristo asal katiki amurkiya pusi aro Arnam kabutisit acho alam apuru salchakpo pune pachiron nang. 
1CO.4.2	Layok ta, apuru salchak ke kikrol phlen arleng chiplang nange. 
1CO.4.3	Manta nali parasi, lale munusi abisar ahem parasi ne bisar doyongta, bangpo nephan ke akibek alam pusi chiron do. Ne bithang yok ta bisar chingholhe. 
1CO.4.4	Ne bithang yok ke ado chithek the; la-amun ne lalong ado weke kalek yong. Hemphu, anangsi neyok bisar ote ye. 
1CO.4.5	Lasi Hemphusi kangting kabuti alam hel katha-ang yok wane, aro angthin kachirhep hel pachiklange, anang wangwe leng, apor ango ke jat bisar ote yek. Laparake abang ten Arnam parasi kamichang aporman hlonge. 
1CO.4.6	Ei korte aro ingjirhel, potsi “Lo long kiwi abi-pun alamthe hel arkan nangne,” labang kachirli alam hali para hlongsi, nali kaita ihut yok ado kolsi prek ihut po yok aborai do yek, lasi nali phan, nebithang aro Apolos po yok parhlansi, la ahuwit alam nali thano. 
1CO.4.7	Piyok pu tene ingho nangyok paprek man? Bang parake hlonghle yong, ladi abihini, lale nanglong pot te do? Hlonghle yongta, nang kihlong badi aborai piyok do pon do? Aro hlong yongta, nang bor-eh kihlonghle badi piyok te aborai do? 
1CO.4.8	Nali minon jongsi nali kanange hel chok krengo! Nali hem kime chiplango! Hali weyong ta nali recho chiplang uno! Nalipen halita recho chiplang une, lasi nali aserengsi recho chiplang un tene kime kido. 
1CO.4.9	Piyok pu tene, ne chirondo, hali Arnam adun hel, haliyok ahuwityok aphel, kithiyok kahonjok arleng badi pachiklango; piyok pu tene pirthepe ango, lake Arnam tharlon aro munusi ango haliyok kijong ren aden chiplang hlongdo. 
1CO.4.10	Khristo anat hali mango lo, manta nali Khristo po long agiyan do, hali ke un-eh pholo, manta nali ajakong dokengo. Nali aman kido arlengo, manta halike mahang welo. 
1CO.4.11	Minon jongsi hali ke kangchir aro kalang-ik si do, hali ke pe-rik weklong, aro kipam kitheng ong, aro ahem wepho lo, 
1CO.4.12	aro hali abithang aripen sal tiki hlongdo. Konam hali patharak, yongta bor-eh pidun do; konam aduk hlongdo, hali chihido; 
1CO.4.13	konam ingnek hu do, hali ke jinsosi thando. Hali ke bharasot kichelap, ahuwit abihini kiti alobo, labadi minon hok dohlong do.
1CO.4.14	Ne naliyok bangpomar alam wisi nali patharak hlongdo ladi kalek, manta ne nengdok aso pusi atot kachipado alam nali thando. 
1CO.4.15	Piyok pu tene Khristo long nali hajar kep ateng kapaklang phu-phang do, layong ta nali Apa akong-ong kalek; piyok pu tene Khristo Jisu kime-alamthe parasi nali plang si, ne so apun chiplango. 
1CO.4.16	Lasi ne nali chingduk do, lapara ke, nali neyok chirlinot. 
1CO.4.17	Piyok pu tene labang aronsi, Hemphu long ne kikrol nengdok aso Timothi po yok nali dungyok tolo, ne ahuwit athem ahuwit kachikruk long jibak pachirli do, la atengsi Khristo badi ke ne ahuwit angton anang naliyok paklang phaknge. 
1CO.4.18	Manta nali angkhan ke, ne nalidung wangwelo pusi chiron si aborai chiplangdo. 
1CO.4.19	Manta Hemphu aneng do tene, ne nali dungyok dam dapme, aro la-apor labadi kaborai arleng hel kipu alam det kalek, manta anali apharan pensi pochaknge. 
1CO.4.20	Piyok pu tene Arnam-alongri lamdet ke kalek, manta apharan pensi chokman. 
1CO.4.21	Nali pot badi anengdo? Ne nali dungyok tokok ensi damnang ma, lale nengdok pen kachipabek ajiuli pensi dam nange?
1CO.5.1	Khanangsi karju alam ke, nalidak kangho donerdo pusi arju hlongdo aro labadi kidoner Arnam kachinine arleng hel asitem ta ladi kidoner arju hlonghle yong; piyok pu tene inghone bak ke abithang anang ai amupe pen ido pusi neyok wang thando. 
1CO.5.2	Aro nalike aborai dosi! Nali neng dohohe yong ma? Ingho ladi kangho katiki po yok nali sitem para terekngot. 
1CO.5.3	Ne ke, abang po pen nali do dunde yong ta, ne ajiuli pensi do dunsi, kidokuk badi si, labadi katiki arlengpo alam bisar pido, 
1CO.5.4	ili Hemphu Jisu amen pen ingho ladi tikido, anang phuthak ke ladi pachip tangdo. Konam nali ne ajiuli penta chingrum, aro ili Hemphu Jisu apharan pen ne jiu ta dodundo, 
1CO.5.5	labadi arleng yok, anang a-ok po kipaprel aphan, si-ik arideng champidet not, lake Hemphu kiwang arni si anang jiu ke pajoknge. 
1CO.5.6	Nali bangpo aborai kido po akime kalek. Bekso athengkur ta him adum po ajaldungsi pangkang man, labangpo nali thekthe ma? 
1CO.5.7	Nali jibadi athengkur ingwe dungsi do, labadi akimi him adumpo kachiplang yok ke, aban athengkur po pangthir det nok. Piyok pu tene Kijoktang-kamai arni Bherabik Aso lake Khristo, anangyok buli arkli tango. 
1CO.5.8	Lasi, pap mat-mat aban athengkur pen kalek, lake kachilangset aro kasotonga mat-mat athengkur pen ke kalek, manta thengkur kangwe onga ahim, lake nengsik wedet aro khanang po pensi kamai mainot nang.
1CO.5.9	Nali dak kangho kidoner arleng pen ke chilok nangne pusi naliyok lopen kiwi— 
1CO.5.10	manta labang kipusi, la pirthepe long kidoner, lale alot kido aro keng-ari samphrat, lale agoya kachirdom arleng pen jatsi chilok nangne, ladi ke kalek; ladi tene bang pirthepe para tikang hlonge. 
1CO.5.11	Manta kikrol korte pusi kachitha-ang jipe ihutpo kidoner, alot, agoya kachirdom, bangyok patharaksi, cho-junsi kangri, lale keng-ari samphrat kido abang. Anali pen cho-jun dun nangne pusi kiwi. 
1CO.5.12	Piyok pu tene bang mokol arlengyok bisar kipi nange ne pot do? Kachikruk arlo arlengyok nali bisar otete ma? 
1CO.5.13	Bang mokol arleng yok bisar Arnam si ote man. Lo long ke pudo, “Nali sitem para la kangho arleng po yok terek.”
1CO.6.1	Nali ihutyok lang un-eh si prek ihut po ado kipi pene bak alamthe do tene, anang kangthir adun po adung chi-ojorje si, kangting arleng hel ango ka-ojor dam nali sitem inghonebak doma? 
1CO.6.2	Lale, kikrol kangthir arleng pirthepe yok ke bisar ote une, bangpo nali chithan un-eh yong ma? Aro nali parasi pirthepe yok bisar ote-un, tene akibek alamthe so yok bisar ka-ote yok, nali un-eh ye ma? 
1CO.6.3	Ili Arnam tharlon helyok ta bisar ote un— tene ili ajiu kachipho alamyok bisar pi un-eh ma? 
1CO.6.4	La-apot ado alam bisar ka-ote me do, pu tene, kachikruk kachidengde abang yok bisar angholpo long pangninge ma? 
1CO.6.5	Nali kachitharak meme alam nali than do. Korte hijan-jan asitem ihut kikrol korte po ihut korte yok lam kapamet un agiyan arleng nali sitem ihut ta ingjong ma? 
1CO.6.6	Manta kikrol hijan-jan ado ojorsi— kikrolkre hel ango si chi-ojor damman? 
1CO.6.7	Khanang ke nali ihut para ihut yok kachi-ojor detsi, nali ahuwit along chipangho do. Layok ke nali ka-ongnai piyok te chihihe? Aro abithang yok kangho kachiplang yok piyok te nang bithangyok aduk chihihe? 
1CO.6.8	Manta bangpo tikike si, nali bithangsi ongnai tikido si, ladet kalek, kortehel ayokta pangho pondo. 
1CO.6.9	Akangho hel ke Arnam-alongri long bor-eh hlonghle ye, labang nali chithan un-eh ma? Nali bithang chichobelek! Kidoner, agoya kachirdom, bang apiso kiphat, kaselep, kachilem, 
1CO.6.10	kanghuhel, amek alop abang, hor kijun abang, kapatharak abang, lale dakuwal abang ke Arnam longri long bor-eh hlonghle ye. 
1CO.6.11	Aro nali angkhan ke labadi arleng si kido. Manta minon ili Hemphu Jisu Khristo amen pensi aro ili Arnam-Ajiuli pensi naliyok chamo, pangthir phlen chiplango, aro dhorom kangthir pusi alekhot eno.
1CO.6.12	“Nephan ke ahuwit abihini ta tiki un,” manta ahuwit abihinita ne phan akime kalek. “Nephan ke ahuwit abihini ta tiki un,” manta ne isi penta aturu chiplangple ye. 
1CO.6.13	“Apok aphan si cho-jun do, aro cho-jun aphan si apok po do;” Arnam la hini yokta pangwe ye. Layong ta abangpo kidoner aphan kalek, manta Hemphu aphan si do. 
1CO.6.14	Aro Arnam abithang ajakong pen Hemphu yok kithi para paburo, aro anang ajakong pensi ili yokta pabure. 
1CO.6.15	Nali abang po ke Khristo abang po arorem, labang nali chithan un-eh ma? Lasi ne Khristo abangpo ensi, aro chopakner abang pen do ye ma? Ladi jat chiplangek! 
1CO.6.16	Kachopak arloso pe yok kachilok arlengke bangpe pen isi abang chiplangman, labang po nali chithan un-eh yong ma? Piyok pu tene alamthe do, “Labang-hini isi abang chiplange.” 
1CO.6.17	Manta inghone bak Hemphu pen chilokngo tene anang pen ajiuli isi chiplangman, 
1CO.6.18	kachopak tikangot! Arleng ihut potsi apap tiki, labang hel anang abangpo anglang pho yongta kachopak apap ke anang abangpo yok ado dopensi tikiman. 
1CO.6.19	Lale, nang bangpo ke Arnam parasi kihlong aro abang nang abithang kalek, Jiuli-Kangthir nang neng arlo kido ahem, labang nali chithan un-eh ma? 
1CO.6.20	Piyok pu tene naliyok ador pisi namo; lasi nali abang po long Arnam yok jortang pado.
1CO.7.1	Minon ke nali wisi kitol alam anat, angkipu dun nange ke, “penso ihut ke arloso ihut yok ki-ot-esi mechot.” 
1CO.7.2	Manta bang pen kangho kidoner hlonghle yok, abangten apenso abithang apiso pa-en nang; aro abangten arloso ta abithang ihut apihan pa-en nang. 
1CO.7.3	Apihan po anang apiso peyok ahuwit pahlong nang, aro ladisi apisope ta apihanpo anang kapahlong nange ahuwit papinang. 
1CO.7.4	Piyok pu tene apiso pe anang abangpo along jatsi apharan ingjong, manta apihan posi do; ladisi apihan pota anang abangpo along jatsi apharan ingjong, manta apiso pesi do. 
1CO.7.5	Nali ihut para ihut yok pahlonghle ke doyek; pingkit aneng kipiyok bang-hinita isi chirwalsi angkhan adin prek do-une; la-aphel nali agar-ari chipangdom un-eh pho anat, si-ik para naliyok honjat kitong hlonghle ayok, wang phaksi chilok une. 
1CO.7.6	Labang ke hawangsi nali pido, nali kithankuk alam ke kalek. 
1CO.7.7	Ahuwit arleng ne badine chiplang un, pu tene, ne bangpo si aneng do. Manta abangten prek-prek, labadi abangten Arnam para bor-eh pilo. 
1CO.7.8	Apihan, lale apiso en-eh lang abang ke aro himepe helyok ne than bang, anali ne kido badi do-un tene, ahudet kidosi mechot. 
1CO.7.9	Manta anali agar-ari chipangdom un-eh, pu tene jorme-pachihap nang; piyok pu tene kar-ih aneng kidoyok ke jorme-pachihap si akime. 
1CO.7.10	Manta jorme-kachihap arleng helyok ne than do— ne kalek, manta Hemphu pido— apiso pe anang apihan poyok chiseyek, 
1CO.7.11	(manta apiso pe tikang tene, anang pihan en-eh detne pado nang, lale apihan po pen pachilok phak nange), aro apihan po ta apiso peyok pachise nangne. 
1CO.7.12	Kido-er abang aphan ke — Hemphu kalek, nesi than do— inghone bak kikrol arleng kikrolkre apiso do pu tene, aro anang apihan po pen kidoyok chikeng do, tene apihan po anangyok pachise nangne. 
1CO.7.13	Aro inghone bak arloso pe ihut kikrolkre apihan do pu tene, aro anang pen kidoyok chikeng do, tene anangyok pachise nangne. 
1CO.7.14	Piyok pu tene kikrolkre apihan po apiso pe parasi ingthir phlen no, aro kikrolkre apiso pe ta anang apihan po parasi ingthir phlenno. Ladi dode pu tene, anali so hel ta akisim chiplango hoi, manta minon ke anali ingthiro. 
1CO.7.15	Layongta kikrolkre alok ihut tikangjang, tene patikang nang; labang alam anat akorte po lale angjirpe aturu natne kachingnak badi donangne. Labang ke Arnam neng kangsam kapado aphansi naliyok taramo. 
1CO.7.16	Ei apiso pe, nang pihan po yok pajok une ma un-eh, ladi alam nang thek nange? Ei apihan po, nang ta nangpiso peyok kapajok une ma un-eh, labang alam nang kithek nange do.
1CO.7.17	Jipe yongta, Hemphu inghoyok pot badi nang pachakngo, aro potbadi apunsi Arnam taram tango, latengne nang arjapmot. Labangsi ahuwit kachikruk along ta ne abi-pun paklang do. 
1CO.7.18	Inghone bak sunnot kachiplang apun si Arnam taramo ma? Anang sunnot kido asin pen parjak nang. Inghone bak sunnot kangwe apun si Arnam taramo ma? Anang yok sunnot ote nangne lo. 
1CO.7.19	Sunnot ka-ote po chakche pho, aro ka-otete po ta chakche ye; manta Arnam kithan alam kimengsi khanang. 
1CO.7.20	Nali abang tenta kataram apun pot badi kido, ladi pado nang. 
1CO.7.21	Nang aturu kido apunsi Arnam taramo ma? Labang anant chiron nek. Nang kijoktang nang pahlong yongta, angoyok ke minon apor mechot sal-lap mot. 
1CO.7.22	Piyok pu tene ingho yoksi aturu apunsi Hemphu long taramo, anang Hemphu long kijoktang arleng. Labadisi, inghoyok kijoktang apunsi taramo, anang Khristo amurkiya lo. 
1CO.7.23	Naliyok Arnam ador pisi namtango; munusi aturu doye not. 
1CO.7.24	Ei korte aro ingjirhel, abang ten yok pot badi apunsi taramo, nang labang apun Arnam pen do not.
1CO.7.25	Minon ke so-arjang hel alam ke, Hemphu para kithan alam hlongle yong, manta ne kachiron badi, ne Hemphu kajinso kihlong arleng badi nangthan do. 
1CO.7.26	La-apot chirondo, aduk kiwang adin langsi, anang minon kido badi kidojong si mechot. 
1CO.7.27	Nang piso pe pen kachingnak alam do ma? Kachiphlok yok chironek. Nang piso chi-en-eh lang ma? Piso pe ki-en yok chironek. 
1CO.7.28	Manta nang jorme-chihap yongta, nang pap tikike yong, aro so-aloso jorme-chihap yongta, nangpap tikike yong. Layong ta ingho jorme-chihap abang ajiu long duk-lak chitonge, aro naliyok ne jinso do. 
1CO.7.29	Ei kortehel, ne pubang, la-arnipe adung het wangsi do. Minon parake apiso kido hel apiso kangwe badi, 
1CO.7.30	aro inghosi surusi do, anali kasurure badi; ingho si nengrong kido anali nengrong kangwe badi; aro ingho si nam-man, anali bihini hel kangwe badi, 
1CO.7.31	aro inghosi bharasot abihini chijor chihrep man, anali labang pomar chijor-chihrep penpe badi. Piyok pu tene labang bharasot athok-agor chipharlep jongsi do. 
1CO.7.32	Nali kachiron-ir ke dodesi, joktang si kido yok ne nali ar-ido. Piso kangwe po pot badi Hemphu aneng pangsam-une, Hemphu asal tingki un; 
1CO.7.33	manta piso ki-en po pirthepe abihini helyok, lake apiso pe yok pot badi aneng pangsam unbo, labang abihini hel yoksi chironchot man, 
1CO.7.34	aro anang kachipek aneng ta kamprek do. Aro apihan kangwe arloso pe aro so-arloso pe abang ke Hemphu asal tingki un, lasi anali abang aro ajiu longta kangthir doman; manta apihan ki-en arlosope pirthepe, lake anang pihanpo yok pot badi neng pangsam unbo, labang si chironman. 
1CO.7.35	Nali angphun long arik kihom ayok kalek, manta nali ke me-at arkel-pasi, aro kikrolthip anengpen Hemphu along ar-ihne dopon, labang po nali kime aphan nalithano. 
1CO.7.36	Layongta inghone bak anangyok pibo pusi ahorthin thontang yongta, menso akisarpelo apot anang bangpeyok lam chirkel pameme yong pusi chironman, aro bangpe yoksi jorme-pachihap pen nange, tene anang pot ahisa, bangpo patikinot; lalong pap ingjong, anali jorme-pachihap nang. 
1CO.7.37	Manta inghosi aneng pachipsi, abithang pot katiki aneng do si, jorme-pachihap helo pusi, anang phan ahorthin kithontang menso peyok mensone kapadoyok neng pachipmo, anang ta kime tiki ye; 
1CO.7.38	laparake ingho anangpen jorme-pachihap yok kido mensope yok jorme-pachihap man, anang kime tikiman; aro jorme-pachihap welo pusi doman lake mechot tikiye. 
1CO.7.39	Apihan po konbak arniyok hreng si doman, la-arniyok apiso pe chingnaksi doman; manta apihan po thilo tene, anang chiphloksi, Hemphu long detsi kikrol pe anang kikrol adak ingho poyok ahisa, labang po pen jorme-chihap une. 
1CO.7.40	Manta layok ke, ladisi do une pu tene, ne kachiron ateng ke anang bor-eh chok. Aro ne ta chironman lake Arnam-Ajiuli long do hlongdo.
1CO.8.1	Minonke agoya helyok kangton alamke: ili than undo, “ili abang tenta agiyan do.” Agiyan posi aborai wanman, manta nengdok ke dhorom kihari wanman. 
1CO.8.2	Inghosi bekso thek pusi chiron do, tene anang thek phlen nange ateng jatsi thekthe. 
1CO.8.3	Manta inghosi Arnam yok nengdok, anangyok si anang kachini arleng. 
1CO.8.4	Agoya along kangton hel chojun alamthe ke: “pirthepe long prek agoya ingjong,” aro lasi “ihut Arnam aphuthak prek arnam ingjong pen,” bangpo ili than undo. 
1CO.8.5	Piyok pu tene, ethakpe long lale pirthepe athak arnam amen kihlong abang do yongta— lalong ako-ong “arnam hel” aro ako-ong “ahemphu hel” do— 
1CO.8.6	yongta ili phan ke ihut Apa, Arnam do, anang parasi ahuwit abihini chiplangman, aro anang phansi ilita hlongdo, aro ihut Hemphu, Jisu Khristo do, anang parasi ahuwit abihini aro anang pensi, ili do hlongdo. 
1CO.8.7	Manta ahuwit arleng ladi agiyan ingjong. Piyok pu tene angkhan arlengke aporong agoya hel yok kimeng minon hok dojong do apot, anali agoya kangton abihini pusi cho-jun man; aro anali kachiron aneng, un-eh pho, lasi sim-man. 
1CO.8.8	“Kicho abihinike iliyok Arnam angoyok chideng ponpe ye.” Ili choche yongta ili inghohe, aro cho yongta ili kihari wepho. 
1CO.8.9	Manta nali labang ajakong chipangtang un-eh arleng hel aphan patukung athengtut pachiplang hlongek, bangpo meso chilangben. 
1CO.8.10	Piyok pu tene nang agiyan dosi, nangyok ke inghone bak agoya kachirdom ahem long cho-jun kangning dun thek hlong, tene anang kikrol un-eh apot, anang chironsi agoya kangton hel cho-jun ayok aha dode ye ma? 
1CO.8.11	Lasi, korte po aphansi Khristo thilo, labang krol un-eh anenglong doho jinsi, nang agiyan parasi panghoman. 
1CO.8.12	Manta konam nang hembang korte helyok aro ado kikol apap tikisi, lahel kachiron un-eh anenglong aduk piye, nali Khristo yok pap tikiman. 
1CO.8.13	Lasi, kicho abihini hel ne korte yok aduk pawang, tene kortepo aduk kiwangwe aphan ne aro jatsi a-ok choche.
1CO.9.1	Ne ke kijoktang kalek ma? Ne kangthir adun ihut kalek ma? Ne Hemphu Jisu yok thek hlonghle yong ma? Aro Hemphu long katiki angban nali kalek yong ma? 
1CO.9.2	Ne bang hel aphan ke ihut kangthir adun kalek yongta, manta naliphan ke chiplang do; piyok pu tene Hemphu long ne kangthir adun asap nalilo. 
1CO.9.3	Neyok bisar ka-ote yok, ne angkipu nange alam lalo. 
1CO.9.4	Kicho kijun yok hali apharan ingjong ma? 
1CO.9.5	Prek-prek kangthir adun hel, Hemphu akortehel aro Pitor po, anali badi apiso chi-enpon-wor yok apharan hali ingjong ma? 
1CO.9.6	Lale, kabunsi asal katiki apharan ne aro Barnabas po detsi ingjong ma? 
1CO.9.7	Ladi arleng inghote do, anang abithang chipanghon si sonturi asal tikiman ma? Inghote rihanthu barik chi-esi labang athe kichoche arleng do? Inghote bik chorong panghreng si, anali chulang kijunje arleng do? 
