MAT.1.1	Abraham é awut ashín, Dawiq é yhangzo yhangshu,
JHN.5.21	Haû Îwa gi, shî bê bang lé lhoq dui toq mù, yhangmoq lé asak byî é eq rajung za, haû Zo le, Yhang byí nau é bang lé, asak byi râ nghut lhê. 
JHN.5.22	Hau htoq agó, haû Îwa lé hkunggâ é eq rajung za, haû Zo lé le, lhunglhâng bang hkungga kó sháng gaq ga, haû Îwa gi, ó yuq lé le a jéyáng e za, jéyáng é hkyô lhunglháng, haû Zo lé lum to bê nghut ri. 
JHN.5.23	Haû Zo lé a hkunggâ é sû gi, haû Yhang lé nhang kat é sû Îwa lé le, a hkunggâ é sû nghut ri.
JHN.5.24	Ngò, nungmoq lé teng za taí kôlé, Ngá dang lé gyo luî, Ngo lé nhang kat é Sû lé lumjíng é sû, ó yuq nghut kôle, mara byî é a hui e za, ahtum abyuq é asak wó é nghut lhê; haú yuq gi, shi é mai lut luî, asak duì bê sû nghut ri. 
JHN.5.25	Ngò, nungmoq lé teng za taí kôlé, haû Garai Gasâng é Yhangzô é htê lé, shi byuq bê bang wó gyo râ ahkyíng gi, jé lo nyì bê nghut ri; ahkuî lháng jé to bê nghut ri. Htê haú lé gyô é bang gi, asak duì kó râ nghut lhê. 
JHN.5.26	Hkâsu mù gâ le, Garai Gasang gi, Yhânggùng má yhang, asak bo é eq rajung za, Yhang Zo lé le, Yhânggùng má yhang, asak bò nhang é yanmai nghut ri. 
JHN.5.27	Hau htoq agó, Yhang gi, haû Byu Yhangzo nghut é yanmai, Garai Gasang gi, tarâ jéyáng râ ahko ahkáng, Yhang lé byi bê nghut ri.
JHN.5.28	Shí hkyô lé hkâ-maú hong nyì kó: lup pé má lúng tô é bang banshoq gi, Yhâng é htê lé wó gyo kôluî, htoq ló râ ahkyíng jé lò râ nghut lhê. 
JHN.5.29	Ge é hkyô kut é bang gi, asak duì râ matú, dui toq kó râ nghut lhê; agè ashop hkyô kut é bang gi, mara byî é hui zo râ matú, dui toq kó râ nghut lhê. 
JHN.5.30	Ngò gi, Ngá myit dông mai haî le a wó kut é nghut lhê; Ngò wó gyô yu é eq rajung za sheq, jéyáng é nghut luî, Ngò jéyáng é hkyô gi, tengmán lhê; hkâsu mù gâ le, Ngò gi, Ngò ô nau é dông châng é a nghut e za, Ngo lé nhang kat é Sû ô nau é dông châng é sheq ru nghut lhê.
JHN.5.31	Ngá gûng lé ngò saksé hkâm é nghut jáng, ngò za saksé hkâm é hkyô gi, teng râ a nghut. 
JHN.5.32	Ngá é hkyô lé saksé hkám byî é Sû (Ngá Wa) góyuq nyi lhê; Ngò eq séng luî, haú yuq hkâm é saksé gi, têng é hkyô lé, Ngò sê lhê.
JHN.5.33	Nungmoq gi, Yohan
JHN.5.34	Ngò gi, xângzo byu pé mai saksé hkám byi râ lé, ra luî a nghut, nghut kôlhang, nungmoq hkyi yu é wó hui râ matú sheq, haû su nghû taî é ru nghut lhê. 
JHN.5.35	Yohan gi, duq nyi é myibung su duqbó byî é nghut mù luî, nungmoq gi, haû duqbó é hkaû má, rayoq zo ngón nau nyi akô nghut ri.
JHN.5.36	Nghut kôlhang, Ngò wó é saksé gi, Yohan byî é saksé htoq je kô lhê; hkâsu mù gâ le, ahkuî Ngò zui saî nyi é muzó gi, Ngò lhoq pán râ matú, haû Îwa, Ngo lé ap byî tô é nghut luî, haû Îwa, Ngo lé nhang kat é hkyô lé, saksé hkám byî nyi ri. 
JHN.5.37	Hau htoq agó, haû Ngo lé nhang kat é sû Îwa le, Ngò eq séng luî saksé hkám byî ri; nungmoq gi, Yhâng é htê lé le, a wó gyô wú kó; Yhâng é gunghkyâng lé le, a myang wú kó; 
JHN.5.38	haû Yhâng é mungdang le, nungmoq chyáng a bò kó nghut ri; hkâsu mù gâ le, nungmoq gi, Yhang nhang kat é Sû lé a lumjíng kô é yanmai nghut ri. 
JHN.5.39	Nungmoq gi, haû Chyúmdang mai ahtum abyuq é asak wó yû râ nghut lhê ga myit yù kô é yanmai, haû Chyúmdang má ho wú akô nghut ri; nghut kôlhang, Chyúmdang haû gi, Ngò eq séng luî saksé hkám byî ri; 
JHN.5.40	nghut kôlhang, asak wó yû râ matú, nungmoq gi, Ngá chyáng a kâm lé kó nghut ri.
JHN.5.41	Ngò gi, byu èq hkya-ôn é lé a lhom yu é nghut lhê. 
JHN.5.42	Nghut kôlhang, nungmoq lé gi, Ngò sê lhê; nungmoq é i-myit hkaû má, Garai Gasang lé chyitdap é myit a bò kó nghut ri. 
JHN.5.43	Ngò gi, Ngá Wâ é myìng mai jé lé é sû nghut kôlhang, nungmoq gi, Ngo lé a lhom hap yù kó; yhâng myìng yhang lang é byù, gotû rayuq jé lé é ru nghut le gi, haú yuq lé, nungmoq lhom hap yù kó râ nghut lhê. 
JHN.5.44	Nungmoq gi, rayuq eq rayuq hkya-ôn lhûm é lé za hap yù luî, rayuq za nghut é Garai Gasâng chyáng mai lo é hkya-ôn hkyô lé gi, a hô kô é bang nhîng, hkâsu kut wó lumjíng kó râ lhú?
JHN.5.45	Nghut kôlhang, haû Îwâ é hí má, Ngò, nungmoq lé mara hûn nhô hkâ-ngâm kó; nungmoq lé mara hun é sû gi, haû nungmoq mai myit myoqbyu tô é Mosheq ru nghut lhê. 
JHN.5.46	Mosheq lé nungmoq gè gè yhang lumjíng kô é ru nghut le gi, Ngo lé le lumjíng kó râ nghut lhê; hkâsu mù gâ le, Mosheq gi, Ngá é hkyô lé kâ tô é sû nghut ri. 
JHN.5.47	Nghut kôlhang, nungmoq gi, yhang kâ tô é pé lé lháng a lumjíng kô é nhîng, Ngá dang lé, hkâsu kut wó lumjíng kó râ lhú?" gâ ri.
JHN.6.1	Hau htâng a myáng má, Yesuq gi, Tiberi nhông le gâ é, Galile nhông he hpoq shut gû dap ló bê nghut ri. 
JHN.6.2	Haú hkûn, byù ajùm ayò gi, haû nò bâng htoq má, Yhang kut shit é limik kumlhá pé lé myàng kô é yanmai, Yhang htâng châng e ló bum akô nghut ri. 
JHN.6.3	Yesuq gi, bùm shut doq ló mù, Yhâng é chángzô pé eq rahá zung tô ri. 
JHN.6.4	Yudaq byu pê é Lhoqlhai Poî gi, chyâng lo nyì bê nghut ri.
JHN.6.5	Yesuq gi, tu wú kat le, byù ajùm ayò Yhâng shut lé lo bùm kô é lé byu-myang kat luî, Hpilip lé, "Shí bang zo râ muk, nga-nhúng, hkâmá ê wó wuî râ lhú?" ga taî ri. 
JHN.6.6	Yesuq, haû su ga taî é gi, yhang lé chyam wú râ matú za nghut ri; hkâsu mù gâ le, hkâsu kut râ hkyô gi, Yhâng é myit má bo to gù bê nghut ri.
JHN.6.7	Hpilip gi, Yhang lé, "Denari
JHN.6.8	Haú hkûn, Yhâng é chángzo nghut é, Simun Petruq é yhanggu Andre gi, Yhang lé, 
JHN.6.9	"Muk-yo muk ngo long eq ngozo í du wó é yuqgè zo rayuq, shî má nyi ri; nghut kôlhang, byù shî myhô bang lé luq shoq, hkâsu kut wó gâm byi râ lhú?" ga taî htoq kat ri.
JHN.6.10	Yesuq gi, "Haû shiwa byu pé lé, zùng nhâng keq." ga taî ri. Jowò haû gi, mhán htu é jang nghut mù, yuqgè wuì baú lháng, ngo hkyîng kô zung tô bùm bekô nghut ri; 
JHN.6.11	hau htâng, Yesuq gi, muk long pé lé yù mù, jeju hkya-on luî, zung tô é bang lé, yhangmoq o é myhó tsing gàm byî ri. Haû eq rajung za, ngozo lé le haû su kut ri.
JHN.6.12	Yhangmoq banshoq bang zô gyî bùm kô é htâng má Yhang gi, Yhâng é chángzô pé lé, "Myit gyó tô é ajap azo pé lé châng guq tsîng yù keq. Haî le a langsâ pyám sháng gaq." ga taî ri. 
JHN.6.13	Haû mù, yhangmoq gi, zô myhit tô é muk-yo muk ngo long mâ é ajap azo pé lé châng guq tsîng le, raxe í mung byíng shoq wó guq tsîng yu akô nghut ri.
JHN.6.14	Haû shiwa byu pé gi, Yesuq kut é limik kumlhá lé myàng kô é hkûn, "Shí yuq gi, mingkan htoq má jé lé lô râ gâ é, Myiqhtoi yhang nghut ri-nhung!" ga taî bum akô. 
JHN.6.15	Yesuq gi, yhangmoq lé mù, Yhang lé hkohkâm zik kut nhâng kó râ dâ é hkyô lé, sê é yanmai, Yhang baú tsik za bùm shut dum haq doq ló bê nghut ri.
JHN.6.16	Buigyum htâng, Yhâng é chángzô pé gi, haû nhông shut gyó ló mù, 
JHN.6.17	lhaî má wang ji luî, nhông hé hpoq mâ é Kaperna-um wà shut gû e ló akô; haú hkûn, mauchut bê nghut kôlhang, Yesuq gi, yhangmoq chyáng a jé gyó lo shi nghut ri. 
JHN.6.18	Haú u lé, laidun htan lo é yanmai, wuìlhêng toq lô bê nghut ri. 
JHN.6.19	Yhangmoq gi, sum myi déng kô lhaî kôn e ló kô é hkûn, Yesuq gi, nhông htoq má so luî, haû lhaî shut chyâng lé lo nyi é lé myàng kômù, gyuq dan bùm bekô nghut ri. 
JHN.6.20	Nghut kôlhang, Yesuq gi, "Hkâgyuq kó, Ngò ru nghut lhê." ga yhangmoq lé taî ri. 
JHN.6.21	Haû mù, yhangmoq gi, Yesuq lé gabú myit èq lhaî hkaû má shuî hâng yù nau akô. Haú hkûn, lhaî haû gi, radá dâm yhangmoq jé nau é jang wuiyàm má jé bê nghut ri.
JHN.6.22	Nhông hé hpoq má nyi tô é byù moq mó gi, haú má lhaî racham za joq laî lo é hkyô eq, lhaî haú má Yesuq a bo doq jî e za, chángzô pé baú ji htoq ló kô é hkyô lé, hau htang nyí, bûn sê kat akô nghut ri. 
JHN.6.23	Haú hkûn, haû Yhumsîng, jeju hkya-ôn é htâng, byu pé muk zô é jowò nàm má, Tiberi myuq mâ é lhaî pé jé lé bum ri. 
JHN.6.24	Haû byù moq mó gi, Yesuq eq Yhâng é chángzô pé, haú má a nyì lo kô é hkyô lé sé kô é yanmai, Yesuq lé châng hô râ matú lhaî haú pé má wang ji mù, Kaperna-um wà shut e ló akô nghut ri.
JHN.6.25	Yhangmoq gi, nhông hé hpoq má Yesuq lé myàng kôjáng, "Rabai ê, Nàng gi, shî má hkâ-nhám jé lé é lhú?" ga, Yhang lé myî akô.
JHN.6.26	Haú hkûn, Yesuq gi, "Ngò, nungmoq lé teng za taí kôlé, nungmoq gi, limik kumlhá pé lé myàng kô é yanmai, Ngo lé hô kô é a nghut, muk gyi shoq myàng zo kô é yanmai sheq, hô kô é ru nghut lhê. 
JHN.6.27	Htên byuq sê é zoshuq é matú, hkâshikut kó; haû Byu Yhangzo byi râ nghut é ahtum abyuq é asak é matú, ru gîng nyi é zoshuq wó yû râ lé sheq shikut nyì keq. Yhâng chyáng gi, haû Îwa Garai Gasang mai Yhâng é saksé dizik tap to bê nghut lhê." ga tû taî ri.
JHN.6.28	Haû mù, yhangmoq gi, "Garai Gasang ô nau é muzó pé zui saí râ matú, ngamoq haî kut ra râ lhú?" ga Yhang lé myî akô.
JHN.6.29	Haú hkûn, Yesuq gi, "Garai Gasang nhang kat é Sû lé, lumjíng é gi, Garai Gasang ô nau é muzó nghut bê." ga tû taî ri.
JHN.6.30	Haû mù luî, yhangmoq gi, Yhang lé, "Ngamoq myoq èq wó myâng luî, Nàng lé lumjíng râ matú, Nàng, haí jung limik kumlhá kut shit râ lhú? Nàng, haí jung kut shit râ lhú? 
JHN.6.31	Haû Chyúmdang má, 'Yhang gi, yhangmoq zo râ matú, mauhkûng mai muk byî ri.'
JHN.6.32	Haú hkûn, Yesuq gi, yhangmoq lé, "Ngò, nungmoq lé teng za taí kôlé, nungmoq lé mauhkûng mai muk byî é Sû gi, Mosheq a nghut, haû Ngá Wa sheq, nungmoq lé mauhkûng mai tengmán é muk byî é Sû ru nghut lhê. 
JHN.6.33	Hkâsu mù gâ le, Garai Gasang byî é muk gi, mauhkûng mai gyó lé luî, haû mingkan lé asak byî é Sû nghut lhê." ga taî ri.
JHN.6.34	Yhangmoq gi, "Yhumsîng ê, ahkuî mai, ngamoq lé muk haû hkâ-nhám le byî nyì laq." ga chôm taî bum akô.
JHN.6.35	Haû mù, Yesuq taî kyô é gi, "Ngò gi, asak muk nghut lhê. Ngá chyáng lé é sû gi, hkâ-nhám le zòmut é hui râ a nghut; Ngo lé lumjíng é sû le, hkâ-nhám le wuìshit é hui râ a nghut. 
JHN.6.36	Nghut kôlhang, Ngò, nungmoq lé taî wú bê eq rajung za, nungmoq gi, Ngo lé myang wú é nghut kôlhang, a lumjíng shi kó nghut ri. 
JHN.6.37	Haû Îwa mai Ngo lé ap byî tô é byù lhunglhâng bang gi, Ngá chyáng lé kó râ nghut luî, Ngá chyáng lé é sû ó yuq lé le, Ngò gi, hkâ-nhám lé hkat htoq pyám râ a nghut. 
JHN.6.38	Hkâsu mù gâ le, Ngò, mauhkûng mai gyó lé é gi, Ngò ô nau é hkyô lé kut râ matú a nghut e za, Ngo lé nhang kat Sû ô nau é hkyô lé kut râ matú ru nghut lhê. 
JHN.6.39	Haû Ngo lé nhang kat Sû ô nau é hkyô gi, Yhang mai Ngo lé ap byî tô é bang mâ é rayuq lé lháng, Ngò, a lhoq hpyuq pyâm e za, jihtûm buinyì má yhangmoq lé dum lhoq dui toq yû râ matú ru nghut lhê. 
JHN.6.40	Hkâsu mù gâ le, Ngá Wa ô nau é hkyô gi, haû Zo lé wú mù, Yhang lé lumjíng é sû yuq hkangmó, ahtum abyuq é asak lé wó yû râ matú nghut lhê; Ngò le, jihtûm buinyì má haú bang lé lhoq dui toq râ nghut lhê." gâ ri.
JHN.6.41	Haû mù, "Ngò gi, mauhkûng mai gyó lé é muk nghut lhê." ga, Yesuq taî é yanmai, Yhang eq séng luî, Yudaq byu pé taî put kô é gi, 
JHN.6.42	"Shí yuq gi, Yosep é yhangzo Yesuq a nghut lhi? Yhâng nu Yhâng wa lé, nga-nhúng sê lhê a nghut kó lhú? Haû sû é nhîng, ahkuî, 'Ngò gi, mauhkûng mai gyó lé é nghut lhê.' ga, Yhang hkâsu kut wó taî lhê lhú?" gâ bum akô.
JHN.6.43	Haú hkûn, Yesuq gi, "Nungmoq ahkaû má hkâtaî put nyì kó. 
JHN.6.44	Haû Ngo lé nhang kat é sû Îwa mai shuî jé é sû za a nghut jáng, ó yuq le Ngá chyáng wó jé lé râ a nghut; jé lé é sû lé gi, jihtûm buinyì má, Ngò lhoq dui toq râ nghut lhê. 
JHN.6.45	Myiqhtoi laiká pé má, 'Yhangmoq lhunglhâng bang gi, Garai Gasâng èq mhoq byî é hui kó râ nghut lhê.'
JHN.6.46	Haû gi, rayuq yuq mai, haû Îwa lé myang wú bê nghû nau é a nghut; Garai Gasâng chyáng mâ é Sû za sheq, haû Îwa lé myang wú é Sû nghut lhê. 
JHN.6.47	Ngò, nungmoq lé teng za taí kôlé, lumjíng é sû gi, ahtum abyuq é asak wó lhê. 
JHN.6.48	Ngò gi, asak muk nghut lhê. 
JHN.6.49	Nungmoq é îchyí îwâ pé gi, haû yoso hkaû má mannaq muk zo bekô nghut lhê; nghut kôle, shi byuq bekô nghut ri. 
JHN.6.50	Nghut kôlhang, shî gi, mauhkûng mai gyó lé lo é muk nghut lhê; haû lé zô é sû gi, a shî lo râ nghut lhê. 
JHN.6.51	Ngò gi, mauhkûng mai gyó lé lo é, haû asak dui é muk nghut lhê; rayuq yuq, muk shî lé zô é nghut le gi, ahtum abyuq dui nyì râ nghut lhê; muk shî gi, mingkan zô wui é asak matú, Ngò byi râ nghut é Ngá gungsho nghut lhê." ga tû taî ri.
JHN.6.52	Haû mù, haû Yudaq byu pé gi, "Byù shí yuq gi, nga-nhúng lé, Yhâng é gungsho hkâsu kut wó byi tso râ lhú?" ga, yhangmoq yhangchang dang htíng htîng lhûm bum akô.
JHN.6.53	Haú hkûn, Yesuq gi, yhangmoq lé, "Ngò, nungmoq lé teng za taí kôlé, haû Byu Yhangzô é gungsho lé zô é eq Yhâng é sui lé shuq e za a nghut le gi, nungmoq asak wó kó râ a nghut. 
JHN.6.54	Ngá é gungsho lé zô é eq Ngá é sui lé shuq é sû, ó yuq nghut kôle, ahtum abyuq é asak wó é nghut lhê; Ngò gi, jihtûm buinyì má, haú yuq lé lhoq dui toq yû râ nghut lhê. 
JHN.6.55	Hkâsu mù gâ le, Ngá é gungsho gi, zojung yhang nghut lhê; Ngá é sui gi, shuqjung yhang nghut lhê. 
JHN.6.56	Ngá é gungsho lé zô é eq Ngá é sui shuq é sû, ó yuq nghut kôle, Ngò má nghut nyî luî, Ngò le haú yuq má nghut nyî bê nghut lhê. 
JHN.6.57	Haû rû dui nyi é Îwa gi, Ngo lé nhang kat luî, Ngò gi, haû Îwâ é yanmai, dui nyi é eq rajung za, Ngá é gungsho lé zô é sû gi, Ngá é yanmai, dui nyì râ nghut lhê. 
JHN.6.58	Shî gi, mauhkûng mai gyó lé lo é muk nghut lhê. Nungmoq é îchyí îwâ pé gi, mannaq muk zo kôle, shi byuq bekô nghut ri; nghut kôlhang, muk shî lé zô é sû gi, ahtum abyuq dui nyì râ nghut lhê." ga taî ri. 
JHN.6.59	Dang haú pé gi, Yesuq, Kaperna-um wà mâ é tarajong má mhoqshit nyi é u lé, taî é dang nghut ri.
JHN.6.60	Yhâng é chángzô pé myo myo gi, haû lé wó gyo kôjáng, "Dang shî gi, gyai wuî ri. Ó yuq wá wó cháng râ lhú?" ga taí bum akô.
JHN.6.61	Yesuq gi, haû eq séng luî, Yhâng é chángzô pé taî put nyi bùm kô é lé Yhâng é myit má sé luî, yhangmoq lé, "Dang shi é yanmai, nungmoq myit htên bum akô lhú? 
JHN.6.62	Haû Byu Yhangzo gi, Yhang nyi laî lò bê jowò shut taû doq ló é lé, nungmoq myàng kô é nghut le gi, hkâsu nghû kó râ lhú? 
JHN.6.63	Haû Woi-nyí gi, asak byî lhê; gungsho kúm gi, haî le a wó dut nghut ri. Nungmoq lé, Ngò taî é dang pé gi, Woi-nyí le nghut lhê, asak le nghut lhê. 
JHN.6.64	Nghut kôle, nungmoq chyáng mâ é ra-am gi, a lumjíng kó nghut ri." ga taî ri. Hkâsu mù gâ le, ô pé gi, a lumjíng kó râ eq, ó yuq gi, Yhang lé ap pyám râ nghut é hkyô lé, Yesuq gi, sâng-hi mai sê to gù bê nghut ri. 
JHN.6.65	Yhang xoq taî é gi, "Haû su mù, haû Îwâ èq ahkáng byî é sû za a nghut le gi, ó yuq le Ngá chyáng wó lé râ a nghut nghû, Ngò, nungmoq lé taî kyo wú bê nghut lhê." gâ ri.
JHN.6.66	Haú dàm mai, Yhâng é chángzô pé myo myo gi, Yhâng htâng a cháng lo kô e za, taû ló byuq bùm bekô nghut ri.
JHN.6.67	Haû su mù, Yesuq gi, haû chángzo raxe í yuq lé, "Nungmoq le, ló byuq nau akô, a nghut lhú?" ga myî ri.
JHN.6.68	Haú hkûn, Simun Petruq gi, "Yhumsîng ê, Nàng gi, ahtum abyuq é asak mungdang wó Sû nghut to bê lé nhîng, ngamoq gi, ó yuq chyáng ê shirâ lhú? 
JHN.6.69	Nàng gi, Garai Gasâng é Chyoiyúng Sû nghut é lé, ngamoq, lumjíng lhê, sê nyi lhê." ga, Yhang lé tû taî ri.
JHN.6.70	Haú hkûn, Yesuq gi, "Nungmoq raxe í yuq lé, Ngò hkyin yù bê a nghut kó lhú? Nghut kôle, nungmoq mâ é rayuq gi, nat nghut ri." ga tû taî ri. 
JHN.6.71	(Yhang gi, haû Simun Iskarut é yhangzo, Yudaq lé taí nau é nghut ri; haú yuq gi, chángzo raxe í yuq má bò sû nghut kôle, htâng má, Yhang lé ap pyám râ sû nghut ri.)
JHN.7.1	Hau htâng má, Yesuq gi, Yhang lé sat râ matú, Yudaq byu pé ho nyi bùm kô é yanmai, Yuda mau má a kâm sô wún mù, Galile mau má sô lhing wún ri. 
JHN.7.2	Nghut kôlhang, haû Yudaq byu pê é Saksé Zúm Poî chyâng lo nyi é hkûn, 
JHN.7.3	Yesuq é yhanggu yuqzô pé gi, Yhang lé, "Náng é chángzô pé gi, Nàng kut é laklaí kumlhá pé lé myàng kó sháng gaq, Nàng, shî mai htoq ló luî, Yuda mau shut e ló aq. 
JHN.7.4	Myìng hu nau é sû gi, hkaû zaú luî haî le a kut wú é nghut lhê. Nàng gi, haú pé lé kut nyî bê nghut é yanmai, mingkan lé, Náng gûng tûn shit aq." ga taî akô. 
JHN.7.5	Hkâsu mù gâ le, yhanggu sîng yuqzô pé lháng, Yhang lé a lumjíng kó nghut ri.
JHN.7.6	Haû mù luî, Yesuq gi, yhangmoq lé, "Ngá é ahkyíng gi, a jé shi nghut ri; nungmoq é ahkyíng kúm gi, hká hkûn le joq nyi ri. 
JHN.7.7	Haû mingkan gi, nungmoq lé a jú a wó kut kó nghut ri; nghut kôlhang, Ngo lé gi, a jú kó; haî mù gâ le, yhang kut é hkyô gi, agè ashop é nghut é lé, Ngò, saksé tûn shit é yanmai nghut ri. 
JHN.7.8	Nungmoq gi, poî haú shut doq ló keq. Ngò kúm gi, Ngá é ahkyíng a jé shi nghut é yanmai, poî haú shut a doq ló shirâ nghut lhê." ga taî ri. 
JHN.7.9	Haû su ga taí luî, Yhang gi, Galile mau má nyi gyó to bê nghut ri.
JHN.7.10	Nghut kôlhang, Yhang gu pé, haû poî shut doq ló byuq é htâng má, Yhang gi, de de a nghut é dông, tsik za châng doq ló bê nghut ri. 
JHN.7.11	Yudaq byu pé gi, haû poî má, Yhang lé châng hô kômù, "Haú yuq gi, hkâmá nghut lhê lhú?" ga, myi wún akô nghut ri.
JHN.7.12	Haû byù hpûng hkaû má, Yhang eq séng luî taî lhûm bùm kô é má, ra-am gi, "Yhang gi, byù gè nghut ri." ga taí kôjáng, ra-am gi, "A nghut, Yhang gi, byu pé lé hkyô shuî nghoq sû nghut ri." ga tû taî akô. 
JHN.7.13	Nghut kôlhang, haû Yudaq suwún wuî lé gyuq kô é yanmai, ó yuq le, Yhang eq sêng é hkyô lé de de a wám taí kó nghut ri.
JHN.7.14	Haû poî rawuí nghut ló é hkûn, Yesuq gi, noqkuq yhûm má doq ê luî, mhoqshit hi ló bê nghut ri. 
JHN.7.15	Haú hkûn, Yudaq byu pé gi, gyô maú byuq kômù, "Shí yuq gi, mhoq yu é hkyô le a joq wú é wá, haû-í hkâsu mù sê lhê laq?" ga myi bum akô.
JHN.7.16	Haû mù, Yesuq tû taî é gi, "Ngò mhoqshit é dang gi, Ngá é dang a nghut; Ngo lé nhang kat Su é dang ru nghut lhê. 
JHN.7.17	Rayuq yuq, Garai Gasang ô nau é hkyô lé châng kut nau é nghut jáng, Ngò mhoqshit é dang gi, Garai Gasâng chyáng mâ é nghut a nghut é eq, Ngá é myit dông taî é dang nghut a nghut é lé, yhang sê gàm hkoq yû râ nghut lhê. 
JHN.7.18	Yhumsing é myit dông taî é sû gi, yhumsing é matú aróng hô sû nghut ri; nghut kôlhang, yhumsîng lé nhang kat su é matú, aróng ho é sû gi, tengmán é byû nghut ri; yhang má, a tengmán é hkyô haî le a bò nghut ri. 
JHN.7.19	Mosheq gi, nungmoq lé jep é tarâ byî to bê, a nghut kó lhú? Nghut kôlhang, nungmoq ó yuq le, jep é tarâ haû lé a cháng kó nghut ri. Haî mù luî, Ngo lé sat nau nyi akô lhú?" gâ ri.
JHN.7.20	Haú hkûn, haû byù hpûng gi, "Nàng gi, nat gang wang to sû nghut ri-nhung! Nang lé, ó yuq wá sat nau nyi ri lhú?" ga tû taî akô.
JHN.7.21	Yesuq gi, yhangmoq lé, "Ngò, laklaí kumlhá ralhum kut jáng, nungmoq banshoq bang gi, maú byuq bum akô. 
JHN.7.22	Nghut kôlhang, nungmoq gi, ahpyo-kuq hpyit byî é hkyô lé, Mosheq byî é nghut lhê ga luî, Bánno buinyì má, zoshâng lé ahpyo-kuq hpyit byî akô (gè gè ga jáng, ahpyo-kuq hpyit é hkyô gi, Mosheq chyáng mai lo é a nghut e za, îchyí îwâ pê chyáng mai lo é ru nghut lhê.). 
JHN.7.23	Haû, Mosheq é jep é tarâ lé a lhoq htên pyám sháng gaq nghû, Bánno buinyì má, zoshâng lé ahpyo-kuq hpyit byî é nghut le gi, haî mù luî, Bánno buinyì má, byù rayuq é gùng gón lé, Ngò lhoq gê byî é yanmai, Ngo lé nhikjum yô akô lhú? 
JHN.7.24	Byù du lé wú luî hkâjéyáng kó; tengmán é dông sheq jéyáng keq." ga taî ri.
JHN.7.25	Haû mù luî, Yerusalem wà mó mâ é byu pé ra-am gi, "Haû yhangmoq sat pyám nau nyi é sû gi, shí yuq a nghut lhi? 
JHN.7.26	Yhang gi, shî má de de dáng nyo nyi le, yhangmoq gi, Yhang lé, haî le a ga kó myhi-nhung! Yhang gi, Hkrisduq nghut lhê ga, haû ahkáng ayá wó bang gi, gè gè yhang, sê akô abe? 
JHN.7.27	Haû Hkrisduq jé lé é hkûn gi, Yhang hkâmai lé lo é lé, ó yuq lháng sé râ a nghut." ga taî bum akô. Nghut kôlhang, shí yuq gi, hkâmâ é sû nghut é lé, nga-nhúng sê lhê;
JHN.7.28	Haû mù, Yesuq gi, noqkuq yhûm wàng má mhoqshit uchyang, htê mó èq taî kat é gi, "Nungmoq gi, Ngo lé sê é htoq agó, Ngò, hkâmai lé é sû nghut é lé le, sê akô nghut ri. Ngò gi, Ngá myit dông shî má lé nyi tô é sû a nghut kôlhang, Ngo lé nhang kat é Sû gi, tengmán lhê; nungmoq gi, Yhang lé a sé kôlhang, 
JHN.7.29	Ngò gi, Yhang lé sê lhê; hkâsu mù gâ le, Ngò gi, Yhâng chyáng mai lé é sû eq Yhang mai nhang kat é sû nghut lhê." gâ ri.
JHN.7.30	Haû mù, yhangmoq gi, Yhang lé chyup râ dâ akô; nghut kôlhang, Yhâng é ahkyíng a jé shi é yanmai, Yhang lé chyup râ matú, ó yuq le loq a jé kó nghut ri. 
JHN.7.31	Nghut kôlhang, byù hpûng hkaû mâ é bang myo myo gi, Yhang lé lumjíng bûm kôluî, "Haû Hkrisduq jé lé é hkûn, Yhang gi, shí yuq htoq má, limik kumlhá pé je wó kut shit râ lhú?" ga taî bum akô nghut ri.
JHN.7.32	Haû Hparishe pé gi, haû byù hpûng hkaû má, Yesuq eq sêng é hkyô lé, haû su ga dangsoq soq lhûm nyì kô é hkyô lé wó gyô yu akô. Haû mù, haû hkyangjong agyi pé eq Hparishe pé gi, Yhang lé ê chyup râ matú, noqkuq yhûm zúng é bang lé nhang kat akô.
JHN.7.33	Haú hkûn, Yesuq gi, "Ngò gi, nungmoq eq rahá rayoq zo za nyì râ nghut lhê; hau htâng, Ngo lé nhang kat Su chyáng taû ló râ nghut lhê. 
JHN.7.34	Haú hkûn, nungmoq gi, Ngo lé hô kôlhang, myang hô kó râ a nghut; Ngò nyi é jang má, nungmoq wó jé kó râ a nghut." ga taî ri.
JHN.7.35	Hau é yanmai, Yudaq byu pé, rayuq eq rayuq taî lhum kô é gi, "Shí yuq gi, Yhang lé nga-nhúng a myang hô loshoq, hká shut e byuq râ dâ lhê lhú? Yhang gi, Grik byu pé má nyi byo myín tô é nga-nhûng é byu pé nyi é jowò má ê mù, Grik byu pé lé, ê mhoqshit râ dâ lhê lhú? 
JHN.7.36	'Nungmoq gi, Ngo lé hô kôlhang, myang hô kó râ a nghut.' gâ é eq, 'Ngò nyi é jang má, nungmoq wó jé kó râ a nghut.' gâ é, Yhang taî é dang gi, haí jung wá gá naû é nghut lhê lhú?" gâ akô.
JHN.7.37	Haû lô htâng é eq je ahkyak é Poî buinyì má, Yesuq toq yap luî, htê mó èq taî é gi, "Wuì shit sû gi, Ngá chyáng lé mù, shuq sháng gaq. 
