MAT.1.1	Магьа Ибрагьимдин наслиан вуйи, Давудрин тухмиан вуйи Месигь Исайин ата-бабйир:
ACT.5.16	Ерусалимдин аьтрафарихъ хъайи шагьрариан аьзарлуйир ва жинар кучӏвнайидар хури, инсанарин аьхю дестйир гъюз хъюгъюйи, ва вари сагъ шулира гъахьну.
ACT.5.17	Гьадмуган маллйирин аьхюр ва дугъахъ хъайи саддукйир гъанихвалиан тӏуркӏури гъахьну ва 
ACT.5.18	дурари вакилар, дидисну, жямяаьтлугъ дустагъдиъ итру. 
ACT.5.19	Хъа Агъайин Малайикди, йишвну дустагъдин урчӏар арццру ва, дурар адаъну, кӏуру:
ACT.5.20	– Душну Аллагьдин хулаъ халкьдиз цӏийи уьмрикан вари кидибтай.
ACT.5.21	Му гафар деерхьну, дурар акв мялум шулайи вахтна Аллагьдин хулаъ учӏвру ва халкьдиз аьгъювалар улупуз хъюгъру. Маллйирин аьхюри ва дугъахъди хъайидари, вари диванбегйирна Израилин сихларин вари кавхйир суддиз уч апӏуру, хъасин суддин гъаравлар дустагъдиз вакилар хуз гьаъру.
ACT.5.22	Вакилар хуз гъафидариз дустагъдиъ фужкӏара дихъурдар ва, хъадакну, гъафидари кӏуру:
ACT.5.23	– Учуз дустагъ мюгькамди хъябкьну ва гъаравларра урчӏарихъ дийигънади гъяркъюнчуз, амма раккнар арцциган, учуз душваъ касра гъидихъундарчуз.
ACT.5.24	Му гафар гъеерхьиган, аьхюну маллйир ва Аллагьдин хулан гъаравларин аьхюр, му фу хабар вуйкӏан кӏури, мюгьтал духьну гъузнийи. 
ACT.5.25	Хъасин сари дуфну кӏуру:
ACT.5.25	– Учву дустагъдиъ иту адмийир Аллагьдин хулаъ а ва халкьдиз дурари аьгъювалар улупура!
ACT.5.26	Гьадмуган гъаравларин аьхюри, чан эскрарихъди душну, вакилар хъади гъюру. Вакилариз гуж апӏуз эскрариз гучӏуйи, фицики халкьди дурариин гъван уьлюбхюб мумкин вуйи.
ACT.5.27	Дурари вакилар диванбегйирин улихь дерккру. Гьадмуган маллйирин аьхюри дурарихьан гьерхру:
ACT.5.28	– Учу учвуз Гьадму Касдин гьякьнаан аьгъювалар улупуб ижмишнаан къадагъа гъапӏундайинхъа? Хъа магьа, учву Ерусалим вуйиси Дугъкан аьгъювалар рагъурачва ва Думу йикӏбан тахсир уч’ин илипуз ккунди ачвуз.
ACT.5.29	Петри ва вакилари жаваб тувру:
ACT.5.29	– Учу адмийиризтӏан Аллагьдиз артухъди мютӏюгъ духьну ккунду. 
ACT.5.30	Учву Иса, дариз дизигну, гъакӏунчва, амма ихь абйирин Аллагьди Думу, гъачӏихъан, чӏиви гъапӏну. 
ACT.5.31	Аллагьди, Израилин халкьди чпин тахсрар гардандиъ дидисну гунгьарилан хил алдабгъуз гъитбан бадали, Иса Чан арччул хилихъна Аьхюрди ва ухьу Уьрхрюрди за гъапӏну. 
ACT.5.32	Мидин шагьидар Чаз мютӏюгъ шлудариз Аллагьди тувнайи Гирами Рюгь ва учу вуча.
ACT.5.33	Му гафар гъеерхьиган, диванбегйирик яманди хъял кубчӏвру, ва дурариз вакилар йихуз ккун шулу.
ACT.5.34	Къанунчийизси гьюрмат айи, диванбегйирикан Гамалиил кӏуру сар фарисейи, али йишвлан за духьну, вакилар саб геренди суддиан адауз буйругъ тувру. 
ACT.5.35	Хъасин дугъу кӏуру:
ACT.5.35	– Израилин агьалйир! Учву мурарикан гьапӏруш, ужуди фикир апӏинай! 
ACT.5.36	Ичв кӏваин илмиш, сацӏиб улихьнаси, учв зурба кас вуза кӏури, Февда кӏурур гъядяхънийи ва юкьудваржкьан адми дугъахъди гъахьнийи. Хъа думу йивну гъакӏнийи, дугъан терефкрар гъадаргънийи ва жвартӏ гъахьнийи. 
ACT.5.37	Дугъан кьяляхъ, агьалйир гьисаб апӏру вахтна, Галилейиан Ягьуда гъядяхъну, дугъура чахъди хайлин халкь жалб гъапӏну. Думура йивну гъакӏну, хъа дугъахъди гъушдарра вари гьубкьушвахъинди гъарагъну. 
ACT.5.38	Гьаддиз лигну, гьамус кӏуразачвуз: гьадму касарихьан гьудучӏвай ва дурар сикинди гъитай. Фицики эгер му ляхин инсанарин терефнаан вуйиб вуш, думу кӏулиз удубчӏвидар. 
ACT.5.39	Хъа эгер Аллагьдин терефнаан шулайиб вуш, учвхьан думу дебккузра хьибдарчвухьан, учву Аллагьдиз къаршудира хьуз мумкин ву.
ACT.5.40	Диванбегари дугъан насигьят кьабул апӏуру. Хъасин вакилариз дих дапӏну, дурар дурччвну, сарун Исайикан аьгъювалар улупуз гъадагъа дапӏну, деетуру. 
ACT.5.41	Вакилар кӏуруш, чпи Иса себеб вуди жазайикк ккуркьуз лайикьлу хьуб’ин шад духьну, суддиан удучӏвну гъягъюру. 
ACT.5.42	Гьар йигъан Аллагьдин хулаъ ва адмийирин хулариъ халкьдиз Иса Месигьдикан аьгъювалар улупури, дурари Ужувлан хабар рабгъуру.
ACT.6.1	Вакиларин терефкрар артухъ хьпахъ, бинайиан грек чӏал’инди улхурайи жугьдари Ерусалимдин жугьдарикан аьрзар апӏуз хъюгъру. Дурари, гьар йигъан Ерусалимдин жугьдари кюмек пай апӏру вахтна, Ерусалимдиан дару ачӏни хпариз фикир туври шулдар, кӏуйи.
ACT.6.2	Гьадмуган йицӏикьюр вакили, вари ученикариз дих дапӏну, кӏуру:
ACT.6.2	– Учу Аллагьдин гаф гъибтну, кюмек пай апӏуб ужу дар. 
ACT.6.3	Гьаци вуйиган, гъардшар, ичв арайиан ухьуз аьгъюдар, Гирами Рюгьну ва фагьумлували ацӏнайи ургур кас кадагъай. Дурар гьадму гъуллугъниин дерккдихьа. 
ACT.6.4	Хъа учу ккарагури ва Ужувлан хабар рабгъури хьидича.
ACT.6.5	Му теклифниин вари рази шулу. Дурари хъугъвали ва Гирами Рюгьну ацӏнайи Стефан кӏуру кас, гьацира Филип, Прохор, Никанор, Тимон, Пармен ва улихьди аллагьсуз вуди гъаши Антиохияйиан вуйи Николай ктагъуру. 
ACT.6.6	Мурар вакиларин улихь дерккнийи ва, Аллагьдиз ккарагну, дурариин хилар иливнийи.
ACT.6.7	Гьамци Аллагьдин гаф рабгъури, Ерусалимдиъ хъугънайидарин кьадар артухъ шулайи, маллйириканра гизафдар Аллагьдихъ хъугъри гъахьнийи.
ACT.6.8	Хъугъвалиъ ва кьувватнаъ айи Стефанди халкьдин арайиъ зурба вуйи аьламатар ва аьжайиб лишнар улупуйи. 
ACT.6.9	Киринеяйиан, Александрияйиан, Киликияйиан, Асияйиан вуйидар ва Азадлуйирин мистан терефкрар Стефандихъди гьюжатнаъ учӏвру. 
ACT.6.10	Амма дурарихьан Стефандин фагьумлувал ва дугъак кайи Гирами Рюгь ккагъуз гъабхьундар. 
ACT.6.11	Гьаддиз дурари пул тувну бязи адмийир: «Учуз, дугъу фици Муса пайгъамбризна Аллагьдиз люкьнар апӏурайиш, гъеебхьунчуз» кӏури, пуз алауру. 
ACT.6.12	Дурари гьамци халкьдик, тухмарин кавхйирик ва аьлимарик гъалабулугъ кипру ва, алархьну дидисну, Стефан аьхю суддиз хуру. 
ACT.6.13	Душваз кучӏлин шагьидарра хъади гъюру, ва дурари кӏуру:
ACT.6.13	– Му касди сикин дарди Аллагьдин хулаз ва Къанундиз люкьнар апӏура. 
ACT.6.14	Учуз дугъу, Назаретдиан вуйи Исайи Аллагьдин хал дабгъиди ва Мусайи ухьуз тувнайи аьдатар гьюдюхиди кӏури, гъеебхьунчуз.
ACT.6.15	Суддиъ деънайидари Стефандин машналан ул алдабгъурадайи, фицики дурариз дугъан маш малайикдин машси рябкъюрайи.
ACT.7.1	Гьадмуган жугьдарин аьхюну маллайи гьерхру:
ACT.7.1	– Му гафар гьякь вуйин?
ACT.7.2	Стефанди жаваб тувру:
ACT.7.2	– Хъебехъай, чвйир ва абйир! Ихь аба Ибрагьимдиз, гьеле чав Харрандиъ бин апӏайиз улихьна, яна учв Месопотамияйиъ яшамиш шулайи девриъ, кьудратлу Аллагь ачмиш гъахьну 
ACT.7.3	ва гьамци гъапну: «Яв багъри юрд ва яв багахьлуйир гъитну, Узу улупу уьлкейиз гъарах». 
ACT.7.4	Ибрагьимдира, халдеялуйирин уьлке дипну, Харрандиъ бин гъапӏну. Дугъан адаш кечмиш гъашихъан, Аллагьди Ибрагьим гьамусяаьтди учву яшамиш шулайи уьлкейиз гъюз гъитну. 
ACT.7.5	Аллагьди дугъаз ирс вуди жилин саб чӏукӏкьан тувундар, амма думуган Ибрагьимдиз веледар адайишра, гележегдиъ дугъазна дугъан веледариз жил тувуз гаф тувру. 
ACT.7.6	Аллагьди дугъаз гъапну: «Яв веледар яд ругариина гъафи гъурабйир хьиди ва дурар юкьудварж йисан лукӏарди аьзабнакк ва зулмикк ккади гъузди. 
ACT.7.7	Дурар лукӏариз илтӏикӏу халкьдин узу диван апӏидиза, ва дурари, гьадму юрд дипну, гьамина дуфну, гьаму ругдиин Узуз икрам апӏиди». 
ACT.7.8	Аллагьди, Ибрагьимдихъди йикьрар йибтӏбан лишан вуди, суннат апӏбан аьдат дугъаз багъиш гъапӏну. Гьаддиз лигну, Ибрагьимдикан Исакьдин адаш гъашиган, дугъу миржидпи йигъан Исакьдин суннат гъапӏну. Исакьдикан Якьубдин адаш гъашиган, дугъура гьаци Якьубдин суннат гъапӏну, дидхъантина Якьубди чан баяринна суннат гъапӏну, хъа дурарикан гележегдиъ йицӏикьюб сихлин ата-бабйир гъахьну.
ACT.7.9	Дурари, чпин чве Юсуфдиин бахил духьну, думу Египет уьлкейиз йисирвализ масу тувру. Хъа думу Аллагьдин кӏваин илмиди гъахьну. 
ACT.7.10	Аллагьди думу вари завалариккан уьрхюру, дугъаз зурба фагьумлувал ва Египетдин паччагь дугъахьна ужуди янашмиш хьувал тувру. Паччагьди дугъкан вари Египетдин ва чан хусуси хулан гьякимдар гъапӏнийи. 
ACT.7.11	Египетдиъна Ханаан юрднаъ гаш’вал абхъру, ва вари агьалйир зурба аьзабарикк ккуркьру. Ихь абйириз ипӏруб дибрихъри гъабхьну. 
ACT.7.12	Египетдиъ уьл а, кӏури деебхьну, Якьубди дина ихь абйир гьаънийи. Му дурари Египетдиз гъапӏу сабпи сиягьят вуйи. 
ACT.7.13	Дурар гьадина кьюбпи ражари гъушиган, Юсуф чан чвйириз ачмиш шулу, ва Египетдин паччагьдиз Юсуфдин тухум аьгъю шулу. 
ACT.7.14	Хъа Юсуфди чан адаш ва вари багахьлуйир хъади гъюз адми гьаъру. Дурар вари ургцӏурна хьур кас вуйи. 
ACT.7.15	Якьуб Египетдиз гъюру ва ихь абйир душваъ чпин аьжал хъубкьайиз яшамиш шулу. 
ACT.7.16	Гъачӏихъан, дурарин майтар багъри юрднаъ айи Сихем кӏуру шагьриз духну, Ибрагьимди Хаморин баярихьан арсрахъ гъадабгъу накьвдиъ ивру.
ACT.7.17	Аллагьди Ибрагьимдиз тувнайи гаф тамам апӏру вахт багахь хьубахъ, Египетдиъ айи жугьдарин кьадар гъюблан-гъюбаз артухъ шули гъабхьну. 
ACT.7.18	Аьхириъ Египетдин тахтниина, Юсуф аьгъдру жара паччагь гъафнийи.
ACT.7.19	Дугъу ихь халкь аьмал кади ишлетмиш гъапӏну ва ихь абйириз гужар тувну. Дурарин бицӏидар, пуч хьубан бадали, чӏурариз гатӏахьуз мажбур апӏури гъахьну. 
ACT.7.20	Гьадму вахтна Муса бабкан шулу. Думу Аллагьдиз кьабул шлу бай гъахьну. Думу шубуб вазли чан адашдин хулаъ дадайин мухрихъ шулу, 
ACT.7.21	хъа думу гатӏахьиган, паччагьдин шуру гъадагъуру ва чахь, чан байси, тербияламиш апӏуру. 
ACT.7.22	Мусайиз Египетлуйирин гьадмугандин илмар аьгъю гъахьну. Думу улхбариъ дилавар, ляхнариъ бажаранлу кас вуди гъахьну.
ACT.7.23	Мусайин ягъчӏвур йис гъабхьиган, гъардашлугъ жугьдариин улукьуз дугъан кӏваз гъюру. 
ACT.7.24	Чан гъардшарикан сарик Египетдин агьали кялхъради ва дугъаз йивуради дяркъну, дугъхъанди духьну, Мусайи египетлу йивну йикӏуру.
ACT.7.25	Мусайи, чан халкьдиз чалантина Аллагьди азадвал гьапӏрайивалин дурар гъаври ахъуршул пну, фикир гъапӏнийи, амма дурар гъаври ахъундайи. 
ACT.7.26	Хъайигъан дугъаз хабарсузди чиб-чпик кархьнайи кьюр жугьуд рякъюру ва дугъаз дурар, гьамци кӏури, мясляаьтнахъна хуз ккун шулу: «Эй инсанар, учву гъардшар вучва, гьаз учву сари-сариз гиран ктапӏурачва?» 
ACT.7.27	Амма чан багахьлуйиз гиран ктапӏурайири, Мусайиз хъизигну, кӏуру: «Уву ич аьхюрди ва диванбегиди шли дерккунву? 
ACT.7.28	Накь Египетлуси, узура йивну йикӏуз ккунди ануз?» 
ACT.7.29	Му гафар гъеерхьиган, Муса Египетдиан гьергну, Мадиам юрднаъ гъурабайиси чаз бин ккебгъру. Душваъ дугъаз кьюр байра шулу.
ACT.7.30	Ягъчӏвур йис улдучӏвхъан, ичӏи чюлиъ Синай дагъдиин дугъаз чан улихь убгурайи зазун рукчин ялавнягъ малайик рякъюру. 
ACT.7.31	Му гъяркъю Муса мюгьтал шулу. Хъа ужуди тамаши апӏбан бадали рукчиз багахь хьуз хъюгъиган, дугъаз Агъа Аллагьдин сес ебхьуру: 
ACT.7.32	«Узу яв абйирин Аллагь, Ибрагьимдин Аллагь, Исакьдин Аллагь ва Якьубдин Аллагь вуза!» Гучӏбаан гукӏни духьнайи Муса рукчиз лигуз даршули гъахьну. 
ACT.7.33	Гьадмуган Агъайи дугъаз кӏуру: «Яв ликарилан илдит, фицики уву дийигънайишв Аллагьдиз гирами жил ву. 
ACT.7.34	Узуз Египетдиъ Йиз халкьдиз зулмар апӏуради рябкъюразуз, дурарин сузйирин агьузар ерхьуразуз ва дурар азад апӏуз жилиина кудучӏвназа. Гьаци вуйиган, Узу уву хъана Египетдиз гьаъразаву».
ACT.7.35	«Уву ич аьхюрди ва диванбегиди шли дерккну» пну, жугьдари нигь гъапӏур гьадму Муса ву. Убгурайи зазун рукчигъ Аллагьдин малайик гъяркъю, Аллагьди малайикдилантина жугьдарин гьякимдарди ва азад апӏрурди гьаурра гьадму Муса ву. 
ACT.7.36	Ягъчӏвур йисан Египет жилариин Уьру гьюлихъ ва ичӏи чюлиъ аьламатар ва аьжайиб лишнар улупури, дурар Египетдиан адаурра гьадму Муса ву. 
ACT.7.37	Израилин баяриз: «Ичв Агъа Аллагьди учвухьна ичв чвйирин арайиан, узуси, Пайгъамбар гьаъди» гъапирра гьадму Муса ву. 
ACT.7.38	Ичӏи чюлиъ уч гъашиган, Израилин халкьдихъ хъайир, чахъди Синай дагъдиин малайик гъулхур, чӏиви гафар кьабул гъапӏур, дурар ухьухьна рукьуз гъитур, ихь абйирихъди хъади гъаширра гьадму Муса ву. 
ACT.7.39	Ихь абйириз дугъахъ хъебехъну хьуз ккун гъабхьундар, думу нигь дапӏну, Египетдиз хътакуз ккун гъабхьну. 
ACT.7.40	Дурари Гьарундиз гъапну: «Ухьу дина хъади гъягъюз ухьуз идолар кадаъ, фицики ухьу Египетдиан адау Мусайихъди фу гъабхьнуш, аьгъдархьуз». 
ACT.7.41	Гьадмуган дурари идол вуди кӏарисиб кадапӏну, дидиз гъурбнар хури ва чпи гъапӏубдикан шадлугъар апӏури гъахьну. 
ACT.7.42	Аллагьди дурарихьан маш гьадабгъуру, ва дурари завун идолариз гъурбнар хури икрамар апӏуру. Пайгъамбрарин Китабдиъ гьамци дибикӏнайиси гъабхьну:
ACT.7.42	«Израилин халкь!
ACT.7.42	Ягъчӏвур йисан ичӏи чюлиъ
ACT.7.42	урккру ва ургру гъурбнар
ACT.7.42	учву Узуз хури гъахьунчвахъа?
ACT.7.43	Ваъ, учву икрам апӏбан бадали,
ACT.7.43	учвухьди Молохдин чадур,
ACT.7.43	ичв Ремфан-идолин хяд,
ACT.7.43	ичв ктау идолар гъахури гъахьунчва.
ACT.7.43	Гьаддиз лигну, Узу учву
ACT.7.43	Вавилон сяргьятарилан тина гьаъдиза».
ACT.7.44	Ихь абйири, ичӏи чюлиъ лицурайи вахтна, йикьрарнан гирами Чадур гъабхури гъахьну. Думу Чадур Мусайи, Аллагьди чаз улупу чешнейиинди гъапӏну. 
ACT.7.45	Ихь абйири Гъисайин хиликкди чпин абйирилан гъурубкьу гьадму чадур гъабхури гъахьну. Дурари, Аллагьди улихьди жара халкьар ултӏуркку жил гъибисну. Гьамци Давудрин йигъар улукьайиз гъабхьнийи. 
ACT.7.46	Давуд Аллагьдиз ккунир гъахьну. Думу, Якьубдин Аллагьдиз хал дивбан бадали, ккарагну.
ACT.7.47	Хъа Агъайиз хал Сулейманди дивру. 
ACT.7.48	Анжагъ Варитӏанзаанур хилариинди диву дараматариъ яшамиш шлур дар, фицики, пайгъамбри дупнайиганси:
ACT.7.49	«Аьршар Йиз тахт вуйиз,
ACT.7.49	хъа жил – Йиз ликарин кӏан.
ACT.7.49	Фициб хал Узуз дивуз шулчвухьан? –
ACT.7.49	кӏура Агъайи, –
ACT.7.49	Ясана Йиз эргвал йивру йишв наан а?
ACT.7.50	Му вари Узу яратмиш гъапӏуб даринхъа?»
ACT.7.51	Эй, Аллагьдиз юкӏвар бахш апӏуз ва Дугъахъ хъпехъуз даккни фурсачйир! Учву гьарган Гирами Рюгьназ къаршу удучӏвурачва, учву ичв абйирсдар вучва. 
ACT.7.52	Ичв абйири пайгъамбрарикан фуж утӏурккундар? Дурари Гьякьлур гъюваликан улихьмиди хабар гъапӏу пайгъамбрарра гъийихну, гьамус гьадму Гьякьлур учву масу тувну гъакӏунчва! 
ACT.7.53	Аллагьдин малайикари учвуз туву Къанундиз мютӏюгъ гъахьундарчва.
ACT.7.54	Му гафарихъ хъпехъурайи жугьдарин гьякимдрари хъюлу ургури, силбари жакьракьар апӏурайи. 
ACT.7.55	Гирами Рюгьнахъди ацӏнайи Стефан завузди лигуру, ва дугъаз Аллагьдин гьяйбатна Дугъан арччулну хилихъ дийигънайи Иса рякъюру. 
ACT.7.56	Дугъу кӏуру:
ACT.7.56	– Магьа, узуз атӏарццнайи аьршарна Аллагьдин арччул терефнаъ Инсаниятдин Бай рякъюразуз.
ACT.7.57	Гьякимдрари чӏигъар апӏури, чпин ибариъ тӏубар урччву. Хъасин дугъ’ин алархьу. 
ACT.7.58	Дурари, Стефан шагьрин гъирагъдихъна духну, дугъ’ин гъван уьлюбхюз хъюгъру. Кучӏлин шагьидари Саул кӏуру сар жигьилихь чпин палтар уьрхюз гъитнийи. 
ACT.7.59	Дурари Стефандиин гъван уьлюбхнайиган, Стефанди ккарагури гъапи:
ACT.7.59	– Я Агъа Иса! Йиз рюгь кьабул апӏин!
ACT.7.60	Хъасин кьамкьариина ис духьну, зарбди чӏигъ апӏуру:
ACT.7.60	– Я Агъа! Дурарин гьаму гунгьилан хил алдабгъ!
ACT.7.60	Гьамци дупну, дугъан нефес улдубтӏуру.
ACT.8.1	Стефан йикӏбиин Саул рази гъахьнийи. Гьадму йигъан Ерусалимдиъ айи хъугънайидарихъ зурбади хъергбар ккергънийи ва дурар, вакилар ктарди, вари Ягьудия ва Самария уьлкйир вуйиси гъарагънийи.
ACT.8.2	Стефандиз вафалу вуйидари, дугъ’ин ишлар дапӏну, думу накьвдик кивнийи.
ACT.8.3	Хъа Саули, хъугънайидар терг апӏуз ккунди, гьардин хулариъ учӏври, жилар, хпар дисури, дустагъдиъ итуйи.
ACT.8.4	Чпин йишвариан утӏурккну, гьар йишвариъ гъадаргъу хъугънайидари Ужувлан хабар рабгъуйи. 
ACT.8.5	Гьаци, Филип Самария кӏуру шагьриз гъюру ва Месигьдикан аьгъювалар улупуру. 
ACT.8.6	Дугъан гафар деерхьну, дугъу гъапӏу аьламатар дяркъну, халкьди сабхилди Филипди гъапиб аннамиш апӏуз хъюгъру. 
ACT.8.7	Гьаз гъапиш, дугъу гизафдариан чӏигъар апӏурайи жинар адаъну ва аьхючӏвеъ паралич кайидар, ликудар сагъ гъапӏну. 
ACT.8.8	Ва гьадму шагьриъ зурба шадвал абхънийи.
ACT.8.9	Самарияйиъ улихьдира сюгьюрчивалар апӏру ва мид’инди вари мюгьтал апӏру сар Симон кӏуру кас айи. Дугъу учв зурба касси улупуйи. 
ACT.8.10	Дугъахъ хъпехъу варидари кӏури шуйи:
ACT.8.10	– Му касдиъ «Зурба Кьувват» кӏуру аллагьдин кьудрат а. 
ACT.8.11	Дугъу хайлин вахтна инсанар чан сюгьриинди гьяйран апӏруган, дугъахъ хъугъри шуйи. 
ACT.8.12	Хъа халкьар Аллагьдин Паччагьлугъдикан ва Месигь Исайикан аьгъювалар улупурайи Филипдихъ хъпехъуз хъюгъиган, жилар ва хпар штуан шулу. 
ACT.8.13	Гьадму Симонра хъугънийи ва, штуан духьну, гьарган Филипдихъди шули гъахьну. Дугъу улупурайи аьламатар ва аьжайиб лишнар рякъюри, думу учвра гьяйран шуйи.
ACT.8.14	Самарияйин агьалйири Аллагьдин Гаф кьабул гъапӏну, кӏури гъеебхьу Ерусалимдиъ айи вакилари, дурарихьна Петрна Югьан гьаъру. 
ACT.8.15	Дурар, дина дуфну, тазади хъугънайидари Гирами Рюгь кьабул апӏри пну, ккарагуру. 
ACT.8.16	Фицики дурар Агъа Исайин ччвурнахъди штуан духьнашра, Гирами Рюгь дурарикан сарира кьабул дапӏнадайи.
ACT.8.17	Гьадмуган Петрина Югьанди дурариин хилар иливуру ва Гирами Рюгь кьабул апӏуру. 
ACT.8.18	Вакилари хилар иливиган, дурари Гирами Рюгь кьабул гъапӏуб дябкъну, Симонди вакилариз пул теклиф апӏури, 
ACT.8.19	кӏуру:
ACT.8.19	– Узу шлиин хил иливишра, дугъу Гирами Рюгь кьабул апӏруси, узузра гьациб гьюкум чавайчва.
ACT.8.20	Петри дугъаз кӏуру:
ACT.8.20	– Яв пул кӏулик кубкӏрияв, гьаз гъапиш уву Аллагьдин багъиш пулихъ гъадабгъуз ният гъапӏунва. 
ACT.8.21	Ич ляхнарин иштиракчи хьуз лайикь дарва, фицики яв юкӏв Аллагьдин улихь дугъри дар. 
ACT.8.22	Гьаддиз яв чӏуру ният гардандиъ бис, дидлан хил алдабгъбан бадали Аллагьдиз ккараг, белки, Дугъу увлан хил алдабгъур. 
ACT.8.23	Гьаз гъапиш рякъюразузки, яв жан кьутӏкьли бахилвалихьди абцӏна ва уву гьякьсузвали йисир дапӏнаву.
ACT.8.24	Гьадмуган Симонди жаваб туву:
ACT.8.24	– Учву гъапибдикан фукӏара уз’ин улулубкьбан бадали, Агъайиз ккарагай.
ACT.8.25	Петрна Югьан, Исайикан шагьидвал дапӏну ва Агъайин гаф аьгъювалиинди улупну, Ерусалимдиз хътакуру. Гъюру рякъюъди дурари Самария уьлкейин гъуларикан гизафдариъ Исайикан Ужувлан хабар рабгъуру.
ACT.8.26	Агъайин малайикди Филипдиз кӏуру:
ACT.8.26	– Гьязур духьну, кьиблайихъинди, Ерусалимдиан Газа кӏурушваз ичӏи чюлиантина гъябгъюрайи рякъюхъна гъарах.
ACT.8.27+ACT.8.28	Филип, гьязур духьну, гъягъюру. Дугъаз рякъюъ Эфиопияйин, Кандакия ччвур али паччагь дишагьлийин девлет уьбхру, бегларикан вуйи эфиоп хасижви алахъуру. Думу Ерусалимдиз икрам апӏуз душну хътакурайир вуйи. Дугъу, фургъниъ деъну, Ишая пайгъамбрин китаб урхурайи. 
ACT.8.29	Гьадмуган Гирами Рюгьну Филипдиз кӏуру:
ACT.8.29	– Фургънихьна душну, гьаддихъди гъуз.
ACT.8.30	Дидихьна гъушиган, Филипди, дугъу Ишая пайгъамбрин китаб урхури деебхьну, гьерхру:
ACT.8.30	– Урхурайибдин гъаври ахърана?
ACT.8.31	– Узу фици гъаври ахъзахъа? Узу шликӏа гъаври тӏаърайинхъа? – жаваб тувру дугъу ва Филипдиз фургъниз чан гъвалахъна теклиф апӏуру.
ACT.8.32	Дугъу Гирами китабариан гьамцдар гафар урхурайи:
ACT.8.32	– Думу убккуз гъабхурайи марччси вуйи
ACT.8.32	ва ултӏубкъурайи марччлихънин улихь
ACT.8.32	сессуз агълижиси
ACT.8.32	Дугъу Чан ушв абццундайи.
ACT.8.33	Думу инсан вуди гьисаб апӏурдайи.
ACT.8.33	Думу гьякь вуйи диван апӏбахьан
ACT.8.33	мягьрум апӏури гъахьну.
ACT.8.33	Фуж Дугъан заманайиндарин ниятарин гъаври ахъди?
ACT.8.33	Фицики дюн’яйиин Дугъан уьмур кьатӏ гъапӏну.
ACT.8.34	Хасижвуву Филипдихьан гьерхру:
ACT.8.34	– Узу увкан пуб ккун апӏураза: мушваъ пайгъамбри шликан кӏура – чакан, даршиш жарарикан?
ACT.8.35	Гьадмуган Филипди, мушваъ Исайикан кӏура, дупну, Гирами китабдин гьадму йишвлан ккебгъну, Ужувлан хабар ктибтуз хъюгъру.
ACT.8.36	Рякъ давам апӏури, дурар штухъна гъюру ва хасижвуву Филипдихьан гьерхру:
ACT.8.36	– Магьа шидра: узуз штуан хьуз фти машат апӏидихъа? [
ACT.8.37	]
ACT.8.38	Дугъу фургъун дебккуз буйругъ тувру, кьюридра штуъ учӏвру ва Филипди думу штуан апӏуру.
ACT.8.39	Хъа штуан удучӏвган, Агъайин Рюгьну Филип гьадагъуру, хасижвуваз думу сарун гъяркъюндайи ва дугъу шадди рякъ давам апӏуру. 
ACT.8.40	Филип, кӏуруш, Аштод шагьриъ ади шулу. Дугъу, шагьриан шагьриз гъягъюри, Къайсарияйиз гъяйизкьан, Ужувлан хабар рабгъури гъахьну.
ACT.9.1	Му арайиъ Саул, Агъайин ученикариз гучӏар ккаъри, дурар йихуз ккунди хъергнайи. Думу жугьдарин маллйирин аьхюрихьна гъягъюру. 
ACT.9.2	Дугъхьан Саули Дамаскдиъ айи жугьдарин мистариз вуйи кагъаз бисуру. Диди душваъ, жилар вушра, хпар вушра, Исайин терефкрар алахьиган, дурар дидисну, йитӏну, Ерусалимдиз хуз ихтияр тувуйи. 
ACT.9.3	Думу Дамаскдиз багахь шулайиган, сабпну завариан аквну ккаъру. 
ACT.9.4	Думу жил’ина алдакуру ва чаз кӏурайи сес ебхьуру:
ACT.9.4	– Саул, Саул! Уву Узухъ гьаз хъергнава?
ACT.9.5	Дугъу: «Агъа, Уву фуж вува?» – пну гьерхиган, Агъайи жаваб тувру:
ACT.9.5	– Узу уву хъергнайи Иса вуза. 
ACT.9.6	Гъудужвну, шагьриз гъарах ва уву душваъ, фу дапӏну ккундуш, пидивуз.
ACT.9.7	Дугъахъ хъайи адмийирин мюгьталвалиан чӏал гъибиснийи, фицики дурариз, сес ебхьурашра, фужкӏа рякъюрадайи. 
ACT.9.8	Жилилан за гъахьи Саулиз, улар арцциган, фукӏара рябкъюри гъабхьундар. Думу дугъахъ хъайидари, хилхъан дидисну, Дамаскдиз хъади гъюру. 
ACT.9.9	Думу шубуд йигъан дярякъри, дирипӏри ва дурубхъри гъахьнийи.
ACT.9.10	Дамаскдиъ Ананай кӏуру Исайин ученик айи. Агъайи дугъаз аьжайиб рякъбиинди гъапнийи:
ACT.9.10	– Я Ананай!
ACT.9.10	Дугъу:
ACT.9.10	– Гьай Агъа! – пну, жаваб тувру.
ACT.9.11	Агъайи дугъаз кӏуру:
ACT.9.11	– Гъудужвну, «Диш кюче» кӏуру кючейиз гъарах ва Ягьудайин хулаъ Тарсдиан вуйи Саул кӏуру кас гьерх, думу гьамусяаьт ккарагура.
ACT.9.12	Дугъаз аьжайиб рякъбиинди, дугъан улар сагъ апӏуз дуфну, дугъ’ин хил иливури Ананай кӏуру кас рякъюру.
