GEN.1.1	Mu ntangiriro Imana yaremye ijuru n'isi. 
ISA.6.11	“Ibyo bizageza ryari se Nyagasani?”
ISA.6.11	Aransubiza ati:
ISA.6.11	“Bizageza igihe imijyi izaba yashenywe,
ISA.6.11	nta baturage bakiyirangwamo,
ISA.6.11	amazu yarabaye amatongo,
ISA.6.11	igihugu cyarahindutse ibigunda.”
ISA.6.12	Koko rero, Uhoraho azimurira abaturage kure,
ISA.6.12	igihugu kizahinduka ibigunda.
ISA.6.13	N'iyo mu gihugu hasigara kimwe cya cumi,
ISA.6.13	icyo na cyo kizarimbuka.
ISA.6.13	Nk'uko ibiti binini bitemwe bisiga ibishyitsi bigashibuka,
ISA.6.13	ni ko abantu banjye bazasigara mu gihugu.
ISA.7.1	Ku ngoma ya Ahazi umwami w'u Buyuda, akaba mwene Yotamu n'umwuzukuru wa Uziya, Resini umwami wa Siriya na Peka mwene Remaliya akaba n'umwami wa Isiraheli, bashatse gutera Yeruzalemu nyamara ntibabishobora. 
ISA.7.2	Babwira abo mu nzu ya Dawidi bati: “Abanyasiriya bifatanyije n'Abisiraheli.” Nuko Ahazi n'ingabo ze bagira ubwoba, bahinda umushyitsi bamera nk'ibiti bihungabanywa n'umuyaga.
ISA.7.3	Nuko Uhoraho abwira Ezayi ati: “Jyana n'umuhungu wawe Sheyari-Yashubu,
ISA.7.4	Umubwire uti: ‘Humura! Ntugire ubwoba kandi ntukuke umutima, kubera uburakari bwa Resini umwami wa Siriya n'ubwa mwene Remaliya, bombi ni nk'udufumba tubiri ducumbeka. 
ISA.7.5	Nzi ko Abanyasiriya, na Peka n'Abisiraheli bafite umugambi wo kugutera.’ 
ISA.7.6	Baravuga bati: ‘Nimuze dutere u Buyuda, tubatere ubwoba maze tubigarurire, twimike mwene Tabēli ababere umwami.’ ” 
ISA.7.7	Nyamara Nyagasani Uhoraho aravuze ati:
ISA.7.7	“Ibyo ntibizashoboka, ntibiteze kubaho.
ISA.7.8	Damasi ni umurwa wa Siriya,
ISA.7.8	Resini ni we mutware w'i Damasi,
ISA.7.8	nyamara mu myaka itarenga mirongo itandatu n'itanu Abisiraheli bazatatana,
ISA.7.8	ntibazongera kwitwa igihugu.
ISA.7.9	Samariya ni umurwa wa Isiraheli,
ISA.7.9	mwene Remaliya ni we mutware wa Samariya.
ISA.7.9	Nimutizera Uhoraho ntimuzakomera.”
ISA.7.10	Uhoraho yongera kubwira Ahazi ati: 
ISA.7.11	“Saba Uhoraho Imana yawe ikimenyetso, cyaba icyo hasi ikuzimu, cyangwa icyo hejuru mu ijuru.”
ISA.7.12	Ahazi arasubiza ati: “Oya nta cyo nzasaba, sinshaka kugeregeza Uhoraho.”
ISA.7.13	Nuko Ezayi aramubwira ati: “Tega amatwi, muryango wa Dawidi. Mbese kugerageza abantu byaba bitabahagije mukaba mushaka no kugerageza Imana yanjye? 
ISA.7.14	Noneho rero Uhoraho ubwe azabaha ikimenyetso: dore umukobwa azasama inda, azabyara umwana w'umuhungu, azitwa Emanweli, risobanurwa ngo: ‘Imana iri kumwe natwe’. 
ISA.7.15	Uwo mwana azatungwa n'amata n'ubuki, kugeza igihe azamenya kwanga ikibi no guhitamo icyiza. 
ISA.7.16	Mbere y'uko uwo mwana amenya kwanga ikibi no guhitamo icyiza, ibihugu bya ba bami bombi baguteraga ubwoba, bizahinduka amatongo. 
ISA.7.17	Naho wowe n'umuryango wawe na bene wanyu, Uhoraho azabateza iminsi mibi itigeze ibaho, kuva igihe Isiraheli yitandukanyije n'u Buyuda.” Azabateza umwami wa Ashūru.
ISA.7.18	Icyo gihe Uhoraho azahamagara Abanyamisiri,
ISA.7.18	bazaza bameze nk'isazi zo ku ruzi rwa Nili,
ISA.7.18	azahamagara n'Abanyashūru baze bameze nk'inzuki.
ISA.7.19	Abo Banyamisiri n'Abanyashūru bazaza,
ISA.7.19	bazaza bameze nk'isazi n'inzuki zirunze mu mikokwe ihanamye,
ISA.7.19	bazatururira mu masenga yo mu bitare,
ISA.7.19	bazatururira n'ahari uduhuru n'inzuri hose.
ISA.7.20	Icyo gihe Uhoraho azabogosha umusatsi,
ISA.7.20	azabogosha ubwoya bwo ku maguru n'ubwanwa
ISA.7.20	azabogoshesha urwembe akodesheje hakurya y'uruzi rwa Efurati.
ISA.7.20	Urwo rwembe ni umwami wa Ashūru.
ISA.7.21	Icyo gihe buri muntu azorora inka imwe n'ihene ebyiri.
ISA.7.22	Nyamara ayo matungo azakamwa amata menshi,
ISA.7.22	abantu bazarya amavuta,
ISA.7.22	abazasigara mu gihugu bazarya amavuta n'ubuki.
ISA.7.23	Icyo gihe kandi umurima urimo imizabibu igihumbi,
ISA.7.23	umurima wagurwa ibikoroto igihumbi by'ifeza,
ISA.7.23	uzameramo amahwa n'imifatangwe.
ISA.7.24	Uzagerwamo gusa n'abahigi bitwaje imiheto n'imyambi,
ISA.7.24	igihugu cyose kizameramo amahwa n'imifatangwe.
ISA.7.25	Ntibazagaruka guhinga ku misozi,
ISA.7.25	bazatinya amahwa n'imifatangwe,
ISA.7.25	iyo misozi izahinduka urwuri rw'inka n'intama.
ISA.8.1	Uhoraho arambwira ati: “Fata ikibaho ucyandikeho aya magambo ‘Kuri Nyaga-Vuba-Sahura-Bwangu.’ ” 
ISA.8.2	Nuko mbyereka abagabo babiri b'inyangamugayo, ari bo umutambyi Uriya, na Zakariya mwene Yeberekiya. 
ISA.8.3	Hanyuma umugore wanjye w'umuhanuzikazi asama inda maze abyara umwana w'umuhungu. Uhoraho arambwira ati: “Mwite Nyaga-Vuba-Sahura-Bwangu. 
ISA.8.4	Koko rero, mbere y'uko umwana amenya kuvuga ati: ‘Data’ cyangwa ‘Mama’, umwami wa Ashūru azatwara ubutunzi bw'i Damasi n'iminyago y'i Samariya.”
ISA.8.5	Uhoraho arongera arambwira ati:
ISA.8.6	“Aba bantu
ISA.8.6	bagira ubwoba
ISA.8.7	Bityo ngiye kubamanuriraho imivumba myinshi,
ISA.8.7	imivumba ikaze y'uruzi rwa Efurati,
ISA.8.7	uruzi ruzava mu ndiri yarwo rurenge inkombe.
ISA.8.7	Ni umwami wa Ashūru n'ingabo ze zose.
ISA.8.8	Ruzasandara rube umwuzure ukwire mu Buyuda,
ISA.8.8	inkombe zarwo zizāguka zigere kure,
ISA.8.8	ruzakwira mu gihugu cyawe, wowe Emanweli
ISA.8.9	Mwa mahanga mwe, nimushoze intambara mutsindwe,
ISA.8.9	mwe mahanga yose ari kure nimwumve.
ISA.8.9	Nimutegure intambara muzatsindwa,
ISA.8.9	nimuyitegure muzatsindwa.
ISA.8.10	Nimucure inama izaba impfabusa,
ISA.8.10	nimucure imigambi, nyamara ntizashyika.
ISA.8.10	Koko rero Imana iri kumwe natwe
ISA.8.11	Uhoraho yanyihanangirije akomeje ko ntakwiye gukurikiza imyifatire y'ubu bwoko agira ati:
ISA.8.12	“Ntimugafate nk'ubugambanyi ibyo aba bantu bita ubugambanyi.
ISA.8.12	Ntimugatinye ibyo batinya, ntimugahagarike umutima.
ISA.8.13	Nimwubahe Uhoraho Nyiringabo,
ISA.8.13	ni we mukwiye guha icyubahiro no gutinya.
ISA.8.14	Uhoraho azabera Ingoro abamwubaha,
ISA.8.14	nyamara ab'inzu zombi za Isiraheli azababera nk'ibuye risitaza,
ISA.8.14	azababera nk'urutare rubagusha,
ISA.8.14	abantu b'i Yeruzalemu azababera nk'urushundura cyangwa umutego.
ISA.8.15	Benshi muri bo bazasitara kuri urwo rutare,
ISA.8.15	bazitura hasi bajanjagurike,
ISA.8.15	bazagwa mu mutego bawuheremo.”
ISA.8.16	Uhoraho arambwira ati: “Ukomeze ubwo buhamya n'izo nyigisho mu bigishwa banjye.” 
ISA.8.17	Nuko rero, ntegereje Uhoraho ukomeje kwima amaso urubyaro rwa Yakobo. Icyakora ni we nkomeje kwiringira. 
ISA.8.18	Dore ndi hano hamwe n'abana Uhoraho yampaye, turi ibimenyetso n'ibitangaza bigaragara muri Isiraheli, dutumwe n'Uhoraho Nyiringabo uganje ku musozi wa Siyoni.
ISA.8.19	Abantu bazababwira kugisha inama abapfumu n'abashitsi, banwigira kandi bakongorera. Barabaza bati: “Mbese ntibikwiye ko abantu biyambaza imana zabo, bakagisha inama abapfuye bagirira abazima?” 
ISA.8.20	Muzabasubize muti: “Nimugarukire amabwiriza y'Uhoraho n'inyigisho ze. Utazabikurikiza ntazongera kubona umuseke weya.”
ISA.8.21	Abo bantu bazabuyera mu gihugu,
ISA.8.21	bazabuyera barushye kandi bashonje.
ISA.8.21	Inzara izabanangura,
ISA.8.21	bityo bazavuma umwami wabo n'Imana yabo.
ISA.8.21	Bazararama barebe ku ijuru,
ISA.8.22	bazahindukira barebe ku isi.
ISA.8.22	Bazahabona amakuba n'umwijima,
ISA.8.22	bazahabona umwijima w'icuraburindi,
ISA.8.22	bazajugunywa mu mwijima uteye ubwoba.
ISA.8.23	Nyamara nta mwijima ukirangwa muri ibyo bihugu byarimo akaga.
ISA.8.23	Mu gihe cya kera, intara ya Zabuloni n'iya Nafutali zateshejwe agaciro,
ISA.8.23	mu gihe kizaza zizaheshwa icyubahiro.
ISA.8.23	Ahagana ku nyanja no hakurya ya Yorodani,
ISA.8.23	aho ni ho Galileya ituwe n'abanyamahanga.
ISA.9.1	Abantu bāri mu mwijima bigunze, babonye umucyo mwinshi.
ISA.9.1	Abāri mu gihugu cyugarijwe n'urupfu, urumuri rwarabamurikiye.
ISA.9.2	Uhoraho warabagwije ubongerera umunezero,
ISA.9.2	bishimiye imbere yawe nk'abamaze gusarura byinshi,
ISA.9.2	barishimye nk'abagabana iminyago.
ISA.9.3	Koko rero, umuzigo bamuhekeshaga,
ISA.9.3	inkoni bamuhozaga ku mugongo,
ISA.9.3	ikiboko cy'abamukandamizaga,
ISA.9.3	byose warabimenaguye,
ISA.9.3	wabigenje nk'uko wagenje Abamidiyani cya gihe
ISA.9.4	Inkweto zose z'abasirikari zateraga ubwoba,
ISA.9.4	igishura cyose cyazirinzwe mu maraso,
ISA.9.4	ibyo byose bizatwikwa bikongoke.
ISA.9.5	Koko rero umwana yatuvukiye,
ISA.9.5	twahawe umwana w'umuhungu.
ISA.9.5	Azaba umutegetsi wacu,
ISA.9.5	azitwa Umujyanama utangaje.
ISA.9.5	Azitwa Imana Nyirububasha,
ISA.9.5	azitwa Data igihe cyose,
ISA.9.5	azitwa Umwami w'amahoro.
ISA.9.6	Azāgura ubutegetsi bwe n'amahoro iteka ryose,
ISA.9.6	azicara ku ntebe ya Dawidi yime ingoma ye.
ISA.9.6	Azashingira ububasha bwe ku butabera n'ubutungane,
ISA.9.6	azabushyigikira guhera ubu kuzageza iteka ryose,
ISA.9.6	Uhoraho Nyiringabo azabisohozanya umwete.
ISA.9.7	Nyagasani aciriye urubanza Yakobo,
ISA.9.7	aciriye urubanza Abisiraheli.
ISA.9.8	Rubanda rwose ruzamenya iyo nkuru,
ISA.9.8	Abisiraheli n'abatuye Samariya bose bazayimenya,
ISA.9.8	abo bantu bavugana agasuzuguro n'ubwirasi bati:
ISA.9.9	“Inkuta z'amatafari zarasenyutse,
ISA.9.9	nyamara tuzazubaka n'amabuye abaje.
ISA.9.9	Ibiti byavagamo za mwikorezi byaratemwe,
ISA.9.9	nyamara tuzabisimbuza iby'amasederi.”
ISA.9.10	Uhoraho azatiza umurindi umwanzi wabo Resini,
ISA.9.10	azabahagurukiriza abanzi babo.
ISA.9.11	Abanyasiriya bazabaturuka imbere,
ISA.9.11	Abafilisiti babaturuke inyuma.
ISA.9.11	Abo bose barakariye Isiraheli bikabije,
ISA.9.11	nyamara uburakari bw'Uhoraho ntibwacubye, aracyabarwanya.
ISA.9.12	Abisiraheli ntibagarukiye Uwabahannye,
ISA.9.12	ntibagarukiye Uhoraho Nyiringabo.
ISA.9.13	Uhoraho azatsemba Isiraheli mu gihe gito,
ISA.9.13	azayitsemba ahereye ku mutwe kugera ku murizo.
ISA.9.14	Abayobozi n'abanyacyubahiro ni bo mutwe,
ISA.9.14	abahanurabinyoma ni bo murizo.
ISA.9.15	Abayobozi b'aba bantu barabayobya,
ISA.9.15	abayoborwa na bo barayobye.
ISA.9.16	Bityo Uhoraho ntazishimira abasore babo,
ISA.9.16	ntazagirira impuhwe impfubyi n'abapfakazi,
ISA.9.16	bose ni abahemu n'abagome,
ISA.9.16	ibyo bavuga byose ni bibi.
ISA.9.16	Nyamara uburakari bw'Uhoraho ntibwacubye, aracyabarwanya.
ISA.9.17	Koko ubugome butwika nk'umuriro,
ISA.9.17	bugurumana nk'igihuru cy'amahwa,
ISA.9.17	bugurumana nk'umuriro uri mu ishyamba,
ISA.9.17	umwotsi ugatumbagira mu kirere.
ISA.9.18	Uburakari bw'Uhoraho Nyiringabo buracyariho,
ISA.9.18	igihugu kibaye umuyonga,
ISA.9.18	ubwoko bwe bubaye nk'inkwi zijugunywe mu muriro,
ISA.9.18	nta muntu ushobora kurwana kuri mugenzi we.
ISA.9.19	Hirya no hino barasahuranwa nyamara ntibanyurwa,
ISA.9.19	bararya nyamara ntibahaga,
ISA.9.19	buri muntu arashiha mugenzi we.
ISA.9.20	Abamanase barashiha Abefurayimu,
ISA.9.20	Abefurayimu na bo barashiha Abamanase,
ISA.9.20	abo bombi bararwanya Abayuda.
ISA.9.20	Nyamara uburakari bw'Uhoraho ntibwacubye, aracyabarwanya.
ISA.10.1	Bazabona ishyano abashyiraho amategeko arenganya,
ISA.10.1	bazabona ishyano abashyiraho amateka akandamiza abandi.
ISA.10.2	Bazabona ishyano abahohotera abatishoboye,
ISA.10.2	bazabona ishyano abima abakene uburenganzira bwabo,
ISA.10.2	bazabona ishyano abarya imitsi abapfakazi n'imfubyi.
ISA.10.3	Muzabigenza mute umunsi Uhoraho azabahana?
ISA.10.3	Muzabigenza mute amakuba nabageraho aturutse kure?
ISA.10.3	Muzahungira kwa nde kugira ngo abatabare?
ISA.10.3	Ubukungu bwanyu muzabuhungishiriza he?
ISA.10.4	Muzaba mushigaje gusa kugirwa imfungwa,
ISA.10.4	muzaba mushigaje kwicwa mukavaho.
ISA.10.4	Nyamara uburakari bw'Uhoraho ntibwacubye, aracyabarwanya.
ISA.10.5	Uhoraho aravuga ati: “Abanyashūru bazabona ishyano
ISA.10.5	bazabona ishyano kuko bemeye kuba ibikoresho by'uburakari bwanjye,
ISA.10.5	ni bo batwaye inkoni y'umujinya wanjye.
ISA.10.6	Nabohereje guhana igihugu cyacumuye,
ISA.10.6	nabategetse guhana abantu bandakaje,
ISA.10.6	nabatumye kubasahura no kubatwara ho iminyago,
ISA.10.6	nabohereje kubaribatira mu mayira nk'uribata icyondo.
ISA.10.7	Nyamara Abanyashūru bo si ko babibona,
ISA.10.7	bo bifitiye undi mugambi,
ISA.10.7	umugambi wo kurimbura amahanga menshi.”
ISA.10.8	Umwami wa Ashūru aravuga ati:
ISA.10.8	“Mbese, abagaba b'ingabo zanjye bose si abami?
ISA.10.9	Mbese sinatsinze umujyi wa Kalino n'uwa Karikemishi?
ISA.10.9	Natsinze umujyi wa Hamati n'uwa Arupadi,
ISA.10.9	natsinze umujyi wa Samariya n'uwa Damasi.
ISA.10.10	Natsembye ibihugu byasengaga ibigirwamana,
ISA.10.10	ibigirwamana byarutaga ubwinshi iby'i Yeruzalemu n'i Samariya.
ISA.10.11	Ibyo nakoreye Samariya n'imana zayo,
ISA.10.11	ni byo nzakorera Yeruzalemu n'ibigirwamana byayo.
ISA.10.11	Erega nshoboye kubikora!”
ISA.10.12	Nyamara Nyagasani aravuga ati: “Nimara gusohoza ibikorwa byanjye byose ku musozi wa Siyoni n'i Yeruzalemu, nzahana umwami wa Ashūru urangwa n'ubwirasi akaba n'umunyagasuzuguro.” 
ISA.10.13	Koko rero uwo mwami arirata ati:
ISA.10.13	“Ibyo nakoze mbikesha imbaraga zanjye,
ISA.10.13	ubwenge bwanjye butuma nsobanukirwa.
ISA.10.13	Imipaka y'ibihugu nayivanyeho,
ISA.10.13	umutungo wabyo narawusahuye,
ISA.10.13	nabaye intwari nkura abami ku ntebe zabo.
ISA.10.14	Nk'uko umuntu yārurira inyoni,
ISA.10.14	ni ko nafashe imitungo y'ibihugu,
ISA.10.14	nk'uko umuntu atoragura amagi inyoni yataye,
ISA.10.14	ni ko nigaruriye ibihugu byose.
ISA.10.14	Nta muntu n'umwe washoboye gukopfora,
ISA.10.14	nta n'uwigeze abumbura umunwa ngo atabaze.”
ISA.10.15	Mbese ishoka ishobora kwirata ku uyitemesha?
ISA.10.15	Ese urukero rushobora kwishongora ku urukeresha?
ISA.10.15	Ni nk'aho ikiboko cyakwigarura kigakubita ukibanguye,
ISA.10.15	ni nk'aho inkoni umuntu abanguye yamuhindukirana.
ISA.10.16	Nyagasani Uhoraho Nyiringabo azateza indwara abarwanyi,
ISA.10.16	ikuzo ryabo rizashiraho nk'iritwitswe n'umuriro.
ISA.10.17	Uhoraho umucyo wa Isiraheli, azahinduka umuriro,
ISA.10.17	Umuziranenge wa Isiraheli azaba ikirimi cy'umuriro,
ISA.10.17	azakongora amahwa n'imifatangwe mu kanya gato.
ISA.10.18	Amashyamba n'imirima itagira uko isa,
ISA.10.18	Uhoraho azabitsemba bibe akari aha kajya he,
ISA.10.18	bizamera nk'umuntu wazahajwe n'indwara.
ISA.10.19	Mu mashyamba ya Ashūru hazasigara ibiti mbarwa,
ISA.10.19	ibiti umwana muto azashobora kubara.
ISA.10.20	Icyo gihe itsinda ry'abasigaye muri Isiraheli, abakomoka kuri Yakobo bacitse ku icumu, ntibazongera kwishingikiriza ku babarwanyaga. Ahubwo bazishingikiriza by'ukuri ku Uhoraho, ari we Muziranenge wa Isiraheli. 
ISA.10.21	Itsinda ry'abasigaye rizagaruka, koko abasigaye bo mu rubyaro rwa Yakobo, bazagarukira Imana Nyirububasha. 
ISA.10.22	Isiraheli we, nubwo abaturage bawe ari benshi nk'umusenyi wo ku nyanja, abake bazasigara ni bo bazagarukira Uhoraho. Nyamara hazabaho kurimbuka hakurikijwe ubutabera. 
ISA.10.23	Koko rero, Nyagasani Uhoraho Nyiringabo azasohoza irimbuka ryemejwe ku isi yose.
ISA.10.24	Nyagasani Uhoraho Nyiringabo aravuga ati: “Bwoko bwanjye butuye i Siyoni, ntimugatinye Abanyashūru babakubitisha inkoni, bakabakubita ibibōko nk'uko Abanyamisiri babagenje. 
ISA.10.25	Koko mu minsi mike cyane, uburakari mbafitiye buzashira, umujinya wanjye nywerekeze ku Banyashūru.” 
ISA.10.26	Uhoraho Nyiringabo azabangura ikibōko cye akubite Abanyashūru, nk'uko yakubise Abamidiyani ku rutare rwa Orebu
ISA.10.27	Icyo gihe nzagukura mu buja bw'Abanyashūru,
ISA.10.27	nzabugukuramo nk'uko umuzigo uvanwa ku ntugu,
ISA.10.27	bityo uzabaho mu mudendezo.
ISA.10.28	Abanzi bageze Ayi
ISA.10.28	i Mikimasi bahasize ibikoresho byabo.
ISA.10.29	Banyuze mu nzira y'impatanwa, bashinga ibirindiro i Geba,
ISA.10.29	abatuye i Rama barahinda umushyitsi,
ISA.10.29	ab'i Gibeya iwabo wa Sawuli bahunze.
ISA.10.30	Bantu b'i Galimu nimuboroge,
ISA.10.30	ab'i Layisha, nimutege amatwi,
ISA.10.30	aba Anatoti muragowe.
ISA.10.31	Abantu b'i Madimena barahunze,
ISA.10.31	ab'i Gebimu na bo barihishe.
ISA.10.32	Uyu munsi umwanzi ashinze ibirindiro i Nobu,
ISA.10.32	abanguye ukuboko akangaranya ab'i Siyoni,
ISA.10.32	akangaranyije ab'i Yeruzalemu.
ISA.10.33	Nyagasani Uhoraho Nyiringabo azabakonyagura nk'amashami y'ibiti,
ISA.10.33	abanyagasuzuguro n'abishyira hejuru azabacisha bugufi.
ISA.10.34	Uhoraho azabārarika nk'ibiti bitemwe n'intorezo,
ISA.10.34	azabamarira hasi nk'amasederi yo muri Libani.
ISA.11.1	Umwami azaba nk'umushibu ushibutse ku gishyitsi cya Yese
ISA.11.1	azaba nk'ishami rirumbutse ryameze ku mizi yacyo.
ISA.11.2	Mwuka w'Uhoraho azahorana n'uwo mwami,
ISA.11.2	ni Mwuka utanga ubwenge n'ubushishozi,
ISA.11.2	ni Mwuka utanga inama n'ubutwari,
ISA.11.2	ni Mwuka utuma bamenya Uhoraho bakamwubaha.
ISA.11.3	Mwuka azatoza uwo mwami kubaha Uhoraho,
ISA.11.3	uwo mwami ntazaca urubanza ashingiye ku gihagararo,
ISA.11.3	ntazaruca ashingiye ku mabwire.
ISA.11.4	Abatishoboye azabacira imanza zitabera,
ISA.11.4	abakene bo mu gihugu azabarenganura,
ISA.11.4	azavuga ijambo abatuye igihugu bahanwe,
ISA.11.4	abagizi ba nabi azabicisha umwuka wo mu kanwa ke.
ISA.11.5	Abantu be azabayoborana ubutungane,
ISA.11.5	azabayoborana ubudakemwa.
ISA.11.6	Isega izaturana n'umwana w'intama,
ISA.11.6	ingwe izabyagira hamwe n'umwana w'ihene,
ISA.11.6	inyana n'icyana cy'intare bizarisha hamwe,
ISA.11.6	umwana muto azabiragira.
ISA.11.7	Inka n'ikirura bizarisha hamwe,
ISA.11.7	inyana n'ibyana by'intare bizabyagira hamwe,
ISA.11.7	intare izarisha ubwatsi nk'ikimasa.
ISA.11.8	Umwana uri ku ibere azakinira ku mwobo w'impiri,
ISA.11.8	umwana w'incuke azashyira akaboko mu mwobo w'incira.
ISA.11.9	Ubugizi bwa nabi cyangwa ubwangizi ntibizarangwa ku musozi w'Uhoraho,
ISA.11.9	koko isi izuzuzwa kumenya ikuzo ry'Uhoraho,
ISA.11.9	izaryuzuzwa nk'uko inyanja zisendera amazi.
ISA.11.10	Ukomoka kuri Yese azaba nk'ibendera ry'ibihugu,
ISA.11.10	amahanga azamuyoboka,
ISA.11.10	aho azatura hazahabwa ikuzo.
ISA.11.11	Icyo gihe Nyagasani azongera akoreshe ububasha bwe,
ISA.11.11	azagarura itsinda ry'abo mu bwoko bwe basigaye,
ISA.11.11	abazaba basigaye muri Ashūru no mu Misiri n'i Patirosi n'i Kushi,
ISA.11.11	abazaba basigaye muri Elamu no muri Babiloniya,
ISA.11.11	i Hamati no mu turere twegereye inyanja.
ISA.11.12	Azazamura ibendera riburira amahanga,
ISA.11.12	azayagaragariza ko agiye gukoranya abajyanywe ho iminyago ba Isiraheli,
ISA.11.12	azakoranya Abayuda abakuye mu mpande enye z'isi.
ISA.11.13	Ishyari ry'Abisiraheli rizashira,
ISA.11.13	abanzi b'u Buyuda ntibazongera kubutera,
ISA.11.13	Abisiraheli ntibazongera kugirira ishyari Abayuda,
ISA.11.13	Abayuda na bo ntibazongera gutera Abisiraheli.
ISA.11.14	Abayuda n'Abisiraheli bazifatanya batere u Bufilisiti,
ISA.11.14	bazifatanya batware abantu b'iburasirazuba ho iminyago,
ISA.11.14	bazatsinda Abedomu n'Abamowabu,
ISA.11.14	Abamoni na bo bazabayoboka.
ISA.11.15	Uhoraho azakamya Inyanja itukura,
ISA.11.15	azakamya uruzi rwa Efurati akoresheje inkubi y'umuyaga,
ISA.11.15	bityo azarugabanyamo utugezi turindwi twambukwa n'amaguru.
ISA.11.16	Hazaba inzira y'itsinda ry'abasigaye mu bwoko bwe,
ISA.11.16	abazaba basigaye muri Ashūru.
ISA.11.16	Ni na ko byagenze ku Bisiraheli ubwo bavaga mu Misiri.
ISA.12.1	Icyo gihe uzavuga uti:
ISA.12.1	“Uhoraho ndagushimiye,
ISA.12.1	ndagushimiye nubwo wari warandakariye,
ISA.12.1	uburakari bwawe bwarashize urampumuriza.
ISA.12.2	Imana ni yo gakiza kanjye,
ISA.12.2	ndayiringiye sinkigira ubwoba,
ISA.12.2	Uhoraho ni we mbaraga zanjye ndamusingiza,
ISA.12.2	koko ni we wankijije.”
ISA.12.3	Muzavoma amazi munezerewe,
ISA.12.3	muzayavoma ku masōko y'agakiza.
ISA.12.4	Icyo gihe muzavuga muti:
ISA.12.4	“Nimushimire Uhoraho mwambaze izina rye,
ISA.12.4	nimwamamaze mu mahanga yose ibyo yakoze,
ISA.12.4	nimwamamaze hose izina rye ritangaje.
ISA.12.5	Nimuririmbire Uhoraho kuko yakoze ibitangaje,
ISA.12.5	nimubimenyekanishe ku isi hose.”
ISA.12.6	Abatuye Siyoni nimurangurure amajwi,
ISA.12.6	nimuririmbe munezerewe,
ISA.12.6	koko ukora ibikomeye muri mwe,
ISA.12.6	uwo ni we Mana Nziranenge ya Isiraheli.
ISA.13.1	Ubu ni ubutumwa bwahawe Ezayi mwene Amotsi bwagenewe Babiloni.
ISA.13.2	Uhoraho aravuze ati:
ISA.13.2	“Ku musozi w'ibiharabuge nimuhashinge ibendera,
ISA.13.2	nimurangurure ijwi muhamagare ingabo,
ISA.13.2	nimuzihamagare zinjire mu ngo z'abanyacyubahiro.
ISA.13.3	Nategetse abanyiyeguriye,
ISA.13.3	nahamagaye ingabo zanjye z'intwari,
ISA.13.3	nahamagaye abishimira ugutsinda kwanjye,
ISA.13.3	ni bo bazasohoza umugambi w'uburakari bwanjye.”
ISA.13.4	Nimwumve urusaku ku misozi,
ISA.13.4	ni urusaku rumeze nk'urw'abantu benshi,
ISA.13.4	nimwumve umworomo w'ibihugu,
ISA.13.4	ni umworomo umeze nk'uw'amahanga yishyize hamwe.
ISA.13.4	Uhoraho Nyiringabo arategura ingabo zigiye ku rugamba.
ISA.13.5	Zivuye iyo gihera mu bihugu bya kure,
ISA.13.5	Uhoraho yitwaje intwaro z'uburakari bwe,
ISA.13.5	aje gutsemba igihugu cyose.
ISA.13.6	Nimucure umuborogo kuko umunsi w'Uhoraho wegereje,
ISA.13.6	uzaza umeze nka kirimbuzi uturutse kuri Nyiringabo.
ISA.13.7	Ni yo mpamvu amaboko yose azatentebuka,
ISA.13.7	abantu bose bazacika intege.
ISA.13.8	Dore bazakangarana,
ISA.13.8	bazagira umubabaro n'uburibwe,
ISA.13.8	bazamera nk'umugore ufite ibise,
ISA.13.8	bazarebana bumirwe, bakorwe n'isoni.
ISA.13.9	Dore umunsi w'Uhoraho uraje,
ISA.13.9	ni umunsi uteye ubwoba wuzuye uburakari n'umujinya,
ISA.13.9	igihugu kizarimburwa, abanyabyaha bagituyemo bazatsembwa.
ISA.13.10	Inyenyeri zo ku ijuru ntizizamurika,
ISA.13.10	izuba rizazima rikirasa,
ISA.13.10	ukwezi na ko ntikuzongera kumurika.
ISA.13.11	Uhoraho aravuze ati:
ISA.13.11	“Nzahana isi kubera ubugizi bwa nabi buyirangwamo,
ISA.13.11	nzahana abagome kubera ibicumuro byabo,
ISA.13.11	nzatsemba abanyagasuzuguro bishyira hejuru,
ISA.13.11	nzacisha bugufi abirasi.
ISA.13.12	Nzatubya abantu babe ingume kurusha izahabu inoze,
ISA.13.12	bazaba ingume kurusha izahabu ivuye muri Ofiri.”
ISA.13.13	Koko rero ijuru rizahubangana, isi ihinde umushyitsi,
ISA.13.13	uzaba ari umunsi w'uburakari bukaze bw'Uhoraho Nyiringabo.
ISA.13.14	Bazamera nk'isha ikurikiwe n'umuhigi,
ISA.13.14	bazaba nk'intama zitagira umushumba,
ISA.13.14	buri muntu azasubira iwabo,
ISA.13.14	buri wese azahungira mu gihugu cye.
ISA.13.15	Abo bazabona bose bazabicisha imyambi,
ISA.13.15	abo bazafata bose bazabicisha inkota.
ISA.13.16	Ibibondo byabo bizicirwa mu maso yabo,
ISA.13.16	amazu yabo azasahurwa,
ISA.13.16	abagore babo bazafatwa ku ngufu.
ISA.13.17	Uhoraho aravuga ati:
ISA.13.17	“Ngiye kubateza Abamedi,
ISA.13.17	abantu batitaye ku ifeza n'izahabu.
ISA.13.18	Bazicisha imyambi abasore b'i Babiloni,
ISA.13.18	ntibazababarira abana,
ISA.13.18	ntibazagirira impuhwe impinja.”
