GEN.1.1	Dəkəcop, kɔ Kanu kəwurɛ kɔm k'antɔf. 
JOS.22.1	Kɔ Yosuwe ewe aRuben, aKadu, kɔ aka kusuŋka dacɔ ka Manase. 
JOS.22.2	K’oloku ŋa: «Nəyɔ tɔkɔ Musa wəcar ka Kanu Kəpɔŋ ɛnalok' un mɔ fəp, kɔ nəŋcəŋkəl sɔ dim dem, tɔkɔ ilok' un mɔ. 
JOS.22.3	Nəsumpər awɛŋc un aŋa kəyɛfɛ ntɛ tɛnayi mɔ haŋ ndɛkəl, kɔ nəleləs sɔ dim ndɛ Kanu Kəpɔŋ Kanu konu kənalok' un mɔ. 
JOS.22.4	Ndɛkəl oŋ ntɛ Kanu Kəpɔŋ kəsɔŋ awɛŋc un aŋa pəforu mɔ pəmɔ tɔkɔ ɛnaloku ŋa ti mɔ, nəlɛk oŋ səpɔ sa cəbal conu nde ntɔf yɔkɔ yɔyɔnɛ yonu mɔ, nyɛ Musa wəcar ka Kanu Kəpɔŋ ɛnasɔŋ un nde Yurdɛn kəsək ntende dec dɛmpɛ mɔ. 
JOS.22.5	Ta nəgbaymɛ mɛtəksɛ kɔ sariyɛ yɔkɔ Musa wəcar ka Kanu Kəpɔŋ ɛnalok' un mɔ: Nəbɔtər Kanu Kəpɔŋ Kanu konu, nəsolnɛ səpɔ sɔn fəp, nəcəmɛ dim dɔn darəŋ, nəlɔtərnɛ kɔ, nəbəcɛ kɔ bəkəc yosoku pɛs doru o doru.»
JOS.22.6	Kɔ Yosuwe ontola Kanu te taŋan, k'oloku ŋa nwɛ o nwɛ a pəkɔ nde abal ŋɔn, kɔ ŋaŋkɔkɔs-kɔs nde cəbal cəŋan. 
JOS.22.7	Musa ɛnasɔŋ kusuŋka dacɔ ka Manase kəfo kəlɔma Basan, kɔ Yosuwe nkɔn ɔsɔŋ kusuŋka dacɔ kəŋkɔ kəfo kəlɔma awɛŋc aŋa kəsək nde Yurdɛn ntende dec dɛŋkalɛ mɔ. Ntɛ Yosuwe oloku ŋa kəkɔ ka nde cəbal cəŋan mɔ, k'ontolanɛ ŋa, 
JOS.22.8	k'oloku ŋa: «Nəlukus nde cəbal conu kɔ daka dɔpɔŋ, kɔ yɔcɔl yɛlarəm, kɔ pəsam, kɛma, kɔpər, fɛc kɔ yamos yɛlarəm. Nəyerɛnɛ kɔ awɛŋc un aŋɛ yɔsɔtɔ ya aterɛnɛ anu.
JOS.22.9	Kɔ kusuŋka ka aka Ruben, aka Kadu, kɔ aka kusuŋka dacɔ ka Manase ŋalukus, kɔ ŋasak aka Yisrayel nde Silo antɔf ŋa Kanahan, kɔ ŋaŋkɔ nde antɔf ŋa Kaladu, antɔf ŋa kɛ nŋɛ ŋanasɔtɔ mɔ Kanu Kəpɔŋ kənasom Musa kədesɔŋ ŋa ŋi. 
JOS.22.10	Ntɛ ŋambɛrɛ sədare nsɛ səyi Yurdɛn nde antɔf ŋa Kanahan mɔ, kɔ aRuben, aKadu kɔ aka kusuŋka dacɔ ka Manase ŋaŋcəmbər aŋgbip kəŋgbɔkɔ kəsək, aŋgbip ŋɔpɔŋ, ŋɔtɔt teyi. 
JOS.22.11	Kɔ aka Yisrayel ŋane pac-loku: «Nəgbətnɛ ntɛ aRuben, aKadu kɔ aka kusuŋka dacɔ ka Manase ŋalompəs aŋgbip ŋɛtɛfərnɛ antɔf ŋa Kanahan mɔ, nde Yurdɛn kəsək kəca ka aka Yisrayel.»
JOS.22.12	Ntɛ ŋane ti mɔ, kɔ aka Yisrayel fəp ŋaloŋkanɛ Silo kəkɔ-sutɛnɛ kɔ ŋa. 
JOS.22.13	Kɔ aka Yisrayel ŋasom Pinahas wan ka wəloŋnɛ Elasar nda aka Ruben, aka Kadu, kɔ afum a kusuŋka dacɔ ka Manase nde antɔf ŋa Kaladu, 
JOS.22.14	kɔ ŋaŋkɔ kɔ akiriŋ wəcɔ akin akin aka cusuŋka cacɔkɔ dəcor dəcor. Fəp faŋan akiriŋ a dəcusuŋka ŋɔ ŋanayɔnɛ afum alarəm aka Yisrayel akakɔ dacɔ. 
JOS.22.15	Kɔ afum aŋɛ ŋaŋkɔ nde aRuben, aKadu, kɔ aka kusuŋka dacɔ ka Manase nde antɔf ŋa Kaladu, kɔ ŋaŋkɔ ŋaloku ŋa: 
JOS.22.16	«Ntɛ tɔ kəloŋkanɛ ka afum a Kanu Kəpɔŋ fəp ŋaloku: Ake dɛtaŋi ləŋəs dɔ nəyɔ Kanu ka aka Yisrayel tantɛ-ɛ? Nəŋyeŋk kəlukus dim da Kanu Kəpɔŋ darəŋ, nəŋcəmbər aŋgbip ntɛ tɔŋsɔŋɛ nəyeŋkər Kanu Kəpɔŋ domp mɔkɔ mɔ! 
JOS.22.17	Kiciya nkɛ sənayɔ nde Peyɔr mɔ kənayɔnɛ mes mɛlɛc. Haŋ mɔkɔ antasɔkəsnɛ fɛ. Kiciya kosu kənasɔŋɛ kəloŋkanɛ ka afum ɔn arom ŋɛlɛc. 
JOS.22.18	Kɔ nəna nəŋyeŋk mɔkɔ kəlukus dim da Kanu Kəpɔŋ darəŋ! Kɔ nəyeŋkər mɔkɔ Kanu Kəpɔŋ domp-ɛ, alna aka Yisrayel fəp ŋɔ endewurər mɛtɛlɛ mamɔkɔ. 
JOS.22.19	Kɔ nəŋcɛm-cɛmnɛ a antɔf ŋonu ŋɔsɔk fɛ-ɛ, nəcepər oŋ antɔf nŋɛ ŋɔyɔnɛ ŋa Kanu Kəpɔŋ mɔ, nde Kanu Kəpɔŋ kəyi mɔ, tɛm tatɔkɔ nəndɛ su dacɔ, mba ta nəyeŋkər Kanu Kəpɔŋ domp, ta nəyeŋkər su səbomp kəcərɛ fɔ nəcəmbər aŋgbip ŋɔlɔma nŋɛ ŋɔntɔyɔnɛ ŋa Kanu Kəpɔŋ Kanu kosu mɔ. 
JOS.22.20	Ntɛ Akaŋ wan ka Sera ɛnalukus kəcəmɛ Kanu darəŋ teta ca cəkɔ Kanu Kəpɔŋ kənamɔnɛ kəlɛk mɔ, aka Yisrayel fəp ŋɔ Kanu Kəpɔŋ kənawurər mɛtɛlɛ mɔn. Nəŋcərɛ ti bel-bel a bafɔ Akaŋ sona ɛnafinɛ kiciya kaŋkɔ.»
JOS.22.21	Kɔ afum a Ruben, Kadu, kɔ aka kusuŋka dacɔ ka Manase ŋaloku abɛ akiriŋ aka cor ca Yisrayel: 
JOS.22.22	«Kanu ka canu, Kanu Kəpɔŋ! Kanu ka canu, Kanu Kəpɔŋ, Ki kəŋcərɛ ti! Aka Yisrayel ŋandecərɛ ti! Kɔ pəyɔnɛ fɔ kətɔ-cəŋkəl kɔ kəyeŋkər domp kɔ-ɛ, ta pədeyac su dɔsɔk dadɔkɔ! 
JOS.22.23	Kɔ pəyɔnɛ fɔ səŋcəmbər aŋgbip ŋosu kədegbɛkəl Kanu Kəpɔŋ səde səc-loŋnɛ di yoloŋnɛ yɔcɔf-ɛ, kɔ pəyɔnɛ fɛ ti yoloŋnɛ ya mɛgbɛn, kɔ pəyɔnɛ fɔ səlompəs aŋgbip ŋaŋɛ səde səc-loŋnɛ di yoloŋnɛ ya pəforu Kanu Kəpɔŋ-ɛ, awa, Kanu Kəpɔŋ kəndegbɛkərɛ ti! 
JOS.22.24	Bafɔ itɔ teyi! Səlompəs aŋgbip ŋaŋɛ bawo sənesɛ ta alna awut anu ŋade ŋac-yif akosu fɔ: ‹Ak' eyi nu dacɔ kɔ Kanu Kəpɔŋ, Kanu ka Yisrayel-ɛ? 
JOS.22.25	Kanu Kəpɔŋ kəmboc kələŋcər Yurdɛn nəna kɔ səna dacɔ, aRuben, kɔ aKadu, ali tes teyi f' on sɔ dacɔ kɔ Kanu Kəpɔŋ!› Teta awut anu tendesɔŋɛ ta awut asu ŋaŋnesɛ sɔ Kanu Kəpɔŋ-ɛ. 
JOS.22.26	Itɔ səŋcɛm-cɛmnɛ fɔ: Səmarɛnɛ səcəmbər aŋgbip, bafɔ səde səc-loŋnɛ di de, 
JOS.22.27	mba ŋeyi su dacɔ kɔ nəna pəmɔ sede. Ŋeyi sɔ awut asu dacɔ kɔ awut anu ŋac-loŋnɛ yoloŋnɛ ya yɔcɔf kɔ yoloŋnɛ ya pəforu Kanu Kəpɔŋ fɔr yɔn kiriŋ, ntɛ tɔŋsɔŋɛ ta ŋade ŋac-loku dɔsɔk dɔlɔma a tɔlɔm o tɔlɔm teyi fɛ awut asu dacɔ kɔ Kanu Kəpɔŋ! 
JOS.22.28	Kɔ səloku: ‹Kɔ ŋande ŋaloku su tantɛ, kɔ pəyɔ fɛ ti ŋaloku awut asu ti-ɛ, moloku mamɛ mɔ səndeluksɛ ŋa: «Nəgbətnɛ teyi ta aŋgbip ŋa Kanu Kəpɔŋ nŋɛ atem asu ŋanacəmbər mɔ, bafɔ teta yoloŋnɛ yɔcɔf kɔ yoloŋnɛ yɔlɔma tɔ anacəmbərɛ ŋi de, mba ŋɔyɔnɛ sede su dacɔ kɔ nəna ŋɛc-cɛm-cɛməs su.»› 
JOS.22.29	Səmbɔlɛnɛ kəyeŋkər Kanu Kəpɔŋ domp, kɔ kəyi ta səŋcəmɛ ki darəŋ mɔkɔ-ɛ, kəcəmbər kosu aŋgbip ŋa kəloŋnɛ yoloŋnɛ yɔcɔf, yoloŋnɛ ya mɛgbɛn, kɔ yoloŋnɛ ya pəforu, səfɔloŋnɛ kəfo kəcuru Kanu Kəpɔŋ Kanu kosu, ta pəyɔnɛ fɔ nde aŋgbaŋcan ŋa Kanu Kəpɔŋ-ɛ!»
JOS.22.30	Ntɛ wəloŋnɛ Pinahas, kɔ abɛ akiriŋ a kəloŋkanɛ kɔ abeki a cor ca Yisrayel aŋɛ ŋanayi di ŋane moloku mamɔkɔ afum a Ruben, Kadu, kɔ kusuŋka dacɔ ka Manase ŋanaloku mɔ, kɔ moloku mamɔkɔ mɔmbɔt ŋa. 
JOS.22.31	Kɔ Pinahas wan ka wəloŋnɛ Elasar oloku afum a Ruben, Kadu, kɔ afum a Manase: «Səŋcərɛ mɔkɔ a Kanu Kəpɔŋ kəyi su dacɔ, bawo nəntalukus fɛ kəcəmɛ Kanu Kəpɔŋ darəŋ, kɔ nəyac sɔ aka Yisrayel ta Kanu Kəpɔŋ kəboc ŋa kiti.»
JOS.22.32	Kɔ Pinahas wan ka wəloŋnɛ Elasar kɔ akiriŋ a cor cəŋan ŋalukus kəyɛfɛ ndena afum a Ruben kɔ Kadu nde atɔf ŋa Kaladu kəkɔ nde antɔf ŋa Kanahan ndena aka Yisrayel aŋɛ ŋanakɔ ŋaluksɛ moloku mɔkɔ ŋanasɔtər ŋa mɔ. 
JOS.22.33	Kɔ moloku mamɔkɔ mɔmbɔt aka Yisrayel, kɔ ŋaŋkor-koru Kanu Kəpɔŋ. Ŋaloku fɛ sɔ kəkɔ-mələk antɔf nŋɛ afum a Ruben kɔ afum a Kadu ŋanandɛ mɔ. 
JOS.22.34	Afum a Ruben kɔ afum a Kadu ŋasɔŋ aŋgbip ŋaŋɔkɔ tewe, ŋac-kulɛ fɔ: «Tɔyɔnɛ su tɛnɛpəlɛ a Kanu Kəpɔŋ kəyɔnɛ Kanu.»
JOS.23.1	Tɛm tobolu-bolu tɛnacepər kəyɛfɛ ka ntɛ Kanu Kəpɔŋ kənasɔŋ aka Yisrayel kəŋesəm mɔ, kəbɛr ŋa aterɛnɛ aŋan acəsək fəp dəwaca. Yosuwe ɛnasikər oŋ tɛm tatɔkɔ. 
JOS.23.2	Kɔ Yosuwe ewe aka Yisrayel fəp kəyɛfɛ abeki, abɛ afɛt dəcor dəcor, aboc kiti, kəbəp ka abɛ akiriŋ aŋan, k'oloku ŋa: «Iyɔnɛ oŋ wətem. 
JOS.23.3	Kɔ nənəŋk tɔkɔ Kanu Kəpɔŋ Kanu konu kənayɔ afum aka tɔf nyɛ fəp mɔ te tonu, bawo Kanu Kəpɔŋ kəsutnɛn' on. 
JOS.23.4	Nənəŋk ntɛ iŋkot yampuŋ-puŋ a k' iyer un tɔf ya kɛ konu dəcusuŋka dəcusuŋka mɔ, tɔf nyɛ yɛŋcəmɛ kəbaŋ Yurdɛn ntende dec dɛŋkalɛ mɔ, kɔ tɔf nyɛ inim haŋ nde Kəba Kəpɔŋ mɔ. 
JOS.23.5	Kanu Kəpɔŋ kəndewɛnəs afum aka tɔf yayɔkɔ, kɔ nənde nəc-lɔtəs yi-ɛ, nəndendɛ ntɔf yayɔkɔ pəmɔ tɔkɔ nkɔn Kanu Kəpɔŋ Kanu konu kənasɔŋ un temer ta ti mɔ. 
JOS.23.6	Nəwurɛ fənɔntər, nəsumpər nəleləs moloku mmɛ acicəs buk ba sariyɛ sa Musa mɔ, ta nəgbaymɛ kəca kəmeriya, ta nəgbaymɛ kəca kətɔt, 
JOS.23.7	ta nədenɔŋkəlɛnɛ afum a tɔf akakɔ ŋayi nu dacɔ mɔ! Ta nəboŋc canu cəŋan, ta nəkornɛ ci kədɛrəm. Ta nəkor-koru ci, ta nətontnɛ ci fɔr kiriŋ! 
JOS.23.8	Mba nəsumpər Kanu Kəpɔŋ Kanu konu pəmɔ tɔkɔ nənalɛk ti kəyɔ haŋ mɔkɔ mɔ. 
JOS.23.9	Kanu Kəpɔŋ kəmbaŋər tɔf yɔpɔŋ aka fənɔntər, ali fum ɛntatam fɛ haŋ mɔkɔ kəcəmɛ konu fɔr kiriŋ. 
JOS.23.10	Nəna fum wəkin gboŋ ɛŋc-bɛləs aterɛnɛ anu pɛcəp pin, bawo Kanu Kəpɔŋ Kanu konu kəŋc-sutnɛn' on, pəmɔ tɔkɔ kənalok' un mɔ. 
JOS.23.11	Nəkɛmbərnɛ nəbɔtər Kanu Kəpɔŋ Kanu konu! 
JOS.23.12	Kɔ nəlukus Kanu Kəpɔŋ darəŋ-ɛ, kɔ nəcəmɛ afum acuru aŋɛ ŋayi nu dacɔ mɔ darəŋ-ɛ, kɔ nənɛŋcɛnɛ-ɛ, kɔ nənɔŋkəlɛnɛ-ɛ, 
JOS.23.13	nəcərɛ a Kanu Kəpɔŋ Kanu konu kəfɔdecəmɛ sɔ kəbaŋsər ŋa afum akakɔ tɔf yaŋan fɔr yonu kiriŋ, mba afum akakɔ ŋandeyɔn' on mowul, mɛnəmp, yala, cəŋgban-gban ca cəsək conu, kɔ gbɛc dəfɔr yonu, haŋ nəlip kəməlkɛ atɔf ŋobotu ŋaŋɛ Kanu Kəpɔŋ Kanu konu kəsɔŋ' un mɔ.
JOS.23.14	«Awa, nəcəŋkəl im! Mɔkɔ tɛm tɛmbəp kəkɔ ka nde ca ca doru fəp yendekɔ mɔ. Nəcərɛ ti bəkəc yonu yosoku pɛs, a moloku mobotu mmɛ Kanu Kəpɔŋ Kanu konu kənalok' un mɔ, ali tin teyi fɛ ntɛ ɔntɔyɔn' on mɔ, ali tin teyi fɛ ntɛ ɔntɔlas mɔ. 
JOS.23.15	Kanu Kəpɔŋ kəlas kəyɔnɛ ka pətɔt pɔkɔ ɛnaloku kəyɔn' on mɔ, mba ɛntam sɔ kəlas ka pəlɛc pɔkɔ eyi kənɛps' on mɔ, pəmələk un antɔf ŋobotu ŋaŋɛ ɔsɔŋ' un mɔ. 
JOS.23.16	Kɔ nəsak mɛtəŋnɛ mosu mmɛ Kanu Kəpɔŋ kəndəŋk' on mɔ-ɛ, kɔ nəŋkɔ nəc-loŋnɛ canu cəlɔma-ɛ, kɔ nəŋkɔ nəc-tontnɛ canu cəlɔma fɔr kiriŋ-ɛ, abəkəc ŋa Kanu Kəpɔŋ ŋɛmpɛ nnɔ nəyi mɔ. Tɛm tatɔkɔ nəŋməlkɛ antɔf ŋobotu ŋaŋɛ Kanu Kəpɔŋ kəsɔŋ' un mɔ, nəlip.
JOS.24.1	Kɔ Yosuwe oloŋka cusuŋka ca Yisrayel fəp Sɛkɛm. K'ewenɛnɛ sɔ abeki a Yisrayel, abɛ aŋan, aboc aŋan kiti, kɔ akiriŋ aŋan, kɔ ŋamentərnɛ nnɔ Kanu Kəpɔŋ kəyi mɔ. 
JOS.24.2	Kɔ Yosuwe oloku afum fəp: «Ntɛ tɔ Kanu Kəpɔŋ Kanu ka Yisrayel kəloku: ‹Tɛm tobol-bolu atem anu, Terah papa wəka Abraham kɔ papa wəka Nahor nde kəŋgbɔkɔ ka Efərat ntende dec dɛmpɛ mɔ kɔ ŋanandɛ, ŋac-kornɛ canu cəlɔma. 
JOS.24.3	K'ilɛk wətem konu Abraham dəndo kəŋgbɔkɔ ntende dec dɛmpɛ mɔ, k'iŋkɔtɛnɛ kɔ antɔf ŋa Kanahan fəp. K'isɔŋɛ afum ɔn kəla, k'isɔŋ kɔ Siyaka. 
JOS.24.4	K'isɔŋ Siyaka awut: Yakuba kɔ Esay. K'isɔŋ Esay Tɔrɔ ta Seyir ntɛ tɔyɔnɛ antɔf ŋɔn, kɔ Yakuba kɔ awut ɔn ŋa ŋantor Misira. 
JOS.24.5	K'isom Musa kɔ Aruna kədemar afum anu. K'isut Misira fɔr yonu kiriŋ a k'indewurɛnɛ afum anu di. 
JOS.24.6	Ntɛ iwurɛ awisi aŋa Misira, kɔ nəmbəp dəkəba mɔ. Kɔ aka Misira ŋaŋcəmɛ ŋa darəŋ kəbɛləs haŋ nde Kəba ka Cəŋkɔlma, ŋac-bɛləs ŋa dəfəlɛs kəroŋ kɔ cibil ca kəwan. 
JOS.24.7	Ntɛ awisi aŋa ŋawes-wes kəmar ka Kanu Kəpɔŋ mɔ, kɔ kəntorɛ kubump kəpɔŋ aka Misira kɔ nəna dacɔ. Kɔ Kanu kəŋgbətəs ŋa dəkəba. Nənatəŋnɛ mes mmɛ inayɔ Misira mɔ fɔr yonu kiriŋ. Kɔ nəwon kəndɛ dətɛgbɛrɛ meren mɛlarəm. 
JOS.24.8	Tɛm tatɔkɔ t'inakekər' on antɔf ŋa aka Amɔr aŋɛ ŋanandɛ Yurdɛn kəsək ntende dec dɛmpɛ mɔ. Kɔ nəsutɛnɛ kɔ ŋa, mba k'ilɛk aka Amɔr k'imbɛr'un ŋa dəwaca. Kɔ nəmbaŋər ŋa antɔf ŋaŋan, k'imələk ŋa fɔr yonu kiriŋ. 
JOS.24.9	Kɔ Balak wan wəka Sipɔr wəbɛ wəka Mohab ɛwɛkərnɛ aka Yisrayel. K'osom Balam wan wəka Beyɔr a pətolan' on pəlɛc, 
JOS.24.10	mba k'ifati kəcəŋkəl kɔ. Pətɔt gbəcərəm pɔ Balam oŋc-tolan' on, k'iyac nu fənɔntər fɔn. 
JOS.24.11	Kɔ nəŋcali kəŋgbɔkɔ ka Yurdɛn, kɔ nənder Yeriko. Kɔ aka Yeriko kəlɛkɛnɛ aka Amɔr, aPerisi, aKanahan, aHit, aKirkasa, aHiwy, kɔ aYebus ŋasutɛnɛ kɔ nəna, k'ilɛk ŋa k'imbɛr' un dəwaca. 
JOS.24.12	K'isom deme ndɛ dɛnayi nu kiriŋ kɔ dɛmbɛləs abɛ a Amɔr mɛrəŋ mɔ. In' ɛnasɔŋ on kətam ŋa. Bafɔ sakma sonu, bafɔ mbəŋcəran yonu yɔ nənatamɛ aterɛnɛ anu de! 
JOS.24.13	In' ɔsɔŋ un antɔf nŋɛ nəntɔbəc haŋ nətaka mɔ, kɔ nəndɛ sədare nsɛ nəntɔcəmbərɛ waca wonu mɔ. Kɔ nəndi yeri ya sədalɛ nsɛ nəntɔbifti mɔ, nəc-di yokom ya tɔk nyɛ nəntɔbɔf mɔ.›
JOS.24.14	Ndɛkəl oŋ nənesɛ Kanu Kəpɔŋ, nəkornɛ Kanu kɔ bəkəc yosoku pɛs! Nəcəmɛ kɔ darəŋ tɛm fəp. Nəce canu ncɛ atem anu ŋaŋc-kornɛ nde kəŋgbɔkɔ ka Efərat ntende dec dɛmpɛ kɔ nde Misira mɔ. Nəkornɛ oŋ Kanu Kəpɔŋ! 
JOS.24.15	Kɔ nəntɔwosɛ oŋ kəkornɛ Kanu Kəpɔŋ-ɛ, nəboŋc mɔkɔ anɔ nənde nəc-kornɛ-ɛ, kɔ pəyɔnɛ canu ncɛ atem anu ŋaŋc-kornɛ ntende Efərat kəca ka ntende dec dɛmpɛ mɔ, kɔ pəyɔnɛ fɛ ti-ɛ, canu ca aka Amɔr aŋɛ nəyi kəndɛ antɔf ŋaŋan mɔ. Mba ina kɔ aka kəlɔ kem disrɛ Kanu Kəpɔŋ kɔ sənde səc-kornɛ!»
JOS.24.16	Kɔ afum ŋaluksɛ kɔ: «Səmbɔlɛnɛ kəsak Kanu Kəpɔŋ a səc-kornɛ canu cəlɔma! Səfɔtam kəyɔ tatɔkɔ! 
JOS.24.17	Kanu Kəpɔŋ kənawurɛ atem asu kɔ səna dacar dəndo antɔf ŋa Misira, Kənayɔ mɛgbɛkərɛ mɔpɔŋ nde fɔr yosu kiriŋ. Kəc-bum su dɔpɔ kəc-mar su kəcepər tɔf ya afum alarəm. 
JOS.24.18	Kanu Kəpɔŋ kənabɛləs afum aka tɔf yayɔkɔ fəp, kəlɛkɛnɛ aka Amɔr aŋɛ ŋanandɛ di mɔ. Səna sɔ səndekornɛ Kanu Kəpɔŋ, bawo Kanu kosu k' ɔyɔnɛ!»
JOS.24.19	Kɔ Yosuwe oloku afum: «Nəfɔdetam kəc-kornɛ Kanu Kəpɔŋ, bawo kəcempi kɔ ɔyɔnɛ! Kanu kɔ nkɛ kəyɔ kəraca mɔ nkɛ kətɔŋaŋnɛnɛ kətaŋ konu ləŋəs, kɔ kiciya konu mɔ. 
JOS.24.20	Kɔ nəlukus Kanu Kəpɔŋ darəŋ-ɛ, kɔ nəkornɛ canu cəcuru-ɛ, Kanu kəndekafəlɛ kətɛfərnɛ nəna. Kəndeləsər on mes, kəndemələk nu, ali ntɛ cɔkɔ-cɔkɔ kənay' on pətɔt mɔ.»
JOS.24.21	K'afum ŋaluksɛ Yosuwe ntɛ: «Ala, səndekornɛ Kanu Kəpɔŋ!» 
JOS.24.22	Kɔ Yosuwe oloku afum: «Nəwosɛ kəyɔnɛ sede sa ntɛ nəloku mɔ ba? Antəŋnɛ oŋ a Kanu Kəpɔŋ kɔ nənde nəckornɛ!» Kɔ afum ŋaloku: «Atəŋnɛ a ti ŋɔ səyɔnɛ!» 
JOS.24.23	Kɔ Yosuwe oloku: «Awa, nəsak canu cəcuru ncɛ cəyi nu dacɔ mɔ, nəcəmɛ Kanu Kəpɔŋ Kanu ka Yisrayel darəŋ kɔ abəkəc ŋosoku pɛs!»
JOS.24.24	Kɔ afum ŋaloku Yosuwe: «Səndekornɛ Kanu Kəpɔŋ Kanu kosu, Ki kɔ səndecəŋkəl!»
JOS.24.25	Dɔsɔk dadɔkɔ dəndo Sɛkɛm kɔ Yosuwe eŋcicəs mes ma danapa ndɛ ŋasek mɔ, k'ɔlɔmər afum a Yisrayel tiŋ tiŋ tiŋ mɛfaŋ fəp kɔ sariyɛ nsɛ Kanu kənabocər kɔ mɔ. 
JOS.24.26	Kɔ Yosuwe eŋcicəs moloku mmɛ dəbuk ba sariyɛ sa Kanu. K'ɛlɛk tasar tɔpɔŋ k'ɛŋcəmbər pi kətɔk tantɔf nde aŋgbaŋcan ŋa Kanu. 
JOS.24.27	Kɔ Yosuwe oloku afum fəp: «Nəgbətnɛ pi, tasar pampɛ peyi su dacɔ, bawo pi pɛtəŋnɛ moloku mmɛ Kanu Kəpɔŋ kənaloku su mɔ fəp. Sede sɔ pɔyɔnɛ kɔ nəlukus Kanu darəŋ-ɛ. 
JOS.24.28	Ntɛ Yosuwe elip kəloku mɔ k'ɛsak afum kəkɔ, kɔ fəp fəlukus nde antɔf ŋa kɛ ŋɔn.
JOS.24.29	Ntɛ mes mamɔkɔ meŋcepər mɔ, Yosuwe wan ka Nun wəcar wəka Kanu Kəpɔŋ efi. Meren mɔn mɛnakɔ tasar tin kɔ wəcɔ (110). 
JOS.24.30	Anawup kɔ nde antɔf ŋa kɛ kɔn, nde Timnat-Sera nde mɔrɔ ma Efrayim, kəca kəmeriya ka Tɔrɔ ta Kahas. 
JOS.24.31	Aka Yisrayel ŋaŋc-kornɛ Kanu Kəpɔŋ mata ma Yosuwe fəp, haŋ kɔ abeki aŋɛ ŋanasol kɔ Yosuwe mɔ ŋalip kəfi. Abeki aŋɛ ŋanatəŋnɛ mes fəp mmɛ Kanu Kəpɔŋ kənayɔnɛ aka Yisrayel mɔ.
JOS.24.32	Bɛnt ya Isifu nyɛ aka Yisrayel ŋanakɛrɛ kəyɛfɛ Misira mɔ, anawup yi nde Sɛkɛm nde dalɛ ndɛ Yakuba ɛnawayər awut a Hamɔr papa wəka Sɛkɛm mɛŋcəmbəl ma gbeti tasar tin (100). Itɔ dalɛ dandɛ dɛnayɔnɛ kɛ ka kusuŋka ka Isifu.
JOS.24.33	Kɔ Elasar wan wəka Aruna efi, k'awup kɔ nde Kibeya nde mɔrɔ ma Efrayim, antɔf nŋɛ anasɔŋ wan kɔn Pinahas mɔ.
RUT.1.1	Tɛm ntɛ aboc kiti ŋanatɔmpər dɛbɛ da Yisrayel mɔ, kɔ dor dende deyi dɔtɔf. Kɔ fum wəka dare da Betlɛhɛm, nde atɔf ŋa Yuda, ende pəkɔ nkɔn kɔ wəran kɔn kɔ awut ɔn arkun mɛrəŋ, kəkɔ-cepərɛnɛ tɛm nde sədalɛ sa Mohabu. 
RUT.1.2	Tewe ta fum wəkakɔ tɛnayɔnɛ Elimɛlɛk, pacwe wəran kɔn Noyemi, kɔ mewe ma awut ɔn arkun akakɔ mɛrəŋ mɛnayɔnɛ Malɔŋ kɔ Kilyɔŋ. Fəp faŋan aka kor ka Ɛfərat ŋɔ ŋanayɔnɛ, dare da Betlɛhɛm nde atɔf ŋa Yuda. Kɔ ŋander sədalɛ sa Mohabu kɔ ŋandɛ di. 
RUT.1.3	Kɔ Elimɛlɛk wos ka Noyemi ende pəfi dəndo, kɔ Noyemi eyi di oŋ kɔ awut ɔn arkun mɛrəŋ. 
RUT.1.4	Kɔ awut akakɔ ŋande ŋanɛncɛ aran aMohabu. Wəran wəcɔkɔ-cɔkɔ ancwe «Ɔrpa,» kɔ wəka mɛrəŋ ancwe «Rut.» Kɔ ŋayi di meren wəco. 
RUT.1.5	Malɔŋ kɔ Kilyɔŋ ŋande ŋafi, kɔ Noyemi ende pəyi oŋ, ɔyɔ fɛ wərkun, ɔyɔ fɛ sɔ awut.
RUT.1.6	Kɔ Noyemi ɛyɛfɛ nkɔn kɔ aran a awut ɔn sədalɛ sa Mohabu, bawo analoku kɔ dəndo sədalɛ sa Mohabu, a Kanu Kəpɔŋ kəmar afum ɔn, kɔ kəmpocɛ ŋa yeri. 
RUT.1.7	Kɔ Noyemi ɛyɛfɛ dalɛ dadɔkɔ ɛnayi mɔ, kɔ aran a awut ɔn mɛrəŋ, kɔ ŋasumpər dɔpɔ kəlukus ka nde atɔf ŋa Yuda.
RUT.1.8	Kɔ Noyemi oloku aran a awut ɔn mɛrəŋ: «Awa, nəlukus nwɛ o nwɛ nde kəlɔ ka iya kɔn! Kanu Kəpɔŋ kəlas layidi dɔkɔ kənalɛkɛ nu mɔ, pəmɔ tɔkɔ kənalasɛ di akɔ ŋafi mɔ, akɔ nəna nəlasɛ di sɔ ina mɔ. 
RUT.1.9	Intolanɛ nu: Kanu Kəpɔŋ kəpocɛ nu nwɛ o nwɛ pəforu nda wərkun!» K’oncup ŋa, kɔ ŋayɛfɛ kəbok. 
RUT.1.10	Kɔ aran a awut ɔn ŋambupərɛ: «Ala! Sən’ endekɔ kɔ məna nde afum am ŋayi mɔ.» 
