GEN.1.1	Pílen-ruulendo delo, kerayalumpe Shédíbí taleng emla amongem pílen geto.
PSA.60.1	E Shédía, no ngolum mepakto, delokke ikumto.
PSA.60.1	No ngoluke teyolo marto; E ngolum supak tosing langkuka.
PSA.60.2	No asi amongem engen moto; no sim barkémoto;
PSA.60.2	supak sokke taríem ipí tolangku,
PSA.60.2	kapeila si barpan sukai.
PSA.60.3	No nokke amikídíem séngéépe adírmoto;
PSA.60.3	ngo tíngírsuna kísape gígoosuto.
PSA.60.4	Ajénglo omem sumadope, nom pesona kídíem no lunooto.
PSA.60.5	Nokke tolnamlok ngolum laasing toyika;
PSA.60.5	ngoluke kumnamem tatbika,
PSA.60.5	demílomin nokke ayanam ami kídíem mopíyéne.
PSA.60.6	Bíkke dungko lokke Shédí bí podung,
PSA.60.6	“Ngokke ikumrongem Shekhem em ipan supala,
PSA.60.6	Sukkoth yiibem ngokke ami kídíem biyé.
PSA.60.7	Gileadde ngokke, delokke Manasseh dekom ngokke;
PSA.60.7	Ephraimde ngokke lubrue, delokke Judahde ngokke roja banggéne.
PSA.60.8	Idakla Moab dem ngokke laksuk sukeng ekungpe iyé,
PSA.60.8	delokke ngo ngokke leyugem Edomlo,
PSA.60.8	ngokke yébomname emla kaadope gelíkyé.
PSA.60.8	Delo Philistia de ngom ikumla gokbatyé míídudí?”
PSA.60.9	E Shédía, yapgo monam doolung delo séko ngom gíaboyén?
PSA.60.9	Edomlo séko ngom gíboyén?
PSA.60.10	No ngolum arope lupak sutonía?
PSA.60.10	No ngoluke sipayingem gíbo mayénía?
PSA.60.11	Ngolum ayala maklínglo igultoika,
PSA.60.11	tani igulde atí are kamang.
PSA.60.12	Shédíke igullok ngolu ikumyé;
PSA.60.12	bí ngoluke miruem ikumboyé.
PSA.61.1	E Shédía ngokke kapnamem tattoka;
PSA.61.1	ngokke kumnamem tatgap bilangka!
PSA.61.2	Ngo molayimape idula, moote lokke nom gokdung.
PSA.61.3	Kapeila no ngokke tamte,
PSA.61.3	ngokke miruem edíípe tolya sunane.
PSA.61.4	Ngom nokke deena notkolo yénamem duumoi;
PSA.61.4	nokke labbíng rumkílo edíípe duumoi.
PSA.61.5	E Shédíe, no ngokke pésunamem tatto,
PSA.61.5	nokke amínem pesogena kídíke duubomsunam tarongem ngomte no bito.
PSA.61.6	Rojalokke yénamem yétee motoka,
PSA.61.6	bím duudan teteng molangka!
PSA.61.7	E Shédía, nokke keralo bí rojape duuyar langka;
PSA.61.7	nokke ooyimana ayang loklang míngkelok bím mosing langka.
PSA.61.8	Dekepe iname loodíke ngo aman bipe emla
PSA.61.8	nom pébi sunamem bidula, ngo nom agínpe miripe rínggeyé.
PSA.62.1	Shédíke itur kupenamem ngo asoope toyala dung;
PSA.62.1	ngo bíkkíng petom míítesula dung.
PSA.62.2	Bí petom ngom iturne, delokke mosine;
PSA.62.2	bímin ngokke tamte,
PSA.62.2	delokke ngom edílokom ikummayé.
PSA.62.3	Edítko etor bénsupena kísape ralmana amiem,
PSA.62.3	nolu míílola aabomyéne.
PSA.62.4	Nolu bím edíípe mííbomnam amolokke laayikupe emla míídung;
PSA.62.4	nolu menam lunamem lungampe míítídung.
PSA.62.4	Nolu teyonglok lubéé em ludung, idola noluk aange bím béédung.
PSA.62.5	Ngo Shédí petom kíng mííte sudung,
PSA.62.5	ngo bíkkíng míínam sudung.
PSA.62.6	Bí petommin ngom mopítne, bímin ngokke yapgue;
PSA.62.6	ngom edílokom ikummayé.
PSA.62.7	Ngokke turpekode, delokke ngokke amín kakode, Shédíkelo dung.
PSA.62.7	Bímin ngokke mííte sukeng edíína tamtede;
PSA.62.7	bímin ngokke duusi sukode.
PSA.62.8	Bíkkíng míída suyarlangka ami kídía;
PSA.62.8	bím noluke ankíem lukan sulangka.
PSA.62.8	Shédí bí ngoluke duusi suko notkue.
PSA.62.9	Tani takamsi ngarum atel kísanako;
PSA.62.9	bottedak amédak akampe are kamang.
PSA.62.9	Bulum bekkí langka, bulu tebegmang;
PSA.62.9	bulu ngarum atel asaremte essayadung.
PSA.62.10	Rotbín ibínnam agérem adumpe míísu mapeka.
PSA.62.10	Rulnam inamlok paape dope míímapeka;
PSA.62.10	mireme bojéyayang idokom, nokke aangem melík sumapeka.
PSA.62.11	Lennyi lengumko Shédíke sikepe ponamem ngo tatto,
PSA.62.11	ralnamde bíkke,
PSA.62.12	delokke bíkke ayangde duuyarne.
PSA.62.12	E 
PSA.63.1	E Shédía, nomin ngokke Shédíe,
PSA.63.1	nom ngo matadung,
PSA.63.1	ngokke aide nom asi tíílíng kísa mííbomdung;
PSA.63.1	ngokke aapíe asi kaimangko mooruk amolo
PSA.63.1	asi tíílíngem molayimanam kísape nom ibomdung.
PSA.63.2	Kumsukolo ngom kaamolangka;
PSA.63.2	edítko no bottedudí,
PSA.63.2	delokke angun ralnam kadudí ngom kaamoyika.
PSA.63.3	Kapeila nokke ooyimana ayangde turnam empemílo aiyadung;
PSA.63.3	ngokke nabbéle nom rínggeyé.
PSA.63.4	Ngokke turdung tetedem ngo nom yidgeyé;
PSA.63.4	ngokke alage lengondola nom kumyé.
PSA.63.5	Ngokke aide dora-tíírasula kiidaryé,
PSA.63.5	delokke ngo yidgenam ashénam miriem nom lubiyé.
PSA.63.6	Ngokke ippulo keddungem,
PSA.63.6	ngo nom míípang sudung,
PSA.63.6	yoh rubungem ngo nokke legangem míítídung,
PSA.63.7	kapeila no agínpe ngom igulnape ito.
PSA.63.7	Nokke labbíng ugyumlo ngo ashéngla miri ludung.
PSA.63.8	Ngo nokkíng gakyonsuto,
PSA.63.8	delo nokke alage ngom gomsiito.
PSA.63.9	Ngom petpe emla raltína kídíe uyu amolo gíyé.
PSA.63.10	Bulum mimaklo petyé,
PSA.63.10	delokke buluke simangem sipyange doyé.
PSA.63.11	Kapeila Shédí bí, bím ikumnamem biyé, rojade ashéngyé.
PSA.63.11	Shédíke amínlok pésuna kídíde bím koyityé,
PSA.63.11	idola mena-yadna nappang kídídem kítkemyé.
PSA.64.1	Ngo adírdung E Shédía, ngokke kumnamem tatbika!
PSA.64.1	Miru kídíem ngo pesodung, ngom mosing toyika!
PSA.64.2	Atímana mirul kídíke ngom petpe emla,
PSA.64.2	ruubo sukolokke ngom laasing toyika,
PSA.64.2	marlína mibam lokke ngom mopítoyika.
PSA.64.3	Bulu agí ayuem yoksa ratna kísape ratmodung,
PSA.64.3	delokke epuk ruunam kísape, kaníína agom pope emla ruubomdung.
PSA.64.4	Bulu annyingrunam atíem igotmape iyamdung,
PSA.64.4	bulu aina amiem mide yao kísape ipusiléédung.
PSA.64.5	Bulu mipile buluke miru agérem erbom elendung!
PSA.64.5	Bulu agotlo tobom pekuem kéndung.
PSA.64.5	“Sékote bulum kaalamang,” bulu emsudung.
PSA.64.6	Bulu runam agérem idola posudung,
PSA.64.6	“Ngolu iperunam agérko ito.”
PSA.64.6	Tanike aapí-aang aradem kaapímang.
PSA.64.7	Idakkom Shédí bí bulukíng epuk aplíkla,
PSA.64.7	bulum menang asak apké-apréyé.
PSA.64.8	Buluke dekepe agom lukolok bulum bí petpak yéku,
PSA.64.8	bulum kaana takame dumpe rekep ilíkyé.
PSA.64.9	Delo ami takame pesue iyé;
PSA.64.9	Shédíke marnam agérem bulu míítí geyéku,
PSA.64.9	delokke bíkke inam-saanamem mantí geyéku.
PSA.64.10	Deenampe yéna takame 
PSA.64.10	Bulu bíkkíng duupope duuyé;
PSA.64.10	aina ami takame bím koyityé.
PSA.65.1	E Shédíe, Jayonlo nom rínggenamde ibarusuname,
PSA.65.1	delokke ngolu nom pébi sunamem bomgapdung.
PSA.65.2	No kumnamem tatbine!
PSA.65.2	Rego mipílokke amie buluke paablok
PSA.65.3	nokkíng anggeyé.
PSA.65.3	Ngoluke imeme ngolum ikumdung,
PSA.65.3	idola no dekedem mesamdung.
PSA.65.4	Nokke ullennam, delokke nokke kebang ekumlo aabonam amide gérne!
PSA.65.4	Nokke ekumlokke aina atíem,
PSA.65.4	nokke deena Kumkeng Ekumlok ayang igulem ngolu aipe míídung.
PSA.65.5	Ngolum ikum nanem bila, no ngolum tatbidung,
PSA.65.5	delokke no ngolum laalen dokuem irisinyo atíem ibito.
PSA.65.5	Tani amolokke ami takame,
PSA.65.5	delokke sine siyéng kékonlok amie nokkíng míídasudung.
PSA.65.6	No nokke ralnamlok dííte moopangem duumotung,
PSA.65.6	agí tolnamem lengkannape duumotung.
PSA.65.7	No siyéng lokke ngomdudem,
PSA.65.7	delokke sipyarlokke adudem,
PSA.65.7	ami kídí lokke uknamem roma modungku.
PSA.65.8	Nokke bottena inam atíkídíem ami amonge pesola dung.
PSA.65.8	Nokke agér iname among kéényung konlokke ila kéényung konloope
PSA.65.8	ashéngem langa bodung.
PSA.65.9	No amongem gíkaala, pedong asiem bidung, no sim airupe jémodung;
PSA.65.9	Shédíke koronge asi mílípe idung;
PSA.65.9	No ali-ayém lenmodung.
PSA.65.9	Dem no dekerupe iruubitung.
PSA.65.10	No aal gíko aríklo pedongem omodung,
PSA.65.10	delo asiem rebomdope dakmodung,
PSA.65.10	no kédéngem tangarlok reyii modung,
PSA.65.10	delo asulem garmodung.
PSA.65.11	Nokke ainame edítko ali-ayém jémodun!
PSA.65.11	Ingkolo no gíyédí delo jédung.
PSA.65.12	Miijébem gooru sobéne bíísét bomdung;
PSA.65.12	dííte moopalo apíípe ashénge píídung;
PSA.65.13	Arígem mér sobéne bíísét bomdung;
PSA.65.13	monggu amonge aamlekpe idung.
PSA.65.13	Atí takame ashéng-angampe idola miri ludung.
PSA.66.1	Shédíkíng bojépe ashélangka ami takame!
PSA.66.2	Bíkke angun ralnam amínem miripe rínggelangka;
PSA.66.2	bím írgarupe erkílangka;
PSA.66.3	Shédíme polangka, “Edítko nokke agérde pesorunampe idune!
PSA.66.3	Nokke ralnamem míípímang,
PSA.66.3	dekepe iname nokke mirue pesuem nokke keralo ngemgípdung.
PSA.66.4	Tani among takame nom kumdung;
PSA.66.4	bulu nom miripe rínggedung,
PSA.66.4	nokke amínem miripe rínggedung.”
PSA.66.5	Shédíke inamem aala kaatola;
PSA.66.5	tani gooralo bíkke belede pesorunampe idung.
PSA.66.6	Bí siyéngem moopípe imoto;
PSA.66.6	ngoluke abu kídíe alelok korong asiem kootoku.
PSA.66.6	Depe bíkke inamem kaala, ngolu ashénge séngééto.
PSA.66.7	Bí agí tolnamlok agínpe yébomdung,
PSA.66.7	delokke opín takam teyolo amige kanggap bomdung.
PSA.66.7	Bím ipéé sukuna kape aimang.
PSA.66.8	Ngoluke Shédíme angu opín takame ríngge langka;
PSA.66.8	noluke rínggenamem tatmo langka.
PSA.66.9	Bí ngolum turdope meto,
PSA.66.9	delokke ngolum olet mokumang.
PSA.66.10	E Shédía, no ngolum ikaato;
PSA.66.10	aremem eme bangkaanam kísape no ngolum ikaato.
PSA.66.11	No ngolum língkitlo olíkmoto,
PSA.66.11	delokke ngoluke lamkulo tebegna egedem pyalíktoku.
PSA.66.12	No miru ale rumkílo ngolum meto;
PSA.66.12	ngolu eme raadang loklang puumu raadalok gítuai,
PSA.66.12	idola supak no ngolum edíngko amolo duumotoku.
PSA.66.13	Ngo nokke ekumlo rombunam ipagem bomla aayé;
PSA.66.13	nokkíng pébi sunamem ngo nom biyé.
PSA.66.14	Ngokke adírduem ngo ingkuem bipe emla míísat sutodí,
PSA.66.14	dem ngo nom biyé.
PSA.66.15	Deena runggulo mér sobénem romla bidope ngo biyé;
PSA.66.15	palíkpenam gooru sobénem ngo biyé,
PSA.66.15	delo míkkíe taleng telo pííyé.
PSA.66.16	Shédíme pesogena nolu takam tattola,
PSA.66.16	delo ngo bíkke,
PSA.66.16	ngokke legape inamem pobiyé.
PSA.66.17	Ngo bíkkíng igultoyika emla kabbisuto;
PSA.66.17	ngo bím mirilok rínggeto.
PSA.66.18	Ngo ngokke paabem kénsumape ituamílo,
PSA.66.19	Idakkom Shédí bí ngom tatbito;
PSA.66.19	Bí ngokke kumnamem tatbito.
PSA.66.20	Ngo Shédíme rínggedung,
PSA.66.20	kapeila bí ngokke kumnamem ngépak gemang,
PSA.66.20	demangkom bíkke duuyarna ayangem ngokke lok laabínmang.
PSA.67.1	Shédí bí ngolum ayala lubéé daklangka,
PSA.67.1	delokke ngolum ayang kaapasudak langka,
PSA.67.2	dekepe iname tani among tabunge nokke míínamem kényé;
PSA.67.2	delokke opín takame nokke mopít namem kényé.
PSA.67.3	E Shédía, ami kídíe nom ríngge daklangka;
PSA.67.3	ami takame nom erkídaklangka!
PSA.67.4	Angu opín kídíe ashéngem miripe luge daklangka,
PSA.67.4	kapeila amikídíem no jonnamlok yébodung
PSA.67.4	delokke amongsok opín takamem kaabomdung.
PSA.67.5	E Shédía, amikídíe nom ríngge daklangka;
PSA.67.5	ami takame nom erkí daklangka!
PSA.67.6	Amonge ali-ayé bojéyangkai;
PSA.67.6	Shédí, ngoluke Shédí bí ngolum lubéélíkto.
PSA.67.7	Shédí bí ngolum lubéélíkto;
PSA.67.7	rego mipílokke amie bím míngge daklangka.
PSA.68.1	Shédí bí gerepdung, delokke miru kídíem monpan sudung.
PSA.68.1	Bím kangkina kídíe molang gemala duggedung.
PSA.68.2	Míkkíem mutpaknam kísape bí bulum monpakto.
PSA.68.2	Mutkyone emelo yolnam akampe,
PSA.68.2	atímana mirul amikídíe Shédíke keralo nyokyindo.
PSA.68.3	Idakkom deenampe yénade Shédíke keralo ashépe yédung.
PSA.68.3	Bulu yépope yédung, delokke ashénge séngéédung.
PSA.68.4	Shédíkíng miri lulangka,
PSA.68.4	Bíkke amínem rínggelangka;
PSA.68.4	doomuglok yopna tesim bedang mobitola.
PSA.68.4	Bíkke amíne 
PSA.68.4	bíkke keralo ashélangka!
PSA.68.5	Shédí bíkke deena Kumkeng Ekumlo duula
PSA.68.5	ane-abu kamana opan kídíem ankíla,
PSA.68.5	delokke meyéng kídíem mosiidung.
PSA.68.6	Bí ekum kamanem dungkengem bila,
PSA.68.6	delokke pateklo duunem ashépe yésu modungku.
PSA.68.6	Idola akpésuna kídíde mootum moorang amolo duuyé.
PSA.68.7	E Shédía, amikídí keralo nokke gíge boduem,
PSA.68.7	nokke mooruk amolok enbo dokuem
PSA.68.8	amonge tonto,
PSA.68.8	taleng telok pedonge obito;
PSA.68.8	de Sinai díítelok aana Israelke Shédíke angkolok dekepe ito.
PSA.68.9	No pedongem doodípe dímoto,
PSA.68.9	delo nokke ereena amongem aimotoku;
PSA.68.10	nok amikídíe delo dungkengem paato, nokke aikolok,
PSA.68.10	no pííramna kídíem bito.
PSA.68.12	“Roja kídíelang buluke sipaying kídíe dugge dungku!”
PSA.68.12	Ekumlo duusuna mime kídíe mimaklok rotbín namem orpansuto.
PSA.68.13	Arem yuklubsuna pekí noksang alabe, uun asir kísa taaporla dung.
PSA.68.13	(Nolu ayokone kapeila mimak ido longem mér bénbam gooralo dunggekane?)
PSA.68.14	Tolna yalum Shédíke roja kídíem,
PSA.68.14	Salmon díítelo monpan sulíkduem delo tapamem omoto.
PSA.68.15	Kape kedon runakoi Bashan dííte si ponyug bojéna díítekoi!
PSA.68.16	E ponyug bojéna dííte no,
PSA.68.16	Shédíke duupe emla míngko dííte no, kapeila kangkipe kaadune?
PSA.68.17	Deddína mimak inana guré-gaariem éjar éjar bomala,
PSA.68.18	Bí deddína mimaklo umnam abílem bomla teyolo reesadung,
PSA.68.18	bí akpésuna kídílok amanemte torík sudung.
PSA.68.19	Bímin ngolum iturkuna Shédíe.
PSA.68.20	Ngoluke Shédí bí, turmokuna Shédíe;
PSA.68.20	Bímin 
PSA.68.20	Bí ngolum sikolokke laasingkune.
PSA.68.21	Paab bedalok gítína miru kídíke dumpongem
PSA.68.21	Shédí bí berokpe demkéyé.
PSA.68.22	“Ngo noluke miruem Bashanlok laalenyéku,
PSA.68.22	ngo bulum siyéng aralok laalenyéku,
PSA.68.23	delo nolu noluke alem miru kídíke iyyilok arbín sunayéku,
PSA.68.23	delokke noluke ekiie edítko paklayédí yagman mantíyé.”
PSA.68.24	E Shédíe, nok mimagem ikumla yonku namem takame kaato,
PSA.68.24	ngokke Roja Shédíke agí dungkolo kéémíng yingang kunamem kaato.
PSA.68.25	Mirilune keralo, miri mone méélamlo,
PSA.68.25	opéé annyi raadalo mime kídíe dumdum dííla gíto.
PSA.68.26	“Ami baane gooralo Shédíme ríngge langka,
PSA.68.27	Kerayalumpe bosé yalumna opéé lokke Benjamin bí gígeto,
PSA.68.27	delokrongem Judahke miri kídíe buluke opéé gooralo gídung,
PSA.68.27	dem nínmín gene Jebulun kelang Naphtalike miro kídíe.
PSA.68.28	Nokke ralnamem lengkantoika,
PSA.68.28	E Shédía, ngoluke legape rallíknamem lengkantoika.
PSA.68.29	Nokke Jirusalem Kumkeng Ekumlok rojakídíe nom amanem bombidung.
PSA.68.30	Ijipt moonam pasumlo yéna simon kídídem lulangka,
PSA.68.30	angu opín kídíke oo bona gooru sobénem lulangka,
PSA.68.30	bulu arem tadogem nom kumsudola bimang teteloope.
PSA.68.30	Mimak ilíína kídíem rego regolo menyok langka.
PSA.68.31	Mirokídíe Ijiptlok aayé;
PSA.68.31	Sudan amikídíe Shédíme alage lengonla kumyé.
PSA.68.32	Among sokke doolung kídíe,
PSA.68.32	Shédíkíng miri lulangka;
PSA.68.33	Taleng telo saala konnying mennyingkai duuna bíkkíng miri lulangka.
PSA.68.33	Tattola bíkke agomem,
PSA.68.33	bottena agomem bí melíkdung.
PSA.68.34	Shédíke ralnamem pogoo langka;
PSA.68.34	bíkke kekímde Israello dung,
PSA.68.34	bíkke tolnamde taleng píídung.
PSA.68.35	Kumsukolo duuna Israelke Shédí bí peso penamrungko,
PSA.68.35	bí agíke amikídíem tolnam emlang ralnamem bidung.
PSA.68.35	Shédíme koyitlangka.
PSA.69.1	Ngom mosingtoika, E Shédía!
PSA.69.2	Asie ngokke alíng so píídubong,
PSA.69.2	ngo suyung aralo yuulum dakbong,
PSA.69.2	ngokke tuda supeko kayimang;
PSA.69.2	ngo siranglo aadak, delokke sipyare ngom tarlum bomdak.
PSA.69.3	Ngo kaptíkolok lísi kapsi sudakbong,
PSA.69.3	ngokke línggusi kiname,
PSA.69.3	ngokke Shédíme toyangkolo ngokke amige miklup dakbong.
PSA.69.4	Atí legang kamape ngom kangkina kídíe
PSA.69.4	ngokke dumíd emte bojéyadung.
PSA.69.4	Ngokke miru kídíe ngok teyolo metí yattídung;
PSA.69.4	bulu ralneke ngom mokape idung.
PSA.69.4	Ngokke pyoomanam atíem bulu ngom dormodungku.
PSA.69.5	E Shédía, no ngokke midem kéndung;
PSA.69.5	ngokke imemnam atíem no mesupmang.
PSA.69.6	E Ralna yalum 
PSA.69.6	E Israelke Shédía, nom matana kídíem mínggíp sudope
PSA.69.6	ngok legape imomayika.
PSA.69.7	Si nokke legalokmin ngome lupu-luyéétone,
PSA.69.7	delokke ngo annyingem pokom sutone.
PSA.69.8	Ngo ngokke bírokepe mibope ikai,
PSA.69.8	ngokke erangkepe ngo luyu amipe ikai.
PSA.69.9	Ngokke nok Kumkeng Ekumlo kumsuname eme kísape ngokkíng dungkai;
PSA.69.9	nom lupu-luyééname ngokkíng angkai.
PSA.69.10	Ngo agísue domape nyodola, mínggípsuto,
PSA.69.10	delo amie ngom lukaato;
PSA.69.11	Ngo agíe ankí-keno leemuem geto,
PSA.69.11	delo bulu ngom ngilkaato.
PSA.69.12	Bulu bedu bedalo ngom poge lugeto,
PSA.69.12	delo tíngírsuna kídíe ngom miripe goggeto.
PSA.69.13	E 
PSA.69.13	E Shédía, nokke mííbasunam moodílo ngom poyan sutoyika.
PSA.69.13	Nokke bottena ayanglok delokke nokke mosing dokupe pébisunam agomlok
PSA.69.13	ngom poyan sutoyika.
PSA.69.14	Suyulo yuulum momape ngom laasing toyika,
PSA.69.14	ngokke miruem itumtoyika,
PSA.69.14	eerína asilokke ngom gaksing toyika.
PSA.69.15	Ngokke teyolo puumuem aamomaika;
PSA.69.15	ngom sine gooralo obung momayika,
PSA.69.15	demangkom deerulo olík momayika.
PSA.69.16	E 
PSA.69.16	kapeila nokke duuyarna ayangde aine;
PSA.69.16	nokke yaarí kayimana ayanglok ngokkíng ngébang tokuyika.
PSA.69.17	Nokke béérang lok nokke mingmuem mesup sumayika;
PSA.69.17	kapeila ngo adírla dung, ngom menape poyan sutoka.
PSA.69.18	Ngokkíng aala ngom laasitoyika;
PSA.69.18	ngom mirulokke itumtoyika.
PSA.69.19	No kénsudung edítko ngom lurééton,
PSA.69.19	edítko ngom lupu luyééton, delokke lungilton;
PSA.69.19	no ngokke miru takamem kaayindung.
PSA.69.20	Lurééname ngokke aangem kimoto,
PSA.69.20	ngo mííré along sukai.
PSA.69.20	Ngom pogul igulna matato, idola atelkote katomang;
PSA.69.20	ngom ngiipena matato, idakkom ngo atelkote paamang.
PSA.69.21	Ngokke kenoduem, bulu ngom díknem bito;
PSA.69.21	ngokke tíílíduem bulu ngom kosaanem bito.
PSA.69.22	Buluke arane bulum dosu daklangka;
PSA.69.22	buluke adeng-apede bulum nyokmo daklangka.
PSA.69.23	Bulum míngma molangka,
PSA.69.23	buluke lamkuem agínpe kimolangka.
PSA.69.24	Nokke marlínge bulukíng píílangka;
PSA.69.24	nokke míínyinge bulukíng píílangka.
PSA.69.25	Buluke notkodem nyokmo daklangka.
PSA.69.25	Sékote buluke notkodelo duuyimadope idaklangka.
PSA.69.26	Nokke ingéénam kídíem bulu iréédung;
PSA.69.26	nokke tarí iketnam kídí legangem bulu potígedung.
PSA.69.27	Buluke paab inamem sanbom tete langka;
PSA.69.27	nokke turko bedang delo buluke tarong kamo mapeka.
PSA.69.28	Bulum turnam kitab lokke buluke amínem moltít langkuka;
PSA.69.28	nokke amikídí gooralo buluke amínem ilík mapeka.
PSA.69.29	Idakkom ngo kiname molarumang;
PSA.69.29	E Shédía, ngom laasing tokuika!
PSA.69.30	Ngo Shédíke amínem mirilok rínggeyé;
PSA.69.30	ngo bíkke bottena amínem pogong gela yidgeyé.
PSA.69.31	Si 
PSA.69.31	demangkom bopang arbinamem pemílo ashémoyadung.
PSA.69.32	Iréénam kídíe dem kaayém ashéyé;
PSA.69.32	Shédíme kumna kídíe eryéku.
PSA.69.33	Kapeila 
PSA.69.33	pateklo duuna bíkke ami kídíemte mepak sumang.
PSA.69.34	Among talengelang siyénge, delokke delo duuna takame,
PSA.69.34	Shédíme yidgelangka.
PSA.69.35	Legade Shédí bí Jirusalem em mosiyéku,
PSA.69.35	delokke Judah doolungem morepyéku.
PSA.69.35	Bíkke amikídíe delo duula amongem bomyé.
PSA.69.36	Bíkke bééralok otíng-oyine dem duubomyé,
PSA.69.36	delokke bím ayangna kídíe delo duuyé.
PSA.70.1	E Shédía, ngom laalen tokuyika.
PSA.70.1	E 
PSA.70.2	Ngom petpe emla raltína kídíem ikumla inga toyika.
PSA.70.2	Ngokke adírnamem ashébomna kídíem monlangkula annying motoyika.
PSA.70.3	Ngom ngilééna kídíem ikumla peso molangka.
PSA.70.4	Nom matana kídíem nokkíng ashéng molangka!
PSA.70.4	Nokke turmo kunamem ayana kídíem, “Shédí bí bottenako,”
PSA.70.4	emyar motoka!
PSA.70.5	Idakkom ngodan opan-mimanako;
PSA.70.5	E Shédía, ngokkíng menape aatoika!
PSA.70.5	No ngom igulne, delokke laalenkune;
PSA.70.5	E 
PSA.71.1	ngom edílote ralnam em pííram momayika!
PSA.71.2	No arolok duune, depeila ngom igulla mosingtoika.
PSA.71.2	Ngom tatbila laasing toika!
PSA.71.3	Ngokke duupope duusi sukepe itoika,
PSA.71.3	delokke ngok yapgo tamtepe itoika,
PSA.71.3	no ngokke dungkenge delokke tamte.
PSA.71.4	Ngokke Shédíe atímana amilokke ngom mopítoika,
PSA.71.4	arolok yémana delokke kaníína amilokke ngom laasing toika.
PSA.71.5	Kapeila 
PSA.71.6	Ngokke yénam takamlo nokkíng ngo míídasuto;
PSA.71.6	ngom odo lokkekai no ngom mosiito.
PSA.71.6	Ngo agínpe nom rínggeyé.
PSA.71.7	Ngokke yénamsi ami kídí keepe kaayii sukepe ito,
PSA.71.7	kapeila no ngokke tolnarung tamtepe ito.
PSA.71.8	Bomo loodípe ngo nom koyitdung,
PSA.71.8	delokke nokke angun ralnamem pokandung.
PSA.71.9	Mijinge jingaduso ngom mepak mayika,
PSA.71.9	ngo supak tolyimang emla ngom míípak mayika.
PSA.71.10	Ngokke mirue ngom petpe idung.
PSA.71.10	Bulu ngom morupenam legangem lupo sudung.
PSA.71.11	Bulu podung, “Shédí bí bím mepakto; bím mamín gela umlaju,
PSA.71.11	delo bím iyangpena kamang.”
PSA.71.12	E Shédía, ngokke lok mooteng mayika ngokke Shédía,
PSA.71.12	ngom menape igultoika!
PSA.71.13	Ngom míílona kídíem petpaktoika,
PSA.71.13	ngom ike-sirena kídíem annying motoika.
PSA.71.14	Ngo agínpe nokkíng míínamsuyé,
PSA.71.14	ngo nom bojéyayang rínggeyé.
PSA.71.15	Ngo nokke ainam agérem pobiyé;
PSA.71.15	deddíko kénpí madokom, nok mopít kunamem lolope pogeyé.
PSA.71.16	Shédí 
PSA.71.16	ngo nokke ainam petomem pogoyé.
PSA.71.17	Ngokke koo lokkekai no ngom luyilto,
PSA.71.17	delokke supakkom ngo nokke irisinyo agérem pogedung.
PSA.71.18	Supak ngo mijinge, delokke ngokke dumíd si dumpukai,
PSA.71.18	E Shédía, ngom mepak mayika!
PSA.71.18	Aapena siirum takamlo nokke deenam emlang tolnamem pokandung,
PSA.71.18	ngokkíng duumínlangka.
PSA.71.19	Shédíe, nokke deenampe yéname taleng píngkai.
PSA.71.19	No bottena atíem itung,
PSA.71.19	delo nokke kísana kamang.
PSA.71.20	No adír asong ankí kenuem ngokkíng melíkdung,
PSA.71.20	idokom no ngom tolmoyéku, no ngom agolo duumomayé.
PSA.71.21	No ngokke amínem bottemoyé,
PSA.71.21	delokke ngom ngiiyéku.
PSA.71.22	Ngo nom arope tapulok rínggeyé;
PSA.71.22	E ngokke Shédía, nokke edíng namem ngo rínggeyé.
PSA.71.22	Ngokke konggalok nom miriko lubiyé.
PSA.71.22	E Israelke Deena Atela.
PSA.71.23	Ngokke nom yidgenam miriem ludungem,
PSA.71.23	ngokke nappange ashéngem goktoola luyé,
PSA.71.23	ngokke aapí-aang tabusi miripe dung, kapeila no ngom mopítto.
PSA.71.24	Delo ngo nokke aina igulem loodípe pogeyé,
PSA.71.24	kapeila ngom míílo aabomna kídídem no ikumto,
PSA.71.24	delokke annying sumoto.
PSA.72.1	E Shédía, nokke aro ayonem Rojaso bitoika,
PSA.72.1	delokke nokke deenam bedangem roja teyoso bitoika!
PSA.72.2	Delo bí nokke amikídíem tetelok yébodope,
PSA.72.2	delokke nokke opan kídíem deena ayonlok duubodope.
PSA.72.3	Amikídí legape amonge jékalangka,
PSA.72.3	delokke deenam bedangem paadak langka.
PSA.72.4	Roje mimang opan legape ralbila,
PSA.72.4	aréénem mosiila,
PSA.72.4	delokke iréénem ikum daklangka.
PSA.72.5	Siirum siirum loope doonyike saadak tetengem, pooloke latdak tetengem bí duuyar langka.
PSA.72.6	Roja bí aríklo pedong onam kísape idaklangka,
PSA.72.6	amosok aapam kísape idaklangka.
PSA.72.7	Bíkke turdung tetengem aro yéname siingon daklangka,
PSA.72.7	delokke pooloke lolatdung tetengem, jénam-remname duudak langka.
PSA.72.8	Bí siyéng kéényung konlokke siyéng kéényung konlo,
PSA.72.8	delokke Euphrates korong lokke ila tani among kéényung regolope
PSA.72.8	yébom daklangka.
PSA.72.9	Mooruk amolok amie bíkke keralo kumsu daklangka;
PSA.72.9	bíkke mirue agí agísue amolo olet sudaklangka.
