MAT.1.1	Yesus Kristus, opirati Daud muno Abraham aya ajavip, avaki no susye so rai:
ACT.27.8	Umba reamampayaro raugugan. Reanta wansiuri rave, umba reansisa mampayar no raone inta rai, ama tame mirati Raono Ngko Dave, nggwaravainyo munijo Lasea raije ramu yara mararai rai.
ACT.27.9	Reamanyawa masyote manui rave ndento to muno vatano Yahudi reama masyoto akoe arono reansatawandijo marore raije mewen to. Umba embayo ovarebe nande kobe. Maisyare omai ti, Paulus po ananyao inta raugaje pare, 
ACT.27.10	“Sya arakove weap, wabekobe paep! Syo raen ranivara wamare wangkayun tutir, indati wananta irati ana ngkakai manakoe inta rai jaje, muno nyomane muno ananugo nyomane mo raugave indati masyo ti rakanive. Weramu webo mirati rakanive ramu, yara vatane inta wansai tavona.” 
ACT.27.11	Weramu nait akari umawe ponayo Paulus apa ananyaowe umaso rai. Yara panave vatano po nyomane umaso raparae ai muno vatano apave nyomane umaso raije ai, weti tavondi aya ayao obo rai. 
ACT.27.12	Muno vatano wanui wonayo umampayar no weyi, weye arono ovare nande, raone umaso mamaisye ramu. Weti wo rapatimu ware, “Wamare wangkayun tutir damu wansisa no Peniks indamu wana no we embayo ovare so aen da deto rati.” Peniks umaso mamo raono kaijinta mije no no nupatimugo Kreta, wemirati ovare nande siso raije ramu yara ntanamanin bayave.
ACT.27.13	Noa ovaro wambiraowe pakauje weramu nsansomo vayave. Weti vatano wo nyomane raijare wo ratantona ware, “O, wama bekero wanta no Peniks omamo mamaisy aje, weti wade ra wanta kai.” Naije wo oramo kamintuge rakarimu sea nakato inda reangkayuno nupatimugo Kreta ama nayave ruke ransarer. 
ACT.27.14	Weramu wanta ra gwaravain dainya nene, yara ovaro akoe rave de no ranijo wanansai tetuje. 
ACT.27.15	Weti rarene mo warea raijakauje ti mo nyomane ranepat. Weti reambambunin inda reamanawadije ramu, yara ovare po nyomane raugav. Weti reamampayar wangki vayave ovare ai. 
ACT.27.16	Reangkivea reanande nupatimugo mamaune inta rai, ama tame mirati Kauda. Arono reansisa mararai nupatimuge umaso ama nayave ruke rai no ranijo wanampui, umba ovare manin mamaumbe. Weti wamo nyomano tuvan uma nyomano manakoe umaso mo rakarimuge raijaseo ntami no nyomano akoe rai indamu vemo ovare po rangkakati jinta. Weramu reamo raijaseo wansiuri rave weye ovare bambunin ti. 
ACT.27.17	Arono nyomano tuvane umaso raijasea jewen, umba vatane wo waije raveano nyomano manakoe taune raokae tenambe indamu matu. Ujaniv ware, “Ovare po reansaugave wansisa Mayano Sirtis ama ruke rai, weaveti wangkikaisy nayave ruke rai. Wea indati nyomane so mangkakati aneae rai!” Maisyare omai ti, wo ayune rakapan umba ovare po nyomane raugav maneai. 
ACT.27.18	Rarene manya tutir kobe, wetiva sansimambe ananugo nyomane mo raugave inta raepa bayave no mayan. 
ACT.27.19	Masyoto mandeije vatano wanapatambe anakero nyomane raije taune wo anakotaro veano ayune raijare raepar akato no mayan. 
ACT.27.20	Masyote anteter reamo uma aene ramu muno tume raene jewen tavon muno ovare tami tutir ti rarene akokoe. Weti reama anave wangkove raije mamo meweno reansai to.
ACT.27.21	Masyote inta yai raveamo vatane umaso wo anaisye inta raisye ramu, weti Paulus te no awa yasyin umba po raura pare, “Sya arakove weap! Arono manasyinoe, syo ananyao inta raura wasai syare vemo wangkayun wamuje Kreta raora inya. Weti watavondijo sya ananyao umaso rai ratire, wananta irati ana mo wansauga ti kavintare wangkakaijare so muno ananuge rakaniveare so inta raije ramu. 
ACT.27.22	Weramu soamo syare syo raura wasai inda wasanuga mbambunin, weye wamamo indati inta kakaije ramu, yara nyomane so bo ma indati ngkakai. 
ACT.27.23	Weye namanoe naito Amisye inta de arorono rinai. Amisyo ribeaje aive muno apaura irati rinai, Wepirati po apa naite inta atutir de rinai. 
ACT.27.24	Umba naito Amisye umaso po raura rinai pare, ‘Paulus, mbemo njaniv inya! Weye indati winyamo ntoa nto ntet no Kaisar amun! Muno Amisye anuga ngkovo nai, weti pare vatano utavondijo nai ti wakayun wenawamo uko tenambe yara inta kakai jewen, mamaisyo nya bekere rai.’ 
ACT.27.25	Maisyare omai ti, arakove weap, syare wasanuga mbambunin! Weye risyanave Amisye ai ti ana Po raura rinaije indati nande aje. 
ACT.27.26	Weramu indati wangkikaisy nupatimuge inta ama ruke rai.”
ACT.27.27	Masyote manui reamampapayar wangkive tutir no mayano Adria. Umba namano abusyinara eane mambisy ama namane yasyin dave vatano wo anakero nyomane raijare inta wo raraniv ware, “O, nyomane mararai kobe ruke rai to!” 
ACT.27.28	Weti wo waije ratavukijo orame rai inda wo raugasya wo rave waro ama waravainye rataun. Muno waro ama waravainyo masyoe ama taune nanto no meterije tename jirum. Nugoenta rainya nene wo rataun akato, waro ama tauno waravainyo masyo ma meterije tenamara eane abusyin. 
ACT.27.29	Weti ujaniv ware vemo nyomane ngkikaisyo orame inta rai jinta. Weti wo oramo kamintuge mambisya raugasya no nyomane ama parae inda mo raijar matuve. Umba ubeker ware mbabadi vavai.
ACT.27.30	Umba vatano wo anakero nyomane raijare wo nyomano tuvane raugasya no mayan, ware indamu wo oramo kamintuge inta raugasya no nyomano akoe ama raware warave rai tavon. Weramu wangkarive, weye awa bekero tugae mamo ware wo nyomano tuvane raugusya inda wasya usea rai ra unanajibe vayave. 
ACT.27.31	Weramu Paulus po raura nanto naite nawe awa akarije pe mansai pare, “Vemo vatane so unanajibe inya! Weye una nyomane raije jewen, indati arakove weapamo wakove ramu.” 
ACT.27.32	Weti naite wo nyomano tuvane umaso ama waije raotar wusyin ti temasyo vayave ti ngki. Muno vatan tenambe una tawan no nyomano akoe rai.
ACT.27.33	Arono akane mararaijo mare ntipugi, Paulus po ana inta raura vatane mansai ramu wisyi tenambe, pare, “Masyote abusyin eane mambisy wapo anaisye inta raisye ramu. Weye yanive no wasai ti wanove vayave, wapisyisye jewen. 
ACT.27.34	Weti syare soamo wapo anaisye kavinta raisy inda wabambunin akato muno vemo wajaniv akato nora. Weye Amisye pare indati wakov tenambe yara inta kakai jewen, maisyare muno wasakarivuinye inta aumandije ramuge wemaisy.” 
ACT.27.35	Weti po rauranare wemaisya jewen, Paulus po rotije raijade umba po kove raura seo Amisye ai no mansamun tenambe. Wea jewen, umba po ratodijo mansai jakato muno wo raisy. 
ACT.27.36	Weti vatane manuga mbambunin akato muno wisyi tenambe. 
ACT.27.37	Vatano una no nyomane umaso awa wanuije nanto no ratusije jirum, abusyine kaururumara eane kaujentabo (276). 
ACT.27.38	Arono wisyisy mamai bintaboa jewen, umba wo anaisyo gandumo wo raugav no nyomane umaso raepar no mayan indamu nyomane ndaradam.
ACT.27.39	Arono uma seowa mba to, umba werasisa wo ruke warea raen, weramu wantatukambe muni umaso nori rui muno ama tame rui. Wo raone inta raen no warea muno ama nayave ruke ratavon. Weti wo ratantona ware, “Wamo nyomane rausisa no we rako?” 
ACT.27.40	Weti wo oramo kamintuge ama waije rataotar tutudi inda oramo kamintuge umaso manutu no waro. Maisyare wemai tavon, wo waijo wusyinoeara wo raveo remese raokokae da matugoe soamo wo raniku ramu ngkakavin. Umba wo ayuno ntet no raware rausea nsawa indamu ovare po ramawisy mo nyomane raugave nsiso no ruke warea. 
ACT.27.41	Weramu anyane inta no no naije weti nyomane nsiso ngkikaisyo rai. Ama raware ntami matuve nayave rai, yara ama parae mamo aneae mo ranepat akoeve ti mangkakati.
ACT.27.42	Naito una no nyomane umaso ware ubera wo vatano umakova nanawirati wo mansamane maubai wusyimbe, weye ware, “Vemo vatano umakova ujai usisa no ruke warea ti unanajibe inta!” 
ACT.27.43	Weramu nait akari po naite umaso mansopi jirati awa bekere so rai weye aemeno Paulus ai ti. Weti po vatano ujai kobe matutir inda usasopato wusyimbe no mayan ujai usisa no ruke warea. 
ACT.27.44	Umba vatano kaijo udijat wenanawamo wo nyomane umaso ama vasyesyeo poradije umaso inta raijar ranyi umba upondiaro rai usisa no ruke warea. Maisyare omai ti, rean bintabo wangkov ti wansisa no ruke warea. 
ACT.28.1	Reangkov tenambe arono reansisa no ruko warea. Umba reamo ranaun vatane ware nupatimuge so ama tame mirati Malta. 
ACT.28.2	Vatano una no nupatimuge umaso manuga ngko dave reansai rave, weti wo reansaugave sisa no awa munije rai. Muno wo taname inta raon weye maruge maje muno nuge nanayao ti reambavat. 
ACT.28.3	Paulus opamo po nuja inta ranunugambere. Arono pare po nuja umaso rave nanto daon no taname rai rati, tawae mamune inta no rai, mo taname ama mamoane ranaun ti muje kobe, naije mo Paulus aneme ratao. 
ACT.28.4	Vatano una no nupatimuge umaso wo tawae umaso raen mo Paulus aneme ratao ti nsawa matuve rai rave. Wo raura nanto mai vambinibe ware, “Wakoe! Tawae mamune mo vatano napije ataowa weti wandaen opamo po vatane inta aubai to! Pare veravo nino apa mangke raija mamaisy aje re? Omamo avara mansyan da kakai no mayane ramu ti. Weramu wama amisyo nupatimuge so mo mangke raugaje ai indamu kakai.” 
ACT.28.5	Weramu Paulus po tawae umaso randarit ti ntemasyo ntami no taname ama uga, weramu anasine njorame ramu. 
ACT.28.6	Vatano una no nupatimu umaso rai wo ratantona ware, “Tawae mamune mo vatane wato atao, weti kavinta nakato indati anasine mbambana, pare tende kakai kobe.” Weti vatane umaso wo Paulus anyanyut tutira nugoenta, weramu jewen, ana inta nande aije ramu. Weti awa ana wo ratantona nsasye akato, soamo wo Paulus aura ware, “Wakoe! Sopamo apa vambunine manakoe rave! Weti wandaen opamo vatan bayave pa jewen, yara vatano titi rave no no naumo warae paje no mine so rai pije.”
ACT.28.7	Mino manakoe inta mararai no reanorijoe. Vatano apave rai apa tame mirati Pubelius. Wepirati be akarive nupatimuge umaso rai tenambe pije. Anuga ngko dave reansai weti po reansaugav ti reano arijata masyote mandei. 
ACT.28.8	Arono naije Pubelius apa aja gwanen, anakea mamoan muno ate monanto po mavuge rangkarave. Weti Paulus poroto siso po aen niki no apa tanoane uga, umba be sambayambe ai muno aneme raijaseo tamijo ai. Naije kobe anasino njorame umaso nsauman. 
ACT.28.9	Anapaporainye umaso mbewaramo vatano ugwanen ti una no nupatimuge umaso ude tenambe no Paulusa nui, umba Amisye po saumane raugaje mai tenambe. 
ACT.28.10	Umba vatane umaso ubekobe irati reansai. Muno wo ana reambekedaije inta raugavere indamu reandaugavo wama unanui anya rai.
ACT.28.11	Embae mandei reano no nupatimugo Malta umaso raija jewen, umba reamare wangkayun akato, weti reansea nyomano kaijinta no no Aleksandria rai jakato. Nyomane umaso mamo arono embayo ovarebeyoe, mampaya tutir no nupatimuge umaso rai. Reamo yaro ratotove inta raen ntami no nyomane ama raware rai. Yare umaso ratotov maisyare irati vatano ijapume inta yamaisy, inta apa tame mirati Kastor muno inta apa tame mirati Poluksa.
ACT.28.12	Reamo nupatimuge umaso rapaya, umba reangkayuna wanande no munijo Sirakusa. Reana no we masyote mandeij. 
ACT.28.13	Umba reamuje akato reangkayun wananta no munijo Regium. Sansiman akato ovaro wambirao paje, weti reangkayun avave ti masyote rurum umba reansisa no munijo Putioli. 
ACT.28.14	Umba reamaje wamo nyomane rapaya. Umba reananta irati arakovo wanave Yesus ai inta mansai no munijo namije rai. Wo reansawain indamu wansisa wano mansarijat no we masyote kaururum. Umba reamanya akato ti wanta no munijo Roma. 
ACT.28.15	Reama wansisa rainy yara ta reamanya nene, weramu reama arakovo una no Roma wo reansanauno wande so rai to. Weti arakove inta wuje wo reansaorave de indamu wo reansaugav wansisa, weti inta ude wo reansanyut no munije inta ama tame mirati Wisma Mandei, muno kaijinta wo reansanyut tavon no munije ama tame mirati Pasar Apius. Arono Paulus po arakove umaso mansaen, po kove raura seo Amisye ai muno anuga mbambunin akato.
ACT.28.16	Arono reananta kobe no Roma, nait akari Roma po Paulus auga siso no tanoano makova raije ramu yara po apaya no vayave no yavare inta rai. Weramu po naite inta atutir po aman tutir.
ACT.28.17	Masyote mandei, umba Paulus po akarijo Yahudi una no Roma mansawainde. Wanunugambea jewen, umba Paulus po raura nanto mansai pare, “Sya arakove weap, risyo ana inta raveti ngkakaijo wama vatano Yahudi mansaije ramu. Muno syo wama koane inta rakanyoandije ramu, namirati wamo raugav no wama aneno wusyinoe mansai. Weramu vatane wo rinaijar wo rinaunanto no akarijo Roma inta mansai no Yerusalem. 
ACT.28.18	Umba akarije umaso wo inanajobe, weramu unanta ana ngkakaije inta raijo rinai ra wo inaubaisye ma jewen. Weti ware ubeker wo rinapaya vayave. 
ACT.28.19	Weramu vatano Yahudi onanawamo wonae, ware vemo wo rinapaya inya. Weti syare rinantutuabe ramu syo ranajo ra ride no so indamu rinaroron no Akarijo Titi Munijo Roma amun indamu po anaikero vatano Yahudi wo rave rinai ranaun. Weramu taune risyamo syanaikebe sya kawasae Yahudi mansaije ramu. 
ACT.28.20	Wemi mbewar syo ranajo ramu wade rinai inda wamayao. Wapo waijo besije raena nsawa rinaneme rai. Syare syo raura kakavimbe wasai: rimakova so weye syanave Mesias ai, wepirati kawasae Yahudi wan tenambe wansanaveano Amembe pije.”
ACT.28.21	Umba akarijo Yahudi wo raura nanto Paulus ai ware, “Reamamo wamantatukambe animaisye mi mbewa ti wimakovave, weye nyovara wao mo ana no naije ratoe inta no no Yudea ti nde jewen. Muno reama arakovo una no Yudea inta ude wo nya ana ndave ti ngkakai inta raura ramu. 
ACT.28.22	Weramu reambeke dave wamare wamo nya ananyao ranaun weye reamantatukambe rai. Reamo ranaun vatano una no rui vayave wo ananyaowe umaso raura tantunawi.”
ACT.28.23	Weti vatane umaso nanawe Paulusa pe wo masyote inta rapatimu indamu wanunugambe akato. Masyoto naije vatano wanui rave ude no Paulusa nui no apa norije rai, umba po mansanyao awatanoe yava namandi rave. Apa ananyao po raugaje mai pare Amisye de be akarive Apa kawasae mai no mine vone so rai, muno Yesus opirati Ananyao Musa muno Ayao Anawae wo aurairive no wusyinoe. Weye Paulus beker indamu vatane umawe wanave irati Yesus ai. 
ACT.28.24	Weti inta nawirati wanave Paulus apa ayaowe rai, yara inta nao wanave jewen. 
ACT.28.25	Umba vatano Yahudi wanugande umaso wayaowi, manuga mbe intabove jewen. Ware wuje aora weramu Paulus po ananyao inta raugaje mai wusyimbe pare, “Sya arakovo Yahudi weap, wapo rinaranide! Anawayo Vambunine mo raura tugae arono wusyinoe Mo raura ti anawae Yesaya po ratoe irati vatano Yahudi wama anene mansai maisyare somaisy:
ACT.28.26	Amisye pare,
ACT.28.26	‘Nyoronto nyo raura nanto Sya vatane mansai taiso:
ACT.28.26	Wapo Sya ana idaura raraniv, weramu wananta raije ramu,
ACT.28.26	muno wasami mo Sya ana idave raen, weramu wananta raije ramu.
ACT.28.27	Weye vatane sonawamo manuga matu,
ACT.28.27	muno mamarikoame mpapakiri,
ACT.28.27	muno mamije ntatuvi.
ACT.28.27	Wonayo wo raeno mamije raiji,
ACT.28.27	wonayo wo raranivo mamarikoame raiji,
ACT.28.27	muno wonayo manuga nanto raiji.
ACT.28.27	Wemi mbewar usakinav wakare Rinai jewen,
ACT.28.27	weti saumane mamo Syo raunande mansaije ramu.’
ACT.28.28	Umba Paulus po raura pare, “Sya arakovo Yahudi, syo raen wapo Amisye apa Ayao Kove rawatambe, maisyare muno wapa aneno wusyine wo rawatambe obo maisy akato. Weti syare wapo idaura so ranaun: Amisye po apa kove raugaje irati vatano Yahudi jewene mansai indamu Po mapaya ayao kakaije rai, muno onawamo manayanambe wo raraniv!” 
ACT.28.29	Paulus po ayao umaso raurana jewen, umba vatano Yahudi umaso wakauje yavaro namije raora, yara wayaowi vambinibe akoeve.
ACT.28.30	Paulus no no munijo Roma tume rurum, nowo yavaro taune po ravaibe rai. Anayanambeo vatano ude wo apane mansai rave. 
ACT.28.31	Pananyaube po ananyao Amisy Yesus Kristus raura muno masyoto Amisye de be akarive Apa kawasae mai no mine vone so raije raura vatane mai tenambe. Payao vambunimbe yara janive ramu, muno vatane inta wo ansopije kakai.
ROM.1.1	Risyirati Paulus, syanapatambe Yesus Kristus ai, risyamo Amisye po inapatimu muno Po inatutir indamu syo Ayao Kovo Amisy ravov. Syo nyovara waowe so ratoe anugano Amisy wana no Roma wasai.
ROM.1.2	Ayao Kovo namije mamo arono wusyinoe Amisye po raurairive ti Apa anawae wo ratoe no Ayao Amisye rai. 
ROM.1.3+ROM.1.4	Ayao Kove so mo Arikainyo Amisye aura kakavimbe Opirati wama Amisy Yesus Kristus. Opamo aeno anasino vatane rai weamo avaki no aneno Daud apa susye rai. Weramu aeno Apa ana no aije rai opamo Arikainyo Amisye pije, weye anuga ndandinit maisyare Amisye amaisy. Muno Amisye po aroron kakavimbe opamo Arikainyo Amisyo apa vambunine no Ai arono Po aijaseo kovakato no wene ama uga rai. 
ROM.1.5	Yesus Kristus bewaramo Amisye po kove raugaje rinai muno Po inatutir apa anakere rai. Po inatutir indamu syo vatano Yahudi jewene mawainde tenambe indamu wanave muno ubeta Kristus ai indamu Apa tame manakoe no mine so rai. 
ROM.1.6	Muno vatano wana no munijo Roma weap, Amisye po wasawainde tavon to, weti wasisa kawasaeyo Kristus apaura maije mai.
ROM.1.7	Weti syo nyovara waowe so ratoe vatano Roma wasai tenambe, weapirati Amisye muinyo wasai muno Po wasawainde to indamu weapamo Apa kawasae nawirati weap. Syare kove muno saumane no no wama Injayo Amisy muno Amisy Yesus Kristus no wasautan tenambe.
ROM.1.8	Manasyimbe syo kove raura seo risya Amisye aijo wasai tenambe. Risambayambe Yesus Kristus apa tame rai, syo kove raura seo weye ridaniv vatane wo ayao wapa anave Kristus aije raura pampambe no rui vayave mine tename so rai. 
ROM.1.9	Amisye po raen risyamo inaemeno wasai rave, weye namane rinit isambayambe wasai. Amisye opirati inanuga ntenami syanapatambe Ai, syo Apa Kavo Yesus Kristus apa Ayao Kove ravov. 
ROM.1.10	Weti risambayambe tutir, syo Amisye anajo indamu Po varore raugaje rinai syore syo wasapan. 
ROM.1.11	Ribekero syore syo wasaen indamu syo kove inta raunande wasai: Syare syo Anawayo Vambunin ama kove inta ratodi wasai indamu weabambunin. 
ROM.1.12	Wetiva wamo wansaijasea wambambunin kava, weye wasanuga ntubai mbambunin arono wapo sya anave raen, muno syo wapa anave raen, ribambunin.
ROM.1.13	Sya arakovo Roma weap, syare wapo sya bekero syo wasapan raen kakavimbe, weye nugoenta rave syo sya unanuijo syore wasai rapatimu, weramu ana inta mo rinaoraive ti.
ROM.1.14	Amisye po inatutiro syo Ayao Kove ravovo vatano Yahudi jewene mansai tenambe—vatano una no kota rai muno vatano una no unate rai; vatano ube sekorave muno vatano ube sekorave jewen. 
ROM.1.15	Wemirati mbewar ribeke dave syo Ayao Kove ravovo vatano wana no Roma wasai tavon.
ROM.1.16	Risyamo risamane Ayao Kove raije ramu, weye Ayao Kove mamo Amisye apa vambunine mije. Ayao Kove mbambunin indamu mo vatane mapaya ayao kakai rai, vatan tenambe nanawirati wanave Yesus Kristus ai—manasyimbe vatano Yahudi, weramu vatano Yahudi jewene nao tavon. 
ROM.1.17	Weye Ayao Kove mo Amisye apa unanuije raroron, wemi mo vatane mauga ti umamai no Amisye amune rai. Apa unanuijo po ratayao wansai omirati wama anave obo ma, no manasyimbe ntoa ama marane rai. Weye wama anave obo mirati mo wansauga ti wamamai no Amisye amune rai. Maisyare Ayao Amisy mo ratoe mare: “Vatano nanawirati umamai no Amisye amune rai indati ukova nuge nuganui weye wanave.”
ROM.1.18+ROM.1.19	Amisye po apa pari mangke raugaje irati vatano wo ayao kakai rave mansai muno vatano awa ana udave mamune mansai. Vatane umaso wo Amisye apa ana no aije raen kakavimbe, weye Amisye po rarorono mansai to. Weramu awa ana udave ngkakai mbewaramo wo Apa ayao tugae rawatambe. 
ROM.1.20	Vatane inta wo Amisye aeno mansamije rai jewen, weramu arono Amisye po nuge so ranari kaijoe ndea unumeso, Apa ana no aije mamo vatane wo raen kakavimbe no anakotaro ntuna no mine vone so muno anakotaro ntuna no naumo warae rai. Weti mawes vatane unanta Amisye apa anabe muno Apa vambunino noa nuge nuganuije rai no anakotar tenambe Po ranari so rai. Weti vemo vatane inta po raura pare, “Amisye no tugae rako jewena rako, syantatukambe rai,” wemai nora!
ROM.1.21	Vatane wo Amisye aen no ivae, weramu wonae wo aura Opamo Amisyo tugae pije. Wo ararimbe ramu muno wo kove raura seo Ai tavone ramu. Onawamo wantatukambe rave weye awa ana wo ratantona mamo ama ine meweno rai muno manuga mamo ngkaumudi kobe. 
ROM.1.22	Wo taune mansaura ware wenawamo vatano makarikuga mba dave, weramu onawamo vatano wantatukambe vayave nawa. 
ROM.1.23	Wenawamo ubeaje Amisy opi titi rave Aije ramu, yara ubeaje awa yaro wo ranarije obo rai. Weramu awa yare no tawane ramu, yara Amisye pamo kova nuge nuganui. Muno Amisye pamo apa kovo ntiti no Ai, yara yare mamo ratotovo vatane mansanyi, muno ratotovo insani, tawae, maere kotar ranyi vayave.
ROM.1.24	Wemi mbewar ti Amisye aneme mpaya mai indamu utavondi taune awa bekero ngkakainoanive rai kai. Umba awa bekero anaerere mo mauga ti ugwambe taune manasine rai vambinibe. 
ROM.1.25	Makirive Amisye ai ti wo Apa ayao tugae rawatambe, yara usakinav wanave ayao arurijate obo rai. Wonae ube sambayambe muno ubeaje irati Amisy opi po anakotar tenambe ranari Aiji, yara ubeaje irati Apa anakotaro po ranari obo rai.
ROM.1.26	Maisyare wemai ti, Amisye aneme mpaya vatane wato mai indamu utavondi awa ana manuga ntento rai raronto ti mbe samaneve mai. Wanya inta nawamo ubekero anya maije ramu, yara manuga ntento taune awa wanya bo mansai, ti utitarive mansai. 
ROM.1.27	Muno anya inta nawamo unaki awa wanya marijate ramu, yara anya utitarive anya taune mansai. Aya ana yo rave so nggwambe yai. Weti taune wo awa mangke ranawan, mamaisyo awa ana udave ngkakainoanive so rarijati.
ROM.1.28	Wonae wo Amisye atantona akatowi, weti Amisye aneme mpaya mai indamu utatayaje irati awa ana wo ratantona nggwambe raron. Maisyare wemaisy, anakotaro rui wo rave mamo anakotaro mamaisye ramu muno ngkove ramu. 
ROM.1.29	Vatane umaso nawamo manuga ntairijo ayao kakai kotaro rui vayave rai, maisyare so: ukakainoanive muno mamun, manuga ntantunaube muno ngkakai. Upari muno warare, ubekero wo vatane maubaisy, wo vatane maponae muno wo mave tatugadi. Wayao ampambe 
ROM.1.30	muno wo vatane maura tantunawi. Manuga mamuno Amisye ai. Mansararin muno ukangkamambe taune mansai. Wo unanuije rakani tutir indamu wo anakotaro ngkakainoanive rave. Muno ubeta awa vatan anui mansai jewen. 
ROM.1.31	Ana ratantona ngkov meweno mai muno ubeta awa urairi rai jewen. Muinye meweno mai muno maemeno vatane mansai mamo mewen tavon. 
ROM.1.32	Wo Amisye apa ayao raen ivae, wemirati mare vatano rui pi po ayao kakai umaso rave, indati Amisye po mangke raugaje ai indamu kakai. Weramu vatane wato wo ayao kakai umaso rave tutir kobe, muno manayanambe arono vatano kaijinta wo rave tavon.
ROM.2.1+ROM.2.2	Wamo raen Amisye apa mangke mamo mamai dave, wemi Po rapatimugo vatano wo anakotaro ngkakai rave maisyare ratodi umawe rai. Inya, vatane weap! Win dako, are bayave inta nyare nyo vatane inta apa kakai muno apa kove rakani ai indamu nyo mangke rapatimugo ai, weamo winyamo nya nteto rai mangkiki! Weye nyo mangke rapatimu nya vatane inta ai, weamo taune winyo mangke rapatimu taune nai to ije. Weye winyo vatane wato amai tavon; anakotaro ngkakainoanive po rave mamo winyamo vatan nyo rave tavon.
ROM.2.3	Weti inya, vatane winy, winyare nyo mangke rapatimu vatane ai apa ana po rave rai, weramu winya ana nyo rave mo apa ramai tavon! Winyo rakarae nyare indati winy mpaya mangke Amisye rai rako? 
ROM.2.4	Nya ana nyo ratantona so mamaisye ramu! Abo, vemo wamantatukambe nora! Amisye atawandi wama ayao kakaije rai weye Apa kove manakoe wansai. Weramu vemo wamo Apa kovo manakoe so rawatambe nora, weye Apa kove ma daugaje indamu mo wansaugav wansakinavo wama ayao kakaije rai.
ROM.2.5	Wakoe! Weasanuga matu, waponae wasakinavo wapa ayao kakai raiji! Maisyare omaisyamo weapo mangke Amisye ratutumbe taune wasai, weti Apa mangke indati manakoe wasai arono Apa masyoto po vatane manajo awa udave rai. Masyoto naije Amisye apa pari mangke mamo Po raroron kakavimbe. 
ROM.2.6	Indati Po mangke rapatimugo vatane nanentabo mansai mamaisyo awa ana wo rave rarijati.
ROM.2.7	Vatan inta wo ana ngkove obo rave tutir, weye ubeker Amisye anayanambe mai muno ubeker Po maijasea titive indamu ukova no tawan. Vatano nanawiso indati Amisye po kovo nuge nuganui raunande mai. 
ROM.2.8	Weramu Amisye apa mangke muno Apa parije maje irati vatano kaijinta mai, nanawirati wo taune awa mayar dai bo rakani mansai, muno wo Amisye apa ayao mamaisye rawatambe yara utavondi ayao mamun mine so obo rai tutir. 
ROM.2.9	Vatano are nawirati wo ayao kakainoanive rave, weamo siurije indati mo mansakep muno anakotaro ngkakai nande mai—manasyimbe nande vatano Yahudi umba vatano Yahudi jewene mai tavon. 
ROM.2.10	Yara vatano are nawirati wo ana ngkove raijar tutir, indati Amisye anayanambe mai ti Po maijasea titive muno Po apa kovo saumane raugaje manuga rai—manasyimbe vatano Yahudi umba vatano Yahudi jewene mai tavon. 
ROM.2.11	Weye Amisye po vatane kotare inta mansamamaribe ramu,
ROM.2.12	Vatan tenambe wo ayao kakai rave, weti indati awa mangke maje mai. Vatano Yahudi onawamo Amisye indati po awa ayao kakai ama mangke rapatimugo mai mamaisyo Ananyao Musa rai. Weramu vatano Yahudi jewene nawamo wo Ananyao Musa raene ramu, weti awa mangke mamo Amisye po rapatimu mamaisyo Ananyao Musa raije ramu. Yara Po mangke raugaje mai mamaisyo awa ayao kakai rarijati. 
ROM.2.13	Weye vatano wo Ananyao Musa raraniv bayave onawamo umamai no Amisye amune raije ramu. Yara vatano nanawirati ubeta Ananyao Musa rai masyote rinit wenawirati umamai no Amune rai. 
ROM.2.14+ROM.2.15	Vatano Yahudi jewene wo Ananyao Musa raene jewen, weramu ranivara wo ana ngkove raen ti ubeta rai, weamo ananyao Amisye ntuna manuga rai to ije. Wo Ananyao Musa raene jewen bayave, weramu ranivara awa ana udave mamo mamaisyo Ananyao Musa mo ranyao rai, omamo mo raroron kakavimbe ananyao ntuna manuga rai to. Weye taune manuga mo awa ana udave raen inta mi ngkov, inta mi ngkakai. 
ROM.2.16	Amisye apa masyoto makare umu indati Po Yesus Kristus atutir indamu Po vatane manajo awa ana udave rai. Arono naije Po mangke rapatimugo awa anakotaro ngkokaibe no manuga rai tenambe. Wemamo mamaisyo Ayao Kovo syo ravove rai.
ROM.2.17	Inya, sya arakovo Yahudi weap! Wakangkamambe wapare, “Reamamo vatano Yahudi, weti reamamo Amisye taune apa kawasae nawirati ream.” Wapanave Ananyao Musa rai weye wapo rakarae omi mo wasauga ti wamamai no Amisye amune rai. 
ROM.2.18	Muno wapare wapo Apa bekere raen dave. Wapo Ananyao Musa ranyao tutir, weti anakotaro rui mi ngkov, rui mi ngkakai, wananta rai. 
ROM.2.19	Wapo ratantona wapare weapamo wabe unanuive vatano wantatukambe Amisye aije mansai, onawamo maisyare vatano mansamije ntuba mansamaisy weye una no kaumure rai. Wapo rakarae wasaurata irati varo mbaro mansai. 
ROM.2.20	Muno wapo raura wapare weapamo kuruno wapo ananyao raugaje vatano nanawirati wantatukambe muno awa ana wo ratantona matu rainye mansai. Wapo rakarae wapo mansanyao weye wapaura Ananyao Musa rai, wemirati ayao tugae muno mamaisye ratoe rai tenambe.
ROM.2.21	Sya arakovo Yahudi weap, vemo wasararin tai mai nora! Weapamo wapare wapo vatano kaije mansanyao, yara wapo taune wasanyao ramu! Wapo ananyao raugaje wapare, “Vemo nyanaonoambe inya,” weramu wabeanimaibe taune weapanaonoambe?! 
