GEN.1.1	Tota hoqarero Kotiva naaruvavata vatavata autu kero vatora. 
JER.51.24	Ho te Noravano Kotika tiha, Ne Isarerivata Iutaavata tave vaiqe, te Babironi iqoka vaiinti Ieruharemiqi vaiha qora kaiqa varaara virara iriha, Babironi vatanaaka náivata qoraiqama nimitarerave.
JER.51.25	Babironivauvo, are vaireva, aiqinavano ekaa vata maata qoraiqama kaira voqaarama variaro. Ho te Noravano Kotika ai navutaakama vauro. Te verara onkaiqihai ai utu vare aqu kaarirara are ihavano tatoqa kai aiqinara voqaarama vainarave.
JER.51.26	Babironi vatukavano anoma kero qoraiqama viraro viraqi naavu maaqa kaqataa oriva kirikairiro vairaro kia vovano ori viraqihairo vo ori varakero naavu kaqaanarove. Te Noravano Kotika minti turo, tiro.
JER.51.27	Ne vutora virini hiritaimanta navutaaka vira tave iqoka raquate. 
JER.51.28	Vo vatanaa vo vatanaaka naarama kaimanta vika qeramate Babironi hampata iqoka raquate. Midia vatanaa avuhainaukave, vika qiata vaiintive, vika vevaaraini varia vatanaakave, ekaa vika naarama kaimanta qeramate variate.
JER.51.29	Noravano Kotiva Babironi vata maata qoraiqama kareva auti vaivarora tiro, vi vatava qeteharo ntiri ntiri i vaivo. Noravano uva vatero tiharo, Te Babironi vata maata qoraiqama kaariraro vi vatava aahara vataiqama viraro, kia vovanovata mini ho varianarove, tirave.
JER.51.30	Tavaate. Babironi vika iqoka vaiinti iqoka qaqirake, nái kempukaiqamake aututaa vatukaraqi qaqima variavo. Vika kempukavano taiqa vimanta vika nahenti voqaara qeteha variavo. Navutaaka vaantaavura qentinavu ekaa rukavu raakavumake, naavu maaqavata ihaqohai tatoqa kaavo.
JER.51.31	Hihai hihai vokiaka vakaaka vare kante vuru avuhainaa vaiinti tiva ami tiha, Oho, navutaaka iqoka raqiha maa vatukara varaavo. 
JER.51.32	Vika namari taqe varianaini, voqi voqi vare, kapo vainaini vai ukaura qumpiarama kaamanta vira kaara tinavu iqoka vaiinti voqamake qete variavo, tiarave.
JER.51.33	Babironi vatuka viva vaireva, 
JER.51.34	Ieruharemini variaka mintima tiavo: Babironi vika avuhainaava tinavu haatara kero voqamakero tinavu qoraiqama timitairave.
JER.51.34	Viva tinavu rumpa varero vonaini vuru kaimanta tenavu mini vairera, qumina kure voqaara vaunarave. Viva kunavano aantau nampiqama kaintema kero, tinavu nampiqama kairave. Viva tenavu vo haika vo haika koqe haika vataunara namakero, viraqaahairo tinavu vuru vihi kairave.
JER.51.35	Ieruharemiqi variaka tiha, Oho, Babironi vika tinavu qora okara autu timitaarave.
JER.51.35	Ho qaqi kaimanta navutaaka vika náivata vohaa qaramake qoraiqama nimitaate. Qaqi kaivaro Babironi vika tinavu arukaa naareva vikaqaa variarire, ti variara.
JER.51.36	Vika minti tiavaro Noravano Kotiva Ieruharemiqi variakara tiharo, Ho iriate. Te ni mantaraini vaiha niqaa vuntu karerave. Te Babironini tuvi vai namarirave, aruvuhairo nte vai namarikave, ekaa aaharaiqama karerave.
JER.51.37	Te Babironi vatuka qoraiqama kaariraro viraqi vo kanta vo kanta orivanoqai kirikairiro vaira qaakau vairiqai mini vi anivarave. Vokika vatuka vira taveha voqamake qeteha ike mpo tiha nái kauqu runkinkiri ivarave. Kia vovanovata viraqi varianarove.
JER.51.38	Babironi vika qaraaka 
JER.51.39	Ho vika karara narara vaiqe te vika nivuqaa nora kara qerama nimitaari vika airi 
JER.51.40	Vaiintivano sipisipive memeraave arukareva ntita varero vintemake, te vikavata ntita vare vuru arukarerave, tiro. Noravano Kotiva minti tura.
JER.51.41	Naantiara Babironi vatukavano qoraiqama vuainarara iriha maantimake ihi tivarave:
JER.51.41	Oho, navutaaka iqoka raqiha Babironi vatuka aatara kaavo.
JER.51.41	Ekaa vo vatanaaka virara nai nora autu vataa vatukave tia vatukara navutaaka vira varaavo.
JER.51.41	Oho, vate maa entara ekaa vo vatanaaka vi vatukara taveha tiha, Tinavu haatu ite vai haikava qovaraiqivo, tivarave.
JER.51.42	Huvura namarivano auva nteharo ekaa haika aqukaintemake, navutaaka airitahaa Babironi vatukaqi raapamavi qoraiqama kevarave.
JER.51.43	Babironi vataini ekaa vo vatuka vo vatuka anomakero qoraiqama viraro, naavu maaqa kaqataa oriva vivaqai kirikairiro vairaro, kia vovanovata mini vairaro, kia vovanovata aaraini vi anianarove.
JER.51.44	Noravano Kotiva tiharo, Te Babironi vika una variqa Belira* qoraiqama amitaariraro viva vo vatanaaka ia haikara muara varakero nampiqama kaira qaiqaa vuru vihi kaarire. *
JER.51.44	Naantiara vo vatanaa vo vatanaaka kia qaiqaa nái 
JER.51.45	Ti vaiinti nahenti, ne Babironi vatukaqihai ruqemake aniate. Ne nenta qaqi variqi virara iriha kante aniate. Hauri ti Nora Kotika arara itairava nivata qoraiqama kaantorave.
JER.51.46	Ne aaranahainaa uva, vo uva vo uva iriha, kia qeteha variate. Vo ihi vo uvavano aaranahairo qovaraiqivaro, vo ihi vo uvavano qovaraiqi vairave. Nai ari nai ari i vai uvavave, avuhainaava vovano avuhainaara vo hampata iqoka raqi vai uvavave, vi uvava aaranahairo qaqiqai qovaraiqianarove.
JER.51.47	Ho vo enta anintairaqe te vi entaraqaa Babironi vika una variqa 
JER.51.49	Babironi vika Isareri airitahaa aruke, ekaa vo vatanaa vo vatanaakavata arukaara kaara, vika hiqinti taiqavi entava aumaiqivo.
JER.51.50	Ne Isareri kia Babironi vika iqoka paipevano ni arukaika, kia Babironiqi varike viraiti, vaaka ruqemake kantama vuate. Ne niara vataini vaihavata, ti Nora Kotikara noraiqaake iriha, Ieruharemi viraravata kia tauru kaate.
JER.51.51	Ne Isareri tiha, Babironi vika Nora Kotira Naavuqi oriqete vira turuaraini qoraiqama kaara kaara, vo kiaka tinavuara qora uva tiamanta tenavu voqamake kauriha vauro, tiarave.
JER.51.52	Ho vo enta anintairaqe te vi entaraqaa Babironi vika nái una variqa 
JER.51.53	Babironi vika naaruvaini oru vaiha, kempuka naavu vo kaqake vaiqevata, te vokika qaqiqai nititaari vika vi naavuravata vehi autu taiqama kevarave. Te Noravano Kotika minti turo, tiro.
JER.51.54	Ho iriate. Babironiqi vaiinti nahenti noraiqaake iqi rateha keke ti variavo. Navutaaka Babironi vata maata qoraiqama kaavaro uva 
JER.51.55	Noravano Kotiva Babironiqi variaka vehi autu taiqa kaanarove. Huvura namarivano noraiqaakero auva ntaintemake, navutaaka Babironi vika hampata iqoka raqiha noraiqaake aakara nte uvava Babironi vika keke ti uvaravata aatara kaanarove.
JER.51.56	Anomakero vehi autu nimitaarirava vovano Babironi vika hampata iqoka raqireva anianarove. Viva Babironi iqoka vaiinti rumpa varero vika huruvata kinta kaantama kaanarove. Te Noravano Kotika, Variqavano qora kaiqa vare variaka ruquti vauraukave. Te Babironi vika ruqutiha avuqavumake nái koqaavata nimirerave.
JER.51.57	Babironi vika nora vaiintive, vika koqe avu aato vataakave, vika qiata vaiintive, vika iqoka vaiintive, te tenta arara ite vai 
JER.51.58	Babironi vaantaavura noraqora vaimantavata, navutaaka vira vataini ravantiaqa aqukevarave. Vaantaavura qentinavu nai vukai qentinavu vaimantavata, navutaaka ihaqohai viravata tatoqa aqukevarave.
JER.51.58	Vo vatanaa vo vatanaaka vukaari utuke kaiqa vara taivaro vika kaiqavano quminaiqama vuanarove. Ihavano vika vo kaiqa vo kaiqa vara tera itama kaanarove. Te Noravano Kotika vi uvara turo, tiro.
JER.51.59	King Sedekaiava 4 ihiara Iutaaqaa raqiki vau entara viva Babironini vireva uvaro vira kaiqa vaiinti vo, Neriaara maaqu Seraiaava vikantiro vura. Seraiaara naaquva Maseaava vaura. Ho te Ieremaiaaka Seraiaara virara uva vara kera Iutaa Babironini variaka tiva nimiane tunara.
JER.51.60	Te vuku voqi naantiara Babironi vata maata qoraiqama vuaina uvara, vo uva vo uva qara ntuva taunara 
JER.51.61	Seraiaara ami tiha, Are Babironini oruntera ekaa maa uvara kaara ntuva kairamanta Isareri vika iriate. 
JER.51.62	Minti tivakera Kotira aarehara tiane, Noravauvo, Are minti tianarave: Te maa vata maatara vehi auti taiqa kaariraro kia vaiintive, aantauvahive, viraqi vairaro ekaa enta viva qumina vatavanoqai varianarove tianarave. tiane.
JER.51.63	Ho Seraiao, are vuku viraqi vai uvara kaara ntuva taiqakera, Kotiravata aarama taiqakera, ori vo varakera vuku viraqaa rumpakera varera muntu Iufaretisi Namariqi aqu kaane.
JER.51.64	Namariqi aqukera mintima tiane: Maa vukuva namariqi otinintemake, Babironi vikavata vataini tuvini kia qaiqaavata uritare vaivarave. Te Noravano Kotika vika qoraiqama nimitaari vika anomake kaavuntivarave, tiane.
JER.51.64	Ho Ieremaiaava tu uvava maaqaahairo taiqero.
JER.52.1	Sedekaiava 21 ihi varakova Iutaa avuhainaa vaiintiqama viro vaiharo Ieruharemiqi 11 ihiara ˻Iutaaqaa˼ raqiki vaura. Vira nova Hamutaliva Lipina vatukaihainaava Jeremaiaara raavuravano vaura.
JER.52.2	Jehoiakimiva qora okara autuntema kero, Sedekaiava vivavata Nora Kotira avuqaa qora okara auti vaura.
JER.52.3	Iutaavata Ieruharemiqi vaukavata qora okara auti vaura kaara, Nora Kotira voqama kero arara itovaro viva ekaara vitini vi vaiinti nahentikara popohovaro vika nai avuqaahairo qaqini vara kora.
JER.52.3	Ho Sedekaiava kia Babironi avuhainaa vaiinti vevaaraini vaireva auti vaura kaara 
JER.52.4	Sedekaiava 9 ihi 10 tora Iutaaqaa raqiki vau entara Babironi vika King Nebukanesaava nai iqoka vaiinti ekaa ntita varero ani Ieruharemi vatuka ututumatero aaqaini vaiharo nai 
JER.52.5	Babironi vika Ieruharemi vatuka ututumate variqi anuvaro Sedekaiava 11 ihiara Iutaaqaa raqiki vau entara 
JER.52.6	vi ihira 4 tora 9 entaqaa Ieruharemiqi karavano ekaa taiqa vuvaro vika kara neva kia vaura.
JER.52.7	Vi entara Babironi vika vaantaavura hini mantaraini ravantiaqake vatukaqi oriqetora.
JER.52.7	Mintumanta iqoka vaiinti Ieruharemiqi vauka qetake entaqi vika ekaa ruqemake vura. Babironi vika Ieruharemi vatuka ututumate vaumantavata, avuhainaara kaqava tataaqa qenti vo vaantaavura taaraqanta vaunaini vika ruqiare vevante, Ieruharemi ke Iotani Uqitaini vireka vura.
JER.52.8	Mini vireka vumanta Babironi iqoka vaiinti King Sedekaiara avataqi vuvaro viva Ieriko Uqitaini otu vumanta Sedekaiara vira iqoka vaiinti vika vira qaqirake ruqemake nariara nariara raumpirima vura.
JER.52.9	Vika vumanta Babironi iqoka vaiinti Sedekaiara ravaaqavu vare Nebukanesaava Ripila vatukaqi vaunaini vuru kovaro viva viraqaa uva vatero 
JER.52.10	vika Sedekaiara maaqunavu ntita vare vuru Sedekaiara nai avuqaa aruke, Iutaa qiata vaiinti vikavata ekaa arukora.
JER.52.11	Mintuma kovaro Nebukanesaava tumanta vika Sedekaiara avutantavata vauru kora. Vika vira avutanta vauruke 
JER.52.12	King Nebukanesaava 10 enta 5 tora 19 ihiara Babironiqaa raqiki vau entara, vaiinti vo Nebusaradaaniva Ieruharemini anura. Vi vaiintiva Nebukanesaaraqaa maimaraara raqiki vau vaiintika qiata vaiintivano vaura.
JER.52.13	Viva Ieruharemini anintero, Nora Kotira Naavuvata avuhainaa naavuvata qumpiarama kero, ekaa Ieruharemiqi nora vaiinti vika naavuvata qumpiarama kero, 
JER.52.14	viraqaahairo viva tumanta Babironi iqoka vaiinti vika Ieruharemi ori vaantaavura aututora ekaa rukavu raakavuma aqukora.
JER.52.15	Nebusaradaaniva Ieruharemiqi qaqi vaukave, vehi vaiinti nahenti hini kukave, vo kaiqa vo kaiqa kankomake tave vaukave, rumpa varero Babironini vuru kora. Vokuka iqoka qaqirake Babironi vevaaraini vauka, viva vikavata ntita varero, Babironini vuru kora.
JER.52.16	Viva ekaa vika Babironini vuru keharovata, Iutaa vokuka anomake vehiqamavi vauka vikaqai mini kero 
JER.52.17	Babironi vika Nora Kotira Naavu avuni 
JER.52.18	Nora Kotira Naavuqi vira kaiqa vara amite vau haikara 
JER.52.20	Haaru Soromonuva Nora Kotira Naavuara iriharo aututo haikara, 
JER.52.21	Kotira Naavu avuni 
JER.52.24	Nebusaradaaniva ˻Ieruharemiqi vaiharo˼ Kotira kaiqa vara amite vauka vika qiata vaiinti Seraiaara ravaaqavu varero, Seraiaara vira vevaaraini vau vaiintira Sefanaiara ravaaqavu varero, Kotira Naavu qentiqaa raqiki vauka taaramonavu ravaaqavu varero, 
JER.52.25	Ieruharemiqi Iutaa iqoka vaiintiqaa raqiki vau vaiintira vo ravaaqavu varero, Iutaa avuhainaara koqe avu aato ami vauka 7 navu ravaaqavu varero, Iutaa iqoka vaiinti naarama keharo vika nutu qara nti vau vaiintira vo ravaaqavu varero, Ieruharemiqi nora vaiinti 60 navuvata ravaaqavu kero varora.
JER.52.26	Nebusaradaaniva ekaa vi vaiintika ravaaqavu varero Babironi vika avuhainaava vaunaini Ripila vatukaqi 
JER.52.27	Hamaati vataini vuru kovaro Babironi vika avuhainaava tumanta ekaa vika arukora. Ho Babironi vika mintimake ˻Iutaa vokuka aruke,˼ vokuka rumpa vare nái vataihai vonaini vuru kora.
JER.52.28	Nebukanesaava maa vaiinti nahentika rumpa varero nai maaqaini vuru kora:
JER.52.28	Viva 7 ihiara raqiki vau entara: Iutaa vatanaaka 3,023.
JER.52.29	Viva 18 ihiara raqiki vau entara: Ieruharemiqihairo 823.
JER.52.30	Viva 23 ihiara raqiki vau entara: 745.
JER.52.30	Nebusaradaaniva ekaa vi vaiinti nahentika 4,600 rumpa varero Babironini vuru kora.
JER.52.31	Ho Iutaa King Jehoiakiniva Babironiqi 37 ihiara karapuhiqama viro vau entara, Evili-Merodaakiva Babironi avuhainaa vaiintiqama viro, vi ihira 12 tora 25 entaqaa viva Jehoiakinira koqema amiteharo vira karapuhiqihairo kuvantu kora.
JER.52.32	Evili-Merodaakiva Jehoiakinira vikantiro koqe uva tivakeharo, vira koqe autuvata amuvaro, viva Babironiqi ekaa avuhainauka vira hampata rumpatoka vikaqihairo Jehoiakinira autuvano avuni vaura.
JER.52.33	Jehoiakiniva qaqini kuvantuviro vau entaraqaahairo viva karapuhi utavaaqa kia qaiqaa nonkiraitiro, koqemakero vaiharo nai qaqi vau entara Babironi avuhainaa naavuqi kara ne vaura.
JER.52.34	Jehoiakiniva koqema kero variarire tiro, Babironi avuhainaava tumanta ekaa Jehoiakiniva qaqi vau entara vika vira monuve airairave ami vaura.
JON.1.1	Amitaira maaqu Ionaava vauvaro vo enta Noravano Kotiva vira tiva amiro 
JON.1.2	tiharo, Are himpira nora vatuka Niniveni oruntera vi vatanaaka qora kaiqa vare varia uvara vika qoqaa tiva nimiane. Te tavauraro vika qora kaiqa vare varia okarava uritarakero vaivo, tiro.
JON.1.3	Noravano Kotiva minti tuvaro Ionaava, Te kia mini virerave. Te qaqirake vonaini virerave tivakero, vo vatuka Tasisini vireva auti vaura. Viva Jopaini otuntero Tasisini vuaina 
JON.1.4	Ionaava minti tivakero 
JON.1.5	Mintumanta 
JON.1.6	Viva vaite vauvaro 
JON.1.7	Viva minti tumanta 
JON.1.8	Mintumanta vika tiha, Oho, are tinavu quqaa uva tiva timiraqe iriare. Ai okara kaarae maa okarava tinavuqaa qovaraiqivo? Are nana kaiqa varaaravave? Are taihairae aniaro? Ai maaqa tainie vaivo? Are ta vatanaavave? ti.
JON.1.9	Vika minti tuvaro Ionaava vika nái tiva nimiro tiharo, Te Hiparu vatanaakave. Te Noravano Kotiva naaruvaini vai Variqara autu tuaherake vauraukave. Noravano Kotiva nora namarivata vatavata autukero vataivave, tiro.
JON.1.10	Ionaava minti tivakero viva Nora Kotira uva qaqirakero vonaini vuare tu uvaravata vika tiva nimumanta iri, vika voqamake aatu itomanta tiha, Oho, are mintiharama qora kaiqama vara kaarao, ti.
JON.1.11	Vika minti tivake tavovaro nora namarivano voqavata 
JON.1.12	Vika minti tuvaro Ionaava tiharo, Ne ti utu vare nora namariqi vara vaavi aqu kaivaro namarivano oti vaiqiro tirema variarire. Te virara kankomake irunarave. Te maini anunara kaarama aaronaavano niqi qovaraiqivo, tiro.
JON.1.13	Ionaava minti tumanta vika kia vira namariqi aqu kaataa umanta vika tiha, Kaiqe namari rairaqi viha 
JON.1.14	viraqaahai vika Nora Kotira aareha tiha, Oho, Noravauvo, tenavu aima aare vauro. Tenavu maa vaiintira nora namariqi aqu kaarirara are kiama tinavuqaa uva vatehara tinavu haru kaane. Are tianantema keroma, aaronaa maava qovaraiqivo, ti.
JON.1.15	Vika minti tivake Ionaara utu vare vara vaavi nora namariqi kovaro vaakama nora namarivano qaki qaki i vauva taiqa viro tirema kero vaura.
JON.1.16	Mintumanta 
JON.1.17	Ho Ionaara namariqi aqu kovaro Noravano Kotiva nora havuka vara kovaro vi havukava Ionaara nampiqama kovaro Ionaava taaramo enta entaqivata aatitoraqaavata vira avutaqi vaura.
JON.2.1	Ionaava havuka auhaqi vaiharo nai Variqa Nora Kotira aarero 
JON.2.2	tiharo,
JON.2.2	Noravauvo, te anomake qoraiqamavi vaurauka ai aaraurara are ti uva irira iaro.
JON.2.2	Qutu vuaka varianaini te vaiha ai aareha ariara mpo ti kahaqiane turara are ti uva irira ti kahaqira iaro.
JON.2.3	Are nora namariqi ti aqu kaaramanta te varuvaqi kupeqavi vauraro nora namarivano ti naavuma kero tiqaa kumpetaqi uriro takui vaiharo vi ani vairave.
JON.2.4	Mintimanta te tiha, Oho, Kotiva nai avuqaahairo ti qaqirama kaivo. Mpo, te Kotira Naavu kia ho qaiqaavata tavaainarave, turo.
JON.2.5	Namarivano ti aqu kero raqutu kareva auti vaimanta te vauraro namarivano ti aqu ravaaqavu kaivaro namariqi vai ukauva ti qiatavau ovenaaruma kaimanta vaunarave.
JON.2.6	Nora namariqi vai aiqinara vira auvoqi te otinuraro vevaraqi vai vatava ti ekaara ravaaqavu kareva auti vaimanta vaunarave.
JON.2.6	Noravauvo, are ti Variqavano variaramanta te mini vaurara are nora varuvaqihaira ti tivita varaaramanta te kia qutu viraiti, qaqi vaunarave.
JON.2.7	Noravauvo, te tiha, Mpo, te qutu vuarirava aumantoma vaivo, tivake viraqaahai te ariara irike ai aaraurara are nena Naavuqihaira ti uva irianarave.
JON.2.8	Ike, una variqa autu tuaherake variaka kia are aaqurihama nimitaana okarara iriarave.
JON.2.9	Te kia vika voqaantemake vairaiti, te ihi tivakeha ariara koqeve tivaqi viha, vo 
JON.2.9	Te kauqu aiqiqaa aqukeha mintirerave tuna uvara quqaa mintirerave.
JON.2.9	Noravauvo, areqaima tinavu ruaruama timiterava variaro, tiro.
JON.2.10	Ionaava minti tivakero Nora Kotira aarovaro Noravano Kotiva tuvaro nora havukavano vuru aahara vataini Ionaara vihi kora.
JON.3.1	Noravano Kotiva qaiqaa Ionaara tiva amiro 
JON.3.2	tiharo, Are nora vatuka Niniveni oru vaihara te ai tiva amuna uvara vi vatanaaka tiva nimiane, 
JON.3.3	tuvaro Ionaava Noravano Kotiva tunte iro Niniveni vura.
JON.3.3	Ninive nai nora vatukavano vauvaro vaiintivano vi vatukara ututuma kero taaramo entara vi anima kaarirava vaura.
JON.3.4	Ho Ionaava Ninive vatukaqi oriqetero vohaa enta nuvakero, viraqaahairo viva naveraitiharo, 40 entanavu aitarairaro Kotiva maa vatukara vehi autu taiqa kaanarove, tiro.
JON.3.5	Ionaava minti tumanta Niniveqi vau vaiinti nahentika tiha, Quqaama Kotiva mintianarove, tivake vohaa uva tivake tiha, Kaiqenavu tenavu ekaa vaiinti nahenti, nora vaiintivata inaara vaiintivata kara auramate, nihi utavaaqaqai nonku taariraro Kotiva tenavu qora aara qaqira kaainara tavaarire, ti.
JON.3.6	Minti tuvaro avuhainaa vaiintivano Niniveqi vauva, vivavata vi uvara iriro viva nai avuhainaa taintaqaahairo himpiro nai koqe utavaaqa qaqini varakero nihi utavaaqa nonkutero oru iha quarato hantaraqi oquviro vaura. 
JON.3.7	Viva mintima kero vaiharo Niniveqi vau vaiinti nahentikaini uva varakero tiharo,
JON.3.7	Te ni avuhainauka tenta nora vaiintinavu vataake ni qioqama teha niara mintima ti:
JON.3.7	Ne ekaa kia kara naate. Vaiinti nahentive, purumakauve, sipisipive, tenavu ni qioqama teha kia karavata namarivata naate, turo.
JON.3.8	Ne ekaa kovaara utavaaqa nonkuteha, nenta purumakauqaave sipisipiqaave, kovaara tavuna aqu nimiteha Kotira aaramaqi viha qora kaiqa, vo kaiqa vo kaiqa varera qaqirake, nai ruquti nai ruquti okararavata qaqira kaate.
JON.3.9	Tenavu mintiariraro Kotiva tinavuara arara itairava humpairaro viva tinavu vehi autu kareva inara qaqira kero, tinavu aaqurihama timitaanarove? tiro.
JON.3.10	Avuhainaa vaiintivano minti tumanta ekaa vaiinti nahenti viva tunte uvaro Kotiva tavomanta vika qora aara qaqira kora. Mintuvaro Kotiva tota tu uvara qaqirakero vika aaqurihama nimiteharo kia vika vehi autu kora.
JON.4.1	Kotiva vaiinti nahenti aaqurihama nimitora kaara Ionaara arara itovaro 
JON.4.2	viva Kotira aarero tiharo, Noravauvo, te kia maini aniraiti, te tenta maaqaini variavauna entara quqaae te ariara viva mintianarove tiavaunarave? Virara irihama te qaqirake Tasisini ruqemake virera auti variavaunarave. Te kankomake irurara are vaiinti nahenti koqema nimitehara vika aaqurihama nimite variara Variqavave. Ai araravano kia vaaka itaivaro ai muntukavano vaiinti nahentiara voqama kero vaivara variaravave. Are vo haika kaara vaiinti nahenti vehi autu taiqa kareva ihara, vo avu aato irikehara kia vika vehi autu taiqake varianarave.
JON.4.3	Oho, Noravauvo, ti qaqi kairaqe te qutu vuare. Koqemama te kia qaqi vairaiti, qutu vuataarave, tiro.
JON.4.4	Ionaava minti tuvaro Noravano Kotiva aqao tiro, Kia virara ai arara itaarire. Ai arara itaarira haikava kiama ho vaivo, tiro.
JON.4.5	Noravano minti tuvaro Ionaava Ninive vatuka mini kero vatuka aaqaini kuariavu urinaini oru oquviro vaura. Viva haraara naavu kaqakero viraqi oquviro vaiharo tiharo, Kaiqe vaiha tavaariraro nana haikavanoe Niniveqi qovaraiqianarove? tivakero vauvaro 
JON.4.6	Noravano Kotiva kuarivano vira tatoqa kaantorave tiro, viva tuvaro vaahi naaqunta voqaava qampiqatero Ionaara aqu amitovaro Ionaava vaahi virara quaha kero vira aumaqaaraqi koqema kero vaura.
JON.4.7	Ionaava ho vauvaro vira qararaa Kotiva qaiqaa tuvaro toveqivano vaahi vira ne vauvaro vaahi viva tamunta vura. 
JON.4.8	Vaahivano tamunta vuvaro kuarivano uruvaro Kotiva kuahaara varakovaro uti vauvaro kuarivano noraiqaakero iteharo Ionaara qiata tatoqa kovaro vira kaara viva avu rira ura. Mintuvaro viva Kotira aareharo tiharo, Ti qaqi kairaqe te qutu vuare. Koqemama te kia qaqi vairaiti, qutu vuataarave, tiro.
JON.4.9	Minti tuvaro Kotiva tiharo, Vaahivano tamuntavira kaarae ai arara itaivo? Ai arara itaarira haikava kiama vaivo, tiro.
JON.4.9	Tuvaro Ionaava tiharo, Ti tirara itaarira haikava vairove. Ti tirara itairara tira, are ti qaqi kairaqe te qutu vuare, tiro.
JON.4.10	Ionaava minti tuvaro Noravano Kotiva aqao tiro, Are kia vaahi vira ututera viraqaata raqikiraitira, are qaqi variararo vaahi viva naivano entaqi qampiqeharo noruqama viro vira qararaa entaqi tamunta vira, vira kaara are mpo ike ti variaro. 
JON.4.11	Are vi haikara, qaqi qumina haikara mpo ike ti variaramantavata, te Ninivera mpo ike ti vauro. Ninive nora vatukavano vaimanta viraqi 120,000 vaiinti nahenti kia koqe okarave qora okarave ho rairake tavaaka variamanta sipisipivata purumakauvata airitahaa variamantara ti, te homa vikara ike mpo tiva nimitararave, tiro.
JON.4.11	Noravano Kotiva minti turama.
MAT.1.1	Ihu Karaitira anku maantima vaura:
MAT.1.1	Eparahaamivavata Devitivavata vitanta vira kaivaqaukatantama vaura.
MAT.1.2	Eparahaamiva Aisaakira qova vauvaro
MAT.1.2	Aisaakiva Iekopira qova vauvaro
MAT.1.2	Iekopiva Iutaara vira qata vakaara qova vauvaro
MAT.1.3	Iutaava Peresika Saraaka qova vauvaro vitanta nova Temaava vaura.
MAT.1.3	Peresiva Hesaronira qova vauvaro
MAT.1.3	Hesaroniva Raamira qova vauvaro
MAT.1.4	Raamiva Aminadaapira qova vauvaro
MAT.1.4	Aminadaapiva Nasonira qova vauvaro
MAT.1.4	Nasoniva Saramonira qova vauvaro
MAT.1.5	Saramoniva Boaasira qova vaura. Boaasira vira nova Rehaapiva vaura.
MAT.1.5	Boaasiva Obetira qova vaura. Obetira vira nova Rutiva vaura.
MAT.1.5	Obetiva Iesira qova vauvaro
MAT.1.6	Iesiva King Devitira qova vauvaro Devitiva Soromonura qova vaura. Soromonura nova tota Uraiaara naatavano vaura.
MAT.1.7	Soromonuva Rehoboamura qova vauvaro
MAT.1.7	Rehoboamuva Abiaara qova vauvaro
MAT.1.7	Abiaava Asaara qova vauvaro
MAT.1.8	Asaava Jehosafaatira qova vauvaro
MAT.1.8	Jehosafaativa Jehoraamura qova vauvaro
MAT.1.8	Jehoraamuva Usiaara qova vauvaro
MAT.1.9	Usiaava Jotaamura qova vauvaro
MAT.1.9	Jotaamuva Ahaasira qova vauvaro
MAT.1.9	Ahaasiva Hesekiaara qova vauvaro
MAT.1.10	Hesekiaava Manasera qova vauvaro
MAT.1.10	Manaseva Emonira qova vauvaro
MAT.1.10	Emoniva Josaiaara qova vauvaro
MAT.1.11	Josaiaava Jehoiakiniravata vira qatanavuvata qova vaura. Vi entara vo vatanaaka ekaa Isareri vatanaaka rarauke ntita vare Babironini vuru kora.
MAT.1.12	Jehoiakiniva Seatielira qova vauvaro
MAT.1.12	Seatieliva Serubabelira qova vauvaro
MAT.1.13	Serubabeliva Abiutira qova vauvaro
MAT.1.13	Abiutiva Eliakimira qova vauvaro
MAT.1.13	Eliakimiva Asora qova vauvaro
MAT.1.14	Asova Sadokira qova vauvaro
MAT.1.14	Sadokiva Akimira qova vauvaro
MAT.1.14	Akimiva Eliutira qova vauvaro
MAT.1.15	Eliutiva Eleasaara qova vauvaro
MAT.1.15	Eleasaava Mataanira qova vauvaro
MAT.1.15	Mataaniva Iekopira qova vauvaro
MAT.1.16	Iekopiva Iohepira qova vauvaro
MAT.1.16	Iohepiva Mariara vira vaativano vaura.
MAT.1.16	Mariava Ihura vatatora. Tenavu Ihurara 
MAT.1.17	Ihu Karaitira anku vaireva Eparahaamiraqaahairo Devitiraqaa vira kaivaqaukavara anku 14navu vaura. Devitiraqaahairo vatuka vo Babironini rarauke ntita vare vuru ko entaraqaa vira kaivaqaukavara anku 14navu vaura. Babironini rarauke ntita vare vuru koraqaahairo Karaitiva qovaraiqu entaraqaa vira kaivaqaukavara anku 14navu vaura.
MAT.1.18	Ihu Karaitira vatato okarava maantimama vairo: Vira nora Mariara Iohepira qaqi vaiririqama amitovaro kia vikantiro nuvaka Mariava tavovaro Kotira Maraquravano vira vainti taiqama kora. 
MAT.1.19	Viva vainti taiqama viro vauvaro vira vaativano Iohepiva koqe vaiintivano vaiharora tiro, viva tiharo, Te vaiinti nahenti nivuqaa Mariara atitaariraro viva kaurira haika varaantorave. Kaiqe te vira evaara atitaariraro vuarire, tiro.
MAT.1.20	Iohepiva naiqai mintima kero iriro, vaiteharo taira tave vauvaro Noravano atitova 
MAT.1.21	Ai naatavano qorainti vainti vuru vatatairara are vira autu reharama Ihurave tiane. Ihuva vaiinti nahenti kahaqama nimiteharo vika qora kaiqa vare uvara nunka nimiteharo vika kuvantu nimitaainarara tira, are vira autu rehara Ihurave tiane, tiro.
