MAT.1.1	I⁴la³ ti²ton³ la⁴jang³⁴ sa¹jeun³ quian¹ Jesucristo a³lang⁴³ jon⁴³tyie¹ A³brang²³ jian³ Da³vei²³.
JHN.14.14	Juah⁴ sia³ con³ i⁴mh²ˉ³ con⁴juah⁴ jm³i⁴sain³⁴ˉ⁴, cúa¹ˉ⁴.
JHN.14.15	’Juah⁴ne³ hnoh⁴³ˉ³ jnia⁴ tionh²ˉ³, hniah³ ma²teih³²ˉ³ heih⁴³ quien⁴ˉ⁴. 
JHN.14.16	Jian³ mh²ˉ⁵ Neih³ˉ⁴ i⁴cúan⁵i³ i²jan³ A³júanh² Tsei⁴³ Chie³, canh⁴a² hein²i³ jenh²ˉ³ tionh²ˉ³ la⁴jeg³⁴ jm²: 
JHN.14.17	M⁴tyi⁴ hain⁴ a³he²³ jau²³ ni²tei⁴³, a³hain⁴ a³sa⁴li⁴hyein⁴³ chie³ quian¹ m⁵cu³ la³, quie¹ ta⁵la⁴ sa⁴jen³i³ jian³ sa⁴cm²³i³ liah⁴; i² hnei³ tionh²ˉ³ ma³cmh⁴³ˉ³, quie¹ hein²i³ jenh²ˉ³ jian³ li⁴sian³ naih⁵ ni²hoh⁴³ˉ³ tionh²ˉ³. 
JHN.14.18	A⁵sian⁴³ hnei³ si⁵hangh⁴³ o³tan² júan¹ˉ⁴; quie¹ nioh²ˉ⁵ ni²nei³⁴ˉ⁴ jenh²ˉ³ tionh²ˉ³. 
JHN.14.19	Jian³ co⁴meih³pa² júah³ jm² sia³ i⁴a⁵sie⁴³ je⁴³ jnia⁴ chie³ quian¹ m⁵cu³ tionh², i² hnei³pa² tionh²ˉ³ jeh³²ˉ³ jnia⁴; jian³ quie¹ i⁴sian³⁴ jnia⁴, li⁴sia³ m⁵cu³ quianh³ˉ³ liah⁴. 
JHN.14.20	Jian³ jm² jon³ li⁴ñih¹ˉ³ i⁴sian³⁴ jnia⁴ naih⁵ ni²tsei⁴³ Neih³ˉ⁴, jian³ i⁴sianh³ hnei³ tionh²ˉ³ naih⁵ ni²tsei³⁴ jnia⁴, jian³ i⁴sian³⁴ jnia⁴ naih⁵ ni²hoh⁴³ˉ³ tionh²ˉ³ liah⁴. 
JHN.14.21	A³hain⁴ a³hyei³ heih⁴³ quien⁴ˉ⁴ jian³ ma³tei⁵i³, a³ne³pa² hain⁴ a³hnie³⁴ jnia⁴. Jian³ a³hain⁴ a³hnie³⁴ jnia⁴ lang⁴³ a³hnio³² quian¹ Neih³ˉ⁴, jian³ ma²hno³²i³ jnia⁴ liah⁴, jian³ ma²jnia³² jnia⁴ i²con²³i³.
JHN.14.22	I² jon³ a⁴juah⁴ Judas (a⁵hei⁴³ Iscariote):
JHN.14.22	―Hnei³ Se³ño²³, ¿e⁴le³⁴ jmah³ i²con²³ jnie³²pa² ma²jniah³²ˉ³? ¿I² e⁴le³⁴ sa⁴i²ma²jniah³²ˉ³ i²con²³ a³m⁵cu³ ne⁵?
JHN.14.23	Jon³ a⁴ŋangh³ Jesús, a⁴juah⁴i³:
JHN.14.23	―A³hain⁴ a³hnie³⁴ jnia⁴, ma³tei⁵i³ jau²³ quien⁴ˉ⁴; jian³ ma⁵hnie³⁴ Neih³ˉ⁴ quieh¹i³ liah⁴, jian³ jie² jnie³² jie³ jnie³² Neih³ˉ⁴ i²con²³ a³hain⁴ i⁴hyie² jnie³² naih⁵ ni²tsei⁴³i³. 
JHN.14.24	I² a³hain⁴ a³sa⁴hnie³⁴ jnia⁴, sa⁴ma³tei⁵i³ jau²³ quien⁴ˉ⁴. La⁴conh⁴ jau²³ i⁴ma³a⁴naih³ˉ³ tionh²ˉ³, a⁵jon⁴³ jau²³ quien⁴ˉ⁴ húan⁵ˉ⁵, quie¹ i⁴quieh¹ Neih³ pe²³ˉ⁴, a³hain⁴ a³a⁴sai⁴ jnia⁴.
JHN.14.25	’A⁴jeu³⁴ˉ⁴ hnei³ jau²³ la³ tionh²ˉ³ ta¹la⁴ sainh⁴³ˉ⁴ jenh²ˉ³. 
JHN.14.26	I² M⁴tyi⁴ quieh¹ Jon⁴dai¹, A³júanh² Tsei⁴³ Chie³ hain⁴, a³hain⁴ a³sain³⁴ Neih³ˉ⁴ nei² quien⁴ˉ⁴, hei⁴ pi²³i³ he³⁴ hnei³ la⁴jeg³⁴ jian³ júan³⁴i³ i⁴tyon⁴³ hoh⁴³ˉ³ la⁴jeg³⁴ i⁴ma³a⁴jeu³⁴ˉ⁴ hnei³.
JHN.14.27	’Tieh²la³ júan¹ˉ⁴ i⁴nie⁴³ tai³² m⁴tyi⁴ quianh³ˉ³ la⁴jon³ liah⁴i² sian³⁴ˉ⁴, la⁴ne³ cúa¹ˉ⁴; a⁵sia³ cúa¹ˉ⁴ i⁴nie⁴³ tai³² la³ liah⁴i² cúa²³ m⁵cu³ liah⁴. A⁵júan³ hnei³ hlion⁴ co³hei²tsei³ juah⁴ i⁴so⁵ñih¹ˉ³ liah⁴ sianh³ˉ³, jian³ a⁵júan³ hnei³ canh⁴³. 
JHN.14.28	Ma³a⁴naih³ˉ³ tionh²ˉ³ i⁴a⁴jeu³⁴ˉ⁴ hnei³, a⁴teg⁴ i²naih²ˉ⁵, jian³ nioh²ˉ⁵ liah⁴ i²conh²ˉ³ tionh²ˉ³. Juah⁴ne³ i⁴chie⁴³ ma⁵hnoh³²ˉ³ jnia⁴, jon³ ma²lei⁴ si³hyonh³ˉ³ i⁴a⁴juah³ˉ⁴ i⁴naih²ˉ⁵ i²con²³ Neih³ˉ⁴; quie¹ eu⁴³a² júanh⁴³ Neih³ˉ⁴ la⁴conh⁴a² jnia⁴. 
JHN.14.29	I² la⁴ne³ ma³a⁴jeu³⁴ˉ⁴ hnei³ tionh²ˉ³ naih⁵i² si⁵lei⁴ i⁴lei⁴, canh⁴a² tei⁴³i² ma³si³lei⁴, jon³ li⁴hainh⁴ˉ³ tionh²ˉ³.
JHN.14.30	’A⁵sie⁴³ ma⁵hleh¹ˉ⁴ hlion⁴ i²conh²ˉ³ tionh²ˉ³; quie¹ jia²³ a³sa⁴tsein³⁴ a³júan³ heih⁴³ i²con²³ a³tionh² m⁵cu³ la³. Jian³ i¹con³ sa⁴li⁴júan³⁴i³ nei² quien⁴ˉ⁴. 
JHN.14.31	I² canh⁴a² li⁴laih² a³m⁵cu³ i⁴hno⁵ˉ⁵ Neih³ˉ⁴, la⁴ne³ hniah³ si⁵lei⁴, jian³ la⁴conh⁴ heih⁴³ i⁴a⁴júan⁴i³, ma⁵tei³²ˉ⁴. Ra⁴hang³² hnei³ tionh²ˉ³ i²tieh²ˉ¹ la³, ma³²ˉ¹.
JHN.15.1	’Jnia⁴ lang⁴³ o¹sieh³² ya¹gm³jeh² i⁴chie⁴³, jian³ Neih³ˉ⁴ lang⁴³ a³hie³ hei²³ a²hma³ jon³. 
JHN.15.2	La⁴jeg³⁴ o¹cúah² i⁴quian³² jnia⁴ i⁴sa⁴hag³ o¹m⁴, queih³i³; jian³ la⁴jeg³⁴ o¹cúah² i⁴hag³ o¹m⁴, ma³jo²³i³ re³, canh⁴a² la⁴jon³ cúa³⁴ hlion⁴ pi¹ o¹m⁴. 
JHN.15.3	Jian³ ma³ti²cangh⁴ˉ³ tionh²ˉ³ con⁴juah⁴ jau²³ i⁴a⁴hlenh⁵ˉ⁵ hnei³. 
JHN.15.4	Ua²tionh²ˉ³ liah⁴ma³tionh²ˉ³ ne³ naih⁵ ni²tsei³⁴ jnia⁴, jian³ i⁴hein³²ˉ⁴ naih⁵ ni²hoh⁴³ˉ³ tionh²ˉ³. Jian³ sa⁴li⁴hag³⁴ o¹m⁴ o¹cúah² hña³, juah⁴ne³ sa⁴ya¹quian³² la⁴teg⁴ o¹sieh³²; conh⁴liah⁴ la⁴ne³ hnei³ tionh²ˉ³ liah⁴, i¹con³ i⁴tsei³⁴ sa⁴li⁴ma²jniah³²ˉ³, juah⁴ne³ sa⁴tionh²ˉ³ naih⁵ ni²tsei³⁴ jnia⁴.
JHN.15.5	’Jnia⁴ lang⁴³ o¹sieh³², hnei³ tionh²ˉ³ langh⁴³ o¹cúah². A³hain⁴ a³hein² naih⁵ ni²tsei³⁴ˉ⁴ jian³ hein³² jnia⁴ naih⁵ ni²tsei⁴³i³, a³la⁴ne³ ta² hlion⁴ i⁴tsei³⁴ ma³jnia³i³; i² juah⁴ne³ sa⁴jianh²ˉ³ jnia⁴ ne⁵, i¹con³ a⁵sia³ i⁴li⁴júanh²ˉ³ tionh²ˉ³. 
JHN.15.6	A³hain⁴ a³sa⁴hein² naih⁵ ni²tsei³⁴ jnia⁴ i⁴li⁴úan⁴i³, si⁵hang⁴³i³ ta⁵co⁴³ liah⁴i² ton²³i³ o¹cúah² hma³, jian³ li⁴quin³i³ liah⁴i² li⁴quein³ o¹cúah² hma³ i⁴tya²³i³ co⁴lagh⁴³ i⁴jeng³i³ i⁴co³⁴.
JHN.15.7	’I² juah⁴ne³ liah⁴ma³sianh³ˉ³ ne³ naih⁵ ni²tsei³⁴ˉ⁴ jian³ i⁴quianh²ˉ³ jau²³ quien⁴ˉ⁴ liah⁴ma³quianh²ˉ³ ne³ tionh²ˉ³, m² hnei³ la⁴jeg³⁴ i⁴hnoh³ˉ³, jian³ hyanh⁴ˉ³ liah⁴. 
JHN.15.8	Jian³ ta² lei³ i⁴júanh⁴³ Neih³ˉ⁴ la⁴teg⁴i² ma⁵jniah³²ˉ³ hlion⁴ i⁴tsei³⁴, jian³ la⁴ne³ lei³ i⁴langh⁴³ˉ³ chie³ quian³⁴ˉ⁴. 
JHN.15.9	La⁴jon³ liah⁴i² hnie³⁴ jnia⁴ Neih³ˉ⁴, la⁴ne³ hno⁵ˉ⁵ hnei³ tionh²ˉ³; ua²tionh²ˉ³ liah⁴ma³tionh²ˉ³ ne³ liah⁴ ra⁴hno⁵ˉ⁵ hnei³. 
JHN.15.10	Jian³ juah⁴ne³ ma⁵teih³²ˉ³ heih⁴³ quien⁴ˉ⁴, jon³ sa⁴teinh³ hoh⁴³ˉ³ liah⁴ hno⁵ˉ⁵ hnei³ tionh²ˉ³, la⁴jon³ liah⁴i² ma⁵tei³²ˉ⁴ la⁴jeg³⁴ heih⁴³ quieh¹ Neih³ˉ⁴, jian³ sa⁴si³hain⁴ tsei³⁴ˉ⁴ liah⁴ hnie³⁴i³ jnia⁴.
JHN.15.11	’A⁴jeu³⁴ˉ⁴ hnei³ jau²³ la³ canh⁴a² liah⁴i² si³hyonh³ jnia⁴, lei⁴ si³hyonh³ˉ³ liah⁴, jian³ canh⁴a² ni²hyan³² i⁴si³hyonh³ˉ³. 
JHN.15.12	Jian³ i⁴la³pa² heih⁴³ quien⁴ˉ⁴: i⁴ma²hnoh³²ˉ³ la⁴jan³ jan³ liah⁴i² ra⁴hno⁵ˉ⁵ hnei³ tionh²ˉ³. 
JHN.15.13	A⁵sion⁴³ i²jan³ ma⁵hnio³⁴ chie³ i⁴chie⁴³ i⁴la⁴la³ i⁴cúa²³i³ m⁵cu³ quieh¹ nei² quieh¹ a³ñi³reunh¹. 
JHN.15.14	Hnei³ tionh²ˉ³ langh⁴³ˉ³ a³ñi³reunh³ˉ⁴, juah⁴ne³ ma⁵teih³²ˉ⁴ la⁴conh⁴ heih⁴³ júan³⁴ˉ⁴. 
JHN.15.15	A⁵sie⁴³ ma⁵teh²ˉ⁵ hnei³ a³cúa²³ cúa³tag³², quie¹ a³cúa²³ cúa³tag³² a⁵sia³ ñi³i³ la⁴conh⁴ júan³ jeu³²i³. Quie¹ ma³a⁴juah³ˉ⁴ i⁴langh⁴³ˉ³ a³ñi³reunh³ˉ⁴ tionh²ˉ³, quie¹ la⁴jeg³⁴ i⁴a⁴nau³⁴ˉ⁴ i²con²³ Neih³ˉ⁴, ma³ma⁴jnia³²ˉ⁴ i²conh²ˉ³ la⁴jeg³⁴. 
JHN.15.16	A⁵sian⁴³ hnei³ a⁴hnieh² jnia⁴ tionh²ˉ³; jnia⁴pa² a⁴quianh⁵ˉ⁵ hnei³ jian³ ma³a⁴tonh³ˉ⁴ joh⁴³ cúah³ˉ³ i⁴ua²hanh²ˉ³ i⁴ma²jniah³²ˉ³ hlion⁴ i⁴tsei³⁴, jian³ i⁴tsei³⁴ i⁴ma²jniah³²ˉ³ jon³, tieh¹ úa⁴. Jian³ la⁴ne³ la⁴jeg³⁴ i⁴mh²ˉ³ i²con²³ Neih³ˉ⁴ con⁴juah⁴ jm³i⁴sain³⁴ˉ⁴, cúa³⁴ Neih³ˉ⁴ i²conh²ˉ³ tionh²ˉ³. 
JHN.15.17	Jian³ júan³⁴ˉ⁴ heih⁴³ la³: i⁴ma²hnoh³²ˉ³ a³jan³ jan³.
JHN.15.18	’Juah⁴ne³ hie²³ hnei³ a³m⁵cu³ tionh²ˉ³, ñih¹ˉ³ i⁴jnia⁴pa² ñeih³² ra⁵hie²³i³ la⁴conh⁴a² hnei³ tionh²ˉ³. 
JHN.15.19	Juah⁴ne³ ma²langh⁴³ˉ³ a³quian¹ m⁵cu³, jon³ ma²ma⁵hnie³⁴i³ hnei³ liah⁴i² hnio³⁴i³ chie³ quian¹. Quie¹ a⁴quianh⁵ˉ⁵ hnei³ jen² a³m⁵cu³, i⁴jon³ hie²³ hnei³ a³m⁵cu³, quie¹ so⁵langh⁴³ˉ³ chie³ quian¹ m⁵cu³. 
JHN.15.20	Tyon¹ hnei³ hoh⁴³ jau²³ la³ i⁴a⁴jeu³⁴ˉ⁴ hnei³: “I¹jan³ a³cúa²³ cúa³tag³² sa⁴tyein² la⁴conh⁴a² jeu³².” Juah⁴ne³ jnia⁴ ñeih³² a⁴hag⁴i³, leg⁴³ re³pa² hag³⁴i³ hnei³ tionh²ˉ³ liah⁴; juah⁴ne³ ma³tei⁵ chie³ jau²³ quien⁴ˉ⁴, jon³ ma⁴tei⁵i³ jau²³ quianh³ˉ³ tionh²ˉ³ liah⁴. 
JHN.15.21	I² la⁴jeg³⁴ i⁴ne³ júan³⁴i³ i²conh²ˉ³ nei² quien⁴ˉ⁴, quie¹ sa⁴cm²³i³ a³hain⁴ a³a⁴sai⁴ jnia⁴.
JHN.15.22	’Jian³ juah⁴ne³ sa⁴ma³cuan⁵ˉ⁵ m⁵cu³ la³ jian³ juah⁴ sa⁴ma²a⁴hleh³ˉ⁴ i²con²³i³, a⁵sia³ ma²li⁴juah⁴i³ i⁴ren³i³ chie³². I² tieh²la³ ne⁵, a⁵sie⁴³ li⁴juah⁴i³ juah⁴ i⁴sa⁴ren³i³ chie³². 
JHN.15.23	A³hain⁴ a³hie²³ jnia⁴, hion²³i³ Neih³ˉ⁴ liah⁴. 
JHN.15.24	Jian³ juah⁴ne³ sa⁴ma²a⁴júan³⁴ˉ⁴ jen²i³ i⁴sa⁴ma³a⁴júan⁴ i¹jan³ chie³, a⁵sia³ chie³² ma²ren³i³; i² tieh²la³ ne⁵, ma³a⁴je³⁴i³ jian³ ra⁵hie²³i³ jnia⁴ jian³ ra⁵hion²³i³ Neih³ˉ⁴ liah⁴. 
JHN.15.25	I² i⁴jon³ si³lei⁴ la⁴ne³ canh⁴a² li⁴tei⁴³ jau²³ i⁴ra³sag² lai²³ quieh¹i³ i⁴ra³juah⁴: “Ra⁵hie²³i³ jnia⁴ i⁴sa⁴sia³ nei².”
JHN.15.26	’I² la⁴teg⁴i² jia²³ A³júanh² Tsei⁴³ Chie³ hain⁴, a³hain⁴ a³sain¹ˉ⁴ a³jia²³ con⁴juah⁴ Neih³ˉ⁴, M⁴tyi⁴ a³he²³ jau²³ ni²tei⁴³, hei⁴ pi²³i³ hleh³ nei² quien⁴ˉ⁴, quie¹ jia²³i³ i²con²³ Neih³ˉ⁴. 
JHN.15.27	Jian³ hnei³ tionh²ˉ³ liah⁴, hleh²ˉ³ nei² quien⁴ˉ⁴, quie¹ ta⁵la⁴ jianh²ˉ³ jnia⁴ liah⁴ma²ra⁴lie⁵.
JHN.16.1	’A⁴jeu³⁴ˉ⁴ hnei³ la⁴jeg³⁴ jau²³ la³ canh⁴a² sa⁴teinh⁴³ hoh⁴³ˉ³ jnia⁴. 
JHN.16.2	Quie¹ húa⁵i³ hnei³ cuah³ judío tionh², quie¹ jia²³ jm² la⁴teg⁴i² lain⁴ chie³ i⁴hnie³⁴i³ jŋangh³i³ hnei³, lain⁴i³ ma⁵con⁴³i³ Jon⁴dai¹ la⁴ne³. 
JHN.16.3	Júan³i³ la⁴jon³ tionh² quie¹ sa⁴cm²³i³ Neih³ˉ⁴, jian³ a⁵ga⁴ jnia⁴ liah⁴. 
JHN.16.4	I² jeu³⁴ˉ⁴ hnei³ i⁴la³ ñeih³², canh⁴a² la⁴teg⁴i² jia²³ jm² jon³, jon³ tyon⁴³ hoh⁴³ˉ³ la⁴jeg³⁴ la⁴conh⁴ ma³a⁴jeu³⁴ˉ⁴ hnei³.
JHN.16.4	’Jian³ jau²³ la³ a⁵sia³ a⁴jeu³⁴ˉ⁴ hnei³ liah⁴ma²ra⁴lie⁵, quie¹ ta⁵la⁴ ma²hein³²pa² jnia⁴ jenh²ˉ³ tionh²ˉ³. 
JHN.16.5	I² tieh²la³ naih²ˉ⁵ i²con²³ a³hain⁴ a³a⁴sai⁴ jnia⁴; jian³ i¹jan³ hnei³ tionh²ˉ³ sa⁴li⁴ŋangh²ˉ³: “¿Jainh¹ cúah²ˉ³?” 
JHN.16.6	I² quie¹ ma³a⁴juah³ˉ⁴ la⁴jeg³⁴ i⁴ne³, i⁴jon³ ta² chionh⁴ hoh⁴³ˉ³ hlion⁴ mai²³ tionh²ˉ³. 
JHN.16.7	Quie¹ jeu³⁴ˉ⁴ hnei³ i⁴la³ i⁴chie⁴³pa²: i⁴eu⁴³a² re³ quianh³ˉ³ i⁴naih²ˉ⁵. Quie¹ juah⁴ne³ sa⁴naih²ˉ⁵, a⁵sia³ jia²³ A³júanh² Tsei⁴³ hain⁴ i²conh²ˉ³ tionh²ˉ³; i² juah⁴ne³ naih²ˉ⁵ ne⁵, ma²jon³ sainh³²i³ jnia⁴. 
JHN.16.8	I² la⁴teg⁴i² ma³cuan²³i³, jon³ júan³⁴i³ i⁴laih² tsei⁴³ a³m⁵cu³ i⁴lang⁴³i³ a³ti²ren³ chie³², jian³ liah⁴ li⁴tsein³⁴i³ ta⁵nei² Jon⁴dai¹, jian³ liah⁴ queih³ Jon⁴dai¹ heih⁴³ i²con²³ chie³. 
JHN.16.9	Li⁴laih²i³ i⁴ti²ren³i³ chie³² tionh², quie¹ sa⁴hain⁴i³ i²con²³ jnia⁴; 
JHN.16.10	jian³ li⁴ñi³i³ liah⁴ li⁴tsein³⁴i³, quie¹ naih²ˉ⁵ i²cua⁴³ Neih³ˉ⁴, jian³ a⁵sie⁴³ ma⁵jeh³²ˉ³ jnia⁴; 
JHN.16.11	jian³ li⁴ñi³i³ liah⁴ queih³ Jon⁴dai¹ heih⁴³ i²con²³ chie³, quie¹ ma³a⁴queih³i³ heih⁴³ i²con²³ a³sa⁴tsein³⁴, a³júan³ heih⁴³ i²con²³ a³tionh² m⁵cu³ la³.
JHN.16.12	’Hlion⁴ pi¹ hno⁵ˉ⁵ jeu¹ˉ⁴ hnei³ tionh²ˉ³, i² tieh²la³ ne⁵, sa⁴tian⁴ li⁴ŋangh⁴ˉ³. 
JHN.16.13	I² la⁴teg⁴i² ma³cuan²³ M⁴tyi⁴ a³he²³ jau²³ ni²tei⁴³, hei⁴ pi²³i³ he³⁴ hnei³ tionh²ˉ³ la⁴jeg³⁴ jau²³ ni²tei⁴³; jian³ a⁵sia³ hleh³i³ con⁴juah⁴ co³hei²tsei³ quieh¹ hña³, quie¹ hleh³i³ la⁴conh⁴ a⁴nau⁴i³, jian³ júan³⁴i³ i⁴li⁴ñih¹ˉ³ la⁴jeg³⁴ i⁴si⁵lei⁴. 
JHN.16.14	Jian³ júan³⁴ hei⁴i³ i⁴júanh⁴³ jnia⁴, quie¹ hyei³⁴i³ la⁴jeg³⁴ nei² quien⁴ˉ⁴, jian³ júan³⁴i³ i⁴li⁴ñih¹ˉ³ tionh²ˉ³. 
JHN.16.15	Quie¹ la⁴jeg³⁴ i⁴sia³ quieh¹ Neih³ˉ⁴, i⁴quien⁴ jnia⁴pa²; i⁴jon³pa² a⁴juah³ˉ⁴ i⁴hyei³⁴ M⁴tyi⁴ quieh¹ Jon⁴dai¹ la⁴jeg³⁴ nei² quien⁴ˉ⁴, jian³ júan³⁴i³ i⁴li⁴ñih¹ˉ³ tionh²ˉ³.
JHN.16.16	’Jian³ co⁴meih³pa² júah³ jm² sia³ i⁴a⁵sie⁴³ jeh³²ˉ³ jnia⁴, jian³ sa⁴úa⁴pa² coh⁵ ne³, jeh³²ˉ³ jnia⁴ liah⁴ i⁴seg³⁴, quie¹ naih²ˉ⁵ i²cua⁴³ Neih³ˉ⁴.
JHN.16.17	I² la⁴jon³ a⁴júanh⁴ co⁴meih³ chie³ quian¹i³ tionh², a⁴sagh⁴³i³ a³jan³ jan³:
JHN.16.17	―¿Henh⁴ ra³juah⁴ i⁴ne³ i⁴a⁴sag⁴³i³ jnia¹ i⁴juah⁴i³: “Co⁴meih³pa² júah³ jm² sia³ i⁴a⁵sie⁴³ jeh³²ˉ³ jnia⁴, jian³ sa⁴úa⁴pa² coh⁵ ne³, jeh³²ˉ³ jnia⁴ liah⁴ i⁴seg³⁴, quie¹ naih²ˉ⁵ i²cua⁴³ Neih³ˉ⁴”?
JHN.16.18	I² i⁴jon³ a⁴júanh⁴i³:
JHN.16.18	―¿Henh⁴ hnie³⁴ ra³juah⁴ jau²³ jon³, “co⁴meih³pa² júah³ jm²”? Quie¹ sa⁴ŋang⁴ jnia¹ henh⁴ si²hleh²i³.
JHN.16.19	Jon³ ra⁵laih² Jesús i⁴ma²hnie³⁴ chie³ quian¹i³ ŋang³⁴ i²con²³i³, jon³ a⁴sagh⁴³i³:
JHN.16.19	―¿O⁴ ti²júanh⁴ˉ³ tionh²ˉ³ húanh⁴ˉ³ nei² quieh¹ jau²³ i⁴a⁴juah³ˉ⁴: “Co⁴meih³pa² júah³ jm² sia³ i⁴a⁵sie⁴³ jeh³²ˉ³ jnia⁴, jian³ sa⁴úa⁴pa² coh⁵ ne³, jeh³²ˉ³ jnia⁴ liah⁴ i⁴seg³⁴”? 
JHN.16.20	I⁴chie⁴³pa² jeu³⁴ˉ⁴ hnei³ tionh²ˉ³, i⁴hoh³²ˉ³ jian³ li⁴chionh⁴ hoh⁴³ˉ³, i² a³m⁵cu³ ne⁵, lei⁴ si³hyonh³i³ tionh²; jian³ ua²liah⁴a² li⁴chionh⁴ hoh⁴³ˉ³ tionh²ˉ³, i⁴chionh⁴ hoh⁴³ˉ³ jon³, lei⁴ si³hyonh³ˉ³ hlion⁴ mai²³. 
JHN.16.21	Quie¹ liah⁴i² lang⁴³ jan³ a³m⁴ tei⁴³i² cuan⁴ a³jon⁴³i³, si³hei⁴ queuh³ tsei⁴³i³, quie¹ ma³a⁴teg⁴ o²ra³ quieh¹i³; i² tei⁴³i² ma³cuan²³ yein³ ne⁵, a⁵sie⁴³ ma⁵tyon²³ tsei⁴³i³ ma²eu⁴³ i⁴a⁴can³⁴i³, nei² quieh¹ i⁴eu⁴³ si³hyonh³i³ i⁴ra⁵sian³ yein³ m⁵cu³ la³. 
JHN.16.22	Jian³ la⁴ne³pa² hnei³ tionh²ˉ³ liah⁴, li⁴chionh⁴ hoh⁴³ˉ³ tieh²la³; i² nia²jen³² pe²³ˉ⁴ hnei³ liah⁴ i⁴seg³⁴, i² ma²jon³ lei⁴ si³hyonh³ˉ³ tionh²ˉ³ hlion⁴ mai²³, con³ i⁴si³hyonh³ˉ³, i¹jan³ sa⁴li⁴qui³⁴.
JHN.16.23	’Jian³ jm² jon³ a⁵sie⁴³ ma⁵hniah³ ŋangh³²ˉ³ jnia⁴ i¹con³. Quie¹ i⁴chie⁴³pa² jeu³⁴ˉ⁴ hnei³, la⁴jeg³⁴ i⁴mh²ˉ³ i²con²³ Neih³ˉ⁴ con⁴juah⁴ jm³i⁴sain³⁴ˉ⁴, cúa³⁴i³. 
JHN.16.24	Jian³ la⁴teg⁴ tieh²la³, i¹con³ a⁵sia³ i⁴ma³a⁴mh²ˉ³ tionh²ˉ³ con⁴juah⁴ jm³i⁴sain³⁴ˉ⁴; m² hnei³ jian³ hyanh⁴ˉ³, canh⁴a² hyan⁵ i⁴si³hyonh³ˉ³.
JHN.16.25	’Ma³a⁴jeu³⁴ˉ⁴ hnei³ la⁴jeg³⁴ i⁴la³ con⁴juah⁴ jau²³ sa⁴lei³; i² jia²³ jm² i⁴so⁵hlenh²ˉ⁵ hnei³ tionh²ˉ³ con⁴juah⁴ jau²³ sa⁴lei³, quie¹ hleh¹ˉ⁴ ra³jia⁵ o³tan² nei² quieh¹ Neih³ˉ⁴. 
JHN.16.26	Jian³ jm² jon³ mh³²i³ hnei³ con⁴juah⁴ jm³i⁴sain³⁴ˉ⁴; jian³ a⁵sia³ juah³ˉ⁴ juah⁴ jnia⁴pa² mh²ˉ⁵ Neih³ˉ⁴ nei² quianh³ˉ³, 
JHN.16.27	quie¹ hña³pa² Neih³ˉ⁴ ma³hnie³⁴ hnei³, quie¹ ra⁵hnoh⁴³ˉ³ jnia⁴ tionh²ˉ³, jian³ ra⁵hainh⁴ˉ³ i⁴a⁴nia³⁴ˉ⁴ i²con²³ Jon⁴dai¹. 
JHN.16.28	A⁴nia³⁴ˉ⁴ i²con²³ Neih³ˉ⁴ i⁴cuan⁵ˉ⁵ m⁵cu³ la³, jian³ la⁴ne³ liah⁴ hniah³ jau¹ˉ⁴ m⁵cu³ la³, i⁴naih²ˉ⁵ i²con²³ Neih³ˉ⁴.
JHN.16.29	I² jon³ a⁴juah⁴ chie³ quian¹i³ tionh²:
JHN.16.29	―Ne⁵a² si²hleh³ˉ³ ra³jia⁵ o³tan², a⁵sie⁴³ ma⁵hleh³ˉ³ con⁴juah⁴ jau²³ sa⁴lei³. 
JHN.16.30	Jian³ nia² jnie³² tieh²la³ i⁴ñih¹ˉ³ la⁴jeg³⁴, jian³ a⁵sie⁴³ ma⁵hniah³ juah⁴ i⁴ŋang³⁴ chie³ i²conh²ˉ³ i¹jan³. I⁴jon³ hain⁴ jnie³² i⁴a⁴niah³ˉ³ i²con²³ Jon⁴dai¹.
JHN.16.31	I² jon³ a⁴ŋangh³ Jesús:
JHN.16.31	―¿O⁴ ne⁵pi¹ ra⁵hainh⁴ˉ³ tionh²ˉ³? 
JHN.16.32	Quie¹ ma³ja²³ jm², ma³a⁴tyie³⁴ tieh²la³pa² la⁴teg⁴i² so⁵jenh³ hnei³ ma⁵quein²³ la⁴jan³ jan³ hnei³ tionh²ˉ³ cm³⁴, jian³ tonh³²ˉ³ jnia⁴ húan⁵ˉ⁵. I² a⁵sia³ quionh⁴ˉ⁴ húan⁵ˉ⁵, quie¹ jian²³pa² jnia⁴ Neih³ˉ⁴. 
JHN.16.33	La⁴jeg³⁴ i⁴ne³ a⁴hlenh⁵ˉ⁵ hnei³ tionh²ˉ³ canh⁴a² sianh³ˉ³ hyon³ hoh⁴³ˉ³ con⁴juah⁴ jnia⁴. Jian³ m⁵cu³ la³ hniah³ canh²ˉ³ ma²eu⁴³; jian³ re³ tya² hnei³ hoh⁴³, quie¹ jnia⁴ ma³a⁴cagh³²ˉ⁴ jm² m⁵cu³ la³.
JHN.17.1	Con³ma²a⁴hleh⁴ Jesús jau²³ jon³, jon³ a⁴je³⁴i³ ta⁵ñi⁴jeu⁵, a⁴juah⁴i³:
