GEN.1.1	Ba pun iya kelia,
2CH.26.2	Udah bekau pemati Amasiah, Usiah ngalah lalu nirika nengeri Elat lalu mulaika nengeri nya ngagai Judah.)
2CH.26.3	Usiah nyadi raja lebuh umur iya enam belas taun, lalu iya merintah di Jerusalem lima puluh dua taun. Indai iya Jekoliah, ari Jerusalem. 
2CH.26.4	Iya ngereja utai ti ngerinduka ati TUHAN, neladan apai iya. 
2CH.26.5	Sekumbang Sekariah, ti nyadi penyanding penemu iya, agi idup, Usiah betuaika TUHAN enggau ati ti tetap, lalu Allah Taala merekatka iya.
2CH.26.6	Usiah nyerang orang Pilistin. Iya ngeruntuhka kuta nengeri Gat, Jabnil, enggau Asdot, lalu iya nirika nengeri ti bekuta semak Asdot, enggau ba endur bukai di menua Pilistin. 
2CH.26.7	Allah Taala nulung iya ngalahka orang Pilistin, orang Arab ti diau di Gurbaal, enggau orang Meun. 
2CH.26.8	Orang Amon mayar chukai ngagai Usiah, lalu kuasa iya amat besai datai ke berita pasal iya nyau ngelekai nyentuk ngagai menua Ejip.
2CH.26.9	Kena negapka kuta nengeri Jerusalem, Usiah ngaga menara ba Pintu Sukut, Pintu Lebak, enggau ba sukut kuta nya. 
2CH.26.10	Iya mega ngaga menara ti bekuta di menua pesisir, lalu numbak berapa buah telaga, laban iya nupi mayuh amat jelu ba kaki bukit di barat enggau ba emperan. Iya rinduka pengawa umai, nya alai iya meransang orang Judah bekebun anggur ba menua ti bebukit, lalu bumai tanah ti ami.
2CH.26.11	Bala soldadu iya mayuh, lalu sida endang seruran sedia deka beperang. Cherita pasal utai ti dikereja bala soldadu iya dituliska magang ulih kerani iya Jeiel seduai Maseiah ari baruh Hananiah, siku ari orang ke bekereja ke raja. 
2CH.26.12	Bala soldadu raja diuluka 2,600 iku bala pemesai. 
2CH.26.13	Sida pemesai tu nguluka 307,500 iku soldadu ke ulih ngelaban munsuh ngarika raja. 
2CH.26.14	Usiah meri ngagai bala soldadu iya terabai, sangkuh, selapuk kebal, baju kebal, panah enggau laja, enggau batu ti deka ditimbakka ngena pangwang. 
2CH.26.15	Orang ke diasuh iya begagaka utai di Jerusalem, ngaga semacham pekekas kena nimbakka laja, enggau kena nimbakka batu ari menara enggau ari sukut kuta nengeri. Berita pasal iya ngelekai ngagai semua endur, lalu iya nyadi orang ke besai kuasa ari tulung Allah Taala.
2CH.26.16	Tang lebuh Usiah nyau udah kering, iya sumbung. Penyumbung iya ngujungka iya dibuai. Iya enda ngasika TUHAN Allah Taala iya laban iya mansang ngagai Rumah Sembiang lalu nunu menyan ba alta ti alai nunu menyan. 
2CH.26.17	Imam Asariah, disempulang lapan puluh iku imam ke kering sereta berani, lalu nitihka raja 
2CH.26.18	 deka nagang iya. Ku sida, “Usiah! Nuan nadai hak nunu menyan ke TUHAN. Semina imam ke ari peturun Aron aja, ti udah dikuduska, tau ngereja pengawa nya. Angkat nuan ari tu. TUHAN Allah Taala udah ringat ngagai nuan, lalu Iya enggai agi merekatka nuan.”
2CH.26.19	Usiah lalu ringat. bediri tegir-tegir dia dalam Rumah Sembiang, ngimbai alta ti alai nunu menyan, megai utai ti dikena nunu menyan. Iya lalu ringat ngagai bala imam. Tekala nya penyakit kulit ti tau ngerampit lalu pegari ba kening iya. 
2CH.26.20	Asariah enggau sida imam ti bukai lalu genung-genung merening meda kening raja. Udah nya sida lalu mejalka iya angkat ari Rumah Sembiang. Iya lalu beguai-guai pansut, laban TUHAN udah ngukum iya.
2CH.26.21	Kenyau ari nya, nyentuk ngagai pemati iya, iya nyadi orang ke enda tuchi ketegal penyakit nya. Iya nadai agi tau tama ngagai Rumah Sembiang. Iya diau dalam rumah iya empu. Semua kuasa iya dirampas ari iya, lalu iya diganti anak iya ke benama Jotam megai perintah di menua nya.
2CH.26.22	Nabi Isaiah anak Amos bisi nuliska semua utai bukai ti udah dikereja Raja Usiah lebuh maya Usiah megai perintah. 
2CH.26.23	 Usiah mati lalu dikuburka ba tanah kubur bala raja, tang laban iya ngidapka penyakit kulit, iya enda dikuburka ba lumbung bala raja empu. Anak iya Jotam nganti iya nyadi raja.
2CH.27.1	Jotam nyadi raja lebuh umur iya dua puluh lima taun, lalu iya merintah di Jerusalem enam belas taun. Indai iya Jerusah anak Sadok. 
2CH.27.2	Iya ngereja utai ti ngerinduka ati TUHAN, baka apai iya. Tang iya enda bedosa betunuka menyan dalam Rumah Sembiang baka apai iya. 
2CH.27.3	Jotam nya meh orang ke ngaga Pintu Utara ke Rumah Sembiang, lalu iya mega ngaduka kuta di Jerusalem ba endur ti dikumbai Opel. 
2CH.27.4	Iya ngaga mayuh bengkah nengeri di menua ti bebukit di menua Judah. Lalu iya begagaka kuta enggau menara. 
2CH.27.5	Iya ngelaban raja menua Amon enggau bala soldadu raja nya, lalu ngalahka sida. Udah nya iya mejalka orang Amon mayar chukai genap taun dalam tiga taun, ngagai iya baka tu: 3,400 kilogram pirak, 1,000 tan gandum, enggau 1,000 tan barli. 
2CH.27.6	Jotam bekuasa laban iya tetap ati ngasika TUHAN Allah Taala iya. 
2CH.27.7	Utai bukai ti nyadi lebuh Jotam megai perintah, perang enggau polisi iya, bisi dituliska magang dalam Jerita Lama Pasal Raja Menua Israel enggau Menua Judah. 
2CH.27.8	Umur Jotam dua puluh lima taun lebuh iya berengkah nyadi raja, lalu iya merintah di Jerusalem enam belas taun. 
2CH.27.9	Iya mati lalu dikuburka di nengeri David, lalu anak lelaki iya Ahas nganti iya nyadi raja.
2CH.28.1	Ahas nyadi raja lebuh umur iya dua puluh taun, lalu iya merintah di Jerusalem enam belas taun. Iya enda neladan pemanah pengawa aki iya Raja David, tang ngereja utai ti enda ngerinduka ati TUHAN 
2CH.28.2	lalu neladan sida raja menua Israel. Iya ngasuh orang ngaga engkeramba Baal ari besi, 
2CH.28.3	betunuka menyan ba Lebak Hinom. Indah anak lelaki iya empu deh diserahka iya nyadika piring tunu ngagai engkeramba nya, nunda utai ti jai ti udah dikereja orang ke udah diburu TUHAN ari menua nya lebuh orang Israel nyerang. 
2CH.28.4	Ahas ngenjuk piring sereta nunu menyan ba genap iti endur alai orang kapir nyembah petara sida, ba sebelah bukit enggau ba endur ti lindung di baruh kayu.
2CH.28.7	Siku soldadu orang Israel ke benama Sikri munuh anak lelaki Raja Ahas ke benama Maseiah, ke ngemataka pekara dalam istana, enggau Elkanah, ti nyadi lumur dua raja. 
2CH.28.8	Taja pen orang Judah nya raban bansa sida empu, orang Israel nangkap 200,000 iku indu enggau bala nembiak nyadi orang tangkap, enggau mayuh amat perapasan lalu mai semua utai nya ngagai Samaria.
2CH.28.9	Siku nabi TUHAN ke benama Odet bisi diau di nengeri Samaria. Iya betemu enggau bala soldadu orang Israel ke baru pulai beperang lalu baru deka tama ngagai nengeri, mai orang Judah ke ditangkap sida. Ku nabi nya bejaku, “TUHAN Allah Taala aki ini kita ringat ngagai orang Judah, lalu nejuka kita ngalahka sida, tang diatu Iya udah ninga pasal pemalat kita udah bebunuhka sida. 
2CH.28.10	Nyadi diatu kita deka ngaga bala lelaki enggau indu orang Jerusalem enggau Judah nyadi ulun kita. Kati kita enda nemu diri udah mega bedosa ngelaban TUHAN Allah Taala kita? 
2CH.28.11	Pendingka aku! Orang tangkap tu sida menyadi lelaki enggau menyadi indu kita. Lepaska sida, enggai ke TUHAN ringat lalu ngukum kita.”
2CH.28.12	Empat iku tuai ari perintah ti di utara, Asariah anak Jehohanan, Berekiah anak Mesilemot, Jehiskiah anak Salum, enggau Amasa anak Hadlai, mega enda besetuju enggau utai ti udah dikereja bala soldadu. 
2CH.28.13	Ku sida, “Anang mai orang tangkap tu kitu! Kitai udah bedosa ngelaban TUHAN, lalu udah ngasuh Iya udah chukup ringat, datai ke Iya nyau deka ngukum kitai. Lalu diatu kita deka ngereja utai kena nambahka penyalah kitai.” 
2CH.28.14	Nya alai bala soldadu lalu nyerahka orang tangkap enggau perapasan sida ngagai orang mayuh enggau ngagai tuai sida, 
2CH.28.15	lalu orang ke empat iku nya diletak meri gari ari perapasan nya ngagai orang tangkap nya. Sida lalu meri sida gari enggau kasut, pemakai ti chukup, lalu ngunsut abi telih sida ngena minyak kana. Sida ke kelalu lembut tulang, sereta enda ulih bejalai, lalu ditepanka sida ba keledai, lalu semua orang tangkap nya dianjung pulai ngagai Jeriko di menua Judah, alai ti mayuh kayu engkerema. Udah nya orang Israel lalu pulai ngagai Samaria.
2CH.28.16+2CH.28.17	Orang Edom belabuh nyerang menua Judah baru, lalu bulih mayuh amat orang tangkap. Nya alai Raja Ahas minta Tiglat Pileser, raja menua Asiria, nulung iya. 
2CH.28.18	Lebuh maya nya orang Pilistin benung nyerang nengeri di menua ti ba kaki bukit di barat enggau di selatan menua Judah. Sida ngalahka nengeri Bet-semes, Aijalon, enggau Gederot, enggau nengeri Soko, Timnah, enggau Gimso, enggau genturung pendiau ti ngelingi nengeri nya, lalu ngentapka diri dia. 
2CH.28.19	Laban Raja Ahas menua Judah enda bebasaka hak bala nembiak iya, lalu enda ngasika TUHAN, TUHAN ngasuh penusah ninggang menua Judah. 
2CH.28.20	Raja besai menua Asiria enda nulung iya, tang ngelaban iya, lalu ngenusahka iya. 
2CH.28.21	Nya alai Ahas ngambi emas ari Rumah Sembiang, ari istana, enggau ari rumah bala tuai bansa, lalu meri emas nya ngagai raja menua Asiria. Tang raja nya mengkang enggai nulung iya.
2CH.28.22	Makin balat agi penusah ninggang iya, makin balat agi ga iya bedosa ngelaban TUHAN. 
2CH.28.23	Iya ngenjuk piring ngagai petara orang Siria ti udah ngalahka iya. Ku iya, “Bala petara orang Siria udah nulung raja menua Siria. Nya alai, enti aku ngenjuk piring ngagai bala petara nya, kada enda sida deka mega nulung aku.” Utai tu ngasuh penusah ti besai ninggang iya enggau bansa iya empu. 
2CH.28.24	Nambahka nya, iya ngambi semua pekekas dalam Rumah Sembiang, lalu mechahka utai nya. Iya nutup Rumah Sembiang, lalu ngaga alta ba genap bengkah endur di Jerusalem. 
2CH.28.25	Iya ngaga endur alai orang kapir nyembah petara sida, alai sida betunuka menyan ke petara sida dalam semua nengeri ti besai enggau nengeri ti mit. Nya meh jalai iya ngasuh TUHAN Allah Taala aki ini iya, ringat ngagai iya.
2CH.28.26	Semua utai ti udah nyadi lebuh iya megai perintah, kenyau ari pun nyentuk ke ujung, bisi dituliska magang dalam Jerita Lama Pasal Raja Menua Judah Enggau Menua Israel. 
2CH.28.27	 Raja Ahas mati lalu dikuburka di Jerusalem, tang ukai ba lumbung bala raja. Iya lalu diganti anak lelaki iya Hesekiah nyadi raja.
2CH.29.1	Hesekiah nyadi raja menua Judah lebuh umur iya dua puluh lima taun, lalu iya merintah di Jerusalem dua puluh semilan taun. Indai iya Abijah anak Sekariah. 
2CH.29.2	Iya ngereja utai ti ngerinduka ati TUHAN, neladan aki iya Raja David.
2CH.29.3	Dalam bulan ti kesatu 
2CH.29.4	Iya ngempuruka bala imam enggau orang Lewi ba tengah laman timur Rumah Sembiang 
2CH.29.5	lalu bejaku ngagai sida dia. Ku iya, “Kita orang Lewi enda tau enda nguduska diri, lalu nuchi Rumah Sembiang TUHAN Allah Taala aki ini kita. Buai ari Rumah Sembiang nya semua utai ti ngamahka iya. 
2CH.29.6	Sida aki ini kitai udah enda tetap ati ngagai TUHAN Allah Taala kitai, lalu udah ngereja utai ti nyungkak TUHAN ringat. Sida udah ninggalka Iya, lalu nguingka belakang sida ngagai endur alai Iya diau. 
2CH.29.7	Sida udah nikupka pintu Rumah Sembiang, nejuka lampu padam, lalu enda nunu menyan tauka ngenjuk piring tunu dalam Rumah Sembiang Allah Taala ke disembah orang Israel. 
2CH.29.8	Nya kebuah TUHAN ringat ngagai menua Judah enggau Jerusalem, lalu utai ti udah dikereja Iya ngagai sida udah ngasuh semua orang tekenyit ati sereta takut. Kita empu nemu nya. 
2CH.29.9	Bala apai kitai udah mati beperang, lalu bala bini enggau bala anak kitai udah ditabanka munsuh nyadi orang tangkap.
2CH.29.10	“Diatu aku udah mutuska runding deka ngaga siti sempekat enggau TUHAN Allah Taala ke disembah orang Israel, ngambika Iya enda agi ringat ngagai kitai. 
2CH.29.11	Anak, anang masau jam. Kita tu orang ke udah dipilih TUHAN nunu menyan ke Iya, sereta nguluka orang mayuh nyembah Iya.”
2CH.29.12+2CH.29.13+2CH.29.14	Tu nama orang Lewi ke bisi dia:
2CH.29.12+2CH.29.13+2CH.29.14	Ari raban peturun Kohat: Mahat anak Amasai, enggau Joel anak Asariah
2CH.29.12+2CH.29.13+2CH.29.14	Ari raban peturun Merari: Kis anak Abdi, enggau Asariah anak Jehalelel
2CH.29.12+2CH.29.13+2CH.29.14	Ari raban peturun Gerson: Joah anak Simah, enggau Eden anak Joah
2CH.29.12+2CH.29.13+2CH.29.14	Ari raban peturun Elisapan: Simri seduai Jeuel
2CH.29.12+2CH.29.13+2CH.29.14	Ari raban peturun Asap: Sekariah seduai Mataniah
2CH.29.12+2CH.29.13+2CH.29.14	Ari raban peturun Heman: Jehuel seduai Simei
2CH.29.12+2CH.29.13+2CH.29.14	Ari raban peturun Jedutun: Semaiah seduai Usiel
2CH.29.15	Bala sida tu lalu ngempuruka bala orang Lewi ti bukai, lalu semua sida bela nuchi diri magang. Udah nya, nitihka atur ti diberi Raja Hesekiah ngagai sida, sida lalu belabuh nuchi Rumah Sembiang, nitihka Adat TUHAN. 
2CH.29.16	Bala imam tama ngagai Rumah Sembiang, deka nuchi rumah nya, lalu sida muai semua utai ti enda tuchi ngagai tengah laman Rumah Sembiang. Ari nya bala orang Lewi lalu mai semua utai nya pansut ari nengeri ngagai Lebak Kidron.
2CH.29.17	Pengawa nuchi Rumah Sembiang berengkah kena satu hari bulan ti kesatu, lalu kena lapan hari bulan nya, semua pengawa nya tembu magang dikereja, nyentuk ngagai bilik penama ti nuju ngagai Rumah Sembiang. Udah nya sida bekereja lapan hari da agi, nyentuk ngagai enam belas hari bulan nya, nyendiaka Rumah Sembiang alai besembiang.
2CH.29.18	Orang Lewi lalu madahka ngagai Raja Hesekiah: “Kami udah tembu nuchi Rumah Sembiang, nyengkaum alta alai nunu piring, mija alai engkah roti ti kudus, enggau semua pekekas utai nya. 
2CH.29.19	Kami udah mega mai pulai baru semua pekekas ti udah diambi Raja Ahas sekumbang iya ti enda tetap ati ngagai Allah Taala, lalu kami udah nyerahka utai nya baru ngagai TUHAN. Semua utai nya bisi di mua alta TUHAN magang.”
2CH.29.20	Raja Hesekiah lalu beguai-guai ngempuruka bala tuai nengeri, lalu semua sida sama mansang ngagai Rumah Sembiang. 
2CH.29.21	Sida mai tujuh iku sapi ti lelaki, tujuh iku jelu bedus, tujuh iku anak domba, enggau tujuh iku kambin nyadika piring pengampun dosa sida raja sebilik, enggau dosa orang Judah, enggau kena nuchi Rumah Sembiang. Raja lalu ngasuh bala imam, ke ari peturun Aron, meri jelu nya nyadika piring ba alta. 
2CH.29.22	Bala imam munuh sapi ti lelaki dulu, udah nya bedus, lalu udah nya anak domba, lalu sida ngunsaika darah siku-siku jelu nya ba alta nya. 
2CH.29.23	Ke pengujung iya sida lalu mai kambin ngagai raja, enggau ngagai orang bukai ke besembiang dia, lalu semua sida bela ngengkahka jari sida ba kambin nya. 
2CH.29.24	Udah nya bala imam lalu munuh kambin nya, lalu nuang darah jelu nya ba alta nyadika genselan kena muai dosa semua orang mayuh, laban raja udah ngasuh piring tunu enggau piring pengampun dosa, digagaka semua orang Israel.
2CH.29.25	Raja nitihka atur ti udah diberi TUHAN ngagai Raja David ngena Gat, ti nyadi nabi raja, enggau ngena nabi Natan. Iya ngasuh orang Lewi bepalan ba Rumah Sembiang, mai belikan enggau bebendai, 
2CH.29.26	iya nya pekekas baka ke udah dikena Raja David. Bala imam mega bediri dia mai terumpit. 
2CH.29.27	Hesekiah lalu ngasuh piring tunu nya dienjuk ba alta. Lalu lebuh pengawa nya berengkah, orang mayuh lalu belagu muji TUHAN, lalu bala orang ke nebah musik belabuh nebah terumpit enggau semua perengka musik ti bukai. 
2CH.29.28	Semua orang ke bisi dia bela enggau nyembah TUHAN magang, lalu pengawa belagu enggau nebah musik dikereja enda ngetu-ngetu datai ke semua piring nya udah ditunu magang. 
2CH.29.29	Udah nya Raja Hesekiah enggau semua orang mayuh besugang, lalu nyembah Allah Taala. 
2CH.29.30	Raja enggau bala tuai bansa lalu ngasuh orang Lewi belagu ke TUHAN ngena lagu puji ti udah ditulis David enggau lagu ti udah ditulis nabi Asap. Semua orang lalu belagu magang enggau ati ti gaga, lebuh sida besugang nyembah Allah Taala.
2CH.29.31	Hesekiah lalu bejaku enggau orang mayuh, “Kita diatu udah nyerahka diri ngagai TUHAN, nya alai bai piring terima kasih kita ngagai TUHAN.” Sida lalu ngereja nya. Sekeda sida mega ngatika diri mai jelu nyadika piring tunu. 
2CH.29.32	Sida mai tujuh puluh iku sapi ti lelaki, seratus iku jelu bedus, enggau dua ratus iku anak domba nyadika piring tunu ngagai TUHAN. 
2CH.29.33	Sida mega mai enam ratus iku sapi ti lelaki, enggau tiga ribu iku jelu bedus nyadi piring ke diempa bala mayuh. 
2CH.29.34	Tang bala imam ti munuh jelu nya enda chukup tubuh niti kulit semua jelu nya, nya alai orang Lewi nulung sida, datai ke pengawa nya tembu. Laban ba urung maya nya mayuh agi bala imam udah nuchi diri. (Orang Lewi lebih agi tetap ati ngintu diri tuchi ari bala sida imam.) 
2CH.29.35	Nambahka piring tunu segala, bala sida imam mega betanggungjawap betunuka lemak ti udah diberi ari piring ti diempa orang mayuh, sereta betanggungjawap nuang wain ti diberi sama enggau piring tunu.
2CH.29.35	Nya meh jalai pengawa nyembah TUHAN dalam Rumah Sembiang nyau dikereja baru. 
2CH.29.36	Raja Hesekiah enggau orang mayuh bela gaga ati magang, laban Allah Taala udah nulung sida ngereja semua utai nya enggau jampat.
2CH.30.4	Raja enggau orang mayuh gaga ati ke pelan nya, 
2CH.30.5	nya alai sida mesanka semua orang Israel, kenyau ari Dan di utara nyentuk ngagai Beer-seba di selatan, minta sida begempuru di Jerusalem mayuh agi ari ti udah, lalu ngintu Gawai Paska nitihka Adat. 
2CH.30.6	Bala orang ke mai pesan mupuk, nitihka jaku raja enggau bala pemesai iya, lalu bejalai ngagai serata menua Judah enggau menua Israel, mai pesan tu:
2CH.30.6	“Orang Israel, kita udah mujur nan di menua tu lebuh orang Asiria nyerang. Nya alai pulai meh kita baru diatu ngagai TUHAN Allah Taala ke disembah Abraham, Isak, enggau Jakop, ngambika TUHAN pulai baru ngagai kita. 
2CH.30.7	Anang baka aki ini kita enggau baka kaban belayan kita orang Israel ti enda tetap ati ngagai TUHAN Allah Taala sida. Kita empu nemu, TUHAN udah balat amat ngukum sida. 
2CH.30.8	Anang kieh ati baka sida, tang ngasika TUHAN. Datai ngagai Rumah Sembiang di Jerusalem, ti udah dituchi TUHAN Allah Taala kita belama iya, lalu sembah TUHAN ngambika Iya enda agi ringat ngagai kita. 
2CH.30.9	Enti kita pulai baru ngagai TUHAN, nya baru orang ke udah nabanka kaban belayan kita nyadi orang tangkap deka sinu ati ke sida, lalu nejuka sida pulai baru ngagai menua diri. TUHAN Allah Taala kita siru sereta kasih, lalu enti kita pulai baru ngagai Iya, Iya deka nerima kita.”
2CH.30.10	Bala orang ke mai pesan nya bejalai ngagai semua nengeri di menua Epraim enggau Manasi, enggau ngagai menua ti di utara nyentuk ngagai raban bansa Sebulun, tang orang mayuh ketawa sereta beduan sida. 
2CH.30.11	Tang taja pia, sekeda orang ari raban bansa Aser, Manasi, enggau Sebulun bisi ati deka datai ngagai Jerusalem. 
2CH.30.12	Allah Taala mega bekereja di menua Judah, lalu ngempung orang mayuh lalu ngasuh sida mutus ati ngasika peneka Iya, lebuh sida nitihka atur raja enggau bala pemesai iya.
2CH.30.13	Dalam bulan ti kedua mayuh amat orang begempuru di Jerusalem ngerami Gawai Roti Ti Enda Beragi. 
2CH.30.14	Sida ngeruntuhka semua alta di Jerusalem ti udah alai orang ngenjuk piring enggau betunuka menyan, lalu muai utai nya ngagai Lebak Kidron. 
2CH.30.15	Lalu kena empat belas hari bulan nya, sida nyayat anak domba nyadika piring Gawai Paska. Bala imam enggau orang Lewi ti enda tuchi, nyau berasai malu ke diri empu, datai ke sida nyau nyerahka diri ngagai TUHAN lalu ulih ngenjuk piring tunu dalam Rumah Sembiang. 
2CH.30.16	Sida ngambi endur diri dalam Rumah Sembiang nitihka atur dalam Adat nabi Moses. Orang Lewi meri darah ari piring ngagai bala imam, ke lalu ngunsaika darah nya ngagai alta. 
2CH.30.17	Nyadi laban orang agi mayuh apin nuchi diri, sida enda tau nyayat anak domba ke Gawai Paska nya. Nya alai bala orang Lewi ngereja pengawa nya ke sida, lalu nyerahka anak domba nya ngagai TUHAN. 
2CH.30.18	Nambahka nya, mayuh orang ke udah datai ari raban bansa Epraim, Manasi, Isakar, enggau Sebulun apin nuchi diri, lalu sida ngintu Gawai nya enggau chara ti enda menyana. Raja Hesekiah besampika sida munyi tu: 
2CH.30.19	“O TUHAN Allah Taala aki ini kami, enggau pemanah ati Nuan ampun meh orang ke nyembah Nuan enggau pengabis ati sida, taja pen sida enda tuchi.” 
2CH.30.20	TUHAN nyaut sampi Hesekiah. Iya ngampun sida, lalu enda ngukum sida. 
2CH.30.21	Bala orang mayuh begempuru di Jerusalem ngintu pengerami Gawai Roti Ti Enda Beragi dalam pengelama tujuh hari enggau ati ti gaga, lalu orang Lewi enggau bala imam muji TUHAN tiap hari enggau pengabis pengering sida. 
2CH.30.22	Hesekiah muji orang Lewi ketegal pengelandik sida nguluka orang nyembah TUHAN.
2CH.30.22	Lebuh sida udah ngenjuk piring tujuh hari kena muji TUHAN Allah Taala aki ini sida, 
2CH.30.23	semua sida lalu mutuska runding deka nampung pengerami nya tujuh hari da agi. Nya alai sida ngintu pengerami nya tujuh hari da agi enggau ati ti gaga. 
2CH.30.24	Raja Hesekiah meri seribu iku sapi ti lelaki enggau tujuh ribu iku bedus ngambika bisi dibunuh sereta diempa orang mayuh, lalu bala pemesai meri sida seribu iku sapi ti lelaki, enggau sepuluh ribu iku bedus. Lalu mayuh amat bala imam ngereja pengawa nuchi diri empu. 
2CH.30.25	Semua orang Judah, bala imam, orang Lewi, orang ke datai ari utara, orang kampar ti udah ngentapka diri di menua Israel enggau menua Judah, bela rami gaga magang. 
2CH.30.26	Nya alai semua orang di nengeri Jerusalem gaga ati magang, laban nadai utai ti baka nya udah kala nyadi kenyau ari rambau Raja Solomon, anak Raja David. 
2CH.30.27	Bala imam enggau orang Lewi minta TUHAN merekatka orang mayuh. Allah Taala ninga sampi sida ari rumah Iya di serega, lalu iya nerima sampi sida.
2CH.31.1	Lebuh Gawai nya udah tembu, semua orang Israel lalu mansang ngagai semua nengeri di serata menua Judah, lalu mechahka tiang batu, nebang tanda petara indu Aserah, lalu ngerusak alta enggau endur alai orang kapir nyembah petara sida. Sida ngereja baka nya mega di serata menua Judah, di menua Benjamin, Epraim, enggau Manasi. Udah nya semua sida pulai ngagai menua diri empu.
2CH.31.2	Raja Hesekiah lalu numbuhka baru atur pengawa bala imam enggau orang Lewi, lalu genap iku sida meruan diberi pengawa. Pengawa nya nyengkaum ngenjuk piring tunu, enggau piring pemaik, enggau nyembah Allah Taala dalam Rumah Sembiang, meri puji enggau meri terima kasih ba mayuh bengkah endur dalam Rumah Sembiang. 
2CH.31.3	 Ari raban jelu bedus enggau raban jelu sapi iya empu, Raja Hesekiah meri jelu nyadika piring tunu genap pagi enggau lemai, enggau jelu ti diberi lebuh Hari Sabat, lebuh Gawai Anak Bulan, enggau lebuh gawai bukai ti diletak Adat TUHAN.
2CH.31.5	Lebuh atur nya udah dipadahka, orang Israel lalu mai pemeri ari gandum ti terubah diketau sida, wain, minyak kana, ai manyi, enggau asil bukai ari umai. Sida mega mai pemeri sepuluh peratus 
2CH.31.6	Semua orang ke diau di nengeri dalam menua Judah bela mai pemeri sepuluh peratus ari jelu sapi enggau jelu bedus sida, lalu sida mega mai mayuh pemeri bukai ti udah diserahka sida ngagai TUHAN Allah Taala sida. 
2CH.31.7	Pemeri nya belabuh datai dalam bulan ti ketiga, lalu majak betugung dia empat bulan. 
2CH.31.8	Lebuh Raja Hesekiah enggau bala pemesai iya meda pemayuh pemeri nya, sida muji TUHAN, lalu muji orang Israel. 
2CH.31.9	Raja bejaku ngagai bala imam sereta enggau orang Lewi pasal pemeri nya, 
2CH.31.10	lalu ku Imam Besai Asariah, ke ari peturun Sadok, bejaku enggau iya, “Sekumbang orang mayuh udah berengkah mai pemeri ngagai Rumah Sembiang, utai diempa chukup magang, sereta mayuh belaluh. Kitai bisi semua utai tu laban TUHAN udah merekatka bala nembiak Iya.”
2CH.31.11	Nitihka atur raja, sida lalu nyendiaka siti bilik setor dalam kandang Rumah Sembiang 
2CH.31.12	lalu sida nyimpan semua pemeri enggau pemeri sepuluh peratus dalam bilik setor nya, ngambika utai nya disimpan enggau likun. Sida ngasuh siku orang Lewi ke benama Konaniah nyadi tuai ngemataka utai nya, lalu ngasuh menyadi iya Simei nyadi penulung iya. 
2CH.31.13	Sepuluh iku orang Lewi diasuh gawa di baruh seduai iya: Jehiel, Asasiah, Nahat, Asahel, Jerimot, Josabat, Eliel, Ismakiah, Mahat, enggau Benaiah. Semua utai tu dikereja atas kuasa nama Raja Hesekiah seduai Imam Besai Asariah. 
2CH.31.14	Kore anak Imnah, siku orang Lewi ti nyadi tuai bala jejaga ba Pintu Timur Rumah Sembiang, nyadi tuai nerima pemeri ti diserahka ngagai TUHAN, sereta nyadung utai nya. 
2CH.31.15	Ba nengeri bukai ti alai bala imam diau, iya ditulung bala orang Lewi ti bukai ke tetap ati. Tu nama sida nya: Eden, Miniamin, Jesua, Semaiah, Amariah, enggau Sekaniah. Sida nyadung pemakai ngagai sida ke sama orang Lewi, nitihka bagi pengawa sida, 
2CH.31.16	lalu ukai nitihka ripih raban peturun. Sida meri siti ungkup ngagai semua lelaki ke umur tiga puluh 
2CH.31.17	Bala imam diberi tanggungjawap nitihka raban peturun sida, lalu orang Lewi ke umur dua puluh taun ke atas diberi pengawa nitihka raban. 
2CH.31.18	Semua sida nya dituliska nama magang sama enggau nama bala bini, anak, enggau orang ke ditupi sida, laban sida endang enda tau enda seruran sedia ngereja pengawa ti kudus ba sebarang maya. 
2CH.31.19	Nyadi dalam nengeri ti udah diungkup alai peturun Aron diau, tauka ba padang rumput ti ngelingi nengeri nya, orang bisi diberi tanggungjawap nyadung pemakai ngagai semua lelaki dalam ruang bilik bala imam, enggau ngagai semua orang ke bisi nama ditulis dalam list nama orang ke ari raban peturun orang Lewi.
2CH.31.20	Raja Hesekiah ngereja utai ti ngena di serata menua Judah lalu ngerinduka ati TUHAN Allah Taala iya. 
2CH.31.21	Iya mujur, laban semua utai ti dikereja iya ke Rumah Sembiang tauka pengawa iya ke nitihka Adat, udah dikereja iya enggau ati ti pemadu taluk sereta angkunka Allah Taala iya.
2CH.32.1	Lebuh Raja Hesekiah udah ngereja semua utai nya lalu nunjukka diri mengkang tetap ati betuaika TUHAN, Senakerip, raja menua Asiria, nyerang menua Judah. Iya ngelulung mayuh bengkah nengeri ti bekuta, lalu ngasuh bala soldadu iya ngeruntuhka kuta lalu tama ngagai nengeri nya. 
2CH.32.2	Lebuh Hesekiah meda Senakerip deka nyerang Jerusalem, 
2CH.32.3	iya enggau bala pemesai iya mutuska runding deka nutup semua penatai ai di luar nengeri; sida lalu nulung iya. 
2CH.32.4	Mayuh amat sida begempuru, lalu sida nutup semua penatai ai ti rarat nengah menua nya. Ku sida bejaku, “Awakka raja menua Asiria nadai tetemuka ai, lebuh iya datai.” 
