GEN.1.1	Tshimolohong, Modimo o ne o hlole mahodimo le lefatshe.
ISA.29.18	Tsatsing leo, ba thibaneng ditsebe ba tla utlwa ditaba tsa buka; mahlo a difofu a tla phunya bosiu le lefifi, a bone. 
ISA.29.19	Mafutsana a tla eketsa ho thabela Jehova, bahloki ba itlotlise ka Mohalaledi wa Iseraele. 
ISA.29.20	Hobane mohlorisi ha a sa tla ba teng, mosomi le yena o tla be a fedile, le batho bohle ba fadimehelang ho etsa bobe ba tla be ba tlositswe, 
ISA.29.21	e leng ba tswang ba bang nyeweng, ba tjhehang ya sa kwekwetleng ditabeng kgotla, ba dihelang ya lokileng ka mashano a bona. 
ISA.29.22	Ka baka leo, Jehova ya lopolotseng Abrahama o bolella ntlo ya Jakobo, o re: Jwale, Jakobo ha a sa tla ba le dihlong, sefahleho sa hae ha se sa tla hlola se swaba. 
ISA.29.23	Hobane bana ba hae, mohla ba bonang mosebetsi wa matsoho a ka ho yena, ba tla tlotlisa lebitso la ka; e, ba tla tlotlisa Mohalaledi wa Jakobo, ba hlonephe Modimo wa Iseraele. 
ISA.29.24	Bao meya ya bona e neng e kgeloha, ba tla ithuta bohlale; ba neng ba nganga, ba tla amohela thuto.
ISA.30.1	Ho madimabe bana ba ithatafatsang, ho bolela Jehova, ba rerang taba, empa e seng ka nna, ba etsang dilekane, empa e seng ka moya wa ka, ba tle ba eketse sebe hodima sebe; 
ISA.30.2	ba theohelang Egepeta, ba eso ho botse molomo wa ka, ba tle ba balehele tshirelong ya Faro, ba itshirele ka moriti wa Egepeta. 
ISA.30.3	Hobane tshirelo ya Faro e tla ba fetohela dihlong, le ho ipea moriting wa Egepeta ho ba fetohele sekgobo. 
ISA.30.4	Leha baholo ba Juda ba se ba fihlile Tsowane, le manqosa a hae a se a le Hanese, 
ISA.30.5	ba tla swaba kaofela ka baka la setjhaba se se nang molemo ho bona, seo ba ke keng ba bona thuso ho sona, leha e le molemo, empa e le dihlong le tshwabo feela.
ISA.30.6	Boporofeta hodima diphoofolo tsa borwa.
ISA.30.6	Naheng ya tsietsi, ya mahlomola, ya tau e tshehadi le tau e tona, ya qowane le noha e fofang, ba belesa matlotlo a bona ka diesele, le maruo a bona mekokotlong ya dikamele, ho ya tjhabeng seo ba ke keng ba kotula letho ho sona. 
ISA.30.7	Hobane thuso ya Egepeta ke lefeela le bosawana; ke ka baka leo ke bitsang hoo: Modimo o moholo o sa sebetseng letho.
ISA.30.8	Eya jwale, taba tseo o di ngole hodima lematjana pela bona, o di ngole bukeng, di tle di bolokelwe mehla e tlang ho tla, e be pontsho ka ho sa yeng kae. 
ISA.30.9	Hobane ke setjhaba se ikgantshang, ke bana ba leshano, bana ba hanang ho utlwa molao wa Jehova; 
ISA.30.10	ba reng ho diboni: Le se ke la bona! le ho baporofeta: Le se ke la re porofetela nnete, re bolelleng ditaba tse kgahlisang, le re bonele tse thetsang! 
ISA.30.11	Kgelohang tsela, eyang kathoko, lesang ho bea Mohalaledi wa Iseraele pela mahlo a rona!
ISA.30.12	Ka baka leo, Mohalaledi wa Iseraele o re: Erekaha le nyatsa lentswe lena, mme le itshepisa ka bothata le bokgopo, le itiisa ka jona; 
ISA.30.13	ka baka leo, sebe sena se tla sala ho lona jwaloka sekgeo se helehang, se entseng mpa lerakong le phahameng, mme se phakisetsa ho wa ha lona hanghang. 
ISA.30.14	O tla bolaya 
ISA.30.15	Hobane Morena Jehova, Mohalaledi wa Iseraele, o re: Polokeho ya lona e dutse ho sokoloheng, le ho phomoleng; le tla fihlela matla boitulelong le tshepong; empa le hanne. 
ISA.30.16	La na la re: Tjhe, re mpa re tla baleha re kaletse dipere. Ke ka baka leo le tla balehiswa. La re: Re rata ho kalla dipere tse lebelo! Ka baka leo, ba tla le lelekisa ka lebelo le fetisang. 
ISA.30.17	Ba sekete ba tla baleha ba tshabiswa ke motho a le mong; ha ba bahlano ba le tshosa, le tla baleha ho fihlela masala a lona a eba jwaloka sefate se itlhophereng, se hlomilweng hodima thaba, leha e le jwaloka folaga e hlomilweng leralleng.
ISA.30.18	Ka baka leo, Jehova o tla lebella ho le hauhela; ka baka leo, o tla ema ho le rekolohela, hobane Jehova ke Modimo o lokileng. Ho lehlohonolo ba mo tshepang kaofela! 
ISA.30.19	Hobane setjhaba se tla nne se ahe Sione le Jerusalema; ha o sa na ho lla; ha a ka utlwa hobane o howeletsa ho yena, o tla o hauhela; a re a sa utlwa 
ISA.30.20	Morena o tla le fa bohobe matswalong a lona le metsi tsietsing ya lona; baruti ba hao ha ba sa tla ipata, empa o tla tadima baruti ba hao ka mahlo. 
ISA.30.21	Ditsebe tsa hao di tla utlwa lentswe kamora hao, le reng: Tsela ke yona ena, tsamayang ho yona, esere la ya ka ho le letona, kapa ka ho le letshehadi. 
ISA.30.22	Mme ditshwantsho tsa lona tse betlilweng tse apesitsweng ka silefera, le ditshwantsho tsa lona tse tsholotsweng tse manehilweng ka kgauta, le tla di tshela ditshila, le di lahle jwaloka manyala, ka ho re: Tswang!
ISA.30.23	Mohlang oo, o tla nesetsa dijalo tseo le tla di lema masimong, bohobe ba hlaku tse medisitsweng ke mobu e tla ba bo nonneng, bo kgorisang; mehleng eo, mehlape ya lona e tla fula makgulong a ahlamileng. 
ISA.30.24	Dikgomo le diesele tse lemang naha di tla ja furu e nokilweng ka letswai, e kileng ya oloswa ka seoloso le sekofele. 
ISA.30.25	Mme hodima thaba e nngwe le e nngwe e phahameng, le hodima leralla le leng le le leng le hodileng, melatswana e tla ba teng ya metsi a phallang, mohla letsatsi la polao e kgolo, mohla ditora di wang. 
ISA.30.26	Ngwedi ya kgwedi e tla tshwana le kganya ya letsatsi, mme kganya ya letsatsi e tla eketswa hasupa, e be jwaloka kganya ya matsatsi a supileng, ka letsatsi leo Jehova a tla tlamella leqeba la setjhaba sa hae, a fodise matetetso a dikotlo tsa hae.
ISA.30.27	Bonang, lebitso la Jehova le a tla le etswa hole, le tla ka mollo wa bohale le tjheso e tshabehang; melomo ya hae e tletse kgalefo, leleme la hae le jwaloka lelakabe le tjhesang. 
ISA.30.28	Phefumoloho ya hae e jwaloka morwallo o tsholohang, o phahamileng ho isa molaleng wa motho, ho sefa ditjhaba ka sefe ya tshenyeho, ho bea tomo e kgelosang melomong ya ditjhaba. 
ISA.30.29	Le tla bina jwalokaha ho binwa ka bosiu ba mokete, pelo tsa lona di thabe ka thabo e tshwanang le ya ba tsamayang ka molodi wa phala, ha ho uwa thabeng ya Jehova, lefikeng la Iseraele. 
ISA.30.30	Jehova o tla utlwahatsa ditlatse tsa lentswe la hae, a bontshe ho oma ha letsoho la hae, le kgalefo ya bohale, le mollo wa lelakabe le tjhesang, le phatloho ya leru, le tsholoho ya pula, le majwe a sefako. 
ISA.30.31	Hobane Assiria o tla thothomela ke lentswe la Jehova, ha a mo otla ka thupa ya hae.
ISA.30.32	Mme hohle moo thupa ya Jehova eo a tlang ho mo otla ka yona e tlang ho ya le teng, meropa le diharepa di tla duma; mme o tla mo otla ka matla. 
ISA.30.33	Hobane e se e le kgale Tofethe e lokisitswe, e lokiseditswe morena; e sekoti, e ahlamile; patsi e ngata le mollo di bokelletswe teng; phefumoloho ya Jehova, e kang noka ya sebabole, e tla di hotetsa.
ISA.31.1	Ho madimabe ba theohelang Egepeta ho batla thuso, ba itiisang ka dipere, ba tshepang makoloi ka ho re a mangata, 
ISA.31.2	Athe le yena o bohlale, ke kahoo a tlisang mahlomola, mme ha a kgutlise mantswe a hae; ntlo ya ba etsang hampe o tla e tsohela matla, le bona ba thusanang le ba sebetsang bokgopo. 
ISA.31.3	Moegepeta ke motho, e seng modimo; dipere tsa hae ke nama, e seng moya. Etlare ha Jehova a otlolla letsoho la hae, mothusi o tla kgoptjwa, le ya thuswang a we, ba fele kaofela hammoho.
ISA.31.4	Hobane Jehova o mpoleletse, a re: Jwaloka tau, kapa tawana ha e puruma hodima phoofolo 
ISA.31.5	Empa jwaloka dinonyana ha di otlolla mapheo a tsona, Jehova wa makgotla o tla sireletsa Jerusalema ka 
ISA.31.6	Sokolohelang ho yena eo le mo furaletseng hakalo, lona bana ba Iseraele!
ISA.31.7	Hobane tsatsing leo, e mong le e mong o tla lahla medimo ya hae ya silefera, le medimo ya hae ya kgauta, eo le iketseditseng yona ho etsa sebe ka yona. 
ISA.31.8	Assiria o tla fediswa ke lerumo leo e seng la motho; lerumo leo e seng la motho le tla mo ja, a balehe pela lerumo, bahlankana ba hae ba etswe ba ruilweng. 
ISA.31.9	Lefika la hae le tla baleha ke ho tshoha, mahosana a hae a balehele hole ke ho tshaba folaga 
ISA.32.1	Bonang, morena o tla busa ka ho loka, mahosana le wona a dise ka ho loka. 
ISA.32.2	E mong le e mong wa bona o tla ba jwaloka tshireletso ha moya o foka, jwaloka lehaha ha sefefo se etla, jwaloka molatswana wa metsi naheng e omileng, le jwaloka moriti wa lefika le phahameng naheng e nyorilweng. 
ISA.32.3	Mahlo a ba bonang ha a sa tla tutubala, ditsebe tsa ba utlwang di tla mamela. 
ISA.32.4	Dipelo tsa ba potlakang di tla lokela ho utlwisisa, leleme la ya kokotletsang le bue ka hlalosetso. 
ISA.32.5	Molotsana ha a sa tla bitswa motho ya hlomphehang, mothetsi a ke ke a bitswa motho ya bokgabane. 
ISA.32.6	Hobane molotsana o bolela tsa bolotsana feela, pelo ya hae e neetswe bobe, a tle a etse bolotsana, a sebe Jehova ka dipuo tsa bohata, a beelle moya wa ya lapileng tlala, a time ya nyorilweng seno. 
ISA.32.7	Haele mothetsi, dibetsa tsa hae ke tsa bolotsana, o loha mano ho timetsa mosenyehi ka dipolelo tsa leshano, leha taba tsa mohloki e le tse lokileng. 
ISA.32.8	Empa motho ya kgabane o rera tsa bokgabane o phehella tsa bokgabane.
ISA.32.9	Tsohang, lona basadi ba iketlang, le utlwe lentswe la ka! Lona baradi ba itshepang, le mamele dipolelo tsa ka! 
ISA.32.10	Ho tla feta selemo se le seng se nang le matsatsi a mang, le ntoo tsieleha, lona ba iketlileng, hobane ho kgolwa ha merara ho tla ba siyo, ho ke ke ha kotulwa le ditholwana. 
ISA.32.11	Tsohang, baiketli! Thothomelang, baitshepi! Lahlang dikobo tsa lona, le hlobole, le itlame matheka ka lesela le mahwashe! 
ISA.32.12	Ho tla itetwa difuba ka baka la dirapa tse kgahlisang, le ka baka la merara e behang haholo! 
ISA.32.13	Dibajwa le meutlwa di tla mela naheng ya setjhaba sa ka, le hodima matlo a thabo kaofela a motse wa menyaka. 
ISA.32.14	Hobane matlo a borena a tla tlohelwa, motse wa lerata o tla fetoha lesupi; leralla le tora ya sebohodi e be mahaha ka ditshiu le ditshiu, e be thabo ya dipitsi tsa naha le makgulo a mehlape, 
ISA.32.15	ho fihlela moya wa lehodimo o tshelwa hodima rona, le lefeella le fetoha serapa, le serapa se tshwana le moru.
ISA.32.16	Ke moo ho loka ho tla ikahela lefeelleng, bokgabane bo hlole bo le teng serapeng. 
ISA.32.17	Moputso wa ho loka e tla ba kgotso, tholwana ya ho loka e be phomolo le boiketlo ka ho sa yeng kae. 
ISA.32.18	Setjhaba sa ka se tla aha moahong wa kgotso, le matlung a tshepehang, nqalong tsa boiketlo le phomolo. 
ISA.32.19	Empa sefako se tla wela hodima moru, mme motse o tla kokobetswa tlasetlase. 
ISA.32.20	Ho lehlohonolo lona ba jalang kahohle naheng e noseditsweng, ba sa kgineng leoto la kgomo le la esele!
ISA.33.1	Ho madimabe wena, mosenyi, ya esong ho senngwe, wena, mohapi ya esong ho hapjwe! Etlare ha o se o qetile ho senya, o tla senngwa; ha o qetile ho hapa, o tla hapjwa. 
ISA.33.2	Jehova, o re hauhele, re beile tshepo ya rona ho wena! O be thuso ya rona ka hosasa ho hong le ho hong, le poloko ya rona mohla tsietsi! 
ISA.33.3	Batho ba baleha ka baka la lentswe le dumang, ditjhaba di a qhalana, hobane o tsohile. 
ISA.33.4	Letlotlo la lona leo le le hapileng, le tla hlakolwa ka mokgwa oo ditsie di hlakolwang ka wona; batho ba tla itihela ho lona ka mokgwa oo bookgolane bo welang 
ISA.33.5	Jehova o phahamile, hobane o ahile nqalong tse hodimodimo, o tlatsitse Sione ka ho loka le ka toka. 
ISA.33.6	Kahoo, matsatsi a hao a tla tiya, monono o be teng wa poloko le bohlale le tsebo; ho tshaba Jehova e tla ba leruo la 
ISA.33.7	Bonang, bahale ba bona ba bokolla kantle; manqosa a kgotso a lla habohloko. 
ISA.33.8	Mebila e feela, ditsela di tlohetswe; 
ISA.33.9	Naha e bofifing, e swabile; Lebanone o swabile, o omeletse; Sharone o tshwana le lefeella, Bashane le Karmele ba foforeha mahlaku. 
ISA.33.10	Jwale, ke tla tsoha, ho bolela Jehova; jwale, ke tla iphahamisa; jwale, ke tla ikgodisa. 
ISA.33.11	Le emotse jwang, mme le tla beleha mooko; phefumoloho ya lona 
ISA.33.12	Ditjhaba di tla tjha jwaloka kalaka ha e beswa, di tjheswe ka mollo jwaloka meutlwa e remilweng.
ISA.33.13	Lona ba leng hole, utlwang seo ke se entseng, le lona ba leng haufi, le lemohe matla a ka! 
ISA.33.14	Baetsadibe ba Sione ba tla thothomela; tshoho e tla tshwara baikaketsi, 
ISA.33.15	E tla ba ya tsamayang tseleng ya ho loka, ya bolelang ka ho loka, ya nyatsang maruo a nkilweng ka matla, ya hlohlorang letsoho la hae le tle le se ke la amohela dineo, ya ithibang ditsebe hore a se ke a utlwa merero ya ho bolaya, ya tutubalang mahlo hore a se ke a bona bobe. 
ISA.33.16	Ke yena ya tla aha nqalong tse phahameng, ditshabelo tsa hae e tla ba diqhobosheane tse theilweng mafikeng. O tla fuwa bohobe ba hae, metsi a hae a ke ke a epsha.
ISA.33.17	Mahlo a hao a tla boha morena botleng ba hae, a tla bona lefatshe bophareng ba lona. 
ISA.33.18	Pelo ya hao e tla elellwa mehla ya tshoho, 
ISA.33.19	Ha o sa tla hlola o bona setjhaba se thata, setjhaba se puo e sa utlwahaleng, se puo e kokotletsang, eo motho a ke keng a e utlwisisa. 
ISA.33.20	Tadima Sione, motse wa mekete ya rona! Mahlo a hao a tla bona Jerusalema, e leng moaho wa boiketlo, le tente e ke keng ya tloswa, eo dithakgisa tsa yona di ke keng tsa tsomolwa, eo ho seng mohalana o lokolohang. 
ISA.33.21	Hobane teng, Jehova, boholong ba hae, ho rona o tla ba jwaloka dinoka, dinoka tse kgolo, moo ho seng le sehlopha sa dikepe tse ka bang le matla a ho sesa teng, ho seng le sekepe se seholo se ka tshelang teng. 
ISA.33.22	Hobane Jehova ke moahlodi wa rona, Jehova ke molaodi wa rona, Jehova ke morena wa rona, o tla re boloka. 
ISA.33.23	Mehalana ya hao, 
ISA.33.24	Mme ha ho motho ya ahileng 
ISA.34.1	Atamelang, lona ditjhaba, le tle le utlwe; lona batho, le mamele! Lefatshe, a le ke le mamele, le tse ho lona kaofela, lefatse le tse tswang ho lona kaofela! 
ISA.34.2	Hobane Jehova o halefetse ditjhaba tsohle, o halefetse makgotla a tsona kaofela; o di neetse thohako, o di neetse lefu. 
ISA.34.3	Bafu ba tsona ba tla lahlwa feela, sebodu se tswe ditopong tsa bona, madi a tsona a phalle dithabeng. 
ISA.34.4	Makgotla kaofela a mahodimo a tla qhibiliha; mahodimo a tla menwa jwaloka buka e ngodilweng, makgotla a wona a wele fatshe jwaloka mahlaku a morara ha a foforeha, le jwaloka mahlaku a sefate sa feiye ha a pona.
ISA.34.5	Hobane lerumo la ka le tahilwe lehodimong; bonang, le tla theohela hodima Edomo le hodima setjhaba seo ke se neetseng thohako. 
ISA.34.6	Lerumo la Jehova le tletse madi, le kganathetse mafura le madi a dikonyana, le a diphooko, le mafura a difutsi tsa dipheleu; hobane Jehova o na le sehlabelo Botsra, le hlabo e kgolo naheng ya Edomo. 
ISA.34.7	Dinare le dipoho le dipholo di tla wa le tsona; lefatshe la tsona le tla nosetswa ke madi, naha ya tsona e nontshwe ke mafura. 
ISA.34.8	Hobane Jehova o beile letsatsi la tefetso, le selemo sa phetetso seo a tla lefetsa Sione ka sona.
ISA.34.9	Melapo ya 
ISA.34.10	E ke ke ya tingwa ke motho bosiu le motshehare, mosi wa yona o tla nyoloha ka ho sa yeng kae, e tla ba nahathothe kamehla le mehla; ha ho motho leha a le mong ya tla feta teng. 
ISA.34.11	E tla ruwa ke moholodi le ke hlong; sephooko le lekgwaba di tla aha teng, mme e tla lekanngwa ka thapo ya tshenyo le ka thapo ya polao. 
ISA.34.12	Baholo ba teng ba tla hlokeha ba ka kgethang morena, mahosana wohle a teng a tla fetoha lefeela. 
ISA.34.13	Meutlwa e tla mela matlung a marena a teng, bobatsi le dihlahla di mele diqhobosheaneng tsa teng, e be naha ya diphokojwe le makgulo a dimpshe. 
ISA.34.14	E tla ba moo dibatana tsa naha e tshehla di bokanang teng hammoho le diphiri, ditshwene di tla tla kgahlanyetsana teng; e tla ba moaho wa dithotsela tsa bosiu, ke moo di tla fihlela phomolo. 
ISA.34.15	Ke moo qowane e tla etsa ntlo ya yona, e bee mahe, e a alame, e hodise madinyane a yona moriting wa yona: matlaka le wona a tla kopana teng hammoho.
ISA.34.16	Batlang bukeng ya Jehova, le bale! Ha ho le e nngwe 
ISA.34.17	Hobane o rerile bakeng sa tsona; letsoho la hae le tla di arolela lefatshe, a le lekanye ka kgole; di tla le rua ka ho sa yeng kae, di phele teng kamehla le mehla.
ISA.35.1	Naha e tshehla e tla thaba, le lona lefatshe le omeletseng; mahalaopa a tla nyakalla, a mele dipalesa jwaloka leshoma. 
ISA.35.2	A tla mela dipalesa ka ho fetisa, a nyakalle, a thabe, a phokole difela tsa hlolo; a tla fuwa kganya ya Lebanone le menono ya Karmele le ya Sharone; 
ISA.35.3	A le ke le feng matsoho a tepeletseng matla, le tiise mangole a tetemang. 
ISA.35.4	Ereng ho ba dipelo di tshohileng: Betang pelo, le se ke la tshaba! Bonang, Modimo wa lona o tla ka phetetso, e leng ho putsa ha Modimo; o tla tla, o le boloke.
ISA.35.5	Ke moo mahlo a difofu a tla tutuboloha, ditsebe tsa ba thibaneng ditsebe di bulehe. 
ISA.35.6	Sehlotsa se tla tlola jwaloka kgama, leleme la semumu le tla bina, hobane metsi a tla kolla naheng e tshehla, melatswana e phalle mahalaopeng. 
ISA.35.7	Mahwatata a mahlabathe a tla fetoha matsha a metsi, naha e omeletseng e be le didiba tsa metsi, setsha sa diphokojwe, moo mesima ya tsona e neng e le teng, e tla ba setsha sa moseme le lodi.
ISA.35.8	Mmila o tla ba teng le tsela e bitswang tsela ya kgalalelo; ha ho motho ya ditshila ya tlang ho feta teng, e tla ba ya 
ISA.35.9	Teng ha ho tau, ha ho sebata se tlang ho bea leoto teng, leha e le ho fumanwa teng, empa ba lopolotsweng ba tla tsamaya teng. 
ISA.35.10	Ba lopolotsweng ke Jehova ba tla kgutla, ba boele Sione ka difela tsa hlolo, ba rwetse thabo e sa feleng hloohong; lehlohonolo le thabo di tla tla ho ba kgahlanyetsa, bohloko le masisapelo di balehe.
ISA.36.1	Ka selemo sa leshome le metso e mene sa 
ISA.36.2	Mme morena wa Assiria, ha a le Lakishe, a romela Rabshake ka makgotla a maholo ho ya Jerusalema 
ISA.36.3	Yaba Eliakime, mora Hilkia, molotolotsi wa ntlo ya borena, le Shebna mongodi, le Jowa, mora Asafe, mmoloki wa mangolo 
ISA.36.4	Rabshake a re ho bona: E reng ho Esekiase: Ho itswe ke morena e moholo, morena wa Assiria: Seo o se tshepileng ke eng? 
ISA.36.5	Ke re: O etsa dipolelo tsa lefeela, ha o bolela kelello le matla a hao a ho lwana. Jwale, o tshepile mang na, ha o mphetohetse? 
ISA.36.6	Bona, o tshepile Egepeta, lehlaka leno le tenyetsehileng, leo ekareng motho ha a ikokotlela ka lona, le ya mo hlaba seatla, le se phunye; Faro, morena wa Egepeta, o ka lona ho bohle ba mo tshepang. 
ISA.36.7	Leha o ka re ho nna, le tshepile Jehova, Modimo wa lona, hleka hase yena eo Esekiase a tlositseng nqalo tsa hae tse diphahameng le dialetare tsa hae, a re ho Juda le ho Jerusalema: Le tla kgumama pela aletare ena, na? 
ISA.36.8	Jwale, o ke o etse tumellano le monga ka, morena wa Assiria, ke o nee dipere tse dikete tse pedi, ha ekaba o ka ntsha bakalli ba ka di kallang! 
ISA.36.9	O tla leleka jwang tona leha e le nngwe hara bahlanka ba banyenyane ba monga ka? Empa o tshepile Egepeta, hore o tla bona makoloi le bakalli teng! 
ISA.36.10	Kapa o re, ke tlile ho lwantsha naha ena ke se na Jehova na? Jehova ke yena ya itseng ho nna: Eya lwantsha naha eo, o e fedise.
ISA.36.11	Yaba Eliakime, le Shebna, le Jowa ba re ho Rabshake: O ke o bue le rona bahlanka ba hao ka Sesiria, hobane re a se utlwa; o se ke wa bua le rona ka Sejuda, tsebeng tsa batho ba hodima lerako. 
ISA.36.12	Rabshake a re: Ana o re, monga ka o nthometse ho monga hao le ho wena feela, ho bua taba tsena na? Na hase le ho banna ba dutseng hodima lerako, 
ISA.36.13	Yaba Rabshake o ema, a howeletsa ka lentswe le leholo ka Sejuda, a re: utlwang ditaba tsa morena e moholo, morena wa Assiria. 
ISA.36.14	Morena o re: Le se ke la thetswa ke Esekiase, hobane a ke ke a le namolela. 
ISA.36.15	Esekiase a se ka a le tshepisa Jehova, ka ho re: Jehova o tla re namolela, mme motse ona o ke ke wa neelwa matsohong a morena wa Assiria. 
ISA.36.16	Le se ke la mamela Esekiase; hobane morena wa Assiria o re: Etsang kgotso le nna, le tswele ho nna, le tle le je e mong le e mong morara wa hae, e mong le e mong a je feiye ya hae, e mong le e mong a nwe metsi a sediba sa hae; 
ISA.36.17	ke be ke tle ke le ise naheng e kang naha ya lona, naha ya koro le ya veine, naha ya bohobe le ya merara. 
ISA.36.18	Le se ke la thetswa ke Esekiase, ha a re ho lona: Jehova o tla re namolela! Hleka medimo ya ditjhaba e namoletse o mong le o mong naha ya wona matsohong a morena wa Assiria na? 
ISA.36.19	E kae medimo ya Hamathe le ya Arpade? E kae medimo ya Sefarvaime? Na le wona Samaria o namoletswe matsohong a ka na? 
ISA.36.20	Ke efe ho medimo yohle ya dinaha tseo e namoletseng naha ya yona matsohong a ka, ha ho thwe Jehova a ka namolela Jerusalema matsohong a ka?
ISA.36.21	Empa ba kgutsa; ha ba ka ba mo fetola letho, hobane taelo ya morena e ne e itse: Le se ke la mo fetola. 
ISA.36.22	Yaba Eliakime, mora Hilkia, molotolotsi wa ntlo ya borena, le Shebna, mongodi, le Jowa, mora Asafe, mmoloki wa mangolo 
ISA.37.1	Eitse morena Esekiase ha a utlwa, a hahola diaparo tsa hae, a ikapesa ka lesela le mahwashe, a kena ka tlung ya Jehova. 
ISA.37.2	Yaba o roma Eliakime, molotolotsi wa ntlo ya borena, le Shebna mongodi, le baholo ba baprista, ho moporofeta Esaia, mora Amotse, ba ikapesitse ka masela a mahwashe. 
ISA.37.3	Ba re ho yena: Esekiase o re: Letsatsi lena ke letsatsi la mahlomola, la ho lauwa, le la ho nyatsuwa; hobane bana ba loketse ho tswa popelong, empa matla a ho beleha ha a yo. 
ISA.37.4	Ekaba mohlomong, Jehova, Modimo wa hao, o tla utlwa mantswe a Rabshake, eo monga hae, morena wa Assiria, a mo rometseng ho nyedisa Modimo o utlwang, mme Jehova, Modimo wa hao, o tla kgalemela mantswe ao a a utlwileng. Ka baka leo, o ke o beele masala a setseng thapelo.
ISA.37.5	Bahlanka ba morena Esekiase ba fihla ho Esaia; 
ISA.37.6	Esaia a re ho bona: Le bolelle monga lona, le re: Ho itswe ke Jehova: O se ke wa tshoha mantswe ao o a utlwileng, ao bahlanka ba morena wa Assiria ba nnyefotseng ka wona. 
ISA.37.7	Bona, ke se ke tla kenya moya o mong ka ho yena, oo ka wona, ha a utlwa taba e nngwe, a tla kgutlela naheng ya hae, ke mo dihe ka lerumo naheng ya hae.
ISA.37.8	Rabshake a kgutla, a fihlela morena wa Assiria a lwantsha Libna, hobane o ne a utlwile hoba o tlohile Lakishe. 
ISA.37.9	Teng, a utlwa ho thwe: Tirhaka, morena wa Ethiopia, o tla ho o lwantsha. Ha a utlwa taba eo, a romela manqosa ho Esekiase, a re ho wona: Le bolelle Esekiase, morena wa Juda, le re: 
ISA.37.10	O se ke wa thetswa ke Modimo wa hao, oo o o tshepileng ka ho re Jerusalema a ke ke a neelwa matsohong a morena wa Assiria. 
ISA.37.11	Bona, le wena o utlwile seo marena a Assiria a se entseng naheng tsohle, kamoo a di timeditseng kateng. Hleka wena o re, o tla phonyoha na? 
ISA.37.12	Na medimo ya ditjhaba tseo bontate ba di fedisitseng, Bogosane, le Harane, le Retsefe, le bana ba Edene ba leng Telasare, na e di namoletse na? 
ISA.37.13	O kae morena wa Hamathe, le morena wa Arpade, le morena wa motse wa Sefarvaime, wa Hena, le wa Ivva?
ISA.37.14	Ebile Esekiase o nka lengolo matsohong a manqosa, a le bala; yaba Esekiase o nyolohela tlung ya Jehova, a le phutholla pela Jehova. 
ISA.37.15	Esekiase a rapela pela Jehova, a re: 
ISA.37.16	Oho Jehova wa makgotla, Modimo wa Iseraele, wena ya dutseng hodima dikerubime, ke wena Modimo o nnotshi wa mebuso yohle ya lefatshe; ke wena ya entseng mahodimo le lefatshe! 
ISA.37.17	Jehova, sekeha ditsebe tsa hao, o mamele! Jehova, tutubolla mahlo a hao, mme o bone; o mamele mantswe wohle ao Sankeribe a a rometseng ho nyedisa Modimo o utlwang ka wona. 
ISA.37.18	Jehova, kannete marena a Assiria a timeditse ditjhaba kaofela le dinaha tsa tsona; 
ISA.37.19	a akgetse medimo ya tsona mollong, hobane e ne e se medimo, empa e le mosebetsi wa matsoho a batho, difate le majwe; a e fedisitse ke hona. 
ISA.37.20	Jwale, Jehova, Modimo wa rona, o re namolele matsohong a hae, mebuso yohle ya lefatshe e tle e tsebe hobane o 
ISA.37.21	Yaba Esaia, mora Amotse, o romela ho Esekiase, a re: Jehova, Modimo wa Iseraele, o re: Ka thapelo eo o nthapetseng ka yona, bakeng sa Sankeribe, morena wa Assiria, 
ISA.37.22	ke ena taba eo Jehova a e bolelang hodima hae: Morwetsana, moradi wa Sione, o a o nyedisa, o tsheha ka wena; moradi wa Jerusalema o o tsokolletsa hlooho. 
ISA.37.23	O nyedisitse mang, mme o nyefotse mang? O phahamiseditse mang lentswe la hao? O emiseditse mang mahlo a hao hodimo? O 
ISA.37.24	O nyedisitse Morena ka manqosa a hao, wa re: Ke hlwelletse hodima dithaba le diqhoweng tsa Lebanone ka makoloi a ka a mangata; ke tla rema dikedare tse telele tsa teng, le dikiprese tse kgethehileng tsa teng, ke fihle le hlorong ya teng, ho isa le morung wa tshimo ya teng. 
ISA.37.25	Ke tjhebile didiba, ka nwa metsi a tsona, mme ka bohato ba maoto a ka ke tla pshesa le dinoka tsohle tsa Egepeta.
ISA.37.26	Hleka ha o a ka wa utlwa hobane kgale ke entse taba eo, ke e rerile mehleng ya boholoholo na? Jwale, ke a e hlahisa, le wena o mona hore o fedise metse e marako, o e fetole diqubu tsa dithako. 
ISA.37.27	Ke ka baka leo baahi ba teng ba hlokileng matla; ba tshohile, ba ferekane; ba jwaloka jwang ba naha bo botala le mohlwa, jwaloka jwang ba serethele se hodima ntlo, le jwaloka koro e tjheleng e eso ho tswale. 
ISA.37.28	Empa ke tseba ho dula ha hao, le ho tswa ha hao, le ho kena ha hao, le kamoo o nthorelang kateng. 
ISA.37.29	Hobane ho nthorela ha hao le boithoriso ba hao, bo nyolohetse ditsebeng tsa ka; ke tla phunya mohala dinkong tsa hao, ke kenye tomo ya ka hanong ho wena, ke o kgutlise ka tsela eo o tlileng ka yona.
ISA.37.30	Mme taba ena e tla ba pontsho ho wena, 
