MAT.1.1	ھي عيسيٰ مسيح جو شجرو آھي، جيڪو دائود ۽ ابراھيم جو اولاد آھي.
JHN.7.31	انھن ماڻھن مان ڪيترن ئي مٿس ايمان آندو ۽ چوڻ لڳا تہ ”جڏھن مسيح ايندو تہ اھو ھن کان وڌيڪ معجزا ڪندو ڇا؟“
JHN.7.32	فريسين ٻڌو تہ ماڻھو عيسيٰ بابت ھنن ڳالھين جي سس⁠پس ڪري رھيا آھن، تنھنڪري انھن ۽ سردار ڪاھنن ڪي پھريدار موڪليا تہ جيئن ھو کيس پڪڙين. 
JHN.7.33	تنھن تي عيسيٰ چيو تہ ”آءٌ اوھان سان اڃا ٿورو وقت رھندس ۽ پوءِ آءٌ انھيءَ ڏانھن موٽي ويندس جنھن مون کي موڪليو آھي. 
JHN.7.34	اوھين مون کي ڳوليندا، پر لھي ڪين سگھندا ۽ جتي آءٌ ھوندس اتي اوھين اچي نہ سگھندا.“ 
JHN.7.35	يھودي اڳواڻ ھڪٻئي کي چوڻ لڳا تہ ”ھو ڪيڏانھن ويندو جو اسين کيس لھي نہ سگھنداسين؟ ڇا ھو يونان جي شھرن ڏانھن ويندو، جتي اسان جا يھودي وڃي رھيا آھن ۽ اتي ھو يونانين کي تعليم ڏيندو؟ 
JHN.7.36	ڀلا ھو جيڪي چوي ٿو تہ ’اوھين مون کي ڳوليندا، پر لھي نہ سگھندا ۽ اوھين اتي اچي نہ سگھندا جتي آءٌ ھوندس،‘ تنھن جو مطلب ڇا آھي؟“
JHN.7.38	 جيڪو بہ مون تي ايمان آڻيندو، تنھن لاءِ لکيل آھي تہ ’سندس اندر مان زندگيءَ جي پاڻيءَ جون نديون وھنديون.‘“ 
JHN.7.39	ھن اھا ڳالھہ پاڪ روح بابت ٿي ڪئي، جيڪو انھن ماڻھن کي ملڻو ھو جن مٿس ايمان آندو ھو. پر انھن کي پاڪ روح اڃا نہ مليو ھو، ڇالاءِ⁠جو عيسيٰ جو جلوو اڃا ظاھر نہ ٿيو ھو.
JHN.7.40	ميڙ مان ڪيترن ئي ماڻھن سندس اھي لفظ ٻڌا ۽ چيائون تہ ”سچ⁠پچ ھي ماڻھو 
JHN.7.41	ڪن چيو تہ ”ھو مسيح آھي.“ پر ٻين وري چيو تہ ”مسيح ڪو گليل مان ايندو ڇا؟ 
JHN.7.42	 پاڪ ڪتاب جي لکت مطابق تہ مسيح دائود جي نسل مان ھوندو ۽ بيت⁠لحم ڳوٺ ۾ پيدا ٿيندو، جنھن ۾ دائود رھندو ھو.“ 
JHN.7.43	سو ھن جي ڪري ماڻھن ۾ ڦوٽ پئجي ويئي. 
JHN.7.44	ڪي ماڻھو کيس پڪڙڻ پيا چاھين، پر ڪنھن بہ مٿس ھٿ نہ کنيو.
JHN.7.45	جڏھن پھريدار موٽي آيا تہ سردار ڪاھنن ۽ فريسين کانئن پڇيو تہ ”اوھين عيسيٰ کي ڇو نہ وٺي آيا؟“ 
JHN.7.46	پھريدارن جواب ڏنو تہ ”ڪنھن بہ انسان اھڙيءَ طرح ڪڏھن ڪونہ ڳالھايو آھي.“ 
JHN.7.47	تنھن تي فريسين کين چيو تہ ”اوھين بہ گمراھہ ٿي ويا آھيو ڇا؟ 
JHN.7.48	ڇا سردارن ۽ فريسين مان ڪنھن بہ مٿس ايمان آندو آھي؟ 
JHN.7.49	پر ھي ماڻھو جن کي موسيٰ جي شريعت جي خبر ئي نہ آھي، سي خدا جا پٽيل آھن.“
JHN.7.51	”شريعت موجب اسين ڪنھن بہ ماڻھوءَ کي سزا ڏيئي نہ ٿا سگھون، جيستائين اسين سندس ڳالھيون ٻڌون ۽ خبر پوي تہ ھو ڇا ٿو ڪري.“ 
JHN.7.52	انھن جواب ڏنس تہ ”تون بہ گليلي آھين ڇا؟ پاڪ لکتون پڙھہ تہ تو کي خبر پوي تہ گليل مان ڪوبہ نبي پيدا ٿيڻو نہ آھي.“
JHN.7.53	پوءِ ھر ڪو پنھنجي پنھنجي گھر ڏانھن ھليو ويو.
JHN.8.1	عيسيٰ زيتون جي ٽڪر ڏانھن ھليو ويو 
JHN.8.2	۽ صبح جو سوير وري ھيڪل ۾ آيو جتي سڀيئي ماڻھو اچي وٽس گڏ ٿيا ۽ ھو ويھي کين تعليم ڏيڻ لڳو. 
JHN.8.3	شريعت جي عالمن ۽ فريسين ھڪڙي عورت کي آندو جنھن کي زنا ڪندي پڪڙيو ھئائون، تنھن کي وچ ۾ بيھاري 
JHN.8.4	عيسيٰ کي چيائون تہ ”اي استاد! ھيءَ عورت زنا ڪندي پڪڙي ويئي آھي. 
JHN.8.5	 شريعت ۾ موسيٰ اسان کي حڪم ڏنو آھي تہ اھڙن کي سنگسار ڪري ڇڏيون. ھاڻي تون ھن بابت ڇا ٿو چوين؟“ 
JHN.8.6	انھن کيس ڦاسائڻ لاءِ ائين چيو تہ جيئن مٿس تھمت ھڻن. پر عيسيٰ نِوڙي زمين تي پنھنجيءَ آڱر سان لکڻ لڳو. 
JHN.8.7	جڏھن ھو کانئس پڇندا رھيا، تڏھن ھن ڪنڌ مٿي ڪري چين تہ ”اوھان مان جنھن ڪڏھن بہ ڪو ⁠گناھہ نہ ڪيو ھجي، سو پھريائين ھن عورت کي پٿر ھڻي.“ 
JHN.8.8	وري بہ ھو نِوڙي زمين تي پنھنجيءَ آڱر سان لکڻ لڳو. 
JHN.8.9	جڏھن انھن اھا ڳالھہ ٻڌي تڏھن انھن مان پھريائين وڏا ۽ پوءِ ننڍا ھڪڙو ھڪڙو ٿي ھليا ويا. پوءِ رڳو عيسيٰ اڪيلو وڃي رھيو ۽ اھا عورت بيٺي رھي. 
JHN.8.10	عيسيٰ ڪنڌ مٿي ڪري انھيءَ عورت کي چيو تہ ”اي مائي! اھي ڪيڏانھن ويا؟ ڇا ھتي ڪوبہ ڪونہ آھي جو تو کي سزا ڏئي؟“ 
JHN.8.11	انھيءَ عورت وراڻيو تہ ”سائين! نہ، ڪوبہ ڪونھي.“ تنھن تي عيسيٰ چيس تہ ”چڱو آءٌ بہ تو کي سزا نہ ٿو ڏيان. سو وڃ، پر وري گناھہ نہ ڪجانءِ.“
JHN.8.13	 تنھن تي فريسين کيس چيو تہ ”تون پنھنجي شاھدي پاڻ ڏئين ٿو، سو تنھنجي شاھدي سچي نہ آھي.“ 
JHN.8.14	عيسيٰ کين وراڻيو تہ ”جيتوڻيڪ آءٌ پنھنجي شاھدي پاڻ ٿو ڏيان تہ بہ منھنجي شاھدي سچي آھي، ڇالاءِ⁠جو مون کي خبر آھي تہ آءٌ ڪٿان آيو آھيان ۽ ڪيڏانھن وڃان ٿو. پر اوھان کي خبر ڪانھي تہ آءٌ ڪٿان آيو آھيان ۽ ڪيڏانھن وڃان ٿو. 
JHN.8.15	اوھين رڳو انساني طرح فيصلو ڪريو ٿا پر آءٌ ڪنھن جو بہ فيصلو نہ ٿو ڪريان. 
JHN.8.16	جيڪڏھن آءٌ فيصلو ڪريان بہ ھا تہ منھنجو فيصلو سچو ھجي ھا، ڇالاءِ⁠جو آءٌ اڪيلو اھو ڪم نہ ٿو ڪريان پر منھنجو پيءُ، جنھن مون کي موڪليو آھي، سو بہ مون سان آھي. 
JHN.8.17	 اوھان جي شريعت ۾ بہ لکيل آھي تہ ’ٻن شخصن جي شاھدي سچي آھي.‘ 
JHN.8.18	سو ھڪڙو آءٌ آھيان جو پاڻ پنھنجي شاھدي ٿو ڏيان ۽ ٻيو پيءُ، جنھن مون کي موڪليو آھي، سو بہ مون بابت شاھدي ٿو ڏئي.“ 
JHN.8.19	تنھن تي انھن پڇيس تہ ”تنھنجو پيءُ ڪٿي آھي؟“ عيسيٰ کين وراڻيو تہ ”اوھين نہ مون کي سڃاڻو ٿا ۽ نڪي منھنجي پيءُ کي. جيڪڏھن اوھين مون کي سڃاڻو ھا تہ منھنجي پيءُ کي بہ سڃاڻو ھا.“
JHN.8.20	عيسيٰ اھي ڳالھيون ان وقت چيون جنھن وقت ھو ھيڪل جي خزاني واري ڪمري ۾ تعليم ڏيئي رھيو ھو ۽ کيس ڪنھن بہ نہ پڪڙيو، ڇاڪاڻ⁠تہ اڃا سندس وقت نہ آيو ھو.
JHN.8.21	عيسيٰ وري انھن کي چيو تہ ”آءٌ ھليو ويندس ۽ اوھين مون کي ڳوليندا، پر اوھين اتي اچي نہ سگھندا جتي آءٌ ويندس ۽ اوھين پنھنجن گناھن ۾ مرندا.“ 
JHN.8.22	تنھن تي يھودي اڳواڻن چيو تہ ”ھي چوي ڇا ٿو تہ ’جتي آءٌ ويندس اتي اوھين اچي نہ سگھندا؟‘ انھيءَ جي معنيٰ تہ ھو پنھنجو پاڻ کي ماريندو ڇا؟“ 
JHN.8.23	عيسيٰ وراڻيو تہ ”اوھين ھيٺ جا آھيو، پر آءٌ مٿان آيو آھيان. اوھين ھن دنيا جا آھيو، پر آءٌ ھن دنيا جو نہ آھيان. 
JHN.8.24	اھو ئي سبب آھي جو مون اوھان کي ٻڌايو تہ اوھين پنھنجن گناھن ۾ مرندا. جيڪڏھن اوھين اھو نہ مڃيندا تہ آءٌ اھو ئي آھيان، تہ پوءِ اوھين ضرور پنھنجن گناھن ۾ مرندا.“ 
JHN.8.25	تنھن تي انھن پڇيس تہ ”تون ڪير آھين؟“ عيسيٰ وراڻيو تہ ”آءٌ اھو ئي آھيان، جيئن شروعات کان وٺي اوھان کي ٻڌائيندو آيو آھيان. 
JHN.8.26	اوھان بابت فيصلي ڪرڻ لاءِ مون وٽ ڪيتريون ئي ڳالھيون آھن. جنھن مون کي موڪليو آھي سو سچو آھي ۽ جيڪي ⁠بہ ڳالھيون مون کانئس ٻڌيون آھن، سي ئي آءٌ دنيا کي ٻڌايان ٿو.“
JHN.8.27	انھن اھو نہ سمجھيو تہ ھو ساڻن پيءُ بابت ڳالھائي رھيو آھي. 
JHN.8.28	سو عيسيٰ کين چيو تہ ”جڏھن اوھين ابن⁠آدم کي مٿي چاڙھيندا، تڏھن اوھان کي خبر پوندي تہ آءٌ اھو ئي آھيان. آءٌ پنھنجي طرفان ڪجھہ بہ نہ ٿو ڪريان، پر اھو ئي ڪجھہ چوان ٿو جيڪي پيءُ مون کي سيکاريو آھي. 
JHN.8.29	جنھن مون کي موڪليو آھي سو مون سان آھي. ھن مون کي اڪيلو نہ ڇڏيو آھي، ڇالاءِ⁠جو آءٌ ھميشہ اھي ڪم ڪريان ٿو جيڪي کيس پسند آھن.“ 
JHN.8.30	تنھن تي ڪيترن ئي عيسيٰ جون ھي ڳالھيون ٻڌي مٿس ايمان آندو.
JHN.8.31	پوءِ جن يھودين مٿس ايمان آندو ھو، عيسيٰ تن کي چيو تہ ”جيڪڏھن اوھين منھنجي تعليم تي قائم رھندا تہ اوھين سچ⁠پچ منھنجا شاگرد آھيو. 
JHN.8.32	پوءِ اوھان کي سچ جي خبر پوندي ۽ اھو سچ اوھان کي آزاد ڪندو.“ 
JHN.8.33	 تنھن تي انھن وراڻيو تہ ”اسين ابراھيم جو اولاد آھيون ۽ ڪڏھن بہ ڪنھن جا غلام نہ ٿيا آھيون، تہ پوءِ تنھنجي انھيءَ چوڻ جو مقصد ڇا آھي تہ ’اوھين آزاد ٿيندا‘؟“ 
JHN.8.34	عيسيٰ انھن کي چيو تہ ”آءٌ اوھان کي سچ ٿو ٻڌايان تہ جيڪو بہ گناھہ ٿو ڪري سو گناھہ جو غلام آھي. 
JHN.8.35	خاندان ۾ غلام کي ڪوبہ حق نہ آھي، پر پٽ کي ھر ڪو حق حاصل آھي. 
JHN.8.36	تنھنڪري جيڪڏھن فرزند اوھان کي آزاد ڪندو تہ اوھين سچ⁠پچ آزاد ٿيندا. 
JHN.8.37	مون کي خبر آھي تہ اوھين ابراھيم جو اولاد آھيو، تہ بہ اوھين مون کي مارڻ جي ڪوشش ڪريو ٿا، ڇاڪاڻ⁠تہ اوھين منھنجي ڪلام کي دل ۾ جاءِ نہ ٿا ڏيو. 
JHN.8.38	آءٌ اوھان کي اھو ٻڌايان ٿو جيڪي مون پيءُ وٽ ڏٺو آھي، پر اوھين اھي ڪم ڪريو ٿا جيڪي اوھان پنھنجي پيءُ کان ٻڌا آھن.“
JHN.8.39	تنھن تي انھن وراڻيو تہ ”اسان جو پيءُ تہ ابراھيم آھي.“ عيسيٰ چين تہ ”جيڪڏھن اوھين ابراھيم جو اولاد ھجو ھا تہ اوھين بہ انھيءَ جھڙا ڪم ڪريو ھا. 
JHN.8.40	پر اوھين مون کي مارڻ جي ڪوشش ڪريو ٿا، جنھن اوھان کي سچ ٻڌايو آھي. مون اھو ئي ٻڌايو آھي جيڪو مون خدا کان ٻڌو آھي. ابراھيم تہ اھڙو ڪم ڪونہ ڪيو ھو. 
JHN.8.41	اوھين اھي ڪم ڪريو ٿا جيڪي اوھان جي پيءُ ڪيا آھن.“ تڏھن انھن وراڻيو تہ ”اسان جو پيءُ تہ رڳو خدا آھي ۽ اسين سندس ئي حقيقي اولاد آھيون.“ 
JHN.8.42	عيسيٰ انھن کي چيو تہ ”جيڪڏھن خدا اوھان جو پيءُ ھجي ھا تہ اوھين مون سان پيار ڪريو ھا، ڇاڪاڻ⁠تہ آءٌ خدا وٽان آيو آھيان. آءٌ پاڻ ئي ڪين آيو آھيان پر ھن مون کي موڪليو آھي. 
JHN.8.43	اوھين منھنجو ڳالھائڻ ڇو نہ ٿا سمجھو؟ اھو انھيءَ لاءِ تہ اوھين منھنجي ڪلام کي ٻڌي نہ ٿا سگھو. 
JHN.8.44	اوھين پنھنجي پيءُ يعني شيطان جا فرزند آھيو ۽ پنھنجي پيءُ جون مرضيون پوريون ڪرڻ گھرو ٿا. شروعات کان وٺي ھو خوني ھو ۽ ھن ڪڏھن بہ سچ جو پاسو نہ ورتو آھي، ڇالاءِ⁠جو ھن ۾ سچ نہ آھي. جڏھن ھو ڪوڙ ٿو ڳالھائي تہ پنھنجي طبيعت موجب ٿو ڳالھائي، ڇالاءِ⁠جو ھو ڪوڙو آھي ۽ ڪوڙ جو باني آھي. 
JHN.8.45	پر آءٌ سچ ٿو چوان، تنھنڪري اوھين مون تي ايمان نہ ٿا آڻيو. 
JHN.8.46	اوھان مان ڪو اھڙو آھي، جيڪو ثابت ڪري تہ مون گناھہ ڪيو آھي؟ جيڪڏھن آءٌ سچ ٿو چوان تہ پوءِ اوھين مون تي ڇو نہ ٿا ايمان آڻيو؟ 
JHN.8.47	جيڪو خدا وٽان اچي ٿو سو خدا جون ڳالھيون ٻڌي ٿو. اوھين انھيءَ ڪري نہ ٿا ٻڌو ڇالاءِ⁠جو اوھين خدا وٽان نہ آيا آھيو.“
JHN.8.48	سو انھن يھودين عيسيٰ کي چيو تہ ”ڇا اسين سچ نہ چئي رھيا ھئاسين تہ تون سامرين وانگر ڪافر آھين ۽ تو ۾ ڀوت آھي؟“ 
JHN.8.49	عيسيٰ وراڻيو تہ ”مون ۾ ڀوت ڪونھي، پر آءٌ پنھنجي پيءُ جي عزت ٿو ڪريان ۽ اوھين منھنجي بي⁠عزتي ٿا ڪريو. 
JHN.8.50	آءٌ پنھنجي ساراھہ نہ ٿو چاھيان، پر ھڪڙو آھي جيڪو چاھي ٿو تہ منھنجي ساراھہ ٿئي ۽ اھو منھنجي فائدي ۾ فيصلو ڪري ٿو. 
JHN.8.51	آءٌ اوھان کي سچ ٿو ٻڌايان تہ جيڪو بہ منھنجي ڪلام تي عمل ڪري ٿو سو ڪڏھن بہ نہ مرندو.“ 
JHN.8.52	انھن يھودين کيس چيو تہ ”ھاڻي اسان کي خبر پئي تہ تو ۾ ڀوت آھي. ابراھيم مري ويو ۽ نبي بہ مري ويا تہ بہ تون چوين ٿو تہ ’جيڪو منھنجي ڪلام تي عمل ڪندو سو ڪڏھن بہ نہ مرندو.‘ 
JHN.8.53	اسان جو پيءُ ابراھيم جيڪو مري ويو تنھن کان بہ تون وڏو آھين ڇا؟ نبي بہ مري ويا تہ تون پاڻ کي ڇا ٿو سمجھين؟“ 
JHN.8.54	عيسيٰ وراڻيو تہ ”جيڪڏھن آءٌ پنھنجي ساراھہ ڪريان تہ منھنجي ساراھہ ڪا معنيٰ نہ ٿي رکي. پر جيڪو منھنجي ساراھہ ڪري ٿو سو منھنجو پيءُ آھي، جنھن جي لاءِ اوھين چئو ٿا تہ ’اھو اسان جو خدا آھي.‘ 
JHN.8.55	اوھان ھن کي ڪڏھن بہ نہ سڃاتو آھي پر آءٌ کيس ڄاڻان ٿو. جيڪڏھن آءٌ چوان ٿو تہ آءٌ ھن کي نہ ٿو ڄاڻان تہ آءٌ بہ اوھان جھڙو ڪوڙو ٿيندس. پر آءٌ کيس ڄاڻان ٿو ۽ سندس ڪلام تي عمل ڪريان ٿو. 
JHN.8.56	اوھان جو پيءُ ابراھيم منھنجي انھيءَ ڏينھن جي ڏسڻ جي اميد تي ڏاڍو خوش ھو. ھُن اھو ڏينھن ڏٺو ۽ خوش ٿيو.“ 
JHN.8.57	تنھن تي انھن چيس تہ ”تون پنجاھہ ورھين جو بہ ڪين آھين، پوءِ تو ڪيئن ابراھيم کي ڏٺو؟“ 
JHN.8.58	عيسيٰ وراڻيو تہ ”آءٌ اوھان کي سچ ٿو چوان تہ ابراھيم جي ڄمڻ کان اڳي بہ آءٌ آھيان.“ 
JHN.8.59	تنھن تي انھن عيسيٰ کي سنگسار ڪرڻ لاءِ پٿر کنيا، پر عيسيٰ پاڻ کي کڻي لڪايو ۽ ھيڪل مان نڪري ھليو ويو.
JHN.9.1	جيئن عيسيٰ رستي سان پئي ويو تہ ھن ھڪ اھڙو ماڻھو ڏٺو، جيڪو ڄائي ڄم کان انڌو ھو. 
JHN.9.2	ھن جي شاگردن کانئس پڇيو تہ ”استاد! ڪنھن جي گناھہ جي ڪري ھو انڌو ڄائو؟ ڇا ھن جي پنھنجي گناھہ جي ڪري يا سندس ماءُ⁠پيءُ جي گناھہ سبب؟“ 
JHN.9.3	عيسيٰ وراڻيو تہ ”ھن جي انڌائپ جو ھن جي گناھہ سان يا سندس ماءُ⁠پيءُ جي گناھہ سان ڪوبہ واسطو نہ آھي. ھو انھيءَ ڪري انڌو آھي تہ جيئن ھن مان خدا جا ڪم ظاھر ٿين. 
JHN.9.4	جيستائين ڏينھن آھي تيستائين اسان کي انھيءَ جا ڪم ڪرڻ گھرجن جنھن مون کي موڪليو آھي. رات ايندي تہ پوءِ ڪوبہ ماڻھو ڪم ڪري نہ سگھندو. 
JHN.9.5	 جيستائين آءٌ ھن دنيا ۾ آھيان تہ آءٌ دنيا جي روشني آھيان.“ 
JHN.9.6	ائين چوڻ کان پوءِ عيسيٰ زمين تي ٿڪ اڇلائي ۽ انھيءَ ٿڪ سان مٽي ڳوھيائين. پوءِ اھا ڳوھيل مٽي انھيءَ انڌي جي اکين تي لاتائين 
JHN.9.7	۽ چيائينس تہ ”پنھنجو منھن انھيءَ تلاءَ ۾ وڃي ڌوءُ، جنھن جو نالو 
JHN.9.8	تنھن تي سندس پاڙيسرين ۽ ٻين ماڻھن جن کيس اڳ پنندي ڏٺو ھو، سي چوڻ لڳا تہ ”ھي اھو فقير نہ آھي ڇا جيڪو ھتي ويٺو پنندو ھو؟“ 
JHN.9.9	ڪي چوڻ لڳا تہ ”ھي اھو ئي آھي“ ۽ ٻيا چوڻ لڳا تہ ”ھي اھو نہ آھي پر انھيءَ جھڙو آھي.“ تنھن تي ھن پاڻ چيو تہ ”آءٌ اھو ئي آھيان.“ 
JHN.9.10	پوءِ انھن پڇيس تہ ”تنھنجون اکيون ڪيئن کليون؟“ 
JHN.9.11	ھن وراڻيو تہ ”اھو شخص جنھن جو نالو عيسيٰ آھي، تنھن مٽي ڳوھي منھنجين اکين تي لاتي ۽ چيائين تہ ’سيلوم واري تلاءَ ۾ وڃي منھن ڌوءُ.‘ پوءِ آءٌ ويس ۽ وڃي منھن ڌوتم ۽ پوءِ ڏسڻ وائسڻ لڳس.“ 
JHN.9.12	تنھن تي انھن پڇيس تہ ”اھو شخص ڪٿي آھي؟“ ھن چين تہ ”مون کي خبر نہ آھي.“
JHN.9.13	تنھن کان پوءِ اھي انھيءَ انڌي مان سڄي ٿيل ماڻھوءَ کي فريسين وٽ وٺي آيا. 
JHN.9.14	جنھن ڏينھن تي عيسيٰ مٽي ڳوھي انڌي ماڻھوءَ جون اکيون کوليون ھيون سو سبت جو ڏينھن ھو. 
JHN.9.15	پوءِ فريسين انھيءَ ماڻھوءَ کان پڇيو تہ ”تون ڪيئن ڏسڻ وائسڻ لڳين؟“ ھن انھن کي ٻڌايو تہ ”ھڪڙي ماڻھوءَ ٿوري مٽي منھنجين اکين تي لاتي ۽ مون وڃي منھن ڌوتو تہ آءٌ ڏسڻ وائسڻ لڳس.“ 
JHN.9.16	تنھن تي فريسين مان ڪن چيو تہ ”جنھن ماڻھوءَ ھي ڪم ڪيو آھي سو خدا جي طرفان ٿي نہ ٿو سگھي، ڇاڪاڻ⁠تہ ھن سبت جي ڏينھن کي نہ مڃيو آھي.“ ٻين وري چيو تہ ”جيڪو گنھگار آھي سو اھڙا معجزا ڪيئن ٿو ڪري سگھي.“ تنھنڪري انھن ۾ ڏڦيڙ پئجي ويو.
JHN.9.17	ان کان پوءِ فريسين ھڪ دفعو وري انھيءَ ماڻھوءَ کان پڇيو تہ ”تون چوين ٿو تہ ھن تنھنجون اکيون کوليون، پر تون انھيءَ شخص بابت ڇا ٿو چوين؟“ ھن وراڻيو تہ ”ھو نبي آھي.“ 
JHN.9.18	يھودي اڳواڻن کي ھن ماڻھوءَ جي ڳالھہ تي اڃا بہ اعتبار نہ آيو تہ ھو ڪو انڌو ھو ۽ پوءِ سڄو ٿيو آھي، تنھنڪري ھنن انھيءَ ماڻھوءَ جي ماءُ⁠پيءُ کي سڏائي کانئن پڇيو تہ 
JHN.9.19	”ڇا ھي اوھان جو پٽ آھي؟ اوھين چئو ٿا تہ ھي ڄائي ڄم کان انڌو ھو، تہ پوءِ اھو ڪيئن ٿي سگھي ٿو تہ ھو ھاڻي ڏسي وائسي ٿو؟“ 
JHN.9.20	ھن جي ماءُ⁠پيءُ وراڻيو تہ ”اسين ڄاڻون ٿا تہ ھي اسان جو پٽ آھي ۽ ڄائي ڄم کان انڌو ھو. 
JHN.9.21	پر اھا خبر ڪانھي تہ ھاڻي ڪيئن ھو ڏسڻ وائسڻ لڳو آھي ۽ اسان کي اھا بہ خبر ڪانھي تہ ڪنھن ھن جو اکيون کوليون. اوھين کانئس پڇو، ھو بالغ آھي، پاڻ پنھنجي ڳالھہ ڪندو.“ 
JHN.9.22	سندس ماءُ⁠پيءُ ائين انھيءَ ڪري چيو، ڇالاءِ⁠جو ھو يھودي اڳواڻن کان ڊنا ٿي، جن اڳي ئي ٺھراءُ ڪري ڇڏيو ھو تہ جيڪڏھن ڪو ماڻھو عيسيٰ کي مسيح ڪري مڃيندو تہ ھو انھيءَ کي پنھنجي عبادت⁠گاھہ مان ڪڍي ڇڏيندا. 
JHN.9.23	اھو ئي سبب ھو جو انھيءَ ماڻھوءَ جي ماءُ⁠پيءُ چيو تہ ”ھو بالغ آھي سو اوھين کانئس پڇو.“
JHN.9.24	ٻئي دفعي انھن وري انھيءَ ماڻھوءَ کي گھرايو جيڪو اڳي انڌو ھو ۽ کيس چيائون تہ ”تون خدا جي آڏو واعدو ڪر تہ سچ ڳالھائيندين. اسين ڄاڻون ٿا تہ اھو ماڻھو گنھگار آھي.“ 
JHN.9.25	انھيءَ ماڻھوءَ وراڻيو تہ ”مون کي خبر نہ آھي تہ ھو گنھگار آھي يا نہ. آءٌ رڳو اھو ڄاڻان ٿو تہ اڳي آءٌ انڌو ھوس ۽ ھاڻي ڏسان وائسان ٿو.“ 
JHN.9.26	تنھن تي انھن پڇيس تہ ”ھن تو کي ڇا ڪيو؟ ڪيئن تنھنجون اکيون کوليائين؟“ 
JHN.9.27	ھن وراڻيو تہ ”اڃا ھاڻي تہ مون اوھان کي ٻڌايو تہ بہ اوھان ڪونہ ٻڌو، وري ڇو ٿا ٻڌڻ چاھيو؟ اوھين بہ ھن جا شاگرد ٿيڻ چاھيو ٿا ڇا؟“ 
JHN.9.28	تنھن تي انھن ڦٽ لعنت ڪري چيس تہ ”تون ئي انھيءَ جو شاگرد آھين. اسين تہ موسيٰ جا شاگرد آھيون. 
JHN.9.29	اسين ڄاڻون ٿا تہ خدا موسيٰ سان ڳالھايو ھو، پر انھيءَ شخص بابت اسان کي ڪابہ خبر نہ آھي تہ ھو ڪٿان آيو آھي.“ 
JHN.9.30	تنھن تي انھيءَ ماڻھوءَ چيو تہ ”واہ! اھا تہ عجيب ڳالھہ آھي، ھُن منھنجون اکيون کوليون آھن، تڏھن بہ اوھان کي خبر نہ آھي تہ ھو ڪٿان آيو آھي. 
JHN.9.31	اسين ڄاڻون ٿا تہ خدا گنھگارن جي نہ ٻڌندو آھي، پر جيڪڏھن ڪو خداپرست آھي ۽ سندس مرضيءَ تي ھلي ٿو تہ خدا انھيءَ جي ٻڌي ٿو. 
JHN.9.32	ھن دنيا جي شروعات کان وٺي ائين ڪڏھن بہ ٻڌڻ ۾ ڪونہ آيو تہ ڄائي ڄم کان انڌي ماڻھوءَ جون ڪنھن بہ اکيون کوليون ھجن. 
JHN.9.33	جيڪڏھن ھي ماڻھو خدا جي طرفان نہ ھجي ھا تہ ڪجھہ بہ نہ ڪري سگھي ھا.“ 
JHN.9.34	تنھن تي انھن چيس تہ ”تون اصل ڄائو ئي گناھن ۾ آھين ۽ ھاڻي تون ٿو اسان کي سيکارين؟“ پوءِ تہ انھن کيس عبادت⁠خاني مان ڪڍي ڇڏيو.
JHN.9.35	جڏھن عيسيٰ ٻڌو تہ انھيءَ ماڻھوءَ کي عبادت⁠خاني مان ڪڍي ڇڏيو اٿن، تڏھن عيسيٰ کيس ڳولي وڃي لڌو ۽ چيائينس تہ ”ڇا تون ابن⁠آدم تي ايمان آڻين ٿو؟“ 
JHN.9.36	تنھن تي ھن پڇيس تہ ”سائين! اھو ڪير آھي جو آءٌ مٿس ايمان آڻيان؟“ 
JHN.9.37	عيسيٰ چيس تہ ”تو تہ کيس اڳي ئي ڏٺو آھي ۽ اھو ھاڻي تو سان ڳالھائي رھيو آھي.“ 
JHN.9.38	انھيءَ ماڻھوءَ چيو تہ ”اي خداوند! آءٌ ايمان آڻيان ٿو.“ پوءِ کيس سجدو ڪيائين.
JHN.9.39	عيسيٰ چيس تہ ”آءٌ ھن دنيا ۾ انصاف ڪرڻ لاءِ آيو آھيان تہ جيئن انڌا ڏسن ۽ جيڪي ڏسن ٿا سي انڌا ٿين.“ 
JHN.9.40	پوءِ اھي فريسي جيڪي ساڻس گڏ ھئا، تن جڏھن اھي ڳالھيون ٻڌيون، تڏھن انھن پڇيس تہ ”ڇا اسين بہ انڌا آھيون؟“ 
JHN.9.41	عيسيٰ کين چيو تہ ”جيڪڏھن اوھين انڌا ھجو ھا تہ اوھان تي ڪو ڏوھہ نہ ٿئي ھا. پر ھاڻي تہ اوھين پاڻ چئو ٿا تہ ’اسين ڏسون ٿا،‘ سو اوھان تي ڏوھہ ثابت آھي.“
JHN.10.1	”آءٌ اوھان کي سچ ٿو ٻڌايان تہ جيڪو ماڻھو رڍن جي واڙي ۾ در کان نہ ٿو گھڙي پر ڪنھن ٻئي پاسي کان ٽپي اچي ٿو، سو چور ۽ ڌاڙيل آھي. 
JHN.10.2	جيڪو ماڻھو در کان واڙي ۾ گھڙي ٿو سو رڍن جو ريڍار آھي. 
JHN.10.3	دربان ھن لاءِ در کولي ٿو ۽ رڍون ھن جو آواز ٻڌن ٿيون. ھو نالو وٺي پنھنجين رڍن کي سڏي ٿو ۽ کين ٻاھر آڻي ٿو. 
