GEN.1.1	Qallariypeqa Dios janaj pachata kay pachatawan ruwarqa. 
2CH.33.23	Manataj Señorpa ñaupaqempeqa k'umuykukorqachu imaynatachus tatan Manasés k'umuykukorqa jinataqa, manachayqa aswan juchasta yapaykukorqa.
2CH.33.24	Yanapajkunasnillantaj paypa contrampi oqharikorqanku, wañucherqankutaj kikin palacion ukhupi. 
2CH.33.25	Llajtamanta runastaj wañuchillarqankutaj rey Amompa contrampi oqharikoj runasta, paypa cuentanmanta kamachinampajtaj wawan Josiasta churaykorqanku.
2CH.34.1	Josiasqa pusaj watasniyoj karqa, kamachiyta qallarishaspa. Jerusalempitaj kamacherqa kinsa chunka ujniyoj watasta. 
2CH.34.2	Josiaspa ruwasqasnenqa Señorpa rikuynimpeqa cheqan karqanku, paypa ñaupa tatampa Davidpa ñankunasninta qhaterqa, mana chaymanta pañaman nitaj lloq'eman t'aqakuspa.
2CH.34.3	Pusaj watastaña kamachisqanmantataj, waynallaraj kashaspa, ñaupa tatan Davidpa Diosninta mask'ayta qallarerqa. Chunka iskayniyoj watasta kamachisqanmantataj, Judamanta, Jerusalenmantawan qhechuyta qallarerqa lomas patapi yupaychana wasista, Asera lantisninta, llajllasqa lantisninta, metalmanta jich'asqa lantistapis. 
2CH.34.4	Ñaupaqempitaj thuñerqanku Baal lantispa altaresninta. Thuñichillarqataj patampi kasharqanku chay incienso q'osñichina altarestapis, chanta thuñichillarqankutaj Asera lantista, llajllasqa lantista, metalmanta jich'asqa karqanku chay lantistapis, chay tukuyta ñut'uman tukuchispa. Chaywan qhalliykorqa uywasta chay lantisman ñak'aspa jaywarqanku chaykunaj sepulturasninkoj patanman. 
2CH.34.5	Chay jawaqa sacerdotespa tullusninkuta altaresninkoj patallampitaj ruphacherqanku, ajinata llimphucharqa, Judata Jerusalentawan. 
2CH.34.6	Manasespa llajtasnimpi kikillantataj ruwarqa, Efraimpapi, Simeompapi, Neftalejpapi, chay llajtaspa muyuynimpi, ranchosnintimpiwan. 
2CH.34.7	Thuñerqa altaresta, Asera lantista, llajllasqa lantistawan ñut'uta ruwaraspa. Tukuy Israel jallp'api incienso q'osñichina altarestapis phiricherqa. Chaymantataj Jerusalenman kutiporqa.
2CH.34.8	Chunka pusajniyoj watastaña kamachisqanmanta, chanta jallp'ankuta, yupaychana wasitapis llimphuchasqankumantaña kacharqa Azaliaspa wawan Safanta, chay llajtamanta kamachejkuna Amasiasta, Joacazpa wawan qelqeri Joata. Tukuy paykunata kackarqa, Señor Diosninkoj wasinta jallch'amunankupaj. 
2CH.34.9	Chaypacha paykunaqa watukamorqanku kuraj kaj sacerdote Hilciasta. Paymantaj qolqeta jaywarqanku, chay Diospa yupaychana wasinman apamorqanku chaytaqa chay punku qhawajkuna levitas tantasqanku, Manasés ayllumanta, jinataj Efraín ayllumanta ima. Israelpa ayllunmanta qhepakorqanku chaykunamanta, jinallataj Judamanta, Benjaminmanta, Jerusalenmantapis. 
2CH.34.10	Chaymantataj qorqanku Señorpa yupaychana wasinta ruwachinankupaj churasqas karqanku chaykunaman, paykunataj paganankupaj yupaychana wasi jallch'aypi llank'ajkunaman. 
2CH.34.11	Chay qolqeta jaywarqanku carpinterosman, ruwachejkunamanwan ch'eqosqa rumista rantinankupaj, maderasta jap'ichinankupaj, jinataj maderastapis kurkuspaj, chay wasisman wajterasta churanankupajpis, Judamanta reykunaspa urmachisqasninku wasispi.
2CH.34.12	Chay runasqa allin sonqowan llank'arqanku. Qhawaspa ruwachejkunataj karqanku levitas, Jahatwan, Abdiaswan, Merarej ayllunmanta, chanta Zacariaswan, Mesulamwantaj Koatpa ayllunmanta karqanku. Paykunaqa ruwachejkuna karqanku. Levitasmantataj tukuyninku tocayta yachajkuna karqanku. 
2CH.34.13	Paykunaqa q'epejkunatapis qhawallarqankutaj, chay wasi ruwaypi llank'ajkunatapis. Levitasmanta wakinkunataj qelqeris, kamachejkuna, punku qhawajkuna ima karqanku.
2CH.34.14	Señorpa yupaychana chay wasinman churasqa chay qolqeta orqhoshaspataj sacerdote Hilciasqa tarerqa, Señorpa leyninmanta Moisesnejta qosqa chay librota. 
2CH.34.15	Hilciasqa qelqeri Safanman nerqa: Señorta yupaychana wasipi leymanta librota tarini, nispa. Safanmantaj chay librotaqa jaywapusqa. 
2CH.34.16	Safantaj chay librota reyman aparqa. Chaymanta willaspataj nerqa: Reyníy, kamachisniykeqa ruwashanku, tukuy imata kamachisqasniykiman jina. 
2CH.34.17	Yupaychana wasipi karqa chay qolqetapis tantaykuspa, chay qhawaspa llank'achishanku chaykunaman, llank'ajkunamanwan jaywanku.
2CH.34.18	Chaymanta qelqeri Safanqa reyman willallarqataj: Sacerdote Hilciasqa uj librota jaywawarqa. Chaytataj Safanqa reyman ñaupaqempi leerqa. 
2CH.34.19	Reytaj leypa nisqasninta uyarispa, p'achanta llik'ikorqa. 
2CH.34.20	Chay rato kamacherqa Hilciasta, Safamps wawan Ahicanta, Micaiaj wawan Abdonta, qelqeri Safanta, reypa yanapajnin Asaiastawan, kay jinata nispa: 
2CH.34.21	Riychej Señorta tapumuychej noqamanta, Israelpi, Judapiwan puchojkuna runasmanta, kay tarisqaykichej libropi nisqasninmantawan. Señorqa sinch'i phiñasqa kashan noqanchejpaj, imaraykuchus ñaupa tatasninchejqa mana waqaychasqankuchu Señorpa nisqanta, manataj ruwasqankuchu kay libropi qelqasqa kasqanman jina.
2CH.34.22	Hilciaswan, reywan kamacherqa rinankuta chaykuna rerqanku profetisa Huldaman. Payqa Saluimpa warmin karqa. Salumtaj Ticvaj wawan karqa Harhaspa allchhintaj. Payqa yupaychana wasipi p'achasta jallch'anampaj churasqa karqa. Huldaqa Jerusalempi tiyakorqa chay mosoj llajtanejpi. Paymantaj chay palabrasta nerqanku: 
2CH.34.23	Paytaj kuticherqa kay jinata: Israelpa Señor Diosnenqa nin: Niychej pichus tapojta kachamuwasunkichej chay runaman: 
2CH.34.24	Ajinata noqa Señorqa nini: Uj jatun llakiyta apachimusaj kay cheqaman, chaypi tiyakojkunamampis, imaynatachus Judáj reynimpa ñaupaqempi leenkichejña chay libropi, llakiykunas jamunanmanta nisqanman jina. 
2CH.34.25	Paykunaqa saqerpariwanku, waj dioskunamantaj inciensosta q'osñichinku, jinamanta waj ruwasqasninkuwan phiñachiwaspa, chayrayku kay cheqaj contrampi phiñakuyniyta apachimusaj, manataj thasnukonqachu. 
2CH.34.26+2CH.34.27	Judáj reyninman, pichus kachamusunkichej Señorta tapurejta, chayman niychej: Israelpa Señor Diosnin ajinata nin: Chay libroj palabrasninta uyarisqankurayku, sonqoykita wawayachispa Diospa ñaupaqempi k'umuykukusqaykirayku, kay cheqaj contrampi, chaypi tiyakojkunaj contrampiwan, imastachus nisqasniyta uyarispa, ñaupaqeyman k'umuykakamuwasqaykirayku, p'achaykita llik'ikusqaykirayku, ñaupaqeypi waqasqaykiraykutaj noqapis uyarillaykitaj mañakuwasqaykita. Ajinamanta nin Señorqa: 
2CH.34.28	Noqa ruwasaj allillanta wañupunaykita, ñaupa tatasniykiwantaj ujchasqas kamunaykita, mana rikuspalla ima llakiykunastachus kay cheqapi tiyakojkunasman ima apachimusaj chayta.
2CH.34.28	Reypa kachasnenqa kutiporqanku chay willayta reyman apamuspa. 
2CH.34.29	Chaypacha reyqa kacharqa wajyajta, tantacherqataj Judamanta, Jerusalenmantawan tukuy kurajkunata. 
2CH.34.30	Chaymantataj reyqa, jinataj Judamanta, Jerusalenmantawan tukuy runaswan, sacerdoteswan, levitaswan, tukuy nacionmanta kajkunapiwan, juch'uymanta jatunkama Señorpa yupaychana wasinman rerqanku. Chaypitaj reyqa jatunmanta leerqa Señorpa wasimpi tarisqanku chay trato ruwasqa librota. 
2CH.34.31	Chaymantataj reyqa sayarikorqa sayantampa ladompi, Señorpa ñaupaqempitaj tratota ruwarqa Señorta qhatinanta, tukuy kamachisqasninta, leykunasninta, nisqasninta, tukuy almawan, tukuy sonqowan junt'ananta. Chanta imastachus chay trato libropi ruwanasta nisqanman jina. 
2CH.34.32	Chaymantataj reyqa nerqa Jerusalenmanta, Benjaminmantawan, chaypi kasharqanku chay runasta, chay tratota junt'asaj ninankuta. Jerusalempi tiyakojkuna runastaj Dioswan trato ruwasqankuta junt'arqanku, ñaupa tatasninkoj Diosninwan trato ruwasqankuta. 
2CH.34.33	Josiasqa qhechorqa tukuy millay ruwaykunata Israel jallp'amanta. Kamacherqataj tukuy israelitas Señor Diosninkuta sirvinankuta. Rey kausanankama mana t'aqakorqankuchu ñaupa tatasninkoj Diosninmanta.
2CH.35.1	Josiasqa Jerusalempi Pascua fiestata ruwarqa Señorpa sutimpi. Ñaupaj kaj killapi chunka tawayoj diampi Pascua corderota ñak'arqanku chay fiestapaj. 
2CH.35.2	Sacerdotestataj ruwanasninku karqa chayman churarqa, Señorpa yupaychana wasimpi kamachita ruwanankupaj sonqocharqa. 
2CH.35.3	Jinataj tukuy israelitasta yachachejkuna, Señorpaj t'aqasqa levitasman nerqa: Diospaj t'aqasqa trato ruwasqa cajonta churamuychej, Israelpa reynin Davidpa wawan Salomompa ruwasqan yupaychana wasiman, manaña lijraspa apaykachanaykichejpaj. Kunantaj Señor Diosniykichejta sirvej churakuychej, jinataj Señorpa ayllun Israeltapis. 
2CH.35.4	Familiasman jina wakichikuychej, mit'asniykichejman jinataj Israelmanta rey Davidpa wawan Salomompis qelqasqata saqesqankuman jina. 
2CH.35.5	Diosta yupaychana wasipi qhepakuychej, familiaspi t'aqasqas kasqaykichejman jina, hermanosniykichej israelitasta familiasninkuman jina yanapanaykichejpaj, sapa familia levitasmanta chay familiasta yanapanaykichejpaj. 
2CH.35.6	Pascua fiesta corderota ñak'aychej, llimphuchakuychejtaj, hermanosniykichejtapis wakichiychej Moisesnejta Señorpa kamachisqasninta junt'anankupaj.
2CH.35.7	Chaymantataj Josiasqa kikin uywasninmanta qorqa, Pascua fiestata ruwanankupaj tantasqas kasharqanku chay runasman: Ovejasta, corderosta, cabrasmanta ima. Tukuynimpi kinsa chunka waranqa uywasta qorqa. Torillostataj kinsa waranqata qorqa. 
2CH.35.8	Jinallataj reypa yanapajkunasnimpis paykunallamanta jaywanasta qorqanku tukuy aylluman sacerdotesman, levitasman ima. Jinallataj Diosta yupaychana wasipi kamachejkunapis qollarqankutaj: Hilcias, Zacarías, Jehiel ima, sacerdotesman qorqanku Pascua fiestata ruwanankupaj iskay waranqa sojta pachajniyoj ovejasta, kinsa pachaj torillostawan. 
2CH.35.9	Chanta levitaspa kamachejkunasninku Conanías, Natanael, Hasabaías, Jehiel, Josabat imaqa levitasman phishqa waranqa ovejasta, phishqa pachaj torillostawan jaywallarqankutaj chaykunawan Pascuata ruwanankupaj.
2CH.35.10	Fiestachanankupaj wakichisqasña kashajtinkutaj, sacerdotesqa ruwanasninkuman yaykorqanku, levitaspis mit'asninkuman jina, reypa kamachisqanman jina. 
2CH.35.11	Chaypacha Pascuapaj nisqa uywasta ñak'arqanku. Chay uywaspa yawarninwantaj sacerdotesqa altarta ch'ajchorqanku. Chaykamataj levitasqa uywasta ñak'asharqanku. 
2CH.35.12	Chaymantataj ruphachinapaj kajta orqhomorqanku tukuynin ayllu familiasninkuman jina Señorman jaywanankupaj, Moisespa librompi kamachisqa kasqanman jina. Torilloswampis kikillantataj ruwarqanku. 
2CH.35.13	Chay qhepamantataj chay uywastaqa kankarqanku Pascua fiestata ruwanankupaj; ñaupajmanta nisqa kasqanman jina, chay wakin Diospaj t'aqasqa kajkuna jaywanatataj wayk'orqanku mankaspi, jatuchaj calderaspi, paylaspi ima. Tukuynin aychatataj usqhayllata ayllumanta tukuy runasman rak'irarqanku. 
2CH.35.14	Chaymantataj levitasqa paykunapajñataj, jinataj Aarompa ayllunmanta kajkuna sacerdotespajpis wakicherqanku, imaraykuchus sacerdotesqa ch'isiyanankama ruwanaspi karqanku q'olachinasta jaywaspa, wirasnin kajtawan ruphachispa. Chayrayku levitasqa paykunapaj, jinataj Aarompa ayllunmanta sacerdotespajpis chayaqesninkuta wakicherqanku.
2CH.35.15	Asafpa ayllunmanta takejkunaqa kanankupi kasharqanku Davidpa kamachisqanman jina, Asaf, Hemán, reypa profetan Jedutún kamachisqanman jina. Punkusta qhawajkunapis, sapa ujpis punkusninkupi kasharqanku; mana mayqenninkupis Pascuata qhawanataqa saqerparerqankuchu, hermanosninku levitasqa paykunapajwan wakichisqankurayku.
2CH.35.16	Ajinata tukuy ima wakichikorqa Señorta yupaychanapaj jaqay diaspi Pascuata fiestachanapaj, jinataj Señorpa altarnin patapi uywasta q'olachinapaj, rey Josiaspa kamachisqanman jina. 
2CH.35.17	Israelitas chaypi kajkunaqa fiestata ruwarqanku, mana levadurayoj t'antasta mikhuna fiestatataj qanchis diata. 
2CH.35.18	Profeta Samuelpa tiemponmantapacha, mana ujtapis Israelpi fiestachakusqachu kay jina Pascuataqa, ni mayqen Israelmanta reykunapis Pascuna fiestataqa ruwasqachu Josías jinaqa, sacerdoteswan, levitaswan, Judamanta kaj runaswan, Israelmanta chaypi kajkunawan, jinataj Jerusalempi tiyakojkunawan ima. 
2CH.35.19	Chay Pascuataqa ruwarqanku chunka pusajniyoj watastaña Josías kamachishajtin.
2CH.35.20	Aswan qhepamanta Josiasqa Señorpa yupaychana wasinta allinyachisqanmantaña, Egiptoj reynin Necaoqa Eufrates mayuman kachaykukorqa Carquemispi maqanakunampaj, Josiastaj paywan tinkoj llojserqa. 
2CH.35.21	Necaotaj, kachasta kacharqa kay jinata nichispa: Judamanta reyqa mana ima ruwanampis kanchu qanwanqa. Mana qampa contraykipichu jamushani, manachayqa waj naciompa contrampi maqanakupi kashani chayman, Dios kamachiwan apurakunayta. Ajinaqa allinniykipaj ama churanakuychu Dioswan, payqa noqawan kashan. Pajtataj pay wañuchisunkiman.
2CH.35.22	Josiastaj mana ithirerqachu, manachayqa paywan maqanakoj rerqapuni mana kasuspa Necaoj willachimusqanta. Chay willayqa kikin Diosmantapuni jamorqa. Ajinaqa maqanakuman yaykorqapuni Meguido vallepi. 
2CH.35.23	Arcota kacharejkunataj Josiasman jap'erparicherqanku. Chaypacha reyqa nerqa yanapajkunasninman: Kaymanta orqhowaychej, sinch'i nanachisqa kashani nispa. 
2CH.35.24	Chay yanapajkunasnintaj maqanakunapaj carretamanta waj carretamantaj churarqanku, chaymanta Jerusalenman aparqanku. Ñaupa tatasnimpa p'ampakunampitaj p'ampaykaporqanku. Josiaspa wañupusqanmantataj mayta waqarqanku, tukuyninku Judamanta, Jerusalenmantawan kajkuna. 
2CH.35.25	Jeremiasqa uj yarawita wakicherqa Josiaspa wañupusqanmanta yuyarikunapaj tukuy takiykuna qharispi warmispipis. Josiasmanta yuyarikuspa kay yarawita takinkupuni kunankama. Kay yaraweqa Israel ayllu ukhupi takisqapuni, qelqasqataj yarawi takiykuna libropi.
2CH.35.26	Josiaspa wakin ruwasqanqa Señorpa leynin libroman jina, munakuywan allin ruwasqasnimpis, qallariymanta tukukuyninkama ruwasqasnimpis qelqasqas kashanku, Israelpa, jinataj Judajpa reykunasninmanta willajkuna librospi.
2CH.36.1	Chaypacha Judamanta runasqa Josiaspa wawan Joacazta ajllarqanku. Jerusalempitaj tatampa cuentanmanta reyninkupaj churarqanku. 
2CH.36.2	Joacazqa iskay chunka kinsayoj watasniyoj karqa kamachiyta qallarishaspaqa. Jerusalempitaj kinsa killata kamacherqa. 
2CH.36.3	Egiptoj reynintaj Jerusalempi kamachiyninmanta qhechurparerqa, nacionninwantaj impuestota pagachikorqa, kinsa waranqa kinsa pachajniyoj kilos qolqeta, kinsa chunka kinsayoj kilostataj qorita. 
2CH.36.4	Chaymantataj Egiptoj reynenqa Eliaquinta churarqa, Judapi, Jerusalempiwan rey kanampaj. Eliaquemqa Joacazpa hermanon karqa, Necaoqa Eliaquinman Joacim sutita churarqa. Chaymantataj Necaoqa Joacazta jap'ispa Egiptoman aparqa.
2CH.36.5	Joacemqa iskay chunka phishqayoj watasniyoj karqa kamachiyta qallarishaspa. Jerusalempitaj chunka ujniyoj watasta kamacherqa. Ruwasqasninrí mana allinkunachu karqa Señor Diosnimpa rikuynimpeqa. 
2CH.36.6	Babiloniaj reynin Nabucodonosortaj, Joacimpa contrampi jamorqa. Broncemanta watanaswan ch'ipaykukuytawantaj Babiloniaman aparqa. 
2CH.36.7	Nabucodonosorqa Babiloniaman Señorta yupaychana wasimpi kaj ruwanapaj nisqa wakin imasta apakaporqa. Chaykunatataj Babiloniapi yupaychana wasinman churaykorqa.
2CH.36.8	Joacimmanta wakin willaykunasqa, chay millay ruwanasnin, imaschus payta qhatirisqasnimpis qelqasqas kashanku, Judajta Jerusalempatawan reykunasninkumanta willaj libropi. Paypa cuentanmantataj wawan Joaquín kamacherqa.
2CH.36.9	Joaquenqa chunka pusajniyoj watasniyoj karqa kamachiyta qallarishaspa. Jerusalempitaj kamacherqa kinsa killata chunka iskayniyoj diatawan. Ruwasqasnenqa sajras karqanku Señorpa rikuynimpi.
2CH.36.10	Chay wata muyurimuypitaj rey Nabucodonosorqa Joaquinta kamacherqa Babiloniaman apachinankuta, Señorpa yupaychana wasinmanta aswan valorniyojkuna imastawan khuska. Sedequiastataj churarqa Judatawan Jerusalentawan kamachinampaj. Sedequiasqa Joaquimpa ayllunmanta karqa.
2CH.36.11	Sedequiasqa iskay chunka ujniyoj watasniyoj karqa kamachiyta qallarishaspa. Chunka ujniyoj watastataj kamacherqa Jerusalempi. 
2CH.36.12	Ruwasqasnenqa mana walejkunachu karqa Diospa ñaupaqempi. Profeta Jeremiaspa ñaupaqempi mana k'umuykukorqachu Señorpa palabranta payman parlashajtin. 
2CH.36.13	Chantapis rey Nabucodonosorqa contrampi oqharikorqa, payqa Diospa sutimpi jurachisqa yanapanakupi yaykunankupaj. Sonqontapis sinch'ita rumiyacherqa, Israelpa Diosninman mana kutirikuyta munaspa.
2CH.36.14	Jinallatataj tukuy runas, sacerdote runaspis astawan juchata yapaykukorqanku, chay waj nacionespa millay jucha ruwasqasninkuta ruwaspa, jinamanta ch'ichichaspa Señorta yupaychana wasita, Jerusalempi paypaj ajllakorqa chayta. 
2CH.36.15	Ñaupa tatasninkoj Señor Diosninkoqa palabranta apachillarqapuni paykunaman profetasninnejta khuyasqanrayku, tiyakuna wasinraykutaj. 
2CH.36.16	Jinapis paykunaqa asiykukorqanku Señorpa willarajkunasninmanta, nisqankuta qhesacharqanku, profetasninmantapis asiykukorqanku, Señorpa phiñakuyninta oqharichinankukama paykunaj contrankupi, manañataj chayta thasnuchiyta aterqankuchu.
2CH.36.17	Chaypacha Señorqa Caldeospa reyninta puririchimorqa paykunaj contrankupi, wayna runasninkutataj kikin Diosta yupaychananku wasi ukhupi cuchillowan wañucherqanku, manataj khuyarqachu wayna runasta, nitaj sipas warmistapis, nitaj unay watasniyojkunatapis, nitaj machu runastapis, nitaj allin achachistapis. Señorqa tukuyninkuta paypa makisninman jaywaykorqa. 
2CH.36.18	Chanta caldeospa reynenqa Babiloniaman apakaporqa; Diosta yupaychana wasinmanta kaj imasta, jatuchajkunata, jinataj juch'uykunata, Diosta yupaychana wasipi valorniyoj kaj imasta, reypata kajkunata, reypa yanapajkunasnimpata kajkunatapis. 
2CH.36.19	Chay jawaqa Diosta yupaychana wasitapis ruphaykucherqanku, Jerusalén llajtaj perqasnintataj thuñirarqanku. Tukuy palaciosninmampis ninata jap'iykucherqanku. Chay valorniyoj kaj imastapis tukuyninta t'unaykorqanku.
2CH.36.20	Chay qhepatataj wañuymanta llusp'ejkunaqa Babiloniaman wijch'usqas karqanku. Paypa kamachisnin kamorqanku, jinataj wawasnimpatawan kamorqanku persaspa reyninku sayarinankama. 
2CH.36.21	Chay tukoyqa ruwakorqa profeta Jeremiasnejta Diospa nisqasnin junt'akunampaj. Jinamanta jallp'aqa samarikorqa tukuynin tiempospi raqaykunaspi kanankama, qanchis chunka watas junt'akunankama.
2CH.36.22	Persiaj reynin Ciro, ñaupaj kaj watapi kamachishajtintaj, Jeremiasnejta Señorpa parlasqan junt'akunampaj Señorqa Cirota umacharqa, tukuynin kamachiynimpi kajkunaman willarachinampaj, parlasqaspi, jinataj qelqasqaspipis, kay jinata: 
2CH.36.23	Persiamanta rey Ciroqa kay jinata nin: Janaj pachamanta Dios makisniyman churamun kay jallp'a patapi kaj tukuy reinosta, kamachiwantaj Jerusalempi Diosta yupaychana wasita ruwapunayta, chaytaj Judá jallp'api kashan. Ajinaqa mayqennillaykichejpis, Señorpa ayllunmanta kajkunataqa, Señor Diosniykichej yanapachun, jaqaymantaj richun.
EZR.1.1	Persiamanta kaj rey Ciro uj watataña kamachishajtin, Señorpa parlasqan, Jeremiaspa siminnejta junt'anampaj, Señorqa rey Ciroman umallicherqa. Tukuynin reinompi kajkunaman willaracherqa, parlaypi, qelqasqapiwan kay kamachisqata: 
EZR.1.2	Persiamanta rey Ciroqa kay jinata nin: Janaj pachapi kaj Señor Diosqa, tukuynin jallp'api reinosta qopuwan, kamachiwantaj Judapi kaj Jerusalén llajtapi paypaj uj wasita ruwapunayta. 
EZR.1.3	Diosqa kachun, pikunachus paypa ayllunmanta kankichej chay tukuywan. Judapi kaj Jerusalenman wicharichun, Israelpata Señor Diosnimpa wasinta ruwamoj. Paymin Jerusalempi tiyakoj Diosqa. 
EZR.1.4	May llajtaspichá israelitas kausashankuraj, chay llajtayoj runasqa, israelita runasta yanapachunku ripunankupaj qolqewan, qoriwan, imaschus tiyapuyninkuwan, uywasninkuwan ima. Chantapis ofrendasninkuta qochunku atisqankuman jina Diospa templompaj, chaytaj Jerusalempi kashan.
EZR.1.5	Chaypacha Judá ayllumanta, Benjamín ayllumantawan kuraj runas wakichikorqanku Jerusalenman rinankupaj, Señorpa wasinta ruwamunankupaj. Jinallatataj wakichikorqanku sacerdotes, levitas, chantapis pikunatachá Dios umacharqa chaykuna ima. 
EZR.1.6	Jinataj tukuy qayllankupi tiyakojkuna paykunata yanaparqanku qolqewan, qoriwan, kapuyninkuwan, uywasninkuwan, ashkha valorniyoj imaswantaj; chantapis tukuy laya ofrendasninkuwan atisqankuman jina. 
EZR.1.7	Rey Cirotaj, orqhochimorqa Señorpa templompi karqanku chay imasta. Chaykunataqa, Nabucodonosor Jerusalenmanta apachispa dioskunasnimpa templonman churachisqa. 
EZR.1.8	Persiamanta rey Cirotaj chay imasta kutichiporqa tesorero Metridatesnejta. Paytaj yupaykuytawan, Judapi kamachej Sesbasarman jaywarqa. 
EZR.1.9+EZR.1.10	Chay yupasqastaj kaykuna karqanku: Kinsa chunka jatuchej qori vasos, waranqa jatuchaj qolqe vasos, iskay chunka isq'onniyoj cuchilloswan, kinsa chunka qori vasos, tawa pachaj chunkayoj qolqe vasos, waranqa waj imaswan. 
EZR.1.11	Tukuy chay qolqemanta qorimantataj kaj imasqa yupakorqa, phishqa waranqa tawa pachajniyoj. Tukuy kay imasta Sesbasarqa watejmanta aparqa Jerusalenman, Babiloniamanta kutipushaspa, presochasqas karqanku chay runaswan khuska.
EZR.2.1	Kaykuna kanku presochasqamanta kutimpojkuna. Paykunaqa rey Nabucodonosorpa kamachisqanman jina Judá jallp'amanta Babiloniaman apasqas karqanku. Paykunamanta wakinkuna Jerusalenman, Judá jallp'asmantaj kutimporqanku, sapa ujninku llajtankuman yaykuporqanku. 
EZR.2.2	Paykunata pusarejkuna kaykuna karqanku: Zorobabel, Jesúa, Nehemías, Reelaías, Mardoqueo, Bilsán, Mispar, Bigvai, Rehum, Baana ima. Israel ayllumanta qharisqa kay jina yupasqas karqanku:
EZR.2.3	Parospa ayllunmanta: Iskay waranqa pachaj qanchis chunka iskayniyoj.
EZR.2.4	Sefatiaspa ayllunmanta: Kinsa pachaj qanchis chunka iskayniyoj.
EZR.2.5	Araj ayllunmanta: qanchis pachaj qanchis chunka phishqayoj. 
EZR.2.6	Pahat-moabpa ayllunmanta: Iskay waranqa pusaj pachaj chunka iskayniyoj. Kaykunataj Josuejpa ayllunmanta, Joabpa ayllunmantawan karqanku.
EZR.2.7	Elampa ayllunmanta: waranqa iskay pachaj phishqa chunka tawayoj.
EZR.2.8	Zatoj ayllunmanta: Isq'on pachaj tawa chunka phishqayoj.
EZR.2.9	Zacaipa ayllunmanta: Qanchis pachaj sojta chunkayoj.
EZR.2.10	Binuypa ayllunmanta: Sojta pachaj tawa chunka iskayniyoj.
EZR.2.11	Bebaejpa ayllunmanta: Sojta pachaj iskay chunka kinsayoj.
EZR.2.12	Azgadpa ayllunmanta: Waranqa iskay pachaj iskay chunka iskayniyoj.
EZR.2.13	Adonicampa ayllunmanta: Sojta pachaj sojta chunka sojtayoj.
EZR.2.14	Bigvaipa ayllunmanta: Iskay waranqa phishqa chunka sojtayoj.
EZR.2.15	Adimpa ayllunmanta: Tawa pachaj phishqa chunka tawayoj.
EZR.2.16	Ezequías nisqa Aterpata ayllunmanta: Isqon chunka pusajniyoj.
EZR.2.17	Bezaejpa ayllunmanta: Kinsa pachaj iskay chunka kinsayoj.
EZR.2.18	Joraj ayllunmanta: Pachaj chunka iskayniyoj.
EZR.2.19	Hasumpa ayllunmanta: Iskay pachaj iskay chunka kinsayoj.
EZR.2.20	Gibarpa ayllunmanta: Isq'on chunka phishqayoj.
EZR.2.21	Belempi nacejkunamanta: Pachaj iskay chunka kinsayoj.
EZR.2.22	Netufa llajtayojkunamanta: Phishqa chunka sojtayoj.
EZR.2.23	Anatot llajtayojmanta: Pachaj iskay chunka pusajniyoj.
EZR.2.24	Azmavetpa ayllunmanta: Tawa chunka iskayniyoj.
EZR.2.25	Quiriat-jearimpi, Cafirapi, Beerotpi nacekojkunamanta: Qanchis pachaj tawa chunka kinsayoj.
EZR.2.26	Ramápi, Gebapi nacekojkunamanta: Sojta pachaj iskay chunka ujniyoj.
EZR.2.27	Micmas llajtayojkunamanta: Pachaj iskay chunka iskayniyoj.
EZR.2.28	Betel llajtayojkunamanta, Hai llajtayojkunamantawan: Iskay pachaj iskay chunka kinsayoj.
EZR.2.29	Neboj ayllunmanta: Phishqa chunka iskayniyoj.
EZR.2.30	Magbispi nacekojkunamanta: Pachaj phishqa chunka sojtayoj.
EZR.2.31	Ujnin kaj Elampa ayllunmanta: Waranqa iskay pachaj phishqa chunka tawayoj.
EZR.2.32	Harimpi nacekojkunamanta: Kinsa pachaj iskay chunkayoj.
EZR.2.33	Lodpi, Hadidpi, Onopi nacekojkunamanta: Qanchis pachaj iskay chunka phishqayoj.
EZR.2.34	Jericopi nacekojkunamanta: Kinsa pachaj tawa chunka phishqayoj.
EZR.2.35	Senaapi nacekojkunamanta: Kinsa waranqa sojta pachaj kinsa chunkayoj.
EZR.2.36	Jedaiaspa miraynin sacerdotesmanta: Isq'on pachaj sojta chunka kinsayoj. Paykunaqa, Josuejpa ayllunmanta karqanku.
EZR.2.37	Imerpa ayllunmanta: Waranqa phishqa chunka iskayniyoj.
EZR.2.38	Pasurpa ayllunmanta: Waranqa iskay pachaj tawa chunka qanchisniyoj.
EZR.2.39	Harimpa ayllunmanta: Waranqa chunka qanchisniyoj.
EZR.2.40	Josuejpa miraynin, chanta, Cadmielpa miraynin levitasmanta: Qanchis chunka tawayoj. Paykunaqa Hodaviaspa ayllunmanta karqanku.
EZR.2.41	Takejkunamanta: Pachaj iskay chunka pusajniyoj. Paykunaqa Asafpa ayllunmanta karqanku.
EZR.2.42	Punkuta qhawajkunamanta: Pachaj kinsa chunka isq'onniyoj. Paykunaqa Salumpa ayllunmanta, Aterpa ayllunmanta, Talmompa ayllunmanta, Acubpa ayllunmanta, Hatitaj ayllunmanta, Sobaejpa ayllunmantawan.
EZR.2.43	Templopi sirvejkunaqa Zihaj ayllunmanta karqanku, chanta, Asufaj ayllunmanta, Tobaotpa ayllunmanta, 
