MAT.1.1	Cay kelkaskaka Jesucristoj ñaupaj tatasninmantamin. Jesuska Abrahammanta jamun Davidmantawan.
ROM.3.19	Cayta yachallanchejtaj: Camachiskasta rejsejcunaman tucuy kelkaska chayjinata nin tucuy ch'inyachiska canancupaj. Ajinaka tucuy cay pachapi cajcuna Diospa ñaupakenpi juchachaskas cancu. 
ROM.3.20	Chayraycu camachiskasta ruwaskannejta ni pita Dios chekanpaj khawanchu. Astawanpis camachiskaska juchata rejsichinallawanchejpaj koska carka.
ROM.3.21	Cunanrí Dioska ricuchinña imaynatachus mana camachiskasta ruwaskancuraycullachu runasta chekanpaj khawananta. Chayta willan Moisespa kelkaskanpi Diospa unay willajcunanpa kelkaskasnincupipis. 
ROM.3.22	Jesucristopi tucuy jap'icojcunata chekanpaj Dios khawan jap'icuskancunejllata, tucuyta quiquinta khawaspa. 
ROM.3.23	Tucuymin juchallicorkancu. Diospa c'acha munayninmanta carunchacuspataj ni pi paymanjina causanchu. Nitaj pipis chekan cayta taripanchu. 
ROM.3.24	Diosrí c'achata yanapawarkanchej khasillamanta nokanchejta chekanpaj khawaspa Cristo Jesús juchamanta cacharichiwaskanchejraycu. 
ROM.3.25	Tucuypa ñaupakencupi payta Dios churarka juchanchejraycu wañunanpaj, yawarninta jich'aspa. Wañunanchejmanta Cristo wañuskanta jap'icojtinchej juchanchejmanta Dios llimphuchawanchej. Ajinapi Cristo Jesuspa wañuynin ricuchin Dioska chekanpuni caskanta. Ñaupa tiempospeka qhuyacuyninpi manarajmin juchata c'ajaj phiñacuyninwan jasut'erkarajchu. 
ROM.3.26	Astawanpis cunancama suyarka chekan caskanta ricuchinanpaj. Cunantaj Dioska chekan caskanta ricuchin Cristo Jesús juchanchejraycu wañuskanwan. Ricuchillantaj Jesuspi jap'icojta chekan runapaj khawaj caskanta.
ROM.3.27	Ajinaka ni pipis atinchu chekan caymanta jatunchacuyta. Chekan cayka mana runaj ruwaskannejtachu, manachayrí Diospi jap'icuskannejllata. Chayraycu jatunchacuyka manacajllañamin. 
ROM.3.28	Reparanchej, runaka Diospi jap'icuskannejllatamin chekanpaj khawaska caskanta manataj camachiskasmanjina ruwaskanraycuchu. 
ROM.3.29	Chaywanpis Dioska mana israelcunaj Diosnillancuchu. Waj llajtayojcunajtapis Diosnillancutajmin. 
ROM.3.30	Dioska ujllamin. Israelcunata chekanpaj khawan paypi jap'icuskancunejta. Quiquillantataj waj llajtayojcunatapis chekanpaj khawan paypi jap'icuskancunejta. 
ROM.3.31	Ajinaka ¿jap'icuskanchejnejta tucuchinayanchejchu Diospa camachiskasninta? ¡Ni imaynamantapis! Aswanpis sinch'ita sayachinchej camachiskasta.
ROM.4.1	Runamanjina unay tataycu Abrahammanta chay quiquin yachachinallatataj Diospa palabranpi willawanchej. 
ROM.4.2	Abrahamka ruwaskasninnejtachus chekanpaj khawaska carka chayka, jatunchacunman carka. Diospa ñaupakenpirí mana jatunchacuyta aterkachu. 
ROM.4.3	Palabranpi Abrahammanta nin: “Pay Diospi jap'icorka. Diostaj jap'icuskanraycu payta chekan runapaj khawarka”, nispa. 
ROM.4.4	Llanc'aj runamanrí pagonka mana regalopaj khawaskachu. Manachayrí llanc'askanmanta pagonta jap'inanpuni. 
ROM.4.5	Astawanpis uj runa ni imata ruwaspapis Diospi jap'icuspaka chekanpaj khawaskamin. Diostaj juchasapataka paypi jap'icojtin juchasninta khechuspa chekanpaj khawan. Ajinata chekanchaj Diospi jap'icuspa runaka chekanpaj khawaska.
ROM.4.6	Chaywanpis unay camachejniycu Davidpis kelkarka cusiska runamanta. Chay cusiska runata Dios chekanpaj khawan paypi jap'icuskanraycu manataj ruwaskanraycuchu. 
ROM.4.7	Palabranpi nin:
ROM.4.7	Runas cusicuyniyoj cancu Dios sajra ruwaskasnincuta khechuspa pampachajtin, juchasnincutaj manaña cajtin.
ROM.4.8	Runaka cusicuyniyojmin juchasninta Señorninchej manaña juchachananpaj jap'ejtin.
ROM.4.9	Chayjina cusicuyniyojcuna mana israelcunallamantachu cancu, manachayrí waj llajtayojcunamantapis callancutaj. Nerkanchejña paypi jap'icojtin Abrahamtaka Dios chekanpaj khawaskanta. 
ROM.4.10	Ajinaka ¿imayna cashajtintaj chekanpaj khawaska carkarí? ¿Señalpaj cuerponpi circuncidaska cashajtinchu chayrí manaraj chayjina señalaska cashajtinchu? Dios paytá chekanpaj khawarka manaraj chayjina señalaska cashajtin. 
ROM.4.11	Manaraj cuerponpi señalaska cashaspa sonkonwan Diospi jap'icorka. Chaymantaña Dios camacherka Abrahamta cuerponpi señalaska cananta. Chayka carka ricuchinanpaj paypi jap'icuskannejta chekanpaj khawaska caskanta. Ajinapi ñaupa tatancujina cashan Diospi jap'icoj waj llajtayojcunapajpis. Cuerposnincupi mana chayjina señalaska cashajtincupis sonkowan jap'icojtincu Dios paycunata chekanpaj khawan. 
ROM.4.12	Diospi jap'icoj israelcunajtapis tatallancutajmin. Chaywanpis paycunaka mana chay señalniyojllachu cancu. Manachayrí Abraham Diospi jap'icuskanmanjina jap'icuncu. Payka manaraj chay señalniyoj cashaspa chekanpaj khawaska cananpaj Diospi jap'icorka.
ROM.4.13	Dioska sumaj niskanta Abrahamman mirayninmanpis willarka: “Kanman cay pachata kopuskayqui”, nispa. Caytaka mana camachiskasta casuskanraycuchu willarka. Astawanpis jap'icuskannejta chekanpaj khawaskanraycu chay sumaj niskanta willarka. 
ROM.4.14	Ajina cajtenka sichus camachiskasta casuskancunejllata sumaj niskanta jap'incuman chayka, Diospi jap'icuskancu khasilla, sumaj niskanpis manacaj canman. 
ROM.4.15	Sitajchus camachiskas mana canchu chayka, ni pi juchachaskachu canman mana casuskanmantaka. [Astawanrí Dios camachiskasninta kowarkanchej. Mana camachiskasninta casojmantaj Diospa c'ajaj phiñacuynin jamun.] Ajinapi camachiskasmantaka Diospa phiñacuynillan jamun jucharaycu. 
ROM.4.16	[Abrahamri camachiskasta casuyta mana aterkachu.] Astawanpis Diospi jap'icuskanraycu Dios sumaj niskanta paypaj churarka. Ajinata ruwarka sumajta yachananchejpaj c'acha yanapayninnejllata sumaj niskanta nokanchejpaj junt'ananta. Tucuy Abrahampa mirayninpajpis sumaj niskanta Dios junt'ankapuni Abrahamjina Diospi jap'icojtincu. Camachiskasninpi cajcunapajpis tucuy nokanchejpajpis junt'anka. Abrahamka tatanchejmin Diospi jap'icuskanchejraycu. 
ROM.4.17	Dios palabranpipis payman nin: “Ashqha llajtaspa tatancupaj kanta churarkayqui”, nispa. Diospa ñaupakenpi Abrahamka sumaj niskanpi jap'icorka. Chay atiyniyoj Dioska wañuskacunata causarichimun. Yuyaskanmanjinataj parlan mana ruwaska imasmantapis cunan cashaskantajina.
ROM.4.18	Ni ima suyananpaj cashajtin Abrahamka Diospi jap'icuspa suyarka. Ajinamanta sumaj niskanmanjina ashqha llajtaspa tatancupaj tucorka. Diospa sumaj niskan carka: “Mirayniyqui mana yupay atina canka”.
ROM.4.19	Abrahamka pachaj watayojjinaña carka. Cuerpontapis wañuskapajña khawacorka. Sara, warminpis, ashqha watasniyoj caspa manaña wawata rejsejjinachu carka. Chaywanpis Abraham sonkonwan Diospi jap'icuyninpi mana pisiyacorkachu. 
ROM.4.20	Sumaj niskanmantapis mana iscayrayarkachu. Astawanpis Diospi jap'icuyninpi astawan callpachacorka. Ajinapi Diosta jatuncharka, 
ROM.4.21	chekata yachaspa Dioska atiyniyoj caskanta sumaj niskanta junt'ananpaj. 
ROM.4.22	Dioska payta chekanpaj khawarka ajinata jap'icuskanraycu.
ROM.4.23	Manataj Abrahamllapajchu kelkaska carka Dios payta chekanpaj khawaskantaka. 
ROM.4.24	Manachayrí nokanchej tucuy paypi jap'icojcunapajpis nillantaj. Ajinapi cunanka Diospi jap'icuspa chekanpaj khawaskas casunchej. Paymin Señorninchej Jesusta wañuymanta causarichimorka. 
ROM.4.25	Juchasninchejraycu Dios payta wañuyman jaywarka. Chekanpaj khawaskas cananchejpajtaj causarichimorka.
ROM.5.1	Cunanka Diospi jap'icuskanchejraycu chekanpaj khawaskas caspa payman allinyachiskas canchej Señorninchej Jesucristonejta. 
ROM.5.2	Ajinapi c'acha yanapayninwan causacojcuna canchej. Paynejtataj cusicunchej atiyniyoj Dioswan cusca wiñaypaj cacunanchejmanta. 
ROM.5.3	Mana chayllachu astawanraj llaquiycunapi cusicunchejpis yachaspa llaquiyka mana sayc'uspa muchuyta yachachiwaskanchejta. 
ROM.5.4	Ajinata muchuskanchejtaj ricuchin paypi jap'icuspa callpayoj caskanchejta. Ajina callpachaskastaj Diospi confiacunchej jamoj imaspaj yanapanawanchejpaj. 
ROM.5.5	Ajinata confiacuspataj yachanchej Dios niskanta junt'ananta. Espirituntataj kowarkanchej sonkonchej munacuyninwan junt'a cananpaj. Chayraycu ajinata Diospi confiacunchej. 
ROM.5.6	Ajinapimin mana callpayoj cashajtinchejpis Diospa ajllaskan p'unchaypi Cristoka wañorka sajra ruwajcunapaj. 
ROM.5.7	Chekatapuni yakha mana pipis wañunmanchu uj chekan ruwajpajka. Uj c'acha runapajka ichapis mayken causayninta konman. 
ROM.5.8	Cristorí juchasapasllaraj cashajtinchejpis wañupuwarkanchej. Ajinapi Dioska munacuyninta nokanchejman chekata ricuchiwarkanchej. ¡Chayjina munacuyka Diospallata! 
ROM.5.9	Chayraycu cunan Cristoj wañuyninnejta chekanpaj khawaskas canchej. May astawanraj Diospa c'ajaj phiñacuyninmantapis cachariskas casunchej. 
ROM.5.10	Payta mana casuspa enemigonjina cashajtinchej Wawanpa wañuyninnejta Dios allinyachicuwarkanchej. Ajina cajtenka may astawanraj causarimoj Cristowan ujchaska wiñaypaj cachariskas causasunchej. 
ROM.5.11	Mana chayllachu astawanraj Diospipis mayta cusicushanchej Señorninchej Jesucristonejta, cunan Diosman wiñaypaj allinyachiskas caskanchejraycu.
ROM.5.12	Yachanchejjina uj runanejta jucha cay pachaman yaycumorka. Juchanejtataj tucuy wañuncu. Ajinamanta tucuy runaspaj wañuy jamun tucuy runas juchallicuskancuraycu. 
ROM.5.13	Ajinapi manaraj Moisespa camachiskasnin koska cashajtin juchaka cay pachapi carkapuniñamin. Manachus camachiskas tiyan chayka, runaka mana juchachaskachu. 
ROM.5.14	Astawanrí Adanmantapacha Moisescama tucuy runas wañorkancu mana Adanjina juchallicojcunapis. [Payka Diospa contranpi churacorka Dios payman niskanta mana casuspa.] Adanka ñaupaj runa caskanraycu tucuy cay pacha runaspa curajnincu cashan. Payka Diospa cachamuskan Runaman rijch'acun. [Cristorí mosoj causayniyojcunaj Curajnincu cashan.] 
ROM.5.15	Paynejta Dioska ashqhasman munacuyninta ricucherka. Astawanka aswan jatunmin Diospa c'acha yanapaynenka Adanpa juchanmanta niskaka. Chay mana casuskan juchamanta tucuy runas wañuncu. Diosrí may astawanraj c'acha yanapayninta mana mich'acuspa kowarkanchej Jesucristonejllata. 
ROM.5.16	Nitaj chay ujpa juchanjinachu Diospa koskanka carka. Chay ujpa juchanmanta juchachayka jamun nokanchejpaj. Astawanpis may ashqha juchasta khechuspa Dioska c'acha yanapayninnejta chekanpaj khawawanchej. 
ROM.5.17	Adannejtaka, paypa mana casuskanraycu, tucuy wañuncu. May astawanraj Dioska munacuyninwan chekan cayta korillan. Chay chekan cayta jap'ejcunari Jesucristonejllata jap'incu. Paywan cuscataj jatunchaska wiñaypaj causankancu.
ROM.5.18	Cunanka, Adanpa mana casuskanwan tucuy juchachaskas carkancu. Ajinallataj Cristoj casuskanwanka tucuypaj chekan cayka wiñaypajmin. 
ROM.5.19	Imaynachus Adanpa mana casuskannejtaka tucuy juchayojcuna carkancu, ajinallataj Cristoj casuskannejta ashqhas chekan ruwajcuna cankancu. 
ROM.5.20	[Dios camachiskasninpi munayninta ricucherka. Runasrí camachiskasta mana casuspa] astawanraj juchallicorkancu. Aswan jucha cajtintaj may astawanraj Diospa c'acha yanapaynin runasman chayamorka. 
ROM.5.21	Ajinapi imaynatachus juchanejta runas wañorkancu chaymanjinallatajmin c'acha yanapayninnejta chekanpaj Dioska khawawanchej. Señorninchej Jesucristonejtataj wiñay causayta kowanchej.
ROM.6.1	Chay tucuymanta cunanka ¿imanisunmantaj? ¿Yuyanquichejchu Diospa c'acha yanapaynin aswan jatun cananpaj? 
ROM.6.2	¡Ni imaynamanta! Nokanchejka juchapaj wañuporkanchejña. Chayraycu manaña juchapi causayta atinchejchu.
ROM.6.3	Yachanquichejjina Cristopi jap'icuspa bautismonejta ricucherkanchej Cristowan ujchaska caskanchejta. Cayka, wañuyninpi ujchacuymin. 
ROM.6.4	Wañuskajinataj paywan cusca bautismonejta p'ampachicorkanchej. Imaynatachus Dios Tataka jatun atiyninwan Cristota causarichimorka, ajinallataj nokanchejwanpis carka mosoj causaypi purinanchejpaj. 
ROM.6.5	Imaynatachus Cristo wañorka, ajinallatataj juchapaj wañorkanchej paywan ujchacuspaka. Chayraycu chekatapuni causarimuyninpijinallataj ujchacusunchej. 
ROM.6.6	Cayta yachanchej: Ñaupa causayninchejka Cristowan cusca wañuchiskajinañamin carka. Ajinapi juchaj atiynin manaña cuerponchejta camachinchu. Juchaj atiynenka tucuchiskamin manaña munayninchejta ruwananchejpaj. 
ROM.6.7	Sichus runa wañunña chayka, juchamanta cachariskamin. 
ROM.6.8	Yachanchej mauc'a causayninchejka Cristowan cusca wañuska caskanta. Chayraycu creenchej paywan cusca mosoj causayniyoj caskanchejta. 
ROM.6.9	Yachanchejtaj Cristo wañuymanta causarimuspaña ni jayc'aj wañonkachu. Wañuypa atiyninmantaka wiñaypaj cachariskaña. 
ROM.6.10	Juchanchejpaj Cristoka uj cutillata wañorka tucuy juchata atipananpaj. Cunanrí Diospaj causashan. 
ROM.6.11	Ajinallataj kancunapis juchapaj wañuskajina khawacuychej juchamanta t'akaskaña caskayquichejraycu. Cristo Jesuswan ujchaskataj Diospaj causaychej.
ROM.6.12	Chayraycu amaña jucha camachichunchu, sajra camachejjina, cay pacha causayniyquichejtaka. Amañataj juchata casuspa sajra munayninmanjina ruwaychejchu. 
ROM.6.13	Niñataj juchaj yuyaskanmanjina cuerpoyquichejwan sajrata ruwaychejchu. Manachayrí wañuskamanta causarimuskasjina tucuy causayniyquichejta Diosman jaywacuychej. Cuerpoyquichejtapis payman jaywacuychej chekanta ruwanayquichejpaj. 
ROM.6.14	Manañamin juchaj camachisninchu canquichej, manaña camachiskasta ruwaynejta chekanpaj khawaska yuyaskayquichejraycu. Astawanpis Dios c'acha yanapayninnejta chekan runaspaj khawasunquichej.
ROM.6.15	Cunanka, manaña camachiskasta ruwayllawanchu causanchej, manachayrí Dios c'achata yanapawaskanchejmanjina. ¿Chayraycuchu juchallicusun? ¡Ni imaynamanta! 
ROM.6.16	Cayta sumajta yachanquichejjina: Patronman casunayquichejpaj churacuspaka payta casuspataj camachisnin canquichej. Juchata camachejtajina casuspaka casuskayquichejmanta wañunquichej. Diosta casuspataj chekanta causanquichej. 
ROM.6.17	Ñaupajpi juchaj camachisnin carkanquichej. Cunanrí, gracias Diosman, tucuy sonkowan cheka yachachinata casorkanquichejña yachachiska caskayquichejmanjina. 
ROM.6.18	Juchamanta cachariskas caspataj cunanka chekan ruwanaman camachis canquichej. 
ROM.6.19	Caytaka cay pacha causayninchejmanjina camachismanta quiquinchanawan parlani kancunapaj aswan sut'illa cananpaj. Ñaupajpi millay imasman mana Diosta casuymantaj cuerpoyquichejta camachisjina jaywacorkanquichej mana casojcunaman tucunayquichejcama. Cunanka ajinallatataj camachisjina chekan ruwanaman cuerpoyquichejta jaywacuychej Diosman t'akaska canayquichejpaj.
ROM.6.20	Ñaupajpi juchaj camachisnin cashaspaka libre carkanquichej chekan ruwayman churacuymantaka. 
ROM.6.21	Chay ruwaskasniyquichej ¿imata kancunapaj ruwarkarí? Ni ima allintapis. Astawanrí cunanka p'enkachisunquichej. Chay ruwaskasmantataj runaka wiñaypaj wañun. 
ROM.6.22	Cunanrí juchamanta cacharichiskaña canquichej Diospa camachisnin canayquichejpaj. Payman t'akaska llimphu causayniyoj caspataj c'acha ruwanasta ruwanquichej. Chay ruwanasmantari runaka wiñaypaj causan. 
ROM.6.23	Runaka juchamanta pagotajinamin wiñay wañuyta jap'enka. Diosrí c'acha munacuywan Señorninchej Cristo Jesusnejta wiñay causayta kowanchej.
ROM.7.1	Hermanosníy, leycunamanta reparaspa, cayta yachanquichej: Uj runaka causanancamalla leytaka casun. 
ROM.7.2	Leymanjina uj casaraska warmipis kosanwan ujchaska cashan causanancamalla. Sitajchus kosan wañupunman chayka, casaraska caymanta libreña. 
ROM.7.3	Kosan causashajtillanraj waj kosayoj canman chayka, warmeka khenchapaj rejsiska canka. Sichus kosan wañupunman chayka, manaña paywan ujchaskachu. Leymanjina warmeka mana khenchachu canka waj kosayoj caspapis.
ROM.7.4	Ajinallataj, hermanosníy, kancunapis Cristoj wañuyninpi Moisespa camachiskasninpaj wañuporkanquichejña. Wañuyninnejtataj cachariskas carkanquichej waj kosawanjina ujchaska canayquichejpaj, wañuymanta causarimoj Cristowan. Ajinamanta paywan ujchaska caspa c'acha ruwanasta mosoj causaypi Diospaj ruwanchej. 
ROM.7.5	Ñaupajpi manaraj Diospa munayninmanjina causashajtinchej camachiskaska sajra munayninchejta rijch'aricherka. Ajinapi juchaka cuerponchejpi ruwarka. Chay ruwaskamanta wiñay wañuy jamun. 
ROM.7.6	Cunanrí camachiskasmanta cachariskasña canchej juchapaj wañuskasña caspa. Manañataj mauc'a kelkaskacunamanjinachu ruwanchej jawa imasllataka. Manachayrí Santo Espiritumanjina mosoj causayninchejpi Diosta casunchej.
ROM.7.7	Chay jawa cunanka ¿yuyasunchu camachiskas jucha caskanta? ¡Ni imaynamanta! Astawanpis camachiskasnejllata juchata rejserkani. Camachiska “Ama wajpa capuyninta munapayaychu”, nejtillan munapayayniy jucha caskanta yacharkani. [Ajinamanta camachiskasnejta repararkani munayniy Diospa munayninpa contranpi caskanta.] 
ROM.7.8	Juchaka chay camachiskasmanta valecuspa tucuy imaymana sajra munayta nokapi ruwarka. 
ROM.7.9	Ñaupajpi mana camachiskaswanka munayniymanjina allinjinallata causasharkani. Camachiskasta rejsiskaytawantaj juchaka astawan callpawan causayniypi ruwarka. 
ROM.7.10	Juchaynejtataj wañuskajina carkani. Noka yuyarkani camachiskaska causayta konawanta Diospa munayninta ricuchiskanraycu. Astawanrí wañuyllapaj caporka. 
ROM.7.11	Juchaka chay camachiskapi engañanawanpaj tarispa wañuchiwarka, [sajra munayniyta casuskayraycu.] 
ROM.7.12	Ajinaka Moisespa camachiskasnenka Diosmantamin. Sapa camachiskaka paymanta caspa santa chekan, runaj allinninpajtajmin. 
ROM.7.13	Chayraycu ¿chay sumaj cajka nokapaj wañuyllapajchu caporka? ¡Ni imaynamanta! Manachayrí chay sumaj camachiskasta mana casuskayraycu juchaka wañuyta nokapaj ruwarka. Ajinata ruwarka jucha sut'i ricuchiska cananpaj. Ajinapi chay sumaj camachiskas ricucherka juchaka manchay sajra caskanta.
ROM.7.14	Yachanchej camachiskaska Diosmanta caskanta. Nokarí cay pacha runa cani juchaman camachi. 
ROM.7.15	Ruwaskasniytaka manamin entiendenichu. Ajinapi mana munaskaytachu ruwani; manachayrí chejniskayta ruwani. 
ROM.7.16	Mana munaskaytachus ruwani chayka, ricuchini sonkoypi reparaskayta camachiskas sumaj caskanta. 
ROM.7.17	Ajinapeka ruwaskasniyta manaña nokachu ruwani. Manachayrí jucha nokapi tiyacuspa ruwan. 
ROM.7.18	Yachanitaj cay pacha runa cajtiy ni ima c'acha nokapi caskanta. Chayraycu sonkoywan sumaj cajta ruwayta munaspa mana atinichu. 
ROM.7.19	Ajinapi c'acha cajta ruwayta munaskayta mana ruwanichu. Astawanpis mana munaskay chay sajra ruwayta ruwani. 
ROM.7.20	Sitajchus mana munaskayta ruwani chayka, manaña nokachu ruwani. Manachayrí jucha nokapi tiyacuspa ruwan.
ROM.7.21	Ajinaka cayjina ruwayta nokapi tarini: Sumaj imasta ruwayta munaspa juchata ruwaskallay tiyan. 
ROM.7.22	Sonkoy uqhupeka Diospa sumaj camachiskasninpimin cusicuni. 
ROM.7.23	Astawanri waj camachejtajina nokapi reparani. Chay camachej, juchari, sonkoypi makanacushan contrayta. Chay jucha cuerpoypi tiyacuspataj camachinpaj jap'iwan.
ROM.7.24	¡May phutiy cani! ¡Juchapi wataska cani! ¿Wañuyman pusaj ismoj causaymanta, pillataj cacharichiwankarí? 
ROM.7.25	¡Dioslla cacharichiwayta atin Señorninchej Jesucristonejta! ¡Gracias payman! Ajinaka noka quiquiy yuyayniywan Diospa camachiskasninta casuni. Sitajchus cay pacha runamanjina munayniyta ajllayman chayka, juchaj camachiyninta casuyman.
ROM.8.1	Chayraycu cunanka Cristo Jesuswan ujchaska cajcuna manaña ni imapi juchachaskachu cancu. 
ROM.8.2	Cristo Jesuswan ujchacojtiy wiñay causayta koj Espíritoj camachiyninmin cacharichiwarka. Cacharichiwarkataj jucha camachiyninmanta wiñay wañuymantapis. 
ROM.8.3	Moisespa camachiskasnenka ni jayc'aj causayta koyta aterkachu. Manamin atiyniyojchu carka juchaj camachisnin caskanchejraycu. Diosrí causayta kowanchej cayjinapi: Munacuywan quiquin Wawan Cristota cachamorka cay pacha runaman tucunanpaj. Payka mana juchayoj carka. Cay pacha runa caspa juchapaj wañorka. Ajinapi Dios juchata juchachaspa Cristoj cuerponpi k'alata atiparka. 
ROM.8.4	Chayta ruwarka Diospa camachiskasninmanjina chekan ruwayta junt'ananchejpaj. Nokanchej manaña juchaj camachisnin purejcunachu canchej. Manachayrí Espiritumanjina purinchej.
ROM.8.5	Yachanchej, cay pacha sajra munaymanjina causajcunaka chay munaypipuni yuyancu. Santo Espiritumanjina causajcunarí Espíritoj munayninmanjinapuni yuyancu. 
ROM.8.6	Chay sajra munaymanjina yuyaymantaka wiñay wañuymin jamun. Santo Espiritumanjina yuyaymantataj wiñay causay allillanpi tiyacuywan jamun. 
ROM.8.7	Sajra munaymanjina yuyayka Diospa contranta churacunpuni. Chayraycu Diospa camachiskasninta mana casunchu ni casuytapis atinchu. 
ROM.8.8	Sajra munaymanjina causajcunaka ni jayc'aj Diosta cusichiyta atincuchu.
ROM.8.9	Kancunarí mana sajra munaymanjinachu causashanquichej. Manachayrí Diospa Espiritunmanjina causashanquichej sonkoyquichejpi tiyacuskanraycu. Maykenpi mana Cristoj Espíritun tiyacunchu chayka, payka mana Cristojtachu. 
ROM.8.10	Cristochus sonkoyquichejpi tiyacun chayka, cuerpoyquichejka jucharaycu wañojlla. Espiritunmanjinarí causayniyoj canquichej chekanpaj khawaskasñamin caskayquichejraycu. 
ROM.8.11	Dioska Jesusta causarichimorka Santo Espiritunejta. Chaywanpis sichus chay Espíritu sonkoyquichejpi tiyacun chayka, Dios kancunaj wañoj cuerpoyquichejta causarichimonka chay sonkoyquichejpi tiyacoj Espiritunnejta.
ROM.8.12	Chayraycu, hermanosníy, sajra munayninchej manaña camachiwanchejchu. Manaña chaymanjinaka causananchejchu tiyan. 
ROM.8.13	Sichus sajra munaymanjina causanquichej chayka, wiñaypaj wañunquichej. Sitajchus sajra munaymanjina ruwanasta wañuchinquichej Santo Espíritoj atiyninwan chayka, wiñaypaj causanquichej.
ROM.8.14	Ajina Diospa Espiritunnejta pusaska cajcunaka Diospa wawasnin cancu. 
ROM.8.15	Diospa wawasnin canquichej Espiritunta kosuskayquichejraycu. Espirituntataj mana manchachicoj camachislla canayquichejpajchu jap'erkanquichej, manachayrí Diospa wawasnin canayquichejpaj. Chay Espiritunnejtataj cusiywan khaparinchej: ¡Munaska Tatáy! nispa. 
ROM.8.16	Quiquin Espíritu sonkonchejpi willawanchej Diospa wawasnin caskanchejta. 
ROM.8.17	Wawasnin caspataj Diospa wiñay causay koskanta jap'ejcuna canchej. Cristowan cuscataj jap'isunchej sichus paywan cusca cay pachapi muchunchej chayka. Ajinamanta wiñaypaj paywan cusca jatunchaska casunchej.
ROM.8.18	Chekamanta cunan muchushaskasninchejka ni imapischu cashan jakay jamoj jatunchaymanta niskaka. Chaypacha nokanchejpis jatunchaska riqhurisun Cristoj cutimuyninpi jatunchayninwan cusca. 
ROM.8.19	Diospa tucuy ruwaskasnin may munaywan suyashancu Diospa wawasninta Cristoj rijch'acuyninpi ricuchiska canancuta. 
ROM.8.20	Chay ruwaskaska manamin paycunallamantachu yankhayachiskas carkancu. Manachayrí Dios chaycunata yankhayacherka runa juchallicojtin. Astawanpis cachariskas canancuta suyashancu. 
ROM.8.21	Ruwaskas quiquintaj wañuy ismuy jap'iymanta cacharichiskas cankancu Diospa wawasninwan cusca. Wawasnenka Cristoj sumaj rijch'acuyninpi cankancu. 
ROM.8.22	Yachanchej: Tucuy ruwaskaska cusca cunancama phutiywan khaparishancu. Tucuy cuscataj nanayta apashancu onkocushaj warmijina. 
ROM.8.23	Manatajmin chaycunallachu, nokanchej, Santo Espirituta jap'ejcunapis, uqhunchejpi phutiywan khaparishanchej. Espíritu mosoj causayta kowarkanchej. Chay causayri wiñay causayta konawanchejmanta uj seña cashan. Reparachiwanchejtaj cuerponchejta causarichispa wawasninpaj reconocenawanchejta. Chayta may munaywan suyashanchej. 
ROM.8.24	Chayta suyaspa juchamanta cacharichiskas carkanchej. Ricuskatañaka manaña suyanchejchu. ¿Pitaj ricuskataña suyanmanrí? 
ROM.8.25	Astawanrí mana ricuskatachus suyacunchej chayka, Diospi jap'icuspa cusiskas munaywan suyacunchej.
ROM.8.26	Ajinallatataj pisi callpayoj caskanchejta Santo Espíritu yanapawanchej. Nokanchejka manamin yachanchejchu imaynatachus Diosmanta mañacuna caskanta. Astawanrí chay Espiritullataj may munaywan mana parlay atina samaycunawan mañapuwanchej. 
ROM.8.27	Sonkonchejta sut'ita rejsej Dioska yachan Espíritoj yuyayninta. Chayraycu Diospa munayninmanjina runasninpaj Espíritun mañapushanpuni.
ROM.8.28	Chaywanpis Diosta munacojcunata yuyaskanmanjina wajyarka runasnin canancupaj. Yachanchejtaj Dios tucuy imaymanawan ruwaskanta paycunaj allinnincupaj yuyaskanta junt'ananpajpuni. 
ROM.8.29	Paycunataka manaraj cay pachata ruwashaspa ajllacorka. Causaynincupitaj Wawan Cristoj rijch'acuyninmanjina paycunata ruwayta yuyarka. Munarka Wawan ashqha hermanos uqhupi Curajnincu cananta. 
ROM.8.30	Unayña ajllaska cajcunata wajyan. Wajyaskacunanta chekan ruwajcunata ruwan. Chekanta ruwajcunatataj Wawanpa rijch'acuyninman ruwan. Wiñaypajtaj pusan paywan cusca lliphipej c'anchaypi causanancupaj.
ROM.8.31	Cunanka, chay jawa ¿imanisunmantaj? Dios nokanchejman sayacuwanchej chayka, ni pipis contranchejpi sayayta atinmanchu. 
ROM.8.32	Dioska munaska Wawantapis mana jarc'acorkachu. Astawanpis tucuy nokanchejraycu wañunanpaj payta jaywarka. Chayraycu chekatapuni paywan tucuy ima allin cajta korillawasunchej. 
ROM.8.33	Diospa ajllacuskasninta ni pi ch'atayta atinchu. Diosmin chekanpaj khawajka. 
ROM.8.34	Ni pi juchachayta atiwanchejchu. Cristomin nokanchejpaj wañorka. Astawanpis wañuymanta causarimpun. Chaywanpis jatunchaska Dioswan cusca caspa nokanchejpaj mañapuwashanchej. 
ROM.8.35	Ni imapis Cristoj munacuyninmanta t'akawasunmanchu —ni phutiy, ni llaquiy, ni nac'ariy, ni yarkhay, ni wajcha cay, ni peligropi cay, nitaj wañuchiy chaupipi riqhuriypis. 
ROM.8.36	Diospa palabranpis niwanchej, Cristoraycu wañunapaj waquichiskas cananchejta ima ratullapis. Ñac'ana ovejajina khawaska cajtinchejpis Cristomin wakaychawasun munacuywan. 
