GEN.1.1	Kì ri cɑ̈gø cøn, Jwøk ɑ́cwɑ̈j-ɑ mɑl kí piny. 
1SA.23.20	Anɑn yïn ɑ rɑ̈ɑ̈dh wøn, ngɑ̈nyi yi wøn kinni yï dwɑdd-ɑ mɑgi Debïd ki mendwøng, bïí myërri wøn, ówëggi wøn mɑgø yi yïn!”
1SA.23.21	Alöggi Cɑul kinni, “Wu ógyëdh yi Jwøng-ɑ Ácwɑ̈ɑ̈j kipe køny-ɑ køny wun yɑn ɑnɑn. 
1SA.23.22	Kedh wun, kɑ keje yɑb wun kidøøj. Yɑbu keny-ɑ bëëde kɑ nenni wun kidøøj. Yɑ ɑ́lïng kinni i bɑ wëny. 
1SA.23.23	Yod wun kɑ̈jj-ɑ pɑ̈nne bënn, kɑ wu dwöög wun be nyudhi yɑn møgɑni bënn. O yɑ ókedhɑ ki wun. Keløg Debïd nud kì tungɑni ódwɑr yi yɑn kì yethi myërri Yeudiyɑ̀ bënn.”
1SA.23.24	Codhe, ɑkedhi gen Dhïp ge møøl-ɑ bøli Cɑul. Debïd geki jøge, ɑ́ying-ɑ yij pɑ̈ɑ̈l Mɑon, kì kuni wɑɑng wurlwɑl kì Yecimön. 
1SA.23.25	Akedhi Cɑul geki jøge be yɑbi Debïd. De per gen ólïngø yi Debïd, ɑkedhe cyɑ̈n wïj kït, kɑ obëëdø kì yij pɑ̈ɑ̈l Mɑon. Keny-ɑ ɑ́lïng Cɑul, ɑløge bɑng Debïd yij pɑ̈ɑ̈l Mɑon. 
1SA.23.26	Cɑul cyɑ̈dh-ɑ́ɑ̀ kö kït kì tuung, o Debïd geki jøge cyɑ̈dh-ɑ́ɑ̀ tung-ɑ kyeelø, ge ójwɑnø, ge dwɑdd-ɑ yömi Cɑul, o Cɑul geki jøge dwɑdd-ɑ gengi Debïd, o gø mɑge geki jøge. 
1SA.23.27	Kenyɑni ɑ ɑ́bëën jɑl megø, kɑ Cɑul köbbe kinni, “Bïí jwɑn wɑ døøgø! Tyëng Pelistiyɑ̀ ɑ́pɑ̈ɑ̈r kömi pödhee!” 
1SA.23.28	Codhe, ɑwïyi Cɑul ki ngwej kì bɑng Debïd, ɑkedhe be nyïɑ̈ggø kì tyëng Pelistiyɑ̀. Bene en ɑ cwølli kenyɑni ɑ́ Kïti Dɑ̈ngø. 
1SA.23.29	Debïd ɑ́dhwödh thyew kì yij pɑ̈ɑ̈l Mɑon, kɑ kedh-ɑ be pɑ̈nø kì Ein Gedì.
1SA.24.1	Keny-ɑ ɑ́dwöög Cɑul kì be liny ki tyëng Pelistiyɑ̀, ɑköbbii kinni, “Debïd ying-ɑ yij pɑ̈l kì Ein Gedì.” 
1SA.24.2	Codhe, ɑyïënye kì kelli jø Isrɑil bënn ki yɑɑg-ɑ teg gɑ ɑ́lïp ɑ́dɑ̈g. Kɑ ge kedh-ɑ be yɑbi Debïd, kì buti kïn-ɑ cwøl ɑ́ Dyëgi Pɑ̈l. 
1SA.24.3	Abëën Cɑul kyeel dyëg ki tøg yöö. Kenyɑni dɑ órøngi kït, kɑ kedh-ɑ yij órøngi kïnɑni be mɑɑgi ree piny, o Debïd pɑ̈n-ɑ yiny-ɑ cyɑ̈n geki jøge. 
1SA.24.4	Aköbbi Debïd yi jøgɑni kinni, “Dicyɑ̈ɑ̈ng bɑ cyɑ̈ng-ɑ ɑ́kwøb yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, ‘Ngetimɑ̈ɑ̈nø ókɑ̈ɑ̈lɑ, kɑ cïbɑ cingí. Gwøg gïn-ɑ dwɑddí göggii.’ ” Codhe, ɑmølli Debïd kun-ɑ di Cɑul mɑ̈ɑ̈dh, kɑ ngud-ɑ wɑ̈g ki nyɑ keny me thiinh kì ri ógødh Cɑul, e Cɑul kwïj wøw. 
1SA.24.5	Kì cyɑ̈n, ɑywöngi yij Debïd kipe kɑ ɑ́ngude wɑ̈g kì ri ógødh Cɑul. 
1SA.24.6	 Aköbbe jøge kinni, “Bɑ ɑkerø yi Jwøng-ɑ Ácwɑ̈ɑ̈j, gïn ni men pɑ göggɑ rɑ̈dhɑ! Rønyi Cɑul ɑ́ rɑ̈dh ɑ́kɑ̈ɑ̈l-ɑ yï Jwøng-ɑ Ácwɑ̈ɑ̈j. Cingɑ pɑ tïnggɑ en, e ɑ́røny-ɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j.” 
1SA.24.7	Kɑ Debïd jøge kyëdde kinni ge ko pɑ̈ɑ̈r kömi Cɑul.
1SA.24.7	Adhwödhe kì kenyɑni kɑ ókedhø ki yuue. 
1SA.24.8	Keny-ɑ ɑ́bëën Debïd wɑ̈g kì yij órøngi kït, ɑryeere e cwøl ɑ́ Cɑul kinni, “Wuö rɑ̈dh!” Alïïdh Cɑul ngɑ̈je, kɑ Debïd ree bøødhe wïje kuule’ piny, e mɑl-ɑ rɑ̈dh. 
1SA.24.9	Aköbbe Cɑul kinni, “Yïde ɑ nyi lïngí kwøbbi tyëng-ɑ nyi köbbi yïn kinni, ‘Debïd dwɑdd-ɑ nɑ̈gi yïn?’ 
1SA.24.10	Álidh yi yïn kirií dicyɑ̈ngtïn kì yij órøngi kït keny-ɑ ɑ́cïb yïn cingɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j. Yɑ ɑ́köbbi yi jøgɑ kinni i nɑ̈gɑ yïn, dɑ́ yɑn ɑ pyëwɑ ɑ́lɑ̈ɑ̈m. Akööbɑ kinni, wɑ̈ɑ pɑ cuggi nɑ̈gø yi yɑn, mɑ́ Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ ɑ́rønyii ɑ́ rɑ̈dh. 
1SA.24.11	Lidh, budi ógødhí men-ɑ cingɑ èn, wïyø! Ángulɑ’ wɑ̈g kì tuung ógødhí, de yɑ nuti dwɑddi nɑ̈gi yïn. 
1SA.24.12	Wiy Jwøng-ɑ Ácwɑ̈ɑ̈j, gïn-ɑ kɑɑmee ólidh en, ying-ɑ́ men kì kellee ɑ bɑ̈jjø. Kɑ wiy yï ócɑye kipe gïnrɑj men-ɑ ɑ́göggí yɑn! De yïɑ bɑ̈r ki yïn. 
1SA.24.13	Dɑ kwøb mø kɑ̈gi gen dööng mø nyi kööbø kinni, ‘Gïgrijjø nyi kɑ̈ɑ̈l-ɑ yi ji-ɑ rijjø.’ De yɑn, bong gïnrɑj kì yïɑ ki yïn. 
1SA.24.14	 Lidh gïn-ɑ dwɑddi nɑ̈gø yi rɑ̈ɑ̈dh Isrɑil! Á bɑng men ɑ rïngi yi rɑ̈ɑ̈dh Isrɑil? Yï rïng-ɑ́ɑ̀ bɑng gwöng thøø, wɑlɑ̀ bɑng cwɑrø yøw? 
1SA.24.15	Gïn-ɑ kɑɑmee ólidh-ɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j, o gïn-ɑ kɑɑmee óngøl-ɑ yi en. Yɑ óyiel yi en kì cingí.”
1SA.24.16	Keny-ɑ ɑ́rum Debïd ki kwøb, ɑpëjji Cɑul kinni, “Bɑ yïn ceth kidyër ɑ kööbø, Debïd wɑ̈dɑ?” Kɑ ceg-ɑ ì túl ki ywøg. 
1SA.24.17	Akööbe kinni, “Yï kømm-ɑ dyër, yɑ ɑ́bɑ̈jji. Yï døøj, de yï ɑ́göggɑ ki gïnrɑj. 
1SA.24.18	Yɑ ɑ́nyudhi yi yïn dicyɑ̈ngtïn ki gïgdøj møg-ɑ ɑ́göggí yɑn. Yɑ ɑ́rum ki cïb cingí yi Jwøng-ɑ Ácwɑ̈ɑ̈j, de yɑ nuti nɑ̈gø yi yïn. 
1SA.24.19	Á men ɑ ɑ́yod dhɑnhø men-ɑ mɑ̈n ki en, kɑ gø wiye e bong gïn gögge gøn? Yï ókøøg yi Jwøng-ɑ Ácwɑ̈ɑ̈j kipe gïndøj men-ɑ ɑ́göggí yɑn dicyɑ̈ɑ̈ng! 
1SA.24.20	Áyod yi yɑn ɑnɑn kinni yï ójyɑ̈ɑ̈gø. Kɑ pödhi Isrɑil ódönyø kì rií. 
1SA.24.21	Köngí ki nyingi Jwøng-ɑ Ácwɑ̈ɑ̈j, ɑnɑn kì bølɑ, kinni kwɑrrɑ koo nɑ̈g yi yïn, o nyingɑ pɑ rɑ̈ɑ̈j yi yïn wɑ̈g kì gøl wïyɑ.” 
1SA.24.22	Codhe, ɑköngi Debïd kì bøli Cɑul.
1SA.24.22	Kɑ Cɑul døøg-ɑ pɑc, kɑ Debïd geki jøge, kedh-ɑ yij órøngi kït kej gen.
1SA.25.1	Kɑ Sɑmwel othøø, ɑbëën tyëng Isrɑil bënn be ywøgii. Kɑ kony kì Rɑmɑ̀, pɑɑre.
1SA.25.1	Kɑ Debïd dɑ̈g-ɑ yij pɑ̈ɑ̈l Pɑrɑn. 
1SA.25.2+1SA.25.3	Ádɑ jɑl megø kì kɑɑl Mɑon mɑ jɑlkɑ̈r, o yïe ɑ́dɑ piny kì buti Kɑrmel. Ábëëd e kɑ̈rø ki mendwøng; yïe ɑ́dɑ dyëg römm ɑ́lïp ɑ́dɑ̈g, kí dyëg ɑ́tegg ɑ́lïp. Nyingi jɑlɑni cwøl ɑ́ Nɑbɑl. Bɑ kwɑɑr Kɑlib. Cyëge cwøl ɑ́ Abigɑil, o bɑ nyɑn me wïje pel, o myëër, de Nɑbɑl bɑ cung, o bɑ kenyø, o nyi gøgg-ɑ gïgrijjø.
1SA.25.2+1SA.25.3	Nɑbɑl ɑ́bëëd e onyɑ̈rø ki yëyyi dyëge, dyëg-ɑ römm kì Kɑrmel. 
1SA.25.4	Kɑ̈ng-ɑ ɑ́ying Debïd yij pɑ̈l, ɑlïnge kinni Nɑbɑl ceg-ɑ nyɑr ki yëyyi dyëge, dyëg-ɑ römm. 
1SA.25.5	Codhe, ɑöde ki yɑɑg-ɑ wøbb pyɑ̈rø, kɑ gï köbbe kinni, “Kedhu yï Nɑbɑl kì Kɑrmel, kɑ mɑ̈dh wun. 
1SA.25.6	Köbbu en kinni Debïd okööbø kinni, ‘Yï óbëëdø ki mër, gølí óbëëdø ki mër, jɑmm-ɑ yïí bënn óbëëdø ki mër! 
1SA.25.7	Yɑ ɑ́lïng kinni, i yï ceg-ɑ nyɑr ki yëyyi dyëgí, jøkwɑ̈yø møgí ɑ́cer-ɑ ying buti wøn, ge nuti göggø yi wøn ki gïnrɑj. Bong gïjø ɑ́kyel mɑ ɑ́lɑ̈ɑ̈ny kì yï gen keny-ɑ ɑ́ying gen Kɑrmel! 
1SA.25.8	Pyëj yɑɑg-ɑ wøbbí, yï óköbbi yi gen. Wø bï-ɑ cyɑ̈ɑ̈ng medi pëëth. Yɑ kwɑjj-ɑ yïn, muuj ki gïndøj men-ɑ cuggi mëggi wøn ɑ bɑ̈nggí, kí wɑ̈dí Debïd.’ ”
1SA.25.9	Kɑ Nɑbɑl köbbi wöönɑni yi jø Debïd keny-ɑ ɑ́wɑ̈dhi gen. 
1SA.25.10	Aløøg kwøbbi gen yi Nɑbɑl kinni, “Debïd bɑ men? Wɑ̈d Yesì bɑ men cøn? Pere nuti pɑ̈nyø lïngø yi yɑn! Pödhø ɑ́pɑ̈ng yi bɑ̈ngg møg-ɑ rengi pɑ̈l kì cinggi wëëg gen yethi cyɑ̈ng møg. 
1SA.25.11	Yïɑ dɑ pï kí ópùn, o yïɑ dɑ rïngø mi gïn-ɑ ɑ́ngɑ̈llɑ jøg-ɑ nyɑr yëyyi dyëgɑ. De ge pɑ mëggɑ ji mø kwïj yi yɑn.”
1SA.25.12	Adøøg jø Debïd yïe, kɑ Debïd köbbi gen møg-ɑ ɑ́kwøb bënn yi Nɑbɑl. 
1SA.25.13	Codhe, kɑ Debïd jøge köbbe kinni, “Kwɑnyu pilli wun!” Kɑ pilli gen cïb gen cinggi gen, kɑ Debïd thyew pile kwɑnye. Akedh Debïd ki jøg mø kwɑnni gen wɑ̈dhi ri miy ɑ́ngwen, kɑ miy ɑ́ryew odöngø ge kor-ɑ jɑmmì.
1SA.25.14	Aköbbi Abigɑil, cï Nɑbɑl yi jɑl ɑ́kyel kì kelli bɑ̈nggi gen kinni, “Yï ɑ́lïng cøn, kinni i Debïd jøge ör en kinni mɑ̈dh gen wïyee, de ge ɑ́gwɑddi yi Nɑbɑl? 
1SA.25.15	Jøgɑni wø ɑ́køny yi gen keny-ɑ ɑ́ying wøn wɑg. Bong gïnrɑj mɑ ɑ́göggi wøn yi gen. Bong gïjø mɑ ɑ́kɑb yi gen kì cyɑ̈ngg-ɑ ɑ́bëëd wøn kì buti gen. 
1SA.25.16	Wø ɑ́kor yi gen kì dicɑ̈ng kì wɑ̈r, kɑ ɑ́bëëd wøn kì buti gen, o dyëgee okorrø yi gen. 
1SA.25.17	Rum kidøøj ki gïn-ɑ cuggi göggi wïyee geki gøle bëne. Nɑbɑl bɑ dhɑnhø me rɑɑj, bong ngɑn kwøbbe cuggi lïngø yi en.”
1SA.25.18	Kɑ Abigɑil ókɑ̈bbø ki ópùn miy ɑ́ryew, kí puggi møgi oløg ɑ́ryew, kí rïnggi dyëg ɑ́bïj mø bɑ ɑbul, kí byel mø bɑ ɑgïny gɑ kïllì pyɑ̈rø wïdɑ́bïryew, kí cyɑ̈lli nywøli yenh mø thwøwø gɑ miyø, ɑköbbe bɑ̈ngge kinni, 
1SA.25.19	“Kedh wun, yɑ ólunyi ki bëën bɑng wun.” De jɑlgøle nuti köbbø yi en.
1SA.25.20	Akedh Abigɑil e cyɑ̈dh-ɑ ɑderø, e kɑ̈ll-ɑ gøddi kïttì. Kɑ ge ceg-ɑ wɑ̈dhi røømø ki Debïd geki jøge, ge bï-ɑ piny yïe. 
1SA.25.21	Debïd ɑ́bëëd e orumø kinni, “Á kipe ngø ɑ ɑ́korɑ jɑmmi jɑl ni men kì yij pɑ̈l? Bong gïjø ɑ́kyel mɑ ɑ́pɑ̈nyi ki kwɑlø kì yïe, ɑ yöd e gögg-ɑ yɑn gïn ni men! 
1SA.25.22	Wiy yɑ ónɑ̈g yi Jwøk, keløg jøg bënn pɑ nɑ̈g yi yɑn e wøw nuti ru!”
1SA.25.23	Keny-ɑ ɑ́liidh Debïd yi Abigɑil, kɑ jwɑn-ɑ bëën piny kì kömi ɑdere, kɑ óbuddø yije reeny en piny 
1SA.25.24	kì bøli Debïd, ɑkööbe kinni, “Jɑldwøng lïngí møgɑ, cɑ́y bɑ møgɑ! 
1SA.25.25	Jɑldwøng, yï ko lïng ki gïn-ɑ kwøb yi ngɑn bong pere ni Nɑbɑl, pɑ̈r ki nying-ɑ cwøllii ceth. Gïn-ɑ wɑngi yi nyinge bɑ kinni dhëg, o kidyër bɑ dhëg. De yɑn, yɑ bɑ̈ngí, jøg-ɑ ɑ́ör yi yïn nuti liidh yɑn. 
1SA.25.26	Bɑ Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ ɑ́jog yïn, ɑ cöög tyëngmɑ̈ɑ̈nø pɑ nɑ̈g yi yïn. De ɑnɑn yɑn ɑ köngi èn ki nyingi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni tyëngmɑ̈ɑ̈nø bënn, kí tyëng-ɑ dwɑddi göggi yïn ki gïgrijjø ócɑy ni Nɑbɑl. 
1SA.25.27	Jɑldwøng, kwɑny gïn-ɑ muuj yïn èn kipe jøgí. 
1SA.25.28	Lɑ̈ɑ̈m pyëwí ki yɑn jɑldwøng, kipe bɑ̈jjø men-ɑ ɑ́gwøg yi yɑn. Jwøng-ɑ Ácwɑ̈ɑ̈j yï ógwøge yïn ɑ́ rɑ̈dh wuki kwɑrrí thyew, mɑ́ yï ɑ́nyɑg-ɑ linye. 
1SA.25.29	Keløg e dɑ dhɑnhø ɑ́kyel me pɑ̈ɑ̈r kömí e dwɑdd-ɑ nɑ̈gi yïn, Jwøgí, Jwøng-ɑ Ácwɑ̈ɑ̈j yï óyiele, tyëngmɑ̈ɑ̈nø óleenge wɑ̈yi gen ni lelø kì dhø bɑ̈ɑ̈di. 
1SA.25.30	Keny-ɑ ógwøøg jɑmm-ɑ døj bënn yi Jwøng-ɑ Ácwɑ̈ɑ̈j kiperí, ni kɑ ɑ́könge kinni yï ógwøge, yïn ɑ́ rɑ̈ɑ̈dh Isrɑil, 
1SA.25.31	wiy yï ócöög yï pɑ pɑ̈d, wɑlɑ̀ yï pɑ rɑngø, mɑ́ bong gïnrɑj mɑ ɑ́gwøg yi yïn. Yï nuti nɑ̈gø ki ji mø nuti kɑ̈ni ki göj, o bong ji mɑ ɑ́cɑy yi yïn. De wïjí ko wïl ki yɑn cyee jɑldwøng, keny-ɑ ógyëëdh yïn yi Jwøng-ɑ Ácwɑ̈ɑ̈j.”
1SA.25.32	Aköbbii yi Debïd kinni, “Lejjí Jwøøg Isrɑil, Jwøng-ɑ Ácwɑ̈ɑ̈j, en ɑ ngɑn-ɑ ɑ́ör yïn be yïddø ki yɑn dicyɑ̈ɑ̈ng! 
1SA.25.33	Pwøj Jwøk kipe peli wïjí geki døøji rummí kipe gïn-ɑ ɑ́gwøg yi yïn dicyɑ̈ɑ̈ng, keny-ɑ ɑ́joog yɑn, kɑ yɑ mɑ̈ɑ̈n gwøg ki orøg, kɑ cinggɑ di kedhi yi remmi ji. 
1SA.25.34	Jwøøg Isrɑil, Jwøng-ɑ Ácwɑ̈ɑ̈j en ɑ ɑ́jog yɑn, o wu cög wu pɑ nɑ̈g yi yɑn. Keløg yï pɑ di jwɑn bëënø be yïddø ki yɑn, bong dhɑnhø kì kelli jø Nɑbɑl me di wɑ̈dhi mwøl e onëënø.” 
1SA.25.35	Codhe, ɑyïëëy gïg-ɑ ɑ́kɑ̈ɑ̈le yi Debïd, kɑ ngɑnɑni köbbe kinni, “Kedhí pɑc ki mër. Kwøbbí ɑ́lïngi yi yɑn, bong gïnrɑj men-ɑ ógöggɑ wun.”
1SA.25.36	Keny-ɑ ɑ́døøg Abigɑil yï Nɑbɑl kì pɑc, gø ɑ́yuude e ocyɑ̈mø ni rɑ̈dh. O wïje dɑ møgø, o pyëwe omedø. Codhe ɑcöge e okudø, bong gïn-ɑ ɑ́köbbe gøn gïti mwøl. 
1SA.25.37	Kì mwøl keny-ɑ ɑ́bëëd wïje bong møgø ɑköbbii yi cyëge ki møgɑni bënn, kɑ mɑg yi wɑ̈ɑ̈rø, kɑ wïje ócungø. 
1SA.25.38	Bɑng cyɑ̈ng pyɑ̈rø, ɑnɑ̈ɑ̈g Nɑbɑl yi Jwøng-ɑ Ácwɑ̈ɑ̈j.
1SA.25.39	Keny-ɑ ɑ́lïng Debïd kinni i Nɑbɑl thøø, ɑkööbe kinni, “Mɑl wɑ Jwøng-ɑ Ácwɑ̈ɑ̈j! Nɑbɑl ɑ́gwɑdd-ɑ yɑn, de Jwøng-ɑ Ácwɑ̈ɑ̈j yɑ ɑ́cwɑge! Nɑbɑl ɑ́cɑy yi Jwøng-ɑ Ácwɑ̈ɑ̈j kipe orøge.” Codhe, ɑödi Debïd yï Abigɑil ki wöödø kinni, o gööge ki cyëge. 
1SA.25.40	Bɑ̈ngge ɑ́kedhi Kɑrmel, kɑ Abigɑil köbbi yi gen kinni, “Wø ɑ́ör-ɑ yi Debïd kinni, i kɑ̈l wøn yïn, o yï bëëd yïn ɑ́ cyëge.”
1SA.25.41	Abuddi Abigɑil yije rum en piny, e wïje këël en piny, kɑ okööbø kinni, “Yɑ bɑ bɑ̈nge, o tyelli bɑ̈ngge ólwøg yi yɑn ceth.” 
1SA.25.42	Ajwɑne dhwödhi mɑl, kɑ kɑdh-ɑ kömi ɑderø, ɑkedh gen ki jøg-ɑ ɑ́örii yi Debïd, kí tyëng-ɑ mɑ̈nn ɑ́bïj møg göögø kì cinge. Kɑ ogöögø ɑ́ cï Debïd.
1SA.25.43	Akinoɑm nyɑɑr Yidhriil ɑ́bëëd e rumø ki nywømø thyew yi Debïd, Abigɑil ɑ́nywøøme’ köme. 
1SA.25.44	 Mikɑl nyɑɑr Cɑul ɑ́bëëd ɑ́ cï Debïd thyew, de ɑ́mëggi Pɑltì wɑ̈d Lɑic jɑl Gɑlïm yi wïye Cɑul.
1SA.26.1	Kɑ tyëng Dhïp kedh-ɑ yï Cɑul kì Gebɑ̀, kɑ gø köbbi gen kinni, “Debïd ópɑ̈nnø kì wïj Kïti Akïlɑ̀, kì pɑ̈ɑ̈l Yeudiyɑ̀.” 
1SA.26.2	Codhe, ɑdhwödh Cɑul kɑ kedh-ɑ yij pɑ̈ɑ̈l Dhïp e cyɑ̈dhi kɑ jöddi Isrɑil kwɑnni gen bɑ ɑ́lïp ɑ́dɑ̈g, ge kedh-ɑ be yɑbi Debïd. 
1SA.26.3	Kɑ Cɑul pëgg-ɑ wïj Kïti Akïlɑ̀ kì tøg yöö, de Debïd ɑ́cög e obëëdø kì yij pɑ̈l keny-ɑ ɑ́lïnge kinni, Cɑul yɑb-ɑ en kì kunɑni. 
1SA.26.4	Aöde ki lyëwwì mø kedhi be yodi per Cɑul, mɑ wɑ̈nh en Kïti Akïlɑ̀ kidyër. 
1SA.26.5	Akedhi Debïd kun-ɑ di Cɑul. Alidhe keny-ɑ di Cɑul geki Abner wɑ̈d Ner, pënyi linye ge onenø. Cɑul onenø kì dïdyër e ótɑgø yi linye bëne.
1SA.26.6	Apyëëj Akimelek wɑ̈d Kit geki Abicɑy wɑ̈d Dheruyɑ̀, ómï Yöɑb yi Debïd kinni, “Á men ɑ ókedhi wøn kɑɑl Cɑul.”
1SA.26.6	Alöggi Abicɑy kinni, “Wɑ ókedh!”
1SA.26.7	Codhe, ɑkedhi Debïd kɑɑl Cɑul geki Abicɑy kì wɑ̈rɑni, ɑyuud gen Cɑul e onenø kì dïkɑɑl, kí tønge gø cwöödh en piny kì kuni wïje. Abner geki jøliny onenø, e Cɑul tyeeg gen dïdyër. 
1SA.26.8	Aköbbi Debïd yi Abicɑy kinni, “Dicyɑ̈ɑ̈ng, Jwøk ngetimɑ̈ɑ̈nø ɑ́cïbe cingí. Wiy Cɑul cwøøbɑ piny ki tøngɑ. Pɑ cwøb yi yɑn tyel ɑ́ryew, ceg-ɑ kegø yi cwøbø ɑ́kyel.”
1SA.26.9	De Debïd, Abicɑy ɑ́kyëdde kinni, “Ko di gïnrɑj me göggií! Á men ɑ cuggi tïngi cinge ngɑn-ɑ ɑ́yieny yi Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ ocögø e pɑ cyen?” 
1SA.26.10	Kɑ Debïd okööbø kinni, “Yɑn ɑ köngi èn ki nyingi Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ Nëënø. Bɑ Jwøng-ɑ Ácwɑ̈ɑ̈j kiree ɑ ónɑ̈gii, wɑlɑ̀ bɑ bøli keje ɑ óbï kɑ othøø, wɑlɑ̀ ókedhi be liny kɑ nɑ̈g. 
1SA.26.11	 De yɑ pɑ göögø ki gïnrɑj kì bøli Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ cingɑ tïnggɑ rɑ̈nh-ɑ ɑ́yieny yi Jwøng-ɑ Ácwɑ̈ɑ̈j. Kwɑny wɑ tønge men-ɑ cwöödh en buti wïje ɑnɑn, geki ɑtheeb pï men-ɑ bute, kɑ yï bïí kedh wɑ.” 
1SA.26.12	Codhe, ɑkwɑɑny tøng yi Debïd kí ɑtheeb pï men-ɑ ɑ́ying buti Cɑul, kɑ ge ókedhø. Bong dhɑnhø mɑ ɑ́lidh gen, wɑlɑ̀ mɑ ɑ́yod per gen, wɑlɑ̀ dhɑnhø mɑ ɑ́cyëëw, mɑ́ ge ɑ́göjji nenø yi Jwøng-ɑ Ácwɑ̈ɑ̈j.
1SA.26.13	Codhe, ɑcør piny yi Debïd, kɑ kedh-ɑ tuung kït tung-ɑ kyeelø, kɑ yedh-ɑ mɑl wïj kït, e lɑ̈wi ki gen. 
1SA.26.14	Aryeer Debïd e cwøll-ɑ liny Cɑul geki Abner wɑ̈d Ner kinni, “Abner! Yï pɑ löggi!”
1SA.26.14	Alöggi Abner kinni, “Yïn ɑ́ men ɑ ryeer ki yïthhi rɑ̈dh èn?”
1SA.26.15	Alöggi Debïd kinni, “Abner, pɑth ki yïn ɑ bɑ jɑl-ɑ dwøng kì Isrɑil? De yïde ɑ pɑ koor wöw? Mɑ́ e dɑ dhɑnhø mɑ ɑ́bï be nɑ̈gi wöw. 
1SA.26.16	Yï ɑ́dhɑl yi nenni gwøgí Abner! Yɑn ɑ köngi èn ki nyingi Jwøng-ɑ Ácwɑ̈ɑ̈j, wu bënn, wu døj ki thøø, mɑ́ ngɑndwøøng wun men-ɑ ɑ́yieny yi Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ́ rɑ̈dh pɑ kor yi wun kidøøj. Lidh, tøøng rɑ̈dh ying-ɑ keny? Atheeb pï men-ɑ ɑ́ying bute kì kuni wïje ying-ɑ keny?”
1SA.26.17	Angij cwɑggi Debïd yi Cɑul, kɑ okööbø kinni, “Bɑ yïn ɑ kööbø Debïd wɑ̈dɑ?”
1SA.26.17	Alöggi Debïd kinni, “Ngee bɑ yɑn wuö, rɑ̈dhɑ!” 
1SA.26.18	Akööb Debïd këti kinni, “Yïde ɑ rïngí kì bɑngɑ wuö? Á gïnrɑj mɑ ngø ɑ ɑ́göggɑ yïn? Á gïn ɑ ɑ́bɑjɑ? 
1SA.26.19	Lïngí møg, wuö rɑ̈dhɑ. Keløg ɑ́ Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ wëggi pyëwí rënyø ki yɑn, ke nëngí Jwøng-ɑ Ácwɑ̈ɑ̈j ki gëëdhi, pyëwe ólɑ̈ɑ̈mø. De keløg ɑ́ ji, cyënni Jwøng-ɑ Ácwɑ̈ɑ̈j ópɑ̈dhi kömi gen. Mɑ́ yɑ ɑ́cyeed pɑ̈l yi gen, o yɑ twɑ̈lɑ kì kömi piny-ɑ ɑ́muuj yi Jwøng-ɑ Ácwɑ̈ɑ̈j, ɑkedhɑ kun kwɑjjɑ jwögg mø pɑth. 
1SA.26.20	Remɑ ko wëggí dëëmø kì pɑ̈l kun lɑ̈wi ki Jwøng-ɑ Ácwɑ̈ɑ̈j. Ede rɑ̈ɑ̈dh Isrɑil ɑ bëëne be nɑ̈gi dhɑnhø me ni yɑn, ɑ pɑ̈r ki cwɑrø yøw? Ede ɑ dwɑre yɑn, de yɑ nɑ winyi pɑ̈l?”
1SA.26.21	Alöggi Cɑul kinni, “Yɑ ɑ́bɑ̈jji, bïí dwöög, Debïd wɑ̈dɑ. Dicyɑ̈ɑ̈ng wëyɑ ɑ́wør yi yïn, bong gïnrɑj me göggɑ yïn këti. Yɑn ɑ bɑ dhëg!”
1SA.26.22	Alöggi Debïd kinni, “Tøngí èn wuö, wiy dhɑnhø ɑ́kyel bëe be dwɑ̈ɑ̈yii. 
1SA.26.23	Jwøng-ɑ Ácwɑ̈ɑ̈j nyi køøg-ɑ tyëngtir møg-ɑ mïdhi bëëndøj, yï ɑ́rum ki cïb cingɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j dicyɑ̈ngtïn, de yï nuti nywɑɑl yɑn, yï ngɑn-ɑ ɑ́røny ɑ́ rɑ̈dh yi Jwøng-ɑ Ácwɑ̈ɑ̈j. 
1SA.26.24	Yɑ ólony ki wiyø yi Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ yɑ yiele ki ɑkørr!”
1SA.26.25	Aköbbi Debïd yi Cɑul kinni, “Yï ógyëdh yi Jwøk wɑ̈dɑ! Gïg-ɑ gwøg yi yïn ópɑ̈dhi bënn.”
1SA.26.25	Codhe, ɑkedh Debïd, kɑ Cɑul døøg-ɑ pɑc.
