GEN.1.1	Soo 'udechoo whe'whudit'en whe Yak'usda (Elohim)
LUK.22.53	'Et dzin totsuk lugliz whucho nohtoh susda whe, 'aw 'oh da' 'aw sólhchoot hukwa lhe'zaht'en inle'. 'Et hoonts'i 'andit netsudule, tsalhgus yo usda-un, 'en nohmoodih tileh, 'et 'awet nohba né'hunint'o.”
LUK.22.54	'Et 'awet Sizi huyilhchoot 'ink'ez lubret 'uk'enus dizti'-un highu dáhinilhti. 'Ink'ez Peter yooniz de yuniyalh.
LUK.22.55	'Et naniztl'oo bez ts'e whuniz ts'e kwun húdulhk'an 'ink'ez 'alhgoh nátl'ahudilts'i'. Peter 'en cha butoh usda.
LUK.22.56	'Et kwun zih usda whe 'ilhoghun ustlen-un ts'ekeyaz 'en soo yunin ts'e yunilh'en 'ink'ez 'uyulhni, “Ndun dune 'en cha yulh 'ut'en inle'.”
LUK.22.57	'Et hoonts'i yuts'oodildlai 'ink'ez 'uyulhni, “Ts'eke, ndun dune 'aw t'enuzuszun.”
LUK.22.58	'Et hukw'elh'az 'atsulyaz inle' whe 'et cha 'ilhoghun dune 'uyulhni, “Nyun cha bubulh 'ilhoghun 'int'oh.” 'Et hoonts'i Peter 'utni, “'Awundooh!”
LUK.22.59	'Et doo cha 'ilho sadzi hukw'uhoonist'o 'et doo cha 'ilhoghun 'uyulhni, “'Alha' hoont'oh ndun 'en cha yulh 'ut'en. 'En cha Galilee whut'enne 'ilhoghun 'unt'oh 'et huwa.”
LUK.22.60	'Et Peter ndun dune 'en 'uyulhni, “'Aw daja dini-un 'aw t'ewhunuzúszun!” 'Et 'awhuz yalhduk whe lugok dune 'udija.
LUK.22.61	'Et neMoodihti Peter ts'u nálh'a 'ink'ez soo yunin ts'e yunalh'en. 'Et Peter 'aho neMoodihti yughuni yunalni daja yudani' inle' whe nja dúyulhni, “Lugok dune 'udutinelh whutso tat t'esunuzínzun dutanelh.”
LUK.22.62	'Et Peter 'az whinya 'ink'ez tube cho intse.
LUK.22.63	Ndunne dune Sizi huyilhchootne, 'enne highudloh 'ink'ez huyoolhchis.
LUK.22.64	'Ink'ez hina k'úna'uzguz 'ink'ez huyoonukat 'ink'ez huyoodulhkut, “Neba nus hóon'en, 'ink'ez nedini mbe 'unyinla nyunízkuk?”
LUK.22.65	'Ink'ez lhat-un hoontsi' whe hich'az yalhduk.
LUK.22.66	'Awet yulhkai ibulh dune tso whudilhdzulhne, ndunne 'udedo lubretne nahúlt'oh, 'ink'ez Moses be 'udustl'us 'uk'ununáguzne cha, 'enne 'ilhuhozdil 'ink'ez buba nahíyilhne but nehinilhti. 'Ink'ez 'uhuyúlhni,
LUK.22.67	“Nyun Christ inli de, nedíni!” 'Et hoonts'i 'ubulhni, “Nohdasni' de, 'aw nohba 'alha' doosni' ait'oh.
LUK.22.68	Si cha hoonliyaz nohooduskut de, 'aw sudóhni' ait'oh 'ink'ez 'aw sla nadoohtnih ait'oh.
LUK.22.69	'Et 'ink'ez 'andit whuts'un yinka dune ye' 'et la nailhni ts'e Yak'usda whelhtus-un ooda'.”
LUK.22.70	'Ink'ez ts'iyawh 'uhutni, “Nyun Yak'usda ooYe' eh 'int'oh?” 'Ink'ez 'ubulhni, “Ts'ih'un 'udahni si, 'en 'ust'oh.”
LUK.22.71	'Ink'ez 'uhutni, “'Aw 'on ghun hoonliyaz highun nedóni' hukwa lhe'ts'unízun. 'Awet whenich'oh ooze ts'odánts'o.”
LUK.23.1	'Et ndunne dune 'ilhozdilne ts'iyawh dunáhudidil 'ink'ez Pilate but néhinilhti.
LUK.23.2	'Ink'ez 'awet hik'e whehonin'ai 'ink'ez 'uhutni, “Ndun dune 'en lizwifne tank'us úbunilht'i 'et bulh náts'uhoon'ai. 'Ink'ez lerwe Caesar ts'un ndi yun hik'elha huyilh'i-i, 'i tax huyulhni, 'et cha whuch'a bunízyoot. 'Ink'ez didut mbe la lerwe Christ ts'utni-un, 'en usdli na'dudútni.”
LUK.23.3	'Et Pilate yoodulhkut, “Nyun eh 'int'oh Lizwif bulerwe inli?” 'Et Sizi 'utni, “A, 'alha' dini.”
LUK.23.4	'Ink'ez 'et Pilate Lizwif bumoodihne, 'ink'ez 'ilhozdilne ts'iyawh 'ubulhni, “Ndun dune 'aw hoonliyaz ninta' 'ant'en-un ooghu nalhuwhus'al.”
LUK.23.5	'Ink'ez 'et 'on nus huhunílch'e 'ink'ez 'uhutni, “Yun k'ut Judea ndulcho whe 'ink'ez Galilee yun k'ut cha 'ink'ez njan cha, dune nohni nohch'az nehudodilh whuz un'a whubodulh'eh.”
LUK.23.6	'Et Pilate njan whudants'o whe, 'et uboodulhkut, “'Alha eh ndun dune Galilee whut'en-un 'unt'oh?”
LUK.23.7	'Et Pilate Sizi lerwe Herod ookeyoh whuch'e' unli t'eoonanzin, 'et 'aho yuts'u wheyálh'a'. Ndun lerwe 'en cha 'oh da' soo 'et Jerusalem 'ut'en inle'.
LUK.23.8	'Et la Herod tube hoont'i' whe Sizi yutilh'en. 'Et tube sa' whuts'un yuti'elh hukwa' ninzun 'et huwa. 'Et lhat-un whe yulh údits'o inle'. 'Et huwa khun tilah huwa 'ít'en dunalh 'óohooleh.
LUK.23.9	'Ink'ez khuni lhai be yoodulhkut. 'Et hoonts'i Sizi 'aw yuts'u t'édusnih.
LUK.23.10	'Et 'oh da' za nja dúwhut'en whe nyoonne 'udedo lubretne 'ink'ez Moses be 'udustl'us 'uk'ununáguzne, ts'iyawh dunahúdidil 'ink'ez soo tube cho huske be hik'éhoon'ai.
LUK.23.11	'Ink'ez 'et Herod 'ink'ez yuba lhuganne, 'enne bubulh ts'iyawh hoonliyaz buba lhíloh hinínzun 'ink'ez highudloh. 'Et lerwe nayits'uz-i be húyalhti 'ink'ez Pilate ts'un whe náhuyalh'a'.
LUK.23.12	'Et soo 'et dzin Pilate 'ink'ez Herod bulh k'eke lhuhulhtsi. 'Et whutso da' lhch'az huditni inle'.
LUK.23.13	'Et 'awet Pilate nyoonne 'udedo lubretne, dune k'une' 'ul'enne cha, 'ink'ez ts'iyanne dune, 'enne ts'iyawh 'alhgoh ilhubozdla,
LUK.23.14	'ink'ez 'ubulhni, “Ndun dune, 'en dune tank'us ubunilht'i-un k'un'a, 'en sghu nulhti. 'En nohbut soo ts'ih'un un'a ooghu núnistai. 'Et hoonts'i ndet ook'éwhah'ai-un 'aw hoonliyaz ooghu nalhuwhus'al.
LUK.23.15	'Ink'ez Sizi Herod ts'un nohbulh whés'a'. 'En cha whe tank'us 'unt'oh-un yughu nalhuhóo'al. 'Alha' hoont'oh ndun dune 'aw hoonli hukwa daóotsah-un hooloh.
LUK.23.16	'Inka huyootalhtsus 'ink'ez oolanadutisnih.”
LUK.23.17	'Et la njan butus lhuseya na'hut'alh-un 'et 'oh totsuk 'ilhoghun 'adin'ai-un lanahudutni. 'Et whuz un'a buk'oh ts'e 'uhoont'oh.
LUK.23.18	'Et 'alhgoh hits'u háyih 'ink'ez 'uhutni, “Ndun Barabbas neba oolanadintnih, 'ink'ez ndun dune sulhghe!”
LUK.23.19	Ndun Barabbas 'en gha lhtahuwhunt'ai whe 'ilhoghun dune silhghi 'et hukwa 'ahuyan'ai inle'.
LUK.23.20	'Et hoonts'i Pilate 'en Sizi lanadutitnih hukwa' ninzun, 'inka 'ilhozdilne doo cha za bubulh yáilhduk.
LUK.23.21	'Et hoonts'i 'on nus hits'u huyih, “Tulalhgus k'eílhtih! Tulalhgus k'eílhtih!” hutni.
LUK.23.22	'Ink'ez 'et 'awet whulh tat ubulhni, “'Et di ha? Ndet dáhoont'oh whe hoontsi'-un whe ninta' 'unt'en? 'Aw hukw'elha daootsah-un ooghu nalhuwhús'al! 'Et huwa 'ants'i huyootalhtsus 'ink'ez oolanadutisnih.”
LUK.23.23	'Et hoonts'i 'aw huyoozólhts'ai' ait'oh. 'Ink'ez 'et 'on nus hits'u huyih, “Tulalhgus k'eílhtih!” Daja hutni-un 'ink'ez ndunne 'udedo lubretne, 'enne cha, daja hutni 'et whe Pilate hich'a' nilhde.
LUK.23.24	'Inka Pilate nts'en'a hukwa' huninzun hukw'un'a yuba nahizya.
LUK.23.25	'Ink'ez ndun Barabbas 'en gha lhtahuwhunt'ai whe 'ilhoghun dune silhghi, 'et hukwa 'ahuyan'ai, 'en Pilate buts'un yulanaditni. 'Et hoonts'i Sizi 'en nts'en'a hukwa' huninzun k'un'a 'uhitilelh ha butl'ayálhti.
LUK.23.26	'Awet Sizi hitilhti whe 'ilhoghun dune Simon huyulhni, 'en Cyren whut'en-un 'unt'oh, 'en whenghoh keyoh ts'e hainya, 'en Sizi ootulalhgus yuba idutootan ha hiwus k'ehídintan.
LUK.23.27	Lhane dune hiyuntizdil, ts'ekoo cha. 'En gha ts'odi hinli 'ink'ez hutso.
LUK.23.28	'Ink'ez Sizi buts'u nalh'a 'ink'ez 'ubulhni, “Nohni Jerusalem whuts'ekoo', si sghahtso iloh. 'Et k'us nohnich'oh khunahtso, 'ink'ez nohuzkehke cha ghahtso.
LUK.23.29	Soo cho whunulh'en, dzin whuz de hóokulh whe' hoont'oh, 'et la 'uhudooni', ‘Mbene la buzkeh hoolohne, mbene la 'aw lhe'ílhtsilne, 'ink'ez mbene la chalhts'ul 'ulhe'ílht'ukwne, 'enne 'oh de de 'on nus buba soo' whutat'elh.’
LUK.23.30	'Oh de de 'et la dune 'uhudooni'
LUK.23.30	‘Ndi dzulh 'i uncha nek'énit'ai 'ink'ez ndi shusyaz 'i cha dulcho be nek'enáhokat.’
LUK.23.31	'Alha' hoont'oh, duchun 'awhuz duli whe 'et hoonts'i 'awhuz njan 'et duhút'en. Duchun disuz de, dawhútanelh nahzun?”
LUK.23.32	'Et nane untsi'ne, 'enne cha, huyulh bubotuzilhghelh.
LUK.23.33	'Ink'ez ndet la shusyaz Calvary huwhútni, 'i 'utsints'un niz'ai huwhutni-un, whuz huyoolhti whe, 'ink'ez tulalhgus k'ehuyilhti. Nyoonne dune ntsi'ne, 'enne 'ilhoghun nailhni ts'e 'ink'ez 'ilhoghun 'intl'us ts'e, 'enne cha tulalhgus k'ébihilhti.
LUK.23.34	'Et 'awet Sizi 'utni, “'UBá buba whunaoodilnoh. 'Aw dahút'en-un t'ehonuszun, 'et huwa 'uhut'en.” 'Ink'ez 'et 'awet lhk'ehuyilya 'ink'ez hinaih higha 'aínli.
LUK.23.35	'Et dunene 'et nódilhya 'ink'ez honilh'en. Nyoonne bumoodihne, 'enne cha buzih nodilhya 'ink'ez highudloh whe nduhutni, “'Uyoonne, 'enne ubulhyis inle'. 'Et huwa ndun 'en Christ mbe la Yak'usda 'utahayálhti-un 'unt'oh de, dich'oh 'ududoolyih da!”
LUK.23.36	Lhuganne, 'enne cha highudloh. Hizih neníndil 'ink'ez ts'ekoo too' dunink'oz-i, 'i hits'u dúhidinkai.
LUK.23.37	'Ink'ez 'uhúyulhni, “Lizwifne bulerwe inli de, nyunch'oh 'ududílyih!”
LUK.23.38	Dzihtelyaz hik'une'úzguz. 'udechoo Greek bughuni k'un'a, Latin bughuni k'un'a cha, 'ink'ez Hebrew bughuni k'un'a cha whe 'et 'awet tulalhgus k'ut sulhti, hiyandus ts'e tulalhgus 'uhidunilht'o. Ndiz un'a nja dutni,
LUK.23.38	Ndun 'en Lizwifne bulerwe 'unt'oh.
LUK.23.39	Nyoonne nane untsi'ne, hizih tulalhgus k'ut hulhti, 'ilhoghun hich'á 'uts'un 'utni whe 'et dúyulhni, “Nyun Christ inli de, 'et nyunch'oh 'ududílyih 'ink'ez wheni cha neílhyih!”
LUK.23.40	'Et 'ilhoghun untsi'-un hukwa' yudáni' whe 'uyúlhni, “'Aw eh Yak'usda hoonts'i bé lhniljut whe eh 'udini? 'Aw t'eoonuzínzun nts'en'a la ooba nahisda, 'et whuz un'a za wheni cha neba nahisda.
LUK.23.41	'Ink'ez wheni ts'ih'un un'a neba nahisda. Daít'en la, 'et huwa 'andit tulalhgus k'ut neba k'elha sílti. 'Et huwa neba 'uk'elha whuzdli'. 'Et hoonts'i ndun dune 'aw hoonliyaz whe ninta lhe'ít'el. 'Et hoonts'i wheni nek'un'a za ooba nahisda.”
LUK.23.42	'Et ndun dune untsi'-un 'et Sizi 'ulhni, “SMoodihti nts'e la whulerwe inli, whuz naoozinja de, snaoolnih!”
LUK.23.43	'Et Sizi 'uyúlhni, “Ts'ih'un un'a nyudusni, nts'e la 'uk'enus hoonzoo-un, 'et soo 'andit dzin sulh 'útant'elh.”
LUK.23.44	Dzetniz hukw'elh'az 3:00 at'en 'et whuts'un ndi yun k'ut ndúwhulcho whe tsahólhgus inle'.
LUK.23.45	Sa cha 'aw lhist'en suli'. 'Ink'ez lugliz whucho dutai-i hukwa dímbal-i, 'i cha lhulcho lhk'ench'ul.
LUK.23.46	'Ink'ez 'et Sizi tube cho 'utni, “'UBá, syughi 'i nts'o la disni.” 'Ink'ez 'et dúdija 'et 'awet 'udek'ez hanájiz.
LUK.23.47	'Et dahooja la ndun lhuganne bumoodih whunalh'en whe Yak'usda yudilhti' whe 'utni, “Ndun 'alha soo ts'ih'un dune azi 'unt'oh.”
LUK.23.48	'Et 'ilhozdilne ts'iyawh 'et nehunindil huwhuntilh'elh ha, ndet la ndulcho-un dáhooja la huwhunalh'en, ts'odi k'et 'et dudzi k'ut hoohoolhchis 'ink'ez whusanáhidil.
LUK.23.49	Mbene la t'eininzunne, 'ink'ez mbene la ts'ekoo Galilee whuts'un hiyuwhusanándilne, 'enne cha nilhdza'yaz highu núdilhya whe ndi ndulcho dawhut'en-un honilh'en.
LUK.23.50	'Et 'awet 'ilhoghun dune Joseph huyulhni-un, 'en cha Lizwifne ook'úne' whut'enne, 'en 'ilhoghun 'unt'oh. 'En dune unzoo 'ink'ez ts'ih'un dune unli.
LUK.23.51	Nyoonne ook'úne' whut'enne, dahuja-un, 'aw ooba ts'ih'un lhe'hoot'oh. Joseph 'en Arimathea whut'en-un 'unt'oh. 'Et njan keyoh whucho Lizwifne bukeyoh, 'et 'ilhoghun 'uhoont'oh. Joseph 'en cha ndet la Yak'usda whe lerwe unli-un, 'et cha huba sulh'i.
LUK.23.52	'Et Joseph Pilate ts'u whinya 'ink'ez Sizi oozi yuts'u yúka 'utni dutl'anáyoolhtelh ha.
LUK.23.53	'Et 'awet oozi nanáyalhti whe ndi naih dizti'-i, layin huyulhni-i, 'i be yugha 'ozduz. 'Et tse be hahuhontsel-un, 'et whuts'o da', 'aw 'uyoonne 'et 'alhdílhtoh, 'et 'ayalhti.
LUK.23.54	'Et 'awet 'et dzin wheni lhahúdutneh-un 'uhoont'oh. 'Et 'awet lizwifne nats'ulyis-un dzin yutilhkai.
LUK.23.55	'Ink'ez nyoonne ts'ekoo Galilee whuts'un yuwhusanándilne, 'enne Joseph hiyuntizdil whe 'et oozi 'et 'ayulhtih whe hinilh'en.
LUK.23.56	'Et whenáhidil. Yoo sooltsun-i, khe sooltsun-i cha ts'iyawh lhahídinla. 'Et nats'ulyis dzin, 'et Yak'usda ooghuni be buba' hóonla, 'et dzin nahilyiz.
LUK.24.1	'Et 'awet ndi lisman 'udechoo dzin 'uhoont'oh. Bundada 'uda', nyoonne ts'ekoo 'ink'ez 'uyoonne cha bulh 'et ts'un k'uz ts'e hutizdil. Ndi yoo sooltsun-i lhahídinla-i, 'i cha hitizdla.
LUK.24.2	Tse 'uda' 'udun diz'ai whe hotilh'en.
LUK.24.3	'Et dahúnindil 'ink'ez gak Sizi oozi hooloh.
LUK.24.4	'Et ts'iyawh buba whe' hooja hooyoh 'et dáhooja whusuba 'uhoont'oh. 'Et khunsul nane dune buzih usyin. Bunaih soo ts'ih'un busaoolkalh.
LUK.24.5	'Ink'ez ndunne ts'ekoo tube whehunuljut whe yun nacháhunilya. 'Ink'ez ndunne dune 'uhutni, “'Et di ha yaidlanne toh khuna-un, 'en ookunáhtah?
LUK.24.6	'Aw njan hooloh, dunadija whe 'unt'oh! 'Awhuz Galilee 'ut'en whe, daja nohulhni-un, 'aw whunalhuzulhni?
LUK.24.7	Nja dunóhulhni, ‘Ndiz un'a nja dótanelh, yinka dune ye', 'en lubeshi 'ulh'enne tl'ahitilhtelh 'ink'ez tulalhgus k'ehúyitalhtelh ha. 'Ink'ez whulh tat dzin dunadutádalh.’”
LUK.24.8	'Ink'ez 'aho highuni hinalni.
LUK.24.9	'Et ts'unk'uz hanáhidil, 'et ndi ts'iyawh whunizyanne 'on 'at 'ilhoghun, 'ink'ez 'onghohne cha, ts'iyanne hudáni'.
LUK.24.10	Mbene la ubodáni'ne, 'enne Mary Magdala whut'en-un, Joanna cha, Mary James ooloo cha, 'ink'ez 'uyoonne ts'ekoo bulh 'ut'enne, 'enne 'uhuja ndunne whel'a'ne 'ubodáni'.
LUK.24.11	'Et hoonts'i nyoonne whel'a'ne, 'ants'i 'oh ne'huduni' whula 'uhutni ubonínzun 'ink'ez 'aw buba 'alha lhe'hudusnih.
LUK.24.12	'Et hoonts'i Peter dudillhoh 'ink'ez ts'un k'uz ts'e oolhgai. Yo le 'uja 'ink'ez tsa k'et whunilh'en. 'Et naih dizti'-i za 'et sulhchooz whe yutilh'en. 'Et duyoh ts'e whenaja. 'Et howu nuní nuzut 'ink'ez ooba hooncha dahooja whusuba 'uhoont'oh.
LUK.24.13	'Et 'awet 'et dzin za keyoh whuyaz, Emmaus ts'outni, nane dune whuz hutiz'az. Jerusalem whuts'un 7 miles at'en 'uhoont'oh.
LUK.24.14	'Et whuz hi'us whe 'et ndóohool cho dahóot'en la 'oh howu yahulhduk.
LUK.24.15	'Awhuz 'et howu yahulhduk dahóot'en la ne'whust'en-un, 'et Sizi bughu ninya 'ink'ez bubulh tiz'az.
LUK.24.16	Duna be hinilh'en 'et hoonts'i 'aw butl'alhúhoo'al 'et huwa 'aw t'elhihinízil.
LUK.24.17	'Ink'ez 'ubulhni, “'Et 'oh whuya ah'us whe, ndet whe' whudahni? Stabe huwun nohdzi unduda whe howu yalhduk?”
LUK.24.18	'Et ndun 'ilhoghun, Cleopas huyulhni, 'en 'uyulhni, “'Aw nyun za iloh eh nts'oh te 'andit ne'whust'en-un, 'aw eh t'ewhunuzínzun. 'Aw Jerusalem whut'en-un lhinloh whe la' dini?”
LUK.24.19	'Et 'ubúlhni, “Ndet whe' whudahni?” 'Ink'ez 'uhuyulhni, “Sizi Nazareth whut'en-un, 'en ooghun dahooja la. Ndun dune nus hoo'en-un 'unt'oh. Yak'usda 'ink'ez dunene cha bunalh ts'iyawh hoolhtus whe ne'úst'en 'ink'ez hoolhtus whe cha yáilhduk.
LUK.24.20	'Ink'ez 'et cha dahooja la 'udedo lubretne, 'ink'ez wheni nemoodihne cha, 'enne Rome whut'enne hiba nahuhooyeh ha butl'ahúyalhti, 'ink'ez tulalhgus k'ehíyilhti.
LUK.24.21	'Et hoonts'i 'en úncha Israel oots'u hainzutne nabootakulh uzninzun da'. Nts'oh te ne'whust'en 'et whuts'un 'andit 'et 'awet whúlh tat dzin 'uhoont'oh.
LUK.24.22	A, 'alha 'uhoont'oh, 'ink'ez whulohne ts'ekoo dulyiz whe nebulh 'ít'enne, daja hutni-un, tube neba hooncha. Soo 'uda' bundada ts'un k'uz hoozdil.
LUK.24.23	'Aw hizi nálhilhtel. 'Ink'ez lizasne han'en whe 'enne 'uhutni, ‘Khuna whe 'unt'oh!’
LUK.24.24	'Ink'ez 'et oolune nebulh 'ut'enne, 'enne cha ts'un k'uz nahúz'az. Soo nts'en'a la ts'ekoo daja hutni la, whuz un'a nahahoon'ai. 'Et hoonts'i Sizi 'aw lhuhuyí'el.”
LUK.24.25	'Ink'ez 'et Sizi 'ubulhni, “Tube nohni whusnine ahli! Ndet la ts'iyawh nus hoo'enne daja hutni-un, tube sa' whe nohdzi be nohba 'alha' whuneh!
LUK.24.26	'Alha eh 'uhoont'oh Christ, 'en dzoh nutizut huba 'uhoont'oh 'ink'ez 'et hukw'elh'az whe dizti' ts'u natidalh?”
LUK.24.27	'Ink'ez soo 'udechoo Moses be 'udustl'us 'uk'ununáguz-un 'ink'ez nus hoo'enne bube' 'udustl'us cha, ndai 'uk'unuhúyuzgus 'en ghun, 'i ts'iyawh Yak'usda ooghuni yúbunilhtan whe 'utni.
LUK.24.28	'Et njan keyoh whuyaz hutizdil ts'e, 'awet whenghoh hidulh. 'Ink'ez Sizi 'onilha njan keyoh whenghoot táyalh le'ut'en.
LUK.24.29	'Ants'i tube cho duzíh ooda' hukwa' huyulh'en, 'ink'ez 'uhuyúlhni, “'Awet sa naín'ai, hulhgha 'uhoont'oh.” 'Ink'ez yoh bubúlh danánt'az buzih tidalh ha.
LUK.24.30	'Et hukw'elh'azyaz natl'ahudilts'i 'ink'ez 'uhuti'ulh. Sizi lhes yilhchoot 'ink'ez Yak'usda musi yulhni. 'Ink'ez lhtaídanyuz 'ink'ez butl'ayánla.
LUK.24.31	'Et 'ants'i hitán'en le'huja 'ink'ez nahuyóolhts'it. 'Ink'ez 'et khunsul hooloh nasdli'.
LUK.24.32	'Et 'ulhodutni, “Niz de ti nebulh yalhduk 'ink'ez Yak'usda ooghuni daja ni whunenulhtun whe 'aw lawk nedzi dízk'un le lhé'ts'it'oh inle'?”
LUK.24.33	'Aho 'et 'oh whuya 'uhunit'oh whe dodindil 'ink'ez Jerusalem ts'u náhoosdil. 'Et nyoonne whunizyanne 'on 'at 'ilhoghun 'ink'ez mbene la bubulh 'ut'enne, 'enne ts'iyawh ndet 'ilhoh 'úhint'oh whe bughu nahundil,
LUK.24.34	'ink'ez njan 'et dilhts'ine, 'enne 'uhutni, “'Alha neMoodihti dunadija whe 'unt'oh! 'Ink'ez Simon yunalh be hóodiltsai!”
LUK.24.35	'Ink'ez nyoonne nane njan ti dahooja la 'et huwun bubulh náhoohoolnuk nts'en'a la Sizi ndi lhes taídanyuz whe 'oh da' mbe unli nahuyóolhts'it.
LUK.24.36	'Awhuz njan howu yahalhduk whe, Sizi dich'oh buniz be hóodiltsai, 'ink'ez ubulhni, “Nohbulh soo' hot'e'.”
LUK.24.37	'Et hoonts'i bugha 'únjaz 'ink'ez tube hunílhjoot. Dune dazsai-un tsin han'en huninzun.
LUK.24.38	'Ink'ez 'ubulhni, “'Et dahoont'oh huwa whénulhjut? 'Ink'ez dahoont'oh huwa nohdzi yo whe nohba nawh 'uhoont'oh?
LUK.24.39	Sla cha 'ink'ez ske cha nulh'en. Si 'ust'oh. St'aíhnaih 'ink'ez sunulh'en! 'Alha nohnich'oh whunulh'en. Syust'e cha hoonli 'ink'ez sts'un cha. Dune tsin 'aw whuz un'a ndúlhit'oh, yust'e 'ink'ez oots'un cha hooloh, ndi ts'iyawh bulh 'ust'oh.”
LUK.24.40	'Et 'awet 'et dudáni' whe, dula cha 'ink'ez duke cha bunalh ts'et neyuzdla.
LUK.24.41	Soo ts'ih'un huhóont'i' 'ink'ez huwá' hi'en 'et hoonts'i 'awhuz buba 'alha lhe'hoot'oh. 'Ink'ez 'ubulhni, “'Aw njan 'ut'alh-i lhaht'ih?”
LUK.24.42	'Inka lho sut'e-i 'ink'ez ndai la ts'ihna dutl'uz ye 'ulh'en-i, 'i yoo'alha higha híninla.
LUK.24.43	'Ink'ez yílhchoot 'ink'ez bunalh yan'al.
LUK.24.44	'Ink'ez 'ubulhni, “'Awhuz nohbulh 'úst'oh da' ndi khuni 'i da' be nohbulh yasduk-i, 'et la ndi ts'iyawh lhaoodoneh ndai la Moses be 'udustl'us k'unusguz-i, 'ink'ez nus hoo'enne, 'ink'ez Yak'usda ooghuni Shun e'dustl'us k'ut cha si sghun 'uk'unusguz.”
LUK.24.45	'Et bubeni t'ehonoozeh ha butl'ahón'ai Yak'usda ooghuni t'ehinoozeh ha.
LUK.24.46	'Ink'ez 'ubulhni, “Ndi 'i 'uk'unusguz whe 'et dutni, Christ, 'en dzoh nozut huba' hoont'oh, 'ink'ez whulh tat dzin dunadutádalh.
LUK.24.47	'Ink'ez mbene la boozi' be yatilhdukne, 'enne 'en boozi' gha nts'en'a whe ts'iyanne dulubeshi ch'a dudeni naháhundunooleh, 'ink'ez nts'en'a whe bulubeshi buba úntukuk cha, 'ohwhi ghun boozi' gha ts'iyanne dóhni' huba' hoont'oh. 'Et njan Jerusalem 'et cho whe' doht'en. 'Et hukw'elh'az de, ts'iyanne yun k'ut ndulcho whe whubodoolh'eh.
LUK.24.48	'Ink'ez nohni njan 'et ts'iyawh dune whúntilhtunne ahli whé aht'oh.
LUK.24.49	'Ink'ez soo zulhts'ai, ndi sBá nohts'u yoozi-i, 'i nohts'o tl'adutis'alh. 'Et hoonts'i yak'uz ndus de whelhtus-i, 'i nohk'edútalts'ulh 'et whuts'un, njan Jerusalem keyoh 'et za dólhts'i'.”
LUK.24.50	'Et 'awet keyohyaz Bethany ts'uwhútni, whuz naboozdla. Dula do 'uyinla 'ink'ez Yak'usda yoodulhkut buts'un oozoo' ha.
LUK.24.51	'Et 'awhuz Yak'usda yoodulhkut whe buts'un oozoo' ha, 'et buch'a nasdzut 'ink'ez ndo yak'uz whenálti.
LUK.24.52	Hits'un teni' nalhdzin, 'ink'ez tube hooncha whe huhóont'i' whe Jerusalem ts'e náhoosdil.
LUK.24.53	'Et 'ahoolhdzin lugliz whucho hudilhts'i whe Yak'usda hidilhti' 'ink'ez dalzoo' whe 'unt'oh hutni. 'Et ndo honeh.
JHN.1.1	Soo 'udechoo da' 'et khuni hoonli 'ink'ez ndi khuni 'i Yak'usda yulh 'únt'oh. Ndi khuni 'i Yak'usda 'unt'oh.
JHN.1.2	Ndun 'en soo 'udechoo da' whuts'un Yak'usda bulh 'unt'oh.
JHN.1.3	'En la toh ts'e ts'iyaitsuk 'ulya ínle'. Ndai la 'ulya-i toh 'aw 'ilhughi lhe'yílel-i hooloh.
JHN.1.4	Be ts'úkhuna-i 'en oots'u haídanzut 'ink'ez 'i ts'iyanne dune buba be hoot'en-i 'unt'oh.
JHN.1.5	Ndi be hóot'en-i tsalhgus
JHN.1.6	'Ilhoghun dune John
JHN.1.7	Ndun dune 'en ts'iyanne dóni' ndi be hóot'en-i, 'i ghun. Hukwa' huninzun de, 'en gha la ts'iyanne ooba 'álha' hot'e'.
JHN.1.8	Ndun 'en 'aw be hóot'en-i ilóh 'unt'oh. 'En 'unt'oh be hóot'en-i, 'i ghun ts'iyanne dóni'-un 'unt'oh.
JHN.1.9	Ndi be hóot'en-i, 'i ts'ih'un 'unt'oh, 'ink'ez be hóot'en-i, 'i ts'iyanne dune bugha ita'alh, 'et wheni 'en ndi yun k'eínya.
JHN.1.10	Ndi yun k'ut inda'. Ndi yun 'uyínla 'et hoonts'i yinka dune' t'ehinózin hukwa lhe'hunízun.
JHN.1.11	Mbene la dulh whút'enne oole' ha 'utahábanlane, 'enne butaninya whe 'aw lhuhuyílhchulh.
JHN.1.12	'Et hoonts'i mbene la yílhchootne, Yak'usda buzkeh huzdli' 'et bugha óonin'ai. 'Enne 'uhint'oh ndi boozi' buba 'álha' yint'oh.
JHN.1.13	'Aw hahánde whu la toh ts'e iloh Yak'usda buzkeh huzdli', k'us buyust'e hukwa' nínzun huwa iloh, k'us dich'oh dune hukwa' huninzun huwa cha iloh, Yak'usda 'en gha za huwhuzdli.
JHN.1.14	'Et ndi khuni Yak'usda unli, 'i dune suli' 'ink'ez netoh dune inle', 'et whe dádilti' la ts'onalh'en. Ndi yé dadanti', 'i Yak'usda 'aw 'ilhoghun za ooYe' yé dizti'-i 'unt'oh. Ye unzoo-i 'aw oola tanalhuhóo'oh 'ink'ez khuni 'alha' 'unt'oh-i za be yálhduk.
