GEN.1.4	Dieu vit que la lumière était bonne, et Dieu sépara la lumière et les ténèbres. 
EST.8.8	Vous, au nom du roi, écrivez comme bon vous semble au sujet des Juifs, et scellez-le avec le cachet du roi. Car un écrit fait au nom du roi et scellé avec le cachet du roi, on ne peut l’annuler. 
EST.8.9	On convoqua les scribes du roi ce même jour, qui était le vingt-troisième du troisième mois, le mois de Sivân, et on écrivit toutes les dispositions de Mardochée pour les Juifs à l’intention des satrapes et des gouverneurs, des princes de toutes les provinces depuis l’Inde jusqu’à Koush, cent vingt-sept provinces, à chaque province dans son écriture, à chaque peuple dans sa langue, aux Juifs en particulier dans leur écriture et dans leur langue. 
EST.8.10	On écrivit les lettres au nom du roi Xerxès, on les scella avec le cachet du roi et on les envoya par l’intermédiaire des courriers à cheval, montant des pur-sang sélectionnés dans les haras de l’Etat. 
EST.8.11	Le roi autorisait les Juifs de toute ville à se rassembler pour défendre leur vie, à détruire, à tuer, et à faire disparaître toutes les troupes populaires ou provinciales qui les persécuteraient, avec leurs femmes et toutes leurs familles. Ils pouvaient les piller pour en prendre du butin. 
EST.8.12	Cela, en un seul jour, dans toutes les provinces du roi Xerxès, le treize du douzième mois – le mois d’Adar. 
EST.8.13	Il y avait une copie de l’écrit pour communiquer à chaque province l’édit qui devait être rendu public parmi tous les peuples, afin que les Juifs se tiennent prêts ce jour-là à se venger de leurs ennemis. 
EST.8.14	Les courriers montant des pur-sang sélectionnés dans les haras de l’Etat sortirent, à bride abattue, par ordre du roi, et l’édit fut communiqué à Suse la citadelle.
EST.8.16	Les Juifs étaient rayonnants de joie et de gaieté, et comblés d’honneurs. 
EST.8.17	En chaque province, en chaque ville, en tout lieu atteint par l’ordre et l’édit du roi, il y eut parmi les Juifs joie et gaieté, banquets et jour de fête. Beaucoup parmi les peuples du pays se firent Juifs, car la frayeur des Juifs s’était abattue sur eux.
EST.9.2	Dans leurs villes, dans toutes les provinces du roi Xerxès, les Juifs se rassemblèrent pour porter la main sur ceux qui cherchaient leur malheur. Personne ne put tenir devant eux, car la frayeur des Juifs s’était abattue sur tous les peuples. 
EST.9.3	Tous les princes des provinces, les satrapes, les gouverneurs et les fonctionnaires du roi soutinrent les Juifs, car la frayeur de Mardochée s’était abattue sur eux. 
EST.9.4	En effet, Mardochée était devenu un homme important dans la maison du roi. Sa renommée se répandait dans toutes les provinces, car c’était un homme de plus en plus important.
EST.9.6	Rien qu’à Suse la citadelle, les Juifs tuèrent, ils firent disparaître cinq cents hommes,
EST.9.7	et Dalphôn,
EST.9.7	et Aspata,
EST.9.8	et Porata,
EST.9.8	et Adalia,
EST.9.8	et Aridata,
EST.9.9	et Parmashta,
EST.9.9	et Arizaï,
EST.9.9	et Aridaï,
EST.9.9	et Vaïzata,
EST.9.11	Le jour même, le nombre de ceux qui avaient été tués à Suse la citadelle parvint au roi.
EST.9.13	Esther répondit : Si cela te semble bon, ô roi, qu’il soit aussi permis aux Juifs de Suse d’agir demain comme aujourd’hui, et qu’on pende les dix fils de Haman à la potence ! 
EST.9.14	Le roi dit de faire ainsi. On publia l’édit à Suse, et les dix fils de Haman furent pendus. 
EST.9.15	Les Juifs de Suse se rassemblèrent donc aussi le quatorzième jour du mois d’Adar et tuèrent trois cents hommes ; mais ils ne portèrent pas la main sur le butin.
EST.9.17	le treizième jour du mois d’Adar. En repos le quatorzième jour, ils en firent un jour de banquet et de joie. 
EST.9.18	Quant aux Juifs de Suse, ils se rassemblèrent le treize et le quatorze ; en repos le quinze, ils en firent un jour de banquet et de joie. 
EST.9.19	C’est pourquoi les Juifs des campagnes, ceux qui habitent des villes sans murailles, font du quatorzième jour du mois d’Adar un jour de joie, de banquet et de fête où chacun envoie des cadeaux à son voisin.
EST.9.20	Mardochée écrivit cela dans des lettres qu’il envoya à tous les Juifs de toutes les provinces du roi Xerxès, proches et lointaines, 
EST.9.21	pour qu’ils observent l’institution du quatorzième jour du mois d’Adar, ainsi que du quinzième, d’année en année. 
EST.9.22	A l’exemple de ces journées où les Juifs s’étaient débarrassés de leurs ennemis, en ce mois où leur chagrin s’était changé en joie, et leur deuil en fête, ils devaient en faire des jours de banquet et de joie où chacun envoie des cadeaux à son voisin et fait des dons aux pauvres. 
EST.9.23	Les Juifs firent une tradition de leur célébration initiale et de ce que Mardochée leur avait écrit. 
EST.9.24	Car Haman, fils de Hammedata, l’Agaguite, adversaire de tous les Juifs, avait conçu le plan de faire disparaître les Juifs. Il avait tiré le Pour, c’est-à-dire le sort, pour les frapper de panique et les faire disparaître. 
EST.9.25	Mais lorsque l’affaire fut présentée devant le roi, celui-ci ordonna par écrit : Que le plan funeste qu’il a conçu contre les Juifs retombe sur sa tête ! Qu’on le pende à la potence, ainsi que ses fils ! 
EST.9.26	C’est pourquoi on a appelé ces jours-là Pourim, d’après le nom du Pour. Ainsi, à cause de tout ce que disait cette lettre, de ce qu’ils avaient vu et de ce qui leur était arrivé, 
EST.9.27	les Juifs instituèrent une tradition irrévocable pour eux, pour leur descendance et pour ceux qui se joindraient à eux : on célébrerait ces deux jours selon ce qui est écrit, au temps fixé, d’année en année. 
EST.9.28	Ces jours seraient commémorés et célébrés de génération en génération, dans chaque clan, dans chaque province, dans chaque ville. Ces jours des Pourim sont irrévocables parmi les Juifs, leur commémoration ne se perdra pas dans leur descendance.
EST.9.30	A tous les Juifs des cent vingt-sept provinces du royaume de Xerxès on envoya des lettres, messages de paix et de loyauté ; 
EST.9.31	pour instituer ces jours des Pourim à leur date, comme le Juif Mardochée et la reine Esther les avaient institués, comme ils les avaient institués pour eux-mêmes et pour leur descendance, des jours de jeûne et de lamentations. 
EST.9.32	L’histoire d’Esther institue le rituel des Pourim ; c’est pourquoi elle est écrite dans ce livre.
EST.10.2	Tout le récit de sa puissance et de sa vaillance, ainsi que le détail de l’élévation de Mardochée par le roi, tout cela est écrit dans le livre des chroniques des rois de Médie et de Perse. 
EST.10.3	Car le Juif Mardochée occupait le second rang après le roi Xerxès ; c’était le grand homme des Juifs, qui avait la faveur de la multitude de ses frères ; il cherchait le bien de son peuple et parlait pour la paix de tous les siens.
JOB.1.2	Sept fils et trois filles naquirent de lui. 
JOB.1.3	Il avait un troupeau de 7 000 têtes de petit bétail, 3 000 chameaux, 500 paires de bœufs, 500 ânesses, et un très grand nombre de serviteurs. Cet homme était le plus grand de tous les fils de l’Orient.
JOB.1.5	Quand les jours de banquet étaient révolus, Job les faisait venir pour les consacrer ; il se levait de bon matin et offrait pour chacun d’eux un holocauste ; car Job disait : « Peut-être mes fils ont-ils péché, peut-être ont-ils maudit Dieu dans leur cœur. » Job agissait toujours ainsi.
JOB.1.7	Le S
JOB.1.8	Le S
JOB.1.9	L’Adversaire répondit au S
JOB.1.10	Ne l’as-tu pas protégé, lui, sa maison et tout ce qui lui appartient ? Tu as béni l’œuvre de ses mains, et son troupeau s’accroît dans le pays. 
JOB.1.11	Mais étends ta main, je te prie, et touche à tout ce qui lui appartient : à coup sûr, il te maudira en face. 
JOB.1.12	Le S
JOB.1.14	il arriva auprès de Job un messager qui dit : Les bœufs labouraient et les ânesses paissaient à côté d’eux ; 
JOB.1.15	des Sabéens se sont jetés dessus, ils les ont pris et ils ont passé les serviteurs au fil de l’épée. Je me suis échappé, moi seul, pour te l’annoncer. 
JOB.1.16	Il parlait encore lorsqu’un autre arriva et dit :
JOB.1.16	Le feu de Dieu est tombé du ciel,
JOB.1.16	il a brûlé le petit bétail et les serviteurs et les a dévorés.
JOB.1.16	Je me suis échappé, moi seul, pour te l’annoncer.
JOB.1.17	Des Chaldéens, formés en trois bandes,
JOB.1.17	se sont précipités sur les chameaux, ils les ont pris
JOB.1.17	et ils ont passé les serviteurs au fil de l’épée.
JOB.1.17	Je me suis échappé, moi seul, pour te l’annoncer.
JOB.1.18	Il parlait encore, lorsqu’un autre arriva et dit :
JOB.1.18	Tes fils et tes filles mangeaient et buvaient du vin chez leur frère, le premier-né,
JOB.1.19	a frappé les quatre coins de la maison ;
JOB.1.19	elle s’est écroulée sur les jeunes gens,
JOB.1.19	et ils sont morts.
JOB.1.19	Je me suis échappé, moi seul, pour te l’annoncer.
JOB.1.21	et dit :
JOB.1.21	Nu je suis sorti du ventre de ma mère,
JOB.1.21	et nu j’y retournerai.
JOB.1.21	Le S
JOB.1.21	le S
JOB.1.21	que le nom du S
JOB.2.2	Le S
JOB.2.3	Le S
JOB.2.4	L’Adversaire répondit au S
JOB.2.5	Mais étends ta main, je te prie, touche à ses os et à sa chair : à coup sûr, il te maudira en face ! 
JOB.2.6	Le S
JOB.2.7	Alors l’Adversaire se retira de devant le S
JOB.2.8	Job prit un tesson pour se gratter et s’assit au milieu des cendres. 
JOB.2.9	Sa femme lui dit : Tu demeures ferme dans ton intégrité ! Maudis donc Dieu et meurs ! 
JOB.2.10	Mais il lui répondit : Tu parles comme une folle ! Nous recevrions de Dieu le bonheur, et nous ne recevrions pas aussi le malheur ! En tout cela, Job ne pécha pas par ses lèvres.
JOB.2.12	Ayant levé les yeux sur lui de loin, ils ne le reconnurent pas et se mirent à sangloter. Ils déchirèrent leurs manteaux et jetèrent de la poussière vers le ciel, au-dessus de leur tête. 
JOB.2.13	Ils s’assirent avec lui par terre, pendant sept jours et sept nuits ; personne ne lui dit un mot, car ils voyaient que sa douleur était très grande.
JOB.3.2	Job dit :
JOB.3.3	et la nuit qui dit : Un enfant mâle a été conçu !
JOB.3.4	que Dieu ne le recherche pas de là-haut,
JOB.3.4	que la lumière ne brille pas sur lui !
JOB.3.5	que des nuées demeurent au-dessus de lui,
JOB.3.5	que l’obscurcissement du jour le remplisse d’effroi !
JOB.3.6	Qu’elle ne se réjouisse pas avec les jours de l’année,
JOB.3.6	qu’elle n’entre pas dans le compte des mois !
JOB.3.7	Oui, que cette nuit soit stérile,
JOB.3.7	qu’il n’y ait pas en elle de cri de joie !
JOB.3.8	par ceux qui savent éveiller Léviathan !
JOB.3.9	Qu’elle espère la lumière, et que celle-ci ne vienne pas !
JOB.3.9	Qu’elle ne voie pas la lueur de l’aurore !
JOB.3.10	parce qu’elle n’a pas caché la peine à mes regards.
JOB.3.11	Pourquoi n’ai-je pas expiré au sortir de son ventre ?
JOB.3.12	Pourquoi ai-je trouvé des genoux pour me recevoir
JOB.3.12	et des seins pour m’allaiter ?
JOB.3.13	Maintenant je serais couché, je serais tranquille,
JOB.3.13	je dormirais ; alors je pourrais me reposer
JOB.3.14	qui se bâtissent des mausolées,
JOB.3.15	avec les princes qui ont de l’or
JOB.3.15	et qui remplissent d’argent leurs maisons.
JOB.3.16	comme ces enfants qui n’ont jamais vu le jour.
JOB.3.17	là se reposent ceux qui sont fatigués et sans force ;
JOB.3.18	ils n’entendent plus la voix de l’oppresseur ;
JOB.3.19	l’esclave est affranchi de son maître.
JOB.3.20	la vie à ceux qui sont amers,
JOB.3.21	qui la recherchent plus que des trésors,
JOB.3.22	s’ils trouvaient la tombe
JOB.3.23	et que Dieu cerne de toutes parts ?
JOB.3.24	et mes cris se répandent comme de l’eau.
JOB.3.25	ce qui fait mon effroi, c’est ce qui m’atteint.
JOB.3.26	c’est l’agitation qui survient.
JOB.4.1	Eliphaz le Témanite répondit :
JOB.4.2	Mais qui pourrait retenir ses propos ?
JOB.4.3	tu as encouragé les faibles,
JOB.4.4	tes propos ont relevé celui qui trébuchait,
JOB.4.4	tu as affermi les genoux qui pliaient.
JOB.4.5	Maintenant que cela te touche, tu es saisi d’épouvante !
JOB.4.6	Ton espoir, n’est-ce pas l’intégrité de tes voies ?
JOB.4.7	quel est l’innocent qui a disparu ?
JOB.4.7	Où les gens droits ont-ils péri ?
JOB.4.8	et qui sèment l’oppression en font aussi la moisson ;
JOB.4.9	ils sont exterminés par le vent de sa colère.
JOB.4.10	les dents du jeune lion se brisent ;
JOB.4.11	la progéniture de la lionne se disperse.
JOB.4.12	Une parole est arrivée furtivement jusqu’à moi,
JOB.4.12	mon oreille en a perçu le murmure.
JOB.4.13	quand une torpeur tombe sur les hommes,
JOB.4.14	tous mes os ont tremblé ;
JOB.4.15	tous les poils de mon corps se sont hérissés.
JOB.4.16	je ne reconnaissais pas son aspect ;
JOB.4.16	une forme était devant mes yeux.
JOB.4.16	J’entendis dans le calme une voix qui disait :
JOB.4.17	Un homme serait-il plus pur que celui qui le fait ?
JOB.4.18	s’il découvre des erreurs chez ses messagers,
JOB.4.19	eux dont les fondations sont dans la poussière
JOB.4.19	et qu’on écrase plus vite qu’une mite !
JOB.4.20	ils disparaissent pour toujours, et personne n’y prend garde ;
JOB.4.21	ils meurent sans sagesse.
JOB.5.1	Y a-t-il quelqu’un qui te répondra ?
JOB.5.1	Auquel des saints t’adresseras-tu ?
JOB.5.2	et la passion jalouse fait mourir le naïf.
JOB.5.3	et soudain j’ai voué son domaine à la malédiction.
JOB.5.4	Qu’ils soient écrasés à la porte de la ville,
JOB.5.4	et qu’il n’y ait personne pour les délivrer !
JOB.5.5	qu’ils viennent la prendre jusque dans les épines !
JOB.5.5	Qu’un piège aspire à sa fortune. »
JOB.5.6	l’oppression ne germe pas de la terre ;
JOB.5.7	comme les étincelles s’élèvent pour voler.
JOB.5.8	et c’est à Dieu que j’exposerais ma cause.
JOB.5.9	des choses étonnantes, sans nombre ;
JOB.5.10	il envoie l’eau sur les champs ;
JOB.5.11	et ce sont les désespérés qui parviennent au salut.
JOB.5.12	et leurs mains ne peuvent leur assurer le succès.
JOB.5.13	et les projets des gens retors s’avèrent irréfléchis ;
JOB.5.14	et tâtonnent en plein midi comme dans la nuit.
JOB.5.15	Mais il sauve le pauvre de l’épée de leur bouche
JOB.5.15	et de la main de celui qui est fort ;
JOB.5.16	mais l’injustice ferme la bouche.
JOB.5.17	Ne rejette pas l’instruction du Puissant !
JOB.5.18	il fracasse, et ses mains guérissent.
JOB.5.19	Six fois il te délivrera de la détresse,
JOB.5.19	sept fois le malheur ne t’atteindra pas.
JOB.5.20	et des coups de l’épée pendant la guerre.
JOB.5.21	tu n’auras pas peur quand viendra le ravage.
JOB.5.22	tu n’auras pas peur des animaux sauvages ;
JOB.5.23	et les animaux sauvages seront en paix avec toi.
JOB.5.24	Tu sauras la paix sous ta tente ;
JOB.5.24	tu inspecteras ton domaine, et il ne te manquera rien.
JOB.5.25	et tes rejetons comme l’herbe de la terre.
JOB.5.26	comme on élève un tas de gerbes en son temps.
JOB.5.27	A toi d’entendre et de le reconnaître !
JOB.6.1	Job répondit :
JOB.6.2	Oh ! s’il était possible de peser ma contrariété,
JOB.6.2	si l’on mettait toute ma détresse sur une balance,
JOB.6.3	voilà pourquoi mes paroles sont inconsidérées.
JOB.6.4	et mon esprit en boit le venin ;
JOB.6.4	les effrois de Dieu s’alignent contre moi.
JOB.6.5	Le bœuf mugit-il auprès de son fourrage ?
JOB.6.6	Y a-t-il de la saveur dans le blanc d’un œuf ?
JOB.6.7	c’est là ma nourriture, si infecte soit-elle !
JOB.6.8	si Dieu réalisait mon espoir !
JOB.6.9	qu’il étende sa main et m’achève !
JOB.6.10	et je sauterais de joie, malgré la douleur qui n’épargne rien :
JOB.6.10	je n’aurais pas renié les paroles du Saint.
JOB.6.11	Quelle sera ma fin pour que je prolonge ma vie ?
JOB.6.12	Ma chair est-elle du bronze ?
JOB.6.13	toute ressource n’est-elle pas bannie loin de moi ?
JOB.6.14	quand même il abandonnerait la crainte du Puissant.
JOB.6.15	comme le lit des oueds qui disparaissent.
JOB.6.16	ils sont assombris par la fonte des neiges ;
JOB.6.17	aux feux du soleil, ils se dessèchent sur place.
JOB.6.18	Les caravanes dévient de leur chemin,
JOB.6.18	s’enfoncent dans le chaos et disparaissent.
JOB.6.19	les convois de Saba les espèrent ;
JOB.6.20	quand ils arrivent, ils rougissent.
JOB.6.21	vous voyez ma terreur, et vous avez peur !
JOB.6.22	Avec vos biens, faites des présents en ma faveur !
JOB.6.23	libérez-moi de la main des brutes ! »
JOB.6.24	faites-moi comprendre en quoi je me suis égaré.
JOB.6.25	Mais que prouvent vos critiques ?
JOB.6.26	et lancer au vent les discours d’un désespéré ?
JOB.6.27	vous donneriez votre ami !
JOB.6.28	Maintenant, décidez-vous à me regarder !
JOB.6.28	Vous mentirais-je en face ?
JOB.6.29	revenez encore, ma justice est là !
JOB.6.30	Mon palais ne sait-il pas discerner la détresse ?
JOB.7.1	et ses jours ceux d’un salarié ?
JOB.7.2	comme le salarié espère sa paye,
JOB.7.3	j’ai pour mon compte des nuits de peine.
JOB.7.4	Quand me lèverai-je ?
JOB.7.4	Le soir se prolonge,
JOB.7.4	et je suis rassasié d’agitation jusqu’à l’aube.
JOB.7.5	ma peau se crevasse et se décompose.
JOB.7.6	ils s’achèvent : plus d’espoir !
JOB.7.7	Mes yeux ne reverront pas le bonheur.
JOB.7.8	tes yeux me chercheront, et je ne serai plus.
JOB.7.9	ainsi celui qui descend au séjour des morts n’en remontera pas ;
JOB.7.10	et le lieu qu’il habitait ne le reconnaîtra plus.
JOB.7.11	je parlerai dans ma détresse,
JOB.7.11	je me plaindrai dans mon amertume.
JOB.7.12	pour que tu postes une garde contre moi ?
JOB.7.13	ma couche calmera ma plainte,
JOB.7.14	tu me remplis d’effroi par des visions.
JOB.7.15	la mort plutôt que ces os !
JOB.7.16	Laisse-moi, mes jours s’évaporent.
JOB.7.17	pour que tu en fasses tant de cas,
JOB.7.17	pour que tu te soucies de lui,
JOB.7.18	que tu l’éprouves à chaque instant ?
JOB.7.19	Quand me laisseras-tu le temps d’avaler ma salive ?
JOB.7.20	Pourquoi m’as-tu pris pour cible ?
JOB.7.20	En quoi te suis-je à charge ?
JOB.7.21	que ne laisses-tu passer ma faute ?
JOB.7.21	Car maintenant je vais me coucher dans la poussière ;
JOB.7.21	tu me chercheras, et je ne serai plus.
JOB.8.1	Bildad le Shouhite répondit :
JOB.8.2	Jusqu’à quand tiendras-tu ces propos,
JOB.8.2	jusqu’à quand les discours de ta bouche seront-ils un vent impétueux ?
JOB.8.3	Le Puissant fausserait-il la justice ?
JOB.8.4	il les a livrés à leur révolte.
JOB.8.5	si tu supplies le Puissant,
JOB.8.6	maintenant même il veillera sur toi
JOB.8.6	et il rétablira ton domaine de juste ;
JOB.8.7	ta fin sera bien plus grande.
JOB.8.8	sois attentif à l’expérience de ses pères.
JOB.8.9	nos jours sur la terre ne sont qu’une ombre.
JOB.8.10	ils tireront de leur cœur ces propos :
JOB.8.11	Le papyrus peut-il croître sans eau ?
JOB.8.12	il se dessèche plus vite que toutes les herbes.
JOB.8.13	et l’espoir de l’impie disparaît.
JOB.8.14	il se fiait à une toile d’araignée.
JOB.8.15	il s’y cramponne, mais elle ne subsiste pas.
JOB.8.16	Riche de sève, en plein soleil,
JOB.8.16	il étend ses rameaux sur son jardin,
JOB.8.17	il contemple une maison de pierres.
JOB.8.18	celui-ci le renie : « Je ne t’ai jamais vu ! »
JOB.8.19	Puis, de cette poussière, d’autres germeront.
JOB.8.20	il n’encourage pas les mauvais.
JOB.8.21	et tes lèvres d’acclamations.
JOB.8.22	la tente des méchants disparaîtra.
JOB.9.1	Job répondit :
JOB.9.2	comment l’homme serait-il juste avec Dieu ?
JOB.9.3	il ne lui répondrait pas même une fois sur mille.
JOB.9.4	qui lui résisterait impunément ?
JOB.9.5	il les renverse dans sa colère.
JOB.9.6	et ses colonnes sont ébranlées.
JOB.9.7	il appose un sceau sur les étoiles.
JOB.9.8	il marche sur les hauteurs de la mer.
JOB.9.9	et les Chambres du Sud.
JOB.9.10	des choses étonnantes, sans nombre.
JOB.9.11	il disparaît, et je ne le comprends pas.
JOB.9.12	Qui lui dira : « Que fais-tu ? »
JOB.9.13	devant lui s’effondrent les appuis de Rahav.
JOB.9.14	Quelles paroles choisirais-je devant lui ?
JOB.9.15	je supplierais mon juge.
JOB.9.16	je ne croirais pas qu’il ait prêté l’oreille,
JOB.9.17	qui multiplie sans raison mes blessures,
JOB.9.18	tant il me rassasie d’amertume.
JOB.9.19	Et s’il s’agit de droit, qui me fera comparaître ?
JOB.9.20	si j’étais intègre, elle me donnerait tort.
JOB.9.21	je rejette ma propre vie.
JOB.9.22	C’est pourquoi je le dis :
JOB.9.22	il supprime l’homme intègre aussi bien que le méchant.
JOB.9.23	il se moque de l’épreuve des innocents.
JOB.9.24	il voile la face des juges.
JOB.9.24	Si ce n’est pas lui, qui est-ce donc ?
JOB.9.25	ils fuient sans avoir vu le bonheur ;
JOB.9.26	comme l’aigle qui fond sur sa proie.
JOB.9.27	laisser ma tristesse, reprendre courage »,
JOB.9.28	Je sais que tu ne me tiendras pas pour innocent.
JOB.9.29	Pourquoi me fatiguer futilement ?
JOB.9.30	si je me nettoyais les mains avec de la lessive,
JOB.9.31	et mes vêtements m’auraient en abomination.
JOB.9.32	pour que je lui réponde,
JOB.9.32	pour que nous entrions ensemble en jugement.
JOB.9.33	qui puisse poser sa main sur nous deux.
JOB.9.34	que sa terreur ne me remplisse plus d’effroi !
JOB.9.35	Mais puisqu’il n’en est pas ainsi, je reste seul avec moi !
JOB.10.1	Je vais donner libre cours à ma plainte,
JOB.10.1	je vais parler dans mon amertume.
JOB.10.2	Fais-moi savoir de quoi tu m’accuses !
JOB.10.3	de rejeter le produit de ton travail
JOB.10.3	et de faire briller ta lumière sur les projets des méchants ?
JOB.10.4	vois-tu comme voit un mortel ?
JOB.10.5	Tes jours sont-ils comme les jours d’un mortel,
JOB.10.5	et tes années comme les jours d’un homme,
JOB.10.6	pour que tu t’enquières de mon péché,
JOB.10.7	et que personne ne délivre de ta main ?
JOB.10.8	tout entier... Et tu m’engloutirais !
JOB.10.9	voudrais-tu me faire retourner à la poussière ?
JOB.10.10	Ne m’as-tu pas caillé comme du fromage ?
JOB.10.11	tu m’as tissé d’os et de tendons ;
JOB.10.12	tes soins ont gardé mon souffle.
JOB.10.13	je sais ce qui était dans ta pensée :
JOB.10.14	et tu ne me tiens pas pour innocent de ma faute.
JOB.10.15	Si je suis un juste, je n’ose lever la tête,
JOB.10.15	rassasié de mépris et absorbé dans mon affliction.
JOB.10.16	tu fais encore à mes dépens des exploits étonnants,
JOB.10.17	ta contrariété à mon sujet augmente,
JOB.10.17	une armée prend la relève pour m’assaillir.
JOB.10.18	J’aurais expiré, aucun œil ne m’aurait vu ;
JOB.10.19	j’aurais été porté du ventre de ma mère à la tombe.
JOB.10.20	Qu’il me laisse !
JOB.10.20	Qu’il se retire de moi,
JOB.10.20	et que je reprenne un peu courage,
JOB.10.21	au pays des ténèbres et de l’ombre de mort,
JOB.10.22	ombre de mort, où ne règne aucun ordre,
JOB.10.22	où la lumière est comme l’obscurité !
JOB.11.1	Tsophar le Naamatite répondit :
JOB.11.2	Suffira-t-il d’être loquace pour avoir raison ?
JOB.11.3	Te moqueras-tu sans que personne ne te confonde ?
JOB.11.4	et je suis pur à tes yeux. »
JOB.11.5	s’il ouvrait les lèvres devant toi,
JOB.11.6	qui dépassent largement la raison,
JOB.11.6	tu saurais alors que Dieu, pour toi, laisse dans l’oubli une partie de ta faute.
JOB.11.7	découvrir jusqu’à la perfection du Puissant ?
JOB.11.8	Elle est plus profonde que le séjour des morts : que sauras-tu ?
JOB.11.9	elle est plus large que la mer.
JOB.11.10	s’il convoque, qui s’y opposera ?
JOB.11.11	il voit le mal, et il ne saurait pas !
JOB.11.12	l’être humain est né comme le petit d’un âne sauvage.
JOB.11.13	et si tu tends les mains vers Dieu,
JOB.11.14	si tu éloignes le mal de ta main
JOB.11.14	et si tu ne laisses pas l’injustice demeurer sous tes tentes,
JOB.11.15	tu seras ferme, tu n’auras pas peur ;
JOB.11.16	tu t’en souviendras comme de l’eau qui s’est écoulée.
JOB.11.17	les ténèbres seront comme le matin,
JOB.11.18	après avoir rougi, tu te coucheras en sécurité.
JOB.11.19	et il n’y aura personne pour te troubler ;
JOB.11.19	beaucoup chercheront ta faveur.
JOB.11.20	pour eux, pas de refuge ;
JOB.11.20	leur espoir, c’est d’expirer !
JOB.12.1	Job répondit :
JOB.12.2	et qu’avec vous doit mourir la sagesse !
JOB.12.3	je ne vous suis pas inférieur.
JOB.12.3	Qui d’ailleurs pourrait ignorer des choses comme celles-là ?
JOB.12.4	quand il invoque Dieu pour qu’il lui réponde ;
JOB.12.4	le juste, l’homme intègre, un objet de risée !
JOB.12.5	c’est un coup pour ceux qui chancellent sur leurs jambes.
JOB.12.6	sécurité pour ceux qui irritent Dieu,
JOB.12.6	pour quiconque met Dieu dans sa main.
JOB.12.7	demande aux oiseaux du ciel, ils te le diront ;
JOB.12.8	et les poissons de la mer te le raconteront.
JOB.12.9	que c’est la main du S
JOB.12.10	le souffle de toute chair d’homme.
JOB.12.11	comme le palais goûte la nourriture ?
JOB.12.12	dans la longueur des jours l’intelligence.
JOB.12.13	C’est à lui qu’appartiennent le conseil et l’intelligence.
JOB.12.14	si c’est lui qui enferme un homme, on ne peut ouvrir.
JOB.12.15	s’il les lâche, elles retournent la terre.
JOB.12.16	c’est à lui qu’appartiennent celui qui s’égare et celui qui égare les autres.
JOB.12.17	il trouble la raison des juges.
JOB.12.18	il leur passe une ceinture autour des reins.
JOB.12.19	il renverse les autorités les plus stables.
JOB.12.20	il enlève le discernement aux vieillards.
JOB.12.21	il relâche le ceinturon des puissants.
JOB.12.22	il amène l’ombre de mort à la lumière.
JOB.12.23	il étend au loin les nations et il les fait revenir.
JOB.12.24	il les fait errer dans un chaos sans chemin
JOB.12.25	et tâtonner dans les ténèbres, sans lumière :
JOB.12.25	il les fait errer comme des gens ivres.
JOB.13.1	Tout cela, mon œil l’a vu.
JOB.13.1	Mon oreille l’a entendu et compris.
JOB.13.2	je ne vous suis pas inférieur.
JOB.13.3	je veux défendre ma cause devant Dieu.
JOB.13.4	vous êtes tous des médecins de néant.
JOB.13.5	Ç’aurait été pour vous la sagesse.
JOB.13.6	soyez attentifs au plaidoyer de mes lèvres.
JOB.13.7	et, pour lui, direz-vous ce qui est faux ?
JOB.13.8	si vous défendez la cause de Dieu ?
JOB.13.9	Ou bien le tromperez-vous comme on trompe un homme ?
JOB.13.10	si vous êtes partiaux en secret.
JOB.13.11	Sa frayeur ne s’abattra-t-elle pas sur vous ?
JOB.13.12	Vos protections ne sont que des protections d’argile.
JOB.13.13	Moi, je parlerai,
JOB.13.13	quoi qu’il puisse m’arriver.
JOB.13.14	pourquoi risquerais-je ma vie ?
JOB.13.15	mais devant lui je veux défendre mes voies.
JOB.13.16	car un impie n’oserait jamais paraître en sa présence.
JOB.13.17	Ecoutez, écoutez mon propos :
JOB.13.17	que mon explication parvienne à vos oreilles.
JOB.13.18	je sais que c’est moi qui ai raison.
JOB.13.19	Dès maintenant, je me tairais et j’expirerais.
JOB.13.20	et je ne me cacherai pas :
JOB.13.21	et que ta terreur ne me remplisse plus d’effroi ;
JOB.13.22	ou bien je parlerai, et tu me répliqueras.
JOB.13.23	Fais-moi connaître ma transgression et mon péché.
JOB.13.24	et me considères-tu comme ton ennemi ?
JOB.13.25	Veux-tu poursuivre une paille desséchée ?
JOB.13.26	tu me fais payer les fautes de ma jeunesse.
JOB.13.27	tu surveilles tous mes mouvements,
JOB.13.27	tu traces une limite à mes pas.
JOB.13.28	comme un vêtement dévoré par les mites.
JOB.14.1	Sa vie est courte, il est saturé d’agitation.
JOB.14.2	Il fuit comme l’ombre et ne s’arrête pas.
JOB.14.3	Et tu me ferais entrer en jugement avec toi !
JOB.14.4	Personne.
JOB.14.5	si tu as arrêté le nombre de ses mois,
JOB.14.5	si tu en as marqué le terme qu’il ne saurait franchir,
JOB.14.6	qu’il puisse être, comme un salarié, content de sa journée.
JOB.14.7	si on le coupe, il repousse,
JOB.14.7	ses rejetons ne manquent pas ;
JOB.14.8	si son tronc meurt dans la poussière,
JOB.14.9	il produit des rameaux comme une jeune plante.
JOB.14.10	l’être humain expire ; où est-il ?
