MAT.1.1	Abraham tapa, David tapa, Jesu Khrist khanggui thu bu. 
ACT.8.22	Hujiahin na mohna kisiih inla, Pathian kawmah haamtei in, huchi'n na lungtang a na ngaihtuah hi ahung ngaidamkhamoh sih diing. 
ACT.8.23	Ajiahchu sil khaatna sinkha ah leh, bohsiatna kaan gawmna ah na um hi, chih ka he hi, a chi a. 
ACT.8.24	Huin, Simon in a dawng a, Na sil soite uh bangmah ka tunga a tun louhna diingin nangun Lalpa kawmah hung haamteisah un, a chi a. 
ACT.8.25	Huin, amahun Lalpa thu chu a heetsah leh a soi zoh nungun, Jerusalem khua ah a chiah kiitta va, Samarite kho tamtah ah Tanchinpha a soita uhi.
ACT.8.26	Huleh, Lalpa angel in Philip a houpih a, Thou inla, simlama Jerusalem khua akipan a Gaza kho sunsuh lampi, hu gamdai ah chiah in, a chi a. 
ACT.8.27	Huleh, amah chu thou in a chiahta a; huleh, ngaidih, Ethiopia gam a mi khat, Ethiopia kumpinu Kandake nuaia michilgeh lal tah, a gou zousiah koltu chu Jerusalem khua ah Pathian be diingin a va chiah a. 
ACT.8.28	Ahung pai kiit lam in a kaangtalai a toukawm in zawlnei Isaiah lehkhabu a sim hi. 
ACT.8.29	Huin, Hagau in Philip kawmah, Hu kaangtalai va naih inla, va kithuahpih in, a chi a. 
ACT.8.30	Huin, Philip chu a kawmah a va tai a, zawlnei Isaiah lehkhabu a sim a ja a, Na sim chu na theisiam nai? a chi a. 
ACT.8.31	Huleh, ama’n chu, Kuamah hung hilhchet louhin bang ka chi theihsiam diai? a chi a. Huleh, Philip chu kaldohtou a, a kawma tou diingin a zawn a. 
ACT.8.32	Pathian lehkhabu a simna mun chu hih ahi, Thah diing belaam bangin Amah chu a pui va; huleh belaamnou a mulmeettu ma a, a sip khiinkhian bangin, Ama’n zong a kam a keeh sih; 
ACT.8.33	A thunuaigolh laiin a tunga thudih soina laahmang ahi a; a haahte tanchin kuan ahiai hung soi diing? Leitung akipanin a hinna laahsah ahi ngal a, chih. 
ACT.8.34	Huleh, michilgeh in Philip a houpih a, a kawmah, Ka hung ngen hi, hi thu hi zawlnei in kua thu a soina ahiai? amah thu ahiai, mi dang thu? a chi a. 
ACT.8.35	Huin, Philip in a kam a kaah a, hu Pathian lehkhathu ngei apanin a kawmah Jesu thu a soita hi. 
ACT.8.36	Huleh, lampi a, a pai laiun tui umna mun khat ahung tungva; huleh michilgeh in, Endua, hi ah tui um, baptisma ka tanna diing bangin ahung daal ei? a chi a. 
ACT.8.37	Huin, Philip in, Na lungtang zousiaha na gintaat leh, na tang thei hi, a chi a. Huleh, ama’n a dawng a, Jesu Khrist chu Pathian Tapa ahi chih ka gingta hi, a chi a. 
ACT.8.38	Huin, kaangtalai chu a khawlsah a; a nih un, Philip leh michilgeh chu tui lahah a chiahsuhkhawm va; huin, Philip in amah chu a baptista hi. 
ACT.8.39	Huleh, tui apat a paidohtouh phet un, Lalpa Hagau in Philip chu a la mangta a, michilgeh in chu a mu kiitta sih hi; huleh, a lampi ah nuamtahin a pai jelta hi. 
ACT.8.40	Hizongleh, Philip chu Azota khua ah a mu kiitta va; huleh, paisuaah pehin Caesarea khua a tun masiah khochin ah Tanchinpha chu a soita hi.
ACT.9.1	Huleh, Saul chu Lalpa nungjuite a vau thu leh, thah a tup thu sekhe kawmin, siampu lal kawmah a va chiah a, 
ACT.9.2	Huleh, Damaska khua a kikhopna innte a diingin lehkha a ngen a, hilama mi kuapouh, pasal hiin numei hitaleh uh a muhmuh kaansa a Jerusalem khua a ahung pui theihna diingin. 
ACT.9.3	Huleh, a zin a; Damaska khua kawm ahung tunga; huleh thakhat in vaan akipanin vaah a kiim ah ahung taang hi; 
ACT.9.4	Huin, lei ah a puuh a, Saul, Saul, nang bang diinga hung suduhdah na hiai? chih aw a ja a. 
ACT.9.5	Huin, ama’n, Lalpa, kua na hiai? a chi a. Huin, Lalpa’n, Jesu na suhduhdahpa chu ka hi; vuaahna siihzum peeh zing nang di’n a hahsa hi, a chi a. 
ACT.9.6	Huleh, ama’n kithing kawm leh limdangsatahin, Lalpa, bang bawl diingin na hung deih ei? a chi a. Huin, Lalpa’n a kawmah, Thou inla khopi sungah luut in, huchi'n na bawl diing ahung na hilh diing uh, a chi a. 
ACT.9.7	Huleh, amah toh zinkhawmte chu soi diing beiin a ding va, aw chu a ja va, hizongleh kuamah a mu sih uhi. 
ACT.9.8	Huin, Saul chu lei a kipanin a thou a; huleh, ahung hah a, hizongleh bangmah a muthei sih a; huchi'n a khut in a kai va, Damaska khua ah a puiluut uhi. 
ACT.9.9	Huleh, ni thum kho mu louin a um a, bangmah a nein a dawn sih hi.
ACT.9.10	Huleh, Damaska ah a min Anania kichi nungjui khat a um a; Lalpa’n manglam bangin a kawmah, Anania, a chi a. Huleh, ama’n, En in Lalpa, hi ah ka um hi, a chi a. 
ACT.9.11	Huleh, Lalpa’n a kawmah, Thou inla, kotzing-tang a chih vah chiah inla, huleh, Juda inn a um, Tarsa khua a mi, a min Saul kichi kandohin; ajiahchu, ngai in, a haamtei laitah ahi. 
ACT.9.12	Huleh, manglam bangin, mi khat a min Anania kichi luut a, a mit suvaah diing a a tunga khut nga in a muta hi, a chi a. 
ACT.9.13	Huin, Anania in, Lalpa, hipa in Jerusalem khua a na misiangthoute tunga sil hoihlou a bawl dante mi tampi kam ah ka ja hi. 
ACT.9.14	Huleh, Hi ah zong na min lou zousiahte kaanna diingin siampu lalte kawma kipanin thu a mu hi, a chi a. 
ACT.9.15	Hizongleh, Lalpa’n a kawmah, Chiah mai in, ajiahchu amah hi jentelte leh kumpipate leh Israeltate kawma ka min poluuttu diing a ka beel teel ahi. 
ACT.9.16	Ajiahchu ka min vangin gimna bangchi banga nasa aha a thuaah diing, a kawma theisah diing ka hi, a chi a. 
ACT.9.17	Huin, Anania chu a va chiah a, inn ah a luut a; a tunga a khut nga in, Unau Saul, na mit vaahna diing leh, Hagau Siangthou a na dim theihna diingin, Lalpa, na hungna lampi a na kawma kilaah Jesu ngeiin, ahung sawl ahi, a chi a. 
ACT.9.18	Huleh, thakhat in a mit apat phulipte bang a kepah a; huleh, a mit ahung vaah a, huin, a thou a, baptisma a tangta hi. 
ACT.9.19	Huleh, an a ne a, a halhta hi. Huin, Saul chu Damaska a nungjui umte kawmah ni bangzah aha a um a. 
ACT.9.20	Huleh, kikhopna innte haw ah Jesu chu Pathian Tapa a hihdan thu a taangkoupih pai ngal hi. 
ACT.9.21	Huleh, a thu jate zousiah in limdang a sa mahmah va, Hi pa Jerusalem khua a, Hi min loute suduhdah veupa hilou amaw, huleh, kaansa a siampu lalte kawma pui tum a hi-a hung hilou maw? a chi va. 
ACT.9.22	Hizongleh, Saul chu ahung haat sem a, Hi mi chu Khrist ahi tahtah hi chih hilhchian in, Damaska khua a Juda umte chu a ngaihna he lou in a koih hi. 
ACT.9.23	Huleh, ni tamtah nungin, amah thah tum in Judate a kihou va; 
ACT.9.24	Hizongleh, Saul in a siltup uh ana he a. Huleh, amahun amah thah tum in kulh kotkhaah suun leh jan in a taang uh. 
ACT.9.25	Huin, nungjuite’n amah chu janin a pui va, kulh baangah bawmin a khaikheta uhi.
ACT.9.26	Huleh, Saul Jerusalem a tunin nungjuite kithuahpih a tum a; hizongleh, amahun nungjui ahih ve a gintaat louh jiahun, a lau mahmah uhi. 
ACT.9.27	Hizongleh, Barnaba in amah a pui a, sawllehte kawmah ahung tonpih a, lampi a Lalpa a muh a, a houpihdan bang, huleh, Damaska khua a Jesu min a haangsantaha thu a soidante bang a soita a. 
ACT.9.28	Huchi'n, amah chu Jerusalem khua ah a kawmvah luut jel pawt jelin a umta a. 
ACT.9.29	Lalpa Jesu minin haangsantahin thu a soi a, huleh, Grik-Judate a nial a; hizongleh, amahun amah thah a tum uhi. 
ACT.9.30	Huchu, unaute’n a heettah un, Caesarea khua ah a puisuh va, Tarsa khua ah a sawlmangta uhi. 
ACT.9.31	Huin, kouhtuamte chu Judia gam vel, Galili gam vel, Samaria gam vel ah a det deuhdeuh va; muangtahin a umta uhi, huleh, Lalpa laudan siam in, Hagau Siangthou hamuan in a um va, ahung pung deuhdeuhta uhi.
ACT.9.32	Huleh, hichi ahung hi a, Peter chu amahuh laha vaah leh leh kawmin, Lidda khua a misiangthou umte kawma zong a chiahsuh a. 
ACT.9.33	Huleh, hu ah a min Ainia kichi, a zeng jiaha kum giat lupna a lum zing khat a mu a. 
ACT.9.34	Huleh, Peter in a kawmah, Ainia, Jesu Khrist in ahung sudam hi; thou inla, na puanphah jial in, a chi a. Huchi'n, amah chu a thoupah hi. 
ACT.9.35	Huleh, Lidda leh Saron a umte zousiah in amah chu a mu va, Lalpa lam a ngata uhi. Tabitha (Dorka) sihna apat thohkiitna 
ACT.9.36	Huleh, Joppa khua ah a min Tabitha kichi nungjui khat a um a, (Tabitha umzia chu Dorka ahi) hi numei in silbawl hoih leh silpiah a hau mahmah hi. 
ACT.9.37	Huleh, hichi ahung hi a, hulaiin a chi ana a, a sita a; a sil zohun pindan tungnungah a lumsah uhi. 
ACT.9.38	Huleh, Lidda khua chu Joppa kho kawm ahih jiahin, nungjuite’n Peter hu ah a um chih a ja va, sawt hal loua a kawmva hung diing a va ngen diingin, a kawmah mi nih a sawl va. 
ACT.9.39	Huin, Peter chu a thou a, amahuh geel toh a kitonta a. Ahung tun in, amah chu pindan tungnung ah a pui va; huleh, meithai zousiah a kawma dingin, Dorka a kawmva a dam laia a puannaah bawlte a puan bawlte lah pum in a kap uhi. 
ACT.9.40	Hizongleh, Peter in a bawnun a pawtsah a, a khupdin a, a haamteita a; huleh mi luang lam ngat in, Tabitha, thou in, a chi a. Huleh amahnu’n chu a mit ahung hah a; Peter a muh tahin ahung touta hi. 
ACT.9.41	Huleh, Peter in a khut a pia a, a kaithouta a, huleh, misiangthoute leh meithaite a kou a, dam in a peta hi. 
ACT.9.42	Huleh, hu thu Joppa khua zousiah in a he veh va; huleh, mi tampi in Lalpa a gingta uhi. 
ACT.9.43	Huleh, hichi ahung hi a, Peter chu Joppa khua ah savun bawlpa Simon inn ah ni tampi a taamta hi.
ACT.10.1	Huleh, Caesarea khua ah a min Kornelia kichi mi khat a um a, Italy pawl a chih va sepaih zahoutu ahi a; 
ACT.10.2	Pathian ngaihsahmi ahi a, a innkuante zousiah toh Pathian laudan a siam va, mite kawmah sil tampi a pia a, huleh, Pathian kawmah zong a haamtei zing hi. 
ACT.10.3	Ama’n suun daah kuaahna vel diingin, manglam bangin, chiantahin Pathian angel khat a kawma luut a, Kornelia, chi'n a mu a. 
ACT.10.4	Huin, Kornelia in amah a et leh, a lau a, Lalpa, bang ahitai? a chi a. Huin, angel in a kawmah, Na haamteinate leh na silpiahte heet zing diingin Pathian ma ah ahung tung touta hi. 
ACT.10.5	Huchi'n, tuin Joppa khua ah mi sawl inla, mi khat Simon Peter a chih uh chu va kousah in; 
ACT.10.6	Amah chu tui khang lian gei a um, savun bawlpa Simon inn a tung ahi; ama’n na bawl diing ahung hilh diing hi, a chi a. 
ACT.10.7	Huleh, angel Kornelia houpih khuh a pai tahin, Kornelia in a suaahte laha mi nih leh amah natohsah diingte laha Pathian ngaihsah sepaih khat a kou a; 
ACT.10.8	Huleh, thu zousiah a kawmva a hilh zohin, Joppa khua ah a sawlta hi.
ACT.10.9	A jinga a chiah laiun, huleh khua a tun kuanun, Peter chu haamtei diingin, inn tungah a kaltou a, suun daah guupna hun vel ahi a; 
ACT.10.10	Huleh, a gil ahung kial mahmah a, an neeh a ut a; hizongleh, neeh diing a bawl laiun jelh in ahung umta hi, 
ACT.10.11	Huleh vaan kihongin, bangaha bawm, puan liantah bang, a ning li a khih a, lei a hung kikhaikhesuh in a mu a; 
ACT.10.12	Hu sungah chu leitung a keenglinei ganhing chi chinteng leh, gamsate leh ganhing boh vaahte leh, tungleeng vate a um a. 
ACT.10.13	Huleh a kawmah aw in, Peter, thou in; huleh that inla, ne in, a chi a. 
ACT.10.14	Hizongleh, Peter in, Hilou e, Lalpa; ajiahchu sianglou leh a niin mawngmawng bangmah ka ne ngei sih hi, a chi a. 
ACT.10.15	Huleh aw in a nihveina in, Pathian in ahih siangthousa nang siangthou lou chi sin, a chi a. 
ACT.10.16	Huchibangin thumvei ahung um a, huin bawm chu vaan a khaitouh in a um kiitta hi. 
ACT.10.17	Huleh Peter in manglam banga a silmuh chu a ngaihna thei loua a buai laiin, ngai in, Kornelia mi sawlte’n Simon inn a kandohta va, kotkhah bulah ana diing va; 
ACT.10.18	Huleh a kou va, Simon Peter a chih uh a tun leh tun louh ana dong uh. 
ACT.10.19	Peter in manglam banga a sil muh chu a ngaihtuah laiin, Hagau in a kawmah, ngai in, mi thum in ahung hawl uhi. 
ACT.10.20	Huchi'n thou in, huleh kumkhia inla, bangmah ginglel louin amahuh juiin; amahuh chu ka sawl ahi uh, a chi a. 
ACT.10.21	Huin Peter chu Kornelia mi sawlte kawmah a chiahsuh a, a kawmvah, Ngai un, na hawl uchu ka hi; bang ahiai na hung nasan uh? a chi a. 
ACT.10.22	Huleh amahun, Pathian apata angel siangthou khat in, Kornelia, sepaih zahoutu mi dihtah, Pathian laudan siam, Judami zousiah in a soiphat, kawmah na thusoi a jahna diinga, a inn a nang kousah diingin a hilh hi, a chi va. 
ACT.10.23	Huin amahuh a kou luut a, a giahsahta a. Huleh a jingin Peter amahuh toh a chiah a, huleh Joppa khua a unau kuate aha in amah a kitonpih uhi. 
ACT.10.24	Huleh a jing kiitin Caesarea khua ah a luutta va. Huleh, Kornelia in a tanaute leh a lawm deihtahte koukhawm in, amahuh ana ngaah zing a. 
ACT.10.25	Huleh Peter ahung luut kuanin Kornelia in ana lamtuah a, huleh a keengbulah bohkhup in Pathian biah bangin ana bia a. 
ACT.10.26	Hizongleh Peter in amah chu a kaithou a, Ding in; kei zong mihing ka hi, a chi a. 
ACT.10.27	Huleh amah toh kihoulim kawmin, inn sungah a luut a, mi tamtah umkhawm chu a muta hi. 
ACT.10.28	Huleh a kawmvah, Judami namdang toh kipawl a, a kawmva chiah a si an louhdan na he uh; hizongleh, kuamah sianglou leh niin ka chih diing ahi sih, chih, Pathian in ahung hesah hi. 
ACT.10.29	Hujiahin na hung kouh tahun, nial louin ka hungpah ahi; hujiahin na hung kouhna san uh bang ahiai? chih, ka hung dong ahi, a chi a. 
ACT.10.30	Huin Kornelia in, Ka an ngawlna ni li ahita hi; huleh, ka inn ah, pung kuaahna hunin ka haamteia; huleh, ngai in, mi khat puan vaamtah silh in ka ma ah ahung ding a. 
ACT.10.31	Huleh Kornelia, na haamteina jahin a umta, mi kawma na silpiah zong Pathian in a he zing hi. 
ACT.10.32	Hujiahin Joppa khua ah mi sawl inla, Simon, Peter a chih uh chu na kawmah kouin; amah chu tui khang lian, panga savun bawlpa Simon inn a tung ahi; amah ahung chiangin thu ahung hilh diing hi, a chi a. 
ACT.10.33	Hujiahin, na kawmah mi ka hung sawlpah ahi; na hung hi a hoih hi huchi'n, Pathian in na kawma ahung thupiah zousiah ja diingin, tuin Pathian mitmuh in ka bawnun hi ah ka um uhi, a chi a.
ACT.10.34	Huin Peter in a soi a, Pathian in mi deihsahtuam a nei sih hi, chih dihtahin ka he hi; 
ACT.10.35	Ahihvangin namchin laha kuapouh Amah laudan siam a, dihtaha gamta photmah chu a paahtaat mi ahi veu uhi. 
ACT.10.36	Pathian in hamuanna thu Jesu Khrist mina soi a, Israel haahte kawma a thu thot chu, (Jesu chu mi zousiah Lalpa ahi). 
ACT.10.37	John in a taangkoupih baptisma nungin, thu Galili gam a kipan ahung thang pan a, Judia gam zousiah ah a thang suaah a, nangun na he uhi. 
ACT.10.38	Nazareth Jesu tungtaang thu, Pathian in Amah chu Hagau Siangthou leh silbawltheihna a, a thopdan; Amah chu mi tunga silhoih bawl leh diabol suhduhdah zousiah sudam in a vaah leh a; Pathian a kawma a um jiahin. 
ACT.10.39	Huleh Judate gam leh, Jerusalem khua a a silbawl zousiah heetpihtu ka hi uhi; amah chu singdawn a khai in a sulumta uhi; 
ACT.10.40	Amah chu Pathian in, ni thum niin a kaithou kiit a, chiantahin a musah hi. 
ACT.10.41	Mi zousiah kawmah ahi sih a, hizongleh, Pathian in heetpihtu a guatlawhte kawmah chauh ahi, keiuh misi lah apat a thohkiit nunga a kawma ne a dawnte kawmah. 
ACT.10.42	Huleh Amah chu mihing leh misite tunga vaihawmtu diing a Pathian guat ahi chih, mi kawma taangkoupih diing leh hesah diingin Pathian in thu ahung pia hi. 
ACT.10.43	Kuapouh Amah gingta in a min jalin sualnate ngaihdamna a mu diing uh chih a tanchin chu zawlnei zousiah in ana heetsah sa uh ahi, a chi a.
ACT.10.44	Peter in hi thute a soi laitahin, a thu ja zousiah tung ah, Hagau Siangthou ahung tungta hi. 
ACT.10.45	Huleh zehtante laha gingtute, Peter toh hung zousiahte’n, Hagau Siangthou piah chu Jentelte tunga zong leih ahih jiahin thumah a sa mahmah uhi. 
ACT.10.46	Amahuh chu haam heet louha thu soi in, Pathian phat in a ja ngal va. Huin Peter in a dawng a, 
ACT.10.47	Hi mite eimah banga Hagau Siangthou tang ve chu baptisma a tan louhna diingun mi’n tui zat a khaam thei diviai mah? a chi a. 
ACT.10.48	Huchi'n Lalpa min a baptisma tang diingin thu a pia a. Huin, ni bangzah aha taam diingin a houta uhi.
ACT.11.1	Huleh Judia gam a sawllehte leh unau umte’n Jentelte in zong Pathian thu a pomta uh chih, a jata va. 
ACT.11.2	Huleh Peter chu Jerusalem khua a tuntouh tahin, zehtante’n a kawmah, 
ACT.11.3	Zehtanloute inn ah na luut a, a kawmvah na ne vial a, chi'n a kalh va. 
ACT.11.4	Hizongleh Peter in sil umdan a bul akipatin kijom jelin a kawmvah a hilhchian a, hichia chi'n, 
ACT.11.5	Joppa khua ah haamteiin ka um a; huleh, jelin ka um a, manglam bangin, bangaha bawm, puan liantah bang, a ning li a khih a, vaan akipat a kikhaikhia ka mu a; ka kawm ngeiah ahung tung hi; 
ACT.11.6	Huchu ka en tinten a, ka ngaihtuah a, huleh lei a gamsa keeng li neite, gamsate, ganhingte boh vaahte leh tunga leeng vate ka mu a. 
ACT.11.7	Huleh, aw in, Peter, thou inla; that inla ne in, hung chi'n ka ja a. 
ACT.11.8	Hizongleh ke'n, Lalpa, hilou e, ajiahchu sianglou leh niin mawngmawng bangmah ka kam ah a luut ngei sih, ka chi a. 
ACT.11.9	Hizongleh vaan akipanin aw in, Pathian in a suhsiangsa nang siang lou chi sin, ahung chi kiit a. 
ACT.11.10	Huleh huchibang ngenin thumvei ahung um a, huin a bawnin vaan ah khaitouh in a um kiitta hi. 
ACT.11.11	Huleh ngai un, mi thum Caesarea apat a ka kawma ahung sawl uh ka umna inn ah ana tung uh a. 
ACT.11.12	Huleh Hagau in ginglel lou leh kuamah khentuam nei loua, amahuh jui diingin ahung sawl a. Hi unau guupte’n zong ahung jui va, hu mi inn ah ka luut uhi; 
ACT.11.13	Huleh ama’n ka kawmvah, a inn a angel ding a muhdan leh, angel in a kawma, Joppa khua ah mi sawl inla, Simon Peter a chih uh chu va kousah in; 
ACT.11.14	Ama’n thu ahung hilh diing a, hu thuin nang leh na innkuanpihte huhing in na um diing uh, a chihdan zong ahung hilh hi. 
ACT.11.15	Huleh thu ka soi pat leh, Hagau Siangthou i tunga ahung tun chiil lai mahbangin, a tungvah ahung tungta hi. 
ACT.11.16	Huin Lalpa thu, John in tui in mi a baptis veu a; hizongleh, nangun chu Hagau Siangthou in baptisma na hung tang diing uh, a chih chu ka hung hedoh kiitta hi. 
ACT.11.17	Huchi'n eiuh Lalpa Jesu Khrist gingtate kawma, Pathian in silpiah ahung piah bang a kawmva a piah ve nungin, kei bang giap hi Pathian nial gual ka hiaimah? a chi a. 
ACT.11.18	Hu thu chu a jah tahun a sipta va, Huchi ahihleh, Pathian in Jentelte zong hing diingin a kisiih uh phal ahita ve, chi'n Pathian a phatta uhi.
ACT.11.19	Huleh Stephen jiaha a bawlsiat uh, a taithaangte chu Phoenicia gamte, Cyprus gamte, Antiok khuate tanphain a zin va, Judate kawm chauh ah lou chu kuamah kawmah thu a soi sih uh. 
ACT.11.20	Hizongleh a lahva khenkhat chu Cyprus gam leh Cyrene khua a mite ahi va, hu mite’n Antiok khua a tunun Grikte zong a houpih va, Lalpa Jesu Tanchinpha a hilhta uhi. 
ACT.11.21	Huleh Lalpa khut in amahuh a panpih a, huleh, mi tamtah in a gingta va, Lalpa lam ahung ngatta uhi. 
ACT.11.22	Huin a tanchin thu uh Jerusalem khua a kouhtuam umte bil ah a luutta a; huleh, Antiok khua tung diingin Barnaba a sawlkhia va. 
ACT.11.23	Huleh amah a va tuna Pathian khotuah zia a va muh in a kipaah mahmah a, phatuam ngaitaha Lalpa chu tu zing diingin a bawnun a hasotta hi. 
ACT.11.24	Ajiahchu amah chu mi hoihtah ahi a, Hagau Siangthou leh ginna a dim ahi a, huleh, mi tamtah Lalpa kawmah a telbehta uhi. 
ACT.11.25	Huin Barnaba chu Saul hawl diingin Tarsa khua ah a chiah a, 
ACT.11.26	Huleh amah a muh in Antiok khua ah ahung pui a. Huleh, hichi ahung hi a, kumkhat kouhtuamte kikhopna ah a tel uh a, mi tampi thu a hilh uhi. Huleh, Antiok khua ah, nungjuite chu Khristian a kichi masapen uhi.
ACT.11.27	Huleh hulaiin zawlnei kuate aha Jerusalem khua apatin Antiok khua ah ahung va. 
ACT.11.28	Huleh a lahva mi khat, a min Agaba chu a ding a, khovel zousiah ah kial loupitah tung ding ahi chih, Hagau hilhin a hesah a, hu kial chu Klaudia Kaisar lal laiin ahung tung hi. 
ACT.11.29	Huin nungjuite’n a ngaapdan chiat un, Judia gam a unau umte kawmah panpihna thot a tum uh; 
ACT.11.30	Huchu a bawlta ngei va, Barnaba leh Saul khut ah, upate kawmah a thotta uhi.
ACT.12.1	Huleh hulai velin kumpipa Herod in kouhtuamte laha kuate aha suhduhdah tum in a khut a lehta a. 
ACT.12.2	Huleh John sanggampa Jakob chu namsaau in a saatlum a. 
ACT.12.3	Huleh hihin Judate a kipaahsah chih a muh jiahin, Peter zong mat a tum sawn a (Hulai chu tanghou tol sohlouh nite a hi). 
ACT.12.4	Huleh, amah a mat tahin suangkul ah a khum a, sepaih honli li chiat jelin a veen kheelsah a; chiahkaan kuut zohin mipite kawmah puidoh a tum hi.
ACT.12.5	Hujiahin Peter chu suangkul ah a koih tadih a; hizongleh, kouhtuamte’n amah diingin phatuamngaitahin Pathian kawmah a haamteisah zing uhi. 
ACT.12.6	Huleh Herod in a puidoh diing ni, hu jan ngei in Peter chu sepaih nih kikal ah khainiang nih bulh in a ihmu a; huleh, a veengtute’n zong kotkhaah bul a um in suangkul chu a veeng uhi. 
ACT.12.7	Huleh ngai in, Lalpa angel khat a kawmah a hung a, suangkul sungah vaah ahung taangta a, huleh Peter chu a pang beeng in a phawng a, Thou kin in, a chi a, Huleh khainiangte a khut apat a keta hi. 
ACT.12.8	Huin angel in a kawmah, Na kawng gaah inla, na keengtophah but in, a chi a. Huleh ama’n huchibangin ahih a. Huin angel in a kawmah, Na puan silh inla, hung jui in, a chi a. 
ACT.12.9	Huin Peter chu a pawt a, a juita a; angel silbawl chu a tah ahih a he sih a; manglama a muh a sa zaw hi. 
ACT.12.10	Veengtu masa leh a nihna a pelh nungun, khopi luutna siihkot chu a tungta va; Huchu amahuh diingin amahin ahung kihongta hi; huleh a pawt va, kotzing khat a paipeel va; huin angel in a paisanpahta hi. 
ACT.12.11	Huleh Peter a halh tahin, Lalpa’n angel ahung sawl a, Herod khut leh Juda mite kinepna zousiah akipanin ahung hundohta chih tuin chiantahin ka heta, a chi a. 
ACT.12.12	Huleh hu sil a ngaihtuah zohin, John, Mark a chih uh nu Mari inn ah a va chiah a; hu ah chu haamteina nei in mi tamtah ana umkhawm uhi. 
ACT.12.13	Huleh Peter in kotkhaah a kiuh tahin, a min Rhoda kichi nungaah khat a dawng diingin a hung a. 
ACT.12.14	Huleh Peter aw ahih a heet tahin a kipaah jiahin kot chu hong louin a tai luut kiit zawta a, Peter kotkhaah bul ah a ding chih a va soi hi. 
ACT.12.15	Amahun a kawmah, Angol hi teh, a chi va. Hizongleh ama’n chu thudih ahi chi'n a pang teitei a. Huin, amahun a angel ahi, a chi va. 
ACT.12.16	Hizongleh Peter in chu kot a kiukiu a; huleh kot chu a hon tahun, amah a mu va, limdang a sa mahmah uhi. 
ACT.12.17	Hizongleh ama’n a sipna diingun a khut in a jap a, Pathian in suangkul apat amah a puidohdan chu a hilhta a. Hi thute Jakob leh unaute kawmah va hilh un, a chi a. Huin a pawt a, mun dang ah a chiahta hi. 
ACT.12.18	Huin ni a suah tahin, sepaih haw chu Peter khoia um ahiai? chi'n buai chihtahin a buaita uhi. 
ACT.12.19	Huleh, Herod in a hawl a, a muh louh tahin, a veengtute chu a endih a, thah diingin thu a peta hi. Huin Herod chu Juda gam a kipan Caesarea khua ah a chiahsuh a, hu ah a um zingta hi.
ACT.12.20	Huleh Herod chu Tura leh Sidon khua a mite tungah a lungkim sih mahmah a; hizongleh, amahun Blasta kumpipa innsung vaipotu chu a kizolhpih va, thukhat a luang in a kawmah a hung va, a khaw lamte uh chu kumpipa khawlama buh po jel ahih jiahun kilemna a ngen uh. 
ACT.12.21	Huleh a ni chiam niin Herod in a lalpuan a silh a, a laltouphah tungah a tou a, a kawmvah thu a soi hi. 
ACT.12.22	Huleh mipi chu kikou in, Hi chu Pathian aw ahi, mihinga ahi sih, a chi va. 
ACT.12.23	Huleh Pathian kawma paahtawina a piah louh jiahin, Lalpa angel in amah a manpah ngal a; huut in a ne a, a sita hi. 
ACT.12.24	Hizongleh Pathian thu chu a dalh a, a pung jel hi. 
ACT.12.25	Huleh Barnaba leh Saul chu a natoh uh a zohun, Jerusalem khua akipat a kiih kiitta va, John, a mintah Mark chu a kawmvah a pui uhi.
ACT.13.1	Huleh Antiok khua a kouhtuam umte laha zawlneite leh thuhilhtute a um va; hute chu Barnaba, Simeon, Nigar a chih uh te, Cyrene khua a um Lusia, kumpipa Herod toh khang khawm Manaen, leh Saul te ahi uh. 
ACT.13.2	Huchia Lalpa nna tong a an a ngawl laiun, Hagau Siangthou in, Barnaba leh Saul keimah nna tong diingin hung khenkhiahsah un, a chi a.
ACT.13.3	Huleh an a ngawl va a haamtei zohun, a tungvah a khut uh a nga va, a chiahsahta uhi. 
ACT.13.4	Huchi'n Hagau Siangthou sawldoh in a chiah va, Seliusia khua ah a chiahsuh va, hu akipatin Cyprus lamah kuang in a chiahta uhi. 
ACT.13.5	Huleh Salamis khua a a um laiun, Judate kikhopna innte ah Pathian thu a soi va; huleh John zong a nna uh tohsah diingin a pui uhi.
ACT.13.6	Huleh Cyprus tuikulh gam chu tawnsuah in Paphos khua ah a tungva, huah dawisiam zawlnei heem Judami khat a mu va, a min chu Bar-Jesu ahi a. 
ACT.13.7	Hu mi chu gamoptu Serjia Paulus mipiltah kawma um ahi; hu gamoptu’n Saul leh Barnaba chu a kou a, Pathian thu jah a ut a. 
ACT.13.8	Hizongleh Elima (Bar-Jesu min dang umzia ahi), dawisiampa’n gamoptu chu gin louhsah tum in, amahuh chu ana doudaal hi. 
ACT.13.9	Huin Saul, (Paul a chih mah uh) chu Hagau Siangthou in a dim a, amah chu a ensaal a, 
ACT.13.10	Huin, Aw Nang mi heem leh hoih louhna chintenga dimpa, nang diabol tapa, nang dihtatna zousiah meelmapa, Lalpa lam dihtahte suhsiat tawplou diing na hi maw? 
ACT.13.11	Huleh tuin, ngai in, Lalpa khut na tungah a tu ahi, na mit ahung taw diing a, bangtan aha khovaah mu louin na um diing, a chi a. Huin, thakhat in mei leh mial a tungah ahung kia a; khuta kaitu diing hawl in a vaah lehlehta hi. 
