GEN.1.1	In het begin maakte God de hemelen en de aarde. 
PSA.20.2	dat de naam van de God van Jakob
PSA.20.2	u sterk zal maken.
PSA.20.3	Ik bid dat Hij
PSA.20.3	u te hulp komt vanuit zijn heiligdom
PSA.20.3	en u steunt vanuit Jeruzalem.
PSA.20.4	Ik bid dat Hij Zich
PSA.20.4	al uw offers zal herinneren
PSA.20.4	en uw brandoffer met blijdschap zal aannemen.
PSA.20.5	Ik bid dat Hij
PSA.20.5	u geeft wat uw hart verlangt
PSA.20.5	en dat Hij al uw plannen laat gelukken.
PSA.20.6	Wij willen juichen
PSA.20.6	over de overwinningen die U geeft
PSA.20.6	en in de naam van onze God
PSA.20.6	de vlaggen omhoogsteken.
PSA.20.6	Ik bid dat de 
PSA.20.6	al uw verlangens zal vervullen.
PSA.20.7	Ik weet nu zeker
PSA.20.7	dat de 
PSA.20.7	zal laten overwinnen.
PSA.20.7	Vanuit de hemel geeft Hij
PSA.20.7	hem altijd antwoord.
PSA.20.7	Dat blijkt uit
PSA.20.7	de machtige daden die Hij doet.
PSA.20.8	Sommige mensen verwachten
PSA.20.8	alles van hun strijdwagens,
PSA.20.8	anderen snoeven over hun paarden,
PSA.20.8	maar wij stellen onze verwachting
PSA.20.8	op de naam van de 
PSA.20.9	Die anderen komen
PSA.20.9	allemaal ten val,
PSA.20.9	maar wij blijven overeind
PSA.20.9	en kunnen standhouden.
PSA.20.10	Och 
PSA.20.10	geef onze koning de overwinning!
PSA.20.10	Ik bid dat de 
PSA.20.10	wanneer wij tot Hem roepen.
PSA.21.1	Een psalm van David voor de koordirigent.
PSA.21.2	over uw macht,
PSA.21.2	met vreugde spreekt hij
PSA.21.2	over het heil dat U geeft.
PSA.21.3	U vervulde
PSA.21.3	zijn grootste wens.
PSA.21.3	Wat hij U vroeg,
PSA.21.3	hebt U hem niet geweigerd.
PSA.21.4	U komt hem tegemoet
PSA.21.4	met overvloed
PSA.21.4	en geeft hem
PSA.21.4	een prachtige gouden kroon.
PSA.21.5	Hij vroeg U
PSA.21.5	te mogen leven,
PSA.21.5	dat stond U hem toe
PSA.21.5	tot in hoge ouderdom.
PSA.21.6	Dankzij U
PSA.21.6	is hij beroemd en geëerd.
PSA.21.6	U gaf hem
PSA.21.6	aanzien en majesteit.
PSA.21.7	U zegent hem rijk
PSA.21.7	en geeft hem
PSA.21.7	een hart vol blijdschap.
PSA.21.8	Allemaal omdat de koning
PSA.21.8	op de 
PSA.21.8	door de goedheid en de liefde
PSA.21.8	van God, de Allerhoogste,
PSA.21.8	faalt hij niet.
PSA.21.9	Wie U haten,
PSA.21.9	zullen niet aan U ontkomen.
PSA.21.10	Wanneer U komt, 
PSA.21.10	zullen zij door uw toorn verbranden,
PSA.21.10	U zult hen vernietigen.
PSA.21.10	In het vuur zullen zij omkomen.
PSA.21.11	Zelfs hun kinderen
PSA.21.11	zult U wegdoen van deze aarde
PSA.21.11	en hun nageslacht zal niet bestaan.
PSA.21.12	Als zij proberen U kwaad te doen
PSA.21.12	en slechte plannen maken,
PSA.21.12	zal dat hun niet lukken.
PSA.21.13	U laat hen vluchten,
PSA.21.13	U richt uw pijlen op hun gezicht.
PSA.21.14	Toon uw kracht, 
PSA.21.14	dan zullen wij
PSA.21.14	liederen zingen tot uw eer.
PSA.22.1	Een psalm van David voor de koordirigent.
PSA.22.1	Te zingen op de wijs van ‘De hinde in de morgenstond.’
PSA.22.2	O God, mijn God,
PSA.22.2	waarom hebt U mij verlaten?
PSA.22.2	Ik schreeuw om uitkomst,
PSA.22.2	maar die is ver van mij.
PSA.22.2	Ik huil om hulp.
PSA.22.3	O mijn God,
PSA.22.3	ik roep overdag naar U,
PSA.22.3	maar krijg geen antwoord.
PSA.22.3	Ook ʼs nachts roep ik,
PSA.22.3	maar ik krijg geen rust.
PSA.22.4	U bent de heilige God,
PSA.22.4	Israël eert U en brengt U hulde:
PSA.22.5	op U vertrouwden onze voorouders
PSA.22.5	en U redde hen.
PSA.22.6	Zij riepen naar U
PSA.22.6	en U hielp hen.
PSA.22.6	U hebt hun vertrouwen niet beschaamd.
PSA.22.7	Maar ik lijk meer op een worm
PSA.22.7	dan op een man,
PSA.22.7	mensen bespotten mij
PSA.22.7	en het volk kijkt verachtelijk op mij neer.
PSA.22.8	Ieder die mij ziet,
PSA.22.8	lacht mij uit.
PSA.22.8	Zij grijnzen verachtelijk
PSA.22.8	en zeggen hoofdschuddend:
PSA.22.9	‘Breng het toch bij de 
PSA.22.9	laat Hij u verlossen.
PSA.22.9	Hij zal u vast wel redden,
PSA.22.9	Hij houdt immers van u?’
PSA.22.10	U, 
PSA.22.10	U legde mij veilig aan de borst van mijn moeder.
PSA.22.11	Bij mijn geboorte werd ik aan U opgedragen,
PSA.22.11	al sinds die tijd bent U mijn God.
PSA.22.12	Laat er dan niet zoʼn afstand zijn tussen U en mij,
PSA.22.12	want ik zit diep in de problemen
PSA.22.12	en geen mens helpt mij.
PSA.22.13	Ik sta midden tussen een hele groep stieren
PSA.22.13	en ben omsingeld door buffels van Basan.
PSA.22.14	Zij brullen tegen mij, met wijd geopende bekken.
PSA.22.14	Het lijken verscheurende, brullende leeuwen.
PSA.22.15	Ik voel mij als water dat wegloopt,
PSA.22.15	al mijn beenderen zijn ontwricht.
PSA.22.15	Mijn hart lijkt op gesmolten was,
PSA.22.15	ik voel het bijna niet meer kloppen.
PSA.22.16	Mijn keel is uitgedroogd
PSA.22.16	en lijkt op een droge scherf.
PSA.22.16	Mijn tong kleeft aan mijn verhemelte,
PSA.22.16	ik heb het gevoel of U mij in het stof van de dood legt.
PSA.22.17	Er staan honden om mij heen,
PSA.22.17	misdadigers omringen mij.
PSA.22.17	Zij doorsteken mijn handen en voeten.
PSA.22.18	Ik kan mijn beenderen tellen.
PSA.22.18	Zij vermaken zich door naar mij te komen kijken.
PSA.22.19	Zij verdelen mijn kleren onder elkaar
PSA.22.19	en loten wie mijn mantel mag hebben.
PSA.22.20	Kom snel bij mij en help mij!
PSA.22.20	U bent immers mijn kracht?
PSA.22.21	Red mijn leven
PSA.22.21	en voorkom dat ik door het zwaard word gedood.
PSA.22.21	Ik ben eenzaam zonder U.
PSA.22.21	Wend het geweld van deze honden van mij af.
PSA.22.22	Bevrijd mij uit de muil van de leeuw
PSA.22.22	en bescherm mij tegen de horens van de buffels.
PSA.22.22	U hebt mij antwoord gegeven!
PSA.22.23	Ik zal mijn broeders uw naam bekendmaken,
PSA.22.23	te midden van de gelovigen zal ik een lied zingen tot uw eer!
PSA.22.24	U die ontzag voor de 
PSA.22.24	Verhoog Hem, volk van Israël,
PSA.22.24	heb diep ontzag voor de 
PSA.22.25	Want Hij veracht de zwakke niet.
PSA.22.25	Hij is niet te goed om te helpen.
PSA.22.25	Hij hoort het
PSA.22.25	wanneer Hij te hulp wordt geroepen.
PSA.22.26	Te midden van vele gelovigen zal ik U lofprijzen.
PSA.22.26	Mijn geloften zal ik nakomen
PSA.22.26	tegenover ieder die leeft in ontzag voor God.
PSA.22.27	De armen zullen te eten hebben
PSA.22.27	en geen honger meer kennen.
PSA.22.27	Zij die de 
PSA.22.27	zullen Hem loven en prijzen.
PSA.22.27	Moge het u altijd goed gaan.
PSA.22.28	Over de hele wereld
PSA.22.28	zal men de 
PSA.22.28	en zich tot Hem bekeren.
PSA.22.28	Alle volken zullen voor U buigen.
PSA.22.29	Het Koninkrijk is van de 
PSA.22.29	Hij heerst over alle volken.
PSA.22.30	Over de hele wereld zullen rijke mensen Hem aanbidden.
PSA.22.30	Maar ook arme mensen,
PSA.22.30	die zichzelf amper in het leven kunnen houden,
PSA.22.30	knielen voor Hem neer.
PSA.22.31	Het nageslacht zal Hem dienen
PSA.22.31	en ieder vertelt zijn kinderen over Hem.
PSA.22.32	Zij zullen zijn recht en goedheid doorgeven
PSA.22.32	aan allen die nog geboren moeten worden,
PSA.22.32	omdat Hij alles heeft volbracht.
PSA.23.1	Een psalm van David.
PSA.23.1	De 
PSA.23.1	dus heb ik alles wat ik nodig heb!
PSA.23.2	Hij laat mij uitrusten in een groene weide
PSA.23.2	en wijst mij de weg langs kabbelende beekjes.
PSA.23.3	Hij verfrist mijn innerlijk
PSA.23.3	en leidt mij op de weg waar zijn recht geldt,
PSA.23.3	tot eer van zijn naam.
PSA.23.4	Zelfs als ik door een donker dal moet lopen,
PSA.23.4	ben ik niet bang,
PSA.23.4	want U bent dicht bij mij.
PSA.23.4	Uw herdersstaf beschermt mij
PSA.23.4	en begeleidt mij heel de weg.
PSA.23.5	U bereidt een feestmaal voor mij,
PSA.23.5	waar mijn vijanden bij zijn.
PSA.23.5	U zalft mijn hoofd,
PSA.23.5	als bij een persoonlijke gast,
PSA.23.5	mijn beker vloeit over van uw zegen!
PSA.23.6	Uw goedheid, liefde en trouw
PSA.23.6	mag ik mijn hele leven ervaren
PSA.23.6	en daarna mag ik voor eeuwig
PSA.23.6	bij U wonen in uw huis.
PSA.24.1	Een psalm van David.
PSA.24.1	De aarde en al haar rijkdom
PSA.24.1	zijn van de 
PSA.24.2	Hij drong het water terug,
PSA.24.2	zodat droog land tevoorschijn kwam.
PSA.24.3	Wie kan de berg van de 
PSA.24.3	en binnengaan in de plaats waar Hij woont?
PSA.24.3	Wie kan voor de 
PSA.24.4	Alleen zij die schone handen en zuivere harten hebben,
PSA.24.4	die zich niet inlaten met oneerlijkheid en leugens.
PSA.24.5	Zij zullen als een zegen van God
PSA.24.5	zijn goedheid in hun leven ervaren.
PSA.24.5	Die reikt Hij, hun verlosser, hun Zelf toe.
PSA.24.6	Zij mogen voor de 
PSA.24.6	en Hem, de God van Jakob, hulde brengen.
PSA.24.7	Ga toch open, eeuwenoude poorten,
PSA.24.7	en laat de geëerde Koning binnen!
PSA.24.8	Wie die geëerde Koning is?
PSA.24.8	De 
PSA.24.8	onoverwinnelijk in de strijd!
PSA.24.9	Ja, zet de poorten wijd open
PSA.24.9	en laat de geëerde Koning binnengaan.
PSA.24.10	Wie die geëerde Koning is?
PSA.24.10	Hij is de 
PSA.24.10	Hij is de Koning, die alle eer toekomt.
PSA.25.1	Een lied van David.
PSA.25.1	Mijn hele wezen is op U gericht, 
PSA.25.2	Laat mij niet in de steek, Here,
PSA.25.2	want ik vertrouw helemaal op U.
PSA.25.2	Zorg dat mijn vijanden mij niet overwinnen.
PSA.25.3	Niemand die in God gelooft en op Hem vertrouwt,
PSA.25.3	zal in Hem teleurgesteld worden.
PSA.25.3	Maar zij die zich onverschillig van U afkeren,
PSA.25.3	zullen de nederlaag lijden.
PSA.25.4	Toont U mij de paden waarover ik gaan moet, 
PSA.25.4	Wilt U de wegen wijzen die U goed voor mij vindt?
PSA.25.5	Wijst U mij de weg van uw waarheid.
PSA.25.5	Ik wil van U leren, want U bent de God
PSA.25.5	van wie ik mijn hulp verwacht.
PSA.25.5	Op U vestig ik mijn hoop, elke dag van mijn leven.
PSA.25.6	Wilt U naar mij kijken
PSA.25.6	met ogen vol genade en vergeving,
PSA.25.6	met eeuwige liefde en vriendelijkheid?
PSA.25.7	Wilt U voorbijgaan aan de zonden
PSA.25.7	die ik in mijn jeugd begaan heb, 
PSA.25.8	De 
PSA.25.8	en graag bereid hun die dreigen te verdwalen,
PSA.25.8	de juiste weg te tonen.
PSA.25.9	Hij zal de beste weg tonen aan hen
PSA.25.9	die zich in hun afhankelijkheid tot Hem richten.
PSA.25.10	Als wij Hem dan gehoorzamen,
PSA.25.10	zal elk pad waarop Hij ons leidt,
PSA.25.10	getooid zijn met zijn liefdevolle goedheid en waarheid.
PSA.25.11	Maar 
PSA.25.11	Och, wilt U die vergeven tot eer van uw naam?
PSA.25.12	Waar is de man die ontzag heeft voor de 
PSA.25.12	God zal hem leren hoe hij steeds de juiste keus kan maken.
PSA.25.13	Hij mag leven onder Gods zegen
PSA.25.13	en zijn kinderen zullen het land in bezit nemen.
PSA.25.14	De vriendschap met God is
PSA.25.14	voor hen die Hem eerbied bewijzen.
PSA.25.14	Zij zullen de geheimen, verborgen in zijn beloften, leren kennen.
PSA.25.15	Ik kijk voortdurend op naar de 
PSA.25.15	want alleen Hij kan mij redden.
PSA.25.16	Kom toch, 
PSA.25.16	want ik ben eenzaam en diep wanhopig.
PSA.25.17	Mijn zorgen nemen toe,
PSA.25.17	lost U ze toch voor mij op!
PSA.25.18	Kijk eens wat een zorgen ik heb!
PSA.25.18	Voelt U mijn pijn?
PSA.25.18	Vergeef mij mijn zonden!
PSA.25.19	Ziet U hoeveel vijanden ik heb
PSA.25.19	en hoe hartgrondig zij mij haten?
PSA.25.20	Red mij uit hun handen en bevrijd mij uit hun macht!
PSA.25.20	Och, laat toch nooit van mij gezegd kunnen worden
PSA.25.20	dat ik vergeefs op U heb gehoopt!
PSA.25.21	Voorzie mij van godsvrucht en integriteit
PSA.25.21	alsof het mijn lijfwachten zijn,
PSA.25.21	want ik verwacht dat U mij zult beschermen.
PSA.25.22	O God, wilt U Israël bevrijden uit alle moeilijkheden?
PSA.26.1	Een lied van David.
PSA.26.1	Laat het recht over mij zegevieren, 
PSA.26.1	want ik ben onschuldig.
PSA.26.1	Ik vertrouwde op de 
PSA.26.1	zonder uit mijn evenwicht te raken.
PSA.26.2	Stel mij maar op de proef, 
PSA.26.2	en ga na of er iets fout is.
PSA.26.2	Beoordeel mijn hele leven,
PSA.26.2	ja, ook mijn gedachten.
PSA.26.3	Ik houd steeds uw goedheid en liefde voor ogen.
PSA.26.3	Ik ga mijn weg in uw waarheid.
PSA.26.4	Nooit zoek ik contact met slechte mensen
PSA.26.4	en de huichelaars mijd ik.
PSA.26.5	Ik wil niet omgaan met misdadigers
PSA.26.5	en zal mij nooit bemoeien met de goddelozen.
PSA.26.6	Ik was mijn handen in onschuld
PSA.26.6	en kom graag bij uw altaar, 
PSA.26.7	Ik zing daar uit volle borst een lied om U te loven
PSA.26.7	en vertel er over uw wonderen.
PSA.26.8	de plaats waar U Zelf immers woont!
PSA.26.9	Laat mij niet met de zondaars
PSA.26.9	en moordenaars verloren gaan.
PSA.26.10	Aan hun handen kleeft de misdaad
PSA.26.10	en zij nemen geschenken aan als verradersloon.
PSA.26.11	Niets van deze dingen heb ik gedaan,
PSA.26.11	verlos mij en toon mij uw genade.
PSA.26.12	Ik ben op het rechte pad.
PSA.26.12	Ik zal de 
PSA.27.1	Een lied van David.
PSA.27.1	De 
PSA.27.1	Voor wie zou ik dan bang zijn?
PSA.27.1	De 
PSA.27.1	Zou ik dan nog angst voor iemand hebben?
PSA.27.2	Toen de misdadigers, mijn vijanden,
PSA.27.2	kwamen om mij te vernietigen,
PSA.27.2	zijn zij zelf gestruikeld en gevallen.
PSA.27.3	Al komt een heel leger op mij af,
PSA.27.3	ik word niet bang.
PSA.27.3	Al wordt er oorlog tegen mij gevoerd,
PSA.27.3	ik blijf toch vertrouwen!
PSA.27.4	Ik heb de 
PSA.27.4	daar gaat mijn hele hart naar uit:
PSA.27.4	dat ik mijn hele leven in het huis van de 
PSA.27.4	Om de lieflijkheid van de 
PSA.27.4	en steeds meer over Hem te leren in zijn tempel.
PSA.27.5	Want wanneer kwade tijden aanbreken,
PSA.27.5	verbergt Hij mij in zijn hut.
PSA.27.5	Hij verstopt mij in zijn tent,
PSA.27.5	op een plaats die niemand kent.
PSA.27.5	Hij zet mij hoog op een rots.
PSA.27.6	Daarom kan ik mijn hoofd opheffen.
PSA.27.6	Ik kijk over al mijn vijanden heen.
PSA.27.6	Daarom wil ik Hem offers brengen met luid trompetgeschal.
PSA.27.6	Ik wil zingen voor de 
PSA.27.6	psalmen zingen voor Hem.
PSA.27.7	Luister, 
PSA.27.7	Wees zo goed mij te antwoorden
PSA.27.7	en geef mij genade.
PSA.27.8	U Zelf laat mijn hart naar U vragen.
PSA.27.8	Ik wil U zoeken, 
PSA.27.9	Verberg U niet voor mij
PSA.27.9	en stuur mij niet toornig weg.
PSA.27.9	U bent altijd mijn hulp.
PSA.27.9	Laat mij niet in de steek
PSA.27.9	en stoot mij niet van U af,
PSA.27.9	God van mijn heil.
PSA.27.10	Al zouden mijn vader en moeder mij in de steek laten,
PSA.27.10	de 
PSA.27.11	Leer mij uw bedoelingen, 
PSA.27.11	en laat mij op een vlakke weg lopen,
PSA.27.11	zodat mijn vijanden mij niet kunnen pakken.
PSA.27.12	Geef mij niet over aan mijn tegenstanders.
PSA.27.12	Er wordt vals tegen mij getuigd
PSA.27.12	en geweldenaars bedreigen mij.
PSA.27.13	Gelukkig wist ik zeker
PSA.27.13	dat de goedheid van de 
PSA.27.13	Hij spaarde mijn leven!
PSA.27.14	Wees sterk en wacht op de 
PSA.27.14	Laat uw hart sterk zijn en krachtig
PSA.27.14	door altijd op de 
PSA.28.1	Door David.
PSA.28.1	Ik roep naar U, 
PSA.28.1	Keer U niet zonder te spreken van mij af.
PSA.28.1	Want als U tegen mij blijft zwijgen,
PSA.28.1	zal ik sterven.
PSA.28.2	Luister toch naar mijn luide smeekbeden.
PSA.28.2	Ik hef mijn handen naar U omhoog in uw heiligdom.
PSA.28.3	Vernietig mij niet samen met de goddelozen
PSA.28.3	of met andere misdadigers.
PSA.28.3	Die spreken wel vriendelijk met anderen,
PSA.28.3	maar in hun hart haten zij hen.
PSA.28.4	Geef hun wat zij verdienen, loon naar werken.
PSA.28.4	Vergeld hun naar hun handelwijze.
PSA.28.5	De 
PSA.28.5	en niet meer herstellen,
PSA.28.5	omdat zij geen oog hebben voor wat Hij doet
PSA.28.5	en niets begrijpen van zijn werken.
PSA.28.6	Ik loof de 
PSA.28.6	want Hij heeft mijn luide smeekbeden gehoord.
PSA.28.7	De 
PSA.28.7	Hij is het schild waarachter ik schuil.
PSA.28.7	Mijn hart heeft op Hem vertrouwd
PSA.28.7	en Hij heeft mij geholpen.
PSA.28.7	Mijn hart juicht en ik prijs Hem met mijn lied.
PSA.28.8	De 
PSA.28.8	Hij is een beschermende vesting
PSA.28.8	voor hem die Hij heeft gezalfd.
PSA.28.9	Maak uw volk vrij en zegen wie van U zijn.
PSA.28.9	Zorg voor hen als een herder voor zijn schapen
PSA.28.9	en bescherm hen tot in eeuwigheid.
PSA.29.1	Door David.
PSA.29.1	Geef de 
PSA.29.1	Bewijs Hem eer
PSA.29.1	en prijs zijn grootheid en zijn kracht.
PSA.29.2	Prijs zijn naam
PSA.29.2	en buig u neer voor zijn heilige verschijning.
PSA.29.3	De stem van de 
PSA.29.3	De Almachtige God laat de donder weergalmen.
PSA.29.3	De 
PSA.29.4	De stem van de 
PSA.29.4	De stem van de 
PSA.29.5	De stem van de 
PSA.29.5	zelfs de ceders van de Libanon.
PSA.29.6	De bomen van de Libanon springen op als kalveren
PSA.29.6	en de bomen van de Hermon als woudossen.
PSA.29.7	De stem van de 
PSA.29.8	De stem van de 
PSA.29.8	De woestijn van Kades beeft onder zijn stem.
PSA.29.9	De stem van de 
PSA.29.9	De stem van de 
PSA.29.9	In zijn paleis brengt iedereen Hem eer.
PSA.29.10	De 
PSA.29.10	Hij is de verheven Koning tot in eeuwigheid.
PSA.29.11	De 
PSA.29.11	en zegenen door het vrede te geven.
PSA.30.1	Een psalm van David. 
PSA.30.2	Ik geef U alle eer en lof, 
PSA.30.2	want U hebt mij uit de put gehaald.
PSA.30.2	U zorgde ervoor dat mijn vijanden
PSA.30.2	geen leedvermaak over mij konden hebben.
PSA.30.3	Naar U heb ik geroepen om hulp,
PSA.30.3	en U hebt mij genezen.
PSA.30.4	U gaf mij het leven terug
PSA.30.4	en redde mij van de dood.
PSA.30.4	Ik hoefde nog niet te sterven.
PSA.30.5	Laten al zijn volgelingen
PSA.30.5	psalmen zingen voor de 
PSA.30.5	en zijn heilige naam loven en prijzen.
PSA.30.6	Want zijn toorn
PSA.30.6	duurt niet lang,
PSA.30.6	maar zijn liefde
PSA.30.6	mogen wij ons hele leven ervaren.
PSA.30.6	ʼs Avonds
PSA.30.6	is er droefheid,
PSA.30.6	maar ʼs morgens
PSA.30.6	klinkt gejuich.
PSA.30.7	In mijn overmoed dacht ik altijd
PSA.30.7	dat mij nooit iets zou overkomen,
PSA.30.8	want U, 
PSA.30.8	en ik stond stevig als een berg.
PSA.30.8	Maar zodra U Zich voor mij verborg,
PSA.30.8	was ik alle houvast kwijt.
PSA.30.9	Ik riep U, 
PSA.30.9	en ik smeekte U om genade:
PSA.30.10	‘Wat heeft het voor zin
PSA.30.10	als ik sterf en begraven word?
PSA.30.10	Het stof kan U niet eren en prijzen
PSA.30.10	of vertellen over uw trouw!
PSA.30.11	Luister toch, 
PSA.30.11	Och 
PSA.30.12	U veranderde mijn droevig gebed
PSA.30.12	in een blij danklied.
PSA.30.12	U nam mij mijn rouwkleding af
PSA.30.12	en bekleedde mij met vreugde.
PSA.30.13	Zodat ik voortdurend lofliederen voor U zou zingen.
PSA.30.13	ik zal U altijd blijven prijzen.
PSA.31.1	Een psalm van David voor de koordirigent.
PSA.31.2	Ik verberg mij bij U, 
PSA.31.2	Geef dat ik nooit tevergeefs bij U aanklop.
PSA.31.2	Doe mij recht en bevrijd mij.
PSA.31.3	Luister toch naar mij en red mij vlug.
PSA.31.3	Wees voor mij als een rots die beschutting biedt,
PSA.31.3	als een sterke burcht, zodat ik word gered.
PSA.31.4	Want U bent voor mij een rots en een burcht,
PSA.31.4	om de eer van uw naam
PSA.31.4	zult U mij leiden op mijn weg.
PSA.31.5	U zult mij redden uit de valstrik
PSA.31.5	die voor mij was uitgezet.
PSA.31.5	Ik vertrouw U helemaal.
PSA.31.6	Mijn leven leg ik in uw handen,
PSA.31.6	want U zult mij zeker bevrijden,
PSA.31.7	Ik haat mensen die waarde hechten
PSA.31.7	aan onbelangrijke en ijdele dingen.
PSA.31.7	Zelf vertrouw ik alleen op de 
PSA.31.8	Ik zing het uit
PSA.31.8	en verblijd mij over uw goedheid en liefde.
PSA.31.8	Want U hebt naar mij omgezien
PSA.31.8	in mijn ellendige toestand,
PSA.31.8	U kende mijn angst en spanningen.
PSA.31.9	U zorgde ervoor dat de vijand
PSA.31.9	mij niet de baas werd.
PSA.31.9	U hebt mij alle ruimte gegeven.
PSA.31.9	Ik kon gaan waar ik wilde.
PSA.31.10	Help mij met uw genade, 
PSA.31.10	ik heb het zó moeilijk!
PSA.31.10	Alles in mij kwijnt weg van narigheid.
PSA.31.10	Het verdriet overmant mij!
PSA.31.11	Mijn leven gaat voorbij in verdriet
PSA.31.11	en jarenlang leef ik zuchtend.
PSA.31.11	Door mijn eigen slechtheid
PSA.31.11	heb ik geen kracht meer over
PSA.31.11	en lichamelijk ga ik alleen maar achteruit.
PSA.31.12	Voor hen die het mij moeilijk maken,
PSA.31.12	ben ik een mikpunt van spot geworden,
PSA.31.12	vooral voor mijn buren.
PSA.31.12	Vrienden en bekenden schrikken als zij mij zien.
PSA.31.12	Wie mij op straat tegenkomt, maakt rechtsomkeert.
PSA.31.13	Men denkt niet meer aan mij,
PSA.31.13	het lijkt wel of ik dood ben voor anderen.
PSA.31.13	Als gebroken servies ben ik, waardeloos.
PSA.31.14	Ik hoor het wel hoe men achter mijn rug over mij praat.
PSA.31.14	De achterklap: ‘Heb je hém gezien?’
PSA.31.14	Zij overleggen met elkaar
PSA.31.14	en maken plannen mij van het leven te beroven.
PSA.31.15	Toch is mijn vertrouwen op U gevestigd, 
PSA.31.15	ik spreek het ook tegen U uit:
PSA.31.15	‘U bent mijn God.
PSA.31.16	U bepaalt hoelang ik leef,
PSA.31.16	verlos mij van mijn vijanden en achtervolgers.
PSA.31.17	Laat uw licht over mij, uw dienaar, schijnen
PSA.31.17	en bevrijd mij door uw goedheid en trouw.
PSA.31.18	Ik roep tot U, 
PSA.31.18	beschaam mijn vertrouwen niet.
PSA.31.18	Laat hen die zonder U leven,
PSA.31.18	beschaamd staan.
PSA.31.18	Breng hen tot zwijgen in het dodenrijk.
PSA.31.19	Breng de leugenaars tot zwijgen.
PSA.31.19	Die spreken toch alleen maar trots en smalend tegen uw volgeling.
PSA.31.20	Wat een geweldige rijkdom wacht degenen
PSA.31.20	die ontzag voor U hebben, allen die bij U schuilen.
PSA.31.20	Zelfs de ongelovigen zullen het zien.
PSA.31.21	U verbergt de uwen en beschermt hen
PSA.31.21	tegen de aanvallen van de mensen.
PSA.31.21	U neemt hen op in uw huis waar ze veilig zijn voor roddels.’
PSA.31.22	Alle eer is voor de 
PSA.31.22	want Hij heeft mij op wonderbaarlijke wijze
PSA.31.22	zijn goedheid en liefde getoond.
PSA.31.22	Vooral toen ik het zo verschrikkelijk moeilijk had.
PSA.31.23	Terwijl ik in mijn angst dacht dat U mij vergeten was,
PSA.31.23	hebt U juist mijn luide smeekbeden gehoord.
PSA.31.23	U hoorde mij om hulp roepen.
PSA.31.24	Dit zeg ik tegen allen die God volgen:
PSA.31.24	‘Heb Hem van harte lief,
PSA.31.24	want de 
PSA.31.24	maar Hij rekent grondig af met de hoogmoedigen.
PSA.31.25	Wees sterk,
PSA.31.25	laat uw hart maar sterk en moedig zijn
PSA.31.25	en blijf altijd op de 
PSA.32.1	Een leerzaam gedicht van David.
PSA.32.1	Gelukkig is hij wiens misstap vergeven wordt
PSA.32.1	en wiens zonden vergeten worden.
PSA.32.2	Gelukkig is hij
PSA.32.2	aan wie de 
PSA.32.2	en wiens innerlijk eerlijk en oprecht is.
PSA.32.3	Zolang ik mijn zonde niet beleed,
PSA.32.3	kwijnde ik weg.
PSA.32.3	Ik was de hele dag tot tranen toe bewogen.
PSA.32.4	Dag en nacht voelde ik
PSA.32.4	hoe U tot mijn geweten sprak.
PSA.32.4	Ik schrompelde in elkaar als bij grote hitte.
PSA.32.5	Toen heb ik U al mijn zonden beleden
PSA.32.5	en niets voor U verborgen gehouden.
PSA.32.5	Ik zei: ‘Ik zal de 
PSA.32.5	en toen hebt U mijn schuld vergeven.
PSA.32.6	Laat iedere gelovige veel tot U bidden,
PSA.32.6	nu U Zich nog laat vinden.
PSA.32.6	Zelfs al komt grote ellende op hem af,
PSA.32.6	dan nog zult U hem beschermen.
PSA.32.7	U verbergt mij.
PSA.32.7	U spaart mij voor moeilijke omstandigheden.
PSA.32.7	U vult mijn hart met lofliederen over mijn bevrijding.
PSA.32.8	‘Ik, de 
PSA.32.8	welke weg u moet gaan.
PSA.32.8	Ik geef u raad
PSA.32.8	en houd mijn oog op u gericht.
PSA.32.9	Gedraag u dus niet als een paard of een muildier,
PSA.32.9	dat met bit en teugels in bedwang moet worden gehouden.
PSA.32.9	Dat wil Ik niet.’
PSA.32.10	Iemand die zonder God leeft,
PSA.32.10	krijgt veel zorgen en moeite te verduren.
PSA.32.10	Maar wie op de 
PSA.32.10	wordt door zijn liefde en goedheid omringd.
PSA.32.11	Wees blij in de 
PSA.32.11	Laten allen die oprecht tegenover God staan, het uitjubelen.
PSA.33.1	Zing een loflied voor de 
PSA.33.1	allen die met God leven!
PSA.33.1	Het is goed als Gods kinderen Hem loven.
PSA.33.2	Zing een loflied voor de 
PSA.33.2	zing een psalm met de tiensnarige harp.
PSA.33.3	Zing een nieuw lied voor de 
PSA.33.3	begeleid door prachtig snarenspel.
PSA.33.4	Want het woord van de 
PSA.33.4	en uit al zijn daden blijkt zijn trouw.
PSA.33.5	God houdt van oprechtheid en eerlijkheid.
PSA.33.5	De aarde loopt over van de goedheid en liefde van de 
PSA.33.6	De hemelen werden door het woord van de 
PSA.33.6	alles wat erin is, ontstond door zijn adem.
PSA.33.7	Hij brengt het water in de zeeën bijeen
PSA.33.7	en slaat al het water op in zijn schatkamers.
PSA.33.8	Laat de hele aarde ontzag hebben voor de 
PSA.33.8	alle bewoners van de aarde moeten met eerbied voor Hem buigen.
PSA.33.9	Want God sprak en toen was het er.
PSA.33.9	Op zijn gebod stond alles er.
PSA.33.10	De 
PSA.33.10	en voorkomt hun slechte voornemens.
PSA.33.11	De wil van de 
