MAT.1.1	Anuu nanülia na koo'uliwo'ukana Jesucristo chi nuu'uliwo'ukai David chi nuu'uliwo'ukai Abraham:
JHN.7.35	—¿Jalawai cheje o'unüin joolu'u chii, nnojolinjachika'a wantüin nünain naashin? ¿Chainjaittaale eera na'akamüin na wapüshi kepiakana sa'aka tü wayuukolüirua griegokat anülia, süpüla nikirajüinjanain na griegokana? 
JHN.7.36	¿Jamalu'ut cheje eera nünüiki nümakalaka wamüin: “Jüchajaweechi achiki taya, otta nnojoleechi jüntüin anain taya”? ¿Je jamalu'ut nütüma tü “Nnojoliiyülia juuntüin o'unaa chamüin eejeechire taya” nümakat?
JHN.7.37	Je so'u tü ka'i saja'lajaakat o'u tü mi'iraakat, tü ka'i alana'aleekat sünain anain, nüsha'walaakalaka Jesús sünain maa sümüin tü wayuukolüirua emetut:
JHN.7.37	—Chi eekai münyaasüin, anashi nüntüle tanainmüin nüsaiwa, 
JHN.7.38	maa aka tü ashajünakat sulu'u tü nüchikimaajatkat Maleiwa makat: “Chi eekai nünoujain tanain, meerü aka süparalakai wüin sulu'u naa'in, tü katakat atüma so'u wayuu” —nümakalaka Jesús.
JHN.7.39	Tü wüin nümakat Jesús, nia chi Naa'inkai Maleiwa aapüneechikai namüin na eekai nanoujain nünain. Maapujuyülia nia süka nnojoliyülin ayalennüin Jesús iipünaamüin nünainmüin chi Maleiwakai.
JHN.7.40	Shiasa su'uluku tü e'rajüsükat sükua tü mi'iraakat saapapa nünüiki Jesús, müshii yaa: “Shiimain sümaa niain chi Nünüikimaajachikai Maleiwa ajütünajachikai so'uweena wane ka'i sa'akamüin wayuu”.
JHN.7.41	Otta sünüiki waneeirua:
JHN.7.41	—Nia chi Cristokai anülia, chi Nüneekajalakai Maleiwa —müshii.
JHN.7.41	Otta waneeirua:
JHN.7.41	—¿Chaje'ewalinjachika joo chi Cristokai Galileajee? Nnojottaa. 
JHN.7.42	Saashin tü nüchikimaajatkat Maleiwa, niainjachi wane nuu'uliwo'u David, je chaje'ewalinjachi Belénjee eejechinkale kepiain David —sümakalaka.
JHN.7.43	Nnojotkalaka wanaawain saa'in tü wayuukolüirua noo'opünaa Jesús. 
JHN.7.44	Mayaainje nata'üleein nia waneeirua, nnojotsü nountüin ne'itaain najapü nünain.
JHN.7.45	Nale'ejakalaka joo na susurulaatsekana tü a'waajüleekat Maleiwa eemüin na laülaayuushiikana na'akajee na sacerdote judíokana oo'ulaka na fariseokana. Nasakinnakalaka natüma:
JHN.7.45	—¿Jamüshi nnojoika'a jüntirüin nia yaamüin?
JHN.7.46	Nasouktakalaka na surulaatkana namüin:
JHN.7.46	—Saa'in wamüin, nnojotsü wayuu eekai keme'eriain ma'i sünüiki maa aka niakai.
JHN.7.47	Namakalaka joo na laülaashii judíokana namüin sünain neme'erainpalain naya:
JHN.7.47	—¿Kapülaitpa jaa'in jiakanaya joo tü alawaa aküjünakat nütüma? 
JHN.7.48+JHN.7.49	Otta wa'aka wayakana na laülaayuushii judíokana oo'ulaka na fariseokana, nnojotsü eein eekai sünoujain nünain. Je müleka sünoujüle nünain tü wattakat saalii wayuu, nnojotsü jamajatüin wamüin. Matüjaainsalii naya saa'u tü nuluwataakat anain Moisés —namakalaka.
JHN.7.50	Wanaa sümaa naashajaajiraain na laülaashiikana, nüsouktakalaka joo waneeshia fariseo chi kanüliakai Nicodemo, chi antakai paala nünainmüin Jesús:
JHN.7.51	—Saashin tü nuluwataakat anain waya Moisés, nnojotsü anain müleka we'itaale wane wayuu süpüla süsalainjachin naainjala süpülapünaa saapünüin nünüiki naa'ujiraa —nümakalaka Nicodemo namüin na nüpüshikana.
JHN.7.52	Nasouktakalaka nümüin:
JHN.7.52	—¿Galileaje'ewaija'a joolu'u pia? Müleka paashaje'erüle tü nüchikimaajatkat Maleiwa, piyaawateerü aa'u sünain nnojolin Galileaje'ewalinjachin wane nünüikimaajachi Maleiwa —namakalaka nümüin.
JHN.7.53	Süchikijee tia, no'unakalaka napüshua nepialu'umüin.
JHN.8.1	O'unüshi Jesús saa'umüin wane wutai kanüliasü Olivos sü'ütpa'asü Jerusalén. 
JHN.8.2	Je shiasa mapa watta'a maalü waneemüin ka'ikat, ale'ejaashi nia Jerusalénmüin sulu'umüin süpaatiase tü a'waajüleekat Maleiwa. Nüikkalaakalaka süpüla nikirajüinjatüin tü wayuukolüirua eekai süntüin nünainmüin. 
JHN.8.3	Otta na karalouktamaajanakana je na fariseokana, nantitkalaka joo wane jierü nünainmüin Jesús. Nata'ülüin shia süka süma'üjaain nümaa wane wayuu nnojoikai su'wayuusein. Nantirüin shia su'upala wayuu süpüshua 
JHN.8.4	sümaa namüin nümüin Jesús:
JHN.8.4	—Ekirajüikalee, antüna aa'ulu jietkat tüü sünain ama'üjawaa nümaa wane wayuu nnojoikai su'wayuusein. 
JHN.8.5	Je saashin tü nüshajakat Moisés, ouktüinjatü süka a'ina'aluushin süka ipa wayuu eekai saa'inrüin makat aka tüü. ¿Jamüinja'a eera pünüiki soo'opünaa tüü? —namakalaka.
JHN.8.6	Müsü nanüiki nümüin shii'iree niweetirüin wane pütchi kasalajanainjatkat nümüin natüma.
JHN.8.6	Otta Jesús, ejepülaashi sünain ashajaa süka najapü sünain tü mmakat. 
JHN.8.7	Je saa'u masütaajuin naya sünain asakiraa nia, nüsha'walaakalaka sünain nümüin wane pütchi namüin:
JHN.8.7	—Chi eekai maainjalain yaa ja'aka, anashi niale palajachin sünain a'itaa —nümakalaka namüin.
JHN.8.8	Nejepülaakalaka Jesús nüchikua sünain ashajaa süka najapü sünain tü mmakat. 
JHN.8.9	Sütüma tü nümakat Jesús, o'unayaa müshii naya wane'ewai nakua sünain nayain o'unüin palajanale'eya na alatüinakana ouyase. Je no'unapa napüshua, nia'ala ne'e apütüüka Jesús sümaa tü jietkat yaa sha'watüin nü'ütpa'a. 
JHN.8.10	Asha'walaa müshia Jesús sünain nümüin sümüin:
JHN.8.10	—¿Jalakuaishii joolu'u na wayuu aapüinjanaka pikii? —nümakalaka sümüin.
JHN.8.11	—Ekirajüikalee, nnojotsü jaralüin —sümakalaka.
JHN.8.11	—Akaajaa tayakai, nnojolüinjatü pia taapüin ekii. Anakaja pu'unüle. Otta joolu'u, puu'ulaa pümata suulia kaainjalaa —nümakalaka Jesús sümüin.
JHN.8.12	Süchikijee tia, naashajaakalaka Jesús nüchikua sümüin tü wayuukolüirua sünain maa sümüin:
JHN.8.12	—Müshiree aka taya saa'in wane anakia, süka shiyaawatüinjatüin saa'u tü shiimüinkat wayuu tatüma. Chi eekai tamaweein, ee'iranajaweerü naa'in tatüma müleka ni'itaale naa'in sünain anoujaa tü shiimüin tekirajakat anain nia. Je müichia nia nnojolin waraittüin sümaa piyuushi otta maa'awaa suulia tü shiimüinkat —nümakalaka Jesús namüin.
JHN.8.13	Narütkaataalakalaka joo na fariseokana nachikua nünainmüin Jesús süpüla namajaainjanain nümüin:
JHN.8.13	—Saa'u piain ne'e aküjiraain püchiki, maawainsat tü pümakat wamüin —namakalaka.
JHN.8.14	Nüsouktakalaka Jesús namüin na fariseokana:
JHN.8.14	—Mayaainje taküjiraain tachiki, pansaasü tü tamakat, süka tatüjaain saa'u sümaa jalaje'ewalin taya otta jalamüinjachin taya. Alu'ujasa jiakana, nnojotsü jütüjaain aa'u sümaa jalaje'ewalin taya je sümaa jalamüinjachin taya. 
JHN.8.15	Jiyoujüin taya süka ne'e tü jülüjakat saa'in wayuu. Otta tayakai, nnojoishi antüshin süpüla kasalajanain tatüma sümüin saainjala wayuu. 
JHN.8.16	Otta müleka süsarale shia saainjala tatüma, lotüsü ma'i tü tamakat, süka nnojolin tamüiwain taya. Eeshi chi Tashikai tamaa, chi kajünalakai taya. 
JHN.8.17	Saashin tü nüshajakat Moisés jüpüla, müleka wanaawale naküjala piamashii wayuu soo'opünaa nukuaippa wane wayuu, pansaasü tia. 
JHN.8.18	Akaajaa müleka taküjiraale tachiki, pansaasü shia süka wanaawain sümaa tü nüküjakat tachiki chi Tashikai, chi kajünalakai taya. Je sükajee tia, anakaja müleka kapürale jaa'in shia —nümakalaka Jesús namüin.
JHN.8.19	Nasakirataalakalaka Jesús na fariseokana:
JHN.8.19	—¿Jalaka'a joo chi püshikai paashin?
JHN.8.19	Nüsouktakalaka namüin:
JHN.8.19	—Nnojoishi ji'raajüin taya, je nnojoishi ji'raajüin chi Tashika'iya. Müleka shiimüinreje ji'raajüin taya, ji'raajüinje wanaa tamaa chi Tashikai —nümakalaka namüin.
JHN.8.20	Nümüsü tüü wanaa sümaa nikirajüin yaa sulu'u tü a'waajüleekat sü'ütpa'a eere shi'itaanüin tü neerü asülajünakat. Mayaainje eejanain sa'aka tü aapajüsükalüirua nünüiki wane ka'ürülakana nia, nnojoishi ata'ünnüin natüma süka nnojoyülüin keraain nükalia.
JHN.8.21	Süchikijee tia, aashajaashi Jesús nüchikua sümüin tü wayuukolüirua yaa sulu'u tü a'waajüleekat Maleiwa sünain nümüin mayaa:
JHN.8.21	—O'uneechi taya juulia mapeena. Ja'itakaje jüchajaawalainje tachiki, nnojoleerü juuntüin o'unaa chaa eemüinjachire taya. Oukteena jia sümaa jaainjala —nümakalaka Jesús namüin.
JHN.8.22	Otta na laülaayuu judíokana, naashajaajiraakalaka sünain maa:
JHN.8.22	—¿Jamalu'ut tü nümakat: “Nnojoleerü juuntüin o'unaa chaa eemüinjachire taya”? O'uniraashijaittaale eera naa'in —namakalaka.
JHN.8.23	Ayatshi Jesús sünain yootüin namaa na wayuukana sünain nümüin mayaa:
JHN.8.23	—Jiakana, yaaje'ewalii mmolu'u sa'aka wayuu. Otta tayakai, chaje'ewai iipünaajee. Nnojoishi taya yaaje'ewalin sa'aka wayuu. 
JHN.8.24	Taküjaitpa jümüin sünain oukteenain jia sümaa jaainjala. Müleka nnojorüle kapülain jaa'in tü tamakat sünain tayain tayakai chi taküjakai achiki, shiimain sünain oukteenain jia sümaa jaainjala —nümakalaka Jesús namüin.
JHN.8.25	—¿Jaraikai piawai? —namakalaka nümüin.
JHN.8.25	Nüsouktakalaka Jesús:
JHN.8.25	—Taküjatüjülia tantaiwa'aya ja'akamüin sünain jaralin taya. Je tamüshii jia jüchikua: Taya tayakai chi taküjakai achiki. 
JHN.8.26	Isasü wainma tü kasa tamüinjatkat jümüin sünain tayoujüin jia saaliijee jiyouktüin tanüiki. Otta tü taküjakat jümüin jiakana sainküin mmakat, shia ne'e tü nüküjalakat tamüin chi kajünalakai taya, süka pansaain waneepia tü nümakat tamüin —nümakalaka namüin.
JHN.8.27	Sükajee nnojolüin nayaawatüin saa'u sünain niain nüküjüin achiki chi Nüshikai namüin, 
JHN.8.28	nümakalaka Jesús namüin:
JHN.8.28	—Je so'uweena tü ka'i jükachereechikat o'u taya iipünaa, tayakai chi Shipayakai Wayuu, jütüjaweechi aa'u taya sünain tayain tayakai chi taküjapü'ükai achiki je sümaa nnojolüin talaülaajain tamüiwa sünain aa'inraa tü kasa anasü taa'inrakat. Tü tamakat jümüin, shia tü pütchi naapajalakat tamüin chi Tashikai. 
JHN.8.29	Otta chi Tashikai, chi kajünalakai taya, tamaashi waneepia. Nnojoishi nuu'ulaain taya tamüiwa, süka taa'inrüin weinshi tü kasa talatakat atüma naa'in —nümakalaka Jesús namüin.
JHN.8.30	Je wainma tü wayuu aapajüsükalüirua nünüiki Jesús, kapülasü naa'in tü nüküjakat namüin sümaa nanoujain nünain. 
JHN.8.31	Nümakalaka Jesús namüin:
JHN.8.31	—Müleka joonoole sümaa tanüiki waneepia, shiimüinshaana jiain tekirajüin. 
JHN.8.32	Je jiyaawateerü aa'u tü shiimainkat süpüla jujuittüinjanain sütüma suulia achepchiaa —nümakalaka namüin.
JHN.8.33	Otta na laülaayuu judíokana, nasouktakalaka nümüin Jesús sünain maa:
JHN.8.33	—Wayakana, nuu'uliwo'u Abraham. Nnojoliishii waya süchepchiaajüin wayuu. ¿Jamalu'uja'a joo türa “jiyu'laaiwa suulia achepchiee” pümakat wamüin?
JHN.8.34	Nümakalaka Jesús namüin:
JHN.8.34	—Shiimüin tü tamakat jümüin: Chi wayuu eekai kaainjalain, süchepchiashi kaainjalaa. 
JHN.8.35	Soto jaa'in tüü: Wane wayuu achepchiee, nnojoishi kasain nünain chi kachepchiakai. Alu'ujasa wane nüchon, nia kasaka nünain waneepia. 
JHN.8.36	Müleka nujuittirüle jia chi Nüchonkai Maleiwa, shiimüin sünain taashiinapain jia. Nnojoliinapa jia müinya aka wane achepchiee. Müinapa aka wane achonlu. 
JHN.8.37	Tatüjaa aa'una jia sümaa nuu'uliwo'uin Abraham. Otta saa'u nnojolüin kapülain jaa'in tanüiki, ju'utee aa'inchi taya. 
JHN.8.38	Taküja achikit jümüin tü nii'iyatakat chi Tashikai tamüin. Otta tü jaa'inrakat, shia tü nüküjakat achiki jümüin chi jüshikai —nümakalaka Jesús namüin na laülaayuu judíokana.
JHN.8.39	—Chi washikai, nia Abraham, chi koo'uliwo'ukai waya —namakalaka nümüin.
JHN.8.39	Nüsouktakalaka Jesús namüin:
JHN.8.39	—Müleka shiimüinreje nüchooin jia Abraham, jaa'inrüinje tü kasa anasü naa'inrapü'ükat. 
JHN.8.40	Akaajasa jia, ju'utee aa'inchi taya mayaainje taküjüin jümüin tü shiimain aküjünakat tamüin nütüma Maleiwa. Nnojotsü naa'inrüin Abraham kasa eekai müin aka tia, tü jaa'inrakat jiakana maa'ulu yaa. 
JHN.8.41	Shia jüshataka ne'e tü kasa naa'inrakat chi jüshikai jüpüleerua —nümakalaka namüin.
JHN.8.41	—Nnojoishii waya müin aka saa'in tepichi ajunalaa. We'raajüin chi Washikai, nia chi Maleiwakai nümüiwa —namakalaka nümüin.
JHN.8.42	Nümakalaka Jesús namüin na laülaayuu judíokana:
JHN.8.42	—Müleka shiimüinreje niain jüshin Maleiwa, aishije taya jüpüla süka chaje'ewalin taya nüma'anajee Maleiwa. Nia'aya kajünalaka taya, nnojoishi antüshin ne'e taya ja'akamüin süka taa'in tamüiwa. 
JHN.8.43	Nnojotsü jiyaawatüin aa'u tü taküjakat achiki jümüin, süka nnojolüin kapülain jaa'in tanüiki. 
JHN.8.44	Shia jaa'inreeka ma'i tü kasa mojusü nüchekakat jüpüleerua chi sülaülakai yolujaa, süka niain shiimüin jüshin. Nia o'ttatüjüikaja'a sünain uwomuyuwaa sümaiwa paala je ayatayüija'a nia maa'ulu yaa sünain. Nia kanainjeejachika'aya tü alawaakat. Niyouktüin tü shiimüinkat, shia jülüjaka naa'in tü alawaakat waneepia. 
JHN.8.45	Akaajaa jiakana, nnojotsü joonooin amaa tü tamakat jümüin süka shiain tü shiimüinkat. 
JHN.8.46	Nnojotsü süpüla “wayuu kaainjarai pia” jümüinjatüin tamüin. Taküjain waneepia tü shiimüinkat jümüin, ¿jamüsü nnojotka'a kapülain jaa'in shia? 
JHN.8.47	Na eekai nüpüshin Maleiwa, kapülasü naa'in nünüiki. Otta jiakana, nnojotka'a kapülain jaa'in nünüiki sükajeejatü nnojoliin nüpüshin jia —nümakalaka Jesús namüin.
JHN.8.48	Nasouktakalaka na laülaayuu judíokana sünain mojulu'ulüin nanüiki nümüin Jesús:
JHN.8.48	—Lotüsü tü wamakat püchiki sünain “Samariaje'ewai pia je kale'eru'ushi pia yolujaa” wamüin pümüin.
JHN.8.49	Nümakalaka Jesús namüin:
JHN.8.49	—Nnojoishi taya kale'eru'ushin yolujaa. Nia kojutka ne'e tatüma Tashi. Otta tayakai jütüma, mojutsai. 
JHN.8.50	Nnojoishi tayain kee'ireein aa'in kojutuu sütüma wayuu. Nia chi Tashikai Maleiwa kee'ireeka aa'in kojutüinjachin taya atümaa, süka niain kaneekajalain taya süpüla. 
JHN.8.51	Shiimainkalaka ma'i tü tamakat jümüin joolu'u: Chi wayuu eekai noonooin sümaa tanüiki, nnojoleechi e'rüin ouktaa —nümakalaka.
JHN.8.52	Nasouktakalaka na laülaayuu judíokana nümüin:
JHN.8.52	—Pi'ra müsüje'e, shia wamakaja'a pümüin sünain shiimüin kale'eru'uin pia yolujaa. Abraham, ouktüshi oo'ulaka napüshua na nünüikimaajanakana Maleiwa. ¿Jamakuaippalaja'a joo pünüiki “Chi wayuu eekai noonooin sümaa tanüiki, nnojoleechi e'rüin ouktaa” pümakalaka wamüin? 
JHN.8.53	Abraham, ouktüshi oo'ulaka napüshua na nünüikimaajanakana Maleiwa. ¿Piataale ma'i alana'aleein sünain miyo'uwaa noulia? ¿Jaraikai pia saa'in pümüin? —namakalaka nümüin Jesús.
JHN.8.54	Nüsouktakalaka Jesús namüin:
JHN.8.54	—Müleka “wayuu anamia taya” tamüle ne'e, matüjaaja'a aa'ulu müleka shiimüinre je müleka alawaalein. Nia a'waajaka taya chi Tashikai, chi Jümaleiwasekai jaajüin, 
JHN.8.55	chi ju'waataakai alu'u sümaa nnojolin ji'raajüin nia. Alu'usa tayakai, te'raajüin. Müleka “nnojoishi te'raajüin” tamüle, meechi aka taya jiakana aküjakana alawaa. Shiimüin sünain te'raajüin nia je toonooin waneepia sümaa nünüiki. 
JHN.8.56	Otta müshia chi jutuushikai Abraham, talatüshinka ma'i süka nütüjaain saa'u sünain tantajachin so'uweena wane ka'i. Talatüsü ma'i naa'in süka nütüjaain saa'u tü kasa anasü taa'inrajatkat tantapa sa'akamüin wayuu —nümakalaka Jesús namüin.
JHN.8.57	Namakalaka na laülaayuu judíokana nümüin Jesús:
JHN.8.57	—¿Jamakuaippai süpüla pi'rüinjachin Abraham mataashikai kakaliaichikai nia ouktüin? Otta piakai, eeyaa ne'e püsa'wajüirüin ja'ralin shikii juya puuyase.
JHN.8.58	Nüsouktakalaka Jesús namüin:
JHN.8.58	—Shiimüin tü tamakat jümüin: Eetüjü'iya taya nnojoliwa'aya jemelin Abraham —nümakalaka namüin süka nütüjaain saa'u sünain niain Maleiwain.
JHN.8.59	Nayasa nayakana, naapaakalaka ipa süpüla na'ina'alüinjachin nia saalii tü nümakat namüin sünain niain Maleiwain naajüin. Otta Jesús, nujuittaakalaka najuuna sulu'ujee tü a'waajüleekat Maleiwa.
JHN.9.1	Süchikijee nujuittüin Jesús sulu'ujee tü a'waajüleekat Maleiwa, awaralijaashi nia namaa na nikirajüinkana. Ni'rakalaka wane wayuu mo'usai, jemeishitüjü'iya sümaa mo'uin. 
JHN.9.2	Nasakirakalaka na nikirajüinkana:
JHN.9.2	—Ekirajüikalee, ¿jamüshi jemeika'a nia sümaa mo'uin? ¿Saaliijeejachi naainjala, nayataapa kaainjalo'uin na kachoinkana? —namakalaka.
JHN.9.3	Nüsouktakalaka Jesús namüin:
JHN.9.3	—Nnojoishi saaliijeejachin naainjala je saaliijeejachin naainjala na kachoinkana. Shia ne'e süpüla shi'rüinjatüin wayuu wainma tü kasa anasü naa'inreekat Maleiwa nüka. 
JHN.9.4	Je süma'inru'u katüin wo'u, anakaja müleka wa'yataale nümüin chi Maleiwakai kajünalakai taya. Ouktapa waya, ¿jamataaleena süpüla wa'yataainjanain nümüin? 
JHN.9.5	Sükajee tüü, süma'inru'u yaain taya sa'aka wayuu, müshi aka taya saa'in wane anakia, süka shiyaawatüinjatüin tatüma wayuu saa'u tü shiimüinkat —nümakalaka namüin.
JHN.9.6	Kettaapa nünüiki Jesús namüin na nikirajüinkana, nejetakalaka mmolu'u süpüla naainjain wane pootshi. Nushulerakalaka shia saa'u no'u chi mo'usaikai sümaa nümüin nümüin:
JHN.9.7	—Pu'una eemüin tü anua o'oojüleekat Siloékat sünülia pu'lojooiwa tü po'ukot chamüin —müshi nümüin.
JHN.9.7	Je chi mo'usaikai, nu'unakalaka chamüin cha'aya süpüla nu'lojooinjatüin tü no'ukot. Nüle'ejakalaka nipialu'umüin sümaa ko'uin nia. (Otta tü pütchi “Siloé” makat, “Ajütüüshi” malu'ut.)
JHN.9.8	Je shiasa sümakalaka tü wayuukolüirua eekai kepiain nü'ütpünaa je eekai shi'rapü'üin nia sünain ajulijaa:
JHN.9.8	—Atak, ¿nnojoishi niain chi mo'usai joyotopü'ükai sünain ajulijaa sulu'u wopu chira?
JHN.9.9	—Aanee, nia'aya chira —mataalasü waneeirua.
JHN.9.9	Otta waneeirua:
JHN.9.9	—Nnojoittaashi niain, mataashi aka naa'in ne'e —müshii.
JHN.9.9	Otta chi mo'upü'ükai:
JHN.9.9	—Tayaichija'aya chi ajulijapü'ükai, chi ji'rapü'ükai paalainka —müshi nia namüin.
JHN.9.10	Nasakirakalaka nia na wayuukana:
JHN.9.10	—¿Jamüsü pukuaippa süpüla ko'uinjachin pia?
JHN.9.11	Nüsouktakalaka namüin:
JHN.9.11	—Chi wayuu Jesúskai anülia, naainjüin wane pootshi je nushuletkalaka shia saa'u tü to'ukot. Nüjütakalaka taya eemüin tü anua kanüliakat Siloé süpüla to'lojüinjatüin tü to'ukot cha'aya. O'una müshia taya sütüma nünüiki. Je süchikijee to'lojüin to'u, e'ralaa müshi taya —nümakalaka namüin na wayuukana.
JHN.9.12	Nasakirakalaka nia:
JHN.9.12	—¿Jalaka'a joo chi wayuukai?
JHN.9.12	—¿Müinja? Nnojoishi tatüjaain aa'u —nümakalaka namüin.
JHN.9.13	Nümaanakalaka chi mo'upü'ükai natüma na wayuukana nanainmüin na fariseokana eejanale naya jutkatüin sulu'u tü ekirajüleekat na judíokana. 
JHN.9.14	Süka sükalio'ujatüin eemerawaa naainjüin Jesús tü pootshi anainjachikat atüma chi mo'usaikai, 
JHN.9.15	nüsakiijünakalaka chi wayuukai natüma na fariseokana sünain jamakuaippalin nia ko'uka'a. Nüsouktakalaka chi wayuukai namüin:
JHN.9.15	—Nushulejaain wane pootshi saa'u tü to'ukot je nüjütüin taya süpüla to'lojooinjachin tü to'ukot. Ko'u müshia taya süchikijee tia —nümataalakalaka namüin na fariseokana.
JHN.9.16	Namakalaka joo waneeirua fariseo:
JHN.9.16	—Watüjaaichipa aa'u chia wayuukai sünain nnojolin nüma'anajeejachin Maleiwa, süka nnojolüin noonooin sümaa tü nuluwataakat anain Moisés süpüla nnojoliin wa'yataain sükalio'u eemerawaa. A'yataashi nia su'unnaa tia sünain niiyajüin chi wayuukai —müshii naya.
JHN.9.16	Je nanüiki waneeirua na fariseokana:
JHN.9.16	—Nnojotsü nuuntüin naa'inrüin wane kaainjarai tü kasa anasü nütüjakat apüleerua Maleiwa nümüiwa —müshii naya.
JHN.9.16	Süka nnojolüin paa'inwajiraain naya, 
JHN.9.17	nasakirakalaka chi mo'upü'ükai nüchikua'aya:
JHN.9.17	—Piakai ko'ushikai nütüma, ¿jarai naa'in pümüin? —namakalaka nümüin.
JHN.9.17	Nüsouktakalaka chi wayuukai namüin:
JHN.9.17	—Wane nünüikimaajachi Maleiwa naa'in tamüin —nümakalaka namüin.
JHN.9.18	Nnojotkalaka nanoujain na laülaayuu judíokana sünain mo'upü'üin chi wayuukai. Neenajitkalaka na kachoinshiikana nia süpüla nasakinnüinjanain nünain.
JHN.9.19	—¿Jüchon chii? ¿Jemeishijasa'aya sümaa mo'uin? ¿Jamataalaka'a joo nia ko'uka'a joolu'u? —müshii namüin.
JHN.9.20	—Aa, wacho'onya, shiimüin sünain jemeishin nia sümaa mo'uin. 
JHN.9.21	Shia nnojotka watüjaain aa'u jamakuaippalin ko'uka'a nia joolu'u otta jaralin anain atüma. Naaja nünüiki, niale jüsakirüin. Nüküjeerü süchiki jümüin, jo'uule joo nia —namakalaka namüin na fariseokana.
JHN.9.22	Müsü nanüiki sütüma mmolüin naya seema tü namakat paala na laülaayuu judíokana, tü makat: “Chi eekai kapülain naa'in nünüiki Jesús sünain niain Cristoin chi Nüneekajalakai Maleiwa, müichia mekerolüin nüchikua sulu'umüin tü ekirajüleekat”. 
JHN.9.23	Je “nüküjeerü süchiki jümüin, jo'uule joo nia”, namaka'a na kachoinshiikana chi mo'upü'ükai, sükajana mmolüin neema na laülaayuukana.
JHN.9.24	Je na fariseokana, neenajakalaka nüchikua chi mo'upü'ükai sünain namüin nümüin:
JHN.9.24	—Watüjaa aa'uchi chi eiyajakai pia sünain wayuuin kaainjarai nia. Anakaja püküjüle wamüin joolu'u tü shiimüinkat noo'opünaa nu'upala Maleiwa —namakalaka nümüin.
JHN.9.25	Nümakalaka namüin:
JHN.9.25	—Nnojoishi tatüjaain aa'u müleka kaainjaraire nia. Shia'ala ne'e tatüjaaka aa'u, mo'upü'üin taya tamaiwa, otta müsia joolu'u, ko'uichipa taya —nümataalakalaka.
JHN.9.26	Nasakirakalaka nia nüchikua:
JHN.9.26	—¿Jamüsü pukuaippa nütüma? ¿Kasa niiyajaka aka tü po'ukot? —namakalaka nümüin.
JHN.9.27	—Taküjüitpa'asa jümüin, otta nnojotsü kachipünaain jaa'in tanüiki. ¿Jamataalaka'a joo jaapajeeka'a shia süchikua? ¿Ekirajüneeshii jia nütüma? —nümakalaka namüin.
JHN.9.28	Na'ülüjakalaka na fariseokana nümüin chi wayuukai sünain mojulu'ulüin nanüiki nümüin:
JHN.9.28	—Piayaainje ne'e shikirajüin wayuwa'atakat tia. Eitüshi'ireein joo waya nikirajanain Moisés. 
JHN.9.29	Watüjaa aa'ut sünain niain Moisés naashajaapü'üin amaa Maleiwa. Akaajasa chia, ¿jara atüjaaka saa'u jalaje'ewalin? —namakalaka nümüin.
JHN.9.30	Nümakalaka chi mo'upü'ükai namüin na laülaayuu judíokana:
JHN.9.30	—Atak, nia anaka atüma taya su'upala wayuu süpüshua. ¿Jamüsü nnojotka'a jütüjaain aa'u jalaje'ewalin wayuu eekai müin aka chia? 
JHN.9.31	Jütüjaa aa'uchi chi Maleiwakai sünain nnojolüin kapülain naa'in sünüiki wayuu eekai kaainjaralüin, alu'ujasa chi eekai keisalain sümüin nukuaippa nu'upala sünain noonooin sümaa nünüiki. 
JHN.9.32	Nnojotsü waapüirüin achiki wane wayuu eekai sütüjüin süpüleerua ko'uin wayuu sütüma, eekai jemein sümaa mo'uin maa aka takuaippa. 
JHN.9.33	Müleka nnojoireje aluwataaushin nütüma Maleiwa, nnojotsüje nuuntüin naa'inrüin kasa eekai müin aka tüü —nümakalaka namüin.
JHN.9.34	Namakalaka nayakana nümüin:
JHN.9.34	—Pia jemeikai sümaa kaainjalain, e'rüiyaakai aa'in wayumüin, ekirajeekai waya, pu'una yaajee —namakalaka nümüin sünain najünajaain sulu'ujee tü ekirajüleekat.
JHN.9.35	Otta müshia Jesús naapapa nüchiki chi mo'upü'ükai sümaa nüjünajaanüin sulu'ujee tü ekirajüleekat na judíokana, nüchajaakalaka nüchiki. Shiasa nüntapa nünain, nüsakirakalaka nia:
JHN.9.35	—¿Anoujashi pia nünain chi Shipayakai Wayuu? —müshi nümüin.
JHN.9.36	—Ekirajüikalee, ¿jarai nian? Püküja tamüin nüchiki tanoujaiwa nünain —nümakalaka chi mo'upü'ükai nümüin Jesús.
JHN.9.37	—Nia chi pi'rakai joolu'u, chi yootokai pümaa —nümakalaka Jesús nümüin.
JHN.9.38	—Senyotkalee, anoujashi taya pünain joolu'u —nümakalaka sünain nu'waajüin Jesús.
JHN.9.39	Nümakalaka Jesús nümüin:
JHN.9.39	—Antüshi taya yaa mmolu'umüin sa'akamüin wayuu süpüla tee'iyatüinjatüin sümüin sünain kaainjaralüin süpüshua. Chi eekai kapülain naa'in tanüiki, niyaawateerü aa'u tü shiimüinkat, maa aka joo piakai ko'uichipain. Otta chi eekai niyouktüin tanüiki, maa aka naa'in nala fariseokana, müichia mayaawatüin saa'u tü shiimüinkat. Meena aka mo'ukai —nümakalaka Jesús.
JHN.9.40	Eejanakalaka waneeirua fariseo yaa peje sünain eejachire yootüin. Naapajakalaka tü nümakat. Namataalakalaka nümüin Jesús:
JHN.9.40	—¿Mo'usaliijasa'a joo waya paa'inru'u?
