MAT.1.1	Книга родства Иисуса Христа, сына давидова, сына авраамля. 
JHN.4.23	но грядет час, и ныне есть, егда истиннии поклонницы поклонятся Отцу духом и истиною: ибо Отец таковых ищет покланяющихся ему: 
JHN.4.24	Дух (есть) Бог: и иже кланяется ему, духом и истиною достоит кланятися. 
JHN.4.25	Глагола ему жена: вем, яко мессиа приидет, глаголемыи Христос: егда той приидет, возвестит нам вся. 
JHN.4.26	глагола ей Иисус: аз есмь, глаголяй с тобою. 
JHN.4.27	И тогда приидоша ученицы его и чудяхуся, яко с женою глаголаше: обаче никтоже рече: чесо ищеши? или: что глаголеши с нею? 
JHN.4.28	Остави же водонос свой жена, и иде во град, и глагола человеком: 
JHN.4.29	приидите (и) видите Человека, иже рече ми вся, елика сотворих: еда той есть Христос? 
JHN.4.30	Изыдоша же из града и грядяху к нему. 
JHN.4.31	Между же сим моляху его ученицы (его), глаголюще: равви, яждь. 
JHN.4.32	Он же рече им: аз брашно имам ясти, егоже вы не весте. 
JHN.4.33	Глаголаху убо ученицы к себе: еда кто принесе ему ясти? 
JHN.4.34	глагола им Иисус: мое брашно есть, да сотворю волю пославшаго мя и совершу дело его. 
JHN.4.35	Не вы ли глаголете, яко еще четыри месяцы суть, и жатва приидет? Се, глаголю вам: возведите очи ваши и видите нивы, яко плавы суть к жатве уже: 
JHN.4.36	и жняй мзду приемлет и собирает плод в живот вечный, да и сеяй вкупе радуется и жняй: 
JHN.4.37	о сем бо слово есть истинное, яко ин есть сеяй, и ин (есть) жняй: 
JHN.4.38	аз послах вы жати, идеже вы не трудистеся: инии трудишася, и вы в труд их внидосте. 
JHN.4.39	От града же того мнози вероваша в онь от самарян, за слово жены свидетелствующия, яко рече ми вся, елика сотворих. 
JHN.4.40	Егда убо приидоша к нему самаряне, моляху его, дабы пребыл у них: и пребысть ту два дни. 
JHN.4.41	И много паче вероваша за слово его: 
JHN.4.42	жене же глаголаху, яко не ктому за твою беседу веруем: сами бо слышахом и вемы, яко сей есть воистинну спас миру, Христос. 
JHN.4.43	По двою же дню изыде оттуду и иде в галилею: 
JHN.4.44	сам бо Иисус свидетелствова, яко пророк во своем отечествии чести не имать. 
JHN.4.45	Егда же прииде в галилею, прияша его галилеане, вся видевше, яже сотвори во Иерусалимех в праздник: и тии бо приидоша в праздник. 
JHN.4.46	Прииде же паки Иисус в кану галилейскую, идеже претвори воду в вино. И бе некий царев муж, егоже сын боляше в капернауме. 
JHN.4.47	Сей слышав, яко Иисус прииде от иудеи в галилею, иде к нему и моляше его, да снидет и исцелит сына его: имеяше бо умрети. 
JHN.4.48	Рече убо Иисус к нему: аще знамении и чудес не видите, не имате веровати. 
JHN.4.49	Глагола к нему царев муж: Господи, сниди, прежде даже не умрет отроча мое. 
JHN.4.50	глагола ему Иисус: иди, сын твой жив есть. И верова человек словеси, еже рече ему Иисус, и идяше. 
JHN.4.51	Абие же входящу ему, (се,) раби его сретоша его и возвестиша (ему), глаголюще, яко сын твой жив есть. 
JHN.4.52	Вопрошаше убо от них о часе, в который легчае ему бысть, и реша ему, яко вчера в час седмый остави его огнь. 
JHN.4.53	Разуме же отец, яко той бе час, в оньже рече ему Иисус, яко сын твой жив есть: и верова сам и весь дом его. 
JHN.4.54	Сие паки второе знамение сотвори Иисус, пришед от иудеи в галилею.
JHN.5.1	По сих (же) бе праздник иудейский, и взыде Иисус во Иерусалим. 
JHN.5.2	Есть же во Иерусалимех овчая купель, яже глаголется еврейски вифесда, пять притвор имущи: 
JHN.5.3	в тех слежаше множество болящих, слепых, хромых, сухих, чающих движения воды: 
JHN.5.4	ангел бо Господень на (всяко) лето схождаше в купель и возмущаше воду: (и) иже первее влазяше по возмущении воды, здрав бываше, яцем же недугом одержимь бываше. 
JHN.5.5	Бе же ту некий человек, тридесять и осмь лет имый в недузе (своем). 
JHN.5.6	Сего видев Иисус лежаща и разумев, яко многа лета уже имяше (в недузе), глагола ему: хощеши ли цел быти? 
JHN.5.7	Отвеща ему недужный: ей, Господи, человека не имам, да, егда возмутится вода, ввержет мя в купель: егда же прихожду аз, ин прежде мене слазит. 
JHN.5.8	глагола ему Иисус: востани, возми одр твой и ходи. 
JHN.5.9	И абие здрав бысть человек: и взем одр свой и хождаше. Бе же суббота в той день. 
JHN.5.10	Глаголаху же жидове исцелевшему: суббота есть, и не достоит ти взяти одра (твоего). 
JHN.5.11	Он (же) отвеща им: иже мя сотвори цела, той мне рече: возми одр твой и ходи. 
JHN.5.12	Вопросиша же его: кто есть Человек рекий ти: возми одр твой и ходи? 
JHN.5.13	Изцелевый же не ведяше, кто есть: Иисус бо уклонися, народу сущу на месте. 
JHN.5.14	Потом (же) обрете его Иисус в церкви и рече ему: се, здрав еси: ктому не согрешай, да не горше ти что будет. 
JHN.5.15	Иде (же) человек и поведа иудеом, яко Иисус есть, иже мя сотвори цела. 
JHN.5.16	И сего ради гоняху Иисуса иудее и искаху его убити, зане сия творяше в субботу. 
JHN.5.17	Иисус же отвещаваше им: Отец мой доселе делает, и аз делаю. 
JHN.5.18	И сего ради паче искаху его иудее убити, яко не токмо разоряше субботу, но и Отца своего глаголаше Бога, равен ся творя Богу. 
JHN.5.19	Отвеща же Иисус и рече им: аминь, аминь глаголю вам, не может Сын творити о себе ничесоже, аще не еже видит Отца творяща: яже бо он творит, сия и Сын такожде творит. 
JHN.5.20	Отец бо любит Сына и вся показует ему, яже сам творит: и болша сих покажет ему дела, да вы чудитеся. 
JHN.5.21	Якоже бо Отец воскрешает мертвыя и живит, тако и Сын, ихже хощет, живит. 
JHN.5.22	Отец бо не судит ни комуже, но суд весь даде Сынови, 
JHN.5.23	да вси чтут Сына, якоже чтут Отца. (А) иже не чтит Сына, не чтит Отца пославшаго его. 
JHN.5.24	Аминь, аминь глаголю вам, яко слушаяй словесе моего и веруяй пославшему мя имать живот вечный, и на суд не приидет, но прейдет от смерти в живот. 
JHN.5.25	Аминь, аминь глаголю вам, яко грядет час, и ныне есть, егда мертвии услышат глас Сына Божия и услышавше оживут. 
JHN.5.26	Якоже бо Отец имать живот в себе, тако даде и Сынови живот имети в себе 
JHN.5.27	и область даде ему и суд творити, яко Сын Человечь есть. 
JHN.5.28	Не дивитеся сему: яко грядет час, в оньже вси сущии во гробех услышат глас Сына Божия, 
JHN.5.29	и изыдут сотворшии благая в воскрешение живота, а сотворшии злая в воскрешение суда. 
JHN.5.30	Не могу аз о себе творити ничесоже. Якоже слышу, сужду, и суд мой праведен есть, яко не ищу воли моея, но воли пославшаго мя Отца. 
JHN.5.31	Аще аз свидетелствую о мне, свидетельство мое несть истинно: 
JHN.5.32	ин есть свидетелствуяй о мне, и вем, яко истинно есть свидетелство, еже свидетелствует о мне: 
JHN.5.33	вы посласте ко иоанну, и свидетелствова о истине. 
JHN.5.34	Аз же не от человека свидетелства приемлю, но сия глаголю, да вы спасени будете. 
JHN.5.35	Он бе светилник горя и светя: вы же восхотесте возрадоватися в час светения его. 
JHN.5.36	Аз же имам свидетелство более иоаннова: дела бо, яже даде мне Отец, да совершу я, та дела, яже аз творю, свидетелствуют о мне, яко Отец мя посла. 
JHN.5.37	И пославый мя Отец сам свидетелствова о мне. Ни гласа его нигдеже слышасте, ни видения его видесте, 
JHN.5.38	и словесе его не имате пребывающа в вас, зане, егоже той посла, сему вы веры не емлете. 
JHN.5.39	Испытайте писаний, яко вы мните в них имети живот вечный: и та суть свидетелствующая о мне. 
JHN.5.40	И не хощете приити ко мне, да живот имате. 
JHN.5.41	Славы от человек не приемлю, 
JHN.5.42	но разумех вы, яко любве Божия не имате в себе. 
JHN.5.43	Аз приидох во имя Отца моего, и не приемлете мене: аще ин приидет во имя свое, того приемлете. 
JHN.5.44	Како вы можете веровати, славу друг от друга приемлюще, и славы, яже от единаго Бога, не ищете? 
JHN.5.45	Не мните, яко аз на вы реку ко Отцу: есть, иже на вы глаголет, моисей, наньже вы уповаете. 
JHN.5.46	Аще бо бысте веровали моисеови, веровали бысте (убо и) мне: о мне бо той писа. 
JHN.5.47	Аще ли того писанием не веруете, како моим глаголголом веру имете?
JHN.6.1	По сих иде Иисус на он пол моря галилеи тивериадска: 
JHN.6.2	и по нем идяше народ мног, яко видяху знамения его, яже творяше над недужными. 
JHN.6.3	Взыде же на гору Иисус и ту седяше со ученики своими. 
JHN.6.4	Бе же близ пасха, праздник жидовский. 
JHN.6.5	Возвед убо Иисус очи и видев, яко мног народ грядет к нему, глагола к филиппу: чим купим хлебы, да ядят сии? 
JHN.6.6	Сие же глаголаше искушая его: сам бо ведяше, что хощет сотворити. 
JHN.6.7	Отвеща ему филипп: двема стома пенязей хлебы не довлеют им, да кийждо их мало что приимет. 
JHN.6.8	Глагола ему един от ученик его, андрей, брат симона петра: 
JHN.6.9	есть отрочищь зде един, иже имать пять хлеб ячменных и две рыбе: но сии что суть на толико? 
JHN.6.10	Рече же Иисус: сотворите человеки возлещи. Бе же трава многа на месте. Возлеже убо мужей числом яко пять тысящ. 
JHN.6.11	Прият же хлебы Иисус и, хвалу воздав, подаде учеником, ученицы же возлежащым: такожде и от рыбу, елико хотяху. 
JHN.6.12	И яко насытишася, глагола учеником своим: соберите избытки укрух, да не погибнет ничтоже. 
JHN.6.13	Собраша же и исполниша дванадесяте кошя укрух от пятих хлеб ячменных, иже избыша ядшым. 
JHN.6.14	Человецы же видевше знамение, еже сотвори Иисус, глаголаху, яко сей есть воистинну пророк грядый в мир. 
JHN.6.15	Иисус убо разумев, яко хотят приити, да восхитят его и сотворят его Царя, отиде паки в гору един. 
JHN.6.16	Яко позде бысть, снидоша ученицы его на море, 
JHN.6.17	и влезоша в корабль, и идяху на он пол моря в капернаум. И тма абие бысть, и не (у) бе пришел к ним Иисус. 
JHN.6.18	Море же, ветру велию дыхающу, воздвизашеся. 
JHN.6.19	Гребше же яко стадий двадесять пять или тридесять, узреша Иисуса ходяща по морю и близ корабля бывша, и убояшася. 
JHN.6.20	Он же глагола им: аз есмь, не бойтеся. 
JHN.6.21	Хотяху убо прияти его в корабль: и абие корабль бысть на земли, в нюже идяху. 
JHN.6.22	Во утрий (же) народ, иже стояше об он пол моря, видев, яко корабля иного не бе ту, токмо един той, в оньже внидоша ученицы его, и яко не вниде со ученики своими Иисус в корабль, но едини ученицы его идоша: 
JHN.6.23	и ини приидоша корабли от тивериады близ места, идеже ядоша хлебы, хвалу воздавше Господеви: 
JHN.6.24	егда же видеша народи, яко Иисуса не бысть ту, ни ученик его, влезоша сами в корабли и приидоша в капернаум, ищуще Иисуса, 
JHN.6.25	и обретше его об он пол моря, реша ему: равви, когда зде бысть? 
JHN.6.26	Отвеща им Иисус и рече: аминь, аминь глаголю вам, ищете мене, не яко видесте знамение, но яко яли есте хлебы и насытистеся: 
JHN.6.27	делайте не брашно гиблющее, но брашно пребывающее в живот вечный, еже Сын Человеческии вам даст: сего бо Отец знамена Бог. 
JHN.6.28	Реша же к нему: что сотворим, да делаем дела Божия? 
JHN.6.29	Отвеща Иисус и рече им: се есть дело Божие, да веруете в того, егоже посла он. 
JHN.6.30	Реша же ему: кое убо ты твориши знамение, да видим и веру имем тебе? что делаеши? 
JHN.6.31	отцы наши ядоша манну в пустыни, якоже есть писано: хлеб с небесе даде им ясти. 
JHN.6.32	Рече убо им Иисус: аминь, аминь глаголю вам, не моисей даде вам хлеб с небесе, но Отец мой дает вам хлеб истинный с небесе: 
JHN.6.33	хлеб бо Божии есть сходяй с небесе и даяй живот миру. 
JHN.6.34	Реша убо к нему: Господи, всегда даждь нам хлеб сей. 
JHN.6.35	Рече же им Иисус: аз есмь хлеб животный: грядый ко мне не имать взалкатися, и веруяй в мя не имать вжаждатися никогдаже. 
JHN.6.36	Но рех вам, яко и видесте мя, и не веруете. 
JHN.6.37	Все, еже дает мне Отец, ко мне приидет, и грядущаго ко мне не изжену вон: 
JHN.6.38	яко снидох с небесе, не да творю волю мою, но волю пославшаго мя Отца. 
JHN.6.39	Се же есть воля пославшаго мя Отца, да все, еже даде ми, не погублю от него, но воскрешу е в последний день. 
JHN.6.40	Се же есть воля пославшаго мя, да всяк видяй Сына и веруяй в него имать живот вечный, и воскрешу его аз в последний день. 
JHN.6.41	Роптаху убо иудее о нем, яко рече: аз есмь хлеб сшедый с небесе. 
JHN.6.42	И глаголаху: не сей ли есть Иисус сын иосифов, егоже мы знаем отца и Матерь? како убо глаголет сей, яко с небесе снидох? 
JHN.6.43	Отвеща убо Иисус и рече им: не ропщите между собою: 
JHN.6.44	никтоже может приити ко мне, аще не Отец пославый мя привлечет его, и аз воскрешу его в последний день. 
JHN.6.45	Есть писано во пророцех: и будут вси научени Богом. Всяк слышавый от Отца и навык, приидет ко мне. 
JHN.6.46	Не яко Отца видел есть кто, токмо сый от Бога, сей виде Отца. 
JHN.6.47	Аминь, аминь глаголю вам: веруяй в мя имать живот вечный. 
JHN.6.48	Аз есмь хлеб животный: 
JHN.6.49	отцы ваши ядоша манну в пустыни и умроша: 
JHN.6.50	сей есть хлеб сходяй с небесе, да, аще кто от него яст, не умрет: 
JHN.6.51	аз есмь хлеб животный, иже сшедый с небесе: аще кто снесть от хлеба сего, жив будет во веки: и хлеб, егоже аз дам, Плоть моя есть, юже аз дам за живот мира. 
JHN.6.52	Пряхуся же между собою жидове, глаголюще: како может сей нам дати Плоть (свою) ясти? 
JHN.6.53	Рече же им Иисус: аминь, аминь глаголю вам: аще не снесте Плоти Сына Человеческаго, ни пиете крове его, живота не имате в себе. 
JHN.6.54	Ядый мою Плоть и пияй мою кровь имать живот вечный, и аз воскрешу его в последний день. 
JHN.6.55	Плоть бо моя истинно есть брашно, и кровь моя истинно есть пиво. 
JHN.6.56	Ядый мою Плоть и пияй мою кровь во мне пребывает, и аз в нем. 
JHN.6.57	Якоже посла мя живый Отец, и аз живу Отца ради: и ядый мя, и той жив будет мене ради. 
JHN.6.58	Сей есть хлеб сшедый с небесе: не якоже ядоша отцы ваши манну и умроша: ядый хлеб сей жив будет во веки. 
JHN.6.59	Сия рече на сонмищи, учя в капернауме. 
JHN.6.60	Мнози убо слышавше от ученик его, реша: жестоко есть слово сие: (и) кто может его послушати? 
JHN.6.61	Ведый же Иисус в себе, яко ропщут о сем ученицы его, рече им: сие ли вы блазнит? 
JHN.6.62	аще убо узрите Сына Человеческаго восходяща, идеже бе прежде? 
JHN.6.63	Дух есть, иже оживляет, плоть не пользует ничтоже: глаголголы, яже аз глаголах вам, дух суть и живот суть: 
JHN.6.64	но суть от вас нецыи, иже не веруют. Ведяше бо искони Иисус, кии суть неверующии, и кто есть предаяй его. 
JHN.6.65	И глаголаше: сего ради рех вам, яко никтоже может приити ко мне, аще не будет ему дано от Отца моего. 
JHN.6.66	От сего мнози от ученик его идоша вспять и ктому не хождаху с ним. 
JHN.6.67	Рече же Иисус обеманадесяте: еда и вы хощете ити? 
JHN.6.68	Отвеща убо ему симон петр: Господи, к кому идем? глаголголы живота вечнаго имаши, 
JHN.6.69	и мы веровахом и познахом, яко ты еси Христос, Сын Бога живаго. 
JHN.6.70	Отвеща им Иисус: не аз ли вас дванадесяте избрах? и един от вас диавол есть. 
JHN.6.71	глаголаше же иуду симонова искариота: сей бо хотяше предати его, един сый от обоюнадесяте.
JHN.7.1	И хождаше Иисус по сих в галилеи: не хотяше бо во иудеи ходити, яко искаху его иудее убити. 
JHN.7.2	Бе же близ праздник иудейский, потчение сени. 
JHN.7.3	Реша убо к нему братия его: прейди отсюду, и иди во иудею, да и ученицы твои видят дела твоя, яже твориши: 
JHN.7.4	никтоже бо в тайне творит что, и ищет сам яве быти: аще сия твориши, яви себе мирови. 
JHN.7.5	Ни братия бо его вероваху в него. 
JHN.7.6	глагола убо им Иисус: время мое не у прииде: время же ваше всегда готово есть: 
JHN.7.7	не может мир ненавидети вас, мене же ненавидит, яко аз свидетелствую о нем, яко дела его зла суть: 
JHN.7.8	вы взыдите в праздник сей, аз не взыду в праздник сей, яко время мое не у исполнися. 
JHN.7.9	Сия рек им, оста в галилеи. 
JHN.7.10	Егда же взыдоша братия его в праздник, тогда и сам взыде, не яве, но яко тай. 
JHN.7.11	Жидове же искаху его в праздник и глаголаху: где есть он? 
JHN.7.12	И ропот мног бе о нем в народех: овии глаголаху, яко благ есть: инии же глаголаху: ни, но льстит народы. 
JHN.7.13	Никтоже убо яве глаголаше о нем, страха ради иудейскаго. 
JHN.7.14	Абие же в преполовение праздника взыде Иисус во церковь и учаше. 
JHN.7.15	И дивляхуся иудее, глаголюще: како сей книги весть не учився? 
JHN.7.16	Отвеща (убо) им Иисус и рече: мое учение несть мое, но пославшаго мя: 
JHN.7.17	аще кто хощет волю его творити, разумеет о учении, кое от Бога есть, или аз от себе глаголю: 
JHN.7.18	глаголяй от себе славы своея ищет: а ищяй славы пославшаго его, сей истинен есть, и несть неправды в нем. 
JHN.7.19	Не моисей ли даде вам закон? и никтоже от вас творит закона. Что мене ищете убити? 
JHN.7.20	Отвеща народ и рече: беса ли имаши? кто тебе ищет убити? 
JHN.7.21	Отвеща Иисус и рече им: едино дело сотворих, и вси дивитеся: 
JHN.7.22	сего ради моисей даде вам обрезание, не яко от моисеа есть, но от отец: и в субботу обрезаете человека: 
JHN.7.23	аще обрезание приемлет человек в субботу, да не разорится закон моисеов, на мя ли гневаетеся, яко всего человека здрава сотворих в субботу? 
JHN.7.24	не судите на лица, но праведный суд судите. 
JHN.7.25	Глаголаху убо нецыи от Иерусалимлян: не сей ли есть, егоже ищут убити? 
JHN.7.26	и се, не обинуяся глаголет, и ничесоже ему не глаголют: еда како разумеша князи, яко сей есть Христос? 
JHN.7.27	но сего вемы, откуду есть: Христос же егда приидет, никтоже весть, откуду будет. 
JHN.7.28	Воззва убо в церкви учя Иисус и глаголя: и мене весте, и весте, откуду есмь: и о себе не приидох, но есть истинен пославый мя, егоже вы не весте: 
JHN.7.29	аз вем его, яко от него есмь, и той мя посла. 
JHN.7.30	Искаху убо, да имут его: и никтоже возложи нань руки, яко не у бе пришел час его. 
JHN.7.31	Мнози же от народа вероваша в него и глаголаху, яко Христос, егда приидет, еда болша знамения сотворит, яже сей творит? 
JHN.7.32	Слышаша фарисее народ ропщущь о нем сия, и послаша фарисее и архиерее слуги, да имут его. 
JHN.7.33	Рече убо Иисус: еще мало время с вами есмь, и иду к пославшему мя: 
JHN.7.34	взыщете мене и не обрящете: и идеже есмь аз, вы не можете приити. 
JHN.7.35	Реша же иудее к себе: камо сей хощет ити, яко мы не обрящем его? еда в разсеяние еллинское хощет ити и учити еллины? 
JHN.7.36	что есть сие слово, еже рече: взыщете мене и не обрящете: и идеже есмь аз, вы не можете приити? 
JHN.7.37	В последний же день великий праздника стояше Иисус и зваше, глаголя: аще кто жаждет, да приидет ко мне и пиет: 
JHN.7.38	веруяй в мя, якоже рече писание, реки от чрева его истекут воды живы. 
JHN.7.39	Сие же рече о Дусе, егоже хотяху приимати верующии во имя его: не у бо бе Дух святый, яко Иисус не у бе прославлен. 
JHN.7.40	Мнози же от народа слышавше слово, глаголаху: сей есть воистинну пророк. 
JHN.7.41	Друзии глаголаху: сей есть Христос. Овии же глаголаху: еда от галилеи Христос приходит? 
JHN.7.42	не писание ли рече, яко от семене давидова и от вифлеемския веси, идеже бе давид, Христос приидет? 
JHN.7.43	Распря убо бысть в народе его ради. 
JHN.7.44	Нецыи же от них хотяху яти его: но никтоже возложи нань руце. 
JHN.7.45	Приидоша же слуги ко архиереом и фарисеом: и реша им тии: почто не приведосте его? 
JHN.7.46	Отвещаша слуги: николиже тако есть глаголал человек, яко сей Человек. 
JHN.7.47	Отвещаша убо им фарисее: еда и вы прельщени бысте? 
JHN.7.48	еда кто от князь верова в онь, или от фарисей? 
JHN.7.49	но народ сей, иже не весть закона, прокляти суть. 
JHN.7.50	Глагола никодим к ним, иже пришедый к нему нощию, един сый от них: 
JHN.7.51	еда закон наш судит человеку, аще не слышит от него прежде и разумеет, что творит? 
JHN.7.52	Отвещаша и рекоша ему: еда и ты от галилеи еси? испытай и виждь, яко пророк от галилеи не приходит. 
JHN.7.53	И иде кийждо в дом свой.
JHN.8.1	Иисус же иде в гору елеонску: 
JHN.8.2	заутра же паки прииде в церковь, и вси людие идяху к нему: и сед учаше их. 
JHN.8.3	Приведоша же книжницы и фарисее к нему жену в прелюбодеянии яту, и поставивше ю посреде, 
JHN.8.4	глаголаша ему: учителю, сия жена ята есть ныне в прелюбодеянии: 
JHN.8.5	в законе же нам моисей повеле таковыя камением побивати: ты же что глаголеши? 
JHN.8.6	Сие же реша искушающе его, да быша имели что глаголати нань. Иисус же долу преклонься, перстом писаше на земли, не слагая (им). 
JHN.8.7	Якоже прилежаху вопрошающе его, восклонься рече к ним: иже есть без греха в вас, прежде верзи камень на ню. 
JHN.8.8	И паки долу преклонься, писаше на земли. 
JHN.8.9	Они же слышавше и совестию обличаеми, исхождаху един по единому, наченше от старец до последних: и оста един Иисус, и жена посреде сущи. 
JHN.8.10	Восклонься же Иисус и ни единаго видев, точию жену, рече ей: жено, где суть, иже важдаху на тя? ни кийже ли тебе осуди? 
JHN.8.11	Она же рече: никтоже, Господи. Рече же ей Иисус: ни аз тебе осуждаю: иди и (отселе) ктому не согрешай. 
JHN.8.12	Паки же им Иисус рече глаголя: аз есмь свет миру: ходяй по мне не имать ходити во тме, но имать свет животный. 
JHN.8.13	Реша убо ему фарисее: ты о себе сам свидетелствуеши: свидетелство твое несть истинно. 
JHN.8.14	Отвеща Иисус и рече им: аще аз свидетелствую о себе, истинно есть свидетелство мое, яко вем, откуду приидох и камо иду: вы же не весте, откуду прихожду и камо гряду: 
JHN.8.15	вы по плоти судите, аз не сужду ни комуже: 
JHN.8.16	и аще сужду аз, суд мой истинен есть, яко един несмь, но аз и пославый мя Отец: 
JHN.8.17	и в законе же вашем писано есть, яко двою человеку свидетелство истинно есть: 
JHN.8.18	аз есмь свидетелствуяй о мне самем, и свидетелствует о мне пославый мя Отец. 
JHN.8.19	Глаголаху же ему: где есть Отец твой? Отвеща Иисус: ни мене весте, ни Отца моего: аще мя бысте ведали, и Отца моего ведали бысте. 
JHN.8.20	Сия глаголголы глагола Иисус в газофилакии, учя в церкви: и никтоже ят его, яко не у бе пришел час его. 
JHN.8.21	Рече же им паки Иисус: аз иду, и взыщете мене, и во гресе вашем умрете: аможе аз иду, вы не можете приити. 
JHN.8.22	Глаголаху убо иудее: еда ся сам убиет, яко глаголет: аможе аз иду, вы не можете приити? 
JHN.8.23	И рече им: вы от нижних есте, аз от вышних есмь: вы от мира сего есте, аз несмь от мира сего: 
JHN.8.24	рех убо вам, яко умрете во гресех ваших: аще бо не имете веры, яко аз есмь, умрете во гресех ваших. 
JHN.8.25	Глаголаху убо ему: ты кто еси? И рече им Иисус: начаток, яко и глаголю вам: 
JHN.8.26	многа имам о вас глаголати и судити: но пославый мя истинен есть, и аз, яже слышах от него, сия глаголю в мире. 
JHN.8.27	Не разумеша (убо), яко Отца им глаголаше. 
JHN.8.28	Рече же им Иисус: егда вознесете Сына Человеческаго, тогда уразумеете, яко аз есмь, и о себе ничесоже творю, но, якоже научи мя Отец мой, сия глаголю: 
JHN.8.29	и пославый мя со мною есть: не остави мене единаго Отец, яко аз угодная ему всегда творю. 
JHN.8.30	Сия ему глаголющу, мнози вероваша в него. 
JHN.8.31	глаголаше убо Иисус к веровавшым ему иудеом: аще вы пребудете во словеси моем, воистинну ученицы мои будете 
JHN.8.32	и уразумеете истину, и истина свободит вы. 
JHN.8.33	Отвещаша (и реша) ему: семя авраамле есмы и ни комуже работахом николиже: како ты глаголеши, яко свободни будете? 
JHN.8.34	Отвеща им Иисус: аминь, аминь глаголю вам, яко всяк творяй грех раб есть греха: 
JHN.8.35	раб же не пребывает в дому во век: сын пребывает во век: 
JHN.8.36	аще убо Сын вы свободит, воистинну свободни будете: 
JHN.8.37	вем, яко семя авраамле есте: но ищете мене убити, яко слово мое не вмещается в вы: 
JHN.8.38	аз, еже видех у Отца моего, глаголю: и вы убо, еже видесте у отца вашего, творите. 
JHN.8.39	Отвещаша и реша ему: отец наш авраам есть. глагола им Иисус: аще чада авраамля бысте были, дела авраамля бысте творили: 
JHN.8.40	ныне же ищете мене убити, Человека, иже истину вам глаголах, юже слышах от Бога: сего авраам несть сотворил: 
JHN.8.41	вы творите дела отца вашего. Реша же ему: мы от любодеяния несмы рождени: единаго Отца имамы, Бога. 
JHN.8.42	Рече же им Иисус: аще Бог Отец ваш (бы) был, любили бысте (убо) мене: аз бо от Бога изыдох и приидох: не о себе бо приидох, но той мя посла: 
JHN.8.43	почто беседы моея не разумеете? яко не можете слышати словесе моего: 
JHN.8.44	вы отца (вашего) диавола есте, и похоти отца вашего хощете творити: он человекоубийца бе искони и во истине не стоит, яко несть истины в нем: егда глаголет лжу, от своих глаголет, яко ложь есть и отец лжи: 
JHN.8.45	аз же зане истину глаголю, не веруете мне: 
JHN.8.46	кто от вас обличает мя о гресе? аще ли истину глаголю, почто вы не веруете мне? 
JHN.8.47	иже есть от Бога, глаголголов Божиих послушает: сего ради вы не послушаете, яко от Бога несте. 
JHN.8.48	Отвещаша убо иудее и реша ему: не добре ли мы глаголем, яко самарянин еси ты и беса имаши? 
JHN.8.49	Отвеща Иисус: аз беса не имам, но чту Отца моего, и вы не чтете мене: 
JHN.8.50	аз же не ищу славы моея: есть ищя и судя: 
JHN.8.51	аминь, аминь глаголю вам: аще кто слово мое соблюдет, смерти не имать видети во веки. 
JHN.8.52	Реша убо ему жидове: ныне разумехом, яко беса имаши: авраам умре и пророцы, и ты глаголеши: аще кто слово мое соблюдет, смерти не имать вкусити во веки: 
JHN.8.53	еда ты болий еси отца нашего авраама, иже умре? и пророцы умроша: кого себе сам ты твориши? 
JHN.8.54	Отвеща Иисус: аще аз славлюся сам, слава моя ничесоже есть: есть Отец мой славяй мя, егоже вы глаголете, яко Бог ваш есть: 
JHN.8.55	и не познасте его, аз же вем его: и аще реку, яко не вем его, буду подобен вам ложь: но вем его и слово его соблюдаю: 
JHN.8.56	авраам отец ваш рад бы был, дабы видел день мой: и виде и возрадовася. 
JHN.8.57	Реша убо иудее к нему: пятидесят лет не у имаши, и авраама ли еси видел? 
JHN.8.58	Рече (же) им Иисус: аминь, аминь глаголю вам: прежде даже авраам не бысть, аз есмь. 
JHN.8.59	Взяша убо камение, да вергут нань: Иисус же скрыся и изыде из церкве, прошед посреде их: и мимохождаше тако.
JHN.9.1	И мимоидый виде человека слепа от рождества. 
JHN.9.2	И вопросиша его ученицы его, глаголюще: равви, кто согреши, сей ли, или родителя его, яко слеп родися? 
JHN.9.3	Отвеща Иисус: ни сей согреши, ни родителя его, но да явятся дела Божия на нем: 
JHN.9.4	мне подобает делати дела пославшаго мя, дондеже день есть: приидет нощь, егда никтоже может делати: 
JHN.9.5	егда в мире есмь, свет есмь миру. 
JHN.9.6	Сия рек, плюну на землю, и сотвори брение от плюновения, и помаза очи брением слепому, 
JHN.9.7	и рече ему: иди, умыйся в купели силоамсте, еже сказается послан. Иде убо и умыся, и прииде видя. 
JHN.9.8	Соседи же и иже бяху видели его прежде, яко слеп бе, глаголаху: не сей ли есть седяй и просяй? 
JHN.9.9	Овии глаголаху, яко сей есть: инии же (глаголаху), яко подобен ему есть. Он (же) глаголаше, яко аз есмь. 
JHN.9.10	Глаголаху же ему: како ти отверзостеся очи? 
JHN.9.11	Отвеща он и рече: Человек нарицаемый Иисус брение сотвори и помаза очи мои и рече ми: иди в купель силоамлю и умыйся. Шед же и умывся, прозрех. 
JHN.9.12	Реша убо ему: кто той есть? Глагола: не вем. 
JHN.9.13	Ведоша (же) его к фарисеом, иже бе иногда слеп. 
JHN.9.14	Бе же суббота, егда сотвори брение Иисус и отверзе ему очи. 
JHN.9.15	Паки же вопрошаху его и фарисее, како прозре. Он же рече им: брение положи мне на очи, и умыхся, и вижу. 
