MAT.1.1	Yisa Masia chɔɔŋkʋʋlɩŋ saara wʋnna: die ʋ yiwo Davidi haagɩŋ ta Davidi dɩaŋ dɩ yi Abarahami haagɩŋ.
JHN.20.8	Ka kʋaŋ chaaŋ kʋaŋandɩɩsɩrʋ wa mi die dɩ wolinne a tʋgɩ wa gbaŋ die dɩ juu vɔrɩkʋ sʋŋ a ye ta yi yada. 
JHN.20.9	Ama die ba ye ka sɩba wudieke dɩ maagɩna Ŋmɩŋ gbaŋkʋ ma chɩaŋ, dɩ Yisa nan hagɩ kuŋ me wo. 
JHN.20.10	Womi die ʋ kʋaŋandɩɩsɩrɩba dɩ yiŋŋi a kuli.
JHN.20.11	Ama Meri nɩŋ die dɩ wɩarɩ a zie vɔrɩkʋ jigiŋ a kʋma. Die ʋ kʋnana wa die ʋ sʋʋŋ zʋʋrɩ a daansɩ vɔrɩkʋ sʋŋ 
JHN.20.12	a ye malakasi bale dɩ yeegine nyɩŋyɩala wʋnyɩ dɩ kalɩ jigidieke die ba nagɩna Yisa nyɩŋgbaŋka a dʋaŋ wa sikpeŋ chaaŋ ta wʋnyɩ dɩaŋ dɩ kalɩ ʋ nagɩsɩ chaaŋ. 
JHN.20.13	Die ba pɩasɩ wa dɩ, “Hɔgʋ, bɩa wɩa fʋ kʋma?”
JHN.20.13	Ʋ yiŋŋi a balɩ ba dɩ, “Ba nagɩ wa n Yɔmʋtieŋ ta maŋ ka sɩba jigidieke ba nagɩna wa a ga dʋaŋ.”
JHN.20.14	Die ʋ balla naa a kpatɩ wa, die ʋ yiŋŋi a ye Yisa dɩ zene mi, ama die ʋ ka mɩŋŋɩya dɩ dɩ yiwo Yisa. 
JHN.20.15	Yisa die dɩ pɩasɩ wa dɩ, “N taa, bɩa wɩa fʋ kʋma? Mɩnɩa fʋ dɩ dɩa yaala?” Meri nɩŋ die yile dɩ dɩ yiwo kʋakʋ tʋntʋntʋ, ta die balɩ a yɩ wa dɩ, “Jakʋʋŋ, dɩɩ yi fʋ nagɩna wa, dagɩ mɩŋ jigidieke fʋ nagɩna wa a ga dʋaŋ aŋ n ga nagɩ wa.”
JHN.20.16	Yisa die dɩ baarɩ dɩ “Meri”, die Meri die dɩ yiŋŋi a tuoli wo a wa wa Juu vuosi jabalɩkɩŋ ma dɩ, “Raboni!” (Ka chɩaŋ yine “Dɩdagɩrʋ”.)
JHN.20.17	Yisa die dɩ balɩ a yɩ wa dɩ, “Da keŋ a gbɩ mɩŋ, dama n ye ka yiŋŋi ga ŋmɩŋsikpeŋ n Chʋa jigiŋ, ama ga a ga balɩ n nɩmballɩlɩ dɩ n yiŋŋi gara n Chʋa vuodieke dɩ yine nɩ gbaŋ nɩ Chɔɔŋ wa jigiŋ; wʋnɩŋ ʋ bɩna a yi n Ŋmɩŋ aŋaŋ nɩ gbaŋ nɩ Ŋmɩŋ.”
JHN.20.18	Die wɩa Meri Magidalini die dɩ ga a ga Yisa dɩdɩɩsɩrɩba jigiŋ a balɩ ba dɩ ʋ ye wo tɩ Yɔmʋtieŋ wo. Ta balɩ ba wudieke ʋ bala wa wa.
JHN.20.19	Die Alasirika mi daraaŋ yuŋ, Yisa kʋaŋandɩɩsɩrɩba die dɩ lagɩsɩ taŋ a bie juoŋ me ta kparɩ, dama die ba chɩga Juu vuosi nyɩŋkʋraha ŋmaamɩŋ mɩŋ. Womi Yisa die dɩ keŋ zie ba sʋnsʋŋ, a baarɩ dɩ, “Sʋgɩdʋagɩŋ bemme nɩ ma.” 
JHN.20.20	Die ʋ balla naa a kpatɩ wa, die ʋ nagɩ ʋ nuusisi vɔrɩtɩtɩ aŋaŋ ʋ lʋgɩŋ vɔrɩkʋ a dagɩ ba. Die ʋ kʋaŋandɩɩsɩrɩba die dɩ yene wo wo, ba sʋgɩtɩ dɩ paalɩ fɩalɩ. 
JHN.20.21	Womi Yisa die dɩ bɩ balɩ a yɩ ba dɩ, “Sʋgɩdʋagɩŋ bemme nɩ ma. N Chʋa Ŋmɩŋ dɩ tʋnna mɩŋ dene wo, die gbaŋ maŋ tʋma nɩ.” 
JHN.20.22	Ʋ balɩ die ta die voosi a yi ba ma a baarɩ dɩ, “Nɩ tuo Ŋmɩŋ Halɩkasɩka. 
JHN.20.23	Dɩɩ yi nɩ nagɩ vuoŋ tʋmbɩatɩ a chaa wa, ʋ seŋ ye tʋmbɩatɩ naachaala mɩŋ, ama dɩɩ yi nɩ ka nagɩ vuoŋ tʋmbɩatɩ a chaa wa, ʋ kaaŋ seŋ ye tʋmbɩatɩ naachaala.”
JHN.20.24	Ama ʋ kʋaŋandɩɩsɩrɩba baŋ aŋaŋ bale wo wʋnyɩ ba wasɩnana Tomasi, ta ba bɩ wasa wa Yiibiri die wo ba jigiŋ saŋŋa dieke Yisa dɩ kenne wo. 
JHN.20.25	Die ʋ kʋaŋandɩɩsɩrɩ banɩŋ ba dɩ bala wa dɩ, “Tɩ ye tɩ Yɔmʋtieŋ mɩŋ.” Tomasi die dɩ balɩ ba dɩ, “Dɩɩ yi maŋ ka ye yɩɩmaha vɔrɩtɩ ʋ nuusi me ta nagɩ n nuubisi a yi kʋjagɩlagɩsɩ ma ta nagɩ n nuuŋ a yi lʋgɩrɩ kʋjagɩlagɩsɩ ma, n kaaŋ yi yada.”
JHN.20.26	Ka daraa anɩɩ daraaŋ bɩbra, Yisa kʋaŋandɩɩsɩrɩba die dɩ lagɩsɩ taŋ a bie juoŋ me, Tomasi die bie ba jigiŋ saŋka gie, ta die ba bɩ kparɩ sanʋaha. Die sanʋaha die kparɩya mɩŋ ama Yisa die dɩ keŋ a zie ba sʋnsʋŋ, a baarɩ dɩ, “Sʋgɩdʋagɩŋ bemme nɩ ma, 
JHN.20.27	ta balɩ Tomasi dɩ, ‘Nagɩ fʋ nuubiŋ a nagɩ yi giena, ta daansɩ n nuusi ta nagɩ fʋ nuuŋ a yi n lʋgɩrɩ ma, ta daa bɩ chɩɩlɩ ama ta yi mɩŋ yada.’ ”
JHN.20.28	Tomasi die dɩ yiŋŋi balɩ wa dɩ, “Fʋ yine n Yɔmʋtieŋ aŋaŋ n Ŋmɩŋ.”
JHN.20.29	Yisa die dɩ pɩasɩ wa dɩ, “Fʋ yene mɩŋ wɩa fʋ yi yada? Sʋgɩfɩalɩŋ bie vuodiekemba dɩ kana ka ye mɩŋ ta yi mɩŋ yada ma.”
JHN.20.30	Yisa die yi mamachi wɩa ataŋ pam ʋ kʋaŋandɩɩsɩrɩba nine me ta ba ka maagɩha a yi gbaŋkʋ gie me. 
JHN.20.31	Ama wudieke ba maagɩna gbaŋkʋ gie me, ba maagɩya dɩ nɩ yi yada dɩ Yisa yine Ŋmɩŋ Vuovʋarɩkɩrɩ Masia wa, ta bɩ yi Ŋmɩŋ Bʋadembiŋ. Dɩɩ yi fʋ yi wo yada, nan dɩ yaa miivoli ʋ saaŋ ma.
JHN.21.1	Genke kʋaŋ chaaŋ Yisa die dɩ bɩ nyɩŋ ʋ kʋaŋandɩɩsɩrɩba jigiŋ, gbagɩkpɩɩŋ dieke ba wasɩnana Taberisi
JHN.21.2	Die Simoni Piita aŋaŋ Tomasi (vuodieke die ba bɩna wasa Yiibiri) aŋaŋ Nataniali, (vuodieke dɩ nyɩnna Keenani dieke dɩ benne Galili tɩŋgbaŋ ma wa), aŋaŋ Zebedi ballɩlɩ, aŋaŋ Yisa kʋaŋandɩɩsɩrɩŋ bale bataŋ, die lagɩsɩna. 
JHN.21.3	Womi Simoni Piita dɩ balɩ a yɩ ba dɩ, “N gara zaasɩŋ yigiŋ.”
JHN.21.3	Die ba balɩ wa dɩ, “Tɩ nan ga aŋaŋ fʋ.” Die wɩa die ba juu haarɩŋ, ama kanɩŋ yuku mi die ba ka yigi jaaŋ mana. 
JHN.21.4	Ka sʋkʋleeliŋ Yisa die dɩ keŋ zie gbagɩrɩ nʋaŋ ama ʋ kʋaŋandɩɩsɩrɩba die ka mɩŋŋɩya dɩ dɩ yiwo wʋnɩŋ. 
JHN.21.5	Die ʋ wa ba dɩ, “N zʋamba, nɩ ka yigi zaasɩŋ?”
JHN.21.5	Ta ba yiŋŋi balɩ wa, wa.
JHN.21.6	Die ʋ baarɩ dɩ, “Nɩ nagɩ nɩ nɩɩkʋ a taaŋ haarɩkʋ nuudiigiŋ chaaŋ, ta nɩ nan yigi ataŋ.” Die wɩa die ba nagɩ nɩɩkʋ a taaŋ, ta die ka bɩagɩ a datɩ ka a keŋ jʋalɩ, dama die ka faasɩ yigi wo zaasɩŋ pam.
JHN.21.7	Yisa kʋaŋandɩɩsɩrʋ dieke ʋ faasɩna cho wo dɩ balɩ a yɩ Piita dɩ, “Dɩ yiwo tɩ Yɔmʋtieŋ wo.” Die Simoni Piita dɩ wʋnna dɩ dɩ yiwo tɩ Yɔmʋtieŋ wo, ʋ nagɩ ʋ jayeekiŋ a yeegi (dama die ʋ wuuri wo ʋ nyinti mɩŋ) ta die yugi a sʋʋŋ nyaabʋ sʋŋ. 
JHN.21.8	Die kʋaŋandɩɩsɩrɩ banɩŋ ba die dɩ dɔŋ haarɩkʋ a keŋ gbagɩrɩ nʋaŋ ta haarɩkʋ dɩ data nɩɩkʋ dɩ suuline aŋaŋ zaasɩbʋ, dama die ba ka yʋa aŋaŋ gaaŋ, ba aŋaŋ gaaŋ die yiwo sɩba naŋ magɩsa kɔbɩga. 
JHN.21.9	Die ba tʋgɩna gaarɩ die ba ye paanʋ aŋaŋ bolikaala, ta zaasɩŋ dɩ diisi bolikaalaha ma. 
JHN.21.10	Womi Yisa die dɩ balɩ ba dɩ, “Nɩ yaa zaasɩ dieke nɩ yigine wo ataŋ a keŋ.”
JHN.21.11	Die wɩa, Simoni Piita die dɩ juu haarɩkʋ a datɩ nɩɩkʋ a keŋ jʋalɩ gaaŋ, ka suuli aŋaŋ zaasɩkpɩɩma; die ba bɩɩsɩ ha a yi nyinti kɔbɩga aŋaŋ baŋɩsɩ-nʋ aŋaŋ ataa. Aŋaŋ die a dala wa mana, ama nɩɩkʋ die ka chɩɩrɩya. 
JHN.21.12	Yisa die dɩ balɩ a yɩ ba dɩ, “Nɩ keŋ a ŋɔbɩ.” Ama ʋ kʋaŋandɩɩsɩrɩba wʋnyɩ gbaŋ die wo sikimiŋ dɩ ʋ pɩasɩ wa dɩ, “Mɩnɩa yine fʋ?” Dama die ba sɩba dɩ dɩ yiwo tɩ Yɔmʋtieŋ wo. 
JHN.21.13	Die wɩa die Yisa die dɩ nagɩ paanʋkʋ a nagɩ yɩ ba, ta bɩ nagɩ zaasɩbʋ dɩaŋ a yɩ ba.
JHN.21.14	Naa die yiwo bʋtaa ma Yisa dɩ nyɩnna ʋ kʋaŋandɩɩsɩrɩba jigiŋ ʋ kumbu hagɩŋ kʋaŋ chaaŋ.
JHN.21.15	Die ba dine a kpatɩ kʋaŋ chaaŋ, Yisa die dɩ pɩasɩ Simoni Piita dɩ, “Simoni, fʋnɩŋ Jɔɔn bʋa, fʋ cho mɩŋ mɩŋ a tɩaŋ nyinti gie mana?”
JHN.21.15	Die ʋ yiŋŋi baarɩ dɩ, “Wa, n Yɔmʋtieŋ, sɩba a baarɩ n cho fʋ mɩŋ.”
JHN.21.15	Yisa dɩ balɩ wa dɩ, “Die nɩŋ daansɩma n yiipɔlaha.” 
JHN.21.16	Yisa die dɩ bɩ pɩasɩ wa bule me dɩ, “Simoni, fʋnɩŋ Jɔɔn bʋa, cho mɩŋ mɩŋ?”
JHN.21.16	Ʋ yiŋŋi baarɩ dɩ, “Wa, n Yɔmʋtieŋ sɩba dɩ n cho fʋ mɩŋ.”
JHN.21.16	Yisa dɩ balɩ a yɩ wa dɩ, “Daansɩma n yiise.” 
JHN.21.17	Yisa die dɩ pɩasɩ wa ka bʋtaa ma dɩ, “Simoni, fʋnɩŋ Jɔɔn bʋa, cho mɩŋ mɩŋ?”
JHN.21.17	Ta Piita sʋŋ dɩ chʋʋsɩ, dama Yisa die pɩasɩ wa mɩŋ bʋtaa ma dɩ, “Cho mɩŋ mɩŋ.” Die ʋ yiŋŋi balɩ wa dɩ, “N Yɔmʋtieŋ, sɩba wɩɩŋ mana mɩŋ, ta bɩ sɩba dɩ n cho fʋ mɩŋ.”
JHN.21.17	Yisa die dɩ balɩ yɩ wa dɩ, “Daansɩma n yiise. 
JHN.21.18	Wusie maŋ bala fʋ: Die fʋ yine dalʋakɩrɩ, die aŋ bɔba fʋ gbanɩŋ mɩŋ a gara jigidieke mana fʋ yaalɩnana, ama fʋ keŋ kʋrɩŋ, nan tɩɩrɩ fʋ nuusi aŋ vuogaaŋ bɔbɩ fʋ fʋ gbanɩŋ ta yaa fʋ ga jigidieke fʋ kana ka yaala dɩ fʋ ga.” 
JHN.21.19	Yisa die balɩ wa naa, a dagɩ Piita dɩ bala ʋ kpi kuŋ dieke ta vaa Ŋmɩŋ saaŋ ye bɩrɩŋ dene. Ka kʋaŋ chaaŋ Yisa dɩ balɩ wa dɩ, “Dɩa mɩŋ.”
JHN.21.20	Piita die dɩ yiŋŋi a ye Yisa kʋaŋandɩɩsɩrʋ dieke ʋ faasɩna a cho wo dɩ dɩna ba. Wʋnɩŋ die ʋ kalla a gbigi Yisa wa saŋŋa dieke die ba dinene nyindiikehe, ta die pɩasɩ wa dɩ, “N Yɔmʋtieŋ, mɩnɩa bala ʋ posi fʋ chɩaka?” 
JHN.21.21	Die Piita dɩ yene wo, die ʋ pɩasɩ Yisa dɩ, “N Yɔmʋtieŋ, ta daa wa gie dɩaŋ?”
JHN.21.22	Yisa die dɩ yiŋŋi a balɩ wa dɩ, “Dɩɩ yi maŋ yaala ʋ bemme ʋ mɩsɩ ma a ga tʋgɩ saŋŋa dieke n balla n yiŋŋi keŋ wo, ka ye fʋ wo sɩa?” Fʋnɩŋ ko dɩa mɩŋ.
JHN.21.23	Die wɩa die ka mʋʋlɩ Yisa dɩdɩɩsɩrɩba sʋŋ dɩ, wʋnɩŋ kʋaŋandɩɩsɩrʋ wa mi ka baa ʋ kpi. Ama Yisa die ka balɩ dɩ ʋ ka baa ʋ kpi; ama die ʋ baarɩ dɩ, “Dɩɩ yi maŋ yaala ʋ bemme ʋ mɩsɩ ma a ga tʋgɩ saŋŋa dieke n bala n yiŋŋi keŋ wo, ka ye fʋ sɩa?”
JHN.21.24	Wʋnɩŋ kʋaŋandɩɩsɩrʋ wa gie yine vuodieke dɩ bala wɩaha gie mana, ta bɩ maagɩha, ta tɩ sɩba dɩ wudieke ʋ balala wa yiwo wusie.
JHN.21.25	Yisa die yiwo wɩa pam a gʋtɩ wudiekemba dɩ maagɩna gbaŋkʋ gie me. Dɩɩ yi ba tɩŋ maagɩ a mana a yi gbaŋtɩ ma, n yile dɩ yaalɩŋ kaaŋ dɩ bie tɩŋgbaŋka gie me a baaŋ nan juu.
ACT.1.1	N zʋa Tiwofilusi:
ACT.1.1	N bʋmbʋŋaŋ gbaŋkʋ ma die n maagɩ wa wudiekemba mana Yisa dɩ yinene ta dagɩ vuosi a nyɩŋ saŋŋa dieke die ʋ piiline ʋ tʋʋma 
ACT.1.2	a yaa ga tʋgɩ daa dieke Ŋmɩŋ dɩ yalla wa ga arɩzanna ma. Die ʋ yene ka gaya wa die ʋ dagɩ vuodiekemba ʋ vʋarɩna a yi ʋ tʋntʋntɩba aŋaŋ Ŋmɩŋ Halɩkasɩka hagɩrɩŋ, ba baaŋ dɩ tʋma dene. 
ACT.1.3	Die ʋ kuŋ kʋaŋ chaaŋ die ʋ nagɩ daraa baŋɩsɩ-nɩɩsa a nagɩ ʋ gbaŋ daga ba, die dɩ seŋ dagɩ dɩ dɩ ka yi chɩɩla dɩ ʋ bie wo ʋ mɩsɩ ma, die ba ŋaaŋ yese wo mɩŋ, ta die ʋ balɩ ba wɩa yaa gamma Ŋmɩŋ naarɩ ma. 
ACT.1.4	Die saŋŋa kaanɩ, die ʋ dinene aŋaŋ ba wa, die ʋ yɩ ba nʋarɩ gie dɩ, “Nɩ daa keŋ a nyɩŋ Jerusalemi, ama nɩ chɩɩsɩma Halɩkasɩka dieke n Chʋa dɩ yɩna nʋaŋ dɩ ʋ nan yɩ nɩ wa, wudieke wɩa n wone a balɩ wa. 
ACT.1.5	Jɔɔn nɩŋ die sɩɩ wa vuosi aŋaŋ nyaaŋ, ama daraa gie nʋaŋ Ŋmɩŋ Halɩkasɩka nan suuli nɩ.”
ACT.1.6	Die Yisa tʋntʋntɩba die dɩ lagɩsɩna aŋaŋ Yisa wa, die ba pɩasɩ wa dɩ, “Tɩ Yɔmʋtieŋ, saŋka gie fʋ baa fʋ gbatɩ tɩnɩŋ Izara vuosi a nyɩŋ Romani vuosi nuusi me ta yiŋŋi a yɩ tɩ tɩ naarɩ?”
ACT.1.7	Die Yisa dɩ balɩ ba dɩ, “Ŋmɩŋ ka yɩ nɩ sieŋ dɩ nɩ sɩmma saŋŋa aŋaŋ daa dieke wɩaha gie dɩ balla a yi, sie ʋ nyɩɩna ma. 
ACT.1.8	Ama saŋŋa dieke ʋ Halɩkasɩka dɩ baaŋ keŋ a sʋʋŋ nɩ ma wa, nɩ nan ye hagɩrɩŋ, ta nan yi n siaratieliŋ Jerusalemi ma, aŋaŋ Judia tɩŋgbaŋ mana aŋaŋ Samaria tɩŋgbaŋ mana aŋaŋ dʋnɩa ka gie lʋga mana mana ma.” 
ACT.1.9	Die ʋ bala wɩaha gie a kpatɩ wa, die ba ye Ŋmɩŋ dɩ vana ʋ jʋalɩ gara ŋmɩŋsikpeŋ, ba daansa wa, ta die nɩɩŋmara wɩa ba ka bɩ bɩagɩ a ye wo.
ACT.1.10	Die ba ye ko a zie a daansa ŋmɩŋsikpeŋ ʋ gana wa, womi dembisi bale dɩ yeegi nyɩŋyɩala a keŋ a zie ba jigiŋ, 
ACT.1.11	a pɩasɩ ba dɩ, “Nɩnɩŋ Galili dembisi, bie nɩ zie giena a daansa ŋmɩŋsikpeŋ dene? Yisa wa gie dɩ nyɩna nɩ jigiŋ a jʋalɩ a ga arɩzanna naa wa, ʋ nan daansɩ a yiŋŋi a keŋ sɩba nɩ yene wo ʋ jʋalɩna a ga arɩzanna die wo.”
ACT.1.12	Womi die Yisa tʋntʋntɩba dɩ yiŋŋi a nyɩŋ Olivi Tɩɩsɩ kunkogiri me a ga Jerusalemi. Mi aŋaŋ Jerusalemi die yiwo sɩba mali chɩbɩŋ. 
ACT.1.13	Die ba gana a ga juu Jerusalemi wa, die ba ga juu juodieke me ba benne wo: Vuodiekemba die dɩ benne mi die wone Piita aŋaŋ Jɔɔn aŋaŋ Jemisi aŋaŋ Andurusi aŋaŋ Filipi aŋaŋ Tomasi aŋaŋ, Batolomiwo aŋaŋ Matiwo aŋaŋ Alifusi bʋa Jemisi aŋaŋ Simoni, vuodieke die dɩ yaala banɩŋ Juu vuosi yallɩma ba gbaŋ wa aŋaŋ Judasi, Jemisi bʋa. 
ACT.1.14	Die ba ŋaaŋ lagɩma saŋŋa mana aŋaŋ hɔgʋba bataŋ aŋaŋ Yisa nuŋ Meri aŋaŋ Yisa nɩmballɩ a jʋʋsa Ŋmɩŋ aŋaŋ sʋgɩbalɩmɩŋ.
ACT.1.15	Die ka daraa ale kʋaŋ chaaŋ, ta Yisa kʋaŋandɩɩsɩrɩŋ sɩba vuosi kɔbɩga aŋaŋ baŋɩsɩ-le die dɩ lagɩsɩ kalɩ, ta Piita die dɩ hagɩ a zie ba sʋŋ 
ACT.1.16	a baarɩ dɩ, “N nɩmballɩ, sie wudieke Ŋmɩŋ Halɩkasɩka die dɩ vana Davidi dɩ maagɩ Ŋmɩŋ gbaŋkʋ ma wa yaa gamma Judasi wɩaha keŋ yi wusie. Judasi wa die yine vuodieke dɩ dagɩna vuosisi ba yigi Yisa wa. 
ACT.1.17	Ama Yisa die vʋarɩna tɩnɩŋ aŋaŋ wʋnɩŋ dɩ tɩ tʋma Ŋmɩŋ tʋŋ dieke tɩ tʋnna aŋaŋ wa.”
ACT.1.18	(Judasi tʋmbɩatɩ nyʋarɩ ligirehe die ʋ nagɩ a daa tɩŋgbaŋ, me gbaŋ die ʋ nan kpi, ta ʋ nyɩŋgbanɩŋ die dɩ natɩ yuori ʋ nyuubie mana die dɩ nyɩŋ a jaasɩ. 
ACT.1.19	Vuodiekemba mana die dɩ benne Jerusalemi ma die dɩ wʋŋ ka wɩa. Naa chɩaŋ ma die ba wasa mi ba wʋbalɩkɩŋ ma dɩ Akelidama, ka chɩaŋ wone “Zɩŋ tɩŋgbaŋ.”)
ACT.1.20	Dama “Dɩ maagɩya Yɩla gbaŋ dieke dɩ benne Ŋmɩŋ gbaŋkʋ sʋŋ dɩ,
ACT.1.20	‘Vaa ʋ jigiri yi jigizetikiŋ;
ACT.1.20	da vaa vuoŋ bemme ka ma.’
ACT.1.20	Dɩ bɩ a maagɩ dɩaŋ bɩbra dɩ,
ACT.1.20	‘Vaa vuogaaŋ zie ʋ nagɩsɩ ma a tʋma ʋ tʋʋmaha.’
ACT.1.21	“Die wɩa dɩ mʋ tɩ vʋarɩ vuodiekemba die dɩ dɩna tɩnɩŋ aŋaŋ Yisa a dɩa saŋŋa mana wa wʋnyɩ 
ACT.1.22	a piili a nyɩŋ saŋŋa dieke Jɔɔn vuodieke dɩ sɩnana vuosi Ŋmɩŋ nyaabʋ a yaa ga tʋgɩ saŋŋa dieke die Yisa dɩ jʋalɩna a ga arɩzanna ta va tɩ wa, aŋ ʋ gʋtɩ tɩ ma aŋ tɩ dii Yisa kumbu hagɩŋ tʋʋma daansɩa.”
ACT.1.23	Die wɩa die ba vʋarɩ vuosi bale; Josefu vuodieke die ba wasɩnana Baasabasi (Ta ba bɩ wasa Jusitusi), aŋaŋ Matiasi. 
ACT.1.24	Womi die ba jʋʋsɩ Ŋmɩŋ dɩ, “Tɩ Yɔmʋtieŋ, fʋnɩŋ fʋ sɩbɩna vuoŋ mana sʋŋ dɩ sɩna die, die wɩa tɩ Yɔmʋtieŋ, dagɩ tɩ vuosi bale wa gie sʋŋ fʋ vʋarɩna vuodieke 
ACT.1.25	dɩ ʋ yi tʋntʋntʋ a zie jigidieke Judasi dɩ vana ta ga jigidieke dɩ mʋna dɩ ʋ bemme wo.” 
ACT.1.26	Die ba jʋʋsɩna Ŋmɩŋ a kpatɩ wa, die ba yi chaachaa dɩ ba vʋarɩ saara ale wo kaanɩ, die chaachaaka dɩ ga nan Matiasi ma, die ba nagɩ wa gʋtɩ Yisa tʋntʋntɩba baŋ aŋaŋ kaanɩ wa ma.
ACT.2.1	Die dʋʋga dieke ba wasɩnana Pentikosi wa dɩ tʋgɩna Yisa kʋaŋandɩɩsɩrɩŋ mana die dɩ lagɩsɩ taŋ jigibalɩmɩŋ. 
ACT.2.2	Womi die watɩ dɩ nyɩŋ ŋmɩŋsikpeŋ a dɔma sɩba bʋlɔgɩsɩ kpeŋkpɩɩŋ dɩ nɩgɩnana ta die keŋ suuli juodieke ba kala wa mana. 
ACT.2.3	Ta die ba ye jaaŋ sɩba bolinyaatɩ dɩ nyɩna a keŋ a kalɩ ba wʋnyɩ mana sikpeŋ me, 
ACT.2.4	ta die Ŋmɩŋ Halɩkasɩka die dɩ suuli ba mana, die ba piili a bala wʋbalɩkɩ gaasɩ diekemba ba kana ka wʋma sɩba Ŋmɩŋ Halɩkasɩka dɩ dagɩna ba dene.
ACT.2.5	Die Juu vuosi die dɩ dɩna Ŋmɩŋ die dɩ bie Jerusalemi saŋka mi, die ba nyɩŋ wa tɩgɩsɩ mana dʋnɩa ma a keŋ mi. 
ACT.2.6	Die ba wʋnna watɩ gie die wo, die kpɩkpaaŋ dɩ lagɩsɩ mi, die dɩ yi ba mana mamachi dama die Yisa kʋaŋandɩɩsɩrɩba die bala wʋbalɩkɩ gaasɩ, ba wʋnyɩ mana dɩ wʋmma ʋ jabalɩkɩŋ ma. 
ACT.2.7	Die dɩ yi be mamachi pam die ba pɩasɩ taŋ dɩ, “Vuosisi gie dɩ balala naa, ntaa ba mana yiwo Galili vuosi? 
ACT.2.8	Ta bɩa yine tɩ wʋnyɩ mana dɩ wʋmma ba ʋ gbaŋ gbaŋ ʋ wʋbalɩka ma? 
ACT.2.9	Tɩ bataŋ nyɩŋ wa Patia aŋaŋ Midia aŋaŋ Elami aŋaŋ Mesopotamia aŋaŋ Judia aŋaŋ Kapadosia aŋaŋ Pontusi aŋaŋ Asia, 
ACT.2.10	aŋaŋ Firigia, aŋaŋ Pamifilia aŋaŋ Ijipiti aŋaŋ Libia chaakʋ tɩgɩsɩ dɩ gbigine Sayireni; ta tɩ bataŋ dɩaŋ dɩ nyɩŋ Romi, 
ACT.2.11	ta tɩ bataŋ Juu vuosi, ta bataŋ dɩaŋ dɩ yi buurigaasɩ diekemba dɩ tarɩgɩna ba jɩamɩŋ ta dɩ Juu vuosi Ŋmɩŋ, ta tɩ bataŋ dɩaŋ dɩ nyɩŋ Kireeti aŋaŋ Arabia, ama tɩ mana wʋmma ba balala tɩ gbaŋ gbaŋ tɩ jabalɩkɩŋ ma, ta bɩra Ŋmɩŋ yaa gamma mamachi wʋkpɩɩma ʋ yine.” 
ACT.2.12	Die dɩ yi be mamachi pam die ba ko pɩasa taŋ dɩ, “Wɩɩrɩ gie chɩaŋ yiwo bɩa?”
ACT.2.13	Ama ta bataŋ die dɩ laa ba ta vʋarɩ ba fala a baarɩ dɩ, “Ba nyuu wo daaŋ a bugi.”
ACT.2.14	Womi Piita die dɩ hagɩ ʋ chanchaalɩba baŋ aŋaŋ kaanɩ wa sʋnsʋŋ a zie kpɩkpaakʋ nɩŋŋa; ta die a balɩ aŋaŋ lɔlɩkpɩɩŋ a yɩa kpɩkpaakʋ dɩ, “N chanchaalɩŋ Juu vuosi aŋaŋ nɩ vuodiekemba mana dɩ benne Jerusalemi, nɩ wʋmma mɩŋ ta vaa n bala nɩ wɩɩrɩ gie chɩaŋ. 
ACT.2.15	Nɩ yile dɩ vuosi gie bugiye mɩŋ, ama ba ka bugiye, dama dɩ ye yiwo sʋkʋʋŋ hawasɩ awayɩ saŋŋa. 
ACT.2.16	Ama wudieke nɩ yene wo yiwo wudieke Ŋmɩŋ naazʋa Joweli die dɩ balɩ dɩ ka nan keŋ yi, dɩ,
ACT.2.17	‘Ŋmɩŋ baarɩ dɩ; Dʋnɩa kpatɩŋ saŋŋa, naa maŋ nan yi:
ACT.2.17	n nan daansɩ vaa n Haalɩbʋ sʋʋŋ vuoŋ mana ma;
ACT.2.17	ta nɩ dembibisi aŋaŋ nɩ hɔgʋlɩasɩ nan bʋgɩ balɩ manɩŋ Ŋmɩŋ wʋbalɩka,
ACT.2.17	ta nɩ nahaalɩŋ aŋaŋ daa nyɩŋkʋra nan sɩba wusie yaa gamma Ŋmɩŋ wɩa ba daansa ma.
ACT.2.18	Saŋka mi n nan tʋŋ n Haalɩbʋ
ACT.2.18	vuodiekemba dɩ tʋnnana wudieke n yaalala ma, dembisi aŋaŋ hɔgʋba mana,
ACT.2.18	ta ba gbaŋ nan daansɩ bʋgɩ balɩ n wʋbalɩkaha.
ACT.2.19	N nan keŋ tʋŋ tʋnkpɩɩma ŋmɩŋsikpeŋ
ACT.2.19	aŋaŋ mamachi dagɩtɩ tɩŋgbaŋka gie me,
ACT.2.19	ta zɩŋ aŋaŋ boliŋ aŋaŋ nyusi nan daansɩ beri,
ACT.2.20	saŋka mi Ŋmɩŋ nan sɩbɩ,
ACT.2.20	ta chɩɩkʋ dɩaŋ nan tarɩgɩ a ŋmɩntɩ sɩba zɩŋ,
ACT.2.20	naa nan yi ta tɩ Yɔmʋtieŋ ye yiŋŋi keŋ tɩŋgbaŋka gie me
ACT.2.20	a dii vuosi sarɩya;
ACT.2.20	ta ʋ yiŋŋi keniŋ daraaŋ nan yi daakpeŋkpɩɩŋ;
