MAT.1.1	Rodovnik Jezusa Kristusa, Davidovega sina, Abrahamovega sina.
JHN.18.35	Pilat je odvrnil: »Sem mar Jud? Tvoj narod in véliki duhovniki so te izročili meni. Kaj si storil?« 
JHN.18.36	Jezus je odgovoril:
JHN.18.36	»Moje kraljestvo ni od tega sveta.
JHN.18.36	Ko bi bilo moje kraljestvo od tega sveta,
JHN.18.36	bi se moji služabniki bojevali,
JHN.18.36	da ne bi bil izročen Judom,
JHN.18.36	toda moje kraljestvo ni odtod.«
JHN.18.37	Pilat mu je rekel: »Torej si vendarle kralj?« Jezus je odgovoril:
JHN.18.37	»Ti praviš, da sem kralj.
JHN.18.37	Zato sem rojen
JHN.18.37	in zato sem prišel na svet,
JHN.18.37	da pričujem za resnico.
JHN.18.37	Kdor je iz resnice, posluša moj glas.«
JHN.18.38	Pilat mu reče: »Kaj je resnica?«
JHN.18.38	Ko je to izgovoril, je šel spet ven k Judom in jim rekel: »Jaz ne najdem na njem nobenega vzroka za obsodbo. 
JHN.18.39	Pri vas pa je navada, da za veliko noč koga izpustim. Hočete torej, da vam izpustim judovskega kralja?« 
JHN.18.40	Spet so zavpili: »Ne tega, ampak Barába!« Barába pa je bil razbojnik.
JHN.19.1	Tedaj je Pilat vzel Jezusa in ga dal bičati. 
JHN.19.2	Vojaki so spletli iz trnja krono, mu jo dali na glavo in ga ogrnili s škrlatno rdečim plaščem. 
JHN.19.3	Stopali so k njemu in govorili: »Pozdravljen, judovski kralj!« in ga tolkli po obrazu. 
JHN.19.4	Pilat je šel spet ven in jim rekel: »Glejte, pripeljem vam ga ven, da boste uvideli, da ne najdem na njem nobenega vzroka za obsodbo.« 
JHN.19.5	Jezus je torej prišel ven. Imel je trnovo krono in škrlatno rdeč plašč. Pilat jim reče: »Poglejte, to je človek!« 
JHN.19.6	Ko so ga véliki duhovniki in služabniki zagledali, so zavpili: »Križaj ga, križaj ga!« Pilat jim reče: »Vzemite ga vi in ga križajte, kajti jaz ne najdem na njem nobenega vzroka za obsodbo.« 
JHN.19.7	Judje so mu odgovorili: »Mi imamo postavo in po postavi mora umreti, ker se je delal Božjega Sina.«
JHN.19.8	Ko je Pilat slišal te besede, se je še bolj zbal. 
JHN.19.9	Spet je šel v sodno hišo in vprašal Jezusa: »Odkod si?« Jezus pa mu ni dal odgovora. 
JHN.19.10	Tedaj mu Pilat reče: »Meni ne odgovarjaš? Ne veš, da imam oblast, da te oprostim, in oblast, da te križam?« 
JHN.19.11	Jezus mu odgovori: »Nobene oblasti bi ne imel nad menoj, če bi ti ne bilo dano od zgoraj. Zato ima večji greh tisti, ki ti me je izročil.« 
JHN.19.12	Odslej si je Pilat prizadeval, da bi ga oprostil. Judje pa so vpili: »Če tega oprostiš, nisi cesarjev prijatelj. Kdor se dela kralja, se upira cesarju.«
JHN.19.13	Ko je Pilat slišal te besede, je dal Jezusa pripeljati ven. Posadil ga je na sodni stol na kraju, ki se imenuje Litóstrotos, po hebrejsko Gabatá. 
JHN.19.14	Bil pa je dan pripravljanja na veliko noč, okrog šeste ure. Pilat je rekel Judom: »Poglejte, to je vaš kralj!« 
JHN.19.15	Oni pa so zavpili: »Proč, proč, križaj ga!« Pilat jim je rekel: »Vašega kralja naj križam?« Véliki duhovniki so odgovorili: »Nimamo kralja razen cesarja!« 
JHN.19.16	Tedaj jim ga je izročil, da bi ga križali.
JHN.19.16	Vzeli so torej Jezusa. 
JHN.19.17	Nesel si je križ in šel ven proti kraju, ki se imenuje Lobanja, po hebrejsko Gólgota. 
JHN.19.18	Tam so ga križali in z njim vred dva druga, na vsaki strani enega, v sredi pa Jezusa. 
JHN.19.19	Pilat je dal napraviti tudi napis in ga pritrditi na križ. Napisano je bilo: »Jezus nazaréjec, judovski kralj.« 
JHN.19.20	Ta napis je bralo veliko Judov, ker je bil kraj, kjer so Jezusa križali, blizu mesta in je bilo napisano hebrejsko, latinsko in grško. 
JHN.19.21	Judovski véliki duhovniki so tedaj rekli Pilatu: »Nikar ne piši: ‘Judovski kralj,’ ampak da je on rekel: ‘Judovski kralj sem.’« 
JHN.19.22	Pilat je odvrnil: »Kar sem napisal, sem napisal.«
JHN.19.23	Ko so vojaki Jezusa križali, so mu vzeli oblačila – razdelili so jih na štiri dele, za vsakega vojaka po en del – in suknjo. Suknja pa je bila brez šiva, od vrha izcela stkana. 
JHN.19.24	Dejali so med seboj: »Nikar je ne parajmo, ampak žrebajmo zanjo, čigava bo,« da se je spolnilo Sveto pismo, ki pravi:
JHN.19.24	Vojaki so to storili. 
JHN.19.25	Poleg Jezusovega križa pa so stale njegova mati in sestra njegove matere, Marija Klopájeva in Marija Magdalena. 
JHN.19.26	Ko je Jezus zagledal svojo mater in zraven nje učenca, ki ga je ljubil, je rekel materi: »Žena, glej, tvoj sin!« 
JHN.19.27	Potem je rekel učencu: »Glej, tvoja mati!« In od tiste ure jo je učenec vzel k sebi.
JHN.19.28	Jezus je vedel, da je že vse izpolnjeno, in da bi se Sveto pismo izpolnilo do kraja, je rekel: »Žejen sem.« 
JHN.19.29	Tam je stala posoda, polna kisa. V kis namočeno gobo so nataknili na hizópovo stebelce in mu jo podali k ustnicam. 
JHN.19.30	Ko je Jezus vzel kisa, je rekel: »Dopolnjeno je.« Nato je nagnil glavo in izdihnil.
JHN.19.31	Ker je bil dan pripravljanja in da ne bi ostala trupla čez soboto na križu, so Judje prosili Pilata, naj bi jim noge strli in jih sneli, kajti tisto soboto je bil velik praznik. 
JHN.19.32	Prišli so torej vojaki in strli noge prvemu in drugemu, ki sta bila z Jezusom vred križana. 
JHN.19.33	Ko so prišli do Jezusa in videli, da je že mrtev, mu niso strli nog, 
JHN.19.34	temveč je eden izmed vojakov s sulico prebodel stran in takoj sta pritekli kri in voda. 
JHN.19.35	Tisti, ki je videl, je pričeval in njegovo pričevanje je resnično. On vé, da govori resnico, da bi tudi vi verovali. 
JHN.19.36	To se je namreč zgodilo, da se je spolnilo Sveto pismo: 
JHN.19.37	In še na drugem mestu pravi Sveto pismo: 
JHN.19.38	Potlej je Jožef iz Arimatéje, Jezusov učenec, toda iz strahu pred Judi naskrivaj, prosil Pilata, da bi snel Jezusovo telo. Pilat je dovolil. Prišel je torej in snel njegovo telo. 
JHN.19.39	Prišel pa je tudi Nikodém, tisti, ki je prvič ponoči prišel k Jezusu, in prinesel okrog sto funtov zmesi mire in aloje. 
JHN.19.40	Vzela sta Jezusovo telo in ga z dišavami vred povila s povoji, kakor imajo Judje navado pokopavati. 
JHN.19.41	Na kraju, kjer je bil Jezus križan, pa je bil vrt in na vrtu nov grob, v katerega ni bil pokopan še nihče. 
JHN.19.42	Ker je bil grob blizu, sta zaradi judovskega dneva pripravljanja Jezusa položila tja.
JHN.20.1	Prvi dan v tednu pride Marija Magdalena navsezgodaj, še v temi, h grobu in vidi, da je kamen odvaljen od groba. 
JHN.20.2	Tedaj steče in pride k Simonu Petru in k drugemu učencu, ki ga je imel Jezus rad, ter jima reče: »Gospoda so vzeli iz groba in ne vemo, kam so ga položili.« 
JHN.20.3	Peter in oni drugi učenec sta se odpravila na pot in šla h grobu. 
JHN.20.4	Skupaj sta tekla, vendar je oni drugi učenec Petra prehitel in prvi prišel h grobu. 
JHN.20.5	Sklonil se je in videl povoje na tleh, vendar ni vstopil. 
JHN.20.6	Tedaj je prišel tudi Simon Peter, ki je šel za njim, in stopil v grob. Videl je povoje na tleh 
JHN.20.7	in prtič, ki je bil na njegovi glavi, vendar ni ležal med povoji, temveč posebej zvit na drugem mestu. 
JHN.20.8	Tedaj je vstopil tudi oni drugi učenec, ki je prvi prišel h grobu; videl je in veroval. 
JHN.20.9	Nista namreč še doumela Svetega pisma, da mora vstati od mrtvih. 
JHN.20.10	Nato sta se učenca vrnila domov.
JHN.20.11	Marija pa je stala zunaj pred grobom in se jokala. Med jokom se je sklonila v grob 
JHN.20.12	in zagledala dva angela v belih oblačilih. Sedela sta eden pri vzglavju in eden pri znožju, kjer je bilo položeno Jezusovo telo. 
JHN.20.13	Ogovorila sta jo: »Žena, zakaj jokaš?« Odgovorila jima je: »Mojega Gospoda so odnesli in ne vem, kam so ga položili.« 
JHN.20.14	Ko je to izgovorila, se je obrnila in zagledala Jezusa. Stal je tam, pa ni vedela, da je Jezus. 
JHN.20.15	Jezus ji reče: »Žena, zakaj jokaš? Koga iščeš?« Mislila je, da je vrtnar, in mu rekla: »Gospod, če si ga ti odnesel, mi povej, kam si ga položil, in ga bom jaz vzela.« 
JHN.20.16	Jezus ji reče: »Marija!« Ona se obrne in po hebrejsko reče: »Rabuní« (to pomeni Učenik). 
JHN.20.17	Jezus ji reče: »Ne zadržuj me! Nisem še namreč šel k Očetu; stopi pa k mojim bratom in jim povej: ‘Grem k svojemu Očetu in vašemu Očetu, k svojemu Bogu in vašemu Bogu.’« 
JHN.20.18	Marija Magdalena je šla k učencem in jim oznanila: »Gospoda sem videla,« in to, kar ji je povedal.
JHN.20.19	Pod noč tistega dne, prvega v tednu, ko so bila tam, kjer so se zadrževali učenci iz strahu pred Judi, vrata zaklenjena, je prišel Jezus, stopil mednje in jim rekel: »Mir vam bodi!« 
JHN.20.20	Ko je to izrekel, jim je pokazal roke in stran. Učenci so se razveselili, ko so videli Gospoda. 
JHN.20.21	Tedaj jim je Jezus spet rekel:
JHN.20.21	»Mir vam bodi!
JHN.20.21	Kakor je Oče mene poslal,
JHN.20.21	tudi jaz pošiljam vas.«
JHN.20.22	Ko je to izrekel, je dihnil vanje in jim dejal:
JHN.20.22	»Prejmite Svetega Duha!
JHN.20.23	Komur grehe odpustite,
JHN.20.23	so jim odpuščeni;
JHN.20.23	komur jih zadržite,
JHN.20.23	so jim zadržani.«
JHN.20.24	Tomaža, enega izmed dvanajsterih, ki se imenuje Dvojček, pa ni bilo med njimi, ko je prišel Jezus. 
JHN.20.25	Drugi učenci so mu torej pripovedovali: »Gospoda smo videli.« Rekel jim je: »Če ne vidim na njegovih rokah znamenja žebljev in ne vtaknem prsta v rane od žebljev in ne položim roke v njegovo stran, že ne bom veroval.« 
JHN.20.26	Čez osem dni so bili njegovi učenci spet notri in Tomaž med njimi. Jezus pride pri zaprtih vratih, stopi mednje in jim reče: »Mir vam bodi!« 
JHN.20.27	Potem reče Tomažu: »Položi svoj prst semkaj in poglej moje roke! Daj svojo roko in jo položi v mojo stran in ne bodi neveren, temveč veren.« 
JHN.20.28	Tomaž mu odgovori: »Moj Gospod in moj Bog!« 
JHN.20.29	Jezus mu reče:
JHN.20.29	»Ker si me videl, veruješ.
JHN.20.29	Blagor tistim, ki niso videli, a so verovali!«
JHN.20.30	Jezus je vpričo svojih učencev storil še veliko drugih znamenj, ki niso zapisana v tej knjigi; 
JHN.20.31	ta pa so zapisana, da bi vi verovali, da je Jezus Kristus Božji Sin, in da bi po veri imeli življenje v njegovem imenu.
JHN.21.1	Potem se je Jezus spet prikazal učencem pri Tibêrijskem jezeru. Prikazal pa se je takóle: 
JHN.21.2	Simon Peter, Tomaž, ki se imenuje Dvojček, Natánael iz galilejske Kane, Zebedéjeva sinova in dva druga izmed njegovih učencev so bili skupaj. 
JHN.21.3	Simon Peter jim reče: »Ribe grem lovit.« »Tudi mi gremo s teboj,« mu pravijo. Odšli so in stopili v čoln, toda tisto noč niso nič ujeli. 
JHN.21.4	Ko se je že zdanilo, je stal Jezus na bregu, vendar učenci niso vedeli, da je Jezus. 
JHN.21.5	Jezus jim reče: »Dečki, imate kaj prigrizniti?« Odgovorijo mu: »Nič.« 
JHN.21.6	Tedaj jim veli: »Vrzite mrežo na desno stran čolna in boste našli.« Vrgli so jo, pa jè zaradi obilice rib niso mogli več izvleči. 
JHN.21.7	Učenec, ki ga je Jezus ljubil, reče tedaj Petru: »Gospod je.« Ko je Simon Peter slišal, da je Gospod, si je opasal haljo, ker je bil le za silo oblečen, in se vrgel v jezero. 
JHN.21.8	Medtem so drugi učenci pripluli s čolnom in privlekli mrežo z ribami; niso bili namreč daleč od brega, le kakih dvesto komolcev. 
JHN.21.9	Ko so stopili na kopno, so zagledali žerjavico na tleh in ribo na njej ter kruh. 
JHN.21.10	Jezus jim reče: »Prinesite rib, ki ste jih pravkar ujeli!« 
JHN.21.11	Simon Peter je tedaj stopil na breg in potegnil na kopno mrežo, polno velikih rib; bilo jih je sto triinpetdeset. Čeprav jih je bilo toliko, se mreža ni strgala. 
JHN.21.12	Jezus jim je rekel: »Pridite jest!« Toda nobeden izmed učencev si ga ni upal vprašati: »Kdo si?«; vedeli so namreč, da je Gospod. 
JHN.21.13	Jezus je pristopil, vzel kruh in jim ga ponudil; prav tako tudi ribo. 
JHN.21.14	To je bilo že v tretje, da se je Jezus prikazal učencem, odkar je vstal od mrtvih.
JHN.21.15	Ko so pojedli, Jezus vpraša Simona Petra: »Simon, Janezov sin, ali me ljubiš bolj kakor tile?« Odgovori mu: »Dà, Gospod, ti veš, da te imam rad.« Reče mu: »Pasi moja jagnjeta!« 
JHN.21.16	Spet v drugo ga vpraša: »Simon, Janezov sin, ali me ljubiš?« Odgovori mu: »Dà, Gospod, ti veš, da te imam rad.« Reče mu: »Pasi moje ovce!« 
JHN.21.17	V tretje ga vpraša: »Simon, Janezov sin, ali me imaš rad?« Peter se užalosti, ker ga je v tretje vprašal: »Ali me imaš rad?« in mu odvrne: »Gospod, ti vse veš, ti veš, da te imam rad.« Jezus mu reče:
JHN.21.17	»Pasi moje ovce!
JHN.21.18	Resnično resnično ti povem:
JHN.21.18	ko si bil mlad, si se opasoval sam
JHN.21.18	in si hodil, kamor si hotel;
JHN.21.18	ko pa se postaraš, boš raztegnil roke
JHN.21.18	in drug te bo opasal
JHN.21.18	in te odvedel, kamor ne boš hotel.«
JHN.21.19	To pa je rekel, da je nakazal, s kakšno smrtjo bo poveličal Boga. Ko je to izrekel, mu je dejal: »Hôdi za menoj!«
JHN.21.20	Peter se je obrnil in videl, da gre za njima učenec, ki ga je Jezus ljubil in se je pri zadnji večerji naslonil na njegove prsi in ga vprašal: »Gospod, kdo je tisti, ki te bo izdal?« 
JHN.21.21	Ko ga je Peter zagledal, je rekel Jezusu: »Gospod, kaj bo pa s tem?« 
JHN.21.22	Jezus mu je odvrnil: »Če hočem, da ostane, dokler ne pridem, kaj ti to mar? Ti hôdi za menoj!« 
JHN.21.23	Zavoljo tega se je med brati razširila govorica, da ta učenec ne bo umrl. Toda Jezus mu ni rekel, da ne bo umrl, temveč: »Če hočem, da ostane, dokler ne pridem, kaj ti to mar.«
JHN.21.24	To je učenec, ki o tem pričuje in je to napisal, in vemo, da je njegovo pričevanje resnično.
JHN.21.25	Jezus pa je storil še veliko drugega. Če bi popisali drugo za drugim, mislim, da ves svet ne bi mogel obseči knjig, ki bi jih bilo treba napisati.
ACT.1.1	V prvi knjigi sem poročal, Teófil, o vsem, kar je Jezus delal in učil 
ACT.1.2	do dne, ko je bil vzet v nebesa. Še prej je apostolom, ki si jih je bil izbral, dal naročila po Svetem Duhu. 
ACT.1.3	Po svojem trpljenju jim je z mnogimi znamenji dokazal, da živi: štirideset dni se jim je prikazoval in jim govoril o božjem kraljestvu.
ACT.1.4	Ko je bil z njimi pri jedi, jim je naročil, naj ne odhajajo iz Jeruzalema, temveč naj počakajo na Očetovo obljubo, »o kateri ste slišali od mene; 
ACT.1.5	zakaj Janez je krščeval z vodo, vi pa boste v nekaj dneh krščeni v Svetem Duhu.«
ACT.1.6	Ko so bili zbrani, so ga vprašali: »Gospod, ali boš v tem času obnovil izraelsko kraljestvo?« 
ACT.1.7	Rekel jim je: »Ni vam dano, da bi vedeli za čase in trenutke, ki jih je Oče določil v svoji oblasti. 
ACT.1.8	Toda prejeli boste moč Svetega Duha, ki bo prišel na vas, in boste moje priče v Jeruzalemu in po vsej Judeji in Samaríji ter do skrajnih mej sveta.« 
ACT.1.9	Po teh besedah se je vzdignil pred njihovimi očmi in oblak ga je zastrl njihovim pogledom. 
ACT.1.10	Ko so po njegovem odhodu strmeli v nebo, glej, sta stala pri njih dva moža v belih oblačilih, 
ACT.1.11	ki sta rekla: »Možje Galilejci, kaj stojite in gledate v nebo? Ta Jezus, ki je bil vzet od vas v nebo, bo prišel prav tako, kakor ste ga videli iti v nebo.«
ACT.1.12	Tedaj so se z gore, ki se imenuje Oljska in je sobotni dan hodá oddaljena od mesta, vrnili v Jeruzalem. 
ACT.1.13	Ko so prišli v mesto, so stopili v gornje prostore hiše, kjer so se zadrževali: Peter in Janez, Jakob in Andrej, Filip in Tomaž, Bartolomej in Matej, Alféjev sin Jakob in Simon Gorečnik in Jakobov sin Juda. 
ACT.1.14	Vsi ti so enodušno vztrajali v molitvi z ženami in z Jezusovo materjo Marijo in z njegovimi brati.
ACT.1.15	V tistih dneh je Peter vstal sredi bratov, zbrala se je skupina kakih sto dvajset ljudi, in rekel: 
ACT.1.16	»Bratje! Moralo se je spolniti pismo, kakor je Sveti Duh napovedal po Davidovih ustih o Judu: postal je vodnik tistih, ki so zgrabili Jezusa. 
ACT.1.17	Bil je prištet med nas in deležen naše službe. 
ACT.1.18	Z nagrado, ki jo je dobil za svoje umazano delo, je kupil zemljišče; padel je z glavo navzdol, tako da se je po sredini razpočil in se mu je izsulo vse drobovje. 
ACT.1.19	To se je razvedelo med vsemi, ki prebivajo v Jeruzalemu, tako da se tisto zemljišče zdaj po njihovo imenuje Hakéldama, to pomeni ‘njiva krvi’. 
ACT.1.20	V knjigi psalmov je namreč zapisano:
ACT.1.20	In dalje:
ACT.1.21	Tu so možje, ki so hodili z nami ves čas, dokler je Gospod Jezus prebival med nami, 
ACT.1.22	od Janezovega krsta do dne, ko je bil vzet od nas. Eden od njih mora biti z nami priča njegovega vstajenja!« 
ACT.1.23	Predlagali so dva, Jožefa, ki se je imenoval Bársaba, z vzdevkom Jústus, in Matija. 
ACT.1.24	Nato so takóle molili: »Gospod, ti poznaš srca vseh, pokaži, katerega od teh dveh si izbral, 
ACT.1.25	da prevzame mesto v tej službi in apostolstvo, od katerega je odpadel Juda, ko je šel na svoj kraj!« 
ACT.1.26	In žrebali so, žreb pa je določil Matija in pridružili so ga enajstim apostolom.
ACT.2.1	Ko je prišel binkoštni dan, so bili vsi zbrani na istem kraju. 
ACT.2.2	Nenadoma je nastal z neba šum, kot bi se bližal silovit vihar, in napolnil vso hišo, kjer so se zadrževali. 
ACT.2.3	Prikazali so se jim jeziki, podobni plamenom, ki so se razdelili, in nad vsakim je obstal po eden. 
ACT.2.4	Vsi so bili napolnjeni s Svetim Duhom in začeli so govoriti v tujih jezikih, kakor jim je Duh dajal izgovarjati.
ACT.2.5	V Jeruzalemu so tedaj prebivali Judje, pobožni možje iz vseh narodov pod nebom. 
ACT.2.6	Ko se je razširil glas o tem, se je zbrala množica ljudi, ki so bili vsi iz sebe, kako da jih vsakdo sliši govoriti v svojem jeziku. 
ACT.2.7	Strmeli so, se čudili in govorili: »Glejte, ali niso vsi ti, ki govorijo, Galilejci? 
ACT.2.8	Kako, da jih slišimo vsak v svojem materinem jeziku? 
ACT.2.9	Parti, Médijci in Elamíti in tisti, ki prebivamo v Mezopotámiji, Judeji in Kapadókiji, v Pontu in Aziji, 
ACT.2.10	v Frígiji in Pamfíliji, v Egiptu in v libijskih krajih blizu Ciréne, in mi iz Rima, ki se zdaj mudimo tukaj, 
ACT.2.11	Judje in spreobrnjenci, Krečáni in Arabci – vsi jih slišimo, kako v naših jezikih oznanjajo velika božja dela!« 
ACT.2.12	Vsi so bili osupli in si tega niso znali razložiti. Drug drugega so spraševali: »Kaj naj to pomeni?« 
ACT.2.13	Nekateri pa so se norčevali in govorili: »Sladkega vina so se napili.«
ACT.2.14	Tedaj je vstal Peter z enajsterimi, povzdignil glas in jih nagovoril: »Judje in vsi, ki prebivate v Jeruzalemu! To védite in prisluhnite mojim besedam! 
ACT.2.15	Ti ljudje niso pijani, kakor vi mislite, saj je šele tretja dnevna ura, 
ACT.2.16	temveč izpolnjuje se, kar je bilo napovedano po preroku Joélu:
ACT.2.18	in bodo prerokovali.
ACT.2.22	Možje Izraelci, poslušajte te besede! Jezusa nazaréjca, ki ga je Bog pred vami potrdil z močmi, čudeži in znamenji, ki jih je Bog po njem delal med vami, kakor sami veste, 
ACT.2.23	njega so – prav kakor je Bog hotel in predvideval – izročili vam, vi pa ste ga po rokah krivičnežev pribili na križ in umorili. 
ACT.2.24	Toda Bog ga je rešil iz smrtnih muk in obudil od mrtvih; saj ni bilo mogoče, da bi bila smrt imela oblast nad njim. 
ACT.2.25	David namreč pravi o njem:
ACT.2.29	Bratje! Dovolíte, da vam odkrito spregovorim o očaku Davidu: umrl je, bil pokopan in njegov grob je med nami do današnjega dne. 
ACT.2.30	Ker je bil prerok, je vedel, da 
ACT.2.31	Videl je v prihodnost in govoril o vstajenju Maziljenca, da
ACT.2.32	Tega Jezusa je Bog obudil in mi vsi smo temu priče. 
ACT.2.33	Bil je povišan z božjo desnico in od Očeta je prejel obljubo Svetega Duha in tega je razlil, kakor vidite in slišite. 
ACT.2.34	David ni šel v nebesa, in vendar sam pravi:
ACT.2.36	Zagotovo naj torej vé vsa Izraelova hiša: tega Jezusa, ki ste ga vi križali, je Bog naredil za Gospoda in Maziljenca.«
ACT.2.37	Ko so to slišali, jih je do srca pretreslo. Rekli so Petru in drugim apostolom: »Bratje, kaj naj storimo?« 
ACT.2.38	Peter jim je odgovoril: »Spreobrnite se! Vsak izmed vas naj se dá v imenu Jezusa Kristusa krstiti v odpuščanje svojih grehov in prejeli boste dar Svetega Duha. 
ACT.2.39	Zakaj obljuba velja vam in vašim otrokom in vsem, ki so daleč, in kolikor jih bo k sebi poklical Gospod, naš Bog.« 
ACT.2.40	Prepričeval jih je še z mnogimi drugimi besedami in jih opominjal in govoril: »Rešíte se iz tega pokvarjenega rodu!« 
ACT.2.41	Tisti, ki so sprejeli njegovo besedo, so se dali krstiti; in tega dne se jim je pridružilo približno tri tisoč ljudi.
ACT.2.42	Bili so stanovitni v nauku apostolov in bratskem občestvu, v lomljenju kruha in molitvah. 
ACT.2.43	Vse pa je v duši navdajal strah, zakaj po apostolih se je dogajalo veliko čudežev in znamenj. 
ACT.2.44	Vsi verniki so se družili in imeli vse skupno: 
ACT.2.45	prodajali so premoženje in imetje ter od tega delili vsem, kolikor je kdo potreboval. 
ACT.2.46	Dan za dnem so se enodušno in vztrajno zbirali v templju, lomili kruh po domovih ter uživali hrano z veselim in preprostim srcem. 
ACT.2.47	Hvalili so Boga in vsi ljudje so jih imeli radi. Gospod pa jim je vsak dan pridruževal take, ki so našli odrešenje.
ACT.3.1	Peter in Janez sta šla ob deveti uri molit v tempelj. 
ACT.3.2	Prinesli so moža, ki je bil od rojstva hrom. Vsak dan so ga polagali pred tempeljska vrata, ki se imenujejo Lepa, da bi prosil vbogajme tiste, ki so prihajali v tempelj. 
ACT.3.3	Ko je mož videl, da nameravata Peter in Janez stopiti v tempelj, ju je prosil miloščine. 
ACT.3.4	Peter in Janez sta se zazrla vanj in Peter je rekel: »Poglej naju!« 
ACT.3.5	Mož ju je napeto gledal, če bo kaj dobil. 
ACT.3.6	Peter pa je rekel: »Srebra in zlata nimam, dam ti pa, kar imam: v imenu Jezusa Kristusa nazaréjca, hôdi!« 
ACT.3.7	In prijel ga je za desno roko in ga dvignil. V hipu so se mu utrdila stopala in gležnji. 
ACT.3.8	Skočil je pokonci, čvrsto stal in hodil. Šel je z njima v tempelj in hodil okoli, poskakoval in hvalil Boga. 
ACT.3.9	Vsi ljudje so videli, kako hodi in hvali Boga. 
ACT.3.10	Prepoznali so ga: bil je prav tisti, ki je navadno sedèl pri tempeljskih Lepih vratih in prosil vbogajme. In čudili so se in bili čisto iz sebe spričo tega, kar se mu je zgodilo.
ACT.3.11	Mož pa se je držal Petra in Janeza, zato so vsi ljudje od začudenja hiteli za njima v stebrišče, ki se imenuje Sálomonovo. 
ACT.3.12	Ko je Peter to videl, se je obrnil do ljudstva z besedami: »Možje Izraelci, kaj se temu čudite? Kaj strmite v naju, kot da bi bila s svojo močjo ali pobožnostjo dosegla, da je ta shodil? 
ACT.3.13	 je poveličal svojega služabnika Jezusa, ki ste ga vi izdali in zavrgli pred Pilatom, ko je že razsodil, naj bi bil oproščen.
ACT.3.14	Vi ste Svetega in Pravičnega zavrgli in si izprosili ubijalca, 
ACT.3.15	začetnika življenja pa ste ubili. Toda Bog ga je obudil od mrtvih in mi smo temu priče. 
ACT.3.16	In ker je mož, ki ga vidite in poznate, veroval v njegovo ime, mu je to ime dalo moč; in vera, ki prihaja po njegovem imenu, mu je vrnila popolno zdravje, kakor ste vsi videli na svoje oči.
ACT.3.17	In zdaj, bratje – vem, da ste ravnali iz nevednosti, prav tako tudi vaši voditelji. 
ACT.3.18	Tako je Bog izpolnil, kar je napovedoval po ustih vseh prerokov, da bo njegov Maziljenec trpel. 
ACT.3.19	Skesajte se torej in spreobrnite se, da se vam izbrišejo grehi, 
ACT.3.20	tako da pridejo od Gospodovega obličja časi pomiritve in vam pošlje Maziljenca Jezusa, ki vam je namenjen. 
ACT.3.21	Njega morajo sprejeti nebesa do časov, ko bo vse prenovljeno. O tem je Bog govoril pred davnimi veki po ustih svojih svetih prerokov. 
ACT.3.22	Mojzes je rekel: 
ACT.3.24	Vsi preroki, kar jih je bilo od Sámuela in njegovih naslednikov naprej, so napovedovali te dneve. 
ACT.3.25	Vi ste sinovi prerokov in zaveze, ki jo je Bog sklenil z vašimi očeti, ko je govoril Abrahamu: 
ACT.3.26	Bog je najprej za vas obudil in poslal svojega služabnika, da vas blagoslovi in vsakega od vas odvrne od njegovih hudobij.«
ACT.4.1	Medtem ko sta govorila ljudstvu, so k njima pristopili duhovniki in poveljnik templja in saduceji. 
ACT.4.2	Bili so vznemirjeni, ker sta učila ljudstvo in oznanjala, da je v Jezusu vstajenje od mrtvih. 
ACT.4.3	Zgrabili so ju in ju zadržali v ječi do naslednjega dne, zakaj večerilo se je že. 
ACT.4.4	Mnogi od tistih, ki so slišali besedo, pa so sprejeli vero, in njihovo število je naraslo na kakih pet tisoč.
ACT.4.5	Drugi dan so se v Jeruzalemu zbrali poglavarji, starešine in pismouki. 
ACT.4.6	Bili so tam véliki duhovnik Hana, Kajfa, Janez, Aleksander in vsi drugi iz rodu vélikih duhovnikov. 
ACT.4.7	Dali so ju privesti predse in ju zasliševali: »Kako sta to naredila? S kakšno močjo? V čigavem imenu?«
ACT.4.8	Tedaj jim je Peter, poln Svetega Duha, odgovoril: »Poglavarji ljudstva in starešine! 
ACT.4.9	Danes naju zaslišujete zaradi dobrote, ki sva jo storila bolnemu človeku. Po kom je ta ozdravel? 
ACT.4.10	Bodi znano vsem vam in vsemu izraelskemu ljudstvu: v imenu Jezusa Kristusa nazaréjca, ki ste ga vi križali, Bog pa ga je obudil od mrtvih. V njegovem imenu stoji ta človek zdrav pred vami. 
ACT.4.11	On je
ACT.4.11	a je postal vogelni kamen.’
ACT.4.12	V nikomer drugem ni odrešenja; zakaj pod nebom nam ni dano nobeno drugo ime, po katerem bi se ljudje lahko rešili.«
ACT.4.13	Videli so Petrovo in Janezovo pogumno odkritost; opazili so, da sta preprosta človeka in brez izobrazbe. Čudili so se in so spoznali, da sta se družila z Jezusom. 
ACT.4.14	Toda ker so videli človeka, ki je stal ozdravljen poleg njiju, jima niso mogli ugovarjati. 
ACT.4.15	Veleli so jima, naj se umakneta iz zbornice, ter se posvetovali. 
ACT.4.16	»Kaj naj storimo z njima?« so govorili. »Po njima se je zgodil očiten čudež. Stvar se je razvedela med vsemi jeruzalemskimi prebivalci; tega ne moremo tajiti. 
ACT.4.17	Da pa se ne bi glas o tem še bolj raznesel med ljudstvom, jima bomo zabičali, da ne smeta pred nikomer več govoriti o tem imenu.«
