MAT.1.1	Knige rodstva Jezuš Kristuša, siná Dávidovoga, siná Abrahámovoga. 
1CO.10.8	Niti ne praznüjmo: kakti níkti žnjíh so praznüvali i spadnolo ji je eden dén trí dvajseti jezero. 
1CO.10.9	Niti Kristuša ne sküšávajmo: kakti i niki ž njíh so ga sküšávali, i od káč so pogübleni. 
1CO.10.10	Niti ne mrmrajte: kakti i níki žnjih so mrmrali i pogübleni so od zapravláča. 
1CO.10.11	Eta so se pa vsa zgôdila nad njimi na példo: písana so pa nám na opomínanje; liki na štere so konci toga svêta prišli. 
1CO.10.12	Záto, kí štíma, ka stojí, naj vídi; da ne spádne. 
1CO.10.13	Sküšávanje vás je drügo ešče nej zgrabilo, nego človeče: Veren je pa Bôg, kí ne nihá vás sküšávati više, kak morete prenositi: nego včiní sküšávanji i vöidênje; da je morete znesti.
1CO.10.14	Záto, lübléni moji, bêžte od bolvanstva. 
1CO.10.15	Liki čednim právim; sôdte ví, ka vam velim. 
1CO.10.16	Pehár blagoslovlenjá, šteroga blagoslávlamo, nej je vjedínanje krví Kristušove? Te krüh, šteroga lámlemo, nej je vjedínanje têla Kristušovoga? 
1CO.10.17	Ár eden krüh, edno têlo smo vnôgi. Ár smo vsi ednoga krüha tálnicke. 
1CO.10.18	Glédajte Izraela pôleg têla; kí jejjo áldove; jeli so nej tálnicke oltára. 
1CO.10.19	Ka tak erčém? kâ je bolvan kâ? ali, kâ je bolvanom djáno kâ? 
1CO.10.20	Nej: nego, kâ štera áldüjejo poganje, vragom áldüjejo i nej Bôgi. Neščem pa; naj ví vragôv tálnicke bodete. 
1CO.10.21	Nemorete piti pehár Gospodnov i vragôv pehár. Nemorete tálnicke bidti stola Gospodnovoga i stola vrajžega? 
1CO.10.22	Ali na srd bomo nadigávali Gospodna? Jeli smo od njega močnêši?
1CO.10.23	Vsa so meni slobodna: ali ne hasnijo mi vsa. Vsa so mi slobodna; ali vsa ne pobôgšávajo. 
1CO.10.24	Nišče svoje naj ne íšče: nego vsáki tô naj išče, štero je drügoga. 
1CO.10.25	Vse, ka se vmesárnici odáva, jête, nikaj ne spitávajôči za volo düšne vêsti. 
1CO.10.26	Ár je Gospodnova zemla i njé punost. 
1CO.10.27	Či vas pa što zové z ti neverni i ščéte idti: vse, ka je pred vás djáno, jejte, nikaj nezpitávajôči za volo düšne vêsti. 
1CO.10.28	Či vám pa što erčé; tô je bolvanom aldüvano: ne jête za volo onoga; kí je notri povedao; i düšne vêsti. Ár je Gospodnova zemla i njé punost. 
1CO.10.29	Düšno vêst pa právim, nej tvojo; nego toga drügoga. Ár zakaj bi se moja sloboščina sôdila od drügoga düšne vêsti? 
1CO.10.30	Či sem pa jas z hválo dávanjem tálnik: zakaj se preklinjam; nad šterim sem jas hválo dáo? 
1CO.10.31	Záto, ali jête, ali pijéte, ali kâ šté činíté, vsa Bôgi na diko činte. 
1CO.10.32	Brezi poteknenjá bojdte i Židovom i Grkom i gmajni Božoj. 
1CO.10.33	Kaktise i jas vu vsem vsákomi dopádnem: nej, ka bi ona ískao, štera meni hasnijo; nego, štera vnôgim; naj se zveličajo.
1CO.11.1	Naslednícke moji bojdte, kakti sem i jas Kristušov. 
1CO.11.2	Hválim pa vás, bratje; ka se z méne vu vsem spomínate; i, kakti sem pred vás dáo, tadánke zdržávate. 
1CO.11.3	Ščém pa: naj znáte: kâ je vsákoga možá gláva Kristuš; gláva pa žené je môž; gláva pa Kristušova je Bôg. 
1CO.11.4	Vsáki môž moléči, ali proroküvajôči z pokritov glavôv, ošpota glavo svojo. 
1CO.11.5	Vsáka žena pa moléča, ali proroküvajôča z nepokritov glavôv, ošpota glavô svojo. Ár je tô teliko: liki da bi obrita bíla. 
1CO.11.6	Ár či se ne pokríje žena; naj se obríje: či je na nesnájžno ženi se obriti, ali ostrügati; naj se pokrije. 
1CO.11.7	Môž istina, kâ je nej dužen pokriti glavô svojo; geto je on kêp i dika Boža: žena je pa díka možá. 
1CO.11.8	Ár je nej môž z žené; nego žena je zmožá? 
1CO.11.9	Ár niti je nej stvorjeni môž za volo žené; nego žena je za možá volo stvorjena. 
1CO.11.10	Záto je potrêbno ženi oblást meti na glávi, za volo Angelov. 
1CO.11.11	Dönok ni môž je nej brezi žené; ni žena je nej brezi možá vu Gospodni. 
1CO.11.12	Ár liki je žena z možá: tak je i môž po ženi. Tá so pa vsa z Bogá. 
1CO.11.13	Sami vu sebi sôdte: pristája se ženi nepokritoj Bogá moliti? 
1CO.11.14	Ali sáma natura ne včí vás: kâ je môži, či dúge vlasé püstí, nepošteno. 
1CO.11.15	Žena pa, či dúge vlasé mà, na díko ji je záto; kâ so ji dúgi vlaské mesto pokrivala dáni. 
1CO.11.16	Či se pa što ščé kuriti: mí tákšo šegô nemamo; niti gmajne Bože.
1CO.11.17	Eto pa gda vam nazviščávam, ne hválim: kâ nej na bôgše; nego na hüše se vküp správlate. 
1CO.11.18	Ár prvle istina, gda se vküp správite vu cérkvi: čüjem, ka se rásčêsanja med vami godíjo, i z ednoga tála verjem. 
1CO.11.19	Ár je potrêbno i jeretinstvi med vami bidti: naj ti sküššeni očivesni bodo med vami. 
1CO.11.20	Záto gda vküp prídete na tô: nej je tô Gospodnovo večérjo jesti. 
1CO.11.21	Ar vsáki lastivno večérjo k sebi vzeme; gda trbej jesti: i eden žéja, te drügi je pa pijan. 
1CO.11.22	Ár ka? nemate hiže na jêstvino i pítvino? Ali gmajno Božo zametávate i osramoti one, kí nemajo? Ka vám erčém? Hválo bom vás? Vu etom vás ne hválim. 
1CO.11.23	Ár sem jas od Gospodna vzéo, štera sem i vám dáo: kâ je Gospon Jezuš vu onoj nôči, vu šteroj je odán bio, vzéo krüh. 
1CO.11.24	I blagoslovivši vlomo ga je i erčé: vzemte, jête; tô je moje têlo: kotero se za vás lámle. To činte na moj spômenek. 
1CO.11.25	Prispodobno i pehár gda je odvečérjao govoréči: ete pehár je nôvi zákon vu mojoj krvi; tô činte, kelikokolikrát bodete pili, na moj spomenek. 
1CO.11.26	Ár kelikokolikrát jête té krüh i té pehár pijéte, smrt Gospodnovo nazveščávajte; dokeč príde. 
1CO.11.27	Záto, kí bode jo krüh ete, ali bode pio pehár Gospodnov nevrêdno: krív bode têla i krví Gospodnove. 
1CO.11.28	Záto človek naj sám sebé sküsi: i tak jej z etoga krüha i tak píje z etoga pehára. 
1CO.11.29	Ár, kí jej i pijé nevrêdno, sám sebi sôdbo jej i pijé: ka ne rasôdi têlo Gospodnovo. 
1CO.11.30	Za toga volo je med vami vnogo nemočni i betéžni i spíjo vnôgi. 
1CO.11.31	Ár da bi se sami rasôdili: ne bi bilí sodjenii 
1CO.11.32	Gda se pa sôdimo: od Gospodna se včimo; naj se z svêtom ne skvarimo. 
1CO.11.33	Záto, bratje moji, gda vküp prídete na jêstvino, edendrügoga počákajte. 
1CO.11.34	Či je pa šteri lačen: domá naj jej; da na sôdbo vküp ne prihájate. Ta drüga pa, gda prídem, zrendelüjem.
1CO.12.1	Od ti dühovni dárov pa, bratje, neščem; ka bi nikaj nêznali. 
1CO.12.2	Znáte; ka ste poganje bilí: k nêmim bolvanom kak ste pelani; tak ste hodili. 
1CO.12.3	Záto na znánje vám dám: kâ nišče, vu Dühi Božem gučéči, ne právi prekléstvo na Jezuša: i nišče nemre erčti Gospôdna Jezuša nego vu S. Dühi. 
1CO.12.4	Rázločki so pa med dármi; te isti je pa Düh. 
1CO.12.5	I rázločki so vu slüžbaj; i te isti je Gospod. 
1CO.12.6	I rázločki so vu delaj; te isti je pa Bôg, delajôči vsa vu vsê. 
1CO.12.7	Vsákšemi se pa dá skázanje Dühá na hasek. 
1CO.12.8	Ár istina po Dühi se dá etomi rêč modrôsti; tomi drügomi pa rêč spoznanja pôleg tistoga Dühá. 
1CO.12.9	Drügomi pa vera vu onom istom Dühi: drügomi pa dári vračüvanja vu onom istom Dühi. 
1CO.12.10	Drügomi pa na čüdna dela zmožnosti: drügomi pa proroküvanje: drügomi pa razsodjávanje dühôv: drügomi pa rázločnost jezikov: drügomi pa razkládanje jezikov. 
1CO.12.11	Vsa eta pa dela eden i tisti Düh rázdeljávajôči svoja lastivna vsákšemi; kak ščé. 
1CO.12.12	Ár liki je têlo edno i kotrig má vnogo, vse kotrige pa ednoga têla, či gli ji je dosta, dönok so li edno têlo: tak i Kristuš. 
1CO.12.13	Ár i v ednom Dühi smo mí vsi vu edno têlo okrstšeni, ali smo Židovje, ali Grki, ali slugi, ali slobodnjácke, i vsi smo vu eden Düh napojeni.
1CO.12.14	Ár i têlo je nej edna kotriga; nego vnôge. 
1CO.12.15	Či erčé nôga; da sem nej rôka, nej sem z têla: jeli je záto nej z têla? 
1CO.12.16	I či erčé vühô, da sem nej okô, nej sem z têla: jeli je záto nej z têla? 
1CO.12.17	Či je cêlo têlo okô: gde je slüjh? či je cêlo slüjh: gde je pridihalo? 
1CO.12.18	Zdaj je pa Bôg postavo kotrige edno vsáko ž njíh vu têlo; kak je šteo. 
1CO.12.19	Či so pa vse edna kotriga; gde je têlo? 
1CO.12.20	Zdaj je pa istina dosta kotrig: edno je pa têlo. 
1CO.12.21	Nemore pa okô erčti rokê; nej mi te trbê: ali pa gláva nogám; nej mi vás trbê. 
1CO.12.22	Nego vnogo bole; štere kotríge têla se vidijo naj nemočnêše bidti, naj potrebnêše so. 
1CO.12.23	I štere štímamo naj nepoštenêše bidti têla, okoli tê naj vékše poštenjé činímo, i ta nesnájžna naša vékšo snájgo májo. 
1CO.12.24	Ta snájžna pa naša ne potrebüjo snajge. Nego Bôg je tak zglíhao têlo: da je onoj kotrigi, šteroj se je kaj zmenkalo, obilnêše poštenjé dáo. 
1CO.12.25	Naj ne bode razščêsanje vu têli: nego naj kotrige edna za drügo skrb májo. 
1CO.12.26	I, či trpí edna kotriga, vküp trpíjo vse kotrige: či se díči edna kotriga; ž njôv se radüjo vse kotrige. 
1CO.12.27	Ví ste pa têlo Kristušovo i z ednoga tála kotrige. 
1CO.12.28	I níke istina je postavo Bôg vu cérkvi prvo Apoštole, drügôč proroke, tretíč vučitele, potom močí, sledka dári ozdrávlenjá, pomočníke, ravnáče, vnoga jezikov znánce. 
1CO.12.29	Jeli so tak záto vsi Apoštolje? Jeli so vsi prorocke? Jeli so vsi vučitelje? Jeli so vsi močí? 
1CO.12.30	Jeli vsi dári ozdrávlenjá májo? Jeli vsi z jezikmi gučíjo? Jeli vsi raskládajo? 
1CO.12.31	Vgánjajte se pa za te naj bôgše dári. I ešče od toga jakšo cesto vám pokážem.
1CO.13.1	Či bi z človečánskimi i z angelskimi jezikmi gúčao; lübéznosti bi pa nêmeo: včinjen sem brnéči med, ali cinkajôče cimbole. 
1CO.13.2	I či mám proroküvanje i znám vse skrivnosti i vse znánje i či mám vso vero tak, da bregé prenášam, lübéznosti pa nemam; nikaj sem nej. 
1CO.13.3	I či siromákom na hráno dám vsa moja poíštva, i či tá dám têlo moje, naj zgorim: lübéznosti pa nemam: nikaj mi ne valá.
1CO.13.4	Lübéznost je trpliva, dobrotivna, lübéznost je nej nevoščéna, lübéznost se ne hváli, ne nadüva se. 
1CO.13.5	Ne drží se nepristojno, ne išče svoja, ne čemerí se, ne mísli hüdo. 
1CO.13.6	Ne radüje se nad nepravičnostjov; radüje se pa nad istinov. 
1CO.13.7	Vsa zakríva, vsa verje, vsemi se vüpa, vsa trpí.
1CO.13.8	Lübéznost nigdár z srcá vö ne spádne: geto, ali proroküvanja, se zaprávijo; ali jezicke, hênjajo; ali spoznanje, na nikoj pride. 
1CO.13.9	Ár z tála spoznamo i z tála proroküjemo. 
1CO.13.10	Gda pa príde popolnost: teda, ka je z tála, se na nikoj správi. 
1CO.13.11	Gda sem dête bio: liki dête sem gúčao, liki dête sem mislo, liki dête sem čednüvao: gda sem pa môž včinjen; tá sem niháo ta déteča. 
1CO.13.12	Ár zdaj glédamo, kak v gledali, vu temnoj rêči: teda pa od lica do lica. Zdaj spoznam ztála: teda pa poznam; kakti sem i jas spoznani. 
1CO.13.13	Zdaj pa ostáne vera, vüpanje, lübézen eta trôja: naj vékša je pa totê lübézen.
1CO.14.1	Vgánjajte se za lübéznost: želte pa ta dühovna; naj bole pa, naj proroküjete. 
1CO.14.2	Ár, kí gučí z tühim jezikom, ne gučí lüdém: nego Bôgi. Ár ga nišče ne slíši: v dühi pa gučí skrovnosti. 
1CO.14.3	Kí pa proroküje: lüdém gučí na pobôgšanje i opominanje i obeseljávanje. 
1CO.14.4	Kí gučí z jezikom, sám sebé pobôgšáva: kí pa proroküje; gmajno pobôgšáva. 
1CO.14.5	Ščém pa, naj vsi gučíte z jezikmi; bole pa, naj proroküjete: Ár je vékši, ki proroküje: liki, kí gučí z jezikmi; nego či raskladé; naj gmajna pobôgšanje vzeme. 
1CO.14.6	Zdaj pa, bratje, či prídem k vám z jezikmi gučéči, ka bom vám valáo či vám nebom gúčao, ali vu oznanenjê, ali vu proroküvanji, ali vu včenjê? 
1CO.14.7	Liki, štera so brezi žítka glás dávajôča dugovánja, ali žvegla, ali citara; či razločka v glási ne dájo, kakda se spozna, ka se žveglári; ali igra? 
1CO.14.8	Ár, či negvüšni glás dá trombönta, što bode se správlao na boj? 
1CO.14.9	Tak i ví, či po jeziki rázumno rêč ne dáte, kak se spozna, ka je gúčano? Ár bodte vu zrák gúčali. 
1CO.14.10	Nači istina vnôgi glàsi so na svêti, i ni eden med njimi je nej brezi rázumnoga glásá. 
1CO.14.11	Či záto neznam môči glása: bodem tomi gučéčemi barbaruš, i te gučéči pred menom je barbaruš. 
1CO.14.12	Tak i ví, geto želête ta dühovna, na pobôgšanje gmajne íščite; naj obiljávate. 
1CO.14.13	Záto, kí gučí z jezikom, naj moli: da razskladé. 
1CO.14.14	Ár, či molim z jezikom, düh moj moli: pamet moja je pa brezi sáda. 
1CO.14.15	Ka je záto? Molim v dühi; molim pa i v pámeti: popêvam v dühi; popêvam pa i v pámeti. 
1CO.14.16	Nači, či boš blagoslávlao v dühi, te prôsti, kí je tam, kakda erčé amen na tvojo hválo dávanje: geto, ka práviš, nezna. 
1CO.14.17	Ár istina ti dobro dávaš hválo: ali te drügi se ne pobôgšáva. 
1CO.14.18	Hválo dájem Bôgi mojemi: kaj bole, liki vsi ví, z jezikmi gučim. 
1CO.14.19	Ali vu cérkvi ščém pét rêči ráj z pámetjov mojov gúčati; naj i drüge včim: liki desét jezér rêči vu tühi jezíki. 
1CO.14.20	Bratje, ne bojdte deca z pámetjov: nego z hüdôbov bojdte deca; z pámetjov pa popolni bojdite. 
1CO.14.21	Vu právdi je písano: kâ z drügimi jezikmi i z drügimi lampami bom gúčao lüdstvi etomi: i niti tak ne bodo poslüšali, veli Gospôd. 
1CO.14.22	Záto jezicke so na znamênje nej tim vervajôčim; nego tim nevervajôčim: proroküvanje pa nej tim nevervajôčim; nego tim vervajôčim. 
1CO.14.23	Či bi se tak vküp správila cêla Cérkev, ali gmajna na edno mesto, i vsi bi z jezikmi gúčali; notri bi pa šli prôsti, ali neverni: ne bi erkli, ka norüjete? 
1CO.14.24	Či bi pa vsi proroküvali, i notri bi šô kákši neveren, ali prôsti: pokárao bi se od vsê, i osôdo bi se od vsê. 
1CO.14.25	I tak ta skrovna srcá njegovoga očivesna bodo: i tak spadnovši na obráz molo bode Bogá nazviščávajôči, ka je Bôg zaìstino med vami.
1CO.14.26	Ka je záto, bratje? Gda vküp prídete: vsákši vás pesem má, včenjé má, jezik má, oznanenjé má, razskládanje má; vsa na pobôgšanje naj bodo. 
1CO.14.27	Či što z jezikom gučí: dvá, ali naj več trijé naj gučijo, i tô eden za drügim, i eden razkládaj. 
1CO.14.28	Či pa nega, kí bi razkládao: tiho naj bô vu Cérkvi; sám sebi i Bôgi naj guči. 
1CO.14.29	Prorocke pa dvá, ali trijé naj gučíjo: i drügi naj razsodjávajo. 
1CO.14.30	Či je pa drügomi tam sedéčemi kâ oznanjeno: te prvi naj tiho bode. 
1CO.14.31	Ár morete eden za drügim vsi proroküvati: naj se vsi vešíjo i vsi obeselíjo. 
1CO.14.32	I Dühovje prorokov so prorokom podáni. 
1CO.14.33	Ár je Bôg nej zmêšanja Bôg: nego méra; liki vu vsej správiščaj ti svécov. 
1CO.14.34	Žene vaše vu cérkváj tiho naj bodo. Ár je njim nej dopüščeno gúčati: nego naj podáne bodo; liki i právda velí. 
1CO.14.35	Či se pa kâ ščéjo včiti: domá lastivne možé naj pítajo. Ár je grdô ženi vu cérkvi gúčati. 
1CO.14.36	Ali od vás je Boža rêč zíšla? Ali med same vás je prišla? 
1CO.14.37	Či što štima, ka je prorok, ali dühovni: naj spozna; ka vám píšem, kâ so Gospodnove zapôvidi. 
1CO.14.38	Či pa šteri nezna: naj si nezna. 
1CO.14.39	Záto, bratje, želte proroküvati; i gúčati z jezikmi ne bránte. 
1CO.14.40	Vsa naj snájžno i pôleg réda bodo.
1CO.15.1	Na znánje vám pa dájem, bratje, Evangeliom; šteroga sem vám nazviščávao: šteroga ste i vzéli, v šterom i stojíte. 
1CO.15.2	Po šterom se i zveličate: či, z kákšov rêčjov sem ga vám nazviščávao, zdržíte; nego či ste zamám vervali. 
1CO.15.3	Ár sem vám naj bole eto vö dáo, ka sem i jas vzéo: kâ je Kristuš mr’ô za grêhe naše pôleg písma. 
1CO.15.4	I kâ je pokopan i kâ je gori stano na trétji dén pôleg písma. 
1CO.15.5	I kâ se je skázao Kéfáši: potom i tim dvanájsetim. 
1CO.15.6	Po tom se je skázao več pét stô bratom kčasi: z šteri ji vnogo ešče zdaj živé; níki so pa že záspali. 
1CO.15.7	Po tom se je skázao Jakubi: potom vsêm Apoštolom. 
1CO.15.8	Naj obslêdnjim pa zevsej, liki od porodnosti, se je i meni skázao. 
1CO.15.9	Ár sem jas te naj ménši med Apoštolmi: kí sem nej vrêden, ka bi se Apoštol zvao; kâ sem preganjao cérkev Božo. 
1CO.15.10	Z milošče Bože sem pa, ka sem; i milošča njegova vu meni je nej bíla zamán; nego sem več od njíh vsej delao. Nej pa jas: nego milošča Boža; štera je z menom. 
1CO.15.11	Záto, ali jas, ali oni, tak prêdgamo: i tak ste vervali. 
1CO.15.12	Či se pa Kristuš prêdga; ka je od mrtvi gori stano: kakda právijo níki med vami; kâ ti mrtvi gori stanenjá nega? 
1CO.15.13	Či pa ti mrtvi gori stanenja nega: ni Kristuš je ne gori stano. 
1CO.15.14	Či je pa Kristuš nej stano gori: zobstom je tak prêdganje naše, zobstom je i vera vaša. 
1CO.15.15	Nájdemo se pa i krívi svedocke Boži: kâ smo svedočili od Bogá; kâ je gori zbüdo Kristuša; šteroga je nej zbüdo; či se ti mrtvi gori ne zbüdijo.
1CO.15.16	Ár, či se mrtvi gori ne zbüdijo, niti Kristuš jej ne gori zbüdjeni. 
1CO.15.17	Či je pa Kristuš nej stano gori: márna je vera vaša; ešče ste vu grêhi vaši. 
1CO.15.18	Záto, i kí so záspali vu Kristuši, zgübleni so. 
1CO.15.19	Či vu etom žitki samo vüpanje mámo vu Kristuši, nevolnêši smo od vsej lüdi. 
1CO.15.20	Zdaj je pa Kristuš gori stano z mrtvi: prvotina tej, kí so záspali, včinjen. 
1CO.15.21	Ár, geto je po človeki smrt, i po človeki je gori stanenjé ti mrtvi. 
1CO.15.22	Ár, liki vu Ádami vsi mérajo: tak i vu Kristuši vsi oživéjo. 
1CO.15.23	Vsákši pa vu lastivnom rédi: prvotina je Kristuš; potom oni, kí so Kristušovi vu príšestjê njegovom. 
1CO.15.24	Po tom konec bode; gda tá dá králevstvo Bôgi i Oči: gda na nikoj správi vse poglavárstvo i vso oblást i môč. 
1CO.15.25	Ár more on kralüvati: dokeč ne dene vse nepriátele pod nogé svoje. 
1CO.15.26	Te slêdnji nepriátel smrt se na nikoj správi. 
1CO.15.27	Ár je vsa podvrgao pod nogé njegove. Gda pa veli, kâ so vsa podvržena: očivesno je; kâ je zvün toga, kí njemi je vsa podvrgao. 
1CO.15.28	Gda njemi pa bodo vsa podvržena: teda se i sám Sin podvrže tomi, kí je njemi vsa podvrgao; naj bode Bôg vse vu vsej. 
1CO.15.29	Nači ka bi činíli ti okrstšeni nad mrtvimi: či bi rêsan ti mrtvi gori ne stanoli? Zakaj se pa krstšávajo nad mrtvimi? 
1CO.15.30	Zakaj pa i mí pogíbamo vsáko vöro. 
1CO.15.31	Vsáki dén vméram po našoj hváli; štero mám vu Kristuš Jezuši Gospodni našem. 
1CO.15.32	Či sem se pôleg človeka zdivjáčinov bojüvao vu Efezuši: ka mi valá; či mrtvi gori ne stánejo? Jejmo i pímo: ár vütro merjémo. 
1CO.15.33	Ne dájte se zapelati: hüda zgučávanja skvaríjo dobre návade. 
1CO.15.34	Prebüdte se pravično i ne grêšte. Ár níki neznajo Bogá. Na sramoto vám právim. 
1CO.15.35	Ali erčé što: kakda stánejo gori ti mrtvi? i v kákšem têli naprê prído? 
1CO.15.36	Nespameten: tí, ka séjaš, ne oživé se; nego, či merjé. 
1CO.15.37	I, ka sêjaš, ne séjaš têlo, štero bode: nego gôlo zrno, trbê je znati pšenice, ali pa kákšega drügoga silja. 
1CO.15.38	Bôg njemi pa dáva têlo, kák ščé i vsákšemi semeni lastivno têlo. 
1CO.15.39	Nej je vsáko mesô edne dôbi mesô: nego drügo je človeče mesô, drügo je pa govensko, drügo je pa ríbje, drügo je pa ftíčke. 
1CO.15.40	Jeso i nebeska têla i zemelska têla; ali drüga je ti nebeski díka; drüga je ti zemelski. 
1CO.15.41	Drüga díka je sunca, i drüga díka je mêseca, i drüga díka je zvêzd: ár zvêzda od zvezde se razločáva po díki. 
1CO.15.42	Tak bode i gori stanenjé ti mrtvi. Sêja se vu sprjhnenjê, gori stáne vu nesprhnjenosti. 
1CO.15.43	Sêja se vu nepoštenjê: gori stáne vu díki. Sêja se vu nemočnosti: gori stáne vu zmožnosti. 
1CO.15.44	Sêja se têlo telovno, gori stáne têlo dühovno. Je têlo telovno: i je têlo dühovno. 
1CO.15.45	Tak je i písano: včínjen je prvi človik Ádam vu živôčo düšo; te slednji Ádam pa na düh oživlenjá. 
1CO.15.46	Ali nej je to prvo, dühovno; nego to telovno: potom pa to dühovno. 
1CO.15.47	Prvi človik je z zemlé zemelski: te drügi človik je pa Gospôd z nebés. 
1CO.15.48	Kákši je te zemelski; tákši so i ti zemelski: i kákši je te nebeski; tákši so i ti nebeski. 
1CO.15.49	I, liki smo nosili obráz toga zemelskoga, tak nosmo i obráz toga nebeskoga. 
1CO.15.50	Tô pa právim, bratje: kâ mesô i krv králevstva Božega öroküvati nemre: niti sprjhnenjé nesprhnjenost öroküvati. 
1CO.15.51	Ovo skrovnost vám povêm: vsi istina ne zaspímo; vsi se pa preobrnémo. 
1CO.15.52	Brš vu očnom megnenji, na slêdnjo trombönto (ár tromböntivali bodo) i ti mrtvi gori stáno nesprhlivi i mí se preobrnémo. 
1CO.15.53	Ár je potrêbno, naj to sprhlivo obličé nesprhlivost i to mrtelno obličé nemrtelnost. 
1CO.15.54	Gda pa to sprhlivo obličé nesprhlivost i to mrtelno obličé nemrtelnost: teda se zgodi ona rêč, štera je písana; požrêta je smrt vu obládanji. 
1CO.15.55	Gde je tvoj, ô smrt! zalec? Gde je tvoje, ô pekel! obládanje? 
1CO.15.56	Žálec smrti je pa grêh, môč grêha je pa právda. 
1CO.15.57	Ali hvála bojdi Bôgi; kí nám je dáo obládanje po Gospodni našem Jezuši Kristuši. 
1CO.15.58	Záto, bratje moji lübléni, stálni bojdte, negenjeni, obilni vu deli Gospodnovom vsigdár, znajôči, kâ ne bode zamán delo vaše vu Gospodni.
1CO.16.1	Od zbérice pa tim svétim na potrêbčino liki sem zrendelüvao gmajnam vu Galácii: tak i ví činte. 
1CO.16.2	Prvi dén tjedna vsáki vas tá deni pri sebi správlavši; ka se njemi dobro vídi: naj se teda, gda prídem, zbérice ne pobérajo. 
1CO.16.3	Gda pa prídem: šterekoli bodte štímali spodobne po lísti; té pošlem; naj neséjo tô miloščo vašo vu Jerušálem. 
1CO.16.4	Či je pa vrêdno i meni idti: naj pojdo z menom. 
1CO.16.5	Šô bom pa k vám: gda bom šô po Macedonii (ár bom po Macedonii šô).
1CO.16.6	Pri vás pa lêhko ostánem; ali i prezimávao bodem: naj me ví sprevodite; kamakoli bom šô. 
1CO.16.7	Ár neščem vás zdaj vu prêkidênji viditi: vüpam se pa; ka nikeliko vrêmena pri vás ostánem: či bode Gospôd šteo. 
1CO.16.8	Ostánem pa vu Efezuši do Risáo. 
1CO.16.9	Ár so se mi dveri odprle velike i močno, i protivníkov je vnogo. 
1CO.16.10	Či pa príde Timoteuš: glédajte, naj brezi stráha bode pri vas. Ár delo Gospodnovo dela; liki i jas. 
1CO.16.11	Naj ga záto što ne zavrže. Sprevodte ga pa vu méri; naj príde k meni: ár ga čákam z bratmi vrét. 
1CO.16.12	Od Apollóša brata pa znájte: ka sem ga dosta proso; najde k vám z bratmi. Ali nigdár je nê bio té vôle; ka bi zdaj šô. Šô de pa; gda príliko nájde. 
1CO.16.13	Verostüjte, stojte vu veri, možjé bojdte i močni bojdte. 
1CO.16.14	Vsa vaša se naj vu lübéznosti godíjo. 
1CO.16.15	Prosim pa vas, bratje; znájte hižo Števanovo; kâ je prvotina Ahaie, i na slüžbo tim svétim so se pôdali. 
1CO.16.16	Naj i ví podáni bodete tákšim i vsákomi pomágajôčemi i delajôčemi. 
1CO.16.17	Veselim se pa nad príšestjem Števana i Fortunátuša i Ahaika: kâ so vaše zmenkanje tej spunili. 
1CO.16.18	Ár so zpokojili moj i vaš düh. Záto znájte tákše v poštenjê držati. 
1CO.16.19	Pozdrávlajo vás gmajne Ážie. Pozdrávlajo vás vu Gospodni vnogo Akvila i Priscilla zspráviščom vrét štero je vu njidva hiži. 
1CO.16.20	Pozdrávlajo vás bratje vsi. Pozdravte eden drügoga vu svétom küššüvanji. 
1CO.16.21	Pozdrávlanje z mojov rokôv Pavlovov pisano. 
1CO.16.22	Či što ne lübi Gospon Jezuš Kristuša: prekléti bojdi, máran ata. 
1CO.16.23	Milošča Gospon Jezuš Kristuša bojdi z vami. 
1CO.16.24	Lübézen moja zevsêmi vami vu Kristuš Jezuši, Amen.
1CO.16.24	K Korintušáncom prvi líst pisani od mesta Filippiš; poslani pa po Števani i Fortunátuši i Ahaiki i Timoteuši.
2CO.1.1	Pavel Apoštol Jezuš Kristušov po vôli Božoj i Timoteuš brat gmajni Božoj, štera je vu Korintuši zevsêmi svétimi, kí so vu cêlôj Aháji. 
2CO.1.2	Milošča vám i mér od Bogá Očé našega i Gospon Jezuš Kristuša.
2CO.1.3	Blagoslovlen je Bôg i Oča Gospodna našega Jezuša Kristuša, Oča smilenosti i Bôg vsega obeseljá. 
2CO.1.4	Kí nás obeseljáva vu vsoj našoj nevôli, da bi i mí mogli obeseljávati vu vsákoj nevôli bodôče, po obeseljávanji, zkim se i mí od Bogá obeseljávamo. 
2CO.1.5	Naj, kak obiljávajo trplênja Kristušova v nami, tak po Kristuši obiljáva i obeseljávanje naše. 
2CO.1.6	Ali se pa nevôlivamo; na vaše obeseljávanje i zveličanje je: štero se dela vu znáššanji tistí nevôl, štere i mí trpímo: ali se obeseljávamo; na vaše obeseljávanje i zveličanje je. 
2CO.1.7	I vüpanje naše je močno za vás, znajôči; kâ, liki ste tálnicke trplênja, tak i obeseljávanja. 
2CO.1.8	Ár neščemo, ka bi neznali, bratje, naše nevôle, štera se je nám pripetila vu Ážii; kâ smo vö zmertüka požméčani bili i više môči tak; da smo i vživotí našem dvojíli. 
2CO.1.9	Ali i mí samí v sebi smo že smrti sôdbo meli: naj se ne vüpamo vu sebi; nego vu Bôgi; kí mrtve gori zbüdjáva. 
2CO.1.10	Kí nás je z tákše smrti oslôbodo i oslobodjáva: v kom se vüpamo; kâ nás i potom oslobodí. 
