MAT.1.1	Jesucrist ngol lo raz chaan rey David, ne lo raz chaan Abraham kuu ngok tey re zha Israel ndala.
ACT.7.3	Diox nzhab lo Abraham: “Broo laza ne blaa re tawlaza, tsa ndyaʼa yezlyu kuu lon loʼa”. [Gn. 12:1] 
ACT.7.4	Tsa mroo Abraham yezlyu Caldea ne ndya Abraham ngoo yez Harán. Ne tya nguth xut Abraham ne leettsa ngutha xut Abraham, lee Diox ndyaadno zha yezlyu ree, ta nzo re goo nal. 
ACT.7.5	Ne mndaat Diox neeka thib le yu ree lo Abraham, neeka lutte, per nzhab Diox lo Abraham, taa Diox yezlyu ree lo re raz chaan Abraham, or lee Abraham ngutha. Ne napt Abraham zhiinn Abraham tsya. 
ACT.7.6	Ne noga nzhab Diox lo Abraham: “Lee re zha raz Abraham ya yo thib yez tith, ne lee re zha yeza tsow, gak re zha raz Abraham mos lo re zha kuu nzo yeza, ne teti re zha yeza re zha raz Abraham thib thap gayoo liin”. [Gn. 15:13] 
ACT.7.7	Noga nzhab Diox lo Abraham: “Na teti zha yezlyuʼa, zha kuu tsow gak raza mos lo re zha kuu nzo tya, per bluz roo re raza tya, ne yaad re zha nzhee gol zha lon”. [Ex. 3:12] 
ACT.7.8	Ne lo trat kuu mtsow Diox kon Abraham, mnabee Diox lo Abraham, tsa kee Abraham seny Abraham ne re zha raz Abraham. Kona penta mzaal xon wiz ngol xgann Abraham Isaac, mkee Abraham seny xgann Abraham, ne tataka mtsow Isaac kon xgann Isaac Kob; ne leeka tata mtsow Kob kon re xgann Kob, kuu ngok xut re tsiibchop re zha raz zha Israel.
ACT.7.9	’Re xgann Kob kuu ngok re teyaa zha ndala, mnayii zha mne zha wets zha Che, tsa mtho zha Che lo zha kuu mriid ndya net Egipto, per mlaayaat Diox Che, 
ACT.7.10	mtsow Diox ayud Che lo re yalti kuu mriid Che, ne mndaa Diox yalnzhaak lo Che, noga mtsow Diox lee faraón zha kuu nak rey Egipto mkayaa Che. Ne rey ree mtsow ngok Che zha nabee dita yezlyu Egipto ne noga liz rey.
ACT.7.11	’Tsya mla win dita yezlyu Egipto ne yezlyu Canaán, ne lee re teyaa kwathoz nabil ngoo leettsoo zha, tak yent raa kuu wu zha. 
ACT.7.12	Ne leettsa mbin Kob nzo nzob xtil yez Egipto; tsa mtaal Kob re xgann Kob tya, yaxii nzob xtil thib welt, ne re zha ree ngok re teyaa zha ndala. 
ACT.7.13	Ne leettsa ngwa re zha tedib welt, tsaraa lee Che mlaa mlebee re wets Che Che, ne tabaa lee faraón mne naa cho raz ndyaad Che. 
ACT.7.14	Tsa mnabee Che yaad xut Che Kob ne reta zha liz Che, tsa yo re zha Egipto, ne re zha ree nak tson gal tsiin. 
ACT.7.15	Ta mod ndya Kob ngoo Egipto; ne tya nguth Kob, ne tyaka nguth re teyaa zha ndala. 
ACT.7.16	Ne bluz mbe re zha tsidth Kob yez Siquem, ne mloo zhay leen baa kuu mzhii Abraham lo re zhiinn Hamor yez Siquem.
ACT.7.17	’Ne leettsa ndetsin gaxa wiz kuu gak kuu nzhab Diox lo Abraham, lee zhiinn re teyaa zha ndala kwaro myazh zha Egipto. 
ACT.7.18	Ne lee tedib rey mnabee Egipto, ne zha ree mlebeet zha Che. 
ACT.7.19	rey ree mkedi re tawlazaa ne mteti zha re tawlazaa zha ndala. Mnabee zha, tsa laa re tawlazaa gath re xgann zha kuu penta ngol. 
ACT.7.20	Ne thib re wiza ngol Moisés, thib mbet kuu kwathoz wen ngoo leettsoo Diox mne Diox, ne lee xnaa mbet ne xut mbet mxeen mbet tsonka mbee. 
ACT.7.21	Ne mzin wiz kuu laa rop zha mbet, tsa lee rtsaap faraón mzal mbet ne mxeen nzaa mbet taxal zhiinn nzaa. 
ACT.7.22	Kona lee Moisés mteed lo yalnzhaak chaan re zha Egipto, ne lo xkiiz Moisés ne lo re kuu mtsow Moisés ngok Moisés zha nataak.
ACT.7.23	’Per leettsa napa Moisés chop gal liin, tsa ngoo leettsoo Moisés ngwatwii Moisés lo re tawlaz Moisés, zha Israel. 
ACT.7.24	Tsa mne Moisés lee thib zha Egipto ngeyin thib zha Israel, tsa mla Moisés tawlaz Moisés, ne mbeth Moisés zha Egipto. 
ACT.7.25	Mtsow Moisés xgab tabaa mod lee re tawlaz Moisés yeen lee Diox mtaal Moisés, tsa koo Moisés re tawlaz Moisés Egipto; per myent re tawlaz Moisése. 
ACT.7.26	Ne tedib wiz mwii Moisés lee chop tawlazaa zha Israel ngeyo ne nlaaz Moisés wen kwin rop zha, tsa nzhab Moisés lo rop zha: “Tawlaz rop goo; ¿Chebee ngyo goo kon leeka tawlaz goo?” 
ACT.7.27	Tsa lee zha kuu ngeyin tedib zha mchop Moisés ne nzhab lo Moisés: “¿Cho mtoʼa tsa nabeeʼa lo nee, ne teniʼa nee? 
ACT.7.28	¿Chu nlaaza kutha na taxal mbetha zha Egipto naaʼa?” [Ex. 2:14-15] 
ACT.7.29	Leettsa mbin Moisés kona, tsa mzhonn Moisés ndya Moisés ngoo Moisés yezlyu chaan re zha yez Madián, ne tya ngoo Moisés taxal zha tedib yez ne tya mkeno Moisés chop xgann Moisés.
ACT.7.30	’Ne mriid chop gal liin lee Moisés ndo thib yubiz, gax yii Sinaí, tsa mloo thib mandad chaan Diox xid bel lo ya bxiid lo Moisés. 
ACT.7.31	Tsa kwathoz mzegey leettsoo Moisés mwii Moisés kona, tsa mbig Moisés gax tsa wen wen wii Moisése. Ora mbin Moisés lee Zha Nabee mni lo Moisés, ne nzhab: 
ACT.7.32	“Na nak Diox chaan re teya, Diox chaan Abraham, chaan Isaac ne chaan Kob”. [Ex. 3:6] Tsa lee Moisés mzeb ne mzhiit ne myet raa leettsoo Moisés gawii Moisés kona. 
ACT.7.33	Tsa lee Zha Nabee nzhab lo Moisés: “Kib labyid niiʼa, tak lee ta ndoʼa, nak thib ta nayon. 
ACT.7.34	Na ngewii naa xa ngeriid re zha da kuu nzo Egipto yalti, ne asta nzhonn zha naab zha lon. Kona mlan tsa gon zha, de nzhee, tsa taalʼn lu Egipto.” [Ex. 3:5,7]
ACT.7.35	’Ne tegal mzegeyt re zha Moisés, or kuu nzhab zha lo Moisés: “¿Cho mtoʼa gaka zha kuu nabee ne naaba kwent lo nee?” Per lee Diox mtaal Moisés, tsa nabee Moisés lo re teyaa, ne Moisés ngwa mloo re zha Egipto, ne lee mandad chaan Diox mtsow ayud Moisés, leeka mandad kuu mloo lo Moisés ndrol xid bel lo ya bxiid. 
ACT.7.36	Ne Moisés nak cho mloo re teyaa zha ndala yezlyu Egipto, ne kon yalney chaan Diox mtsow Moisés kwaro kuu thoz yezlyu Egipto ne lo Nitdoo Nane ne lo yubiz thib chop gal liin. 
ACT.7.37	Ne leeka Moisés ree nzhab lo re zha Israel: “Diox kwii thib zha xid re goo kuu gak profet taxal na”. [Dt. 18:15] 
ACT.7.38	Ne Moisés mndo kon re teyaa yubiz, ne leeka lo Moisés mni mandad chaan Diox yek yii Sinaí, ne lee Moisés mkayaa ley chaan Diox ne mndaay lo re teyaa zha ndala ne tabaaga mriide loʼaa.
ACT.7.39	’Per lee re teyaa zha ndala, ngwalaazt zha gagon zha diiz lo Moisés, ne mlaazt re zha Moisés, leel ngwalaaz re zha garetab zha Egipto tedib welt. 
ACT.7.40	Ne nzhab re zha lo Aarón: “Btexkwaa thib diox kuu tener loʼaa, tak netaa naa kwan ngok kon Moisés kuu mloo reʼaa yezlyu Egipto”. [Ex. 32:1] 
ACT.7.41	Tsa mdexkwaa zha thib ngon lut kuu or, kuu mtsow zha diox zha, ne mbeth zha maa mndaa zha lo kona, ne mtsow re zha thib ani lo kuu mdexkwaa re zha, tak kwathoz wen ngoo leettsoo re zha mdexkwaa zhay. 
ACT.7.42	Kona mlaa Diox re zha, ne mlaa Diox mbil re zha lo wiz, lo mbee ne lo re mbel kuu nzib lobee. Tak tabaa nke lo xkeets Diox, kuu mkee re profet lo re men, leettsa nzhab profet:
ACT.7.42	Zha Israel, leettsa mndiy re goo yubiz chop gal liin, ¿chu lon mndaa goo re maa kuu mbeth goo?
ACT.7.43	Mndaat gooy lon sinke leel lo Moloc mbil goo, ne lo mbel chaan Refán,
ACT.7.43	re diox kuu leeka re goo mdexkwaa ne mndeno re goo yuu yid chaan kona.
ACT.7.43	Ta mod taalʼn goo mas tith lo Babilonia. [Amós 5:25-27]
ACT.7.44	’Leettsa mndiy re teyaa zha ndala yubiz, mkeno re zha yuu yid, ta mbil re zha lo Diox yubiz, ne leene mlotsow zha re ley chaan Diox. Ne yuu yid ree mdexkwaa taxal nzhab Diox lo Moisés. Or nzhab Diox lo Moisés tsow Moisése taxal kuu mloo Diox lo Moisés. 
ACT.7.45	Ne yuu yid ree myaan lo re teyaa zha ndala, ne re zha Josué mbe zhay, leettsa mbyo re zha kon tedib net yez, par mtsow zha gan yezlyu, ne Diox mtsow ayud re zha tsa mtsow zha gane, ne yuu yid ree mkeno re zha, asta wiz kuu ngok David rey. 
ACT.7.46	Ne lee Diox kwathoz wen ngoo leettsoo mne rey David, ne leeka David ngwalaaz gataa gwodoo chaan Diox reʼaa zha Israel. 
ACT.7.47	Per rey Salomón raa mdexkwaay. 
ACT.7.48	Tegal nzot Diox leen gwodoo kuu ndexkwaa men, taxal nzhab profet kuu ngoo ndala, or kuu nzhab profet:
ACT.7.49	Yibaa nak ta ndobʼn nabeen,
ACT.7.49	ne lo yezlyu nak ta ndo nin.
ACT.7.49	¿Cho yuu taa goo par na?
ACT.7.49	¿Pa texkwaa goo neyʼn?
ACT.7.50	¿Chu nagt na cho mdexkwaa reta kwaa? Ne Zha Nabee. [Is. 66:1-2]
ACT.7.51	Per lee re goo nzhab Steb:
ACT.7.51	―Thitanax nad goo, taxal zha ndobt nza ntsow goo, ne nlaazt goo tsow goo kuu nlaaz Diox, neeka nlaazt goo gon goo kuu nlaaz Mbi Nayon chaan Diox ne lo goo, leeka taxal ngok re teyaa zha ndala taga nak goo. 
ACT.7.52	¿Ne cho thib re profet kuu ngoo ndala, mtetit re teyaa zha ndala? Asta mbeth re teyaa re profet, or nzhab profet lee Zha Kuu Nali Nak Yaad, ne leettsa myaad Zha Kuu Nali Nak, mzhen goo zha ne mnabee goo mbeth zha, zha. 
ACT.7.53	Ne tegal re goo mkayaa ley chaan Diox lo re mandad chaan Diox, per nzhont goo diiz kuu nzhab lo ley.
ACT.7.54	Leettsa mbin re zha diiz ree, kwathoz mkezhyan zha ne asta nduub zha keley zha, tak kwathoz mnayii zha mne zha Steb. 
ACT.7.55	Ne lee Mbi Nayon kwaro nabee leettsoo Steb, ne mwii Steb yibaa ne mloo xni yibaa chaan Diox lo Steb, ne mloo lo Steb lee Jesús ndo lad ban lo Diox. 
ACT.7.56	Tsa nzhab Steb:
ACT.7.56	―¡Wii goo! Ngewiin lee yibaa ndezhaal, ne lee Jesucrist ndo lad ban lo Diox.
ACT.7.57	Per lee re zha mtow zha nza zha, ne mrezta zha ne mbig zha mzhen zha Steb. 
ACT.7.58	Tsa mloo re zha Steb yez ne mkee zha ke yek Steb, ne lee re zha kuu mkee ke yek Steb, mlaa re zha chamar zha, tsa lee thib nde kuu le Saulo mkenape.
ACT.7.59	Ne or ngekee re men ke yek Steb, lee Steb mnaab lo Diox ne nzhab:
ACT.7.59	―Jesús Zha Nabee, bkayaa xbi da.
ACT.7.60	Or ngwalo nzhab Steb koree, tsa mtobxub Steb ne dib gan Steb mrez Steb, ne nzhab Steb:
ACT.7.60	―¡Zha Nabee, naabta kwent re kuu went kuu ngetsow re zha ree lon!
ACT.7.60	Leettsa ngwalo tata nzhab Steb, ora nguth Steb.
ACT.8.1	Ne wen ngoo leettsoo Saulo lee Steb nguth.
ACT.8.1	Ne leeka re wiza mndelo re men mreke dits reta zha kuu nyelaaz Jesús yez Jerusalén. Kona reta zha mraats ndya tedib re yez chaan yezlyu Judea ne yezlyu Samaria beeta re apóstl myaan Jerusalén. 
ACT.8.2	Ne thib chop mbyi kuu thib mloo yek tsow kuu nlaaz Diox mkaats Steb, ne kwathoz mbinn zha lo Steb. 
ACT.8.3	Ne lee Saulo mreke dits re zha kuu nyelaaz Jesús, ne ndaab Saulo liz re zha, ne lafwers ndeno Saulo mbyi ne ngot ngo Saulo tsib.
ACT.8.4	Per lee re zha kuu mraats mndaa zha kwent xkiiz Diox reta ta nda zha. 
ACT.8.5	Tsa lee Lip ngwa yez Samaria ne mndaa zha kwent xkiiz Diox tya. 
ACT.8.6	Kwaro men nkaltaa, ne nkenza zha kuu ni Lip, ne mwii zha re milagr thoz kuu ntsow Lip. 
ACT.8.7	Ne kwaro zha kuu nzo mbi fyer leettsoo ngwe, ne mbetsyath re mbi fyer ndroo, ne lee re zha mthans ne re zha koj mgwe, 
ACT.8.8	kona kwathoz laz re men yeza.
ACT.8.9	Per tya ngoo thib mbyi kuu le Simún, zha kuu mtsow yalwez ne mkedi Simún re men yez Samaria, mtsow Simún taxal thib zha kuu kwathoz nataak. 
ACT.8.10	Reta men nzhon re kuu mbez Simún, desde zha mndyeen asta zha gox ne mbez re zha:
ACT.8.10	―Mbyi ree nap yalney chaan Diox.
ACT.8.11	Nyelaaz re men kuu mbez Simún, tak kon yalwez mkedi Simún re men naroob tyemp. 
ACT.8.12	Per leettsa mndaa Lip kwent naa xomod nak yalnabee chaan Diox ne chaan Jesucrist; tsa ngwalaaz re zha Diox, ne mbyi ne ngot ngokleyy. 
ACT.8.13	Asta noga Simún ngwalaaz Diox ne ngokleyy ne mndeke Simún dits Lip, ne kwathoz mzegey leettsoo Simún mwii re milagr thoz kuu ngok.
ACT.8.14	Ne leettsa mbin re apóstl kuu nzo Jerusalén lee re zha yez Samaria ngwalaaz Diiz Chul chaan Diox, tsa mtaal zha Pey rop Juan tya. 
ACT.8.15	Ne or mzin rop zha tya, mnaab zha lo Diox por re zha kuu ngwalaaz Jesús tya; tsa kayaa re zha Mbi Nayon. 
ACT.8.16	Tak neeka thib re zhaʼa ter kayaa Mbi Nayon, beeta ngokleyy re zha kon le Jesús Zha Nabee. 
ACT.8.17	Tsa lee Pey rop Juan mxoob yaa yek re zhaʼa, ne tata mkayaa re zha Mbi Nayon.
ACT.8.18	Leettsa mwii Simún lee rop apóstl nxoob yaa dits re men, ne lee re men nkayaa Mbi Nayon, tsa ngwalaaz Simún gataa temi lo rop apóstl, 
ACT.8.19	ne nzhab Simún lo rop apóstl:
ACT.8.19	―Noga lon taa goo yalnabee baa, tsa noga na or xoobʼn yaan dits re men, tsa noga re zha kayaa Mbi Nayon.
ACT.8.20	Tsa lee Pey mkab lo Simún, ne nzhab:
ACT.8.20	―¡Lu ne temiʼa lux kon lu, tak ntsowa xgab kon temi tiiʼa kuu nataak kuu ndelaaz Diox! 
ACT.8.21	Ndoblota ne neeka nzaalt tsowa tsiin ree, tak nalit nak leettsooʼa lo Diox. 
ACT.8.22	Blaa re xgab went kuu nzo yeka, ne bnaab lo Diox tsa naa chu tetuyy Diox xgab went kuu mtsowa. 
ACT.8.23	Tak nyeen na anta yalnayii nzo leettsooʼa, ne naliiba lo kuu went kuu nabee loʼa.
ACT.8.24	Tsa mkab Simún ne nzhab Simún:
ACT.8.24	―Naab goo lo Zha Nabee, tsa neeka thib re kuu ne goo lon tagtʼn.
ACT.8.25	Leettsa ngwalo mndaa rop apóstl kwent chaan Jesús ne xkiiz Diox lo re zha yez Samaria, tsa mretab rop zha Jerusalén ne ndaa zha kwent Diiz Chul chaan Jesús re yez chaan Samaria.
ACT.8.26	Bluz or ngwalo mriid re koree, lee thib mandad chaan Zha Nabee, nzhab lo Lip:
ACT.8.26	―Gwa net yath, net kuu ndroo Jerusalén kuu nzin yez Gaza.
ACT.8.26	Net kuu ndriid yubiz. 
ACT.8.27	Tsa lee Lip ngoo net nda, ne neta mzaal Lip thib mbyi zha yezlyu Etiopía, zha ree nak Eunuco, thib zha nataak; mbyi ree nkenap temi Candace ngot kuu nak reyna kuu nabee dita Etiopía, mbyiʼa ndyaad ngwa Jerusalén ngwayol lo Diox. 
ACT.8.28	Ne ndya zha laz zha, ndob zha leen karret zha ne ngelab zha yeets kuu mkee profet Isaí zha ndala.
ACT.8.29	Tsa lee Mbi Nayon nzhab lo Lip:
ACT.8.29	―Gwa tsa yedaab karret baa loʼa.
ACT.8.30	Ne leettsa ngwadaab karret lo Lip, tsa mbin Lip lee zha Etiopía ngelab yeets kuu mkee Isaí. Tsa mnaabdiz Lip lo zha, ne nzhab Lip:
ACT.8.30	―¿Chu nyena kuu ngelaba?
ACT.8.31	Lee zha mkab lo Lip nzhab:
ACT.8.31	―¿Xomod yen nay, os yent cho ne lon naa xomod nake?
ACT.8.31	Tsa nzhab zha lo Lip kendab Lip leen karret zha, tsa tob Lip cho zha. 
ACT.8.32	Lee xkiiz Diox kuu ngelab zha nak koree:
ACT.8.32	Mbe zha zha taxal thib mbak zhiil lo yalguth;
ACT.8.32	ne yent kwan nzhab zha taxal thib mbak zhiil kuu naxa lo re zha kuu ga yits lad maa.
ACT.8.33	Ne leettsa mtsowno re men zha taxal nlaaz re men,
ACT.8.33	ne mnaabt zha kwent lo zha taxal ndobloy,
ACT.8.33	¿Cho tak taa kwent chaan re raz zha?
ACT.8.33	Tak mkib re zha yalnaban chaan zha lo yezlyu ree. [Is. 53:7-8]
ACT.8.34	Tsa lee zha Etiopía nzhab lo Lip:
ACT.8.34	―Tsow yalwen ne lon, ¿cho nteth profet? ¿Chu leeka lee profeta o tedib zhay?
ACT.8.35	Tsa lee Lip mndelo mndaa kwent xkiiz Diox lo zha, kon leeka xkiiz Diox kuu ngelab zha, tabaa mndaa Lip kwent Diiz Chul chaan Jesús lo zha. 
ACT.8.36	Ne or mzin rop zha thib ta nzo nit, tsa nzhab zha lo Lip:
ACT.8.36	―Nzhee nzo nit, ¿chu tak gakleyyʼn?
ACT.8.37	Tsa lee Lip nzhab lo zha:
ACT.8.37	―Os leeʼa nyelaaza Jesús kon dib ndroo leettsooʼa, tak gakleyya.
ACT.8.37	Lee zha mkab ne nzhab:
ACT.8.37	―Nyelazʼn lee Jesús nak Xgann Diox.
ACT.8.38	Tsa mnabee zha tekweet zha karret, ora mla rop zha ne mndaab zha leen nit, ne mtsowleyy Lip zha. 
ACT.8.39	Ne leettsa mroo rop zha leen nit, lee Lip mnith lo zha, tak lee Mbi Nayon chaan Zha Nabee mndeno Lip; ne kwathoz naley ngoo leettsoo zha Etiopía ndya zha xnet zha. 
ACT.8.40	Leettsa myeen Lip lee Lip ndoʼa yez Azoto, tsa mriid Lip thib yez ne tedib yez, mndaa Lip kwent Diiz Chul chaan Jesucrist, asta mzin Lip yez Cesarea.
ACT.9.1	Lee Saulo be nayiika ne re zha kuu nyelaaz Jesús, ne nlaaz Saulo kuth re zha. Tsa ngwa Saulo lo ngwleyy kuu nabee lo reta ngwleyy. 
ACT.9.2	Ngwanaab Saulo thib yeets, tsa tak ya Saulo yez Damasco re ta nkaltaa re zha nteed zha xkiiz Diox, tsa liib Saulo mbyi na ngot kuu nyelaaz Jesús, ne teno Saulo zha tsa yo zha tsib yez Jerusalén. 
ACT.9.3	Per leettsa ndo Saulo net gaxta yez Damasco, tsa cha mroo thib xni lobee kuu mla dita ta ndo Saulo. 
ACT.9.4	Tsa ngob Saulo lo yu, ne mbin Saulo thib bos kuu nzhab lo Saulo:
ACT.9.4	―Saulo Saulo, ¿chebee ndrekeʼa ditsʼn?
ACT.9.5	Tsa mnaabdiz Saulo:
ACT.9.5	―¿Cho naka Zha Nabee?
ACT.9.5	Ne lee bosa mkab lo Saulo, ne nzhab:
ACT.9.5	―Na nak Jesús, zha kuu ngerekeʼa dits. 
ACT.9.6	Gwateli ne gwa yez Damasco, tya ne zha loʼa naa kwan ndoblo tsowa.
ACT.9.7	Ne lee re zha kuu nda kon Saulo kwathoz mzeb zha, tak mbin zha bos, per yent kwan mloo lo zha. 
ACT.9.8	Tsa ngwache Saulo; ne or mxaal Saulo ngutlo Saulo, nyenit raa ngutlo Saulo. Tsa mzhen re zha kuu nda kon lee Saulo yaa Saulo ne mndeno zha Saulo yez Damasco. 
ACT.9.9	Tya ngoo Saulo tson wiz ne ngwanit lo Saulo, neeka thib kuu ndowt Saulo ne neeka thib kuu ngwiit Saulo.
ACT.9.10	Ne yez Damasco nzo thib mbyi kuu le Ananías kuu nyelaaz Jesús. Ne lee Jesús ngwanii lo Ananías, ne nzhab lo Ananías:
ACT.9.10	―¡Ananías!
ACT.9.10	Tsa lee Ananías mkab ne nzhab:
ACT.9.10	―Leen ndo nzhee, ¿kwan nlaaza Zha Nabee?
ACT.9.11	Ne lee Zha Nabee nzhab lo Ananías:
ACT.9.11	―Bteli ne gwa kay kuu le Nali, ne liz Judas naabdiza thib mbyi zha yez Tarso kuu le Saulo, tak lee Saulo ngenaab lon. 
ACT.9.12	Tak lo Saulo ngwani thib mbyi kuu le Ananías, kuu mndaab ne mxoob yaa yek Saulo, tsa yeni lo Saulo tedib welt.
ACT.9.13	Or mbin Ananías kona, tsa nzhab Ananías:
ACT.9.13	―Zha Nabee, kwaro zha ndaa kwent chaan mbyiʼa lon, ne re kuu went kuu ntsow Saulo lo re zha kuu nyelaaza Jerusalén. 
ACT.9.14	Ne lee nal ndyaad Saulo nzhee ne nap Saulo yalnabee chaan re ngwleyy kuu nabee lo re ngwleyy, tsa ten Saulo re zha kuu nyelaaz lu nzhee ne teno Saulo re zha Jerusalén.
ACT.9.15	Per lee Zha Nabee nzhab lo Ananías:
ACT.9.15	―Gwa, tak mliʼa na mbyiʼa par taa zha kwent xkizʼn lo re zha kuu nagt zha Israel, ne lo re rey yezlyu, ne noga lo re zha Israel. 
ACT.9.16	Na loo lo Saulo lee Saulo ndoblo rid kwathoz yalti, leettsa taa Saulo kwent xkizʼn.
ACT.9.17	Tsa lee Ananías ngwa yuu ta mlet Saulo, ne or mndaab Ananías, tsa mxoob Ananías yaa Ananías yek Saulo, ne nzhab Ananías:
ACT.9.17	―Wets Saulo, lee Jesús Zha Nabee kuu ngwani loʼa or ndyaada net mtaalʼn, tsa yeni loʼa tedib welt, ne kayaaʼa Mbi Nayon chaan Diox leen leettsooʼa.
ACT.9.18	Ne oraaka ngob thib kuu na taxal med mbel ngutlo Saulo, ne mre ngwani lo Saulo tedib welt, tsa ngwateli Saulo ne ngokleyy Saulo. 
ACT.9.19	Tsaraa ndow Saulo tsaraa mkaa Saulo fwers, ne mlet Saulo thiban wiz lo re wets kuu nyelaaz Jesús kuu nzo yez Damasco.
ACT.9.20	Tsa lee Saulo mndelo mndaa kwent xkiiz Diox, lo re men ta nkaltaa re zha Israel nteed xkiiz Diox, ne mbez Saulo lee Jesús nak Xgann Diox. 
ACT.9.21	Reta zha kuu nzhon kuu mbez Saulo; mzegey leettsoo re zha ne mbez zha:
ACT.9.21	―¿Chu leet zha ree kuu ndreke dits re zha Jerusalén kuu nyelaaz Jesús? ¿Chu ndyaadt zha nzhee, tsa ten zha re zha kuu nyelaaz Jesús ne teno zha zha lo re ngwleyy kuu nabee lo re ngwleyy?
ACT.9.22	Ne taxal ndriid wiz lee Saulo ngoo ney raa leettsoo, ndaa kwent xkiiz Diox, ne kwathoz nambi nzhab Saulo lee Jesús nak Crist Kuu Mtaal Diox Nabee, tsa lee re zha Israel kuu nzo Damasco, net zha naa kwan tsow zha xgab.
ACT.9.23	Ne lutta ngwatey lee re zha Israel kuu nzo Damasco myaan diiz kuth Saulo, 
ACT.9.24	per myeen Saulo lee re men nlaaz kuth Saulo. Tse ne yaal ntow zha lo Saulo roo pwert yez, tsa kuth zha Saulo. 
ACT.9.25	Per lee re zha kuu nyelaaz Jesús, yaal mloo zha Saulo leen thib chekwit ne mlaa zha Saulo lad cho blaa kuu now dita yez. Tbaa mroo Saulo yez.
ACT.9.26	Leettsa mzin Saulo Jerusalén, ngwalaaz Saulo gakaltaa kon re zha kuu nyelaaz Jesús tya; per reta zha nzeb lo Saulo, tak nyelaazt re zha lee Saulo nyelaaza Jesús. 
ACT.9.27	Per lee Bernabé ngwano Saulo lo re apóstl. Ne nzhab Bernabé naa xomod mwii Saulo ne mni Jesús lo Saulo or ndo Saulo net nda Saulo yez Damasco. Ne xomod mzebt Saulo mndaa Saulo kwent chaan Jesús yeza 
ACT.9.28	Tsa lee Saulo myaan Jerusalén ne ndiy Saulo kon re zha. Ne mzebt Saulo ndaa kwent chaan Jesús. 
ACT.9.29	Ndediz Saulo ne ngyodiz Saulo kon re zha Israel kuu ndediz diiz gryeg; per lee re zha ree nlaaz kuth Saulo. 
ACT.9.30	Leettsa myeen re zha kuu nyelaaz Jesús kona, tsa mndeno zha Saulo asta yez Cesarea, ne tya mtaal zha Saulo yez Tarso.
ACT.9.31	Tsa lee re zha kuu nyelaaz Jesús, kuu nzo re yez chaan Judea chaan Galilea ne chaan Samaria, wen ngoo re zha tak ndreket raa zha dits zha, ne xlaazga mas wen myen re zha xkiiz Diox ne nzhon zha diize, ne lee Mbi Nayon mtsow masraa myazh re zha kuu nyelaaz Jesús.
ACT.9.32	Ne leettsa ndiy Pey re yez nyatwii Pey lo re zha kuu nyelaaz Jesús, noga ngwa Pey lo re zha kuu nyelaaz Jesús kuu nzo yez Lida. 
ACT.9.33	Tya mzal Pey thib mbyi kuu le Eneas, kuu nax ne ndak ne ndaʼa xon liin gagt gwin Eneas. 
ACT.9.34	Tsa nzhab Pey lo Eneas:
ACT.9.34	―Eneas, mtegweʼa Jesucrist lu. “Gwache ne blit daʼa”.
ACT.9.34	Ne oraaka ngwache Eneas. 
ACT.9.35	Ne mne reta zha kuu nzo yez Lida ne re zha kuu nzo laats Sarón kona, ne ngwalaaz zha Jesús.
ACT.9.36	Ne tsya ngoo thib ngot kuu nyelaaz Jesús yez Jope, kuu lee Tabita (diiz gryeg le zha Dorcas). Lee ngot ree thibka mtsow yalwen, mtsow Dorcas ayud re zha prob dita lo mban Dorcas. 
ACT.9.37	Ne re wiza mlen liz Dorcas ne nguth Dorcas, ne ngwalo mtegat zha Dorcas, tsa mxoob zha Dorcas leen yuu kuu ndob yek yuuʼa. 
ACT.9.38	Ne gax yez Jope nzi yez Lida ne tya ndo Pey, ne or mbin re zha kuu nyelaaz Jesús lee Pey ndo tya, tsa mtaal zha chop mbyi ngwachez Pey, ne nzhab re zha lo Pey:
ACT.9.38	―Tsow yalwen nda yez Jope.
ACT.9.39	Tsa mndeke Pey dits rop zha, ne or mzin re zha, tsa mndeno zha Pey yuu ta nax thebol, tya nzi re ngot byud nzhonn, ne mloo re ngot re lar kuu mdexkwaa Dorcas lo Pey, leettsa bee naban Dorcas. 
ACT.9.40	Tsa mnabee Pey mroo reta zha kuu nzi tya, tsa mtobxub Pey ne mnaab Pey lo Diox: Ne ora mwii Pey lo thebol ne nzhab Pey:
ACT.9.40	―¡Tabita, gwache!
ACT.9.40	Tsa lee ngot mxaal lo, ne or mxaal ngot lo ngot mwii ngot lo Pey, ne mndob ngot. 
ACT.9.41	Ne lee Pey mzhen yaa ngot mtsow ayud ngot mndeli ngot, tsaraa mrez Pey re zha kuu nyelaaz Jesús ne re byud, tsa mwii re zha lee ngot naban. 
ACT.9.42	Ne dita yez Jope myath koree ne kwaro zha ngwalaaz Jesús. 
ACT.9.43	Ne lee Pey myaan thiban wiz yez Jope liz thib zha le Simún kuu nteguuz yid.
ACT.10.1	Ne yez Cesarea ngoo thib mbyi kuu le Kornel, kuu nak soldad kuu mnabee lo thib gayoo soldad, partid kuu le Italiana. 
ACT.10.2	Ne Kornel nak thib mbyi kuu nali kuu thib mloo yek tsow kuu nlaaz Diox kon re lizta Kornel, ne kwaro mtsow Kornel ayud re prob zha Israel, ne thibka naab Kornel lo Diox. 
