MAT.1.1	Chichato hen natontonan hen nangingganà an Jesu Cristu way ganà Arey David way narpon Abraham.
ACT.15.5	Ngém hiyachi, tommàchégat hen tapen anchichay cha omafurot way Fariseo, yag chachaat epapelet way mangaliyén, “Masapor angkay mamarkaan chillu hen anchichay faén Judio no omafurotcha an Jesu Cristu, ya masapor agé maténgténgcha way manorad amin hen anchi orchin way ensorat Moses.”
ACT.15.6	Angkay hiyachi yag na-amongcha hen anchichay aposel ya hen anchichay cha mangemponponò ta ifanagchachi. 
ACT.15.7	Yag yachi way nafayag hen chachan hahapetan, yag anat tomàchég ah Pedro way mangaliyén, “Sosnod, innilayu met way chinutokanà an Apudyus hen anchi ar-argaw way i mangempagngar hen anchi ammayay chamag hen anchichay faén Judio ta mawayaancha way mangngar ya omafurot agé an Jesus. 
ACT.15.8	Yah Apudyus way nangi-ila hen hamhamà hen egachay tatagu, empàilana hen layadna hen ommafurotan hen anchichay faén Judio te inidchatna hen Espirituna way nìyachar an chicha way kaman hen nangidchatana an chitaaw. 
ACT.15.9	Wat maid nat-énana hen enkaman Apudyus an chicha ya hen enkamanna an chitaaw te kena-anna hen fasorcha hen ommafurotancha an Jesus way kaman agé hen nanga-anana hen fasortaaw. 
ACT.15.10	Wat kaman paat chayu gunggunnetén ah Apudyus hen annay chayu epapelet. Te ilanyu ngén, uray chitaaw ya hen anchichay anap-otaaw ad namenghan, iggaytaaw amin makasorot hen anchichay orchin Moses. Wat ay ammoh paligaténtaaw hen anchichay faén Judio ta ekattaaw ad uwanén masapor torachéncha amin chachi. 
ACT.15.11	Achi, te innilataaw way hen kahara-antaaw way Judio, wat gapo yanggay hen ség-ang Apo Jesus an chitaaw hen ommafurotantaaw an hiya. Wat yachi agé hen kahara-an hen anchichay faén Judio.”
ACT.15.12	Angkay hiyachi yag henaphapet cha Bernabe an Pablo mepanggép hen nangidchatan Apudyus hen kafaelancha way nangamma hen kaskascha-aw hen nanudtuchuwancha hen anchichay faén Judio, yag anchag tummiyém amin hen anchichay na-a-among way mangngar hen chacha haphapetén. 
ACT.15.13	Angkay hiyachi way narpas hen henaphapet cha Pablo, yag nan-ale ah Jaime way mangaliyén, “Sosnod, changrénà koma. 
ACT.15.14	Te anat henaphapet Simon Pedro hen nanginlugiyan Apudyus way nangempàila hen ség-angna hen anchichay faén Judio ta wachay omafurot an chicha ah mantataguna. 
ACT.15.15	Ya hen yachiy na-ammaan, nètemfuruy chillu hen anchi ensorat hen anchichay profeta ad namenghan way ekatnéén,
ACT.15.16	‘Ah tapen chi ag-agaw, mamfangachà an chàyu way Judio, way ekat Apudyus. Yag kasen-o amongon chàyu way niwa-at way ganà David ya epafangad-o agé hen kena-arena. 
ACT.15.17	Yag hen hiyachi, marmu agé hen hamhamà hen anchichay safaliy tatagu an haén, te anapénà hen anchichay faén Judio, wat an-og awatén chicha agé ah mantatagù. 
ACT.15.18	Yaha hen ekat Apudyus way nangempàila ad namenghan hen anchi sigud way hehemmàna.’ ”
ACT.15.19	Entoroy Jaime way mangaliyén, “Wat ah hamhamào, ammay no achitaaw koma lengalengén hen manhagongan hen anchichay faén Judio an Apudyus. 
ACT.15.20	Ta antaaw yanggay esorat hen tuguntaaw an chicha way achicha mì-issa hen heno way nehnga hen enap-apudyus ya ta achicha issa hen heno way naskar way iggay lommayaw hen charana, ya ta achicha agé issa hen chara, ya ta achicha agé hòyongon hen faén ahawacha. 
ACT.15.21	Yaha hen ituguntaaw an chicha te nanepod ad maliyam, yachi hen looh nepagngapagngar hen Senafachu hen anchichay sinagogataaw way Judio, wat maid fabréy ah iggay mafasaan hen hiyachiy orchin Moses.”
ACT.15.22	Angkay hiyachi yag nantatagépfar hen anchichay aposel ya hen anchichay cha mangemponponò ya anat agé hen amin anchichay cha omafurot ad Jerusalem, wat nanchutokcha ah chuway ifacha way màyéy an cha Pablo an Bernabe hen mamfangchancha ad Antiokia. Chicha cha Judas way mamBarsabas yah Silas way ririspituwén amin hen anchichay cha omafurot chicha. 
ACT.15.23	Yag empa-aracha hen anchi soratcha way ekatnéén,
ACT.15.23	“Chàyu way sosnod way faén Judio ahnad Antiokia ya Siria ya Cilicia, antoyan hen soratni an chàyu way cha omafurot an Jesus agé, ya chàni way nanorat an chàyu wat a-aposel-ani ya cha mangemponponò ahtod Jerusalem. 
ACT.15.24	Chengngarni way ummalecha ahna ano hen tapenay ifani way Judio way narpohto, yag incha kenorkor hen hamhamàyu gapo hen anchi intudtuchucha mepanggép hen orchin Moses. Ngém faén angkay chàni hen nangempaligwat an chicha. 
ACT.15.25	Wat yachi hen na-amonganni way ekatniyén ammay no chutokanni hen penaka-acharni way umalehna way metnod an cha Pablo an Bernabe way laylaychénni. 
ACT.15.26	Ya kaskasen hen manlaychanni an chicha te natorodcha way mangamma hen laychén Apo Jesu Cristu tàén yachi hen iyatéycha. 
ACT.15.27	Wat antoyan cha Judas an Silas way hénagénni ta iyam-ammacha way manaphapet hen antoy ensoratni. 
ACT.15.28	Te nètempoyug-ani hen Espiritun Apudyus way achini paligatén chàyu ah chuaray orchin te hen torachényu yanggay koma, 
ACT.15.29	achiyu issa hen chara ya hen heno way nehnga hen enap-apudyus, ya achiyu agé issa hen anchi naskar way iggay lommayaw hen charana. Ya achiyu agé hòyongon hen faén ahawayu. Ammay no anohanyu way manorad an cha natto. Wat yachi yanggay hen ifagani an chàyu way sosnodni, wat sapay koma ta amma-ammay-ayu amin.”
ACT.15.30	Angkay hiyachi yag lummigwatcha hen anchichay éméy way empaligwat hen anchichay iJerusalem. Angkay inumchahcha ad Antiokia, empa-ayagcha hen anchichay aminay cha omafurot yag inidchatcha hen anchi sorat way narpod Jerusalem ta fasééncha. 
ACT.15.31	Angkay hiyachi way finasacha, lommaylayadcha ya seném-ém hen hamhamàcha. 
ACT.15.32	Yachi yag cha Judas an Silas way profeta chillu, chuar hen intuguncha hen anchichay cha omafurot ah sém-éman hen hamhamàcha ya ah pomegsaan hen afurotcha. 
ACT.15.33	Yag yachi way émméy ah kamanay ag-agaw hen nì-iggawan cha Judas hen anchichay cha omafurot ad Antiokia yag anchaat lumigwat way mamfangad hen narpowancha. Wat ammay hen enkaman hen anchichay iyAntiokia way nangempaligwat an chicha. 
ACT.15.34	Ngém ah Silas, hemhemmàna way mantaynan ad Antiokia.
ACT.15.35	Angkay cha Pablo an Bernabe, nafab-ayagcha ad Antiokia way nètape hen anchichay chuaray tapecha way cha mangintudtuchu hen anchi chamag mepanggép an Apo Jesus.
ACT.15.36	Angkay hen-argawan, ekat Pablo an Bernabeyén, “Inta ta inta ilan hen anchichay sosnodtaaw way cha omafurot ah kafabréfabréy way nangempagngaranta hen alen Apudyus, ta inta ilan no heno hen chacha ekamkaman.” 
ACT.15.37	Yachi yag inyafun Bernabe yag hen laychéna koma, etàtaencha ah Juan Marcos. 
ACT.15.38	Ngém achi paat laychén Pablo gapo ta hen kawad-ancha ad Pamfilia, ammag inyanggayan Juan Marcos chicha way iggayna entoroy hen anchi nipiyar an chicha yag lommayaw. 
ACT.15.39	Wat nansongel cha Pablo an Bernabe mepanggép an nadchi, yag anchaat manhiyan. Wat enayagan Bernabe ah Juan Marcos yag nanlugancha hen papor way éméy ad Chipre. 
ACT.15.40	Waman ah Pablo, enayagana ah Silas ah man-ifana wat inluwaruwan hen anchichay cha omafurot chicha ya anchaat epaligwat ta egad ah Apudyus way mangi-ila an chicha ah heno way ayancha. 
ACT.15.41	Yachi yag émméycha ah kafabréfabréy ad Siria yad Cilicia way i mangempapegsa hen afurot hen anchichay cha omafurot.
ACT.16.1	Angkay hiyachi yag émméy cha Pablo ad Derbe ya ad Listra way ahchid Listra, wacha hen ihay cha omafurot an Jesus way ah Timoteo hen ngachanna way Judio ah inana way ihay ommafurot agé, ngém faén Judio ah amana. 
ACT.16.2	Yag amin hen anchichay ommafurot ad Listra ya ad Iconio, ririspituwéncha amin ah Timoteo. 
ACT.16.3	Yag ah Pablo, laychéna koma way mangayag an Timoteo ah man-ifana hen heno way ayana. Ngém hen anchichay kacharaan Pablo way Judio ah kafabréfabréy way laychénay ayan, gapo ta ammucha way faén Judio ah aman Timoteo, wat empamarkan Pablo hiya ta maid manlili an chicha mepanggép hen orchin Moses.
ACT.16.4	Angkay hiyachi way chacha émé-éméy ah kafabréfabréy, chacha agé hapehapetén amin hen anchi imfanag hen anchichay aposel ya hen anchichay anam-ama way ponò ad Jerusalem, yag imfagacha way yachi koma hen torachén hen aminay cha omafurot. 
ACT.16.5	Wat pommegsa hen afurot hen anchichay cha omafurot ah kafabréfabréy wat enag-agaw way chacha chumuachuar.
ACT.16.6	Angkay hiyachi, ammag nanchakpos cha Pablo hen sakopon Frigia yad Galacia, te empawan hen Espiritun Apudyus hen mantudtuchuwancha hen hiyachiy provinsiyan hen Asia. 
ACT.16.7	Yag yachi way inumchahcha hen penget hen provinsiyan hen Misia, ekatchéén éméycha koma hen provinsiyan hen Bitinia, ngém kasen empawan hen Espiritun Jesus chicha. 
ACT.16.8	Wat hiyachi, anchag nanchakpos way lumhin hen provinsiyan hen Misia yag émméycha ad Troas. 
ACT.16.9	Yag hen hiyachiy lafi way échahcha ad Troas, empain-inép Apudyus an Pablo hen in-inépna way nangempàila hen ihay tagu way eMacedonia way tommatàchég way chan pangpanga-ase way mangaliyén, “Umaleayu ahtod Macedonia koma ta torongan chàni.” 
ACT.16.10	Wat hen hiyachi, gapo hen anchi empàilan Apudyus an Pablo, nansagana-aniyat way lumigwat way éméy ad Macedonia te enlasinni way hen tatagu ahchid Macedonia peet hen laychén Apudyus way mangempagngaranni hen anchi ammayay chamag.
ACT.16.11	Angkay hiyachi yag nanlugan-ani hen papor ad Troas yag inchakposni ad Samotracia. Yachiy nafigat, inumchah-anid Neapolis yag ginumhad-ani hen anchi papor. 
ACT.16.12	Angkay ad Neapolis, nanaran-ani way éméy ad Filipos way yachi hen anchi kachakkaran way fabréy hen sakopon Macedonia, yag hen anchichay eRoma hen chan toray hen yachiy fabréy. Yachi yag ininggaw-ani ahchi ah kamanay ag-agaw. 
ACT.16.13	Wat hen anchi Safachu way ngilin chillu, émméy-ani hen anchi wangwang way lahin hen fabréy, te ekatniyén awniyat ahchi hen i manluwaruwan hen Judio. Angkay inumchah-ani yag tummùchuani hen penget hen anchi wangwang way cha mètagépfar hen anchichay na-a-among way finufae. 
ACT.16.14	Hen iha hen anchichay cha mangngar hen chani itudtuchu, wat ah Lydia hen ngachanna way eTiatira, way hiyan ihay chan elàrào hen anchi kanginaan way chittakan way menetros. Ah Lydia, way cha manayaw chillu an Apudyus, tenorongan Apudyus hen hamhamàna wat penapannaagna hen intudtuchun Pablo. 
ACT.16.15	Wat yachi yag nampafunyag ah Lydia ya hen ahimfafaryanna yag annaat agé ayagan chàni way mangaliyén, “No ifilangà ah tot-owa way cha omafurot an Apo Jesus, wat intaaw ta éméytaaw ah faréyni ta ahchi hen iggawantaaw ingganah lomayaw-ayu.” Yag nampangpanga-ase wat inyafunni.
ACT.16.16	Angkay hen-argawan way cha-ani éméy an cha Pablo hen anchi iggaw hen manluwaruwan, hinib-atni hen ihay fafarasang way alepan way ammag nahuhullugan ah ongtan. Yag hen anchi nihuhurug, inidchatna hen kafaelan hen anchi fafarasang way manchamet wat hen anchichay nangen-alepan an hiya, chacha fumaknang ah chacha ar-aran gapon chana manchametan.
ACT.16.17	Angkay hiyachi yag hen anchi nahuhullugan, ammag cha umunu-unud an chàni an cha Pablo way ammag cha mangèngaèngaw way mangaliyén, “Cha nattoy tatagu hen chan sérfi hen anchi Kangatowan way Apudyus yag chacha itudtuchu hen kahara-an hen tatagu ta achicha metap-ar.” 
ACT.16.18	Ammag yachiyachi hen chana ekamakaman ah kamanay ag-agaw ingganah nappég ah Pablo. Yachi yag ammag nanhagong an hiya way mangale hen anchi ongtanén, “Gapo hen kafaelan Jesu Cristu wat mancharê hea ta lomayaw-aat.” Yag hen hiyachi, lommayawat tot-owa hen anchi ongtan yag tenaynana hen anchi fafarasang. 
ACT.16.19	Ngém hen nangenlasinan hen anchichay nangen-alepan way ammag lommayaw peet hen anchi ongtan ya maid kasen namnamacha ah mangar-ancha ah arancha, anchag lenapchù cha Pablo an Silas yag lenakrakcha chicha way manginyéy hen iggaw hen anchichay toray hen fabréy. 
ACT.16.20	Yag anchaat epasango chicha hen anchichay o-okom hen Roma way mangempafasor way mangaliyén, “Hen antochay tatagu, Judiocha angkay way anchag cha guruwén hen antoy fabréytaaw 
ACT.16.21	te chacha itudtuchu hen ihay gagangay way komontara hen orchintaaw way Roma. Romataaw met yanggay wat achi mafalin way unuchuntaaw hen safaliy gagangay.” 
ACT.16.22	Yachi yag nasubsufancha hen anchichay chuaray tatagu wat ommaningarngarcha amin an cha Pablo, wat ammag nan-elapchù hen anchichay toray hen lumfong cha Pablo an Silas way nanga-an yag anchaat mamanchar way mahapratan. 
ACT.16.23	Yachiy narpas way penararocha way manaprat an chicha, yag anchaat iyéy ah pagfaruchan yag imfagacha hen anchi chan guwarcha ta kénggéna paat way mangi-ila an chicha. 
ACT.16.24	Wat yachi way nifilin hen anchi chan guwarcha, inyéyna chicha ahchih chugun hen pagfaruchan yag entaédna hen he-echa hen chakaray away.
ACT.16.25	Angkay hiyachi way gawan chi lafi, chachan luwaru cha Pablo an Silas, ya chacha agé mankankanta an Apudyus, wat chachangrén hen anchichay tapen hen farud. 
ACT.16.26	Yag hen hiyachi, empàratna hen ammag pegsa way lunig yag niwagawagat hen anchi pagfaruchan yag ammag nab-atan amin hen anchichay hawangna, yag naùfad amin hen farud hen anchichay nakakawwachan. 
ACT.16.27	Yachi yag fummangonat hen anchi chan guwarcha, yag hen nangil-ana way nafufùtan hen amin way hawang hen anchi pagfaruchan, ekatna ah hamhamànéén, “Ancha ménat ammag ommawid amin hen anchichay farud,” yag ah égyatna hen mekaman an hiya yag annaat ammag inuhfù hen fangidna, te hen ekatna, annag pédtén yanggay hen acharna. 
ACT.16.28	Ngém nan-ongawat ah Pablo way mangaliyén, “Achim cha patayén hen acharno, te antoyan-ani amin way maid lommayaw.” 
ACT.16.29	Wat hen hiyachi, inyara-ag hen anchi chan guwarcha hen helaw yag nanagtag way éméy hen iggaw cha Pablo an Silas. Yag nampalentomang hen henagongcha way chan papayagpag ah égyatna. 
ACT.16.30	Yachi yag annaat ighad chicha ah chara way mananhan way mangaliyén, “Sosnod nokay, paat man hen ammaà ta hara-anà koma agé an Apudyus.” 
ACT.16.31	Yag sommongfat cha Pablo way mangaliyén, “Afurotom yanggay ah Apo Jesus wat mahara-an-a ya umat agé hen ahimfafaryanno.” 
ACT.16.32	Yachi yag empacharan cha Pablo way mangintudtuchu mepanggép an Apo Jesus an chicha amin way himfafaryan. 
ACT.16.33	Yag hen hiyachi agé way gawan chi lafi, i inurahan hen anchi guwarcha hen sugat cha Pablo ya anat agé mampafunyag way nafunyagancha agé hen amin anchichay ahimfafaryanna.
ACT.16.34	Angkay narpaschi yag inyéyna cha Pablo an Silas ah faréycha way i mamangan an chicha. Yag ammag pararo hen laylayadcha amin way himfafaryan gapoh ommafurotancha an Apudyus.
ACT.16.35	Angkay nafigat, hennag hen anchichay toray way eRoma, hen poles way mangaliyén, “Meparufus cha Pablo an Silas.” 
ACT.16.36	Angkay hiyachi, émméy hen anchi chan guwarcha an chicha way mangaliyén, “Imfilin hen anchichay toray way mafalin meparufus-ayu ano wat egad-ayu yag lommayaw-ayu.” 
ACT.16.37	Ngém imfagan agé Pablo hen anchichay poles way mangaliyén, “Ay ammoh ammag naraka, te chàni angkay agéat tatagun hen Roma chàni. Yag iggay chàni finistigar ah usto yag cha chàniyat epahaprat hen sangwanan hen chuaray tatagu yag imfarud chàni. Wat ay ammoh mafalinha ah ma-ammaan hen tatagun hen Roma. Yag ay ad uwanat agé yag etat-allingébyu chàni way mangemparyaw. Achi mafalin te egad umale hen anchichay toray paat way i mangemparufus an chàni hen sangwanan hen anchichay chuar way tatagu.”
ACT.16.38	Angkay hiyachi way namfangad hen anchichay poles hen anchichay toray yag henaphapetcha hen enalen cha Pablo, wat anchag cha émégyat hen nangngarancha way tatagun peet agé hen Roma chicha. 
ACT.16.39	Wat émméycha an cha Pablo way i mampakacha, yag anchaat etnod chicha way mangighad hen anchi pagfaruchan yag imfagacha ta lomayawcha koma hen yachiy fabréy. 
ACT.16.40	Yag yachi way lommayaw cha Pablo an Silas hen anchi pagfaruchan, émméycha ah faréy cha Lydia wat ahchi hen nanugutugunancha hen anchichay cha omafurot yag anchaat lomayaw way nanaynan hen yachiy fabréy.
ACT.17.1	Angkay hiyachi yag enengwan cha Pablo an Silas ad Amfipolis ya ad Apolonia way émméy ad Tesalonica, ya ahchid Tesalonica, wacha agé hen ihay sinagogan hen Judio. 
ACT.17.2	Yachi yag hinénggépcha way i mangintudtuchu hen alen Apudyus te yaha chillu hen chacha ekamkaman. Yag hen unig hen toroy Safachu, i nìchiskachiskas ah Pablo hen anchichay tatagu 
ACT.17.3	way chana imfisafisar hen anchi nesosorat way alen Apudyus hen chana nangensoplekaran way masapor peet mapàgang hen anchi empopostan Apudyus way Cristu yag anat mepapchit, yag no matéy agé, man-uchi chillu. Yachi yag ensoplekar Pablo agé way mangaliyén, “Ah Jesusanchi way chà haphapetén, hiya angkay tot-owa hen anchi Cristu way empopostan Apudyus ad namenghan way umaley mantoray.” 
ACT.17.4	Yachi yag wachacha hen tapen anchichay Judio way na-awis way nangafurot hen intudtuchun Pablo, wat nètapecha an chicha. Yag umat agé hen chuar way nan-angato way finufae, ya anat agé hen chuar way Griego way tàén faén Judio, chacha chillu chayawén ah Apudyus.
ACT.17.5	Ngém hen anchichay Judio way ammag achi omafurot, anchag cha ma-apés, wat incha enamong hen anchichay lawengay tatagu way furakfor yag gummabforcha hen anchi fabréy wat anchag penelet way hinénggép hen anchi faréy hen ihay tagu way ah Jason hen ngachanna, te hen ekatcha, awniyat wacha cha Pablo an Silas ahchi ta epafùnagcha koma ta egad hen tatagu way mangamma ah ammaancha an chicha. 
ACT.17.6+ACT.17.7	Ngém maid inchahancha an cha Pablo an Silas te maidcha peet ahchi, wat anchag lenakrak ah Jason ya hen tapen anchichay cha omafurot way manginyéy hen sangwanan hen anchichay toray hen yachiy fabréy. Yag enèngawcha way mangempafasor way mangaliyén, “Ah Jasonanto, annag empaghép hen anchichay tatagu way chani anapén way chichachi hen anchichay cha mangorkor hen tatagu ah kamanay fabréy yag antoy inumchahcha ahtoh fabréytaaw ad uwan. Yag chacha agé labsengén hen orchin Aretaaw te chacha ekatén wacha ano agé hen safaliy Are way ah Jesus ano hen ngachanna.” 
ACT.17.8	Hen nangngaran hen anchichay toray ya hen anchichay na-a-among way tatagu an nadchi, anchag nachanagan yag ommaningarngarcha. 
ACT.17.9	Wat anchag namfayachan cha Jason ya hen anchichay ifana yag anchaat eparyaw.
ACT.17.10	Angkay nadhém, empaligwatat hen anchichay cha omafurot cha Pablo an Silas way éméy ad Berea. Angkay inumchahcha ahchi, émméycha chillu hen anchi cha ma-am-amongan hen Judio way sinagoga way mantudtuchu. 
ACT.17.11	Wat un-unnina hen cha ekaman hen anchichay tatagu ad Berea no ad Tesalonica, te hen anchichay tatagu ad Berea, anchag laylayad way térén way mamangngar hen anchi chamag mepanggép an Jesus, ya enag-agaw agéy chacha epachopachong hen anchi cha itudtuchun Pablo hen anchi nesosorat way alen Apudyus ad namenghan, ta ifisarcha no tot-owa hen anchi chana intudtuchu. 
ACT.17.12	Wat anchag chuar hen ommafurot way Judio yag ommafurotcha agé hen chuar hen anchichay nan-angato way finufae ya larae way Griego.
ACT.17.13	Ngém angkay hiyachi way chengngar hen anchichay cha komontara way Judio ad Tesalonica way chan tudtuchu peet ah Pablo hen alen Apudyus ad Berea, wat anchag émméy agé way i manubsub hen anchichay tatagu ta gabforoncha agé cha Pablo. 
ACT.17.14	Wat hen anchichay cha omafurot, empaligwatchaat ah Pablo hen hiyachi way éméy hen anchi fabréy way penget hen fayfay. Waman cha Silas an Timoteo, nantaynancha ad Berea. 
ACT.17.15	Wat hen anchichay cha nangetnod an Pablo, enetnodcha hiya ingganad Atenas yag anchaat mamfangad way i mangimfaga an cha Silas an Timoteo way ag-aggagéncha ano way éméy ahchid Atenas agé te masapor Pablo chicha.
ACT.17.16	Angkay hiyachi way chan héhhééd ah Pablo ad Atenas way mannéd an cha Silas an Timoteo, ammag lommaweng way térén hen hamhamàna, te hen nanlangrangaana, ammag maid achi wacha ah tenaggutaggu way cha chad-ayawén hen tatagu ah man-apudyuscha. 
ACT.17.17	Yachi yag cha émmé-émméy hen anchi sinagogan hen Judio way i manudtuchu hen anchichay cha manayaw an Apudyus mepanggép an Jesus. Ya enag-agaw agéy cha émmé-émméy hen iggaw hen anchi cha um-umfunan hen tatagu way manudtuchu hen heno way wachahchi. 
ACT.17.18	Ya wacha agéhchi hen anchichay chan tudtuchu hen anchi ekatchéén Epicureo ya Estoico way cha agé mìchiskas an Pablo. Yag anat ekat agé hen tapena an chicha way mangaliyén, “Nokay paat hen cha aryén hen annay pàpàilaanna way ammag maid gutokna.” Yag sommongfat hen tapena way mangaliyén, “Kaman paat chana aryén hen nat-énay apudyus way tawwan chi narpowana.” Yaha hen enalen hen anchichay na-achar, te cha intudtuchun Pablo mepanggép an Jesus ya hen nan-uchiyana.
ACT.17.19	Angkay hiyachi yag enayagancha ah Pablo way i mìyamong hen anchi konselcha way ekatchéén Areopago way yachi hen cha manaphahaphapetan hen anchichay na-achar hen heno way laychénchay haphapetén. Yag imfagacha way mangaliyén, “Laychénni koma way mangngar hen annay kadchachato way cham itudtuchu, 
ACT.17.20	te kaman paat nat-én hen annay cham itudtuchu, wat laychénni koma way ma-awatan no heno hen laychénay aryén.” 
ACT.17.21	Yahan imfagacha an Pablo te amin hen anchichay iyAtenas ya umat agé hen anchichay nìfabréy ahchi, maid kasen laychéncha no achi an i mì-ig-igngar hen anchi kadchachato way chamag ono an i manaphapet hen kadchachato.
ACT.17.22	Angkay hiyachi yag tommàchég ah Pablo hen sangwanan hen anchichay na-achar way konsel way man-ale yag ekatnéén, “Chàyu way iyAtenas, enlasin-o way chayu tot-owa epapate way mangafurot hen amin annachay chuaray apudyusyu, 
ACT.17.23	te hen chà nanggégga-ayan hen antoy fabréyyu, chuar hen innilà way finab-alléy way chayu manchatchatonan hen anchichay nankarakarase way apudyusyu. Yag innilà amin hen anchi ihay chayu manchatchatonan way wacha hen nesosorat an nadchi, ekatnéén, ‘Yato hen manayawan hen anchi apudyus way cha-an ma-ammuwan.’ Wat hen anchi chayu chayawénanchi way maid innilayu, yachi paat hen laychê way epagngar an chàyu ad uwan. 
ACT.17.24	Te hiya hen anchi Apudyus way nangamma hen antoy lota ya aminay ininggaw wat kapeletan way achi ummat hen faréy way enammaan hen tatagu ah fumaryana. Te hiya hen ap-apon hen egachay wacha hen antoy lota ya uray ad uchu. 
ACT.17.25	Wat achina masapor hen torong hen tatagu an hiya, te hiya ngarud hen cha marpowan hen egad ya hiya hen cha mangidchat hen aminay masapor hen tatagu way uray hen fùfuohcha ya hen aminay iyatagucha. 
ACT.17.26	Ya hen enkaman Apudyus agé, enammaana hen ihà-anay tagu ah marpowan amin hen katagutagu. Yag yachi way gummanaganà, empééyna chicha way fumabréy hen aminay lugar hen antoy lota ah mamfalinancha ah nankarasey nasyun, te uray hen cha-an ma-ammaan hen antoy lota, loohna imfafagga hen tempon hen heno way toray ya hen ustoy iggawancha. 
ACT.17.27	Hen ganchat Apudyus way nangenkaman an nahha, ta hamham-én koma hen tatagu hiya ta éhéd yag anapéncha. Yag ah katot-owana, faén chillu achawwéy ah Apudyus an chitaaw way tatagu. 
ACT.17.28	Kaman hen ensorat hen ihay ifayu way ekatnéén,
ACT.17.28	‘Gapo yanggay an hiya wat wacha hen ataguwantaaw ya hen man-ì-iwiyantaaw, ya umat agé hen katatagutaaw.’ ”
ACT.17.28	Yag ekat Pablo agéén, “Éméy agé hen anchi ensorat hen tapen ifayu way pèsosorat way ekatchéén,
ACT.17.28	‘Enammaan Apudyus chitaaw ah man-anàna.’
ACT.17.29	Wat no chitaaw hen anà Apudyus, ay ammoh mafalin way ekattaawén ah Apudyus, kaman hen annachay tenaggutaggu way na-ammaan ah faletò ya gamfang ya fato way an enammaan hen tatagu ah kenaraengcha ya patinggan hen hamhamàcha. 
ACT.17.30	Hen anchi ar-argaw, enanohan tot-owa Apudyus hen enkamkaman hen anchichay tatagu way maid nangila an hiya. Ngém ad uwan, imfagana way aminay tatagu hen antoy lota, masapor manchùgancha hen anchi lawengay a-ammacha. 
ACT.17.31	Te loohna kenédchéngan hen anchi ag-agaw way mangu-uwwisana hen aminay tatagu hen antoy lota. Ya chinuchuttokana agé hen anchi nalimpiyu way uwis way manguwis hen angamin. Ya hen nangempàil-ana hen egachay tatagu way hiya hen anchi tot-oway chinutokana, wat nan-uchiyéna hiya hen natéyana.”
ACT.17.32	Angkay hen nangngaran hen anchichay na-a-among hen enalen Pablo mepanggép hen man-uchiyan hen natéy, anchag pommeloh hen tapena. Waman hen tapena, ekatchéén, “Laychénni paat way kasen mangngar mepanggép hen annay cham aryén.” 
ACT.17.33	Yachi yag lommayaw ah Pablo ahchi 
ACT.17.34	yag wachacha agé hen tapena way netnod an hiya way yachiy na-awni yag ommafurotcha. Hen iha an chicha, wat ah Dionisio way ihay ap-apon hen anchi konsel way Areopago, ya hen iha, ihay fufae way ah Damaris hen ngachanna, ya anat agé hen tapena.
ACT.18.1	Angkay hiyachi way lommayaw ah Pablo ad Atenas, émméy ad Corinto 
ACT.18.2	yag hinib-atna ahchi hen hen-ahawa way cha Akila an Priscila. Judio ah Akila way niyanà ad Ponto yag anchaat i fumabréy way hen-ahawa ahchid Roma way sakopon hen Italia. Ngém yachi way inyurchin Are Claudio way masapor lomayawcha hen aminay Judio ad Roma, wat nan-atoncha ad Corinto. Yachi yag i fummisita ah Pablo an chicha 
ACT.18.3	yag anat mì-iggaw way mèamma te niyaphor way nampachong peet hen chunun cha Pablo an Akila way chacha usarén hen gadchang way mangamma ah torcha ah chacha elao. 
ACT.18.4	Yag no Safachu ay agéén émméy ah Pablo hen anchi sinagogan hen Judio way i manudtuchu hen anchichay kacharaana way Judio ya umat agé hen anchichay faén Judio ta éhéd yag wachay ma-awis way omafurot an Jesus.
ACT.18.5	Angkay hiyachi way inumchah cha Silas an Timoteo ad Corinto way narpod Macedonia, inlugin Pablo way mangang-angpel way mantudtuchu. Wat annag cha epachapacharan way mangensoplekar hen anchichay kacharaana way ah Jesus tot-owa hen anchi empopostan Apudyus way umale. 
ACT.18.6	Ngém yachi yag ammag cha kontaréén hen kachùran hen anchichay Judio hiya, yag chacha amin agé us-ustan hiya. Wat annag inyagyag hen lumfongna ah manginyanggayana an chicha yag annaat ekatén, “Egad-ayu no metap-ar-ayu te achi mafalin way pafasoronyu haén te anyug achi changrén hen chà ifaga. Wat manepod ad uwan, iyà tudtuchuwan hen anchichay faén Judio.” 
ACT.18.7	Yachi yag tenaynan Pablo chicha yag nan-aton way i mantudtuchu ah faréy cha Tito Justo way faén Judio, ngém chana chillu chayawén ah Apudyus. Ya hen faréyna, nichachapat hen anchi sinagoga way cha ma-am-amongan hen Judio. 
ACT.18.8	Yachi agé yag hen anchi ponò hen hiyachiy sinagoga way ah Crispo hen ngachanna, ommafurot an Apo Jesus. Yag ommafurotcha agé amin hen ahimfafaryanna. Ya chuarcha agé hen tapen anchichay eCorinto way ommafurot hen nangngarancha hen intudtuchun Pablo yag nampafunyagcha amin.
ACT.18.9	Angkay hiyachi way henlafiyan, nampàila ah Apo Jesus an Pablo ah kaman in-inép, yag ekatna way mangaliyén, “Achia cha émégyat hen annachay tatagu Pablo, ta anno yanggay ammag epapate way mangintudtuchu mepanggép an haén way achim iyanggayan 
