GEN.1.1	Gër ỹanar, Kaxanu nëcëtëguk
ACT.18.21	re ko: [«Afo me gixeli gër ofëna or kë h̃atëgund gër Yerusalem]. Aɓaka këme ɓakawëɗ angëmëne aw̃a w̃a ko Kaxanu.» Ga xani ko na gër Efes, 
ACT.18.22	ƴe ko gë kuluŋ in xali gër Sesare. H̃atëx ko ƴaŋ gër Yerusalem eɓi cëmax ɓëmaỹe ɓënd gër Amara ɓëŋ, do ŝëlaxënëx ko gër Aŋëcoŝ.
ACT.18.23	Pol ga xeyëra këŋo na gër Aŋëcoŝ, xuca ko kwël do këɓi sëfërand ɓësëfan ɓën eɓi kemën gër ekwëta. Ga ỹana ko gër ebar ed Galasi h̃atax ko gër ed Fëriŝi. 
ACT.18.24	Aŝëwif ar rëw̃ këno gër angol and Alekësandëri h̃atëgu bax gër Efes, do bano w̃acënd Apolos. Mbaŋ xam baxo eyeƴan el do sëƴa baxo ɓëte mbaŋ Oñëgw Omënëk ok. 
ACT.18.25	Aye sëƴa baxo ang këno sëfënd Axwën ak do gë emëkw el ɗek baxo yeƴanënd. Ŝenene baxo sëfëtënd end Yesu eŋ, ɓarikan xoɓuyi or 
ACT.18.26	Poyoma baxo reƴarand end Yesu eŋ gër aciw̃ acaleya. Ga wël këno Përisil gë Akilas, sëfër këni gër ndeɓën do felërax këno eŋo pëni ŝenene ang këno sëfënd Kaxanu ak. 
ACT.18.27	Ata Apolos ga ỹandi këŋo exo kuca ond gër ebar ed Akayi oŋ, ɓëmaỹe ɓëŋ fel këno exo kemëna do ỹëgwën kënëɓi kayëta ɓësëfan ɓër fën ɓën eno kacax aye. And h̃at ko aŋ, paɓ gë oyekax or Kaxanu ol mbaŋ rëcarax baɓi ɓër w̃a bax ɓën. 
ACT.18.28	Poyoma baɓi xorënd Ɓëŝëwif ɓën and këni ŝampëre aŋ. Gër Oñëgw Omënëk baɓi w̃asinënd mëne Yesu ex Afexën an.
ACT.19.1	And hi baxo Apolos gër Koreŋët aŋ, Pol ƴe ko, osënd osënd fo, cangët ebar ed Asi el, h̃ataxën ko gër Efes. Fën ga fedëx këni gë ɓësëfan, 
ACT.19.2	w̃ëka këɓi: «Wën aŝot nde ŝot këno Angoc Amënëk aŋ and w̃a këno Yesu aŋ?» Yaka këno: «End Angoc Amënëk exëna eŋ, ɓiyi elod ami wël ex na dëŋ.» 
ACT.19.3	W̃ëka këɓi ɓëte: «Xoɓuyi or fe wa ɓuyi kënun?» Yaka këni: «Xoɓuyi or 
ACT.19.4	Ata re ko Pol: «Ɓela ɓën anëngwët bani nëngwëtënd ola oreɓën ol, eɓi ɓuyixën Ŝaŋ Batis. Afel baɓi felënd eno kwëta ar këŋo sëfëgund an, mëne ngëŋ Yesu.» 
ACT.19.5	Ga wël këni eŋo, ɓuyi kënëɓi gër ow̃ac or Axwën Yesu. 
ACT.19.6	Pol ga ŝalen këɓi mokwëtan otaxan ok, ỹëmëra këni gë Angoc Amënëk aŋ, ata ỹana këni këni yeƴanënd ang ɓëlaw̃ënel fo. 
ACT.19.7	Er hi bani imëxwër ind ɓela epëxw gë ɓëxi.
ACT.19.8	Ata Pol aƴe baxo ƴend gër aciw̃ acaleya and Ɓëŝëwif, gër ed baɓi felërand kerët xali opacaw̃ otas. Do axor baɓi xorënd eni ma end owun or Kaxanu eŋ. 
ACT.19.9	Ɓarikan Ɓëŝëwif ɓërëmar ow̃ëkw oreɓën oŋ xemën bani do këni h̃ëpënd. Ado aƴepën bani ƴepënënd Cale ind Axwën iŋ, gër ed këni ɓarërëgu amëxwër. Ata ga h̃awëta këɓi Pol, nëcët këɓi ɓësëfan ɓën, do këɓi felëraxënd key yo key end Kaxanu eŋ gër lekol ir ar bano w̃acënd Tiranos. 
ACT.19.10	Mondako baxo rind Pol xali nëkak ɓëniy ɓëki. Ebar ed Asi el ɗek wël këni eyeƴan ed Axwën el: hik Ɓëŝëwif, hik ɓër ani gi ex na Ɓëŝëwif. 
ACT.19.11	Ata Kaxanu ko rind paɓ gë otaxan od Pol ok ɓecarax ɓend elod ala ax wël bana 
ACT.19.12	xali këni w̃eɗënd ɓanjëm ɓand xwixwëtak eman endexëm ɓaŋ enëɓi kwëtanaxën ɓëŝëxwëra ɓën. Ocëxwëra ok ex can, ɓëte ɓangoc ɓañëŋënax ɓaŋ eni can gër ɓela ɓër lil banëɓi.
ACT.19.13	Ɓëŝëwif ex baxëna ɓër bax sëfërand ɓangol ɓaŋ do banëɓi nëcëtënd ɓangoc ɓañëŋënax ɓaŋ gër ɓela. Ata axacëra baɓi xacërand edi ed mondako el gë ow̃ac or Axwën Yesu ol do bani rend: «Canin gër ala ajo, gë ow̃ac or Yesu ir këŋo femënd Pol ol!» 
ACT.19.14	Ɓër bax rind mondako ɓën, ocambenjar ocongoki ebani ɓën ɗek ɓosëñiw̃ ɓor Sefa, 
ACT.19.15	Akey amat, angoc añëŋënax aŋ yaka këɓi paɓ gë oniw̃ or gër ar lil baxo ol: «Wëno anang nang këmo Yesu, ɓëte anang nang këmo Pol. Do wën wa noɓën hi kën?» 
ACT.19.16	Ga w̃ëlën këɓi ar gë angoc añëŋënax an, nëỹ ko nëmëc ɓën ɗek. Ga xurik xëme in, sembaỹën këɓi ata ŝan këni iciw̃ ind gër ed hi bani iŋ do hër këni aɓat aɓat teɓ gë eman eŋ. 
ACT.19.17	Ɓëŝëwif ɓën do gë ɓër ani gi ex na ɓenëng ɓecëxe ɓër lëg bax gër Efes na ɓën, nangëra këni ɗek endeƴ eŋo. Ata yëdara këni ɓën ɗek do fëɓ këni mbaŋ ow̃ac or Axwën Yesu ol. 
ACT.19.18	Ɓërëw̃ak end Yesu ɓëranjëm bax ƴowënd gër ed exo Pol eni put ɓend bani rind ɓeŋ. 
ACT.19.19	Ɓëŝaki ɓëranjëm w̃ëlaraw bax ɓakayëta ɓand bani rixënënd oŝaki ɓaŋ, do ŝor këni ogës od ɓela ɗek. Ɓër fënëta bax akanji and ɓakayëta ɓaŋo ɓën sëk këni mëne ah̃at h̃at dox ɓatama ɓand koɗi owëli ofëxw oco. 
ACT.19.20	Ata eyeƴan ed Kaxanu el kë ỹañënd gë panga ind Axwën iŋ do kwël këni ỹëmbërënd ɓërëw̃ak end Yesu ɓën.
ACT.19.21	Ga xucak ɓeŋo, Pol faỹ ko gër emëkw edexëm exo ƴe gër Yerusalem do exo kuca ir owar or Masedëwan do gë Akayi in. Are baxo rend: «And këme hix fën aŋ, aỹandi ỹandi ke me ŋatëx gër angol and Rom.» 
ACT.19.22	Lëngwali këɓi ɓër baŋo rëcarand ɓëxi, Timote do gë Erasët, gër ebar ed Masedëwan do mëŋ ɓayi ko pere na gër ed Asi. 
ACT.19.23	Amëd aŋo ỹanak ɓongeỹër në end Cale ind Axwën eŋ xali wonjok angol aŋ. 
ACT.19.24	Ata asap ar bano w̃acënd Demetëriyos bax sapënd na gë koɗi ɓëciw̃ ɓëcaleya, do ɓëfan ɓër ɓëciw̃ ɓëŋo ɓën mbaŋ bani ŝotëraxënënd. 
ACT.19.25	Ga ɓarëgu këɓi ɓëjo do gë ɓësap ɓëŝandaw̃, re ko: «Ɓësoŝan, aye nang kën wën ɗek mëne oɓetak oreɓi ol gër andiyen aŋo ex. 
ACT.19.26	Awat kën watënd ɓëte awël kën wëlënd, mëne ax gi ex na ro gër Efes fo, ɓarikan ɗek ebar ed Asi el, Pol ijo këɓi xorënd ɓela ɓën eni ma end ko femërand eŋ. Ata mondako wërëŝët këɓi amëxwër and ɓela eni ma mëne olaŝ or ri këni ɓela gë otaxan odeɓën oŋ, ax gi ex na mokwëta, ang Kaxanu ak. 
ACT.19.27	Ax gi ex na andiyen andeɓi aŋ fo kë nëxe na. Aciw̃ acaleya and Arëtemis, kaxanu isoxari aŋ kë ƴep. Owëlik orexëm ol kë ƴep ɓëte xarak ɓela ɓën, ebar ed Asi el ɗek, gë ngwën iŋ ɗek, mëŋ këno ŝalend.»
ACT.19.28	Ga wël këni eyeƴan elo, logën këɓi do këni xeỹënd: «Ɓon wëli ko Arëtemis ir gër angol and Efes in! Ɓon wëli ko Arëtemis ir gër angol and Efes in!» 
ACT.19.29	Ata wonjok ɗek angol aŋ. Ga w̃ara këni ɗek enga eŋ ond gër aciw̃ and ɓapeda aŋ, w̃ëlali kënëɓi Gayiyos do gë Arisëtarëk, ɓër xaniw bax gër ebar ed Masedëwan do hi bani enga gë Pol ɓën. 
ACT.19.30	Pol aỹandi ỹandi baŋo exo ƴe eno watëx ɓela ɓëjo, ɓari ano teɓ bana ɓësëfan ɓën. 
ACT.19.31	Ɓëte oɗawo odëmar odexëm od hi bax ɓër gër owun na gër ebar ed Asi ok, law̃ënëgu kënëɓi eno kara Pol mëne kërexo ƴe na gër aciw̃ and ɓapeda. 
ACT.19.32	Amëd aŋo wonjok Amara aŋ: ɓërëmar eni keỹ endeƴ, ɓëjo eni yakaw ecëxe. Ado ɓëranjëm ani nang bana në end ine ɓarëraxënëgu bani na. 
ACT.19.33	Ata ga fit këno na Alekësandër, Ɓëŝëwif ɓën ŝonjorëra këno xali gër lëngw ir Amara. Ata lambaca këɓi Alekësandër ga ỹandi këŋo exo nëgwëŝët ɓend këno yëlanënd ɓeŋ. 
ACT.19.34	Ɓari and nang këni ɓela ɓën mëne Aŝëwif ex aŋ, këni xeỹënd ŝor xali nëkak ɓapëxëd ɓaki. Er bani rend: «Ɓon wëli ko Arëtemis ir gër angol and Efes in! Ɓon wëli ko Arëtemis ir gër angol and Efes in!»
ACT.19.35	Ata emun end angol eŋ ga fel këɓi ɓela ɓën eni cësinara, re ko: «Noỹo wa nemëk mëne wën Ɓëhefes ɓën hik ɓënëkona ɓër aciw̃ acaleya and Arëtemis do gë atox andexëm and latiwëk elod gër orën ɓën? 
ACT.19.36	Cësinara in gayikako ala ax de ex na mëne enëgwëŝ ex do këreŋun nëkandëra na mama. 
ACT.19.37	Enimin, ɓela ɓër w̃ëlaw kënëɓi ɓëjo, geɓatak ani ƴepën ex na, ɓëte ano cir ex na Kaxanu isoxari ireɓi in. 
ACT.19.38	Awa angëmëne Demetëriyos gë ɓër ɓar këni andiyen ɓën ala xoỹën këno na, mëlalexëni endeƴ eŋo gër ogofërëner gë ɓakey ɓand kiti ɓaŋ. 
ACT.19.39	Angëmëne ɓend kën xwëñe exëna, gwëre ene ñëpaxëne gër Amara and kiti. 
ACT.19.40	Enimin, gë endeƴ end xucak doro eŋo, ata këni yëla ɓëlëngw ɓën enëɓe mereliye xëñëna këne gayikako er ỹapëk ene ɓarëraxëne ax gi ex na.» Ata ga h̃ata ko eyeƴan elo, fel kënëɓi amara and ɓela aŋ eni capër.
ACT.20.1	Ga xwëtëk emer el gër Efes, Pol w̃ac këɓi ɓësëfan ɓën do ga këni felar xemën gër ekwëta do kwël ƴe ko gër ebar ed Masedëwan. 
ACT.20.2	Er ƴe baxo cangët ebar elo do këɓi xemënënd gër ekwëta ɓësëfan ɓën xali h̃at ko gër 
ACT.20.3	Fën xeyërax baŋo opacaw̃ otas. Do ga ko ƴe exo meɗëx kuluŋ in ond gër ebar ed Siri oŋ, wël ko mëne Ɓëŝëwif wëlërëk eno denan eñëŋënax, ata saxan këŋo exo ɓaka ir Masedëwan in. 
ACT.20.4	Ɓër ɓaŋo laŋëtand ɓën er ebani: Sopater, asëñiw̃ ar Piros ar gër Bere an, gë Arisëtarëk do gë Sekundos Atesalonik an, gë Gayus Aderëb an, gë Timote, gë Tiŝik do gë Tërofim, ɓër lëg bax gër ebar ed Asi ɓën. 
ACT.20.5	Ɓëjo lëngwa bax do ŝënix kënëɓo gër Tërowas. 
ACT.20.6	Ga xucak ofëna or mburu ind gë lewir këm ol, w̃eɗëx këmi kuluŋ in gër angol and Filip. Yatir akey anjoxën, h̃at këmi gër Tërowas do seyëtax këmi loxo.
ACT.20.7	Yatir oganjar, ɓarër këmi genëka mi ƴamb ecemar ed aminëmëra el. And kë weca aŋ hi bax exo ƴe Pol, ata këɓi felërand end Kaxanu eŋ ɓër ɓarërëgu bax na ɓën xali w̃ëɗëk mbaŋ. 
ACT.20.8	Gër aciw̃ and ƴaŋ and gër ed ɓarër bami oɗambo odanjëm xaw̃ëra bani na jeƴ. 
ACT.20.9	Pol, ga nëka ko gër eyeƴan, ŝambenjar ir këno w̃acënd Otikos in, ỹëpa ko gër opaỹa od fonetër, do këŋo raŝënd. And ɓëro këŋo akwëɗ aŋ, yolëta ko elod gër aciw̃ atëndëndër atasën, lati ko parëxaɗ, xanin këno aŝësëk. 
ACT.20.10	Pol feda ko eŋo nëkon, ga fela këŋo lapara këŋo do re ko: «Gë enjëw̃ ak ɓayi ko, këren yëdara na.» 
ACT.20.11	And ɓaka ko Pol ƴaŋ gër aciw̃ aŋ, ŝet ko mburu iŋ do ƴamb këni. Ga fakët ko eyeƴan el, felëra këɓi xali wecak. Ga kë fënëgu eñan eŋ ƴe ko kwël. 
ACT.20.12	Do ŝambenjar ir lati bax in w̃aỹeli këno aɓëngw. Eŋo mbaŋ xemën baɓi ɓën ɗek gër ekwëta.
ACT.20.13	Ɓiyi lëngwa këmi mi meɗëx kuluŋ ir këɓo w̃ëla gër angol and Asos in, gër ed hi bax mi pedëx gë Pol. Mondako bax mi di gayik mëŋ gë osapar ỹandi baŋo exo ƴeli. 
ACT.20.14	And sëk këɓo gër Asos aŋ w̃eɗëx këmo polo gër kuluŋ do xucax këmi ond angol and Mitilen oŋ. 
ACT.20.15	Fën xucax këmi gë kuluŋ in, h̃at këmi në ecan ijo gër angol and Kiyos. Gër akey akinëm, hi këmi gër angol and Samos, do gër atasën fo h̃at bami gër Mile. 
ACT.20.16	Enimin er ỹandi ɓaŋo Pol exo kuca caparëxe gër Efes këdi ko ŝacaya gër ebar ed Asi. Exo ŋat gër Yerusalem ɗamana ex gi Ofëna or 
ACT.20.17	Gër angol and Mile na, Pol law̃ën ko eni ƴow ɓëlëngw ɓër Amara and gër Efes ɓën. 
ACT.20.18	And h̃atëgu këni aŋ, re ko: «Aye nang kën mondake bame liyand key yo key gë wën elod yatir h̃atëgu këme gër ebar ed Asi. 
ACT.20.19	Axwën an bamo riyeninënd ang xaɗëp fo, gë otes ok do gë ocëmuk od bane rinënd Ɓëŝëwif ɓër bax ŝaland ene dixëra ok.» 
ACT.20.20	Asëfëtan bamun sëfëtanënd ɓëte, asëƴali bamun sëƴalind ɗek ɓend ỹap bax en nang ɓeŋ gër ed kën ɓarër, do gër ɓëciw̃, ỹoweỹ amun con ex na. 
ACT.20.21	Gër Ɓëŝëwif do gër ɓër ani gi ex na Ɓëŝëwif bame reƴarand eni nëngwët ola oreɓën ol gër ogës od Kaxanu do eno kwëta Axwën Yesu. 
ACT.20.22	Gërëgako Angoc Amënëk aŋ ke nëỹalind me ƴe gër Yerusalem do ame nang ex na ine ke hix. 
ACT.20.23	Gër angol and këme h̃at yo, Angoc Amënëk aŋ afel ke felënd mëne asëra këne sërax do me toro mbaŋ. 
ACT.20.24	Ɓarikan wëno cëŋ end aniyan andam eŋ axe ƴëkaxën ex na nangëde axëɓënaxik hi këme. Oɓal oram ol ex, me ɓayi ga këme rind andiyen and fana ke Axwën Yesu aŋ xali me ŋata: me deƴarand Atëfëtan and oyekax or Kaxanu aŋ.
ACT.20.25	«Wëno er ƴow bame gër ed hi kën wën ɗek me pemëra end Owun or Kaxanu eŋ. Ɓarikan gërëgako anang nang këme mëne apelatar këne watërënde. 
ACT.20.26	Mëŋ këme reƴaxënënd doro: Wën ɗek ang ƴow kën ro ako angëmëne aɓat exo nemi, ax gi ex na wëno ke w̃ëkaxëɗ Kaxanu. 
ACT.20.27	Ɓend ỹandi këŋo Kaxanu exo di ɓeŋ ɗek nangën këmun, ỹoweỹ amun con ex na. 
ACT.20.28	Nëkonayindën ɗe ogaf odewën ok, ɗiyayindën ŝenene. Gayikako Angoc Amënëk aŋ fana këŋun en gi ɓëxaɗac, nëkonayindën Amara and Kaxanu and yëc ko gë oŝat or Asëñiw̃ oŋ. 
ACT.20.29	Anang nang këme mëne and këme fuỹëtax aŋ, ɓela ɓër xeỹëk ang ojëlemu këŋun lil na, aɓi kaỹënan na amara andewën. 
ACT.20.30	Ado gër Amara andewën dëŋ ɓela kë ỹana na ex deƴarand ɓenëgwëŝ xali enëɓi nambeli ɓësëfan ɓërëmar. 
ACT.20.31	Awa wën titinayin do en kwitand mëne elod ɓëniy ɓëtas, hik goyat, hik gëmëɗ, ongwën baxe ŝarënd and bamun xexërand aŋ.
ACT.20.32	«Do gërëgako anëka këmun seɓënd gër otaxan od Kaxanu. Gë eyeƴan ed oyekax orexëm el, gë panga indexëm iŋ këŋun rëca en ɓayi ga xwëta këno eŋun yëlaxën er fenan këɓi ɗek ɓër w̃ënën këɓi in. 
ACT.20.33	Abame ŝala na koɗi, ba kaŋe ba ɓanjëm ɓand ala. 
ACT.20.34	Wën anang nang kën gë otaxan odam oko dëŋ bame riyenind me cot er bami liyaxënënd wëno gë ɓër enga endam in. 
ACT.20.35	Gër ga hik yo aw̃asin w̃asin këmun mëne mondiyeni ex en cotëraxën mëŋ kën ỹana enëɓi dëcaxënënd ɓër gë ojaw̃ këm ɓën. Kwitayindën eyeƴan ed Axwën Yesu el ga re ko: “Onënga ir ala ar kë yëlënd in kë nëmëcand gë ir ar këno yëlënd in.”» 
ACT.20.36	Ga h̃ata ko Pol eyeƴan el, foxi këni ɓën ɗek do ŝale këni. 
ACT.20.37	Ɓën ɗek bax renitand do bano w̃egarand Pol gër egëla. 
ACT.20.38	Mbaŋ ŝamina bani ga re ko mëne yatijo bano feland ewat el. Ata kwël laŋëta këno xali gër kuluŋ.
ACT.21.1	And ŝapër këmi gë ɓër laŋëta baɓo aŋ, ƴe këmi gë kuluŋ in ŝëw̃, ond gër angol and Kos oŋ. Ga xeyëk, xucax këmi gër Rod, do h̃atëx këmi ɓëte gër Patara. 
ACT.21.2	Ga sëkëx këmi kuluŋ ir xëñëna bax ond gër ebar ed Fenisi oŋ, fëra këmi do kwël w̃ëlax këɓo. 
ACT.21.3	And hi këmi wat-wat gë ebar ed Ŝipër aŋ, kuluŋ ir baɓo w̃ëland in seɓak gë ocame ok, do faɓëk gand ebar ed Siri mi ŋataxën gër Tir. Fën hi bax eni pedalira olëɓ or w̃ëlaw bax kuluŋ oŋ. 
ACT.21.4	Ata sëk këmëni na ɓësëfan do xeyëra këɓo loxo gë ɓën. Aŋo nangën këɓi Angoc Amënëk aŋ eno pel Pol mëne kërexo ƴe na ƴaŋ gër Yerusalem. 
ACT.21.5	Ɓarikan and xucak loxo ijo aŋ, fakët këmi oñe oŋ. Laŋëta kënëɓo ɓën ɗek gë ɓësoxari ak do gë oɓaŝ ak xali nëcët kënëɓo angol aŋ. Gër ɓëŋa ir angwëngw, foxix bami mi cale. 
ACT.21.6	Pol ga felarëra këmi na, fëra këmi gër kuluŋ do ɓën kwël w̃aỹira këni.
ACT.21.7	Ga këmi h̃ata oñe ond gë kuluŋ oŋ, ƴe këmi ambaɗ and ɓangol ɓand Tir gë Pëtolemayis aŋ. Fën ŝëpëtax bami mi cëmar gë ɓëmaỹe ɓëŋ do w̃ëɗëx këɓo gër ndeɓën. 
ACT.21.8	Në ecan ijo, h̃at këmi gër Sesare, xeyërax këɓo ɓakey gër iciw̃ ind Filip. Filip ijo, gër imëxwër ind 
ACT.21.9	Odënaw̃ oɓeja onax ŝot baɓi do ɓën bax yeƴandërand ang ɓëlaw̃ënel ɓësoxari fo. 
ACT.21.10	Ga xeyëra këɓo ɓakey ɓandanjëm, h̃atëgu ko na alaw̃ënel ar Kaxanu, ar bano w̃acënd Agabus ga xaniw ko gër ebar ed 
ACT.21.11	W̃eɗ ko ñat enar end Pol eŋ, xapaya ko maɓ osapar oŋ gë otaxan ok do re ko: «Ɓaxëtin end rek Angoc Amënëk eŋ, ar xwënëk enar eŋo ro an mondako këno xapëx Ɓëŝëwif ɓën gër Yerusalem do eno ɗëxw gër otaxan od ɓër ax gi ex na Ɓëŝëwif.» 
ACT.21.12	Ga wël këmi eŋo, ɓiyi gë ɓër ɓarërëgu bax na ɓën, xara këmo Pol kërexo ƴe na ƴaŋ gër Yerusalem. 
ACT.21.13	Pol yaka këɓo: «Inew̃a kën sesaxënënd do kën yëɓunënd mondako yomb iram in? Wëno cëŋ aw̃elëk hi këme ene pokëra, do ado gido ene ɗaw̃ gër Yerusalem në end ow̃ac or Axwën Yesu eŋ.» 
ACT.21.14	Ga wata këmi mëne ax bo ex na mo kor gër eŋo, seɓ këmi eyeƴan el do mi cësinaxën in re këmi: «Awa dilexo Axwën an er ỹandi këŋo in.»
ACT.21.15	Ga xeyëra këɓo ɓëte na, xëñënara këmi do kwël ƴe këmi ƴaŋ gër Yerusalem. 
ACT.21.16	Ata ɓësëfan ɓërëmar ɓër sëfërëgu bami elod gër Sesare ɓën ɓëteli kënëɓo gër ed hi bax mi ŋat, gër iciw̃ ind Mënasoŋ, ar hi bax anëka fo asëfan do xaniw baxo gër ebar ed Ŝipër an.
ACT.21.17	And h̃at këmi gër Yerusalem aŋ, ɓëmaỹe ɓëŋ xaca kënëɓo gë onënga fo. 
ACT.21.18	Në ecan ijo, sëfër këmi gë Pol gër iciw̃ ind Ŝak. Ata sëkëx kënëɓo fën ɓëte ɗek ɓëlëngw ɓër Amara and Yerusalem ɓën. 
ACT.21.19	And ŝëmarëra këmi aŋ, Pol ỹana ko këɓi sëfëtanënd gë ɓetil ak ɓeɓër ko rind Kaxanu paɓ gë andiyen andexëm ɓën gër owar or ɓër ax gi ex na Ɓëŝëwif. 
ACT.21.20	Ɓën ga këno ɓaxët, këno ŝëkwand Kaxanu. Ata re këni: «Awël nde aɓaỹe, Ɓëŝëwif ɓën owëli owëli exëni ɓërëw̃ak end Yesu ɓën do ɓën ɗek momal këɓi ɓalënd end 
ACT.21.21	Xarak, awëlati wëlati këmi mëne wëj këɓi sëƴalind ɗek Ɓëŝëwif ɓër lëgërak gër owar or ɓër ax gi ex na Ɓëŝëwif ɓën, eni teɓ etëf ed 
ACT.21.22	Mondake ex mo ndi gayikako aye këni nangëra mëne wëj ƴowëk? 
ACT.21.23	Mëŋ ex, afo eƴ ma eƴ di er këmi fel in. Nëkoɗëɓi ɓësoŝan ɓënax ɓër enga endeɓi, aɓañaya ɓañaỹa këni. 
ACT.21.24	Macëlëɓi en ƴe en w̃unëtarax do cosënëlëɓi enëɓi cëk lir-lir ogaf ok. Ata aŋo fo këni nangëra mëne wëj ɓëte asëf këƴ sëfënd er rek acariya in. Mondako fo këni nangëra ɓëte mëne er fel kënëɓi këƴ rind in ax gi ex na ɗal. 
ACT.21.25	End ɓër ax gi ex na Ɓëŝëwif ɓërëw̃ak end Yesu eŋ cëŋ, ga re këmi eni teɓ eƴamb ed ỹas er ow̃acar or h̃aŝ kënëɓi gër olaŝ eŋ, gë ỹas er ow̃acar or ŝësëk ŋaŝërëxe eŋ, gë eƴamb ed oŝat el, do gë asëk alakirand fo in.» 
ACT.21.26	Ga xeyëk, Pol w̃ëla këɓi ɓësoŝan ɓëjo, w̃unëtarax këni, do lilëx këni gër Aciw̃ and Kaxanu. Ata felëra këɓi nand fe kë xwëtëk ɓakey ɓand owunëtan ɓaŋ mëŋ këni rixën ala kala ŝaɗaxa irexëm in.
ACT.21.27	Ga kë xwët ɓakey ɓanjongëɓaki ɓand owunëtan ɓaŋ, Ɓëŝëwif ɓër xaniw bax gër ebar ed Asi ɓën wat këno Pol gër Aciw̃ and Kaxanu. Ata ga ŝoñ kënëɓi ɗek amëxwër aŋ, sëra këno 
ACT.21.28	do këni xeỹënd: «Ɓëyisërayel, marawën! Nëkoyino wa ro ala ar këɓi sëƴalirand ɓela ɗek, gër ed ko ƴe yo, mëne enëɓo cus ɓiyi Ɓëŝëwif ɓën. Mëŋ fo këɓi sëƴalirand ɓëte eni ƴepën 
ACT.21.29	Yeƴanaxën bani mondako in, Pol gë Tërofim Iɓefes watëgu banëɓi ga sëfër këni gër angol. Mëŋ yëlaxën bani mëne Pol alën lën këŋo ajo lëf gër Aciw̃ and Kaxanu. 
ACT.21.30	Ata wonjok ɗek angol aŋ do hërëraw këni ɓulunda in beɓët ir ex yo. Ga sëra këno Pol na gër Aciw̃ and Kaxanu, ŝonjorëra këno xali nëcët këno, do fëra këni ataŋ owët oŋ. 
ACT.21.31	Amëd and bani ŝaland ang këni ri eno ɗaw̃axën ak, emun end enga end ocoroɗa Oɓërom eŋ wëlëx ko mëne ɗek angol and Yerusalem aŋ wonjok. 
ACT.21.32	Ataŋ ɓar këɓi ocoroɗa ok gë ɓëlëngw ɓëreɓën ɓën do w̃araw këni gër ed ɓarërëgu bani Ɓëŝëwif. And watëgu kënëɓi emun eŋ gë ocoroɗa odexëm ok aŋ, seɓ këni ekëm ed Pol el. 
ACT.21.33	Ga sëka këɓi emun end ocoroɗa eŋ, xana këŋo Pol. Fel këɓi ocoroɗa ok eno pokëra gë ogweƴele-gweƴele oki. W̃ëka këŋo ba noỹo hi ko do ine ri ko. 
ACT.21.34	Ɓarikan ga bani xeyërand ɓër gër amëxwër ɓën, ɓërëmar eŋo, ɓëjo ecëxe, emun end ocoroɗa eŋ sëkwan ko eŋo pëni ỹeỹ mërëxand na. Ata re ko eno mëla endëmane fo Pol gër akëɓe ang gë oxaỹ
ACT.21.35	And h̃ateli këno Pol gër lilaya ir akëɓe aŋo aŋ, afo ga fela këno ocoroɗa ok gayik aw̃ëlën bano w̃ëlënënd ɓër gër amëxwër ɓën. 
ACT.21.36	Ga sëfëgu këno na ɓën ɗek këni xeỹënd: «Ajo ar eɗaw̃ ex! Ajo ar eɗaw̃ ex!»
ACT.21.37	And hi bax eno mëlax lëf gër akëɓe aŋ, Pol w̃ëka këŋo emun end ocoroɗa aŋ: «Axor nde këme xor me yeƴan ỹeỹ?» Yaka këŋo: «Awël nde wël këƴ eyeƴan ed Gërek el? 
ACT.21.38	Awa Amisëra ar ɓar baɓi ɓela ɓëxeỹax owëli onax an, ax gi ex na wëj. Ax nëka ex na ga w̃ëla baɓi gër ladawe, ŝoñ këɓi enëɓo mereli.» 
ACT.21.39	Ata re ko Pol: «Wëno Aŝëwif hi këme ɗe, gër Tarës rëw̃ këne, angol angwëlik and gër ebar ed Silisi aŋ. Axara xara këmi, teɓële mëni pelëra ɓulunda in.» 
ACT.21.40	Emun end ocoroɗa eŋ w̃a ko. Ga xwëŝa ko Pol ƴaŋ ako gër lilaya ir akëɓe and gë oxaỹ, lambaca këɓi ɓulunda in. And ŝësinara këni aŋ, yirëk mbaŋ. Ata yeƴan ko eyeƴan ed arameyeŋ el:
ACT.22.1	«Ɓëmaỹe do gë faba ɓën, gërëgako ɓaxëtine mun yaka ga nagaŝan këne ako.» 
ACT.22.2	And wël këno ga ko yeƴan arameyeŋ aŋ, yirëk kaŝ-kaŝ. Ata re ko Pol: 
ACT.22.3	Wëno Aŝëwif hi këme, gër Tarës ir Silisi rëw̃ këne, fëco gër ebar ed Sisili. Ɓarikan ro gër Yerusalem raf këme do Gamaliyel sëƴali ke me tëfënd ŝenene acariya and ɓëxarëk ɓëreɓi aŋ. Mbaŋ baxe ɓalënd end Kaxanu eŋ ang këŋun ɓalënd wën ɗek doro ak. 
ACT.22.4	Arixëra rixëra këmëni xali eni cës ɓër sëfëk Cale ind Axwën ɓën. Axap bamëni xapënd mëni mëlaxën gër epëra ɓësoŝan ɓën do gë ɓësoxari ɓën. 
