MAT.1.1	Lùu ŋwaꞌlə kɔ̀ŋ ŋiꞌ ŋii Yeso Kristo, wee Deyvid, wee Abraham. 
JHN.15.21	Vənu vəbwəvə faŋ vɨ ndɔ yɨsə maa viŋ, vɨ yɨ̀ buꞌ yizii nyaa, buꞌ laa vəŋ kee kɨɨ nə wə ntɨə faŋ ŋwə nə tɔ̀ŋ mə taa mbi nyə̀ me. 
JHN.15.22	Mə nə toꞌ kee jwì kɨ gisə tɨ́ vəŋ me, buu nu bwə vəŋ kee lùu shɔ me. Luu nə, mə nə gì tɨ́ vəŋ, kaꞌ vəŋ kee baa mànə nu bwə vəŋ faŋ vəŋ yɨsə me. 
JHN.15.23	Wə ntɨə faŋ ŋwə bee mə, bee Tii ŋwaa nɨzi. 
JHN.15.24	Mə nə toꞌ kee kɨ yɨsə vənu mbɨə faŋ wə dɨday nə kee ta yiyɨsə taa ŋwaa vəŋ me, buu nu bwə vəŋ kee lùu shɔ me. Luu nə, vəŋ nə yè vənu vɔ́, baa kɨ bee mə, bee yia Tii ŋwaa vənshə. 
JHN.15.25	Ŋkə gày nɨniŋ maa məfaynə nə nu ŋkɨə faŋ vɨ nə nyɔ̀ꞌ taa ŋwaꞌlə Nwi laa, «Mə kee kɔlə gù nu me, vɨ bèe mə day.» 
JHN.15.26	Luu nə, viŋ kɨ lumə laa wuu məgaŋtə jɨjwi. Yighee njyə faŋ mə taa gə̀ yɨ Tii ŋwaa, mə taa tɔŋ ŋwə, ŋwə jwi tɨ́ viŋ. Lùu Zwitə Ley Nwi faŋ ŋkə ndɔ fɨ ghɔ Tii ŋwaa, lùu ŋkə faŋ ŋkə ndɔ də nu yinsəŋ tɨ́ vɨɨ. Ŋkə ndɔ yɨsə vɨɨ kɨɨ nə yinsəŋ nyaa. 
JHN.15.27	Gə̀ fɨ maa viŋ, viŋ kɨ gisə tɨ́ vɨɨ kɔ̀ŋ mə nɨzi, buꞌ laa nsiŋ yaa luu mɔ́ꞌ shù fɨ maa vənzi.
JHN.16.1	Mə naysə vənu vɔ́ tɨ́ viŋ, laa kɨ viŋ meꞌtə nu kaŋ me, faŋ vɨɨ taa tey kɨ kɔ ŋɨꞌ tɨ́ viŋ. 
JHN.16.2	Yighee jɨjwi faŋ vəŋ taa jɔŋ viŋ fɨ taa ŋii məshəŋtə Nwi. Yighee jɨjwi faŋ wə tɨ̀ me wə faŋ ŋwə ndɔ zwi viŋ, kɨ bɨꞌtə laa yi faꞌ faꞌ jəə tɨ́ Nwi. 
JHN.16.3	Vəŋ taa yɨ̀sə vənu vɔ́, buꞌ laa vəŋ kee kɨɨ nə Tii ŋwaa me, kee kɨɨ nə mə me. 
JHN.16.4	Mə naysə nu ŋɨꞌ kɔ́ tɨ́ viŋ laa, ŋkə taa gay, viŋ kɨ lumə laa mə nə nàysə tɨ́ viŋ laa ŋkə ndɔ gay nɨniŋ.»
JHN.16.4	Yeso baa gì tɨ́ vəŋ laa, «Mə nə kee nàysə vənu vɔ́ tɨ́ viŋ shù fɨ nə faŋ nsiŋ nə tey kɨ duꞌ me, faŋ nsiŋ nəə shi mɔ́ꞌ nə. 
JHN.16.5	Mə naysə vənu vɔ́ tɨ́ viŋ ndwə, buꞌ laa mə taa baa bəŋ gə yɨ Tii ŋwaa faŋ ŋwə nə tɔ̀ŋ mə mbi nyə̀. Nɨniŋ, tuu wə fɨ taa ŋwaa viŋ kee bitə laa mə sii gə fə me. 
JHN.16.6	Məluŋ lwàŋ taa fwisə viŋ, faŋ mə naysə̀ vənu və̀ tɨ́ viŋ nə. 
JHN.16.7	Mə naysə ŋkee nu yinsəŋ tɨ́ viŋ laa, lùu nu jəə tɨ́ viŋ faŋ mə gə nɨniŋ nə. Kaꞌ Zwitə Ley Nwi kee ndɔ jwi maa viŋ me, maa tɨ̀ lɨꞌ laa mə bɨ gə, gə̀ tɔ̀ŋ wuu məgaŋtə ghɔ́ tɨ́ viŋ me. 
JHN.16.8	Yighee njyə faŋ ŋwə ndɔ jwi, ŋwə ndɔ ŋaꞌ sɨ mbi maa məkɨɨ nə vənu vəbwəvə, nə vənu faŋ mbə lùu vəloomə, baa nə faŋ Nwi ndɔ shia nsɔꞌsə vɨɨ. 
JHN.16.9	Lùu nu bwə buꞌ laa vəŋ nə kee bìŋ mə me. 
JHN.16.10	Nu ŋkɨə faŋ ŋkə də̀ laa mə lùu wuu loomə, lùu faŋ mə gə yɨ tɨta Nwi, viŋ kee baa yè mə me. 
JHN.16.11	Nu nsɔꞌ kɔ́ lùu laa vɨ kwàŋ Satan, faŋ ŋwə sɔꞌ mbi nyə̀ nə, taa nsɔꞌ. 
JHN.16.12	Vənu vəyaŋ kɨ bii ghɔ mə maa mənaysə tɨ́ viŋ, luu nə, kaꞌ viŋ kee ta jìa vənu vɔ́ ndwə me. 
JHN.16.13	Nɨniŋ, Zwitə yinsəŋ kɔ́ ndɔ kɨ jwi, də jɨɨ tɨ́ viŋ, viŋ kɨɨ nə vənu vənshə faŋ mbə lùu vəbi. Zwitə kɔ́ kee gisə maa nshɨ-tɔ wi me, kɨ gisə sheꞌ nu ŋkɨə faŋ ŋkə zɔ̀ fɨ ghɔ Nwi, baa naysə vənu faŋ mbə ndɔ gay fɨ yiba. 
JHN.16.14	Ŋkə ndɔ kɨ koꞌsə yizii nyaa, buꞌ laa ŋkə ndɔ kɨ fi luu nu kaŋ, twelə tɨ́ viŋ. 
JHN.16.15	Vənu vənshə faŋ lùu vənu və Tii ŋwaa, lùu vənu vaŋ nɨzi. Lùu ŋiꞌ nu ŋkɨə faŋ mə gì laa ŋkə ndɔ kɨ fi nu kaŋ, twelə tɨ́ viŋ nə.»
JHN.16.16	Yeso baa gì tɨ́ vəŋ laa, «Goꞌ sheꞌ wee-fɨkɨꞌ, viŋ kee baa yè mə me, ŋkə baa betə sheꞌ tɨtiꞌ nee, viŋ baa ye mə.» 
JHN.16.17	Vɨɨ məzwetə nu ki vəmɔ́ꞌ gi sheꞌ vəŋ vəŋ laa, «Ŋiꞌ nu ŋkɨə faŋ ŋwə gì tɨ́ nsiŋ nee nə, lùu laa kə, faŋ ŋwə gì laa, gòꞌ wee-fɨkɨꞌ nee, vɨ kee baa ye ŋwə me, ŋkə taa baa kɨ betə tɨtiꞌ, vɨ baa ye ŋwə, nə ŋiꞌ nu ŋkɨə faŋ ŋwə gì laa yi gə yɨ Tii wi, lùu kəŋ nu tɨ́ kə?» 
JHN.16.18	Vəŋ baa gì laa, «Ŋiꞌ wee-fɨkɨꞌ nee, faŋ ŋwə nii gì nə, ŋkə sii də̀ laa kə.» Yigi yɔ́ kee lùu yiley tɨ́ vəŋ me. 
JHN.16.19	Yeso nəə kɔꞌ kɨɨ laa vəŋ kəə bitə ŋiꞌ yigi yɔ́ tɨ́ yi, ŋwə gi tɨ́ vəŋ laa, «Viŋ gɨgisə kɔ̀ŋ yigi yɔ́ mu? Maa mə nii nàysə tɨ́ viŋ laa wee-fɨkɨꞌ nee, viŋ kee baa yè mə me, taa baa betə fɨkɨꞌ, viŋ baa ye mə. Viŋ kee kɨɨ nə ŋiꞌ yigi kɔ́ yimu? 
JHN.16.20	Viŋ zɔ! Mə naysə tɨ́ viŋ yinsəŋ laa, viŋ ndɔ gwia, kɨ shɨŋsə. Luu nə, mbi kɨ ŋaytə. Viŋ kɨ lɨluŋ, luu nə, məluŋ wiŋ ndɔ kiasə gù məŋaytə. 
JHN.16.21	Wəzwi yaa kɨ kəə bi, ŋwə kɨ luŋ, buꞌ faŋ yighee yi kùꞌ. Luu nə, ŋwə taa bi wee, ŋwə kee baa lùmə ŋɨꞌ yɔ́ me; ŋwə bee kɨ ŋɨŋaytə buꞌ laa wuu fi fùu mbi. 
JHN.16.22	Sheꞌ nee, viŋ lùu ndwə lɨluŋ. Luu nə, fwi siŋ ndɔ kɨ ŋaytə faŋ mə ndɔ baa jwi ye viŋ. Nɨniŋ, tuu wə kee lùu shɔ, tɨ́ kaꞌ ŋwə baa fì məŋaytə wiŋ fɨ ghɔ viŋ me. 
JHN.16.23	Ndɔ luu maa shi kɔ́, viŋ kee baa bitə tuu nu shee me. Viŋ zɔ! Mə naysə tɨ́ viŋ yinsəŋ laa, fa tɨ̀ me fa faŋ viŋ taa ndwaŋ fɨ ghɔ Tii ŋwaa maa yizii nyaa, ŋwə taa kɔ tɨ́ viŋ. 
JHN.16.24	Jwi kɔ tɔ və-ndee, viŋ kee ta ndwàŋ fa fɨ ghɔ Tii ŋwaa maa yizii nyaa me. Bàw viŋ buꞌ ghɔ, ndwàŋ vətɔ fɨ ghɔ Tii ŋwaa, yuu kii, laa məŋaytə lwaŋ taa fwisə viŋ.»
JHN.16.25	Yeso baa gì tɨ́ vɨɨ məzwetə nu ki laa, «Mə nəə gisə vənu vɔ́ tɨ́ viŋ maa ghaŋ tii. Yighee ndɔ kuꞌ, faŋ mə kee ndɔ baa kɨ gisə tɨ́ viŋ maa yigisə tii me, twelə vənu kɔ̀ŋ tɨta Nwi tɨ́ viŋ ntee, ley ley. 
JHN.16.26	Ndɔ luu maa shi kɔ́, viŋ ndwaŋ vətɔ fɨ ghɔ Tii ŋwaa maa yizii nyaa. Mə kee gi laa mə ndɔ buꞌ ghɔ tɨ́ Tii ŋwaa tɔ viŋ me, 
JHN.16.27	buꞌ laa nshɨ-tɔ Tii ŋwaa kaw viŋ. Ŋwə kaw viŋ, buꞌ faŋ viŋ kaw mə, baa biŋ laa mə nə ndɔ̀ fɨ yɨ ŋwə. 
JHN.16.28	Mə nə ndɔ̀ fɨ yɨ Tii ŋwaa, jwi mbi nyə̀. Nɨniŋ, mə baa mèꞌtə mbi nyə̀ ndwə, bə̀ŋ gə̀ yɨ Tii ŋwaa.» 
JHN.16.29	Vɨɨ məzwetə nu ki gi tɨ́ ŋwə laa, «Əhəŋ, a gisə ndwə ntee, a kee baa gisə maa ghaŋ tii me. 
JHN.16.30	Yia kɔꞌ kɨɨ ndwə laa a kɨɨ nə vənu vənshə, nu kee ghɔꞌ ghɔ me. A kɨ̀ɨ nə vənu faŋ wə kəə bitə tɨ́ ghɔ. Nɨniŋ, yia biŋ laa a nə ndɔ̀ fɨ ghɔ Nwi.» 
JHN.16.31	Yeso bəŋsə tɨ́ vəŋ laa, «Viŋ bìŋ ŋkee yinsəŋ mu? 
JHN.16.32	Viŋ kɔꞌ kɨɨ laa yighee taa kuꞌ, nyə duꞌtə nyə kuꞌ, faŋ viŋ taa nyɨŋkə vənshə, wə kɨ gə fu ŋwə, wə kɨ gə fu ŋwə. Viŋ taa meꞌtə mə nɨnɔŋ. Luu nə, mə kee taa luu nɨnɔŋ me, buꞌ laa yia Tii ŋwaa lùu mɔ́ꞌ ghee nshə. 
JHN.16.33	Mə naysə nu kɔ́ tɨ́ viŋ, tɨ́ kaꞌ nsiŋ lùu fa kəmuꞌ, fwi yiŋ duꞌ nyɔŋ. Viŋ taa ye ŋɨꞌ taa mbi nyə̀, viŋ ka fwi siŋ, buꞌ laa mə duꞌtə mə ghɔꞌ mbi nyə̀.»
JHN.17.1	Faŋ Yeso nə gì vənu vɔ́ mètə, ndèynə yizɔ, shɔꞌtə Nwi, gì laa lee, «Tɨta, yighee kùꞌ, də yikwalə ŋwiŋ wə tɨ́ mbi, tɨ́ kaꞌ vɨɨ kɨ̀ɨ nə yikwalə yə buꞌ mə. 
JHN.17.2	A nə kɔ̀ wutə shee maa məsɔꞌ vɨɨ vənshə fɨ shɨ nsi, laa mə kɨ kɔ məbwey faŋ ŋwə gòꞌsə yighee muꞌ tɨ́ vɨɨ vənshə, faŋ a nə kɔ̀ shee nə. 
JHN.17.3	Məbwey ghɔ́ faŋ ŋwə gòꞌsə yighee muꞌ nə, lùu faŋ vɨ kɨɨ nə ghɔ, faŋ a lùu Nwi yinsəŋ nɨnɔŋ, baa kɨ̀ɨ nə mə, Yeso Kristo, faŋ a nə tɔ̀ŋ mə nə. 
JHN.17.4	Mə nə də̀ yikwalə yə taa mbi nyə̀, fàꞌ faꞌ ŋgwə faŋ a nə tɔ̀ŋ mə laa mə faꞌ. 
JHN.17.5	Nɨniŋ, tɨta ŋwaa, baa kɔ yikwalə nyaa shee, faŋ mə jɨjwi yɨ ghɔ ndwə nə. Sɨ kii yikwalə mɔ́ꞌ shəŋ muꞌ, sheꞌ faŋ sɨ nə kìi yikwalə shəŋ muꞌ yighee vɨsɨ, shù fɨ maa yighee njyə faŋ mbi nə kee ta lùu shɔ me.
JHN.17.6	Mə nə lèsə ŋiꞌ yizii yə tɨ́ vɨɨ mbɨə faŋ a nə ndì vəŋ fɨ taa mbi nyə̀, kɔ̀ tɨ́ mə nə. Vɨɨ vɔ́ nə luu vɨɨ və, a kɔ vəŋ shee, vəŋ jia nu kə. 
JHN.17.7	Vəŋ kɨ̀ɨ ndwə laa vənu vənshə faŋ a nə kɔ̀ shee, mbə ndɔ fɨ ghɔ ghɔ. 
JHN.17.8	Lùu nɨniŋ buꞌ laa mə nə nàysə yigisə yə, faŋ a nə kwàŋ taa fwi mə, tɨ́ vəŋ, vəŋ biŋ, kɨ̀ɨ yinsəŋ laa mə nə ndɔ̀ fɨ yɨ ghɔ, baa biŋ laa nə tɔ̀ŋ ghɔ tɔ̀ŋ mə.
JHN.17.9	Mə buꞌ ghɔ tɔ vəŋ, kee buꞌ ghɔ tɔ mbi me. Mə buꞌ ghɔ sheꞌ tɔ vɨɨ mbɨə faŋ a nə kɔ̀ shee nə, buꞌ faŋ vəŋ lùu vɨɨ və. 
JHN.17.10	Vətɔ vaŋ vənshə lùu mbɨɨ vətɔ, mbɨɨnə lùu maanə. Vɨɨ nə yè yikwalə nyaa buꞌ mbə. 
JHN.17.11	Mə kee baa lùu taa mbi me, luu nə, vɨɨ vaŋ vɔ́ goꞌ taa mbi, faŋ mə jɨjwi yɨ ghɔ nə. Tɨta faŋ a bàw shɨlə, kɨ kɨꞌ vəŋ, vəŋ goꞌ maa yizii yə, faŋ a nə kɔ̀ shee nə, laa vəŋ luu fa kəmuꞌ, sheꞌ faŋ nsoo lùu fa kəmuꞌ nə. 
JHN.17.12	Yighee njyə faŋ mə yaa luu yia vɨ vəŋ, mə nəə shiinə vəŋ, vəŋ goꞌsə maa yizii yə, faŋ a nə kɔ̀ shee nə. Mə nəə ndeynə vəŋ, tuu wə fɨ vəŋ muꞌ kee ndì me, tɨ̀ lɨꞌ sheꞌ wuu ndwaŋ wì, faŋ nə luu wuu ndi fɨ maa vənzi. Nɨniŋ laa nu ŋkɨə faŋ ŋkə lùu taa ŋwaꞌlə Nwi faynə. 
JHN.17.13	Mə jɨjwi yɨ ghɔ ndwə, kɨ naysə nu kɔ́ taa mbi nyə̀, laa nu ŋkɨə faŋ mə ŋaytə shɔ, ŋii taa fwisə vəŋ, vəŋ kɨ ŋaytə nɨzi nə fwi vəŋ yinshə. 
JHN.17.14	Mə nə nàysə yigisə yə tɨ́ vɨɨ vaŋ vɔ́. Nɨniŋ, mbi nə bee vəŋ, buꞌ faŋ vəŋ kee lùu vaŋ fɨ taa mbi nyə̀ me, sheꞌ yaa nshɨ-tɔ ŋwaa kee lùu wee mbi nyə̀ me. 
JHN.17.15	Mə kee buꞌ ghɔ tɨ́ ghɔ laa a baꞌsə vəŋ fɨ taa mbi me. Mə buꞌ ghɔ tɨ́ ghɔ laa a kɨ shiinə vəŋ fɨ ghɔ nu bwə, nə fɨ ghɔ tɨɨ vəzwitə vəbwəvə. 
JHN.17.16	Vəŋ kee lùu vaŋ taa mbi me, sheꞌ faŋ nshɨ-tɔ ŋwaa kee lùu wuu taa mbi me. 
JHN.17.17	Yɨsə vəŋ luu vɨɨ və, baa bàw, buꞌ faŋ vəŋ ye nu ŋkɨə faŋ ŋkə lùu yinsəŋ. Də yigisə yə də nu ŋkɨə faŋ lùu nu yinsəŋ. 
JHN.17.18	Mə tɔŋ vəŋ taa mbi, sheꞌ faŋ a nə tɔ̀ŋ mə taa mbi nə. 
JHN.17.19	Mə kɔ ŋwaa ŋwaa tɨ́ ghɔ nshə, laa mə baw shɨlə buꞌ vəŋ, tɨ́ kaꞌ vəŋ baa luu kɔ yiŋwaa yivəŋ tɨ́ ghɔ, bàw shɨlə, buꞌ faŋ vəŋ kɨɨ nə nu ŋkɨə faŋ lùu nu yinsəŋ.
JHN.17.20	Mə kee buꞌ ghɔ sheꞌ tɔ vɨɨ mbɨə faŋ vəŋ lùu vɨɨ vaŋ ndwə me. Mə buꞌ ghɔ nɨzi tɔ vɨɨ mbɨə faŋ vəŋ ndɔ zɔ nu kaŋ fɨ ghɔ vəŋ, nùŋ fwisə vəŋ maa mə nɨzi. 
JHN.17.21	Nɨniŋ laa vəŋ vənshə luu nə fa kəmuꞌ, sheꞌ faŋ nsoo, tɨta, lùu fa kəmuꞌ. Mbɨꞌtə yə luu mbɨꞌtə nyaa, mbɨꞌtə nyaa luu mbɨꞌtə yə. Nɨniŋ, nsiŋ vɨ vəŋ ndɔ luu nə fa kəmuꞌ nɨzi, tɨ́ kaꞌ mbi biŋ, baa kɨɨ laa nə tɔ̀ŋ ghɔ tɔ̀ŋ mə. 
JHN.17.22	Yikwalə njyə faŋ a nə kɔ̀ shee nə, mə baa luu kɔ tɨ́ vəŋ, laa vəŋ luu nə fa kəmuꞌ faŋ nsoo lùu nə fa kəmuꞌ nə. 
JHN.17.23	Nu kaŋ lùu taa fwi vəŋ, nu kə lùu taa fwi mə, tɨ́ kaꞌ vəŋ lùu nə fa kəmuꞌ, ŋkə baw mètə. Nɨniŋ, mbi ye, ndɔ kɨɨ laa, nə tɔ̀ŋ ghɔ tɔ̀ŋ mə, baa nə laa a kaw vəŋ sheꞌ faŋ a kaw mə nə. 
JHN.17.24	Tɨta, mə kəə laa vɨɨ mbɨə faŋ a nə kɔ̀ shee nə, ndɔ lùu yia vɨ vəŋ mɔ́ꞌ maa shəŋ ŋkɨə faŋ mə ndɔ lùu shɔ, laa vəŋ ndɔ ye yikwalə njyə faŋ a nə kɔ̀ shee, buꞌ laa a nə kàw mə shù fɨ maa yighee njyə faŋ mbi nyə̀ nə kee ta lùu shɔ me. 
JHN.17.25	Tɨta, tɨɨ vənu və loomə, mbi kee kɨɨ nə ghɔ me, kɨɨ sheꞌ mə nə ghɔ. Gə fɨ maa vɨɨ vaŋ vɔ́, vəŋ kɔꞌ kɨɨ laa nə tɔ̀ŋ ghɔ tɔ̀ŋ mə. 
JHN.17.26	Mə nə yɨsə vəŋ kɨɨ nə yizii yə; mə ndɔ baa kɨ twelə nu yizii yə tɨ́ vəŋ. Nɨniŋ, ŋkawnə yə faŋ a nə kàw mə nə, lùu taa fwisə vəŋ; nshɨ-tɔ ŋwaa lùu taa fwisə vəŋ nɨzi.»
JHN.18.1	Yeso nə shɔ̀ꞌtə Nwi tɨ́ nee mètə, kɨ nii fùu fu ghɔ vɨ vɨɨ məzwetə nu ki, tɔ̀ŋ muu mə Kedron, gə̀ maa shəŋ kəmɔ́ꞌ faŋ yindɨɨ yimɔ́ꞌ nə luu shɔ. Vəŋ gə ŋìi taa yindɨɨ yɔ́. 
JHN.18.2	Judas, wuu məfiŋ Yeso, nə kɨ̀ɨ nə shəŋ kɔ́ nɨzi, buꞌ laa Yeso ghɔ vɨ vɨɨ məzwetə nu ki nə duꞌtə vəŋ faynə shɔ ghee yaŋ. 
JHN.18.3	Nɨniŋ, Judas ndi vəsogeꞌ nə vɨɨ faꞌ fɨ taa ŋii Nwi yikwalə faŋ nə tɔ̀ŋ vɨɨ kwalə məfeꞌ Nwi nə vɨɨ Farisii tɔ̀ŋ vəŋ. Judas ghɔ vɨ vɨɨ vɔ́ gə maa shəŋ kɔ́ nə təkiꞌ nə vətɔ və yighaw. 
JHN.18.4	Vəŋ ziꞌ yifi, Yeso fuu fɨ taa yindɨɨ yɔ́, tɨ́ ŋwə nə kɔꞌ kɨɨ nə vənu vənshə faŋ mbə kəə gay maa ŋwə. Ŋwə fuu, bìtə tɨ́ vəŋ laa, «Viŋ kəə ndə?» 
JHN.18.5	Vəŋ bəŋsə tɨ́ ŋwə laa vəŋ kəə Yeso, wuu Nazaret wì. Yeso gi tɨ́ vəŋ laa, «Ye mə nə.» Judas, wuu məfiŋ Yeso ghɔ́, nə tɨ̀ŋnə ghɔ vɨ vəŋ. 
JHN.18.6	Faŋ Yeso nə gì tɨ́ vəŋ laa, «Ye mə nə,» vəŋ bəŋ gə̀ nə yiba yiba, gùkə nsi. 
JHN.18.7	Yeso baa kɨ bitə tɨ́ vəŋ laa vəŋ kəə ndə? Vəŋ baa gi laa vəŋ kəə Yeso, wuu Nazaret wì. 
JHN.18.8	Yeso baa kii bəŋsə tɨ́ vəŋ laa, «Maa mə duꞌtə mə gì tɨ́ viŋ laa lùu mə. Viŋ kɨ luu kɨ kəə mə, viŋ meꞌtə vɨɨ vaŋ və̀, vəŋ gə nə ŋwaa vəŋ.» 
JHN.18.9	Ŋwə nə gì nɨniŋ laa nu ŋkɨə faŋ ŋwə nə nàysə yighee vɨsɨ faynə, laa kɨ tuu wə muꞌ fɨ taa ŋwaa vɨɨ vi faŋ Nwi nə kɔ̀ tɨ́ yi nə, ndi me. 
JHN.18.10	Baꞌ yighaw nə luu ghɔ Saymon Pita. Pita shoꞌ baꞌ ki kɔ́, sàŋ maa wuu faꞌ wuu kwalə məfeꞌ Nwi, shia tuulə ki maꞌnə. Yizii wuu faꞌ ghɔ́ nə luu Malkɔs. 
JHN.18.11	Yeso gi tɨ́ Pita laa ŋwə kwaŋ baꞌ ki taa kɔ. «Nə kaꞌ mə kee nu ndaw njyə faŋ tɨta Nwi kɔ̀ shee nə yimu?» 
JHN.18.12	Tɨɨ vəsogeꞌ ghɔ vəsogeꞌ vi, nə vɨɨ faꞌ vɨɨ Jus vɔ́ kɨ nii jìa Yeso, kà ŋwə, 
JHN.18.13	ndì ŋwə, ghɔ vɨ vəŋ bɨ gə ye Anas, buꞌ laa Anas ghɔ́ nə luu shi Kayafas, tɨɨ zu Kayafas, faŋ nə luu wuu kwalə məfeꞌ Nwi maa ŋuꞌ yɔ́. 
JHN.18.14	Kayafas ghɔ́ nə luu wə ntɨə faŋ ŋwə nə gì tɨ́ vɨɨ Jus laa bàw wə muꞌ ku tɔ vɨɨ vənshə.
JHN.18.15	Saymon Pita ghɔ wuu məzwetə nu Yeso mɔ́ꞌ beꞌsə Yeso. Wuu məzwetə ghɔ́ nə luu wə faŋ Anas, wuu kwalə məfeꞌ Nwi, nə kɨ̀ɨ nə ŋwə. Nɨniŋ, ŋwə gə ŋìi ntoꞌ Anas faŋ vɨ nəə kɨ bii tii ŋwə nə wuu kwalə məfeꞌ Nwi nə, yighee njyə faŋ vɨ nə ŋìi nə Yeso shɔ nə. 
JHN.18.16	Pita nə tɨ̀ŋnə sheꞌ shuu ŋkɔꞌ. Wuu məzwetə wì faŋ wuu kwalə məfeꞌ Nwi nə kɨ̀ɨ nə ŋwə nə, fuu gə̀ gì tɨ́ wə ntɨə faŋ ŋwə nə shii shuu ŋkɔꞌ laa, ŋwə meꞌtə Pita ŋii. Ŋwə kɨ nii gə ndì Pita, ghɔ ŋwə ŋii. 
JHN.18.17	Wuu məshii shuu ŋkɔꞌ ghɔ́, faŋ nə luu wəzwi, gi tɨ́ Pita laa, «Maa a lùu fɨ maa vɨɨ məzwetə nu Yeso vì?» Pita twey. 
JHN.18.18	Vətuꞌ shi kɔ́ vədɨꞌ nə luu ŋkee vəyoonə. Nɨniŋ, vɨɨ faꞌ vɨɨ məfeꞌ Nwi dwi wisə yishɨ wi, kɨ zwasə. Pita nə tɨ̀ŋ shɔ nɨzi, kɨ zwasə wisə.
JHN.18.19	Wuu kwalə məfeꞌ Nwi bitə vənu tɨ́ Yeso kɔ̀ŋ vɨɨ məzwetə nu ki nə mədeesə wi. 
JHN.18.20	Yeso bəŋsə tɨ́ ŋwə laa, «Mə nəə gisə yigi nyaa ntee tɨ́ vɨɨ vənshə. Mə nəə deesə taa ndɔꞌ məshəŋtə ghiŋ, nə taa ŋii Nwi yikwalə, faŋ lùu shəŋ ŋkɨə faŋ vɨɨ Jus vənshə faynə shɔ. Mə nəə kee gisə fɨ taa vəndenə me. 
JHN.18.21	Sii yɨ̀ kə, buu a bitə shee laa mə deesə kə tɨ́ vɨɨ? Kaꞌ a bìtə tɨ́ vɨɨ mbɨə faŋ vəŋ nə zɔ̀ nu ŋkɨə faŋ mə gisə nə. Vɨɨ vɔ́ kɔꞌ kɨɨ nə nu ŋkɨə faŋ mə nə gì tɨ́ vəŋ.» 
JHN.18.22	Faŋ Yeso nə gì yigi nyə̀, wuu faꞌ mɔ́ꞌ faŋ ŋwə nə tɨ̀ŋnə yifi, saŋ Yeso, ndɔ̀ gì tɨ́ ŋwə laa, «Ŋkə kùꞌnə tɨ́ kaꞌ a gisə tɨ́ wuu kwalə məfeꞌ Nwi maa kəŋ jɨɨ nyə̀ nee mu?» 
JHN.18.23	Yeso gi tɨ́ wuu faꞌ ghɔ́ laa, «Yigisə nyaa kɨ luu kee lùu yiloomə me, a nàysə nu ŋkɨə faŋ ŋkə kee lùu kəloomə me shee. Luu nə, mə kee gi gù nu me, sii yɨ̀ kə, buu a saŋ mə?» 
JHN.18.24	Anas kɨ nii tɔ̀ŋ Yeso tɨ́ wuu kwalə məfeꞌ Nwi Kayafas, nə kuusə maa ŋwə.
JHN.18.25	Saymon Pita nəə kɨ bii tɨŋnə yifi, zwasə wisə, vɨɨ mɔ́ꞌ gi tɨ́ ŋwə laa, «A kee lùu fɨ maa vɨɨ məzwetə nu Yeso yimu?» Pita baa twèy, gì laa kee lùu yi me. 
JHN.18.26	Wuu faꞌ wuu kwalə məfeꞌ Nwi mɔ́ꞌ, faŋ nə luu weenshu wə ntɨə faŋ Pita nə shìa tuulə ki nə, gì tɨ́ Pita laa, «Yinsəŋ, mə nii ye ghɔ taa yindɨɨ yì, viŋ vɨ Yeso.» 
JHN.18.27	Pita baa kii twey, gì laa kee lùu yi me. Sheꞌ yighee yɔ́ ŋkɨꞌ taw.
JHN.18.28	Kɨ luu ŋkee taa wee-leefu, vɨ fuusə Yeso fɨ fu Kayafas, gə̀ nə ŋwə fu goməna. Luu nə, vɨɨ Jus vɔ́ kee ŋìi taa ŋii nsɔꞌsə me, buꞌ laa goməna nə kee lùu wuu Jus me. Nuŋsə vəŋ nə luu laa wə kɨ luu ŋìi taa ŋii wə faŋ kee luu wuu Jus me, buu ŋwə kee baa lùu wuu ley me. Kaꞌ ŋwə kee baa zɨ fazɨ Pasa me. 
JHN.18.29	Nɨniŋ, goməna Pilate fuu fu, ye vəŋ fu, bìtə tɨ́ vəŋ laa, «Viŋ jìa wə ŋwə̀ laa ŋwə yɨ̀ kə bwə?» 
JHN.18.30	Vəŋ bəŋsə tɨ́ ŋwə laa, «Wə ŋwə̀ nəə toꞌ kee lùu wuu bwə me, buu yia kee jwì nə ŋwə tɨ́ ghɔ me.» 
JHN.18.31	Pilate gi tɨ́ vəŋ laa vəŋ ndi ŋwə, gə̀ nə ŋwə, gə̀ shìa nsɔꞌ yi ŋgɨɨ-vəŋ, faŋ nuŋsə vəŋ də̀. Vəŋ gi laa, vəŋ kee kìi wutə maa məshia nsɔꞌ wə, laa vɨ zwi ŋwə me. 
JHN.18.32	Ŋkə nə gày nɨniŋ, laa Yeso ku yiku maa jɨɨ njyə faŋ ŋwə nə duꞌtə ŋwə naysə tɨ́ vɨɨ laa yi ndɔ ku nyə. 
JHN.18.33	Pilate bəŋ baa ŋìi taa ŋii ntoꞌ, tìi Yeso laa ŋwə jwi. Yeso jwi, ŋwə bitə tɨ́ Yeso laa, «A luu fwàŋ vɨɨ Jus mu?» 
