GEN.1.1	Ŋgimbi nɛ̀ Sɔ̧ ku̧u̧ nɛ̀ naŋ dee yiwese in nù, 
ISA.37.23	Mɛ́ nɛ́ o mɛ da̧ GASA WAN,
ISA.37.23	tɔ̧ nɛ ɗaŋ wen ha̧ a̧ o?
ISA.37.23	Mɛ́ hú̧í̧ nú-mɛ tuɓi nɛ da̧ a zu ge bíí ge?
ISA.37.23	Mɛ kura zu Sa̧a̧ Wi ko 
ISA.37.24	Mɛ toma o ŋgaiwi kɔ-mɛ da̧ nɛ GASA WAN,
ISA.37.24	wen mɛ tɔ̧a̧‘e:
ISA.37.24	‹Mɛ̀ nɛ́ tɛ o dɔka keekee-nyaŋa kɔ‘m
ISA.37.24	a̧‘m daŋa nɛ kusa kaya hɔ zu-a mɛ,
ISA.37.24	mi hɔɔ mgbák ɗata zu kaya Libaŋ mɛ;
ISA.37.24	mi gɔma o kusa 
ISA.37.24	mi tɛ ye kombo kɔ̧-a̧ hɔ nduti-a mɛ.
ISA.37.25	Mi gɔna yi,
ISA.37.25	ɓɛɛ mi nɔ o yi nɔ‘i.
ISA.37.25	Mi tɛ de ha̧ o yi mɛ Egiptɛ lɛŋ
ISA.37.25	mɛ ɔ̧sa̧ wen zu naŋ-am.›
ISA.37.26	«Mɛ́ íŋ‘e nde, o mɔ nɛ dee kinii lɛŋ,
ISA.37.26	mɛ̀ nɛ́ o mɔ n'am ɗafa so nɛti,
ISA.37.26	ɓɛɛ mɛ̀ nɛ́ kinii a̧ o mɔɔ nɔ‘i tɛ hɔ gba̧a̧ na nde?
ISA.37.26	Mɛ ta mɛ ɗaŋ o gasa ye yinɛ
ISA.37.26	ha̧ wa mɛ kifi bɛɛ-oi.
ISA.37.27	O bíí tɛ ye'i lɛŋ bó nɛ̀ ŋgai na,
ISA.37.27	kíì de wa dee,
ISA.37.27	ɓɛɛ tɛ-wa nak nak;
ISA.37.27	wa ya hee bɔr-nyɔnɔ kpɛɛfɔ ga,
ISA.37.27	hee zɔ̧ tua, koo hee alkamaari a̧ gbɛɛ dua ga.
ISA.37.28	«Mi iŋa ŋgimbi nɛ mɛ yor nɛ ŋgɔn
ISA.37.28	in nɛ mɛ duk nɛ nù mbɛt;
ISA.37.28	ŋgimbi nɛ mɛ gbo nɛnɛ
ISA.37.28	in ŋgimbi nɛ mɛ ye nɛ mɔ mbɛt;
ISA.37.28	mi iŋa o ŋgimbi nɔ‘i lɛŋ.
ISA.37.29	See-mɛ nyima zu'm,
ISA.37.29	hegɔ o ɗaŋ wen kɔ-mɛ aa zer-am.
ISA.37.29	Mi tɛ pi̧ boi zɔ̧ɔ̧-mɛ
ISA.37.29	in káná kɔ‘m nú-mɛ,
ISA.37.29	wen ha̧ mɛ mɛ zik tɛ-mɛ
ISA.37.29	ba yuwar siɗoŋ fara nɛ mɛ tɛɛ so nɛnɛ.
ISA.37.30	«Ɓɛɛ nɛ war kɔ-mɛ wannu Ezɛkias, mɔ'ɔ tɛ duk nɛ mɔɔ-usi-mɔ ha̧ mɛ: tɛ pɛ'ɛ, ɛnɛ tɛ nyɔŋ o kpar-nyɔnɔ n’ɛnɛ guna; pɛ mɛ ɗoŋ-aa, ɛnɛ tɛ mɔi̧ kana hegɔ mbɛt, ɓɛɛ tɛ taar pɛ, ɛnɛ tɛ gun mbe mɔ, ɛnɛ mɔi̧a, ɓɛɛ ɛnɛ tɛɛ gun o nyak-dɔ̧ɔ̧ n’ɛnɛ tɛ nyɔŋ o waya-a mbɛt. 
ISA.37.31	Ɓɛɛ oi o bíí nú-gara ko Juda nɛ duk kpasa tɛ dɛm woyo, kunin-wa tɛ gbai, ɓɛɛ wa tɛ wai woyo. 
ISA.37.32	Oi o bíí tɛ gbo nɛ Jerusalɛm, in nɛ zu kaya 
ISA.37.33	«Mɛ nɛ hegɔ sa GASA WAN tɔ̧ nɛ wen’ɛ zu wannu Asirii: A̧ beka ye saaye’ɛ mɛ bi a̧ na; a̧ beka pi̧ goo kóó kpɔk na, a̧ beka e ŋgee-biro kɔ̧-a̧ ti ye'i na, kà bó nɛ̀ mboo mɔ zik nɛ ye’ɛ na mbɛt. 
ISA.37.34	Yuwar n'aa tɛ̀ɛ̀ so nɛnɛ‘i, a̧ a̧ tɛ si kana nɛ ɗoŋ mbɛt, a̧ beka ye saaye’ɛ na. Nɛ́ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ɔ̧ hegɔ. 
ISA.37.35	Mi tɛ pɛm ye’ɛ kpasi nɛ a̧, nɛ ŋma mɔ beka fo a̧ na, wen zu'm nɛ tɛ‘m, in wen zu David wi-de-tom kɔ‘m mbɛt.»
ISA.37.36	Mɛ zɛ‘i, betom ko GASA WAN gboo, ye gbagari biro ko o bíí Asirii, ɓɛɛ gbɛ bíí booro-ɓu-mɔɔrɔ-ɗoŋ-taar-zua-mɔɔrɔ. Nɛ mɔ sa̧a̧ mɛ tutuyɛ, tɛ tuna ya, wa zɔka o wɔr nɛ ya nu sinɛ hegɔ riɓiti. 
ISA.37.37	Ɓɛɛ nɛ mɔ'ɔ nɛ Senakerib wannu Asirii kura, ɓɛɛ gbin yak si ɗoŋ duk sɛn Ninivɛ. 
ISA.37.38	Ɓɛɛ ŋgimbi n'aa biti gu nu kɔ̧ tua ko Misrok sɔ̧ kɔ̧-a̧, Adramɛlɛk in Saresɛr o bem kɔ̧-a̧ tɛɛ tik zu a̧ gɔm a̧ nɛ gba-paa gbɛ yinɛ; ɓɛɛ wa yu mɔ yak si nu Ararat mɛ. Ɓɛɛ Asaradɔŋ, ŋma bem kɔ̧-a̧ ba wan oi-aa.
ISA.38.1	Ŋgimbi'i, ŋga zɛɛ baa Ezɛkias ha̧ a̧ mɛ fe, ɓɛɛ Esaii 
ISA.38.2	Ɓɛɛ Ezɛkias zik tɛ zɔk mɔ si zaŋ ŋgeŋ, ɓɛɛ kɔfi GASA WAN hee mɔ'ɔ ga: 
ISA.38.3	«GASA WAN, tɛ‘nɛ́'ɛ̀ mbaŋ ɗoŋ tom n'am dee h’ɛ́nɛ́ nɛ see kpɔk nɛ yuwar-a, ɓɛɛ ɓɔnsɛnɛ mi kia mɛ de nɛ mɔ nɛ dee tɛ‘nɛ́ mbɛt.» Ɓɛɛ Ezɛkias hi̧i̧ kɔ̧a̧ nɛ dɔka-a.
ISA.38.4	Ɓɛɛ nɛ mɔ'ɔ nɛ GASA WAN tɔ̧ɔ̧ ha̧ Esaii woyo: 
ISA.38.5	«Mɛ̀ nɛ́ɛ̀ tɔ̧ ha̧ Ezɛkias'e, mi GASA WAN, Sɔ̧ ko dáà kɔ̧-a̧ David, mi zia kɔfamɔ kɔ̧-a̧; mi zɔka mi̧i̧kɔ̧a̧ kɔ̧-a̧ mbɛt. Mi tɛ ha̧ haya-tɛ ha̧ a̧. Ɗoŋ zɛ taar, ɓɛɛ mɛ̀ dáŋ si kɔ̧ Tua ko GASA WAN. Mi tɛ ha̧ mbe duka-a ha̧ a̧ siti zaŋnu mɛ de pɛ ɓu-zua-mɔɔrɔ woyo. 
ISA.38.6	Mi tɛ kpasi a̧ sɛn er wannu Asirii, ɓɛɛ mi tɛ de mɔ mɛ kpasi ye’ɛ mbɛt.»
ISA.38.7	Ɓɛɛ Esaii kifi nú ha̧ a̧: «Mɔ nɛ tɛ usi ha̧ mɛ mɛ iŋ‘e, mɔ nɛ GASA WAN ha̧a̧ nú wen-aa tɛ de kpasamɔ ha̧ mɛ nɛ mɔ'ɔ: 
ISA.38.8	Sɔ̧ tɛ de ha̧ gi̧ɔ̧-tɛ wannu Ezɛkias nɛ zira so si ɗɔɔ mɛ‘i mɛ daŋ duk oi-aa si ɗoŋ tɛ naŋ ɓu.» Ɓɛɛ nɛ mɔ'ɔ nɛ wese daŋa duk oi-aa hee naŋ ɓu ga tɛ gi̧ɔ̧-mɔ nɛ zira so.
ISA.38.9	Gima ko Ezɛkias, wannu Juda ŋgimbi n'aa kura nɛnɛ tɛ zɛɛ nɛ mɔ'ɔ.
ISA.38.10	Ɓɛɛ mi tɔ̧:
ISA.38.10	Ŋgimbi n'am biti so nɛ gba de bozo-wi,
ISA.38.10	mi tɛ̀ɛ́ ye tua ko o fio;
ISA.38.10	nɛ́ fara'i a̧‘m tɛ̀ɛ́ duk sɛnɛ kaɗi nɛ oi pɛ duka-a kɔ‘m.
ISA.38.11	Ɓɛɛ sa'm tɔ̧ siti woyo:
ISA.38.11	Mi iŋa nɛ mbetɛ‘e
ISA.38.11	mi beka zɔk GASA WAN nɛ yí‘m
ISA.38.11	mgbara bíí zu nu’ɛ ɓɔna,
ISA.38.11	mi beka zɔk yí ŋma bíí
ISA.38.11	mgbara o bíí nɛ ya zu nu’ɛ ɓɔna mbɛt.
ISA.38.12	Wa baa fara-duk kɔ‘m pi̧ nyɛi̧ nɛ‘m
ISA.38.12	hee gbaksak ko wi-dai-ndai ga;
ISA.38.12	ɛnɛ kara duka-kpasa kɔ‘m
ISA.38.12	hee mɔ'ɔ nɛ wan-fan-bale
ISA.38.12	kar nɛ yipol-bale’ɛ ga.
ISA.38.12	Mɔ tɛ ga̧ hɔ̧ɔ̧ na, ɓɛɛ mɔ kɔ‘m kaɗa, GASA WAN.
ISA.38.13	Mi gɔfi mɔ ai nɛ nú h’ɛ́nɛ́ mɛ zɛ mɔ sa̧ nɛnɛ;
ISA.38.13	dúk hee dila a̧ gbin gba̧a̧-tɛ‘m lɛŋ ga,
ISA.38.13	ɓaa kɔ‘m nɛ mɔ'ɔ nɛ kaɗa'i.
ISA.38.14	Tɛ‘m mbɔia fara hiɗi mɔ
ISA.38.14	hee gbiiwara a̧ bu̧i hiɗi nɛ mɔ ga;
ISA.38.14	ger-am fara tɛ gɔfa mɔ
ISA.38.14	ai nɛ nú hee gbaku̧i ga;
ISA.38.14	yí‘m mbɔia tɛ kɛ̧i̧a̧ mɔ sitɛ‘nɛ́ ŋgɔn mɛ,
ISA.38.14	GASA WAN, ɛ̀nɛ̀ kpás’ám tɛ ŋgamɔ'ɛ.
ISA.38.15	Mi tɛ tɔ̧ bɔɔ nɛ ge?
ISA.38.15	Ge mɔ ge a̧‘m tɛ tɔ̧ bɔɔ ha̧ a̧ ge?
ISA.38.15	Mɛ nɛ deemɔ ko GASA WAN;
ISA.38.15	mi tɛ duk kana zaŋnu'e nɛ dita-see,
ISA.38.15	wen war mɔ kɔ‘m hɔ sɔŋkur ŋgimbi nɛ mɔ‘i,
ISA.38.15	hɔ sɔŋkur ŋgimbi duka-a kɔ‘m zaŋnu’ɛ.
ISA.38.16	GASA WAN duk ka̧ tɛ o bíí kɔ‘i;
ISA.38.16	a̧ tɛ de ha̧ wa mɛ ya kpasa,
ISA.38.16	ɓɛɛ 
ISA.38.16	a̧ tɛ ba'm e ŋgɔn de nɛnɛ ha̧‘m mɛ duk kpasa woyo mbɛt.
ISA.38.17	Kimni dita-see kɔ‘m kpaia kifi nɛ desee,
ISA.38.17	wen ɛ́nɛ́ kpasa'm ka'm tɛ́ɛ̀ ye kɔ̧,
ISA.38.17	ɓɛɛ ɛnɛ pi̧ ɗaŋmɔ kɔ‘m lɛŋ taŋ nyɛi̧ nɛ ɛnɛ.
ISA.38.18	Wa gasi'nɛ́ fara ko o fio mɛ na,
ISA.38.18	o fio beka zɔn nin'nɛ́ na;
ISA.38.18	o wi nɛ ya kɔ̧ fio ɗɔɔ mɛ‘i
ISA.38.18	e ta nɛ dee demɔ k’ɛ́nɛ́ ɓɔna.
ISA.38.19	Kana nɛ o bíí nɛ ya kpasa
ISA.38.19	hee mi ga a̧ gasi'nɛ́ ɓɛɛ;
ISA.38.19	o dáa-wan-bem we nɛ ɗoŋ demɔ k’ɛ́nɛ́ ha̧ o bem kɔ‘i.
ISA.38.20	GASA WAN, tɛ kpas'am n’ɛnɛ kpasa’ɛ,
ISA.38.20	ɛɛ tɛ dikiɗi o mɔɔ-mbɛr k’ɛɛ
ISA.38.20	sɛn nu kira k’ɛ́nɛ́,
ISA.38.20	wese lɛŋ dam ɗoŋ zɛ duka-a k’ɛɛ zaŋnu’ɛ.
ISA.38.21	Ɓɛɛ Esaii tɔ̧: «Mɛ̀ bá mbɔɗa mbɔra yi gba-da̧i̧, ɓɛɛ tɛ tɛ wii.» 
ISA.38.22	Ɓɛɛ Ezɛkias tɔ̧ ha̧ a̧: «Mɔɔ-usi-mɔ nɛ tɛ usi ha̧‘m mɛ iŋ‘e, mi tɛ daŋ si kɔ̧ Tua ko GASA WAN nɛ ge?»
ISA.39.1	Ŋgimbi'i, Mɛrodak-Baladaŋ bem ko Baladaŋ wannu Babilɔŋ toma o kalata in o ha̧a̧mɔ ha̧ Ezɛkias, wen a̧ zia so nyɛrɛ zɛɛ n'aa ɔɔ so in haya-tɛ n'aa kpaa mbɛt. 
ISA.39.2	Ezɛkias kpaa desee nyɛmna, ɓɛɛ usi mbɔi kɔ‘i lɛŋ ha̧ o betom: bu-mbɔi, lɔr, o de pɛr fuu-nyama in o nɔ-a̧, o tua-e-mɔɔ-wan ká bá nɛ̀ o mɔɔ-biro kɔ̧-a̧ lɛŋ. Ŋma mɔ kpɔk nɛ Ezɛkias usi sɛn kɔ̧ tua in tɛ nu kɔ‘i ha̧ wa na, bo na. 
ISA.39.3	Nɛ mɔ'ɔ nɛ Esaii 
ISA.39.4	Ɓɛɛ Esaii tɔ̧ ha̧ a̧ woyo: «Ge mɔ ge a̧ wa zɔka tɛ mɔɔ-wan kɔ-mɛ ge?» Ezɛkias kifa nú: «Wa zɔka o mɔɔ-wan kɔ‘m lɛŋ; ŋma mɔ mɛ kɔ̧ tua-e-mɔ kɔ‘m n'am usi ha̧ wa na bo na.»
ISA.39.5	Ɓɛɛ Esaii tɔ̧ ha̧ Ezɛkias: «Mɛ̀ zíí tɔ̧ɔ̧ wen ko GASA WAN Sɔ̧ nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ: 
ISA.39.6	‹Ŋgimbi tɛ hɔ nɛ wa tɛ kai o mɔ nɛ a̧a̧ kɔ̧ kira-wan kɔ-mɛ lɛŋ yaknɛ, gu nɛ o mɔ nɛ o zɔmdáa kɔ-mɛ mɔi̧a e hɔ wese sɔsɔɔ‘i, wa tɛ kai wa yaknɛ er-mɛ lɛŋ si Babilɔŋ mɛ. Ŋma oi mɔ nɛ tɛ duk er-mɛ bo na; mɔ nɛ GASA WAN tɔ̧ɔ̧ nɛ mɔ‘i. 
ISA.39.7	Wa tɛ kai o mgbák bezaŋ-mɛ nɛ dɔka-a, ɓɛɛ wa dee wa nɛ o kpàná-pɛm-kira-wan ko wannu Babilɔŋ.› »
ISA.39.8	Ɓɛɛ Ezɛkias tɔ̧ ha̧ Esaii: «Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ mɛ mɛ tɔ̧‘i dee nyɛmna.» Ezɛkias ta kɔ‘i'e, Sɔ̧ ee nɛ ga̧a̧mɔ, yor nɛnɛ ɗoŋ wi zu ŋgimbi duka-a kɔ‘i zu nu’ɛ.
ISA.40.1	Ɛ̀nɛ̀ há̧ nɔɔ-ŋgiɗi ha̧ dukbíí kɔ‘m;
ISA.40.1	k’ɛ́nɛ́ pɛm mɔ na, Sɔ̧ a̧ tɔ̧ wen’ɛ.
ISA.40.2	Ɛ̀nɛ̀ gá̧ see Jerusalɛm;
ISA.40.2	ɓɛɛ ɛ̀nɛ̀ tɔ̧́ ha̧ a̧‘e, tom-bara kɔ̧-a̧ kaɗa,
ISA.40.2	bɔnɛ kɔ̧-a̧ kaɗa,
ISA.40.2	GASA WAN usa mɔɔ-oi ɗaŋmɔ kɔ̧-a̧ lɛŋ ha̧ a̧ kaɗi.
ISA.40.3	Ɓɛɛ ŋma tiger tɔ̧‘e:
ISA.40.3	«Ɛ̀nɛ̀ ɗáfí yuwar ha̧ GASA WAN,
ISA.40.3	ɛ̀nɛ̀ gbɛ́r war'i gbara mɛ nɛ de-a;
ISA.40.3	mɛ nɛ yuwar ko Sɔ̧ k’ɛɛ.
ISA.40.4	Gboŋgo lɛŋ a̧ dun,
ISA.40.4	o kaya in o zu-tɔ̧́ lɛŋ a̧ hir.
ISA.40.4	O be kusa-mɔ lɛŋ a̧ hir nyɛm ŋmaa,
ISA.40.4	o gboŋgo lɛŋ a̧ dun nyɛm ŋmaa,
ISA.40.4	ɓɛɛ o kaya kifa bɔkɔ-nu.
ISA.40.5	Hegɔ, gasamɔ ko GASA WAN tɛ gbo zan,
ISA.40.5	ɓɛɛ bíí lɛŋ tɛ zɔk a̧.
ISA.40.5	Wen nɛ GASA WAN tɔ̧a̧ nɛ mɔ‘i.»
ISA.40.6	Ŋma tiger tɔ̧ɔ̧ ha̧‘m'e:
ISA.40.6	«Mɛ̀ tɔ̧́ wen!»
ISA.40.6	Ɓɛɛ mi kifi nú:
ISA.40.6	«Nɛ ge wen ge a̧‘m tɛ tɔ̧ ge?»
ISA.40.6	Tiger'i tɔ̧ɔ̧ ha̧‘m:
ISA.40.6	«Mɛ̀ tɔ̧́‘e duka-a ko bíí hɔɔ ŋmaa in zɔ̧,
ISA.40.6	ɓɛɛ kiitɛ bíí duk hee do-te ga.
ISA.40.7	Ŋgimbi nɛ búk kɔ̧ nú GASA WAN yu,
ISA.40.7	ɓɛɛ zɔ̧ kora, do-a ai a nu.
ISA.40.7	Nɛ mbetɛ, o bíí zu nu’ɛ
ISA.40.7	hɔɔ ŋmaa in zɔ̧.
ISA.40.8	Zɔ̧ kor kor, ɓɛɛ do-a aia,
ISA.40.8	ɓɛɛ wen ko Sɔ̧ k’ɛɛ,
ISA.40.8	nɛ mɔ nɛ duk kɔ‘i kpoo nɛ kpoo.»
ISA.40.9	mɛ́ yaa-tɔ̧ gba de nú-tom’ɛ!
ISA.40.9	Jerusalɛm, mɛ́ yaa-tɔ̧ nú-tom tortɛ'ɛ,
ISA.40.9	ká kíí de mɛ na,
ISA.40.9	ɓɛɛ mɛ̀ tɔ̧́ nɛ hee ger
ISA.40.9	ha̧ o ye nu Juda'e:
ISA.40.9	«Sɔ̧ k’ɛ́nɛ́ nɛ mɔ'ɔ!
ISA.40.10	GASA WAN Sɔ̧ a̧ tɛ‘i,
ISA.40.10	a̧ tɛ tɛ nɛ ŋgai.
ISA.40.10	Mɔɔ-wan duk tɛ ŋgai mɛ te er-a.
ISA.40.10	A̧ hɔɔ nɛ̀ mɔɔ-oi-tom kɔ̧-a̧;
ISA.40.10	ɓɛɛ kpaamɔ kɔ̧-a̧ ya ti a̧.
ISA.40.11	A̧ hɔɔ ŋmaa in ŋma wi-dai-mɔ
ISA.40.11	nɛ dai o mɔ-dai mɔi̧ nɛ wa,
ISA.40.11	kai nɛ o be-a a zu kóŋgó-ɓaa
ISA.40.11	ɓɛɛ mgbɔɔ o nana-a nɛ ɓɔna fara ha̧ bere nɛnɛ mɔktɛ.»
ISA.40.12	Nɛ o'o mɔi̧a yi gba-tɔp
ISA.40.12	dun kɔ̧-er mɛ zɔk o?
ISA.40.12	O'o wee pɛsa yiwese nɛ ŋgɛɗɛ-er o?
ISA.40.12	Nɛ o'o wee dita mbɔɗa-nu nɛ oi-aa lɛŋ kɔ̧ yee o?
ISA.40.12	Nɛ o'o wee o kaya in o zu-tɔ̧́ mɛ iŋ dita-wa o?
ISA.40.13	Nɛ o'o wee 
ISA.40.13	Nɛ o'o duka nɛ wi-ba-keta in a̧ o?
ISA.40.14	Ŋma bíí nɛ ba keta in a̧ wen kpaa de taamɔ,
ISA.40.14	wen gɔna kita nɛ yuwar-a,
ISA.40.14	wen yuwar iŋamɔ
ISA.40.14	sɛka wen kpaa iŋamɔ nɛ o?
ISA.40.15	O tugun bíí sɛn yí Sɔ̧
ISA.40.15	duk hee be nu yi nɛ kɛ̧ a nu nɛ kɔ̧ kpánà,
ISA.40.15	kóó hee ɗikɗik fuunu nɛ ya kɔ̧ mɔɔ-we-mɔ'ɛ ga.
ISA.40.15	O zuduk bíí mɛ nyɛi̧a fara duk hee ɗikɗik-mɔ ga,
ISA.40.15	wa diti na.
ISA.40.16	O te mɛ nu Libaŋ
ISA.40.16	nɛ oi gun nyɛm mɛ de gua,
ISA.40.16	kóó o saɗi mɛ sɛnɛ mbɛt
ISA.40.16	nyɛm wen kpoo-sɔ̧ wen-aa na.
ISA.40.17	O zuduk bíí zu nu’ɛ lɛŋ duk nɛ geemɔ ti a̧;
ISA.40.17	ŋma gba̧a̧-mɔ bo tɛ-wa na.
ISA.40.18	Ɛnɛ nyɛma mɛ we Sɔ̧ nɛ ge?
ISA.40.18	Tɛ zɔka mɔ k’ɛ́nɛ́,
ISA.40.18	Sɔ̧ hɔɔ ŋmaa in ge mɔ ge?
ISA.40.19	A̧ nɛ géé-sɔ̧
ISA.40.19	nɛ̀ wi-nɔi̧-boi nɔi̧a,
ISA.40.19	yɔk ɗoŋ-aa ɓɛɛ a lɔr sɛnɛ?
ISA.40.20	Wisan nɛ kpa mɔ
ISA.40.20	wen mboo sɔ̧ nɛ lɔr in bu-mbɔi hegɔ‘i na
ISA.40.20	tɛ kii kɔ‘i nɛ de be ŋga te ha̧ wi-sɛk-te,
ISA.40.20	ɓɛɛ wi’ɛi sɛka nɛ sɔ̧ ha̧ a̧.
ISA.40.21	Ɛnɛ iŋ so na?
ISA.40.21	Ɛnɛ zii so na?
ISA.40.21	Wa usi so a̧ nɛ ku̧u̧naŋ-a h’ɛ́nɛ́ na?
ISA.40.21	Ɛnɛ iŋ so wi-de-nù na nde?
ISA.40.22	Fara-duk kɔ̧-a̧ si ŋgɔn see zu nu,
ISA.40.22	ɓɛɛ o bíí zaŋnu ya ti ɗɔɔ-aa
ISA.40.22	hee o gba-dɔya ga.
ISA.40.22	A̧ tata yiwese hee ŋma zɔ̧-laa ga,
ISA.40.22	hee ŋma tua-laa nɛ‘i nyɛma ɔɔ ɗɔɔ-aa ga.
ISA.40.23	A̧ dee ha̧ o wannu in o wan-gɔn-kita
ISA.40.23	zu nu’ɛ mɛ kifi geemɔ.
ISA.40.24	Ɗoŋ-wa tɛ nyɛi̧ tɛ baa fara, ɔ nɛ wan,
ISA.40.24	kà naŋ-wa nɔ nɛ nu na mbɛt,
ISA.40.24	ɓɛɛ kà ŋga búk mɛ kɔ̧ nú GASA WAN yo wa,
ISA.40.24	wa kora, ɓɛɛ búk'i ɓoɓa wa kai yaknɛ hee kora zɔ̧ ga.
ISA.40.25	«K’ɛ́nɛ́, ɛnɛ tɛ we'm nɛ o?
ISA.40.25	Mi hɔɔ ŋmaa in o?»
ISA.40.25	Sɔ̧, Sa̧a̧ Wi a̧ tɔ̧ wen’ɛ.
ISA.40.26	Ɛ̀nɛ̀ bá yí‘nɛ́ ɛ̀nɛ́ kɛ̧́í̧ mɔ si yiwese!
ISA.40.26	Nɛ o'o dee o sɔra o?
ISA.40.26	Ɛnɛ zɔk, wa ya hee o wi-biro
ISA.40.26	nɛ duk dɔ̧ɔ̧ wen biro
ISA.40.26	ɓɛɛ nɛ hɛra zaŋ ga.
ISA.40.26	Wa lɛŋ ya wen dee tom ha̧ a̧.
ISA.40.26	Ŋgai in gasamɔ kɔ̧-a̧ ɔ gasa.
ISA.40.26	Ŋma nin kpɔk mgbara wa nɛ tɛ yɔ a̧ bo na.
ISA.40.27	Ɛnɛ o be 
ISA.40.27	wen ge s’ɛnɛ tɔ̧‘e:
ISA.40.27	«GASA WAN zɔk mɔ nɛ hɔ zu yɛ,
ISA.40.27	Sɔ̧ k’ɛɛ iŋ yuwar mɔ k’ɛɛ na, ge?»
ISA.40.28	Ɛnɛ iŋ na?
ISA.40.28	Ɛnɛ zii so wen-aa na mbɛt?
ISA.40.28	GASA WAN nɛ dee nu nɛ oi gun
ISA.40.28	nɛ́ Sɔ̧ nɛ duk kpoo nɛ kpoo.
ISA.40.28	A̧ mbɔi na in a̧ wɔi na mbɛt;
ISA.40.28	ŋma bíí nɛ tɛ iŋ ndaa ɗukamɔ kɔ̧-a̧ bo na.
ISA.40.29	Mɛ nɛ a̧ a̧ ha̧ ŋgai ha̧ wi nɛ mbɔia,
ISA.40.29	in ha̧ wi nɛ wɔia mbɛt.
ISA.40.30	O ŋgaiwi mbɔi ɓɛɛ wɔia;
ISA.40.30	o ŋga-wi tir yɔɔ-mɔ tir ɓɛɛ yoo nu.
ISA.40.31	Ɓɛɛ ko o wi-e-ta nɛ GASA WAN,
ISA.40.31	wa kpa nɛ ŋgai siti.
ISA.40.31	Hiɗi-wa a̧a̧ sɛnɛ
ISA.40.31	ɓɛɛ wa duk hee zua ga;
ISA.40.31	wa war yi ɗoŋ-wa nyɛi̧, wa mbɔi na,
ISA.40.31	wa nɛ siti ɓɛɛ tɛ-wa wɔi na mbɛt.
ISA.41.1	O bíí mɛ nyɛi̧a fara,
ISA.41.1	ɛ̀nɛ̀ dúk nɛ oi nú ti'm;
ISA.41.1	o dukbíí lɛŋ a̧ kpa nɔɔ-ŋgiɗi!
ISA.41.1	Wa a̧ ɗɔŋ pii ti wen tɔ̧ɔ̧ wen;
ISA.41.1	ɛɛ lɛŋ, ɛ̀ɛ̀ nɛ́, ɛ̀ɛ̀ ɓá kita in o ŋmaa.
ISA.41.2	Wi nɛ dee ha̧ wi-gɔn-kita
ISA.41.2	nɛ yuwar-a mɛ daŋa-wese,
ISA.41.2	mɛ gan biro zu nu,
ISA.41.2	tir nɛ o wannu a nu,
ISA.41.2	gɔm nɛ o bíí nɛ gba-paa a mbɔɗɔnu,
ISA.41.2	yai nɛ wa nɛ goo a taŋ
ISA.41.2	hee búk a̧ pɛsi kora zɔ̧ ga’ɛ nɛ o,
ISA.41.2	bo nɛ mi na?
ISA.41.3	Wi’ɛi ndaka ɗoŋ wa nasi nɛ wa nɛnɛ,
ISA.41.3	ŋma mɔ fo tɛ-a na,
ISA.41.3	ɓɛɛ naŋ-a ndɔ nu na mbɛt.
ISA.41.4	Nɛ o'o dee mɔɔ nɔ‘i o?
ISA.41.4	Mɛ nɛ Wi nɛ sa o bíí nɛ ku̧u̧naŋ-a mɛ tɛnɛ.
ISA.41.4	Mi GASA WAN, mi duka so nɛ kuti-mɔ,
ISA.41.4	ɓɛɛ mi tɛ duk kana tɛ sɔŋkur mɔ mbɛt.
ISA.41.5	O bíí mɛ nyɛi̧a fara zɔka so mɔɔ nɔ‘i,
ISA.41.5	ɓɛɛ kíì de wa;
ISA.41.5	o bíí mɛ si ndaa-zan mɛ
ISA.41.5	gara tɛnɛ nɛ naka-tɛ.
ISA.41.6	O bíí gbak nɛ ŋmaa
ISA.41.6	tɔ̧ nɛnɛ‘e: «Mɛ̀ nɔ́ ŋgiɗi!»
ISA.41.7	Wi-sɛk-te ha̧ nɛ ŋgai ha̧ wi-nɔi̧-lɔr;
ISA.41.7	wi-nɔi̧-lɔr ha̧ nɛ nɔɔ-ŋgiɗi ha̧ wi-dui-mɔ,
ISA.41.7	ɓɛɛ wa zɔn nɛ tom ko o ŋmaa tɔ̧ nɛnɛ‘e: «Ɔ dee!»
ISA.41.7	Wa kaia o mɔɔ-nɔ‘i a kɔ̧ ŋmaa, ŋgai,
ISA.41.7	ɓɛɛ ba e ŋgɔn mɛ duk nɛ sɔ̧.
ISA.41.8	Jakob, mɛ́ bíí n'am hoka,
ISA.41.8	bezaŋ sɛm kɔ‘m Abraham!
ISA.41.9	Mi mgbɔɔ mɛ tɛnɛ nɛ nduti nu mɛ,
ISA.41.9	nɛ sɔŋkur nu mɛ a̧‘m saa nɛ mɛ.
ISA.41.9	Mɛ wi n'am tɔ̧ɔ̧ so ha̧ a̧‘e:
ISA.41.9	«Mɛ nɛ wi-de-tom kɔ‘m.
ISA.41.9	Mi hoka mɛ, ɓɛɛ bo nɛ mi siŋa mɛ pi̧ nu na.»
