MAT.1.1	Koi kani'imari a susunganna puli ni Yesus Kristus, men lee' ni Daud ka' lee' ni Abraham.
JHN.9.8	Kasee mian men pookarani'anna laigan ka' mian men ninginti'i se' i ia mbaripian sa'angu' mian men mo'ase'-ase', norobumo taena i raaya'a, “Taasi' mianmo kani'i a men sinampang mo'ase'-ase'?”
JHN.9.9	Isian mian men nangaan, “Tuutuu', mianmo kani'i.” Isian uga' men nangaan, “Taasi' i ia. Ia tongko' pookoikoianna mian iya'a.”
JHN.9.9	Kasee mian iya'a nangaan taena, “Daa tuutuu' i yaku'mo.”
JHN.9.10	Taena mian, “Koi upa mbali' se' daa i koo nopoopiile'mo?”
JHN.9.11	Ia simbati mian iya'a taena, “Mian men ngaanion Yesus nangalauk inor-Na tia tano' ka' nenggegeskon na matangku ka' nomosuu' i yaku' tae-Na, ‘Rae' na kolam Siloam ka' pirurup.’ Kasi i yaku' nomae' ka' sarataa nirurup, yaku' nopoopiile'mo.”
JHN.9.12	Taena i raaya'a, “Aanamo a mian iya'a?”
JHN.9.12	Taena mian iya'a, “Yaku' sian ninginti'i.”
JHN.9.13	Kasi i raaya'a nangawawa mian men mampisok mbaripian iya'a na mian Farisi. 
JHN.9.14	Tempo i Yesus nangalauk inor-Na tia tano' ka' nompopotarang matana mian iya'a, na ilio Sabat. 
JHN.9.15	Mbali' iya'a mian Farisi nimikirawarmo na mian iya'a koi upa se' daa i ia nopoopiile'mo. Ia simbati taena, “Ia nenggegesi matangku tia tano' men nilauk inor kasi i yaku' nirurup ka' koini'i i yaku' nopoopiile'mo.”
JHN.9.16	Toro pii mian Farisi norobu taena, “Mian men nangawawau koi kani'i taasi' ringkat na Alaata'ala, gause i Ia sian mongololo' aturan na ilio Sabat.”
JHN.9.16	Mian Farisi sambana uga' norobu taena, “Kalu i Ia sa'angu' mian men dosaon, sian minsoop na akal se' daa momoko mangawawau upa kosamba' men koiya'a.” Mbaka' ninsidakonmo i raaya'a nopoogagai.
JHN.9.17	Mbali' iya'a mian Farisi nimikirawarimo mian iya'a soosoodo taena, “Ka' i koo, koi upa a pinginti'iim i Ia, gause i Ia nompopotarangmo mataam?”
JHN.9.17	Ia simbati taena, “Ia nabii.”
JHN.9.18	Kasee moomoola'na Yahudi sian parasaya se' mbaripian i ia mampisok, ka' koini'i nopoopiile'mo. Mbali' iya'a, raaya'a nengeleelo'mo minti'ina, 
JHN.9.19	ka' nimikirawar taena, “Kani'imo a anakmuu men taemuu se' mampisok ngame-ngamea'po? Kalu koiya'a, koi upa se' koini'i daa nopoopiile'mo?”
JHN.9.20	Ia simbati minti'ina mian iya'a taena, “Tuutuu'. Ia kani'i anakmai men ngame-ngamea'po mampisok, 
JHN.9.21	kasee koi upa se' koini'i daa nopoopiile'mo, kai sian ninginti'i, ka' uga' sian kai inti'i se' i ime a nompopotarang matana. Alaka' pikirawar na ko'ona, ia daa balaki'mo. Ia sida muntundunkon i kuu.” 
JHN.9.22	Minti'ina norobu koiya'a, gause layaonkon moomoola'na Yahudi, gause i raaya'a nosangadamo kalu ime a men mangaan se' i Yesus a Tomundo' Pansalamatkon, ia sianmo poturangon minsoop na laigan bakitumpuan. 
JHN.9.23	Koiya'a mbali' minti'ina norobu taena, “Pikirawar na ko'ona, ia daa balaki'mo.”
JHN.9.24	Kasi i raaya'a nengeleelo' soosoodo mian men mbaripian mampisok iya'a ka' norobu taena, “Bantilkon a tuutuu'na na aropna Alaata'ala. Kai inti'i se' mian iya'a dosaon.”
JHN.9.25	Ia simbati taena, “Mian iya'a dosaon kabai se' sian, yaku' sian ninginti'i. Kasee men yaku' inti'i, mbaripian yaku' mampisok ka' koini'i daa nopoopiile'mo.”
JHN.9.26	Taena i raaya'a, “Upa a men Ia limang na ko'oom? Koi upa i Ia ninsidakon i koo nopoopiile?”
JHN.9.27	Ia simbati taena, “Yaku' poko bantilkonmo na ko'omuu, kasee i kuu sian namarasaya. Mbaka' bo upamuu ka' dauga' momorongor soosoodo? Kabai i kuu uga' mingkira' sida bo murit-Na?”
JHN.9.28	Kasi i raaya'a ningiroki ka' norobu taena, “Koo a muritna mian iya'a, kasee i kai murit ni Musa. 
JHN.9.29	Kai inti'i se' Alaata'ala norobu ni Musa, kasee i Ia sian kai inti'i mbaria a noringkatan-Na.”
JHN.9.30	Taena mian iya'a, “Kosamba' tuu' se' i kuu sian ninginti'i noringkatan-Na tamban i Ia ninsidakon i yaku' poopiile. 
JHN.9.31	Kita poto'inti'i se' Alaata'ala sian momorongori mian dosaon, kasee momorongori mian men malolo' ka' mingilimang men kikira'-Na. 
JHN.9.32	Mbaripianpo pataka koini'i sianpo nitoorongor se' isian mian men nengelesi'i mian men mampisok ngame-ngamea'po sida poopiile'. 
JHN.9.33	Kalu se' mian iya'a taasi' norumingkat na Alaata'ala Ia sian sida mangawawau upa-upa.”
JHN.9.34	Ia simbati i raaya'a taena, “Koo kani'i dosaon ngame-ngamea'po ka' i koo mimisiso' i kai?” Mbaka' supu iya'a i ia sianmo nipoturang minsoop na laigan bakitumpuan.
JHN.9.35	Ia rongor i Yesus se' mian iya'a sianmo ia poturang i raaya'a minsoop na laigan bakitumpuan, mbaka' ia sarakmo i Yesus a mian iya'a ka' norobu na ko'ona taena, “Parasayaoon a Anak Manusia?”
JHN.9.36	Ia simbati taena, “Tuan, ime mbali' i Ia, kada' i yaku' parasaya na Ko'ona?”
JHN.9.37	Taeni Yesus, “Koo noko pimiile'mo i Ia. Iamo a men pintanga' batundun tii koo koini'i.”
JHN.9.38	Taena mian iya'a, “Parasayaonku i kuu, Tumpu.” Kasi ia nobanintuur nonsoosa' i Yesus.
JHN.9.39	Taeni Yesus, “Yaku' taka na tano' balaki' bo pungukumi, kada' ime a men sian poopiile' sidakonon poopiile', ka' ime a men mangaan se' wakana daa poopiile', ia bo sidakonon mampisok.”
JHN.9.40	Wurung ni Yesus iya'a ia rongor toro pii mian Farisi men isian iraando'o, mbaka' i raaya'a norobumo ni Yesus taena, “Kalu koiya'a, kai kani'i mbali' mampisok?”
JHN.9.41	Taeni Yesus, “Kalu se' i kuu mampisok, kuu sian dosaon. Kasee i kuu nangaan, ‘Kai poopiile',’ mbaka' i kuu dauga' dosaon.”
JHN.10.1	“Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu se' ime a men minsoop na eko'anna domba see taasi' lumiu na soopanna, kasee mimenek, mian men koiya'a mamangan ka' mian puraga. 
JHN.10.2	Kasee ime a men minsoop lumiu na soopan, ia a pontondong domba. 
JHN.10.3	Dadagai eko'an mengeleaki soopan bona pontondong, ka' domba momorongori wurungna pontondong ka' i ia mengeleelo' dombana koi ngaanna sanda-sanda' ka' nantandan umuar. 
JHN.10.4	Kalu giigii' dombana uarkononnamo na liwana, ia mae' na olukon ka' dombana tumuntun na komburi'na, gause i raaya'a mongoos wurungna. 
JHN.10.5	Domba iya'a bude' mongololo' mian sambana. Raaya'a tongko' mamarere, gause wurungna mian sambana sian inti'ionna i raaya'a.”
JHN.10.6	Koiya'a a timbaani' men ia tundunkon i Yesus na mian Farisi, kasee i raaya'a sian ninginti'i se' upa a panduung-Na.
JHN.10.7	Mbaka' i Yesus norobumo soosoodo tae-Na, “Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu se' Yaku'mo a soopan bona domba. 
JHN.10.8	Giigii' mian men notaka mongolukoni i Yaku', raaya'a mamangan ka' mian puraga kasee a domba iya'a sian momorongori i raaya'a. 
JHN.10.9	Yaku' a soopan iya'a. Kalu ime a minsoop lumiu na Ingku', ia bo salamat ka' i ia bo minsoop ka' umuar mantausi kakaan. 
JHN.10.10	Men mamangan tongko' taka mamangan ka' mampapatei ka' minsilaka'i. Yaku' taka kada' i raaya'a sida tumuo', ka' isian tutuo' men pore tuu'.
JHN.10.11	Yaku' a pontondong men ma'amat. Pontondong men ma'amat mongorookon noana bona dombana. 
JHN.10.12	Kasee sa'angu' mian men tongko' tamboion men taasi' pontondong, ka' men taasi' tombonona domba iya'a, sarataa mimiile' serigala taka, ia tumetende' mamarerei domba iya'a. Mbaka' serigala iya'a mongorongkobimo ka' mengerensa-rensakon domba iya'a. 
JHN.10.13	Mian men nitamboi iya'a mamarere, gause mian iya'a balimang tongko' mansarak tambona. Ia sian mingimamat domba iya'a. 
JHN.10.14	Yaku' a pontondong men ma'amat. Yaku' minginti'i dombang-Ku ka' dombang-Ku minginti'i i Yaku', 
JHN.10.15	Koimo Tama na surugaa minginti'i i Yaku' ka' i Yaku' minginti'i Tama na surugaa. Yaku' mongorookon noang-Ku bona dombang-Ku.
JHN.10.16	Dauga' isian dombang-Ku sambana, men taasi' na eko'an kani'i. Domba iya'a tio uga' bo wawaon-Ku ka' i raaya'a bo momorongor wurung-Ku. Raaya'a wiwi'na bo sida sa'angu' lulusan men tondongonna sa'angu' mian.
JHN.10.17	Tama na surugaa molingu'kon i Yaku', gause i Yaku' mongorookon noang-Ku men bo mule'kon na Ingku' soosoodo. 
JHN.10.18	Sianta sa'angu'po mian momoko mamantas noang-Ku kalu sianta rookonon-Ku, kasee i Yaku' a men mongorookon koi pingkira'-Ku. Yaku' kuasaan mongorookon ka' kuasaan mangala soosoodo. Ya'amo a kuasa men Yaku' labot na Tamang-Ku na surugaa.”
JHN.10.19	Gause i Yesus norobu koiya'a, mbaka' samba Yahudi nopoogagaimo. 
JHN.10.20	Biai' a mian norobu taena, “Ia nolampingonmo na meena ka' i Ia lengang! Bo upamuu ka' momorongori i Ia?”
JHN.10.21	Kasee isian uga' men norobu taena, “Mian men lampingionna meena sianta morobu koiya'a! Sida mbali' a meena mompopotarang matana mian mampisok?”
JHN.10.22	Na Yerusalem mian pintanga' mangaramekon Nomokereran Laiganna Alaata'ala. Ya'a nosida na tempo memel. 
JHN.10.23	Yesus rae-rae' na Laiganna Alaata'ala na gandaria men ngaanon Gandaria Salomo. 
JHN.10.24	Mbaka' samba Yahudi nintikumimo i Ia ka' norobu na Ko'ona taena, “Pataka ipi i Kuu mamatalai i kai tumuo' sian kabubuana? Alia mompopowuni, bantilkon na ko'omai kalu tuutuu' i Kuumo a Tomundo' Pansalamatkon.”
JHN.10.25	Ia simbati i Yesus tae-Na, “Yaku' poko bantilkonmo na ko'omuu, kasee i kuu sian mamarasaya. Giigii' upa kosamba' men Yaku' limangmo iya'a mimpu'u na Tamang-Ku na surugaa, ka' limang iya'a a men mompotuutuu' i Yaku'. 
JHN.10.26	Kasee i kuu sian parasaya, gause i kuu sian tonsoop dombang-Ku. 
JHN.10.27	Men dombang-Ku sabole momorongori wurung-Ku. Yaku' minginti'i i raaya'a ka' i raaya'a mongololo' i Yaku'. 
JHN.10.28	Yaku' mantarai i raaya'a tutuo' men pore pataka sidutu ka' i raaya'a sianta lapus. Sianta sa'angu'po mian men momoko mangarampasi i raaya'a na limang-Ku. 
JHN.10.29	Tamang-Ku na surugaa a men nongorookon i raaya'a na Ingku', ka' i Ia a balaki'na tia mian giigii'. Sianta sa'angu'po mian men momoko mangarampasi i raaya'a na lima-Na. 
JHN.10.30	Yaku' tia Tama na surugaa iya'a sa'angu'.”
JHN.10.31	Kasi samba Yahudi nangala watu soosoodo mangalapak i Yesus.
JHN.10.32	Kasee i Yesus norobu na ko'ona i raaya'a tae-Na, “Biai' a palimangon pore men ia posuu'kon Tamang-Ku na surugaa men Yaku' pipiile'konmo na ko'omuu. Giigii' palimangon-Ku iya'a, aana a men minsidakon i kuu mangalapak i Yaku'?”
JHN.10.33	Taena samba Yahudi, “Taasi' se' i Koo ningilimangmo men pore mbali' se' i kai mangalapak tia watu, kasee ka' i Koo mingidek Alaata'ala. Koo tongko' mian, kasee mangaan wakaam koikoimo tia Alaata'ala.”
JHN.10.34	Kasi ia simbati i Yesus tae-Na, “Taasi' uga' isian nitulis na kitap Toratmuu: Taena Alaata'ala, ‘Kuu mase alaata'ala?’
JHN.10.35	Kita poto'inti'i se' upa men nitulis na Alkitaap bo sida pataka sidutu. Alaata'ala nantarai ngaan alaata'ala na mian men nomorongor wurung iya'a. 
JHN.10.36	Ansee kalu koiya'a, kadai se' i kuu mangaan i Yaku' mingidek Alaata'ala gause i Yaku' nuntundun se' i Yaku' Anakna Alaata'ala? Kada' bo inti'ionmuu se' i Yaku' ia rurukimo Alaata'ala ka' niposuu' na tano' balaki'. 
JHN.10.37	Kalu men limangon-Ku taasi' palimangon men ia posuu'kon Tama na surugaa, alia mamarasaya i Yaku'. 
JHN.10.38	Maune' i kuu bude' parasaya na Ingku', kasee ka' Yaku' limangmo a palimangon men ia posuu'kon Tama na surugaa iya'a, mbaka' parasayamo a upa men Yaku' limang iya'a, kada' i kuu poo'inti'i ka' minginti'i se' Tama na surugaa poowawa pore tii Yaku' ka' i Yaku' tia Tama na surugaa poowawa pore.”
JHN.10.39	Raaya'a momoosarak soosoodo bo mangarakop i Yesus, kasee sian ia dapot i raaya'a.
JHN.10.40	Kasi i Yesus nomae' soosoodo ka' nodumodongo na sambotakna Weerkauna Yordan men nansaranian ni Yohanes mian mbaripian.
JHN.10.41	Biai' a mian men taka na Ko'ona ka' i raaya'a pootundunii taena, “Yohanes sian nangawawau upa kosamba', kasee giigii' upa men ia bantilkonmo muntundun mian iya'a tuutuu'.” 
JHN.10.42	Mbaka' indo'o nobiai'mo a mian men namarasaya i Yesus.
JHN.11.1	Isian sa'angu' mian men pintanga' manggeo, ngaanna i Lazarus. Dodongoanna na kampung Betania tia utusna ai Maria tii Marta. 
JHN.11.2	(Mariamo kani'i a wiwine men mbaripian nintimbu'kon minamina' muur men mawangi na sarat ni Tumpu Yesus ka' nansapui tia wuukna. Ia moto'utus tii Lazarus men manggeo iya'a.)
JHN.11.3	Rua-rua'na utusna iya'a nengelelekonmo ni Yesus taena, “Tumpu, utusmai men kolingu'um iya'a manggeo.”
JHN.11.4	Sarataa nongorongor lele iya'a, Yesus norobumo tae-Na, “Nggeona sian kolapus, kasee bo pimpipiile'kon kobalaki'anna Alaata'ala, gause tia nggeo iya'a Anakna Alaata'ala bo pobalaki'on.”
JHN.11.5	Yesus tuutuu' mongkolingu'kon i Marta, Maria, ka' i Lazarus. 
JHN.11.6	Kasee tempo i Yesus nongorongor se' i Lazarus manggeo, Ia sianpo liuliu nomae' ni Lazarus. Ia dauga' nantalekon nodumodongo koi ruangilio na tampat iya'a. 
JHN.11.7	Noko daa iya'a ai Yesus norobumo na murit-Na tae-Na, “Mai kita mule'konmo na Yudea.”
JHN.11.8	Ia simbati murit-Na taena, “Guru, sianpo nanau' a samba Yahudi boomo mangalapak i Kuu tia watu, mune' daa koini'i i Kuu bo mae' soosoodo na dodongoanna i raaya'a!”
JHN.11.9	Taeni Yesus, “Taasi' uga' isian sompulo' rua' jaam a sangilio? Ime a men mae' na tempo ilio, saratna sian tonsude, gause i ia mimiile' ruar na tano' balaki' kani'i. 
JHN.11.10	Kasee kalu sa'angu' mian mae' na tempo malom, saratna bo tonsude, gause sianta ruar na wakana.” 
JHN.11.11	Koiya'a a men ia tundun i Yesus. Kasi Ia norobu tae-Na, “Lazarus lulusanta tinomporoyotmo, kasee i Yaku' bo mae' mangawangonkon i ia.”
JHN.11.12	Taena murit-Na, “Tumpu, kalu i Lazarus tongko' tinomporoyot, ia sabole bo malesi'.” 
JHN.11.13	Yesus ninginti'i se' i Lazarus nolapusmo. Kasee murit-Na nansarui se' i Yesus nangaan i Lazarus tongko' tinomporoyot. 
JHN.11.14	Mbali' iya'a ia popopanasakonmo i Yesus na ko'ona i raaya'a tae-Na, “Lazarus nolapusmo. 
JHN.11.15	Kasee i Yaku' beles daa sianta inda'a. Gause koiya'a a porena bo ko'omuu, kada' i kuu sida parasaya. Koini'i mai kita mae' ni Lazarus.”
JHN.11.16	Tomas men ngaanon i Rapi' norobu na murit ni Yesus sambana taena, “Mai kita lumolo', sobii mau i kita pate tii ia!”
JHN.11.17	Sarataa i Yesus notaka na tampat ni Lazarus, Lazarus noko paatmo ilio a nantanoman. 
JHN.11.18	Betania pookarani' tia Yerusalem, kopoo'oloana toro tolu' kilometer, 
JHN.11.19	mbali' biai' samba Yahudi notaka nengelego'i i Marta tii Maria bo mantata'u i raaya'a gause utusna i raaya'a nolapusmo.
JHN.11.20	Sarataa i Marta nomorongor se' i Yesus notakamo, ia nomae'mo nangalaboti i Yesus, kasee i Maria monda'a na laigan. 
JHN.11.21	Marta norobumo ni Yesus taena, “Tumpu, kalu se' i Kuu nokotakamo tempo iya'a, sabole utusku sian lapus. 
JHN.11.22	Maune' koiya'a, inti'ionku se' koini'i uga' Alaata'ala bo mantarai upa men pa'ase'on-Muu na Ko'ona.”
JHN.11.23	Ia simbati i Yesus tae-Na, “Utuus bo tumuo' soosoodo.”
JHN.11.24	Taeni Marta, “Yaku' inti'imo se' i Lazarus bo tumuo' soosoodo na tempo pomotuo'ian mian lapus na ilio kokomburi'anna.”
JHN.11.25	Taeni Yesus, “Yaku' a bo pomotuo'i mian lapus ka' bo pantarai tutuo' men pore pataka sidutu. Mian men parasaya na Ingku' bo tumuo', maune' i ia noko lapusmo. 
JHN.11.26	Ka' mian tumuo' men parasaya na Ingku' sian lapus pataka sidutu. Parasayaoonmo a men koiya'a?”
JHN.11.27	Taeni Marta, “Tumpu, yaku' parasaya se' i Kuu Anakna Alaata'ala, Tomundo' Pansalamatkon men bo taka na tano' balaki' kani'i.”
JHN.11.28	Sarataa i Marta norobu koiya'a, ia nomae'mo nondolo' utusna i Maria ka' nenseasokon taena, “Guru isian kaya'amari. Ia nimikirawar i koo.” 
JHN.11.29	Nomorongor koiya'a, Maria liuliu norumingkat kasi nomae' nomootuungi i Yesus. 
JHN.11.30	Tempo iya'a, Yesus koo'po ninsoop na kampung. Ia dauga' na tampat men nomootuungian ni Marta. 
JHN.11.31	Samba Yahudi men pintanga' mantata'u i Maria na laigan, nimiile' i Maria norumingkat ka' liuliu no'umuar. Mbaka' i raaya'a nongololo'mo i ia, gause taena i raaya'a too i ia bo mae' na baleanan ka' wiri.
JHN.11.32	Sarataa i Maria notaka ni Yesus ka' nimiile' i Ia, Maria nobanintuurmo na arop ni Yesus ka' norobu taena, “Tumpu, kalu se' i Kuu notakamo tempo iya'a, sabole utusku sian lapus.”
JHN.11.33	Tempo i Yesus nimiile' i Maria tia samba Yahudi men notaka tii ia wiri, mbaka' i Yesus nasiongo'mo nolingu'kon tuu' i raaya'a. 
JHN.11.34	Taeni Yesus, “Aana a nantanomanmuu i ia?”
JHN.11.34	Ia simbati i raaya'a taena, “Tumpu, mai piile'.”
JHN.11.35	Kasi i Yesus nowiri. 
JHN.11.36	Mbaka' samba Yahudi norobumo taena, “Piile'! Ia molingu'kon tuu' i Lazarus!”
JHN.11.37	Kasee isian mian men norobu taena, “Ia mompopotarang matana mian mampisok, kadai se' i Lazarus sian Ia lesi'i kada' sian lapus?”
JHN.11.38	Yesus nasiongo'mo soosoodo, kasi nomae' na baleanan. Baleanan iya'a sa'angu' leeng men ni'ompodi tia watu balaki'.
JHN.11.39	Yesus norobumo tae-Na, “Anui a watu kanono'!”
JHN.11.39	Ia simbati i Marta, utusna mian men nolapus iya'a, taena, “Tumpu, ia noko paatmo ilio a nantanoman. Sabole bobosi'mo!”
JHN.11.40	Taeni Yesus, “Taasi' uga' Yaku' poko bantilkonmo na ko'oom: Kalu i koo parasaya, koo bo mimiile' kuasana Alaata'ala men balaki' tuu'?” 
JHN.11.41	Mbaka' i raaya'a nanganuimo watu iya'a. Kasi i Yesus nolumelengea' na langit ka' norobu tae-Na, “Tama na surugaa, sukuur na Ko'omuu, gause i Kuu daa nomorongor i Yaku'. 
JHN.11.42	Inti'ion-Ku se' i Kuu sinampang momorongor i Yaku', kasee i Yaku' muntundunkon kani'i bona mian men isian karaani'i, kada' i raaya'a mamarasaya se' i Kuumo a men nomosuu' i Yaku'.” 
JHN.11.43	Sarataa norobu koiya'a, Yesus norobumo boolak soosoodo tae-Na, “Lazarus, mai uar!” 
JHN.11.44	Mbaka' no'umuarmo a mian men nolapusmo iya'a. Limana tia saratna dauga'na balu-balun tia toik pobalun biibii, ka' ro'upna dauga'na sa'u-sa'ubi tia toik sasa'ubi ro'up. Kasi i Yesus norobu na mian men iraando'o tae-Na, “Anui a toik pobalunna kada' i ia sida mae'!”
JHN.11.45	Biai' a samba Yahudi men notaka nengelego'i i Maria. Gause i raaya'a nimiile' upa men ia wawau i Yesus, mbaka' i raaya'a noparasayamo na Ko'ona. 
JHN.11.46	Kasee isian i raaya'a toro pii ira men nomae' na mian Farisi ka' nambantilkon upa men ia wawau i Yesus. 
JHN.11.47	Mbali' iya'a mian Farisi ka' tanaasna imam nobarimpungmo tia Mahkama Agama. Raaya'a norobumo taena, “Upa a men tio wawauonta? Mian iya'a mangawawau biai' upa kosamba'. 
JHN.11.48	Kalu patalaionta i Ia koi kani'i liuliu, giigii' mian bo parasaya na Ko'ona, ka' samba Roma bo taka munsurung Laiganna Alaata'alanta ka' munsurung lipu'ta.”
JHN.11.49	Isian sa'angu' mian na ko'ona i raaya'a men ngaanna ai Kayafas. Ia Imam Moola' na taun iya'a. Ia norobu na ko'ona i raaya'a taena, “Kuu sianta upa inti'ionmuu. 
JHN.11.50	Sian mbali' inti'ionmuu se' bagiakon sa'angu' mian bo lapus, dako' giigii' lipu'ta kobaraba'ian?” 
JHN.11.51	Kayafas mangaan men koiya'a, taasi' pingkira'na suungna, kasee pingkira'na Alaata'ala. Gause na taun iya'a iamo a Imam Moola', mbaka' bookoi i ia uga' nuntundunkonmo men sianta ia inti'i se' i Yesus bo lapus bona samba Yahudi kada' i raaya'a sida salamatkonon. 
JHN.11.52	Ka' taasi' tongko' bona samba Yahudi, kasee uga' bo mingirimpung ka' momosa'angu' anakna Alaata'ala men sinangkarensa.
JHN.11.53	Muntumbei ilio iya'a moomoola'na Yahudi nobasangadamo bo mampapatei i Yesus. 
JHN.11.54	Mbali' iya'a, Yesus sianmo nintipiile' na samba Yahudi. Ia namarereimo kota Yerusalem men na lipu' Yudea, kasi nomae' na kota Efraim karani' tano' maleas. Na kota Efraim iya'a Ia nodumodongomo tia murit-Na.
JHN.11.55	Tempo iya'a karani'mo a ilio ramean Paska na samba Yahudi. Koo'po tia ilio iya'a, biai' a mian na kampung nomae' na Yerusalem bo mongololo'kon aturan pongoloe'ian waka. 
JHN.11.56	Na tempo i raaya'a nobarimpung na Laiganna Alaata'ala, raaya'a nansarakmo i Yesus. Raaya'a nopoopikirawarimo taena, “Koi upa a pinginti'imuu? Kabai i Yesus sianmo taka na ramean kani'i.” 
JHN.11.57	Raaya'a muntundun koiya'a, gause tanaasna imam tia mian Farisi nunguarkon aturan, kalu ime a minginti'i se' aana i Yesus, tio mambantilkon na ko'ona i raaya'a kada' bo rakoponna.
JHN.12.1	Dauga' koi noom ilio a ilio ramean Paska, Yesus nomae'mo na Betania. Betania iya'a dodongoan ni Lazarus men ia potuo'i i Yesus noko daa lapus. 
JHN.12.2	Indo'o ari Lazarus nangalabotimo i Yesus ka' i Marta nantaropi kumaan na basukuuranna. Lazarus tia giigii' sawe' no'umoruang kumaan singka-singkat tii Yesus. 
JHN.12.3	Mbaka' i Maria notakamo nangawawa toro sambande' liter minamina' narwastu men mawangi ka' alayo' tuu' a ilina. Maria nintimbu'konmo minamina' iya'a na sarat ni Yesus kasi ia sapui tia wuukna. Woona minamina' iya'a simomoran longkop lalomna laigan. 
JHN.12.4	Kasee i Yudas Iskariot, sa'angu' murit ni Yesus men bo mongorookon i Yesus kada' papateion, norobu taena, 
JHN.12.5	“Nongko'upa se' minamina' narwastu kani'i sian balukkonon tolu' atu doi' dinar ka' a ilina rookonon bona mian talalais?” 
JHN.12.6	Yudas norobu koiya'a taasi' se' molingu'kon mian talalais, kasee ka' i ia mamangan. Ia mala' mangala doi'na mian biai' men ninaa' na ko'ona.
JHN.12.7	Kasee i Yesus norobu tae-Na, “Patalai a wiwine kani'i! Ia mangawawau koi kani'i bona ilio pantanoman i Yaku'. 
JHN.12.8	Mian talalais sinampang isian na ko'omuu, kasee i Yaku' sian.”
JHN.12.9	Biai' a samba Yahudi nongorongor se' i Yesus isian na Betania, mbaka' i raaya'a nomae'mo na Betania. Raaya'a nomae' taasi' tongko' gause isian i Yesus, kasee i raaya'a mae' mimiile' i Lazarus men ia potuo'i i Yesus noko daa lapus. 
JHN.12.10	Mbali' iya'a tanaasna imam nobasangadamo bo mampapatei i Lazarus. 
JHN.12.11	Gause upa men nosida ni Lazarus iya'a, mbaka' biai' a samba Yahudi namarerei tanaasna imam ka' namarasaya i Yesus.
JHN.12.12	Koi liilana mian biai' men notakamo mangaramekon ramean Paska nongorongor se' i Yesus banta-bantang ro'omari na salan mae' na Yerusalem. 
JHN.12.13	Mbaka' i raaya'a nangalamo roonana kau kasi mae' mangalaboti i Ia, ka' i raaya'a mangkakaro'kon taena,
JHN.12.13	“Tunde' a Alaata'ala!
JHN.12.13	Barakaatan i Ia men taka ia pokau Tumpu.
JHN.12.13	Barakaatan a Tomundo'na Israel!”
JHN.12.14	Yesus nantausi sa'angu' keledai rundara bo nolakitan-Na. Mbaka' nosidamo a men nitulis na Alkitaap taena,
JHN.12.15	“Alia matakut i kuu mian na Sion!
JHN.12.15	Piile' a Tomundo'muu taka, lumakit na keledai rundara!”
JHN.12.16	Na tempo iya'a murit ni Yesus sianpo ninginti'i giigii' iya'a. Kasee sarataa i Yesus nipopobalaki' noko daa lapus, kasi i raaya'a notonginau' se' men ia wawau mian na Ko'ona nipoko tulismo na Alkitaap.
JHN.12.17	Mian biai' men isian tii Yesus na tempo i Ia nengeleelo' i Lazarus umuar na baleanan ka' nomotuo'i noko daa lapus, raaya'a mompotuutuu' wawau ni Yesus iya'a. 
JHN.12.18	Mbali' iya'a mian biai' nomae'mo ni Yesus, gause i raaya'a nongorongor se' i Iamo men nangawawau upa kosamba' iya'a. 
JHN.12.19	Mbaka' mian Farisi nopootunduniimo taena, “Kita sian sida mangawawau upa-upa! Piile', giigii' mian na tano' balaki' mae' mongololo' i Ia!”
JHN.12.20	Isian uga' samba Yunani toro pii ira men nomae' na Yerusalem na tempo ilio ramean Paska. 
JHN.12.21	Raaya'a notaka ni Filipus ka' norobu taena, “Tuan, kalu sida, kai mingkira' pootuung tii Yesus.” (Filipus samba Betsaida men na Galilea.)
JHN.12.22	Mbaka' i Filipus nomae'mo nambantilkon ni Andreas, ka' noko daa iya'a, raaya'a rua' ira nambantilkonmo ni Yesus. 
JHN.12.23	Yesus norobumo na ko'ona i raaya'a tae-Na, “Temponamo Anak Manusia bo pobalaki'on. 
JHN.12.24	Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu kalu sawuras gandum sianta asokon na tano' ka' pate, ia tongko'-tongko'na sawuras. Kasee kalu wuras na gandum iya'a pate, ia bo ule'an biai' gandum.
JHN.12.25	Mian men tongko' mingimamat wakana susuung, komburi'na bo silaka' a wakana, kasee mian men sian mingimamat wakana na tano' balaki' kani'i, ia bo mantausi tutuo' men pore pataka sidutu.
JHN.12.26	Mian men bo papalimang-Ku tio mongololo' i Yaku' kada' mau mbaria i Yaku', ia isian tii Yaku'. Mian men bo papalimang-Ku bo angga'ionna Tamang-Ku.”
JHN.12.27	Taeni Yesus, “Koini'i noang-Ku siasa. Upa a men tio bo tundunon-Ku? Kabai Yaku' tio mama'ase' na Tama na surugaa kada' Yaku' sianta munsuri men bo sida iya'a? Sian, gause Yaku' notaka kada' munsuri repaan men koini'i. 
JHN.12.28	Tama na surugaa, pobalaki' a ngaan-Muu!”
JHN.12.28	Mbaka' nokamporongoranmo a wurung nda'amari langit tae-Na, “Yaku' pobalaki'mo ka' bo pobalaki'on-Ku soosoodo.”
