MAT.1.1	Magtub ke ɔje dè girkà le Jésu-Krist ngonnkà David, ngonnkà Abraham, 
ROM.11.33	Hai! nyanbaw le Nube nga bò ngain! Kumkunju se nyanger le’n nga ngei de goto! Tà gang le Nube nga dum kɔrgir a, nyange ke è ɔje nga doo ase ger gir lé a tɔ. 
ROM.11.34	Magtub ke tò se ninn’n tam ede nè:
ROM.11.34	«Ké nan á ger tàgir le Kuwe-ɓee wa?
ROM.11.34	Ké nan á è njèkede’n gostà wa?
ROM.11.35	Ké nan á unn nyan ade Nube kété ɓita
ROM.11.35	Nube ade’n made taa’n gute wa?»
ROM.11.36	Oiyo, Kuwe-ɓee Nube kuwe á nyan malang in rann’t a, tò takul’n a, tò tede le’n a tɔ. Maje kade riɓar è le’n sár se non! Maje kade è titeke bè kuwe.
ROM.12.1	Ngakonmge, Nube ra se jéi kêmkanm ke bò. Gir’n ke nè á m’ndeje’n sei le kade unni ra si bere adi Nube ke nyankuje-mese ke tò kumgajer ke ɔje dè Nube a, ke taa kum’n a tɔ. E ke nè á è nyan kunn ke gete ke uwe made nan se tà le Nube. 
ROM.12.2	Umi nan’t lêtêt se dooge ke ndii dè nang nè ɗarinè nga lé. Nè inyei Nube adi tel sei ke dooge ke kige a, ade ade sei tàgir ke kige a tɔ. Titeke bè á a i teri nyan ke maje ke kêm Nube ndige a, nyan ke maje ɔr njêt ke à taa kum’n ɗekm a tɔ.
ROM.12.3	Nube uwe se’m noje ke bò. Gir’n ke nè á m’ede’n sei karé-karé malang le kade undei kumkunju dè ra si’t ɔje dè tàgir le si. Maje kade nanan géa aw se tàgir ke ase dè tɔge kundekêm ke Nube ɔje ɗike’n ade’n nga. 
ROM.12.4	J’awi se balkum ra jéige bule kêm danra jéi ke karé’t nè kuwe. Nè kule ra de tò gai-gai. 
ROM.12.5	Titeke bè, jèi géa jè bulei tɔ; jè teli jèi danra ke karé bere takul kum ke j’umi nan’t bɔk se Krist nga. Bè ɓaa, jèi malang jèi balkum ra nan. 
ROM.12.6	Nè nanan géa dann jéi’t aw se nyan-noje ke ɔje dè’n-dè’n se go noje ke Nube uwe se’n. Ke nè á doo karé inge nyan-noje ke ɔje dè ribe dè tà ke tà Nube’t ɓaa, maje kade ule’n dingem kêm ngakonnge’t ade ase dè tɔg kundekêm ke Nube ɔje ɗike’n ade’n nga. 
ROM.12.7	Ke nè á doo karé inge nyan-noje ke ɔje dè nobo nyan njéndooge ɓaa, maje kade tɔse kum’n dè’t. Ke nè á doo karé inge nyan-noje ke ɔje dè ndó nyan dooge ɓaa, maje kade tɔse kum’n dè nyan-ndó’t. 
ROM.12.8	Ke nè á doo karé inge nyan-noje ke ɔje dè ndeje madennge ɓaa, maje kade tɔse kum’n dè ndeje madennge’t. Nanan ke inge nyan-noje ke ɔje dè kade nyan dooge ɓaa, maje kade ade se kêm’n ke karé. Nanan ke inge nyan-noje ke ɔje dè kɔr non dooge ɓaa, maje kade ra se rakɔlé. Nanan ke inge nyan-noje ke ɔje dè ra kêmkanm ɓaa, maje kade ra se ranel.
ROM.12.9	Maje kade tár nan le si è ngarankum tár nan. Ɔri nyan ke majelé njêt. Nè i ligri dè nyanra ke maje’t lagr-lagr. 
ROM.12.10	I tári nan tite ngakon nange bè se kêmnda káng. Ilei riɓar dè njé ke rang’t adi dum dè riɓar le si sei. 
ROM.12.11	Adi ra si wɔi sei lé. Nè i rai kule se rakɔlé adi Kuwe-ɓee. 
ROM.12.12	I rai ranel dè nyan ke sei undei kêm si tchên dè’t nga. Oréi tà si njak dann nyantosowur’t ɔji tà se Nube se ndɔge malang m ebi’t lé. 
ROM.12.13	I rai se njétaakêm-Kristge dè nyange ke nal de. I pabri mbage par-par. 
ROM.12.14	I tɔri ndu si dè njé ra kum si ndooge. I tɔri ndu si dè de’t m ɔri se de lé. 
ROM.12.15	I rai ranel se njé ke ndii à rai ranel; i non-in se njé ke ndii à non-in. 
ROM.12.16	Adi tàgir le si è karé. Adi ngur k’ee doo ke bò dann made sige’t ra sei pênn-pênn lé. Nè adi ngur ra kule ke pêli-pêli se ngonn koje tá ra sei. An-in ra si ke njékumkunjuge lé.
ROM.12.17	Ke nè á doo ra sei majelé ɓaa, i tel i ra se’n majelé gute made’t lé. I sangi rebe le ra nyan ke maje tàkum dooge’t malang. 
ROM.12.18	I ndii se kêmlom se dooge malang; ke nè á asikum ra ɓaa, i rai. 
ROM.12.19	Ngakonmge ke m’tár sei, i dali ban le si sei kuwe se dè ra si lé. Nè inyei loo adi Nube kuwe gangtà dè njé ra sei majelége, tede Kuwe-ɓee Nube kuwe tam kêm Magtub ke tò se ninn’n ede nè: «Dalban nga ɔje dè’m, è man kuwe á m’a kade kure nyanra nanan géa à ɔde kum’n.» 
ROM.12.20	Ke nè á ɓo ra njèban lei ɓaa, ade’n nyan use. Ke nè á kunde mann ra njèban lei ɓaa, ade’n mann an-in. Ke nè á i ra titeke bè ɓaa tò asenan se yal por ke uge um dènn’t. 
ROM.12.21	Ade majelé unn banga dèi’t lé. Nè unn banga dènn’t se go nyanra ke maje.
ROM.13.1	Maje kade nanan géa ile koje dè ndukunnge’t le njékonɓeege ke d’unde de, tede gir konɓee ke nal kin ra Nube’t goto. Njékonɓeege ke d’unde de nga, è Nube kuwe á unde de. 
ROM.13.2	Gir’n ke nè á nanan ke ute ndukunnge le njèkonɓee mbeng ɓaa, è ndukunn le Nube kuwe á è ute mbeng. Dooge ke mbati kilei koje dè ndukunnge’t le njékonɓeege nga, Nube à gangtà dè de’t. 
ROM.13.3	Njé ke rai nyan maje nga à ɓeli njékonɓeege lé, nè njé ke rai majelé kuwe karé á à ɓeli njékonɓeege. Ke nè á i ndige ɓel njèkonɓee lé ɓaa, i ra nyan maje ɓaa njèkonɓee à unn tài. 
ROM.13.4	Njèkonɓee è ngonn njèkule le Nube tede ndeji kade i ra’n nyan maje. Ke nè á i ra majelé ɓaa, i ɓel njèkonɓee. Njèkonɓee aw se tɔgmong le gangtà dè dooge’t. E ngonn njèkule le Nube le gangtà dè njé ra nyan se dè naje’n lége. 
ROM.13.5	Gir’n ke nè á, maje kade ulei dè si adi njékonɓeege tede tà ke Nube à gang dè si’t kuwe go karé lé, nè tede tàgir le si ke kêm si’t ɔje dè nyan ke se dè naje’n nga kuwe.
ROM.13.6	Gir’n ke nè tɔ á sei ugei tirge. Njétaa tirge nga, è Nube kuwe um kule nè nga ji de’t kade rai se ngang’n lêr-lêr. 
ROM.13.7	Nanan géa adii nyan ke ɔje dè’n-dè’n: Adi tir njètaa tir; adi njè dè nang, nyan dè nang; ilei koje dè doo ke asekum kade ilei koje dènn’t; ilei riɓar dè doo ke asekum kade ilei riɓar dènn’t a tɔ.
ROM.13.8	Adi kure le doo karé bè tò dè si’t lé. Nè adi kure tár nan tá tò dè si’t. Doo ke tár doo made’n ɓaa, è ra nyan ke gute-ndu ɔje nga tɔl mbas ɓá. 
ROM.13.9	Ndukunnge ke sei i geri ɓá nga tami edi nè: «I a sang dinye éké dingem ke rang lé, i a tɔl doo lé, i a ɓoge lé, i a ra kêmkein dè nyan’t le doo lé.» Ndukunnge nè se gutege ke nain-in nga, d’oré de nan’t loo karé d’ede nè: «I a tár doo madi titeke i tár’n danrai i kuwe bè tɔ.» 
ROM.13.10	Doo ke tár doo made’n nga à tel ra se’n majelé lé. Tár nan nga, è ra nyan ke gute-ndu ɔje kade ɔr njêt.
ROM.13.11	I rai titeke bè tede sei geri kêm ndɔ ke jè ndii tutu ɗarinè nga mbak. Kàde kade i ndeli dè ɓi’t ase ɓá. Kété ke ndɔ ke j’undei kêm jéi dè Krist’t nga, kaje è se jéi heb ɓai, nè ɗarinè kaje è se jéi ngɔr ta. 
ROM.13.12	Nain ngɔr ɓaa, loo à ar kade kàde à tee. Bè ɓaa, ade j’inyei go kule rage ke majelé ke jè rai dann ndɔɔ ɓaa, jè tulei nyankatege le lookar ra jéi’t. 
ROM.13.13	Ade jè njiyei danné sêw tite doo ke njiye dann kada bè. Ebi ra si dè k’ee doo nyankuse se doo nyankain. Ebi ra si dè tò se nan ke kaiya’t se dè nyanrage ke pás-pàs a, dè kɔl nan’t se dè ra jang’t a tɔ. 
ROM.13.14	Nè i teli i ndaji kum Kuwe-ɓee Jésu-Krist. Inyei ra si adi ngur nyange le danra ndɔr sei aw se si loo nyanra ke majelé’t lé ta.
ROM.14.1	Doo ke tɔg kundekêm le’n goto nga, uwei nin ke ra si’t m i giri tà dènn’t yo ke nè lé. 
ROM.14.2	Doo karé gir titeke n’ase kuse nyan malang, nè doo karé ke rang ke tɔg kundekêm le’n ase lé nga use mbi targe karè. 
ROM.14.3	Doo ke asekum kuse nyan malang nga, maje kade gangtà dè doo ke njèkuse mbi targe karè nga lé. Doo ke use mbi targe karè nga, maje kade gangtà dè è ke use nyan malang’t nga lé tɔ, tede Nube uwe’n ke rann’t tɔ. 
ROM.14.4	Ké i nga i nan á in se dèi i gangtà dè ngonn njèndi’t le madi ke rang wa? Ke nè á è nda dɔ éké oso géa è tà le kuwe’n. Nè è à nda dɔ tede Kuwe-ɓee aw se tɔgmong le kade in nda’n dɔ njáng.
ROM.14.5	Doo karé an titeke ndɔ karé è ndɔ ke bò ngain dum ndɔge ke rang malang. Nè doo karé ke rang an ndɔge ade asinan. Maje kade nanan géa ra nyan se go tàgir ke kêmn’t. 
ROM.14.6	Doo ke ɔr ndɔ karé ke ndɔ ke bò dum madege nga, è ra tede ɗɔi’n Kuwe-ɓee. Doo ke use nyan malang nga géa ra tede le ɗɔi’n Kuwe-ɓee a tɔ, tede è kuwe géa ra Nube oiyo dè nyankusenn’t tɔ. 
ROM.14.7	Doo karé dann jéi’t ndi kumgajer éké wei tede le’n è kuwe se kar’n lé. 
ROM.14.8	Ke nè á jè ndii kumgajer ɓaa, jè ndii kumgajer tede le Kuwe-ɓee. Ke nè á j’weii ɓaa, j’weii tede le Kuwe-ɓee tɔ. Ke nè á jè ndii kumgajer éké j’weii géa, jèi le Kuwe-ɓee. 
ROM.14.9	Gir’n ke nè á Krist wei’n a, unde’n loo tee’n a, tede le konɓee dè njé ke koo’t se njé ke ndii kumgajer a tɔ. 
ROM.14.10	Nè i, ké bain á i gangtà dè ngokoin’t wa? Ké bain á i an ngokoin ke nyan lé wa? Kerɔte kuwe, jèi karé-karé malang j’à ndai non kutu-ngar gangtà’t le Nube. 
ROM.14.11	Dé ndang kêm Magtub ke tò se ninn’n d’ede nè:
ROM.14.11	«Man Kuwe-ɓee ke njèndi kumgajer m’tam ndàt:
ROM.14.11	Girkoje dooge karé-karé malang à ɔsi keje de nang nonm’t a,
ROM.14.11	tà dooge karé-karé malang à ile riɓar dè Nube’t a tɔ.»
ROM.14.12	Titeke bè, nanan géa dann jéi’t à ɔrgir nyanra’n è kuwe le kade Nube.
ROM.14.13	Gir’n ke nè á adi j’ebi ra jéi gangtà dè nan’t. Nè maje kade jè giri le tel kile kage non ngakon jéige’t le kade jè gendere de kade awi tebel-tebel éké osoi dann majelé’t lé. 
ROM.14.14	Kuwe-ɓee Jésu ndó’m ade m’ger kêm’t maje titeke nyan karé bè géa mine se dè ra’n lé. Ke nè á doo karé gir kêmn’t titeke nyan karé mine ɓaa, mine tede le’n è kuwe. 
ROM.14.15	Ke nè á ade ngokoin ke njètaakêm-Krist kêmkon ɔje dè nyan kuse ke kêmi’t ɓaa, i tár’n titeke ndukunn tam’n nga lé. Ngokoin ke Krist wei tede’n nga ade tuju ɔje dè nyankuse ke kêmi’t karè lé. 
ROM.14.16	Adi dooge teli nedi nyanra si ke maje nga lé. 
ROM.14.17	Kerɔte kuwe, konɓee le Nube nga tò tede nyankuse éké nyankain lé. Konɓee le Nube nga tò ɔje dè nyanra ke se dè naje’n a, se kêmlom a, se ranel ke Ndil-Kêmnda ade jèi. 
ROM.14.18	Doo ke ra kule ade Krist titeke bè nga taa kum Nube a, dooge malang d’a taa kêm’n a tɔ. 
ROM.14.19	Titeke bè, adi jè sangi go nyange ke à reei se kêmlom dann jéi’t. Adi jè sangi go nyange ke à ade kundekêm le jéi à ra’n tɔge ke kété-kété a tɔ. 
ROM.14.20	I dookunde le Nube nga, an! tá nè à tuju ɔje dè nyankuse ke kêmi’t karè. Kerɔte kuwe, nyankusege malang maje kum kuse, nè ke nè á nyankuse ke kêmi’t à ade ngokoin à ra majelé ɓaa, maje lé. 
ROM.14.21	Maje kum kuse dan éké kain yibe lé. Nyan ke rara ke ile ngokoin kage nga, maje kade ɔge rai dè’t. 
ROM.14.22	Tàgir lei ke ɔje dè nyange nè nga, i ngonm ɔje dèi i se Nube. Doo ke ra nyan se kêmnda geng lé nga, ra’n à nel’n. 
ROM.14.23	Nè doo ke kêm’n nda geng dè nyankuse’t ɓaa, Nube gangtà dènn’t ɓá ta, tede è ra nyan se kundekêm lé. Nyan ke doo ra se kundekêm lé nga è kaiya.
ROM.15.1	Jèi ke kundekêm le jéi ɓeɓer ɓá nga, è tà le kade jè geti njé ke kundekêm le de ɓisir lé nga gar-gar. Ade jè sangi nyan ke ɔje dè ranel le jéi se kar jéi lé gar-gar. 
ROM.15.2	Gar-gar maje kade nanan géa dann jéi’t sang nyan ke à taa kum doo made’n, le kade kundekêm le doo made’n ra’n tɔge in-in’n dè made’t ke kété-kété. 
ROM.15.3	Kerɔte kuwe, Krist nga ndɔ ke sang nyan ke ɔje dè ranel le’n se kar’n lé. Nè dé ndang kêm Magtub ke tò se ninn’n d’ede nè: «Rasɔl ke d’ile dèi’t nga tel oso dè’m man’t tɔ.» 
ROM.15.4	Nyange malang ke dé ndang tà’n kêm magtub’t kété mari nga, dé ndang de le ndó’n jèi nyan. Magtub ke tò se ninn’n ndó jèi korè tà njak se sɔlkêm ke j’ingei tà’n kêm Magtub’t le Nube tede kade j’undei kêm jéi tchên ke dènn’t. 
ROM.15.5	Korè tà njak se sɔlkêm nga in-in ra Nube’t. M’deje Nube le kade ra se si ade umi nan’t titeke Jésu-Krist ndige’n nga. 
ROM.15.6	Titeke bè á sei a kasi kundei ndu si nan’t le kɔse’n pa kile’n riɓar dè Nube, Bɔ Kuwe-ɓee le jéi Jésu-Krist. 
ROM.15.7	Gir’n ke nè á uwei nan ke ra si’t titeke Krist uwe’n sei ke rann’t tede riɓar le Nube.
ROM.15.8	Man m’ede sei ndàt, Krist tel ra’n ke ngonn njèkule le Juipge tede kade kunn ke ndɔ ke Nube unn ndu’n ade kà dege kété nga, aw’n loon’t deĵ. 
ROM.15.9	Krist ra titeke bè le kade njé ke ei Juipge lé ilei riɓar dè Nube’t tede kêmkanm ke è ra se de. Dé ndang kêm Magtub’t le Nube d’ede nè:
ROM.15.9	«Gir’n ke nè á m’a m’ɗɔii dann dooge ke ei Juipge lé a,
ROM.15.9	m’a kɔse pa kile’n riɓar dè ri’t a tɔ.»
ROM.15.10	Taɓai dé tam kêm Magtub’t le Nube d’ede nè:
ROM.15.10	«Sei ke sei girkoje Juipge lé nga, ali ra si se kosdooge le Kuwe-ɓee!»
ROM.15.11	Dé tam loo karé’t ɓai kêm Magtub’t d’ede nè:
ROM.15.11	«Sei malang ke sei girkoje Juipge lé nga, ilei riɓar dè Kuwe-ɓee’t!
ROM.15.11	Sei kosdooge malang géa, ilei riɓar dè Kuwe-ɓee’t tɔ.»
ROM.15.12	Esaie njèribe-dè-tà ke tà Nube’t géa tam bè tɔ, ede nè:
ROM.15.12	«Ngar karé ke kige à in girkà’t le Jessé le ree.
ROM.15.12	A ree le kon dooge ke ei Juipge lé.
ROM.15.12	Dooge ke ei Juipge lé à undei kêm de dènn’t.»
ROM.15.13	Maje kade Nube ke j’undei kêm jéi tchên dènn’t ade sei ranel se kêmlom ke deri takul kêm si ke undei dènn’t nga. Titeke bè á kundekêm tchên le si à ra’n tɔge ke kété-kété se go tɔgmong le Ndil-Kêmnda.
ROM.15.14	Ngakonmge, man m’ger kêm’t mbak titeke sei awi se tàgir ke maje. M’ger kêm’t maje titeke sei awi se gos nyanger ke deri, ade ɗarinè sei kuwe asi ndángi nan dann si sei’t. 
ROM.15.15	Nè né è bè géa, man m’ede sei tà kum ngonn ke dingem loo bule kêm magtub’t le’m nè. M’ra bè le kolé’n kêm si dè noje ke Nube uwe sem’t nga. 
ROM.15.16	Nube tel’m ke ngonn njèkule le Jésu-Krist tede le dooge ke ei Juipge lé. Nube ɔr’m unde’m se ninn’n tede kade m’ile mber Tà ke Maje le’n m’ade dooge ke ei Juipge lé. Titeke bè á Ndil-Kêmnda à ɔr’n njé ke ei Juipge lé kunde’n de se ninn de kade taai kum Nube. 
ROM.15.17	Takul Jésu-Krist á m’unde’n kàde’m dè kule ke m’ndi m’ra m’ade Nube. 
ROM.15.18	M’ndige tam tà ke rang karé lé. Nè ke nè á ɗarinè m’tam tà ɓaa, è tà le nyan ke Krist ade m’ra á m’ree’n se dooge ke ei Juipge lé m’ade ilei koje dè Nube’t. Njé ke ei Juipge lé ilei koje dè Nube’t tede nyanra’m se tà tam’mge, 
ROM.15.19	se go tɔgmong le nyankɔbege se nyange ke dum kum a, se go tɔgmong le Ndil-Kêmnda a tɔ. Titeke bè á m’unn’n gir kile mber Tà ke Maje le Krist kêm ɓee-bò ke Jérusalem se ɓeege malang ke an-in dè’n gêrêr sár m’tee’n kêm ɓeekon ke Illyrie. M’ile mber Tà ke Maje le Krist nga m’ɔr son’n njêt kêm ɓeege’t nè nga. 
ROM.15.20	Nè ɓeege ke d’ile mber Tà ke Maje le Krist kêmé d’ade dooge lé ɓai á m’ndige kile mber tutu kade è riɓar le’m. M’ra titeke bè tede m’ndige kunde gir kei le’m dè le doo ke rang’t lé. 
ROM.15.21	M’ra bè titeke Magtub ke tò se ninn’n tam’n ede nè:
ROM.15.21	«Njé ke d’ile mber tà le’n d’ade ooi lé à an-in nin se kum de,
ROM.15.21	njé ke ooi tà le’n lé ɓai à geri nin.»
ROM.15.22	E ke nè á è nyan ke ɔge’m kaw kan sei nja bule. 
ROM.15.23	Nè ɗarinè, m’tɔl ngang kule le’m kêm ɓeege’t nè nga ɓá. Ɓal bule, ngur kaw kan sei ra’m pênn-pênn. 
ROM.15.24	Loo ke ndɔn’t m’a maw ke kêm ɓeekon ke Espagne ɓaa, m’ɔje kêm’m tchên le gang dè si’t kan sei. Loo ke m’an sei ase’m ɓá ɓaa, m’ɔje kêm’m dè si’t le kade undei man rebe adi m’aw. 
ROM.15.25	Nè ɗarinè ɓaa, m’ndi m’a m’aw ke kêm ɓee-bò ke Jérusalem se nyan le ra’n se njé ke le Nube ke ndii nú. 
ROM.15.26	Njétaakêm-Kristge ke kêm ɓeekonge ke Macédoine se Achaie in-in se kêm de rai nyan-noje le ra’n se njétaakêm-Kristge ke Jérusalem ke ndoo oso dè de’t. 
ROM.15.27	Njé ke Macédoine se Achaie in-in se kêm de ei kuwe rai titeke bè le kɔr’n kure le Juipge dè de’t kɔke. Kerɔte kuwe, ke nè á girkoje dooge malang d’oré nan se Juipge dè nyan ke ɔje dè Ndil nga ɓaa, gar-gar è tà le de le ra se Juipge dè nyan ke ɔje dè danra de’t tɔ. 
ROM.15.28	Loo ke m’a m’tɔl tà kule nè nga, m’a kum nyan-nojege nè nga ji de’t se loo tò’n bere mbak ɓá ɓaa, m’a gang dè si’t le kaw kêm ɓeekon ke Espagne. 
ROM.15.29	Kaw ke m’a m’aw ra si’t nga, m’ger mbak; è dann ndutor’t ke maje le Krist á m’a m’aw’n.
ROM.15.30	Ngakonmge, m’ndeje sei se ri Kuwe-ɓee le jéi Jésu-Krist a, se ri kunde nan dann kum nan’t ke in ra Ndil-Kêmnda’t le kade i rai ndoo ra Nube’t tede’m. E rɔ ke sei rɔi se’m nan’t. 
ROM.15.31	I deji Nube le kade ɔr’m ji njétaakêm-Kristge lé ke ndii kêm ɓeekon ke Judée a, le kade nyan-noje ke m’a m’aw’n le ra’n se njétaakêm-Kristge ke ndii Jérusalem nga, taa kum de a tɔ. 
ROM.15.32	Ke nè á Nube ndige ɓaa, m’a m’aw tee ra si’t se ranel le taa kebe ra si’t nú ndêin ɓita. 
ROM.15.33	Maje kade Nube ke njè kade dooge kêmlom nain se si malang. Maje kade è titeke bè kuwe.
ROM.16.1	Man m’tɔje sei kon nann jéi Phoebé. E ndi ra kule dann njékebe nange’t le Nube ke ndii kêm ɓee-bò ke Cenchrées. 
ROM.16.2	Uweii ke ra si’t se kêmnda káng se ri Kuwe-ɓee titeke njétaakêm-Kristge rai se nan bè. I rai se’n dè nyan malang ke è aw ndoo’n kade i rai se’n dè’t nga. E taa dè dooge ke rang bule ngain. Man ke mbain kuwe géa è taa dè’m a tɔ. 
ROM.16.3	I rai lapya Priscille se Aquilas, njémade kulege le’m loo kile mber’t le Jésu-Krist adi man. 
ROM.16.4	Dé nè nga, tep̂léa d’inge yo tede tà le’m. M’ra de oiyo ngain a, njétaakêm-Kristge malang ke ei Juipge lé géa rai de oiyo ngain a tɔ. 
ROM.16.5	I rai lapya njétaakêm-Kristge ke kebi nan kêm kei le de adi man tɔ. I rai lapya kotár le’m Epainète adi man. E kuwe è doo ke desêin kêm ɓeekon ke Asie ke unde kêm’n dè Krist’t nga. 
ROM.16.6	I rai lapya Marie ke ule ra’n ndibe tede tà le si adi man tɔ. 
ROM.16.7	I rai Andronikus se Junias njénojege le’m lapya adi man. Dé nga, ndɔ ke dé made dangaige le’m. Adronikus se Junias nga ei njékawkulege ke ri de ɓar ngain dann made dege’t. Dé dooge ke d’unde kêm de dè Krist’t kété ɓita man ɓai. 
ROM.16.8	I rai Ampliatus kotár le’m lapya adi man. E nga è doo ke um nan’t bɔk se Krist. 
ROM.16.9	I rai Urbain se Stachys kotár le’m lapya ngain adi man tɔ. Urbain nga è made kule kile mber Tà ke Maje le Krist made jéi ke kété. 
ROM.16.10	Apellès è njètaakêm-Krist ke get, i rai nin lapya adi man. Njékêmkei le Aristobule géa, i rai de lapya adi man. 
ROM.16.11	I rai njènoje le’m Hérodion lapya adi man. I rai lapya njétaakêm-Kristge ke kei le Narcisse adi man tɔ. 
ROM.16.12	Kon nann jéige Tryphène se Tryphose ke rai kule ɔri yàl-yàl tede le Kuwe-ɓee nga, i rai de lapya adi man. Kon nann’m Perside nga m’tár’n ngain. I rai nin lapya adi man. E géa, è doo ke ra kule ɔr yàl-yàl tede le Kuwe-ɓee tɔ. 
ROM.16.13	Rufus, doo ke Krist ɔr’n unde’n se ninn’n gai nga, i rai nin lapya adi man. Kon’n ke tò asenan se kon’m bè nga, i rai nin lapya ngain adi man tɔ. 
ROM.16.14	I rai Asyncrite se Phlégon se Hermès se Patrobas se Hermas se ngakon dege ke kebi se de nan lapya adi man. 
ROM.16.15	I rai Philologue se Julie, Nérée a, se kon nann’n Olympas a, se njé ke tooi se ninn de malang lapya adi man.
ROM.16.16	Uwei nan kàde nan’t sêm i rai nan lapya tite ngakon nange ke njétaakêm-Kristge bè se kêmnda káng. Njékebe nange le Krist malang rai sei lapya tɔ.
ROM.16.17	Ngakonmge, dooge ke utei nyan-ndó ke sei ndói mbeng kɔke nga, m’ra ndoo ra si’t le kade an-in de maje. Utei ra si mbeng ra de’t kɔke tede dé nga dé njé tɔse dè dooge nan’t a, dé njé kade dooge tosoi dann kaiya’t a tɔ. 
ROM.16.18	Dooge ke titeke bè nga, ei ɓer kulege le Kuwe-ɓee le jéi Krist ke get lé, nè ei njé ra kulege ke ɔje dè tà kêm de ei kuwe. Tàge ke nel ke tà de’t á dé libe’n kum njétaakêm-Kristge ke kundekêm le de ɓisir lé ɓai, d’ite’n dè de’t. 
ROM.16.19	Oiyo, kile koje le si nga kɔbe’n oso se loo mbit-mbit ade dooge malang geri ɓá. Gir’n ke nè á, m’ra’n ranel dè si’t. Nè m’ndige kade kum si unju dè nyanra ke maje’t a, kade i ndii kum dè ra si’t le kute nyanra ke majelé mbeng a tɔ. 
ROM.16.20	Nube ke kêmlom in rann’t à ade sei tɔgmong le kade i dumi dè njèban le si ngɔr ta.
ROM.16.20	Maje kade kêmnoje le Kuwe-ɓee le jéi Jésu nain se si!
ROM.16.21	Timothée, njèmade kule le’m ra sei lapya. Lucius se Jason se Sosipater ke ei njénojege le’m, rai sei lapya tɔ.
ROM.16.22	Man Tertius ke njèndang magtub nè kade Paul nga géa, m’ra sei lapya tɔ se ri Kuwe-ɓee ke njè ɓe jèi nan’t.
ROM.16.23	Gaius ke njè kei mba le’m ke njétaakêm-Kristge malang kebi nan kêm kei le’n, ra sei lapya. Eraste njè ngonm nar le njékonɓeege se ngokon jéi Quartus, rai sei lapya ngain.
ROM.16.23	[ 
ROM.16.24	Maje kade kêmnoje le Kuwe-ɓee le jéi Jésu nain se si malang. Maje kade è titeke bè kuwe.]
ROM.16.25	Ade j’ilei riɓar dè Nube’t. E aw se tɔgmong le kule’n dingem kêm si’t se go Tà ke Maje le Jésu Krist ke m’ile mber’n nga. Tà ke Maje nè nga kété mari è nyan ke tò loo ɓɔyɔn’t. 
ROM.16.26	Nè ɗarinè, Tà ke Maje nè nga kile ra’n ke nata. Titeke bè á dooge malang ke ei Juipge lé asikum ger Tà ke Maje le Krist takul magtubge ke njéribe-dè-tàge ke tà Nube’t ndangi. Nube ke Njèndi se non unn ndukunn nè nga titeke bè le kade dooge malang undei kêm de dènn’t a, ilei koje dènn’t a tɔ.
ROM.16.27	Nube ke Njèkumkunju karé bere nga, maje kade riɓar è le’n sár se non takul Jésu-Krist! Maje kade è titeke bè kuwe.
1CO.1.1	Man Paul, Nube ɓar’m le kade m’ee njèkawkule le Jésu-Krist se go kêmndige le’n è Nube. Man jè se ngokon jéi Sosthène, 
1CO.1.2	jè ndang magtub nè j’ade njékebe nange le Nube ke ndii kêm ɓee-bò ke Corinthe. Jè ndang magtub nè nga j’ade sei ke i tooi se ninn si takul kum ke umi nan’t bɔk se Jésu-Krist. Sei nga Nube ɓar sei kade sei dooge le’n ke i tooi se ninn si. Magtub nè nga, jè ndang j’ade dooge malang se kêm ɓee-ɓee ke ɓari ri Kuwe-ɓee le jéi Jésu-Krist. Jésu-Krist nga è Kuwe-ɓee le de a, le jéi jèi a tɔ. 
1CO.1.3	Maje kade Bɔ jéi Nube a, Kuwe-ɓee le jéi Jésu-Krist adi sei kêmnoje se kêmlom.
1CO.1.4	M’ra Nube le’m oiyo se ndɔge malang tede noje ke è uwe se si takul kum ke umi nan’t bɔk se Jésu-Krist. 
1CO.1.5	Takul kum ke sei umi nan’t bɔk se Jésu-Krist á Nube ade’n sei nyan-nojege malang ke ɔje dè kɔrgir tà le’n a, ke ɔje dè nyanger a tɔ. 
1CO.1.6	Tà le Krist ke ndɔ ke j’ede sei nga tule ngire’n kêm si’t janm-janm. 
1CO.1.7	Bè ɓaa, ɗarinè nyan-noje karé bè géa nal sei ke i ndii a i nginei ndɔ tel ree le Kuwe-ɓee le jéi Jésu-Krist nga lé. 
1CO.1.8	E Kuwe-ɓee le jéi Jésu-Krist nga kuwe á ade a i ndai njáng dè kunde-kêm’t le si sár ndɔ ke ngeinn’t. Titeke bè á tà karé bè géa à uwe dè si kêm ndɔn’t le Kuwe-ɓee le jéi Jésu-Krist nga lé. 
1CO.1.9	Nube ke ɓar sei kade umi nan’t bɔk se Ngonn’n Jésu-Krist Kuwe-ɓee le jéi nga, è njè kube go ndukunn le’n kinye lé.
1CO.1.10	Ngakonmge, m’ndeje sei se ri Kuwe-ɓee le jéi Jésu-Krist le kade umi tà go nan’t karé. Adi kɔr kum nan goto dann si’t. Umi tà le si nan’t a, adi tàgir le si è karé a tɔ. 
1CO.1.11	Ngakonmge, njé ke kêm kei le kon nann’m Chloé edi man edi nè: Tà tin nan tò dann si’t. 
