GEN.1.1	Mula-mula Tuhan Allah bekin langit deng bumi.
LUK.9.44	“Bosong tanda bae-bae Beta pung omong ni! Sonde lama lai, te orang mau jual buang sang Beta, Manusia Tulen ni. Ais dong sarakan Beta pi orang luar dong.” 
LUK.9.45	Ma Dia pung ana bua dong tabingung-bingung. Dong sonde mangarti dia pung maksud. Dong ju taku tanya dia pung arti apa.
LUK.9.46	Satu kali, Yesus pung ana bua dong mulai bakanjar soꞌal sapa dari dong yang nanti jadi orang nomer satu.
LUK.9.47	Ma Yesus tau apa yang dong bakanjar. Ju Dia pange satu ana kici, ais kasi badiri sang itu ana di Dia pung sablá. 
LUK.9.48	Ais Dia kasi tau sang dong bilang, “Dengar bae-bae! Orang yang iko Beta ko layani orang kici sama ke ini ana, dia pung arti, itu orang ju ada layani sang Beta. Deng dia ju ada layani sang Beta pung Bapa di sorga yang utus sang Beta datang di ini dunya. Ada banya orang yang suka pandang enteng sang dong. Macam ke orang kasian, orang susa, orang tar bae, orang sial, deng orang kici dong. Naa! Orang yang suka layani orang macam bagitu yang Tuhan Allah anggap paling hebat.”
LUK.9.49	Ais Yohanis kasi tau sang Yesus bilang, “Bapa! Satu kali, botong lia satu orang usir kaluar setan deng subu Bapa pung nama. Jadi botong larang sang dia ko jang subu-subu pake Bapa pung nama, tagal dia tu bukan kotong pung orang.”
LUK.9.50	Ma Yesus manyao bilang, “Sonde usa! Te orang yang sonde malawan sang kotong, dia pung arti, dia tu kotong pung kawan sandiri.”
LUK.9.51	Yesus tau bilang, Dia pung hari nae pi sorga su deka-deka. Ais Dia putus ko barangkat pi kota Yerusalem. 
LUK.9.52	Dia utus orang ko jalan kamuka dari dong, ko biar dong bisa ator makan-minum. Ju dong maso pi satu kampong di propinsi Samaria ko mau urus tampa manumpang. 
LUK.9.53	Ma itu orang Samaria dong sonde mau tarima sang Yesus dong, tagal Dia ada mau jalan pi sémba sang Tuhan Allah di kota Yerusalem.
LUK.9.54	Waktu Yakobis deng Yohanis dapa dengar itu orang Samaria dong pung bekin-bekin, ju dong babuju sang Yesus bilang, “Bos! Karmana kalo kotong minta Tuhan Allah kirim api datang dari langit ko bakar abis sang dong?”
LUK.9.55	Ma Yesus mangada sang dong dua, ju togor bilang, “Sonde usa pikir bagitu.” 
LUK.9.56	Ais dong jalan tarús pi kampong laen.
LUK.9.57	Waktu dong ada jalan, ada satu orang omong sang Yesus bilang, “Bapa! Bapa pi mana sa, na, beta mau iko tarús deng Bapa!”
LUK.9.58	Ma Yesus manyao bilang, “Bae, ju! Ma inga bagini. Samua orang deng binatang ada dong pung tampa tenga sandiri. Anjing utan kambali pi dia pung lobang. Burung kambali pi dia pung sarang. Ma Beta, Manusia Tulen ni, sonde ada pung ruma sandiri ko pulang di situ. Tampa alas kapala, ju sonde ada.”
LUK.9.59	Satu kali, Yesus pange satu orang laen bilang, “Mari iko sang Beta, ko jadi Beta pung orang.”
LUK.9.59	Itu orang manyao bilang, “Neu! Ma bagini, Bos. Biar beta pulang ko urus orang tua dong dolo. Kalo beta pung bapa su mati, na, baru beta iko.”
LUK.9.60	Ma Yesus kasi tau sang dia bilang, “Bagini! Kasi tenga ko orang yang sonde ada pung parcaya sang Tuhan dong, urus dong pung orang mati. Ma bosong yang parcaya sang Tuhan, bosong pung tugas pi jalan kasi tau soꞌal Tuhan Allah pung pegang parenta.”
LUK.9.61	Ada satu orang lai bilang, “Bae ju, Bos! Beta mau iko sang Bos tarús. Ma kasi isin ko beta pi ciom bapisa deng beta pung kelu dong dolo, baru beta kambali iko sang Bos.”
LUK.9.62	Ma Yesus kasi tau sang dia bilang, “Bagini! Kalo orang mulai bale tana, ais batasibu deng urusan laen sampe lupa tanam, na, dia pung kabón sonde jadi. Bagitu ju deng orang yang putus mau iko sang Beta, ma maen inga tarús dia pung idop dolo. Orang macam bagitu sonde ada guna jadi orang karjá di Tuhan Allah pung parenta.”
LUK.10.1	Ais itu, Yesus pili ame ana bua laen, 72 orang.
LUK.10.2	Dia utus sang dong bilang, “Ada orang bam-banya yang sama ke padi yang su kuning. Tenga tuan kabón kirim dia pung orang karjá ko datang koru sa. Jadi bosong musti sambayang minta Tuhan Allah kirim tamba Dia pung orang karjá ko kumpul ame orang-orang yang mau iko sang Beta. Tagal orang yang mau iko sang Beta tu, banya. Ma orang karjá dong cuma sadiki sa.
LUK.10.3	Sakarang bosong barangkat suda! Beta utus sang bosong ko pi di orang banya dong. Ma inga bagini. Bosong sama ke domba ana yang hati manis, yang pi teng-tenga anjing utan yang jahat dong.
LUK.10.4	Bosong sonde usa bawa doi, ko tas pakean, ko sandal lebe di jalan. Jang buang-buang waktu parcuma deng maen batogor orang di jalan.
LUK.10.5+LUK.10.6+LUK.10.7+LUK.10.8	Kalo bosong maso pi dalam satu kampong, bosong sonde usa pinda-pinda dari satu ruma pi ruma laen. Kalo orang tarima bae sang bosong di satu ruma, na, tenga di situ sa, sampe bosong barangkat dari itu kampong. Kalo bosong maso pi satu ruma, bosong musti minta ko Tuhan Allah kasi berkat sang orang di itu ruma. Kalo tuan ruma di situ tarima bae sang bosong, tantu Tuhan kasi tunju Dia pung hati bae sang itu isi ruma dong. Ma kalo dong sonde mau tarima sang bosong, na, biar ko Tuhan kasi tunju Dia pung hati bae sang bosong sandiri sa. Kalo bosong maso di satu ruma ko, satu kampong ko, makan-minum apa sa yang dong kasi. Tarima deng sanáng hati, te pantas kalo dong kasi bosong bagitu ko ganti bosong pung karingat.
LUK.10.9	Bekin bae dong pung orang saki. Deng kasi tau sang dong bilang, ‘Tuhan Allah pung parenta su ada di muka idong!’
LUK.10.10	Ma ada kampong ju yang dia pung orang dong sonde mau tarima sang bosong. Kalo dong bekin bagitu sang bosong, na, pi badiri di kampong pung jalan ko angka omong bilang, 
LUK.10.11	‘Dengar bae-bae! Botong su datang bawa Tuhan pung Kata-kata kasi sang bosong, ma bosong sonde toe sadiki ju. Jadi botong sakarang kabás buang ini kampong pung abu dari botong pung kaki, ko jadi tanda bilang, nanti bosong tanggong risiko sandiri! Ma inga bae-bae! Tuhan Allah pung parenta su ada di muka idong!’
LUK.10.12	Bosong tau kota Sodom pung jahat, aa? Beta kasi tau, é! Nanti pas di hari kiamat, Tuhan kasi hukum orang yang tola buang sang bosong tu, jao lebe barát dari orang Sodom dong!”
LUK.10.13	Yesus omong tamba lai bilang, “Bosong yang ada di kampong Korasin
LUK.10.14	Batúl! Bosong lia sa! Nanti kalo Tuhan putus samua orang dong pung parkara, orang Tirus deng orang Sidon pung hukuman masi jao lebe ringan dari bosong pung hukuman.
LUK.10.15	Bosong orang kampong Kapernaum! Awas! Bosong jang pikir bilang, nanti Tuhan angka nae sang bosong maso pi sorga. Sonde! Nanti Tuhan lempar buang sang bosong maso pi naraka!
LUK.10.16	Inga bae-bae! Te orang yang dengar sang bosong, sama sa deng dengar sang Beta. Deng orang yang sonde mau dengar sang bosong, sama sa deng sonde mau dengar sang Beta. Tamba lai, orang yang sonde mau dengar sang Beta tu, sama sa deng dia sonde mau dengar sang Tuhan Allah, yang su utus sang Beta datang di ini dunya.”
LUK.10.17	Waktu itu 72 orang utusan datang kambali,
LUK.10.18	Ju Yesus manyao sang dong bilang, “Batúl! Waktu bosong bekin bagitu, Beta ada lia Tuhan Allah lempar buang sang setan deng dong pung bos dari langit, sama ke kilat yang kaluar kiri-kanan dari langit! 
LUK.10.19	Inga, é! Setan dong pung bos tu, kotong pung musu. Deng dia ada pung kuasa ju! Ma Beta su kasi kuasa sang bosong ko kasi pata dia pung kuasa. Deng andekata bosong ada inja kaná ular babisa, ko, kalajingking, na, bosong sonde kaná apa-apa. Sonde ada yang bisa bekin calaka sang bosong.
LUK.10.20	Bosong pung hati babunga, tagal setan dong dengar sang bosong. Bae ju, ma itu hal kici sa! Lebe bae bosong pung hati babunga, tagal Tuhan su tulis ame bosong pung nama ko jadi Dia pung warga yang maso sorga.”
LUK.10.21	Itu waktu, Tuhan pung Roh yang Barisi bekin Yesus pung hati babunga. Ais Dia puji Tuhan bilang, “Bapa! Bapa yang pegang hak parenta samua di langit deng bumi. Beta minta tarima kasi bam-banya, tagal Bapa tutu ame ini hal dong dari orang yang anggap diri pintar deng yang tinggi hati dong. Ma Bapa buka ini hal samua kasi ana-ana kici dong, deng orang yang randá hati dong. Batúl, Bapa! Te itu yang bekin Bapa pung hati sanáng!”
LUK.10.22	Ais Yesus kasi tau sang orang banya dong bilang, “Dengar ó! Beta pung Bapa di sorga su kasi samua kuasa sang Beta. Yang tau batúl bilang, Beta ni, sapa, andia cuma Bapa sa. Deng yang tau batúl bilang, Bapa tu, sapa, cuma Bapa pung Ana sa, andia Beta. Deng Beta pili orang laen, ko kasi tau sang dong, ko biar dong ju kanál sang Dia.”
LUK.10.23	Ais Yesus bale mangada sang Dia pung ana bua dong, deng kasi tau sang dong sandiri bilang, “Bosong ontong batúl, tagal bosong su lia Tuhan pung kuasa. 
LUK.10.24	Raja-raja deng jubir dolu-dolu dong rindu mau lia apa yang bosong su dapa lia, ma dong sonde bisa. Dong ju rindu mau dengar apa yang bosong su dapa dengar, ma dong sonde bisa.”
LUK.10.25	Satu kali, ada satu ahli hukum Yahudi badiri ko mau hiki sang Yesus. Dia tanya bilang, “Bapa Guru! Tolong kasi tau doo! Beta musti bekin apa, ko biar beta tau beta bisa dapa idop tarús sama-sama deng Tuhan di sorga?”
LUK.10.26	Yesus manyao bilang, “Baꞌi Musa tulis apa soꞌal ini hal? Lu pung mangarti karmana sang dia?”
LUK.10.27	Itu orang kasi tau bilang, “Dia ada tulis bilang:
LUK.10.27	‘Lu musti sayang sang Tuhan Allah 
LUK.10.27	Tagal itu, lu musti salalu rindu sang Dia,
LUK.10.27	karjá karás ko iko Dia pung mau,
LUK.10.27	deng mangarti sang Dia.’
LUK.10.27	Ju ada tulis bilang, ‘Lu musti sayang lu pung sodara, sama ke lu sayang lu pung diri sandiri.’ ”
LUK.10.28	Yesus balas bilang, “Batúl! Kalo lu bekin iko bagitu, lu idop deng Tuhan tarús-tarús.”
LUK.10.29	Ma itu orang ada mau bekin diri ke orang alim sa. Ais dia tanya sang Yesus bilang, “Ma beta pung ‘sodara’ tu, yang mana?”
LUK.10.30	Ju Yesus manyao bilang, “Bagini! Beta mau kasi satu umpama. Nanti lu kasi tau, mana yang batúl-batúl ‘sodara’. Dia pung carita bagini: Ada satu orang Yahudi barangkat dari kota Yerusalem, jalan turun pi Yeriko. Ma takuju sa, ada tukang rampok dong datang korfei barmaen sang dia. Dong papoko sang dia, ais rampas ame dia pung doi deng dia pung pakean samua. Tarús dong lempar buang sang dia di pinggir jalan, ais jalan kasi tenga sang dia. Itu orang su amper mau mati sa. 
LUK.10.31	Ma sonde sangka-sangka, te ada satu kapala agama Yahudi yang jalan turun lewat di situ ju. Ma waktu dia dapa lia ada orang luka-luka yang malenggang di pinggir jalan, dia sonde barenti ko tolong sang dia. Dia serong pi sablá ko jalan tarús sa. 
LUK.10.32	Sonde lama, ju ada satu orang laen yang lewat di situ. Dia tu, orang dari suku Lewi yang biasa bantu di Tuhan Allah pung Ruma Sambayang Pusat. Waktu dia dapa lia itu orang talempar di pinggir jalan, dia pi lia deka-deka sa, ma sonde tolong sang dia. Tarús dia serong pi sablá ko jalan tarús.
LUK.10.33+LUK.10.34	Sonde lama lai, ada satu orang dari daꞌera Samaria lewat di situ deng dia pung binatang keledai. Kotong samua tau bilang, orang Yahudi biasa lia deng sablá mata sang orang Samaria dong. Naa, waktu ini orang Samaria lia itu orang yang kaná rampok tu, ju dia jato kasian sang dia. Dia datang deka-deka ko mau tolong itu orang. Dia poꞌa anggor ko kasi barisi itu orang pung luka-luka dong, ais dia taro minya pi. Tarús farbán bae-bae sang dia, ju angka kasi nae pi atas dia pung keledai. Ais dia bawa itu orang pi sampe di kota. Tarús dia kasi manumpang itu orang di losmen, deng urus bae-bae sang dia.
LUK.10.35	Dia pung beso, itu orang Samaria pi kasi panjar doi, dua perak
LUK.10.36	Yesus pung umpama sampe di situ sa. Ais Dia tanya sang itu ahli hukum bilang, “Iko lu, mana yang batúl-batúl ‘sodara’ buat itu orang yang kaná rampok tadi tu?”
LUK.10.37	Itu orang manyao bilang, “Tantu sa, itu orang yang jato kasian sang dia.”
LUK.10.37	Yesus bilang, “Batúl, bu! Pi su, ko bekin iko.”
LUK.10.38+LUK.10.39+LUK.10.40	Ais itu, Yesus deng Dia pung ana bua dong jalan tarús pi Yerusalem. Ju dong singga di satu kampong. Di situ ada dua basodara, nama Marta deng Maria. Marta minta ko Yesus dong manumpang di dia pung ruma. Ais dong tenga tahan di situ.
LUK.10.38+LUK.10.39+LUK.10.40	Waktu Yesus dudu ko ajar orang dong, Marta batasibu urus makan-minum di dapur. Ma dia pung adi Maria, ada dudu deka-deka di Yesus pung kaki, ko dengar Dia pung omong. Sonde lama, ju Marta maso datang ko mangomel di Yesus bilang, “Bapa, é! Karmana, ó! Beta ada batasibu satenga mati urus makan-minum, baru beta pung adi dudu ena-ena di sini sa. Tolong doo! Suru sang dia bantu beta sadiki di dapur!”
LUK.10.41	Ma Tuhan Yesus manyao bilang, “Maꞌa. Lu ni, batasibu deng pikir macam-macam. 
LUK.10.42	Bae, ma ada satu hal yang lebe pantíng sakarang. Deng dia dudu dengar Beta pung Kata-kata, Mia su pili yang paling bae. Orang sonde bisa rampas buang itu Kata-kata dari dia.”
LUK.11.1	Satu kali, Yesus pi sambayang. Sambayang abis, ju Dia pung ana bua satu datang ko minta bilang, “Bapa! Yohanis Tukang Sarani su ajar dia pung ana bua dong, ko dong tau sambayang. Botong minta ko Bapa ju ajar sang botong sambayang dolo!”
LUK.11.2	Ais Yesus bilang, “Bae ju! Sambayang pake conto bagini:
LUK.11.2	Bapa! Bapa pung nama paling barisi.
LUK.11.2	Biar samua orang angka nae tinggi-tinggi Bapa pung nama yang hebat.
LUK.11.2	Biar Bapa jadi Raja kasi samua orang.
LUK.11.3	Bapa tolong kasi botong makanan yang cukup tiap hari.
LUK.11.4	Botong minta Bapa lupa buang botong pung sala-sala dong,
LUK.11.4	sama ke botong ju lupa buang orang pung sala yang dong bekin-bekin sang botong.
LUK.11.4	Bapa jaga ko botong sonde bekin jahat.”
LUK.11.5+LUK.11.6	Ais Yesus ajar tamba sang dong soꞌal sambayang. Dia pake umpama bilang, “Andekata tenga malam, ada kawan datang dari jao, ko manumpang di lu pung ruma. Ma lu sonde ada apa-apa ko kasi dia makan. Ais lu pi di lu pung kawan laen pung ruma, ko noki-noki dari luar bilang, ‘Bu, é! Kasi tahan beta roti tiga balok doo! Te beta ada tamu di ruma, ma botong ada karíng-karíng sa, ni! Bu, tolong doo! Tiga balok sa! Nanti be ganti!’
LUK.11.7	Kira-kira nanti lu pung kawan manyao bale bilang, ‘Ko bu lai, ju! Orang ada tidor sonu, ma bu datang ganggu lai! Pintu dong su takonci mati ni! Ana-ana dong su tidor sonu. Jang mara, é! Ma laen kali sa, bu!’
LUK.11.8	Biar bagitu ju, ma inga bae-bae. Biar itu orang sonde bangun ko kasi sang lu tagal lu dia pung kawan, ma kalo lu maen noki-noki tarús, tantu dia bangun ko kasi.
LUK.11.9	Bagitu ju, deng sambayang.
LUK.11.9	Minta tarús sang Tuhan;
LUK.11.9	nanti Dia kasi.
LUK.11.9	Cari tarús;
LUK.11.9	nanti Dia kasi tunju jalan.
LUK.11.9	Eki tarús;
LUK.11.9	nanti Dia buka pintu.
LUK.11.10	Te samua orang yang minta tarús sang Tuhan Allah, nanti tarima. Yang cari tarús, nanti dapa. Yang eki tarús, nanti Dia buka pintu. 
LUK.11.11	Bosong pikir coba! Dapa di mana, ada bapa, yang kalo dia pung ana minta ikan, na, dia kasi ular? 
LUK.11.12	Ko, kalo ana minta talór, dia kasi kalajingking? Sonde mungkin, to? 
LUK.11.13	Manusia pung dasar memang jahat. Ma bosong pung Bapa di sorga tu, Dia pung dasar bae batúl. Jadi, kalo manusia yang jahat macam bosong sa, suka kasi barang yang bae sang bosong pung ana-ana dong, apalai Bapa! Dia bukan cuma kasi apa yang bosong parlú sa, ma lebe dari itu, Dia kasi Dia pung Roh yang Barisi sang orang yang minta sang Dia.”
LUK.11.14	Satu kali, Yesus usir kasi kaluar setan dari orang bisu satu. Ais, itu orang mulai omong kambali. Orang dong di situ taheran-heran. 
LUK.11.15	Ma ada ju yang bilang, “Memang sa, Dia bisa usir setan! Ko Dia dapa kuasa dari setan dong pung bos, andia Balsebul na.”
LUK.11.16	Orang laen dong mau coba sang Yesus. Ais dong minta ko Dia bekin satu tanda heran lai ko kasi tunju sang dong bilang, Dia pung kuasa memang dari Tuhan.
LUK.11.17	Ma Yesus tau memang dong pung otak kotor. Ju Dia omong bilang, “Kalo dalam satu negara, dia pung rakyat dong bamusu, tantu itu negara jadi ancor-ancor. Bagitu ju, kalo dalam satu ruma, dia pung isi ruma dong ada maen idop bakanjar satu deng laen, na, tantu itu ruma tangga su sonde jadi doi lai! 
LUK.11.18	Jadi, kalo setan dong maen bamusu deng maen baꞌusir satu deng satu, na, dong pung bos su sonde bisa pegang parenta lama-lama lai! Jadi sonde maso di otak, kalo bosong bilang Beta ada pake setan pung kuasa ko usir setan sandiri! 
LUK.11.19	Inga, é! Bosong pung orang dong ju tau usir setan. Dong pake kuasa dari setan, ko? Sonde, to! Jadi bosong jang omong sambarang bilang, Beta ada pake setan pung kuasa ko usir setan. Nanti bosong pung orang sandiri yang putus bilang, apa yang bosong tudu tu, sala. 
LUK.11.20	Ma kalo Beta batúl-batúl usir setan pake Tuhan Allah pung kuasa, itu kasi tunju bilang, Tuhan pung parenta su ada di bosong pung muka idong. Ada, ma tingka ke bosong sonde tau.
LUK.11.21	Kalo geng satu ada pake sanjata kiri-kanan, ko jaga bae-bae dia pung ruma, tantu dia pung barang samua aman-aman sa. 
LUK.11.22	Ma nanti, ada yang lebe kuat dari dia, datang kasi kala deng rampas ame itu orang pung sanjata dong. Ais itu, dia ju raꞌu bawa itu orang pung harta dong ko bagi-bagi kasi dia pung ana bua dong. Su bagini lama itu geng partama parcaya dia pung sanjata. Ma sakarang dia su sonde bisa harap itu sanjata dong lai.
LUK.11.23	Inga bae-bae! Orang yang sonde bapartei deng Beta, dia tu, Beta pung musu. Deng orang yang sonde babantu deng Beta pung karjá, na, dia tu, bekin kaco sa.”
LUK.11.24	Yesus omong tamba lai bilang, “Kalo kotong usir setan kaluar dari satu orang, dia pi tampa sunyi ko cari tampa barenti cape. Tagal dia sonde dapa tampa yang cocok, ju dia pikir bilang, ‘Ee! Sonde dapa tampa bagini, lebe bae beta pulang pi tenga kambali di itu orang yang dolu tu.’ 
LUK.11.25	Ais dia kambali, ju dia katumu itu tampa tu, su sapu barisi deng taꞌator bae-bae. 
LUK.11.26	Ju itu setan pi pange dia pung kawan tuju setan, yang lebe jahat lai dari dia. Ais dong samua pi tenga di itu orang, ju karoyok sang dia. Jadi sakarang itu orang pung idop lebe calaka lai.”
LUK.11.27	Waktu Yesus masi baꞌomong deng orang banya tu, ada satu parampuan di situ batarea bilang, “Pak pung mama ontong bésar, tagal dia yang dapa barana sang Pak, deng dapa kasi susu sang Pak!”
LUK.11.28	Yesus manyao bilang, “Batúl, mama! Ma yang lebe ontong lai, andia orang yang pasang talinga ko dengar Tuhan Allah pung Kata-kata, deng bekin iko!”
LUK.11.29	Waktu Yesus masi baꞌomong, orang banya dong makarubu kuliling sang Dia. Ju Dia angka omong bilang, “Orang sakarang dong ni, cuma tau bekin jahat sa. Dong maen minta tarús ko Beta bekin tanda heran kasi sang dong, ko dong tau Beta ni, batúl-batúl Tuhan pung orang. Padahal dolu Tuhan su kasi tanda heran sang dong pake Dia pung jubir Yunus. Itu su cukup! 
LUK.11.30	Dolu-dolu, Yunus kasi tau orang kota Niniwe bilang, dong musti tobat dolo. Naa, apa yang jadi di Yunus dolu, jadi tanda kasi sang dong bilang, Tuhan Allah yang utus sang dia. Bagitu ju deng Beta, Manusia Tulen ni. Beta datang kasi tau sang bosong, ko bosong musti tobat dolo. Deng apa yang nanti jadi di Beta, ju jadi tanda kasi orang sakarang bilang, memang Tuhan Allah yang utus sang Beta.
LUK.11.31	Nanti di hari kiamat, kalo Tuhan badiri jadi Hakim, nanti ratu dari salatan sana idop kambali, ju badiri jadi saksi. Dia tunju jari ko tudu sang bosong samua yang idop sakarang ni bilang, ‘Bosong samua ni, bodo, é!’ Te dolu itu ratu datang dari jao-jao ko lia deng mata kapala sandiri raja Soleman pung pintar. Padahal sakarang ada Orang di bosong pung teng-tenga yang lebe hebat dari raja Soleman. Ma bosong sonde mau ame pusing sadiki ju sang Dia!
LUK.11.32	Deng bukan dia sandiri sa! Nanti orang dari Niniwe dong ju bangun badiri ko tunju jari sang bosong yang idop sakarang ni bilang, ‘Bosong samua, bodo!’ Dong omong bagitu, tagal tempo hari, waktu Yunus pi kasi tau Tuhan pung mau sang dong, ju dong tobat memang. Padahal sakarang Orang yang lebe hebat dari Yunus ada di bosong pung teng-tenga, ma bosong sonde mau tobat sadiki ju!”
LUK.11.33	Yesus sambung lai Dia pung omong bilang, “Orang kasi manyala lampu teꞌoek, ais taro di tampa yang tinggi, ko biar dia bekin taráng itu kamar kasi samua orang yang maso di situ. Sonde ada orang yang kasi manyala lampu, ais tutu ame deng bakul, ko, sambunyi mati sang dia.
LUK.11.34	Bosong pung mata ju sama ke lampu. Dia bekin taráng bosong pung dalam hati. Kalo mata galáp, orang lia samua-samua deng hati jahat. Ma kalo mata taráng, orang lia samua-samua deng hati bae. 
LUK.11.35	Usaha ko taráng yang ada di bosong pung hati tu, jadi taráng sakali, sama ke matahari pung taráng. Taráng di bosong pung hati tu, jang sama ke bulan pung taráng, yang cuma kasi lia bayang-bayang sa. 
LUK.11.36	Kalo bosong pung hati taráng, sampe sonde ada satu nat ju yang galáp, tantu bosong pung idop samua ju taráng, sama ke ada lampu bésar yang kasi taráng bosong pung idop.”
LUK.11.37	Yesus omong abis, ju ada satu orang dari partei agama Farisi undang sang Dia ko datang makan di dia pung ruma. Sampe di sana, ju Yesus maso pi dalam ruma ko dudu di meja makan. 
LUK.11.38	Ma tuan ruma jadi heran lia Yesus dudu makan deng sonde pake cuci tangan lebe dolo, iko orang Farisi pung atoran.
LUK.11.39	Ais Yesus kasi tau sang dia bilang, “Bosong orang Farisi dong hebat! Bosong pegang karás bosong pung atoran agama! Bosong inga kasi barisi piring deng galás pung luar sampe mangkilat, ma bosong sonde inga ko kasi barisi bosong pung dalam hati yang kamomos tu, yang jahat deng rakus mati pung! 
LUK.11.40	Ngali, é! Jang lupa. Tuhan Allah yang bekin bagian luar. Dia ju yang bekin bagian dalam. 
LUK.11.41	Ma ada lebe bae, bosong kasi sang orang kasian dong dari apa yang bosong punya, ko biar bosong bisa barisi di Tuhan pung muka.
LUK.11.42	Bosong orang Farisi dong! Bosong nanti dapa calaka! Soꞌal kasi Tuhan satu bagian dari sapulu bagian, bosong maen baꞌitong samua-samua, kici-bésar. Sampe bosong pung bumbu kici ana dari kabón ju, bosong baꞌitong mati! Ma bosong sonde toe hal yang pantíng dong. Soꞌal parkara sayang sang Tuhan Allah, deng parkara adil, bosong lupa buang sang dong sa! Memang kotong musti tatáp kasi sang Tuhan Dia pung bagian, ma jang lupa hal-hal yang lebe pantíng dong.
LUK.11.43	Bosong nanti dapa calaka! Te bosong suka cari tampa yang paling bae dalam ruma sambayang, deng suka cari hormat di tampa-tampa umum.
LUK.11.44	Bosong nanti dapa calaka! Te bosong sama ke kubur yang dia pung tana su rata. Orang jalan di situ, ma dong sonde tau bilang, di situ ada kubur, tagal kubur pung tana di atas barisi, ma dia pung dalam busuk. Padahal iko kotong pung adat, orang yang inja kubur bekin kotor dia pung diri, jadi sonde pantas maso pi ruma sambayang. Bosong orang Farisi dong sama ke itu kubur! Di luar-luar bosong conto ke barisi mati pung. Ma bosong pung dalam hati ada ponu deng hal busuk.”
LUK.11.45	Ada satu ahli hukum Yahudi di situ, sambar sang Yesus pung omong bilang, “Bapa Guru! Bapa pung kata-kata tadi tu, puku kaná sang botong ju!”
LUK.11.46	Ais Yesus balas sang dia bilang, “Batúl! Bosong ahli hukum Yahudi dong, biar ko bosong ju dapa calaka! Bosong bukan bantu orang deng bekin ringan dong pung idop, ma bosong bekin tamba susa sang dong deng bekin-bekin bosong pung atoran agama yang barát. Ais bosong kasi pikol orang deng bosong pung atoran macam-macam dong. Ma bosong sandiri sonde bantu pikol coba itu babán deng satu jari ju!
LUK.11.47	Bosong nanti dapa calaka! Te bosong batasibu bangun batu-batu tugu kasi Tuhan pung jubir dolu-dolu ko kasi hormat sang dong. Padahal bosong pung nene-moyang sandiri yang bunu bekin mati sang itu jubir dong! 
LUK.11.48	Bosong ju satu kaki deng bosong pung nene-moyang. Dong tola buang Tuhan pung jubir, deng bunu bekin mati sang dong. Ais bosong bangun batu kubur kasi itu jubir dong, ko jadi tanda bilang, bosong ju ia bae deng bosong pung nene-moyang. 
LUK.11.49	Tagal itu, Tuhan Allah yang tau samua, parná omong bilang, ‘Beta nanti utus Beta pung jubir deng utusan laen dong, ko datang di orang Israꞌel dong. Ais, itu orang dong siksa barmaen saparu, deng bunu bekin mati saparu.’
LUK.11.50+LUK.11.51	Orang yang idop sakarang ni, musti pikol tanggong-jawab dari orang yang su bunu bekin mati Tuhan pung jubir dong. Itu itong dari Tuhan bekin ini dunya, mulai deng Habel pung mati, sampe yang paling ahir, Sakaria. Dia tu, yang kaná bunu di teng-tenga meja korban deng Kamar Barisi di Tuhan Allah pung Ruma Sambayang Pusat. Bosong ju pikol ame dong pung hukuman!
LUK.11.52	Bosong ahli hukum Yahudi dong! Nanti bosong dapa calaka! Te bosong pegang konci yang bisa buka pintu ko orang dapa mangarti bae-bae Tuhan Allah pung mau. Ma bosong sandiri sonde maso pi situ. Lebe jahat lai, bosong pele ame orang, ko dong jang maso pi situ!”
LUK.11.53+LUK.11.54	Waktu Yesus omong abis, ju itu guru agama deng orang Farisi dong maruak sang Dia. Mulai itu waktu, dong maen tanya macam-macam ko mau hiki kasi jato sang Dia. Dong ator siasat tarús ko cari-cari hal deng Dia.
LUK.12.1	Itu waktu, ada barapa ribu orang datang ko mau dengar sang Yesus. Dong jalan baseti deng makarubu ame sang Dia. Ju Dia omong lebe dolo deng Dia pung ana bua dong bilang, “Jaga diri ko jang iko orang Farisi dong pung pura-pura. Te dong suka omong laen, ma dong bekin laen.
LUK.12.2	Dong pura-pura bae, ma dong pung pura-pura tu nanti kantara. Te samua yang tasambunyi sakarang, nanti dapa lia.
LUK.12.3	Apa yang bosong omong sambunyi-sambunyi sakarang, nanti orang dapa dengar taráng-taráng. Apa yang bosong kusu-kusu dalam kamar, nanti orang omong karás-karás di muka banya orang.”
LUK.12.4	Yesus omong tamba bilang, “Ana dong! Sonde usa taku kalo orang mau bunu sang bosong. Te dong cuma bisa bunu bosong pung badan sa, ma sonde bisa bekin apa-apa deng bosong pung jiwa. 
LUK.12.5	Beta mau kasi tau bilang, bosong musti taku sang sapa. Bosong musti taku sang Tuhan Allah. Te Dia yang bisa bunu sang bosong, ais itu lempar kasi maso bosong pi dalam naraka. Jadi Dia ni, yang bosong musti taku batúl-batúl.
LUK.12.6	Bosong pikir coba, burung pipit pung harga barapa? Paling mura, to?! Lima ekor dua sen, aa? Biar bagitu, ma Tuhan Allah sonde lupa buang satu ekor ju. 
LUK.12.7	Bagitu ju Tuhan taro hati sang bosong. Dia tau parsís barapa banya rambu di bosong pung kapala. Jadi bosong sonde usa taku, te Tuhan nilei bosong lebe dari burung pipit bam-banya dong.”
